,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.13671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10968,0.0,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.07283,0.0,0.0,0.08002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06975,0.05662,0.0,0.0,0.0,0.0,0.0,0.0,0.13569,0.0,0.0,0.10897,0.0,0.12149,0.0,0.0,0.0,0.08392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08701,0.0,0.0,0.0,0.0,0.06911,0.0,0.0,0.07815,0.0,0.06177,0.0,0.0,0.0,0.0,0.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11323,0.0,0.0,0.07419,0.0,0.12673,0.0,0.1321,0.0,0.0,0.0,0.0,0.0,0.0,0.11658,0.0,0.15114,0.08501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.06536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937,0.0,1.09961,0.0,0.17147,0.0796,0.11401,0.08162,0.0692,0.06879,0.0,0.0,0.13591,0.13058,0.0,0.0,0.06369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09436,0.0,0.0,0.07818,0.0,0.0,0.06403,0.0,0.0,0.0,0.06293,0.0,0.08434,0.0,0.0,0.10246,0.0,0.07499,0.05226,0.0,0.0,0.0,0.0,0.0,0.0,0.07767,0.0,0.0,0.0,0.0,0.07102,0.06557,0.0,0.0,0.0,0.05149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07671,0.0,0.0,0.0,0.0,0.0,0.0,0.10179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07262,0.08664,0.11369,0.0663,0.0,0.0,0.0,0.07151,0.0,0.0,0.0,0.05826,0.0,0.0,0.0,0.0,0.0,0.11208
-4.75,0.0,0.0,0.13671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10968,0.05049,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.07283,0.0,0.0,0.08002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06975,0.05332,0.0,0.0,0.0,0.0,0.0,0.0,0.1294,0.0,0.0,0.10897,0.0,0.11701,0.0,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.0,0.0,0.0,0.08701,0.0,0.0,0.0,0.0,0.06911,0.0,0.0,0.06093,0.0,0.06177,0.0,0.0,0.0,0.0,0.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11323,0.0,0.0,0.07419,0.0,0.12673,0.0,0.1321,0.0,0.0,0.06519,0.0,0.0,0.0,0.11269,0.0,0.14465,0.07463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.06455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0937,0.20316,1.05132,0.0,0.16341,0.07923,0.0995,0.08162,0.0692,0.06879,0.0,0.0,0.10758,0.13058,0.27705,0.04907,0.05733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07265,0.09436,0.0,0.0,0.07818,0.0,0.0,0.06403,0.0,0.0,0.0,0.06293,0.0,0.08434,0.0,0.0,0.08252,0.0,0.07428,0.05164,0.0,0.0,0.0,0.0,0.0,0.0,0.07767,0.0,0.0,0.0,0.0,0.07102,0.06557,0.0,0.0,0.0,0.04857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12275,0.0,0.0,0.0,0.07671,0.0,0.0,0.0,0.0,0.0,0.0,0.10179,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.07262,0.08664,0.11369,0.0663,0.0,0.0,0.0,0.07151,0.0,0.0,0.05118,0.0521,0.0,0.0,0.0,0.0,0.0,0.11208
-4.5,0.0,0.0,0.13671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10968,0.04801,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.06634,0.0,0.0,0.08002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15448,0.06975,0.05332,0.0,0.0,0.0,0.0,0.0,0.0,0.12497,0.0,0.0,0.07555,0.0,0.11386,0.0,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.05193,0.0,0.0,0.06911,0.0,0.0,0.06093,0.0,0.05588,0.0,0.0,0.0,0.0,0.0,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10372,0.0,0.0,0.06474,0.0,0.09086,0.0,0.1321,0.0,0.0,0.06519,0.0,0.0,0.0,0.10773,0.0,0.13185,0.05999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06883,0.0,0.0,0.0,0.0,0.0,0.0,0.07747,0.0,0.0,0.06214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09199,0.19466,0.99668,0.0,0.15297,0.07923,0.0995,0.08162,0.0609,0.06879,0.0,0.0,0.09527,0.11177,0.25456,0.04888,0.05381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06973,0.09436,0.0,0.0,0.07818,0.0,0.0,0.06403,0.0,0.0,0.0,0.05214,0.0,0.08434,0.0,0.0,0.08252,0.05943,0.07428,0.05009,0.0,0.0,0.0,0.0,0.0,0.051,0.07049,0.0,0.0,0.0,0.04992,0.06177,0.06557,0.0,0.0,0.0,0.04857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11755,0.0,0.0,0.0,0.05091,0.0,0.0,0.0,0.0,0.0,0.0,0.10179,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.07262,0.08664,0.0853,0.05937,0.0,0.0,0.0,0.07151,0.0,0.0,0.05118,0.0521,0.0,0.0,0.0,0.0,0.0,0.09755
-4.25,0.0,0.06396,0.11782,0.05032,0.0,0.0,0.0,0.0,0.04623,0.0,0.10968,0.04801,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.06634,0.0,0.0,0.08002,0.03475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14571,0.06975,0.05332,0.0,0.0,0.0,0.0,0.0,0.0,0.1124,0.08147,0.0,0.07756,0.0,0.10383,0.0,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.0,0.05964,0.0,0.06686,0.07311,0.05193,0.0,0.0,0.06911,0.0,0.0,0.05413,0.0,0.05588,0.0,0.0,0.0,0.0,0.0,0.0914,0.0,0.0,0.06642,0.0,0.0,0.0,0.0,0.07297,0.09431,0.0,0.0,0.06474,0.0,0.0572,0.0,0.1321,0.0,0.0,0.06519,0.0,0.0,0.0,0.10773,0.0,0.1261,0.05841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06883,0.0,0.0,0.0,0.0,0.05748,0.0,0.07466,0.0,0.0,0.06214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09129,0.17744,0.94494,0.0,0.14651,0.06603,0.08962,0.08162,0.0589,0.06297,0.0,0.0,0.09527,0.11177,0.25456,0.04888,0.05139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2311,0.06973,0.09436,0.16954,0.0,0.07818,0.0,0.0,0.06403,0.05524,0.0,0.0,0.05214,0.0,0.08434,0.0,0.0,0.08252,0.05943,0.0694,0.04733,0.04562,0.0,0.0,0.0,0.0,0.051,0.06826,0.0,0.0,0.0,0.04992,0.06177,0.05435,0.0,0.0,0.0,0.04857,0.0,0.0,0.0,0.0,0.0,0.0,0.12991,0.11755,0.05852,0.0,0.0,0.05091,0.0,0.0,0.0,0.0,0.0,0.0,0.10179,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.06709,0.08664,0.05776,0.05729,0.0,0.0,0.0,0.05812,0.0,0.0,0.04516,0.0521,0.0,0.0,0.0,0.0,0.0,0.09227
-4.0,0.05299,0.06132,0.11782,0.05032,0.0,0.0,0.0,0.0,0.04623,0.0,0.08563,0.04801,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.04893,0.0,0.0,0.08002,0.03409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13811,0.06407,0.04912,0.05011,0.0,0.0,0.0,0.0,0.0,0.11021,0.07981,0.0475,0.07309,0.0,0.10383,0.0,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.23245,0.05707,0.0,0.06612,0.07311,0.05193,0.0,0.0,0.06911,0.0,0.0,0.05413,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0914,0.0,0.0,0.06642,0.0,0.0,0.0,0.0,0.06916,0.08909,0.0,0.0,0.06367,0.0,0.0572,0.0,0.1321,0.0,0.0,0.06519,0.0,0.0,0.0,0.09946,0.0,0.1189,0.05772,0.0,0.0,0.0,0.0,0.0,0.0,0.04728,0.06718,0.0,0.0,0.06629,0.0,0.0,0.0,0.0,0.05748,0.0,0.06569,0.0,0.0,0.06214,0.0,0.0,0.0,0.0,0.23557,0.0,0.0,0.09561,0.17077,0.90643,0.0,0.1379,0.06497,0.08962,0.06554,0.05271,0.06297,0.44104,0.0,0.09527,0.11177,0.25456,0.04694,0.05139,0.0,0.32067,0.0,0.0,0.0,0.0,0.0,0.21865,0.06672,0.09436,0.16214,0.33469,0.06087,0.0,0.0,0.06799,0.05073,0.0,0.0,0.05214,0.0,0.08434,0.04707,0.03814,0.08252,0.05943,0.06577,0.04733,0.04317,0.0,0.0,0.0,0.0,0.04862,0.06602,0.0,0.0,0.0,0.04992,0.0571,0.05435,0.0,0.0,0.0,0.04481,0.0,0.0,0.0,0.0,0.0,0.0,0.12991,0.10536,0.0581,0.0,0.0,0.05091,0.0,0.0,0.0,0.0,0.0,0.0,0.07592,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.06407,0.08664,0.05776,0.05729,0.04771,0.0,0.05392,0.0556,0.05792,0.0,0.04398,0.04746,0.0,0.0,0.0,0.0,0.0,0.08731
-3.75,0.0511,0.06132,0.1022,0.04555,0.0379,0.0,0.0,0.0,0.04182,0.0,0.08563,0.04801,0.05562,0.0,0.15587,0.0,0.0,0.04153,0.04764,0.0,0.0,0.06331,0.03409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12987,0.06407,0.04662,0.04781,0.42791,0.05619,0.0,0.0,0.0,0.10794,0.07576,0.0475,0.07127,0.0,0.09501,0.05425,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.21285,0.06842,0.0,0.054,0.07311,0.05193,0.046,0.0,0.04817,0.0,0.0,0.04923,0.0,0.05066,0.0,0.0,0.34185,0.0,0.0,0.0914,0.0,0.0,0.06642,0.0,0.0,0.0,0.0,0.06916,0.08776,0.0,0.06095,0.06367,0.0,0.05415,0.0,0.1321,0.0,0.04026,0.06519,0.0,0.0,0.0,0.1009,0.0,0.1189,0.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.04424,0.0657,0.0,0.0,0.06629,0.0,0.0,0.0,0.0,0.05748,0.0,0.06529,0.0,0.0,0.05756,0.0,0.0,0.0,0.0,0.21688,0.0,0.0,0.09399,0.16229,0.82591,0.0,0.13382,0.06076,0.0808,0.06554,0.05123,0.05907,0.43962,0.0,0.09527,0.09426,0.24454,0.04364,0.04751,0.0,0.32067,0.07963,0.0,0.0,0.0,0.0,0.21256,0.06672,0.09436,0.15449,0.31598,0.06087,0.0,0.0,0.06799,0.05073,0.0354,0.0,0.05002,0.0,0.08434,0.04616,0.03721,0.07392,0.05943,0.06577,0.04733,0.04291,0.0,0.0,0.0,0.0,0.04791,0.06602,0.0,0.0,0.0,0.0509,0.0571,0.05435,0.0,0.0,0.0,0.0414,0.0,0.0,0.0,0.0,0.0,0.0,0.12991,0.09636,0.05496,0.0,0.0,0.05091,0.0,0.0,0.0,0.0,0.0,0.0,0.07592,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.06088,0.08664,0.05776,0.05729,0.04584,0.0,0.05392,0.0556,0.05506,0.0,0.04508,0.04746,0.0,0.0,0.0,0.0,0.0,0.08504
-3.5,0.05146,0.06132,0.1022,0.04555,0.0355,0.0,0.0,0.0,0.03894,0.04117,0.08563,0.04801,0.05562,0.0461,0.15587,0.0,0.0,0.03447,0.04535,0.0,0.0,0.06259,0.03409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12152,0.05161,0.04412,0.04425,0.40139,0.05619,0.04906,0.0,0.0,0.09796,0.07262,0.04609,0.06633,0.0,0.09501,0.05425,0.0,0.0,0.08392,0.05149,0.0,0.0,0.0,0.20169,0.06842,0.0,0.0512,0.07311,0.04187,0.046,0.0,0.04817,0.0,0.0,0.04923,0.0,0.05066,0.04575,0.0,0.32101,0.0,0.0,0.09048,0.0,0.0,0.06232,0.0,0.0,0.0,0.0,0.06421,0.08776,0.0,0.06095,0.06367,0.0,0.0536,0.0,0.1321,0.0,0.04026,0.06519,0.0,0.0,0.0,0.09594,0.0,0.10891,0.05249,0.0,0.0,0.0,0.0,0.0,0.04055,0.04424,0.0657,0.0,0.0,0.06629,0.0,0.04523,0.0,0.07472,0.04592,0.0,0.06309,0.0,0.0,0.05555,0.06802,0.0,0.0,0.0,0.2116,0.0,0.04878,0.08622,0.15041,0.77409,0.0,0.12951,0.05994,0.07661,0.05793,0.05431,0.05466,0.40934,0.0,0.07937,0.08776,0.24454,0.04155,0.04751,0.03758,0.27624,0.07963,0.0,0.0,0.0,0.0,0.19909,0.06139,0.09436,0.1427,0.28316,0.05679,0.04752,0.0,0.06799,0.05073,0.03299,0.0,0.04913,0.0,0.06415,0.04256,0.03558,0.06145,0.05943,0.06038,0.0416,0.0404,0.0,0.0,0.0,0.0,0.04791,0.06602,0.205,0.0,0.06107,0.04404,0.0492,0.05435,0.0,0.0,0.0,0.04062,0.0,0.0,0.0,0.0,0.0,0.0,0.12991,0.09203,0.05148,0.0,0.0,0.0472,0.0,0.0,0.0,0.0,0.0,0.0,0.07592,0.0,0.0,0.0,0.0,0.0,0.0,0.06705,0.0,0.0,0.0,0.06088,0.05101,0.05776,0.05729,0.04584,0.0,0.0474,0.05197,0.05093,0.17926,0.04148,0.04746,0.0,0.0,0.0,0.0,0.0,0.08504
-3.25,0.04744,0.0494,0.09034,0.04555,0.0355,0.0,0.03717,0.0,0.03836,0.04117,0.08563,0.04801,0.05562,0.0461,0.15587,0.0,0.05582,0.03119,0.04535,0.0,0.0,0.06259,0.03409,0.0,0.0,0.0,0.03775,0.0,0.0,0.0,0.0,0.0,0.11301,0.05098,0.04298,0.0415,0.37489,0.05418,0.04852,0.0,0.0,0.09681,0.06653,0.03932,0.06451,0.04853,0.08834,0.04971,0.0,0.0,0.08392,0.03677,0.04297,0.0,0.0,0.20169,0.04747,0.0,0.04837,0.05947,0.04187,0.046,0.0,0.04817,0.0,0.0,0.04923,0.0,0.04534,0.04428,0.0,0.30315,0.0,0.0,0.09048,0.04308,0.0,0.06188,0.0,0.04291,0.0,0.0,0.05531,0.08776,0.04609,0.06095,0.05617,0.0,0.05179,0.0,0.1321,0.03788,0.04026,0.06519,0.0,0.0,0.0,0.09594,0.0,0.09861,0.05046,0.03923,0.0,0.0,0.0,0.0,0.04026,0.03936,0.05919,0.0,0.0,0.06629,0.0,0.04523,0.05749,0.0693,0.04478,0.0,0.05778,0.0,0.0,0.04858,0.06802,0.0,0.0,0.05108,0.2116,0.2538,0.04306,0.08527,0.14796,0.72145,0.17579,0.1233,0.05085,0.07333,0.05482,0.05431,0.05302,0.36948,0.044,0.07257,0.08425,0.18516,0.04155,0.04751,0.03758,0.26286,0.07963,0.0,0.04309,0.0,0.0,0.17727,0.06139,0.09436,0.13384,0.26869,0.05396,0.04247,0.0,0.05655,0.0458,0.03299,0.0,0.04798,0.04742,0.05875,0.04146,0.03449,0.06145,0.0443,0.05694,0.0385,0.0382,0.0,0.0,0.0,0.04071,0.04791,0.06602,0.19325,0.0,0.05659,0.04404,0.04652,0.05435,0.0,0.0,0.0,0.03789,0.0,0.0,0.0,0.0,0.18045,0.0,0.12991,0.08678,0.0489,0.0,0.0,0.0472,0.03693,0.0,0.0,0.0,0.0,0.04424,0.07592,0.0,0.0,0.0,0.0,0.0,0.0,0.04875,0.0,0.0,0.0,0.05804,0.05101,0.05776,0.05113,0.04584,0.0,0.0474,0.05197,0.05034,0.17146,0.04054,0.04746,0.0,0.0,0.0,0.0,0.0,0.08504
-3.0,0.04547,0.0469,0.07917,0.04555,0.0355,0.0,0.03717,0.0,0.03395,0.04117,0.08563,0.04801,0.04568,0.0461,0.15587,0.0,0.05582,0.02519,0.03939,0.0,0.0,0.06259,0.02635,0.0,0.0,0.02825,0.03775,0.0,0.02351,0.0,0.0,0.0,0.10935,0.04749,0.0425,0.0396,0.35029,0.05245,0.0465,0.0,0.0,0.08358,0.06033,0.03661,0.05692,0.04347,0.0871,0.04971,0.03248,0.0,0.06686,0.03599,0.04122,0.04883,0.03345,0.17786,0.04747,0.0,0.04583,0.05917,0.04187,0.03922,0.0,0.04817,0.0,0.04238,0.04923,0.0,0.04362,0.04091,0.03775,0.28273,0.16471,0.0543,0.07731,0.04022,0.08733,0.06188,0.0,0.038,0.05678,0.0,0.05251,0.07032,0.0419,0.05047,0.05179,0.0,0.05179,0.0,0.1321,0.03788,0.04026,0.06519,0.0,0.0,0.0,0.08375,0.04108,0.09199,0.047,0.03844,0.04956,0.0,0.0,0.0,0.04026,0.03936,0.05919,0.0,0.0,0.06629,0.0,0.04523,0.05749,0.06624,0.04215,0.0,0.05627,0.0,0.0,0.04858,0.06751,0.12326,0.04548,0.04896,0.20929,0.24121,0.04131,0.07942,0.13906,0.66791,0.16676,0.1123,0.04643,0.06955,0.05482,0.04814,0.05077,0.32966,0.04402,0.06947,0.07774,0.16491,0.04013,0.04384,0.03292,0.24739,0.07963,0.0,0.04101,0.0,0.04336,0.1644,0.05243,0.06573,0.12861,0.24664,0.05396,0.04083,0.0,0.05655,0.0458,0.03299,0.0,0.0314,0.04032,0.04924,0.04043,0.03171,0.0626,0.04037,0.05616,0.03445,0.03714,0.02715,0.0,0.0,0.03544,0.04409,0.05672,0.17946,0.03959,0.0546,0.03964,0.04267,0.04773,0.0,0.0,0.0,0.0366,0.0,0.02847,0.0,0.0,0.16824,0.20357,0.12991,0.08375,0.0489,0.0,0.0,0.0472,0.03433,0.0,0.03315,0.0,0.0,0.0431,0.05885,0.0,0.0,0.0,0.04126,0.0,0.0,0.04793,0.0,0.0,0.0,0.05378,0.06668,0.04997,0.04527,0.04584,0.02879,0.0474,0.04948,0.04702,0.15499,0.03674,0.03878,0.0,0.0,0.03832,0.0,0.0,0.08504
-2.75,0.04097,0.04459,0.07526,0.04555,0.02833,0.0,0.03437,0.02908,0.03395,0.03246,0.06562,0.03089,0.04568,0.03935,0.15587,0.0,0.04784,0.02476,0.03918,0.0,0.02857,0.04195,0.02301,0.0,0.0,0.02759,0.03584,0.03059,0.02351,0.0,0.0,0.0,0.09793,0.04603,0.04139,0.03667,0.31998,0.04716,0.04221,0.03806,0.21505,0.07468,0.05561,0.0352,0.05331,0.04098,0.07701,0.04971,0.02932,0.03338,0.06686,0.03599,0.04316,0.04542,0.03066,0.16213,0.04255,0.0,0.04583,0.05281,0.03855,0.03675,0.0,0.04146,0.04091,0.03965,0.04253,0.0,0.042,0.03841,0.03641,0.25439,0.15159,0.0543,0.07731,0.03738,0.06285,0.05177,0.0,0.03676,0.06309,0.0,0.04632,0.06381,0.03964,0.05047,0.04684,0.0,0.05179,0.03521,0.1321,0.03631,0.04026,0.05827,0.0,0.0,0.0,0.07156,0.04108,0.08759,0.04261,0.03844,0.04465,0.0,0.0,0.02328,0.03447,0.03775,0.04872,0.0,0.03299,0.05273,0.0,0.04523,0.04986,0.06934,0.03811,0.03763,0.04444,0.03436,0.03614,0.04543,0.05105,0.11108,0.04548,0.04594,0.17505,0.22368,0.03911,0.06784,0.12437,0.62668,0.1546,0.09724,0.04455,0.06403,0.04468,0.04481,0.04708,0.30469,0.04507,0.06504,0.07357,0.15494,0.04013,0.04036,0.03159,0.21879,0.0484,0.0,0.03871,0.03147,0.04299,0.15865,0.04417,0.05174,0.12088,0.22623,0.0423,0.03779,0.03112,0.04275,0.04377,0.02762,0.04806,0.03024,0.03458,0.04341,0.03585,0.0315,0.05964,0.03804,0.04835,0.03363,0.0331,0.02715,0.0,0.0,0.03448,0.04106,0.04772,0.16451,0.03959,0.05258,0.03734,0.04022,0.04773,0.02943,0.0,0.02852,0.03574,0.0,0.02923,0.0,0.0,0.16049,0.18952,0.07224,0.07367,0.04632,0.04111,0.0,0.05359,0.03266,0.0,0.03315,0.0,0.0,0.0431,0.04573,0.0,0.0,0.0,0.04126,0.04073,0.0,0.04021,0.0,0.0,0.0,0.04962,0.05629,0.04997,0.04371,0.03284,0.02744,0.03934,0.04596,0.04451,0.14157,0.03399,0.0361,0.0,0.0,0.03457,0.0,0.0319,0.06116
