,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.21827,0.0,0.0,19.20134,0.0,46.60227,1.4151,0.0,0.0,0.0,0.0056,0.0,2.20159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76017,0.0,0.0,0.0,0.0,0.0,0.12399,0.0,0.0,0.0,0.0,85.96749,1.26405,0.0,0.08362,1.49722,2.11679,0.0,0.0,12.7427,21.64169,6.74658,4.82006,0.24034,3.31477,0.0483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5098,13.22324,0.05652,0.0,0.77065,344.49758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.89622,0.0,0.0,22.44193,1.85791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.74873,13.12228,0.0,0.0,30.40076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45474,0.78971,12.4999,2.7521,0.0,0.0,0.0,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,0.0,0.0,0.29153,0.0,0.0,0.40683,0.0,0.04684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.88246,1.69556,1.9574,18.34971,28.39769,0.0,3.26134,1.29407,5.73199,0.0,1.25868,2.82725,13.19269,2.43622,4.35421,3.12775,6.17181,0.0,0.0,0.0,0.0,3.76275,0.0,0.21584,0.30322,0.0,25.4002,733.67672,0.0,14.16077,2.17151,5.88856,2.39286,0.74408,0.0,0.61162,0.0,0.75583,0.18379,13.27916,0.41685,0.0,0.0,42.171,0.31456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43309,0.0,2.12391,0.0,0.0,0.0,2.58829,0.0,0.0,3.34978,0.0,0.0,0.24731,0.0,0.0,0.0,12.47563,5.74543,5.48052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8487,0.0,0.0,14.02329,0.0,0.0,0.0,10.25451,11.1364,0.0,0.0,0.0,0.0,0.0,0.0,16.4204,0.0,0.0,3.45077,0.06328,0.0,1.48496,13.05912,10.29879,0.0,0.0,0.0,0.0,15.43397
-4.75,0.0,0.21827,0.0,0.0,19.20134,0.0,46.60227,1.4151,0.66753,0.0,0.0,0.00561,0.0,2.31754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77194,0.0,0.0,0.0,0.0,0.0,0.12399,0.0,0.0,0.0,0.0,85.96749,1.26405,0.0,0.08362,1.49722,2.11679,0.0,0.0,13.22919,22.01179,6.11538,4.82006,6.14972,3.32527,0.0483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.54864,13.22324,0.05652,0.0,0.77483,344.49758,0.0,1.39495,0.0,0.0,0.0,0.0,0.0,0.59704,10.91929,0.0,0.0,24.01248,1.89547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.20437,13.12228,0.7143,0.0,30.40076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45475,0.82612,14.59308,2.86819,0.0,0.0,0.0,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,0.0,0.0,0.29153,0.0,0.0,0.40683,0.0,0.21006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.36824,1.74758,1.50655,10.01895,28.94966,0.0,2.95335,2.05389,5.75285,0.0,1.25868,3.02387,15.68169,2.10246,4.35421,2.94899,6.17181,0.0,0.0,0.0,0.0,3.76276,1.33742,0.21584,0.30322,0.0,26.50077,378.1034,0.0,12.1474,2.51805,4.69669,2.09887,0.74408,0.30912,0.61162,0.0,0.75583,0.18385,13.27917,0.41685,0.0,0.0,21.22605,0.19079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43309,0.45095,2.12391,0.0,0.0,0.0,2.58829,0.0,0.0,3.34978,3.28799,0.0,0.24731,0.0,0.0,0.0,12.50886,6.16171,5.48052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45721,0.0,0.0,14.0233,0.0,0.0,33.17878,10.25452,11.22389,0.0,0.0,0.0,0.0,0.0,15.78783,16.4204,0.0,0.0,3.81755,0.06328,0.0,1.48496,13.46093,10.29879,0.0,0.0,5.17855,0.0,5.63533
-4.5,0.0,0.21827,28.64497,0.0,19.20134,0.0,46.60228,1.4151,0.66753,0.0,0.08174,0.00561,0.0,2.31754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04478,0.0,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,85.96749,0.81863,0.97645,0.88415,1.49722,4.68658,15.2221,0.0,13.25028,16.60688,6.17218,4.83752,4.4762,3.87638,0.0483,3.54649,0.0,2.10671,0.0,0.0,0.0,0.0,0.0,16.85808,13.22324,0.05652,0.0,0.81218,344.49758,0.0,1.39495,0.0,0.0,0.0,0.0,0.0,0.69446,7.6322,0.0,0.0,39.143,2.00944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.92029,13.12228,0.7143,0.0,30.40076,0.0,3.52617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45475,0.82612,16.2853,2.93928,0.0,0.0,0.0,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,4.25736,0.0,0.29153,0.0,0.91168,0.40683,0.0,0.21006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3259,2.88126,1.8943,7.90819,30.64423,0.0,2.73357,2.05389,5.37025,0.0,1.25868,4.41343,15.99263,2.11683,4.46908,3.02457,6.54561,0.0,0.0,0.0,0.0,3.93811,5.48084,0.42722,0.19314,0.0,26.77453,378.22452,0.0,10.68535,3.38808,4.71399,2.16953,0.59143,0.30912,2.33994,0.0,0.75583,0.18385,13.29662,1.50226,0.17368,0.0,21.22606,0.19079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34615,0.45095,3.13741,0.0,0.0,0.0,2.58829,0.0,0.79809,3.34978,3.28799,0.0,0.24731,0.0,0.0,0.0,11.61872,5.93897,5.48053,0.0,0.0,0.0,0.36204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45721,0.0,0.0,14.0233,0.0,0.0,33.17878,9.1707,11.22391,0.0,0.0,0.0,0.0,0.0,15.80977,16.42041,0.0,0.0,3.81755,0.06328,0.0,1.48496,14.70487,10.29881,0.0,0.0,5.1787,0.0,4.60167
-4.25,0.0,0.21827,35.39465,0.0,12.8673,0.0,46.60228,1.4151,0.66753,0.0,0.08174,0.00561,0.0,2.31754,0.0,0.0,0.0,4.21019,0.0,0.0,0.0,4.053,0.0,0.0,0.66432,0.0,0.0,0.124,0.0,0.0,0.0,0.0,85.96749,0.79372,0.97645,5.23702,1.49722,4.15828,15.29946,0.0,12.87802,25.68817,5.50624,3.85941,4.5178,3.43583,0.1389,3.54649,0.0,2.10671,0.0,0.0,0.0,0.0,0.0,17.20922,13.22324,0.10319,0.0,1.06492,344.61441,0.0,1.39495,0.0,0.0,0.0,0.0,0.0,0.69446,7.02665,0.0,0.0,39.50997,1.8223,0.0,0.0,0.0,0.03681,0.0,0.0,0.0,0.0,0.0,5.92029,13.12228,0.7143,0.01055,30.40076,0.0,3.52617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45475,0.90068,15.10153,3.23723,7.4637,75.97929,0.0,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,4.25736,0.0,0.29153,0.0,0.91168,0.40683,0.0,3.25917,0.0,0.0,0.09925,0.0,52.49805,0.0,0.82377,8.4659,3.52107,2.30546,10.8481,31.25563,0.0,2.59626,1.75725,5.39096,0.0,1.25868,5.37236,17.12811,2.24484,5.03894,2.92298,13.9014,7.31709,0.0,0.0,0.0,4.08501,3.31273,0.42722,0.19314,0.0,22.35734,378.22452,0.0,11.14567,3.40574,4.12643,2.16296,0.75785,0.30912,2.33994,0.0,0.75583,0.18385,13.29665,1.5324,0.17368,0.0,21.22606,0.1069,0.0,8.89841,0.26232,0.0,23.86432,0.47455,0.17517,0.34615,0.45095,2.99989,0.66385,0.0,63.21131,2.5883,0.0,0.79809,4.1184,3.28799,0.73365,0.24731,0.0,0.0,1.12764,11.92983,5.75938,6.70817,0.0,47.59728,0.0,0.36204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45721,0.0,0.0,14.0233,0.0,0.0,33.17878,6.15197,11.22391,0.0,0.0,0.0,0.0,0.0,15.80977,16.42041,0.0,0.0,3.3714,0.06328,0.0,1.48496,14.83579,10.29881,0.0,0.0,5.1787,0.0,3.9715
-4.0,0.81815,4.78993,35.39465,0.0,12.8673,0.0,46.60228,12.92481,0.66754,0.0,0.08174,0.00561,0.0,2.31754,0.0,0.0,0.0,4.21019,0.0,0.0,0.0,4.45733,0.0,0.0,0.66432,0.0,11.01221,0.124,0.0,0.0,0.0,0.0,85.96749,1.28101,2.35789,3.21273,1.84408,3.6052,15.29946,0.0,12.11885,26.34204,5.7454,3.92781,4.65103,3.17489,0.13976,3.54649,0.0,2.10671,0.0,0.0,0.0,0.0,0.0,21.76787,3.74734,0.14775,0.0,1.08537,344.85326,0.0,1.39495,0.0,0.0,0.0,0.0,0.0,0.69446,7.457,0.0,5.25201,40.21435,1.90835,0.0,6.96103,1.44909,5.03193,192.45264,21.03,0.0,0.0,0.0,5.92034,13.12228,0.7143,0.10678,30.40076,0.0,3.52617,0.74904,0.0,0.0,0.0,0.0,0.0,0.0,6.45476,0.90068,12.50111,2.94107,7.4637,75.97929,0.0,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,4.25736,0.0,0.29153,0.0,8.41479,0.56598,0.83957,3.08159,0.0,0.0,0.09925,117.6821,52.49805,0.0,7.08571,8.57976,3.52107,3.62773,10.84896,32.50458,0.0,2.73623,2.75541,6.34757,0.0,1.32974,5.37237,17.30003,2.29967,4.6718,2.61512,11.47018,7.31709,34.54464,0.0,0.0,4.31817,2.84022,0.43427,0.19314,0.0,23.0917,393.15669,0.0,13.00208,2.80567,4.13488,1.81746,0.66068,0.30912,2.33994,0.0,0.75583,0.18385,10.97018,1.5324,0.17368,0.0,21.2617,0.91642,4.44409,6.46649,0.26239,0.13006,23.86432,7.61548,0.17517,0.34615,0.45095,2.57906,0.99589,0.0,129.17588,2.5883,267.6302,0.79809,4.1184,3.28799,0.80947,6.12273,0.0,20.59218,77.41809,11.89403,6.1543,6.70817,0.0,27.16217,79.25777,0.36204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45721,0.0,0.0,14.0233,0.0,0.0,33.17879,6.23378,11.22391,0.0,0.0,0.0,0.0,0.0,15.80977,16.42041,0.0,0.0,3.40431,0.06328,0.0,1.48496,14.91147,8.92336,2.32436,0.0,5.1787,0.0,3.46643
-3.75,0.81815,3.72512,24.21326,21.47718,12.8673,0.0,23.60242,12.92481,0.66754,0.0,0.08174,0.02146,0.0,2.31754,0.0,0.0,0.0,4.34533,0.0,0.0,0.0,4.57888,0.0,0.0,17.88803,0.0,11.04854,0.124,0.0,0.0,0.0,0.0,85.96749,1.28636,2.04561,2.98483,3.3844,3.7126,15.29946,0.0,18.32327,27.61667,4.3675,3.41181,4.65999,3.91211,0.13976,3.54649,0.0,2.10671,0.0,26.31146,0.0,0.0,0.0,22.09047,3.77164,0.36774,35.70912,1.08537,127.454,0.0,1.39495,0.0,0.0,2.81585,0.0,0.0,0.69446,7.35976,13.6593,5.25201,40.6575,1.79942,0.0,6.9758,1.44909,8.15052,192.45264,21.03,0.0,0.0,0.0,5.97271,13.12228,5.05779,0.10678,30.55063,0.0,2.17168,0.74904,0.0,0.0,0.0,0.0,0.0,0.0,6.45477,0.90068,16.66675,2.7524,4.42087,75.9793,0.46572,0.0,0.0,1.25267,0.0,0.65824,0.0,0.0,0.0,4.39139,0.0,0.34333,0.0,8.41479,14.31965,0.83957,3.08159,0.0,0.0,0.09925,58.84106,50.90738,0.0,5.9729,7.62207,3.2096,3.2147,11.03243,33.68031,0.0,2.5464,2.66919,5.60813,0.0,1.32974,3.67639,14.13093,2.26218,4.31192,2.86461,9.55484,7.3171,18.12346,0.0,0.0,4.39204,4.78907,0.43427,21.23731,0.0,23.32751,393.15669,4.48372,12.104,2.66095,6.99548,1.81747,0.76693,0.68148,2.33994,0.0,0.75583,9.36244,9.70159,1.42022,0.49318,0.09432,21.32744,2.37114,2.46162,4.88503,16.38295,0.15446,23.86432,8.31715,0.21728,0.38605,26.0177,2.96456,1.00449,0.99702,315.80367,2.5883,393.94434,0.79809,4.2201,3.28799,1.21213,6.1668,0.0,20.59218,58.30415,11.29009,6.72843,6.68852,0.0,27.16217,82.06017,0.29093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.642,0.0,0.0,54.49388,0.0,0.0,22.36179,16.23347,11.22391,0.0,0.0,0.0,0.0,0.0,15.80979,16.45316,0.0,0.0,3.40431,0.06328,0.0,10.94369,15.16856,8.92336,2.32436,13.99216,5.1787,0.0,3.92311
-3.5,45.13718,1.84417,24.21326,14.32379,9.75631,0.0,23.65245,18.0154,0.66754,2.17987,0.08174,0.02146,0.0,2.31754,0.0,0.0,0.0,4.34533,0.0,263.39667,97.78585,9.97281,0.0,12.10016,17.88804,0.09991,11.04855,60.76289,0.0,0.0,0.0,0.0,85.96749,1.19281,1.41635,12.65549,3.40008,3.21253,5.3863,51.36933,16.64353,22.43551,4.1733,3.55044,4.65999,3.38094,6.78485,5.37377,3.58206,2.10671,0.0,26.31146,0.75152,0.0,0.0,23.88091,6.69072,6.01685,23.6912,1.08537,127.45404,10.48825,1.39495,0.0,0.0,18.82835,0.0,0.0,0.69446,7.38698,13.6593,6.78623,37.71663,1.81925,5.35984,6.984,1.44909,8.15052,192.45264,21.03,145.62763,0.0,0.0,5.52834,13.12228,5.0578,0.10678,30.55063,0.0,2.21625,0.74904,0.0,0.0,0.0,0.0,0.0,0.0,6.45477,0.90068,16.7183,2.39683,6.20768,38.22942,12.81463,0.0,0.0,1.25267,0.0,13.31867,0.0,0.0,0.0,4.39139,0.0,11.35954,0.0,8.85765,14.31966,0.83957,3.08159,0.0,0.0,10.50737,58.89854,79.25815,0.0,5.18173,7.13914,4.96253,3.45125,11.46833,33.93348,25.31619,2.89945,3.33874,5.09785,0.0,1.32974,2.96439,14.45828,1.96999,4.51644,2.69405,9.1167,7.3171,18.3633,56.75758,3e-05,4.58373,7.13657,1.10794,16.0928,1.82555,17.75083,393.15669,7.5382,11.69047,2.6507,8.50177,1.68965,0.82766,1.0326,2.34816,0.0,22.04964,25.31733,8.19205,5.70536,0.79792,0.12276,14.81375,2.24871,7.59104,6.94835,18.652,5.13743,12.14882,8.32592,0.21728,24.36893,26.06201,3.24445,4.15805,28.50903,337.98226,4.20734,393.94434,1.57631,2.76839,3.288,8.06613,6.1668,0.0,20.59218,58.91054,10.75345,6.57378,6.26155,0.0,27.16217,98.56051,0.29093,0.0,0.0,0.0,0.42974,0.0,0.0,0.0,12.59621,61.59559,16.9107,54.49388,0.0,0.0,35.86205,13.9398,11.2807,25.01175,0.3857,0.0,4.63703,0.0,15.8605,62.01953,0.0,0.0,3.69678,0.49434,1.13024,10.94369,15.28239,38.87529,2.45931,14.1091,5.1787,37.47059,3.96143
-3.25,17.90726,22.07372,24.21326,14.32379,8.8157,82.47412,56.55971,24.32169,15.67068,2.17987,0.08174,0.02146,0.0,2.32306,-0.00528,0.0,0.0,4.34533,0.0,263.39667,97.78585,10.93363,0.0,12.10017,12.05759,0.09991,120.46299,60.76289,0.0,0.0,0.0,102.68326,354.06037,2.8299,1.41859,11.94294,4.1902,3.11303,6.39278,26.3278,16.68258,18.60191,4.43574,3.27735,10.34594,3.11385,5.84193,10.24916,19.3736,24.16881,0.38513,57.58017,0.83092,0.0,0.0,22.54265,8.77283,14.96111,18.94681,2.62141,119.20919,3.72325,1.39495,0.11789,6.17963,37.7427,12.64964,0.0,24.81386,6.66038,13.82501,5.45266,31.16841,1.70911,5.65374,6.36329,1.44909,8.6706,192.45264,89.24164,145.62764,0.0,44.09475,5.52835,19.96976,5.14751,0.10678,17.14111,0.0,2.21625,0.74904,0.0,0.0,11.5457,0.0,0.0,11.31513,6.45477,1.83877,17.09143,2.20933,31.41687,38.22942,12.99895,0.0,1.17485,1.25267,0.0,12.8153,0.0,0.0,0.0,4.46446,0.0,11.35954,0.0,8.99732,14.31966,0.83957,3.17203,13.3559,0.0,10.50763,58.93021,79.26461,0.0,5.18174,6.05325,4.51661,5.08027,9.41337,25.85966,33.04075,2.99449,3.22311,4.264,0.0,1.78974,2.4992,12.96788,2.16073,4.66865,2.50192,10.66641,7.10205,18.3633,56.75758,0.13945,4.50014,8.244,1.18709,16.11902,4.74769,17.84082,393.20348,7.5382,11.01072,2.62012,13.78188,1.65919,1.73585,4.99866,2.39663,9.59389,22.17202,25.32896,8.19205,6.07026,5.19207,3.50544,10.54272,4.11166,9.58486,15.34919,18.65922,3.8849,9.70011,8.3693,0.21728,18.81206,27.08915,3.42479,3.81669,20.55391,337.98227,2.90169,393.94434,7.45686,3.36936,3.288,8.12455,25.06253,0.0,12.55659,58.92852,10.6245,6.67749,6.77314,11.89385,27.24718,59.52081,0.29093,0.0,0.0,0.0,30.79187,32.38938,55.43374,0.0,13.35459,146.00819,24.88279,39.19956,0.0,0.0,35.86206,24.91375,11.2807,25.03801,0.94147,0.0,4.63703,0.0,15.95777,43.23071,0.88017,0.0,3.13881,0.52512,1.13024,9.79588,15.21054,29.25569,2.45931,11.09065,5.1787,37.47059,6.50569
-3.0,19.8185,16.34345,24.21326,33.87455,12.23337,64.02253,45.17876,26.63809,7.89052,2.17987,38.5019,0.02146,33.24712,17.59685,2.9522,0.0,0.0,4.34533,0.0,176.27353,97.78585,11.32488,0.0,12.10017,15.94149,0.09991,80.30886,77.46479,76.27053,0.0,0.0,102.68327,354.06037,2.38351,1.24361,11.58968,4.93022,2.92793,7.03724,23.2361,14.27139,19.05126,4.80834,3.69199,9.1679,2.63698,6.47603,7.92663,20.00939,20.81981,0.38513,57.61973,0.83092,28.73677,28.45921,26.37062,9.74602,12.81567,16.1283,4.25306,125.30187,18.10829,1.39495,0.11795,13.99927,35.29106,10.43363,0.0,17.48868,5.84818,37.07966,4.77448,28.17386,2.89062,8.37334,14.24774,11.63722,12.74021,192.45779,89.24164,90.39945,0.0,44.09475,5.69206,16.62363,10.7119,2.48562,29.19137,0.0,2.21625,0.74904,0.0,15.40344,31.97621,0.0,153.97369,19.91267,6.45478,3.98613,17.20875,1.95481,30.28345,38.22942,31.36965,0.0,1.17485,1.25267,42.53022,12.83823,0.0,0.0,0.0,4.46446,0.0,11.73643,0.0,7.19096,13.59086,0.50431,3.19048,34.49152,68.16594,10.50763,59.20519,66.35197,0.08296,5.41024,5.04949,4.09428,5.31796,9.83932,19.84813,26.21593,2.88593,5.20559,3.95703,0.26281,1.78974,3.81885,11.60448,2.061,4.56012,2.4854,10.40025,7.15419,26.56568,49.79508,0.13945,4.10183,11.03748,0.9933,15.30405,4.23545,18.79755,393.20348,11.3947,9.73592,4.35117,19.55102,9.06883,1.63959,5.6487,2.50367,10.3733,26.77226,28.28451,10.27803,5.3326,4.29528,15.36789,5.4819,5.7106,7.87727,11.40247,32.75352,28.14073,13.68585,29.65678,4.45423,19.67108,27.43852,4.4942,3.91029,12.84435,338.78352,7.0735,117.36405,12.24018,14.09963,22.41177,11.21375,24.6787,0.0,26.66342,47.16788,9.80039,6.43392,7.06058,32.28149,16.57387,89.85274,17.89172,0.0,0.0,0.0,30.79187,32.38938,55.43374,0.25713,14.15443,146.00819,19.65884,39.19956,18.61761,77.4135,30.02435,22.68904,40.12798,25.03801,1.02918,0.0,4.63703,29.46366,15.95777,34.31543,26.16175,0.0,3.09599,3.34389,1.13024,9.81487,14.59578,29.49109,10.52067,21.21194,5.1787,37.56235,5.53727
-2.75,14.73498,12.46173,24.21326,30.33861,29.41371,47.81051,57.54236,37.09721,9.61306,32.11851,42.63681,0.02147,49.31837,41.76752,4.45188,0.0,0.0,35.01411,0.0,176.27353,65.71563,10.87987,0.0,7.0799,18.75069,29.45353,81.9196,84.94768,76.27053,0.0,162.47241,58.6239,354.21673,2.413,2.24274,12.00399,7.07659,3.23627,14.33075,25.94332,13.65253,15.67826,4.65888,4.35494,8.28853,2.4412,9.20345,6.52528,18.6606,22.84247,12.08139,55.9391,21.93604,15.26104,28.45922,24.6595,10.5338,18.38666,13.76712,10.62453,130.54901,18.684,42.37442,15.65614,19.54597,33.69185,10.55799,0.0,14.38869,4.33006,25.01441,8.03733,31.98683,3.65022,9.59528,15.55409,19.5421,16.74189,122.86333,127.359,90.444,20.09226,30.97366,7.67456,15.57861,15.48568,12.61705,68.17771,0.0,17.2941,26.74032,27.06513,35.55567,38.66833,46.84345,153.97369,87.51732,7.52734,4.51544,17.90261,2.67812,24.38057,15.85053,26.16794,23.67336,6.88678,0.8893,42.53022,11.40892,140.85502,0.0,0.0,39.38775,0.0,19.83033,2.82989,13.47405,13.54476,23.69907,5.52918,35.53905,37.2609,8.46654,67.30225,58.45039,34.91606,5.43582,5.09245,4.82429,6.51459,9.69299,20.30957,28.29836,2.5889,5.56541,3.92905,9.87812,1.34233,3.91751,10.61032,3.91456,4.40751,4.68703,9.95804,18.85081,24.63603,39.62534,6.77674,3.92746,10.84338,31.38746,16.77421,11.1724,16.85995,393.20348,13.3362,9.27533,3.67156,17.21948,7.99782,3.23597,6.11099,13.92596,12.30907,31.46179,53.60496,12.77267,6.29995,4.55774,12.7878,5.67471,5.16078,8.61489,10.55522,18.97033,32.00331,15.75382,26.55752,9.73647,13.97508,45.73209,4.23021,3.78868,8.9245,355.60171,7.57155,64.97462,14.22216,11.27971,18.04857,28.4397,22.60588,16.00403,26.66342,33.68978,9.54428,6.13689,13.39263,34.89069,13.38965,67.16583,14.5738,4.65374,0.0,0.0,58.67291,57.56225,55.43374,38.3681,22.0003,146.07364,19.19804,33.0758,71.37946,109.15635,30.02435,19.17507,25.02035,25.03801,9.08225,0.0,4.88947,37.04957,15.95777,35.73284,30.25314,0.0,2.86405,8.75821,22.84812,8.46379,14.66106,24.98332,10.45794,29.51736,12.31983,71.47206,5.70534
