,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55368,0.0,0.06425,0.0,1.69491,2.56593,1.01809,0.0,0.0,0.0,2.18368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76141,0.0,0.68123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.47765,0.0,0.0,0.0,0.0,0.0,6.49746,2.08109,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.23415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59571,0.0,0.0,0.0,2.46039,20.45041,3.17443,2.5256,0.12413,0.0,0.72085,0.0,1.404,0.0,0.0,2.24682,1.96841,3.75081,0.0,0.21936,0.0,4.74524,0.0,0.0,0.0,0.0,0.0,1.44557,0.00706,0.0,2.54258,1.20754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.00318,0.0,0.7902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949,0.0,0.0,0.40286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14509,2.27305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51657
-4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55368,0.0,0.06425,0.0,1.77832,2.58245,1.01809,0.05674,0.0,0.0,2.18368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56793,0.0,0.0,0.0,0.0,0.0,0.0,0.94878,0.0,0.0,0.0,0.0,0.0,0.0,1.76141,0.0,0.68123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49381,0.0,0.0,0.0,0.0,0.0,6.49746,1.31964,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.34699,0.0,0.0,0.0,0.0,0.64743,0.0,0.0,1.59571,0.0,0.0,0.0,2.61729,21.00421,3.17443,2.5256,0.12413,1.26165,0.99245,0.0,3.59126,0.0,0.0,2.24682,1.97692,3.75081,0.0,0.16809,0.0,4.08605,0.0,0.0,0.0,0.0,0.0,1.44557,0.1073,0.0,2.54259,1.31277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,0.0,0.0,0.0,0.0,0.0,0.0,0.09938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.00318,0.0,0.7902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.22718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949,0.0,0.0,0.40286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18726,2.44241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51657
-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.00641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55368,0.0,0.06425,0.0,1.77832,2.58245,1.12213,0.05674,0.0,0.0,2.18368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.13731,6.60458,0.0,0.0,1.42337,0.0,0.0,0.0,0.94878,0.0,0.0,0.0,0.0,0.0,0.0,1.76141,0.0,0.83314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.74551,0.0,0.0,0.0,0.0,0.0,4.39335,1.31964,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,0.34699,0.0,0.0,0.0,0.0,0.64743,0.0,0.0,1.59571,0.0,0.0,2.14828,3.63943,25.95738,3.52385,1.43941,0.12413,1.26165,0.99245,0.0,3.59126,0.0,8.07591,2.61464,2.55821,3.75082,0.0,0.16809,0.0,4.09008,0.0,0.0,0.0,0.0,0.0,2.70443,0.1073,0.0,2.57824,1.75389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,0.0,0.03782,0.0,0.0,0.74999,0.0,0.09946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.00318,0.0,0.7902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79133,0.0,2.91604,1.93354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949,0.0,0.0,0.52352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18726,2.64072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51657
-4.25,0.0,0.06187,0.0,0.0,0.0,0.0,0.0,5.00641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,1.15863,0.0,0.10972,0.0,0.4694,1.239,14.06336,0.0,1.70609,1.88011,1.15032,0.05674,0.0,0.0,1.64983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.14758,6.60458,0.0,0.0,1.42337,0.0,10.43936,0.0,0.94878,0.0,0.0,0.0,5.33714,1.74005,0.0,1.76141,0.0,0.75969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.74551,0.0,0.0,0.0,0.0,0.0,5.72217,1.31964,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,1.69544,0.0,0.0,0.0,0.0,0.64743,0.0,0.0,1.59571,0.0,0.0,2.14828,3.10259,26.61096,3.52385,1.43941,0.12413,1.26165,0.99245,0.0,3.59126,20.59948,8.07591,1.81519,3.65569,3.75082,0.0,0.1681,0.0,4.29116,0.0,0.0,0.0,0.0,0.0,3.00276,0.1073,0.0,2.57824,1.78726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,0.0,0.03782,0.0,0.0,0.75,0.0,0.09946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.77985,0.0,0.85311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.03595,0.0,2.9908,1.93354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949,0.0,0.0,0.52353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18726,2.83166,0.0,1.39767,0.0,0.0,0.0,0.0,0.0,1.51657
-4.0,0.0,0.06188,0.83208,0.0,11.90165,0.0,0.0,5.00642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,1.15863,0.0,1.10008,0.0,0.31656,3.65172,10.16909,0.0,1.56767,3.47101,1.57711,0.05674,0.0,0.0,1.68483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30493,11.88442,0.0,0.0,1.42337,0.0,10.43936,0.0,0.94878,0.0,0.0,0.0,5.33714,1.74005,0.0,18.5723,0.0,0.68707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,0.58697,1.9863,0.0,0.0,0.0,0.0,0.0,0.0,56.38074,0.0,13.74551,0.0,0.0,0.0,0.0,0.0,5.72217,1.31964,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,1.69544,0.0,0.0,0.0,0.0,0.64743,0.0,0.0,2.64064,1.13395,0.0,1.19662,3.16455,26.71602,3.75946,1.43941,0.50473,1.26165,1.0049,0.0,6.58908,20.48778,8.07591,1.84626,3.65569,2.47659,21.74716,0.16811,0.0,4.29116,0.0,0.0,0.0,0.0,0.0,2.40656,0.1073,0.0,2.61444,1.8897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02624,2.28013,0.03782,4.74837,0.0,0.75565,0.0,0.09946,0.0,0.0,12.62577,0.0,0.0,0.0,0.0,0.0,13.77985,0.86917,0.85311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.73598,0.0,2.9908,1.93354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09949,0.0,0.0,0.58621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22092,2.42001,0.0,1.39767,0.0,17.18329,0.0,0.0,0.0,1.56904
-3.75,0.0,0.06188,0.83208,0.0,11.90166,0.0,0.0,5.00642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13407,13.63591,0.0,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,1.9547,8.28782,1.186,0.0,1.61667,3.71411,10.17613,0.0,2.03745,3.25203,1.57711,0.26013,0.0,0.0,2.00664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.80257,11.88444,0.0,0.0,2.12775,0.0,6.66077,0.0,0.94878,0.0054,0.0,0.0,5.33714,2.5054,0.0,18.5723,0.0,1.33876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74626,1.22817,1.9863,0.0,0.0,0.0,0.0,0.0,0.0,56.40606,0.0,13.74551,0.0,0.0,0.0,0.0,0.0,5.72217,1.31964,0.0,0.0,0.0,0.0,0.0,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,0.0,0.0,0.0,0.0,1.2695,0.0,0.0,0.11602,0.0,5.63878,0.0,0.0,2.64064,1.13912,0.0,0.81099,3.25598,27.35345,3.8189,1.29011,0.50473,1.19774,1.22127,0.0,5.3576,22.75294,8.07591,3.57561,2.76665,2.52814,21.74716,0.39077,0.0,4.33235,0.0,0.0,18.08381,5.84548,0.0,2.08501,0.1073,0.0,1.75869,1.80186,0.0,0.0,0.0,0.22829,0.0,0.0,0.0,4.91138,2.28013,0.03782,4.74837,0.0,0.91642,0.0,0.09946,0.0,0.0,12.62577,0.0,0.0,0.0,0.0,0.0,7.69709,0.86925,0.85311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7558,10.28307,2.09508,1.93355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3069,77.97456,0.0,0.0,0.0,12.09581,0.0,0.0,0.09949,0.0,0.0,0.58621,0.0,0.15015,0.0,0.0,0.0,0.0,0.0,3.25832,2.42001,0.0,5.20887,0.0,17.18329,0.0,1.88723,0.0,1.56904
-3.5,0.0,0.06188,0.88616,0.0,11.90166,0.0,3.13243,5.1787,0.0,16.68167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13407,13.63591,66.35853,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,1.9547,8.45049,1.02939,0.0,1.29951,2.78738,10.17614,7.05302,2.43516,3.25204,1.44253,0.26014,8.50253,0.0,1.67726,21.45182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.12668,11.88444,0.0,0.0,8.15286,26.96097,6.66078,0.0,0.94878,0.0054,0.0,0.0,5.33714,2.5054,0.0,18.5723,0.0,1.28486,9.29998,0.0,1.83676,0.0,0.0,0.0,0.0,40.73031,0.0,2.97697,1.17643,4.92107,0.0,0.0,0.0,0.82318,0.0,0.0,56.40606,36.28175,13.76271,0.0,0.0,0.0,9.73174,0.15109,5.58015,1.02397,0.0,0.0,0.0,0.0,0.0573,0.0,4.95727,0.0,0.0,0.0,0.20111,0.0,0.0,15.66788,0.0,0.0,0.0,1.30892,0.0,0.0,0.11602,0.0,5.63878,0.0,0.0,2.65485,1.13912,0.0,0.64478,3.04388,41.02593,2.21835,1.11622,0.53062,1.24625,1.22127,0.0,3.92305,23.34032,8.07591,3.97194,2.51597,2.35428,13.99456,2.57317,0.0,3.31685,10.75524,0.0,18.51286,5.84548,0.0,1.99473,0.1073,10.38045,1.33548,2.16748,0.0,0.0,0.0,0.22829,0.0,0.0,0.0,4.92155,1.64249,0.03783,4.74837,0.0,0.91642,0.0,0.13655,0.0,0.0,12.73261,0.0,0.0,0.0,0.0,0.0,5.76381,0.86925,0.85311,0.0,0.0,0.52244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.88156,6.81396,1.42374,1.69322,0.0,0.0,0.0,0.0,0.0,0.0,41.01214,0.0,0.0,0.0,0.0,0.32024,77.97456,0.0,0.0,0.0,12.09581,0.0,0.0,0.20414,0.0,0.0,0.58621,0.0,0.15015,0.0,0.0,0.0,23.39914,6.20354,3.25832,2.11201,0.09132,5.20887,0.0,17.18329,0.0,1.97288,0.0,0.82795
-3.25,13.50502,0.06188,0.94296,0.0,11.90166,61.1191,8.24195,9.05855,0.0,16.68167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13407,13.63591,66.35853,0.0,0.0,0.0,0.0,0.0,20.8442,0.0,0.0,0.0,0.0,0.0,1.9547,7.8114,6.26315,2.75476,1.40963,2.36103,10.17614,7.05302,2.41862,3.43162,1.3298,0.25323,8.51855,79.99427,1.74296,21.45182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1528,9.90143,0.0,3.74396,8.11324,13.57325,10.78416,0.0,0.94878,0.00541,0.0,0.0,5.33714,1.90478,2.74529,18.59835,0.0,1.18474,7.97465,7.49968,0.91839,1.33138,0.0,0.0,0.0,40.73031,0.0,3.98196,1.23574,4.92107,0.0,3.74647,0.0,0.82318,0.0,17.73683,56.40606,36.30216,9.7954,0.0,0.0,0.0,10.77692,0.15109,4.89159,0.83492,0.11035,0.0,0.0,0.0,0.0573,0.0,15.04138,0.0,0.0,0.0,25.74496,0.0,0.0,15.66788,0.0,0.0,0.0,1.30892,0.0,0.0,0.11602,14.52831,5.89951,0.0,0.0,2.81106,1.39118,0.0,8.97656,3.03038,26.95999,1.86887,1.11622,0.53062,1.24625,4.24814,34.8883,3.63638,18.78659,8.07591,3.26092,2.20284,1.9903,13.99456,2.57317,0.0,3.34069,6.78843,10.66766,18.51286,10.07029,0.0,1.94766,0.58425,5.83328,1.28365,1.76945,0.0,0.0,0.0,0.22829,0.0,0.0,0.0,5.20794,1.77493,0.03783,4.74837,6.59614,0.91642,0.0,0.08911,0.0,0.0,12.73269,0.0,0.0,0.0,0.0,0.0,5.94482,0.86925,0.85311,0.0,0.0,1.24946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53676,4.21968,1.48058,2.49145,0.0,4.61446,16.39599,0.0,0.0,50.12739,41.01214,0.0,0.0,0.0,0.0,0.32024,77.97456,0.0,0.0,0.0,10.48707,0.0,8.72014,16.5698,0.0,0.0,0.58621,0.0,0.19148,32.15735,0.0,0.0,23.39916,6.20354,2.751,1.82857,1.27629,5.20887,0.0,8.73076,0.0,3.76897,24.39411,0.82795
-3.0,20.54187,0.0363,0.94296,13.00845,11.90166,61.14522,13.87828,6.42793,0.0,16.70107,0.0,0.0,16.50402,2.58892,0.0,0.0,92.80227,0.0,2.86552,33.75294,66.35853,0.0,0.0,0.0,102.97485,0.0,20.84421,0.0,0.0,0.0,0.0,0.0,3.89884,5.74761,5.0013,7.562,1.71672,2.35258,7.95125,7.05302,2.42721,3.18799,1.26848,0.2778,5.76466,80.0943,1.90426,12.85069,18.70396,24.21154,56.51916,41.59242,0.0,0.0,0.0,20.00685,9.90143,0.0,7.12587,8.11324,13.57325,10.80278,0.0,0.94878,0.59151,26.25008,6.67998,34.84783,1.90478,8.33018,18.59836,17.41051,1.19701,7.97465,6.04699,7.6755,1.05786,1.01873,35.15009,0.0,40.73031,0.0,3.98196,1.34066,9.68913,0.0,3.74648,0.0,0.82318,0.0,17.73683,42.31775,36.30216,8.43114,0.0,0.0,0.0,11.10682,0.15109,4.86794,0.66794,2.45333,0.0,0.0,0.0,33.93769,0.0,15.13259,0.0,0.17738,0.0,25.74496,0.0,0.0,15.66789,0.0,0.0,0.0,2.02927,0.0,0.0,0.11602,14.52831,5.89951,3.04449,8.58975,5.42482,1.66252,0.64483,9.06015,2.73173,27.40002,1.8703,1.54857,0.53062,2.18451,4.03668,34.8883,2.93618,16.57172,5.64186,3.26159,2.38098,2.30049,13.99457,8.03977,0.0,3.21297,6.26883,5.6533,20.0015,10.07029,0.0,1.74324,18.48726,6.58101,1.13624,1.8006,3.85725,0.0,5.27399,0.26455,0.0,7.35601,0.0,8.83434,11.24913,1.58498,16.03372,6.61683,0.98293,0.0,0.93391,20.031,0.0,12.7327,0.0,0.0,11.71429,0.0,0.0,5.0365,9.11134,21.046,37.19039,3.95834,1.68642,3.1134,0.0,0.0,8.61056,0.0,12.23197,0.0,7.69131,3.64043,1.67406,2.51677,6.32006,4.65145,16.396,31.50071,0.0,50.12739,21.14862,0.0,0.0,0.0,0.0,0.33038,79.94912,0.0,0.0,0.0,13.00241,0.0,17.04269,16.5698,0.0,0.0,0.58621,0.0,0.19148,10.23632,8.81404,0.0,21.25584,4.14488,2.20897,1.76299,1.27629,6.83451,0.0,8.38764,0.0,23.47391,24.39411,3.34873
-2.75,20.60075,0.96773,2.03869,16.89788,6.58251,69.54989,14.0083,6.42793,0.0,16.70107,2.929,3.83365,8.31701,19.10765,0.0,0.0,92.80227,11.54588,2.87087,33.75294,66.35854,0.0,0.0,0.0,52.11113,0.0,20.84421,0.0,44.8388,0.0,0.0,0.0,11.90056,5.34827,4.9034,7.56201,1.66051,2.18262,5.60047,3.89577,2.61809,3.62069,1.55969,1.75829,6.53465,80.18335,2.86234,12.73921,32.2634,16.80722,56.51916,25.9715,0.0,0.0,0.0,27.13917,10.24323,8.73204,6.50323,10.38696,13.6137,10.80278,0.0,0.47976,5.11005,18.39211,5.83222,47.25829,3.08614,8.36456,18.63476,17.69378,1.38068,32.00106,15.64778,10.03659,12.00358,19.72658,35.35911,11.13897,40.73031,0.0,3.98196,1.92411,8.35307,0.0,4.77806,0.0,0.64095,0.0,17.73683,42.32317,18.29649,8.05078,0.0,0.0,0.0,6.36529,15.93501,4.30813,1.39767,2.4845,0.0,35.80597,0.0,34.16888,0.0,15.13259,0.0,0.17738,0.0,25.74496,0.0,0.0,16.6893,0.0,0.0,19.01849,2.23402,0.0,1.98492,9.51334,14.52832,4.16109,3.04449,8.58975,4.12693,1.81491,4.11545,8.25313,2.73439,27.9926,2.37204,1.80301,1.28096,2.85904,3.45162,34.94363,2.57101,17.00897,7.69203,3.15103,2.07149,3.08166,13.99457,8.08823,0.0,4.03126,7.28354,4.11022,22.77654,9.34975,0.15838,1.52265,18.49462,7.21522,1.588,1.67029,10.83754,1.64774,5.29502,0.26455,0.0,7.35601,0.0,7.19487,7.69721,2.32232,22.13592,5.12486,1.14478,12.49817,1.33947,12.0563,1.69315,22.06965,0.0,0.0,11.71429,13.77966,0.0,8.31172,9.29367,19.2141,16.93176,3.05723,1.68642,26.8325,0.0,53.62049,4.58783,71.20612,32.83767,0.0,9.71183,4.66212,1.68478,4.59173,13.34953,7.3707,22.14514,31.50071,53.86896,50.12739,21.14862,43.85207,0.0,16.65353,0.0,0.33038,83.5226,0.0,0.0,100.61254,13.02068,0.0,19.79619,22.91129,0.0,0.0,0.58621,0.0,0.19148,9.79589,8.81404,32.36337,14.17065,7.11215,2.16782,1.91968,1.27629,11.37151,17.32661,7.13798,28.36856,24.13412,16.08037,6.47582
