,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.08628,0.0,0.0,0.10535,0.0,0.05477,0.08081,0.0,0.0,0.0,0.09204,0.0,0.07407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05903,0.0,0.0,0.0,0.0,0.0,0.06476,0.0,0.0,0.0,0.0,0.47603,0.07803,0.0,0.07471,0.1125,0.12925,0.0,0.0,0.138,0.30755,0.16773,0.07277,0.07271,0.08818,0.12422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26704,0.08018,0.10928,0.0,0.1006,0.11176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10209,0.0,0.0,0.51791,0.07968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10171,0.06394,0.0,0.0,0.07118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09242,0.17174,0.1707,0.07376,0.0,0.0,0.0,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.0,0.0,0.09629,0.0,0.0,0.0924,0.0,0.09037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12339,0.06887,0.09758,0.2058,0.50021,0.0,0.08486,0.06153,0.07589,0.0,0.14334,0.06267,0.35768,0.1122,0.1137,0.08725,0.09974,0.0,0.0,0.0,0.0,0.14647,0.0,0.09754,0.12908,0.0,0.32519,0.60327,0.0,0.27206,0.1168,0.08123,0.08851,0.07548,0.0,0.06985,0.0,0.10884,0.08938,0.09187,0.10265,0.0,0.0,0.05695,0.06469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06046,0.0,0.0876,0.0,0.0,0.0,0.07087,0.0,0.0,0.07266,0.0,0.0,0.092,0.0,0.0,0.0,0.20154,0.1471,0.09487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08383,0.0,0.0,0.14522,0.0,0.0,0.0,0.0915,0.07868,0.0,0.0,0.0,0.0,0.0,0.0,0.06701,0.0,0.0,0.13629,0.17892,0.0,0.07788,0.10572,0.08431,0.0,0.0,0.0,0.0,0.08573
-4.75,0.0,0.08628,0.0,0.0,0.10535,0.0,0.05477,0.08081,0.06276,0.0,0.0,0.09204,0.0,0.06845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,0.0,0.0,0.0,0.0,0.0,0.06476,0.0,0.0,0.0,0.0,0.47603,0.07803,0.0,0.07471,0.1125,0.12925,0.0,0.0,0.13137,0.28446,0.14687,0.0717,0.0681,0.08645,0.12422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25025,0.08018,0.10928,0.0,0.08981,0.11176,0.0,0.07021,0.0,0.0,0.0,0.0,0.0,0.06434,0.08748,0.0,0.0,0.50575,0.07549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09981,0.06394,0.07249,0.0,0.07118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09071,0.16586,0.16414,0.07277,0.0,0.0,0.0,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.0,0.0,0.09629,0.0,0.0,0.0924,0.0,0.07735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11869,0.06737,0.09508,0.2303,0.47216,0.0,0.07481,0.07515,0.06327,0.0,0.14334,0.05898,0.33613,0.096,0.11285,0.08585,0.09974,0.0,0.0,0.0,0.0,0.14058,0.0628,0.09754,0.12908,0.0,0.30287,0.36734,0.0,0.24386,0.11497,0.07671,0.07926,0.07268,0.04997,0.06985,0.0,0.10884,0.07925,0.08881,0.10265,0.0,0.0,0.05608,0.06453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05944,0.06709,0.0876,0.0,0.0,0.0,0.07087,0.0,0.0,0.07266,0.08547,0.0,0.092,0.0,0.0,0.0,0.19826,0.13605,0.09487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197,0.0,0.0,0.07767,0.0,0.0,0.05786,0.0915,0.07383,0.0,0.0,0.0,0.0,0.0,0.09515,0.06701,0.0,0.0,0.13441,0.17892,0.0,0.07788,0.10338,0.08431,0.0,0.0,0.05797,0.0,0.06727
-4.5,0.0,0.08628,0.08736,0.0,0.10535,0.0,0.04675,0.07725,0.06276,0.0,0.09842,0.09204,0.0,0.06845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05583,0.0,0.0,0.0,0.0,0.0,0.06276,0.0,0.0,0.0,0.0,0.47603,0.07063,0.07167,0.06878,0.1125,0.11141,0.05687,0.0,0.11952,0.27796,0.13879,0.06455,0.06603,0.08192,0.12422,0.06999,0.0,0.06792,0.0,0.0,0.0,0.0,0.0,0.24235,0.08018,0.10928,0.0,0.08961,0.11176,0.0,0.07021,0.0,0.0,0.0,0.0,0.0,0.07367,0.08106,0.0,0.0,0.46089,0.06287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0951,0.06394,0.07249,0.0,0.07118,0.0,0.05826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08368,0.16586,0.15766,0.06945,0.0,0.0,0.0,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.07583,0.0,0.09629,0.0,0.05183,0.0924,0.0,0.07735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11378,0.06328,0.08784,0.21721,0.45654,0.0,0.06939,0.07515,0.06766,0.0,0.14334,0.05715,0.32185,0.09295,0.10971,0.08184,0.088,0.0,0.0,0.0,0.0,0.12774,0.06037,0.07296,0.09708,0.0,0.28808,0.36387,0.0,0.23623,0.1044,0.07661,0.06909,0.06867,0.04997,0.06646,0.0,0.10884,0.07925,0.0884,0.08212,0.05396,0.0,0.05443,0.06453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06308,0.06709,0.07854,0.0,0.0,0.0,0.07087,0.0,0.05603,0.07266,0.08547,0.0,0.092,0.0,0.0,0.0,0.18724,0.13218,0.09487,0.0,0.0,0.0,0.05976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08197,0.0,0.0,0.07767,0.0,0.0,0.05786,0.07004,0.06858,0.0,0.0,0.0,0.0,0.0,0.07883,0.0667,0.0,0.0,0.13441,0.17892,0.0,0.07788,0.09887,0.07605,0.0,0.0,0.05572,0.0,0.061
-4.25,0.0,0.08628,0.0867,0.0,0.08595,0.0,0.04675,0.07725,0.06276,0.0,0.09842,0.09204,0.0,0.06845,0.0,0.0,0.0,0.07501,0.0,0.0,0.0,0.05583,0.0,0.0,0.05275,0.0,0.0,0.06276,0.0,0.0,0.0,0.0,0.47603,0.06864,0.07167,0.0641,0.1125,0.10573,0.05293,0.0,0.1126,0.26383,0.13782,0.0621,0.06476,0.07539,0.0983,0.06999,0.0,0.06792,0.0,0.0,0.0,0.0,0.0,0.22618,0.08018,0.07874,0.0,0.08523,0.10093,0.0,0.07021,0.0,0.0,0.0,0.0,0.0,0.07367,0.0743,0.0,0.0,0.45236,0.06418,0.0,0.0,0.0,0.07281,0.0,0.0,0.0,0.0,0.0,0.0951,0.06394,0.07249,0.05832,0.07118,0.0,0.05826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08368,0.16236,0.14692,0.06282,0.06581,0.05805,0.0,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.07583,0.0,0.09629,0.0,0.05183,0.0924,0.0,0.06804,0.0,0.0,0.10927,0.0,0.07003,0.0,0.08322,0.10549,0.06179,0.08072,0.21037,0.42218,0.0,0.06799,0.06704,0.06408,0.0,0.14334,0.05501,0.30268,0.08743,0.10383,0.07969,0.0814,0.05489,0.0,0.0,0.0,0.12265,0.06881,0.07296,0.09708,0.0,0.27519,0.36331,0.0,0.23221,0.10354,0.0735,0.06512,0.06533,0.04997,0.06875,0.0,0.10884,0.07925,0.08633,0.08212,0.05396,0.0,0.0489,0.05701,0.0,0.06714,0.08009,0.0,0.06654,0.05802,0.06187,0.06308,0.06709,0.07604,0.06771,0.0,0.10618,0.06209,0.0,0.05603,0.06271,0.08547,0.08866,0.092,0.0,0.0,0.05673,0.17879,0.12565,0.07837,0.0,0.06045,0.0,0.05976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05849,0.0,0.0,0.07767,0.0,0.0,0.05786,0.06159,0.06858,0.0,0.0,0.0,0.0,0.0,0.07883,0.0667,0.0,0.0,0.12307,0.17892,0.0,0.07788,0.09249,0.07656,0.0,0.0,0.05572,0.0,0.05779
-4.0,0.0497,0.06158,0.0867,0.0,0.08595,0.0,0.04675,0.06034,0.05692,0.0,0.09842,0.09204,0.0,0.06845,0.0,0.0,0.0,0.07501,0.0,0.0,0.0,0.054,0.0,0.0,0.05275,0.0,0.05042,0.06276,0.0,0.0,0.0,0.0,0.47603,0.06301,0.06731,0.0607,0.0973,0.09792,0.05293,0.0,0.10821,0.24486,0.13142,0.05779,0.0554,0.07248,0.08021,0.06999,0.0,0.06792,0.0,0.0,0.0,0.0,0.0,0.21483,0.07188,0.07128,0.0,0.08523,0.09306,0.0,0.07021,0.0,0.0,0.0,0.0,0.0,0.07367,0.0711,0.0,0.06241,0.41178,0.06157,0.0,0.06202,0.05444,0.06172,0.08693,0.06151,0.0,0.0,0.0,0.08582,0.06394,0.07249,0.05471,0.07118,0.0,0.05826,0.06915,0.0,0.0,0.0,0.0,0.0,0.0,0.0773,0.16236,0.14297,0.06035,0.06581,0.05785,0.0,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.07583,0.0,0.09629,0.0,0.04627,0.10481,0.07488,0.06549,0.0,0.0,0.10927,0.06955,0.07003,0.0,0.06795,0.09872,0.06179,0.0791,0.20915,0.39929,0.0,0.06291,0.05906,0.06125,0.0,0.32514,0.05503,0.28668,0.08205,0.10121,0.07322,0.07837,0.05489,0.04574,0.0,0.0,0.11632,0.06554,0.08396,0.09708,0.0,0.25907,0.35888,0.0,0.21379,0.09912,0.07309,0.06207,0.06284,0.04997,0.06875,0.0,0.10884,0.07925,0.07864,0.08212,0.05396,0.0,0.04711,0.05437,0.04662,0.06127,0.08009,0.05432,0.06654,0.05181,0.06187,0.06308,0.06709,0.07235,0.06281,0.0,0.10275,0.06209,0.0539,0.05603,0.06271,0.08547,0.07682,0.07507,0.0,0.04865,0.06226,0.17049,0.11642,0.07837,0.0,0.06049,0.08465,0.05976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05849,0.0,0.0,0.07767,0.0,0.0,0.05154,0.05668,0.06858,0.0,0.0,0.0,0.0,0.0,0.07883,0.0667,0.0,0.0,0.10295,0.17892,0.0,0.07788,0.08788,0.06502,0.07777,0.0,0.05572,0.0,0.05652
-3.75,0.0497,0.06056,0.08649,0.05124,0.08595,0.0,0.04312,0.06015,0.05692,0.0,0.09842,0.09003,0.0,0.06845,0.0,0.0,0.0,0.04557,0.0,0.0,0.0,0.0484,0.0,0.0,0.0484,0.0,0.05014,0.06276,0.0,0.0,0.0,0.0,0.47603,0.05655,0.06401,0.05941,0.085,0.09355,0.05293,0.0,0.10486,0.23227,0.13156,0.05532,0.05306,0.06777,0.08021,0.06999,0.0,0.06792,0.0,0.04747,0.0,0.0,0.0,0.20495,0.06995,0.06496,0.04726,0.08523,0.11485,0.0,0.07021,0.0,0.0,0.05376,0.0,0.0,0.07367,0.06828,0.05034,0.06241,0.39359,0.05745,0.0,0.06202,0.05444,0.05929,0.08693,0.05923,0.0,0.0,0.0,0.07714,0.06394,0.06204,0.05471,0.07337,0.0,0.05493,0.06915,0.0,0.0,0.0,0.0,0.0,0.0,0.06903,0.16236,0.13447,0.05216,0.06118,0.0559,0.03932,0.0,0.0,0.14066,0.0,0.06093,0.0,0.0,0.0,0.07583,0.0,0.06501,0.0,0.04627,0.06893,0.07488,0.06549,0.0,0.0,0.10927,0.06659,0.06383,0.0,0.06255,0.09334,0.06103,0.07599,0.20338,0.37754,0.0,0.06227,0.05377,0.05673,0.0,0.32514,0.05294,0.26992,0.07896,0.09127,0.07017,0.07512,0.04633,0.04937,0.0,0.0,0.11493,0.05932,0.08396,0.08362,0.0,0.23877,0.35888,0.04728,0.19832,0.092,0.06576,0.06042,0.06169,0.04989,0.06875,0.0,0.10884,0.06059,0.06962,0.07707,0.04809,0.07146,0.04537,0.05383,0.04472,0.06037,0.06128,0.05432,0.06654,0.05039,0.06157,0.05957,0.05828,0.06951,0.0598,0.05388,0.09758,0.0623,0.05091,0.05603,0.05421,0.08547,0.07424,0.07373,0.0,0.04865,0.05982,0.16681,0.11305,0.06704,0.0,0.06049,0.08028,0.06059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06067,0.0,0.0,0.05985,0.0,0.0,0.05226,0.05386,0.06858,0.0,0.0,0.0,0.0,0.0,0.06511,0.05665,0.0,0.0,0.10295,0.17892,0.0,0.06608,0.07958,0.06502,0.07777,0.04464,0.05572,0.0,0.05615
-3.5,0.05008,0.05781,0.08649,0.04816,0.07946,0.0,0.03834,0.05869,0.05692,0.03611,0.09842,0.09003,0.0,0.06845,0.0,0.0,0.0,0.04557,0.0,0.03792,0.04401,0.04817,0.0,0.03931,0.04649,0.06006,0.04585,0.04484,0.0,0.0,0.0,0.0,0.47603,0.05097,0.06441,0.05359,0.08544,0.08885,0.05272,0.05972,0.09941,0.2163,0.12312,0.05067,0.05306,0.06593,0.07294,0.05476,0.04913,0.06792,0.0,0.04747,0.04567,0.0,0.0,0.1885,0.06275,0.05927,0.04781,0.08523,0.11075,0.04097,0.07021,0.0,0.0,0.05632,0.0,0.0,0.07367,0.06538,0.04931,0.05766,0.35843,0.05578,0.04775,0.05917,0.05444,0.05755,0.08693,0.05923,0.0543,0.0,0.0,0.07571,0.06394,0.06157,0.05471,0.07337,0.0,0.05168,0.06915,0.0,0.0,0.0,0.0,0.0,0.0,0.06903,0.16236,0.12735,0.05145,0.05447,0.05574,0.03493,0.0,0.0,0.14066,0.0,0.05394,0.0,0.0,0.0,0.07583,0.0,0.05829,0.0,0.04335,0.06893,0.07488,0.06549,0.0,0.0,0.08475,0.06659,0.06183,0.0,0.05526,0.0884,0.05864,0.07086,0.17789,0.35387,0.7354,0.05652,0.04838,0.05472,0.0,0.32514,0.04833,0.25328,0.07472,0.08472,0.06509,0.07059,0.04633,0.04828,0.04357,0.05868,0.1092,0.05675,0.07452,0.07755,0.04853,0.22352,0.35888,0.04498,0.18747,0.08797,0.06411,0.05525,0.05785,0.04433,0.06396,0.0,0.07984,0.05254,0.06033,0.06148,0.0433,0.06367,0.04348,0.04938,0.04405,0.05346,0.05457,0.04987,0.08094,0.04903,0.06157,0.05364,0.05377,0.06342,0.05361,0.06124,0.09,0.06107,0.05091,0.05019,0.05767,0.0452,0.06762,0.07373,0.0,0.04865,0.05769,0.15521,0.10481,0.06196,0.0,0.06111,0.07643,0.06059,0.0,0.0,0.0,0.1133,0.0,0.0,0.0,0.05534,0.05665,0.0444,0.05985,0.0,0.0,0.04983,0.05134,0.04909,0.04881,0.04672,0.0,0.05476,0.0,0.06521,0.04964,0.0,0.0,0.09722,0.1134,0.04877,0.06608,0.07583,0.06175,0.07198,0.04648,0.05572,0.05194,0.05386
-3.25,0.04388,0.0558,0.08649,0.0455,0.07419,0.04522,0.03766,0.05305,0.05037,0.03611,0.09842,0.09003,0.0,0.05939,0.10659,0.0,0.0,0.04557,0.0,0.03697,0.04401,0.04435,0.0,0.03931,0.04393,0.06006,0.04382,0.04303,0.0,0.0,0.0,0.04747,0.3262,0.04795,0.06389,0.05255,0.07524,0.07974,0.04776,0.06544,0.09597,0.19515,0.11447,0.04698,0.04714,0.06105,0.06568,0.0556,0.04651,0.04956,0.03842,0.04686,0.04138,0.0,0.0,0.17757,0.06039,0.0532,0.04495,0.0755,0.09706,0.04094,0.07021,0.04342,0.04438,0.05313,0.04153,0.0,0.05902,0.06213,0.04543,0.05527,0.33098,0.05023,0.0456,0.05471,0.05444,0.0514,0.08693,0.04872,0.05259,0.0,0.06011,0.07439,0.0487,0.06209,0.05471,0.05881,0.0,0.05168,0.06915,0.0,0.0,0.04646,0.0,0.0,0.05017,0.06551,0.12861,0.12298,0.04876,0.05203,0.05574,0.03367,0.0,0.03766,0.14066,0.0,0.05121,0.0,0.0,0.0,0.06172,0.0,0.05829,0.0,0.0411,0.06893,0.07488,0.06108,0.06145,0.0,0.07816,0.06157,0.06147,0.0,0.05445,0.08292,0.05845,0.0661,0.16285,0.34292,0.72413,0.05357,0.04642,0.05219,0.0,0.2262,0.04521,0.23821,0.07074,0.078,0.06114,0.06567,0.05005,0.04724,0.04357,0.05253,0.0966,0.05178,0.07034,0.07128,0.05039,0.21073,0.33877,0.04191,0.17596,0.08271,0.05812,0.04979,0.05266,0.04091,0.06059,0.04415,0.0781,0.0504,0.06033,0.05862,0.04169,0.06192,0.04007,0.04638,0.04221,0.05235,0.05379,0.0479,0.0616,0.0453,0.06157,0.04449,0.05211,0.05979,0.05064,0.05781,0.08294,0.0504,0.05091,0.04786,0.06488,0.0452,0.06418,0.05654,0.0,0.04366,0.05692,0.14337,0.10186,0.05831,0.05543,0.04913,0.07155,0.06059,0.0,0.0,0.0,0.08252,0.04391,0.0445,0.0,0.048,0.05572,0.04239,0.05579,0.0,0.0,0.0491,0.04886,0.04909,0.04881,0.04254,0.0,0.05476,0.0,0.06306,0.04602,0.05154,0.0,0.085,0.1134,0.04877,0.05644,0.06949,0.0656,0.07198,0.04263,0.05572,0.05194,0.05193
-3.0,0.04218,0.04947,0.08649,0.04133,0.06987,0.04353,0.03695,0.05169,0.04544,0.03611,0.05802,0.08264,0.03777,0.04927,0.08391,0.0,0.0,0.04557,0.0,0.03304,0.04401,0.04011,0.0,0.03931,0.04172,0.06006,0.04404,0.03958,0.03528,0.0,0.0,0.04393,0.3262,0.0453,0.05912,0.04917,0.06657,0.07455,0.04399,0.05924,0.09055,0.18338,0.0998,0.04542,0.04545,0.05758,0.05949,0.0537,0.04286,0.04814,0.03842,0.04585,0.04138,0.04039,0.03557,0.16413,0.0565,0.05364,0.04252,0.05479,0.09423,0.03813,0.07021,0.04264,0.04096,0.05125,0.04132,0.0,0.05296,0.05697,0.04269,0.05451,0.30572,0.04613,0.04174,0.04837,0.04771,0.05062,0.07658,0.04872,0.04866,0.0,0.06011,0.07057,0.04327,0.0489,0.04915,0.04242,0.0,0.05168,0.06915,0.0,0.04311,0.04388,0.0,0.04827,0.05455,0.05523,0.11159,0.10848,0.04529,0.053,0.05574,0.03195,0.0,0.03766,0.14066,0.04562,0.04582,0.0,0.0,0.0,0.06172,0.0,0.05047,0.0,0.03913,0.06218,0.06467,0.05791,0.055,0.04637,0.07816,0.06071,0.05833,0.05971,0.05021,0.07746,0.05337,0.06109,0.15824,0.30513,0.6187,0.05099,0.04358,0.0477,0.08667,0.2262,0.04031,0.21748,0.06728,0.07132,0.05861,0.05869,0.0489,0.041,0.04042,0.05253,0.09126,0.04803,0.0662,0.06539,0.04638,0.19326,0.33877,0.03825,0.16426,0.0766,0.05148,0.04948,0.0495,0.03925,0.04611,0.04146,0.06542,0.04734,0.05337,0.0508,0.03902,0.05535,0.03853,0.04207,0.04028,0.04902,0.04797,0.04442,0.05225,0.04076,0.04582,0.04175,0.04781,0.05384,0.04805,0.05516,0.07961,0.04639,0.04504,0.04199,0.05454,0.03824,0.05725,0.04756,0.0,0.04324,0.05669,0.13581,0.09411,0.05602,0.05403,0.05232,0.069,0.0545,0.0,0.0,0.0,0.08252,0.04391,0.0445,0.04696,0.04353,0.05572,0.04,0.05579,0.03722,0.03205,0.04658,0.04415,0.04879,0.04489,0.04272,0.0,0.05476,0.04342,0.0602,0.04221,0.04567,0.0,0.07955,0.07364,0.04877,0.05542,0.06443,0.05635,0.06864,0.0368,0.05572,0.04488,0.04584
-2.75,0.04085,0.04588,0.08649,0.03889,0.0644,0.04094,0.03588,0.04634,0.04182,0.03414,0.05085,0.05932,0.03704,0.04234,0.06292,0.0,0.0,0.0384,0.0,0.03304,0.03435,0.04113,0.0,0.032,0.03719,0.05112,0.04054,0.03625,0.03528,0.0,0.03765,0.04159,0.31055,0.04335,0.04916,0.04494,0.06224,0.06971,0.04048,0.05248,0.07963,0.16843,0.09479,0.04107,0.04355,0.0549,0.05268,0.0539,0.04043,0.0466,0.036,0.04207,0.03659,0.04158,0.03392,0.15316,0.05179,0.05042,0.03954,0.05037,0.08613,0.03616,0.0523,0.04022,0.0389,0.04627,0.03865,0.0,0.0493,0.05177,0.03949,0.0503,0.28629,0.04314,0.04039,0.04678,0.04529,0.04793,0.06998,0.04976,0.04861,0.04106,0.05257,0.06672,0.04007,0.04508,0.04518,0.04188,0.0,0.03901,0.05072,0.03792,0.04172,0.04248,0.07799,0.04827,0.05243,0.05356,0.09162,0.09875,0.04118,0.04764,0.04225,0.03163,0.02912,0.04668,0.09025,0.04562,0.04284,0.04545,0.0,0.0,0.03912,0.0,0.04938,0.0458,0.03593,0.05734,0.05515,0.0457,0.05321,0.04365,0.06421,0.05326,0.05322,0.04801,0.04569,0.07431,0.04631,0.05377,0.14443,0.28838,0.5755,0.04787,0.03874,0.04502,0.07802,0.18411,0.03782,0.20348,0.06222,0.06878,0.05353,0.05636,0.04296,0.03487,0.03669,0.04216,0.08255,0.04331,0.05343,0.05906,0.04186,0.18298,0.33877,0.03589,0.14826,0.0709,0.0494,0.04265,0.04118,0.03511,0.04018,0.03812,0.05631,0.0424,0.04809,0.04512,0.03682,0.04942,0.03714,0.0389,0.03578,0.0443,0.03983,0.04126,0.04276,0.03549,0.04314,0.03853,0.04443,0.05161,0.04667,0.0484,0.07432,0.04325,0.04153,0.0385,0.05086,0.0362,0.04888,0.04153,0.03333,0.04324,0.05349,0.12959,0.0863,0.05072,0.04991,0.04545,0.06169,0.04781,0.04395,0.0,0.0,0.06666,0.03835,0.0445,0.04879,0.04175,0.04543,0.03517,0.04976,0.03629,0.02977,0.04338,0.04157,0.04374,0.04489,0.03483,0.0,0.0429,0.04141,0.0602,0.03911,0.0405,0.0,0.07632,0.05889,0.04108,0.05008,0.06026,0.05008,0.05941,0.03458,0.04254,0.04315,0.04192
