,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12163,0.0,0.08911,0.0,0.09547,0.10428,0.07582,0.0,0.0,0.0,0.07883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08293,0.0,0.07546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049,0.0,0.0,0.0,0.0,0.0,0.0768,0.08062,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.06504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12032,0.0,0.0,0.0,0.0845,0.92002,0.08817,0.09639,0.06996,0.0,0.06052,0.0,0.05274,0.0,0.0,0.06966,0.05769,0.07177,0.0,0.06426,0.0,0.08648,0.0,0.0,0.0,0.0,0.0,0.06514,0.08295,0.0,0.05363,0.08085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08862,0.0,0.08768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199,0.0,0.0,0.06978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08407,0.07246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799
-4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12163,0.0,0.08911,0.0,0.08257,0.10098,0.07582,0.06969,0.0,0.0,0.07883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11316,0.0,0.0,0.0,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.08293,0.0,0.07546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06378,0.0,0.0,0.0,0.0,0.0,0.0768,0.06984,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.05495,0.0,0.0,0.0,0.0,0.08763,0.0,0.0,0.12032,0.0,0.0,0.0,0.07876,0.88177,0.08817,0.09639,0.06996,0.04868,0.05595,0.0,0.0499,0.0,0.0,0.06966,0.057,0.07059,0.0,0.06214,0.0,0.08363,0.0,0.0,0.0,0.0,0.0,0.06514,0.07391,0.0,0.05363,0.06998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07608,0.0,0.0,0.0,0.0,0.0,0.0,0.07149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08862,0.0,0.08768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199,0.0,0.0,0.06978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07377,0.07154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799
-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12163,0.0,0.08911,0.0,0.08257,0.10098,0.07085,0.06969,0.0,0.0,0.07883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2901,0.07678,0.0,0.0,0.06702,0.0,0.0,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,0.0,0.08293,0.0,0.06268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06157,0.0,0.0,0.0,0.0,0.0,0.07341,0.06984,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.05495,0.0,0.0,0.0,0.0,0.08763,0.0,0.0,0.12032,0.0,0.0,0.0588,0.06672,0.83196,0.0841,0.06359,0.06996,0.04868,0.05496,0.0,0.0499,0.0,0.06132,0.05667,0.0528,0.06971,0.0,0.06214,0.0,0.08262,0.0,0.0,0.0,0.0,0.0,0.05994,0.07391,0.0,0.05363,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07353,0.0,0.07721,0.0,0.0,0.05404,0.0,0.07149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08862,0.0,0.08768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34175,0.0,0.08617,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199,0.0,0.0,0.06173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07377,0.06812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0799
-4.25,0.0,0.06771,0.0,0.0,0.0,0.0,0.0,0.05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05989,0.0,0.0,0.0,0.0,0.0,0.06048,0.0,0.05022,0.0,0.11216,0.05007,0.07842,0.0,0.0784,0.09051,0.06435,0.06969,0.0,0.0,0.07063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27104,0.07678,0.0,0.0,0.06702,0.0,0.0499,0.0,0.0504,0.0,0.0,0.0,0.08178,0.05647,0.0,0.08293,0.0,0.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06157,0.0,0.0,0.0,0.0,0.0,0.06652,0.06984,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.05214,0.0,0.0,0.0,0.0,0.08763,0.0,0.0,0.12032,0.0,0.0,0.0588,0.06588,0.80091,0.0841,0.06359,0.06996,0.04868,0.05296,0.0,0.0499,0.36386,0.06132,0.05511,0.05082,0.06971,0.0,0.04789,0.0,0.06975,0.0,0.0,0.0,0.0,0.0,0.05962,0.07391,0.0,0.05363,0.06792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07353,0.0,0.07721,0.0,0.0,0.05198,0.0,0.07149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07684,0.0,0.06102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33707,0.0,0.08617,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199,0.0,0.0,0.06162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07377,0.06631,0.0,0.05278,0.0,0.0,0.0,0.0,0.0,0.0799
-4.0,0.0,0.06508,0.06421,0.0,0.04978,0.0,0.0,0.05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05989,0.0,0.0,0.0,0.0,0.0,0.06048,0.0,0.0476,0.0,0.10394,0.04862,0.06907,0.0,0.07461,0.0875,0.05633,0.06969,0.0,0.0,0.06785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24738,0.06389,0.0,0.0,0.06702,0.0,0.04744,0.0,0.0504,0.0,0.0,0.0,0.08178,0.05451,0.0,0.07423,0.0,0.05829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.07076,0.04605,0.0,0.0,0.0,0.0,0.0,0.0,0.06023,0.0,0.06028,0.0,0.0,0.0,0.0,0.0,0.06652,0.06984,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.05214,0.0,0.0,0.0,0.0,0.08763,0.0,0.0,0.10272,0.08516,0.0,0.05582,0.06439,0.77852,0.08008,0.06359,0.05876,0.04868,0.05233,0.0,0.04596,0.35243,0.06132,0.05106,0.05082,0.05721,0.05178,0.04651,0.0,0.06975,0.0,0.0,0.0,0.0,0.0,0.05568,0.07391,0.0,0.04463,0.0655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0665,0.05355,0.07721,0.05268,0.0,0.05003,0.0,0.07149,0.0,0.0,0.03309,0.0,0.0,0.0,0.0,0.0,0.07684,0.06557,0.06102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30621,0.0,0.08617,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06199,0.0,0.0,0.05781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06231,0.0649,0.0,0.05278,0.0,0.04949,0.0,0.0,0.0,0.06546
-3.75,0.0,0.06508,0.06421,0.0,0.04777,0.0,0.0,0.05081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04598,0.03502,0.0,0.0,0.0,0.0,0.0,0.0,0.04837,0.0,0.0,0.0,0.0,0.0,0.05538,0.04195,0.04219,0.0,0.09028,0.04584,0.06853,0.0,0.07182,0.08402,0.05633,0.05401,0.0,0.0,0.06678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2385,0.06389,0.0,0.0,0.05452,0.0,0.04491,0.0,0.0504,0.0871,0.0,0.0,0.08178,0.05176,0.0,0.07423,0.0,0.05273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941,0.06266,0.04605,0.0,0.0,0.0,0.0,0.0,0.0,0.05783,0.0,0.06028,0.0,0.0,0.0,0.0,0.0,0.06652,0.06984,0.0,0.0,0.0,0.0,0.0,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.0,0.0,0.0,0.0,0.04972,0.0,0.0,0.05004,0.0,0.07068,0.0,0.0,0.10272,0.08042,0.0,0.05283,0.0615,0.70484,0.07717,0.05803,0.05876,0.04215,0.04647,0.0,0.04478,0.32,0.06132,0.05141,0.04814,0.04937,0.05178,0.04504,0.0,0.06759,0.0,0.0,0.05533,0.04545,0.0,0.05206,0.07391,0.0,0.05015,0.06218,0.0,0.0,0.0,0.04415,0.0,0.0,0.0,0.04573,0.05355,0.07721,0.05268,0.0,0.04659,0.0,0.06611,0.0,0.0,0.03309,0.0,0.0,0.0,0.0,0.0,0.06606,0.06288,0.06102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28573,0.07647,0.0858,0.06729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10278,0.05804,0.0,0.0,0.0,0.03878,0.0,0.0,0.06199,0.0,0.0,0.05781,0.0,0.05438,0.0,0.0,0.0,0.0,0.0,0.06149,0.0649,0.0,0.04684,0.0,0.04949,0.0,0.05143,0.0,0.06546
-3.5,0.0,0.06508,0.05892,0.0,0.04777,0.0,0.03658,0.04135,0.0,0.07801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04598,0.03502,0.0291,0.0,0.0,0.0,0.0,0.0,0.04837,0.0,0.0,0.0,0.0,0.0,0.05538,0.04126,0.0409,0.0,0.08503,0.04214,0.06571,0.0395,0.06867,0.08196,0.05467,0.04552,0.05085,0.0,0.06307,0.04576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21775,0.06389,0.0,0.0,0.05339,0.03651,0.04408,0.0,0.0504,0.0871,0.0,0.0,0.08178,0.05176,0.0,0.07115,0.0,0.04959,0.05133,0.0,0.0408,0.0,0.0,0.0,0.0,0.05786,0.0,0.0729,0.05886,0.04388,0.0,0.0,0.0,0.05086,0.0,0.0,0.05783,0.0371,0.05193,0.0,0.0,0.0,0.08153,0.04647,0.0646,0.0622,0.0,0.0,0.0,0.0,0.03452,0.0,0.06688,0.0,0.0,0.0,0.07181,0.0,0.0,0.05077,0.0,0.0,0.0,0.04348,0.0,0.0,0.05004,0.0,0.07068,0.0,0.0,0.10013,0.08042,0.0,0.053,0.05392,0.67924,0.06724,0.05787,0.05282,0.04042,0.04647,0.0,0.0429,0.30794,0.06132,0.04895,0.04439,0.04789,0.04272,0.04232,0.0,0.06198,0.042,0.0,0.04854,0.04545,0.0,0.04681,0.07391,0.03986,0.05458,0.05963,0.0,0.0,0.0,0.04415,0.0,0.0,0.0,0.04549,0.05382,0.07006,0.05268,0.0,0.04659,0.0,0.0566,0.0,0.0,0.03309,0.0,0.0,0.0,0.0,0.0,0.0706,0.05894,0.06102,0.0,0.0,0.05725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27054,0.05756,0.0741,0.05409,0.0,0.0,0.0,0.0,0.0,0.0,0.03266,0.0,0.0,0.0,0.0,0.09715,0.05804,0.0,0.0,0.0,0.03878,0.0,0.0,0.05427,0.0,0.0,0.05781,0.0,0.05438,0.0,0.0,0.0,0.04552,0.05007,0.06066,0.05721,0.05391,0.04586,0.0,0.04632,0.0,0.04938,0.0,0.07365
-3.25,0.04781,0.06508,0.05678,0.0,0.04777,0.03964,0.03326,0.03717,0.0,0.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04598,0.03502,0.0291,0.0,0.0,0.0,0.0,0.0,0.04837,0.0,0.0,0.0,0.0,0.0,0.05538,0.03943,0.03899,0.04698,0.08178,0.04072,0.0646,0.03788,0.06515,0.07988,0.052,0.04158,0.04782,0.05347,0.05848,0.04576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19927,0.05622,0.0,0.04066,0.05225,0.03809,0.04472,0.0,0.0504,0.06207,0.0,0.0,0.08178,0.0567,0.04033,0.06929,0.0,0.04724,0.04917,0.04156,0.04875,0.0434,0.0,0.0,0.0,0.05786,0.0,0.0709,0.05801,0.04388,0.0,0.04111,0.0,0.05086,0.0,0.05185,0.05783,0.03404,0.04881,0.0,0.0,0.0,0.07973,0.04647,0.05316,0.05747,0.03727,0.0,0.0,0.0,0.03452,0.0,0.04985,0.0,0.0,0.0,0.05565,0.0,0.0,0.05077,0.0,0.0,0.0,0.04348,0.0,0.0,0.05004,0.05092,0.05695,0.0,0.0,0.09706,0.06836,0.0,0.04955,0.0498,0.61153,0.06288,0.05787,0.05282,0.03958,0.04112,0.04813,0.03849,0.29661,0.06132,0.04634,0.04382,0.04412,0.04272,0.04232,0.0,0.06003,0.04073,0.0407,0.04854,0.03982,0.0,0.04568,0.0646,0.0408,0.04849,0.05732,0.0,0.0,0.0,0.04415,0.0,0.0,0.0,0.03701,0.05118,0.07006,0.05268,0.0422,0.04659,0.0,0.05333,0.0,0.0,0.03033,0.0,0.0,0.0,0.0,0.0,0.06593,0.05894,0.06102,0.0,0.0,0.05728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26152,0.05333,0.07286,0.04876,0.0,0.04766,0.05349,0.0,0.0,0.03883,0.03037,0.0,0.0,0.0,0.0,0.09715,0.05804,0.0,0.0,0.0,0.0366,0.0,0.02981,0.04152,0.0,0.0,0.05781,0.0,0.04836,0.03701,0.0,0.0,0.04448,0.04923,0.04549,0.05533,0.04618,0.04488,0.0,0.04504,0.0,0.04509,0.04294,0.07365
-3.0,0.0449,0.0571,0.05678,0.03054,0.04777,0.03964,0.03254,0.03537,0.0,0.07529,0.0,0.0,0.03695,0.03994,0.0,0.0,0.03528,0.0,0.04073,0.03389,0.0291,0.0,0.0,0.0,0.03209,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.04783,0.03647,0.03716,0.03816,0.07609,0.03746,0.057,0.03859,0.06287,0.07458,0.04905,0.03431,0.04434,0.05041,0.05501,0.03965,0.03714,0.03741,0.05628,0.03701,0.0,0.0,0.0,0.18297,0.05622,0.0,0.03681,0.05225,0.03611,0.04286,0.0,0.0504,0.06765,0.03861,0.0329,0.06463,0.05494,0.03908,0.06851,0.31446,0.04314,0.04574,0.03937,0.04614,0.04759,0.04709,0.03773,0.0,0.05786,0.0,0.0709,0.0539,0.03942,0.0,0.03911,0.0,0.05086,0.0,0.05185,0.04487,0.03404,0.04586,0.0,0.0,0.0,0.07376,0.04647,0.05146,0.0536,0.03168,0.0,0.0,0.0,0.03015,0.0,0.04887,0.0,0.05091,0.0,0.05565,0.0,0.0,0.05087,0.0,0.0,0.0,0.04011,0.0,0.0,0.05004,0.05092,0.05695,0.05032,0.05733,0.08863,0.06422,0.04573,0.04833,0.04696,0.57612,0.0571,0.05012,0.05282,0.03291,0.03981,0.04813,0.0367,0.26994,0.04736,0.04313,0.03987,0.04316,0.04006,0.03739,0.0,0.05769,0.03764,0.03878,0.04267,0.03982,0.0,0.04466,0.05808,0.05206,0.04641,0.05426,0.0381,0.0,0.03342,0.03987,0.0,0.03585,0.0,0.03533,0.04446,0.05728,0.04233,0.04151,0.04228,0.0,0.04714,0.03482,0.0,0.02766,0.0,0.0,0.03955,0.0,0.0,0.05857,0.04597,0.05395,0.03445,0.04379,0.05634,0.04525,0.0,0.0,0.03492,0.0,0.0409,0.0,0.25629,0.05244,0.07173,0.04696,0.04632,0.04348,0.05349,0.04038,0.0,0.03883,0.03017,0.0,0.0,0.0,0.0,0.09183,0.04766,0.0,0.0,0.0,0.03266,0.0,0.02869,0.04077,0.0,0.0,0.05781,0.0,0.04836,0.04849,0.04538,0.0,0.03893,0.04699,0.04262,0.0562,0.04618,0.03546,0.0,0.04438,0.0,0.04623,0.04294,0.06323
-2.75,0.04261,0.0447,0.04468,0.02843,0.03482,0.03325,0.03096,0.03537,0.0,0.07494,0.05297,0.03214,0.0352,0.038,0.0,0.0,0.03537,0.02587,0.04207,0.03389,0.02557,0.0,0.0,0.0,0.0322,0.0,0.0356,0.0,0.03029,0.0,0.0,0.0,0.04561,0.03429,0.03515,0.03633,0.07079,0.03615,0.05353,0.03099,0.05976,0.06913,0.04214,0.03187,0.04282,0.04687,0.05008,0.03889,0.03392,0.03777,0.05628,0.03289,0.0,0.0,0.0,0.16518,0.05473,0.04684,0.03344,0.04524,0.04311,0.04286,0.0,0.04613,0.05763,0.03913,0.03164,0.05995,0.04408,0.03766,0.06334,0.28502,0.04106,0.04328,0.03777,0.04372,0.04595,0.04236,0.03441,0.03124,0.05786,0.0,0.0709,0.0523,0.03679,0.0,0.03677,0.0,0.04518,0.0,0.05185,0.04386,0.03131,0.0412,0.0,0.0,0.0,0.0643,0.04367,0.04836,0.04698,0.03168,0.0,0.02906,0.0,0.02521,0.0,0.04887,0.0,0.05091,0.0,0.05565,0.0,0.0,0.03741,0.0,0.0,0.03873,0.03856,0.0,0.03574,0.03925,0.04379,0.05574,0.05032,0.05733,0.08346,0.06008,0.04144,0.04568,0.04156,0.53693,0.05421,0.0456,0.04338,0.03406,0.03706,0.04813,0.0341,0.24504,0.04143,0.04073,0.03786,0.04018,0.03878,0.03667,0.0,0.05263,0.03515,0.03604,0.04013,0.03585,0.03953,0.04309,0.05653,0.04763,0.04172,0.04907,0.03923,0.03531,0.03224,0.03987,0.0,0.03483,0.0,0.02839,0.0397,0.04502,0.035,0.03819,0.03648,0.0369,0.04413,0.03373,0.03385,0.02531,0.0,0.0,0.03955,0.03914,0.0,0.05588,0.03632,0.04977,0.03446,0.04246,0.05634,0.03823,0.0,0.02917,0.03226,0.03907,0.0322,0.0,0.22078,0.04824,0.06946,0.04453,0.04182,0.04273,0.04754,0.04038,0.05434,0.03883,0.03095,0.03691,0.0,0.03657,0.0,0.09183,0.04663,0.0,0.0,0.03326,0.02992,0.0,0.02642,0.0366,0.0,0.0,0.05781,0.0,0.04836,0.04174,0.04538,0.0286,0.04073,0.0444,0.03816,0.05244,0.04618,0.03362,0.0339,0.04027,0.0356,0.04368,0.03914,0.04946
