,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.62942,3.82137,0.0,5.94805,3.32966,3.97836,0.34392,4.62128,1.62626,0.0,0.0,5.94768,0.18796,24.99283,1.38431,3.5239,1.08308,5.48438,0.54329,0.0,0.1559,0.4534,10.87662,1.73661,0.44245,0.83919,16.44108,0.0987,10.97891,12.59294,1.32273,0.91926,11.60917,41.95002,16.01094,0.94708,5.64385,14.94667,0.28586,1.69555,38.66275,27.71136,10.38551,0.97007,2.41454,2.18016,0.47484,0.0,3.23502,7.31007,0.50638,0.0,3.18776,0.0,0.0,45.30384,3.88844,0.86385,4.29577,17.75603,0.05743,2.03587,2.09673,0.0,3.19279,2.00247,1.89714,10.82958,3.67161,2.44272,0.89753,2.02264,0.0,6.86867,1.31022,0.0,2.88167,5.18393,10.30925,3.05225,2.44811,2.74328,2.97864,5.16514,6.1335,0.4774,5.34634,0.09612,0.0,0.0,3.15319,0.17506,0.0,15.53112,2.7916,2.63537,3.30317,6.46312,3.7559,16.30717,6.64189,1.14488,7.45883,7.20215,0.0,0.0,20.20225,0.0,0.59138,0.81945,8.17647,8.75097,3.98561,7.31312,6.7277,0.67577,10.31082,4.31306,14.24615,18.73073,3.32102,0.81329,0.61488,7.42229,1.64635,1.58271,57.31127,9.06433,0.0,20.00246,57.25818,0.0,9.57914,0.0,0.0,0.0,0.0,8.34642,7.04708,0.0,0.0,10.27648,39.64561,21.38508,1.05344,2.83689,2.31096,3.38253,0.0,9.91058,2.73233,9.99871,8.86428,53.82184,3.34024,1.92981,1.82266,0.0,1.92107,2.61592,1.85109,1.96297,3.68057,3.71451,5.9713,2.60041,2.4376,23.27588,11.23663,5.42892,0.65122,0.8422,2.19176,0.30057,2.33576,8.05161,2.20959,6.30975,6.72142,4.10855,5.58841,14.36982,3.59566,4.7587,4.43582,3.5458,16.10294,0.884,8.16499,0.0,1.56537,1.7811,0.82051,1.12526,2.90548,9.53519,16.51244,2.85394,1.97487,2.89137,6.94564,0.48266,8.09224,3.15967,3.46987,5.45943,6.73276,0.0,0.77458,1.87644,4.57876,3.21675,4.81686,9.835,0.58434,8.23316,2.5873,8.49535,3.74484,2.80625,0.10981,2.24099,0.13828,2.15566,41.86022,0.0,3.22666,0.0,1.83949,3.44871,1.58714,23.32085,2.38497,3.56028,23.80995,0.20306,0.88291,1.72974
-4.75,0.66207,3.06975,0.0,6.13166,3.10888,3.18644,0.46651,3.93043,2.2528,12.47129,0.0,5.98541,0.18796,25.48673,1.49283,3.52391,0.87906,5.53769,0.54329,0.0,0.1559,1.03342,10.87662,1.73661,0.44245,0.58078,9.44561,0.0987,10.97891,12.97591,1.32273,0.91926,11.80101,41.95004,10.31158,1.64398,6.34266,15.29939,0.59974,1.49053,38.78244,23.95775,10.38557,1.01158,2.38479,2.38264,10.88248,0.0,5.41482,8.90706,0.92107,3.22948,3.18776,0.12028,0.0,45.48444,4.69045,1.77802,2.22463,18.32632,0.15372,2.03587,2.09674,3.41555,3.24213,2.00247,3.48232,10.82958,3.18461,2.48177,1.37925,2.07368,0.0,6.86867,1.16035,0.0,2.70099,3.47087,10.30925,2.68753,5.15317,2.74329,2.97864,4.75976,4.09196,0.51859,5.08047,0.49556,0.0,0.0,3.15319,0.17506,0.0,15.53112,2.90067,2.63537,3.62122,6.56764,7.23068,16.30717,5.29879,1.14488,7.46861,6.24368,10.1586,0.0,20.20225,0.0,7.16585,2.36009,8.22216,7.39153,4.04607,6.64407,5.47888,0.67577,10.31082,3.34653,14.46903,18.84167,2.73722,0.80046,1.18341,7.47128,1.59553,1.60859,58.19483,9.4786,0.0,13.43371,57.92815,0.0,13.08266,0.0,0.0,0.0,0.0,8.53228,6.57067,0.0,0.0,11.85139,39.64562,18.66971,0.89951,2.33083,2.06637,4.16859,0.0,9.91058,2.79429,9.99872,8.9375,42.79028,2.98131,1.32927,13.54664,19.59681,1.62611,4.20274,1.76246,1.96297,4.06437,3.71451,5.9713,9.96099,2.4376,24.266,12.79061,5.18933,2.57695,1.99418,2.29867,9.02307,2.33819,8.05162,2.23502,4.22853,9.02707,4.10856,5.73892,15.03371,4.07936,4.18601,3.82432,3.21254,16.1123,1.46988,8.165,0.54954,1.59504,1.93826,1.35954,3.03694,5.58929,10.46537,16.96445,2.85394,1.94395,2.16986,5.66226,0.48266,7.20213,3.18833,4.8573,12.13288,5.36023,11.2868,9.5045,2.83641,5.32234,2.70746,4.36765,9.835,1.82067,8.23316,2.1316,8.68245,3.74484,2.80625,0.10981,49.67931,0.13828,2.08343,15.67376,0.0,3.60179,0.0,1.71762,2.98076,1.41413,16.40449,2.43323,3.56028,23.80995,0.20306,0.93005,1.74141
-4.5,2.66172,4.33974,0.0,6.17344,3.10888,2.66781,0.46651,3.80324,5.99009,5.66473,161.69156,6.00616,12.77783,26.3719,3.12038,3.55169,5.39009,4.5441,0.63321,0.0,0.1559,1.03342,10.87662,1.73661,0.30885,2.60872,6.98249,3.51577,10.97892,12.97592,1.32273,1.20775,12.15337,41.95005,10.48857,1.66222,6.39246,18.81604,0.67236,1.54494,40.58146,24.92564,5.27405,0.95763,2.48276,4.42612,10.88248,0.32183,4.87482,10.75113,0.92107,1.79545,8.58645,0.12028,21.26078,45.60737,5.69435,1.96377,4.81183,13.76171,0.24202,2.43588,1.77074,3.45483,3.24213,1.83713,3.48232,10.82958,2.83248,2.92591,1.37925,2.12998,0.0,5.28787,2.04154,4.08099,2.94276,3.47088,5.8972,3.09581,4.86325,3.4716,1.91817,5.28695,4.2932,18.86218,5.54677,2.19782,0.02137,0.62431,3.15319,2.18286,0.0,12.1399,5.99218,7.7965,3.62122,6.07017,7.31949,16.60737,4.05125,5.13645,7.47487,4.86112,10.1586,0.70936,18.16604,0.0,7.16585,2.5649,10.30642,7.39153,10.71739,6.2797,5.60399,0.67577,5.50356,3.34656,14.73294,18.84167,3.5482,1.19673,1.37988,7.03074,1.4507,1.55955,58.69422,9.5339,0.0,14.00933,58.20533,0.0,7.33748,0.0,0.0,0.0,0.0,8.29993,7.17916,0.0,0.0,10.54531,28.73794,12.888,0.90285,2.3907,1.43513,4.37932,0.0,8.44092,3.15249,6.90929,6.74412,48.86298,3.72958,2.91823,14.2994,19.79061,1.96831,3.49123,1.98829,2.37987,4.15063,3.81877,8.46595,9.96099,2.24103,15.38551,13.60098,5.57335,2.79347,1.77514,4.67695,9.02307,1.78465,3.78898,2.74051,3.30379,7.90677,4.10856,5.9274,15.90073,4.13992,4.2619,3.79842,3.56144,16.16541,1.46988,8.165,0.44188,1.73823,1.93826,1.26508,2.88169,6.42374,11.8854,17.14849,6.36478,1.75397,1.81302,4.88417,1.68291,7.21436,3.18833,6.08212,4.82675,5.39413,11.02264,7.75985,2.83641,4.43613,2.70746,4.36765,9.835,1.82067,7.67314,2.0019,8.80846,3.77712,2.36916,0.10981,49.67931,0.13828,2.56075,15.67376,6.74583,3.60179,27.38719,2.0865,2.98076,1.41413,16.49822,2.21362,2.94934,11.93872,0.20306,0.93005,1.69667
-4.25,4.38315,5.84041,0.0,6.21296,3.36038,2.75652,0.46651,3.95939,4.91425,14.29437,161.69156,5.4421,12.77783,31.89065,3.12038,8.42821,5.39009,4.75601,0.69755,4.5787,3.20201,1.04906,10.87662,1.73661,0.37265,2.60872,6.57329,4.85195,10.97892,12.97592,1.32273,1.08627,12.44923,41.95005,10.49873,1.52462,4.85492,21.48659,1.25922,1.56097,48.53491,25.87529,5.37599,1.15514,2.6751,5.17282,14.27416,6.63701,4.72585,10.88469,12.78088,1.79545,5.6801,7.09474,8.77825,46.04906,5.75332,2.50709,4.82035,13.76172,0.25059,3.23868,1.9243,2.00479,2.21088,1.71546,3.77137,13.15396,2.67782,5.68873,1.53251,2.19374,0.0,5.40305,2.36864,2.65509,2.94276,3.46055,5.05374,2.63281,4.95592,3.16692,1.91817,5.24906,4.92934,20.50018,5.73851,2.19782,0.02137,3.03568,3.30427,2.23129,0.0,9.8545,6.05033,10.60031,3.68517,6.14149,6.87911,16.77902,3.48726,4.841,7.47487,4.86112,10.1586,1.05652,18.21024,0.0,7.06935,2.23478,8.1828,5.65444,8.37361,9.51205,5.604,1.55984,2.83357,2.64511,14.03224,18.84167,3.38713,1.17239,1.37988,7.08023,1.55581,1.7474,58.73559,10.46163,0.0,10.78704,59.29355,19.74084,9.41952,0.0,0.0,0.0,15.05477,9.37536,6.73258,23.24837,32.18502,10.61039,28.73817,13.42833,4.57458,2.4995,1.10984,3.59377,0.0,7.21498,2.81601,8.13871,6.25133,49.1685,3.53139,2.50703,18.66111,19.96008,1.93532,4.27672,1.76261,1.99698,4.1809,2.86755,8.46595,9.97438,2.20314,17.94826,12.52041,4.15062,2.60163,1.76291,4.04876,7.5576,2.28998,3.79401,2.28948,3.31891,7.18156,3.00916,5.8229,15.58201,4.27363,3.24725,3.66231,3.43674,12.42052,1.4417,8.26569,1.50141,2.01847,1.96871,1.55146,2.88169,6.54708,15.06796,17.34565,4.52979,1.51125,1.8427,4.6591,2.10466,7.21436,4.90536,8.05735,4.82675,5.39413,11.02264,7.75985,3.36995,5.86613,3.2438,4.60394,5.78677,8.71621,6.68773,2.0019,8.80846,3.77712,2.6298,10.77922,49.67931,0.13828,2.56075,8.67531,6.74583,4.66277,17.33549,2.0525,3.34784,1.45826,16.28274,2.21362,3.59441,11.93872,3.73704,0.49309,2.00524
-4.0,5.16049,4.16794,4.30433,5.52684,6.07559,2.47512,1.13285,3.57438,6.23398,14.29437,161.77955,4.885,13.0752,32.09925,3.26601,10.68682,15.93772,6.17726,0.69755,4.12403,3.1756,3.34919,10.87664,1.71585,0.40433,6.90406,6.21866,4.14117,10.97892,12.97592,4.28764,1.08627,14.08655,49.19869,7.42527,1.40458,4.37586,20.02678,1.26456,1.47313,28.55697,20.6503,5.37603,1.3263,2.94862,5.25623,14.47498,4.48589,5.08215,11.32182,11.1222,1.80198,5.34639,6.48622,8.8423,46.1876,5.76235,1.84971,6.38062,13.79251,0.23333,3.24142,2.79388,2.00479,1.70453,1.67487,3.34435,11.48343,3.91728,5.17026,6.50423,1.82259,0.0,5.75934,2.29876,2.66033,2.45729,3.24194,3.96676,7.00514,6.51481,3.16692,2.76746,5.25606,4.87422,19.93139,6.54442,1.72695,11.08116,3.03568,6.03295,1.55678,23.39044,8.4139,4.99618,7.22306,4.39673,6.47863,8.37001,17.12762,3.25334,8.35397,5.36256,5.16189,7.90126,2.8752,18.21024,0.0,8.60557,2.37206,8.1828,6.28157,7.10713,7.09146,4.26733,1.88221,2.45561,2.20188,14.16219,10.89125,2.746,1.17239,2.00971,7.14197,1.44347,2.13438,48.70078,9.58427,0.0,15.421,48.24441,10.57955,12.3334,0.0,17.38097,28.56293,16.30905,9.53845,7.05015,25.50452,31.62218,13.0079,28.9716,10.23743,3.56831,2.3644,2.54533,3.10816,0.0,7.36476,2.47872,8.26711,7.08396,50.3863,3.58833,2.2279,19.92457,25.93456,1.9373,3.2255,2.02716,1.99698,3.97418,3.38408,8.24983,7.56809,2.98355,18.20193,13.3815,3.58248,3.16949,1.92438,5.73585,6.53864,2.28998,3.79401,3.70156,6.52929,5.70688,2.49561,6.38611,15.6872,4.84038,2.51564,3.12098,2.87764,7.21828,1.57863,8.33343,2.84457,3.12674,2.16465,2.15337,3.17322,6.54709,15.72041,14.23099,4.25616,1.50131,1.68659,4.47061,2.10466,5.49607,3.93392,8.05735,5.40099,6.44826,10.53572,6.82716,3.08467,5.49161,4.1463,4.80354,5.78677,6.61688,6.68773,5.94306,8.95921,3.77712,2.6298,13.54995,49.67931,0.4777,2.28097,8.67531,4.11406,4.08311,17.65243,2.25926,2.883,1.5515,16.39966,2.39294,3.59441,6.55089,6.05811,0.56085,1.99535
-3.75,4.7027,4.25105,4.30433,9.53204,3.82295,5.36193,2.51715,3.7393,5.81753,14.32612,117.37309,5.47749,17.76931,32.34927,3.05118,13.10466,12.3551,6.13244,0.69755,6.34762,3.34492,6.00127,7.28628,2.95911,0.36555,9.40855,6.21866,4.14678,10.97892,12.97592,4.28764,1.0438,12.59498,16.72761,7.47691,1.44678,4.31038,23.02122,1.24498,1.57081,31.70918,14.90495,4.42691,1.36975,3.05849,3.63383,12.74586,4.06228,5.15908,11.9778,11.96771,2.11739,4.28476,5.11235,13.35942,46.27206,5.06302,1.84971,6.65754,11.37601,0.36676,3.13655,2.61337,1.8551,4.6712,2.31593,3.56196,10.19075,5.29307,4.51022,7.05089,1.86077,0.0,7.92269,1.99618,7.9887,3.12186,3.05923,4.66899,7.00514,6.51481,3.79594,3.28477,4.60078,5.62812,19.95943,7.77394,2.04161,9.80145,1.93427,5.3652,4.6213,16.30561,8.4139,4.83719,7.20124,4.05227,6.51557,8.39746,21.18841,2.86922,6.61404,4.25861,3.85168,11.12847,4.06459,13.61338,27.39026,6.0043,2.37206,9.85277,5.9381,7.66227,6.23013,3.53037,1.83885,2.4641,1.76005,14.24142,10.86425,2.57643,1.73899,2.75201,8.26616,1.6492,1.94296,49.52804,9.46875,0.0,13.68967,41.41007,23.81139,13.74685,2.65664,22.58283,32.62177,15.11697,11.44333,6.03972,20.44159,32.82877,7.90372,33.98398,11.79676,3.61446,1.95298,2.37712,2.76139,0.0,7.37539,2.455,4.65407,7.4398,56.8407,3.99426,2.04529,20.20844,28.35005,2.24854,3.22551,1.86263,2.4261,3.31665,3.38408,8.18262,6.83117,2.9033,18.29563,14.72716,3.01085,2.66462,2.07063,5.07784,7.14858,1.9848,3.83577,3.70156,5.33313,5.70688,3.3464,4.83819,16.26706,4.41429,2.37633,3.25696,2.51031,6.66974,1.57863,6.72971,4.88031,2.86229,1.76966,1.87264,3.17931,5.29092,10.2345,12.18148,3.73777,1.43839,1.62898,4.1854,2.49962,6.22227,3.93392,7.66838,4.36538,6.44826,10.53572,6.97709,3.32704,5.28317,3.81714,4.80354,11.97577,6.61688,8.11395,7.13355,5.18045,3.77712,5.33105,13.54995,49.67931,0.50879,4.54963,6.60552,3.90318,3.78496,19.10334,2.48085,2.883,1.42355,16.53214,2.09092,3.5267,3.26552,6.05811,0.70856,1.96018
-3.5,4.70236,3.53031,7.44713,5.57028,3.34892,4.56535,4.18661,5.35225,5.81753,14.36831,62.60633,5.53033,18.81834,22.01278,2.93686,10.76978,10.90375,7.48189,2.77134,6.34762,4.00976,6.24619,7.28628,3.47458,1.70108,10.29286,9.79544,4.36607,12.15534,12.97593,2.89449,1.05461,11.4267,17.24668,5.94707,2.34567,4.32913,26.59056,1.64985,1.42293,44.8147,15.33681,4.68735,1.65045,3.03505,3.34381,11.94011,3.44515,4.49236,10.30498,12.20441,4.08152,4.4236,4.43717,12.06675,46.27206,10.73047,2.13341,7.93889,10.04117,1.20212,2.99922,6.88164,3.86991,4.6879,2.20258,3.56196,10.91779,6.60087,4.19753,5.94454,1.68505,0.0,6.66027,2.10392,9.12907,3.36495,3.81128,3.3849,6.63021,5.09621,4.16457,4.06072,4.20825,4.75295,17.0359,6.31012,1.89076,11.14547,2.39709,4.03266,4.7684,12.35228,7.8679,5.00713,6.25052,3.86788,6.61718,7.65939,19.13336,2.72537,6.00678,6.82402,4.19566,9.5472,11.21722,13.71379,19.05731,5.32683,3.58194,8.39101,5.34236,7.66227,5.8376,3.20151,2.45931,2.47263,2.64956,14.32674,11.39048,2.61637,1.76353,2.71167,8.36021,1.73495,2.19739,51.0318,12.00137,0.0,13.70938,43.28882,25.7836,30.93403,22.4556,26.81277,33.6099,16.51644,11.81576,5.83768,24.01943,33.46615,7.92245,26.33258,12.93146,3.37483,1.69184,2.54854,2.76433,35.15344,6.64452,2.17956,4.07733,6.57686,45.21839,3.76208,2.161,21.41931,21.3431,1.68978,2.84875,2.62214,3.67902,2.96663,3.0799,7.30562,8.22173,2.9033,13.32654,15.34785,2.65816,2.98795,1.81492,4.56592,4.99328,2.07909,6.65944,5.43359,4.30198,7.96405,5.43462,4.89631,14.4218,5.9274,2.49345,2.8096,2.38993,5.40473,2.00835,3.66304,4.89914,3.02882,1.6702,1.91415,3.17931,4.01897,14.26114,10.98402,4.50287,1.42907,1.48461,3.87184,2.11933,6.22227,3.57649,8.81364,3.75668,5.65009,8.60956,6.97709,3.83274,7.3627,3.81714,4.20836,18.33975,8.85625,7.07521,6.67028,4.52097,5.40143,5.33105,11.42666,49.67931,1.80326,4.81344,5.97935,3.90318,3.98534,23.22827,2.27168,2.38248,1.47691,13.82356,1.96557,3.57849,2.26695,6.37233,2.47971,1.72409
-3.25,3.50335,4.15261,17.89845,5.15531,2.82395,3.5183,6.45226,4.40911,6.65431,17.78009,56.89654,6.29016,14.07195,23.3292,3.76614,10.07975,12.0316,7.71239,3.12781,6.26589,3.72366,6.2695,37.59623,4.43498,1.85055,9.98748,9.08774,5.39065,6.23622,12.97594,8.737,0.92812,11.22081,17.29336,11.20698,2.2863,4.84823,27.01907,2.02959,1.72609,37.08199,10.86444,4.1393,2.22507,3.26262,3.0145,9.79125,3.33217,3.8942,8.41221,11.33038,3.98696,4.09976,4.95705,8.64468,31.3706,10.83726,2.11654,7.08925,10.98982,4.77597,2.77704,6.68846,3.5575,5.13776,2.2037,3.34278,9.10145,5.83744,3.79436,4.42146,1.66216,0.0,6.34023,2.0047,7.72474,2.82878,3.40891,3.3849,6.46413,4.49449,4.3452,4.06072,4.91196,4.66149,19.73863,6.1305,2.36252,9.37213,2.38524,4.03266,5.32692,10.91747,7.35324,4.82879,7.25838,4.26623,6.4561,7.07676,18.3626,2.68423,6.05323,6.18467,3.93232,6.79194,25.76755,13.71379,13.89656,4.52075,3.87036,7.5313,5.346,7.49277,6.20629,4.08376,2.52624,2.51026,2.22391,14.39172,10.80055,2.46697,1.92784,2.71167,7.32696,1.6799,2.1753,39.35914,13.90944,24.16121,13.2552,50.83878,29.36943,36.71183,22.52929,22.67683,39.38323,16.00256,11.34969,5.5309,24.75387,33.85164,7.6875,20.83912,11.45924,3.21211,1.60385,2.21228,2.98458,35.15356,5.61309,1.78962,3.477,6.72229,45.59399,3.32614,2.40646,17.67124,20.994,1.76312,2.54146,2.47365,4.1143,3.21916,2.55564,6.61217,6.99055,2.62955,14.07981,15.59708,2.83751,3.03873,1.66632,5.92447,6.6317,2.4072,6.43457,5.49471,4.30198,5.78479,5.43462,4.24379,10.58592,4.28822,2.07532,2.2607,2.57287,4.68245,1.79681,3.68215,4.89914,4.69573,1.57366,2.52861,3.24135,3.88553,15.1161,10.04261,3.90153,1.38048,1.56446,3.87184,2.11933,5.60961,3.57649,10.44748,3.75668,5.92217,8.01051,5.91578,3.83274,6.44059,3.95448,4.95941,16.54143,9.18379,7.07521,7.74578,4.27512,5.50302,4.09339,9.16428,49.67931,1.80326,3.96681,5.97935,4.08749,3.98534,17.79329,2.23304,3.38703,1.47691,12.04282,1.59385,3.65429,2.26695,5.37865,2.47971,1.6793
-3.0,3.13103,4.14379,26.10918,4.3645,2.94428,4.2423,5.58973,4.88123,6.04301,12.36595,55.4523,5.97696,11.6653,24.33797,3.54741,7.55103,16.40464,7.37974,8.28753,6.46088,3.2415,6.40983,73.72918,5.05198,2.56919,9.41058,8.12324,10.20801,5.05141,12.97594,8.737,4.07302,10.43025,12.56867,10.14672,2.73198,4.7458,29.07923,1.77993,1.542,37.90633,10.14965,4.01066,2.3562,3.60492,2.83469,8.81105,5.08647,4.24145,6.99433,11.1335,4.34253,5.60754,4.79891,7.55318,25.67934,10.38605,2.70634,5.70792,11.00579,4.79329,2.6458,5.51712,5.66133,4.5214,2.85568,3.14986,9.54704,4.88033,3.80715,4.47301,1.74141,45.81252,6.76307,2.02163,8.7223,2.85309,3.10967,4.23664,6.98144,4.32652,5.58608,3.39789,4.51097,5.07202,14.5112,5.90205,2.51406,11.01972,2.25446,5.02618,6.10514,11.52225,7.59032,7.71039,7.26346,4.40122,5.42277,5.5053,18.43026,2.97298,6.00188,5.7836,3.58886,7.10337,25.64355,16.92436,15.0191,4.46384,5.33996,8.23485,5.60028,7.41475,5.557,3.6287,2.77648,2.51905,1.95599,14.4498,11.47425,2.32928,2.14013,2.57342,6.82347,1.56932,2.17284,40.73212,15.51325,25.3577,11.5642,52.62712,28.13276,37.18946,18.50112,16.92635,30.90013,15.73938,10.07457,4.8743,26.68995,27.7189,7.89327,24.56546,10.59755,4.63689,1.97838,2.37596,2.98727,23.48318,5.05359,1.76602,3.15343,6.78243,37.12582,3.11912,2.11634,20.16543,20.61769,1.79912,2.51863,2.23446,3.89898,2.82208,2.44719,6.61217,7.15299,3.88666,14.14418,13.45182,2.81783,3.035,2.63224,5.5895,4.33899,2.4072,7.12393,4.73468,9.798,4.47983,8.53279,4.61837,10.56402,4.37384,1.77932,2.24108,2.38177,4.54806,1.78553,3.37822,5.35053,4.90728,1.79459,4.51279,3.24135,2.885,13.70736,8.78165,3.90153,1.33569,1.67857,3.531,2.16475,5.41586,3.62488,10.44748,3.57605,5.92217,8.01051,6.01782,5.03333,6.08998,3.56487,4.95941,16.54143,9.18379,6.88598,7.74578,3.82147,5.50302,4.09339,9.16428,40.64886,4.58542,3.52531,5.70584,5.2848,4.08946,17.02088,2.17197,4.03608,1.54886,9.69528,1.7025,3.65429,2.2494,5.11487,3.80505,1.60906
-2.75,2.73747,4.42417,28.81747,4.47982,2.61347,4.1398,6.48231,5.00744,6.12842,11.46906,44.99335,5.79876,11.52992,25.81283,3.40585,7.26825,16.19376,6.90634,9.12552,6.97742,5.96398,5.45669,81.42282,7.64198,4.39843,10.84391,11.43692,10.40432,5.09096,29.31373,9.76417,3.62225,10.54559,8.78935,10.37454,2.58003,4.58225,27.90939,1.82299,1.68212,29.82549,8.92282,5.27665,2.10104,3.92442,2.40024,9.70366,7.50515,4.42183,6.45142,9.87941,4.49515,5.71625,5.65287,5.88688,23.82375,10.35665,2.46111,5.10122,9.60832,5.21908,4.07225,6.16045,5.78077,4.4183,3.39253,4.70292,8.21248,5.08816,4.29456,4.72733,1.66205,40.92482,6.87975,2.66417,8.63699,2.85309,3.0404,4.02153,7.12146,3.96666,6.11993,3.61744,3.73406,4.07845,11.84712,6.58142,2.51406,11.01972,2.60409,5.60417,6.10291,15.68005,6.68852,6.78422,7.59634,4.70315,5.52955,7.50338,18.6358,2.47286,5.60033,5.60723,3.58886,10.88578,25.07111,13.55876,12.46068,3.92943,6.37205,8.23485,5.65985,7.35474,5.557,3.60441,2.95478,2.57296,1.9226,14.44983,11.48289,2.29063,2.33817,2.57664,6.60741,1.73847,2.27406,42.8488,13.99829,26.14484,11.60526,54.44639,31.87788,36.97845,17.56351,22.2577,31.28712,16.56861,8.76114,4.31424,29.13852,26.48899,8.13114,23.81357,9.86919,4.76971,2.00829,2.26168,2.48841,19.69738,4.68431,1.77415,3.48751,5.27405,37.92148,3.12552,2.09222,27.07205,23.1366,1.67329,2.33241,2.23329,3.89898,3.11417,2.44719,4.915,6.70906,3.77578,14.89901,10.11438,2.79643,3.2951,2.97022,13.29019,3.85127,2.80086,7.12393,4.34931,9.18849,4.18891,7.01636,4.31258,10.10953,3.54194,1.56916,1.96246,2.36495,4.26552,1.93808,3.16986,5.24787,5.77212,1.87998,4.36373,3.60267,4.64072,11.728,8.35807,3.46828,1.54153,1.78679,3.0073,2.18202,5.41586,3.62488,11.30901,3.89177,6.5795,6.67259,6.01782,4.76491,5.74828,3.61929,5.81045,13.86762,9.5601,8.6197,8.73393,3.08161,12.00281,4.32037,9.41348,24.63082,5.30375,3.04537,5.98466,5.2848,3.96038,20.76912,2.435,3.67356,1.5973,8.9574,1.77941,3.45732,1.9523,5.56835,3.09485,1.47614
