,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,1.44016,0.0,13.38919,1.05144,0.21361,0.73072,0.0,0.0,1.11477,0.0,0.18335,0.0,0.0,1.25095,0.55766,0.0,0.22561,0.0,0.0,0.0,0.0,0.0,0.43511,0.0517,0.0,0.06205,0.09468,0.0,0.0,0.0,0.0,8.70752,1.15668,4.67265,2.03023,0.0,0.54797,1.56279,1.00422,0.0,2.5069,2.50241,3.33986,0.2825,0.0,0.12712,33.91305,0.0,0.5293,7.9174,2.57328,0.0,0.20358,0.0,6.40988,0.0,1.23605,2.83327,3.04288,3.34236,0.43315,0.0,2.46884,0.23092,0.0,0.40974,0.69136,0.0,7.84834,1.061,0.0,0.0,0.0,2.24056,0.0,2e-05,0.0,6.09386,0.0,0.0,6.18798,18.13044,4.88749,0.0,0.24744,1.20782,0.0,0.0,0.0,1.16007,0.0,1.34047,2.2148,1.98701,1.22391,2.43554,0.0,3.3521,4.1496,0.88104,0.0,5.35525,0.0,4.61035,0.0,0.0,0.0,18.02036,2.23,0.0,1.28856,7.34968,1.94631,0.80434,0.86935,0.27208,0.35215,0.0,1.12166,0.40423,0.73939,7.91331,0.0,0.51116,0.0,0.0,0.0,1.29014,1.4836,0.0,0.0,0.0,0.0,0.0,0.0,5.96777,0.0,21.06057,0.0,0.30095,13.047,4.67807,0.0,3.1454,3.53754,0.48265,0.0,9.77478,5.72677,0.2982,0.4892,1.96587,0.0,6.8136,1.69458,0.0,0.0,16.24562,2.32226,0.0,0.0,0.4733,0.0,1.56106,7.12902,1.05527,1.45678,1.83993,0.59919,5.37441,0.0,0.0,1.52071,0.0,0.82602,3.66306,0.2939,0.0,1.93772,4.88613,0.0,2.933,4.47373,1.57891,1.94751,1.71119,0.64695,0.0,0.0,0.11868,2.512,4.18975,1.60376,7.88271,9.47018,12.83704,0.5433,1.66263,0.17429,0.0,0.04177,0.0,0.43388,1.16914,0.52281,0.96558,0.0,0.99223,3.85709,1.00524,0.18544,14.66431,0.0,0.0,1.76481,17.47258,0.0,0.0,0.00011,0.0,0.08946,0.35088,0.92576,0.02119,1.08638,1.31018,0.31059,0.36064,0.0,1.96248,0.0,0.78199,0.64699,1.63155,0.0,0.0,0.0
-4.75,0.0,1.44016,2.22311,13.38919,1.11613,0.21361,0.73448,0.0,0.0,1.11477,0.0,0.18335,0.0,0.93297,1.25095,0.55766,0.0,0.22562,0.0,0.0,0.0,0.0,0.0,0.43511,0.0517,0.0,0.06205,0.20013,0.0,0.0,0.0,0.0,8.70752,1.12889,3.60648,3.01508,0.0,0.85767,1.27186,1.00422,0.0,2.5069,2.55688,2.52205,0.28949,0.0,0.12712,18.75275,0.0,0.62103,8.30767,2.57329,7.07613,6.37861,0.0,11.68653,0.0,1.23605,2.56221,3.04288,2.14791,1.64184,1.30912,2.46884,0.27135,0.0,0.40974,0.69136,0.0,6.24795,1.061,0.0,22.60182,5.71317,2.24056,0.0,2e-05,0.0,6.09386,0.0,0.0,6.18798,18.19606,4.89268,0.0,3.50519,1.20782,0.0,0.0,5.52245,1.16007,11.02485,1.34047,2.2148,1.98701,1.22391,2.43554,0.0,3.36076,4.1496,1.36885,0.0,4.10679,0.0,4.61035,0.0,0.0,0.0,18.02036,2.23,3.8964,1.28856,7.34968,1.94631,0.89344,0.76654,0.62187,1.1488,0.0,1.12166,0.40423,0.5733,7.91332,27.26604,0.51116,0.0,0.0,0.0,0.91606,1.4836,0.0,0.0,0.0,0.0,0.0,43.79941,6.06042,0.0,21.16034,0.0,0.30099,13.10355,4.67808,0.0,3.1454,3.53754,0.52939,0.0,9.77478,5.85167,0.2982,0.32791,2.07979,0.0,6.04676,1.20348,0.0,0.0,16.77082,1.68276,0.21498,2.80847,4.85225,0.0,0.95223,7.12902,1.05527,1.32627,1.83993,0.59919,5.37441,0.0,0.99415,1.52071,0.0,0.82602,3.66306,0.2939,1.85163,1.93772,4.88613,0.0,2.933,4.56113,1.57891,1.94751,1.19677,1.31885,0.0,0.0,0.85174,3.73638,4.40922,1.60376,8.22558,9.47024,12.83711,0.57738,3.98606,0.17429,0.38821,0.04177,0.0,0.43388,2.79965,0.52281,0.96558,0.0,0.99223,3.85709,1.82612,0.12547,14.66431,0.0,2.52009,1.76481,17.47258,0.0,8.70052,0.00011,0.0,0.08946,0.35615,0.92576,0.02119,1.08638,1.31018,0.31059,0.5777,0.0,1.05549,0.0,0.6963,0.64699,1.63155,0.0,0.0,0.0
-4.5,5.22883,1.59454,2.22311,6.73893,1.16047,0.21361,0.56667,0.0,0.0,5.34243,0.0,0.18335,0.0,0.93297,0.98469,6.73654,0.0,0.22562,0.0,0.0,0.0,0.22127,0.0,0.43511,0.0517,0.0,0.06205,0.20013,19.24552,0.0,0.0,9.89289,8.89107,1.11374,3.60649,10.7961,0.0,0.85767,1.22155,1.00422,0.0,2.36783,2.55688,2.52205,0.28949,1.29355,0.12712,18.78221,0.0,1.18014,8.30767,2.50237,5.30495,4.52527,0.0,13.29033,0.68802,1.281,2.38786,3.39937,2.14792,1.64184,1.30912,3.15015,0.31348,0.0,0.40974,0.69136,0.0,6.24795,1.061,0.0,24.52682,5.71317,2.24056,0.0,7.83951,0.0,9.44335,0.0,0.0,4.86165,18.19606,4.89269,0.0,3.65449,1.20782,0.0,0.0,5.52245,1.63604,11.02485,2.64869,1.86541,1.98701,1.01584,2.43555,0.0,3.36076,4.1496,1.31057,0.0,3.3587,2.84517,4.61035,0.0,0.0,0.0,18.02037,1.63232,3.8964,2.41912,7.34968,1.94635,0.89344,0.8481,1.51804,1.1488,0.0,1.69049,0.40423,0.67123,8.1203,27.59681,0.95184,1.2372,0.0,0.0,1.13712,1.74408,0.0,0.0,0.0,0.0,0.0,45.50666,6.06045,0.0,24.54853,0.0,0.30099,13.34534,4.67808,0.0,3.1454,2.44744,0.52149,0.0,6.01072,4.16413,1.57227,0.45824,2.30197,0.0,6.04678,1.66765,0.0,0.0,16.77083,1.2922,10.13452,2.80847,4.93713,0.0,2.19893,7.12902,1.05527,1.35164,1.82909,1.46275,5.56958,0.80129,1.15033,1.55985,14.81994,0.82602,2.90174,0.2939,1.85163,1.93772,6.50607,0.0,4.33625,4.63557,2.51322,2.06815,1.19677,1.31885,7.52829,0.0,0.85174,3.46797,3.87855,2.41418,9.28464,7.73646,4.77255,0.57738,3.98621,0.86416,0.40408,0.04177,0.0,4.64339,2.91654,0.43395,0.96558,0.0,0.99223,3.2129,1.52811,4.0285,4.21397,0.0,2.52009,3.28329,9.8048,0.0,8.70052,0.04359,0.02105,0.08946,0.36464,0.97579,0.02119,1.3954,1.31018,0.71618,0.61015,0.0,1.57389,0.33177,5.75725,0.50928,0.9053,0.0,4.8587,3.38706
-4.25,2.63977,1.29576,3.00905,6.73893,1.29228,0.26547,1.50808,0.0,0.0,5.37719,0.0,4.17497,0.0,1.01071,1.00995,6.73654,0.0,0.19768,6.27496,0.0,0.0,11.51668,0.00563,0.43511,0.0517,0.0,0.06205,1.11322,19.24552,0.0,0.0,9.89289,8.98367,1.01499,3.24426,10.7961,0.0,1.29293,1.46619,0.74895,9.41323,2.51198,1.96495,1.90484,0.28949,3.03267,0.12712,18.91972,0.0,1.19124,8.30767,2.58708,5.30495,3.40473,0.13548,14.78646,0.68802,1.281,2.57465,3.47377,2.19475,1.6917,1.79153,9.97994,0.39351,0.0,0.40974,2.6665,1.26906,6.24795,1.36108,0.0,24.67032,5.71317,2.24056,0.79766,7.04018,3.51787,9.44335,8.87856,0.0,3.70387,18.25994,3.78341,3.57108,4.32355,1.20782,0.0,0.0,13.20286,17.66454,11.03049,3.0243,1.86541,2.84548,2.38743,2.43556,0.0,2.54654,4.1496,1.21529,27.55874,3.46455,2.84517,4.61035,3.86657,0.0,0.0,18.02037,2.34058,3.8964,2.41912,7.34968,1.94635,0.70828,0.8481,1.51804,1.15162,0.0,2.79938,0.40423,0.57178,4.19807,28.12338,0.95185,0.83853,0.0,0.0,1.13712,1.58351,0.0,0.0,0.35266,0.0,0.0,45.92639,6.84186,0.44143,17.56852,0.0,0.34334,13.34534,4.0012,0.0,3.1454,1.87096,0.52149,0.0,6.01072,4.20867,1.57227,0.44231,2.30197,0.0,6.04678,1.27053,0.0,0.0,16.77083,1.2963,10.13452,1.51526,4.93713,0.0,2.19893,7.12902,1.16053,1.35164,1.55383,1.56243,2.80754,1.49606,1.30655,1.93175,14.81994,1.27336,2.06148,0.2939,1.85163,2.05343,6.58011,0.0,3.65571,4.36199,2.54758,2.0991,1.19677,1.31885,7.52829,7.86742,0.85174,3.46797,3.87855,2.41418,9.37402,7.72729,5.6972,0.57738,3.98625,0.86416,0.40408,0.57061,0.0,4.64339,3.3339,0.53463,1.96058,0.48994,0.99223,2.96294,1.52811,4.0285,4.21397,0.0,2.59271,3.28329,9.8048,0.33701,8.70052,0.04359,0.02105,3.03641,0.36464,0.75939,0.02119,1.3954,1.57673,0.75307,0.60607,0.0,1.72812,0.33177,5.75725,0.9701,1.20781,13.37195,4.8587,1.94592
-4.0,2.00194,1.18228,3.00905,6.83677,1.29228,9.0369,2.34953,2.49584,0.0,5.422,0.0,4.17497,0.0,1.0724,0.87247,6.73654,0.0,0.19768,2.40815,0.0,0.0,11.51668,0.00563,0.43511,0.78981,0.0,0.06205,1.11322,19.24552,0.0,0.0,9.89289,9.54081,1.02271,2.51177,12.75902,0.0,0.71881,3.19426,0.82408,10.0305,3.09351,2.15068,2.29405,0.76049,3.12687,0.12712,18.54163,7.49199,0.97925,2.81217,2.79142,6.29601,3.22318,0.26408,15.03977,0.72713,0.98372,2.60851,3.58088,2.22134,1.81866,1.79153,9.99225,1.30414,1.49178,0.40974,2.75093,0.68678,6.26853,1.39157,27.39722,27.34103,3.25693,1.47538,1.23272,4.61593,3.51787,9.44335,8.87856,2.89887,3.86684,18.51307,6.32436,2.86376,4.32355,1.20782,0.0,0.0,8.89684,17.66454,11.03049,3.0243,1.56334,2.84548,2.38743,2.41537,28.44489,2.54654,2.85462,1.10383,27.68814,3.46455,2.84517,4.61035,3.88213,0.0,0.0,18.02037,2.34058,3.8964,2.92657,7.34968,1.03893,0.7161,1.46657,1.43533,1.54119,0.0,2.6014,2.80956,1.15887,4.19807,28.33581,4.0864,0.83854,0.0,0.0,1.12134,1.6928,0.0,0.0,5.05361,0.0,0.0,62.41289,6.90559,0.44143,17.74136,0.0,0.29226,13.34534,4.2992,11.38774,2.95654,1.90043,1.22353,0.0,5.04154,2.88769,1.57227,0.46636,1.80897,0.0,6.93956,1.12554,0.0,0.0,17.69523,1.2963,10.13453,1.35371,3.41248,1.65209,2.24047,11.5808,1.30958,1.73856,1.48468,1.43941,3.04324,1.49606,1.49661,1.93175,13.23018,1.4098,1.81539,0.41972,1.85164,1.93408,6.58011,0.0,3.56193,4.44922,3.27375,2.13655,1.22366,1.65058,4.86084,7.86742,0.83111,3.26181,3.91806,2.02394,10.05355,7.8083,5.78881,4.3197,6.01588,0.88515,0.49695,0.47643,3.55421,4.66757,3.3339,0.53463,1.96058,1.62855,2.56895,2.96294,3.07781,2.95078,4.21851,0.0,2.59271,3.33294,8.04485,0.37543,4.40236,0.33698,0.02106,3.03641,0.37693,0.75939,0.02119,1.44023,1.79924,0.75307,0.60957,0.0,1.72812,0.70791,9.90122,0.9701,1.20781,13.37195,7.03505,1.94592
-3.75,1.61827,1.18228,2.20661,6.83677,1.18279,6.02582,2.37527,2.49584,0.0,5.44115,5.52646,4.17497,0.0,0.95495,0.87247,6.73654,17.52669,0.19768,2.16808,0.0,0.57227,7.68447,0.00564,0.43511,3.51137,0.0,6.75905,5.59457,19.24552,0.0,0.0,10.9084,12.61427,1.12049,2.23951,12.82274,0.0,0.77718,3.01871,0.57492,10.03098,3.58037,1.76635,2.08915,0.76075,4.04685,0.87937,18.60671,4.03221,3.82869,2.40427,4.11406,6.32265,4.27712,0.2152,15.32093,0.75076,1.0604,2.37459,3.49315,4.19359,1.73358,1.79153,9.99225,1.30415,1.49178,0.40974,2.09606,2.87525,5.02891,5.89989,27.3974,27.75586,3.77027,1.47538,0.65332,4.61593,3.51787,6.09494,8.87856,2.28859,3.86684,18.51308,6.9642,2.25926,5.44262,1.20782,0.0,0.0,7.11,17.66454,3.68398,2.74774,1.73532,12.56841,2.38834,4.31419,29.33794,2.36206,2.58848,1.09361,27.68815,5.28848,2.84517,4.61035,4.03692,0.0,0.0,18.02037,2.12147,3.8964,2.98106,9.81527,0.81721,0.89302,1.49358,1.60833,1.0545,0.0,3.0475,3.2804,0.99423,4.19807,29.11407,3.40649,0.85317,0.0,0.0,1.1779,1.43902,0.0,0.0,7.59818,0.0,0.0,62.41292,7.24511,0.44143,17.91546,0.0,0.53901,13.56366,3.84774,11.3879,3.1281,1.90207,1.14632,0.0,4.67257,2.91081,1.65764,0.73336,1.70224,0.0,7.57042,1.70845,0.0,0.0,17.96201,1.80107,5.62965,1.35371,3.47243,1.04327,2.94052,7.97762,1.47624,1.72495,1.12355,1.86681,2.06583,1.66412,1.57745,1.61037,14.6925,1.76382,2.67798,0.41972,1.85164,1.93409,6.58011,0.0,3.18759,4.57709,3.30712,2.1693,1.06148,1.65058,4.43294,7.86743,0.72432,3.26181,3.23622,2.02394,10.44765,8.18489,5.91036,4.3197,5.01463,2.5653,0.49695,0.47643,3.59821,4.66757,3.40128,1.43798,1.93764,1.62855,6.16436,2.76768,2.29574,3.10549,4.21851,0.0,2.71009,3.33294,5.91819,2.6536,4.40236,0.33698,0.02106,2.08299,1.00945,1.77851,0.02119,1.44023,2.18177,1.75193,0.70043,0.0,2.41478,1.17317,7.64039,2.27319,1.27795,13.37195,7.00791,1.94592
-3.5,1.82866,2.9213,2.32031,6.83677,4.00896,5.05996,2.39383,2.87278,3.50139,5.5102,5.52655,4.38487,29.11133,0.60579,0.76413,6.73654,17.5742,0.19768,2.24897,0.0,1.04606,7.68447,3.30583,0.43511,3.51137,10.40586,5.78591,4.71806,14.81496,0.0,2.24751,7.85332,13.0436,1.13076,2.77418,9.98436,0.0,0.76467,2.59349,0.84386,7.68111,3.42817,1.42265,1.69371,0.75706,4.07304,1.82792,14.67747,5.70679,3.82869,6.43978,4.46213,7.33433,4.31813,1.8671,11.87715,1.61909,1.38097,2.40103,2.87303,2.65069,1.63253,7.41949,7.78741,2.72541,2.02158,0.40974,2.09606,2.87525,5.10685,5.50841,27.39746,28.39884,3.77027,1.50705,2.33213,4.168,4.97437,5.97779,4.86114,1.78341,4.245,19.04287,6.81352,2.25926,4.68261,1.20782,0.01114,4.85216,7.11,17.66454,3.28279,3.45139,1.73532,14.05551,1.898,4.31419,29.33794,2.33244,2.1565,1.18661,20.01191,3.06365,2.84517,2.55628,4.03692,0.0,7.48817,18.02037,2.46975,2.76931,6.24932,15.08325,0.68064,1.53063,1.44193,1.65468,4.09996,0.0,2.90464,2.51498,1.05688,3.85537,45.26545,4.02798,1.96768,0.0,8.34969,1.22844,1.44414,34.45883,19.9419,9.63892,5.08727,0.0,62.41294,5.6458,1.76996,17.97505,0.0,0.72603,13.66167,4.15419,12.30588,2.64097,2.13696,1.18921,4.4222,4.83963,2.67639,1.67725,0.57019,1.61178,0.0,7.72052,1.70845,0.0,2.56116,18.63864,1.5745,5.62965,1.11422,3.59915,1.04327,4.0959,7.97762,1.16515,1.7432,1.60232,1.8546,2.34688,1.64345,1.87741,1.89308,14.7239,1.76382,2.91285,1.00662,5.0881,1.96432,6.58011,6.05834,2.7928,3.50579,2.62003,2.2161,1.05151,2.09534,3.85594,7.88165,0.72432,3.44156,3.23622,2.23031,12.11815,8.37554,6.44575,3.76968,5.10542,3.57414,0.44552,0.70401,3.59821,4.66757,3.40128,1.3206,1.93764,2.84705,3.97529,2.61214,2.29574,3.10549,5.12402,64.17943,2.71009,3.24947,5.91819,10.39392,4.24536,0.48172,4.1481,2.08299,1.00945,1.79511,0.02119,1.4686,2.18177,1.96557,0.66439,9.55808,2.82559,1.17317,7.64039,2.65575,1.70006,8.76583,7.00791,3.72459
-3.25,1.96651,3.63867,2.37306,4.68834,3.90972,5.4719,2.75337,2.38084,4.61359,4.20157,4.72626,13.29733,19.50807,0.75956,0.76413,4.89153,17.5742,2.27095,3.37454,5.95101,1.09195,8.43361,3.30718,1.9995,3.51137,5.49805,6.19343,4.71806,12.40117,5.05337,2.24751,7.25546,11.95675,1.0997,2.86143,8.4931,0.0,0.87987,2.68422,1.18725,11.08935,2.84125,1.26652,1.62086,0.99498,4.32219,1.77941,8.65107,4.29586,3.66128,8.05658,4.38024,7.66204,4.90024,1.65499,11.92188,1.54667,1.1749,2.49611,3.36,2.10383,1.46464,7.43958,10.80285,2.72541,1.46334,6.50399,2.09606,2.99816,3.72909,4.89981,27.39808,39.90182,5.344,1.54331,2.35774,7.76981,2.64201,5.97779,4.49908,1.78341,5.8825,19.04293,5.62154,3.95581,4.36245,1.20782,0.01114,2.4531,5.28557,24.86637,3.28643,3.45139,4.78035,13.66105,1.898,3.63752,29.42997,1.93652,2.01916,1.51843,18.82562,2.89792,6.80318,17.45126,4.03692,4.77936,5.37858,18.02037,2.46975,3.47442,4.6827,15.08325,1.52301,1.63134,1.42622,1.5449,3.73414,0.0,2.81329,2.51498,1.11524,7.31104,47.03947,4.08113,1.59566,0.0,9.3591,0.95294,1.41052,19.86652,20.25414,10.23829,8.55348,0.0,62.41304,5.46879,1.04009,20.44337,0.0,0.95821,5.3756,3.85308,12.91874,1.93501,1.70498,1.32144,6.13308,4.83963,2.4859,1.73133,1.11203,1.5256,7.06566,8.24064,2.04935,7.00188,10.34671,21.62546,1.27462,3.30735,1.11422,4.08437,1.19822,4.0959,6.05715,1.16515,1.44846,1.80937,2.04034,2.02261,1.89888,2.03899,1.89308,14.7239,1.6005,2.55167,1.00662,4.02593,1.96432,6.7343,6.60529,2.63599,3.9543,2.34587,2.49831,1.05151,1.82818,3.90462,5.96735,0.98255,3.45825,2.32092,4.31434,13.01667,11.12649,6.6445,3.34472,4.83483,3.62018,0.39515,0.70401,4.12085,4.66757,11.83678,1.3206,2.80643,2.84705,3.97529,2.61214,3.08018,2.99107,5.12402,64.33149,3.48495,3.24947,6.27731,10.39392,4.24536,3.59943,4.1613,1.76461,0.69594,2.28712,4.85202,1.4686,2.10059,2.3707,0.63669,13.80463,2.76128,1.0971,7.40411,2.04358,1.70006,8.76583,4.11067,4.60965
-3.0,2.20167,3.63867,2.15058,6.97755,3.50199,6.83466,2.65041,2.77526,5.93541,4.42604,3.54521,11.68326,11.31213,1.09559,2.30602,4.89153,17.63482,2.29206,3.92967,5.95101,1.30364,8.49407,3.30718,6.49393,3.13011,5.01998,6.19343,4.20213,12.40117,5.05337,2.35428,7.25546,12.37001,1.02427,2.96847,7.47237,0.0,0.94991,2.30279,1.67113,11.40803,2.39762,1.35682,1.50554,1.10242,3.53313,1.79004,7.77144,4.48492,8.15445,8.05658,4.33618,5.94407,4.36581,2.56669,10.38093,1.54667,1.09618,2.37531,3.1383,3.81497,1.71287,7.45889,11.09659,2.46426,0.79804,5.44778,8.64982,3.27626,3.73122,4.25248,27.53525,24.37859,5.33443,1.67057,2.2911,6.44595,2.19761,4.8947,4.21025,1.69675,5.68329,19.04297,3.71714,4.0059,4.36245,0.71472,0.01115,2.4531,6.63693,16.64171,3.28643,2.90993,5.87968,13.66105,1.72218,5.90568,38.6149,1.93652,1.78027,1.98412,26.75807,3.06125,9.98044,14.72744,2.08407,4.80873,4.33915,10.3044,2.67523,3.47442,5.70318,13.37591,1.56568,1.4914,1.46418,2.12601,3.49064,0.0,2.66133,1.94367,1.17671,6.13985,47.53218,4.01095,1.41757,0.0,10.54037,0.9226,1.64388,16.61844,35.45802,10.99796,29.40909,0.0,62.4131,4.76697,1.00925,20.69214,0.0,0.92581,5.46531,3.24745,14.08076,2.01188,1.50311,1.4301,7.28773,3.8753,2.17378,1.75568,1.17557,1.66266,7.32923,8.08029,2.11208,7.59034,11.0391,11.51867,1.46714,5.20718,2.02641,6.20234,2.54465,3.74039,9.9968,1.06985,1.27396,1.70214,2.06647,2.03556,1.89888,2.00795,1.77719,8.14162,1.37409,2.6216,0.98542,4.02593,2.41241,6.7343,7.01576,1.96958,4.09874,2.28621,2.88449,0.82997,1.82818,3.90462,5.96735,0.89906,3.45825,2.0719,4.31434,29.85221,12.58547,6.26916,3.34472,4.42498,3.62018,1.19506,1.7147,5.12342,2.57106,11.83678,1.48473,3.9185,2.70442,4.30406,2.27222,3.08018,2.99107,4.19861,64.33149,3.48495,6.76738,5.98727,9.97181,4.9849,3.59943,4.1613,3.22222,0.69594,2.28712,3.59579,2.91104,1.81846,2.33143,0.922,13.80506,2.36914,1.24653,6.87812,2.04358,1.48678,7.64699,5.11178,5.20433
-2.75,2.17001,3.46041,3.09766,5.04439,4.94821,6.14747,4.75056,2.58467,5.26655,3.69359,4.7506,11.08417,11.30509,1.8186,2.47354,6.07699,17.86158,3.67147,3.55909,14.63526,1.64816,8.49407,6.02356,6.07969,4.61496,5.3675,6.89865,3.7763,9.71261,3.78275,25.06731,7.27328,12.58038,1.16074,2.83462,5.12429,0.0,0.99511,2.10707,1.84852,11.40803,2.09113,1.23908,1.53162,1.09439,3.9847,2.41112,8.29845,5.36834,7.95857,8.01929,4.29635,5.10521,4.50523,2.68179,10.03118,1.94784,2.13652,2.42222,3.60515,3.03297,1.57024,3.9609,6.15601,2.84535,0.79804,3.66784,6.30192,2.53596,3.60939,3.9955,27.86664,25.68179,6.48619,2.68813,2.19651,5.75452,2.87733,4.12164,4.21025,1.43066,5.68329,10.57874,3.43901,3.92738,5.50545,0.71472,2.03226,1.67414,6.10236,13.61878,3.20897,2.65444,5.7402,19.38785,1.65705,4.21272,38.90977,1.97571,1.65124,1.80872,21.98458,3.39532,10.53878,14.72744,1.68417,14.61126,3.92399,10.3044,3.01276,3.21692,5.70318,11.03551,1.58569,1.46799,1.03771,1.73579,3.49064,0.0,2.49319,1.79003,1.95998,6.52874,47.90259,3.01058,1.55887,21.15897,11.28728,0.97621,1.52805,20.52514,28.76359,14.57127,29.40914,14.48018,37.07719,5.80272,1.15852,14.70053,22.54733,1.03095,2.91318,2.97196,15.49446,2.22592,1.4532,1.40069,7.7195,3.19704,1.99234,1.90213,1.06566,1.75324,10.47075,8.56354,2.16847,6.12764,17.32102,12.00783,1.46714,5.20718,1.86095,5.7322,2.54465,3.57453,8.25222,1.21539,1.26504,1.61565,2.0162,1.81561,1.86383,1.93607,1.83228,6.2861,4.6149,2.6303,1.32904,11.61356,2.28834,6.7343,11.4103,1.96958,3.12387,2.37313,3.33485,0.69481,1.8977,3.52428,12.16221,0.89906,3.8267,2.0719,4.71712,29.85228,14.64729,4.99395,4.10617,4.47402,3.07825,1.64456,1.88915,4.30676,2.25713,9.08251,1.48473,3.9185,2.70442,4.10693,1.80806,3.12504,1.96686,3.21906,64.33149,4.71728,6.76738,5.98727,9.58148,4.9849,2.42631,2.73506,3.22222,0.91276,3.76122,3.59579,2.66981,2.28811,1.90391,1.00822,26.02109,2.36914,1.24653,6.87812,1.71484,1.34562,4.57527,5.11178,4.86036
