,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,32.49056,0.00535,0.984,0.71193,0.40377,0.20883,1.40588,0.0,0.0,0.0,2.46186,156.68573,3.42256,2.44515,2.71007,2.32409,125.28189,0.38883,0.0,0.0,1.88588,0.52222,0.44482,3.21834,0.85635,2.87169,16.50864,0.0,0.0,28.7873,0.0,0.59108,0.0,0.31547,0.09255,0.60725,1.27909,0.68616,1.27614,0.68544,1.95826,24.90913,0.53475,2.16585,0.64989,3.67396,0.63552,0.09255,1.22895,0.0,3.03435,0.52591,2.34622,0.0,3.20404,0.0,0.78947,5.08022,2.83443,4.85193,5.32557,9.20362,2.10248,1.04575,10.34955,0.0,0.12275,0.10189,1.1559,0.29667,0.66567,2.02823,0.9965,0.0,6.81373,17.73766,1.03937,0.0,0.17226,0.51151,0.0,0.0,0.98559,10.62916,3.97657,1.87092,0.0,0.0,0.0,12.40291,0.0,0.0,0.11334,0.85379,0.0,0.1312,0.0,0.79902,1.14684,3.09166,2.62622,0.1642,0.40939,21.32408,0.0,0.21378,0.0,0.0,19.85035,10.24316,1.97622,7.83926,3.82101,0.77732,0.0,1.47207,0.0,1.64678,3.69602,2.84704,0.43871,1.90244,0.69827,1.49748,0.0,6.09498,9.9681,2.39868,0.75114,6.30439,0.0,23.16741,12.60107,6.00128,9.6174,3.0643,1.44122,0.28008,33.28599,2.15535,2.12355,3.10614,2.47927,0.99733,1.7802,0.1957,3.17469,0.0,1.31178,0.0,1.82061,0.87554,6.29378,1.00045,0.0,6.62653,8.21317,0.18349,6.14364,7.59502,15.20187,8.82316,1.96634,0.63594,9.95015,3.59249,1.55713,2.08656,0.49443,1.64541,4.42747,1.17854,2.18281,1.6693,0.87174,0.15482,0.91633,8.29966,0.0,1.37937,3.5108,2.56849,1.18479,1.05609,1.43983,1.77409,0.78949,4.41549,2.08992,8.34835,0.39733,2.43152,0.0,1.07433,3.56792,3.56472,8.66312,1.88835,16.5194,6.34689,2.11155,10.01891,3.06297,4.39974,0.0,0.0,8.30978,2.19059,0.51493,2.5542,7.69337,0.47308,0.2398,0.41883,7.50834,1.59753,1.25026,0.0,3.2807,0.26645,2.37529,0.21772,0.37757,2.63666,0.0,0.0,0.61083,4.57497,22.01053,0.17091,2.69515,4.76336,1.86701,4.73359,0.0,0.0,4.78005
-4.75,14.51559,32.56348,5.44313,0.984,0.71193,1.69837,0.80954,1.08642,46.90576,0.0,2.47698,2.36306,156.68573,3.5314,2.12453,4.48067,2.53958,125.28189,0.38883,0.0,0.0,7.38858,0.52222,0.44482,10.13681,3.63267,4.11258,16.5174,0.0,0.0,28.84986,0.0,0.49814,0.0,0.32764,0.09255,0.62846,1.13385,1.34222,1.13877,0.75516,2.15348,24.90913,0.49651,2.115,0.64989,2.9646,2.5136,5.2144,17.46754,0.0,3.07274,0.52591,5.15101,27.69077,3.22186,92.32354,1.06096,5.08022,3.02329,4.85193,5.35868,10.00907,2.10248,4.92439,10.34956,0.0,0.16969,0.10189,1.01651,0.53432,0.66567,1.77485,1.09982,0.0,6.94292,17.73766,1.11174,0.0,0.17226,0.51151,0.0,0.0,1.09118,8.38612,6.78168,5.83243,0.0,0.06869,0.0,8.30919,0.0,0.0,0.11334,1.29806,0.82513,0.10233,0.0,0.79902,1.15501,2.24076,1.62739,0.76392,0.40939,10.80259,0.0,0.21378,0.0,0.0,13.91499,17.1594,1.97622,7.83926,5.2607,0.77732,0.0,1.53697,5e-05,1.55663,3.93265,2.21402,1.07714,1.90244,0.76003,1.27157,0.0,6.17177,10.01893,2.65343,0.72285,6.30444,0.0,23.28363,12.17699,6.34953,8.51346,2.53734,1.62842,0.28008,18.37959,2.3124,2.25916,2.97005,2.49747,0.92935,2.64273,0.1957,4.29167,0.0,1.39023,0.0,2.27358,0.9979,6.43543,1.11474,1.54271,6.62658,5.49077,0.38021,5.60205,7.59502,15.20187,8.87288,3.33338,4.00543,9.95016,3.02843,2.35788,1.49489,0.55943,1.66386,4.42747,1.17854,2.21312,1.67547,1.01844,0.46374,2.66477,6.59737,0.0,1.09377,3.15955,1.709,1.18479,1.57097,1.27869,1.45028,0.89984,3.7789,2.88592,8.34835,2.14516,2.43152,0.0,1.07433,3.11483,3.56472,8.67811,1.72988,12.6541,4.79689,3.04678,8.86267,3.06297,4.47669,0.0,10.65209,10.66116,2.66905,0.69528,3.54433,7.69337,8.30935,0.2398,0.572,7.50834,1.59753,1.17818,0.0,3.2807,0.26645,2.37529,0.21772,0.37013,2.63666,0.0,0.86009,0.51494,3.08182,23.92085,0.3086,2.24453,4.76338,3.10534,4.73359,77.11646,0.0,4.23944
-4.5,4.99112,41.62469,5.45944,2.51038,2.03326,3.80549,0.83709,1.08643,15.85512,0.0,2.50406,2.93516,156.68573,3.04716,2.22393,4.86596,3.6862,125.45741,7.7505,0.0,0.0,5.82508,0.52222,0.64189,10.17864,3.7192,4.11258,16.5174,0.0,32.77097,28.89187,3.19564,0.49814,0.0,0.32764,1.79178,0.62846,1.17308,1.71578,0.98576,0.79236,1.99638,24.90913,0.71112,1.93731,0.64989,2.1753,2.54081,24.84507,17.49269,0.0,2.39826,0.52591,4.27258,27.69077,3.30901,92.32354,1.06096,5.82662,3.06177,4.85193,4.13451,9.21923,16.16508,28.29032,10.37682,0.0,3.35242,0.10189,1.89875,0.56348,0.55473,2.66016,1.12506,0.0,6.94292,17.73766,0.95616,0.0,0.89294,3.75507,0.0,0.0,1.09118,8.39903,5.23024,4.89488,0.0,0.06869,0.98358,8.31461,2.93555,7.14091,0.11334,1.31458,0.83647,0.10233,0.0,1.55103,1.18164,1.81008,3.74139,0.79517,0.40939,10.6704,0.0,0.17929,0.0,0.0,13.95645,17.16552,1.97622,5.74277,5.2607,0.65983,0.0,1.46874,5e-05,1.54374,2.73367,2.24849,1.74884,2.22359,1.68255,1.36466,0.0,5.57773,10.37141,2.72456,0.87533,13.90768,0.0,23.46349,14.06184,6.70702,8.16736,2.87562,1.43408,0.38874,15.81241,2.56526,2.09041,2.97441,2.4914,0.81878,2.08471,0.1957,3.69683,4.86892,1.33236,3.85108,2.13357,0.99791,6.09527,1.09765,1.54271,7.85673,6.35141,0.39657,4.87306,7.59502,15.20187,8.87288,7.4154,4.01252,9.95016,3.03779,2.09337,2.13135,0.51687,1.70183,3.84189,1.29205,2.30508,1.67547,1.43226,1.17322,2.66477,6.39025,3.07025,1.14525,2.61511,1.31548,1.10986,1.26497,1.70707,1.06603,0.89984,3.01208,2.88592,5.99309,1.80749,2.99524,1.20378,1.07433,3.02219,2.94788,8.6949,1.48396,10.50133,3.44396,2.97097,8.86267,2.47973,4.94819,0.0,10.65209,10.66116,2.66905,1.6403,3.15132,8.59873,7.20866,0.2398,12.44245,6.57784,13.31372,4.78256,2.7706,3.2807,0.26645,2.37529,5.11066,0.46528,3.28195,0.0,0.55034,0.51129,3.07934,15.48321,0.44875,2.24454,7.25344,3.64403,4.7336,77.1792,0.0,3.85524
-4.25,7.0199,16.44506,5.45944,2.31615,1.69805,3.18304,1.47971,2.44103,15.87779,12.2855,7.7852,3.72584,156.68573,2.91205,2.45604,4.72585,3.70302,125.45741,7.75052,0.0,0.0,3.75389,0.52222,0.64189,10.20657,4.84944,3.26307,12.50463,0.0,32.77097,28.93879,3.19564,0.62019,1.49685,0.32764,1.84079,0.72446,1.19929,1.47589,1.37651,0.85252,1.73427,24.90913,0.71112,1.60188,1.36629,2.18953,2.54081,24.84686,15.97564,0.0,1.82173,0.52591,2.38063,27.69077,3.35405,92.32356,1.06096,3.94317,3.00245,4.85193,4.19351,7.02869,18.31574,28.30332,10.88817,0.0,3.35242,0.10189,1.91909,2.27378,0.64357,2.59103,1.26076,0.0,6.94292,9.49741,0.84665,0.0,0.91135,2.82271,268.09066,0.0,1.08934,8.39904,4.08429,4.9144,10.89536,1.21352,1.05035,16.80256,8.0095,3.61651,0.15744,1.3181,0.42874,8.70281,0.0,1.55103,1.66554,1.63102,2.87528,1.30024,0.40939,10.69591,0.0,0.18974,0.0,5e-05,20.49956,16.53699,4.06461,5.17593,4.5783,0.60376,0.19628,3.31402,3.32522,1.32565,2.39243,3.72321,4.00793,1.8711,1.55722,1.85495,0.34523,5.64755,10.68839,2.66094,0.86544,10.01891,0.0,23.60872,21.07724,6.87691,7.17505,2.62997,1.37508,0.83418,13.74442,2.86906,1.87556,2.95927,2.62168,0.71022,1.47817,0.15457,3.25321,6.19204,1.38442,3.85108,1.99858,1.44185,6.30698,1.09765,1.54271,7.64501,6.42897,0.58138,4.46621,7.59502,13.84524,7.48396,6.76113,2.82224,4.99604,3.15186,2.12908,1.93033,2.10746,2.40238,3.12761,0.91183,2.30508,1.48766,1.54725,1.17322,2.4083,6.3967,3.07025,1.16037,2.36656,1.97015,1.30332,1.27273,2.06227,0.94758,0.80428,2.62861,3.30393,10.84297,1.5898,2.49422,1.20378,1.07433,3.18758,3.21162,8.6949,1.50843,10.50133,3.35551,2.81911,7.96098,2.47973,4.12709,0.0,6.6703,6.3323,2.38112,1.91456,2.93322,8.83039,7.20866,0.2398,12.44245,4.97569,13.31372,4.24412,2.37322,2.8808,5.26149,11.03874,3.19934,0.51596,2.92275,0.02068,2.15795,0.58414,2.59262,15.48395,0.74816,1.98354,7.69547,3.64403,2.57499,77.18468,0.0,3.87196
-4.0,7.07435,14.59778,5.45944,2.11552,2.1433,2.60984,1.0246,1.96013,10.43405,16.92559,6.60912,5.34973,156.68573,3.04945,2.41372,4.73681,3.65482,125.45741,6.34002,14.79257,0.0,2.77123,0.37963,0.64189,10.24577,6.20828,3.15671,10.50939,0.0,32.77098,28.93936,1.71538,0.62019,1.49687,0.33954,1.84083,4.56797,1.32744,1.53891,1.6548,0.79452,1.44969,24.90913,0.73746,1.82389,1.09926,2.492,2.25261,24.85904,29.74786,0.0,1.83578,10.34289,2.11864,17.80078,3.32727,92.40709,1.06096,2.97227,2.98739,2.61414,2.81543,8.221,15.42405,36.2743,13.45162,0.50808,2.92477,0.06863,1.66399,2.3691,1.51311,2.77169,1.18149,0.0,6.94292,9.07965,0.89642,0.0,4.91691,7.16459,268.09066,85.20466,1.19679,8.53575,2.57767,4.42311,8.3188,1.21352,1.10371,8.63377,8.0095,3.68235,0.15744,1.70539,3.44302,8.9691,3.01741,1.39784,2.74153,1.43048,2.88286,2.57695,1.64256,10.69591,0.0,0.18974,0.0,0.98403,15.36686,16.53699,4.06461,5.51227,4.12318,0.60376,1.10844,2.79549,2.52832,1.26674,2.22226,4.00488,3.52157,2.3649,1.53536,2.18736,0.34524,5.37275,10.68843,2.69049,0.80837,10.64675,15.07205,14.70399,21.25168,7.58815,7.92511,2.53988,1.36865,0.99848,13.65046,3.06646,1.74983,2.90142,2.56009,0.74763,1.38545,0.99853,2.61664,7.69335,1.30511,2.33108,1.71451,1.41499,5.95573,1.06767,2.81865,9.20249,5.86379,1.66837,4.28152,9.90688,10.48581,9.89578,6.78567,2.14558,4.80144,3.38581,2.59114,1.71152,1.89979,2.38146,2.68344,1.12297,3.28637,1.32724,1.54725,2.84328,2.47547,6.5802,3.27227,1.14182,2.29601,1.83869,1.38309,1.34225,1.87359,1.14836,1.53979,2.41586,3.30393,10.84297,1.5898,2.49422,1.18072,1.07433,3.04069,3.27056,8.70009,1.37597,8.22471,2.8426,2.81911,6.73801,3.6688,4.12709,0.0,7.64123,3.57956,2.03477,1.91456,3.1913,5.77663,6.29473,0.24939,7.87002,6.17629,12.33161,4.13367,1.64195,2.8808,5.26149,11.03874,3.19934,0.51442,2.92275,8.14319,2.16457,0.64479,2.29985,10.73487,0.9985,2.01388,6.13038,4.96848,2.65113,38.73827,0.0,4.73904
-3.75,4.33936,9.94369,8.68602,2.23159,2.04239,1.87456,1.84064,1.5183,8.81264,19.07695,6.60912,5.11084,87.67077,3.0725,2.21915,4.77299,3.6713,69.08757,10.05674,15.46869,0.0,4.45731,2.131,0.6419,9.23204,5.77145,3.86643,12.71439,0.0,12.8074,28.93936,1.71538,1.41004,2.29413,1.38524,1.66448,4.59538,1.29318,1.46321,1.41506,0.78527,1.68754,24.90913,0.74948,1.88114,3.25013,2.94673,2.68299,25.52214,27.04662,0.0,2.00454,11.0374,2.55629,21.41381,3.19104,95.12788,4.98134,2.95726,3.02755,2.61414,3.4588,8.23922,12.98993,32.6959,12.55363,99.66067,2.92477,0.06863,1.41038,5.36015,1.45887,2.51214,1.64704,0.0,4.1886,6.64821,1.24864,0.0,3.69503,6.1595,90.894,57.42145,2.95097,8.32921,2.71008,4.7657,10.27393,4.82646,0.61528,29.42898,5.58386,1.84907,0.15744,1.70539,5.20994,8.55548,3.01741,3.68399,2.85141,1.56771,2.88286,2.72782,1.751,10.69592,9.79828,8.35912,0.0,1.01199,13.53132,14.96993,3.1845,8.09146,7.31459,0.71855,1.25179,7.69234,2.76753,1.23206,2.17219,7.01045,2.71851,1.87817,1.53227,2.35219,2.31862,5.40612,13.70945,2.81741,0.80194,7.28888,15.0722,16.01544,15.15488,7.6332,7.31269,2.32418,1.46832,1.25204,14.16679,2.73756,1.88666,2.69696,2.3411,0.74629,1.35873,0.91206,1.75291,8.80882,1.31712,1.50907,1.56029,1.43435,5.81737,1.22598,8.16575,9.58907,5.89128,1.60965,2.56553,7.54921,9.93922,7.5487,6.78567,4.33539,5.19839,7.80667,2.44165,1.54745,1.5851,2.39377,2.14302,1.12297,3.02699,2.87219,2.01797,3.47628,2.91041,7.15951,2.8254,1.11325,2.09982,1.78582,1.36627,1.3092,1.59033,1.19326,1.53979,2.58602,2.91559,7.68603,1.65863,2.1804,2.72081,1.07434,2.81467,2.77132,10.67868,1.31259,11.19263,2.40493,2.66615,4.77761,4.58256,8.24768,2.62158,7.046,3.57956,2.03477,2.01326,3.66957,4.7211,6.04842,0.24939,7.33589,6.17629,12.33947,5.88242,3.64386,2.89762,8.11515,11.03874,11.65453,0.60829,2.69848,8.14319,1.41315,0.75614,3.45867,10.33999,1.22343,2.01388,6.1704,6.45855,11.45526,25.35125,2.34169,4.82543
-3.5,2.98883,9.49484,8.68602,3.08297,1.72406,1.97271,2.00196,3.35346,6.0255,14.67143,5.11309,5.22667,28.07434,3.1959,2.90928,3.4779,5.63481,102.14803,8.9573,13.33303,3.89037,3.86667,3.30938,3.82861,7.69652,6.52268,5.13078,11.76664,0.0,10.49333,14.375,1.18305,1.2397,2.74331,1.18581,1.31576,19.36773,1.31114,1.57221,1.20549,0.85867,1.71598,21.92409,1.05389,1.87069,3.25171,3.37365,3.76271,23.15409,22.65946,19.90113,3.77336,16.14911,4.51152,18.62914,3.37379,95.77849,5.43272,3.18923,4.9023,6.98731,4.19456,7.67939,14.11473,51.79216,20.03372,99.66067,2.02796,1.44938,1.79213,7.50245,1.87836,2.3761,1.88802,7.78003,4.1886,4.35674,1.52331,9.335,6.92489,7.32374,119.78283,40.03043,3.81902,7.98041,4.16986,4.01592,10.27908,8.37057,1.44354,29.73981,5.04556,1.84907,20.28458,2.87341,5.31394,5.2568,5.56021,4.80283,4.52591,2.71277,2.31231,2.36485,3.36065,10.69592,9.79828,8.08385,1.03111,1.26561,12.29127,16.25642,12.34998,7.07675,7.31459,0.94059,1.81835,6.78612,1.94673,1.26792,1.85425,6.3771,3.30171,1.77366,1.37262,2.68542,6.19351,5.47521,14.8721,2.68856,0.92445,5.83151,10.02043,16.78561,12.36312,9.87242,6.33896,2.31119,1.29385,1.24353,13.66078,2.85168,1.9852,2.7815,2.1597,0.74432,1.43785,2.85049,1.81015,8.64812,1.3922,1.53034,1.42036,1.65254,5.41505,1.10031,8.14821,7.93144,5.00054,1.945,3.02327,9.25096,9.98306,6.7179,7.46452,4.21441,5.9776,7.12042,2.78449,1.5562,1.29423,2.38806,1.83686,1.50391,2.8129,2.51359,2.81235,3.12279,2.91041,5.85917,2.79166,1.34268,2.04791,1.50394,1.24298,1.19808,1.73712,1.19326,1.8486,2.47858,3.34121,5.98711,1.68021,2.02621,2.72081,1.07434,2.27064,2.76035,8.78108,1.27553,9.71191,1.95129,2.6629,4.77761,4.58256,7.0349,5.60229,7.046,4.31116,3.93644,2.41565,3.78979,4.84943,6.50878,6.98505,7.35399,7.46884,12.36192,5.37998,3.64386,3.99623,7.80287,11.03874,11.33836,0.9925,2.69848,8.15216,2.11921,0.93096,3.46115,8.17386,2.94762,2.88339,5.58128,5.8119,10.90646,27.08767,26.19796,4.3584
-3.25,2.99965,5.57492,9.85545,3.24188,2.44211,2.12875,2.43635,4.77864,6.36085,12.36224,5.2226,6.18239,17.7784,2.80458,2.924,3.64803,9.4785,73.70784,7.87818,11.99171,5.05997,3.73107,2.72218,12.73485,8.85228,6.2536,4.7128,11.7715,11.04147,7.72159,18.67764,1.09699,2.78886,1.89835,1.53267,2.15474,18.10071,1.28394,1.41415,1.03261,1.33656,1.403,22.01114,1.57169,2.05783,2.82035,2.78637,3.66816,22.5098,24.54856,29.37456,3.36528,16.14911,4.63448,15.8347,3.59145,32.70112,6.53147,4.95792,4.36513,8.56673,4.32773,7.28517,12.23473,41.84395,19.25034,99.66067,4.44978,1.10475,2.00234,6.18875,2.05804,2.51381,1.79651,8.34339,4.1886,4.58805,1.52331,9.3482,6.42,6.31828,76.98974,25.05952,10.1006,9.50297,3.92902,3.91937,7.93863,7.08592,10.15357,25.3981,12.08839,2.26543,23.49833,4.757,4.07915,4.6057,5.61641,4.37962,4.11025,2.74697,2.28773,2.24905,3.01394,13.6329,9.77478,8.08385,1.07229,3.44298,11.27072,14.4482,11.3484,7.07772,7.39439,0.78074,2.98936,6.35967,2.77406,1.27469,1.7945,7.1224,3.11823,2.13771,1.60991,2.62271,13.83679,5.61125,7.80178,2.43493,0.94117,5.59061,10.89871,20.10248,13.02647,7.32108,6.0758,2.11717,1.51535,1.1368,12.39769,2.76011,2.01857,2.56956,2.15591,1.96028,1.23795,2.54312,1.54677,9.43156,1.4628,1.72484,1.33903,2.1149,4.71715,1.29114,4.58209,9.47894,5.35968,3.00995,2.44371,7.45965,8.9468,6.54073,4.82313,4.21442,5.15596,7.54358,3.06963,1.49644,1.16255,2.38806,2.20206,1.42076,3.18779,2.85857,3.26404,3.01166,3.04965,5.85917,2.47353,1.96619,1.96436,1.35931,1.38927,1.09177,1.53521,1.80327,1.53404,2.32011,3.34121,5.95916,1.58999,2.06963,4.11452,2.35554,2.13888,2.21714,9.97962,1.08777,5.90808,2.09773,2.4966,3.73939,6.51624,7.09295,7.99074,5.12292,4.31116,3.58846,2.41565,3.12129,4.84943,6.50878,8.04892,7.35399,7.01772,9.90602,5.06291,11.9747,3.55379,7.35048,6.15326,18.13827,1.01321,3.52492,7.33011,2.26585,0.97044,2.51682,6.3898,2.56647,2.48974,5.88679,5.01907,11.80733,23.70237,15.23644,4.10539
-3.0,3.29078,5.66673,8.3337,3.70377,2.10577,2.92688,3.20854,6.30359,6.26931,11.38007,5.05185,6.55339,19.57157,2.5099,3.25604,4.4383,7.28192,66.20016,9.36935,9.38211,5.08022,4.02498,2.72218,11.47758,8.92073,6.90337,4.7153,11.67901,11.04147,9.10744,17.09674,1.94346,2.57808,2.06022,2.07305,2.18535,18.03249,1.2105,1.79249,1.14308,1.0384,1.68378,33.14463,1.33235,2.19374,3.11959,2.71005,3.85343,20.47456,22.94688,27.81042,3.31544,11.21629,5.39137,15.74074,3.3047,18.80046,6.36922,5.57489,4.02562,6.86215,3.08717,8.0438,11.99626,46.32141,15.73303,66.75181,5.44593,1.10475,2.58113,5.61728,2.96463,2.89762,1.65807,9.50274,4.1886,3.9955,1.86239,19.43087,10.93229,6.839,76.98974,22.40735,10.26054,7.9521,3.36533,3.9293,8.71271,9.01962,9.6527,22.43327,11.23217,3.28935,15.09689,8.05524,5.94425,4.41536,3.96232,4.14778,4.01704,2.52893,2.54515,2.67152,2.85556,14.28234,9.79904,8.22173,1.07229,8.11222,14.74984,14.4482,15.53758,6.30036,7.23884,0.83455,3.67167,5.80121,3.04285,7.55913,1.72747,7.89744,2.93161,1.82945,2.40791,2.96643,8.02696,4.51628,7.35438,2.3613,1.02334,5.71734,11.65495,18.74071,13.3115,6.63321,5.90707,1.8697,1.14668,1.21154,12.50261,2.3539,1.96285,2.40139,2.06011,2.30809,1.51413,2.50224,1.46094,9.85092,1.4582,1.81792,1.27852,2.50045,4.87351,1.63898,4.83108,10.15245,4.94642,2.94768,2.39675,7.1757,6.86552,5.14429,3.44546,4.60049,5.01662,6.94893,2.80769,1.57295,1.06459,2.02725,2.14201,1.34161,3.23073,2.46056,3.21829,3.16106,3.94721,5.85533,2.48256,1.84038,1.739,1.30773,1.59456,1.05224,1.69932,1.59875,1.50801,2.55421,4.85431,8.02808,1.59185,2.17692,3.65847,2.35554,1.98923,2.15948,9.14548,1.32563,4.86199,2.341,2.4966,4.05481,5.79567,7.09295,9.66842,6.00706,5.22828,3.58846,2.66966,2.58762,4.6293,6.46104,8.04892,6.66192,7.32157,11.30804,5.14314,12.10131,16.55794,5.82724,5.65846,13.45579,1.77473,3.45381,7.33011,2.16444,0.9768,2.44557,7.05458,2.1219,4.197,5.40594,5.1338,12.17926,25.55186,18.60717,3.38355
-2.75,2.85217,4.87576,7.47154,3.5071,1.92561,2.85981,3.19735,6.26957,5.81729,11.5178,5.42905,6.40218,15.41508,2.71474,3.28893,5.28718,8.7232,70.84557,10.60279,8.11396,3.91128,5.20049,3.83386,11.68388,9.99354,6.78289,5.79625,10.01253,17.45333,21.88234,13.85706,3.97949,4.60663,2.70682,1.96569,2.15338,13.1602,2.78566,1.63734,1.191,1.00411,1.53966,46.0933,1.51728,2.23455,2.73338,2.85587,3.50952,18.31119,18.93936,25.12084,3.93622,6.93192,5.15853,13.07626,2.96198,16.99625,5.44351,5.036,3.41856,6.61744,3.00293,6.77176,12.74548,37.95664,16.00896,64.52294,5.27471,16.5891,2.80952,6.1842,2.79924,2.59033,1.72677,10.78673,17.34787,3.49146,2.0802,19.43862,9.57295,6.85651,48.71506,21.63515,9.79722,7.82987,3.31302,4.33618,7.54142,9.18231,9.28907,25.31068,10.04565,5.53455,13.17722,7.8728,6.48936,4.22903,3.96593,4.36482,3.76968,2.73025,2.81114,2.84296,3.41814,17.60351,22.93245,9.7968,36.39554,7.45714,15.2596,13.1001,15.90583,6.01835,6.91986,1.06196,6.29666,4.98624,4.80875,10.35981,1.59351,7.3982,2.95088,2.68221,2.55026,3.10866,7.00054,4.25501,8.45015,2.33211,0.96569,5.65214,11.94926,14.05545,11.18006,6.30582,5.6442,1.69953,1.26232,1.13872,12.23933,2.2398,1.7498,2.37789,1.80112,2.54636,1.53213,2.21816,1.47272,10.61384,1.51047,1.67126,1.29189,2.41918,4.28934,1.8166,3.66203,11.2769,4.62743,3.95445,2.06,6.24841,7.17668,4.86056,2.70667,4.34243,4.92662,7.60611,2.75127,1.79548,1.06171,2.38858,2.02006,1.34161,3.23073,2.46056,3.33317,3.21875,3.4222,5.21682,2.61947,1.70228,1.61285,1.28075,1.37293,1.03892,1.65705,1.95523,1.60952,2.24216,4.85431,7.38827,1.74587,2.17692,3.65847,2.78087,1.87628,1.99904,7.66679,1.35099,4.19557,2.84518,2.59228,4.72533,5.79567,6.30024,10.90364,5.30382,5.10272,3.6467,2.44905,2.76159,3.96936,5.72958,17.25362,8.96013,7.32157,9.83885,5.05724,8.88028,15.0688,7.69878,5.44525,11.93275,2.3101,3.45381,8.30336,3.11843,1.21401,2.31606,6.06845,2.2585,3.91553,5.45747,4.32164,9.56999,19.99224,33.07184,2.90176
