,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.47318,2.14507,0.0,0.0,0.0,0.0,0.08935,0.0,0.0,0.0,1.53337,0.34034,0.0,0.0,2.74438,0.0,2.49243,0.0,0.0,0.0,0.0,0.0,0.0,0.65677,0.13673,0.8222,0.3724,0.0,0.0,0.0,0.0,0.27366,0.0,0.38823,2.71049,3.91246,0.25292,1.62691,0.04739,0.14855,0.79556,1.6615,0.0,0.81986,1.59883,0.0,0.27502,0.0,0.0,50.5777,8.62213,8.85534,0.0,0.0,0.0,0.76792,0.0,0.0,0.0,0.0,0.0,1.33868,0.0,0.0,1.47883,0.0,0.0,0.53026,0.0,1.52704,0.2644,3.72571,0.0,0.0,3.03842,0.0,0.0,0.0,0.50407,0.0,0.0,4.35339,1.9677,4.00082,0.68673,0.0,0.50125,0.0,5.01282,0.0,1.43024,0.0,0.0,1.22214,0.0,0.0,1.65543,0.74813,0.41988,0.2494,0.43754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79212,0.0,0.3663,4.23957,4.29918,0.0,1.14003,0.0668,1.81061,0.0424,1.43361,0.0,1.13073,0.0,8.26276,0.0,0.17276,2.81612,0.0,0.0,0.25117,8.93632,0.0,0.0,0.0,0.0,3.74812,0.24593,0.0,0.41034,0.0,0.24622,3.51318,0.08397,1.02557,0.92375,1.61549,0.06452,0.0,0.09409,0.05203,0.0,0.4267,1.87215,6.02168,0.0,1.97796,1.2346,0.0,2.9681,8.25047,0.0,0.0,3.40487,0.0,0.0,2.31315,0.99678,1.48204,0.61346,2.56396,0.0,0.0,2.18829,0.176,0.0,0.0,0.0,0.0,2.60405,0.17015,0.4357,0.0,2.1297,1.70869,0.73464,0.0,1.06554,0.24805,0.0,0.0,0.74653,0.79889,1.24923,2.8633,6.66979,1.87139,1.29849,0.0,10.10612,0.18039,0.0,0.52268,0.0,3.02936,3.99005,0.89704,0.19651,0.0,2.74783,0.59034,2.79473,0.01136,0.0,0.0,6.73161,1.80466,0.82437,0.0,0.0,0.0,0.0,0.0,0.15938,4.44078,0.01295,2.57055,0.0,2.00615,0.52278,0.0,3.15014,2.47953,0.0,0.61862,0.0,0.0,0.14037,0.0
-4.75,0.49671,2.14507,0.0,0.0,2.38592,0.0,0.08984,0.0,0.0,0.0,1.53338,0.34034,0.0,0.0,2.74438,0.0,2.49243,0.0,0.0,0.0,0.0,0.0,0.04129,0.65677,0.14197,0.8222,1.88417,0.06807,0.0,0.0,0.0,0.27366,0.0,0.38823,2.83912,1.97079,0.99809,1.79613,0.58599,0.16941,0.85206,1.6615,0.0,0.81986,2.23703,0.0,0.27502,0.0,0.0,14.07104,8.62213,8.85535,0.0,0.0,22.34354,0.82707,0.0,0.0,0.0,0.0,0.0,1.33868,0.0,0.0,1.54056,0.0,0.0,2.45049,0.0,1.03501,0.2644,2.66094,2.95301,0.0,3.09719,0.0,0.0,0.0,0.50407,0.0,0.0,4.55256,1.99211,4.04962,0.33496,6.49517,0.50125,0.0,5.01282,0.0,1.43024,0.0,1.49599,1.22214,0.0,0.71718,1.65543,1.11792,0.44111,0.2494,0.82698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79212,0.0,0.3663,4.23957,2.9396,0.0,0.88613,0.50369,1.81061,0.30734,1.2721,0.0,1.13073,2.12442,5.94755,0.0,0.17276,2.07977,3.95898,0.0,0.35541,5.55906,0.0,0.0,0.0,0.0,3.74812,0.24593,0.0,0.53176,0.0,0.24622,1.51406,0.61251,1.15024,0.96166,1.61549,0.39023,0.0,0.34119,0.85604,0.4326,1.20868,1.87215,4.72961,0.0,1.97796,1.23463,2.77288,2.9681,8.25047,0.0,0.0,3.53272,0.0,0.0,2.31315,1.05026,1.4821,0.65073,2.56396,0.0,0.0,2.18829,0.176,4.59686,0.0,0.0,0.0,2.60405,0.17015,0.4357,0.0,0.9634,1.7087,0.69201,0.0,0.85771,0.27533,0.6145,0.0,0.74653,0.79891,1.24923,2.86591,7.00067,1.61092,1.84291,0.0,10.27235,0.18039,0.0,0.52268,0.0,3.02936,3.99005,0.89704,0.19651,0.8327,2.74783,0.67745,2.84487,0.01136,0.0,0.0,5.68844,1.80466,0.82437,0.0,0.0,0.0,0.0,0.0,0.18597,4.46699,0.01295,2.58114,1.19006,2.01648,0.3767,0.84753,3.15014,1.70093,0.0,0.61862,0.0,0.0,0.14037,1.28196
-4.5,0.54945,12.46174,0.27902,4.12511,2.38592,0.37943,0.08985,0.0,0.0,0.0,1.65214,0.34034,10.92659,0.0,1.3722,0.0,2.49247,0.0,2.87791,0.0,0.0,0.0,0.04129,0.65677,0.18872,0.8222,1.97618,0.2,0.0,0.0,0.0,0.27366,0.21861,0.97358,2.85926,1.97079,1.02244,1.79613,0.6223,0.19117,0.85206,1.0589,0.0,0.87755,2.23704,0.0,0.27502,0.0,0.0,13.16723,8.62213,4.51045,12.34942,1.17579,11.53663,1.01135,0.48595,0.0,0.23199,0.0,0.0,2.56543,1.36637,5.33567,1.7942,0.25836,0.0,4.26027,0.0,1.04786,0.22878,2.77546,2.17414,0.0,3.18088,0.0,0.0,0.0,0.57184,10.83719,0.0,4.55256,1.70433,3.65446,0.33496,6.89236,0.37207,0.0,5.01282,0.0,1.43024,0.0,1.34158,1.58025,3.47234,0.71718,1.65543,1.11792,0.44669,0.2494,0.82698,0.0,0.0,0.0,0.21296,1.62515,0.0,0.0,0.0,2.1157,0.0,0.49787,4.23957,2.9396,0.0,0.81821,0.52953,1.8447,0.3471,1.23457,0.0,0.88276,2.12442,6.25231,1.5664,0.17276,1.99579,3.959,0.43936,0.35541,5.60563,0.0,0.0,0.0,6.68534,3.74813,0.3319,0.0,0.53176,0.0,0.3923,1.51406,0.61252,1.21322,0.96166,1.61549,0.39023,0.0,0.28004,0.59036,0.45898,1.04538,1.87216,3.10161,0.0,1.97796,1.26642,2.01885,2.9681,8.25047,0.0,0.2348,3.53272,0.0,0.0,4.05705,1.05026,1.05132,0.65073,1.81077,0.0,0.0,2.5298,0.42549,4.59686,0.0,0.0,0.0,2.41091,0.21801,0.92672,4.64983,0.76224,1.7087,0.5636,0.0,0.85771,0.27533,3.78676,0.0,0.74653,0.97587,1.24923,1.94336,7.47186,1.53366,1.87903,0.12336,10.27235,0.45613,0.27936,0.54402,0.0,5.67834,3.99006,0.89704,0.19651,0.8327,3.66382,0.67745,3.59338,0.01136,0.0,5.35362,5.68844,3.95179,0.4732,0.0,0.0,0.0,0.0,0.0,0.21033,4.46699,0.01295,2.58114,1.19006,2.01648,0.2846,0.84753,3.15014,1.70093,0.0,0.61862,0.0,1.59348,2.38431,1.28196
-4.25,0.73117,9.55568,0.35788,4.17617,2.51308,0.37943,0.09537,0.0,0.0,0.0,1.65214,0.34034,12.87699,0.0,1.32766,0.60431,1.83031,0.0,3.9422,0.0,0.0,0.0,0.04129,0.65677,0.18872,0.8222,1.97618,1.33852,0.0,0.0,0.0,0.27366,0.21861,0.67311,2.75135,1.97079,1.05343,3.26228,0.50483,0.71203,0.75675,1.12456,0.0,1.15162,1.85034,0.0,0.27502,0.0,0.0,13.16723,9.0124,3.23916,7.48566,2.51729,11.61716,1.04115,2.33404,0.2143,0.23199,0.0,3.18236,2.61459,1.36637,4.78947,1.6999,1.4725,0.0,4.26027,1.34305,1.18995,2.00496,2.94682,1.31585,6.22949,3.20993,0.0,1.77061,1.06327,0.57185,10.87873,0.0,5.67487,1.72359,3.29893,0.36133,9.05412,0.33564,0.0,5.01283,0.0,5.64102,0.0,1.34158,1.08166,3.47235,0.71718,1.67316,1.27117,0.32675,0.2494,0.84334,0.0,0.0,0.0,0.5017,1.62515,0.0,0.0,0.0,3.3686,0.0,1.85272,4.23957,2.93962,0.28073,0.85931,0.55003,1.96514,0.87825,1.81525,0.0,0.88276,1.82819,6.48458,1.5664,0.17276,2.10425,3.95901,0.43936,0.35541,5.75067,0.0,0.0,0.0,7.01051,3.74813,0.42455,0.0,0.53176,0.0,0.31989,1.63797,0.70218,1.27925,1.06605,1.61549,0.39023,0.0,0.28005,0.59695,0.45898,1.04295,1.87216,3.10161,0.0,1.24147,1.33659,2.01886,3.05472,8.25047,2.24042,1.64506,3.88199,0.0,5.22285,2.28907,1.1001,0.99797,0.53329,1.83373,0.0,0.0,2.56339,0.42549,5.21503,0.19073,0.0,0.0,2.43005,0.21801,0.78785,4.64985,0.76224,1.70871,0.86849,0.0,0.75458,0.27891,3.78676,0.0,0.74653,0.97587,1.24923,1.94336,9.85639,1.59755,1.89361,0.12336,5.13622,3.98252,0.34785,0.70686,0.0,5.67834,3.99006,1.05329,0.23473,0.59214,2.81245,0.74526,4.24761,8.56139,0.0,5.35362,5.74555,3.95179,0.4732,0.0,0.0,5.78878,1.7684,0.0,0.21033,3.17942,0.08058,2.62615,7.07751,1.53867,0.32689,0.84753,4.58245,1.98749,0.0,0.61862,0.0,2.21896,1.63184,3.98139
-4.0,0.77264,7.59721,5.87395,3.06226,2.06128,0.45252,0.13441,0.0,0.0,0.0,1.65214,13.17541,18.0024,0.0,1.32766,0.66707,1.46484,0.16918,4.12746,0.0,0.0,0.0,0.04129,0.65677,0.18873,0.8222,2.30089,1.33852,0.0,10.09814,2.05586,0.27366,0.11203,1.52688,2.85895,1.97079,1.00186,2.43354,0.50483,0.93322,1.02239,4.03326,0.7121,1.06973,1.65031,7.63309,1.15746,0.0,4.50733,12.17687,8.08274,2.82809,8.83445,2.93546,11.64736,1.16087,1.84364,0.29024,0.5966,0.0,3.18237,2.52095,1.96809,8.91248,1.60744,1.4725,0.0,4.23921,2.14334,1.06174,2.31264,2.94682,1.78921,13.17594,3.29388,0.0,1.08418,1.61566,0.57185,10.87873,0.0,3.68701,1.72359,2.76015,0.46135,9.05412,0.32425,0.0,3.52757,5.75132,3.39872,0.0,1.48898,1.08166,3.4863,0.85283,1.70586,1.15518,1.52538,0.9011,0.8951,9.75457,0.0,0.0,0.5017,1.62515,13.38451,1.38124,0.94883,3.3686,0.0,2.24859,4.23957,2.45534,7.41684,0.85931,0.40756,1.96514,0.87224,1.81525,0.0,0.88276,1.84303,6.74598,1.56641,0.17276,2.3703,3.95903,0.21572,0.21547,4.95887,0.0,0.0,0.0,11.89479,3.01737,0.52702,0.0,0.53176,10.79939,0.31989,1.63797,0.65777,1.22374,1.14465,0.97741,1.56589,8e-05,2.99439,0.52165,0.679,0.95725,1.52965,2.5685,0.70265,1.27727,1.02536,1.27067,3.13215,7.0859,2.24042,1.64506,3.88199,0.0,5.22285,2.29299,1.1001,0.99797,0.38177,1.85358,0.21942,0.0,1.42469,0.41171,6.77688,2.33957,1.86334,0.0,2.43005,0.62458,0.73334,6.33002,0.82968,1.9928,0.78896,0.0,1.06231,1.00476,3.32171,0.26638,0.65784,1.63571,1.54424,5.09836,9.85641,1.50778,1.92237,0.0833,3.77676,3.35868,0.34785,2.84561,11.64132,5.69422,4.9625,1.05329,0.23473,0.59214,2.81245,0.89337,4.24761,8.56321,2.14983,5.45557,5.74555,5.84972,0.54706,0.0,0.0,5.78878,1.7684,0.0,0.36488,3.26187,0.08058,3.7452,6.23537,1.38492,1.26121,0.84753,7.52114,2.78361,2.10578,1.06157,0.0,2.21896,1.63184,4.00779
-3.75,1.30525,7.06284,5.92267,5.05156,2.08813,0.45252,0.13441,0.0,0.0,9.42739,3.45865,13.47912,18.0024,2.72442,1.13451,0.66707,1.46664,0.16918,4.16429,0.0,0.0,0.0,1.9601,0.65677,5.06384,0.8222,2.30089,1.33852,7.37711,10.09814,2.10306,0.27366,0.33197,1.53886,2.63126,1.97079,0.86104,2.57463,0.45207,1.13423,1.43995,2.75524,0.60481,1.58439,1.96875,5.03372,0.96147,20.19555,4.51385,11.27835,6.34469,2.68409,8.45079,14.04034,6.83636,1.10222,1.4504,0.91831,0.5966,0.0,2.16822,2.44144,1.96809,8.91667,3.23731,1.3297,0.0,4.36866,2.20072,1.886,4.22549,3.16804,1.52721,10.02425,3.29388,0.27241,2.54197,1.31439,0.57185,10.80596,0.0,3.68701,1.72359,2.58779,0.92638,5.19515,0.3174,0.0,2.67064,5.75132,3.94462,2.83759,3.17636,1.10067,3.4863,0.85283,1.77898,1.15519,1.85617,0.57208,0.86526,9.77339,2.22979,0.0,0.41463,1.62515,13.46103,10.08986,1.72657,2.27486,0.0,1.67394,4.23957,2.45534,4.82059,0.81469,0.58121,3.65326,0.65145,1.62803,0.32902,0.90329,1.84303,6.85018,1.07594,0.8865,1.74466,4.21921,0.21572,0.18466,4.64215,0.0,20.6963,0.0,12.2477,2.68186,0.63254,0.0,0.35452,9.78045,0.52801,1.5392,0.64372,1.22374,1.38179,0.72597,1.58656,8e-05,2.29136,0.55847,1.0264,1.10105,1.60394,2.51064,0.96154,0.70219,1.28509,1.53359,2.18149,4.51863,2.30527,1.69802,3.88203,1.42784,5.07548,2.29299,1.1001,0.79211,0.88041,1.64045,0.21942,0.01042,1.39432,0.56568,6.82458,2.33957,2.52765,0.0427,2.80786,1.3255,0.73334,6.33004,0.91948,2.20773,0.76894,0.0,0.97757,1.00476,4.1822,0.43934,0.77083,2.04319,1.129,4.39133,9.85641,1.68383,1.96505,2.19069,3.2498,2.42537,0.53468,2.84561,11.64132,5.51024,5.2444,2.02195,0.50041,1.27958,2.47219,0.89337,1.93905,8.56321,2.31151,5.45557,4.52159,5.84972,2.53287,0.0,0.0,4.10997,0.97443,0.10546,0.53194,3.38821,0.56919,3.7452,6.23537,1.22272,1.10794,1.02307,8.3796,2.78361,4.31451,3.20614,7.24126,2.21896,1.53047,4.60855
-3.5,1.32574,6.14941,2.81282,5.05156,1.59425,0.45252,3.1512,1.56737,0.0,9.60567,4.44596,13.47912,18.13037,1.45417,1.17958,11.2693,1.62054,0.16918,4.27295,5.03134,0.0,4.20295,1.9601,0.65677,3.99437,4.96546,3.87283,1.24059,5.63731,25.6021,2.10306,1.07163,0.40472,1.29624,2.45576,2.55424,0.91686,2.33729,0.90236,1.23666,1.13598,2.78854,0.56946,2.19553,2.09855,4.6406,2.00556,20.19555,4.21269,9.91321,6.47058,4.73921,7.27087,9.88599,5.71277,1.05847,2.58215,0.84797,0.50887,1.1952,2.18404,2.23416,5.20085,9.06872,3.25196,1.40125,0.0,3.62483,2.51174,1.886,3.87822,3.25917,1.59223,10.06387,3.34985,1.7031,3.09173,2.8933,0.57185,9.35038,10.59203,2.12121,1.7422,2.48152,2.2577,6.59765,0.3174,15.24147,2.67064,5.75133,3.94462,1.65201,4.31854,0.89168,6.2114,1.44708,1.86267,1.15519,1.51007,1.10128,0.86526,5.04657,2.2298,0.38104,1.93513,1.62515,13.46105,10.18328,1.72657,2.40228,0.0,2.18891,9.96613,2.4658,3.21258,0.76501,4.06705,3.05992,0.88826,1.40976,0.71824,9.81279,2.07334,6.59241,4.27622,1.52382,1.97426,4.50973,1.06281,0.22853,4.14432,0.0,21.24775,5.67889,7.12936,2.87479,0.64028,0.23135,0.30229,11.99069,0.49709,1.4292,0.64373,1.14932,1.33649,1.2354,1.85519,0.21853,1.70954,0.63378,0.75025,1.10105,2.03182,2.45587,0.96154,0.70939,1.30505,1.33954,1.10858,5.90878,2.1037,1.73751,2.90015,1.42784,4.47489,3.3005,1.98525,1.61889,0.68678,1.6444,0.25384,1.57834,1.31473,0.56568,6.17487,2.59396,2.232,0.0427,4.18399,1.30905,1.35235,5.02073,0.89297,2.24725,0.73826,0.41059,1.15325,0.90411,4.1822,0.43934,0.77083,1.88359,1.129,4.39133,9.85641,1.47369,2.0271,2.19069,1.70926,2.15589,0.48093,2.29865,10.07417,5.51024,5.2444,1.78972,1.48712,1.27958,2.87719,1.09903,1.83476,4.57058,2.31151,5.45558,4.52159,5.24029,2.53287,0.0,16.2331,4.12097,0.97443,0.10546,0.53194,3.38821,0.56919,6.78333,4.21743,1.07253,1.21342,0.91133,5.60975,2.06358,3.79329,2.86164,5.48592,2.24641,1.39291,3.80422
-3.25,1.97456,5.93836,2.50945,3.77461,1.32461,0.45252,3.00688,8.35624,0.0,9.60567,5.09436,14.30234,12.13552,1.38094,1.21083,15.52789,1.62054,0.16918,5.20931,4.43031,0.0,17.80486,4.95691,0.65677,3.82367,4.96546,2.81275,3.69746,16.51067,25.6021,7.43704,1.07163,0.43886,1.20509,2.71732,2.55424,1.0255,1.8377,0.75372,1.16495,1.16859,2.35893,0.78558,2.73756,1.83785,2.65061,1.86028,26.57641,3.44654,9.91322,6.97223,4.15588,6.7519,7.60456,7.02958,1.04565,2.01768,1.56676,0.50887,11.28272,9.91427,3.07114,3.65175,7.87209,3.38465,1.48952,5.25942,3.62483,2.50591,2.04783,3.87822,2.32673,1.42711,7.48348,3.34985,2.06478,5.92638,3.49727,0.57185,9.36763,10.98324,2.12121,1.54346,2.39452,2.46538,6.14818,0.30097,10.20715,3.545,3.49404,3.79331,3.41976,4.31854,1.89306,6.59146,1.38268,2.39845,1.19905,4.66624,1.17004,0.84422,4.04628,2.2298,1.53417,1.93513,1.00879,13.55056,5.59931,1.83928,2.40228,0.0,2.25863,6.72082,1.73725,3.62793,0.77456,3.78236,3.13537,1.10491,1.19865,5.96696,9.81453,2.12722,6.61575,3.32899,1.28012,2.04146,3.51318,1.12723,1.07001,4.25704,7.60927,22.17474,5.81775,4.63067,2.47227,0.6987,0.11568,0.24347,8.35354,0.93786,1.35577,1.8983,1.1123,1.30131,1.86393,1.93742,0.323,1.64362,1.27756,0.65583,1.14183,1.46702,2.46318,1.7918,0.99788,1.59809,1.44084,1.78693,3.64125,2.1037,1.73751,1.80758,0.84265,5.16522,3.34793,4.42681,2.47416,0.6406,1.15503,0.41382,1.58422,1.31473,0.75709,6.17487,2.5339,2.232,4.33846,4.18399,1.93624,1.18329,4.24634,0.93423,2.24725,0.68418,0.44981,1.35987,1.2696,2.71913,0.88454,1.35853,1.88359,1.15458,3.81386,9.85642,1.48532,1.77294,2.00987,1.36671,2.15589,1.31982,2.82998,10.20298,4.34858,5.2444,1.87271,1.48712,2.39922,2.87719,1.09903,1.83476,5.76529,4.2349,5.45558,3.74266,3.52698,3.7728,11.44244,11.14681,4.12097,0.97443,0.23603,0.43221,5.74569,0.58033,6.78333,3.97451,1.07253,1.18403,0.99771,6.15792,2.20255,4.51289,2.86974,5.48592,1.25981,1.39291,3.80422
-3.0,2.84468,4.96068,3.4345,3.93888,2.91119,1.2185,4.8143,10.76043,0.0,9.60567,4.46101,13.24648,9.8192,1.41616,1.22239,12.71104,1.93832,10.40621,4.69713,4.43031,0.0,17.80487,4.47177,7.17439,3.1092,5.67778,2.81275,3.76994,13.30873,17.5973,8.20737,1.13089,0.42689,1.36097,2.4985,1.61207,1.07762,1.73484,0.75652,1.65113,1.06743,2.29899,0.90866,2.31138,1.89588,2.11267,1.68056,34.58611,2.83145,9.06793,5.98411,4.8537,6.51473,6.57784,5.99602,1.01971,2.81088,1.71775,1.29442,11.44582,8.10573,2.64371,3.73772,7.87209,3.02527,1.60947,17.91106,3.68714,3.46959,1.91762,3.49053,1.81823,2.53075,7.8124,6.38258,2.3472,7.5879,4.86073,2.80981,13.54284,11.01304,2.26338,2.09316,2.49861,2.46538,5.60503,0.31722,10.27691,3.50695,5.3267,4.64635,3.56691,4.38598,1.89306,4.28141,1.38268,2.33594,1.06638,3.54235,1.00653,1.0292,3.87895,2.2298,1.53417,2.64108,2.52121,15.49788,10.17913,3.11529,2.20619,3.18635,2.51602,6.72082,1.38604,3.64413,0.74094,3.82887,3.13537,1.11604,1.02545,5.38948,8.81639,2.12722,6.68031,3.46461,1.37657,2.36015,3.54421,1.27628,0.73268,3.90947,6.81363,26.64513,6.04454,4.6662,2.54439,0.71633,1.25564,0.28342,8.7824,0.96383,1.3328,1.78225,1.07556,1.49734,1.92619,1.97963,1.4099,1.42494,1.31993,1.04455,1.08707,1.19564,2.03795,3.87353,1.29089,1.48679,1.51806,1.94437,3.8652,1.84827,2.03874,1.7027,0.94002,5.27699,2.85734,4.44938,2.53682,0.6406,1.21953,0.58322,1.58422,1.19677,1.18241,3.71945,3.03679,1.79004,4.33846,4.18321,1.93624,1.18329,3.79247,0.99604,2.61671,0.78646,0.3129,1.417,1.2696,2.71913,0.88454,1.44386,3.24433,1.65522,3.63513,12.38415,1.35591,1.25156,2.00987,1.33593,2.61472,1.29137,2.70592,10.20298,3.31031,10.0884,3.81242,2.23351,2.39922,3.55478,0.94217,1.92643,5.76529,4.2349,13.70895,3.74266,3.52698,3.68374,11.44244,11.14681,7.45411,4.00577,1.94802,0.43221,4.59358,3.05917,4.87446,3.97451,1.36258,1.527,0.63306,5.18638,2.20255,4.05609,2.86974,6.22128,1.25981,1.70481,5.05741
-2.75,2.91714,5.497,3.51426,5.01026,2.0872,5.9729,5.36802,10.79352,0.0,4.84953,4.16345,12.67173,9.2791,2.2177,1.02414,9.4745,2.23878,7.03328,5.17809,3.57868,0.0,11.88722,4.47177,7.17439,2.49631,5.64952,4.80369,3.92367,13.30873,17.68614,8.20737,4.6876,0.45505,1.28691,2.2611,2.02875,0.82867,1.48012,0.81615,1.561,1.0776,1.91543,0.96048,2.34564,1.70301,1.80778,1.18784,45.42196,3.07615,7.62408,5.83889,5.08314,6.65739,9.21745,6.11045,0.9184,2.68864,1.43673,2.53634,11.44582,6.57775,2.81593,3.6249,5.92041,3.358,1.95836,10.41552,3.1143,3.4995,2.04408,3.87252,1.63468,2.26067,7.96371,6.13097,2.42971,7.97658,4.35439,2.68267,12.34988,6.76462,2.04944,2.07908,2.08277,2.4515,4.37562,0.29269,10.27691,3.77139,5.3267,5.51242,3.56691,4.11428,2.17647,4.28141,1.73122,2.29275,0.89272,3.11594,1.20161,1.09931,5.27708,4.52716,1.32838,2.18246,5.54632,16.87035,10.20159,3.57428,4.08505,2.70899,3.39233,8.90836,2.39164,3.38855,0.69402,2.6776,4.41403,1.12152,1.30241,5.89939,7.22614,3.9175,5.73128,3.48488,1.49612,2.2199,3.86399,1.16726,0.93356,2.94014,7.79589,29.25977,8.02746,4.57072,2.18696,0.76669,1.28272,1.00406,8.44431,1.06733,1.31831,1.99074,1.09462,1.4924,1.59975,2.00793,1.118,1.49594,1.27439,1.32546,1.02173,1.23622,2.00794,4.16574,1.48847,1.35287,1.3558,2.1252,3.8652,2.6042,2.62775,1.80008,1.3808,6.09081,3.12793,3.59548,2.53682,1.05313,1.49605,0.67707,1.23094,1.10367,1.49716,3.71945,3.03679,3.0649,4.70125,4.22321,1.82464,1.45602,3.36095,0.89549,2.61671,0.91338,0.62437,1.08206,1.31883,1.81254,3.57852,1.30259,3.0255,1.65522,3.63513,12.38445,1.3447,0.98527,2.1744,1.16688,2.50611,1.16289,2.70592,7.27276,3.31031,8.3353,3.81242,2.23351,2.90114,4.45736,0.81248,2.75377,5.09194,3.01104,13.70895,2.42861,3.0017,3.68374,6.96947,11.1968,7.45411,3.41462,1.94802,1.13816,4.4277,3.05917,4.87446,3.19566,1.69888,1.33625,0.64179,5.28021,1.9678,2.61367,2.7069,6.16185,4.11963,1.47756,4.21528
