,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,3.83558,0.0,0.02186,2.47509,66.04396,3.35341,1.59401,2.13979,8.93113,0.0,0.0,0.0,0.0,1.07296,0.0,9.611,13.18423,0.0,2.11895,0.0,0.11146,0.0,0.0,0.0,0.0,1.26797,0.0,0.02661,0.0,0.0,0.0,51.57051,0.0,3.77444,4.93224,0.0,0.0,2.03921,1.38722,1.91308,3.00807,2.11914,4.2551,12.6567,0.44292,50.62365,0.0,0.0,2.92292,0.0,0.0,0.0,0.0,0.0,0.0,1.25139,0.0,7.46964,0.0,0.16672,0.0,1.15567,4.15772,0.66345,1.10035,9.77783,0.0083,0.0,0.01774,7.43059,0.0,0.44872,2.20886,0.90317,0.0,0.0,0.12057,0.0,108.26325,0.0,0.76063,0.0,0.0,0.0,5.20777,0.0,38.46856,0.0,0.0,0.0,90.40996,0.02661,0.0,4.66712,11.03135,0.0,0.19761,0.79974,4.16304,0.0,27.28856,9.013,0.55403,31.77612,0.0,0.0,0.0,25.08825,0.0,0.0,0.0,0.0,0.28229,8.16758,2.59666,29.19769,2.21879,0.0,5.3254,1.43772,2.07826,3.19077,1.24983,0.0,0.24046,0.0,1.97656,1.04276,1.68868,0.81341,3.24762,2.65978,0.0,0.63698,2.81089,2.43908,2.48999,0.0,0.1796,5.00663,0.79573,0.0,11.7489,0.24138,0.30455,1.50576,0.0,1.91147,0.20687,0.0,0.85103,0.0,1.19077,2.14436,1.51579,0.0,0.92279,0.7175,2.11238,2.04933,0.87074,0.0,25.59243,30.65232,9.60078,0.0,0.0,0.0,0.0,0.0,18.81353,0.0,0.09266,0.11944,0.0,0.80957,0.15436,0.0,0.0,0.0,0.0,0.0,0.46073,1.03306,0.0,0.0,66.68459,1.79254,30.46225,0.0,0.0,0.0,0.0,8.87287,0.0,1.68571,0.99366,0.0,1.61308,0.02176,0.0,1.4853,6.28548,0.0,0.0,0.0,0.0,0.0,0.0,4.77151,0.0,0.0,0.0,8.84846,0.0,83.13205,0.0,0.0,0.0,2.74941,0.0,1.18784,1.42928,7e-05,0.0,103.47953,2.92464,0.67449,0.1987,0.15567,0.35494,0.0,0.0,0.0,0.02126,0.0,44.70829,1.40416
-4.75,3.83558,0.0,0.02186,2.47509,66.04396,3.35341,1.59401,2.17685,4.65995,0.0,0.0,0.0,0.0,1.0408,26.08916,9.611,13.18423,6.73463,1.48355,0.0,0.11146,0.0,0.0,0.0,0.0,73.4783,0.0,0.02661,0.0,0.0,0.0,51.57051,0.0,3.77704,4.93224,0.0,0.08702,1.77903,1.15417,1.89246,3.00808,1.46229,4.25772,12.6567,19.04973,50.62365,0.0,0.0,2.60273,0.0,0.0,0.0,0.0,0.0,0.0,1.24969,0.0,7.51656,0.0,0.16672,0.0,3.9453,3.42508,0.66345,1.10035,9.77783,0.0083,0.0,0.01774,19.64754,0.0,0.42124,1.74564,5.69924,0.0,42.27651,1.49517,0.0,132.49394,0.0,0.76063,0.0,0.0,0.0,13.65885,0.0,38.46856,0.0,0.0,0.0,91.00558,0.02661,8.13446,4.66712,7.95758,0.0,0.19761,0.81423,4.39319,0.0,27.4707,10.34113,0.55403,31.77612,0.0,0.0,0.0,25.08825,0.0,0.0,0.0,0.0,0.28229,11.4261,2.71948,20.17282,3.24239,0.0,8.06209,1.31858,4.95877,1.27038,8.36176,0.0,0.12285,0.0,1.44004,1.01212,1.68868,1.5125,3.24762,2.65978,0.0,0.83477,2.51182,1.80473,3.18758,0.0,0.1796,4.36063,0.89136,66.95003,11.7489,0.24138,18.28936,1.53734,0.0,1.91147,0.20687,0.0,27.09012,1.67967,1.23714,2.18992,1.51579,0.0,1.41878,0.58063,2.11957,1.55285,0.87074,0.0,29.73147,30.65232,9.60078,40.26031,0.0,0.0,0.0,1.75955,15.09931,0.0,0.09266,151.73863,88.37694,1.24317,0.15436,0.0,0.0,0.0,0.0,0.0,0.46073,1.09112,0.0,0.0,66.68459,1.79255,16.60491,0.0,0.0,0.0,0.0,13.98037,0.0,4.53719,0.99366,0.08941,1.61308,0.02176,0.0,1.72039,6.28548,0.0,0.0,0.0,0.0,0.0,0.0,7.07792,0.37565,0.0,0.0,8.87649,0.0,83.13205,0.0,0.0,0.0,2.7911,0.0,1.18784,1.42928,7e-05,0.0,103.47953,12.63814,0.89741,0.1987,0.15567,0.24704,5.7466,74.20425,32.64199,0.02126,0.0,44.70829,1.40416
-4.5,3.93887,0.0,0.02186,2.65679,66.04396,3.35341,1.41094,3.28271,4.65995,1.66384,0.0,0.0,0.0,1.0408,26.08916,9.611,17.28757,6.73463,1.48355,0.0,0.11146,0.0,0.0,0.0,0.0,73.50883,0.0,0.02661,0.0,0.0,0.0,51.57051,0.0,3.77704,4.93224,0.83034,0.08702,1.88685,1.3617,1.50263,2.81602,1.28582,4.25772,8.8364,13.75025,50.89808,0.0,0.0,2.62345,0.0,0.0,0.0,0.0,0.0,0.0,6.03386,0.0,7.51656,3.21072,0.13916,0.0,3.12848,3.53403,0.66345,1.55317,8.44318,0.0083,0.0,0.01774,19.64754,58.43441,0.42124,1.72988,6.86036,0.0,42.39067,1.49517,194.31235,132.49394,0.0,0.76063,0.0,0.0,15.72478,13.65885,0.0,38.46856,0.0,0.23657,0.0,91.00558,0.02661,4.48383,4.66712,7.95758,0.0,0.15261,0.79323,4.39319,0.0,15.08141,6.69172,0.55403,16.72622,0.0,0.0,0.0,25.08825,0.0,0.0,0.0,0.0,0.45656,8.7193,2.75723,62.49963,3.2736,0.0,8.0777,1.26724,3.79295,1.27038,15.25068,0.20059,1.3844,0.0,1.46769,1.07388,1.68868,1.38561,3.39103,2.36666,1.12608,0.81809,4.2225,1.81939,4.24508,0.1619,0.26577,5.24895,0.89136,66.95003,11.7489,0.24138,14.68104,1.47529,0.0,2.0986,0.29963,0.0,27.14698,1.67967,1.93976,1.99686,2.47958,0.0,1.41878,1.39154,2.56397,3.99431,9.60329,0.0,29.73147,30.65232,9.60078,40.26031,0.72311,0.0,0.0,1.36491,15.09931,112.87877,0.09266,151.73863,88.46006,1.02142,0.15436,0.89659,0.0,0.0,0.0,0.0,0.46073,2.35946,0.0,0.0,66.68459,1.81719,20.92815,0.0,0.0,0.0,0.0,13.98037,0.0,4.61874,13.04294,6.77484,1.61308,10.08847,0.0,1.87024,6.28548,0.0,0.0,0.0,0.0,0.0,0.0,7.07792,0.37565,0.0,2.12236,8.87649,0.0,83.9756,0.0,0.0,29.07972,2.84132,0.0,1.18784,1.42928,0.56237,0.0,103.47953,12.63814,1.04796,0.1987,0.15567,0.24704,5.78916,25.7001,32.64199,0.08021,0.0,44.70829,1.40416
-4.25,11.02723,0.0,0.02186,1.52165,66.04396,3.35341,2.0322,3.28271,4.65995,7.15752,0.0,0.0,0.0,2.61924,171.15683,9.611,13.01685,9.02556,1.48355,29.41619,0.11146,4.50829,0.0,0.0,0.0,58.94187,0.0,1.35776,0.0,0.18075,0.0,51.57051,0.0,3.95142,4.93224,0.83034,1.96353,1.77335,1.2171,2.63497,2.51278,3.90955,4.40111,10.47807,11.45382,50.89808,20.91558,0.0,2.62345,1.6222,0.0,0.92456,0.0,1.82299,39.07838,6.32791,0.0,8.8172,3.21072,1.39126,0.79445,3.29537,3.53403,1.88487,1.55317,7.22536,0.0083,0.0,1.41253,30.44686,30.34395,0.42124,1.52189,6.46273,0.0,42.39067,1.49517,194.31235,90.81327,0.0,0.76063,0.0,0.0,30.41726,49.00116,0.0,38.46856,0.0,0.23657,0.0,91.00558,0.02661,5.84275,4.66712,7.95758,37.08602,0.15261,0.84967,4.3932,0.0,10.7046,5.27139,0.55403,16.82807,0.0,0.0,0.0,25.08825,0.0,0.0,0.0,0.0,1.27064,7.61472,2.75723,62.49963,3.2736,0.0,8.95435,1.80337,3.38877,3.09,15.27719,0.20137,2.04345,0.0,1.33722,1.35082,5.16424,1.32948,3.39103,2.20131,1.12608,0.90662,3.42715,2.39933,4.24508,6.48814,0.26577,5.83974,0.9724,66.95003,11.7489,0.24138,14.68104,1.46433,0.0,7.29597,18.81866,0.0,15.32516,5.99401,1.95851,1.69669,2.07089,1.6582,1.41878,1.43367,2.71253,4.39827,6.67313,0.0,23.61729,30.65232,10.26984,21.76096,0.72311,0.0,2.81153,1.36491,13.72221,281.65366,0.09266,151.73863,88.46006,0.77354,0.15436,0.89659,0.0,0.0,0.0,0.0,0.46073,2.35946,4.46633,0.02141,66.68459,4.42795,16.00115,0.0,0.0,0.0,0.0,11.61722,0.0,3.31286,8.38158,4.67244,1.3871,10.08847,2.52281,1.87544,6.28548,0.0,0.0,0.0,0.0,0.0,0.0,19.43714,0.37565,0.0,70.48548,17.82878,0.0,53.06221,0.0,0.0,29.07972,1.88047,0.0,1.18784,1.42928,1.04537,0.0,103.47953,12.63814,1.04796,0.1987,3.6562,0.24704,6.7867,27.98492,37.23486,0.07626,0.0,45.01451,7.31294
-4.0,18.49816,0.0,0.02186,6.02823,44.6861,3.35341,2.04482,3.34751,5.48942,7.15752,0.0,0.0,40.5146,2.64575,118.24052,9.76898,11.01742,13.38267,8.90293,29.41619,0.11146,4.50829,0.0,0.0,0.0,58.94187,7.64632,1.35776,0.0,0.18075,0.0,51.57051,1.23375,3.95142,2.495,0.84883,7.11155,1.39868,1.10077,2.63497,2.90332,3.38107,4.40111,9.3125,19.51242,50.89808,20.91558,8.5501,2.29756,1.6222,0.0,2.92875,138.10676,3.36004,39.07838,6.07879,9.74029,8.8172,5.62474,1.55087,0.39742,5.75643,3.56457,1.88487,3.6802,11.26779,0.20774,55.91693,1.41253,27.43926,52.01038,1.74676,1.60636,7.34053,291.54002,25.58375,1.91335,194.42038,74.52145,0.11062,87.75898,0.0,0.0,29.33505,61.45221,0.0,66.52088,4.2789,0.23657,0.0,91.00558,0.02661,5.86087,3.34753,7.99049,37.08602,0.42951,1.03811,4.45162,0.0,7.8282,4.86533,0.55403,11.89552,0.0,0.0,27.06026,17.86892,0.0,0.0,0.0,0.0,10.78341,7.61472,2.873,47.05821,3.02843,0.0,8.41463,1.83386,3.51355,16.83509,15.34989,15.19614,3.10661,0.0,1.31645,1.36326,4.28441,1.37092,8.28271,2.12767,1.12608,1.01338,3.19626,4.59116,3.5639,6.49237,0.87413,4.27939,1.08778,67.01711,16.20829,0.24138,14.81828,1.62855,0.0,6.16421,18.81866,0.0,10.09397,7.4642,4.10557,2.12579,6.11417,3.78452,29.95441,1.48651,2.72317,3.65807,30.65249,0.0,24.55626,30.65232,9.6249,26.69269,0.72311,94.18461,2.86901,1.12776,13.15219,281.87676,0.0539,151.73863,88.46006,1.69745,11.13682,3.65096,0.0,0.0,0.0,0.0,0.46073,2.35946,14.75278,0.02141,66.68459,4.83991,16.42486,0.0,0.0,0.0,0.0,8.94458,0.0,4.49321,15.06273,4.68894,1.4558,10.08847,2.55236,13.0813,6.28548,75.72311,124.31233,0.0,0.0,0.0,88.51019,19.43714,0.37565,3.95035,70.59418,9.74829,0.0,37.55088,0.0,89.92866,29.07972,2.43828,0.0,1.18784,1.42928,1.79962,0.0,107.88894,9.52866,1.25099,0.48685,5.58008,0.24704,11.1988,22.96642,37.29488,8.63166,0.0,45.075,53.71107
-3.75,15.75488,0.0,26.55249,4.21069,36.14291,3.35341,2.71869,2.60857,3.31083,8.74145,0.0,0.0,31.26084,8.03423,119.23297,9.76898,11.7508,10.05268,7.87205,29.77456,0.08592,26.56187,0.0,0.0,0.0,58.94187,4.38884,3.14136,0.0,1.7122,0.0,49.71631,8.79203,2.62853,2.51286,0.84883,7.14726,1.42146,1.42288,2.98174,3.54495,6.37131,4.40111,9.56945,18.17441,18.93751,12.20197,9.97933,7.07421,1.6222,0.0,2.92875,138.22111,2.47399,21.52654,6.26622,10.03977,4.40797,5.42627,2.50076,5.24412,5.91021,3.49459,15.33629,21.45213,10.90506,0.20774,55.91693,1.43241,21.84336,43.50654,1.74676,1.50564,6.43912,291.54002,21.22951,2.23968,194.53324,59.63945,38.52959,87.83108,0.0,0.0,28.59329,61.53052,0.0,66.52274,4.2789,0.18541,59.63128,45.51685,30.20215,4.90539,3.34753,6.7435,26.46437,0.79875,2.96689,4.61185,101.03441,5.78236,5.00701,0.55403,11.93748,0.0,0.0,27.06026,14.26627,0.0,23.16397,0.0,0.0,8.81318,7.6381,17.43996,48.89065,3.07722,47.43334,7.60481,1.64952,3.76215,18.36012,10.58238,9.28882,5.048,60.90024,1.38379,1.28812,4.31282,1.77373,5.17151,1.97339,1.8341,1.42942,2.34636,3.72344,3.1553,5.67997,7.46476,4.94567,0.92994,67.02279,12.32768,1.94413,13.43335,1.46296,11.39511,6.53342,18.84731,0.0,8.97186,8.12628,4.17234,2.31339,6.0643,2.58135,29.95441,1.958,2.61008,4.48424,27.39207,0.0,29.08019,30.65232,8.22194,26.8416,29.52359,47.87283,7.14594,4.11483,13.18181,281.87676,0.0539,151.73863,80.05223,2.57743,18.54154,15.81334,0.0,30.83944,0.0,0.0,32.80938,2.35946,10.2056,0.02141,33.69375,4.69114,12.23663,16.85425,133.53079,0.0,0.0,8.41038,10.24164,4.51965,24.86023,3.873,1.56634,5.57365,2.55513,12.14726,6.28548,40.90593,124.3386,61.14275,0.0,5.08564,190.20786,13.96396,0.98352,8.08637,72.15622,14.59679,7.7651,37.55088,26.09589,45.67448,94.36009,2.29045,0.0,5.92645,15.8542,1.9961,51.67986,107.88894,26.73485,0.64854,3.31341,40.62258,1.12966,14.94998,18.16908,27.42776,8.70918,145.42749,23.49527,53.71107
-3.5,18.08792,65.20281,21.48472,4.45524,91.92959,47.76911,2.63389,2.61559,6.07042,8.54381,0.0,29.34301,36.90704,7.3095,120.77022,10.79971,8.91177,8.89046,6.23117,31.86306,40.65234,26.58659,0.0,0.0,457.52132,50.72101,6.46959,3.54692,19.77469,1.7122,0.0,43.94974,8.36843,2.15624,2.51286,1.08078,7.14726,1.38929,1.48146,2.28388,5.29191,6.4035,3.04483,7.57206,18.81757,16.15789,41.98074,16.88977,7.70222,13.32988,0.0,7.92832,138.22111,2.74806,21.13617,5.92726,9.47799,16.66716,3.49708,11.87173,5.23968,4.9734,2.99756,10.64517,15.09992,9.36067,0.20774,55.91693,6.48775,18.82879,31.30121,5.90869,1.61857,9.91508,146.85361,19.26285,6.62802,87.26623,42.654,29.03518,106.9334,0.0,50.97973,28.66992,55.90396,76.07393,42.51163,4.2789,0.18541,59.72991,16.89117,17.12904,6.39786,6.98741,9.66915,21.8336,1.22483,9.01701,5.9129,101.16667,5.78378,5.58786,17.64039,11.45427,4.30413,0.0,14.08483,10.76057,0.0,24.08218,0.0,5.8448,8.51462,6.17286,17.43996,48.89065,2.76046,11.90338,10.27068,1.68429,3.35428,19.98256,8.19514,7.77514,4.82717,31.87301,1.37584,1.3669,5.34269,2.09427,4.52584,1.82909,1.8341,1.40441,2.54512,3.33346,2.23756,5.28124,14.54886,4.51404,0.9442,218.58048,9.96173,1.18038,10.95476,2.15856,12.55168,11.8761,13.73509,2.60944,7.15894,8.55279,4.39462,2.58435,5.41359,6.792,23.34369,1.71005,2.46666,4.39846,18.56767,0.0,30.03874,28.93269,9.08393,21.98903,29.52359,47.87283,14.48977,4.57415,12.50709,281.87676,0.0539,182.31984,146.61317,3.37172,24.48042,19.06343,20.80621,38.35928,54.90226,0.0,20.26063,13.46317,7.99904,25.83838,33.69375,4.32957,8.89134,12.14928,66.80239,0.0,0.0,7.17967,11.93637,4.53162,26.04007,4.16011,10.01351,8.01006,3.10871,17.40126,7.87111,55.8163,124.3386,90.75754,0.0,4.1131,190.20786,13.59581,92.25354,6.71953,42.47022,12.71985,7.7651,52.48158,11.86139,50.6738,41.21798,2.06858,0.0,5.92645,20.9021,77.05353,29.38005,48.58752,17.1238,2.08476,2.21581,27.46106,7.69901,15.07241,18.98321,84.32697,6.59928,114.01238,45.00636,27.97104
-3.25,15.66709,30.51424,25.31355,4.07488,84.35743,117.88157,3.66038,2.29387,6.14863,10.67255,0.09455,11.6745,37.11957,7.20582,120.77022,15.98176,9.45737,9.06398,11.77072,32.74295,48.26656,19.47558,0.0,0.0,457.52132,35.9841,12.84283,3.39549,19.77469,28.24995,25.61306,27.22802,7.4258,4.01075,2.51286,11.32929,12.16154,1.31928,1.74983,4.53277,4.28964,5.30666,51.83432,7.12389,16.71472,15.68643,77.61591,17.61954,6.44705,18.48122,0.0,6.87615,138.22111,2.70318,19.16709,6.18813,13.28302,13.80374,6.83188,10.64731,4.98027,5.13462,3.29524,11.79993,14.38101,6.93586,4.79253,37.52851,12.83135,18.84711,26.47256,5.45227,1.77571,9.35088,118.19886,17.26813,6.0886,111.85016,38.29013,15.67971,112.16932,0.0,52.72265,25.60211,44.27255,61.01968,36.87889,4.2789,0.18541,28.8885,21.7849,23.98847,6.40722,11.85404,14.88114,19.53555,7.29811,8.57951,5.53829,37.00363,5.70109,4.91637,9.1105,9.19383,12.03594,0.0,14.08483,10.89352,0.0,58.56806,0.0,5.94299,7.33505,5.15712,11.98506,40.83956,4.51337,9.52488,10.84566,2.70677,3.23861,18.61278,9.38315,7.91302,6.14615,15.08102,1.38433,1.30805,5.49677,1.98705,4.44623,1.68294,1.97205,1.25913,2.33429,2.76931,2.1594,4.11415,14.69675,5.40218,4.17889,218.76175,9.16054,1.22383,11.15729,1.91998,12.818,11.61047,30.32935,3.56795,6.49506,5.99596,6.55874,2.41831,8.05817,5.23033,23.53584,2.47338,2.38388,4.74296,19.68575,0.0,30.31693,28.93269,13.90595,16.01064,29.86246,33.59514,17.54329,5.0685,11.76273,110.96212,0.0539,182.31984,115.00061,5.13135,16.60372,17.28294,20.80621,29.03494,91.72308,0.0,23.29982,21.64682,8.6092,50.39454,78.53724,3.59166,8.31863,9.72103,66.80239,0.0,0.0,7.43172,9.91478,4.58945,17.22641,3.03854,8.11472,7.51894,3.20915,17.40528,8.46225,28.90458,198.79412,73.93694,0.0,4.1131,138.49963,22.27399,81.11342,13.51924,37.88271,25.47973,14.90112,36.33733,11.58583,128.48804,28.35729,2.54507,18.34661,9.79096,14.30147,66.53306,29.38005,30.07441,17.32294,2.64246,2.19247,21.09318,7.20513,13.72866,15.78982,64.6293,5.33248,114.01238,32.08671,20.69898
-3.0,13.82515,21.29992,16.76316,4.49321,67.82182,140.23216,4.79303,8.80977,8.55879,9.39961,8.52545,12.02873,44.91973,6.60368,107.34916,35.26936,9.14762,8.67528,10.37099,25.40578,54.84745,16.24043,0.0,11.81271,239.62857,42.45448,16.10728,7.06787,13.23017,33.17013,34.49702,19.7014,15.4765,2.97974,1.68372,14.55362,8.466,3.21003,2.15583,5.02301,4.09005,4.41536,45.81443,5.89712,13.76936,12.93922,135.12732,29.61541,6.22071,14.42816,29.93475,9.85598,71.06654,3.83137,18.95715,5.49195,11.70848,11.61131,6.85727,12.82882,4.64418,6.03467,5.71544,18.73172,15.87255,7.06546,8.94733,61.507,17.83212,17.14458,22.11032,38.73571,1.85011,8.47612,92.96572,16.24416,6.88581,109.98259,31.45392,15.06417,107.54951,0.0,76.09865,20.12389,43.86916,46.3879,32.85134,2.92075,1.51885,27.59713,23.02179,21.23542,10.3693,15.97548,13.45846,13.84636,7.16097,7.68457,8.00566,28.39688,5.31721,4.98092,8.77057,9.88622,12.03594,0.0,16.39576,20.85246,19.72514,49.10122,0.0,20.16281,7.60774,7.45821,9.34682,41.03043,4.07989,14.74792,11.11794,2.40813,3.22179,15.55992,6.11187,7.44408,7.28233,13.02508,1.48618,1.2461,4.27619,1.97598,3.80567,1.50696,0.98689,1.33691,2.21466,2.31594,1.90694,6.78499,13.31317,5.38483,5.92748,186.4235,9.88887,1.77117,12.08411,2.11593,9.27137,8.30128,26.47139,4.92431,5.66701,6.03126,5.08147,2.73345,7.05362,4.13457,15.21805,2.51999,2.48151,5.00933,17.99198,0.0,26.99544,20.92963,16.92291,15.85389,21.22,32.84459,16.30146,4.72854,15.10634,89.67851,5.59367,182.31984,137.12888,5.73147,14.8545,14.45747,20.80621,24.63176,73.97863,0.71654,17.5625,21.5484,13.29762,82.8642,59.54336,3.57144,7.34356,14.98994,45.83332,448.50227,0.0,8.3576,10.50114,7.79954,12.66904,3.75632,7.49716,7.84816,3.23087,29.69093,27.57306,21.8132,221.51329,56.17663,116.51449,14.11459,81.61867,23.07977,87.92699,11.4267,28.06711,23.61144,21.7685,33.29283,11.43725,67.06455,25.5229,2.75461,9.0621,14.14696,15.11982,58.98689,40.69354,30.67363,15.19146,2.31484,2.57963,19.33647,6.57056,23.30302,18.57162,49.19975,9.80324,119.93624,26.90983,14.82816
-2.75,11.05703,25.63901,16.16756,5.39278,52.30346,96.37403,4.40769,13.43377,8.44492,8.69838,9.44909,20.15547,45.23139,5.57903,74.34088,27.22287,9.62734,9.28496,8.67406,24.40115,58.08816,19.24023,54.75919,23.90536,120.15902,42.53181,17.14804,9.19245,13.24693,26.92452,30.11751,20.44006,13.2596,2.73824,2.72577,15.86193,7.89523,5.2795,2.19041,4.1381,3.69322,3.90511,50.31435,4.9683,12.49452,12.97929,92.01244,25.53049,6.76943,15.23922,68.42875,9.73762,41.16539,3.94681,15.74471,5.7164,10.8614,9.42397,5.76787,10.75438,4.80893,6.19678,6.86713,17.73989,15.00882,7.03312,9.95074,70.91592,19.23374,15.55848,21.32797,30.39827,2.64852,6.68688,87.11229,15.88682,7.10871,116.08305,25.4623,14.5658,91.8289,0.0,126.40043,21.42942,41.10448,47.8394,30.37417,31.68242,4.8909,25.26819,19.21633,19.35998,8.80595,23.70168,13.11647,13.322,6.37097,6.96582,12.09941,30.05315,5.20714,6.2967,14.16402,10.25185,12.3358,0.0,16.28664,18.66621,16.0678,36.80025,758.37224,15.80662,9.95058,7.96385,8.12523,32.35048,4.30584,20.54109,12.31363,3.00631,3.36404,16.69747,11.9861,6.03177,6.57303,12.69345,4.03353,1.31138,4.31282,2.08481,3.54659,1.48098,0.96054,1.21679,2.13013,1.99808,1.75029,5.65065,11.86527,4.46703,6.63135,151.77412,8.27634,1.57356,9.62987,2.56691,8.46561,8.06094,19.63613,5.03205,5.21658,4.5554,4.88563,2.58254,6.16498,4.65755,19.60178,2.26235,2.92974,5.0444,15.25716,0.0,25.61405,25.88095,19.89148,11.51021,23.53412,27.36716,13.32557,4.03106,14.31152,101.41523,37.68493,127.58162,98.60937,6.08461,17.36053,14.55078,20.80621,29.91142,60.71657,0.8343,14.17009,20.10445,10.28245,62.47674,92.39925,3.74166,6.69053,14.48806,35.09592,656.83114,0.0,7.19648,29.15242,7.81287,11.83754,3.90809,6.78118,6.41058,4.76057,29.36266,18.73089,22.5679,229.29074,46.849,131.8856,13.31316,82.15131,20.21918,68.40629,15.73825,24.42426,18.83588,39.76391,28.64812,17.93928,110.6183,19.52187,2.65131,14.95751,14.2894,13.97547,70.33193,31.19305,23.76425,13.3767,2.2863,7.99988,17.06484,6.10606,21.67863,18.61131,40.21847,10.5241,87.82367,17.86028,14.53733
