,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.27737,0.28387,0.09493,0.0,4.33683,0.0,0.0,0.0,0.0,0.18402,1.08069,0.0,0.0,0.0,1.94434,0.0,1.11411,0.0,0.0,0.0,0.0,0.38364,0.05143,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.31139,2.25076,8.01439,0.0,1.63623,3.00059,0.45124,0.0,0.0,3.30348,0.0,6.31293,0.43818,0.0,0.10582,0.0,0.0,0.0,2.94525,1.7676,0.0,0.0,0.0,2.58701,0.0,0.0,0.0,0.0,0.0,1.70675,1.67584,0.0,0.0,0.0,0.0,0.0,0.74227,0.0,0.32005,1.57101,0.0,0.0,33.09773,0.0,0.0,4.59494,0.0,0.0,0.0,0.0,0.59357,34.37624,-0.00015,0.0,1.83288,0.28966,4.12492,0.0,0.99342,0.0,0.0,0.0,0.73138,1.36615,2.07611,1.01771,4.13883,1.22673,0.0,0.0,0.0,0.0,0.06863,0.0,0.0,0.0,0.0,0.0,0.0,0.45856,6.25333,3.79946,29.9071,0.02616,0.0,0.0,5.15484,1.82982,0.0,0.0,2.86007,2.37283,0.0,0.46556,0.60587,1.44696,0.0,2.81786,1.39511,0.0,1.09671,0.0,1.04164,0.0,0.0,0.0,0.0,2.25618,0.0,10.16749,0.0,0.15461,2.05875,2.15584,0.0,0.0,0.0,0.1249,0.19833,1.31829,0.0,1.99039,0.0,0.0,0.0,0.51973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08861,4.69515,0.0,0.24992,0.0,0.0,0.0,0.0,0.0,5.68868,0.0,0.0,0.0,14.03844,0.14562,2.86943,1.93802,11.31621,0.0,0.0,0.0,0.67569,0.0,0.0,0.0,0.0,2.37415,0.89315,0.0,1.79106,0.0,0.0,2.05818,0.0,10.51552,0.0,0.0,0.0,1.05708,1.06975,1.48278,0.0,0.74999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2033,0.0,0.0,0.0,0.0,0.0,0.0,0.04238,0.0,0.0,0.0,0.0,0.0,0.53297,0.0,0.0,1.6233,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,0.0,0.0,0.88773,0.28387,4.6279,0.0,4.33683,0.0,0.0,0.0,0.0,0.18402,1.08069,0.0,0.0,0.0,1.94434,0.0,1.11411,0.0,0.0,0.0,0.0,0.38364,0.18169,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.31139,2.25076,8.34176,0.0,1.23136,3.00059,0.41744,0.0,0.0,3.30348,0.0,4.46499,0.55191,0.0,0.10582,0.0,0.0,0.0,2.98718,1.7676,16.69319,0.0,0.0,2.07132,0.0,0.0,0.0,0.0,2.20495,6.02987,3.04412,43.25019,0.0,0.0,0.0,0.00533,0.74227,0.0,0.36116,1.57101,1.35447,0.0,33.09773,0.0,0.0,4.59494,0.0,0.0,0.0,19.61096,0.59357,34.37624,-0.00015,0.0,1.83288,0.38435,4.12492,0.0,0.99342,0.0,0.0,0.0,0.73138,1.36615,2.07611,1.01771,4.13883,0.76603,0.50152,0.0,0.04858,0.0,0.06863,0.0,0.0,0.0,0.0,0.0,0.0,0.45856,6.25333,3.83577,15.36417,0.02616,0.0,0.0,5.26572,1.78734,0.0,0.0,2.86007,2.52805,0.0,0.24849,0.54072,1.44696,7.61045,2.81786,1.39511,6.40912,1.09671,3.13944,1.27702,0.0,0.0,0.0,0.0,2.25618,0.0,10.31839,0.0,0.15461,2.28344,2.15584,0.0,0.0,0.0,0.1249,1.01898,1.31829,0.0,1.99039,1.42444,0.0,0.0,0.5969,0.0,25.55869,0.0,0.0,0.0,0.0,0.0,2.08861,4.74778,0.0,0.24992,0.0,0.0,0.0,0.0,0.0,5.68868,0.0,0.0,0.75819,14.03844,0.14562,1.86626,2.01214,11.8363,0.0,0.0,0.0,1.20377,26.72561,0.0,0.0,0.0,2.37415,2.57208,1.20806,1.90723,0.0,0.0,2.05818,0.0,10.51552,0.0,0.07305,0.0,7.6153,1.06975,1.26398,0.02088,0.74999,0.0,59.90268,0.0,0.0,0.0,0.0,1.91504,2.2033,1.01817,3.33706,0.0,0.0,0.0,0.0,1.31957,0.0,0.0,0.0313,0.0,0.94357,0.53297,0.0,0.0,1.6233,29.0215,18.16317,0.0,0.0,0.0,0.0
-4.5,12.55015,5.18924,0.9999,0.28387,3.17062,0.0,4.42902,0.0,0.0,0.0,0.0,0.18402,1.08069,0.0,0.0,0.0,3.7492,0.0,1.11411,0.0,0.0,0.0,0.0,0.38364,0.18169,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.31139,2.25204,6.27646,1.08887,1.29224,1.59507,0.41744,0.0,0.0,3.04145,0.0,5.95491,1.28586,0.0,0.10582,0.0,20.46997,0.0,2.99247,1.6825,16.69319,0.0,6.79146,2.35771,0.0,0.0,0.0,0.0,2.20495,4.80098,3.04412,22.18088,19.75245,0.0,0.0,0.42133,1.2979,4.4906,0.36116,1.1614,1.35447,0.0,33.15399,1.41364,0.0,4.59494,0.0,10.21543,0.0,19.61096,0.59357,34.37624,-0.00015,0.0,1.83288,0.38435,4.12492,0.0,6.88525,0.0,1.31829,0.0,0.73138,1.36615,2.07611,1.01771,4.13883,0.76603,0.50152,0.0,0.04858,0.0,0.06863,0.0,0.0,0.0,0.0,0.0,0.0,0.24545,6.25333,3.88361,15.36417,0.02616,0.0,6.4667,5.26572,1.78734,0.0,0.14287,2.86007,2.66521,0.0,0.24849,0.62135,1.44696,8.27646,2.81786,1.39511,6.6279,1.09671,3.13944,2.88855,0.0,0.0,0.0,0.0,2.25618,0.0,10.41056,0.0,0.62634,1.26643,2.23093,22.24698,0.0,0.0,0.1249,1.32816,7.48264,0.0,2.00913,1.42444,0.0,0.0,1.53448,0.0,25.55869,13.13581,0.0,0.0,0.0,0.59773,2.08861,5.97428,0.0,0.24992,0.0,0.0,0.0,3.66586,0.0,16.32862,0.41017,0.0,0.75819,13.32664,0.14562,1.86626,2.16096,11.8363,0.0,1.40149,0.0,1.26279,26.74193,0.0,0.0,0.0,2.37415,1.78113,1.20806,1.66842,1.05691,0.0,1.18635,0.0,5.26035,0.0,0.07305,0.0,7.45825,1.06975,1.69326,0.02088,2.43465,0.0,59.90268,4.97407,0.0,0.0,5.64852,1.91504,2.0619,1.01817,3.33706,0.0,0.0,0.0,0.0,1.31957,0.0,0.0,0.0313,0.0,0.94357,0.53297,0.0,0.0,0.90413,29.0215,12.76334,0.0,0.0,2.09374,0.0
-4.25,12.55015,5.18924,1.16874,0.28387,3.17062,0.0,4.45127,0.0,0.0,0.0,0.29265,0.54271,1.08069,0.0,0.0,0.0,5.14117,0.0,1.11411,0.0,0.0,0.0,0.0,0.38364,0.18169,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.31139,2.4404,6.27646,0.9178,1.31062,1.59507,0.71347,0.0,0.88232,6.30006,0.0,4.79257,1.20571,0.0,0.10582,0.0,20.46997,0.0,4.40557,1.6825,16.69319,0.0,5.23265,2.38416,5.97002,8.57836,0.0,0.0,2.20495,4.80098,3.04412,22.18088,19.75245,0.0,1.65235,0.40702,3.6566,4.4906,0.36116,0.94876,1.35447,0.0,33.5004,1.41364,0.0,8.0493,0.0,10.21543,0.13306,15.80858,2.37775,34.37624,8.80797,0.0,1.83288,15.43929,4.12492,0.0,6.88525,0.0,1.52573,0.95786,0.73138,1.36615,2.11074,1.01771,4.13883,0.73969,9.15702,0.0,0.57915,0.0,0.06863,0.0,0.0,0.0,0.0,0.0,0.0,15.76834,6.32174,3.88361,15.36417,0.48177,0.0,6.4667,4.48078,1.87584,10.70837,0.14287,2.92465,2.66521,23.09049,0.33811,0.72529,1.4609,8.27646,2.07479,1.39511,6.6279,0.6791,3.13944,2.20321,1.17316,0.0,0.81738,0.0,2.25618,0.0,10.48872,0.0,0.42353,1.25593,2.23093,22.24698,0.0,0.0,0.35187,1.32816,7.48264,0.0,2.00913,2.00335,0.0,0.0,1.53448,0.0,25.55869,6.68536,0.0,3.81954,0.0,2.3326,1.81188,5.97428,0.0,0.21718,0.0,0.0,0.0,3.66586,0.0,10.9436,0.41017,0.0,0.75819,12.8434,0.14562,1.86626,2.16096,12.44959,0.0,1.04904,0.0,1.2654,13.39719,0.0,29.17344,0.0,2.4578,1.69245,0.63514,1.66625,1.05691,0.0,1.18635,0.0,5.26035,0.0,0.07305,0.0,7.45825,1.06975,1.29074,0.02088,2.38139,0.0,59.90268,4.97407,7.96182,0.0,5.72426,1.64802,3.68282,1.01817,1.83462,21.17063,0.0,0.0,0.0,3.36256,0.0,0.0,0.0313,0.0,1.26685,1.14558,0.0,0.0,2.35218,29.0215,12.76334,8.30114,0.0,2.09374,0.0
-4.0,12.06976,3.24455,1.15516,0.28387,3.01147,11.71407,4.45127,0.0,0.0,0.0,0.29265,4.65454,1.08069,1.18051,0.0,0.0,4.30933,0.0,1.11411,4.04193,0.0,0.0,0.0,0.38364,0.18169,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.81479,2.5101,6.27647,0.66706,1.31062,1.84974,1.5127,5.93421,1.28455,4.96754,5.56493,4.37417,1.38585,0.0,39.19263,0.0,20.46997,5.93295,16.50994,3.90071,13.45128,40.93753,4.03062,1.96189,5.97002,8.99791,0.0,0.0,2.20495,4.80098,3.08826,22.18088,20.1149,1.8298,1.65235,0.40702,3.6566,19.24358,0.36116,1.03247,1.92965,0.0,33.5004,2.20349,0.0,6.29298,0.0,10.21543,0.13306,16.87103,2.39341,36.71125,8.80797,67.3266,1.83288,15.58294,4.12492,0.0,6.61227,0.0,1.28362,1.00233,0.73138,0.84925,3.1876,1.01771,4.13883,0.60512,6.17447,0.0,0.57915,34.6099,0.06863,0.0,15.9165,0.0,0.0,0.0,0.0,15.82671,6.32174,1.96039,15.37574,0.48177,0.0,6.4667,4.49884,2.15928,5.70827,6.29733,1.73854,2.66521,7.91307,0.38347,0.98288,1.4609,8.27646,2.07479,1.05355,6.6279,1.14928,4.1005,2.29368,1.90381,0.0,0.91061,0.0,14.99379,0.0,7.45968,0.0,0.4216,1.25593,1.60365,22.24698,0.0,0.7576,0.35187,3.2754,7.5373,0.0,2.01441,2.00335,0.0,0.0,2.34608,0.0,25.55869,6.68536,0.0,3.81954,0.0,12.19241,1.08949,5.97428,0.0,0.21718,0.0,0.0,0.0,4.01061,6.51775,11.04305,0.35452,1.33955,0.48487,12.8434,3.70072,4.19209,2.16096,6.75906,0.0,1.17683,40.34602,0.95255,13.56009,0.0,29.17344,0.0,2.4578,1.75769,0.63514,1.6796,1.16519,0.0,1.18635,0.0,5.26035,0.0,2.52292,0.0,7.45825,0.73706,1.41076,0.02088,1.89406,0.0,59.90268,4.97407,5.31002,21.87942,5.72426,1.64802,3.68282,2.60314,1.83462,21.17063,0.0,0.0,0.0,5.3028,0.0,0.0,4.81544,1.63601,1.26685,1.09046,0.0,0.0,2.76753,29.1858,12.86379,8.30114,0.0,1.27824,0.0
-3.75,12.06976,2.28402,0.96331,0.31656,3.06218,11.71407,5.43852,0.0,64.68427,0.0,0.33082,4.67539,1.08069,1.18051,0.0,0.49643,4.43321,0.0,1.11411,2.74893,0.0,0.0,0.0,0.38364,0.18169,0.0,5.17365,0.0,0.0,0.0,0.0,0.0,0.91077,2.2276,5.02732,0.64528,1.07112,1.61155,1.36308,6.04085,1.04063,4.83012,4.70004,4.69209,1.04818,2.87682,39.19263,20.07184,21.37279,5.93295,16.50994,4.59042,13.51658,40.93753,4.03062,1.96189,5.97002,4.61696,0.80065,0.0,6.28777,4.29763,2.52655,18.59107,20.1149,1.8298,1.65235,0.47766,2.93793,19.33523,3.68019,0.79838,1.77857,0.0,18.29336,3.38066,0.0,4.5021,0.0,10.21543,0.13306,16.87103,2.24141,36.71125,6.96372,37.48473,1.83288,23.18057,4.12492,3.59171,6.701,0.0,1.28362,1.05868,0.99328,2.31796,2.91093,0.48513,2.94295,0.60512,4.17468,8.56929,0.57915,31.46108,0.06863,0.0,43.46146,0.0,0.0,0.0,0.0,13.38899,6.32174,2.68986,15.37574,0.40379,0.08763,3.21156,5.09009,2.1198,4.96395,6.29733,5.21615,2.66521,7.92601,0.78417,1.06597,1.39697,3.02496,1.45033,0.86153,4.59308,1.38406,3.32306,2.26488,2.34603,1.28414,1.00968,0.05138,15.0283,0.0,7.93994,1.02471,0.42902,1.38015,1.76897,22.24698,0.0,0.7576,1.7305,3.72272,5.32743,0.28672,1.77622,1.66168,0.0,3.42628,2.38946,4.2948,25.55869,6.68536,4.57627,3.94668,0.0,9.66903,1.34094,5.97428,0.42991,0.21718,3.96589,0.0,0.0,4.65585,6.51775,11.04305,1.70557,1.33955,1.35497,12.86933,3.13495,7.4522,1.51331,5.94231,0.0,1.17683,40.34602,0.95255,13.56009,0.0,19.07769,44.38137,2.72994,1.56038,1.14051,1.31413,1.70266,0.0,0.87487,0.0,5.26035,0.0,2.11072,0.0,5.73577,0.73706,1.43583,1.97206,1.37251,1.83712,59.90268,3.10761,3.67971,14.59441,5.72426,1.66539,3.68944,5.89031,3.83272,21.17063,0.0,0.0,0.0,6.01603,0.0,0.0,4.81544,2.32621,1.14519,1.13366,0.0,0.0,1.79365,29.1858,28.82432,8.30114,2.11626,2.00382,0.0
-3.5,18.84827,2.13912,0.98467,0.31656,2.85326,8.38048,4.7585,0.26465,64.68427,0.0,0.33082,4.74635,1.08069,0.50027,0.0,0.49643,5.42133,0.0,1.11411,2.74893,27.34863,0.0,0.0,0.45642,0.18169,0.0,5.17365,0.0,0.0,45.06561,0.0,0.0,0.91077,2.17363,3.90386,0.65714,1.05101,1.61737,1.27149,6.48727,1.18988,4.84296,5.46492,5.86019,1.36899,3.70341,39.19263,34.17452,21.49146,12.31244,16.50994,6.84141,13.63948,40.93753,4.50249,2.05124,5.97002,3.09012,0.80065,0.0,6.28777,3.38374,1.91083,18.59107,16.49922,1.23206,1.65235,2.66608,3.0318,19.33523,7.37931,0.76713,1.42625,1.77209,18.35341,3.44088,20.659,4.5021,0.0,9.8825,0.13306,19.06832,2.04779,36.73248,4.82297,37.48473,2.69443,23.18057,2.10427,3.96255,4.32628,8.97288,4.23201,1.05868,0.99328,2.54511,2.45231,0.37691,3.10702,0.60512,4.0977,8.56929,5.22696,31.46108,0.06863,0.0,43.46146,0.0,11.2159,2.66669,0.0,13.38899,6.32174,2.68986,10.95722,0.45387,0.32592,2.63074,5.1321,1.97406,4.96395,8.32005,3.967,3.42217,6.41678,1.49774,0.98785,1.22483,2.73697,1.77081,1.06516,2.08304,1.75687,6.86323,3.31713,2.55253,0.87055,4.8994,0.33527,15.15262,0.02648,9.97219,0.71116,0.42609,2.27732,1.56754,6.29435,3.83216,7.59737,1.94366,5.60425,4.06441,0.93893,2.31128,1.67744,8.98735,3.46748,5.32042,6.44986,25.55869,24.94763,2.65671,4.09548,0.0,6.68526,1.87492,6.17765,4.68542,0.87145,2.32493,1.29238,0.0,4.72665,4.10444,8.89483,2.03957,1.34296,1.13199,12.86933,2.56613,6.4686,1.51331,5.9185,0.0054,1.25442,40.34602,0.98257,9.2276,0.0,19.07769,14.9885,1.41088,1.86552,4.42782,1.38782,2.6952,2.01235,2.04101,0.0,5.26035,0.0,1.90269,0.0,4.73663,1.62142,1.28769,1.8098,1.53301,1.83712,241.58002,3.25845,6.6984,14.59441,5.72426,4.90702,4.38773,4.69297,3.83272,13.13383,0.0,0.0,0.0,5.23863,0.0,0.49952,4.67359,2.9668,4.48201,1.06245,0.0,2.84957,2.0994,29.1858,45.02126,4.30361,1.58988,1.97534,25.16394
-3.25,13.5174,2.55917,1.53966,2.16963,2.75481,13.87634,6.74964,0.26465,32.54815,0.0,0.2847,3.72876,1.08069,3.14561,2.76891,0.49643,5.50265,0.0,1.11411,1.83693,27.34863,0.0,3.33931,28.30862,3.50834,7.69779,5.61408,0.0,20.21052,45.06561,0.0,2.70596,0.94253,2.0455,3.05694,0.6302,1.12049,1.51274,1.41754,6.56111,0.96038,4.12737,5.00875,6.67646,1.12549,3.71785,26.37968,60.41987,6.91476,17.37418,11.18822,6.92197,10.64431,21.0075,4.28796,1.81958,5.70033,2.91856,0.76013,0.03769,3.72005,3.13184,2.80465,13.95646,29.4911,1.54737,9.77285,4.49224,2.77263,19.33523,7.16524,0.87417,1.81606,2.98659,18.35341,6.16642,20.659,5.66532,0.00553,7.00641,0.31042,19.65648,1.84072,29.45267,4.13994,37.48473,3.196,14.54172,2.24437,7.35299,10.04413,15.51195,5.57243,1.05868,1.10156,2.54511,2.16171,15.64788,4.60544,0.54327,3.36739,5.15113,5.67191,31.57898,0.20028,0.0,29.91853,0.0,6.68474,20.24975,13.51467,10.95258,6.32174,2.17064,9.40094,0.87924,0.47871,2.23383,4.44754,2.21923,4.96395,7.07426,3.967,3.53188,5.07116,1.50173,1.3198,1.32943,2.16319,1.93871,0.74429,2.1546,1.80224,5.5274,3.10402,3.50544,1.6832,3.5368,0.33527,14.88146,0.02648,10.04475,0.71116,0.77987,2.45973,1.47069,6.45601,1.79375,6.26185,1.65346,4.86252,2.89374,1.87984,2.37661,5.31144,6.80573,3.35532,8.69607,5.59278,20.57632,19.15589,7.16351,4.09548,9.20459,7.08256,3.60417,32.87406,1.97967,0.69147,2.51379,1.22409,0.0,4.38754,3.99923,8.22522,3.15695,1.34296,2.9197,12.89959,3.0623,7.26814,1.32251,4.94671,0.0054,0.98688,40.6796,1.44653,7.74802,0.0,19.07769,14.97214,1.41088,1.98013,3.53741,1.51128,5.49167,2.92877,2.53435,0.0,5.26035,31.19432,5.17152,0.0,4.32286,1.67465,1.1536,1.40407,3.2832,1.54105,122.65867,2.6379,6.72404,14.62284,5.72426,4.92499,3.75718,4.19704,8.47883,8.30789,0.0,0.0,4.1132,4.54342,0.0,4.85973,15.81309,3.04744,4.76578,1.3441,1.28001,3.45942,1.77422,29.1858,49.41826,2.9744,2.78887,2.17341,12.96064
-3.0,10.70081,3.03559,1.42184,2.20904,2.54744,9.29477,6.98385,0.56426,23.14342,1.31648,0.3812,3.72876,0.88144,3.27257,8.01954,0.49643,5.75768,0.0,9.68671,1.72543,30.13622,0.0,2.08943,31.58924,3.52821,6.37596,8.14224,0.0,20.21052,45.41803,0.0,2.70596,0.69239,1.67979,3.75864,0.56731,1.06779,1.56154,1.5868,4.48022,1.46835,4.0846,3.52662,5.95518,1.88338,3.50347,20.435,64.882,5.39706,12.15682,11.28217,5.85793,10.00192,21.0075,4.45739,4.26167,4.90836,2.80568,0.81076,56.72728,4.18536,2.91231,3.51158,17.39585,29.62877,1.38188,9.77285,4.52419,2.99249,19.33523,6.8257,0.94212,1.908,7.13197,18.35341,4.87347,20.82027,4.33726,0.00553,5.7942,2.56122,47.0597,4.54514,29.08204,3.98501,20.84422,3.89217,11.78284,2.24437,7.37617,7.64729,23.40599,4.86128,1.05868,7.73372,2.54511,1.91701,15.6572,5.25796,0.56588,3.62208,4.89271,4.49219,19.39786,11.95823,4.41342,30.0648,4.68763,6.68474,12.62804,13.51467,11.92389,9.39586,2.17064,9.26179,0.72548,12.17914,1.54057,3.98343,2.07153,7.90846,5.49167,4.16076,10.75929,4.40578,2.83098,1.3463,1.2076,1.88259,2.47606,1.41188,1.70335,1.56018,6.39282,2.47979,2.71453,1.54155,3.4629,0.77364,10.24827,4.81397,6.25577,0.60048,0.66805,2.04782,1.58661,5.52777,1.79375,4.55261,1.74216,3.74967,2.85477,2.97729,3.22801,4.03948,5.5175,3.46189,8.76898,5.69491,39.55686,18.17881,6.22225,34.32903,9.20459,6.32546,4.16119,32.87406,2.72113,7.11226,1.653,2.44833,1.8707,4.43052,4.04526,5.64961,7.62736,5.29277,6.32776,11.68151,2.86156,5.80112,1.66962,3.56693,0.0054,0.83499,23.14458,1.2334,6.27407,38.79221,13.05298,10.80002,4.12217,1.8863,2.6099,1.60351,4.54076,13.53831,2.76821,3.19113,5.26035,31.19432,4.05053,19.72713,4.32286,1.67726,1.37112,1.52217,3.49564,1.02744,85.39002,3.07979,8.92072,14.72028,5.72426,4.92499,3.7952,8.63843,10.83206,7.02632,57.06096,54.46424,3.07811,4.11692,0.0,5.55952,10.80786,2.96498,3.8411,1.54591,0.80996,25.93375,1.78602,20.97842,54.86248,1.84243,4.1707,7.40955,7.69557
-2.75,6.8652,2.70804,1.43102,6.40142,2.97969,4.97574,6.23712,6.89661,16.38924,2.71591,2.46589,4.58248,4.30258,3.96144,10.25091,34.38792,5.78988,26.57662,10.13229,5.37659,58.6368,0.03094,7.97739,31.58924,3.50021,5.88477,9.21604,24.98349,10.24054,45.41803,8.11361,2.70596,0.69239,2.69882,3.90379,1.28769,1.11932,1.49848,1.47634,3.77561,1.65781,4.14669,3.20512,6.82971,2.38982,6.21184,21.30511,48.16151,5.2409,14.3317,6.83925,5.1251,9.81275,13.99629,4.3287,4.96296,4.39267,2.61886,2.43513,43.36548,4.53501,2.78151,2.87784,15.36202,24.58115,2.09503,7.65062,5.1807,2.68948,10.49411,7.59345,1.03649,1.71131,7.86228,18.41884,5.03384,20.82027,4.63679,0.00553,6.62135,2.93041,35.39596,5.01567,24.98206,4.80234,15.10591,3.41829,10.32714,1.8731,6.60672,7.86267,14.85436,7.3119,1.91831,15.75977,3.36359,1.7233,15.6572,5.68392,1.10702,5.57941,4.0526,4.53166,19.39786,28.70789,4.52875,30.28468,2.4563,18.11431,19.58886,13.51467,10.71461,9.39586,3.85143,7.60225,0.62186,10.71718,2.2663,3.62813,2.00954,7.90846,8.46427,4.15213,8.92603,3.65364,2.10013,1.32117,1.0205,1.82615,2.39004,1.32496,1.89204,1.70321,4.87661,2.11505,2.29286,2.07045,2.58019,0.95234,11.51477,4.17406,5.3756,1.59897,0.85204,2.04903,1.83342,3.57593,1.00328,3.6181,1.64744,3.04918,2.30193,3.12567,2.49904,3.43713,4.1826,3.25246,7.30053,5.22666,30.72021,12.6951,5.38513,36.22242,6.74084,4.90912,3.90757,19.28833,1.90969,6.30385,2.10452,1.89834,2.88326,3.30995,2.968,4.08891,6.60944,5.29277,5.83298,12.964,2.75135,4.35016,1.72443,2.6527,4.90383,2.11491,23.16328,1.27537,8.54125,21.82358,20.20719,10.90777,6.25987,1.58547,2.67942,1.49537,5.0771,11.50696,3.07604,3.19113,5.26035,13.10726,5.92144,20.52516,4.31664,5.37029,1.55515,2.65501,4.20779,2.84615,91.15915,3.06202,7.43848,8.03436,6.69961,4.89686,3.53826,6.53168,10.83206,8.75173,29.75167,57.11002,4.03951,4.31619,7.43813,6.70016,11.18387,3.49809,3.02837,1.62715,1.37962,25.99608,1.68894,19.11879,54.86248,2.96651,3.67869,6.66742,8.6206
