,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.25242,0.0,0.16834,0.08251,0.15121,0.20932,0.12601,0.09183,0.06455,0.0,0.0,0.0,0.0,0.28546,0.0,0.09999,0.06454,0.0,0.10417,0.0,0.11817,0.0,0.0,0.0,0.0,0.09128,0.0,0.0755,0.0,0.0,0.0,0.15784,0.0,0.1247,0.19589,0.0,0.0,0.2203,0.08781,0.13628,0.14105,0.13339,0.31692,0.10694,0.1273,0.14002,0.0,0.0,0.14297,0.0,0.0,0.0,0.0,0.0,0.0,0.20537,0.0,0.14179,0.0,0.23445,0.0,0.09771,0.08609,0.09179,0.26473,0.08195,0.18079,0.0,0.14188,0.12946,0.0,0.16915,0.18763,0.13191,0.0,0.0,0.12867,0.0,0.08141,0.0,0.16253,0.0,0.0,0.0,0.10283,0.0,0.12541,0.0,0.0,0.0,0.09268,0.12214,0.0,0.09622,0.10636,0.0,0.11846,0.16267,0.13971,0.0,0.09247,0.07102,0.1657,0.07869,0.0,0.0,0.0,0.08058,0.0,0.0,0.0,0.0,0.09202,0.08818,0.10691,0.13036,0.14336,0.0,0.1754,0.15722,0.0791,0.11472,0.08513,0.0,0.10967,0.0,0.1993,0.30755,0.25678,0.14764,0.35755,0.34921,0.0,0.20489,0.23878,0.20327,0.20621,0.0,0.3004,0.33669,0.45121,0.0,0.38949,0.21667,0.31383,0.19017,0.0,0.11491,0.27204,0.0,0.11876,0.0,0.16157,0.206,0.15279,0.0,0.19216,0.20923,0.17622,0.15682,0.16147,0.0,0.17875,0.19715,0.0935,0.0,0.0,0.0,0.0,0.0,0.12379,0.0,0.18493,0.24186,0.0,0.11952,0.12744,0.0,0.0,0.0,0.0,0.0,0.22065,0.13538,0.0,0.0,0.18327,0.08879,0.13327,0.0,0.0,0.0,0.0,0.09431,0.0,0.28409,0.12364,0.0,0.14294,0.18281,0.0,0.14245,0.11964,0.0,0.0,0.0,0.0,0.0,0.0,0.09382,0.0,0.0,0.0,0.07117,0.0,0.09494,0.0,0.0,0.0,0.09826,0.0,0.16734,0.10279,0.13106,0.0,0.08387,0.08588,0.17871,0.18689,0.13628,0.18025,0.0,0.0,0.0,0.30537,0.0,0.07643,0.12752
-4.75,0.25242,0.0,0.16834,0.08251,0.15121,0.20932,0.12601,0.08547,0.06958,0.0,0.0,0.0,0.0,0.26828,0.12081,0.09999,0.06454,0.07707,0.11195,0.0,0.11817,0.0,0.0,0.0,0.0,0.07714,0.0,0.0755,0.0,0.0,0.0,0.15784,0.0,0.10979,0.19589,0.0,0.13119,0.20672,0.08954,0.13942,0.14105,0.12633,0.31753,0.10694,0.10819,0.14002,0.0,0.0,0.1355,0.0,0.0,0.0,0.0,0.0,0.0,0.1987,0.0,0.12331,0.0,0.23445,0.0,0.09419,0.08221,0.09179,0.26473,0.08195,0.18079,0.0,0.14188,0.11403,0.0,0.15693,0.19428,0.10633,0.0,0.07954,0.0963,0.0,0.07355,0.0,0.16253,0.0,0.0,0.0,0.09464,0.0,0.12541,0.0,0.0,0.0,0.08662,0.12214,0.05418,0.09622,0.09024,0.0,0.11846,0.14652,0.13146,0.0,0.09247,0.07114,0.1657,0.07869,0.0,0.0,0.0,0.08058,0.0,0.0,0.0,0.0,0.09202,0.08991,0.10244,0.1206,0.14516,0.0,0.16726,0.13512,0.07882,0.11478,0.07954,0.0,0.11666,0.0,0.18705,0.30285,0.25678,0.14065,0.35755,0.34921,0.0,0.19735,0.24101,0.1873,0.19744,0.0,0.3004,0.33566,0.45121,0.30667,0.38949,0.21667,0.2233,0.1676,0.0,0.11491,0.27204,0.0,0.11628,0.18911,0.15197,0.19009,0.15279,0.0,0.21679,0.16413,0.16268,0.13616,0.16147,0.0,0.16718,0.19715,0.0935,0.1011,0.0,0.0,0.0,0.1267,0.11274,0.0,0.18493,0.18183,0.11952,0.09933,0.12744,0.0,0.0,0.0,0.0,0.0,0.22065,0.1191,0.0,0.0,0.18327,0.08969,0.11064,0.0,0.0,0.0,0.0,0.08419,0.0,0.25936,0.12364,0.09496,0.14294,0.18281,0.0,0.13003,0.11964,0.0,0.0,0.0,0.0,0.0,0.0,0.11604,0.1453,0.0,0.0,0.07415,0.0,0.09494,0.0,0.0,0.0,0.09294,0.0,0.16734,0.10279,0.13106,0.0,0.08387,0.07711,0.1521,0.18689,0.13628,0.2879,0.17017,0.11838,0.114,0.30537,0.0,0.07643,0.12752
-4.5,0.24853,0.0,0.16834,0.08222,0.15121,0.20932,0.10689,0.08177,0.06958,0.06028,0.0,0.0,0.0,0.26828,0.12081,0.09999,0.05936,0.07707,0.11195,0.0,0.11817,0.0,0.0,0.0,0.0,0.07372,0.0,0.0755,0.0,0.0,0.0,0.15784,0.0,0.1023,0.19589,0.09409,0.13119,0.20776,0.08981,0.12944,0.14022,0.13009,0.31753,0.09778,0.10039,0.14299,0.0,0.0,0.12489,0.0,0.0,0.0,0.0,0.0,0.0,0.18238,0.0,0.12331,0.07036,0.20865,0.0,0.08782,0.07968,0.09179,0.20698,0.0741,0.18079,0.0,0.14188,0.11403,0.07405,0.15693,0.19411,0.10253,0.0,0.08583,0.0963,0.09961,0.07355,0.0,0.16253,0.0,0.0,0.15492,0.09464,0.0,0.12541,0.0,0.09042,0.0,0.08662,0.12214,0.06194,0.09622,0.09024,0.0,0.11278,0.14088,0.13146,0.0,0.07767,0.06946,0.1657,0.07297,0.0,0.0,0.0,0.08058,0.0,0.0,0.0,0.0,0.08548,0.08099,0.10499,0.11968,0.13781,0.0,0.16626,0.1322,0.07459,0.11478,0.07734,0.12664,0.11148,0.0,0.18574,0.27235,0.25678,0.127,0.27978,0.33197,1.30154,0.1844,0.22113,0.18529,0.17071,0.18322,0.2611,0.31511,0.45121,0.30667,0.38949,0.21667,0.16882,0.14809,0.0,0.11565,0.25612,0.0,0.1123,0.18911,0.14265,0.17986,0.14673,0.0,0.21679,0.15775,0.15487,0.13028,0.12798,0.0,0.16718,0.19715,0.0935,0.1011,0.14435,0.0,0.0,0.12275,0.11274,0.15137,0.18493,0.18183,0.12454,0.09346,0.12744,0.08668,0.0,0.0,0.0,0.0,0.22065,0.11434,0.0,0.0,0.18327,0.08999,0.1096,0.0,0.0,0.0,0.0,0.08419,0.0,0.21097,0.11699,0.08397,0.14294,0.14115,0.0,0.118,0.11964,0.0,0.0,0.0,0.0,0.0,0.0,0.11604,0.1453,0.0,0.08127,0.07415,0.0,0.08162,0.0,0.0,0.06537,0.08903,0.0,0.16734,0.10279,0.11506,0.0,0.08387,0.07711,0.13546,0.18689,0.13628,0.2879,0.16955,0.10074,0.114,0.20755,0.0,0.07643,0.12752
-4.25,0.20349,0.0,0.16834,0.0792,0.15121,0.20932,0.09811,0.08177,0.06958,0.06506,0.0,0.0,0.0,0.2515,0.12936,0.09999,0.05599,0.0652,0.11195,0.06511,0.11817,0.09117,0.0,0.0,0.0,0.07046,0.0,0.06618,0.0,0.06754,0.0,0.15784,0.0,0.09854,0.19589,0.09409,0.12036,0.19775,0.08519,0.11847,0.14357,0.11616,0.28136,0.09477,0.09791,0.14299,0.13454,0.0,0.12489,0.09152,0.0,0.06913,0.0,0.07109,0.08068,0.18104,0.0,0.0956,0.07036,0.17425,0.10935,0.08678,0.07968,0.08469,0.20698,0.07151,0.18079,0.0,0.10894,0.10844,0.07439,0.15693,0.18056,0.10007,0.0,0.08583,0.0963,0.09961,0.07103,0.0,0.16253,0.0,0.0,0.14386,0.08485,0.0,0.12541,0.0,0.09042,0.0,0.08662,0.12214,0.0608,0.09622,0.09024,0.06537,0.11278,0.13827,0.13152,0.0,0.07709,0.06434,0.1657,0.0663,0.0,0.0,0.0,0.08058,0.0,0.0,0.0,0.0,0.0747,0.07752,0.10499,0.11968,0.13781,0.0,0.1578,0.11783,0.07158,0.10913,0.07552,0.15354,0.10446,0.0,0.16471,0.26501,0.23401,0.12603,0.27978,0.31081,1.30154,0.17668,0.21291,0.17999,0.17071,0.1736,0.2611,0.30256,0.42645,0.30667,0.38949,0.21667,0.16882,0.12249,0.0,0.10907,0.22977,0.0,0.11225,0.14447,0.13199,0.17844,0.15679,0.10789,0.21679,0.15543,0.15954,0.12766,0.12178,0.0,0.1566,0.19715,0.08817,0.09533,0.14435,0.0,0.10014,0.12275,0.10909,0.14369,0.18493,0.18183,0.12454,0.08159,0.12744,0.08668,0.0,0.0,0.0,0.0,0.22065,0.11434,0.09478,0.13222,0.18327,0.08273,0.11719,0.0,0.0,0.0,0.0,0.08248,0.0,0.19643,0.11298,0.07573,0.10886,0.14115,0.09522,0.118,0.11964,0.0,0.0,0.0,0.0,0.0,0.0,0.11106,0.1453,0.0,0.07779,0.06799,0.0,0.08533,0.0,0.0,0.06537,0.08816,0.0,0.16734,0.10279,0.10868,0.0,0.08387,0.07711,0.13546,0.18689,0.09926,0.2879,0.17671,0.09769,0.10998,0.14951,0.0,0.06204,0.11327
-4.0,0.16311,0.0,0.16834,0.06011,0.1255,0.20932,0.0988,0.07982,0.07185,0.06506,0.0,0.0,0.06595,0.23777,0.12551,0.07223,0.05382,0.05719,0.10653,0.06511,0.11817,0.09117,0.0,0.0,0.0,0.07046,0.06261,0.06618,0.0,0.06471,0.0,0.15784,0.09971,0.09854,0.25127,0.08864,0.11698,0.18548,0.08496,0.11847,0.13084,0.11574,0.28136,0.09212,0.09001,0.14299,0.13454,0.11077,0.11735,0.09152,0.0,0.06987,0.09245,0.06588,0.08068,0.17103,0.08737,0.0956,0.07074,0.16705,0.12674,0.07804,0.07645,0.08469,0.16596,0.0661,0.15152,0.08301,0.10894,0.1005,0.07645,0.13912,0.17719,0.09255,0.0929,0.07734,0.08514,0.09089,0.06624,0.07045,0.12648,0.0,0.0,0.12213,0.08048,0.0,0.10568,0.09063,0.09042,0.0,0.08662,0.12214,0.05799,0.07822,0.09024,0.06537,0.09543,0.12922,0.12964,0.0,0.0723,0.06538,0.1657,0.06289,0.0,0.0,0.05298,0.07196,0.0,0.0,0.0,0.0,0.07046,0.07752,0.08172,0.12002,0.1197,0.0,0.14989,0.12981,0.07174,0.10077,0.07552,0.14615,0.09619,0.0,0.15602,0.2567,0.21636,0.11422,0.26332,0.30557,1.30154,0.17097,0.19356,0.17913,0.15516,0.1736,0.21641,0.28993,0.36466,0.25588,0.32684,0.21667,0.16506,0.13711,0.0,0.11225,0.22977,0.0,0.10465,0.12191,0.10661,0.17995,0.13484,0.1047,0.19142,0.16517,0.14654,0.12425,0.11489,0.0,0.14048,0.19715,0.08929,0.09474,0.14435,0.13109,0.10014,0.12259,0.10616,0.14369,0.18466,0.18183,0.12454,0.06895,0.08636,0.08734,0.0,0.0,0.0,0.0,0.22065,0.11434,0.09313,0.13222,0.18327,0.07361,0.11549,0.0,0.0,0.0,0.0,0.07975,0.0,0.19185,0.10625,0.07582,0.10845,0.14115,0.09666,0.11543,0.11964,0.0748,0.13876,0.0,0.0,0.0,0.13753,0.11106,0.1453,0.07009,0.07609,0.06509,0.0,0.08247,0.0,0.23983,0.06537,0.08063,0.0,0.16734,0.10279,0.10468,0.0,0.07116,0.072,0.15085,0.11163,0.08664,0.2879,0.15893,0.08725,0.0941,0.12403,0.0,0.06564,0.11055
-3.75,0.14084,0.0,0.10886,0.05865,0.11616,0.20932,0.07575,0.07322,0.06089,0.06119,0.0,0.0,0.0641,0.19337,0.12207,0.07223,0.05267,0.05797,0.10988,0.06684,0.10986,0.08124,0.0,0.0,0.0,0.07046,0.06146,0.05983,0.0,0.06927,0.0,0.08279,0.09239,0.0854,0.22533,0.08864,0.11698,0.18402,0.07898,0.10711,0.12906,0.10709,0.28136,0.08416,0.08653,0.11205,0.12517,0.10777,0.1015,0.09152,0.0,0.06987,0.09245,0.06188,0.07846,0.16183,0.08531,0.08948,0.06981,0.15174,0.09842,0.07402,0.07208,0.07423,0.14821,0.06604,0.15152,0.08301,0.1067,0.09184,0.0757,0.13912,0.17009,0.08924,0.0929,0.07829,0.07242,0.09029,0.06695,0.06381,0.12648,0.0,0.0,0.11654,0.07981,0.0,0.10568,0.09063,0.08648,0.07808,0.08371,0.10149,0.05559,0.07822,0.06898,0.06368,0.09065,0.12053,0.11591,0.20612,0.06622,0.06214,0.1657,0.06046,0.0,0.0,0.05298,0.06956,0.0,0.08154,0.0,0.0,0.06711,0.07279,0.07881,0.12002,0.11187,0.10012,0.14443,0.12529,0.06809,0.09759,0.07719,0.13497,0.09011,0.07593,0.14954,0.24922,0.22679,0.10735,0.25221,0.28495,1.20468,0.16024,0.19271,0.17168,0.15653,0.17076,0.19682,0.28134,0.32049,0.22958,0.26006,0.19462,0.1581,0.12602,0.1124,0.11143,0.23261,0.0,0.09535,0.11522,0.10094,0.16979,0.13117,0.09967,0.19142,0.15893,0.14202,0.10887,0.11508,0.0,0.13682,0.19715,0.08281,0.09775,0.13319,0.17561,0.10743,0.10835,0.10475,0.14369,0.18466,0.18183,0.09893,0.0676,0.08097,0.08679,0.0,0.09222,0.0,0.0,0.17495,0.11434,0.10019,0.13222,0.16144,0.07153,0.1124,0.07585,0.07484,0.0,0.0,0.07042,0.09085,0.19339,0.1133,0.07205,0.11452,0.11467,0.09789,0.10954,0.11964,0.07707,0.1323,0.08511,0.0,0.08542,0.10813,0.10028,0.12148,0.06486,0.08444,0.06544,0.08904,0.08247,0.07439,0.22152,0.05214,0.07739,0.0,0.11468,0.09015,0.09773,0.07273,0.07116,0.06482,0.19397,0.10347,0.09854,0.22285,0.16092,0.0862,0.09364,0.12259,0.08418,0.06068,0.11055
-3.5,0.11649,0.08378,0.094,0.0551,0.09289,0.13438,0.06969,0.07322,0.05991,0.05744,0.0,0.05532,0.05684,0.18851,0.10256,0.07679,0.05113,0.05436,0.09418,0.06067,0.09921,0.08054,0.0,0.0,0.08604,0.06572,0.05385,0.05751,0.0639,0.06927,0.0,0.0713,0.09259,0.07998,0.22533,0.08334,0.11698,0.17551,0.07739,0.09598,0.10856,0.09799,0.23029,0.07824,0.08263,0.10414,0.10594,0.09136,0.09876,0.09778,0.0,0.07091,0.09245,0.0592,0.07449,0.15306,0.08845,0.08719,0.0679,0.12707,0.0923,0.0723,0.06978,0.07329,0.10182,0.06452,0.15152,0.08301,0.10173,0.08776,0.07254,0.13919,0.1664,0.08087,0.08575,0.07319,0.06214,0.08259,0.06036,0.06226,0.09233,0.0,0.07235,0.11173,0.07392,0.08478,0.08351,0.09063,0.08648,0.07808,0.08737,0.08257,0.05313,0.07605,0.06551,0.06277,0.08347,0.1109,0.10038,0.19706,0.06388,0.05892,0.1414,0.05556,0.08853,0.0,0.0493,0.06534,0.0,0.07707,0.0,0.06785,0.06296,0.07864,0.07881,0.12002,0.10891,0.13356,0.14506,0.12348,0.06772,0.09123,0.0696,0.13663,0.08712,0.07516,0.14614,0.23891,0.18662,0.09793,0.24631,0.26939,1.20468,0.15265,0.17892,0.15323,0.14962,0.16223,0.17776,0.27127,0.32049,0.21319,0.25105,0.17864,0.16407,0.11286,0.11203,0.11046,0.22707,0.10495,0.09313,0.10744,0.09848,0.15876,0.12506,0.09489,0.17838,0.14443,0.13708,0.1056,0.106,0.0,0.12987,0.11776,0.07903,0.09466,0.13319,0.17561,0.09049,0.10557,0.10062,0.14369,0.18466,0.16929,0.09905,0.0649,0.07615,0.07886,0.12292,0.08888,0.10224,0.0,0.13283,0.10528,0.09536,0.11638,0.16144,0.07121,0.10775,0.07097,0.08291,0.0,0.0,0.06752,0.09511,0.18887,0.10676,0.06804,0.12028,0.10029,0.09163,0.11086,0.0942,0.06941,0.1323,0.08436,0.0,0.08447,0.10813,0.09074,0.111,0.0644,0.07632,0.06121,0.08904,0.07449,0.06465,0.19146,0.05537,0.07027,0.0,0.11468,0.08886,0.09002,0.07825,0.06826,0.0603,0.14606,0.11374,0.08717,0.14277,0.15542,0.08523,0.07996,0.11086,0.07994,0.06518,0.09737
-3.25,0.09731,0.07875,0.09323,0.05209,0.08895,0.11416,0.06382,0.06917,0.053,0.05281,0.04533,0.06076,0.05541,0.17995,0.10256,0.07896,0.05035,0.05167,0.08044,0.057,0.09387,0.07882,0.0,0.0,0.08604,0.05623,0.05392,0.05637,0.0639,0.06114,0.05414,0.07815,0.08882,0.07554,0.22533,0.08409,0.10177,0.16791,0.07663,0.08985,0.10091,0.09404,0.12343,0.07248,0.07894,0.0967,0.10751,0.08896,0.09129,0.08798,0.0,0.06391,0.09245,0.05428,0.06823,0.13864,0.09899,0.07992,0.06388,0.12123,0.0857,0.06707,0.06839,0.07153,0.08757,0.06154,0.11103,0.07115,0.09502,0.0751,0.06971,0.12839,0.15218,0.07968,0.0895,0.07061,0.06076,0.08503,0.06111,0.05844,0.08161,0.0,0.06482,0.10417,0.07842,0.07526,0.07753,0.09063,0.08648,0.06839,0.08292,0.06961,0.05313,0.06266,0.06198,0.06116,0.07865,0.10245,0.09616,0.19305,0.05988,0.05606,0.09922,0.05105,0.07926,0.0,0.0493,0.05649,0.0,0.06741,0.0,0.06605,0.06011,0.07499,0.07392,0.10824,0.10241,0.1261,0.13693,0.1167,0.06749,0.09167,0.06911,0.13624,0.08451,0.07063,0.14003,0.22729,0.18369,0.09312,0.2233,0.2536,1.06355,0.15007,0.16441,0.14068,0.14447,0.15247,0.15982,0.26404,0.2837,0.19982,0.23534,0.18428,0.15365,0.09864,0.10369,0.10835,0.17503,0.10674,0.08929,0.09903,0.09615,0.14911,0.12422,0.08629,0.16171,0.12423,0.12813,0.1031,0.10299,0.0,0.12099,0.11776,0.07464,0.08728,0.11378,0.16599,0.09051,0.09919,0.09278,0.123,0.18466,0.16929,0.09554,0.06156,0.07696,0.08031,0.12292,0.07915,0.08868,0.0,0.1469,0.10023,0.0923,0.10643,0.14799,0.0648,0.10001,0.06996,0.08291,0.0,0.0,0.06444,0.08864,0.18147,0.09803,0.06288,0.11265,0.09901,0.09317,0.10434,0.08642,0.06796,0.1189,0.0794,0.0,0.08447,0.08897,0.08688,0.09092,0.06138,0.07166,0.05437,0.08074,0.06532,0.06627,0.17818,0.05688,0.0725,0.0518,0.09271,0.08216,0.08836,0.07825,0.06252,0.05856,0.13007,0.10887,0.07909,0.11815,0.13631,0.08185,0.08244,0.09123,0.07994,0.06292,0.09735
-3.0,0.08426,0.07207,0.0759,0.0522,0.07871,0.11646,0.06051,0.06108,0.05078,0.05212,0.04614,0.05807,0.05366,0.16457,0.08736,0.07551,0.04872,0.05014,0.0746,0.0546,0.08685,0.07478,0.0,0.05749,0.08176,0.05431,0.05198,0.04988,0.05918,0.05489,0.05242,0.07518,0.08302,0.07291,0.21245,0.08062,0.09668,0.15549,0.07255,0.08426,0.09627,0.08821,0.10753,0.06667,0.0732,0.09182,0.10507,0.08661,0.07822,0.08891,0.05863,0.06129,0.08003,0.05203,0.06779,0.12695,0.09395,0.0824,0.06043,0.11589,0.08396,0.0614,0.06106,0.06841,0.08309,0.05739,0.09935,0.06985,0.08901,0.07311,0.06522,0.11253,0.14515,0.0751,0.08063,0.06639,0.0581,0.08451,0.05846,0.05747,0.07942,0.0,0.06107,0.09632,0.07166,0.08572,0.07656,0.07686,0.0799,0.06415,0.06779,0.06458,0.04961,0.06364,0.05688,0.05565,0.0731,0.09303,0.09108,0.18447,0.05894,0.0519,0.09312,0.04548,0.07926,0.0,0.04753,0.052,0.07578,0.06997,0.0,0.06016,0.05643,0.06634,0.07289,0.10088,0.09536,0.12035,0.11963,0.11208,0.06421,0.08238,0.06591,0.12428,0.0791,0.07123,0.13009,0.2119,0.17301,0.08889,0.20676,0.23953,0.73107,0.1441,0.15687,0.13234,0.13954,0.13602,0.13967,0.24867,0.23541,0.19069,0.20576,0.18617,0.13836,0.09469,0.09972,0.09808,0.16485,0.10336,0.08779,0.10182,0.08606,0.13813,0.11865,0.08556,0.15197,0.11993,0.11779,0.0961,0.09008,0.0,0.11276,0.09574,0.07163,0.08652,0.10832,0.12938,0.08821,0.09527,0.085,0.10476,0.14233,0.16929,0.09707,0.06017,0.07106,0.08074,0.12292,0.07494,0.08471,0.16727,0.12829,0.09689,0.0873,0.08619,0.13219,0.06083,0.08927,0.06576,0.07269,0.16967,0.0,0.06225,0.07755,0.16175,0.08818,0.06008,0.09953,0.0922,0.08755,0.08874,0.08447,0.06369,0.11667,0.07766,0.08022,0.07421,0.07961,0.08262,0.08718,0.06142,0.06939,0.0534,0.08445,0.06359,0.06259,0.15084,0.05935,0.07023,0.05513,0.07626,0.07017,0.08236,0.08024,0.06878,0.05894,0.12123,0.10328,0.07681,0.11116,0.12544,0.07762,0.07833,0.08584,0.07517,0.05895,0.08981
-2.75,0.07446,0.0668,0.07346,0.05137,0.07711,0.09935,0.05513,0.06146,0.0488,0.04902,0.04854,0.05476,0.05044,0.15459,0.08612,0.06522,0.04911,0.04779,0.0721,0.05101,0.08614,0.07143,0.0668,0.05656,0.06805,0.0533,0.04769,0.04447,0.05775,0.05019,0.04947,0.06913,0.08218,0.06914,0.17492,0.07727,0.08804,0.13303,0.06955,0.08151,0.08973,0.08274,0.10225,0.0661,0.06886,0.09242,0.09853,0.07555,0.07313,0.08478,0.05678,0.05851,0.07184,0.05088,0.06449,0.11834,0.08961,0.07241,0.05421,0.10562,0.07747,0.05772,0.05709,0.06601,0.0795,0.05506,0.08439,0.06308,0.07332,0.0739,0.06069,0.10283,0.1318,0.07176,0.07981,0.06395,0.05431,0.0863,0.05612,0.05316,0.07669,0.0,0.06086,0.08616,0.06787,0.07931,0.06977,0.06531,0.07286,0.06576,0.06522,0.06026,0.04598,0.0628,0.05548,0.05541,0.06361,0.08627,0.0836,0.17817,0.05641,0.04924,0.0858,0.04483,0.07595,0.0,0.05132,0.05383,0.06447,0.07318,0.07783,0.0554,0.05257,0.05891,0.06595,0.0902,0.09258,0.11192,0.11271,0.10104,0.06182,0.08385,0.0643,0.11657,0.07542,0.06662,0.1239,0.20124,0.15965,0.08363,0.19757,0.22146,0.71281,0.13798,0.14414,0.12966,0.12842,0.13104,0.13305,0.23557,0.22406,0.18288,0.18484,0.17139,0.12642,0.08779,0.09463,0.09702,0.17835,0.10035,0.08354,0.09406,0.08238,0.13024,0.11241,0.08195,0.13968,0.11436,0.10673,0.08905,0.08856,0.0,0.09029,0.07988,0.06776,0.08194,0.09618,0.116,0.08136,0.08802,0.07549,0.09436,0.10906,0.14223,0.09068,0.0581,0.06884,0.07225,0.12292,0.0674,0.07836,0.17316,0.11606,0.0903,0.08577,0.0907,0.12052,0.05855,0.08702,0.06281,0.07722,0.17445,0.0,0.05777,0.06894,0.14226,0.08813,0.05806,0.08859,0.08777,0.0858,0.09565,0.07582,0.06171,0.10042,0.07489,0.07703,0.06853,0.07881,0.07209,0.08148,0.05869,0.06721,0.05075,0.07277,0.06238,0.06093,0.1482,0.05725,0.07013,0.0645,0.07355,0.06473,0.07997,0.06832,0.06654,0.05738,0.11961,0.1003,0.06934,0.09538,0.11851,0.07769,0.07105,0.07791,0.06821,0.05386,0.08516
