,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.17999,0.10096,0.09519,0.12476,0.12259,0.12173,0.06295,0.0,0.0,0.08866,0.07427,0.79983,0.09494,0.09012,0.09224,0.0,0.09996,0.0,0.15876,0.08968,0.0,0.06218,0.06847,0.0,0.05692,0.07662,0.0,0.0,0.0,0.09094,0.3507,0.27075,0.34626,0.15726,0.21092,0.0,0.10648,0.1055,0.55188,0.34781,0.33833,0.10724,0.08907,0.15065,0.09682,0.07374,0.11682,0.10507,0.0,0.0,0.0,0.0,0.0958,0.67126,0.16966,0.13843,0.07208,0.26789,0.11983,0.11133,0.0957,0.09424,0.13655,0.08398,0.0,0.0,0.0,0.10152,0.07156,0.14632,1.11531,0.21647,0.10697,0.0,0.07249,0.06399,0.0,0.0,0.09923,0.0,0.0,0.13033,0.09362,0.08117,0.05995,0.07243,0.06303,0.08315,0.07441,0.10114,0.07628,0.0853,0.08863,0.06733,0.11393,0.25988,0.10473,0.39352,0.09729,0.07857,0.12921,0.0,0.07626,0.06992,0.05176,0.07357,0.09826,0.0,0.08614,0.0,0.07569,0.08729,0.10696,0.09569,0.25462,0.0,0.52025,0.54238,0.09589,0.1272,0.0803,0.25582,0.12397,0.0,0.0,0.0,1.04226,0.31643,0.0,1.75843,0.0,0.0,0.0,0.0,0.0,0.37774,0.23376,1.62388,0.0,0.37061,0.81549,0.0,0.18472,0.12704,0.09704,0.124,1.15723,0.2528,0.11835,0.1335,0.16307,0.77724,0.17452,0.0,0.83867,0.59905,0.16238,0.14994,0.15463,0.08288,0.11782,0.09044,0.0784,0.08663,0.10616,0.25974,0.28241,0.14533,0.08429,0.088,0.11275,0.09175,0.07804,0.10249,0.09921,0.08746,0.06966,0.07639,0.1288,0.2953,0.21875,0.12688,0.11084,0.10044,0.08573,0.08276,0.15394,0.0757,0.08309,0.08173,0.085,0.07297,0.12394,0.39754,0.24304,0.08309,0.11246,0.12512,0.08938,0.09837,0.10122,0.06083,0.0,0.0,0.0,0.08693,0.0648,0.08091,0.0,0.09339,0.10273,0.09929,0.10637,0.08096,0.09432,0.15364,0.0,0.09371,0.09132,0.09632,0.09379,0.10684,0.06099,0.0,0.07391,0.3942,0.09611,0.09073,0.14015,0.3552,0.11557,0.09123,0.09906,0.08326,0.0,0.10805
-4.75,0.08684,0.0,0.17999,0.09272,0.08282,0.12046,0.12259,0.12173,0.06009,0.0,0.0,0.06901,0.07427,0.8167,0.08909,0.08871,0.0699,0.07823,0.09808,0.0,0.15876,0.07689,0.0,0.06077,0.07313,0.0,0.05692,0.07662,0.06535,0.0,0.0,0.08064,0.34273,0.2588,0.33695,0.13479,0.2031,0.0,0.10462,0.09845,0.5394,0.33958,0.31559,0.10158,0.07785,0.14814,0.0875,0.07066,0.11682,0.09987,0.0,0.0,0.0,0.0,0.0958,0.62275,0.16762,0.13229,0.06902,0.26323,0.11983,0.10309,0.09308,0.09428,0.13655,0.08098,0.0,0.0,0.1166,0.09843,0.07156,0.13865,1.03533,0.20961,0.09781,0.0,0.0755,0.0626,0.0,0.0,0.09923,0.0,0.0,0.12227,0.08813,0.08117,0.05999,0.07243,0.05703,0.08014,0.07136,0.10114,0.06913,0.0853,0.07747,0.06733,0.09599,0.242,0.10179,0.36392,0.09248,0.07395,0.10848,0.0,0.07551,0.07306,0.05176,0.07357,0.09518,0.0,0.07586,0.0,0.07569,0.07597,0.09698,0.12755,0.25462,0.0,0.50046,0.51108,0.09368,0.12472,0.07811,0.24051,0.12307,0.0,0.9037,0.0,0.97818,0.30899,0.0,1.66844,0.0,0.0,0.94534,0.83778,0.72034,0.34785,0.21896,1.5635,0.0,0.35951,0.81549,0.46089,0.16553,0.11558,0.09403,0.11194,1.12628,0.24164,0.11908,0.13201,0.1553,0.74067,0.16498,0.0,0.83114,0.55676,0.1647,0.14743,0.13396,0.07666,0.116,0.09044,0.07292,0.08329,0.10616,0.24448,0.27467,0.14198,0.08275,0.08877,0.09766,0.08514,0.08566,0.09506,0.08396,0.06721,0.06966,0.07255,0.1277,0.27288,0.20835,0.12177,0.10806,0.09598,0.08033,0.07061,0.15001,0.0757,0.08106,0.0813,0.07996,0.07297,0.09963,0.37787,0.23712,0.08001,0.10282,0.12791,0.08604,0.08817,0.09169,0.06083,0.0,0.0,0.0,0.08693,0.06075,0.08091,0.11106,0.08866,0.10273,0.09929,0.10637,0.0727,0.09432,0.14694,0.06411,0.09176,0.09132,0.09632,0.08986,0.10484,0.06099,0.0,0.07391,0.38314,0.09137,0.08576,0.13317,0.34042,0.10164,0.07882,0.09705,0.08726,0.0,0.10046
-4.5,0.08684,0.06136,0.17999,0.07945,0.08067,0.10599,0.11069,0.12173,0.05437,0.0,0.0,0.06756,0.07427,0.73791,0.08734,0.08589,0.0699,0.07823,0.09024,0.0,0.15876,0.06848,0.07915,0.06077,0.07112,0.10558,0.05692,0.06745,0.06535,0.0,0.0,0.0785,0.316,0.24767,0.30594,0.12173,0.19113,0.67379,0.1018,0.09682,0.5238,0.32692,0.30165,0.09766,0.07669,0.14015,0.0875,0.07152,0.11383,0.0967,0.0,0.0,0.0,0.06571,0.08776,0.58026,0.16943,0.12702,0.0675,0.26013,0.11983,0.09196,0.09212,0.08214,0.11887,0.07797,0.0,0.07316,0.11693,0.08966,0.07602,0.13576,0.99837,0.20109,0.09781,0.09114,0.0804,0.06119,0.0,0.0,0.09923,0.06331,0.0,0.11973,0.08319,0.08117,0.05999,0.07847,0.06108,0.0726,0.06983,0.10114,0.06913,0.0853,0.0703,0.05893,0.09284,0.2271,0.09838,0.34961,0.09167,0.07178,0.10048,0.0,0.07551,0.06852,0.05176,0.07357,0.09207,0.0,0.07586,0.0,0.07335,0.07597,0.0949,0.12755,0.23984,0.08301,0.47737,0.47078,0.09258,0.12388,0.07811,0.22984,0.11467,0.0,0.86443,0.0,0.93174,0.2915,0.0,1.59134,0.0,0.0,0.89367,0.80166,0.69592,0.33877,0.21303,1.41285,0.0,0.34119,0.68466,0.44302,0.14826,0.11686,0.09061,0.10631,1.04323,0.23266,0.1147,0.1322,0.15408,0.69675,0.16225,0.08962,0.71673,0.52983,0.15191,0.14994,0.12317,0.07447,0.11195,0.07538,0.07292,0.08164,0.1043,0.23302,0.26049,0.13739,0.07678,0.0841,0.09701,0.08207,0.07818,0.09353,0.08016,0.06594,0.0684,0.07255,0.11996,0.26461,0.19738,0.11704,0.0989,0.09376,0.07414,0.07141,0.14305,0.0757,0.08335,0.08097,0.07996,0.07297,0.09963,0.35466,0.23121,0.07803,0.09813,0.10798,0.08288,0.08817,0.08242,0.06083,0.0,0.10051,0.0,0.08693,0.0606,0.07325,0.10073,0.08601,0.10273,0.08145,0.10637,0.0727,0.09432,0.15014,0.06411,0.0872,0.09714,0.09891,0.08986,0.10484,0.05988,0.07574,0.06791,0.35174,0.08731,0.08576,0.13023,0.32975,0.09964,0.0807,0.09705,0.08065,0.0,0.09745
-4.25,0.07004,0.06136,0.13105,0.07943,0.07781,0.09404,0.09677,0.12173,0.05579,0.0,0.0,0.06756,0.07427,0.7041,0.0833,0.08589,0.06437,0.07823,0.08968,0.0,0.15876,0.06848,0.07769,0.06077,0.07861,0.08277,0.05118,0.0665,0.06552,0.0,0.0,0.07595,0.29393,0.23959,0.29354,0.11525,0.18225,0.62869,0.09506,0.0891,0.48157,0.31379,0.28742,0.09544,0.06977,0.12666,0.08046,0.06746,0.11383,0.09375,0.07097,0.0,0.0,0.06869,0.08675,0.56811,0.16329,0.10713,0.06919,0.24034,0.10715,0.08864,0.09098,0.07903,0.11887,0.07664,0.0,0.07316,0.11079,0.08653,0.07602,0.12964,0.94904,0.19369,0.0917,0.08788,0.07738,0.05717,0.0,0.0,0.07813,0.06331,0.0,0.11628,0.08177,0.08117,0.05616,0.06936,0.06108,0.07109,0.06521,0.10114,0.06177,0.0853,0.0703,0.05719,0.09284,0.22412,0.09397,0.33635,0.0861,0.06683,0.08617,0.05158,0.074,0.06852,0.04574,0.06575,0.08758,0.0,0.07586,0.0,0.06681,0.06177,0.0921,0.12755,0.20709,0.08301,0.45096,0.44558,0.09001,0.10134,0.07507,0.21741,0.11259,0.07755,0.81798,1.36799,0.88149,0.27614,0.0,1.47245,0.0,0.0,0.84836,0.76149,0.65163,0.31205,0.20556,1.36651,0.0,0.33014,0.64577,0.41631,0.15216,0.10858,0.08676,0.10458,0.99483,0.22015,0.10563,0.12628,0.14792,0.67827,0.15091,0.08215,0.68819,0.51829,0.14812,0.139,0.12317,0.07353,0.11088,0.07163,0.06581,0.07795,0.08823,0.22368,0.24375,0.12993,0.07468,0.0737,0.09151,0.07933,0.07818,0.08324,0.07634,0.06235,0.06131,0.06719,0.1156,0.24624,0.18902,0.11299,0.09549,0.08769,0.07414,0.06814,0.1381,0.0757,0.08559,0.07476,0.07592,0.07297,0.09703,0.34038,0.21972,0.07604,0.0946,0.1006,0.08106,0.08136,0.07677,0.05678,0.0,0.09248,0.0,0.07381,0.05576,0.07042,0.09809,0.08468,0.10273,0.08145,0.08873,0.07099,0.09432,0.14172,0.06094,0.08589,0.09714,0.09891,0.07621,0.09896,0.05988,0.06183,0.06134,0.33235,0.09028,0.07505,0.10613,0.29948,0.09164,0.0773,0.09507,0.07801,0.0,0.09118
-4.0,0.07271,0.05853,0.11288,0.07548,0.07282,0.08937,0.09046,0.08653,0.05436,0.0,0.0,0.06326,0.05852,0.7041,0.07924,0.07693,0.06065,0.06984,0.0813,0.0,0.15876,0.0676,0.0707,0.05839,0.07719,0.07428,0.04549,0.06656,0.06552,0.0,0.04063,0.07578,0.29022,0.22308,0.27931,0.10473,0.18227,0.60123,0.09183,0.08388,0.44266,0.29299,0.27708,0.09068,0.06606,0.11375,0.08046,0.06646,0.11323,0.08985,0.07097,0.05984,0.06873,0.05872,0.0807,0.559,0.14875,0.10559,0.06893,0.23355,0.10082,0.07775,0.07948,0.07599,0.11887,0.07513,0.12138,0.06497,0.10617,0.08235,0.06517,0.12888,0.91819,0.17979,0.08254,0.08735,0.0717,0.05447,0.0,0.065,0.07108,0.06181,0.0,0.11127,0.07953,0.06294,0.05183,0.06556,0.06011,0.07109,0.06521,0.10114,0.061,0.0853,0.06684,0.05664,0.09284,0.20623,0.08733,0.31589,0.08389,0.06153,0.08573,0.05016,0.07021,0.06603,0.04574,0.06316,0.07826,0.0,0.07586,0.0,0.06154,0.06177,0.08579,0.0863,0.2038,0.07663,0.44139,0.41852,0.08333,0.10108,0.07106,0.20832,0.10319,0.07505,0.77213,1.26683,0.84097,0.26236,0.0,1.40281,3.4309,0.0,0.79232,0.70657,0.63276,0.29792,0.19982,1.27947,0.78666,0.30989,0.63863,0.41102,0.14529,0.09892,0.08314,0.10117,0.9677,0.20717,0.10262,0.11951,0.14016,0.63274,0.1455,0.0801,0.65037,0.4684,0.13615,0.13614,0.116,0.07353,0.10242,0.07172,0.06283,0.07426,0.08823,0.21414,0.23086,0.1189,0.07067,0.07111,0.08591,0.07021,0.07297,0.07499,0.07634,0.06079,0.06131,0.06131,0.10833,0.22984,0.18057,0.10221,0.08878,0.08476,0.07682,0.06317,0.13119,0.07171,0.0888,0.07309,0.07052,0.07297,0.07742,0.32339,0.20628,0.07208,0.088,0.09489,0.07785,0.07661,0.07307,0.05678,0.0,0.09248,0.0,0.07037,0.05576,0.06755,0.09061,0.07849,0.10273,0.07946,0.08675,0.06341,0.09432,0.14111,0.05612,0.07908,0.0804,0.08686,0.07094,0.09117,0.05517,0.06183,0.05843,0.31105,0.08519,0.07023,0.10061,0.278,0.08102,0.07459,0.08847,0.07801,0.0,0.08689
-3.75,0.06711,0.05708,0.09599,0.07661,0.06852,0.081,0.08792,0.08653,0.05148,0.0,0.0,0.05703,0.05279,0.7041,0.07452,0.07451,0.0525,0.06984,0.07342,0.0,0.15876,0.06426,0.0707,0.05839,0.07768,0.06653,0.04838,0.06467,0.06552,0.06096,0.04063,0.07143,0.27756,0.20335,0.26543,0.10151,0.17939,0.55952,0.08666,0.0812,0.42635,0.27121,0.27398,0.08638,0.062,0.11124,0.08046,0.06301,0.1043,0.08052,0.06807,0.05543,0.06575,0.05374,0.07918,0.49822,0.14261,0.09988,0.06506,0.22994,0.0896,0.07555,0.07505,0.06391,0.1112,0.07513,0.11836,0.06951,0.10156,0.07864,0.06011,0.11464,0.85643,0.16605,0.07948,0.08589,0.06171,0.05137,0.0,0.06198,0.05918,0.06437,0.06641,0.10453,0.07507,0.06095,0.04908,0.06233,0.05841,0.06051,0.06521,0.08685,0.061,0.08682,0.06025,0.05664,0.09009,0.19728,0.08262,0.30055,0.07776,0.0608,0.08193,0.04713,0.07021,0.06252,0.04574,0.06037,0.07379,0.0,0.07586,0.08681,0.05714,0.0561,0.08197,0.07508,0.2038,0.0727,0.41806,0.38842,0.08767,0.09313,0.06737,0.19278,0.1008,0.07535,0.72712,1.1911,0.79764,0.2472,0.0,1.33849,3.26264,0.0,0.75237,0.67463,0.57671,0.28229,0.1963,1.20583,0.72825,0.28924,0.5845,0.38271,0.14085,0.09551,0.08182,0.09404,0.90184,0.19548,0.1008,0.11441,0.13607,0.59264,0.13805,0.08256,0.60352,0.4507,0.12687,0.12955,0.11715,0.06537,0.09867,0.0664,0.05878,0.0717,0.08386,0.19796,0.21952,0.1185,0.07067,0.06931,0.08246,0.06772,0.06542,0.07228,0.06673,0.06079,0.05836,0.05982,0.10234,0.2192,0.17053,0.10036,0.08461,0.07931,0.06836,0.06198,0.1243,0.07171,0.08468,0.07099,0.07052,0.06067,0.07742,0.30442,0.19171,0.06853,0.08003,0.09111,0.07379,0.07155,0.07307,0.05281,0.0,0.08852,0.06096,0.07037,0.05304,0.06563,0.0769,0.07454,0.10273,0.07946,0.07697,0.06341,0.07341,0.13463,0.05612,0.07713,0.07783,0.08589,0.06962,0.07534,0.05517,0.06246,0.05797,0.29343,0.08204,0.06553,0.09537,0.27224,0.0766,0.07199,0.08316,0.07459,0.0,0.08145
-3.5,0.06525,0.05499,0.09173,0.07129,0.06779,0.07934,0.07667,0.06956,0.0495,0.04874,0.0,0.05293,0.05279,0.61732,0.07296,0.07405,0.05141,0.06984,0.07034,0.05647,0.15876,0.06054,0.06976,0.05086,0.07721,0.06241,0.04838,0.05606,0.0641,0.06096,0.03967,0.0671,0.26167,0.19572,0.26398,0.09001,0.17548,0.5183,0.08504,0.07804,0.39831,0.25699,0.2609,0.07809,0.05863,0.10368,0.07664,0.05837,0.09584,0.07732,0.06519,0.04873,0.06139,0.05226,0.07508,0.46497,0.13184,0.08762,0.0621,0.22433,0.08276,0.06596,0.06857,0.06205,0.10059,0.07213,0.11836,0.06959,0.10156,0.07361,0.05951,0.11221,0.78222,0.15809,0.0778,0.0805,0.06058,0.04817,0.06908,0.06198,0.0518,0.06236,0.05805,0.09558,0.07189,0.05669,0.04658,0.05631,0.05381,0.05749,0.05957,0.06864,0.04996,0.08682,0.05481,0.05327,0.08942,0.20167,0.0799,0.28585,0.07476,0.0581,0.07801,0.04467,0.05898,0.05979,0.04012,0.05157,0.0678,0.0,0.05757,0.08681,0.05564,0.05101,0.07704,0.07402,0.20005,0.0727,0.38795,0.36722,0.07898,0.08169,0.06429,0.18849,0.09405,0.07015,0.69815,1.12704,0.73013,0.22834,0.0,1.22933,3.02475,0.72446,0.69936,0.62788,0.54396,0.2648,0.18088,1.12054,0.69723,0.27633,0.50694,0.36615,0.12873,0.09132,0.07125,0.08799,0.85916,0.18745,0.09206,0.11066,0.12748,0.55804,0.13307,0.08005,0.57561,0.43231,0.12312,0.12766,0.11082,0.06265,0.09578,0.07754,0.05953,0.06884,0.08055,0.18581,0.20415,0.107,0.06401,0.06571,0.07734,0.05988,0.06542,0.06773,0.06155,0.05504,0.05277,0.05761,0.10024,0.20725,0.16113,0.09399,0.08085,0.07445,0.06836,0.05972,0.12001,0.05539,0.07608,0.06607,0.0651,0.05801,0.0723,0.28546,0.17741,0.0667,0.07696,0.08819,0.06749,0.07155,0.06705,0.05281,0.05692,0.09581,0.05822,0.06876,0.04909,0.05791,0.07326,0.07263,0.09503,0.06358,0.07302,0.0581,0.06686,0.13333,0.0552,0.07713,0.06492,0.081,0.06962,0.07481,0.05042,0.05724,0.05508,0.27515,0.07481,0.06345,0.08906,0.25293,0.07384,0.06763,0.07669,0.06681,0.0,0.07706
-3.25,0.06179,0.05284,0.08287,0.06642,0.06173,0.07256,0.06976,0.06414,0.04752,0.04592,0.0,0.05151,0.05134,0.57779,0.06999,0.07311,0.05047,0.06236,0.06725,0.05647,0.09263,0.05711,0.06549,0.04978,0.0714,0.05753,0.04452,0.05416,0.0608,0.05812,0.03578,0.06401,0.25517,0.18685,0.24858,0.08536,0.16407,0.48166,0.07842,0.07026,0.36298,0.24005,0.24515,0.07528,0.05577,0.09717,0.06414,0.05447,0.08618,0.07086,0.06222,0.04694,0.0584,0.04824,0.06655,0.46679,0.12263,0.0861,0.05888,0.20528,0.0778,0.06246,0.06197,0.05971,0.1006,0.0648,0.09216,0.06424,0.09202,0.07049,0.05385,0.1096,0.71471,0.14934,0.07387,0.07631,0.0573,0.04817,0.06908,0.06047,0.05231,0.0566,0.05404,0.09022,0.06302,0.05455,0.04496,0.053,0.05171,0.0529,0.05654,0.06587,0.04253,0.0892,0.0522,0.04857,0.08091,0.18162,0.07769,0.26451,0.0704,0.05439,0.07135,0.04281,0.05262,0.05896,0.04012,0.05009,0.06418,0.0557,0.05574,0.08521,0.05023,0.04967,0.0722,0.05934,0.18479,0.07197,0.36798,0.34443,0.07311,0.07247,0.06265,0.18489,0.08853,0.06499,0.64985,1.04489,0.70412,0.21071,1.19479,1.15239,2.79869,0.67164,0.64676,0.59375,0.51204,0.24662,0.17207,1.02376,0.62697,0.26283,0.47215,0.33908,0.11528,0.08477,0.06523,0.08391,0.78924,0.17563,0.08734,0.10188,0.1166,0.53319,0.12455,0.07543,0.53391,0.41395,0.11739,0.11613,0.09874,0.06007,0.09183,0.07449,0.05527,0.06648,0.07131,0.1748,0.18785,0.10318,0.06052,0.0615,0.06752,0.05973,0.05355,0.06831,0.05846,0.04913,0.0487,0.05406,0.09228,0.19015,0.15333,0.09049,0.07784,0.07091,0.05959,0.05489,0.10902,0.04939,0.06894,0.06607,0.05928,0.05688,0.06388,0.2655,0.1667,0.06035,0.07104,0.08264,0.06465,0.06594,0.06426,0.04817,0.05325,0.09279,0.05822,0.05865,0.04909,0.05353,0.06197,0.06615,0.07117,0.06358,0.07104,0.0538,0.06686,0.12258,0.05174,0.07091,0.06492,0.081,0.07245,0.0693,0.04679,0.05426,0.05508,0.25697,0.0734,0.06175,0.08016,0.24173,0.06956,0.06294,0.07244,0.06439,0.0638,0.07254
-3.0,0.05788,0.04864,0.07572,0.06011,0.05831,0.06118,0.06826,0.05863,0.0472,0.04535,0.0,0.0474,0.04563,0.53299,0.06237,0.06102,0.04606,0.0605,0.06146,0.05504,0.08293,0.05369,0.06361,0.04773,0.06099,0.05406,0.04366,0.05058,0.05469,0.04967,0.0359,0.06258,0.21279,0.16732,0.23314,0.07814,0.15452,0.45149,0.07183,0.06566,0.34842,0.22074,0.22982,0.07213,0.05255,0.08468,0.06032,0.05093,0.07982,0.06497,0.05795,0.04615,0.0587,0.04532,0.06466,0.44452,0.10968,0.07704,0.053,0.19562,0.07387,0.05698,0.05691,0.05306,0.09226,0.06269,0.08133,0.05811,0.08575,0.06569,0.04799,0.09417,0.65395,0.13715,0.06593,0.07354,0.05105,0.04502,0.0691,0.05445,0.0482,0.05433,0.05353,0.08317,0.06046,0.05003,0.04443,0.05113,0.04683,0.05096,0.05643,0.06172,0.04253,0.08294,0.04706,0.04576,0.07421,0.17339,0.06654,0.23884,0.06717,0.04989,0.06364,0.04281,0.05178,0.05721,0.03707,0.04869,0.05933,0.05492,0.04949,0.08521,0.04607,0.04379,0.06789,0.05702,0.18369,0.0669,0.35799,0.31512,0.06655,0.06558,0.05776,0.17513,0.08144,0.06441,0.58061,1.12175,0.62773,0.19976,1.11281,1.07068,2.5718,0.62772,0.60261,0.55639,0.46989,0.23295,0.16294,0.95667,0.5985,0.24336,0.44808,0.31896,0.10525,0.07733,0.06148,0.07879,0.80093,0.16081,0.08223,0.09697,0.11473,0.48204,0.11951,0.07495,0.53285,0.37463,0.10861,0.11398,0.09487,0.05644,0.08169,0.06603,0.04973,0.06254,0.06151,0.16381,0.17776,0.0929,0.05426,0.05694,0.06583,0.05579,0.04663,0.06264,0.05436,0.04913,0.0487,0.04914,0.08863,0.18051,0.14089,0.0807,0.07443,0.06758,0.05404,0.0544,0.09885,0.04939,0.06486,0.06105,0.05928,0.05377,0.05716,0.24697,0.15386,0.05476,0.06684,0.07852,0.0627,0.06108,0.05667,0.04517,0.05325,0.08107,0.05457,0.05865,0.04496,0.05353,0.05726,0.06304,0.06664,0.058,0.07104,0.05264,0.05743,0.10871,0.0511,0.06539,0.06102,0.06542,0.0646,0.06274,0.04679,0.05426,0.04917,0.2379,0.06886,0.05645,0.0749,0.21494,0.06602,0.06294,0.06675,0.06316,0.05871,0.0684
-2.75,0.05395,0.04579,0.06166,0.05802,0.05428,0.05529,0.06031,0.04952,0.04175,0.04383,0.05613,0.04519,0.04238,0.46883,0.05615,0.05722,0.04204,0.05264,0.05446,0.05204,0.0718,0.05114,0.06097,0.04519,0.05525,0.05066,0.03821,0.04641,0.05139,0.04686,0.0359,0.05826,0.18538,0.15651,0.20196,0.06782,0.14372,0.41022,0.06838,0.0618,0.31994,0.20673,0.22667,0.06615,0.04887,0.08002,0.05311,0.04617,0.06785,0.0624,0.05485,0.04325,0.05516,0.044,0.05982,0.36992,0.10326,0.07172,0.05002,0.19166,0.06638,0.05184,0.05321,0.04854,0.08671,0.05888,0.0709,0.05479,0.0739,0.06016,0.04547,0.08432,0.60677,0.13018,0.06401,0.067,0.04677,0.04274,0.06309,0.04953,0.04451,0.05131,0.04988,0.08062,0.05398,0.0478,0.04396,0.04839,0.04683,0.05107,0.05191,0.05567,0.0355,0.07082,0.04047,0.04516,0.06612,0.15153,0.06108,0.22596,0.06439,0.04516,0.05618,0.04168,0.04601,0.05059,0.03707,0.04693,0.05626,0.05742,0.04949,0.06787,0.04232,0.04379,0.0641,0.0544,0.15415,0.06311,0.31644,0.29604,0.0603,0.05839,0.05291,0.15116,0.07833,0.05943,0.5476,1.04926,0.58113,0.18304,1.0307,0.97867,2.33488,0.5805,0.56203,0.50712,0.42917,0.21686,0.14705,0.9276,0.5435,0.22419,0.4013,0.30127,0.09672,0.07257,0.05719,0.07409,0.68632,0.15201,0.07526,0.08809,0.10311,0.44184,0.11049,0.06617,0.47601,0.34366,0.10549,0.09766,0.09034,0.05205,0.07844,0.06132,0.04973,0.05813,0.05796,0.15525,0.16278,0.08533,0.05167,0.05374,0.06209,0.04917,0.04663,0.05487,0.05398,0.04504,0.04592,0.04914,0.08111,0.16696,0.13385,0.07607,0.06935,0.06238,0.05122,0.04797,0.09259,0.04589,0.0629,0.05627,0.05385,0.04915,0.05716,0.2281,0.14087,0.05139,0.06287,0.07144,0.05767,0.05471,0.05281,0.04517,0.04756,0.07378,0.05083,0.05002,0.04496,0.0476,0.05409,0.05989,0.05536,0.04709,0.06316,0.04685,0.0522,0.09917,0.04627,0.07221,0.05425,0.05639,0.05585,0.05936,0.04065,0.04849,0.0456,0.22713,0.06413,0.05043,0.06758,0.20936,0.06404,0.05843,0.06031,0.05756,0.05473,0.06298
