,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.08967,0.11569,0.0,0.0,0.07476,0.13971,0.07494,0.0,0.0,0.11193,0.06245,0.0,0.15226,0.0,0.16023,0.0,0.09829,0.0,0.0,0.0,0.0,0.0,0.06809,0.0487,0.06158,0.0,0.0,0.0,0.05332,0.0,0.0,0.08931,0.0,0.12731,0.0,0.10899,0.07751,0.18476,0.0,0.16475,0.09962,0.0,0.11664,0.09203,0.19401,0.0,0.07559,0.0,0.0,0.0,0.0,0.0,0.0,0.22343,0.07735,0.10015,0.0,0.0,0.07203,0.0,0.0,0.09289,0.0,0.05846,0.08898,0.0,0.08261,0.0,0.0,0.0,0.0,0.0,0.10288,0.0,0.0,0.04777,0.05749,0.0,0.0,0.0,0.46372,0.0,0.0,0.05321,0.20489,0.08212,0.06883,0.0,0.0,0.0,0.0,0.0,0.0,0.0689,0.0,0.38153,0.06749,0.13584,0.07132,0.0,0.07767,0.0,0.0,0.04802,0.10408,0.0,0.0,0.0,0.0,0.0,0.0,0.08117,0.13445,0.0,0.09277,0.05233,0.0,0.0896,0.08561,0.12737,0.0,0.0,0.08519,0.12734,0.0,0.0,0.0,0.12037,0.0,0.0,0.0,0.0,0.0,0.0,0.26322,0.12387,0.41274,0.0,0.0,0.0,0.0,0.0,0.10702,0.15199,0.0,0.0,0.20875,0.0,0.11331,0.09747,0.0,0.0,0.24084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09852,0.0,0.06107,0.08269,0.0,0.1012,0.14194,0.0,0.1413,0.0,0.17995,0.07394,0.0,0.08479,0.0,0.0,0.07579,0.0,0.13483,0.0,0.09318,0.0,0.13961,0.15853,0.10069,0.07249,0.0,0.0,0.14527,0.0,0.0,0.17564,0.0,0.3153,0.0,0.08884,0.19799,0.0,0.0,0.0,0.0,0.07007,0.0,0.0,0.0,0.05382,0.0,0.11193,0.0,0.16695,0.0,0.0,0.06684,0.0,0.0,0.07367,0.0,0.0,0.0,0.10583,0.08776,0.0,0.16176,0.0,0.08527,0.0,0.11164,0.0,0.0,0.07679,0.0,0.0,0.06164,0.0,0.06629,0.11006
-4.75,0.0,0.06383,0.08455,0.12259,0.0,0.0,0.07183,0.13971,0.07508,0.0,0.0,0.11193,0.06245,0.0,0.15226,0.0,0.16023,0.0,0.09829,0.0,0.0,0.0,0.0,0.0,0.06809,0.0487,0.06158,0.0,0.0,0.0,0.05332,0.0,0.0,0.08931,0.07288,0.12525,0.0,0.10483,0.07909,0.18476,0.0,0.14554,0.09238,0.07607,0.11664,0.09203,0.19401,0.0,0.06571,0.0,0.0,0.0,0.0,0.0,0.0,0.20965,0.07132,0.10326,0.0,0.0,0.07203,0.0,0.0,0.09289,0.0,0.05319,0.08898,0.0,0.08261,0.0,0.06193,0.0,0.0,0.0,0.10288,0.08862,0.0,0.04684,0.05749,0.0,0.0,0.0,0.43823,0.0,0.0,0.05321,0.20489,0.08212,0.06883,0.0,0.0,0.0,0.0,0.0,0.0,0.06024,0.0,0.38153,0.06749,0.13584,0.07132,0.0,0.07767,0.0,0.0,0.04802,0.10408,0.0,0.0,0.0,0.0,0.0,0.0,0.08117,0.13445,0.22268,0.09277,0.0495,0.55915,0.08629,0.08561,0.10009,0.0,0.0,0.08462,0.123,0.0,0.0,0.11948,0.11045,0.0,0.0,0.0,0.0,0.0,0.0,0.24617,0.12071,0.37616,0.0,0.0,0.0,0.22711,0.0,0.10702,0.13594,0.0,0.0,0.20119,0.0,0.11331,0.08341,0.0,0.0,0.22387,0.0,0.0,0.0,0.16445,0.0,0.0,0.0,0.09852,0.0,0.06503,0.08269,0.0,0.09749,0.14194,0.0,0.13461,0.0,0.16084,0.07394,0.0,0.08479,0.0,0.0,0.07579,0.10932,0.13291,0.0,0.10757,0.0,0.10947,0.1426,0.09412,0.07249,0.0,0.0,0.14527,0.0,0.0,0.17564,0.0,0.29745,0.0,0.08884,0.19799,0.15723,0.0,0.0,0.08438,0.06191,0.0,0.0,0.0,0.05382,0.0,0.11193,0.0,0.16695,0.0,0.0,0.06387,0.0,0.06468,0.07367,0.0,0.0,0.0,0.10583,0.08776,0.0,0.16176,0.0,0.06591,0.0,0.11459,0.0,0.0,0.07679,0.0,0.0,0.06164,0.0,0.06629,0.11006
-4.5,0.05174,0.06383,0.08171,0.12259,0.05306,0.0,0.07183,0.13971,0.07077,0.0,0.08022,0.11193,0.06245,0.0,0.15226,0.0,0.11629,0.10754,0.08557,0.0,0.0,0.0,0.0,0.0,0.06809,0.04015,0.05589,0.0,0.0,0.0,0.05332,0.0,0.0,0.08601,0.07771,0.12318,0.0,0.10423,0.0775,0.18476,0.0,0.14554,0.08546,0.07911,0.10884,0.09203,0.18183,0.0,0.06721,0.0,0.0,0.0,0.0,0.06637,0.0,0.20965,0.07132,0.10326,0.0,0.0,0.07045,0.0,0.0,0.0978,0.0,0.05319,0.08352,0.0,0.08075,0.0,0.06193,0.0,0.0,0.0,0.10288,0.07929,0.0,0.05282,0.05749,0.0,0.0,0.0,0.45498,0.0,0.0,0.0534,0.16548,0.08212,0.06883,0.0,0.0,0.0,0.0,0.0,0.0,0.06024,0.12181,0.33962,0.06749,0.13584,0.06374,0.0,0.07767,0.0,0.0,0.04485,0.10056,0.0,0.0,0.0,0.0,0.0,0.0,0.08117,0.12029,0.22268,0.09062,0.0463,0.53976,0.08629,0.08561,0.10009,0.0,0.0,0.07911,0.10967,0.0,0.0,0.11296,0.11045,0.0,0.0,0.0,0.0,0.0,0.0,0.2311,0.10991,0.38098,0.0,0.0,0.26549,0.22711,0.0,0.09315,0.1342,0.0,0.0,0.18606,0.1254,0.11256,0.08341,0.0,0.0,0.21702,0.07336,0.0,0.0,0.16445,0.0,0.09617,0.0512,0.09094,0.0,0.06503,0.08269,0.0,0.09786,0.11747,0.0,0.13657,0.0,0.15374,0.07394,0.0,0.07727,0.07615,0.0,0.07579,0.10932,0.13099,0.0,0.10554,0.1937,0.10827,0.14625,0.08675,0.07249,0.0,0.0,0.14527,0.0,0.0,0.17564,0.0,0.28432,0.0,0.08685,0.18167,0.15723,0.0,0.0,0.08784,0.06191,0.0,0.07242,0.0,0.05059,0.0,0.11193,0.0,0.16695,0.0,0.0,0.06139,0.0,0.06468,0.07367,0.0,0.0,0.0,0.08297,0.07991,0.0,0.16176,0.05578,0.06591,0.0,0.11042,0.61168,0.0,0.06876,0.0,0.0,0.06164,0.05172,0.06629,0.08986
-4.25,0.04969,0.06383,0.08029,0.12259,0.05163,0.0,0.07183,0.13971,0.06374,0.0,0.08022,0.11193,0.05543,0.06212,0.15226,0.06064,0.11629,0.10754,0.08557,0.0,0.0,0.06559,0.0,0.0,0.06809,0.04015,0.05589,0.0,0.0,0.0,0.05332,0.0,0.0,0.07655,0.07771,0.12318,0.0,0.0995,0.0775,0.18476,0.0,0.13942,0.08202,0.07008,0.09656,0.09203,0.17996,0.0,0.06721,0.0,0.08383,0.0,0.0,0.0787,0.0,0.20253,0.0695,0.09675,0.14381,0.0,0.07045,0.0,0.06603,0.08863,0.0817,0.05319,0.08352,0.0,0.06965,0.0,0.06193,0.0,0.0,0.0,0.10288,0.07628,0.0,0.04868,0.05749,0.0,0.0,0.0,0.42886,0.10015,0.0,0.05569,0.15336,0.08212,0.05395,0.0,0.0,0.0,0.04832,0.0,0.0,0.05556,0.12181,0.32279,0.06344,0.13584,0.06374,0.0,0.05365,0.0,0.0,0.04485,0.08908,0.0,0.0,0.0,0.0,0.054,0.0,0.06625,0.11573,0.22268,0.08227,0.0463,0.49833,0.07634,0.07904,0.10431,0.0,0.0,0.07911,0.10649,0.0,0.0,0.10731,0.11045,0.0,2.04627,0.0,0.0,0.0,0.0,0.23315,0.10915,0.35042,0.0,0.0,0.26549,0.22084,0.0,0.08965,0.11757,0.08583,0.0,0.18228,0.1254,0.11394,0.08341,0.10407,0.0,0.20982,0.07336,0.39727,0.0,0.16727,0.13631,0.09617,0.06007,0.08714,0.06299,0.06044,0.08269,0.08869,0.08891,0.10572,0.0,0.1215,0.0,0.1584,0.07665,0.0,0.0681,0.07236,0.0,0.07832,0.10932,0.12581,0.0,0.09656,0.18409,0.10827,0.14625,0.08888,0.07277,0.0,0.0,0.12097,0.0,0.05492,0.10712,0.0,0.25483,0.20417,0.0759,0.17139,0.15723,0.0,0.0,0.08784,0.05556,0.0,0.05317,0.05372,0.05059,0.0,0.09823,0.0,0.16695,0.0,0.0,0.06007,0.0,0.06775,0.07367,0.0,0.0,0.0,0.08297,0.07356,0.0,0.16176,0.05578,0.06591,0.11038,0.10444,0.5826,0.0,0.06405,0.0,0.0,0.05872,0.05172,0.06629,0.08986
-4.0,0.04733,0.06383,0.06937,0.12259,0.04876,0.0,0.06899,0.13971,0.06374,0.0,0.08022,0.11193,0.054,0.06212,0.12682,0.06064,0.10037,0.10754,0.08557,0.0,0.0,0.06559,0.0,0.0,0.06809,0.0373,0.05305,0.0,0.0,0.0,0.05332,0.1243,0.0,0.07477,0.07771,0.12318,0.0,0.09444,0.07124,0.18476,0.3279,0.12936,0.08001,0.07008,0.09211,0.08595,0.16758,0.0,0.06721,0.0,0.08383,0.04747,0.0,0.06962,0.0,0.17975,0.06789,0.10013,0.13452,0.0,0.06128,0.052,0.07671,0.08863,0.0817,0.05319,0.08352,0.0444,0.06633,0.0,0.05768,0.0,0.0,0.0,0.08776,0.07628,0.0,0.04643,0.05749,0.0,0.0,0.0,0.43045,0.10015,0.05245,0.05569,0.15033,0.06781,0.05093,0.0,0.0,0.0,0.04528,0.0,0.0,0.05166,0.12181,0.31334,0.06344,0.11517,0.05708,0.0,0.05365,0.0,0.0,0.04485,0.08144,0.0,0.0,0.0,0.05609,0.054,0.0,0.06253,0.11573,0.19201,0.07978,0.0463,0.48123,0.07506,0.07904,0.1032,0.0,0.0,0.07613,0.10381,0.0,0.0,0.10724,0.10519,0.0,1.97552,0.0,0.0,0.0,0.0,0.22599,0.10309,0.32243,0.0,0.0,0.26549,0.20351,0.0,0.07991,0.11504,0.08583,0.0,0.17159,0.1112,0.10566,0.08279,0.0985,0.0,0.19279,0.07336,0.37424,0.0,0.16234,0.13631,0.08546,0.05613,0.08714,0.06299,0.05868,0.08269,0.08532,0.08702,0.09685,0.0,0.12761,0.0,0.15537,0.06672,0.0,0.0681,0.06857,0.0,0.07249,0.10932,0.11549,0.0,0.09656,0.17587,0.10827,0.11825,0.08306,0.07076,0.0,0.08222,0.11156,0.0,0.05492,0.10712,0.0,0.24577,0.19379,0.07169,0.17044,0.15723,0.14322,0.0,0.08784,0.05228,0.0,0.05182,0.05372,0.04737,0.0,0.09405,0.05721,0.16695,0.0,0.0,0.05595,0.0,0.06308,0.07367,0.0,0.0,0.0,0.09517,0.07377,0.0,0.11337,0.0535,0.05804,0.11038,0.09724,0.55353,0.0,0.06405,0.0,0.06595,0.05872,0.05389,0.06629,0.08986
-3.75,0.04818,0.05379,0.06795,0.11007,0.0469,0.05007,0.06333,0.13971,0.06575,0.0,0.06866,0.11193,0.054,0.05958,0.12682,0.05189,0.0918,0.10754,0.07124,0.0,0.07432,0.06559,0.0,0.0,0.06292,0.03445,0.04942,0.0,0.0,0.0,0.04622,0.1243,0.0,0.07271,0.07505,0.1182,0.0,0.09209,0.07003,0.12736,0.29841,0.12936,0.07426,0.06991,0.0889,0.07211,0.1636,0.0,0.06721,0.0,0.08383,0.05066,0.04785,0.06962,0.04658,0.17468,0.06567,0.09363,0.13452,0.14092,0.06331,0.05178,0.06325,0.07855,0.0817,0.047,0.07421,0.0444,0.06679,0.0,0.05768,0.0,0.0,0.0,0.07738,0.07148,0.0,0.04559,0.05749,0.0,0.05367,0.0,0.41318,0.08532,0.05343,0.0514,0.15033,0.05337,0.05093,0.0417,0.0,0.0,0.04528,0.0,0.03938,0.04561,0.12181,0.31334,0.06344,0.10466,0.05359,0.08336,0.04989,0.04232,0.0,0.04485,0.08067,0.07774,0.05826,0.0,0.05301,0.054,0.0,0.05887,0.10449,0.19201,0.07277,0.04309,0.4404,0.07109,0.07904,0.1032,0.05545,0.0,0.0681,0.09544,0.90864,1.52384,0.10609,0.09391,0.0,1.87421,0.0,0.0,0.0,0.0,0.21447,0.10763,0.32243,0.0,0.19804,0.26111,0.18166,0.0,0.07491,0.10865,0.08583,0.0,0.16716,0.10336,0.10116,0.07458,0.09556,0.38105,0.18258,0.07631,0.35938,0.50256,0.13872,0.13631,0.08357,0.0499,0.07956,0.05454,0.05491,0.06422,0.08159,0.08102,0.09782,0.0,0.11809,0.0,0.14954,0.06455,0.04909,0.06044,0.06857,0.0,0.06139,0.10932,0.11805,0.0,0.08745,0.17457,0.10103,0.11947,0.08218,0.07076,0.06895,0.08222,0.1053,0.0,0.05097,0.10712,0.63383,0.23849,0.1818,0.06819,0.16222,0.15723,0.12963,0.06022,0.07366,0.05228,0.04782,0.04686,0.0517,0.04737,0.07111,0.08241,0.06057,0.11579,0.0,0.0,0.05358,0.0,0.06308,0.07367,0.0,0.0,0.0,0.09125,0.07245,0.0,0.11337,0.0535,0.05762,0.11038,0.09821,0.52034,0.0,0.06355,0.0,0.07079,0.05076,0.0504,0.06629,0.08141
-3.5,0.04641,0.05135,0.06889,0.09589,0.0454,0.0472,0.05982,0.08686,0.0596,0.0,0.06923,0.11193,0.04807,0.05818,0.12682,0.05189,0.07969,0.10754,0.07124,0.0,0.07432,0.06559,0.0475,0.0,0.05603,0.03445,0.048,0.0,0.0,0.0,0.04622,0.1243,0.40486,0.06702,0.07505,0.1182,0.81799,0.08241,0.08904,0.12736,0.28406,0.11253,0.07434,0.065,0.08323,0.06703,0.14807,0.0,0.06421,0.05402,0.06972,0.04645,0.04485,0.06312,0.04521,0.17468,0.06184,0.09148,0.13452,0.14092,0.05828,0.05075,0.06172,0.07855,0.07503,0.0476,0.06639,0.04182,0.059,0.06108,0.05768,0.0,0.44874,0.0,0.07583,0.06847,0.0,0.0455,0.04849,0.04082,0.0504,0.0,0.40383,0.08998,0.05521,0.0471,0.12445,0.05582,0.04791,0.03982,0.0,0.04414,0.04528,0.0,0.03428,0.04485,0.089,0.31334,0.06344,0.0984,0.04916,0.08459,0.04417,0.04232,0.0,0.04485,0.08014,0.07774,0.05826,0.0,0.05301,0.05299,0.0485,0.05661,0.09054,0.16939,0.0716,0.04083,0.44294,0.07109,0.06169,0.09317,0.05212,0.0,0.06271,0.09261,0.84453,1.42362,0.09967,0.09113,0.0,1.68437,0.0,0.0,0.0,0.0,0.20726,0.10422,0.28334,0.0,0.19804,0.26585,0.19656,0.59254,0.07515,0.10271,0.09309,0.39707,0.16677,0.10112,0.09648,0.07552,0.09136,0.34949,0.17905,0.06505,0.34783,0.51144,0.12847,0.13631,0.08357,0.04838,0.07956,0.05259,0.05256,0.06157,0.07972,0.07683,0.07693,0.10606,0.09853,0.0,0.13183,0.06605,0.04909,0.05915,0.06857,0.0,0.05875,0.10932,0.10142,0.0,0.0739,0.17483,0.09552,0.10686,0.08353,0.06283,0.06654,0.07427,0.1053,0.0592,0.05097,0.08348,0.63854,0.22155,0.1806,0.06083,0.1538,0.1458,0.13427,0.06025,0.06425,0.04839,0.05067,0.0455,0.04927,0.04506,0.06911,0.08051,0.06091,0.11579,0.04205,0.0,0.05175,0.04437,0.06308,0.07367,0.0,0.0,0.0,0.06632,0.06509,0.0,0.11337,0.05151,0.05415,0.10243,0.09451,0.48462,0.0,0.06091,0.0,0.06197,0.04877,0.04675,0.06629,0.08927
-3.25,0.04446,0.04368,0.0656,0.0818,0.0441,0.04522,0.05484,0.07254,0.05616,0.0,0.07329,0.08148,0.04534,0.05792,0.12193,0.05189,0.07141,0.10754,0.06416,0.0,0.0657,0.0592,0.0475,0.0,0.05349,0.03266,0.04658,0.0,0.0,0.0,0.04622,0.1243,0.40486,0.06413,0.06828,0.12074,0.75974,0.07655,0.08073,0.12736,0.27267,0.09977,0.06826,0.06006,0.07741,0.05686,0.14933,0.0,0.06011,0.04987,0.05941,0.0457,0.04516,0.061,0.04434,0.15682,0.05568,0.0824,0.11413,0.12862,0.05477,0.05096,0.06096,0.06512,0.06772,0.04218,0.06831,0.04048,0.05423,0.06017,0.05446,0.0,0.42316,0.06777,0.07202,0.05024,0.0,0.04469,0.04849,0.03856,0.04889,0.0,0.3524,0.08998,0.05435,0.04438,0.11379,0.05481,0.05038,0.03631,0.0,0.04414,0.04528,0.05131,0.03205,0.04409,0.07946,0.31334,0.05307,0.09046,0.04925,0.07785,0.04417,0.04129,0.05613,0.04485,0.07937,0.06744,0.05299,0.04438,0.04684,0.04912,0.0485,0.05756,0.08501,0.14754,0.07127,0.04011,0.40159,0.06616,0.05676,0.07099,0.04775,0.0,0.06086,0.08556,0.7624,1.35819,0.0935,0.08789,0.0,1.55518,0.8548,0.0,0.0,0.0,0.19342,0.09423,0.26855,0.0,0.20444,0.20581,0.18585,0.53393,0.07426,0.09445,0.09191,0.38916,0.15515,0.09821,0.09335,0.07115,0.08695,0.32342,0.16802,0.05067,0.32855,0.41119,0.12561,0.13631,0.07979,0.04698,0.07046,0.05259,0.04783,0.05762,0.07785,0.07213,0.07276,0.09816,0.0967,0.0,0.1269,0.05504,0.04491,0.05915,0.05683,0.0,0.05603,0.08171,0.09721,0.49714,0.07332,0.15768,0.08457,0.10243,0.07822,0.05929,0.06104,0.07427,0.1053,0.05512,0.04718,0.07265,0.58777,0.19812,0.16466,0.05619,0.14124,0.1458,0.11901,0.05944,0.06283,0.04354,0.04783,0.04434,0.04757,0.04867,0.06456,0.07616,0.0587,0.11101,0.04045,0.0,0.0499,0.04176,0.05839,0.05702,0.04081,0.0,0.0,0.06193,0.06286,0.0,0.09378,0.05151,0.05315,0.09546,0.09433,0.44316,0.08278,0.05471,0.0,0.06275,0.04763,0.04446,0.06629,0.08801
-3.0,0.04184,0.04274,0.06425,0.0818,0.04295,0.04329,0.04953,0.06791,0.04799,0.0,0.05971,0.08148,0.04349,0.05373,0.11592,0.04705,0.06056,0.09639,0.05523,0.0,0.06238,0.056,0.04384,0.0,0.05162,0.03148,0.04658,0.05136,0.0,0.0,0.04535,0.1243,0.34425,0.05886,0.05882,0.11403,0.71999,0.07231,0.07351,0.08292,0.25841,0.09343,0.06464,0.05908,0.07608,0.05482,0.13871,0.0,0.05064,0.04402,0.05989,0.04421,0.04361,0.05405,0.04395,0.13403,0.05215,0.07113,0.10187,0.11658,0.05032,0.04808,0.05503,0.05806,0.06693,0.04063,0.06161,0.04052,0.05338,0.05824,0.05108,0.0,0.42316,0.06072,0.06598,0.04922,0.07188,0.04057,0.04315,0.03781,0.05069,0.0,0.34993,0.08998,0.06119,0.0397,0.1015,0.05179,0.047,0.03422,0.06553,0.03989,0.04528,0.04984,0.03023,0.04199,0.07368,0.32415,0.04784,0.0866,0.04833,0.07785,0.04068,0.03649,0.05733,0.04187,0.07295,0.06538,0.05078,0.04592,0.04387,0.04507,0.04865,0.05111,0.07783,0.14103,0.07057,0.03853,0.3631,0.06385,0.05486,0.06485,0.04706,0.0,0.05541,0.08057,0.7096,1.2252,0.08974,0.08315,0.0,1.55014,0.83878,0.72509,0.69931,0.0,0.18648,0.09367,0.2724,0.0,0.16135,0.20214,0.17179,0.48605,0.0712,0.08848,0.08358,0.35028,0.14028,0.094,0.09212,0.06532,0.08483,0.30769,0.15722,0.0497,0.29178,0.38222,0.11625,0.13631,0.07601,0.04478,0.0643,0.04543,0.0436,0.04968,0.07164,0.07005,0.0755,0.07879,0.08501,0.11119,0.12603,0.05105,0.04491,0.0566,0.05424,0.04232,0.04911,0.07139,0.09194,0.479,0.06638,0.1543,0.08176,0.09179,0.06847,0.05779,0.06028,0.06235,0.09753,0.05373,0.04264,0.05536,0.52567,0.19275,0.15764,0.05238,0.13199,0.1458,0.10692,0.06025,0.06148,0.04265,0.04271,0.04254,0.04757,0.04867,0.06466,0.07535,0.05304,0.08893,0.03669,0.0,0.0499,0.03866,0.05191,0.04653,0.03996,0.0,0.05971,0.05485,0.05753,0.0,0.09378,0.04927,0.05063,0.09495,0.08359,0.40782,0.08247,0.05022,0.04832,0.05706,0.04671,0.04023,0.05427,0.08193
-2.75,0.03956,0.04053,0.06051,0.07678,0.0393,0.04354,0.04643,0.06144,0.04484,0.05689,0.05591,0.08148,0.04242,0.05124,0.11522,0.04376,0.04238,0.08073,0.05311,0.04263,0.06097,0.05402,0.04063,0.0,0.05102,0.0302,0.04373,0.04898,0.0329,0.04295,0.0411,0.09104,0.31573,0.05406,0.05419,0.10547,0.6617,0.06905,0.06456,0.07647,0.23325,0.08553,0.06028,0.05652,0.07369,0.05353,0.13678,0.0,0.04548,0.03957,0.05594,0.04318,0.04014,0.05275,0.04308,0.14036,0.04657,0.0698,0.09767,0.11493,0.04721,0.04435,0.04667,0.05805,0.06197,0.03842,0.05847,0.03801,0.04861,0.05464,0.04694,0.0,0.35455,0.05474,0.06213,0.0465,0.07037,0.03663,0.03348,0.03804,0.05027,0.03527,0.27444,0.08998,0.05537,0.03749,0.09967,0.04742,0.04597,0.03283,0.05422,0.03682,0.03847,0.04999,0.02804,0.03829,0.06213,0.25925,0.05174,0.08375,0.04427,0.05701,0.03637,0.03529,0.05607,0.03915,0.07112,0.06199,0.04533,0.04437,0.03991,0.04066,0.0394,0.04815,0.07281,0.12616,0.06364,0.03426,0.34157,0.05753,0.05511,0.05957,0.04557,0.0,0.05193,0.07412,0.67263,1.13847,0.08346,0.08101,0.0,1.44965,0.77912,0.69296,0.68,0.40979,0.16222,0.08542,0.2466,0.0,0.15677,0.18449,0.15651,0.45688,0.06658,0.08183,0.0671,0.34055,0.13132,0.08523,0.08123,0.05901,0.07872,0.28792,0.14843,0.05269,0.27419,0.34859,0.11221,0.09325,0.06894,0.04413,0.05915,0.04417,0.03849,0.04395,0.06452,0.06488,0.06507,0.07639,0.08078,0.10728,0.12726,0.04784,0.04254,0.0496,0.0497,0.04162,0.04336,0.06699,0.08887,0.4289,0.06439,0.13734,0.07744,0.08244,0.06001,0.05051,0.05809,0.05838,0.0818,0.05104,0.04463,0.04667,0.46289,0.17066,0.15905,0.04743,0.126,0.13951,0.09285,0.05301,0.05927,0.04096,0.04057,0.03979,0.04213,0.04105,0.06158,0.07267,0.04864,0.08893,0.03524,0.11845,0.04694,0.03851,0.04742,0.04224,0.0379,0.0,0.05971,0.05072,0.05416,0.06444,0.07119,0.04418,0.04775,0.09266,0.07721,0.37123,0.0766,0.04634,0.04671,0.05938,0.04546,0.03786,0.04516,0.07478
