,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.01612,1.25648,0.0,0.0,0.0,0.0,0.02726,0.0,20.64333,0.59418,0.0,3.54439,0.0,0.11992,0.01549,0.0,0.41106,0.0,0.0,0.0,0.0,5.54275,0.0,0.88022,0.0,0.22148,0.0,0.0,0.0,0.0,2.70183,1.49687,0.72893,0.0,1.75856,1.29166,36.56963,0.8606,1.26027,1.64918,0.55111,1.33941,0.15139,2.27518,0.0,0.0,0.23381,0.12158,0.0,0.0,0.05854,8.28261,0.0,5.10668,0.3684,0.0,0.0,2.22272,0.0,0.0,0.68099,0.0,0.0,0.47908,0.0,0.0,0.05999,0.0,0.0,1.26719,2.45458,1.9297,0.0,45.49849,0.0,0.0,0.0,0.0,0.13595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63479,0.38798,0.0,0.07999,0.0,2.57227,0.0,2.14386,0.0,0.05342,0.0389,0.15795,0.0,0.0,0.0,0.0,1.4056,0.0,0.10421,0.01097,0.0,0.60822,0.37514,1.02011,0.0,0.0,3.94866,0.06857,0.30542,0.17475,2.29783,3.13728,0.0,6.93173,10.35811,2.09127,1.12643,0.0,0.0,23.73679,1.34343,6.78898,8.16253,3.02055,1.07399,0.0,23.45751,4.98043,3.59078,3.38025,9.38379,0.0,2.70346,0.32637,1.06065,0.0,1.3665,0.0,0.17627,0.13247,6.73942,0.18263,0.0,6.76153,5.70833,0.09174,1.39587,0.0,0.0,0.01082,0.0,0.49663,0.0,0.0,6.50868,17.47062,1.99191,0.0,0.0,0.61332,2.05801,0.14627,0.03408,0.0,2.9996,0.0,0.0,1.99635,0.0,0.93729,0.7145,0.94889,0.0491,0.0,0.08989,0.0,0.0,0.0,0.0,0.0,0.0,0.2301,7.83351,3.18847,0.1195,2.7542,0.0,1.11718,0.0,0.18874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12809,0.0,0.23979,0.81064,0.0,0.0,0.0,0.0,0.03564,0.0005,0.06679,0.0,0.6838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86443,0.89737,0.0,0.0,0.41574,0.0,1.00084
-4.75,0.0,0.0,0.01612,4.26201,0.64164,0.0,0.0,0.0,1.77287,0.0,20.64333,0.62852,0.0,4.63465,0.0,0.11992,0.09416,0.0,0.41106,0.0,0.0,0.0,0.0,5.56564,0.0,0.56385,0.0,0.22148,0.0,0.0,0.0,0.0,2.40164,1.49688,0.6956,0.0,1.75856,1.27096,36.56967,1.58183,1.26552,2.18531,0.58424,3.96099,0.21652,2.27518,0.0,0.0,0.18708,0.12159,0.0,0.0,0.05854,8.28261,0.0,5.10668,0.3684,0.0,0.0,2.23516,0.14126,0.81964,0.68099,0.0,0.0,0.2472,0.0,0.0,0.05999,0.0,0.0,1.014,2.82569,1.93818,0.0,45.58182,0.0,0.0,0.0,0.0,0.13595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63479,0.38798,0.0,0.07999,0.0,3.82062,0.0,2.14386,0.0,0.05342,0.0389,0.15795,0.0,0.0,0.0,0.12159,1.4056,0.0,0.10421,36.35037,0.0,0.6881,0.38033,1.28885,0.0,0.0,3.56308,0.07992,0.30542,0.17475,2.05081,2.71432,0.0,6.93174,10.6901,2.27894,1.4038,6.30441,0.0,23.73679,6.54818,6.9159,6.76902,3.44957,1.07399,1.54497,21.64112,5.93863,3.93581,4.46089,9.72161,0.0,2.72142,0.32637,1.06065,0.0,1.55496,0.0,0.17627,0.13247,6.79526,0.33012,0.0,8.20894,5.82371,0.10454,1.39587,0.0,0.0,0.01082,0.0,2.17567,0.0,0.0,14.75964,17.48743,1.81095,0.0,0.0,0.61332,2.05801,0.14627,0.03408,0.0,1.49984,0.0,0.0,1.99635,6.38897,0.93729,0.76247,0.97523,0.06916,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.2301,7.3901,3.36012,0.1195,2.7542,0.0,1.11718,0.0,0.15229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12809,0.0,0.2398,0.81064,0.0,0.0,0.0,0.0,0.03564,0.0005,0.06679,0.0,0.6838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97316,0.89737,0.35176,8.87411,26.52421,0.0,1.02822
-4.5,0.0,0.0,0.02084,4.80538,3.76214,0.0,1.34838,0.03693,1.77287,0.0,20.64333,7.45282,0.0,4.81369,0.0,0.11992,0.09416,6.83153,0.41106,0.0,0.0,0.0,0.0,5.56564,0.0,0.5811,0.0,2.90431,0.0,0.0,0.0,0.0,2.12782,1.49688,0.59848,0.09848,1.75856,1.34368,18.5871,1.62948,1.26555,1.5461,0.60238,4.07294,0.247,2.27518,0.0,0.0,0.18709,1.62749,0.0,0.0,0.05854,8.28261,8.44808,4.46488,0.3684,0.0,0.0,2.30218,0.14126,0.83611,2.28135,0.0,0.17826,0.2472,0.0,46.42317,0.05999,0.0,0.0,0.85668,2.76615,1.99769,0.0,45.58182,0.0,0.0,0.0,0.0,0.13595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42877,0.0,0.0,0.0,0.0,2.63479,0.38798,0.0,0.07999,0.0,3.85015,0.0,1.47561,0.0,0.05342,0.0389,0.15795,0.0,0.0,0.0,0.1216,1.4056,0.0,0.10421,36.35037,0.0,1.20508,0.43183,1.28885,0.0,0.0,4.93933,0.07993,0.30542,0.17475,2.05081,4.42936,0.0,6.98116,10.69014,2.58881,1.29893,10.12711,0.0,23.73679,18.40991,7.01183,7.44917,3.54684,1.43724,0.79323,18.97499,5.93863,3.74912,5.03902,9.15765,0.06738,2.72142,0.32637,1.06065,13.40571,1.3542,0.67971,0.84548,0.13247,6.30507,0.34467,0.0,7.63947,5.50369,0.13902,1.44757,0.15816,0.0,0.01082,0.0,2.17567,0.0,5.19582,12.01786,17.53609,2.0371,0.0,0.0,0.61332,2.05801,0.14627,10.58944,0.0,1.29735,0.0,0.48204,1.99635,6.78519,0.9373,0.76247,0.97523,0.08669,0.0,0.16358,0.0,0.0,0.0,0.0,0.0,16.36724,0.2301,7.58252,3.12523,0.1195,2.7542,0.0,0.90976,11.35558,0.15229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12809,0.0,0.2398,0.81064,0.0,0.0,0.0,0.0,0.03564,0.0005,0.06679,0.17511,0.6838,0.0,0.0,0.0,0.0,0.0,3.67302,0.0,2.09682,0.89737,0.35176,6.02342,26.52421,0.0,13.78441
-4.25,0.0,0.0,0.02084,3.63021,3.76214,0.0,0.68823,0.03694,1.48035,0.0,21.05604,7.45282,0.0,4.35495,0.0,0.11992,0.09417,6.90482,0.41106,0.0,0.0,24.62937,0.0,10.71549,0.0,0.60234,0.0,2.90431,46.2146,0.0,0.0,0.0,1.7325,4.02649,0.94006,0.09848,1.75856,1.20291,18.5871,2.42762,1.0489,2.30344,0.55842,4.10002,0.247,2.27518,0.0,0.0,0.18709,5.46923,5.39967,0.0,0.05854,5.87848,8.44808,4.53418,0.3684,0.0,0.0,2.1345,0.14126,0.83611,6.37564,0.13512,0.17826,4.14594,0.0,46.42318,0.05999,0.08793,0.0,0.94369,2.97156,2.04441,0.0,45.58182,0.0,0.0,0.0,0.0,0.13595,0.0,0.0,0.0,23.3281,0.0,0.0,0.0,17.42877,0.0,0.0,0.0,0.0,2.72299,5.5787,0.0,0.07999,0.0,3.85015,0.0,1.47561,0.0,0.05342,0.0389,0.15795,0.0,0.0,0.0,0.20177,1.4056,0.0,0.10421,36.35037,2.69761,5.99581,0.43183,1.12775,0.0,0.0,4.19329,0.07993,0.30542,0.17475,1.91126,4.96382,0.0,7.07745,12.94788,2.73384,1.72584,10.16578,0.0,14.70789,19.84988,7.34284,7.61927,3.21786,1.43724,0.85957,19.52089,6.51711,3.80731,7.4179,7.79653,0.06738,2.72142,0.75915,3.36909,13.52029,2.16882,0.77477,0.87311,0.13247,6.8205,0.32158,0.0,9.28821,5.96719,0.13902,0.82243,0.15816,0.0,0.01082,0.0,2.17567,0.0,44.93761,9.42029,19.23983,1.83759,0.0,0.0,0.61332,3.15286,0.14627,6.48379,0.0,1.04982,0.0,0.49796,2.34044,6.85849,1.08731,0.77796,1.17887,0.08669,0.0,0.38403,0.0,0.0,0.0,0.0,0.0,16.36724,0.2301,6.58532,3.46345,0.1195,2.7542,0.0,0.62288,11.35558,0.15229,0.0,0.0,0.0,0.0,0.0,2.41708,0.0,0.0,0.12809,1.96573,0.2398,0.81064,0.0,2.54523,0.0,0.0,0.03564,11.66619,0.0668,0.17511,0.77298,0.0,0.0,0.0,0.0,0.0,3.84685,0.0,2.88638,0.89737,0.35176,3.64541,20.16546,0.0,13.78441
-4.0,0.0,0.0,0.0644,3.64871,3.76214,0.0,0.78736,0.03694,1.48035,22.79704,21.65011,6.50201,0.0,4.45473,0.29351,0.11992,3.23554,6.90482,0.41106,0.0,0.0,41.44865,0.0,10.71549,0.0,0.60234,0.0,6.85028,23.4124,0.0,0.0,0.0,1.80899,3.32506,1.03511,0.09848,1.76392,1.16779,11.33718,7.25083,1.21506,1.84254,0.5893,4.50637,0.24706,1.40242,0.0,0.0,3.87575,6.78146,12.49091,108.62631,12.20363,9.30936,6.14796,4.6226,1.8361,6.01036,0.0,2.09338,0.14126,1.90038,5.75041,0.13512,1.56183,3.48109,0.0,46.42318,0.05999,0.27523,0.0,1.22962,2.67102,2.04441,0.0,45.58182,0.0,0.0,0.0,0.0,0.06805,0.0,0.0,0.0,15.60221,0.0,53.61969,41.28469,17.42877,64.64558,0.0,0.0,0.0,2.72299,5.5787,0.0,0.07999,0.0,3.41736,5.69466,7.39018,0.0,0.05342,1.9654,0.15796,0.0,5.19807,0.0,4.38081,1.4056,0.0,0.10422,36.35037,2.69761,4.88952,0.43183,1.13421,0.0,0.11405,3.57726,0.07993,0.30542,0.31854,1.67323,6.76814,10.75186,7.93866,13.94913,2.82061,1.84247,10.79337,15.07206,16.02863,18.49606,9.29674,6.80622,2.83156,1.34398,1.19632,17.18718,4.926,3.6287,6.43141,7.8051,0.06738,2.22991,0.75915,2.28918,11.73627,1.86645,0.77477,1.1038,0.09948,6.16733,0.394,30.48948,9.68585,6.48381,0.13902,0.5483,9.81189,0.01705,0.01082,0.0,2.17567,0.0,45.47103,9.43561,16.74881,1.89136,0.0,0.80959,0.61333,3.17278,0.14627,6.83383,0.0,1.1158,0.0,0.52663,2.34044,9.10961,2.80087,10.36337,0.93011,0.11808,0.0,0.482,0.0,0.0,0.0,0.0,0.0,10.91389,0.2301,5.92772,3.70098,0.14296,2.7542,0.0,0.62288,11.35558,0.15229,0.0,0.0,0.0,0.0,0.0,2.4637,0.0,0.0,6.81924,1.96574,55.48217,0.81065,3.55382,15.13585,0.0,0.0,0.03564,11.66619,0.0668,0.1331,0.79107,0.0,0.0,0.0,0.0,0.0,2.92069,49.13427,1.92426,0.43676,9.52213,26.66528,20.18421,0.0,14.34062
-3.75,0.0,0.0,36.27222,2.6498,2.82647,0.06286,0.83752,0.03694,0.957,28.08027,108.74175,6.50201,54.96685,3.87399,0.29351,0.11992,3.84694,90.20477,1.98185,0.0,0.0,28.46059,0.0,11.18342,0.0,1.73101,0.1238,6.85028,104.60784,0.0,0.0,0.0,1.6684,2.6688,1.86497,25.7545,41.49374,1.21513,8.96533,6.16652,1.27497,1.81801,0.81133,3.91877,3.34221,1.44824,0.0,0.0,12.03339,6.45544,17.28013,90.77113,8.96982,9.31899,5.6707,3.1994,1.84648,14.17382,0.0,2.1656,0.14126,1.90038,5.28278,0.13512,1.56183,3.74313,0.0,46.42318,0.06,0.27523,24.3616,1.71257,2.49156,4.84569,0.0,60.71145,0.0,0.0,0.0,0.0,0.06805,0.0,0.0,23.32138,19.75303,48.10316,18.20704,19.02877,17.42877,64.64558,0.0,1.64908,0.0,1.38833,9.10724,0.0,0.07999,0.0,3.22809,6.02411,4.38931,0.0,0.05342,3.92826,0.15796,0.0,5.19807,0.0,12.62553,1.4056,0.0,1.16632,29.17798,26.37814,4.59814,0.43183,1.12095,0.0,0.37151,3.5865,0.07993,0.24368,0.36757,1.84042,6.90183,10.75191,7.03866,14.84546,2.75594,1.79163,7.03881,15.07219,11.70661,18.67354,9.15248,6.33456,2.54053,1.15583,0.96767,17.3232,4.21894,3.61679,6.51537,6.21561,0.92435,2.08735,5.59852,2.29451,11.86125,1.68949,2.15757,0.84626,2.42423,5.66914,0.64494,30.72189,9.57494,6.35201,0.13902,1.21337,6.74409,0.02745,0.01082,0.0,8.5383,0.0,32.17637,8.14814,14.61503,6.26005,45.75471,0.99561,1.83531,2.72931,0.14627,10.33914,0.0,2.13438,750.48761,0.52663,1.66485,5.2432,2.81403,8.05009,1.19499,0.13122,0.0,1.57691,0.0,0.0,0.0,0.0,0.0,10.92964,0.2301,6.15418,3.3895,2.36255,2.7542,0.0,3.11907,7.72286,0.15229,8.6275,0.0,0.0,0.0,0.0,2.4637,0.0,25.36506,7.08646,1.96574,55.48217,11.09835,3.57576,9.80967,0.0,7.14582,0.03564,9.32253,4.89798,0.12572,0.79107,0.0,0.0,2.94706,0.0,0.0,3.16133,66.75483,3.02175,1.0987,5.2771,24.9328,18.56874,0.0,14.37865
-3.5,0.0,0.0,44.32734,2.66014,2.89598,0.27319,1.7115,12.20679,2.50662,25.22402,50.59605,11.57137,44.48901,3.92969,0.29351,10.28377,7.96807,118.36439,1.54053,83.60457,323.79165,20.62913,0.0,11.25002,3.06406,30.15609,0.1238,14.24595,106.17367,0.0,1.38515,26.54663,1.56737,1.98546,1.67285,20.88336,36.12423,1.16498,7.99717,4.92658,0.96042,1.60243,1.01841,4.75423,3.31715,1.20021,0.0,8.61968,10.18763,8.89994,39.14964,176.43029,7.38095,10.13077,5.82512,3.99291,1.84648,9.88174,11.59858,1.7845,1.13785,1.95594,4.18921,10.6572,1.56183,3.43593,0.0,24.00821,0.06,0.33342,24.63833,1.74861,2.56789,3.20108,0.0,42.58898,0.0,3.92462,0.0,0.03142,0.06805,0.0,0.0,23.32138,21.65814,33.41552,18.20704,16.82221,8.88709,181.66295,0.0,28.19011,0.0,1.38833,6.68949,56.42102,0.56325,0.0,2.89462,6.31841,4.98556,0.03106,0.05342,6.96843,19.02206,0.0,13.87041,0.0,22.08781,70.91187,0.16162,1.18125,38.95521,17.65532,7.81397,0.43183,0.98837,0.0,0.33809,3.73108,0.11214,0.36986,6.02127,1.40519,6.73748,10.50528,6.0628,12.719,2.78355,1.55158,7.05372,9.42446,16.71016,13.82276,9.50535,5.93124,2.38909,1.08275,0.87618,15.7938,5.18988,4.31294,6.72023,10.30856,0.92436,2.66289,9.21946,3.07568,10.56427,2.99606,1.70221,1.25718,3.58294,5.15216,0.56946,23.87238,9.26036,5.96259,0.33789,1.67951,6.77569,0.02745,24.71577,0.0,9.3473,0.0,30.88537,9.37868,14.94099,6.47106,24.69078,0.99561,3.45682,3.06022,0.14627,8.3047,10.69559,2.00234,750.48761,7.46528,10.76265,3.95583,8.48988,6.99594,1.00674,1.00276,0.0,1.59027,0.0,0.0212,0.0,0.0,0.0,6.47146,19.81893,5.441,3.26721,6.37795,4.46543,11.74624,4.2938,19.15086,0.15229,8.6275,0.0,0.04668,0.0,0.0,2.86179,0.0,25.36506,7.08647,1.02476,50.48798,7.44546,3.57576,9.0071,0.0,7.6829,0.03564,9.32253,4.89798,1.8196,11.67934,0.19622,3.27267,5.51495,0.0,0.84032,9.22493,27.7552,3.02873,1.93766,5.3006,20.5832,30.45992,0.0,27.75355
-3.25,8.80757,0.0,44.32734,1.67611,2.2464,0.27319,3.58387,12.43022,2.65939,13.51093,39.48746,12.29078,47.70493,3.22924,0.29351,15.36108,8.20411,180.35069,1.5794,83.60457,407.51247,20.62914,18.80902,9.6975,3.06406,24.47062,0.24957,24.85724,107.09628,20.85849,1.38515,26.54663,1.43211,1.8904,2.20261,13.94951,25.79722,1.18977,8.88588,3.30519,1.27873,1.50769,1.35915,3.26489,3.54767,3.78233,0.0,18.05853,10.23896,7.32061,28.62029,118.95244,14.77434,10.13077,3.5455,3.86444,1.45619,6.00058,10.04402,1.73768,6.7918,8.26928,5.53107,23.02801,1.11219,3.6033,0.52898,13.36474,38.62628,19.02921,18.60301,2.44972,2.54029,2.71267,14.99625,30.61142,67.65246,3.95703,0.0,0.05738,0.06806,0.0,33.84037,23.32138,18.20004,30.33147,18.25956,11.88598,6.21196,121.52087,0.0,44.20412,4.46555,1.38834,6.43391,89.8759,52.46762,0.0,4.85,3.64674,4.10417,3.41093,0.03201,7.1113,15.88423,0.0,23.00623,0.0,25.38126,82.03106,0.15065,1.23876,35.84279,23.70311,6.4884,0.43183,1.21732,0.0,0.29562,3.49765,0.11682,1.11316,7.07317,1.2544,5.80428,9.4224,5.69509,7.94064,2.90093,1.92956,7.35474,14.8925,15.93206,14.03181,9.64123,6.51766,2.17797,1.28072,3.62033,13.69431,9.67503,4.54649,12.84972,8.29513,0.84156,6.12155,19.09454,3.41407,10.89104,2.53862,1.46248,1.02938,3.44036,5.95371,3.08613,17.97469,10.64545,5.37314,0.27204,5.99026,6.80276,0.08695,48.92167,19.98133,7.45885,0.0,29.93599,11.89456,10.46701,5.54169,46.16035,2.05167,13.11564,3.07347,0.62817,6.87852,35.86789,4.02134,750.48774,5.27836,10.06411,3.98293,6.9139,6.57531,2.45134,0.99235,0.0,2.53446,0.0,60.82443,0.0,0.0,0.0,8.47163,19.81893,4.38152,3.14222,10.46715,9.55776,10.37791,3.16389,19.18579,9.78339,8.6275,0.0,0.04668,0.0,0.0,39.80645,17.20688,25.36506,25.78241,1.04288,37.91125,14.02328,7.39007,10.34377,0.09052,20.24343,0.03564,9.62119,17.15426,22.97926,11.71573,0.19622,3.27268,3.86797,118.69485,1.11163,7.99152,20.76023,3.08937,2.36166,4.47529,14.2236,22.75344,89.39834,28.07683
-3.0,16.8602,0.0,92.74764,2.64737,4.71567,29.49642,5.12388,29.73163,2.165,9.13217,39.62692,10.19708,43.08635,2.97778,0.29351,16.28948,7.3486,180.35069,24.285,45.34507,407.51255,20.79632,108.81546,9.64312,7.24588,19.73651,32.93121,26.24756,99.0986,29.50013,1.46371,20.02379,1.68748,1.97857,2.61362,13.40049,18.92014,1.16188,8.15334,3.02357,1.26472,1.72063,1.28859,3.35057,4.47787,4.26249,0.0,23.9409,13.76342,8.58925,24.4731,46.59366,16.97833,13.26342,4.69064,3.78082,3.5726,4.80254,10.65069,1.68437,6.5012,6.03596,4.91528,25.83165,1.14155,4.97225,0.52898,38.36662,50.6562,14.70751,19.83316,2.31997,2.10241,2.733,5.3428,27.34083,59.98056,20.43902,0.0,0.03486,0.06806,169.87875,33.85695,59.38302,14.9217,23.24522,16.8981,10.3027,7.2986,122.02112,80.48662,92.24432,5.34276,1.38834,10.8232,91.43225,28.69194,2.1042,3.5061,3.64674,5.17479,2.97674,0.91179,5.60991,14.8881,428.37906,52.384,0.0,23.47369,62.43954,1.69597,46.02504,37.29685,20.20407,6.17725,13.34457,1.06867,0.0,0.34152,3.3682,0.19939,1.66879,8.11013,18.02273,5.11746,37.54233,5.21979,7.60829,2.87507,1.78783,7.08404,12.69307,12.58683,12.69578,7.93104,6.5545,2.19778,1.50954,4.58645,13.32339,6.57603,15.44357,11.00165,8.50979,0.6114,6.43423,15.05768,5.24468,11.71923,2.50449,1.70933,1.80559,3.31119,5.48623,3.30181,13.60021,11.61725,5.29772,0.45806,17.43949,8.67737,61.53663,32.64427,27.18246,13.23902,2.6105,24.44505,9.01875,7.62639,4.7709,35.56062,30.1039,9.11475,3.85268,3.01695,8.45724,28.73342,4.37931,750.4929,5.38581,7.50349,3.56095,5.41818,8.59375,6.46174,4.09309,0.0,2.23165,0.0,30.83243,0.0,0.0,0.0,11.08011,19.81893,3.71741,2.60687,12.85227,6.49122,11.66317,2.69859,15.36733,8.81173,11.55874,0.0,9.26667,0.0,20.01717,32.48814,14.99698,25.39017,23.46264,6.24338,43.42207,14.7284,10.97524,11.08132,0.09052,22.93633,6.11276,10.45777,24.4791,23.00869,33.90291,81.70819,5.76359,2.75182,147.95545,2.44224,8.53925,22.77786,1.99169,3.71122,4.69034,12.6968,20.15158,89.39834,23.5755
-2.75,14.58328,87.86568,96.40296,2.38142,3.77671,29.49642,4.47315,29.55934,3.02624,8.29624,19.35086,15.16919,42.51978,2.56323,24.06986,19.86438,6.15747,91.2274,19.50937,26.67832,262.02331,21.20494,127.78869,10.86071,38.41906,12.1774,33.81443,14.92488,83.75516,24.18705,10.82442,27.40043,1.7323,4.0756,2.14856,11.83007,15.95632,1.06908,6.55031,3.76467,1.5418,1.46826,3.58132,3.58504,4.00202,6.52228,295.49506,20.82735,12.97574,7.11602,20.42037,35.2646,17.65496,11.6986,3.95979,3.34296,8.65553,3.86251,13.23053,1.7068,8.90383,8.03475,4.69398,23.48394,1.17546,4.80996,1.76184,44.71328,44.55928,11.19439,17.8567,2.80804,1.98485,2.24032,9.87033,32.6126,37.23562,22.1816,130.36759,0.05125,2.63958,730.83624,43.7787,43.69593,12.43296,25.442,18.82669,9.44647,10.4231,70.58104,199.05867,56.23494,4.68975,80.48641,14.45013,140.54997,52.16978,2.00491,3.64911,4.12592,4.44021,2.14283,0.56942,9.46651,13.61334,150.01994,44.09112,15.10936,23.3989,58.65764,1.69779,73.26867,28.2783,14.69569,6.27007,11.68782,1.10013,24.24624,0.46567,3.11506,0.393,4.84488,9.92887,19.0479,4.36014,26.26368,3.81576,7.48672,2.54235,1.89732,6.60112,11.73117,14.13159,10.20576,7.04913,6.45559,2.00982,2.90507,4.22001,13.26217,8.95524,12.83671,13.16098,8.30639,0.63726,6.0939,15.18639,3.9951,10.32615,2.37485,1.36347,1.8173,3.69242,4.67929,3.49547,9.9121,12.15347,5.24024,8.73838,14.48728,11.78921,144.16251,23.94628,26.72685,15.93832,44.61655,18.24373,8.34681,5.45909,4.12727,23.26412,31.10233,11.75812,3.00682,2.7164,8.8705,27.20616,3.91258,750.55537,7.73848,8.15859,3.43842,9.30025,9.60635,6.02465,5.64354,1.58994,2.54975,23.31286,25.32189,25.63259,0.0,0.0,10.48083,63.04552,3.93239,2.26077,10.15407,18.45907,14.05593,3.19461,12.75599,20.19923,9.94924,0.0,9.56503,0.0,18.47957,28.3108,12.58483,18.73039,23.75471,30.94101,30.53123,11.27763,16.98705,8.70652,15.70513,27.29095,4.48418,9.71497,17.54496,17.86246,22.14355,66.08591,15.98388,5.65194,80.20869,2.51882,11.35925,15.13932,1.78428,4.43671,8.55259,8.81978,13.96645,59.71814,19.07307
