,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.47955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01591,0.0,0.0,0.0,0.0,0.0,0.0,3.18907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24638,0.46999,0.0,0.41323,3.90611,0.25388,2.23301,0.0,3.25571,0.0,0.94619,0.0,0.0,0.46057,0.0,0.25167,0.0,0.0,0.0,3.46192,0.0,0.0,0.93976,0.0,0.0,0.0,0.0,8.0263,0.0,0.0,0.0,28.15372,0.0,17.55269,0.0,0.0,0.55607,0.0,0.0,0.0,3.18532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73602,0.0,12.86164,1.174,0.0,0.34856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17005,0.14597,0.0,0.01716,1.09772,0.0,0.0,0.0,0.99138,0.0,0.0,0.0,0.0,0.0,0.0,0.08177,0.0,0.0,0.87733,1.05306,0.95459,0.20787,1.1296,0.12101,0.0,0.1744,0.0,8.61993,0.0,0.35332,7.01,0.0,0.0,0.21251,8.77765,0.0,0.0,0.0,0.0,3.31694,0.36483,0.48124,0.29487,0.0,49.56386,6.41443,31.82948,0.3628,0.0,0.2357,0.08662,0.0,0.17793,0.0,0.0,1.11824,0.14848,5.36212,0.0,0.0,4.06302,0.0,1.4544,0.12014,0.0,0.0,0.0,0.0,5.59591,0.47005,9e-05,0.0,0.0,1.71239,0.0,0.0,0.0,0.22484,0.0,0.0,1.10516,0.0,0.0,0.02081,0.0,0.0,0.0,2.02678,0.0,0.0,1.01762,0.0,0.0,0.0,0.0,0.0,1.19659,0.30682,0.0,2.61143,2.04128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86775,0.0,5.66742,0.0,0.22389,0.05763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00553,0.00567,9.19605,0.02919,0.0,0.0,0.0,0.42289,0.0,0.0,5.07494,2.69451,0.0,0.41859,0.0,0.07429,0.0
-4.75,0.0,0.0,0.48213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07051,0.01591,0.0,0.0,0.0,0.0,0.0,0.0,3.18907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24638,1.61315,0.0,0.12584,3.90611,0.38656,2.23301,0.0,3.25571,1.23206,1.05456,2.08138,0.0,0.46057,0.0,0.25167,0.0,7.31972,0.0,3.54049,0.0,0.0,0.93976,0.0,0.0,1.66219,0.0,8.0263,0.0,0.45556,0.0,23.38175,0.0,17.55269,0.0,0.0,0.55607,0.0,0.0,0.0,3.18532,0.31641,0.0,0.0,0.0,0.0,0.0,1.20474,0.0,0.0,0.0,1.73602,0.0,12.86164,1.174,0.0,0.34856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17005,0.14597,0.0,0.07553,1.09772,0.0,0.0,0.0,0.99138,0.0,0.0,0.0,0.0,0.0,0.0,0.08177,0.0,1.11789,1.01178,1.06658,0.87978,0.20787,1.1296,0.12102,0.0,0.1802,0.0,8.61994,0.0,0.35332,4.46023,0.0,0.0,0.21251,9.00087,0.0,0.0,0.0,0.0,3.31695,0.62966,0.75595,0.64009,0.0,49.56386,6.65614,31.82948,0.3628,0.0,0.23571,0.99434,0.38888,0.55552,1.37976,0.0,1.11824,0.15005,5.44304,0.0,0.0,4.06304,0.0,1.56477,0.12014,0.0,0.0,0.0,0.0,5.59592,0.47007,9e-05,0.0,1.87575,1.53096,0.0,0.0,0.0,0.22484,0.0,0.0,1.10526,0.0,0.0,0.02081,0.0,0.0,0.0,2.44776,0.0,0.0,0.56913,0.0,0.0,0.0,0.0,0.0,2.33249,0.30682,0.0,2.62424,1.89624,0.0,15.60872,0.0,0.0,0.0,0.0,0.0,1.86775,0.0,5.66742,0.0,0.22389,0.05763,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00553,0.00567,20.79717,0.02919,0.0,0.0,0.0,0.42289,0.0,0.0,5.13433,2.69452,0.0,0.41859,0.0,0.07429,14.54183
-4.5,0.0,0.0,0.48213,0.0,0.0,0.0,0.0,0.0,0.0,0.12715,0.0,0.01031,0.0,0.0,0.0,0.19654,0.01591,0.0,0.0,0.0,0.0,0.0,31.23007,3.18907,0.0,0.0,0.0,0.0,0.0,0.0,16.16451,0.24638,1.0428,0.0,0.18196,3.90611,0.57199,1.98867,0.0,3.25571,1.32559,1.05456,2.08138,0.0,0.46057,2.92203,0.25167,0.0,7.31972,0.0,3.58731,0.0,0.0,0.48045,0.0,0.0,0.84395,0.0,4.11238,0.0,0.45556,0.0,23.68701,2.6721,17.55269,0.614,0.0,0.55607,0.0,0.0,0.0,3.25559,0.65401,0.0,0.44489,0.0,0.0,0.0,1.31403,0.0,0.0,0.0,2.07165,0.0,12.8671,1.174,0.0,0.34856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11348,1.37969,0.0,0.07553,1.09772,0.0,0.0,0.0,0.99138,0.0,1.15927,0.0,0.0,0.0,0.0,0.08177,0.0,1.11789,1.01178,1.14345,0.87978,0.20787,1.04813,0.33775,0.0,0.1802,0.0,6.5495,0.23335,0.21232,4.50429,0.0,1.32699,0.35495,9.12999,0.0,0.0,0.0,1.92307,3.31695,0.62966,0.75854,0.67417,0.0,49.56386,6.7863,21.23184,0.72793,0.0,1.11779,1.03432,0.38888,1.86231,1.37976,0.0,1.11824,0.18205,4.6975,0.0,0.0,4.09073,0.0,1.56652,0.12014,0.0,0.0,0.0,0.0,5.59592,0.47007,9e-05,0.0,1.87584,1.56781,0.12342,0.0,1.79389,0.22484,0.0,0.0,1.10526,0.0,0.0,1.51488,0.0,0.0,0.0,2.22048,0.0,0.0,0.56913,0.0,0.0,0.0,0.0,0.0,1.73898,0.30682,6.94302,2.50853,1.98195,0.0,15.60872,0.21406,0.0,0.06798,0.0,0.0,1.86775,0.0,5.66742,0.0,0.22389,0.05763,0.0,0.00021,0.0,2.84576,0.0,0.0,0.0,0.0,0.30409,0.0,0.0,0.00553,0.00567,36.5434,0.02919,0.0,0.0,0.0,0.42289,0.0,0.0,5.13433,2.69452,0.0,0.41859,0.33246,0.07429,14.54183
-4.25,0.0,0.0,0.67593,0.0,0.0,0.0,0.0,0.0,0.0,0.12715,0.0,0.01031,0.0,0.0,0.0,0.352,10.08962,0.0,0.0,0.0,0.0,0.0,31.27711,3.18907,22.11819,0.0,0.0,0.0,0.0,0.0,16.16451,0.24638,1.09707,0.0,0.18841,4.0417,0.67324,3.24357,0.0,3.31409,1.32559,1.56639,2.08138,0.85056,0.31215,2.92203,0.25167,0.0,7.31972,11.80272,3.59291,0.0,0.0,0.48045,0.0,0.0,2.82338,0.0,4.12033,0.0,0.45557,0.28788,26.30178,2.67212,13.05965,0.614,0.0,0.43774,0.3577,0.0,3.89777,3.43614,0.67484,0.0,0.44489,0.0,0.0,0.0,1.31404,0.0,0.0,0.0,2.07165,0.0,12.8671,1.23956,0.0,0.34856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11348,1.37969,0.0,10.90408,1.09772,6.24589,0.0,0.0,0.99138,0.0,1.15927,0.0,0.0,14.74035,0.0,0.13634,0.0,1.11789,0.51878,1.14345,5.57209,14.39605,1.04813,0.48915,0.0,0.1802,0.0,6.5495,0.26247,0.21232,4.61859,3.95897,1.38464,0.17748,4.15118,0.0,0.0,0.0,2.20255,3.31696,0.75486,0.5921,0.67417,0.0,49.56386,6.802,16.00737,0.55888,0.0,0.79013,0.86033,0.38888,1.86232,1.37976,0.0,1.11824,0.27028,4.71065,1.29714,0.0,4.35359,1.52898,1.35585,0.12014,0.0,24.03134,0.0,0.0,2.85151,0.47007,0.04177,0.0,1.87585,2.19226,0.12343,0.0,1.79389,0.27069,2.28441,0.0,1.1104,0.03548,0.0,1.51488,0.0,4.3445,0.0,2.50674,4.44563,0.0,0.56913,0.0,10.33552,0.0,0.0,0.0,1.30424,0.30682,7.28822,2.33711,2.04038,0.0,8.61627,0.17741,0.0,0.06798,0.0,0.0,2.69938,0.0,5.66742,0.0,0.22389,0.05763,0.0,0.00021,0.0,2.84576,0.0,7.54992,4.15948,0.0,0.30409,8.09516,0.0,0.00553,0.00567,36.5434,0.02919,0.0,0.0,0.0,0.82541,0.0,0.0,5.13433,1.62438,0.0,0.48198,0.36445,0.0743,14.54183
-4.0,0.0,0.0,0.67929,0.0,0.0,0.0,0.0,0.0,0.0,0.12715,0.0,0.01031,0.0,7.84809,0.0,0.21021,10.11981,0.0,0.0,0.0,0.0,0.0,31.27711,3.18907,22.11819,0.0,0.0,0.0,65.33204,0.0,16.16451,0.24638,0.88153,0.49712,0.19369,2.12037,0.92904,3.28036,0.15306,5.72474,1.32559,1.61974,1.04072,1.17375,0.39399,1.12971,0.25167,0.0,7.31972,11.80272,3.59291,0.0,0.0,1.4136,0.0,0.0,2.88777,0.0,2.39136,0.0,0.45557,0.38217,26.30178,2.67213,13.05965,0.34578,0.0,1.25467,0.73503,0.43749,3.89777,3.43614,0.81832,0.0,0.44489,0.0,0.0,1.32107,1.42768,0.0,0.0,0.0,2.22442,0.0,12.8671,1.23957,0.0,0.34856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81332,0.29179,1.45523,0.0,10.90408,1.29635,6.24589,0.0,0.0,0.73594,0.0,1.15927,0.0,0.0,14.74036,0.0,0.13634,0.0,1.11789,0.51878,1.19562,5.57209,14.39611,1.04813,0.3644,0.0,0.1802,0.0,6.56036,0.26247,0.47448,4.61861,3.959,3.02906,0.38509,4.06718,0.0,0.0,0.0,7.06158,3.31696,0.78113,0.69918,0.57977,20.29593,49.56386,6.802,16.0101,0.66486,0.0,1.04044,0.88574,0.85931,1.64003,1.37976,0.0,1.11824,0.4465,4.76974,2.31437,0.0,4.45794,2.08117,1.15319,0.12014,0.0,24.03134,0.0,0.0,2.85151,0.42657,0.75126,0.0,1.91127,2.52192,0.48185,0.0,1.79389,0.27069,2.28441,0.0,1.32179,8.02162,0.0,1.39563,0.0,4.49295,1.46766,2.53082,4.44563,0.29715,1.01452,0.0371,10.33552,0.0,0.0,0.0,1.46173,0.18167,9.85639,2.29785,2.07706,0.0,7.02809,0.17741,0.0,0.06798,0.0,0.0,4.4268,1.40849,5.66742,0.37298,0.22389,0.05763,0.0,0.00021,0.0,2.84576,0.0,7.54992,4.15948,0.0,0.3041,8.09517,0.0,0.00553,0.02913,42.48249,0.02919,1.17285,2.82997,6.7798,1.8591,0.0,0.0,5.18702,1.62438,0.0,0.48198,0.36445,0.0743,8.4804
-3.75,0.0,0.0,1.01415,0.0,0.0,1.87338,0.04382,0.0,0.0,3.55731,0.0,0.01031,0.0,7.76689,0.0,0.21022,6.75352,189.87429,0.0,0.0,0.0,0.0,31.33223,3.18907,11.063,0.0,0.0,6.24951,65.33204,0.0,16.16451,0.24638,0.84242,0.49712,0.36752,2.12037,1.01227,3.31029,0.13165,5.76738,1.32559,43.9815,1.08048,1.17375,0.50802,0.84994,0.25167,0.0,7.31972,13.81793,3.59291,0.0,8.32846,1.4136,0.73699,0.0,3.79312,0.04612,1.50052,1.29968,0.49621,0.38217,27.25675,2.67213,13.05965,0.8823,0.0,1.25467,0.74747,0.43749,6.49583,3.49594,0.99429,0.0,0.44489,3.75597,0.0,0.68113,1.42768,1.34509,0.0,0.0,1.71361,12.56787,12.8671,1.23957,0.0,15.17558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81332,0.29316,1.01981,30.48679,10.90408,1.29635,6.24589,0.0,0.0,0.73594,0.0,10.73518,0.0,3.39536,14.74036,0.0,0.13634,0.0,1.11789,0.56624,1.24771,3.98914,9.65741,0.72482,0.41841,0.0,0.22124,0.0,6.94063,0.26247,0.47448,2.86583,3.95901,2.37181,0.39721,4.25611,0.0,20.86561,5.98971,7.26873,2.04623,0.83727,0.67631,1.16939,20.29593,49.56386,4.68944,12.53453,0.90438,0.0,1.19003,1.09126,0.74177,1.75493,3.25731,0.0,0.92427,0.82252,4.24234,2.33228,0.0,3.33258,1.89683,1.16286,0.12014,0.0,24.362,0.0,0.0,2.04946,0.44447,1.10915,19.89667,1.94854,2.73936,0.48185,0.0,1.79389,0.53576,1.75678,0.15705,1.46315,8.07641,0.0,3.01541,0.0,4.7891,6.20304,2.6426,2.27475,0.59963,1.01452,0.0371,10.33552,0.0,2.40126,0.0,1.53067,0.18167,9.8564,2.16669,7.14099,0.0,7.23169,0.17741,0.0,0.9873,0.10442,0.0,7.24375,1.39274,6.58609,0.21658,0.2239,0.30711,0.0,0.07247,48.09201,2.84576,0.0,1.93312,4.15948,0.0,0.35588,8.09517,0.0,0.00553,2.55929,42.48249,0.02919,1.17285,2.82997,4.57272,1.8591,0.0,0.0,2.78938,1.65816,0.0,0.25979,0.41358,0.0743,6.54848
-3.5,0.0,0.0,1.05803,0.0,0.0,1.87347,0.04479,0.0,0.0,3.55731,0.0,0.15631,0.0,7.76689,0.0,0.21022,5.6253,104.16577,43.19144,0.00523,0.0,0.0,10.45617,3.18907,8.56276,0.0,0.0,6.24951,42.29394,0.0,16.16452,0.24638,0.80294,1.10256,4.66677,1.5325,1.12559,3.12961,0.28508,4.64741,1.09995,44.00226,1.67115,1.87172,0.61999,1.76231,0.29356,0.0,7.61394,10.15875,3.59291,0.02776,7.18515,1.47411,3.28824,7e-05,3.13287,0.04612,1.29292,3.1586,1.42061,2.41531,29.62992,15.0863,13.15311,0.96881,0.0,4.98157,0.66827,1.29694,6.52331,3.49594,1.30993,0.0,0.44489,3.78012,0.0,0.68113,4.07406,1.34509,0.0,0.2942,1.26605,17.04999,12.8671,1.24728,0.0,15.2836,0.0,0.0,2.17875,0.0,0.0,0.0,0.0,0.85581,0.3228,1.0885,30.48679,10.90409,1.50011,6.24589,0.0,0.0,10.40015,0.0,10.77544,0.0,3.39536,14.74037,0.0,0.10461,0.10237,1.11789,0.64643,1.03632,3.99006,9.65741,0.53222,0.81821,0.0,0.2712,2.49188,7.00639,0.34574,0.52162,2.42957,3.95903,2.58242,0.30076,4.53343,0.0,21.37887,6.12842,7.6208,2.08797,1.38303,0.73882,0.92421,15.57174,49.56386,3.21991,10.91763,0.75409,0.0,0.81369,0.95053,0.78086,1.85011,2.17169,0.0,3.77463,0.73362,2.65384,2.63721,3.04735,2.6979,1.73367,1.20882,1.55638,1.65862,24.362,0.0,0.0,2.09343,0.406,1.83038,20.69226,6.71425,5.45487,0.48185,0.0,1.79389,0.56288,1.89373,0.0943,1.09741,8.18396,3.55201,5.13571,0.0,4.77505,6.20304,2.6426,1.53139,0.62568,1.04055,0.0371,10.33552,0.0,1.77422,0.0,1.28562,0.18167,9.85641,2.64966,6.02023,35.71512,7.27062,0.17741,2.51262,1.03466,0.10442,10.71609,10.53945,1.64846,4.73488,0.26582,7.94435,1.00619,1.16368,0.07248,48.09201,20.83974,0.0,1.98406,2.81161,0.0,0.35588,32.61761,0.0,0.00553,2.55929,42.48249,0.02919,1.17285,1.78509,4.91161,1.8591,0.0,0.0,2.00752,1.69695,0.0,0.34306,1.38106,0.91234,6.91575
-3.25,0.0,0.0,1.48377,0.0,1.03148,2.13672,28.01181,0.0,0.0,3.58607,9.73571,0.15631,0.0,4.53977,0.0,0.21022,5.62838,104.16577,43.19144,4.84845,0.0,0.0,10.46162,3.18907,8.56451,0.0,0.0,6.24951,42.29394,0.0,16.16452,0.24638,0.65182,1.49134,4.38521,1.394,1.03124,3.15673,1.52202,6.05191,1.09996,33.98661,1.36393,1.29891,0.8022,2.53248,1.86763,1.56342,7.57823,11.85718,4.1246,30.86452,9.35789,1.50802,8.19753,0.54763,3.36436,0.96762,1.23267,3.49548,1.42131,1.96768,15.36132,22.93946,10.14655,0.80127,0.0,3.86295,1.73375,7.1823,4.77466,3.54864,1.40962,0.0,0.44489,4.71588,0.0,0.82539,3.18158,3.05844,0.0,8.50356,1.26605,19.45411,7.0013,2.14874,0.0,15.2836,0.0468,0.0,2.17875,0.0,0.0,0.0,0.0,0.85581,0.61523,1.12922,15.25861,10.1109,1.2484,8.73719,0.0,13.46043,12.06018,0.50023,10.81938,0.0,2.8642,10.11017,0.0,3.27039,7.51709,11.51322,0.519,1.08162,3.15543,5.01749,0.70508,1.35566,0.0,0.2712,2.49188,6.71771,0.38167,2.0608,2.81841,3.15289,2.69688,0.35037,4.59654,6.16112,21.83338,6.31296,4.18572,1.91535,1.38009,0.66371,1.04231,15.25984,49.56386,3.6837,10.92217,0.80005,2.67239,1.47414,0.92985,0.94421,1.86266,2.98052,4.50714,5.92033,0.81521,2.41174,1.69693,9.65149,2.36129,1.98243,1.70186,6.7254,1.65862,24.38231,0.0,0.0,2.09343,1.29638,2.0524,21.84294,6.71425,5.65491,0.73844,0.0,1.79389,0.64829,1.90247,0.0943,1.16572,5.54761,3.55201,3.01593,0.0,4.38967,7.24208,2.73929,1.44839,0.62568,1.61062,1.35121,11.31964,0.0,1.79228,0.0,1.25382,0.12479,11.17043,2.7479,5.41803,26.23105,5.82246,3.70651,2.51262,1.03466,10.78957,11.86277,10.78348,2.33323,2.87618,0.26582,7.94437,1.00619,1.16368,0.07248,24.17335,20.83974,0.0,1.4572,2.81161,0.0,0.35589,37.85976,0.0,0.15447,2.93224,42.48249,0.02919,1.22511,1.78509,3.69832,1.8591,1.88457,14.43879,1.94233,1.51596,0.0,0.34306,4.88005,1.56493,7.20611
-3.0,2.02696,9.82628,1.04909,0.0,0.74266,1.85423,16.49402,0.0,0.0,3.22347,6.3278,0.15631,2.33571,4.94993,0.0,0.21022,4.8873,104.16577,43.22816,3.90504,0.0,28.36609,37.8204,3.18907,6.44708,11.94044,34.36871,75.22848,30.31235,62.86922,6.1756,0.24638,0.58534,1.18449,3.40404,2.17917,1.44674,4.2037,1.56245,4.99772,0.7993,26.04124,1.11752,2.04423,0.82062,2.54166,1.66685,2.33066,6.93255,16.72986,2.79902,23.56374,8.5339,3.65059,9.11199,0.6933,2.45385,1.06016,1.14509,3.23508,1.11401,3.20337,15.89067,22.93946,7.20157,4.53312,0.0,3.58092,1.95588,3.29514,3.77907,2.88505,1.44619,34.56239,0.44489,3.33883,0.0,2.22793,2.62361,2.3288,0.0,8.54437,1.26605,15.05513,3.90494,3.10115,4.95062,10.27686,1.081,0.0,8.9958,0.0,0.0,147.70192,5.12827,0.89074,0.73814,1.61008,17.58776,20.39967,1.11126,6.1782,0.0,13.59514,15.08247,0.50023,10.81938,0.0,3.6221,9.85092,4.91311,4.4598,8.45164,11.51323,1.96647,1.08162,2.17492,5.09531,0.74927,1.38442,14.10144,0.26301,1.45191,6.76668,2.66455,1.81677,2.57714,3.09631,2.1745,1.44999,4.80814,6.63978,23.21629,6.34075,3.66158,1.68659,1.45917,1.94741,1.1781,12.78158,31.40228,3.71106,12.02041,0.86378,2.42835,1.31702,0.9945,0.97341,1.8964,3.03222,2.63354,6.08002,0.78428,2.06101,4.12297,9.66573,1.98253,1.4203,1.5145,6.24294,4.00604,18.63269,0.0,0.0,1.47225,1.30882,2.41805,13.37229,5.05766,4.45842,0.44744,0.0,1.79389,1.25816,1.93139,0.67758,0.85155,3.4264,1.84793,2.82342,14.04214,5.08011,6.41721,2.73929,3.99435,0.62568,1.86469,1.95155,11.31964,0.0,0.94439,13.67017,1.82884,13.28068,11.42008,2.65474,4.82618,18.36014,6.26862,3.88403,4.91434,7.26163,5.90851,8.93919,8.06034,2.22322,2.51071,1.70139,7.01541,1.54073,4.6092,4.56517,20.96569,13.94021,0.34295,1.38417,6.66273,0.0,0.31572,49.63091,16.34858,0.15447,2.52479,32.34616,0.02919,11.11827,4.67924,4.41281,1.8591,2.68302,40.31815,1.90878,1.28442,1.46467,3.81027,2.901,1.37184,6.38358
-2.75,3.29451,8.35129,1.15646,131.59078,2.33071,4.02608,12.67255,0.0,4.48938,7.79726,6.96885,17.86489,13.03469,3.78789,0.0,0.21022,4.30234,114.52942,43.22816,3.31325,0.0,25.18768,37.84859,9.3053,7.57392,8.05581,34.36872,50.98853,24.97725,80.75117,4.98756,0.24638,1.05366,1.30613,2.98496,2.16627,1.46178,3.29125,1.79743,3.55035,1.13491,26.04832,1.28268,1.88104,0.75884,3.89162,2.46191,7.57228,6.70629,15.23665,3.05049,23.64668,9.27288,3.35324,7.62526,1.32547,3.50425,1.7516,1.19412,5.09069,1.63391,2.73426,14.48985,14.01865,6.15439,4.1352,0.0,2.95899,1.81449,2.80991,3.46853,2.25168,1.46427,22.07363,0.44489,3.04046,0.0,1.53943,2.28954,1.45044,19.70506,8.57621,1.28177,18.09392,5.33232,4.44107,2.62572,7.89964,1.10669,12.3188,6.17548,26.70159,7.56537,49.59422,25.73602,4.16441,0.5747,1.89623,13.42412,18.01273,2.29183,7.13276,14.36263,9.79297,15.36881,2.12821,7.95732,4.72524,5.12316,10.25617,9.50866,4.16492,8.38384,11.41305,1.83057,1.05302,2.58566,3.86052,0.79792,1.33532,7.27885,5.74018,4.34554,5.67441,2.84942,1.73542,2.25819,3.66213,2.81245,1.4875,3.63396,7.48343,28.82037,8.60573,4.20981,1.86401,1.41562,2.20952,1.11167,11.69004,26.30747,2.95626,9.59585,0.98329,2.35986,1.088,1.07693,1.0018,1.89008,2.14917,1.98128,6.67787,0.94866,1.68521,3.09521,8.02529,1.6386,1.41581,1.2502,6.31401,4.71071,11.49556,3.6622,0.0,3.69149,1.28984,2.38395,15.21871,4.056,4.58299,0.50056,0.0,1.79389,1.04322,2.0592,1.53125,1.65933,3.52129,2.93919,1.84876,5.05613,5.43484,4.18068,2.83449,3.26218,2.01136,2.1671,2.42884,11.57302,6.82502,3.84383,12.93712,1.51641,9.70344,12.51603,2.48472,4.24947,12.01973,9.35638,4.45608,2.27621,6.65324,4.82019,3.4208,7.1558,3.77399,4.07674,1.52134,7.01541,1.61139,8.84879,6.08014,18.27878,9.83434,8.35681,1.41754,6.05125,7.57768,4.07961,34.88234,16.34858,1.51503,5.0001,23.15336,6.6052,8.77393,1.76739,3.7678,1.79855,2.19029,40.31815,1.18481,1.11084,1.49987,3.55452,4.31862,1.77739,5.2023
