,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.06605,0.06135,0.0,0.0,0.0,0.0,0.09233,0.0,0.0,0.0,0.07214,0.11432,0.0,0.0,0.09355,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.10744,0.06843,0.05124,0.04549,0.0,0.0,0.0,0.0,0.06976,0.0,0.09413,0.09763,0.17627,0.20274,0.13445,0.09564,0.15366,0.12695,0.13399,0.0,0.07636,0.10795,0.0,0.19406,0.0,0.0,0.083,0.09273,0.07163,0.0,0.0,0.0,0.11837,0.0,0.0,0.0,0.0,0.0,0.06875,0.0,0.0,0.0956,0.0,0.0,0.06085,0.0,0.06318,0.06465,0.24034,0.0,0.0,0.10812,0.0,0.0,0.0,0.08126,0.0,0.0,0.05428,0.21258,0.08109,0.05695,0.0,0.23012,0.0,0.06488,0.0,0.10098,0.0,0.0,0.06411,0.0,0.0,0.10624,0.17147,0.06551,0.16867,0.06831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06771,0.0,0.07771,0.0996,0.08001,0.0,0.15997,0.10417,0.05953,0.14174,0.10359,0.0,0.179,0.0,0.37949,0.0,0.15516,0.26697,0.0,0.0,0.19326,0.33809,0.0,0.0,0.0,0.0,0.26102,0.17925,0.0,0.18736,0.0,0.19021,0.21304,0.20126,0.17692,0.09592,0.11187,0.15721,0.0,0.17893,0.13034,0.0,0.10346,0.1333,0.21291,0.0,0.14756,0.19023,0.0,0.14919,0.15484,0.0,0.0,0.11357,0.0,0.0,0.1047,0.11228,0.07682,0.10332,0.10852,0.0,0.0,0.09984,0.08563,0.0,0.0,0.0,0.0,0.06239,0.10324,0.0693,0.0,0.07625,0.22202,0.08949,0.0,0.12434,0.09409,0.0,0.0,0.08488,0.07635,0.07244,0.1142,0.63403,0.14533,0.11443,0.0,0.10198,0.17478,0.0,0.08458,0.0,0.06096,0.07489,0.0809,0.10891,0.0,0.10249,0.08316,0.06746,0.07122,0.0,0.0,0.07125,0.05703,0.06274,0.0,0.0,0.0,0.0,0.0,0.11268,0.07909,0.1227,0.06277,0.0,0.09739,0.13546,0.0,0.107,0.07433,0.0,0.07523,0.0,0.0,0.1197,0.0
-4.75,0.06605,0.06135,0.0,0.0,0.07157,0.0,0.08949,0.0,0.0,0.0,0.06926,0.11432,0.0,0.0,0.09355,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.05083,0.10744,0.06843,0.05124,0.04408,0.05694,0.0,0.0,0.0,0.06976,0.0,0.09413,0.09763,0.14682,0.18158,0.11848,0.10193,0.1352,0.12695,0.12484,0.0,0.07169,0.09331,0.0,0.19406,0.0,0.0,0.07485,0.09273,0.06865,0.0,0.0,0.07231,0.11613,0.0,0.0,0.0,0.0,0.0,0.06772,0.0,0.0,0.09108,0.0,0.0,0.05852,0.0,0.06171,0.06465,0.23706,0.14689,0.0,0.10658,0.0,0.0,0.0,0.08126,0.0,0.0,0.05126,0.20885,0.07715,0.05575,0.0567,0.23012,0.0,0.06488,0.0,0.10098,0.0,0.06679,0.06411,0.0,0.0473,0.10624,0.15044,0.06551,0.16867,0.06242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06771,0.0,0.07771,0.0996,0.07534,0.0,0.14071,0.09597,0.05953,0.11396,0.0961,0.0,0.179,0.06305,0.35953,0.0,0.15516,0.25826,0.44511,0.0,0.16721,0.33074,0.0,0.0,0.0,0.0,0.255,0.17925,0.0,0.18333,0.0,0.19021,0.18369,0.18466,0.17322,0.09475,0.11187,0.12119,0.0,0.15227,0.1279,0.14331,0.09381,0.13513,0.20671,0.0,0.14756,0.18643,0.14637,0.14919,0.15484,0.0,0.0,0.10601,0.0,0.0,0.1047,0.10107,0.07682,0.10332,0.10852,0.0,0.0,0.09462,0.08563,0.05413,0.0,0.0,0.0,0.06239,0.10324,0.0693,0.0,0.07492,0.21792,0.08615,0.0,0.10684,0.0827,0.05936,0.0,0.08488,0.07435,0.07244,0.09057,0.62222,0.13561,0.11295,0.0,0.10198,0.17478,0.0,0.08458,0.0,0.06096,0.07084,0.0809,0.10891,0.04855,0.10249,0.08045,0.06548,0.07122,0.0,0.0,0.06133,0.05703,0.06274,0.0,0.0,0.0,0.0,0.0,0.09688,0.07711,0.1227,0.05978,0.0636,0.09464,0.12352,0.10725,0.107,0.07643,0.0,0.07523,0.0,0.0,0.1197,0.09194
-4.5,0.06258,0.05717,0.06245,0.06536,0.07157,0.06583,0.08808,0.0,0.0,0.0,0.06637,0.11432,0.06563,0.0,0.08075,0.0,0.0753,0.0,0.05945,0.0,0.0,0.0,0.05083,0.10744,0.06273,0.05124,0.04266,0.04841,0.0,0.0,0.0,0.06976,0.13844,0.08795,0.09519,0.14682,0.17111,0.11848,0.10193,0.13361,0.12695,0.125,0.0,0.07013,0.0923,0.0,0.19406,0.0,0.0,0.07468,0.09273,0.07029,0.06888,0.06596,0.06922,0.11168,0.06347,0.0,0.13296,0.0,0.0,0.06459,0.07921,0.06114,0.08733,0.06033,0.0,0.05899,0.0,0.06094,0.06917,0.21365,0.14162,0.0,0.1004,0.0,0.0,0.0,0.07825,0.06059,0.0,0.05126,0.20776,0.07242,0.05575,0.0567,0.19975,0.0,0.06488,0.0,0.10098,0.0,0.05669,0.05798,0.05038,0.0473,0.0993,0.15044,0.06254,0.16867,0.06242,0.0,0.0,0.0,0.07168,0.04866,0.0,0.0,0.0,0.06313,0.0,0.07767,0.0996,0.07429,0.0,0.13858,0.09434,0.05847,0.1189,0.09724,0.0,0.13601,0.06305,0.34692,0.11542,0.15516,0.24901,0.43766,0.12354,0.16721,0.33074,0.0,0.0,0.0,0.49977,0.25099,0.16144,0.0,0.18333,0.0,0.16418,0.18296,0.1685,0.1684,0.09358,0.11187,0.12119,0.0,0.14178,0.11159,0.15842,0.0905,0.1333,0.1767,0.0,0.14756,0.18833,0.14316,0.14919,0.15484,0.0,0.06807,0.10222,0.0,0.0,0.08604,0.10107,0.07483,0.10332,0.10683,0.0,0.0,0.09592,0.07685,0.05413,0.0,0.0,0.0,0.06304,0.07735,0.06726,0.34239,0.0683,0.20766,0.08651,0.0,0.10684,0.0827,0.05751,0.0,0.08488,0.07426,0.07112,0.08787,0.56713,0.12977,0.11078,0.05941,0.10198,0.12899,0.0732,0.08458,0.0,0.0569,0.06881,0.07686,0.10891,0.04855,0.09646,0.08045,0.06153,0.07122,0.0,0.04766,0.06133,0.0531,0.06084,0.0,0.0,0.0,0.0,0.0,0.08304,0.07711,0.1227,0.05978,0.0636,0.09464,0.11425,0.10725,0.107,0.07643,0.0,0.07523,0.0,0.06755,0.09373,0.09194
-4.25,0.05785,0.05674,0.05677,0.06252,0.06301,0.06583,0.08666,0.0,0.0,0.0,0.06349,0.11432,0.0642,0.0,0.0719,0.06754,0.06006,0.0,0.06037,0.0,0.0,0.0,0.05083,0.10744,0.06273,0.05124,0.04266,0.0484,0.0,0.0,0.0,0.06976,0.13844,0.08595,0.08319,0.14682,0.16381,0.11077,0.10413,0.13281,0.11864,0.10671,0.0,0.07509,0.08435,0.0,0.19406,0.0,0.0,0.06876,0.08974,0.07478,0.0677,0.06297,0.06772,0.1097,0.07107,0.0741,0.13296,0.0,0.07833,0.06397,0.07921,0.05953,0.07883,0.04975,0.0,0.05899,0.08343,0.06356,0.06653,0.20743,0.13486,0.07586,0.09731,0.0,0.06494,0.06315,0.07224,0.06059,0.0,0.04724,0.20597,0.07075,0.05455,0.05977,0.16633,0.0,0.06338,0.0,0.06627,0.0,0.05669,0.05595,0.04886,0.0463,0.09633,0.15338,0.064,0.16867,0.05835,0.0,0.0,0.0,0.0579,0.04866,0.0,0.0,0.0,0.05623,0.0,0.07224,0.0996,0.07116,0.08028,0.13387,0.09272,0.05661,0.11439,0.08578,0.0,0.13601,0.06306,0.33079,0.11542,0.15516,0.233,0.42648,0.12354,0.16721,0.31381,0.0,0.0,0.0,0.45487,0.24697,0.15944,0.0,0.18333,0.0,0.14742,0.16696,0.16108,0.16569,0.08773,0.11187,0.11941,0.0,0.14429,0.11064,0.15842,0.09052,0.1333,0.17669,0.0,0.11257,0.16547,0.13734,0.14163,0.15484,0.0604,0.05432,0.09844,0.0,0.10581,0.07856,0.10107,0.0737,0.09824,0.09974,0.0,0.0,0.09463,0.07685,0.0541,0.08417,0.0,0.0,0.05926,0.07735,0.06403,0.33446,0.0683,0.20356,0.07876,0.0,0.09514,0.08004,0.05751,0.0,0.08286,0.07426,0.07112,0.08787,0.53539,0.1302,0.10601,0.05941,0.09369,0.10984,0.06906,0.08322,0.0,0.0569,0.06881,0.07686,0.08274,0.04655,0.09537,0.0751,0.06552,0.08318,0.0,0.04766,0.05935,0.0531,0.05888,0.0,0.0,0.0624,0.05867,0.0,0.08304,0.08963,0.11091,0.05679,0.0596,0.08544,0.10276,0.10725,0.10568,0.07406,0.0,0.07523,0.0,0.06358,0.09048,0.07979
-4.0,0.05674,0.05439,0.06996,0.06182,0.06584,0.06297,0.08524,0.0,0.0,0.0,0.06061,0.06855,0.05993,0.0,0.0719,0.06473,0.05776,0.0669,0.05943,0.0,0.0,0.0,0.05083,0.10744,0.06558,0.05124,0.03698,0.0484,0.0,0.04811,0.03689,0.06976,0.15636,0.07653,0.08224,0.14682,0.16005,0.10867,0.10307,0.11837,0.1114,0.09056,0.07488,0.07119,0.08091,0.06969,0.16233,0.0,0.06278,0.0662,0.08226,0.0694,0.06651,0.05997,0.06772,0.10622,0.06951,0.06915,0.11323,0.0,0.07833,0.06099,0.0685,0.06186,0.07789,0.04975,0.0,0.05474,0.07732,0.05963,0.05527,0.20743,0.12526,0.06883,0.09887,0.0,0.06413,0.05813,0.07224,0.05756,0.0,0.04403,0.20597,0.06604,0.05275,0.05977,0.15725,0.0,0.06444,0.0514,0.05813,0.0,0.0571,0.05595,0.04733,0.04454,0.09533,0.13879,0.06046,0.13329,0.05528,0.05512,0.0,0.0,0.0579,0.04866,0.07358,0.06147,0.06515,0.05623,0.0,0.07379,0.0996,0.06829,0.07163,0.13357,0.08458,0.05661,0.10898,0.08578,0.0,0.13435,0.0624,0.31473,0.12221,0.15516,0.21402,0.4004,0.09806,0.13458,0.30988,0.0,0.0,0.0,0.42941,0.20056,0.15689,0.0,0.18333,0.60216,0.14696,0.16549,0.15637,0.16105,0.08309,0.09663,0.09345,0.12411,0.13462,0.10693,0.16606,0.08315,0.12786,0.15661,0.12963,0.10888,0.14043,0.16053,0.13596,0.11708,0.0604,0.05432,0.09844,0.0,0.09826,0.07483,0.10107,0.0737,0.09121,0.09817,0.09029,0.0,0.08285,0.0681,0.05581,0.07841,0.07548,0.0,0.05926,0.07873,0.06203,0.32004,0.06081,0.17123,0.07808,0.0,0.08891,0.07202,0.05425,0.05435,0.07924,0.07305,0.0688,0.07555,0.50428,0.12148,0.10386,0.07396,0.09088,0.10262,0.06906,0.07246,0.08075,0.05487,0.06072,0.07686,0.08274,0.04655,0.09537,0.0656,0.06552,0.08318,0.0536,0.04369,0.05935,0.05705,0.06538,0.0,0.0,0.0624,0.05867,0.0,0.08009,0.08172,0.11091,0.05047,0.05662,0.08354,0.09259,0.10725,0.09898,0.06928,0.07198,0.08317,0.0,0.06358,0.09048,0.0778
-3.75,0.05365,0.0541,0.06712,0.06197,0.06489,0.06011,0.08524,0.0,0.0,0.06021,0.05338,0.06856,0.05993,0.07304,0.07197,0.06473,0.05683,0.0669,0.05659,0.0,0.0,0.0,0.04519,0.10744,0.05993,0.05124,0.03698,0.04555,0.04265,0.04811,0.03689,0.06976,0.12775,0.07426,0.07613,0.14682,0.15572,0.11221,0.07972,0.09479,0.10419,0.0904,0.07443,0.06674,0.0761,0.07871,0.1388,0.11408,0.05685,0.06394,0.07178,0.07276,0.06543,0.05851,0.06768,0.09959,0.07258,0.06791,0.11167,0.0,0.0689,0.0571,0.0685,0.06034,0.07291,0.05126,0.0,0.05257,0.07732,0.05694,0.0517,0.17931,0.11697,0.06603,0.09115,0.05429,0.06578,0.05712,0.06923,0.05758,0.0,0.04403,0.20597,0.06298,0.05094,0.05476,0.14163,0.0,0.06117,0.0514,0.05317,0.04594,0.05468,0.05595,0.04733,0.04454,0.08565,0.14249,0.05793,0.08722,0.05222,0.05512,0.05333,0.0,0.05828,0.04562,0.07052,0.05537,0.0636,0.05276,0.0,0.06678,0.0996,0.06829,0.06671,0.13239,0.08132,0.0521,0.10352,0.07563,0.06218,0.09958,0.0624,0.29743,0.10538,0.10488,0.20385,0.4004,0.09806,0.11675,0.26888,0.0,0.91833,0.0,0.42127,0.19164,0.15556,0.0,0.15847,0.57071,0.13965,0.15117,0.14975,0.16105,0.07806,0.08841,0.09345,0.12411,0.12569,0.10185,0.13992,0.0787,0.12664,0.15673,0.148,0.09649,0.13727,0.15385,0.12715,0.09066,0.0604,0.0518,0.09087,0.06015,0.07936,0.07483,0.10107,0.07151,0.07337,0.08374,0.09029,0.05832,0.08114,0.06691,0.05416,0.07841,0.06292,0.07212,0.05551,0.07372,0.06203,0.31602,0.05592,0.16302,0.07267,0.0,0.08676,0.07202,0.05241,0.05367,0.07375,0.06653,0.06526,0.07346,0.50039,0.1132,0.10067,0.06142,0.08717,0.09017,0.07491,0.07246,0.07268,0.05014,0.05668,0.0674,0.06659,0.05129,0.08758,0.0656,0.06552,0.08318,0.05642,0.04369,0.05837,0.05705,0.05827,0.0,0.0,0.06238,0.0665,0.05102,0.07829,0.07514,0.08912,0.05047,0.05662,0.07755,0.08685,0.099,0.09628,0.06928,0.07204,0.07683,0.07527,0.06358,0.07983,0.07177
-3.5,0.0526,0.05113,0.06118,0.06197,0.06225,0.05725,0.07596,0.05749,0.0,0.06021,0.05096,0.06799,0.05565,0.06665,0.07198,0.06761,0.05522,0.0669,0.05377,0.04324,0.0,0.05622,0.04519,0.10744,0.05615,0.04559,0.03414,0.04697,0.04552,0.0453,0.03689,0.05667,0.13312,0.0754,0.07251,0.12776,0.15688,0.11034,0.07203,0.09143,0.09788,0.08887,0.07245,0.06316,0.07536,0.07468,0.11042,0.11408,0.05685,0.06338,0.07079,0.06395,0.06351,0.05506,0.06492,0.09569,0.06533,0.06843,0.10978,0.09928,0.0689,0.05883,0.05544,0.05881,0.07231,0.05081,0.0,0.049,0.07733,0.05694,0.05091,0.184,0.12033,0.06223,0.08034,0.05553,0.06038,0.05968,0.06923,0.05763,0.05711,0.04312,0.19818,0.06116,0.04893,0.0529,0.14062,0.05285,0.06117,0.0514,0.05317,0.04478,0.05338,0.05265,0.05038,0.04682,0.08714,0.13805,0.05585,0.08039,0.05222,0.04896,0.05637,0.04528,0.05344,0.04562,0.07358,0.0523,0.0636,0.05121,0.0,0.06406,0.0715,0.0675,0.05938,0.12267,0.07911,0.05225,0.09578,0.07215,0.06875,0.09837,0.05403,0.28946,0.0833,0.10101,0.19249,0.36286,0.09925,0.10904,0.25713,0.0,0.86369,0.59276,0.37998,0.17236,0.15543,0.12997,0.15197,0.54942,0.13718,0.15002,0.14666,0.15948,0.07786,0.08674,0.07958,0.13347,0.11863,0.0899,0.11614,0.0787,0.10671,0.15849,0.148,0.09403,0.1405,0.14169,0.11216,0.08612,0.06262,0.04981,0.08317,0.06015,0.07122,0.06046,0.08617,0.07367,0.07419,0.08301,0.09029,0.07329,0.07489,0.06691,0.05159,0.0778,0.05947,0.07212,0.05192,0.07168,0.05763,0.28766,0.05562,0.16027,0.07071,0.085,0.08241,0.06313,0.05241,0.05367,0.07375,0.06024,0.06526,0.07346,0.49261,0.10804,0.09866,0.06142,0.08406,0.08225,0.07286,0.07004,0.0687,0.05014,0.05668,0.06571,0.05849,0.05129,0.07383,0.06439,0.05954,0.06538,0.05642,0.04369,0.05837,0.05389,0.05827,0.0,0.05728,0.06043,0.0665,0.05102,0.07829,0.07514,0.08912,0.05031,0.06015,0.07544,0.08023,0.08987,0.08613,0.06435,0.07005,0.07127,0.07236,0.06358,0.06821,0.0648
-3.25,0.0513,0.04822,0.05987,0.05866,0.06182,0.05725,0.06482,0.05927,0.0,0.06021,0.05192,0.06513,0.06182,0.06392,0.06403,0.07139,0.05522,0.0669,0.0513,0.04302,0.0,0.05205,0.04427,0.10744,0.05139,0.04559,0.03224,0.04328,0.0448,0.04388,0.03547,0.05667,0.133,0.06968,0.06242,0.12776,0.15144,0.1006,0.0767,0.08874,0.09616,0.08191,0.0713,0.0608,0.06887,0.07066,0.09931,0.09618,0.05917,0.06338,0.05923,0.06073,0.06018,0.05004,0.06093,0.08687,0.05681,0.06083,0.11081,0.1008,0.07101,0.05729,0.06331,0.05623,0.06847,0.04596,0.07647,0.049,0.07366,0.05332,0.05091,0.17083,0.11053,0.05976,0.08034,0.05453,0.05662,0.0556,0.06923,0.05157,0.05411,0.04312,0.18765,0.05988,0.04852,0.0504,0.13218,0.05134,0.06039,0.04956,0.0514,0.04424,0.05338,0.04822,0.04581,0.04562,0.06782,0.13621,0.05603,0.07734,0.05139,0.05425,0.05637,0.0459,0.05344,0.04259,0.06439,0.04921,0.06295,0.05121,0.0,0.05676,0.06223,0.06591,0.0588,0.12242,0.07702,0.04721,0.09093,0.06374,0.06926,0.09616,0.0526,0.2783,0.08852,0.09458,0.18751,0.3425,0.09299,0.10233,0.25028,0.58963,0.8049,0.55969,0.35878,0.16571,0.13704,0.13177,0.13638,0.4896,0.11351,0.14505,0.13167,0.15829,0.07748,0.08949,0.07825,0.12378,0.12008,0.0832,0.09901,0.07867,0.09749,0.14643,0.12297,0.08477,0.1353,0.14126,0.10508,0.0763,0.06262,0.04981,0.07171,0.05458,0.06852,0.06368,0.07999,0.06814,0.07297,0.07257,0.07537,0.07427,0.07489,0.06165,0.05159,0.07041,0.05947,0.05545,0.05192,0.06645,0.05622,0.25796,0.05402,0.16027,0.07018,0.085,0.07715,0.05965,0.05406,0.05169,0.06593,0.06024,0.05855,0.06634,0.45759,0.09956,0.09487,0.05795,0.08221,0.08225,0.07038,0.06672,0.06466,0.04674,0.05668,0.062,0.05849,0.04904,0.07383,0.06439,0.05954,0.06341,0.05115,0.04369,0.05483,0.05288,0.05562,0.05818,0.0516,0.06043,0.0665,0.04905,0.06677,0.06325,0.07923,0.05031,0.05837,0.07544,0.07734,0.09105,0.0827,0.06242,0.06306,0.06385,0.07236,0.05963,0.06821,0.0648
-3.0,0.04981,0.04996,0.05649,0.06049,0.05677,0.04581,0.05864,0.05736,0.0,0.06021,0.04997,0.05673,0.05848,0.06368,0.06352,0.06254,0.0508,0.0567,0.04937,0.04302,0.0,0.05205,0.04397,0.06128,0.0508,0.04226,0.03224,0.04176,0.04492,0.04152,0.03263,0.05812,0.12154,0.06559,0.05881,0.09045,0.14254,0.0918,0.07576,0.07592,0.0906,0.07995,0.0668,0.05972,0.06875,0.06449,0.08645,0.09626,0.05761,0.06062,0.05684,0.05634,0.05692,0.05021,0.05717,0.08309,0.05446,0.06058,0.08742,0.09767,0.06187,0.0549,0.06126,0.05623,0.061,0.04588,0.06429,0.04836,0.06718,0.05044,0.05017,0.16169,0.10481,0.05688,0.08193,0.05203,0.05435,0.0538,0.05417,0.04753,0.05261,0.04062,0.1733,0.05658,0.04852,0.05023,0.13218,0.0477,0.05847,0.05018,0.04812,0.04216,0.05318,0.04822,0.04199,0.04562,0.06251,0.1058,0.05452,0.07094,0.04985,0.04991,0.05485,0.0459,0.05012,0.04107,0.06121,0.05359,0.06039,0.05097,0.04251,0.05352,0.06223,0.05928,0.058,0.11628,0.07794,0.04721,0.09071,0.06386,0.06694,0.07859,0.0526,0.27056,0.08219,0.08352,0.17461,0.31131,0.08602,0.0993,0.24192,0.58551,0.76715,0.53023,0.33414,0.16371,0.13448,0.10153,0.12386,0.45792,0.1069,0.1378,0.12941,0.14822,0.07213,0.08876,0.07662,0.10748,0.11088,0.07968,0.09221,0.07486,0.09432,0.13671,0.10464,0.07428,0.12644,0.13235,0.09587,0.07365,0.06083,0.051,0.07246,0.05755,0.06691,0.0661,0.07999,0.06649,0.07297,0.07095,0.06603,0.07427,0.07123,0.05972,0.05147,0.06506,0.06106,0.05545,0.05253,0.06645,0.05622,0.24252,0.05343,0.15752,0.0648,0.08507,0.07134,0.05965,0.05406,0.05169,0.06261,0.05578,0.05612,0.06061,0.40933,0.09516,0.08656,0.05795,0.07813,0.07358,0.06474,0.06341,0.0586,0.04565,0.05159,0.05888,0.05171,0.04904,0.06331,0.05904,0.05893,0.06341,0.05115,0.05167,0.05483,0.05288,0.05575,0.05818,0.0516,0.05327,0.05864,0.04493,0.06677,0.06256,0.06489,0.05047,0.05837,0.07232,0.07403,0.08438,0.0807,0.06242,0.06085,0.06385,0.06941,0.05963,0.0633,0.06196
-2.75,0.04928,0.04857,0.05442,0.05701,0.05047,0.04407,0.05593,0.05353,0.0,0.05741,0.05046,0.05713,0.0565,0.05708,0.05803,0.05576,0.04699,0.05816,0.04734,0.0484,0.0,0.05255,0.04397,0.06128,0.0473,0.04294,0.03541,0.03845,0.04492,0.04317,0.03263,0.04867,0.10799,0.06615,0.05767,0.08969,0.13109,0.09109,0.07502,0.07099,0.08804,0.07747,0.06257,0.05885,0.06097,0.06343,0.06981,0.08131,0.05429,0.05659,0.05384,0.0551,0.05371,0.04905,0.05526,0.07784,0.05464,0.05755,0.08118,0.09662,0.06331,0.05141,0.05631,0.05346,0.05842,0.04585,0.06344,0.04867,0.06585,0.04832,0.04912,0.15753,0.09414,0.05453,0.073,0.04911,0.04913,0.05361,0.05492,0.04508,0.04963,0.03949,0.1435,0.05205,0.04811,0.04919,0.1236,0.0477,0.05226,0.05018,0.0459,0.04216,0.05234,0.04536,0.04199,0.04382,0.06053,0.09602,0.05367,0.07051,0.05039,0.04994,0.04723,0.0453,0.04478,0.04074,0.05659,0.05139,0.05397,0.04621,0.04489,0.05079,0.05285,0.05626,0.0588,0.11311,0.07025,0.0453,0.08538,0.06313,0.06172,0.07073,0.04942,0.24686,0.07637,0.08153,0.16175,0.28259,0.08046,0.09145,0.22459,0.54076,0.71686,0.49228,0.31201,0.15465,0.12875,0.09771,0.11928,0.43589,0.1026,0.1177,0.11919,0.13533,0.07012,0.08558,0.07057,0.11254,0.10486,0.07938,0.07977,0.07505,0.09411,0.12666,0.10351,0.06908,0.11799,0.12325,0.08923,0.07365,0.06276,0.04966,0.0705,0.05651,0.0623,0.0617,0.07595,0.06649,0.06864,0.06644,0.06412,0.06859,0.06675,0.05564,0.05147,0.06506,0.05629,0.05572,0.04998,0.06309,0.05299,0.23148,0.05286,0.15479,0.06281,0.07213,0.06628,0.05374,0.04929,0.04913,0.06003,0.05188,0.05612,0.06061,0.35281,0.09069,0.07972,0.0542,0.0727,0.06826,0.06232,0.06341,0.06202,0.04565,0.05018,0.05888,0.05171,0.04724,0.05395,0.05304,0.05653,0.05595,0.0495,0.05167,0.04841,0.04768,0.05575,0.05911,0.05212,0.05327,0.05536,0.04493,0.05353,0.05913,0.06489,0.05047,0.05744,0.06781,0.06886,0.0827,0.0796,0.05892,0.05727,0.06051,0.07737,0.0528,0.05869,0.0624
