,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.03816,6.04227,2.17688,1.13902,1.09651,0.08464,12.9618,0.0,0.0,0.03446,253.61635,24.90836,0.84311,12.44139,0.11243,0.0,2.10624,0.0,0.06305,2.09818,0.0,14.32444,0.83958,0.0,7.7578,0.0361,0.0,0.0,0.0,5.2093,27.61497,13.63981,61.93077,0.96912,7.59729,0.0,0.94987,0.77542,26.9178,18.35731,25.17293,7.90602,0.74391,4.00642,0.07466,1.56787,1.17262,7.36931,0.0,0.0,0.0,0.0,2.43568,9.51575,8.56525,0.78948,1.73509,9.72369,1.29819,1.10176,6.58219,0.7023,0.06835,1.37698,0.0,0.0,0.0,1.85304,8.0683,4.65646,52.0928,12.57062,1.05694,0.0,3.90055,0.97051,0.0,0.0,0.17826,0.0,0.0,5.271,1.80628,1.76715,2.88922,1.46561,0.93263,3.87229,5.04098,11.57199,0.21601,0.51244,0.20602,72.73014,0.87828,34.22309,1.1938,23.70641,3.55138,1.02394,2.68662,0.0,2.56392,6.23083,4.10215,10.47447,4.27132,0.0,0.80882,0.0,1.06395,0.27918,3.4581,0.39031,22.21811,0.0,54.26395,23.57477,0.91213,0.50781,4.27947,5.73184,2.86576,0.0,0.0,0.0,31.42303,8.49598,0.0,23.69264,0.0,0.0,0.0,0.0,0.0,12.3986,12.45724,10.31963,0.0,12.36996,31.13888,0.0,0.659,1.05484,0.2495,1.89488,8.72173,13.91474,2.27911,6.3711,7.34749,45.4127,5.69265,0.0,23.34097,9.24554,3.60295,7.98326,4.39851,3.84097,5.3678,2.73994,2.03161,4.20321,0.07312,35.97113,24.32273,4.70108,3.7005,1.53399,3.44385,1.4693,0.27639,1.49439,3.16279,0.28776,1.33493,1.21978,3.44463,17.7177,8.41364,4.12288,3.99903,2.08936,5.59054,0.7324,9.1382,0.04279,3.0458,1.22672,1.27878,7.46551,0.19242,9.12802,11.28268,1.63218,2.46235,5.83474,3.93779,3.14762,0.7361,0.45159,0.0,0.0,0.0,1.99556,0.95141,1.28152,0.0,4.1549,0.04934,0.04808,0.04905,0.2423,0.09387,7.23894,0.0,0.49286,0.33808,1.00875,1.38984,2.6304,2.68245,0.0,0.09641,24.6322,2.80622,2.6942,2.57416,8.78108,4.40225,0.30188,2.07964,2.83683,0.0,1.92953
-4.75,1.06185,0.0,0.03816,4.63698,2.03431,1.15502,1.09651,0.08464,12.9618,0.0,0.0,2.72316,253.61635,24.90839,6.8594,12.4414,0.11243,149.39779,38.14892,0.0,0.06305,19.55178,0.0,14.32444,1.50033,0.0,7.7578,0.0361,0.06256,0.0,0.0,5.23155,27.61498,16.25993,61.93081,0.93654,8.45515,0.0,1.00696,1.44963,27.34584,17.67605,25.30486,8.07636,0.73081,4.02492,0.12226,1.53619,1.17262,6.36258,0.0,0.0,0.0,0.0,2.43568,9.51575,8.58285,0.78948,1.73509,9.93982,1.29819,1.03906,6.62333,1.25544,0.06836,1.37698,0.0,0.0,0.08249,1.85304,8.0683,5.0502,52.89395,10.90142,1.0941,0.0,3.90056,0.82469,0.0,0.0,0.17826,0.0,0.0,5.01021,2.1225,1.76715,1.96437,1.50157,0.93263,4.59303,5.66432,11.57199,3.8941,0.51244,4.82023,72.73014,1.72843,34.2231,1.6245,24.60789,3.49794,1.037,1.83948,0.0,2.56392,13.12393,4.10215,10.47447,4.40821,0.0,0.60354,0.0,1.06395,0.32586,3.39292,0.39031,22.21811,0.0,54.53836,25.14118,0.98254,0.53392,4.35987,7.83748,2.67071,0.0,32.67522,0.0,31.42306,8.51521,0.0,23.69315,0.0,0.0,4.13012,35.74255,5.66167,12.73594,12.45731,10.31969,0.0,12.51301,31.13888,20.23408,0.47926,1.01449,0.28018,1.85127,8.72178,10.58314,1.91302,6.72509,6.81223,46.71174,4.72452,0.0,23.34099,10.59743,3.07185,8.67044,8.00722,2.86048,3.77338,2.73995,2.06089,2.90691,0.07312,37.68861,25.67259,4.8023,3.7005,1.53399,2.56869,1.59656,0.26781,1.23009,3.1628,0.24754,1.33493,1.41591,3.46614,14.08657,8.05029,3.62247,3.22141,2.21728,4.31134,1.1964,9.13994,0.04279,3.04581,1.76253,1.88668,7.46551,0.34345,8.72395,11.35158,0.86056,2.48739,6.02724,2.84346,3.78757,3.45885,0.45159,0.0,0.0,0.0,1.99556,0.95141,1.28152,0.88965,2.80809,0.04934,0.04808,0.04905,0.97938,0.09387,7.26385,27.50958,0.55748,0.33808,1.00875,1.4409,2.63441,2.68245,0.0,0.09641,24.6631,1.9603,3.17158,2.86944,9.22346,4.52733,1.5376,1.10431,10.62638,0.0,1.62364
-4.5,1.06186,1.74995,0.03816,4.60913,2.12383,0.67979,1.3061,0.08464,12.96182,0.0,0.0,2.79079,253.61635,24.9084,5.55704,12.63985,0.11243,149.39779,36.77272,0.0,0.06305,19.76832,10.36614,14.32444,1.34967,0.05615,7.77847,110.73192,0.06256,0.0,0.0,4.73886,27.61502,16.25998,61.93085,0.80378,9.06651,0.02134,0.87267,1.40977,27.3937,14.26256,25.38174,7.23469,1.90375,4.60878,0.12226,1.56095,1.19932,5.67262,0.0,0.0,0.0,3.56476,2.91219,9.51577,6.45943,0.55775,2.14005,9.93984,1.29819,1.68712,6.02364,0.86968,0.03424,1.46666,0.0,3.1444,0.94905,1.8806,7.6306,2.70694,53.59001,12.54798,1.0941,1.36735,1.99231,0.74123,0.0,0.0,0.17826,1.01473,0.0,5.11786,2.12251,1.76715,1.96437,1.53258,2.84097,4.59304,5.66432,11.57199,3.8941,0.51244,3.63358,24.41448,1.58985,37.24426,1.555,25.87956,4.75183,0.93759,1.39937,0.0,2.56392,23.39193,4.10215,10.47447,4.4303,0.0,0.60354,0.0,1.06395,0.35834,2.9349,0.39031,22.21812,29.15583,54.73736,21.90576,0.98254,0.53588,4.35987,7.34923,2.6359,0.0,41.40634,0.0,18.47017,8.64864,0.0,24.03356,0.0,0.0,14.1573,37.22101,34.63099,12.73598,12.45731,12.62188,0.0,9.77981,31.13889,15.19859,0.49784,0.95442,2.34367,2.03969,14.8139,10.26941,3.14124,5.00546,6.94385,48.34233,4.18433,0.06256,29.57582,10.59745,3.15662,8.74622,5.47209,2.5891,2.84068,2.80251,2.07134,3.65337,0.07312,37.81196,25.8185,4.49481,3.15563,4.90308,2.56869,1.50128,0.68878,1.24045,2.09029,0.24754,1.33494,1.41591,3.34718,12.64741,6.11539,3.69638,2.33033,2.25092,3.37488,1.1964,7.65748,0.04279,2.23987,1.77721,1.88668,7.46551,0.34345,11.57504,11.35159,0.92153,2.5485,3.92913,2.32729,3.78757,2.4442,0.45159,0.0,0.98775,0.0,1.99556,0.69406,1.62823,1.17473,2.83677,0.04934,0.10442,0.04905,0.97938,0.09387,6.52812,27.50958,0.69219,0.33809,1.03537,1.4409,2.63442,4.36566,9.05131,0.10967,28.51587,1.39467,3.17158,2.8983,9.32507,4.55059,1.34383,1.17938,10.64348,0.0,1.44992
-4.25,1.3677,1.74995,0.73064,4.07796,2.12383,3.76936,5.82883,0.08464,8.00423,0.0,0.0,2.79079,253.61635,26.60995,6.43979,12.67378,0.11853,149.39779,36.81435,0.0,0.06305,19.79919,38.05117,14.32444,5.89978,0.09862,15.42763,110.76278,7.63632,0.0,0.0,4.3556,20.79246,16.42565,61.93087,0.73261,9.20902,2.53066,0.9843,1.13093,38.63031,13.25772,17.10445,6.76332,1.32865,4.01611,0.20078,1.65222,1.19932,8.81574,4.34455,0.0,0.0,3.56477,2.9122,9.65321,6.45943,0.7273,1.96967,9.54885,0.78265,1.52022,6.02624,23.43058,0.03424,83.27617,0.0,3.1444,0.97542,2.03341,7.6306,2.70696,54.28092,12.72326,1.0941,20.22017,2.02162,0.7455,0.0,0.0,0.24574,1.2495,0.0,5.23869,3.26599,1.76715,1.26958,1.12216,2.84097,4.59304,14.94756,11.57199,3.04478,0.51244,3.63358,20.77926,1.65426,37.42004,1.4183,26.04212,4.3525,0.85779,1.09993,20.50747,2.57188,23.39193,6.04113,6.19796,3.46585,0.0,0.60354,0.0,1.51613,2.63767,2.72939,0.39031,22.53165,29.15583,54.7374,20.87901,0.91235,0.62507,4.18286,8.90887,2.6934,1.3925,41.40716,49.56193,19.39866,9.27437,0.0,25.81351,0.0,0.0,14.15734,37.22106,34.63131,8.40722,8.36401,13.37096,0.0,9.46538,16.32632,21.12623,0.57217,1.06294,1.89114,2.05991,17.30466,11.05455,1.86875,4.66753,6.52785,32.28988,4.43582,0.06256,29.5759,10.59751,3.15662,7.94289,5.47382,2.60091,3.13428,1.62223,2.35741,3.59999,0.25316,28.60205,25.9432,4.3315,2.67747,2.98336,2.38763,1.30553,0.68878,1.19202,2.1504,1.53466,1.81268,1.27118,3.35637,11.92466,7.05347,3.60484,2.16639,2.00083,3.37488,1.28582,7.67443,0.04279,1.95924,1.48352,1.89931,7.46551,0.86573,10.39246,10.27007,0.94159,2.60435,3.04287,2.33786,3.11384,5.28831,0.45159,0.0,1.03466,0.0,8.88385,1.21371,1.86138,1.17473,2.83682,0.04934,0.10442,8.99371,2.94556,0.09387,6.82169,18.43081,0.69219,0.33809,1.0406,1.43127,2.4187,4.36566,12.09115,2.05342,29.04358,1.15918,2.44889,3.26594,10.04737,7.84614,1.37276,1.20564,10.6954,0.0,1.3994
-4.0,13.75408,6.79986,2.27715,4.09995,2.14968,3.18794,5.30725,2.43567,8.00423,0.0,0.0,1.96685,129.05572,26.60995,7.28816,11.92247,2.06604,157.98762,26.65143,0.0,0.06305,16.47677,55.26573,14.04197,5.9223,3.41435,6.21224,133.3587,7.63632,0.0,17.73963,3.42272,24.36701,12.31939,34.90672,0.66504,9.34962,7.85555,0.95296,1.18503,39.32383,12.85661,17.31313,5.59784,1.54496,3.24451,0.20078,1.85886,1.19932,6.94018,4.34455,1.22115,0.96993,11.06188,3.00593,9.65324,6.71815,0.72731,2.34031,9.69384,3.36733,1.14056,4.42676,23.56913,0.03424,83.29693,0.0,43.74199,0.97542,1.96534,5.8713,2.70696,54.5368,13.46524,1.17883,25.31822,7.86235,0.65101,0.0,0.86561,0.56931,1.27821,0.0,4.5948,3.29346,4.02118,1.68839,0.60728,2.46266,4.59304,14.95879,11.57199,3.04478,0.51244,6.44681,17.89356,1.65427,37.43039,1.79242,26.35378,4.08678,0.74862,1.10286,12.88782,2.59225,15.66788,6.04113,18.46737,3.77006,0.0,0.60354,0.0,1.56916,2.63767,2.80838,6.6817,22.53167,29.39119,54.98527,18.87449,1.31958,0.64204,2.84356,9.00241,2.71133,3.23674,34.36298,39.52047,29.61849,9.6708,0.0,34.27015,0.62067,0.0,14.46686,23.38895,25.30913,8.49885,6.10053,13.61585,30.51565,8.45468,17.18224,16.98008,0.52229,1.11357,1.66425,2.0371,17.30489,9.7082,1.80474,3.6167,6.7252,33.10423,4.1866,0.55286,24.79198,19.50851,3.16945,8.27253,4.46846,2.60091,2.73674,1.71868,1.6558,3.34075,0.25316,28.69864,26.45136,4.33922,2.52001,2.85234,2.66242,1.41727,0.79758,1.14384,2.1504,2.97932,1.81268,1.54841,3.29254,12.61676,6.48101,3.3939,2.34956,1.86315,2.64002,1.64924,7.70887,0.18259,1.95927,1.44595,1.96301,7.46551,1.17571,11.04858,10.42194,0.99617,2.24968,2.36227,2.50471,3.11242,3.91988,0.45159,0.0,1.03466,0.0,8.48222,1.21371,3.72936,1.07079,4.44396,0.04934,0.10442,8.99633,2.84108,0.09387,7.55118,7.87502,0.82316,2.40707,1.38,1.34411,2.18833,3.51003,12.09115,1.61875,23.68602,1.21962,2.95993,2.50068,9.51256,7.97108,1.27661,9.31819,10.6954,0.0,1.42618
-3.75,13.76275,7.08534,4.95703,4.14026,1.435,2.60105,5.37068,2.43567,6.50636,0.0,0.0,2.34978,129.75048,26.60995,6.89499,7.76544,4.21098,157.98762,20.14252,0.0,0.06305,12.18708,55.26573,14.07501,11.99318,39.60956,4.68407,133.3656,7.63632,4.06357,17.73963,3.36154,24.63597,13.2626,35.36158,0.93447,8.1939,6.73828,0.94368,1.09587,28.6179,15.17582,17.31314,4.59987,2.57137,3.2563,0.20078,5.49646,8.0153,6.58776,2.26706,0.65546,0.99566,8.58633,2.14783,9.65325,6.7379,14.31283,2.42998,10.40179,2.47202,1.25825,5.40148,19.02067,0.03424,83.29693,0.00546,23.02355,1.85513,2.1743,3.95675,2.19037,54.86595,12.13395,1.17884,28.47718,3.31468,0.91062,0.0,0.90204,1.55328,2.44962,4.58894,3.61964,3.39235,4.77634,1.43603,3.75613,2.04538,5.06182,14.9588,8.97445,3.04478,0.55654,6.0367,17.89989,1.45898,41.08989,2.60558,26.39367,4.17269,5.90124,0.96136,12.88783,2.59225,22.0034,6.04113,18.54636,3.38052,0.0,0.60354,0.00049,3.52588,5.71768,2.95258,3.6928,22.53167,8.8982,54.9853,20.61343,1.37722,0.77275,3.43296,9.47832,2.48341,2.34868,38.90522,39.52058,29.61857,10.13512,0.0,35.60721,49.56072,0.0,9.56558,24.7405,26.02457,8.51912,6.23782,14.19679,41.52718,9.28721,15.73016,19.44341,0.52391,1.07859,1.66425,1.86004,17.30493,7.75323,1.91531,3.63395,6.74582,33.56878,4.09738,1.06412,24.79203,17.26902,2.86163,8.35505,4.034,2.12903,2.43188,6.93685,1.7903,3.26259,0.23889,29.34208,17.23445,4.4203,2.52001,2.55922,2.47471,1.5096,0.75657,1.09335,4.09539,2.97932,1.80604,1.52649,3.20569,9.65794,6.61104,3.37039,2.5638,1.68038,2.02551,1.5414,9.0732,0.18259,1.65534,2.08411,1.96301,6.45308,1.17571,11.61794,9.59332,1.02152,2.33005,2.16066,2.26437,3.25722,3.91988,5.93384,0.0,4.06611,22.83755,8.48222,1.04255,3.17781,1.11484,4.48476,0.04934,0.10442,14.96711,2.84108,23.41049,7.57374,7.87502,0.82316,7.53469,1.38873,1.2678,3.08131,3.51003,5.36283,1.36966,22.7647,1.20973,3.81041,2.34586,8.40828,5.10068,5.56026,17.76535,12.93793,0.0,1.47857
-3.5,13.79941,7.11841,5.00598,5.99816,1.36553,2.36729,4.58587,5.32612,4.97707,70.05863,0.0,5.86775,129.75048,16.08049,6.61343,7.78667,3.46253,157.98762,20.24088,6.71722,0.06305,10.62582,55.26574,12.2705,12.06344,41.66829,4.68407,143.76201,7.63632,4.06358,13.3386,5.23092,20.65479,14.70051,35.36161,1.57699,8.31147,7.66748,0.87731,1.02362,29.02126,13.84274,17.4439,3.95839,2.15736,3.14722,1.56437,4.5834,16.52027,6.63891,2.78968,3.00413,8.43,6.14946,1.99916,14.18118,5.78686,7.49868,2.6975,10.43445,2.46031,1.59829,4.45253,15.62539,0.51297,83.29693,0.00546,20.0138,1.98379,2.15133,4.21779,1.90662,56.47604,12.6347,5.08136,25.17874,2.69913,0.8897,122.63185,0.90204,2.4664,2.46237,8.15448,4.49168,3.26572,4.35833,2.28855,5.30932,5.49468,5.18867,12.30332,8.49308,5.85611,0.55654,6.89298,10.8422,2.94891,21.16488,2.5949,20.90992,6.46657,7.09991,0.96943,4.78584,5.0193,18.46633,10.96249,12.72015,3.24335,0.0,5.80092,0.00049,3.39509,5.98593,3.15598,8.205,15.06132,8.93438,30.47068,21.11279,1.66413,1.2272,2.86252,6.9919,2.13238,2.20921,42.1802,30.89995,39.1023,8.86742,0.0,38.53023,50.60448,10.33051,13.88413,24.86577,30.96786,8.07613,5.21251,18.55349,47.48644,8.19515,13.24798,19.05648,0.65326,1.07661,1.58045,1.92357,24.4037,6.90066,1.58501,3.14231,6.78499,25.48278,4.05394,3.2099,24.7921,15.79707,2.80628,8.36092,5.66836,2.03281,2.82805,5.05461,1.59299,3.4113,0.83403,18.37548,17.55811,3.46835,1.78928,2.47946,1.86145,1.39651,0.75657,0.96776,2.80106,7.26948,1.78888,1.43436,3.30611,8.22375,6.3068,3.4801,2.1009,1.56759,2.02551,1.69888,7.95966,7.02579,5.3135,2.71402,1.78658,4.87302,1.49686,10.67988,7.30821,1.00066,1.98377,2.01998,2.635,3.25722,4.50725,5.93384,15.13035,27.88455,17.28981,51.09847,3.09044,5.88538,1.29728,3.9201,7.11566,20.80985,15.34087,4.36217,16.57119,7.58169,4.84355,0.82316,18.53976,1.42417,1.2678,3.10359,3.70517,6.4284,1.25295,22.95169,1.57722,3.91197,2.15931,9.10059,5.76959,5.15569,28.57201,11.11446,0.0,1.45032
-3.25,14.19661,7.92465,4.86598,11.68717,0.9246,2.3349,7.0117,4.32083,4.31321,24.45156,0.0,5.44288,133.7104,16.32151,5.18664,7.78759,3.46611,139.65468,20.2934,6.72445,7.13728,8.32186,61.75416,14.67672,17.76092,23.67547,5.34935,161.11978,19.84423,4.08408,12.2951,4.47598,20.95358,11.82229,35.36162,1.40938,6.86455,8.46281,0.76796,1.1674,29.82739,12.49629,10.48193,3.92967,2.35067,3.09557,4.74205,3.96066,16.73508,8.15234,4.98281,5.17587,8.43003,6.19111,2.99795,14.3281,5.84407,7.53099,2.28137,7.07194,2.43814,1.3506,4.72544,13.23101,0.53597,37.43981,0.06143,15.15993,1.38411,2.34439,3.11892,1.9357,30.19882,9.95865,4.02254,25.39873,2.39604,0.8897,122.63185,0.90204,2.33267,1.85855,13.21205,4.35844,3.08591,4.32557,3.5105,8.32275,4.82033,8.17965,12.30871,14.75238,5.12725,31.89351,6.43482,10.58474,2.43394,13.80781,2.53803,21.73831,9.40109,6.02148,1.13231,3.42793,9.66784,37.20891,10.96249,22.15502,2.88191,13.21437,19.0403,0.05969,5.29389,5.80931,3.08084,22.47881,15.13074,5.98806,30.47081,22.2408,2.09805,1.47486,2.58924,6.82684,2.02892,2.54608,43.16897,32.6785,40.22573,8.45802,16.95708,46.83629,50.60462,15.25109,16.59523,26.61905,27.58874,8.01249,5.31918,23.97675,33.95492,8.91548,15.80412,18.99149,1.2524,1.20403,1.46744,1.95456,24.40389,6.50047,1.5944,2.64057,4.60785,25.77692,3.70157,2.36857,24.71785,16.67716,2.55596,5.11542,4.73928,1.9242,3.83466,4.42411,2.60682,3.58411,4.10611,17.11373,14.52029,3.36381,1.3984,2.78828,1.43413,1.39942,0.96866,0.9064,8.20754,5.51997,4.23178,1.65884,2.92355,8.89754,5.31324,3.23002,1.85695,1.52781,2.0893,2.21617,9.03883,4.59701,3.83622,2.71402,1.73384,4.3764,2.12793,9.58908,6.6409,2.56261,1.68661,1.85037,2.73834,2.98552,5.16967,4.79082,10.74202,28.00862,17.28981,34.31003,3.09044,5.81174,2.67357,2.90147,11.09112,20.80985,15.38146,4.20746,16.57119,6.94808,4.70695,22.7294,18.53976,1.42417,2.15158,2.97466,4.53461,7.21091,1.25295,24.79185,5.3903,5.56417,1.8828,8.82488,3.89584,4.00801,24.74428,9.81931,0.00542,1.47928
-3.0,12.59445,7.09402,6.65652,8.80068,0.87685,2.89343,8.82115,4.67796,6.42725,20.00465,0.0,5.70007,92.43971,15.48194,5.91381,8.00508,3.53441,139.66163,15.39399,9.95134,5.39675,13.4776,61.75416,17.22426,13.51991,22.82602,6.26998,170.11529,31.54226,90.07259,11.70239,4.11856,18.03796,9.86119,26.54855,2.20506,6.44918,9.13189,0.74607,1.11706,30.42053,14.68346,8.78602,3.5402,1.93054,2.87089,4.35623,4.08516,15.17571,8.68244,12.75104,5.18161,7.26724,6.9185,7.12452,14.48434,6.73595,9.49715,2.50677,7.1267,2.12074,1.32934,5.5419,8.15576,0.66223,33.49878,0.64136,14.04859,1.10186,3.50105,3.21301,3.78238,25.77449,8.12907,6.40454,25.96657,5.57491,1.41457,67.1289,4.35779,2.52558,10.06074,12.85706,4.181,2.60445,4.15674,3.5174,12.41981,4.4304,9.33013,11.73434,13.20393,5.12725,28.44985,7.29285,7.5915,2.45727,11.60373,4.01173,22.17368,6.68538,8.42478,5.56218,3.42793,9.10337,27.96986,9.00247,18.9881,7.62079,8.55122,16.81293,0.05969,7.16599,4.98711,2.74073,17.13541,15.13074,4.09408,30.47084,19.01363,6.28995,1.89527,2.65225,7.48663,1.91562,2.74297,28.55968,31.61815,28.80677,7.94249,21.33986,49.63989,55.55928,13.9288,19.84807,34.14838,26.01198,7.95619,5.29981,23.9581,40.98279,8.45204,16.96972,19.85572,1.27749,1.1917,2.33583,1.924,30.71227,6.29182,1.4474,2.65017,4.33659,23.6679,3.72484,2.18245,17.44863,15.83307,2.05267,5.11543,9.17335,2.44488,3.31264,11.62749,3.16499,3.51515,9.57315,17.19167,11.56919,3.0832,1.01541,2.80758,1.66058,1.75788,1.33941,1.61668,7.70715,5.51997,4.23178,1.85111,2.93604,7.28733,4.68056,3.0248,1.87773,1.69444,2.64019,2.03172,5.52044,4.59701,3.5415,2.70153,1.73384,4.67955,4.3224,9.81235,6.73692,2.67082,1.94049,1.62978,3.99137,3.08038,7.32059,5.01167,10.74202,24.75215,11.87402,34.31003,4.67381,5.81174,3.14978,9.65204,9.53519,22.82467,15.39591,3.92912,16.8558,7.1933,4.53699,20.43818,17.35536,17.24453,4.2077,5.79368,4.53461,7.21091,1.9241,26.13064,4.45471,4.21674,1.89667,8.34134,2.9013,4.00801,20.90489,20.48484,3.52544,2.22429
-2.75,9.3449,6.2501,8.82173,6.96638,2.87485,2.85887,8.40581,5.25747,6.43785,16.06579,10.10514,5.63501,50.15463,15.48196,7.68366,6.66247,3.49618,80.55207,14.50222,8.58445,7.09125,10.67969,58.90193,15.12101,13.88237,17.52806,7.14013,106.78357,37.36603,66.9068,11.70239,3.81578,13.94688,9.28889,23.87925,1.9545,5.52256,8.8512,0.79411,1.11063,35.07472,13.53107,9.0672,2.9696,2.11433,2.79475,5.45305,3.07189,13.31744,9.62028,10.14442,5.27889,5.05351,7.06676,7.36886,10.3641,5.43272,12.70819,3.96632,7.15773,2.14772,1.47183,5.50418,9.10502,50.24155,29.51808,12.69171,23.48254,24.05777,3.42367,3.76786,5.16628,25.1971,7.31493,6.11393,21.24407,6.1468,2.11919,67.12891,5.97611,3.40712,8.89865,16.25953,4.10551,3.30187,3.68211,5.06381,14.09786,4.4304,10.78239,8.22738,14.5257,5.01505,21.90884,6.28352,8.8662,3.19197,10.94228,4.59311,22.7005,6.77392,9.28403,4.97303,4.65151,7.11779,19.39993,9.00247,19.24286,8.09593,5.15663,16.81293,14.94369,6.88607,4.98711,2.57387,14.76681,10.43437,4.74172,30.47094,19.56693,5.5773,1.76025,6.84532,7.05404,1.83804,3.03904,40.88482,41.23301,29.7813,7.35233,21.34017,45.47343,44.52548,17.38868,20.11536,23.23048,26.43434,7.20638,4.44738,24.54892,32.54721,8.49504,17.21234,20.0913,1.53232,1.30143,2.22138,1.81231,21.376,5.77716,1.38148,2.55821,3.70134,18.77964,3.28645,1.50622,15.9109,14.48038,2.01674,3.71079,11.9977,3.30366,3.07463,8.6466,3.16499,3.36263,7.57242,18.23455,10.15737,2.67438,0.95571,2.8046,1.65097,1.85443,1.33941,3.11976,7.70997,4.82885,5.58896,1.85111,3.00342,6.73231,4.40886,2.8685,1.96264,1.55688,2.53014,1.86305,4.79769,6.31583,5.17335,2.69102,2.14065,5.5185,4.3224,9.86857,7.89466,3.26452,2.406,1.35609,3.68376,2.55582,8.1713,5.01167,7.47581,25.11525,11.66206,19.57135,4.67381,5.19661,3.74068,13.88182,17.80285,14.74878,16.55378,5.29307,19.3108,5.94128,3.7315,18.33116,15.61406,12.03085,6.28552,5.88782,4.20345,7.23984,2.40153,27.05559,4.6747,5.11852,1.99372,8.16845,3.08166,3.45017,15.2833,19.11446,12.38495,2.00663
