,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,3.00904,0.0,3.79086,1.24727,0.0,0.0,0.0,4.12374,0.0,0.0,0.0,0.157,0.0,0.0,0.75417,0.02052,4.77828,0.0,0.0,0.0,0.0,0.0,1.51123,0.19019,1.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.22252,0.0,1.0899,0.33899,3.09646,0.0,0.67547,0.15314,0.22931,0.0,4.35962,1.62256,1.48268,1.73358,0.0,5.74429,0.0,0.17932,0.0,0.70481,0.0,0.0,0.14433,0.0,13.21126,0.19642,4.04176,0.46168,5.25212,0.64967,0.0,0.0,1.61587,0.14103,0.0,0.0,0.0,0.72992,0.0,0.0,0.0,0.0,0.0,1.47871,2.15516,1.97465,0.80668,3.61355,0.0,0.0,0.61403,1.72109,2.79419,0.0,0.60642,1.80799,30.14401,0.0,0.0,0.16773,0.0,0.0,0.0,0.0,1.31288,0.1287,14.88979,0.0,0.40927,0.4543,1.89198,0.0,0.0,1.0877,1.31722,21.13045,2.78603,0.15271,0.0,9.54912,0.70383,0.0,13.18427,0.81053,0.20568,0.91623,1.05967,20.12446,0.70096,0.10975,3.13781,0.0,0.0,0.74836,1.9107,0.0,0.0,2.48055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54275,2.26972,9.95997,0.0,0.15027,0.57217,0.0,0.0,0.69578,1.09193,0.46009,0.0,1.51119,2.79984,1.17895,1.57571,0.70299,0.0,6.92333,0.0,0.0,0.0,0.0,0.05654,0.0,0.3058,4.69682,0.02093,1.79753,1.57071,0.0,1.79506,0.57061,1.75295,1.3358,0.35594,12.72389,0.37842,0.0,0.0,0.0,0.0,0.0,1.1014,3.82201,0.0,0.74515,1.23341,2.08186,2.93092,0.48601,0.0,0.0,0.0,0.71769,0.0,2.58487,0.23691,3.57677,6.32936,2.27328,5.51989,4.70012,1.14499,1.58844,0.0,0.03134,0.0,1.24259,0.0,0.00546,0.0,4.73626,1.79204,3.04016,0.19248,0.0,0.0,1.61417,0.0,0.0,0.0,0.0,0.0,0.0,0.88105,0.21511,1.92231,0.55404,1.46262,2.02264,1.38872,0.68307,0.0,2.45624,0.20335,0.0,0.64131,0.0,0.0,0.1042,4.80232
-4.75,3.00904,0.0,3.79086,1.24727,0.0,0.0,0.0,4.94177,0.0,0.0,15.13001,4.40263,0.0,0.0,0.76615,0.06963,4.86962,0.0,0.0,0.0,0.0,0.0,1.51123,0.0951,1.09867,0.0,0.0,0.0,0.0,0.0,0.0,0.22252,0.0,1.23388,0.29218,2.48883,0.0,0.67547,0.16348,0.25512,0.0,4.35962,1.62257,1.48268,1.47234,0.0,5.74429,0.0,0.20327,0.0,0.70482,0.0,0.0,0.14433,0.0,7.49592,0.19642,4.04179,0.46168,5.5132,0.64967,0.0,0.0,1.63577,0.14103,0.0,0.15135,0.0,0.72992,0.0,0.0,0.0,0.0,0.67458,1.50172,2.44061,2.08986,0.75807,3.63964,0.0,0.01074,0.61403,1.72111,2.79419,0.56315,0.60642,1.808,30.14401,0.0,0.0,0.16773,0.0,0.34419,0.0,0.0,1.31288,0.1287,14.8898,0.0,0.40927,0.76025,1.4774,0.0,0.0,1.09798,1.31722,21.13045,2.78604,0.15272,0.02094,9.54912,0.77534,0.0,13.18427,0.88779,0.80948,0.98831,1.05967,29.46068,0.79695,0.10975,3.13781,0.0,0.0,0.89916,1.9107,0.0,0.0,2.48055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6825,2.26973,10.8393,0.0,0.21267,1.62231,3.08552,0.0,0.69578,1.09194,0.46009,0.0,1.51121,2.79984,1.18689,1.18186,0.55523,0.0,4.18536,0.0,0.0,0.0,0.0,0.05654,0.0,0.32656,4.69682,0.02093,1.79754,1.57071,0.0,1.59258,0.57061,1.84907,0.96153,1.20753,12.7239,0.37842,0.0,0.0,0.27782,0.0,0.0,1.1014,4.06373,0.0,0.74515,1.36865,2.00319,2.93093,0.48601,0.0,0.0,0.0,0.71776,0.0,2.58487,0.24212,3.57682,4.8268,2.27329,2.82868,4.75262,1.14499,1.39048,0.0,0.72384,0.0,1.24259,0.0,0.00546,6.3717,4.73626,1.5997,3.04016,0.19248,0.0,0.0,1.63224,0.0,0.0,0.0,0.0,0.0,0.0,0.47085,0.21511,1.92231,0.55404,1.46262,2.02264,1.40703,0.69305,23.37076,2.08638,0.20335,0.0,0.64131,0.0,0.0,0.1259,3.97693
-4.5,5.3728,0.0,3.86469,1.24727,0.0,0.0,0.6842,4.94178,0.0,0.0,15.13001,4.40264,0.0,0.0,1.17063,0.06963,4.86962,0.0,0.0,0.0,0.0,0.0,1.51123,0.11083,1.1013,0.0,0.0,0.0,21.8594,0.0,0.0,0.22252,0.0,1.19933,0.29218,2.53417,0.0,0.64203,0.16348,0.25512,0.0,4.35962,1.62264,1.76656,1.47234,0.0,5.74429,0.0,0.33079,0.0,0.70482,0.0,0.0,0.14433,0.0,7.49596,1.04187,4.87849,0.56751,6.47446,0.64967,0.0,5.83187,1.63947,0.14103,0.0,0.15135,0.0,1.00564,0.0,0.27811,0.0,0.0,0.67459,1.50172,2.44061,2.10044,0.75807,3.63964,0.0,0.01074,0.61404,1.72112,2.79419,0.56315,1.12454,1.808,30.14401,0.0,0.0,0.16773,0.0,0.34419,0.0,0.0,1.31288,0.1287,14.98806,0.0,0.68323,0.73206,1.4774,4.18786,0.0,5.53665,1.31722,21.13045,2.78604,0.15273,0.02094,9.54912,0.77534,0.0,13.18427,0.7819,0.86549,1.00121,1.05967,30.23615,0.89002,0.10975,3.13781,0.0,0.0,0.89916,1.97402,0.0,0.0,1.69636,0.0,0.0,0.0,19.18792,0.0,0.0,0.0,3.68253,2.33255,11.58023,0.0,1.27052,1.64353,2.40677,0.0,0.69579,1.03024,0.69336,0.0,7.20385,2.84614,1.52157,1.30259,0.80583,0.0,4.4882,0.65267,8.42856,0.0,1.0891,0.05654,0.0,0.32656,4.69683,0.02093,1.79754,1.20018,0.0,1.62163,1.05357,3.49699,1.23354,1.20754,13.7484,0.91389,0.0,0.0,0.27782,0.0,0.0,1.1014,2.76757,0.0,0.82319,1.80345,1.53922,2.93093,0.60341,0.0,0.0,0.41372,1.14909,0.0,2.58487,0.24212,6.85194,4.91782,4.23054,2.82868,4.95208,1.14902,1.3123,0.0,0.72384,0.0,1.8521,0.0,0.00546,6.3717,3.31489,1.59972,3.04016,0.19248,0.0,0.0,1.63224,0.0,0.0,0.04609,0.0,0.0,0.48402,0.47085,0.21511,1.06724,0.70881,1.51488,1.17058,1.41333,0.61857,23.37079,2.03766,0.38096,0.0,0.64132,0.0,0.0,1.49721,3.97693
-4.25,5.3779,0.0,3.86469,1.24728,0.0,0.0,21.43496,4.94967,0.0,0.0,15.13001,4.40264,0.0,7.77794,1.06957,0.06963,4.86962,0.0,0.0,0.0,0.0,4.57919,1.60275,0.11083,1.1013,0.0,1.16742,0.0,21.8594,0.0,0.0,0.22252,0.0,1.19933,0.23703,2.53417,0.0,0.93995,0.10814,1.57245,11.08215,4.35963,1.60785,1.53552,1.47234,0.0,4.46995,0.0,0.33079,1.06337,0.70482,0.0,0.30962,23.37663,0.0,9.99686,0.98834,4.90169,0.56752,3.81822,0.64968,1.02802,5.83187,1.63947,1.20254,0.0,0.15135,0.0,1.00565,0.0,0.27811,0.0,0.0,1.15885,1.53328,2.44061,2.15037,0.75809,3.63964,0.0,0.01074,0.63004,2.05459,2.93934,0.62829,1.12454,0.90405,30.14401,0.02885,0.0,1.92138,0.0,0.42278,0.0,0.0,1.31289,0.1287,14.98807,1.72862,1.03331,0.84109,1.60384,4.28237,4.44005,5.53665,9.72395,22.42211,8.42929,0.15273,0.02094,9.54912,0.77534,0.0,13.18427,0.91463,0.6613,1.01674,1.62853,30.45981,0.96858,0.10975,1.61276,0.0,0.0,0.89916,1.85098,0.0,0.0,1.72119,0.17407,0.0,14.09019,19.18798,0.0,0.0,0.0,3.91096,2.33256,11.62665,0.0,1.33283,2.51364,2.42466,0.0,0.84075,0.82345,0.69336,0.0,7.20385,1.927,1.07758,1.3026,0.63839,0.0,4.48821,1.30816,11.24163,5.66899,1.08911,0.05654,0.0,0.32656,2.7348,0.02093,1.79754,1.2002,0.0,1.63178,1.2304,4.10312,1.31018,1.20754,7.75306,0.91389,0.0,0.0,0.27783,0.0,0.0,1.60555,3.00238,0.0,0.74216,1.83961,1.60112,1.60968,0.61333,0.0,0.15355,0.41372,1.17681,0.0,2.58488,0.24212,6.85196,5.05924,4.60688,2.82868,5.05753,1.17784,1.17283,0.0,0.82755,0.0,1.91168,0.0,0.00546,6.37171,3.31489,1.59972,2.07171,2.89098,0.0,0.0,1.6589,0.0,0.0,0.04609,0.0,0.0,0.48402,0.99756,0.21511,1.06724,0.70881,1.51488,1.17058,1.41333,0.61858,23.37128,2.32263,1.23505,0.0,0.64132,0.0,0.0,1.49721,3.99638
-4.0,6.59752,7.03247,3.86469,1.24728,0.0,0.0,21.44325,4.94967,0.0,0.0,15.13003,10.02601,0.0,4.71852,1.02169,0.06963,3.49334,0.0,12.6186,0.0,0.0,4.57919,1.60275,0.11083,1.12468,5.24808,1.16742,4.00143,21.8594,0.0,7.64261,0.22252,0.0,1.10249,0.2114,2.55885,0.0,1.0297,0.27862,1.61101,11.08217,4.35964,1.81221,1.64969,1.37852,0.0,4.46996,0.0,6.57727,1.1897,0.70482,0.0,0.37592,23.37663,0.0,11.22593,1.23935,3.60524,0.56753,3.82852,0.67458,4.14141,5.8424,1.63947,2.90519,0.0,0.15135,0.0,0.5995,4.46107,1.94946,0.0,0.0,0.92044,3.01221,2.46102,2.15037,2.85834,1.90184,0.0,0.01074,0.63004,2.22849,2.97986,0.62829,0.97375,0.90405,30.14401,0.02885,0.0,1.47702,0.0,0.42278,0.0,0.0,0.84017,0.1287,14.98847,1.72862,0.98395,0.84109,1.94625,4.28237,2.61325,4.93742,9.72395,22.42618,5.6636,0.21025,0.02094,9.54912,2.07151,0.0,9.1071,0.87274,0.59887,0.89361,1.63372,30.54612,1.13884,0.10975,1.61276,0.0,0.0,0.89918,1.87705,36.47359,18.96242,1.80647,0.46852,0.0,15.13785,21.38402,0.0,0.0,0.0,4.0895,2.05317,12.46572,0.0,1.66206,2.45038,2.21877,0.0,1.07278,0.83717,0.69336,0.0,7.49388,1.2134,1.55578,1.31196,0.68974,0.0,8.24095,1.30816,12.04464,8.37537,1.13093,0.05654,0.0,0.32656,2.74041,0.02093,3.3641,1.2002,0.0,1.55254,1.05126,3.27868,1.41221,2.44772,5.58373,0.94549,2.95984,0.0,0.36736,3.43371,0.0,1.60555,3.00238,0.0,0.74216,1.86962,1.61418,2.13301,0.58939,0.37545,0.15355,2.97937,1.09059,0.0,2.58488,0.24212,6.85201,6.6332,4.8861,2.82868,5.08049,1.01557,1.17283,0.0,0.82755,8.04842,1.91168,0.0,1.61865,6.37171,2.91897,1.59972,1.63087,2.89098,0.0,0.0,1.6589,0.0,3.07202,0.04609,0.0,2.63663,2.91936,0.99756,0.21511,1.51085,1.69403,1.51488,1.17058,1.32008,0.73369,23.37134,3.2239,1.56471,0.0,0.64132,0.02817,5.89194,1.50232,2.94702
-3.75,4.91255,3.68039,6.45668,1.24728,3.43242,0.0,10.9416,4.94967,0.0,0.0,15.13003,10.02601,0.0,4.71853,0.92307,5.28618,3.49334,0.0,8.257,0.0,0.0,4.57919,1.60275,0.11083,0.96884,5.24808,1.16743,4.00143,25.52584,0.0,7.64261,0.22252,0.0,0.7664,0.22942,2.55885,0.0,0.83088,0.30973,1.21901,11.08219,4.35965,1.86999,4.39956,1.37153,0.82143,4.48245,0.0,5.47612,1.1897,0.66375,0.01706,0.37592,23.37663,0.0,11.22594,0.98852,3.29439,0.82536,4.59896,0.69065,17.1832,4.70214,1.30314,3.17102,0.0,0.15135,0.0,1.39602,3.4224,1.94946,0.0,26.61305,0.97128,2.50277,1.75343,2.15038,2.92826,1.90184,0.0,1.2283,0.63005,2.22849,2.03719,0.62829,1.88473,0.90405,30.14401,0.02885,0.0,1.47702,0.0,1.27481,6.06433,3.48111,0.84017,0.1287,14.98848,1.72862,1.1569,0.67977,1.40947,4.28237,2.61325,5.78527,8.7941,22.42618,6.34065,0.3595,2.84459,9.54913,4.33985,0.0,6.91353,0.84764,0.62331,0.77159,1.63372,23.91772,1.1417,1.89045,1.61276,0.0,0.0,0.89918,1.89325,36.95353,25.66722,1.8295,0.53432,0.0,15.43822,18.22692,0.0,5.08063,0.0,4.35765,1.34478,15.89593,0.0,1.56205,2.53135,2.50343,0.0,0.87703,0.69285,1.99241,18.32704,4.01624,1.21341,1.60086,0.83592,0.7285,6.67352,9.81008,0.73505,12.42546,9.39282,1.05691,0.05654,0.22056,2.9239,2.74041,0.02093,3.3641,1.26978,0.93269,1.04431,1.17819,3.39034,1.21451,2.21088,4.26853,1.08118,2.95984,0.0,0.43249,1.73862,0.0,1.60555,3.0024,0.0,0.52105,2.34597,1.74218,1.91615,0.76239,0.49558,0.15355,5.90168,1.10889,0.08424,5.32224,0.24212,6.85206,6.98717,5.39696,2.82868,5.19054,1.05079,0.94201,10.83126,0.86073,8.04842,3.66002,0.0,1.61865,2.57729,2.91897,1.63682,1.63087,4.76236,10.98394,0.0,1.2642,0.41531,3.07202,0.04609,0.0,2.82161,2.91936,0.97585,3.74467,1.30366,1.82537,1.51488,1.1706,1.07648,0.78849,23.37137,2.89058,1.56471,0.0,0.57663,0.04967,5.89194,1.19971,3.16409
-3.5,4.91255,2.25334,5.61134,1.24729,3.43242,0.0,9.39917,4.95757,0.0,0.0,15.15313,10.0502,0.0,4.09108,1.92397,5.28618,3.49334,62.89961,8.257,0.10753,0.0,8.10584,1.60275,0.11083,1.09933,4.7852,14.59433,4.00143,25.52584,30.06305,7.64261,0.50964,0.79845,0.88173,0.22943,2.80146,48.27491,0.71318,0.34141,1.22662,13.4018,6.38694,1.80591,3.13097,1.39722,0.58457,3.70848,0.0,4.66024,2.23852,0.67323,0.01707,0.67271,23.37663,0.0,11.22595,0.84022,3.32062,1.51647,4.8486,0.69065,13.11966,4.11701,1.33519,2.74254,0.0,4.38401,0.94181,1.84727,7.91138,2.4481,0.0,31.39143,0.99649,2.50277,2.06182,1.32154,2.92826,1.90191,0.0,1.2283,0.63005,1.4251,1.66005,0.91965,1.88473,0.90405,30.14401,3.1076,37.71682,1.47702,0.14127,3.1422,4.24248,1.87191,1.53498,0.15391,15.04701,3.40212,1.09853,0.80774,1.13451,1.93873,2.64989,5.63447,7.14522,22.42619,6.4999,0.3595,2.84459,5.20042,4.33985,0.0,5.50735,1.63201,0.61994,0.99547,1.63372,25.19058,1.15333,1.89306,4.41029,0.0,0.0,0.7225,2.00379,37.22549,27.59292,1.66494,0.8362,0.0,15.60734,18.34188,0.0,5.08073,0.0,4.79898,1.10615,16.19354,0.0,1.4911,2.81962,2.62687,14.61998,0.84002,0.6808,1.79002,18.75894,5.57067,1.33678,1.32759,0.75337,0.86668,6.2926,8.12726,0.79503,12.77544,21.47564,1.30548,0.04132,0.22056,2.9239,2.74041,1.12518,3.3641,1.79593,0.84397,1.1016,1.16689,3.44356,1.34833,2.21088,3.6564,0.81876,3.53377,68.59874,0.43249,1.73862,0.0,1.60555,3.08198,7.32864,0.87648,2.21057,1.85216,2.1783,0.70694,1.59691,1.63732,5.90168,1.24819,0.08424,4.23748,0.76794,8.55902,8.07128,9.05396,2.16874,4.20341,1.13918,0.89327,10.83126,0.86073,5.97158,3.66002,1.51655,1.51409,2.57729,2.39131,1.47952,1.64903,4.76236,10.98394,0.0,1.2642,0.58018,6.58949,0.04609,0.0,2.82161,1.3397,2.19601,2.855,1.30366,1.82537,1.51488,1.82543,1.06808,1.0012,31.83326,2.70937,1.30355,0.34456,1.69621,0.04967,12.97914,1.19971,3.16409
-3.25,3.32113,2.32003,5.6348,1.24729,2.09085,0.0,7.91914,4.95757,0.0,0.0,15.15314,7.73483,0.0,3.47849,1.89776,5.45417,2.12728,62.89961,8.257,0.10754,0.0,8.10584,6.9505,0.11083,7.02174,3.26581,14.59433,6.08451,19.16378,30.06305,7.46205,0.50964,4.82222,0.83466,0.64946,1.60874,48.27584,0.79623,0.65861,1.2972,13.43069,2.89093,1.62592,2.66598,1.24859,1.98736,3.7085,0.0,4.66024,2.34806,0.59071,0.34631,0.64668,30.55443,0.37183,8.45306,0.84022,3.32063,0.73315,4.88025,0.7672,8.09638,7.78856,1.33519,2.77106,22.77743,4.38401,3.49343,5.47502,7.91141,1.69053,0.0,54.07481,1.56637,1.90244,1.60383,1.73882,1.90975,1.61438,1.30642,3.05709,0.63005,2.75455,1.96408,2.84224,1.70073,1.2247,30.14401,3.13708,36.88962,1.49395,0.14127,3.13364,4.24248,1.87191,1.53498,2.94375,7.78839,2.21803,1.24599,0.95413,3.31873,1.62916,3.85132,5.63447,7.14522,22.77275,5.47423,0.31648,3.08372,6.7912,6.40829,0.61828,5.50735,1.68485,1.07825,0.93091,1.62161,28.20754,0.96805,1.72182,6.10299,0.0,0.0,0.69865,1.96033,38.41804,46.41663,1.29561,0.68754,0.0,32.05975,18.34188,0.0,5.08074,0.0,3.72129,1.13332,10.8945,0.0,1.50495,3.31056,2.72376,14.68189,1.15926,1.68273,1.76755,11.49755,5.67913,1.37826,1.26153,0.71491,1.0077,10.58017,8.1273,0.91477,10.07855,22.08609,1.31322,0.04132,0.15502,4.33503,2.74041,1.12518,3.3641,1.79593,0.84397,1.34443,1.00997,3.46821,1.14758,2.89411,3.30053,0.95935,3.53377,23.4658,2.58125,6.18117,0.0,1.25879,3.84596,11.73975,0.87304,2.09727,1.61908,2.86178,0.61813,1.59691,6.15885,5.9017,1.29872,1.08738,4.23748,3.38449,8.55904,8.20212,9.28725,2.60811,4.31539,1.16476,0.83079,9.24412,0.99857,5.97158,6.46365,1.51655,1.51409,2.08757,2.39131,1.47952,3.22952,4.44362,10.98394,0.0,1.46101,0.58018,3.68977,0.04609,26.81145,1.96836,2.32046,2.19601,3.02812,1.32746,1.82537,7.33725,1.82543,1.01491,1.02488,32.23478,2.55515,1.89161,3.67742,1.69621,0.80075,12.99783,1.75348,2.30276
-3.0,2.83743,5.04102,5.81972,1.48152,2.92172,0.0,6.14488,4.95757,0.19871,0.0,8.85902,7.73483,0.0,3.02963,1.82714,10.03556,2.4681,40.93357,10.69338,0.05646,0.0,8.1542,6.13366,16.04322,7.02174,3.26581,11.99219,9.37958,21.65985,30.06305,6.28187,1.73643,5.18074,0.85284,0.90082,1.46712,66.41937,0.72724,0.65682,1.36606,12.92685,2.37889,1.61023,3.26349,1.31088,3.05063,2.97349,0.0,3.18853,2.08173,0.59071,0.34631,0.56787,18.09226,0.45352,6.46609,0.80807,2.90232,0.96699,4.37623,1.19799,9.52976,7.12174,2.67075,2.59829,18.10983,4.38401,3.49343,5.03279,8.01757,2.59646,0.0,54.28407,1.66435,1.62085,1.47393,1.73882,1.97201,1.63457,6.67961,3.81082,7.52131,2.92281,1.8529,2.99916,1.98142,1.30477,30.14402,7.14709,43.31313,6.16367,1.03093,3.20634,4.09825,2.96645,1.6765,2.56236,7.93245,1.81674,1.2787,0.85669,5.08044,1.56694,4.54926,5.19543,9.62892,22.77275,4.70852,1.16068,3.08372,6.7912,6.59175,2.27354,4.42169,1.5551,1.24634,0.93996,2.48152,28.4041,1.00785,1.60845,5.09463,0.0,0.0,0.71658,1.88446,39.17698,55.65111,1.23117,0.76765,0.0,34.36207,18.34188,0.69832,18.98234,20.5993,3.62657,1.18029,10.51429,7.73752,1.50321,3.47626,2.60602,15.63458,0.92025,1.49947,1.52018,10.43889,4.93341,1.28886,1.30193,0.73889,0.95519,10.10692,8.09138,0.91477,9.48627,18.29718,1.39469,0.20454,3.18623,5.16844,2.74042,4.74818,3.14907,1.20924,0.87071,1.79346,0.84918,2.33938,0.95592,2.17503,3.07422,0.95935,5.91082,17.66815,2.37304,6.18117,2.09047,2.1785,3.16883,13.12073,0.87304,2.38367,1.36017,2.57306,0.76941,1.07523,6.15885,5.9017,2.59748,2.29463,2.30325,3.38449,8.55904,9.12458,9.28728,2.60811,3.03786,1.1138,0.83079,7.54647,1.04555,5.42616,5.16271,3.12506,0.98965,2.08757,1.92475,1.51059,3.22952,4.44362,7.64026,0.0,1.46101,2.60967,3.68977,3.57773,26.81145,1.96836,2.32046,2.73377,2.98948,1.32746,1.46337,7.33725,1.33198,0.9618,1.00511,33.38152,2.50591,1.89161,5.29035,3.41328,1.14402,12.99783,1.75348,1.86258
-2.75,2.42832,5.74688,5.82374,10.86894,3.76934,0.0,6.1189,9.3386,0.19871,0.0,9.05869,5.02375,0.00544,2.45944,1.76164,9.19357,3.0581,48.71871,7.73907,2.89349,151.69744,28.27018,7.04421,13.33356,5.43425,4.74357,6.13369,9.37958,21.98878,13.30221,6.28187,1.89035,7.64098,0.77963,0.90135,1.51314,40.20944,0.8772,0.64095,1.50753,13.07928,2.25159,1.32721,2.72155,1.19928,3.66492,2.71467,0.0,2.46286,2.08173,1.62337,0.37522,1.70594,15.22114,0.50896,6.75492,0.96176,2.79715,1.01692,4.46707,1.24096,7.85963,7.12174,2.57305,2.8349,16.79105,16.22038,3.00482,3.09863,11.96705,2.59646,0.0,56.75552,1.69046,1.60181,1.47393,1.25856,1.6552,1.67941,13.27222,4.59998,5.33659,3.1099,1.95167,2.63005,1.98142,1.31472,30.14402,8.24573,30.94516,6.16367,0.72898,3.20634,2.88567,7.3775,1.6765,6.91385,8.03413,2.42682,1.25786,0.85669,10.35002,4.00767,4.54926,4.79243,9.16195,11.59377,4.16033,1.16068,3.38516,3.93423,4.90735,2.2847,2.94679,1.67683,1.18943,1.07553,2.48152,29.84408,1.33591,5.73343,3.81676,5.35673,0.0,1.54189,1.64281,40.30607,56.34744,2.18328,0.82039,0.0,35.23914,18.34188,2.66297,18.98237,17.34283,3.84649,1.14632,8.68552,22.96473,1.30698,3.3156,2.93062,14.7678,1.04504,1.37792,3.30592,10.93964,3.97478,1.15789,1.63226,0.61762,0.79719,8.18104,8.64942,1.38452,9.86958,14.93041,1.52474,1.13677,3.50765,5.16844,6.68431,3.89074,5.14016,0.87017,0.90121,1.58608,0.78718,2.00418,0.95604,2.17503,2.99555,0.71269,5.17813,17.66815,2.38382,3.56853,6.83784,1.86737,3.36296,13.16899,1.20064,2.48792,1.14615,2.43402,0.77947,1.06616,4.32528,4.75501,2.49269,2.78621,2.57525,2.63025,8.55904,8.60103,4.70249,2.5563,2.83462,1.45201,0.82206,7.54647,1.04555,5.42616,5.16271,3.79436,0.98965,2.48483,1.92475,2.50886,2.50285,3.66428,9.18143,1.97582,1.22254,3.91183,4.01777,5.76471,23.0317,4.36718,2.58085,2.73377,2.44004,2.82074,1.46337,5.30415,1.40565,0.96074,1.03875,36.66995,2.61319,2.03636,4.82069,6.45393,3.52349,9.30483,5.22805,1.65789
