,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.06119,0.0,0.08938,0.10236,0.0,0.0,0.0,0.11465,0.0,0.0,0.0,0.09711,0.0,0.0,0.08132,0.06749,0.09087,0.0,0.0,0.0,0.0,0.0,0.05085,0.16955,0.06994,0.0,0.0,0.0,0.0,0.0,0.0,0.18289,0.0,0.08491,0.11656,0.13576,0.0,0.11733,0.09832,0.1547,0.0,0.14374,0.09528,0.07819,0.09941,0.0,0.12348,0.0,0.06301,0.0,0.05679,0.0,0.0,0.07809,0.0,0.22105,0.08789,0.10849,0.14227,0.15663,0.06596,0.0,0.0,0.057,0.09918,0.0,0.0,0.0,0.08077,0.0,0.0,0.0,0.0,0.0,0.08651,0.07839,0.07106,0.05713,0.06922,0.0,0.0,0.05129,0.39657,0.07511,0.0,0.0598,0.14524,0.06345,0.0,0.0,0.07659,0.0,0.0,0.0,0.0,0.04531,0.09233,0.323,0.0,0.12569,0.06586,0.07352,0.0,0.0,0.07323,0.04869,0.09812,0.06774,0.05605,0.0,0.06167,0.07308,0.0,0.07837,0.0941,0.14832,0.08053,0.05745,0.56329,0.095,0.08532,0.14262,0.0,0.0,0.09089,0.11971,0.0,0.0,0.13895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25847,0.12831,0.39545,0.0,0.17056,0.26337,0.0,0.0,0.10194,0.14277,0.08559,0.0,0.18688,0.13344,0.12779,0.09631,0.11712,0.0,0.25896,0.0,0.0,0.0,0.0,0.11709,0.0,0.07573,0.1023,0.07565,0.07651,0.09232,0.0,0.09101,0.11576,0.11434,0.12545,0.07404,0.13712,0.07782,0.0,0.0,0.0,0.0,0.0,0.10546,0.12652,0.0,0.10097,0.25727,0.11008,0.1137,0.09115,0.0,0.0,0.0,0.10563,0.0,0.07114,0.11424,0.55032,0.26449,0.21622,0.09523,0.17461,0.1281,0.07521,0.0,0.10538,0.0,0.06468,0.0,0.08874,0.0,0.08029,0.08465,0.06754,0.11083,0.0,0.0,0.05933,0.0,0.0,0.0,0.0,0.0,0.0,0.06291,0.09093,0.06728,0.13484,0.06778,0.07932,0.08967,0.11278,0.0,0.09335,0.07639,0.0,0.08721,0.0,0.0,0.09184,0.07869
-4.75,0.06119,0.0,0.08938,0.08532,0.0,0.0,0.0,0.0932,0.0,0.0,0.06648,0.07715,0.0,0.0,0.07849,0.06936,0.06157,0.0,0.0,0.0,0.0,0.0,0.05085,0.12714,0.06136,0.0,0.0,0.0,0.0,0.0,0.0,0.18289,0.0,0.08036,0.10291,0.13049,0.0,0.11087,0.09832,0.15364,0.0,0.14374,0.09372,0.07819,0.09549,0.0,0.12348,0.0,0.0675,0.0,0.05679,0.0,0.0,0.07809,0.0,0.21645,0.08789,0.10229,0.13607,0.15975,0.06596,0.0,0.0,0.0519,0.09918,0.0,0.10451,0.0,0.07766,0.0,0.0,0.0,0.0,0.06681,0.07725,0.06634,0.06955,0.05557,0.06621,0.0,0.06012,0.05129,0.37761,0.07412,0.06294,0.0598,0.13918,0.06647,0.0,0.0,0.07659,0.0,0.04253,0.0,0.0,0.04531,0.09085,0.30528,0.0,0.12569,0.06211,0.06895,0.0,0.0,0.07323,0.04869,0.09965,0.06774,0.05605,0.04312,0.06167,0.07152,0.0,0.07837,0.09303,0.14285,0.08134,0.05107,0.54268,0.09389,0.08532,0.14262,0.0,0.0,0.08258,0.11902,0.0,0.0,0.14261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23864,0.12241,0.37133,0.0,0.16933,0.23887,0.19966,0.0,0.09842,0.14102,0.08559,0.0,0.17365,0.13344,0.12779,0.0869,0.1024,0.0,0.24232,0.0,0.0,0.0,0.0,0.11709,0.0,0.07194,0.1023,0.07565,0.07368,0.09232,0.0,0.08342,0.11576,0.11035,0.10387,0.06259,0.13712,0.07782,0.0,0.0,0.06062,0.0,0.0,0.10546,0.11503,0.0,0.10097,0.2331,0.10943,0.10153,0.09115,0.0,0.0,0.0,0.09345,0.0,0.07114,0.06699,0.53056,0.2547,0.21223,0.08727,0.16506,0.1281,0.07227,0.0,0.07427,0.0,0.06468,0.0,0.08874,0.04865,0.08029,0.08051,0.06754,0.11083,0.0,0.0,0.0534,0.0,0.0,0.0,0.0,0.0,0.0,0.06096,0.09093,0.06728,0.13484,0.06778,0.07932,0.08761,0.10614,0.5989,0.09129,0.07639,0.0,0.08721,0.0,0.0,0.08188,0.07397
-4.5,0.05563,0.0,0.08087,0.08532,0.0,0.0,0.06236,0.09177,0.0,0.0,0.06648,0.07715,0.0,0.0,0.0741,0.07217,0.06017,0.0,0.0,0.0,0.0,0.0,0.05085,0.12572,0.05993,0.0,0.0,0.0,0.04267,0.0,0.0,0.18289,0.0,0.07581,0.10291,0.12894,0.0,0.10399,0.09832,0.15364,0.0,0.14374,0.08903,0.07342,0.09347,0.0,0.12347,0.0,0.05852,0.0,0.05679,0.0,0.0,0.07809,0.0,0.20451,0.06053,0.09133,0.14225,0.14098,0.06282,0.0,0.05186,0.05089,0.09918,0.0,0.10451,0.0,0.07455,0.0,0.05831,0.0,0.0,0.06681,0.07725,0.06634,0.06653,0.05557,0.0602,0.0,0.06012,0.05129,0.37363,0.07412,0.06294,0.0548,0.13009,0.06647,0.0,0.0,0.07659,0.0,0.04253,0.0,0.0,0.04531,0.09085,0.31721,0.0,0.10418,0.05577,0.06895,0.05492,0.0,0.06709,0.04869,0.09812,0.06466,0.04983,0.04312,0.06167,0.07152,0.0,0.07837,0.08982,0.14223,0.07565,0.05107,0.52293,0.08396,0.08532,0.14262,0.0,0.0,0.08258,0.10941,0.0,0.0,0.13127,0.0,0.0,0.0,0.96548,0.0,0.0,0.0,0.21482,0.12044,0.35926,0.0,0.15942,0.21154,0.20556,0.0,0.09491,0.11961,0.08188,0.0,0.16788,0.11821,0.12779,0.07395,0.09762,0.0,0.2294,0.06445,0.41675,0.0,0.14055,0.11709,0.0,0.07194,0.09472,0.07565,0.07557,0.08146,0.0,0.08216,0.10412,0.10637,0.10196,0.06259,0.1293,0.05933,0.0,0.0,0.06062,0.0,0.0,0.10546,0.10731,0.0,0.08458,0.20555,0.10732,0.09747,0.07895,0.0,0.0,0.07157,0.09525,0.0,0.07114,0.06699,0.49977,0.24978,0.19445,0.08727,0.15826,0.12602,0.06896,0.0,0.07427,0.0,0.05659,0.0,0.08874,0.04865,0.07031,0.0785,0.06754,0.11083,0.0,0.0,0.0534,0.0,0.0,0.06969,0.0,0.0,0.06254,0.06096,0.09093,0.09095,0.1388,0.05981,0.07342,0.0841,0.10065,0.56567,0.08707,0.06839,0.0,0.06344,0.0,0.0,0.07589,0.07397
-4.25,0.05656,0.0,0.08087,0.08532,0.0,0.0,0.06235,0.0889,0.0,0.0,0.06359,0.07715,0.0,0.06757,0.06881,0.06749,0.05877,0.0,0.0,0.0,0.0,0.07035,0.0452,0.12572,0.05993,0.0,0.0398,0.0,0.04267,0.0,0.0,0.18289,0.0,0.07379,0.08297,0.12894,0.0,0.09895,0.09061,0.13193,0.35136,0.14374,0.08609,0.07101,0.09347,0.0,0.11506,0.0,0.05852,0.04752,0.0508,0.0,0.04188,0.066,0.0,0.19696,0.05979,0.09288,0.14225,0.13475,0.05968,0.06457,0.05186,0.05089,0.07682,0.0,0.10451,0.0,0.06834,0.0,0.05831,0.0,0.0,0.06841,0.07725,0.06634,0.06653,0.06007,0.0602,0.0,0.06012,0.04526,0.36965,0.06825,0.05994,0.0548,0.12402,0.06647,0.06334,0.0,0.05205,0.0,0.04253,0.0,0.0,0.03927,0.09085,0.30531,0.06255,0.09525,0.0535,0.06589,0.05492,0.05143,0.06709,0.04869,0.09199,0.0585,0.04983,0.04312,0.06167,0.07152,0.0,0.07837,0.08094,0.13657,0.07159,0.04951,0.49659,0.08617,0.08532,0.11118,0.0,0.0,0.08427,0.10897,0.0,0.0,0.12375,0.10133,0.0,1.92918,0.91913,0.0,0.0,0.0,0.20291,0.11847,0.34317,0.0,0.15644,0.188,0.20733,0.0,0.07892,0.10937,0.0807,0.0,0.15845,0.11677,0.11695,0.07578,0.10058,0.0,0.21643,0.06138,0.39344,0.53898,0.14624,0.11709,0.0,0.07194,0.09276,0.06808,0.07557,0.08052,0.0,0.08089,0.09574,0.09327,0.09417,0.06064,0.12288,0.05933,0.0,0.0,0.05682,0.0,0.0,0.0997,0.10092,0.0,0.08192,0.19734,0.10155,0.08935,0.07551,0.0,0.05971,0.07157,0.0879,0.0,0.06324,0.06699,0.48205,0.23896,0.18441,0.07538,0.14871,0.11978,0.06604,0.0,0.06381,0.0,0.05255,0.0,0.08874,0.0446,0.07031,0.0785,0.05694,0.0812,0.0,0.0,0.04944,0.0,0.0,0.06969,0.0,0.0,0.06254,0.05635,0.09093,0.09095,0.1388,0.05981,0.07342,0.0841,0.09767,0.53662,0.0818,0.06352,0.0,0.06344,0.0,0.0,0.07589,0.07098
-4.0,0.04657,0.04739,0.07945,0.08532,0.0,0.0,0.05952,0.0889,0.0,0.0,0.0578,0.06664,0.0,0.06751,0.06861,0.06749,0.05317,0.0,0.05088,0.0,0.0,0.07035,0.04379,0.12572,0.05708,0.03991,0.0398,0.03988,0.04267,0.0,0.03685,0.18289,0.0,0.07052,0.08224,0.12662,0.0,0.09573,0.07648,0.1092,0.34206,0.11628,0.08426,0.06991,0.08575,0.0,0.10517,0.0,0.05247,0.05346,0.04781,0.0,0.04039,0.066,0.0,0.18653,0.05552,0.08669,0.14533,0.12966,0.05181,0.07375,0.04881,0.05089,0.07013,0.0,0.10451,0.0,0.06673,0.06483,0.0532,0.0,0.0,0.06589,0.07264,0.06634,0.06653,0.05031,0.0542,0.0,0.06012,0.04526,0.46186,0.06353,0.05994,0.05306,0.12402,0.06647,0.06032,0.0,0.04823,0.0,0.04253,0.0,0.0,0.03775,0.08489,0.28748,0.06255,0.09299,0.0535,0.05515,0.05492,0.04833,0.0648,0.04869,0.07972,0.05745,0.04669,0.04312,0.06167,0.06114,0.0,0.06588,0.07573,0.12917,0.07028,0.04951,0.47023,0.08398,0.08532,0.11118,0.0,0.0,0.08173,0.10458,0.89264,1.63939,0.11823,0.10043,0.0,1.82882,0.86862,0.0,0.0,0.0,0.20764,0.11309,0.315,0.0,0.13131,0.18824,0.18117,0.0,0.07483,0.10658,0.07832,0.0,0.1509,0.11587,0.10715,0.06803,0.09601,0.0,0.20163,0.06138,0.38387,0.53512,0.13865,0.11709,0.0,0.07194,0.08897,0.07565,0.07027,0.08052,0.0,0.07292,0.0836,0.09162,0.09319,0.05775,0.12077,0.05836,0.05037,0.0,0.05291,0.04946,0.0,0.0997,0.10092,0.0,0.08192,0.1922,0.09888,0.09473,0.07258,0.0534,0.05971,0.05702,0.08312,0.0,0.06324,0.06699,0.44269,0.22195,0.1724,0.07538,0.14189,0.10418,0.06604,0.0,0.06381,0.04481,0.05255,0.0,0.05554,0.0446,0.06429,0.07046,0.05463,0.0812,0.0,0.0,0.04944,0.0,0.0575,0.06969,0.0,0.04674,0.05082,0.05635,0.09093,0.07778,0.10113,0.05981,0.07342,0.07971,0.09028,0.50757,0.07903,0.05799,0.0,0.06344,0.06367,0.05769,0.0679,0.06795
-3.75,0.04496,0.04747,0.07381,0.08532,0.06601,0.0,0.06525,0.08746,0.0,0.0,0.0578,0.06759,0.0,0.06189,0.06726,0.06257,0.05317,0.0,0.0481,0.0,0.0,0.07035,0.04379,0.12572,0.05614,0.03991,0.0398,0.03988,0.03694,0.0,0.03685,0.18289,0.0,0.06773,0.07615,0.12585,0.0,0.09269,0.07219,0.0951,0.32966,0.11933,0.08022,0.06709,0.07642,0.06664,0.11308,0.0,0.04917,0.05346,0.04588,0.0925,0.04039,0.0645,0.0,0.17463,0.05397,0.08201,0.11753,0.13872,0.05025,0.06761,0.05079,0.04644,0.06392,0.0,0.10451,0.0,0.06413,0.06582,0.0532,0.0,0.4543,0.06487,0.06988,0.05377,0.06653,0.0473,0.0542,0.0,0.04911,0.04526,0.44793,0.06272,0.05994,0.04583,0.12402,0.06647,0.06032,0.0,0.04823,0.0,0.0415,0.04275,0.04886,0.03775,0.08489,0.28451,0.06255,0.08673,0.05214,0.05408,0.05492,0.04833,0.05892,0.04563,0.07818,0.05772,0.04225,0.03544,0.04933,0.05517,0.0,0.05963,0.07176,0.12629,0.06886,0.04951,0.44279,0.07293,0.07378,0.10952,0.0,0.0,0.08173,0.09925,0.84964,1.55046,0.10948,0.09869,0.0,1.73244,0.91401,0.0,0.83683,0.0,0.19311,0.09996,0.29906,0.0,0.12595,0.1875,0.17601,0.0,0.06958,0.09482,0.07295,0.3766,0.14364,0.11684,0.10189,0.06655,0.09053,0.35854,0.19608,0.0614,0.35723,0.48107,0.12874,0.11709,0.05287,0.05812,0.08897,0.07565,0.07027,0.07865,0.08234,0.07366,0.0777,0.08965,0.09147,0.05747,0.11872,0.05527,0.05037,0.0,0.05166,0.0437,0.0,0.09777,0.09197,0.0,0.06581,0.15512,0.09555,0.09439,0.07119,0.05503,0.05971,0.05437,0.08226,0.06429,0.05929,0.06699,0.42891,0.21098,0.1644,0.07538,0.13509,0.09352,0.06177,0.05531,0.05666,0.04481,0.0485,0.0,0.05554,0.0405,0.06429,0.06643,0.05463,0.06141,0.05368,0.0,0.04351,0.04716,0.0575,0.06969,0.0,0.04481,0.05082,0.05267,0.07332,0.07315,0.08593,0.05981,0.06351,0.07173,0.08916,0.47855,0.07554,0.05799,0.0,0.06149,0.0715,0.05769,0.0629,0.06663
-3.5,0.04496,0.04358,0.07098,0.06544,0.06601,0.0,0.05958,0.08459,0.0,0.0,0.05201,0.06283,0.0,0.06277,0.05982,0.06257,0.0541,0.06706,0.0481,0.0648,0.0,0.07413,0.04237,0.12572,0.05614,0.03848,0.03415,0.03988,0.03694,0.03683,0.03685,0.1176,0.36546,0.06571,0.07528,0.12044,0.79911,0.08855,0.07006,0.09439,0.29823,0.11928,0.0746,0.06377,0.07277,0.06363,0.10188,0.0,0.04598,0.05338,0.04488,0.07462,0.03889,0.063,0.0,0.16866,0.05218,0.07815,0.09928,0.13089,0.05025,0.05687,0.05334,0.04211,0.06271,0.0,0.07826,0.04355,0.06278,0.06412,0.04606,0.0,0.43621,0.06386,0.06926,0.0524,0.0589,0.0473,0.0542,0.0,0.04911,0.04526,0.29605,0.05939,0.05574,0.04583,0.12402,0.06647,0.05737,0.06059,0.04746,0.03363,0.04101,0.04075,0.04122,0.03725,0.08034,0.26074,0.05062,0.08204,0.05003,0.05357,0.04803,0.04683,0.05441,0.0438,0.07665,0.0508,0.04225,0.03544,0.0416,0.05517,0.0,0.05804,0.06809,0.12477,0.06179,0.04632,0.42141,0.06501,0.0705,0.07187,0.0,0.0,0.07151,0.09186,0.78148,1.43908,0.10211,0.0966,0.0,1.64008,0.89951,0.0,0.78335,0.0,0.18779,0.09426,0.28697,0.0,0.11786,0.18607,0.1662,0.53776,0.06915,0.09267,0.06685,0.33651,0.13685,0.10331,0.08859,0.06286,0.08576,0.33971,0.18724,0.05772,0.33341,0.43478,0.12118,0.09071,0.05287,0.05812,0.08897,0.06294,0.06952,0.07267,0.08609,0.06847,0.07329,0.08866,0.08038,0.05747,0.10812,0.05555,0.0445,0.05743,0.05166,0.0437,0.0,0.09777,0.08687,0.48153,0.06258,0.14383,0.08919,0.08592,0.06593,0.0504,0.05684,0.05437,0.07703,0.06429,0.05667,0.05711,0.41304,0.19063,0.15847,0.06874,0.12572,0.08678,0.05859,0.05531,0.05666,0.04278,0.0485,0.05128,0.04979,0.0405,0.05853,0.06175,0.05463,0.06141,0.05368,0.0,0.04351,0.04519,0.04704,0.06969,0.0,0.04481,0.04692,0.0507,0.06002,0.07315,0.08593,0.05981,0.06553,0.06987,0.08619,0.4414,0.07323,0.05402,0.05205,0.06148,0.0715,0.05486,0.0629,0.06596
-3.25,0.04223,0.04311,0.06744,0.06544,0.06021,0.0,0.0563,0.08459,0.0,0.0,0.04913,0.05997,0.0,0.05731,0.0554,0.05624,0.04923,0.06706,0.0481,0.06199,0.0,0.07789,0.0452,0.12572,0.04707,0.038,0.03415,0.03703,0.03505,0.03683,0.03458,0.1176,0.3319,0.06333,0.06021,0.10917,0.7409,0.08008,0.0661,0.08877,0.27228,0.10692,0.07206,0.06185,0.06914,0.05568,0.08778,0.0,0.04598,0.04483,0.04237,0.06274,0.03548,0.0615,0.04815,0.15512,0.05201,0.07583,0.1005,0.12228,0.04749,0.05153,0.04951,0.04211,0.0615,0.0542,0.07826,0.03852,0.06137,0.06412,0.04114,0.0,0.39405,0.05472,0.06981,0.04733,0.05304,0.04507,0.05042,0.05145,0.04809,0.04526,0.26967,0.05456,0.05155,0.04217,0.10875,0.06647,0.05938,0.05447,0.04593,0.03363,0.03767,0.04075,0.04122,0.03725,0.06946,0.23855,0.05054,0.07889,0.04694,0.05083,0.04633,0.04456,0.05441,0.0438,0.07511,0.04988,0.03892,0.0361,0.03903,0.04881,0.04339,0.05804,0.06534,0.11452,0.06179,0.04269,0.38385,0.06051,0.06559,0.0696,0.0,0.0,0.06812,0.09045,0.73119,1.34183,0.08777,0.08486,0.0,1.51386,0.89951,0.0,0.72992,0.0,0.16514,0.0883,0.26272,0.0,0.11404,0.17216,0.15345,0.48563,0.06548,0.08564,0.06446,0.32923,0.13082,0.10561,0.08355,0.06125,0.08199,0.33688,0.17367,0.05084,0.30703,0.41409,0.12118,0.08881,0.06051,0.05162,0.08897,0.06294,0.06952,0.07267,0.08235,0.06442,0.06723,0.08472,0.07877,0.05322,0.10238,0.04887,0.0445,0.06004,0.04761,0.03876,0.0,0.07507,0.08432,0.44107,0.05564,0.137,0.08247,0.08052,0.06076,0.0504,0.05647,0.05172,0.07264,0.05524,0.05667,0.0512,0.38371,0.17813,0.14645,0.05813,0.11653,0.08203,0.05362,0.05231,0.04775,0.04278,0.04857,0.05128,0.04979,0.03762,0.05853,0.06175,0.04868,0.05322,0.05368,0.0,0.03955,0.04519,0.05226,0.06969,0.05866,0.04287,0.0433,0.0507,0.05749,0.06458,0.0846,0.04317,0.06553,0.06887,0.07876,0.41675,0.06785,0.05046,0.05208,0.06148,0.06848,0.05168,0.05723,0.06035
-3.0,0.0394,0.03996,0.06389,0.06544,0.05305,0.0,0.05287,0.08459,0.04585,0.0,0.04334,0.05997,0.0,0.05551,0.05135,0.05,0.04435,0.06418,0.04385,0.05069,0.0,0.07036,0.04097,0.0797,0.04707,0.038,0.03486,0.03248,0.03466,0.03683,0.03355,0.09486,0.31088,0.05685,0.05459,0.10785,0.68337,0.07705,0.0648,0.08186,0.25142,0.09468,0.0662,0.05751,0.06746,0.05128,0.08369,0.0,0.04089,0.04132,0.04237,0.05975,0.03517,0.05326,0.04664,0.1438,0.04996,0.06583,0.09299,0.11168,0.04526,0.04811,0.04156,0.03763,0.06094,0.04666,0.07826,0.03801,0.05889,0.05706,0.03786,0.0,0.36687,0.05205,0.0646,0.04347,0.05304,0.04087,0.04741,0.04996,0.04244,0.03694,0.26267,0.05116,0.04886,0.0397,0.09412,0.06043,0.05658,0.04994,0.04287,0.0321,0.03281,0.03897,0.03817,0.03405,0.06512,0.2297,0.04874,0.07206,0.04423,0.04849,0.04318,0.04231,0.05065,0.03996,0.07511,0.04578,0.03503,0.0361,0.03903,0.04443,0.04453,0.05081,0.06013,0.10892,0.05942,0.03885,0.36897,0.0603,0.06391,0.06295,0.0,0.0,0.06555,0.08694,0.67006,1.25677,0.0861,0.08579,0.0,1.4928,0.89951,0.59701,0.66337,0.44224,0.1579,0.08449,0.24628,0.88937,0.10703,0.15594,0.1411,0.46083,0.06095,0.08481,0.0629,0.29386,0.12222,0.09058,0.08062,0.05898,0.07889,0.31564,0.16256,0.05084,0.28826,0.38147,0.1094,0.07937,0.05288,0.04673,0.07381,0.06039,0.0567,0.05957,0.07487,0.06231,0.06206,0.07304,0.07389,0.04654,0.0978,0.04887,0.04265,0.06131,0.04409,0.03876,0.05682,0.06897,0.0747,0.40614,0.05564,0.12947,0.07454,0.07656,0.05567,0.04753,0.05647,0.05172,0.06735,0.0522,0.05408,0.0512,0.38371,0.16485,0.13844,0.05813,0.10772,0.07594,0.05362,0.04755,0.04258,0.03871,0.04253,0.04675,0.04514,0.03762,0.04848,0.05549,0.04868,0.05322,0.04904,0.0,0.03955,0.04324,0.05226,0.05424,0.05866,0.04287,0.0433,0.04781,0.05549,0.06458,0.06662,0.04317,0.05957,0.06514,0.07681,0.38798,0.06366,0.05046,0.05273,0.05494,0.05904,0.05168,0.05723,0.0559
-2.75,0.03664,0.03865,0.06248,0.05683,0.05192,0.0,0.05007,0.06525,0.04585,0.0,0.04263,0.04727,0.07413,0.05313,0.04936,0.04895,0.04264,0.05716,0.04101,0.04394,0.05366,0.06003,0.03815,0.06904,0.04815,0.03633,0.03158,0.03248,0.03296,0.02952,0.03355,0.05664,0.29136,0.05644,0.04977,0.0989,0.6168,0.07031,0.0629,0.06502,0.23026,0.08603,0.06326,0.05351,0.05995,0.04831,0.08966,0.0,0.03727,0.04132,0.03859,0.05826,0.03143,0.04984,0.04461,0.12891,0.0443,0.05915,0.08468,0.10041,0.04048,0.04533,0.04156,0.03475,0.05634,0.04515,0.06483,0.0361,0.05294,0.05408,0.03786,0.0,0.32759,0.05201,0.05923,0.04347,0.04147,0.03923,0.04637,0.04999,0.0391,0.03348,0.24272,0.04833,0.04476,0.0397,0.0911,0.06043,0.05068,0.04539,0.04287,0.03102,0.03281,0.03536,0.03402,0.03405,0.05728,0.2208,0.04539,0.0678,0.04423,0.0477,0.03933,0.04231,0.04404,0.03801,0.06432,0.04393,0.03503,0.03389,0.03142,0.04333,0.04037,0.04447,0.05776,0.10362,0.05549,0.03885,0.33281,0.05643,0.05666,0.05852,0.04327,0.0,0.06058,0.07899,0.63047,1.17787,0.07998,0.08011,0.0,1.2901,0.89951,0.59228,0.62697,0.40804,0.15092,0.08153,0.23405,0.85623,0.09508,0.15145,0.13642,0.43708,0.05654,0.0793,0.05829,0.27926,0.11348,0.08939,0.06863,0.05511,0.0737,0.28076,0.14963,0.0482,0.25945,0.3413,0.10428,0.07277,0.04768,0.04673,0.07063,0.05549,0.04936,0.05378,0.06925,0.0597,0.06015,0.06768,0.07075,0.04654,0.09142,0.04393,0.04054,0.0594,0.04346,0.03737,0.05302,0.06124,0.06895,0.38086,0.0504,0.12036,0.07175,0.07104,0.05554,0.0412,0.05056,0.04435,0.06441,0.04848,0.04842,0.04613,0.36007,0.15437,0.13229,0.05333,0.10377,0.07179,0.04913,0.04755,0.04258,0.03871,0.04253,0.04451,0.04514,0.03501,0.04848,0.05024,0.04281,0.04611,0.04237,0.0597,0.03485,0.04063,0.04507,0.05114,0.05083,0.04352,0.04077,0.04781,0.04999,0.04857,0.06662,0.03983,0.0556,0.05997,0.07348,0.3633,0.0652,0.04666,0.05205,0.04988,0.05186,0.04682,0.04991,0.05134
