,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,4.22852,0.0,0.02205,2.6487,4.80327,0.0,1.87709,7.39582,0.0,0.0,0.0,0.0,0.0,25.01123,0.0,0.0,0.0,0.0,0.0,0.0,2.55841,2.12148,0.0,0.0,2.72869,29.33331,0.0,0.09708,0.0,0.0,0.0,7.83603,27.22184,13.48365,61.93069,0.73869,9.34223,0.0,2.40194,6.19573,26.54622,29.49103,25.03628,8.51739,15.35213,3.78597,0.0,12.73207,11.97914,1.61851,0.0,0.0,0.0,0.0,12.15177,9.16647,9.51019,4.75172,15.25436,11.70105,9.68734,2.19468,4.95727,3.13943,0.0,0.0,5.52521,0.0,2.6009,1.20934,4.02677,4.52055,52.54782,13.78167,0.0,0.0,0.0,2.71395,0.0,0.0,0.0,0.0,109.93436,4.91707,0.0,0.0,14.06795,0.0,6.57571,143.17237,17.85066,27.86086,0.14864,60.76435,0.0,0.0,0.57258,13.7138,1.54549,31.11085,4.33135,215.03511,0.71434,13.64235,11.16602,0.0,26.99898,0.0,4.1587,0.0,0.0,0.0,4.66223,0.42318,3.89509,0.0,13.96999,0.0,54.99054,13.56129,1.70198,0.06048,0.26972,8.75064,2.59698,0.0,0.0,8.62384,36.92172,10.10114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65688,13.50151,15.82014,0.0,6.28494,29.69623,0.0,0.5379,2.358,0.0,6.36798,21.38118,11.92206,3.60235,6.68991,7.53874,44.87252,6.1094,0.0,29.96114,33.9811,4.13178,8.12687,0.0,0.0,6.7712,0.49747,0.8525,1.20085,0.0,32.23706,19.35076,5.5808,10.44919,0.0,10.41817,0.0,0.0,1.88338,3.23042,3.02935,0.0,0.12118,3.2878,24.47713,11.37232,16.63769,4.89902,0.72485,42.23942,7.11398,11.25235,0.0,8.0509,0.0,0.0,25.42752,7.27223,8.16979,7.68392,1.39689,4.58374,7.48185,0.43365,9.20957,1.54026,0.0,0.0,0.0,0.0,22.53783,0.0,1.50216,0.0,3.92716,5.28573,5.75875,0.0,0.13827,0.0,30.83761,0.07231,0.34618,0.51479,1.24618,26.02501,0.67008,0.0,0.0,21.17811,24.10892,0.0,5.50856,0.32308,9.14255,3.79738,2.85818,0.0801,0.04749,0.0,1.19717
-4.75,4.22852,0.0,0.02205,2.95603,10.18609,0.0,1.89758,7.39582,0.0,0.0,0.0,0.0,0.0,29.17074,0.0,0.0,0.0,0.0,297.15641,0.0,2.55841,2.12148,0.0,0.0,2.72869,25.82587,0.13169,0.09708,0.0,0.0,0.0,7.45534,27.22184,13.70398,61.93077,0.74136,9.50799,0.0,2.11035,5.68018,27.20964,24.72346,25.34635,8.64525,12.88418,3.34596,0.0,15.95868,11.97914,1.65984,0.0,0.0,0.0,0.0,12.19634,9.25934,9.54336,4.78564,12.32045,12.5514,9.68734,2.19468,4.97187,22.09742,0.0,0.0,5.52521,0.0,2.6009,1.33623,4.02677,3.62056,52.89945,12.56028,0.0,0.0,0.0,2.71395,0.0,0.0,0.0,0.0,109.93436,5.01144,0.0,0.0,27.93791,0.0,6.57571,143.17237,17.85066,27.86086,0.14864,30.40893,0.0,0.0,0.59311,11.12831,2.37549,31.31749,4.44583,215.03519,1.26953,20.60939,11.16602,0.0,13.98974,0.0,4.1587,0.0,0.0,0.0,4.66223,0.42318,4.08451,0.0,14.22371,0.0,54.99057,14.90487,1.75139,0.06048,0.26972,10.91472,2.13713,6.92533,0.0,10.45348,37.05011,10.12574,0.0,0.0,0.0,0.0,4.93745,0.0,0.0,12.57096,13.50151,11.90664,0.0,12.32564,29.77531,0.0,0.76448,1.8847,0.0,9.19624,21.80026,12.30353,2.54103,6.37668,7.53877,46.26227,4.3463,0.0,32.36647,34.19455,4.17226,8.47184,0.0,0.0,14.92322,0.49747,0.8525,26.54252,0.0,32.88048,19.18906,5.61407,10.44919,0.0,10.49143,0.0,0.0,1.88338,3.23042,3.02935,0.0,0.12118,3.45479,21.83537,9.79881,12.68843,5.1413,0.96035,42.23942,3.59086,12.66601,0.0,8.57545,0.0,0.0,25.42752,7.31336,7.90662,7.78423,1.46642,4.01105,5.99119,0.6633,9.44466,1.54026,0.0,0.0,0.0,0.0,22.53783,0.0,1.50216,0.0,2.03905,5.28573,3.51069,0.0,0.13827,0.0,34.098,0.07231,0.34618,0.51479,0.95446,18.54899,0.67008,0.0,0.0,21.79793,27.34724,0.92976,5.50856,2.5355,9.16524,3.79738,2.85818,0.0801,0.04749,154.74368,1.26159
-4.5,4.25556,0.0,0.02205,2.95603,23.67734,0.0,1.78138,7.46995,0.0,0.0,0.0,0.0,0.0,29.38418,0.0,0.0,8.23942,0.0,149.0333,0.0,2.55841,9.925,0.0,42.71484,2.72869,25.82587,0.13169,0.09708,26.46966,0.0,0.0,7.47985,27.22186,13.74329,61.93077,0.78766,10.60012,1.90825,1.77471,5.70619,37.64662,16.3339,25.48423,8.65746,8.98746,3.34598,0.0,15.97951,11.97914,1.43175,0.0,0.0,0.0,0.0,12.29811,9.25934,9.54336,4.83774,9.97018,12.66602,14.33842,2.52002,4.29856,22.09742,0.0,27.22303,5.14935,0.0,2.6009,1.37502,4.04248,2.87869,53.49309,13.53755,0.0,0.0,80.52004,262.96973,0.0,0.0,309.71154,0.0,109.93436,4.29093,0.0,0.0,20.12859,0.93834,6.57571,82.53578,19.14279,27.86086,0.14864,30.40893,33.32356,0.0,0.61378,9.44547,2.51004,31.78667,5.17915,215.03519,21.24756,20.64814,11.16602,0.0,19.51682,0.0,4.1587,0.0,0.0,0.0,2.21165,1.27069,3.40847,0.0,10.69244,0.0,54.99098,15.42398,2.29898,0.29394,0.33842,11.26909,2.43159,6.91527,36.16316,13.35826,37.46188,10.19806,0.0,0.0,0.0,0.0,5.29586,33.50361,9.88037,12.70827,13.50151,14.57084,0.0,12.50809,29.87215,0.0,0.74602,1.97369,0.0,16.19539,23.71569,10.08996,2.54103,6.56202,7.91126,48.04254,5.26196,0.0,22.15293,36.30129,4.24699,8.65734,0.0,3.18636,11.93644,0.49747,0.8525,27.18437,0.0,35.1565,23.61784,5.65149,10.44919,0.0,3.60666,0.0,0.0,1.89392,3.23042,1.82229,0.0,1.91103,2.4714,18.27975,8.30621,12.68844,3.75283,1.36559,42.23942,2.95513,10.2496,0.0,8.60649,0.0,0.0,16.15531,7.31342,13.74071,8.06869,1.46642,5.17194,4.9795,0.6633,9.44466,1.54026,0.0,0.0,2.95156,0.0,22.53783,0.0,1.55932,0.0,2.16185,5.28573,4.06452,0.0,0.13827,0.0,34.09802,7.27257,0.3228,0.62205,1.00532,18.79298,0.82749,0.0,0.0,21.79793,28.06347,0.92976,5.67772,2.5355,9.50495,3.80103,4.7853,12.83496,0.04749,154.74369,1.26159
-4.25,4.25556,0.0,0.02205,2.98239,23.27867,0.96276,2.27606,7.46995,41.01972,118.09749,0.0,0.0,130.15032,29.38418,0.0,0.0,13.10761,0.0,114.40145,0.0,2.55841,9.93556,0.0,42.71484,1.55232,26.61921,0.13169,0.09708,26.46966,0.0,135.71637,6.95649,27.2219,14.44025,61.93085,11.48419,8.80675,2.92734,2.09369,5.0218,38.58056,14.71716,25.85509,6.84342,7.98313,3.40558,0.0,18.0522,11.97914,1.43175,0.0,0.0,0.0,3.71915,12.29811,9.25934,9.61433,4.83774,9.22846,9.61685,14.33842,2.52002,3.91194,22.09742,0.0,27.22303,5.16364,0.0,2.64006,1.52008,4.18904,2.93226,54.07059,14.37776,0.0,0.0,80.52004,283.48517,13.62117,0.0,309.71154,0.0,109.93436,3.17142,7.37791,77.83199,20.16517,0.93834,6.57571,82.53578,19.1428,14.846,0.14864,30.40893,16.79208,0.0,0.63432,9.48014,2.51005,33.24214,4.43723,117.63932,21.24756,20.96012,11.16602,0.0,19.51682,0.0,4.3106,0.0,0.0,0.0,2.25016,1.2707,3.48393,0.0,10.69247,2.28049,54.99117,14.6141,1.67122,56.80719,0.33842,11.38383,2.20579,6.05033,40.977,14.46387,22.65389,8.84205,0.0,23.69253,0.0,0.0,13.2796,34.29699,10.15812,12.25832,13.55163,14.78083,28.60494,11.65556,29.87215,10.58782,0.74602,2.63871,0.0,15.9747,24.2072,8.69471,3.67582,8.13709,6.55425,48.48392,5.12353,0.35761,22.32686,36.67877,4.27599,8.26301,34.46784,3.47558,9.92892,0.49747,0.8525,19.24904,0.0,35.18475,23.67692,5.00046,7.27563,2.0104,3.64051,0.0,0.0,2.25206,1.75574,1.53427,55.17024,21.45109,2.5057,17.24201,8.54449,10.33996,3.80567,1.36561,42.23942,6.60299,10.38496,0.0,9.11703,0.0,0.0,16.15531,7.31342,13.74353,7.89876,6.10591,5.39826,4.10574,0.6633,38.22246,20.57282,0.0,0.0,2.09434,0.0,13.67987,0.0,10.33993,406.35668,4.00544,5.28573,3.84049,0.0,0.13827,0.0,23.91733,4.95793,0.38836,3.60666,1.02999,16.99383,0.82749,0.0,22.88331,17.99924,23.91841,3.05654,5.67772,1.94884,9.70267,43.17192,5.12039,10.29137,0.04749,52.32496,6.50705
-4.0,3.57439,0.0,0.02205,2.83153,23.30243,1.5016,9.06762,18.32965,41.01973,118.55344,0.0,0.0,130.15032,29.4988,12.55163,0.0,13.10763,0.0,86.02913,0.0,51.9796,8.14712,8.32904,42.71484,1.55232,26.64976,0.13169,8.22957,13.47831,0.0,135.71637,6.98951,27.22197,15.02481,61.93087,11.48419,8.49958,1.55995,2.0264,4.12118,39.21784,13.45667,26.27241,7.02165,8.85011,4.44178,0.0,18.0522,10.28175,1.50632,0.0,0.0,0.0,5.74393,8.58137,9.39472,9.70359,4.85105,7.46369,9.93724,14.37725,23.11738,3.80382,15.00522,0.00565,9.97794,4.57689,0.0,2.64006,3.9814,4.24593,2.93989,54.53144,15.01602,97.12377,4.50137,41.88788,157.91579,4.81882,32.13382,309.71154,0.0,109.93436,3.91563,7.37792,41.36996,20.16517,1.689,6.61693,55.44596,18.15288,14.846,0.14864,30.40893,21.54962,0.0,3.59656,9.48677,3.21037,33.5726,4.46038,78.62221,22.42701,19.10782,11.16602,0.0,19.51682,0.0,7.41379,0.0,0.0,0.0,8.79476,1.2707,3.15191,18.97703,7.58216,2.46019,54.99128,15.37285,1.99027,72.05976,0.87347,8.96975,2.04865,4.81874,47.21896,16.05812,23.90446,11.25155,0.0,23.69304,0.0,8.4622,13.67427,34.50078,22.69056,10.18977,11.41653,13.87738,29.69232,11.66312,29.87215,9.16278,1.21164,2.75676,0.0,10.98693,26.52744,9.08899,3.18694,7.1492,6.66598,32.81763,5.40766,5.60974,23.24408,25.30843,7.44787,8.95815,44.91786,3.47558,9.89304,0.49747,0.8525,19.84066,0.24055,35.22473,24.09334,5.11298,7.02272,27.28971,3.64051,220.05661,0.0,2.30012,1.75574,9.45362,55.1965,21.4511,2.58018,18.26731,9.02269,7.9324,3.53021,2.99591,42.23942,6.63901,9.02336,0.0,11.04716,0.0,0.0,16.19087,7.31342,11.05919,7.38348,4.32864,5.46165,4.1309,2.79924,38.22511,15.56978,0.0,0.0,71.12163,0.0,21.9255,0.0,10.33993,406.95494,4.15402,190.61679,3.84444,0.0,3.2685,0.0,24.02588,4.95793,0.40579,3.60666,7.53851,17.06193,0.84284,0.0,22.89417,16.5974,22.09716,3.05654,3.81102,1.78683,8.6123,43.17365,5.16424,10.39956,0.04749,40.83714,6.54614
-3.75,3.59071,0.0,57.07938,2.92388,23.72848,29.02072,11.43389,18.32965,20.39389,118.5589,0.0,30.8314,143.70172,29.4988,9.53437,11.05878,8.87419,0.0,86.02913,29.74618,52.65939,6.81394,8.32904,42.71484,1.55232,22.96115,14.0153,29.57256,13.47831,0.0,84.66366,6.50453,24.11494,15.53454,34.86265,11.48419,8.67032,18.53477,1.83806,3.95376,39.9806,12.94578,26.27241,6.73075,13.87986,5.44229,69.89832,18.0522,7.73387,1.62071,4.83704,0.0,376.8408,4.34358,8.70874,14.16108,9.30518,5.74041,7.49165,9.5154,12.99867,19.66241,4.50543,15.00522,0.73663,9.98486,4.58681,0.0,2.64275,3.30742,3.50394,2.99715,54.78298,15.27413,98.9767,23.60612,24.98245,157.91579,17.97257,16.67077,309.71154,0.0,49.00544,3.96972,7.89896,28.64252,20.16518,1.689,6.48306,56.39264,28.53492,11.85321,23.36004,30.40893,19.79397,37.71897,3.46053,7.29051,2.74185,34.22469,4.5777,78.73052,70.77613,16.95459,11.16602,0.0,13.17217,0.0,10.08534,39.26286,0.0,1.52584,7.07185,1.2707,3.76346,18.99912,7.58216,2.46019,54.99146,15.11439,1.48603,72.05976,2.77401,8.89286,3.08088,13.08451,37.37742,37.86358,25.11853,10.34745,0.0,24.46003,50.63714,9.06092,14.02416,34.79508,23.71045,9.03346,5.81567,15.18475,31.07277,11.0585,29.87215,10.13952,1.76602,2.58446,26.21348,10.50701,27.94143,9.58004,7.22273,5.84198,5.58749,33.39139,5.42039,5.64962,20.14125,23.24399,6.81339,7.20963,39.69798,3.47558,20.38832,0.49747,5.82052,20.54542,0.23167,37.00771,24.18088,5.20113,5.83114,47.23827,3.64051,134.48704,104.1515,2.30012,1.75574,7.89123,55.1965,21.4511,2.85149,15.86709,8.30795,5.80623,3.62335,3.04519,21.48407,5.65443,6.6883,3.36491,26.963,0.0,0.0,16.25158,5.04582,14.48169,8.30647,4.19182,5.7841,4.85762,1.94724,19.18292,15.56978,61.16316,0.0,53.59704,0.0,18.67563,0.0,10.33993,221.6994,30.85988,127.19669,4.37342,0.0,25.87582,0.0,24.0259,4.19937,0.43998,3.60666,7.53852,19.86022,1.32451,0.0,51.72102,14.66031,22.29206,1.935,3.81103,1.76947,8.75957,48.46713,14.22063,19.96396,44.70154,31.60625,5.55826
-3.5,5.61791,0.0,31.06954,2.92388,28.04433,32.47092,14.09674,18.32965,13.42127,36.31141,0.0,30.8314,143.70442,29.49885,9.55664,11.05878,13.36094,28.17305,57.84563,19.07074,63.30999,6.7691,10.07842,42.78201,35.82373,25.20917,12.78772,25.99676,13.47831,228.11484,55.25467,12.98608,24.40902,14.37701,35.36157,18.83453,9.29991,14.72181,1.90338,4.06931,28.32315,12.15979,18.33856,5.94862,12.5312,5.59834,69.89832,18.0522,7.13988,1.65252,45.74666,56.4462,192.75427,3.82633,10.65342,10.06278,9.75723,5.83629,7.01887,9.70691,12.99867,13.9784,4.1414,14.78394,0.8631,8.47645,4.28988,0.0,6.95253,7.5034,5.00301,2.30498,56.27075,11.13179,102.51194,17.79278,18.35206,157.91579,27.20534,20.93474,199.81582,0.0,64.49792,4.50075,13.68345,20.87443,15.97642,1.689,6.79204,56.39265,24.4965,8.12121,24.28966,30.40893,15.67859,39.74419,4.83722,6.70545,4.37233,27.64274,4.2995,40.06347,57.05822,16.97557,11.16602,10.62359,11.01298,3.17133,12.48663,39.26286,0.0,0.87157,24.09644,1.2707,3.94017,19.48293,6.57413,2.46019,54.99147,16.61012,1.54915,60.15046,2.8766,8.52597,3.53383,13.10746,37.5493,57.90745,33.91494,8.87007,0.0,33.89863,50.76915,10.5421,12.54436,25.55249,28.31061,8.36031,5.00812,16.72401,17.27317,11.42448,14.42111,12.4569,2.98982,2.47804,17.28335,11.39366,36.02621,8.07909,4.86407,6.61385,5.70141,29.65666,5.07127,9.93862,20.89849,21.5951,6.6643,6.53196,32.44763,3.52019,20.68814,16.82191,5.82052,20.67095,0.34549,37.30416,15.84809,4.62483,5.83219,49.46659,3.22931,83.52255,116.41377,4.25714,1.75574,7.59234,55.31679,21.45111,2.99827,14.63469,7.18841,5.15872,9.83944,3.94573,21.49219,5.28425,5.7234,6.01436,26.96358,0.0,0.0,19.26645,5.12855,12.47653,7.23349,5.97698,5.81783,4.56992,2.02006,19.18423,33.19723,74.75386,0.0,53.59704,0.0,60.90674,0.0,7.35695,221.6994,30.88341,127.19669,4.75047,199.66473,18.02154,35.55942,24.22817,11.89491,7.95179,3.60666,7.55781,19.89589,15.82613,0.0,41.32972,14.94592,24.79526,4.90698,5.19189,2.07667,8.12869,32.98511,12.49471,16.25675,44.70154,30.57262,5.64509
-3.25,7.96074,0.0,48.20358,4.43973,25.71252,32.70502,14.28833,35.00153,14.84649,45.79885,2.96383,30.8314,96.27729,45.89864,24.06844,53.30846,26.97206,25.71714,56.47902,15.57863,73.49796,7.60652,46.5596,42.94718,23.62617,32.9516,12.78772,35.82222,30.3137,228.11484,61.14249,12.62193,20.57205,11.86847,35.36162,18.83453,7.26493,15.84375,2.55617,4.57104,29.18894,14.35241,19.10809,5.78436,9.22378,4.84164,69.89832,13.89539,7.46326,1.54698,12.64784,53.19253,130.94224,4.50445,10.64324,10.39252,10.39171,5.74809,7.55435,9.70823,18.58461,30.62627,4.30057,29.48887,0.8631,7.71972,10.41958,124.58387,11.12905,7.93512,7.59834,2.21882,30.64984,11.48115,81.82089,29.39862,18.54711,157.91579,22.14782,11.4724,199.81583,0.0,64.45008,12.71206,14.75806,25.59982,13.83064,59.19522,6.36299,59.61189,22.25284,9.69829,20.81274,56.45121,15.67859,29.38136,4.91342,5.93966,3.95175,27.64278,6.81138,38.41857,35.93864,24.88184,35.79342,65.47185,18.32869,5.5918,29.46006,39.11005,0.02242,0.87157,26.42919,1.1765,4.45727,19.96436,6.59652,1.23019,54.99148,17.8584,1.79623,45.53746,2.80093,9.82228,3.15684,8.84385,42.73859,47.98187,41.96034,9.55799,0.0,38.04651,52.01891,14.57955,15.8158,32.52883,30.09239,6.47803,6.39966,16.41075,12.63154,10.49128,18.93455,12.19426,2.78487,2.67464,14.717,9.43068,36.11978,6.86066,3.59537,6.98988,6.08371,25.75818,5.46405,13.77696,21.23539,22.25096,5.38694,12.54377,27.00364,3.52019,20.88272,22.6622,5.76666,26.13291,4.86381,28.01983,17.37566,3.9993,5.92229,58.05987,13.72654,67.58228,121.82523,4.4189,1.75574,7.76146,28.48259,21.45111,3.07523,11.72339,7.37668,5.18181,7.93274,7.52305,66.60219,7.18474,5.1306,6.59277,24.88436,0.0,0.07834,23.25297,9.50334,11.49115,6.78896,5.26909,6.72376,5.12954,1.97232,28.85437,45.03978,64.26073,0.0,80.63763,0.0,64.11439,158.70787,17.52773,129.58283,22.34058,127.96716,8.72147,100.9421,36.85503,31.28239,24.27665,23.25623,9.20074,3.64644,14.28507,14.98906,33.59618,46.57801,33.74291,12.83492,26.12254,5.74637,4.26362,2.13331,8.86371,27.16725,14.12943,17.12705,36.951,30.9799,8.0573
-3.0,10.89406,25.52923,38.29811,4.1295,27.42508,35.31238,13.26663,21.93864,18.75067,60.58635,7.02373,20.51385,97.89685,29.97834,65.23626,60.47143,20.87786,16.03311,50.34967,11.56934,73.49796,16.64326,57.89901,37.30658,26.37037,30.97178,26.64562,33.79969,24.80994,194.80492,52.25997,10.5438,17.93129,12.49507,15.5232,18.23398,6.40358,13.54339,2.22485,4.99453,30.41682,13.97355,19.17857,5.56524,13.50188,5.12062,44.28857,14.83155,7.3938,7.8517,10.66903,39.76078,102.24531,11.45881,13.82819,13.13997,10.47687,3.86774,6.39419,8.4103,19.89249,27.1429,4.45455,29.56759,0.8631,7.48609,8.61122,124.58387,15.12829,7.41717,5.9226,1.98966,27.14663,9.95494,86.58716,24.09594,17.52832,100.72782,31.32889,8.6217,146.22556,117.35175,55.40966,14.3035,20.36585,22.79951,13.6241,35.86598,6.38234,46.1085,23.32201,8.09528,26.76874,40.86028,36.2011,24.25326,9.61257,6.13863,5.23642,25.7357,6.52975,36.0952,28.96594,18.78801,31.53253,58.01184,18.45031,8.11869,25.07295,29.31789,52.16874,5.8864,26.45304,15.42722,3.41343,23.33462,5.96982,1.26714,30.60866,17.8613,1.95132,41.34532,7.82952,9.89347,3.66663,7.4029,35.60853,47.11658,38.57684,8.69399,26.47102,49.214,58.75934,13.31809,18.94615,33.18331,27.42857,7.29953,5.56832,20.54067,25.295,10.22666,16.71195,14.89323,3.22893,2.962,12.67439,10.92553,40.55279,6.13879,3.61979,6.1863,5.23849,23.46458,5.35904,11.99607,23.07129,20.79687,4.79387,11.97456,21.64351,3.52019,25.00152,42.67567,6.85323,23.49939,4.06166,28.17571,15.02923,3.47839,5.50789,62.25311,24.00099,45.07598,135.32602,4.42394,2.52549,6.86839,23.7752,28.67703,2.57708,14.8079,7.177,5.08291,7.25105,18.52393,83.44425,9.95046,6.01277,12.68604,30.95755,544.03705,0.07834,19.89036,6.75585,11.34968,5.57054,4.47969,6.01677,8.05661,4.72486,27.68492,48.5696,52.60546,0.0,67.09827,51.8104,53.58871,53.18816,26.1062,104.48104,19.46407,66.83262,8.16515,70.56356,31.90362,20.76741,15.20067,23.7886,7.18977,38.74386,24.37159,13.32781,26.18615,24.02719,25.25427,11.3384,26.32025,4.74027,7.27736,2.71757,8.94412,27.67219,13.22478,19.78085,69.12641,25.30099,9.19008
-2.75,10.93027,68.69917,35.25849,5.72777,27.89688,30.6945,13.18008,34.46475,19.6506,30.39637,9.25343,20.63159,101.39083,29.97834,62.23924,64.99105,23.54392,12.90142,34.32534,16.77716,77.41511,16.84957,41.86883,32.54397,17.75061,27.04982,28.368,27.81171,29.11071,198.09251,78.06803,11.53098,13.55925,9.65816,15.7343,34.01745,5.63964,12.26405,2.11073,4.83269,32.7311,12.72012,19.38268,4.98962,10.48483,4.07734,48.78514,17.50259,7.71794,8.29125,18.19384,33.09472,102.25558,12.86729,10.91039,15.13792,10.53317,7.28077,7.20694,6.70829,22.76648,24.49326,4.18179,31.20457,22.08139,8.87997,9.4255,215.05044,16.62428,7.76766,5.93148,9.79112,28.23339,8.22469,68.50913,19.17823,17.13106,104.4146,26.13714,12.22641,146.22924,62.08659,43.58616,15.61979,23.37547,30.88515,11.99965,25.11668,24.54489,40.85165,19.46887,10.28697,28.5771,40.40569,33.17484,19.60747,11.83563,5.7504,4.59398,27.55542,7.04113,35.99213,25.19377,14.85472,26.51132,49.72159,19.59596,8.80123,16.57458,25.1127,231.82214,4.12637,39.81228,16.49072,3.3573,13.09008,5.32953,1.9848,30.60867,16.8542,2.17572,28.49949,9.39804,10.0409,3.39487,8.47389,34.12433,49.25328,29.42422,8.58419,28.55637,50.77718,54.62347,19.68178,20.24659,31.05806,22.9429,6.89795,5.67071,21.90386,30.40099,11.35798,16.44621,14.45828,3.60986,2.93847,13.29232,8.52582,32.66505,6.18817,3.4164,5.04627,5.03467,20.35561,5.3899,9.34438,23.04393,19.31562,4.71363,10.07788,21.23962,3.52019,30.09795,30.70813,7.74502,41.41693,3.46124,23.64669,13.40513,3.60709,11.97046,69.25422,25.37555,37.71414,157.03805,4.54549,22.93148,8.35444,19.28384,39.83384,2.60761,13.34004,6.83491,5.82679,5.72559,21.06477,94.4499,8.40245,5.34858,11.80104,22.41842,544.13185,0.07834,17.26797,10.52776,10.70761,6.00715,4.15233,4.70475,7.76079,7.4743,31.55372,33.56059,37.73082,421.81236,49.00991,51.92857,51.31277,40.21657,21.71579,85.24639,27.35693,72.24612,8.65781,75.81289,28.05533,27.55333,15.2448,22.3382,6.33517,36.73431,31.35196,11.17117,35.82283,38.53606,16.8733,10.3531,27.57771,5.67704,6.74068,3.12739,9.12361,22.08497,13.68378,24.02235,65.67456,18.30275,9.59796
