,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,3.61993,1.40175,0.0,0.0,3.08449,10.62568,2.48883,0.0,0.0,0.00068,2.81371,0.0,7.42167,0.0,1.03564,0.0,6.72524,0.0,0.0,0.0,0.0,0.0,0.64362,6.94678,14.84895,0.0,0.0,0.0,1.50789,0.0,0.0,1.09915,0.0,6.29972,0.0,0.542,1.01732,0.022,0.0,7.73457,7.83167,0.0,2.78033,0.24967,2.60442,0.0,7.1446,0.0,0.0,0.0,0.0,0.0,0.0,14.19203,1.56523,7.9306,0.0,0.0,2.38296,0.0,0.0,1.31993,0.0,0.06205,0.42334,0.0,0.79921,0.0,0.0,0.0,0.0,0.0,1.50084,0.0,0.0,9.0588,3.43934,0.0,0.0,0.0,2.30173,0.0,0.0,2.10404,2.21505,0.28966,8.36039,0.0,0.0,0.0,0.0,0.0,0.0,2.52661,0.0,12.52022,1.76165,0.06277,0.79623,0.0,2.55637,0.0,0.0,2.1463,2.11607,0.0,0.0,0.0,0.0,0.0,0.0,1.9295,3.71402,0.0,0.79144,12.19129,0.0,1.42717,3.26976,2.27204,0.0,0.0,0.50608,1.60868,0.0,0.0,0.0,0.69662,0.0,0.0,0.0,0.0,0.0,0.0,3.29122,3.05541,8.55326,0.0,0.0,0.0,0.0,0.0,3.14448,1.25561,0.0,0.0,1.87448,0.0,7.40969,6.96383,0.0,0.0,7.43377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.69682,0.0,1.13871,1.1336,0.0,1.79506,0.26106,0.0,1.68311,0.0,10.07322,0.41127,0.0,20.36916,0.0,0.0,14.12589,0.0,5.8822,0.0,0.04135,0.0,2.53257,4.35038,0.64056,0.07442,0.0,0.0,3.53806,0.0,0.0,0.13548,0.0,4.17134,0.0,2.84171,1.88992,0.0,0.0,0.0,0.0,0.09478,0.0,0.0,0.0,11.70339,0.0,2.29136,0.0,0.00562,0.0,0.0,1.97238,0.0,0.0,0.06753,0.0,0.0,0.0,2.30326,4.22044,0.0,0.53841,0.0,2.27886,0.0,0.41607,0.0,0.0,0.21383,0.0,0.0,1.17367,0.0,0.01042,9.72816
-4.75,0.0,4.98101,3.64869,0.95829,0.0,0.0,3.16613,10.62568,2.50683,0.0,0.0,0.00068,2.81371,0.0,7.42167,0.0,1.03564,0.0,6.72524,0.0,0.0,0.0,0.0,0.0,0.64362,6.94678,14.84895,0.0,0.0,0.0,1.50789,0.0,0.0,1.09915,0.47661,6.29978,0.0,0.68323,1.01991,0.022,0.0,8.085,4.49967,3.10211,2.84585,0.24967,2.60442,0.0,3.65833,0.0,0.0,0.0,0.0,0.0,0.0,12.47335,1.4305,7.9306,0.0,0.0,2.48135,0.0,0.0,1.31993,0.0,1.27736,0.42334,0.0,0.79921,0.0,23.40752,0.0,0.0,0.0,1.58715,2.38477,0.0,4.73159,3.43934,0.0,0.0,0.0,2.35796,0.0,0.0,2.10404,2.21505,0.28966,8.36039,0.0,0.0,0.0,0.0,0.0,0.0,1.53136,0.0,12.52022,1.76165,0.06277,0.79623,0.0,2.55637,0.0,0.0,2.1463,2.11607,0.0,0.0,0.0,0.0,0.0,0.0,1.9295,3.71402,0.08459,0.79144,7.1375,29.11069,1.43997,3.26976,1.77699,0.0,0.0,0.54274,1.62996,0.0,0.0,1.40665,0.78887,0.0,0.0,0.0,0.0,0.0,0.0,3.35746,3.08903,10.23002,0.0,0.0,0.0,1.0331,0.0,3.14448,1.05166,0.0,0.0,1.8745,0.0,7.40969,7.21099,0.0,0.0,8.23382,0.0,0.0,0.0,1.03781,0.0,0.0,0.0,4.69682,0.0,0.94232,1.1336,0.0,5.96741,0.26106,0.0,1.71216,0.0,11.06065,0.41127,0.0,20.36916,0.0,0.0,14.12589,1.11458,5.88222,0.0,0.36088,0.0,1.99548,4.60005,0.46407,0.07442,0.0,0.0,3.53806,0.0,0.0,0.13548,0.0,3.73032,0.0,2.84171,1.88992,0.10439,0.0,0.0,0.97639,0.09478,0.0,0.0,0.0,11.70339,0.0,2.29136,0.0,0.00562,0.0,0.0,2.01326,0.0,4.22881,0.06753,0.0,0.0,0.0,2.30326,4.22044,0.0,0.53841,0.0,2.60466,0.0,0.87233,0.0,0.0,0.21383,0.0,0.0,1.17367,0.0,0.01042,9.72816
-4.5,0.28493,4.98102,3.64874,0.95829,0.60538,0.0,3.16613,10.62568,2.50683,0.0,10.39766,0.00068,2.81371,0.0,7.42167,0.0,1.97456,0.47767,6.72524,0.0,0.0,0.0,0.0,0.0,0.64362,6.9681,14.84895,0.0,0.0,0.0,1.50789,0.0,0.0,1.10689,0.52368,6.29983,0.0,0.77663,1.07589,0.022,0.0,8.085,3.50778,3.92967,1.98488,0.24967,2.76285,0.0,3.70526,0.0,0.0,0.0,0.0,1.62768,0.0,12.50354,1.4305,7.9306,0.0,0.0,2.48135,0.0,0.0,0.45274,0.0,1.27736,0.60643,0.0,0.91681,0.0,23.40752,0.0,0.0,0.0,1.58715,2.76621,0.0,2.60911,3.43934,0.0,0.0,0.0,2.38673,0.0,0.0,4.56289,2.21506,0.28966,8.36039,0.0,0.0,0.0,0.0,0.0,0.0,1.53136,0.0675,13.18616,1.76165,0.06277,1.39061,0.0,2.55637,0.0,0.0,1.79212,4.07271,0.0,0.0,0.0,0.0,0.0,0.0,1.9295,2.68425,0.08459,0.88332,7.13751,30.29002,1.43997,3.26976,1.77699,0.0,0.0,0.58515,1.66802,0.0,0.0,2.54074,0.78887,0.0,0.0,0.0,0.0,0.0,0.0,3.40472,2.5163,10.31334,0.0,0.0,0.08203,1.0331,0.0,3.24829,1.05166,0.0,0.0,1.87451,2.75264,7.42057,7.21099,0.0,0.0,5.41157,7.32899,0.0,0.0,1.03781,0.0,0.18702,4.56916,4.69683,0.0,0.94232,1.1336,0.0,6.08132,0.48871,0.0,1.71216,0.0,12.191,0.41127,0.0,10.7953,0.40281,0.0,14.12589,1.11458,5.88244,0.0,0.51301,1.14916,2.14271,4.76702,0.37514,0.07442,0.0,0.0,3.53806,0.0,0.0,0.13548,0.0,2.5287,0.0,2.84171,1.88994,0.10439,0.0,0.0,7.60455,0.09478,0.0,3.55896,0.0,7.93967,0.0,2.29136,0.0,0.00562,0.0,0.0,1.75338,0.0,4.22881,0.06753,0.0,0.0,0.0,1.22133,6.79745,0.0,0.53841,0.20374,2.60466,0.0,1.05819,25.76061,0.0,4.18892,0.0,0.0,1.18022,7.22435,0.01042,10.43958
-4.25,2.78472,4.98102,3.64875,0.95829,0.63519,0.0,3.16613,10.62568,2.57059,0.0,10.41305,0.00068,2.90739,1.82114,7.42167,0.80797,1.97456,0.47767,6.72524,0.0,0.0,8.72455,0.0,0.0,0.64362,6.9681,14.84896,0.0,0.0,0.0,1.50789,0.0,0.0,1.15566,0.52368,6.29983,0.0,0.87384,1.07589,0.022,0.0,5.99934,3.52569,3.96672,2.16886,0.24967,2.8349,0.0,3.7212,0.0,24.3343,0.0,0.0,0.8808,0.0,15.62696,1.43051,5.81617,0.56519,0.0,2.48135,0.0,19.50912,2.99997,3.27722,1.27736,0.60643,0.0,13.36497,0.0,23.40752,0.0,0.0,0.0,1.58715,2.76621,0.0,2.19713,3.43934,0.0,0.0,0.0,2.39018,81.6371,0.0,4.58573,2.21506,0.28966,5.17659,0.0,0.0,0.0,9.53367,0.0,0.0,1.58218,0.0675,14.71455,5.03156,0.06277,1.39061,0.0,2.32558,0.0,0.0,1.79212,2.8516,0.0,0.0,0.0,0.0,12.9489,0.0,2.10856,2.85198,0.08459,0.89119,7.13751,30.71941,2.17726,3.27497,2.68646,0.0,0.0,0.58515,1.58864,0.0,0.0,2.38122,0.78887,0.0,2.15649,0.0,0.0,0.0,0.0,1.85414,2.756,10.53521,0.0,0.0,0.08203,2.05933,0.0,2.6935,1.06851,1.44105,0.0,1.87452,2.75264,4.83136,7.21099,0.34525,0.0,5.44192,7.32899,13.7607,0.0,1.18018,0.00542,0.18702,4.21238,4.69683,31.31098,1.02243,1.1336,0.83233,3.71421,0.61965,0.0,1.73813,0.0,12.50113,0.25041,0.0,7.41458,0.40282,0.0,11.3075,1.11458,6.02773,0.0,0.66168,1.55071,2.14271,4.76702,0.48632,0.35438,0.0,0.0,2.07871,0.0,1.7225,0.79208,0.0,4.94584,1.39875,2.07017,2.46529,0.10439,0.0,0.0,7.60455,2.33281,0.0,3.53835,25.10537,7.93967,0.0,12.54301,0.0,0.00562,0.0,0.0,1.75338,0.0,6.82313,0.06753,0.0,0.0,0.0,1.22133,9.38504,0.0,0.53841,0.20374,2.60466,3.42929,1.0582,25.76109,0.0,2.9361,0.0,0.0,2.85701,7.22435,0.01042,10.43958
-4.0,2.09204,4.98102,3.92904,0.95829,0.66353,0.0,3.19405,10.62568,2.57059,0.0,10.41305,0.00068,2.9074,1.82114,29.3796,0.80797,1.33386,0.47767,6.72524,0.0,0.0,8.72455,0.0,0.0,0.64362,6.96811,14.84896,0.0,0.0,0.0,1.50789,0.05307,0.0,1.02561,0.52368,6.29983,0.0,0.93558,1.43858,0.022,11.66685,6.06124,2.73196,3.96672,2.48528,0.34953,2.86766,0.0,3.7212,0.0,24.3343,3.54273,0.0,3.03407,0.0,16.80327,1.88129,4.46436,0.60228,0.0,1.78578,0.58278,19.56838,2.99997,3.27722,1.27736,0.62545,1.8346,6.93206,0.0,10.06314,0.0,0.0,0.0,1.69434,2.76622,0.0,1.94728,3.43934,0.0,0.0,0.0,2.45113,81.6371,15.03045,4.58573,2.21508,18.0453,5.85405,0.0,0.0,0.0,9.55134,0.0,0.0,2.0043,0.0675,14.72521,5.03156,0.92561,1.23381,0.0,2.32558,0.0,0.0,1.79212,3.03133,0.0,0.0,0.0,63.83894,12.9489,0.0,1.79906,2.85198,1.5789,0.97808,7.13751,30.858,1.74899,3.27497,2.69871,0.0,0.0,0.54021,1.52098,0.0,0.0,1.97487,0.73043,0.0,6.13366,0.0,0.0,0.0,0.0,4.11094,2.34245,14.73168,0.0,0.0,0.08207,2.30291,0.0,2.71126,1.12363,1.44105,0.0,6.67946,1.92682,3.84281,3.3729,2.37876,0.0,6.66923,7.32899,13.76079,0.0,1.35297,0.00542,98.35392,3.67027,4.69683,31.31098,0.92714,1.1336,0.888,4.0936,1.52052,0.0,1.97868,0.0,7.5745,1.77618,0.0,7.41458,0.46796,0.0,7.82173,1.11458,8.72951,0.0,0.66168,1.84186,2.23226,5.03019,0.43197,0.35722,0.0,177.41691,8.75802,0.0,1.7225,0.79208,0.0,6.7351,2.2509,1.78127,2.10176,0.10439,0.8615,0.0,7.60455,2.26949,0.0,3.61921,25.10537,5.49262,0.0,8.585,8.32037,0.00562,0.0,0.0,2.92325,0.0,6.81812,0.06753,0.0,0.0,0.0,1.27293,6.9025,0.0,2.47094,9.39993,3.33233,3.42929,1.05195,25.76113,0.0,2.93612,0.0,0.41146,2.85701,6.98334,0.01042,10.43958
-3.75,3.65602,10.76904,3.92905,2.48196,2.0605,21.9957,3.35204,10.62568,2.57319,0.0,10.41306,0.00068,2.9074,0.94578,29.3796,4.87533,1.50875,0.47767,7.03664,0.0,17.94128,8.72455,0.0,0.0,0.64287,7.89344,8.1096,0.0,0.0,0.0,3.60537,0.05307,0.0,1.07998,4.46652,7.38447,0.0,0.984,1.40829,0.33109,11.78678,6.06124,3.5504,3.90065,2.75744,2.89942,2.86766,0.0,3.7212,0.0,24.3343,2.48303,10.29857,3.04827,8.35123,16.8242,1.64463,3.8596,0.60228,5.31039,1.80704,1.26224,24.07039,3.01057,3.27722,1.99722,4.0204,1.8346,6.97147,0.0,10.06314,0.0,0.0,0.0,1.14854,4.19311,0.0,2.61437,3.43934,0.0,7.85912,0.0,2.45783,81.63712,14.90509,5.86406,2.21508,18.09265,5.85405,0.08123,0.0,0.0,9.55134,0.0,0.97997,2.05826,0.0675,14.72521,5.03156,1.13914,5.52332,3.2906,5.00729,6.8268,0.0,1.79212,3.03133,3.99112,9.50482,0.0,64.06056,12.9489,0.0,1.46197,2.68033,1.5789,1.14261,3.83893,32.73874,2.26671,3.27497,2.69871,14.17374,0.0,0.69071,1.69774,36.96895,46.57199,1.50691,0.86311,0.0,11.65335,0.0,0.0,0.0,0.0,4.27685,1.8249,14.78946,0.0,5.63866,0.08214,2.23341,0.0,2.34383,1.37113,1.44105,0.0,5.56423,1.35488,4.04467,2.45696,2.17694,4.01433,7.12176,7.4446,9.51887,6.79718,1.9685,0.00542,98.35392,4.1832,4.69714,35.9396,0.94846,5.91889,1.17224,3.4583,1.56814,0.0,4.63518,0.0,7.57451,1.51436,10.40664,7.45108,0.46796,0.0,6.65595,1.11458,8.72951,0.0,1.35042,2.40804,1.7523,5.15868,0.57537,0.35722,24.88092,177.41691,6.65623,0.0,1.76231,0.79208,9.57928,5.9156,2.6688,1.5226,2.61853,0.10439,0.79725,19.40439,6.78839,2.26949,0.18164,2.98987,25.10537,5.49262,0.95852,7.04475,4.18946,13.46006,0.0,0.0,2.92325,0.0,6.81812,0.06753,0.0,0.0,0.0,1.27293,6.94563,0.0,2.47094,9.39993,1.84759,3.42929,2.33756,25.7612,0.0,2.56814,0.0,0.85597,2.86336,4.01612,0.01042,7.87599
-3.5,3.34961,8.22101,3.61323,2.54631,1.32859,26.36224,2.48385,15.64616,1.8741,0.0,12.28747,0.00068,6.92759,0.94579,29.3796,4.87533,2.69037,0.47767,7.03664,0.0,17.94129,8.72455,3.04954,0.0,0.79541,7.89344,8.1096,0.0,0.0,0.0,3.60537,0.05307,0.76714,1.54606,4.46652,7.38447,48.27489,1.04922,1.45275,0.33109,9.92185,3.64977,3.06194,3.29427,2.32746,7.97695,2.21323,0.0,3.7212,10.03173,13.34399,2.32298,13.13492,25.97382,5.82228,16.85675,1.78082,3.83077,0.69714,5.31039,1.29163,2.84512,24.07039,3.01057,2.15641,1.99722,6.00682,2.4621,3.91732,12.86448,10.06314,0.0,34.65988,0.0,1.14854,4.19312,0.0,2.71596,4.06721,28.99021,6.62708,0.0,2.45955,40.956,9.87507,5.52954,4.04235,16.23292,6.03895,4.65653,0.0,0.11878,9.55134,0.0,8.94536,2.06466,0.73041,14.72521,5.03156,1.18536,3.39937,3.43531,4.85013,6.8268,0.0,1.79212,3.05469,3.99112,9.50482,0.0,64.06056,5.74876,17.12274,2.07046,1.97414,2.08553,1.24514,2.82612,23.82001,2.26671,11.51842,5.61993,14.17375,0.0,0.58977,1.64535,37.23666,46.57209,1.5278,0.68776,0.0,12.60554,0.0,0.0,0.0,0.0,4.31189,1.74043,16.63364,0.0,5.78131,0.14019,1.99149,12.4275,2.20007,1.37538,16.02365,21.181,6.58626,1.13295,3.67122,2.16296,2.02418,2.61231,7.18531,8.61054,9.74027,9.06853,3.49052,0.00542,98.35392,4.2084,4.69714,39.5051,0.97651,3.60485,1.17225,3.80083,8.65685,2.29097,3.17386,0.0,7.49662,1.59996,10.40664,16.21276,0.46796,0.0,5.78951,1.11458,7.38844,0.0,3.66863,2.49539,2.20639,4.89963,0.58662,4.51387,31.75722,177.41691,6.65623,2.21233,1.76231,0.60106,9.73726,6.43456,4.3289,2.08056,2.96929,0.11307,0.81544,23.02176,11.26302,2.74812,1.55725,2.74349,13.80813,9.21215,1.12704,7.06282,2.87863,13.46006,3.00977,0.0,5.1891,5.46493,6.81812,0.06753,0.0,0.0,0.0,4.04697,6.84024,0.0,2.47094,10.92494,5.6726,4.87619,2.41014,34.34361,0.0,5.30255,0.0,17.16779,2.86872,3.28066,0.01042,7.95122
-3.25,2.93447,6.88551,7.43921,2.58647,1.96129,15.85286,2.27387,15.64616,1.87581,0.0,59.36242,3.70377,6.01252,1.74748,27.80928,4.87533,2.55034,0.47767,16.36081,0.0,28.91149,7.61601,3.04955,0.0,1.83606,7.13095,9.14113,0.0,0.0,0.0,3.60537,0.05307,0.76714,1.32078,3.03154,6.18014,48.27503,1.52975,2.23357,0.33109,11.63547,2.61098,4.4589,3.32491,2.18247,7.74642,2.83382,0.0,6.68766,8.76228,9.44436,2.33999,8.81863,20.78769,8.12543,16.92927,1.41002,4.21465,0.80065,6.0996,2.05599,2.42079,24.18866,6.52261,1.83359,4.66069,10.13488,3.82724,4.52106,23.77906,9.78184,0.0,57.44023,2.02899,3.19859,2.64595,0.0,2.72074,4.06721,25.56456,12.41921,0.0,4.2141,40.956,7.94499,6.8983,3.63441,21.02536,5.82883,3.24531,0.0,0.11878,9.55134,2.1324,5.75562,2.06466,0.51508,14.72521,3.71656,1.2234,2.89787,3.5135,4.87561,7.00921,9.12016,1.79212,3.05469,2.0686,14.59845,20.07817,67.02228,8.95491,17.17465,2.189,1.80887,2.09591,1.17853,2.45682,28.23424,2.01927,12.4,4.0868,28.4579,0.0,0.72998,1.73711,38.30809,46.60632,1.9997,0.9733,0.0,29.87627,52.0572,0.0,0.0,0.0,4.0966,1.53352,10.2412,0.0,3.42223,2.89497,2.14666,15.47386,2.08089,1.54379,16.03395,15.82816,6.66094,1.26298,3.90429,2.01219,1.96429,4.67893,8.30405,6.94741,10.07213,17.02024,3.64231,0.00542,98.51839,3.27472,1.7586,39.5051,1.96439,3.09415,1.24362,3.50227,10.22736,2.29097,3.17651,0.0,7.85822,5.04631,6.7486,16.21276,0.68765,0.0,7.41139,13.34235,7.59211,18.8546,3.68682,2.22707,2.04984,7.39641,0.59223,4.39015,22.08326,177.41691,6.65623,7.16998,1.89923,0.47554,8.82602,8.95794,8.28588,2.91053,2.62676,0.11307,0.94807,23.11872,12.43428,2.72394,1.08492,2.89945,11.06412,14.17884,3.59993,18.29444,2.33607,32.26167,2.04677,0.0,5.19507,5.1004,6.93702,2.08086,5.67925,0.0,0.0,6.99678,6.00672,0.0,2.60189,10.92494,5.69725,3.25606,2.50442,34.80121,22.0104,4.08907,0.0,14.46177,2.60278,2.8066,0.01042,5.5781
-3.0,2.87967,6.03686,7.46409,2.58647,1.74951,11.94266,2.66275,70.73352,7.04581,0.0,59.83407,3.70377,9.37057,8.34814,21.44984,4.7497,2.86776,0.47768,22.26053,0.0,78.97821,21.21967,6.73935,0.0,2.286,5.75556,9.14113,46.29043,0.0,0.0,7.20246,0.05307,1.16066,1.31598,4.25299,6.18888,66.03413,1.40438,1.95587,2.50973,11.78638,2.08943,3.90302,3.70612,2.12989,8.36788,2.87025,0.0,5.72576,10.59926,9.17679,2.12681,8.45059,15.39308,4.69496,18.16142,1.33746,4.15538,1.20785,4.09716,2.33001,3.46749,17.05332,7.17538,1.92709,5.5838,8.39061,3.47593,4.53724,36.66233,10.87719,0.0,57.44023,5.43943,5.72886,2.74064,18.28351,2.85334,3.40868,29.71155,12.6478,0.0,4.48962,40.956,5.69758,5.19615,3.41556,22.54229,12.83246,3.34473,0.38236,23.41638,9.55134,20.98711,4.46747,2.06919,0.48035,14.98804,4.28178,1.35982,2.47162,3.5135,4.23265,8.789,6.14483,2.20733,2.60639,2.4581,10.10935,20.12109,39.17855,14.78355,17.95895,2.2601,2.08059,2.09594,1.57872,2.76513,28.61284,2.00315,13.50471,3.93581,15.2634,0.0,0.93213,1.80216,38.78621,47.51475,1.84618,0.84051,0.0,30.14187,78.99725,0.10469,0.00136,0.0,4.14092,1.43387,10.66678,0.0,3.70243,2.88609,2.17155,17.10951,1.94718,1.62478,12.80816,16.74441,5.244,1.238,3.77279,2.21839,1.94396,9.95017,7.58421,6.35615,11.42065,15.25184,3.45341,0.00542,98.58417,3.98869,1.76068,18.5487,1.86834,2.1587,1.01873,3.08809,8.8703,3.01955,2.56742,4.18101,6.95424,4.13237,6.7486,16.21276,1.01002,11.05956,9.16069,23.03029,7.93908,18.90093,3.17776,2.34454,2.36167,6.98553,0.65293,4.80027,17.53611,177.41692,6.66832,3.08658,3.39346,1.82004,9.07118,9.22709,8.74706,3.0117,2.88,0.11307,4.35776,23.15528,15.77323,2.98944,1.68948,3.68889,11.06412,14.17884,2.63702,18.47473,5.33201,28.88747,1.72089,0.0,5.22756,3.83435,6.58476,1.13784,4.47001,0.0,0.12313,5.45931,6.10035,0.0,2.60189,9.0337,4.64131,1.98958,2.21165,35.58,7.97652,4.49071,1.32379,18.77872,5.11176,2.29327,0.49098,4.65104
-2.75,3.12168,4.68832,6.07453,2.82108,2.27117,7.10651,3.28247,61.66362,7.08091,20.92036,66.5938,3.70377,9.93112,8.34967,21.44984,3.73429,4.3558,29.49636,22.3127,14.17328,81.46442,36.04918,6.78349,0.0,8.34523,5.16125,9.20088,30.2152,5.00148,71.42025,12.20212,4.23795,1.63068,1.79,5.82884,4.17615,67.42718,1.23782,1.88439,2.29054,10.39446,2.17671,3.22533,4.49254,2.22548,6.93665,2.92055,0.0,4.77244,12.78666,8.99676,2.71632,7.56643,16.82732,4.17856,12.22354,1.66907,4.15538,1.34974,4.10117,2.55598,4.12551,14.5164,6.65526,3.36657,5.60191,9.5494,8.27756,3.5154,21.45377,10.65529,0.0,35.16271,6.68189,6.69594,3.26399,20.31277,3.26206,4.73923,9.5226,10.28171,12.74589,5.70236,40.956,4.8936,4.5982,3.81057,26.47141,8.23916,4.33825,5.42327,24.74819,8.6716,25.56999,5.25025,4.69452,2.9034,7.78736,4.49695,1.33993,2.16182,25.28435,4.18592,6.14439,9.64921,11.13537,2.60639,3.29079,6.51744,20.18084,21.27554,13.00193,12.6038,2.54058,2.38035,7.92653,2.33463,2.8758,29.90718,1.96558,9.78791,3.64633,10.26567,0.0,1.03868,1.51645,33.5025,56.81278,1.93434,0.94217,0.0,30.9984,78.99738,0.84211,20.732,16.27488,3.67817,1.3857,10.89347,0.0,3.81932,2.56624,2.28377,17.54129,1.63695,1.46565,9.91028,16.82777,4.32081,1.24235,4.07388,2.0302,1.99631,6.15465,7.88571,4.8775,11.51242,14.33568,4.07337,5.39113,67.11321,4.24988,2.28493,18.55927,2.08188,1.92576,1.07963,3.16464,7.47513,2.43825,2.73691,4.31623,6.01049,3.55807,6.9788,9.5214,2.97687,9.275,12.37531,23.14351,6.61482,16.68407,2.51039,2.9138,1.83261,7.43599,0.88122,3.6975,19.31088,178.0563,6.38198,3.29672,3.11148,1.73057,11.32563,8.81806,8.95756,4.5711,3.11408,0.1363,4.22193,13.8623,14.45814,3.65436,3.34751,2.77018,8.41081,8.51474,4.68167,51.04325,4.20199,28.88747,1.68367,0.07254,5.26211,2.41881,11.38609,13.46001,9.70942,0.0,0.12313,5.01395,6.87598,14.07115,15.69694,7.95921,3.87305,1.71357,2.7337,39.3192,5.36028,4.80195,10.58931,16.00808,6.47823,1.8343,4.58324,3.52318
