,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.09173,0.0,0.19088,0.09199,0.13214,0.0,0.12577,0.09625,0.0,0.0,0.0,0.0,0.0,0.87831,0.0,0.0,0.0,0.0,0.0,0.0,0.23158,0.0964,0.0,0.0,0.11299,0.07965,0.0,0.07907,0.0,0.0,0.0,0.17459,0.37261,0.25811,0.38271,0.14884,0.21342,0.0,0.11198,0.11558,0.56842,0.37173,0.36393,0.11056,0.09681,0.18908,0.0,0.10967,0.10099,0.10672,0.0,0.0,0.0,0.0,0.09358,0.79628,0.17351,0.12036,0.06983,0.30196,0.12722,0.2489,0.0815,0.11187,0.0,0.0,0.10144,0.0,0.11935,0.12222,0.09762,0.15067,1.11786,0.21501,0.0,0.0,0.0,0.10415,0.0,0.0,0.0,0.0,0.09479,0.14932,0.0,0.0,0.11462,0.0,0.09495,0.09657,0.09911,0.11415,0.07474,0.0839,0.0,0.0,0.1396,0.21903,0.11349,0.46253,0.10351,0.08965,0.14428,0.0666,0.09207,0.0,0.06213,0.0,0.10321,0.0,0.0,0.0,0.09019,0.11287,0.12901,0.0,0.28183,0.0,0.50387,0.50639,0.08368,0.15281,0.08868,0.27497,0.12918,0.0,0.0,1.76566,1.10372,0.31585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36452,0.27758,1.90031,0.0,0.43959,0.83565,0.0,0.18708,0.16756,0.0,0.14006,1.24358,0.29838,0.1362,0.15972,0.1694,0.80427,0.19857,0.0,0.91406,0.61499,0.18809,0.16714,0.0,0.0,0.17266,0.11962,0.11206,0.16771,0.0,0.27109,0.29948,0.16672,0.11674,0.0,0.12795,0.0,0.0,0.09354,0.11217,0.08028,0.0,0.13237,0.20399,0.3623,0.26012,0.15784,0.12828,0.1494,0.17171,0.08706,0.16214,0.0,0.11086,0.0,0.0,0.07794,0.10262,0.50171,0.30166,0.0865,0.14535,0.1376,0.11348,0.13843,0.13765,0.0,0.0,0.0,0.0,0.11877,0.0,0.10133,0.0,0.09937,0.10175,0.07555,0.0,0.19719,0.0,0.2442,0.1229,0.08819,0.1776,0.09638,0.1094,0.12057,0.0,0.0,0.07541,0.44867,0.0,0.10986,0.26105,0.36501,0.11336,0.10679,0.34223,0.12715,0.0,0.13774
-4.75,0.09173,0.0,0.19088,0.08301,0.12362,0.0,0.1248,0.09625,0.0,0.0,0.0,0.0,0.0,0.8482,0.0,0.0,0.0,0.0,0.12166,0.0,0.23158,0.0964,0.0,0.0,0.11299,0.07619,0.07297,0.07907,0.0,0.0,0.0,0.16479,0.3367,0.25165,0.33925,0.14119,0.20291,0.0,0.11033,0.11247,0.55378,0.35274,0.30972,0.10839,0.09389,0.17486,0.0,0.10367,0.10099,0.10383,0.0,0.0,0.0,0.0,0.08896,0.73212,0.16514,0.1142,0.06857,0.27437,0.12722,0.2489,0.0815,0.10181,0.0,0.0,0.10144,0.0,0.11935,0.11611,0.09762,0.13279,1.03392,0.20789,0.0,0.0,0.0,0.10415,0.0,0.0,0.0,0.0,0.09479,0.14536,0.0,0.0,0.09245,0.0,0.09495,0.09657,0.09911,0.11415,0.07474,0.0863,0.0,0.0,0.13811,0.20276,0.09882,0.42511,0.10103,0.08965,0.14073,0.06187,0.09006,0.0,0.06044,0.0,0.09702,0.0,0.0,0.0,0.09019,0.11287,0.119,0.0,0.23845,0.0,0.49053,0.48194,0.07926,0.15281,0.08868,0.26233,0.12018,0.09434,0.0,1.66638,1.07326,0.2969,0.0,0.0,0.0,0.0,0.9869,0.0,0.0,0.3468,0.26965,1.76958,0.0,0.43424,0.76678,0.0,0.16545,0.1538,0.0,0.12777,1.17181,0.27011,0.12783,0.15194,0.16596,0.7637,0.18404,0.0,0.86564,0.59308,0.18357,0.17153,0.0,0.0,0.15168,0.11962,0.11206,0.1329,0.0,0.26091,0.28961,0.16109,0.11674,0.0,0.13974,0.0,0.0,0.0929,0.11217,0.08028,0.0,0.13237,0.1771,0.33212,0.25198,0.15025,0.11642,0.14216,0.17171,0.08913,0.15434,0.0,0.10843,0.0,0.0,0.07794,0.11127,0.42303,0.29507,0.08787,0.12931,0.1382,0.10937,0.12602,0.13765,0.0,0.0,0.0,0.0,0.11877,0.0,0.10133,0.0,0.09119,0.10175,0.06239,0.0,0.19719,0.0,0.21175,0.1229,0.08819,0.1776,0.09103,0.09638,0.12057,0.0,0.0,0.07434,0.4191,0.12173,0.10986,0.20993,0.36158,0.11336,0.10679,0.34223,0.12715,0.07331,0.12976
-4.5,0.09033,0.0,0.19088,0.0823,0.11638,0.0,0.11504,0.08353,0.0,0.0,0.0,0.0,0.0,0.84989,0.0,0.0,0.0562,0.0,0.10175,0.0,0.23158,0.08432,0.0,0.07895,0.11299,0.07547,0.07297,0.07907,0.06805,0.0,0.0,0.15465,0.33272,0.24437,0.33925,0.13897,0.18953,0.70012,0.10566,0.10985,0.51186,0.33302,0.30972,0.10121,0.08674,0.16798,0.0,0.10067,0.10099,0.09908,0.0,0.0,0.0,0.0,0.09037,0.73212,0.16514,0.1142,0.06583,0.27652,0.11984,0.22015,0.08009,0.10181,0.0,0.06798,0.0944,0.0,0.11935,0.11658,0.0941,0.12554,1.00252,0.19836,0.0,0.0,0.06447,0.0933,0.0,0.0,0.08359,0.0,0.09479,0.13438,0.0,0.0,0.08018,0.08477,0.09495,0.09246,0.08584,0.11415,0.07474,0.0863,0.06361,0.0,0.126,0.19196,0.09432,0.40632,0.09694,0.08965,0.12764,0.06126,0.09006,0.0,0.0585,0.0,0.09702,0.0,0.0,0.0,0.07913,0.08877,0.11439,0.0,0.24298,0.0,0.46054,0.4696,0.07658,0.13889,0.08392,0.25347,0.11044,0.09276,0.90709,1.59643,0.98101,0.2865,0.0,0.0,0.0,0.0,0.95125,0.85943,0.70468,0.34279,0.26569,1.69493,0.0,0.42306,0.7742,0.0,0.15436,0.14349,0.0,0.1367,1.11517,0.261,0.12528,0.14417,0.15712,0.74798,0.17455,0.0,0.82529,0.53998,0.1808,0.16476,0.0,0.1472,0.15455,0.11962,0.09317,0.13739,0.0,0.25034,0.27241,0.151,0.11674,0.0,0.17387,0.0,0.0,0.09225,0.11217,0.07867,0.0,0.11775,0.17053,0.31749,0.25205,0.14825,0.108,0.14213,0.17171,0.08246,0.14807,0.0,0.10607,0.0,0.0,0.08009,0.11441,0.39507,0.28883,0.08787,0.12822,0.13589,0.10937,0.12602,0.13765,0.0,0.0,0.0961,0.0,0.11877,0.0,0.10133,0.0,0.08126,0.10175,0.05712,0.0,0.19719,0.0,0.2059,0.10208,0.08395,0.16789,0.09356,0.09573,0.11389,0.0,0.0,0.07434,0.39256,0.12173,0.104,0.20993,0.3547,0.10937,0.09758,0.17097,0.12715,0.0693,0.12976
-4.25,0.09033,0.0,0.19088,0.07856,0.11326,0.08933,0.10724,0.08353,0.06349,0.05238,0.0,0.0,0.07474,0.84989,0.0,0.0,0.05526,0.0,0.09546,0.0,0.23158,0.08432,0.0,0.07895,0.10455,0.07159,0.07868,0.07907,0.06805,0.0,0.062,0.14807,0.30402,0.23079,0.30203,0.13069,0.1776,0.63483,0.10057,0.10885,0.49972,0.32864,0.29685,0.09366,0.08668,0.16095,0.0,0.09466,0.10099,0.09908,0.0,0.0,0.0,0.06208,0.09037,0.73212,0.15716,0.1142,0.06507,0.26659,0.11984,0.22015,0.07327,0.10181,0.0,0.06798,0.09402,0.0,0.10887,0.11294,0.08675,0.12246,0.93165,0.19499,0.0,0.0,0.06447,0.08773,0.06881,0.0,0.08359,0.0,0.09479,0.14156,0.08189,0.07275,0.07918,0.08477,0.09495,0.09246,0.08402,0.09144,0.07474,0.0863,0.1139,0.0,0.12025,0.17825,0.09359,0.39091,0.0939,0.06855,0.12764,0.05595,0.09006,0.0,0.06053,0.0,0.09022,0.0,0.0,0.0,0.07892,0.08721,0.10656,0.0,0.23472,0.1034,0.43723,0.45261,0.06863,0.11888,0.08309,0.24157,0.11304,0.08873,0.84365,1.49681,0.92857,0.2732,0.0,1.71594,0.0,0.0,0.90293,0.8494,0.67069,0.32067,0.24951,1.62162,0.87502,0.42361,0.7742,0.44855,0.15436,0.13573,0.0,0.12649,1.05743,0.24111,0.11835,0.13774,0.14868,0.73224,0.16987,0.09447,0.79363,0.51534,0.17954,0.15375,0.11407,0.13479,0.14902,0.11962,0.09317,0.13766,0.0,0.24397,0.26507,0.14222,0.10392,0.11712,0.18304,0.0,0.0,0.08978,0.0944,0.07481,0.12858,0.09896,0.17246,0.3096,0.23061,0.14122,0.10638,0.14623,0.17171,0.07448,0.1326,0.0,0.10074,0.0,0.0,0.08009,0.11441,0.3926,0.26559,0.07233,0.12172,0.13148,0.10937,0.14491,0.12989,0.0,0.0,0.10231,0.0,0.0956,0.0,0.098,0.10836,0.08539,0.10175,0.05787,0.0,0.19719,0.0,0.19237,0.09042,0.07599,0.12494,0.08682,0.08669,0.11389,0.0,0.06648,0.06954,0.36941,0.12661,0.104,0.15917,0.33472,0.10184,0.0931,0.14794,0.12715,0.07211,0.12053
-4.0,0.07895,0.0,0.19088,0.07789,0.11364,0.08358,0.09628,0.07669,0.06063,0.04951,0.0,0.0,0.07474,0.84059,0.12496,0.0,0.05245,0.0,0.09383,0.0,0.13392,0.08129,0.06706,0.07895,0.10739,0.07063,0.07868,0.06929,0.06515,0.0,0.062,0.14275,0.29104,0.21655,0.28652,0.13069,0.17076,0.64338,0.09539,0.09425,0.45183,0.30057,0.29111,0.08999,0.08029,0.14311,0.0,0.09466,0.08404,0.09081,0.0,0.0,0.0,0.05666,0.08683,0.62237,0.15226,0.1142,0.06255,0.25975,0.11351,0.15442,0.06963,0.10028,0.10009,0.07037,0.08923,0.0,0.10887,0.10394,0.0818,0.1163,0.89957,0.17742,0.09815,0.10006,0.06169,0.087,0.06568,0.06307,0.07459,0.0,0.09479,0.13538,0.07892,0.0704,0.07918,0.07756,0.08369,0.08328,0.07515,0.09144,0.07474,0.0863,0.09394,0.0,0.11153,0.17273,0.09232,0.36548,0.08821,0.06837,0.12493,0.05162,0.09006,0.0,0.06053,0.0,0.08964,0.0,0.0,0.0,0.07708,0.08564,0.10008,0.09039,0.23751,0.10533,0.40395,0.43002,0.06638,0.11854,0.07884,0.24874,0.10952,0.08703,0.78585,1.41455,0.8699,0.25745,0.0,1.61377,0.0,0.93246,0.85055,0.74902,0.65751,0.30453,0.23327,1.4987,0.85499,0.37243,0.7742,0.43215,0.14464,0.12073,0.0,0.11849,0.98525,0.2255,0.11124,0.12498,0.14507,0.64926,0.166,0.09037,0.73858,0.4904,0.16085,0.15225,0.11176,0.13479,0.13053,0.11962,0.09317,0.10889,0.11646,0.24155,0.24536,0.12858,0.09799,0.11119,0.18304,0.08921,0.0,0.08934,0.0944,0.07024,0.12176,0.09704,0.16885,0.28834,0.2175,0.13193,0.10393,0.12691,0.17171,0.07448,0.12969,0.0,0.095,0.0,0.0,0.07439,0.11441,0.35444,0.26301,0.07019,0.11663,0.12253,0.10941,0.14651,0.12399,0.0,0.0,0.10024,0.0,0.0847,0.0,0.098,0.10318,0.08235,0.08533,0.05787,0.0,0.14607,0.0,0.19237,0.09042,0.07599,0.12494,0.08191,0.08612,0.11122,0.0,0.06449,0.06684,0.35398,0.12661,0.09722,0.14454,0.3167,0.10131,0.09419,0.14497,0.12715,0.06819,0.11827
-3.75,0.07481,0.0,0.14706,0.07552,0.10447,0.0861,0.08483,0.07669,0.04979,0.04664,0.0,0.07132,0.06923,0.84059,0.12209,0.07938,0.05063,0.0,0.09383,0.04925,0.13203,0.08189,0.06706,0.07895,0.10739,0.06741,0.06873,0.06548,0.06515,0.0,0.0575,0.1387,0.27117,0.20148,0.27047,0.13069,0.16106,0.59774,0.09325,0.09152,0.43285,0.28435,0.29111,0.08768,0.07016,0.13313,0.11333,0.09466,0.07433,0.08641,0.06802,0.0,0.08749,0.0567,0.0831,0.52467,0.13124,0.10496,0.06116,0.22494,0.11072,0.11637,0.06807,0.10028,0.08989,0.07197,0.08892,0.0,0.10347,0.09478,0.07575,0.11213,0.83813,0.16824,0.09196,0.07921,0.06116,0.087,0.06126,0.06118,0.07459,0.0,0.0728,0.12984,0.07744,0.07116,0.07719,0.07756,0.07522,0.08089,0.07134,0.08049,0.0647,0.0863,0.08485,0.05567,0.10648,0.15142,0.08766,0.35106,0.08202,0.06623,0.12417,0.05202,0.09006,0.0,0.05642,0.0,0.08659,0.06849,0.0,0.06747,0.07512,0.08564,0.09463,0.08879,0.23146,0.10533,0.38399,0.4002,0.06333,0.11854,0.07574,0.236,0.1008,0.08254,0.75546,1.31849,0.8147,0.24738,0.0,1.54578,3.4172,0.85547,0.78903,0.73898,0.6121,0.28948,0.21917,1.4187,0.79484,0.35405,0.7742,0.41677,0.13025,0.11247,0.09988,0.11441,0.91477,0.22286,0.10216,0.12146,0.13614,0.61139,0.15654,0.08552,0.70759,0.47162,0.14232,0.15685,0.10538,0.13479,0.12285,0.11962,0.08117,0.10556,0.1134,0.21446,0.23119,0.12192,0.09571,0.10558,0.18304,0.11157,0.09069,0.08934,0.0944,0.06453,0.12176,0.09514,0.15728,0.27031,0.19398,0.11824,0.09835,0.12362,0.14965,0.07109,0.12166,0.0578,0.09221,0.0,0.0,0.06857,0.09899,0.33246,0.24011,0.06651,0.11015,0.11286,0.10122,0.15111,0.12399,0.07074,0.0,0.09616,0.0,0.06611,0.0,0.098,0.09789,0.08008,0.07885,0.05425,0.0,0.12448,0.0,0.18716,0.07521,0.06949,0.12494,0.08284,0.07923,0.10856,0.0,0.05959,0.05905,0.33053,0.11915,0.0959,0.12357,0.29121,0.09535,0.08619,0.1086,0.10559,0.06692,0.11513
-3.5,0.06721,0.0,0.11481,0.07496,0.08684,0.08357,0.07717,0.0724,0.04813,0.04653,0.0,0.07132,0.06637,0.72916,0.11649,0.07656,0.06011,0.04343,0.08656,0.04873,0.12669,0.07959,0.05705,0.07388,0.09241,0.0618,0.06391,0.05749,0.06515,0.07388,0.05197,0.12627,0.26561,0.19119,0.25128,0.12148,0.15448,0.54726,0.08722,0.08531,0.41191,0.27036,0.26361,0.08139,0.06657,0.12683,0.11333,0.09466,0.07166,0.0842,0.0619,0.06112,0.08423,0.05414,0.06685,0.50008,0.1268,0.10188,0.0591,0.21028,0.11072,0.10455,0.06099,0.0905,0.08806,0.06218,0.0768,0.0,0.08244,0.08815,0.06916,0.10652,0.76796,0.15595,0.08402,0.07281,0.05798,0.087,0.05716,0.0688,0.07147,0.0,0.07084,0.12093,0.07505,0.06671,0.06606,0.07756,0.07583,0.07787,0.06758,0.07028,0.05765,0.0863,0.06955,0.05583,0.09996,0.1449,0.07955,0.32533,0.07533,0.06197,0.12182,0.05081,0.09006,0.08266,0.05313,0.05968,0.08057,0.06849,0.0,0.06342,0.07233,0.08408,0.09158,0.0789,0.22271,0.10533,0.35406,0.35734,0.06334,0.11067,0.073,0.2052,0.09544,0.08399,0.7021,1.2304,0.7744,0.22673,0.0,1.4226,3.22348,0.83864,0.72592,0.64324,0.56008,0.26753,0.20213,1.28068,0.70448,0.3291,0.6323,0.38893,0.12322,0.106,0.09323,0.1104,0.90519,0.20208,0.09853,0.11583,0.13244,0.57242,0.14488,0.08223,0.65873,0.44124,0.1436,0.14427,0.09874,0.11298,0.12174,0.09661,0.08117,0.10157,0.11378,0.1988,0.21892,0.11608,0.09409,0.1044,0.14512,0.09323,0.08942,0.07708,0.0944,0.06092,0.11949,0.09132,0.15341,0.25594,0.18438,0.11268,0.0999,0.11992,0.14765,0.06259,0.11372,0.05806,0.08908,0.0,0.0,0.06684,0.08641,0.31406,0.22484,0.06428,0.10499,0.11248,0.08999,0.15392,0.1163,0.0668,0.0,0.09616,0.0,0.0641,0.0,0.08845,0.09789,0.07691,0.07752,0.04569,0.06371,0.10093,0.05308,0.17937,0.08021,0.07345,0.12494,0.07776,0.0798,0.10296,0.0,0.05722,0.05553,0.30677,0.11275,0.088,0.11976,0.26273,0.08863,0.07889,0.09898,0.10559,0.06503,0.11439
-3.25,0.05901,0.0,0.11423,0.06412,0.0853,0.07604,0.07437,0.06554,0.047,0.04531,0.05633,0.07132,0.06312,0.65818,0.10076,0.06936,0.05338,0.04648,0.08107,0.05567,0.11183,0.07327,0.05673,0.05915,0.07571,0.05889,0.06391,0.05723,0.05835,0.07672,0.04794,0.11814,0.24958,0.17874,0.24831,0.12148,0.14715,0.50322,0.08024,0.08132,0.38986,0.24846,0.23925,0.07442,0.06198,0.11927,0.11333,0.0811,0.06383,0.0815,0.06019,0.05855,0.08149,0.053,0.06297,0.47684,0.11919,0.07507,0.05497,0.21988,0.09465,0.09392,0.05652,0.08561,0.08806,0.05443,0.07344,0.08017,0.08085,0.08553,0.06604,0.10492,0.6939,0.15154,0.08763,0.07199,0.05741,0.087,0.05277,0.05746,0.07747,0.0,0.06408,0.10862,0.06922,0.0649,0.06266,0.06569,0.07129,0.06776,0.06756,0.06704,0.05563,0.07459,0.06911,0.05585,0.09111,0.1314,0.0775,0.31839,0.07313,0.05869,0.09805,0.0469,0.07774,0.07126,0.0486,0.05719,0.07088,0.06586,0.08335,0.06342,0.06778,0.07377,0.08552,0.07571,0.21521,0.0981,0.33744,0.33888,0.05956,0.1008,0.06951,0.19685,0.08957,0.07682,0.65797,1.14423,0.72527,0.21922,0.0,1.34905,3.03419,0.74321,0.67737,0.61426,0.52448,0.25509,0.19186,1.1894,0.666,0.30564,0.60888,0.35573,0.11697,0.10384,0.09243,0.10141,0.86703,0.18414,0.09225,0.11269,0.12248,0.53908,0.13545,0.07443,0.61633,0.40633,0.14061,0.13612,0.09029,0.11298,0.11447,0.097,0.07019,0.09605,0.10592,0.19235,0.20608,0.11302,0.08581,0.09776,0.13391,0.08849,0.08402,0.07249,0.0944,0.05827,0.10479,0.08941,0.14903,0.24079,0.17779,0.09994,0.09046,0.11648,0.13125,0.05772,0.1074,0.05212,0.08149,0.0,0.13916,0.06367,0.08148,0.29544,0.20037,0.06139,0.10424,0.10564,0.08653,0.10981,0.09883,0.06388,0.0,0.08876,0.0,0.05864,0.073,0.07702,0.0887,0.07207,0.07791,0.04494,0.06077,0.09326,0.05314,0.17027,0.07374,0.06394,0.10289,0.08002,0.07149,0.09473,0.07062,0.05312,0.05133,0.28888,0.10316,0.07903,0.10793,0.2487,0.08099,0.0768,0.09392,0.10411,0.06288,0.10105
-3.0,0.05672,0.07025,0.09088,0.06051,0.07978,0.07426,0.06652,0.05861,0.04457,0.04217,0.05394,0.06517,0.06178,0.56009,0.09768,0.0678,0.04729,0.0455,0.07766,0.04987,0.11183,0.06624,0.05339,0.05885,0.07362,0.0553,0.05766,0.04881,0.04946,0.06429,0.04745,0.10219,0.21226,0.16784,0.23906,0.10658,0.13767,0.46901,0.07407,0.07596,0.35155,0.23208,0.23334,0.07056,0.05904,0.10939,0.07954,0.07412,0.05933,0.07397,0.05739,0.05657,0.07958,0.04917,0.05885,0.41027,0.11658,0.07394,0.05077,0.19347,0.08838,0.08777,0.05105,0.08303,0.08806,0.0525,0.0698,0.08017,0.08255,0.07886,0.06188,0.10581,0.65006,0.14079,0.08051,0.07089,0.05218,0.07395,0.04965,0.05309,0.07145,0.07556,0.06082,0.10222,0.06602,0.05931,0.05651,0.06073,0.06542,0.06402,0.06385,0.06171,0.0467,0.06131,0.05984,0.05116,0.08581,0.12465,0.07133,0.28026,0.06927,0.05915,0.08886,0.0448,0.07201,0.06765,0.0474,0.05432,0.07344,0.05647,0.0809,0.05647,0.0626,0.0626,0.07908,0.07251,0.19381,0.09281,0.32871,0.30585,0.05542,0.09704,0.06094,0.2029,0.08407,0.06907,0.60739,1.06286,0.66566,0.20267,1.16854,1.27763,2.79366,0.7002,0.61744,0.57188,0.48834,0.2365,0.1843,1.09991,0.63287,0.29181,0.5096,0.33314,0.11066,0.09725,0.08442,0.09644,0.76918,0.17396,0.08617,0.10213,0.10887,0.50007,0.13117,0.0678,0.55474,0.37909,0.13394,0.12649,0.08553,0.11298,0.10991,0.09468,0.0695,0.0882,0.10203,0.18356,0.19019,0.10639,0.07793,0.09469,0.11562,0.08775,0.08179,0.06658,0.07109,0.05391,0.09921,0.07768,0.1356,0.22543,0.16759,0.09134,0.08647,0.10534,0.11296,0.05531,0.10331,0.05167,0.07806,0.17995,0.13916,0.05947,0.07513,0.27613,0.18898,0.0557,0.09864,0.10263,0.08794,0.09878,0.09333,0.05851,0.0,0.07976,0.0748,0.05662,0.06913,0.07093,0.0878,0.06796,0.0701,0.04049,0.05986,0.0889,0.05064,0.15993,0.0719,0.05764,0.07966,0.06957,0.06107,0.08491,0.06851,0.0535,0.04859,0.27419,0.10031,0.07004,0.09237,0.23791,0.07537,0.06848,0.0826,0.09375,0.05876,0.09024
-2.75,0.05275,0.06479,0.08706,0.05529,0.07442,0.0689,0.0624,0.05309,0.04022,0.03973,0.05163,0.05996,0.05603,0.55157,0.08426,0.07113,0.04401,0.04161,0.07085,0.04835,0.07779,0.06337,0.05259,0.05379,0.06631,0.05116,0.05358,0.04403,0.04647,0.06002,0.04373,0.09599,0.18716,0.15539,0.22395,0.08816,0.12523,0.4245,0.07006,0.06836,0.34389,0.21327,0.22112,0.06754,0.05487,0.10165,0.08999,0.06542,0.05341,0.06824,0.05167,0.05438,0.07807,0.04648,0.05444,0.40318,0.11456,0.06958,0.04425,0.18393,0.08403,0.07583,0.04942,0.07553,0.07974,0.04848,0.06559,0.0774,0.07584,0.07279,0.05702,0.09087,0.60392,0.12913,0.07597,0.06484,0.05,0.0669,0.0461,0.05,0.07044,0.07288,0.05594,0.09157,0.06091,0.05396,0.05296,0.05401,0.06044,0.05976,0.05863,0.05377,0.04559,0.05612,0.05524,0.04808,0.07576,0.12001,0.06775,0.26883,0.06588,0.05626,0.08296,0.04088,0.0646,0.06127,0.04317,0.0537,0.06624,0.05225,0.07806,0.05487,0.05854,0.05309,0.07479,0.06661,0.19943,0.08265,0.31377,0.29671,0.05271,0.08554,0.05676,0.19672,0.0786,0.06361,0.56405,0.99579,0.59203,0.18584,1.04464,1.15082,2.56077,0.64692,0.56973,0.53549,0.44276,0.22274,0.16746,1.00753,0.57733,0.2639,0.42738,0.30454,0.1022,0.09045,0.07879,0.08784,0.71967,0.15885,0.08059,0.09753,0.10002,0.45646,0.11635,0.06269,0.51087,0.35515,0.11898,0.11278,0.08363,0.11298,0.09435,0.07393,0.06758,0.08414,0.09218,0.16187,0.18371,0.09964,0.07558,0.09264,0.10295,0.08396,0.07789,0.06117,0.06814,0.04943,0.0947,0.07096,0.13739,0.20647,0.15282,0.08789,0.08075,0.10164,0.10968,0.05314,0.09795,0.05014,0.07346,0.1598,0.13916,0.05396,0.07491,0.25409,0.18065,0.05278,0.09258,0.09651,0.07732,0.09611,0.08185,0.05518,0.08798,0.07447,0.07723,0.05406,0.06677,0.06275,0.08059,0.06481,0.06742,0.03712,0.0563,0.07931,0.04985,0.14765,0.06404,0.04897,0.07552,0.06448,0.05625,0.0795,0.06351,0.05108,0.04582,0.24637,0.09387,0.06333,0.08582,0.23002,0.07255,0.06689,0.07409,0.0793,0.05201,0.08274
