,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.18976,0.08967,0.0,0.0,0.0,0.0,0.06766,0.0,0.07003,0.08318,0.0,0.27882,0.0,0.16478,0.08102,0.0,0.15723,0.0,0.0,0.0,0.0,0.08146,0.0,0.06665,0.0,0.0743,0.0,0.0,0.0,0.0,0.13222,0.10701,0.21707,0.0,0.1826,0.18226,0.1073,0.11498,0.1293,0.14689,0.19932,0.09214,0.16071,0.1386,0.0,0.0,0.12738,0.11476,0.0,0.0,0.08828,0.07971,0.0,0.26894,0.24759,0.0,0.0,0.20082,0.0,0.0,0.09776,0.0,0.0,0.06506,0.0,0.0,0.11522,0.0,0.0,0.11863,0.21793,0.12274,0.0,0.13165,0.0,0.0,0.0,0.0,0.10966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09932,0.1174,0.0,0.13186,0.0,0.11353,0.0,0.08847,0.0,0.1465,0.08506,0.07994,0.0,0.0,0.0,0.0,0.1036,0.0,0.13585,0.10289,0.0,0.09419,0.1164,0.18974,0.0,0.0,0.17732,0.11077,0.1496,0.0886,0.26288,0.11407,0.0,0.37416,0.96054,0.32234,0.16281,0.0,0.0,1.57011,0.63829,0.45512,0.37233,0.24863,0.1938,0.0,0.94456,0.39386,0.33544,0.33919,0.25288,0.0,0.1086,0.16766,0.11567,0.0,0.1471,0.0,0.1448,0.17031,0.38032,0.16534,0.0,0.61078,0.29979,0.17106,0.15396,0.0,0.0,0.13667,0.0,0.16264,0.0,0.0,0.14403,0.14666,0.1232,0.0,0.0,0.09805,0.14396,0.16479,0.13516,0.0,0.07952,0.0,0.0,0.14737,0.0,0.22979,0.1531,0.10984,0.13796,0.0,0.08966,0.0,0.0,0.0,0.0,0.0,0.0,0.12896,0.2062,0.16897,0.09308,0.19169,0.0,0.11716,0.0,0.15345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12778,0.0,0.08853,0.11024,0.0,0.0,0.0,0.0,0.11521,0.10231,0.17168,0.0,0.12385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27021,0.10553,0.0,0.0,0.09635,0.0,0.15708
-4.75,0.0,0.0,0.18976,0.07955,0.11097,0.0,0.0,0.0,0.06556,0.0,0.07003,0.0889,0.0,0.26977,0.0,0.16478,0.07105,0.0,0.15723,0.0,0.0,0.0,0.0,0.08005,0.0,0.07982,0.0,0.0743,0.0,0.0,0.0,0.0,0.12636,0.1161,0.17494,0.0,0.1826,0.17219,0.10889,0.10892,0.1293,0.14505,0.19268,0.09655,0.13838,0.1386,0.0,0.0,0.11411,0.10362,0.0,0.0,0.08828,0.07971,0.0,0.26444,0.24759,0.0,0.0,0.19424,0.15095,0.1664,0.09776,0.0,0.0,0.06898,0.0,0.0,0.11522,0.0,0.0,0.11679,0.20631,0.11664,0.0,0.10741,0.0,0.0,0.0,0.0,0.10966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09932,0.1174,0.0,0.13186,0.0,0.10362,0.0,0.08847,0.0,0.1465,0.08506,0.07994,0.0,0.0,0.0,0.11744,0.1036,0.0,0.13585,0.08811,0.0,0.09419,0.11958,0.18922,0.0,0.0,0.17217,0.10305,0.1496,0.0886,0.20714,0.11196,0.0,0.37702,0.98208,0.30597,0.15467,0.69749,0.0,1.57011,0.60066,0.4252,0.35039,0.2304,0.1938,0.16487,0.88942,0.36479,0.30497,0.32248,0.24976,0.0,0.11372,0.16766,0.11567,0.0,0.14534,0.0,0.1448,0.16424,0.37468,0.1454,0.0,0.58929,0.29676,0.17106,0.16148,0.0,0.0,0.13667,0.0,0.10693,0.0,0.0,0.14568,0.13767,0.0989,0.0,0.0,0.09805,0.14493,0.16479,0.13516,0.0,0.07593,0.0,0.0,0.14737,0.19096,0.22979,0.1309,0.11127,0.14039,0.0,0.07529,0.0,0.0,0.0,0.0,0.0,0.0,0.12896,0.19759,0.16536,0.09308,0.19169,0.0,0.11716,0.0,0.12832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12778,0.0,0.08853,0.11024,0.0,0.0,0.0,0.0,0.11521,0.10231,0.17168,0.0,0.12385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24741,0.10553,0.10083,0.08545,0.08248,0.0,0.15708
-4.5,0.0,0.0,0.15793,0.07814,0.09203,0.0,0.05518,0.10906,0.06556,0.0,0.07003,0.07859,0.0,0.24581,0.0,0.16478,0.07105,0.09826,0.15723,0.0,0.0,0.0,0.0,0.07582,0.0,0.07839,0.0,0.06515,0.0,0.0,0.0,0.0,0.12139,0.1161,0.16822,0.1425,0.1826,0.16491,0.10364,0.10892,0.12946,0.13295,0.19106,0.09928,0.12345,0.1386,0.0,0.0,0.11311,0.09768,0.0,0.0,0.08828,0.07971,0.06075,0.25254,0.24759,0.0,0.0,0.19017,0.15095,0.16949,0.09654,0.0,0.21923,0.07048,0.0,0.09988,0.11522,0.0,0.0,0.11135,0.19667,0.10347,0.0,0.10741,0.0,0.0,0.0,0.0,0.10966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09801,0.0,0.0,0.0,0.0,0.09932,0.1174,0.0,0.13186,0.0,0.10277,0.0,0.08616,0.0,0.1465,0.07595,0.07994,0.0,0.0,0.0,0.11744,0.1036,0.0,0.13585,0.08811,0.0,0.09259,0.10854,0.18969,0.0,0.0,0.16667,0.10387,0.1496,0.0886,0.20714,0.09967,0.0,0.3585,0.96522,0.28848,0.14185,0.69188,0.0,1.57011,0.55757,0.40921,0.33266,0.22294,0.17538,0.16532,0.84646,0.36479,0.29096,0.31128,0.24051,0.20662,0.11633,0.16766,0.11567,0.66761,0.13967,0.13114,0.12934,0.16424,0.34591,0.14164,0.0,0.55825,0.27712,0.17298,0.12012,0.11592,0.0,0.13667,0.0,0.11071,0.0,0.08385,0.13904,0.13365,0.09666,0.0,0.0,0.09805,0.14493,0.16479,0.10991,0.0,0.07167,0.0,0.08513,0.14737,0.20516,0.21375,0.1309,0.11127,0.13012,0.0,0.07932,0.0,0.0,0.0,0.0,0.0,0.07376,0.12896,0.19278,0.1564,0.09308,0.19169,0.0,0.10801,0.10952,0.12832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12778,0.0,0.08853,0.11024,0.0,0.0,0.0,0.0,0.11521,0.10231,0.17168,0.14586,0.12385,0.0,0.0,0.0,0.0,0.0,0.08274,0.0,0.23341,0.10553,0.10083,0.07783,0.08248,0.0,0.11148
-4.25,0.0,0.0,0.15793,0.07409,0.0906,0.0,0.06077,0.11189,0.06272,0.0,0.07666,0.07288,0.0,0.23855,0.0,0.16478,0.05988,0.07678,0.15723,0.0,0.0,0.08241,0.0,0.06556,0.0,0.06699,0.0,0.06515,0.06567,0.0,0.0,0.0,0.11559,0.10226,0.15435,0.1425,0.1826,0.1566,0.10364,0.10534,0.12052,0.12303,0.18116,0.09089,0.12345,0.1386,0.0,0.0,0.11311,0.08993,0.06269,0.0,0.08529,0.06972,0.06075,0.24329,0.24759,0.0,0.0,0.18699,0.15095,0.16949,0.1023,0.10504,0.21923,0.05576,0.0,0.09988,0.11522,0.07715,0.0,0.10944,0.19039,0.1051,0.0,0.10741,0.0,0.0,0.0,0.0,0.10966,0.0,0.0,0.0,0.07051,0.0,0.0,0.0,0.09801,0.0,0.0,0.0,0.0,0.10236,0.11816,0.0,0.13186,0.0,0.10277,0.0,0.08616,0.0,0.1465,0.07595,0.07994,0.0,0.0,0.0,0.11744,0.1036,0.0,0.13585,0.08811,0.05298,0.08853,0.10854,0.18383,0.0,0.0,0.15925,0.10468,0.1496,0.0886,0.17683,0.10181,0.0,0.35036,0.88846,0.2762,0.13474,0.66789,0.0,1.40529,0.52958,0.3876,0.31741,0.22125,0.17538,0.15996,0.81744,0.33727,0.28617,0.30227,0.2272,0.20662,0.11372,0.13512,0.12568,0.60862,0.13992,0.1361,0.12934,0.16424,0.34304,0.14077,0.0,0.53476,0.26161,0.17298,0.12361,0.11592,0.0,0.13667,0.0,0.10505,0.0,0.08356,0.13163,0.13064,0.09426,0.0,0.0,0.09805,0.11933,0.16479,0.09295,0.0,0.06738,0.0,0.07689,0.13306,0.17006,0.21375,0.12887,0.11756,0.13012,0.0,0.0742,0.0,0.0,0.0,0.0,0.0,0.07376,0.12896,0.18089,0.14962,0.09308,0.19169,0.0,0.10443,0.10952,0.12832,0.0,0.0,0.0,0.0,0.0,0.08424,0.0,0.0,0.12778,0.07563,0.08853,0.11024,0.0,0.09203,0.0,0.0,0.11521,0.08182,0.12491,0.14586,0.12385,0.0,0.0,0.0,0.0,0.0,0.07878,0.0,0.1898,0.10553,0.10083,0.07934,0.08004,0.0,0.11148
-4.0,0.0,0.0,0.15515,0.07225,0.08917,0.0,0.0597,0.11189,0.06272,0.04784,0.08042,0.06718,0.0,0.23008,0.11783,0.16478,0.05625,0.07678,0.15723,0.0,0.0,0.07299,0.0,0.06556,0.0,0.06699,0.0,0.06132,0.06662,0.0,0.0,0.0,0.1119,0.0989,0.15468,0.1425,0.18525,0.15517,0.09296,0.10221,0.12474,0.11868,0.1768,0.08559,0.1219,0.12211,0.0,0.0,0.10102,0.08644,0.07102,0.0724,0.07725,0.06277,0.05897,0.23567,0.18391,0.07625,0.0,0.17515,0.15095,0.11703,0.09673,0.10504,0.15619,0.05699,0.0,0.09988,0.11522,0.07715,0.0,0.10473,0.18168,0.1051,0.0,0.10741,0.0,0.0,0.0,0.0,0.09607,0.0,0.0,0.0,0.06637,0.0,0.06517,0.05874,0.09801,0.07043,0.0,0.0,0.0,0.10236,0.11816,0.0,0.13186,0.0,0.09787,0.21446,0.07709,0.0,0.1465,0.06828,0.07994,0.0,0.05132,0.0,0.108,0.1036,0.0,0.13585,0.08811,0.05298,0.08483,0.10854,0.17632,0.0,0.13631,0.1502,0.10468,0.1496,0.07789,0.17452,0.09945,0.08815,0.31885,0.86176,0.26527,0.12845,0.62981,0.87919,1.37111,0.50291,0.37085,0.30226,0.20692,0.17265,0.1573,0.77506,0.31262,0.26809,0.28834,0.21391,0.20662,0.11061,0.13512,0.11621,0.58483,0.1344,0.1361,0.11678,0.14974,0.325,0.13526,0.12373,0.50207,0.25234,0.17298,0.11874,0.11797,0.20056,0.13667,0.0,0.10129,0.0,0.07981,0.13324,0.12015,0.09387,0.0,0.11055,0.08624,0.11869,0.16479,0.08696,0.0,0.06212,0.0,0.07804,0.13306,0.15608,0.17456,0.11984,0.1106,0.1281,0.0,0.07096,0.0,0.0,0.0,0.0,0.0,0.07026,0.12896,0.17142,0.14148,0.08516,0.19169,0.0,0.10443,0.10952,0.12832,0.0,0.0,0.0,0.0,0.0,0.08505,0.0,0.0,0.10188,0.07563,0.07645,0.0827,0.06897,0.07205,0.0,0.0,0.11521,0.08182,0.12491,0.13018,0.10603,0.0,0.0,0.0,0.0,0.0,0.07909,0.10017,0.18759,0.07521,0.09158,0.07364,0.07605,0.0,0.1121
-3.75,0.0,0.0,0.13093,0.06337,0.08338,0.16351,0.05539,0.11189,0.05836,0.04806,0.05237,0.06718,0.06226,0.21803,0.11783,0.16478,0.05314,0.08918,0.12579,0.0,0.0,0.06948,0.0,0.06344,0.0,0.06246,0.05557,0.06132,0.06257,0.0,0.0,0.0,0.10135,0.10296,0.15283,0.0933,0.14534,0.14522,0.08764,0.08883,0.11601,0.11256,0.15347,0.08008,0.09645,0.12219,0.0,0.0,0.0875,0.08465,0.05839,0.06701,0.07429,0.06336,0.05687,0.20856,0.17636,0.07199,0.0,0.17447,0.15095,0.11703,0.08852,0.10504,0.15619,0.05533,0.0,0.09988,0.09989,0.07715,0.06436,0.1005,0.17064,0.0912,0.0,0.10238,0.0,0.0,0.0,0.0,0.09607,0.0,0.0,0.12627,0.0642,0.07181,0.0684,0.05992,0.09801,0.07043,0.0,0.05732,0.0,0.09346,0.0971,0.0,0.13186,0.0,0.08854,0.19603,0.06286,0.0,0.1465,0.06124,0.07994,0.0,0.05132,0.0,0.10048,0.1067,0.0,0.10511,0.07859,0.05242,0.08341,0.10854,0.16856,0.0,0.12903,0.14139,0.10468,0.15516,0.07249,0.15593,0.09373,0.08746,0.30682,0.80091,0.24578,0.12581,0.61202,0.85569,1.17817,0.50336,0.35219,0.28503,0.19508,0.16583,0.14745,0.71452,0.29203,0.24519,0.28173,0.19674,0.17148,0.10804,0.10877,0.11267,0.56451,0.12522,0.10329,0.10573,0.11076,0.31079,0.12655,0.11908,0.47796,0.2364,0.17298,0.11446,0.1171,0.16571,0.13667,0.0,0.088,0.0,0.07377,0.1246,0.12729,0.08266,0.09921,0.10315,0.08284,0.11128,0.16479,0.08012,0.0,0.05501,0.12873,0.07804,0.1255,0.16408,0.17255,0.10833,0.11125,0.12205,0.0,0.07393,0.0,0.0,0.0,0.0,0.0,0.06238,0.12896,0.16702,0.13696,0.08271,0.19169,0.0,0.099,0.11899,0.12832,0.07809,0.0,0.0,0.0,0.0,0.08505,0.0,0.08776,0.0999,0.07563,0.07645,0.08471,0.06503,0.06286,0.0,0.0734,0.11521,0.06693,0.09227,0.12087,0.10603,0.0,0.0,0.0621,0.0,0.0,0.07658,0.08835,0.18851,0.07618,0.08624,0.07046,0.07007,0.0,0.0963
-3.5,0.0,0.0,0.13223,0.06233,0.08242,0.16351,0.05308,0.09506,0.05292,0.04718,0.04946,0.06315,0.06038,0.2058,0.11783,0.10047,0.05209,0.06969,0.10971,0.05536,0.09848,0.06778,0.0,0.05659,0.07627,0.05881,0.05557,0.05306,0.05971,0.0,0.05292,0.07784,0.09703,0.09161,0.14191,0.08851,0.14434,0.1357,0.08502,0.08464,0.11012,0.10671,0.14481,0.07468,0.08212,0.11814,0.0,0.07575,0.0846,0.07857,0.05546,0.06115,0.06675,0.06003,0.05296,0.19242,0.17636,0.06821,0.05554,0.15437,0.11041,0.11364,0.07842,0.07685,0.15619,0.0556,0.0,0.08281,0.09989,0.07162,0.05909,0.09668,0.16008,0.08335,0.0,0.10415,0.0,0.07302,0.0,0.06831,0.09306,0.0,0.0,0.12627,0.06052,0.07391,0.0684,0.05759,0.08558,0.06453,0.0,0.05382,0.0,0.09346,0.07794,0.06285,0.1003,0.0,0.0755,0.18681,0.05965,0.06968,0.1465,0.05777,0.05734,0.0,0.04753,0.0,0.08893,0.06212,0.08849,0.10511,0.07693,0.06263,0.07266,0.10854,0.15918,0.0,0.1469,0.13301,0.0928,0.12098,0.07907,0.15143,0.08678,0.0809,0.28768,0.7546,0.23694,0.12072,0.57814,0.83749,1.08765,0.44419,0.32828,0.27291,0.1887,0.16052,0.13488,0.70425,0.27599,0.23934,0.26479,0.19176,0.17148,0.097,0.09841,0.09428,0.50719,0.11783,0.09571,0.10128,0.10106,0.29182,0.11571,0.09654,0.449,0.22068,0.14866,0.11477,0.11179,0.16192,0.11529,0.0,0.08661,0.0,0.07123,0.12307,0.10072,0.07884,0.09247,0.10315,0.08793,0.09863,0.16479,0.07585,0.10237,0.05279,0.12873,0.07508,0.11666,0.16769,0.15614,0.09565,0.10437,0.10903,0.0,0.06901,0.0,0.07491,0.0,0.0,0.0,0.06471,0.09161,0.15407,0.13558,0.07465,0.12412,0.12558,0.08852,0.11172,0.12832,0.07809,0.0,0.07729,0.0,0.0,0.07086,0.0,0.08776,0.0999,0.08601,0.06357,0.0662,0.06503,0.05492,0.0,0.07225,0.11521,0.06693,0.09227,0.09809,0.09814,0.09649,0.06991,0.06205,0.0,0.15093,0.07514,0.14531,0.18988,0.06902,0.08624,0.06418,0.06995,0.0,0.08891
-3.25,0.06704,0.0,0.13223,0.05478,0.07912,0.16351,0.0475,0.09412,0.05124,0.04352,0.05079,0.06164,0.05525,0.18968,0.11783,0.08293,0.04774,0.06754,0.10971,0.05536,0.09892,0.06778,0.06802,0.05506,0.07627,0.05512,0.05672,0.04868,0.05591,0.04803,0.05292,0.07784,0.09099,0.08813,0.13405,0.0757,0.13667,0.13136,0.08083,0.07851,0.1001,0.10257,0.12565,0.07247,0.07258,0.10095,0.0,0.07695,0.07576,0.06698,0.04996,0.05583,0.0635,0.05704,0.0489,0.16256,0.14127,0.06465,0.05464,0.14713,0.09953,0.10453,0.07375,0.06958,0.13331,0.0549,0.07382,0.08014,0.08154,0.06519,0.06052,0.09264,0.15241,0.08113,0.08973,0.10478,0.08394,0.07,0.0,0.05623,0.09306,0.0,0.06612,0.12627,0.056,0.06964,0.06668,0.05126,0.07522,0.0609,0.0,0.04935,0.04685,0.0889,0.06758,0.058,0.0888,0.0,0.06942,0.17139,0.05628,0.06158,0.11247,0.05312,0.05673,0.0,0.04688,0.0,0.08319,0.0625,0.08622,0.10356,0.07218,0.0551,0.06857,0.10854,0.16459,0.0,0.1353,0.12514,0.09021,0.11796,0.06861,0.14566,0.08032,0.0894,0.27267,0.67183,0.21864,0.11284,0.52012,0.74403,1.02764,0.42473,0.31031,0.24999,0.17543,0.14891,0.13212,0.6493,0.26876,0.2316,0.24131,0.18597,0.15129,0.0896,0.09819,0.08856,0.49286,0.11358,0.09375,0.08809,0.08942,0.26133,0.10586,0.09798,0.4262,0.20855,0.13879,0.10513,0.10166,0.15437,0.11124,0.07654,0.08483,0.0,0.06792,0.11193,0.0868,0.07272,0.08916,0.10168,0.08639,0.09168,0.12923,0.06387,0.09023,0.05133,0.11879,0.0713,0.11427,0.15142,0.14693,0.08913,0.09247,0.09962,0.0,0.06183,0.0,0.073,0.0,0.0,0.0,0.06041,0.08965,0.14759,0.1252,0.07105,0.10896,0.11948,0.08051,0.11091,0.10204,0.07809,0.0,0.07729,0.0,0.0,0.06644,0.06818,0.08776,0.08025,0.08009,0.05902,0.06708,0.05715,0.05026,0.10956,0.06591,0.11521,0.06235,0.06903,0.08293,0.09681,0.08862,0.06991,0.06801,0.10335,0.12224,0.07078,0.13212,0.18173,0.06825,0.07968,0.06323,0.06601,0.0792,0.09677
-3.0,0.05874,0.0,0.12601,0.05053,0.07272,0.11803,0.04719,0.08455,0.04725,0.04181,0.04864,0.05696,0.05315,0.18188,0.09249,0.06855,0.04446,0.06754,0.09016,0.05193,0.09329,0.06309,0.06556,0.05173,0.0648,0.054,0.05005,0.04578,0.05135,0.04594,0.05066,0.07081,0.08118,0.0819,0.12238,0.0691,0.12509,0.12682,0.0759,0.07315,0.09177,0.09532,0.12144,0.06649,0.06637,0.09665,0.0,0.06822,0.07361,0.06196,0.04982,0.05147,0.05882,0.05002,0.04725,0.14597,0.12399,0.05874,0.05362,0.14446,0.09398,0.09137,0.06241,0.0686,0.1313,0.05061,0.07382,0.07428,0.08085,0.06284,0.05635,0.08436,0.14011,0.07594,0.08635,0.10004,0.07481,0.06555,0.0,0.06095,0.09306,0.08015,0.06612,0.1156,0.0521,0.06257,0.06338,0.05033,0.06112,0.05356,0.06494,0.04812,0.04421,0.0889,0.0558,0.05951,0.07394,0.144,0.06113,0.15759,0.05465,0.06338,0.09921,0.0511,0.05397,0.06009,0.04109,0.0,0.07993,0.06119,0.0817,0.09384,0.05966,0.05241,0.06717,0.09079,0.14431,0.0,0.13795,0.11729,0.07634,0.11612,0.06098,0.12949,0.07859,0.09013,0.26485,0.64324,0.20739,0.10472,0.48162,0.68778,0.94884,0.40704,0.28994,0.23655,0.16221,0.13952,0.12169,0.59585,0.25241,0.21068,0.22557,0.17229,0.17133,0.07925,0.0875,0.08928,0.4627,0.10711,0.08668,0.0773,0.08176,0.24718,0.09804,0.08315,0.39634,0.19376,0.12795,0.10547,0.08506,0.13298,0.10696,0.06824,0.07887,0.09726,0.06496,0.10221,0.0824,0.06858,0.08326,0.08845,0.07853,0.08289,0.10689,0.05847,0.09115,0.04962,0.10235,0.06838,0.10173,0.13382,0.12833,0.0826,0.0828,0.09029,0.0,0.05657,0.0,0.06182,0.0,0.0,0.0,0.05567,0.08965,0.1368,0.1176,0.06533,0.10482,0.10649,0.07491,0.10628,0.09088,0.07341,0.0,0.0677,0.0,0.06738,0.06356,0.06607,0.07574,0.07077,0.07373,0.05853,0.06247,0.05832,0.04796,0.10956,0.05922,0.07203,0.05618,0.06326,0.08206,0.08791,0.06938,0.06102,0.06966,0.09206,0.10607,0.06583,0.14264,0.17295,0.06477,0.07612,0.05905,0.06308,0.0792,0.09873
-2.75,0.0597,0.06391,0.11559,0.04588,0.06875,0.11803,0.04469,0.06311,0.04317,0.03998,0.0429,0.05332,0.0505,0.16271,0.08136,0.0594,0.04127,0.05923,0.06859,0.04647,0.07622,0.06043,0.06502,0.04601,0.05758,0.04704,0.04683,0.04159,0.04875,0.04484,0.04507,0.07006,0.0768,0.07447,0.11227,0.06641,0.11148,0.11914,0.07203,0.06833,0.08768,0.0889,0.10286,0.05942,0.05994,0.0834,0.089,0.06097,0.06868,0.05633,0.04585,0.0481,0.05409,0.04156,0.04446,0.1441,0.08331,0.05579,0.04993,0.13714,0.08759,0.07596,0.0553,0.0633,0.11916,0.04593,0.07151,0.06798,0.0717,0.06003,0.05248,0.0772,0.13354,0.06792,0.07281,0.09751,0.06538,0.0621,0.06749,0.05826,0.06768,0.0777,0.05961,0.109,0.05138,0.06105,0.05852,0.04528,0.05333,0.04965,0.06193,0.04448,0.04305,0.07581,0.05107,0.05066,0.06951,0.14425,0.05593,0.14538,0.04903,0.05711,0.10883,0.04872,0.04894,0.06002,0.0391,0.07273,0.07528,0.06109,0.0735,0.07759,0.0539,0.0447,0.06567,0.08441,0.13093,0.06549,0.11356,0.1107,0.07001,0.09929,0.0568,0.12541,0.07166,0.07813,0.24989,0.59639,0.19301,0.09626,0.46284,0.64435,0.87108,0.36964,0.27941,0.22317,0.15442,0.13082,0.113,0.55873,0.23086,0.19201,0.2116,0.16403,0.17172,0.07389,0.08135,0.08184,0.41622,0.10064,0.08102,0.07214,0.07625,0.22601,0.08444,0.07586,0.36634,0.18574,0.10278,0.09833,0.08283,0.11756,0.09217,0.06422,0.06987,0.07739,0.06164,0.09496,0.07772,0.0657,0.07728,0.08571,0.07232,0.07759,0.08968,0.05126,0.07541,0.04526,0.09852,0.05953,0.09411,0.12782,0.11577,0.07549,0.07586,0.0816,0.10849,0.05302,0.0776,0.0574,0.07006,0.0,0.0,0.05266,0.07943,0.12979,0.11201,0.05902,0.09503,0.09152,0.06999,0.09349,0.08139,0.05957,0.0,0.06292,0.0,0.06473,0.06216,0.06292,0.07589,0.06671,0.06876,0.05271,0.05945,0.05578,0.0464,0.10044,0.05778,0.06708,0.0534,0.05442,0.07624,0.08057,0.06769,0.05631,0.06443,0.0868,0.09592,0.06787,0.10645,0.16299,0.06074,0.06988,0.05602,0.05898,0.07101,0.08223
