,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.06112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05498,0.0,0.0,0.0,0.0,0.0,0.0,0.11099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247,0.12756,0.0,0.1474,0.10725,0.22816,0.1035,0.0,0.14088,0.0,0.13413,0.0,0.0,0.12287,0.0,0.10779,0.0,0.0,0.0,0.07981,0.0,0.0,0.11328,0.0,0.0,0.0,0.0,0.09505,0.0,0.0,0.0,0.06662,0.0,0.09406,0.0,0.0,0.04469,0.0,0.0,0.0,0.28047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24125,0.0,0.06958,0.0516,0.0,0.04892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416,0.17866,0.0,0.14398,0.07509,0.0,0.0,0.0,0.08576,0.0,0.0,0.0,0.0,0.0,0.0,0.10104,0.0,0.0,0.09131,0.21547,0.08878,0.05297,0.12919,0.09789,0.0,0.15104,0.0,0.39726,0.0,0.19576,0.28171,0.0,0.0,0.23087,0.35614,0.0,0.0,0.0,0.0,0.24995,0.24833,0.15044,0.2166,0.0,0.25019,0.24612,0.17436,0.22958,0.0,0.09313,0.15235,0.0,0.12826,0.0,0.0,0.10642,0.12618,0.19122,0.0,0.0,0.16934,0.0,0.12408,0.10495,0.0,0.0,0.0,0.0,0.07024,0.06341,0.08378,0.0,0.0,0.11618,0.0,0.0,0.0,0.08544,0.0,0.0,0.07094,0.0,0.0,0.0784,0.0,0.0,0.0,0.21427,0.0,0.0,0.08912,0.0,0.0,0.0,0.0,0.0,0.06347,0.08519,0.0,0.15801,0.15234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07074,0.0,0.09883,0.0,0.12246,0.12797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10182,0.10323,0.13786,0.13444,0.0,0.0,0.0,0.14139,0.0,0.0,0.07621,0.06718,0.0,0.09347,0.0,0.0883,0.0
-4.75,0.0,0.0,0.06169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08493,0.05498,0.0,0.0,0.0,0.0,0.0,0.0,0.11099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08247,0.12172,0.0,0.09203,0.10725,0.21009,0.1035,0.0,0.14088,0.1616,0.15519,0.07934,0.0,0.12287,0.0,0.10779,0.0,0.08889,0.0,0.07384,0.0,0.0,0.11328,0.0,0.0,0.06427,0.0,0.09505,0.0,0.05822,0.0,0.06891,0.0,0.09406,0.0,0.0,0.04469,0.0,0.0,0.0,0.28047,0.13564,0.0,0.0,0.0,0.0,0.0,0.04998,0.0,0.0,0.0,0.24125,0.0,0.06958,0.0516,0.0,0.04892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416,0.17866,0.0,0.15623,0.07509,0.0,0.0,0.0,0.08576,0.0,0.0,0.0,0.0,0.0,0.0,0.10104,0.0,0.07644,0.09131,0.21727,0.08128,0.05297,0.12919,0.09622,0.0,0.17089,0.0,0.39726,0.0,0.19576,0.27137,0.0,0.0,0.23087,0.36104,0.0,0.0,0.0,0.0,0.23992,0.19454,0.12939,0.18431,0.0,0.25019,0.20402,0.17436,0.22958,0.0,0.09313,0.11772,0.17753,0.13472,0.11618,0.0,0.10642,0.11143,0.15979,0.0,0.0,0.16554,0.0,0.12098,0.10495,0.0,0.0,0.0,0.0,0.06269,0.06341,0.08378,0.0,0.09141,0.09982,0.0,0.0,0.0,0.08544,0.0,0.0,0.06716,0.0,0.0,0.0784,0.0,0.0,0.0,0.18996,0.0,0.0,0.11766,0.0,0.0,0.0,0.0,0.0,0.06169,0.08519,0.0,0.15316,0.14714,0.0,0.14469,0.0,0.0,0.0,0.0,0.0,0.07074,0.0,0.09883,0.0,0.12246,0.12797,0.0,0.13415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10182,0.10323,0.13474,0.13444,0.0,0.0,0.0,0.14139,0.0,0.0,0.07621,0.06316,0.0,0.09347,0.0,0.0883,0.0726
-4.5,0.0,0.0,0.06169,0.0,0.0,0.0,0.0,0.0,0.0,0.06375,0.0,0.10073,0.0,0.0,0.0,0.07203,0.05498,0.0,0.0,0.0,0.0,0.0,0.05759,0.11099,0.0,0.0,0.0,0.0,0.0,0.0,0.04136,0.08247,0.12711,0.0,0.09657,0.10725,0.19872,0.10132,0.0,0.14088,0.13279,0.15519,0.07934,0.0,0.12287,0.06593,0.10779,0.0,0.08889,0.0,0.06786,0.0,0.0,0.08372,0.0,0.0,0.06581,0.0,0.08831,0.0,0.05509,0.0,0.0677,0.06573,0.09406,0.0503,0.0,0.04469,0.0,0.0,0.0,0.25889,0.12863,0.0,0.08009,0.0,0.0,0.0,0.0521,0.0,0.0,0.0,0.23153,0.0,0.06688,0.04861,0.0,0.05194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09156,0.16261,0.0,0.15623,0.07509,0.0,0.0,0.0,0.08576,0.0,0.05784,0.0,0.0,0.0,0.0,0.10104,0.0,0.07644,0.09131,0.21842,0.08128,0.04659,0.11528,0.08618,0.0,0.17089,0.0,0.35044,0.0805,0.13308,0.26707,0.0,0.0976,0.16016,0.35388,0.0,0.0,0.0,0.44727,0.2339,0.19454,0.11835,0.18978,0.0,0.25019,0.20874,0.18213,0.21654,0.0,0.0861,0.11772,0.1739,0.12114,0.11618,0.0,0.10642,0.11143,0.15339,0.0,0.0,0.15882,0.0,0.11003,0.10495,0.0,0.0,0.0,0.0,0.05892,0.06154,0.08378,0.0,0.09141,0.0972,0.10571,0.0,0.12089,0.08544,0.0,0.0,0.06716,0.0,0.0,0.06712,0.0,0.0,0.0,0.18255,0.0,0.0,0.11766,0.0,0.0,0.0,0.0,0.0,0.05976,0.08519,0.65198,0.14565,0.14491,0.0,0.14469,0.10025,0.0,0.09449,0.0,0.0,0.07074,0.0,0.09883,0.0,0.12246,0.12797,0.0,0.13415,0.0,0.04321,0.0,0.0,0.0,0.0,0.05681,0.0,0.0,0.10182,0.10323,0.12764,0.13444,0.0,0.0,0.0,0.14139,0.0,0.0,0.07621,0.06316,0.0,0.09347,0.05885,0.0883,0.0726
-4.25,0.0,0.0,0.05255,0.0,0.0,0.0,0.0,0.0,0.0,0.06375,0.0,0.09788,0.0,0.0,0.0,0.07484,0.0479,0.0,0.0,0.0,0.0,0.0,0.05759,0.11099,0.05571,0.0,0.0,0.0,0.0,0.0,0.04136,0.08247,0.12184,0.0,0.09455,0.07665,0.18622,0.0997,0.0,0.12528,0.13279,0.11331,0.07934,0.06378,0.07872,0.06593,0.10779,0.0,0.08889,0.06084,0.06786,0.0,0.0,0.08372,0.0,0.0,0.06279,0.0,0.08347,0.0,0.05196,0.06143,0.07223,0.07184,0.08495,0.0503,0.0,0.04376,0.07032,0.0,0.05124,0.25123,0.12697,0.0,0.08009,0.0,0.0,0.0,0.04608,0.0,0.0,0.0,0.23153,0.0,0.06688,0.04412,0.0,0.05194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09256,0.15965,0.0,0.12781,0.07509,0.06504,0.0,0.0,0.08576,0.0,0.05784,0.0,0.0,0.07238,0.0,0.07617,0.0,0.07644,0.13734,0.21842,0.0768,0.05171,0.11528,0.07908,0.0,0.17089,0.0,0.34129,0.0805,0.13308,0.2568,0.42136,0.10793,0.14817,0.30893,0.0,0.0,0.0,0.43137,0.22989,0.16582,0.10632,0.18978,0.0,0.25019,0.20874,0.17394,0.20992,0.0,0.08209,0.10133,0.17027,0.11925,0.11618,0.0,0.10642,0.09239,0.14826,0.09524,0.0,0.14858,0.15075,0.11163,0.10495,0.0,0.06819,0.0,0.0,0.05936,0.06154,0.07037,0.0,0.09141,0.09823,0.10571,0.0,0.12089,0.07164,0.04618,0.0,0.0615,0.05204,0.0,0.06712,0.0,0.33492,0.0,0.1759,0.10017,0.0,0.11766,0.0,0.08964,0.0,0.0,0.0,0.06076,0.08519,0.64489,0.14066,0.13451,0.0,0.14182,0.15939,0.0,0.09449,0.0,0.0,0.05579,0.0,0.09883,0.0,0.12246,0.12797,0.0,0.13415,0.0,0.04321,0.0,0.04717,0.0546,0.0,0.05681,0.07411,0.0,0.10182,0.10323,0.12764,0.12849,0.0,0.0,0.0,0.12487,0.0,0.0,0.07621,0.05184,0.0,0.09347,0.05885,0.08231,0.0726
-4.0,0.0,0.0,0.05096,0.0,0.0,0.0,0.0,0.0,0.0,0.06375,0.0,0.10073,0.0,0.06218,0.0,0.08004,0.0479,0.0,0.0,0.0,0.0,0.0,0.05759,0.11099,0.05571,0.0,0.0,0.0,0.04944,0.0,0.04136,0.08247,0.11787,0.06948,0.09455,0.07737,0.17406,0.10139,0.11164,0.1079,0.13279,0.09808,0.07926,0.06064,0.07721,0.0647,0.10779,0.0,0.08889,0.06084,0.06786,0.0,0.0,0.08053,0.0,0.0,0.0643,0.0,0.07901,0.0,0.05196,0.05557,0.07223,0.07184,0.08495,0.05092,0.0,0.04535,0.05926,0.05013,0.05124,0.25123,0.12115,0.0,0.08009,0.0,0.0,0.04421,0.04307,0.0,0.0,0.0,0.24784,0.0,0.06688,0.04113,0.0,0.05194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05527,0.07641,0.14967,0.0,0.12781,0.06051,0.06504,0.0,0.0,0.08007,0.0,0.05784,0.0,0.0,0.06623,0.0,0.07617,0.0,0.07644,0.13734,0.20597,0.07761,0.04373,0.11528,0.07126,0.0,0.17089,0.0,0.33877,0.0805,0.11467,0.23011,0.40274,0.09108,0.12554,0.29389,0.0,0.0,0.0,0.38736,0.22587,0.16396,0.11024,0.16911,0.62506,0.25019,0.20874,0.15771,0.18592,0.0,0.08208,0.09991,0.16489,0.11213,0.11618,0.0,0.10642,0.08811,0.13611,0.08614,0.0,0.13541,0.14777,0.10629,0.10495,0.0,0.06819,0.0,0.0,0.06314,0.0569,0.06183,0.0,0.0723,0.09648,0.0933,0.0,0.12089,0.07164,0.04618,0.0,0.06952,0.05166,0.0,0.0627,0.0,0.33492,0.05975,0.16563,0.10017,0.09363,0.10098,0.1002,0.08964,0.0,0.0,0.0,0.05364,0.0752,0.55949,0.13188,0.13291,0.0,0.14482,0.15939,0.0,0.09449,0.0,0.0,0.05174,0.05132,0.09883,0.04663,0.12246,0.12797,0.0,0.13415,0.0,0.04321,0.0,0.04717,0.0546,0.0,0.05289,0.07801,0.0,0.10182,0.12792,0.11895,0.12849,0.06218,0.06145,0.08611,0.11463,0.0,0.0,0.0633,0.05184,0.0,0.09347,0.05885,0.08231,0.07492
-3.75,0.0,0.0,0.04664,0.0,0.0,0.05062,0.05724,0.0,0.0,0.04956,0.0,0.10073,0.0,0.06068,0.0,0.08145,0.04497,0.06215,0.0,0.0,0.0,0.0,0.0463,0.11099,0.05991,0.0,0.0,0.06578,0.04944,0.0,0.04136,0.08247,0.11412,0.06646,0.08192,0.07737,0.1666,0.09073,0.08787,0.1071,0.13279,0.0927,0.07926,0.06064,0.07352,0.06616,0.10779,0.0,0.08889,0.05855,0.06786,0.0,0.04762,0.08053,0.05313,0.0,0.06078,0.0559,0.07542,0.07267,0.05196,0.05557,0.07072,0.07184,0.08495,0.04859,0.0,0.04535,0.05389,0.05013,0.04649,0.23981,0.11895,0.0,0.08009,0.05975,0.0,0.04179,0.04307,0.04097,0.0,0.0,0.26263,0.07516,0.06688,0.04113,0.0,0.04495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05527,0.07566,0.14861,0.05749,0.12781,0.06051,0.06504,0.0,0.0,0.08007,0.0,0.05106,0.0,0.05376,0.06315,0.0,0.07617,0.0,0.07644,0.11522,0.20822,0.07034,0.04256,0.10342,0.07313,0.0,0.09805,0.0,0.31776,0.0805,0.11467,0.22291,0.39156,0.08838,0.11294,0.28166,0.0,0.96971,0.6415,0.38695,0.19976,0.15272,0.10176,0.14502,0.62506,0.21713,0.18739,0.14263,0.17922,0.0,0.08567,0.09985,0.15445,0.10594,0.09549,0.0,0.08833,0.08202,0.1404,0.08798,0.0,0.12354,0.14719,0.10644,0.10495,0.0,0.06326,0.0,0.0,0.05594,0.05536,0.05928,0.07358,0.0723,0.09742,0.0933,0.0,0.12089,0.06441,0.04928,0.06429,0.06511,0.05603,0.0,0.06023,0.0,0.32768,0.05935,0.16604,0.08478,0.10288,0.10098,0.1002,0.08964,0.0,0.08457,0.0,0.05265,0.0752,0.52448,0.12307,0.11402,0.0,0.13981,0.15939,0.0,0.07468,0.11957,0.0,0.04995,0.05091,0.07217,0.04678,0.1024,0.09885,0.0,0.13415,0.05529,0.04321,0.0,0.04509,0.0546,0.0,0.05289,0.07022,0.0,0.10182,0.08635,0.11895,0.12849,0.06218,0.06145,0.08387,0.11463,0.0,0.0,0.06276,0.05184,0.0,0.07515,0.05885,0.10224,0.06709
-3.5,0.0,0.0,0.04656,0.0,0.0,0.05062,0.05441,0.0,0.0,0.04956,0.0,0.08932,0.0,0.05786,0.0,0.08145,0.04226,0.10156,0.05744,0.04954,0.0,0.0,0.04858,0.11099,0.0526,0.0,0.0,0.06578,0.04688,0.0,0.03287,0.08247,0.10381,0.06798,0.07348,0.07188,0.15027,0.08555,0.07773,0.09565,0.11518,0.08722,0.07057,0.05438,0.06372,0.05891,0.09586,0.0,0.0618,0.05308,0.06786,0.06831,0.04365,0.07704,0.05796,0.08069,0.05714,0.0559,0.07214,0.07559,0.04917,0.05419,0.04397,0.05229,0.07966,0.04617,0.0,0.04047,0.0567,0.04871,0.04496,0.23981,0.11534,0.0,0.08009,0.05975,0.0,0.04179,0.03805,0.04097,0.0,0.05403,0.23304,0.07673,0.06688,0.03796,0.0,0.04194,0.0,0.0,0.04609,0.0,0.0,0.0,0.0,0.05678,0.07056,0.15015,0.05749,0.12781,0.0584,0.06504,0.0,0.0,0.07073,0.0,0.04478,0.0,0.05066,0.06007,0.0,0.06863,0.06058,0.07644,0.1151,0.19419,0.06519,0.04256,0.10004,0.06726,0.0,0.10136,0.04088,0.28354,0.07318,0.10795,0.20942,0.36547,0.08572,0.1048,0.27417,0.0,0.9495,0.60414,0.36704,0.19945,0.1329,0.09844,0.13265,0.59729,0.21713,0.17291,0.13907,0.18012,0.0,0.08817,0.09363,0.14661,0.10067,0.09598,0.0,0.07912,0.07989,0.12889,0.08226,0.07279,0.12191,0.1412,0.08663,0.09047,0.08013,0.06326,0.0,0.0,0.05717,0.05713,0.05837,0.07069,0.08392,0.09254,0.0933,0.0,0.12089,0.05897,0.04713,0.0802,0.06428,0.05793,0.05306,0.05569,0.0,0.29082,0.05935,0.16604,0.08255,0.09068,0.09165,0.1002,0.0778,0.0,0.08294,0.0,0.05132,0.0752,0.52448,0.11559,0.11035,0.05781,0.13726,0.15939,0.07504,0.06999,0.11957,0.04346,0.04909,0.04905,0.06792,0.04119,0.07971,0.07907,0.0655,0.12625,0.05529,0.03747,0.0,0.04164,0.0516,0.0,0.05289,0.06649,0.0,0.10182,0.08635,0.11895,0.12849,0.06218,0.06019,0.08065,0.11463,0.0,0.0,0.05671,0.04782,0.0,0.07515,0.04693,0.08214,0.07176
-3.25,0.0,0.0,0.04166,0.0,0.05153,0.0449,0.04974,0.0,0.0,0.05099,0.045,0.08932,0.0,0.05496,0.0,0.08145,0.04046,0.10016,0.05744,0.04265,0.0,0.0,0.04858,0.11099,0.0526,0.0,0.0,0.06008,0.04546,0.0,0.03287,0.08247,0.09849,0.06458,0.0655,0.07193,0.14496,0.08583,0.07181,0.07899,0.10899,0.08792,0.06494,0.05493,0.05858,0.05447,0.06532,0.05801,0.04709,0.05062,0.05378,0.05717,0.0427,0.06532,0.05481,0.08116,0.05384,0.06128,0.06823,0.07369,0.05002,0.05527,0.05187,0.05291,0.07471,0.04513,0.0,0.03575,0.05441,0.04453,0.04222,0.20698,0.11,0.0,0.08009,0.0553,0.0,0.04127,0.04215,0.03576,0.0,0.0522,0.23304,0.07327,0.05622,0.03579,0.0,0.04194,0.05067,0.0,0.04609,0.0,0.0,0.0,0.0,0.05678,0.06314,0.15075,0.05789,0.10971,0.05302,0.05934,0.0,0.05198,0.05857,0.03772,0.04784,0.0,0.04598,0.05666,0.0,0.06109,0.05053,0.0581,0.09343,0.19035,0.05879,0.04008,0.09219,0.06019,0.0,0.10136,0.04088,0.27265,0.07246,0.08857,0.19414,0.3562,0.08596,0.10111,0.25893,0.6008,0.85024,0.55364,0.35534,0.18682,0.1275,0.09541,0.13007,0.56439,0.21713,0.16491,0.13721,0.16954,0.07695,0.07434,0.08238,0.13086,0.09584,0.09543,0.09564,0.0692,0.07737,0.12445,0.07966,0.06849,0.11478,0.12556,0.08125,0.08013,0.08013,0.05531,0.0,0.0,0.05717,0.05273,0.05666,0.0672,0.08392,0.08568,0.08546,0.0,0.12089,0.05056,0.04584,0.0802,0.05837,0.0476,0.05306,0.04982,0.0,0.28028,0.05623,0.16796,0.07891,0.09068,0.0719,0.06758,0.08175,0.0,0.0793,0.0,0.04837,0.06053,0.4903,0.11722,0.10995,0.05396,0.11634,0.1336,0.07504,0.06999,0.08372,0.04029,0.04505,0.04568,0.05751,0.04119,0.07971,0.07773,0.0655,0.12625,0.055,0.03747,0.0,0.04103,0.05029,0.0,0.04506,0.0626,0.0,0.07627,0.07551,0.11895,0.12849,0.05421,0.06019,0.07923,0.11463,0.09322,0.12372,0.05721,0.04426,0.0,0.07515,0.04474,0.06503,0.06595
-3.0,0.04472,0.04441,0.03623,0.0,0.04655,0.04373,0.04627,0.0,0.0,0.04631,0.04491,0.08932,0.05162,0.05854,0.0,0.08145,0.03775,0.10016,0.04866,0.03902,0.0,0.04786,0.04886,0.11099,0.04909,0.03757,0.04803,0.0609,0.04061,0.04855,0.02965,0.08247,0.09635,0.06154,0.05921,0.07248,0.13727,0.07961,0.06547,0.07269,0.09136,0.08495,0.06152,0.05371,0.05488,0.05059,0.0641,0.05059,0.04548,0.04866,0.05051,0.05523,0.04144,0.05437,0.05054,0.0789,0.04903,0.05596,0.06753,0.06836,0.04785,0.04836,0.05065,0.05291,0.06647,0.04139,0.0,0.03461,0.04884,0.04038,0.04015,0.16413,0.10298,0.05493,0.08009,0.04949,0.0,0.038,0.03776,0.03564,0.0,0.05326,0.23304,0.06481,0.05637,0.03437,0.06315,0.03812,0.06326,0.0,0.05042,0.0,0.0,0.04333,0.04455,0.0465,0.05857,0.14592,0.05178,0.10829,0.04877,0.06334,0.0,0.04909,0.05971,0.03772,0.04784,0.0,0.0451,0.05163,0.03818,0.05636,0.04458,0.05732,0.08196,0.19035,0.05491,0.03803,0.08331,0.05566,0.06866,0.09367,0.03777,0.27299,0.06268,0.08301,0.18191,0.33039,0.08029,0.09174,0.24351,0.54695,0.79313,0.5388,0.33447,0.17749,0.12499,0.09122,0.12873,0.51592,0.14475,0.15362,0.13298,0.16648,0.07478,0.06939,0.07228,0.13013,0.08874,0.08438,0.07891,0.06462,0.07504,0.12122,0.07051,0.06666,0.11388,0.11925,0.07769,0.0751,0.0631,0.05301,0.0,0.0,0.04971,0.04864,0.05617,0.06402,0.07708,0.07226,0.07752,0.0,0.12089,0.04631,0.04325,0.06307,0.05369,0.04528,0.0523,0.04947,0.06895,0.25756,0.05514,0.16796,0.07509,0.09068,0.06166,0.05865,0.08175,0.0,0.0842,0.05699,0.04437,0.05054,0.47423,0.09915,0.1051,0.05136,0.11102,0.11626,0.07716,0.06147,0.06859,0.04318,0.04427,0.04443,0.05485,0.04287,0.07638,0.06664,0.05817,0.09084,0.05234,0.03634,0.05362,0.03751,0.04164,0.0,0.0438,0.05461,0.0744,0.0743,0.07123,0.08948,0.12849,0.04985,0.05259,0.07966,0.10798,0.08761,0.12718,0.05433,0.04116,0.07968,0.05996,0.04215,0.06093,0.06096
-2.75,0.04244,0.04219,0.0341,0.05629,0.04195,0.04087,0.04436,0.0,0.04763,0.04086,0.04319,0.07116,0.04721,0.05337,0.0,0.08145,0.03619,0.09684,0.04866,0.04083,0.0,0.0463,0.04745,0.07668,0.04131,0.03597,0.04803,0.05463,0.03793,0.04389,0.02917,0.08247,0.09363,0.05659,0.05528,0.06996,0.13049,0.07375,0.06281,0.0641,0.08596,0.08337,0.05813,0.04807,0.05263,0.04759,0.062,0.04776,0.04283,0.04751,0.04739,0.05149,0.03948,0.04806,0.0482,0.0734,0.04314,0.05298,0.06363,0.06652,0.04245,0.04536,0.03998,0.05389,0.06184,0.03952,0.0,0.03204,0.04682,0.03969,0.03942,0.15934,0.09444,0.05529,0.08009,0.04663,0.0,0.03544,0.03533,0.03256,0.04649,0.04421,0.22804,0.06118,0.05026,0.03133,0.0627,0.03576,0.06627,0.04994,0.04498,0.04279,0.03587,0.04434,0.03632,0.03927,0.05047,0.13473,0.05081,0.09669,0.04123,0.05472,0.04276,0.05235,0.05645,0.03343,0.03937,0.04804,0.04211,0.04866,0.03711,0.04927,0.04285,0.05138,0.07607,0.17681,0.05166,0.03616,0.08059,0.05055,0.06573,0.07539,0.03688,0.25935,0.05804,0.07253,0.17142,0.3076,0.07323,0.08244,0.22984,0.50455,0.70633,0.48667,0.3056,0.15795,0.11841,0.08755,0.11809,0.4822,0.1519,0.14362,0.13253,0.15246,0.0625,0.06465,0.06558,0.11989,0.08352,0.07517,0.07186,0.06282,0.06917,0.11406,0.06931,0.05897,0.10528,0.11547,0.07337,0.07397,0.06261,0.04941,0.05562,0.0,0.04553,0.04439,0.04809,0.06435,0.06596,0.06818,0.07482,0.0,0.12089,0.04321,0.03921,0.05865,0.04721,0.04194,0.04672,0.04469,0.05539,0.24586,0.04942,0.16177,0.06452,0.08298,0.05724,0.05631,0.06201,0.04817,0.07574,0.0552,0.04173,0.04029,0.42251,0.09541,0.09973,0.04571,0.09523,0.10163,0.06754,0.0581,0.06287,0.03756,0.03938,0.04372,0.04799,0.04167,0.07397,0.06575,0.05351,0.0688,0.04853,0.03465,0.05223,0.03544,0.04301,0.0525,0.03796,0.04972,0.0744,0.05416,0.07018,0.07902,0.10445,0.0485,0.04161,0.07289,0.08367,0.08626,0.12718,0.04754,0.04167,0.07033,0.0565,0.0408,0.04836,0.0574
