,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,4.88302,0.47769,0.16419,8.36106,0.0,0.13942,20.28492,0.18714,0.0,0.0,0.0,2.01464,0.0,0.10584,1.59031,0.0,0.0,0.0,0.0,0.24423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72274,0.0,10.46805,0.0,0.0,0.0,1.26842,0.0,0.0,0.0,1.51121,6.02129,0.49225,0.0,4.31468,11.56611,0.0,2.63778,0.11868,2.10674,0.0,1.63893,4.27881,0.0,0.31573,1.52063,0.0,0.29397,14.93295,0.55397,0.41905,0.70312,15.51544,0.0,1.81546,0.0,1.13785,2.20104,0.0,0.2164,0.76274,0.69037,0.98687,3.22166,0.0,17.80511,2.02856,2.4113,0.31395,1.47165,0.4668,0.0,0.0,3.63116,0.0,10.67888,0.0,0.0,0.0,1.43994,0.0,0.0,0.51037,1.50547,0.0,6.47764,0.0,4.12097,3.63732,2.03614,0.0,0.85566,0.0,3.68705,3.90746,0.0,0.0,2.86651,0.0,0.7188,0.0,1.45944,0.0,1.64505,1.78245,8.41733,0.0,0.0,2.9717,0.0,0.54459,0.0,4.8682,0.0,0.0,15.23806,6.8703,1.75204,0.0,0.0,0.0,0.97641,7.44473,0.0,0.0,0.0,0.0,0.0,15.39665,34.89821,3.22413,0.0,0.0,0.0,0.0,3.19152,0.0,4.55101,0.73281,1.00486,0.0,1.43699,0.21498,1.02457,0.0,0.0,0.0,1.90366,1.20825,0.0,0.0,0.0,1.78212,0.79837,0.00567,4.22355,32.26514,0.3576,1.99368,4.35827,30.32459,0.77302,0.0,0.0,4.56298,0.0,2.40688,6.81922,1.49899,2.34583,0.6765,5.8748,1.74097,14.05395,23.22303,5.34561,4.24857,4.54323,8.19838,2.02443,0.0,0.49917,1.13691,0.0,8.6072,1.35358,0.80426,36.62224,0.0,0.0,0.0,0.0,4.60908,2.64098,0.0,1.77358,2.0846,5.7075,0.0,1.18091,1.97604,0.0,6.96282,0.59576,0.0,0.35989,0.0,7.17185,2.25785,0.79664,2.36899,22.8342,7.31637,0.0,0.0,1.1166,1.24388,0.77714,0.0,2.70461,0.0,0.0,0.0,0.0,1.77818,2.43308,1.28477,3.63794,3.72555,0.55441,0.64569
-4.75,3.59485,0.47769,3.77764,8.36106,0.0,0.13942,20.28492,0.18714,0.0,0.0,0.0,2.01464,0.0,0.10584,1.59031,0.0,0.0,0.0,0.0,0.24423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.72274,0.0,10.46805,0.0,0.0,0.0,1.34556,0.0,0.0,0.0,1.6759,6.02129,0.87962,0.0,4.63867,11.56611,0.0,2.56677,0.11868,2.10674,0.0,1.63893,4.30128,0.0,0.32983,1.52063,0.0,0.29397,15.41087,0.58982,0.55472,0.78611,15.51544,16.87804,1.81547,0.0,1.93227,7.39268,0.0,0.2164,0.76274,0.69037,0.72849,3.22166,0.0,19.49947,2.02856,2.4113,0.29921,1.49518,0.4668,0.0,0.0,3.63116,0.0,10.67889,0.0,0.0,3.90071,1.43994,0.0,0.59218,0.51037,1.50547,0.0,6.47764,1.35096,4.25067,3.63732,2.15046,0.0,1.00704,0.0,3.72862,3.90746,0.38643,0.0,2.96859,0.0,0.7188,0.0,1.45944,0.0,1.74882,1.78245,6.39913,0.0,0.0,2.70599,0.68728,0.54459,0.0,4.8682,0.0,1.67887,15.23806,6.8703,3.24001,0.0,0.0,0.0,1.95276,7.44473,21.54603,0.0,0.0,0.0,0.0,15.66877,35.0146,3.22413,0.0,0.0,0.0,0.0,3.23305,49.37679,3.6784,0.73281,1.09664,8.14013,1.437,2.03502,1.06353,0.0,0.0,0.0,2.49254,1.26089,0.0,0.0,0.0,1.45477,0.87812,0.00567,4.28793,32.26514,0.3576,1.89675,4.59291,30.48694,0.8726,0.0,0.0,4.79578,0.0,2.40688,6.81929,1.49899,2.34583,0.6765,5.8748,2.46504,14.05395,24.295,2.63637,4.9124,3.42971,8.24499,2.06339,0.0,0.49917,1.13691,0.0,8.23796,1.35358,4.53077,36.62225,0.0,0.0,0.0,0.0,3.80098,2.64279,3.70529,1.86406,2.0846,5.7075,0.0,1.18091,1.97604,0.0,6.96282,0.63498,0.0,0.35989,0.0,7.17185,2.25786,0.79664,2.36899,22.8342,7.31637,0.0,0.0,0.95322,1.30247,1.37277,0.0,2.79253,0.0,0.0,0.0,0.0,1.77818,3.8201,1.28478,3.73576,3.72555,5.28196,0.64569
-4.5,3.59485,0.50704,3.86286,8.36106,0.0,0.61715,15.33419,0.27173,0.0,0.0,0.0,1.84939,0.0,0.10584,1.59032,0.0,0.06695,0.0,10.12464,0.24423,0.0,0.06907,0.0,0.0,0.0,0.0,0.0,11.72274,0.0,5.43009,21.24111,0.0,0.0,1.22237,4.36889,0.0,0.0,1.67851,5.11546,0.98887,0.0,5.55156,11.70708,0.36573,3.15997,1.20366,1.55108,0.0,1.44309,3.82994,0.0,0.32983,1.52063,0.0,1.23451,16.46832,0.58982,0.58086,0.96537,21.87779,16.87804,1.81547,0.0,1.93227,7.39268,0.0,0.2164,1.1144,0.69037,0.72863,3.41217,0.0,20.35791,2.11924,2.41131,0.2649,2.24732,0.4668,0.0,0.0,5.69345,0.0,10.6789,0.0,0.84573,3.90071,1.43994,12.34542,0.59218,0.63057,1.51872,6.41852,6.56077,1.35096,4.25067,2.60052,2.38806,0.0,1.80478,0.0,3.76318,3.90746,2.06296,0.0,2.96859,0.0,0.79442,0.0,1.45656,0.0,1.76429,1.78245,6.39913,0.0,0.0,2.80414,0.79729,0.54459,0.0,4.00405,0.0,1.67887,8.28779,6.8703,2.83946,0.0,0.0,0.0,1.39654,7.54341,21.54627,0.0,0.0,0.0,0.0,16.08955,39.99816,2.18825,0.0,0.0,0.0,0.0,3.23305,49.80961,3.72182,0.73281,1.09665,9.01143,1.27723,2.51707,1.1021,0.0,2.49451,6.53381,16.1278,2.72945,0.0,0.0,0.0,1.7812,0.81195,0.00567,4.38468,32.26514,0.40171,1.6316,4.59291,30.76739,1.45279,0.0,0.0,3.57459,0.0,1.13433,6.81929,1.49899,2.53077,0.6765,5.8748,2.50826,14.05396,25.26679,2.66222,4.9404,3.7202,8.24499,1.8319,0.0,0.49917,1.13691,6.92205,8.23796,1.46428,3.17003,36.62225,0.0,0.0,0.75279,0.0,3.62929,2.64279,3.80517,1.86406,1.6203,5.73902,4.10637,1.18091,1.97604,0.0,7.18162,0.63498,3.76952,0.35989,0.0,7.28397,1.61321,0.79664,2.36899,22.8342,7.31637,0.0,0.0,0.95322,1.73847,1.37277,2.74291,2.79253,0.0,0.0,0.0,0.0,1.77818,2.57231,1.28479,6.86191,3.72555,5.28196,2.05843
-4.25,3.18793,1.80624,3.86287,8.36106,0.0,1.31238,11.87815,0.27173,0.0,0.0,0.0,1.84939,0.0,0.10584,1.59032,0.0,0.06695,0.0,7.15773,11.98735,66.9985,25.32993,0.0,0.0,0.0,0.0,0.0,11.72274,0.0,5.33475,21.24111,0.0,0.0,2.12405,2.4182,0.73178,0.0,1.72724,5.12437,1.36371,0.0,6.39136,11.70708,0.87812,2.79263,0.80249,1.66786,0.0,2.37367,3.82994,0.0,0.32983,1.52063,0.0,1.23451,12.13164,0.58982,0.67674,0.99705,22.01619,9.00024,1.81547,2.32394,1.93227,6.26275,2.6054,0.2164,1.17813,1.83026,1.06388,1.94335,0.0,21.22267,1.79255,2.51048,0.30446,1.90647,0.29764,0.0,0.0,5.69346,1.68053,10.67903,0.00032,0.84573,2.11754,1.43994,12.34542,0.59218,0.63057,1.51872,4.87658,6.8208,0.81206,4.25067,2.10621,1.83458,10.60884,1.80479,0.0,5.46809,2.36376,2.06296,6.93526,2.96859,0.0,0.79442,0.0,1.16651,0.0,1.76429,1.41755,5.38441,0.0,0.0,2.11761,0.79729,0.54459,0.0,3.80755,0.0,2.97589,8.28779,6.8703,2.85667,0.0,0.0,0.0,1.39655,7.65862,21.54629,0.0,0.0,0.0,0.0,16.48403,40.16017,2.19859,0.0,0.0,0.0,0.0,3.2962,51.21365,3.75806,0.73281,1.3469,9.28328,1.30325,2.51709,1.01204,0.0,3.01376,6.85982,16.39032,2.76393,21.09949,0.0,0.0,1.64028,0.69938,0.00567,4.44411,21.78033,0.40171,1.53097,4.59291,30.88189,2.46492,0.0,0.0,3.79612,2.44065,0.85024,5.79619,1.49899,2.53077,0.91511,5.87481,2.50826,14.05396,25.45407,2.71381,4.58689,4.02263,8.42763,1.84794,0.0,0.49917,1.16485,7.13929,7.63698,1.45253,3.54132,62.76565,3.99778,0.0,1.32659,0.0,3.62931,2.64279,2.82602,1.90593,1.67696,5.82203,4.20091,2.25565,1.97604,3.87535,7.47316,0.83019,4.06867,0.40875,0.0,7.28397,1.66291,0.67064,2.36899,22.83432,3.84032,0.0,0.0,0.95322,1.89898,1.42734,2.74291,3.12886,0.0,12.24819,5.40728,4.3025,1.91661,2.20576,1.40515,6.93186,3.72555,4.16151,1.70972
-4.0,2.59724,1.91555,3.86287,8.36106,0.0,1.31238,12.10739,0.27173,0.0,0.0,0.0,2.14564,0.25293,0.10584,1.59032,0.0,9.9563,0.0,7.23108,11.98735,66.9985,25.32993,0.0,0.0,0.0,0.0,1.41843,11.72274,0.0,4.54342,10.68582,0.0,0.0,2.39888,1.76977,0.84961,0.0,1.63095,5.12437,2.03153,0.0,5.39941,11.70708,0.67904,2.80477,2.27719,1.83869,3.65871,2.39567,3.82994,0.0,0.62786,7.3397,0.79796,1.25092,12.38629,0.51886,0.92441,1.07453,22.06783,6.60286,1.77139,2.32394,1.93227,6.41239,2.60541,0.2164,1.83425,1.55127,2.81417,2.49505,31.61521,22.79337,1.79255,2.51049,0.47055,1.74187,2.51358,0.0,0.0,5.73278,4.74801,10.67904,0.00032,0.42786,1.65133,1.27095,20.1818,0.59218,1.84488,1.51872,4.87658,6.8208,0.81206,4.77464,2.10621,1.97711,10.60885,1.96707,0.0,5.49341,2.46775,1.5823,6.93526,3.16931,0.0,0.79442,0.0,0.9819,0.0,6.87679,1.41755,4.56083,0.0,0.0,2.12033,0.89085,3.42547,0.0,3.46194,0.0,3.27306,6.84678,6.84592,2.26917,0.0,0.0,0.0,1.3916,11.96976,21.54665,0.0,0.0,0.0,0.0,16.78159,40.16017,2.05812,0.0,0.0,5.20425,0.0,3.40301,51.21365,3.12155,0.73281,1.28245,9.28332,1.57141,1.84201,1.25865,0.0,3.32412,8.03769,17.4358,2.50508,24.8999,0.0,8.1288,1.66233,0.77977,0.94147,4.44568,14.38937,0.40171,1.34941,2.50474,32.79298,2.47172,6.82494,0.0,4.94582,2.44939,1.14187,4.21529,1.64547,2.19376,0.93079,3.70076,2.26388,14.05396,25.72391,2.71387,4.74182,3.52956,9.68293,1.8744,0.0,0.49912,0.918,7.99601,7.82969,1.4748,5.46037,62.76565,4.05435,0.0,1.63896,26.86484,3.62931,2.64279,1.67821,1.8833,1.88165,5.82203,4.20092,2.25565,2.17829,2.20956,7.47316,0.8302,2.47236,0.40875,0.0537,7.28397,1.66291,0.67064,2.78838,22.83432,5.66845,1.49229,4.64149,1.01313,1.94424,1.44971,2.4218,3.41256,0.0,12.24845,5.49161,5.03894,1.17767,2.16204,1.07111,6.93186,2.51761,3.65496,1.78141
-3.75,2.67252,5.41744,3.23559,8.36106,0.0,1.31238,9.74827,0.27173,8.93708,0.0,4.73294,2.14566,2.94571,3.03246,2.53796,0.0,8.14947,0.0,7.43968,9.3053,66.9985,25.32993,0.0,0.0,0.0,0.0,1.41843,6.49896,19.11188,4.05295,10.7168,3.05325,0.0,1.91749,1.86438,0.66354,0.0,1.68631,4.41561,1.33853,0.0,4.52978,11.70708,0.93537,2.93004,2.27719,1.26598,3.65871,2.09296,3.66761,0.0,1.07424,7.37874,5.14222,1.25092,15.5393,0.51886,0.92442,1.18955,22.60807,6.63344,1.7714,2.32394,1.93227,6.41912,2.60541,0.2164,1.62252,1.34265,2.54281,2.37694,34.31646,24.11893,3.37477,2.51049,0.53776,1.36883,2.51358,0.0,0.0,5.7381,3.39539,10.67905,0.65109,0.44892,1.74869,1.27095,20.18181,1.05956,1.60957,1.59426,4.87658,4.64694,6.53685,4.77464,1.62293,1.9918,10.89813,1.9896,0.0,4.95194,2.56064,1.59125,6.93526,3.45942,0.0,0.79442,0.0,0.91005,0.0,4.6769,1.41755,3.37452,0.0,1.64121,2.21498,0.94805,3.42899,0.0,3.28289,10.17507,3.27306,4.95532,8.59811,2.28425,0.0,0.0,0.0,1.11519,12.61371,39.00106,0.0,0.0,0.0,0.0,16.83851,40.78358,2.1004,18.71976,0.0,5.25065,0.0,3.40301,51.21365,3.31332,0.84042,1.65031,9.28371,1.49309,1.88285,1.19289,1.25092,2.52551,12.10294,13.62622,2.40551,24.81273,0.0,8.1288,1.54776,0.94953,0.94901,4.4622,9.71081,1.05336,1.84101,2.28555,38.29851,2.77191,8.56628,0.0,5.14131,1.71934,1.18383,3.41578,1.66699,2.57512,2.58758,3.79867,1.53086,14.05396,13.38113,2.39972,4.8786,3.7052,9.90767,1.86661,0.87581,0.49305,1.53455,8.09271,7.82969,1.32808,5.05793,62.7658,4.92147,0.0,1.67577,27.00578,3.57701,2.42912,1.38887,1.3722,1.88165,5.82203,2.62024,2.20101,2.17829,1.80628,7.91252,0.8302,2.51181,0.89706,0.28475,7.28397,1.2969,0.9696,2.78775,19.43115,5.70161,1.46965,4.67325,1.01313,1.88151,1.44971,2.5582,3.56548,8.62118,11.86894,11.36691,6.19727,1.15964,1.81031,0.8907,6.93186,4.44816,3.13044,1.42439
-3.5,2.54647,6.04996,2.57238,7.03568,0.0,1.55224,8.94478,0.72505,8.2207,0.44535,4.73294,2.14566,2.94572,3.14044,2.55255,15.92274,8.14947,43.30796,5.92372,6.70032,66.99851,18.1892,0.0,0.0,0.65255,0.0,1.41844,5.71087,12.74304,6.26897,7.20169,1.86384,0.0,1.93089,2.9006,1.12293,0.0,1.49719,5.64115,1.24127,0.0,4.65248,5.99733,0.83836,2.82124,2.12046,1.29588,4.64151,5.7663,2.77655,0.0,1.07424,7.51925,5.19834,1.29857,15.86309,0.6198,3.37893,1.22365,23.89716,6.63344,1.4392,14.44844,1.93227,5.50866,2.60541,0.71655,1.42046,1.53778,2.38825,2.15453,38.04304,24.66188,3.37584,2.61832,0.75947,1.2782,1.64399,1.80868,39.40353,3.89738,2.77416,10.67907,1.11331,0.48812,1.77789,1.23146,31.73915,3.36838,1.78564,1.59426,3.78924,4.33716,6.53685,4.77464,2.48218,2.04939,13.89216,2.66623,8.16833,3.9632,11.15441,2.42234,4.7266,3.11147,0.0,0.79442,0.0,1.16325,0.0,3.64877,2.54044,3.38441,21.24808,1.64122,1.85336,0.94805,3.43968,0.0,3.08127,6.9557,3.52201,4.51598,8.59811,2.54669,0.0,0.0,0.0,1.10108,12.61371,40.24561,0.0,0.0,0.0,0.0,20.5191,41.26857,1.91137,7.942,0.0,5.25065,33.4122,3.40301,51.21365,2.99029,0.92467,1.53612,9.55749,1.68844,1.9477,1.21357,0.89049,1.92089,12.36537,19.66454,2.53951,27.1601,0.0,8.20551,1.37434,0.92649,2.16476,4.4622,6.44333,0.93562,1.87932,1.85673,25.61941,2.4508,8.74583,7.36276,5.2823,1.96723,1.30298,3.01684,1.44385,3.39377,3.23881,3.10741,1.53086,14.05399,13.94773,2.72352,4.87861,3.37369,10.00603,1.95641,0.87581,0.49305,1.53455,10.07168,6.85502,1.32808,4.41824,62.76591,14.49729,0.0,2.05936,27.00578,3.40347,1.83271,1.92279,1.10277,1.88165,4.44644,4.13482,1.95397,5.45276,1.48429,7.91253,1.20139,2.95083,1.67379,0.35086,5.57996,1.25225,4.01475,2.61018,19.45514,4.59564,1.49469,3.13349,0.85481,1.74536,1.88456,4.09723,3.16049,9.38576,13.26903,11.44653,6.19728,1.11146,3.36372,0.8907,6.93186,8.41689,3.13045,1.22636
-3.25,2.32305,6.09834,2.05083,5.9599,0.0,1.56068,10.02163,6.90133,8.2207,2.64263,3.83505,2.26728,2.22957,5.27921,2.2858,15.92274,6.82845,29.32418,4.57292,5.93956,36.86524,17.76715,0.0,0.0,0.65255,2.4395,0.9474,6.95274,9.60268,8.77956,8.78412,4.22365,0.0,1.72814,3.52171,1.09679,0.0,1.99962,4.47823,1.14042,11.59125,5.16145,3.81187,1.10313,2.71978,1.9511,1.40099,4.20702,4.81863,3.07417,0.0,1.61768,6.6319,15.68185,1.06583,16.38509,0.4956,3.0159,1.94152,25.33785,11.99139,1.22473,11.30202,2.26732,5.69454,2.60541,3.1104,1.40292,1.57125,2.19501,2.03599,38.22109,28.29974,2.67414,2.15369,0.75947,1.29713,2.16482,9.61991,20.12617,15.51738,2.76161,8.86765,1.73584,0.90973,2.21937,1.23808,25.39445,2.56206,1.88993,1.52866,3.79199,3.78143,6.53685,10.67001,2.37671,1.58914,12.03378,3.16697,7.79022,4.00571,11.1665,1.85499,3.62332,2.78146,22.0132,0.79442,0.0,1.03374,3.15635,3.64877,2.77295,4.35796,19.26389,3.0693,2.30461,7.61307,2.31194,0.0,3.34633,7.11996,3.14845,3.77335,8.8709,2.21582,1.74152,0.0,47.49102,1.05559,12.62166,25.95512,0.0,17.10458,27.42574,0.0,17.84634,43.05159,1.65655,8.55751,9.55263,2.28144,33.41225,3.13748,53.32739,2.96233,1.16993,1.47821,11.34241,1.61912,1.69487,1.23132,2.40882,1.67817,12.84974,19.77661,2.33338,28.18809,0.0,10.27858,1.27724,1.01974,2.3544,3.91083,6.9521,4.05969,1.85885,1.82831,25.61954,2.62375,8.80486,12.39636,3.4035,2.1337,1.76494,2.70318,2.48817,3.48317,3.24261,2.67258,1.64505,14.05399,16.86874,2.60305,3.25634,3.31742,10.00603,1.71537,1.10019,0.81918,1.53455,12.77745,6.85503,1.37939,4.32588,62.76597,15.75669,22.59338,2.01401,27.11206,2.90092,1.84897,2.31321,1.30598,1.62842,2.83507,4.12843,5.14169,4.77026,1.29892,4.85562,1.55654,2.05804,1.40488,0.22544,4.51525,1.00352,3.22024,2.62667,13.79831,4.12378,2.66464,1.98558,1.15883,1.76042,3.06574,3.92582,3.18266,9.61232,14.79957,11.57794,5.31532,1.36073,4.0584,0.91236,5.4307,6.32181,3.24046,1.50093
-3.0,2.24186,5.8891,2.3704,4.69252,2.01514,1.51214,9.54435,7.1116,8.24551,2.64263,3.64763,2.00027,3.12389,3.64475,2.16679,24.54062,6.82845,23.11613,7.25948,7.68469,35.48115,18.63496,0.141,50.81499,0.65255,14.59412,0.9474,6.95274,9.61906,8.77956,9.97103,6.36382,0.0,3.30635,2.88471,2.2716,0.0,1.7929,4.66904,1.11532,11.73059,4.79964,3.26808,1.26248,2.33633,1.97845,1.36778,2.78525,3.79252,2.46562,1.11087,5.79438,6.9955,15.68325,1.06583,13.40802,2.96778,2.72166,1.88813,25.33789,8.68947,1.39638,8.44308,2.46563,4.79063,1.05305,2.35986,2.14913,1.73309,2.33747,1.90813,38.66621,34.58509,4.82463,4.18988,0.7678,1.18054,2.48272,8.31504,8.85149,15.51738,2.75064,13.30004,2.18811,1.09245,2.04901,1.23808,20.93677,2.67067,1.79611,1.54721,9.8199,3.55493,4.07496,10.67001,2.27774,1.94411,10.86927,3.00948,6.12284,4.11164,8.52585,1.8118,4.21057,2.74386,8.16234,1.71427,0.2621,1.02562,14.35018,5.92422,3.24524,3.88751,17.59838,4.21224,2.36032,6.07401,3.11159,8.0383,3.42748,3.84766,3.93806,4.00311,9.1654,2.31375,1.76122,8.93863,27.92243,0.99362,12.9856,28.29603,0.0,26.41599,28.76484,9.29394,23.57177,43.86882,1.69147,9.01494,16.74656,2.18712,18.19697,2.61525,54.32368,2.67724,1.07562,1.71277,12.94597,1.66266,1.7385,1.27253,2.33039,1.97274,17.63745,20.06893,2.07019,30.06786,12.50911,4.52044,1.35655,1.02164,1.99874,3.93751,6.39359,3.32589,1.62138,1.39643,26.00156,2.3715,6.76135,14.04606,3.40352,1.92843,1.77859,2.80859,1.94242,2.36671,4.91437,2.63959,1.8378,14.05399,17.64497,2.377,3.51514,3.14088,9.02182,1.45835,1.87441,0.94679,1.57298,12.77745,5.26679,1.43448,3.41507,62.76598,19.11378,32.48798,2.07648,18.05516,2.55682,1.75118,1.90034,1.22472,1.62842,2.85035,3.45693,4.61051,4.77647,1.72533,4.94984,1.65947,1.95247,1.81952,12.75016,3.70978,1.56381,3.22024,2.27883,10.43902,3.16327,2.08565,2.00031,1.15892,2.04495,4.18317,3.5436,3.32214,7.43768,13.35401,6.86954,4.1008,1.33834,4.067,1.11543,5.48058,6.06359,3.12654,1.45461
-2.75,2.63965,6.04476,2.07455,4.38426,2.17696,1.73824,9.58307,7.1116,10.1629,13.02266,3.80177,3.92193,2.53863,2.63509,2.10412,17.50017,8.49029,28.09794,6.77456,7.68666,37.98523,14.99125,0.14101,25.55334,22.84421,14.59412,1.1031,7.14446,10.67978,11.82178,9.87367,5.5962,0.0,3.24785,2.67098,1.97079,45.56159,1.90975,5.04615,1.97235,13.92973,3.72112,3.13527,1.5075,2.23322,2.10817,1.25239,3.34132,3.43894,2.48581,12.02254,5.05856,7.05622,17.00348,2.91043,13.59987,2.24159,2.59444,3.01097,25.71195,10.531,2.17457,9.08853,2.77034,4.46734,0.84334,2.48421,3.42789,1.81977,2.21561,1.96203,40.20084,23.93309,11.07427,3.61096,1.19361,2.15849,3.12537,7.51622,7.18173,12.18822,2.63746,13.30007,3.05694,1.44027,1.72453,1.73872,20.37655,3.51431,1.84707,1.4624,9.82068,3.35924,2.9562,7.15849,2.18706,1.68223,12.26263,2.27954,6.53195,3.51946,8.6237,1.98212,3.18758,3.35548,8.16234,1.71427,0.2621,1.36075,11.72674,5.978,2.38737,3.90157,10.67847,4.2338,2.2768,15.67076,3.34432,10.22952,3.04417,3.14921,3.06461,3.36823,9.48133,1.97584,1.59271,15.69291,28.40999,1.13195,6.52316,21.11603,60.77349,26.89749,25.34657,19.57285,25.50543,24.45119,1.83248,9.22294,20.31687,2.09697,18.55374,3.01355,54.82403,2.40486,1.49096,1.72075,12.77453,1.57742,2.01911,1.31701,2.68741,1.84762,18.80302,20.22816,1.86362,31.73231,12.88523,3.95787,1.37721,1.28212,2.15452,3.93751,5.40897,4.22745,1.74562,1.38526,24.81211,2.56098,5.79474,15.06671,3.08082,1.81213,1.74775,2.50378,1.70688,2.01752,2.98109,2.50142,1.6899,14.054,19.3194,2.57639,3.42912,2.88223,14.3387,1.2897,2.44581,1.49941,4.05905,10.00014,4.89707,1.46501,3.84992,62.76598,24.26015,21.51526,2.16466,18.50673,2.6627,1.67276,2.27374,3.95762,2.50724,3.29095,3.83353,3.77453,3.08429,1.93754,3.34688,1.37101,2.07423,1.74125,11.11106,3.72236,1.31883,3.22025,2.03145,11.92892,4.223,2.86985,3.73901,0.96966,1.86109,2.96242,2.86312,3.53085,11.29252,13.17148,7.78093,4.12839,1.54064,4.36991,1.5379,4.45215,5.43407,2.72077,1.56801
