,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.04027,0.06225,0.05861,0.04164,0.0,0.06986,0.05169,0.05563,0.0,0.0,0.0,0.06908,0.0,0.04609,0.0453,0.0,0.0,0.0,0.0,0.04921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05097,0.0,0.03175,0.0,0.0,0.0,0.0531,0.0,0.0,0.0,0.06965,0.09369,0.05227,0.0,0.08354,0.08659,0.0,0.0704,0.07341,0.06835,0.0,0.06744,0.03967,0.0,0.04358,0.04137,0.0,0.0471,0.17392,0.04993,0.07239,0.06625,0.28653,0.0,0.03631,0.0,0.04771,0.03765,0.0,0.04777,0.03838,0.04448,0.05424,0.04458,0.0,0.52908,0.06506,0.07802,0.07088,0.03968,0.04938,0.0,0.0,0.05947,0.0,0.23279,0.0,0.0,0.0,0.08114,0.0,0.0,0.04219,0.06682,0.0,0.05901,0.0,0.05728,0.05417,0.07243,0.0,0.05239,0.0,0.08152,0.04991,0.0,0.0,0.03961,0.0,0.06189,0.0,0.06023,0.0,0.0383,0.05321,0.04438,0.0,0.0,0.08521,0.0,0.04537,0.0,0.04349,0.0,0.0,0.03794,0.33496,0.04954,0.0,0.0,0.0,0.05385,0.23229,0.0,0.0,0.0,0.0,0.0,0.76252,0.53363,0.09028,0.0,0.0,0.0,0.0,0.14837,0.0,0.11452,0.07607,0.09594,0.0,0.09001,0.10386,0.06959,0.0,0.0,0.0,0.28398,0.06527,0.0,0.0,0.0,0.05263,0.05845,0.04399,0.16707,0.04665,0.04535,0.0541,0.06311,0.24017,0.12845,0.0,0.0,0.15939,0.0,0.06185,0.05861,0.04557,0.05366,0.04747,0.05386,0.0672,0.13246,0.6777,0.06203,0.13745,0.07849,0.38644,0.05866,0.0,0.04557,0.05321,0.0,0.06584,0.04486,0.04063,0.46612,0.0,0.0,0.0,0.0,0.09463,0.06265,0.0,0.0463,0.04583,0.05774,0.0,0.04316,0.0441,0.0,0.10487,0.04656,0.0,0.03553,0.0,0.03558,0.03853,0.03932,0.05509,0.04177,0.05019,0.0,0.0,0.10125,0.05328,0.03969,0.0,0.07596,0.0,0.0,0.0,0.0,0.04949,0.04067,0.04178,0.05199,0.03991,0.04,0.06568
-4.75,0.03757,0.06225,0.05514,0.04164,0.0,0.06986,0.05169,0.05563,0.0,0.0,0.0,0.06772,0.0,0.04609,0.042,0.0,0.0,0.0,0.0,0.04921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05097,0.0,0.03175,0.0,0.0,0.0,0.04716,0.0,0.0,0.0,0.0663,0.09369,0.04931,0.0,0.07763,0.08659,0.0,0.07174,0.07341,0.06835,0.0,0.06744,0.038,0.0,0.0428,0.04137,0.0,0.0471,0.16771,0.04804,0.06789,0.06304,0.28653,0.04226,0.03535,0.0,0.04488,0.03738,0.0,0.04777,0.03568,0.04448,0.04507,0.04458,0.0,0.50044,0.06093,0.07802,0.06494,0.03926,0.04938,0.0,0.0,0.05947,0.0,0.21968,0.0,0.0,0.03912,0.08114,0.0,0.03946,0.04219,0.06682,0.0,0.05901,0.03642,0.05391,0.05282,0.06856,0.0,0.04869,0.0,0.076,0.04991,0.04153,0.0,0.0384,0.0,0.06189,0.0,0.06023,0.0,0.03462,0.05321,0.04236,0.0,0.0,0.07569,0.06132,0.04537,0.0,0.04349,0.0,0.03701,0.03794,0.33496,0.04736,0.0,0.0,0.0,0.05625,0.23229,0.46253,0.0,0.0,0.0,0.0,0.71485,0.47958,0.09028,0.0,0.0,0.0,0.0,0.14247,1.09306,0.10249,0.07607,0.08819,0.59038,0.08457,0.0936,0.06704,0.0,0.0,0.0,0.28008,0.06368,0.0,0.0,0.0,0.0507,0.0568,0.04399,0.16488,0.04665,0.04535,0.05054,0.06025,0.2312,0.11573,0.0,0.0,0.14495,0.0,0.06185,0.04475,0.04557,0.05366,0.04747,0.05386,0.06196,0.13246,0.61501,0.06248,0.12295,0.07047,0.37856,0.05456,0.0,0.04557,0.05321,0.0,0.06415,0.04486,0.03792,0.43871,0.0,0.0,0.0,0.0,0.09147,0.0605,0.04478,0.04516,0.04583,0.05774,0.0,0.04316,0.04372,0.0,0.10487,0.04255,0.0,0.03553,0.0,0.03558,0.03495,0.03932,0.05509,0.04177,0.05019,0.0,0.0,0.08726,0.0514,0.03989,0.0,0.06476,0.0,0.0,0.0,0.0,0.04949,0.0325,0.03932,0.04445,0.03991,0.03791,0.06568
-4.5,0.03708,0.05079,0.05228,0.04164,0.0,0.0581,0.0493,0.04772,0.0,0.0,0.0,0.06205,0.0,0.04609,0.042,0.0,0.03561,0.0,0.03919,0.04921,0.0,0.04055,0.0,0.0,0.0,0.0,0.0,0.05097,0.0,0.02922,0.02906,0.0,0.0,0.04499,0.0404,0.0,0.0,0.06507,0.08695,0.04817,0.0,0.07548,0.0703,0.05076,0.07046,0.06264,0.06261,0.0,0.06153,0.03551,0.0,0.04131,0.04137,0.0,0.04177,0.15649,0.04615,0.06693,0.06457,0.25384,0.04031,0.03406,0.0,0.04488,0.0368,0.0,0.04777,0.03584,0.04448,0.04442,0.03721,0.0,0.47308,0.0544,0.07705,0.05771,0.03889,0.04938,0.0,0.0,0.05378,0.0,0.20962,0.0,0.04653,0.03912,0.08114,0.03449,0.03946,0.03669,0.06574,0.0394,0.05259,0.03642,0.05391,0.04914,0.06797,0.0,0.04373,0.0,0.07198,0.04991,0.04783,0.0,0.0384,0.0,0.05792,0.0,0.0513,0.0,0.03371,0.05321,0.0419,0.0,0.0,0.07132,0.05747,0.04537,0.0,0.04046,0.0,0.03701,0.03347,0.33496,0.04555,0.0,0.0,0.0,0.05344,0.23055,0.43892,0.0,0.0,0.0,0.0,0.6844,0.4514,0.08306,0.0,0.0,0.0,0.0,0.14247,1.06092,0.07945,0.07607,0.08712,0.54863,0.09125,0.08252,0.06497,0.0,0.10665,0.51478,0.25798,0.05804,0.0,0.0,0.0,0.04801,0.04298,0.04399,0.16506,0.04665,0.04371,0.05036,0.06025,0.22098,0.11062,0.0,0.0,0.14664,0.0,0.05198,0.04475,0.04557,0.0482,0.03904,0.05386,0.05588,0.1178,0.58684,0.06039,0.12052,0.06907,0.37856,0.05102,0.0,0.04557,0.05321,0.13012,0.06359,0.04212,0.03678,0.4131,0.0,0.0,0.04468,0.0,0.08377,0.05999,0.04136,0.04516,0.04921,0.05564,0.04586,0.0396,0.04219,0.0,0.08982,0.04255,0.03076,0.03553,0.0,0.03406,0.03299,0.03932,0.05509,0.04177,0.05019,0.0,0.0,0.0879,0.04978,0.03926,0.03832,0.06476,0.0,0.0,0.0,0.0,0.04949,0.03167,0.03838,0.04703,0.03991,0.03791,0.06153
-4.25,0.0354,0.04637,0.05063,0.04164,0.0,0.05184,0.04896,0.04772,0.0,0.0,0.0,0.06205,0.0,0.04609,0.042,0.0,0.03382,0.0,0.03753,0.04513,0.03184,0.03804,0.0,0.0,0.0,0.0,0.0,0.05097,0.0,0.02667,0.02906,0.0,0.0,0.04263,0.04025,0.04312,0.0,0.06401,0.08651,0.04437,0.0,0.07093,0.0703,0.04833,0.06459,0.05934,0.05456,0.0,0.05742,0.03528,0.0,0.03975,0.04137,0.0,0.04177,0.14429,0.04615,0.06493,0.0628,0.2444,0.03763,0.03406,0.03179,0.04488,0.03496,0.02806,0.04777,0.03552,0.04236,0.04113,0.0383,0.0,0.45973,0.05449,0.07448,0.05753,0.03757,0.04131,0.0,0.0,0.05331,0.02763,0.20657,0.05716,0.04653,0.03469,0.08114,0.03449,0.03946,0.03669,0.06574,0.03825,0.05059,0.03923,0.05391,0.04775,0.06663,0.13882,0.04225,0.0,0.0682,0.0441,0.04783,0.03881,0.0384,0.0,0.05792,0.0,0.04364,0.0,0.03371,0.04869,0.03964,0.0,0.0,0.06622,0.05747,0.04537,0.0,0.03941,0.0,0.03557,0.03347,0.33496,0.04354,0.0,0.0,0.0,0.05231,0.19627,0.4212,0.0,0.0,0.0,0.0,0.64188,0.44632,0.08132,0.0,0.0,0.0,0.0,0.13142,0.99169,0.07771,0.07607,0.0813,0.50962,0.09007,0.08178,0.0628,0.0,0.10065,0.50499,0.24453,0.05337,0.3808,0.0,0.0,0.04706,0.04201,0.04399,0.15771,0.04212,0.04371,0.04704,0.06025,0.21077,0.098,0.0,0.0,0.14303,0.10589,0.05304,0.04387,0.04557,0.0482,0.03693,0.04721,0.05588,0.11673,0.55424,0.05965,0.10905,0.06656,0.32867,0.05099,0.0,0.04557,0.04641,0.1234,0.06087,0.03975,0.03512,0.39185,0.2858,0.0,0.05251,0.0,0.08293,0.05999,0.03965,0.04314,0.0487,0.05278,0.04395,0.03897,0.04219,0.03402,0.08673,0.03906,0.03,0.03262,0.0,0.03406,0.03224,0.03552,0.05347,0.0365,0.03846,0.0,0.0,0.0879,0.04802,0.038,0.03832,0.06136,0.0,0.24769,0.46751,0.0847,0.04054,0.03022,0.03573,0.04438,0.03991,0.03633,0.05889
-4.0,0.03374,0.0444,0.05063,0.04164,0.0,0.05184,0.0473,0.04772,0.0,0.0,0.0,0.05624,0.02695,0.04609,0.03511,0.0,0.02791,0.0,0.03753,0.04513,0.03184,0.03804,0.0,0.0,0.0,0.0,0.02588,0.05097,0.0,0.02475,0.02712,0.0,0.0,0.04131,0.04261,0.04169,0.0,0.05837,0.08283,0.04174,0.0,0.06939,0.0703,0.04972,0.06323,0.05801,0.05404,0.03383,0.05228,0.03528,0.0,0.03681,0.03133,0.03901,0.03847,0.14061,0.04488,0.06082,0.06112,0.23779,0.03807,0.03104,0.03179,0.04432,0.03387,0.02695,0.04777,0.03389,0.03807,0.03949,0.03721,0.64011,0.43843,0.05338,0.07352,0.05447,0.03693,0.03246,0.0,0.0,0.0513,0.02691,0.19224,0.05716,0.04575,0.03098,0.07341,0.03325,0.03946,0.03347,0.06574,0.0368,0.05059,0.03908,0.04684,0.04775,0.06658,0.13618,0.03738,0.0,0.06684,0.04047,0.04258,0.03746,0.0343,0.0,0.05792,0.0,0.04031,0.0,0.03063,0.04869,0.0385,0.0,0.0,0.06622,0.05265,0.03575,0.0,0.03793,0.0,0.03099,0.02958,0.26752,0.04007,0.0,0.0,0.0,0.04967,0.18427,0.392,0.0,0.0,0.0,0.0,0.59471,0.44632,0.08306,0.0,0.0,0.1148,0.0,0.1222,0.99169,0.07356,0.07607,0.07221,0.48646,0.08206,0.07739,0.05932,0.0,0.09499,0.46367,0.23729,0.05053,0.35435,0.0,0.13397,0.04402,0.03912,0.03869,0.15195,0.03941,0.04371,0.04823,0.06121,0.20015,0.09533,0.14827,0.0,0.12997,0.10481,0.05037,0.04151,0.03592,0.04758,0.03552,0.04827,0.05658,0.11673,0.52278,0.05916,0.1042,0.06512,0.32229,0.04717,0.0,0.04402,0.04063,0.11592,0.05654,0.03928,0.03389,0.36994,0.26567,0.0,0.04835,0.33976,0.08306,0.05999,0.03955,0.0384,0.04672,0.05068,0.04318,0.0404,0.04115,0.03177,0.08673,0.03855,0.03069,0.03262,0.03027,0.03292,0.03224,0.03118,0.04751,0.0365,0.03559,0.03238,0.02986,0.12535,0.04556,0.03523,0.03544,0.05909,0.0,0.23678,0.45897,0.08216,0.03675,0.02958,0.0326,0.04363,0.03691,0.03342,0.05565
-3.75,0.03339,0.04136,0.04627,0.04164,0.0,0.05184,0.0443,0.04772,0.02564,0.0,0.02895,0.0526,0.02605,0.02906,0.03111,0.0,0.02705,0.0,0.03337,0.04004,0.03184,0.03804,0.0,0.0,0.0,0.0,0.02573,0.04043,0.02833,0.02347,0.02622,0.03381,0.0,0.04002,0.03913,0.04214,0.0,0.05546,0.07533,0.03777,0.0,0.06659,0.0703,0.04655,0.06099,0.05801,0.05183,0.03383,0.05004,0.0297,0.0,0.03438,0.03008,0.03676,0.03847,0.13402,0.04488,0.06034,0.05742,0.22871,0.03721,0.03056,0.03179,0.04432,0.03342,0.02616,0.04777,0.03345,0.03647,0.03769,0.03542,0.60133,0.40667,0.05118,0.05035,0.05055,0.0328,0.032,0.0,0.0,0.04944,0.0272,0.17882,0.05445,0.04223,0.0281,0.07341,0.03125,0.03528,0.03143,0.05939,0.0368,0.05102,0.0354,0.04684,0.04231,0.06533,0.12415,0.03494,0.0,0.06521,0.03764,0.04065,0.03746,0.02973,0.0,0.04755,0.0,0.04014,0.0,0.02898,0.04869,0.03599,0.0,0.12151,0.06152,0.05008,0.03511,0.0,0.03689,0.03665,0.03047,0.02708,0.26115,0.03975,0.0,0.0,0.0,0.04632,0.17875,0.37179,0.0,0.0,0.0,0.0,0.56589,0.37986,0.08151,0.27995,0.0,0.11034,0.0,0.1222,0.99169,0.06433,0.05991,0.06767,0.45314,0.07984,0.07087,0.05594,0.0451,0.09181,0.44375,0.2142,0.04837,0.33251,0.0,0.13397,0.04294,0.0374,0.03693,0.1445,0.03741,0.04189,0.04441,0.05348,0.18258,0.08745,0.14372,0.0,0.11899,0.09654,0.04733,0.03934,0.03379,0.04476,0.03555,0.04432,0.05262,0.10314,0.49931,0.05143,0.09166,0.06261,0.28969,0.04518,0.03514,0.03854,0.04004,0.11479,0.05654,0.03833,0.03461,0.34299,0.25945,0.0,0.05096,0.3328,0.07868,0.05052,0.03798,0.03662,0.04672,0.05068,0.03532,0.03598,0.04115,0.031,0.07593,0.03779,0.02858,0.03041,0.02993,0.03292,0.03042,0.0291,0.04422,0.03481,0.03521,0.03049,0.02949,0.12535,0.04132,0.03523,0.03472,0.05783,0.18929,0.22022,0.4238,0.07806,0.03519,0.02902,0.03269,0.04363,0.03532,0.03257,0.05151
-3.5,0.03249,0.03473,0.04372,0.03478,0.0,0.04532,0.04146,0.0442,0.02546,0.04902,0.02895,0.052,0.02574,0.02958,0.03075,0.03264,0.02601,0.02469,0.03129,0.03782,0.02644,0.0351,0.0,0.0,0.03632,0.0,0.02573,0.036,0.03033,0.02222,0.02489,0.03119,0.0,0.03788,0.03461,0.04174,0.0,0.05067,0.06228,0.03644,0.0,0.06607,0.0627,0.04489,0.05158,0.05321,0.04924,0.03665,0.04776,0.02824,0.0,0.03384,0.028,0.03504,0.03314,0.12997,0.04284,0.05437,0.05726,0.20107,0.03656,0.02919,0.0289,0.04224,0.03214,0.026,0.03784,0.03176,0.03478,0.03417,0.03433,0.56216,0.36921,0.05061,0.0489,0.04682,0.03193,0.03116,0.02598,0.02602,0.04541,0.0256,0.16508,0.05015,0.03702,0.02718,0.06317,0.03089,0.03386,0.03009,0.05939,0.03365,0.04154,0.0354,0.04684,0.04119,0.06461,0.11916,0.03337,0.10407,0.05993,0.03664,0.03573,0.03724,0.02791,0.0,0.04755,0.0,0.03669,0.0,0.02924,0.04131,0.03462,0.03334,0.11961,0.05895,0.05008,0.03469,0.0,0.03556,0.03247,0.02924,0.02581,0.26115,0.03708,0.0,0.0,0.0,0.04409,0.17875,0.34481,0.0,0.0,0.0,0.0,0.52853,0.35877,0.07196,0.26385,0.0,0.11034,0.24848,0.1222,0.99169,0.05943,0.05481,0.06321,0.42067,0.07571,0.06775,0.05521,0.04414,0.08973,0.41515,0.20239,0.04641,0.30555,0.0,0.11455,0.03979,0.03549,0.03437,0.1445,0.03445,0.0401,0.04341,0.04994,0.16953,0.0826,0.13576,0.18175,0.11392,0.09258,0.04406,0.03859,0.03042,0.04152,0.03355,0.0428,0.0524,0.09813,0.46842,0.04981,0.08893,0.05827,0.28931,0.04334,0.03514,0.03854,0.04004,0.10244,0.05151,0.03774,0.03324,0.32537,0.2365,0.0,0.04698,0.3328,0.07468,0.04582,0.03524,0.03725,0.04567,0.04855,0.03117,0.0342,0.03814,0.03169,0.07362,0.0339,0.02716,0.02784,0.02767,0.02982,0.02886,0.02883,0.04103,0.0318,0.03634,0.02974,0.03082,0.10821,0.03917,0.03423,0.03736,0.05263,0.18041,0.20744,0.42987,0.07768,0.03062,0.02842,0.03269,0.04225,0.03206,0.03144,0.04869
-3.25,0.03098,0.03296,0.04168,0.03296,0.0,0.03314,0.03978,0.03711,0.0247,0.04063,0.0268,0.04911,0.02256,0.02876,0.0285,0.03264,0.02565,0.02684,0.03544,0.03542,0.02599,0.03341,0.0,0.0,0.03632,0.04079,0.02563,0.0324,0.02885,0.02101,0.02357,0.02837,0.0,0.03611,0.03384,0.0365,0.0,0.04825,0.0559,0.03495,0.20481,0.06053,0.05263,0.04305,0.04943,0.05013,0.04673,0.03373,0.04304,0.02638,0.0,0.03328,0.02683,0.03006,0.03122,0.11489,0.04109,0.05123,0.0554,0.18939,0.0339,0.02805,0.02601,0.03813,0.03137,0.026,0.03279,0.0305,0.03211,0.0333,0.03235,0.52553,0.35239,0.04656,0.0431,0.04663,0.02995,0.0298,0.0245,0.02542,0.04199,0.02426,0.15853,0.04573,0.03485,0.02613,0.06278,0.02879,0.03396,0.02812,0.05102,0.03226,0.04023,0.0354,0.03813,0.04024,0.05573,0.11319,0.03219,0.10035,0.05517,0.03609,0.03539,0.0341,0.02779,0.02606,0.04755,0.0,0.03236,0.0349,0.02924,0.03568,0.03228,0.03148,0.11174,0.05416,0.04178,0.02981,0.0,0.03326,0.03097,0.02813,0.02445,0.17073,0.03309,0.04615,0.0,0.5382,0.04221,0.16702,0.32534,0.0,0.4766,0.50418,0.0,0.49291,0.34706,0.06645,0.25321,0.78382,0.11703,0.23101,0.10065,0.74128,0.05647,0.05025,0.06041,0.39278,0.07131,0.06431,0.05175,0.04121,0.08495,0.38766,0.18395,0.04416,0.29051,0.0,0.10612,0.03774,0.0337,0.0327,0.14733,0.03334,0.03559,0.03895,0.04596,0.1601,0.07411,0.12575,0.17156,0.1041,0.08691,0.04186,0.0352,0.02863,0.03844,0.03245,0.04151,0.05083,0.08918,0.42232,0.0469,0.08221,0.0544,0.28931,0.04007,0.0328,0.03462,0.04004,0.09533,0.05026,0.03371,0.02956,0.29768,0.22111,0.29433,0.04427,0.29103,0.06836,0.04331,0.03278,0.03475,0.0399,0.04055,0.0292,0.03181,0.03596,0.03105,0.0643,0.03112,0.02517,0.02604,0.02766,0.0272,0.02569,0.03319,0.04209,0.02959,0.03435,0.02711,0.02818,0.09043,0.03659,0.02982,0.03437,0.05055,0.16844,0.19952,0.36112,0.07423,0.02877,0.02702,0.03212,0.03629,0.02921,0.02911,0.04738
-3.0,0.02872,0.03209,0.03809,0.0301,0.03192,0.03038,0.03837,0.03681,0.02334,0.03728,0.0265,0.04555,0.02128,0.02573,0.02709,0.02903,0.02565,0.0259,0.03374,0.03288,0.02575,0.0305,0.03024,0.03152,0.03632,0.03105,0.02422,0.03234,0.02863,0.02075,0.02225,0.02488,0.0,0.03447,0.03178,0.03348,0.0,0.04477,0.04785,0.03385,0.19613,0.05549,0.05121,0.03962,0.0466,0.04633,0.04294,0.03139,0.03912,0.02486,0.02818,0.02861,0.02572,0.02936,0.03104,0.1072,0.0339,0.04754,0.05344,0.17901,0.0301,0.02604,0.02606,0.0353,0.02998,0.02389,0.03082,0.02875,0.02983,0.03024,0.03131,0.4859,0.32248,0.04157,0.03602,0.04141,0.02825,0.02642,0.02355,0.02825,0.04199,0.02404,0.1458,0.0423,0.03348,0.02459,0.06278,0.02813,0.03038,0.02674,0.05047,0.02809,0.03836,0.02874,0.03813,0.03743,0.04828,0.10747,0.03099,0.09216,0.05072,0.03432,0.03382,0.03201,0.02652,0.02479,0.03962,0.07265,0.03156,0.03191,0.02711,0.03233,0.03072,0.0304,0.0984,0.05207,0.03945,0.02649,0.25401,0.02947,0.02884,0.02565,0.02387,0.15682,0.03269,0.04495,0.38446,0.50814,0.03948,0.14219,0.29785,0.0,0.45318,0.4563,0.2622,0.46398,0.317,0.06355,0.23937,0.75254,0.1077,0.21303,0.09446,0.68986,0.05239,0.04577,0.05328,0.3795,0.06226,0.06091,0.04679,0.03981,0.08056,0.35258,0.17255,0.04021,0.26634,0.38305,0.09994,0.03598,0.03042,0.03215,0.14733,0.03141,0.03398,0.03628,0.04381,0.14446,0.06805,0.11871,0.15758,0.10306,0.07609,0.04083,0.0348,0.02751,0.0353,0.03057,0.04019,0.04535,0.08918,0.38995,0.04405,0.07838,0.0505,0.23711,0.03705,0.03315,0.0322,0.03372,0.09533,0.04823,0.03153,0.02823,0.29624,0.20464,0.27186,0.04144,0.26062,0.06393,0.0393,0.03126,0.03314,0.0399,0.03902,0.02703,0.0307,0.03527,0.02765,0.06122,0.02921,0.02295,0.0235,0.02608,0.02556,0.02353,0.03304,0.03805,0.02888,0.02989,0.0273,0.02781,0.09006,0.0335,0.029,0.03235,0.04876,0.16234,0.18068,0.32642,0.06507,0.02785,0.02626,0.02991,0.03592,0.02837,0.02772,0.04365
-2.75,0.02699,0.029,0.03449,0.02879,0.02975,0.02675,0.03603,0.03681,0.02164,0.03326,0.0233,0.03929,0.02059,0.02377,0.02582,0.02815,0.02186,0.02456,0.03121,0.03241,0.02415,0.02974,0.02754,0.02596,0.03149,0.03105,0.02384,0.02756,0.02571,0.01855,0.02179,0.02374,0.0,0.0323,0.02762,0.03189,0.33916,0.04046,0.04345,0.02912,0.17244,0.04875,0.04789,0.03616,0.04413,0.04107,0.04236,0.02973,0.0362,0.02443,0.0259,0.02578,0.02419,0.02732,0.02912,0.10151,0.03171,0.04568,0.04758,0.16067,0.0294,0.02502,0.02399,0.0294,0.02888,0.02238,0.02888,0.02714,0.02766,0.02833,0.02878,0.4489,0.28984,0.03821,0.03124,0.03618,0.02728,0.02463,0.02432,0.025,0.03518,0.02298,0.13496,0.03935,0.03236,0.02277,0.0461,0.02627,0.02737,0.02529,0.04581,0.02769,0.03563,0.02605,0.03491,0.03639,0.04052,0.09679,0.02858,0.08918,0.04768,0.03225,0.03216,0.03017,0.02377,0.02274,0.03962,0.07265,0.02777,0.02988,0.02571,0.02943,0.0294,0.02826,0.09334,0.04777,0.03708,0.02528,0.23928,0.02641,0.02713,0.02367,0.02267,0.14832,0.02863,0.04127,0.35257,0.47863,0.03667,0.13548,0.28317,1.83506,0.41114,0.43759,0.24573,0.41728,0.28288,0.05757,0.22639,0.70246,0.09386,0.19303,0.08981,0.6307,0.04815,0.04112,0.05226,0.35295,0.05591,0.05758,0.04093,0.03769,0.0768,0.32821,0.16891,0.03805,0.24344,0.34158,0.09654,0.03326,0.02774,0.02998,0.14733,0.02994,0.03052,0.03436,0.04197,0.13584,0.06409,0.10572,0.14694,0.0913,0.07307,0.03526,0.03401,0.02516,0.03218,0.02759,0.03824,0.04231,0.07916,0.36341,0.04146,0.07252,0.04627,0.21911,0.03528,0.03,0.02876,0.02978,0.0851,0.04433,0.02902,0.02693,0.26241,0.18321,0.24945,0.03611,0.23422,0.05733,0.03666,0.0287,0.03182,0.03334,0.03711,0.025,0.02665,0.02876,0.02551,0.06952,0.02762,0.02217,0.02274,0.02495,0.02441,0.0226,0.03153,0.03484,0.02611,0.02666,0.02517,0.02501,0.07303,0.03153,0.02598,0.02905,0.04611,0.14804,0.16728,0.30728,0.06164,0.02612,0.02473,0.02631,0.03176,0.02694,0.02483,0.03941
