,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,6.59774,0.10435,0.76722,1.64495,0.19357,0.0,2.4427,1.03045,0.0,0.48586,0.0,1.41387,0.0,0.10061,0.0,0.0,0.05093,0.0,0.0,3.69062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04869,0.0,0.0,0.90204,0.0,5.40852,0.0,1.9556,0.63026,0.0,0.649,3.68349,0.43287,2.42903,1.47662,1.51109,1.92538,1.26624,0.19213,2.18146,0.0,1.29179,0.15121,0.0,0.36215,1.54145,0.0,0.0,7.91698,1.5219,0.11062,0.0,10.84574,0.0,0.0,0.0,2.73462,13.16217,0.0,0.0,0.20422,0.0,0.81244,3.26237,20.53109,1.24765,0.46288,1.14399,0.72893,2.82683,0.24937,0.0,0.0,1.18873,0.28565,0.27691,0.0,7.84058,16.35433,1.22686,15.0154,0.0,0.0,0.8654,0.92186,0.42412,1.79195,0.76821,0.36173,1.82137,0.36975,0.0,1.02169,0.68114,0.0,0.0,1.37888,3.7342,0.0,2.5258,0.0,2.30754,0.0,0.0,0.0,6.91081,0.0,1.71675,6.43009,0.0,3.35466,2.13731,18.32491,0.0,0.0,3.66599,0.68109,0.8877,0.0,0.0,0.0,0.0,6.62385,0.57439,0.0,0.0,0.0,1.51073,8.83274,3.76443,0.1817,0.63284,0.0,1.30561,1.03012,0.96969,18.42676,0.80104,0.40879,0.68585,14.92556,0.34386,0.7164,0.57293,4.35969,0.29746,1.62929,1.44991,3.84393,3.20335,1.06327,1.98889,0.0,0.0,2.48361,0.32247,0.0,0.88414,0.88517,0.43491,1.85071,0.86443,0.99443,0.0,1.08418,1.09494,0.0,0.0,0.62655,4.27872,0.0,3.47198,0.0,4.14366,2.69135,0.51729,0.58731,0.50062,1.90458,0.72157,1.04414,1.38999,0.0,2.35668,1.0288,5.75592,0.0,19.68872,1.13772,6.08757,0.62241,4.02944,0.94967,1.10186,0.0,1.34741,1.98902,3.59565,0.0,0.54437,3.74164,0.23708,2.86653,0.4798,0.0,0.10385,0.17033,2.16999,1.35274,1.19057,4.97761,0.0,0.0,0.0,0.0,0.80518,0.0,2.61184,0.0,1.86692,1.48483,1.357,0.0,0.96986,0.0,0.21625,1.57771,4.13142,5.6663,8.49332,0.36072
-4.75,6.7558,11.25098,0.76722,1.45577,0.19357,0.0,2.4427,1.03045,0.0,0.48592,0.0,1.3769,0.0,0.10061,0.0,0.0,0.05093,0.0,0.0,3.69062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04869,0.0,0.0,1.32666,0.0,5.4086,0.0,1.9556,0.63026,0.0,1.25276,3.68351,0.43287,3.64773,1.47662,1.55746,1.92538,1.52163,0.19213,2.18153,0.0,1.29846,0.15121,0.0,0.3504,2.945,0.0,0.16861,8.57548,1.5219,0.11062,0.0,12.57432,5.43371,0.0,0.0,2.73462,13.16217,0.0,0.0,0.20422,0.0,0.81245,3.26237,20.83074,1.21485,0.51699,1.69911,0.72893,2.15872,0.26331,0.0,0.0,1.21987,0.28038,0.72221,0.37314,7.84058,16.35433,1.22686,15.0154,0.0,0.0,0.8654,0.94672,0.3223,1.79195,0.76821,0.35922,1.82137,0.36975,0.0,1.19636,0.60923,0.0,0.0,1.37888,3.7342,0.0,1.29213,0.0,2.30754,0.0,0.0,0.0,5.50128,0.62468,1.73345,3.55472,0.0,3.35466,2.30776,18.12443,0.0,0.0,3.66599,0.68109,1.61753,0.0,10.03928,14.46232,1.20206,6.62395,0.41626,0.0,0.0,0.0,1.6093,8.83278,3.76443,0.26481,0.58633,0.0,1.47012,1.03533,0.93777,18.42676,0.80104,0.40879,0.73404,16.3774,0.28656,0.7164,0.57293,2.26924,0.59235,1.88358,1.25204,3.84393,3.20335,0.99508,1.98896,0.0,0.0,2.02834,0.29124,0.0,0.88743,0.88151,0.43491,1.62413,0.92642,0.78207,0.0,1.16162,0.72998,0.0,0.21447,0.62655,4.27872,0.0,3.47198,0.0,4.14366,2.69135,0.51729,0.61887,0.25032,1.90458,0.75201,1.04414,1.40151,1.92043,2.46043,1.17581,5.90335,0.0,10.58422,1.0768,4.95324,0.62241,4.2918,1.55451,1.05475,0.0,1.34741,1.98902,3.59566,5.53423,0.54437,3.74164,1.07193,2.86653,0.51367,8.19523,0.10385,0.11163,2.16999,1.51771,1.19057,2.66542,0.0,0.0,0.0,0.0,0.80518,0.0,2.61184,0.0,1.86692,1.05617,1.35812,0.0,0.99056,0.0,0.21625,1.57772,4.14187,5.71726,14.06649,0.36072
-4.5,4.64955,11.25098,0.7209,1.45577,0.27666,0.0,2.4427,1.03045,0.0,4.67317,0.0,1.7224,0.0,0.10061,3.59138,0.0,0.77925,0.0,0.0,3.72402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.04869,0.02744,0.0,1.32666,0.0,5.4086,12.26915,2.34007,0.37031,4.7179,1.15815,3.68853,0.35668,2.43187,1.53019,1.55747,1.42382,1.52163,0.19213,2.18153,0.0,4.31793,0.15121,0.0,1.15357,2.945,0.0,0.16861,8.5755,1.55805,0.11062,0.0,12.57432,5.43371,0.02737,0.0,2.73462,13.16217,0.0,0.0,0.77893,0.0,0.81245,1.72341,21.71981,0.96984,0.51699,1.79834,0.72893,9.86927,0.26331,0.0,0.0,0.94216,0.28038,0.5634,0.37315,7.84058,16.35433,1.23703,14.24825,0.49746,0.0,0.8654,0.98919,0.3223,1.79195,0.76821,0.38916,1.82137,0.41504,0.0,1.19636,0.6603,0.0,0.68888,1.37888,2.05682,0.0,1.29213,1.60115,2.30755,0.0,0.0,0.0,5.55333,0.62468,2.07117,3.78007,0.0,3.35466,2.45042,18.12443,3.34972,0.0,3.66599,0.68109,1.63937,0.0,10.0393,14.9279,2.75457,6.67153,0.47684,0.0,0.0,0.0,1.72376,8.83282,1.79317,0.32103,0.59915,0.0,1.69589,0.8487,0.96182,18.42676,0.90501,0.5466,0.74733,16.67214,0.74543,0.75463,0.57293,2.26925,0.59235,1.79903,1.29493,3.84394,3.20335,1.17651,2.0101,0.0,1.37589,2.02834,0.3215,0.0,0.88743,0.78942,0.56125,1.54685,0.74626,0.796,0.0,1.06371,0.84331,0.0,0.24611,0.62655,4.27872,1.27433,3.47198,0.12126,4.14366,3.23366,0.51729,0.62567,0.56089,1.93654,0.75201,1.04414,1.40151,1.92043,2.46043,1.17581,5.90335,0.0,10.58451,1.10547,3.6533,0.63976,5.20512,1.49261,1.05475,0.0,1.34741,1.98902,3.59566,5.53424,0.54437,7.12307,1.07193,2.86653,0.84027,8.27888,0.15345,0.1279,2.16999,1.51772,1.19057,2.66542,0.0,0.23531,0.0,0.0,0.80518,1.27117,2.61184,0.0,1.86692,1.05617,2.32154,6.87661,1.00105,0.0,1.89685,1.57772,4.14187,6.97928,14.06649,0.32802
-4.25,4.6513,11.25098,0.7644,1.50014,0.27666,0.0,2.4427,1.03045,0.0,4.67317,0.0,1.7224,0.0,0.10062,3.59139,0.0,0.77925,0.0,7.27552,3.72403,0.0,0.56707,0.41782,0.0,0.0,0.0,0.19114,34.04869,0.02744,3.08813,1.03646,0.0,5.82502,12.3211,2.34007,0.37031,5.33705,1.21394,2.67373,0.35668,2.47047,1.46754,1.72979,1.2503,1.52163,0.19213,2.18153,0.0,4.03059,5.90822,0.0,0.86945,5.29987,0.0,2.02268,6.85185,1.38307,0.11062,0.0,7.16972,2.27445,0.02737,0.0,2.80164,13.16217,0.0,0.0,0.77894,0.0,1.83398,2.32216,22.22701,0.89752,1.30022,1.51225,0.60566,8.06178,0.91723,26.92203,0.0,0.94216,1.85871,0.60883,0.37315,7.84058,16.35433,1.23704,14.24825,0.49746,5.95017,0.8654,0.86702,0.3223,1.04508,0.64658,0.36636,1.44034,0.36385,0.0,1.22836,0.64452,12.40483,1.0424,1.37888,1.93329,1.46187,1.29213,1.60115,2.30755,0.0,0.0,0.0,5.27136,0.62468,1.89597,3.78008,0.0,3.35466,1.73135,18.12443,5.01573,0.0,6.38249,0.68109,1.99861,1.47039,10.03962,9.61617,2.75458,6.86535,0.54718,0.0,0.0,0.0,1.61541,8.83284,1.68633,0.30518,0.65908,0.0,1.55459,0.94019,0.98317,19.94389,0.79738,0.48016,0.74733,20.41128,0.84474,0.75463,0.49975,2.27964,0.80503,1.97483,1.26944,2.99459,3.06452,1.74909,1.23854,0.0,1.37589,2.07687,0.32342,1.44621,0.75724,0.81165,0.61732,1.39982,0.78944,0.73744,11.65139,0.9917,0.92703,0.19699,0.24611,0.62655,2.22769,1.27433,1.40858,0.22079,2.90284,2.15582,1.60341,0.95577,1.47113,1.93654,0.60969,2.42563,1.40151,1.92043,2.60156,1.63394,3.50529,0.0,11.31061,1.23157,3.77443,0.87739,5.73334,1.35284,1.03333,0.36721,7.58243,1.98902,2.67161,5.53424,0.9982,7.12307,1.07193,2.90834,0.79107,8.27888,0.15345,0.73536,2.16999,1.51772,1.19057,1.86495,0.0,0.17279,0.0,0.0,0.80518,0.99396,2.84282,0.0,1.86692,1.69295,2.32154,7.29226,1.00105,1.30291,2.02677,0.92177,4.16893,9.86756,12.69357,1.6954
-4.0,3.6643,11.30393,0.71354,2.77074,0.27666,1.65331,1.41604,1.03045,0.0,4.67318,0.0,4.01978,0.0,0.10062,2.14738,4.84029,0.8569,0.0,8.1869,2.98773,0.0,0.31181,0.41782,0.0,0.0,0.0,0.19114,34.04869,0.02745,3.08813,3.34089,2.95648,6.11373,6.35643,2.76501,0.37031,5.35288,1.36608,2.27792,0.35971,2.14582,1.61915,1.83521,1.29395,1.52163,0.19213,1.25864,0.0,3.2911,5.90822,0.0,1.67962,5.32073,0.0,2.12605,6.85191,1.43491,0.11062,2.39514,7.22178,2.00335,10.01676,0.0,2.80164,7.70387,0.0,0.0,0.82095,1.24454,2.07139,2.60635,23.15726,1.02084,1.37425,1.51225,0.57063,8.54843,0.79699,26.93271,1.42829,0.99444,1.86779,0.54202,0.37315,4.02164,8.40006,1.185,9.84162,0.49746,4.03616,0.8654,0.74592,1.64308,1.05041,0.72067,0.57621,1.44034,0.44937,2.19047,1.34439,0.70969,7.76413,0.91632,1.37888,2.00134,1.46187,1.29213,1.60115,1.61808,0.0,0.0,0.0,5.27136,0.73548,1.80289,2.6019,0.0,1.83553,1.3846,15.37237,6.50349,1.67887,4.78917,0.87111,2.11285,6.35622,10.63879,12.60566,2.7546,6.97004,0.65839,0.81328,0.0,0.0,1.50632,8.83291,1.68633,0.38936,0.62005,0.0,1.37588,1.08526,1.1389,20.5405,0.68219,0.52582,0.86648,20.41133,0.79283,0.75463,0.48719,1.63048,2.27137,1.66241,1.00542,2.52016,3.35,1.75954,0.65355,0.66276,1.37589,2.38625,0.30476,1.54394,0.75858,0.95083,1.65571,1.29439,0.68839,0.70982,11.65139,0.96974,0.81389,1.91966,0.24611,0.94577,2.23806,0.89785,1.41552,0.22079,3.06099,1.61693,1.60341,0.80426,1.47113,1.9576,0.73608,1.96888,0.78862,1.30303,1.73967,1.87053,2.54077,2.48654,11.3257,1.19289,3.29302,0.88439,6.00476,1.19459,1.03333,0.36721,7.58243,1.98902,2.67161,5.53424,0.74031,4.91664,1.16989,1.96289,1.34288,8.27888,0.15345,0.82985,1.64013,1.51772,1.19058,1.86495,0.0,2.75509,0.0,1.89242,0.80518,0.78203,2.22616,0.0,1.86692,1.54167,2.32155,7.36276,1.40764,1.53132,2.87217,0.92178,3.12064,6.99198,12.75777,1.31965
-3.75,3.56175,7.99197,1.70769,2.77074,0.19592,1.65331,3.7246,0.53707,0.0,4.6901,2.13259,3.6206,3.40867,1.51527,1.80017,4.8403,0.8569,23.37048,8.2358,2.98773,11.11091,0.97441,0.41782,36.94632,0.0,0.0,0.19114,34.04869,0.02745,2.46347,3.34089,2.95648,6.46879,5.60615,2.42238,0.33009,5.69377,1.41892,2.29105,0.36666,1.92497,1.4489,2.82613,1.30452,1.62791,3.5834,0.96722,16.48405,2.56009,3.37081,0.0,1.94091,6.60865,0.0,2.24677,5.84615,1.29949,0.11062,1.8252,7.40189,5.75729,10.01676,6.17286,2.52913,5.24574,4.73204,0.0,0.57943,6.85885,5.12489,2.63652,24.94826,0.85488,1.50446,7.71063,0.57063,6.95891,1.609,26.93271,1.42829,0.90866,1.94846,0.91468,1.95888,4.05264,8.45923,1.72761,9.88261,0.57697,4.12481,1.44554,0.74592,1.76934,0.75687,0.95547,1.34244,2.7982,0.62552,2.19047,1.03756,1.08056,7.76709,0.91632,1.54098,2.49503,1.03348,0.92035,1.60115,3.9709,0.0,2.49888,10.32941,5.28916,0.73548,1.60518,2.95805,0.0,1.83553,1.26561,13.2307,4.92149,3.27709,5.2614,1.43437,2.12104,6.35622,11.62715,13.36713,1.54807,3.61824,0.63603,1.74922,17.55703,0.0,1.70918,8.83292,1.35932,0.3511,0.58544,19.68021,1.4112,1.12022,1.30018,21.43632,0.84313,0.62217,5.14481,13.43983,0.81301,0.71985,0.84798,1.64791,1.89419,1.66149,1.12929,1.67372,3.35004,1.53845,0.82692,0.57181,1.27086,5.13681,0.30527,2.23255,1.04017,1.34531,1.39712,1.15737,2.67157,0.92038,6.41993,0.90628,0.87537,1.96565,2.38207,0.71641,1.64325,0.8671,1.72205,2.05384,3.06099,3.99963,1.94017,1.16005,1.47113,1.57806,1.41152,1.81326,0.66633,1.14884,1.5909,2.39252,2.12172,2.74026,12.566,1.25764,3.01774,1.2309,6.00477,1.05555,1.04126,1.82973,6.10283,1.98903,2.59111,5.53424,0.74031,6.54925,1.22491,1.33686,1.15774,9.8086,0.15346,0.74206,1.64013,1.51772,1.24799,1.87194,2.30878,2.75743,10.13536,1.89242,0.70961,0.78203,2.23935,2.39966,1.45939,1.56667,2.0098,8.99955,1.42524,0.85872,4.66892,0.92178,3.12064,6.3189,12.75777,1.40311
-3.5,3.55248,3.8367,1.33965,8.28708,0.19592,1.85473,4.43844,0.53707,0.0,4.75241,2.13259,3.68678,3.40867,3.99057,1.62213,2.87054,3.60475,23.37048,8.2358,2.69791,39.05692,2.81468,4.3724,36.94632,57.31526,0.0,0.19114,34.04869,2.14029,1.89455,3.47161,13.2419,5.55903,3.68266,3.12504,0.36229,5.93357,1.79876,2.34036,0.45329,2.15246,1.59172,2.2919,1.37842,1.16947,8.48036,0.87765,10.00011,2.53973,3.32569,0.60503,3.09672,6.60865,0.0,2.40068,4.06762,1.33635,0.05533,1.88856,7.71393,5.57892,9.18026,6.17286,3.0771,5.7811,3.36891,1.03113,4.07533,6.85885,5.19638,2.06511,26.51354,0.96511,7.045,7.71063,0.61021,5.20391,1.44742,26.97694,5.5535,0.98061,2.312,0.87779,3.02916,5.18838,5.8954,1.68827,9.88261,1.0544,5.27271,1.30387,0.78731,3.35523,0.86693,1.23798,1.5219,2.42389,0.56757,2.14689,0.92655,1.03649,5.91095,0.91633,1.68158,2.01811,1.03348,0.92035,1.60115,4.0133,0.0,1.99825,10.32941,4.40061,0.81108,1.57881,3.7877,0.0,1.83553,1.40446,12.03126,3.30625,3.03272,4.93784,1.52112,1.76884,2.14658,11.31188,13.76798,1.01166,3.74786,0.69459,1.50619,24.91772,11.85324,1.57172,8.96259,1.47758,0.49177,0.67339,19.68051,1.12847,1.02277,1.34345,21.80252,1.08675,0.59276,4.41176,13.43987,0.83083,0.87228,1.10503,3.65296,2.45712,1.55267,1.13496,1.76468,2.77136,1.63078,0.86173,1.00643,1.7199,4.68504,0.31579,4.07732,1.36663,1.30719,1.25593,1.21456,2.11585,0.93617,6.93045,1.07394,0.87841,2.04611,2.29542,0.60246,2.41959,1.47984,1.72588,1.92671,2.28245,4.83437,1.4886,1.28721,1.06396,1.57806,1.37506,1.35934,0.66991,1.83888,1.87934,2.48307,2.12172,6.26253,12.90609,1.26811,2.66141,1.21264,6.00478,0.99745,1.14952,2.69839,6.10283,1.98903,2.62794,5.54495,4.14616,5.45985,0.80756,1.33686,1.04377,6.88745,28.69907,1.74854,2.53854,1.35373,1.248,1.87194,4.73048,3.39916,4.5706,1.89243,0.6756,3.92358,3.51493,2.08247,1.52612,1.6307,1.36031,9.66777,2.01331,0.87322,4.43724,0.92178,2.70977,6.34754,13.36586,1.49597
-3.25,4.05493,3.44722,1.27588,7.87041,0.90835,2.60059,4.73565,1.69992,0.0,4.21597,1.42605,4.05401,2.9886,3.6353,1.36463,2.98815,3.64839,59.91858,8.61636,3.38741,39.05692,3.13135,5.32385,20.03,32.91354,0.0,0.26299,34.04869,1.50848,7.76504,2.8015,13.2419,5.55905,3.69432,2.51918,0.39616,6.05266,1.78113,2.83927,1.89186,2.32507,1.56085,2.29193,1.28165,1.09554,9.10855,0.90243,6.74306,2.73152,4.0763,6.85819,2.70324,8.37871,0.0,2.61583,3.43053,1.22091,4.68911,2.16682,7.71393,5.74711,5.66458,3.70809,5.32784,6.03853,3.36892,1.03114,3.29527,4.62526,4.17963,1.92263,26.68757,0.85785,5.13587,7.741,0.58445,6.04288,1.58493,15.78184,5.57523,0.84198,2.38643,0.87627,2.69237,3.7775,5.69179,1.69313,9.66986,1.4603,4.51289,1.30387,1.60551,3.08683,1.23422,2.50925,1.45187,2.28588,0.66863,2.38923,0.87004,0.97631,5.07437,2.97837,1.92893,2.03365,5.88955,1.21574,0.80586,3.99939,5.67438,1.66689,8.8595,4.21246,0.81108,1.41757,6.18639,0.0,1.58861,1.57062,10.42488,3.88383,3.05471,4.84958,1.60589,3.69512,1.92383,11.32597,13.79712,0.94976,3.76696,0.72904,1.5479,25.19711,11.85328,1.33493,6.40885,1.18103,0.81281,0.69698,19.68081,1.26088,0.93139,1.1407,27.01937,1.03768,0.75098,3.44773,13.43991,0.83688,1.46196,1.32099,3.06936,2.29713,1.38813,1.15415,1.58608,2.13675,1.41262,0.92897,1.07238,1.51492,4.14879,0.36011,4.88848,1.30699,1.1524,1.43573,1.09756,1.43547,1.11744,6.93722,0.98035,0.89503,1.6873,2.11788,1.77248,2.2934,2.28742,2.17774,1.47203,1.10418,5.4814,1.28134,1.33125,3.91862,1.72419,1.32093,1.47485,0.67187,2.13893,1.82773,2.84342,1.9948,5.65295,14.72489,1.2829,2.66112,0.95864,6.83047,1.5285,1.4969,2.16086,6.10286,6.76869,3.36898,4.59345,4.14616,3.60845,0.76019,3.02082,1.06739,3.7809,28.69907,1.86862,2.01776,1.26455,6.9733,1.49209,6.86728,2.69276,4.5706,2.25264,0.6756,4.9342,3.08596,2.63437,3.80019,1.62122,1.43206,9.75402,1.56805,1.63923,3.90857,1.24132,2.18565,5.98663,13.03407,2.91206
-3.0,3.32273,3.2736,1.10409,6.68278,0.78939,2.89056,4.42081,7.92769,0.00522,2.9457,1.36372,3.76311,5.61396,3.5079,1.22724,6.12809,4.18299,59.95204,8.61636,3.2725,23.21094,4.25619,4.18652,23.57807,32.91354,0.0,1.64562,34.04869,3.08435,6.7608,3.41224,9.8209,6.1158,5.44678,2.74869,2.13672,6.808,1.95393,1.81751,4.44764,2.10442,2.63069,1.76915,1.06807,1.23058,5.83631,0.76835,7.12377,2.69338,3.88543,6.85819,2.4112,9.1671,0.13756,3.39774,3.57135,1.74439,4.68912,2.57532,7.72182,5.45079,5.05007,5.65941,5.5848,5.17535,2.15955,1.20682,2.27596,5.96469,3.50679,2.25272,27.9514,0.87117,4.85927,5.23912,1.53826,6.06216,1.40138,15.78466,5.60173,0.72389,2.40743,1.25656,3.59124,2.77479,4.04913,1.39242,9.66988,2.22392,3.68467,1.16965,1.6077,3.51052,1.16835,2.10899,1.36826,2.22826,0.63748,2.10919,0.97211,1.12124,5.08896,3.25993,1.79072,1.87578,5.40161,1.21574,0.87765,3.74615,13.95736,1.59253,8.17965,3.94554,0.81108,1.33565,7.36813,17.28945,4.582,1.26035,10.50359,4.21529,3.52464,4.74813,1.72623,3.60083,1.96702,13.16018,14.11073,1.28169,3.83955,0.75393,1.21241,17.85719,6.80456,1.24529,6.45415,1.10374,0.88466,0.68992,13.89593,1.36697,0.97868,1.27044,17.47477,1.11572,0.79237,3.26386,12.16778,0.73114,1.16803,1.34508,4.73884,1.94813,1.51605,1.29028,1.94572,1.23348,1.50878,0.79399,1.13057,1.80549,4.15931,0.40381,4.51171,1.55083,1.12067,1.76405,1.0837,1.33841,1.17844,6.53808,0.99621,0.86663,1.33153,2.65563,1.88003,1.79318,1.52395,2.46056,1.99223,1.10418,5.59496,1.95924,1.04112,3.03761,1.72419,1.48563,1.5215,5.89873,2.38374,1.51231,2.87329,4.71092,4.57636,13.48976,1.24481,2.72951,0.94744,5.35357,1.45929,1.1807,4.07872,4.78251,4.6367,2.39631,3.89282,5.35518,3.17563,0.85035,3.14336,1.27875,6.30549,18.84952,1.89437,2.70838,1.82696,17.66941,1.25639,6.86728,1.87878,4.61996,2.93624,0.79425,9.65559,3.29083,2.73956,2.98464,1.55909,1.24259,8.29834,1.5301,1.79231,4.55724,2.9864,2.64588,6.33773,10.00094,3.32528
-2.75,2.62357,4.03224,1.07994,5.63719,1.16471,3.62062,3.54979,6.14035,1.10897,5.28152,2.47226,3.44654,5.6528,2.68758,1.0407,6.98518,4.3518,59.95204,5.79006,3.47358,17.2668,4.25079,3.42126,19.43634,32.91354,6.43095,1.31405,20.23187,3.63491,5.96316,3.4096,13.26083,6.48716,4.5631,2.62516,1.69016,6.9064,1.65481,1.75113,4.4916,2.74669,4.84989,1.96272,1.06705,1.26995,6.91387,1.10397,15.16769,2.52934,4.15217,7.36608,2.31631,7.73899,1.30483,4.87202,3.35301,2.51673,4.8259,2.98462,8.2794,5.5221,4.71754,6.69975,5.51062,4.93711,3.40812,0.97718,9.36845,5.17824,3.03847,2.14402,14.85891,0.73834,5.10258,4.67052,1.50474,5.31626,1.49622,9.91493,4.68458,1.02702,2.01273,1.10628,3.34498,2.81337,3.1758,1.64821,8.97617,2.66178,3.94956,1.10299,1.74031,3.60485,1.06503,2.56779,1.38457,3.22418,0.86083,1.77849,0.93852,1.19462,2.88864,3.13071,4.27405,2.06095,8.56377,1.24887,0.93072,4.07487,11.48589,2.60193,13.36697,6.00291,1.18562,1.54531,5.69758,9.09517,3.92512,1.18984,7.68405,3.84964,5.60724,4.48294,1.55643,2.93735,1.9748,13.17676,14.65645,1.04789,2.74065,0.74668,1.70734,16.17636,6.80457,0.92362,6.55574,1.08573,1.00086,0.8116,15.36105,1.30632,1.03328,1.38826,17.56331,1.07264,0.9833,4.95672,9.44722,1.05155,1.11023,1.53226,3.438,1.84648,1.44451,1.28129,1.89159,1.19977,1.49322,0.71224,1.01515,2.5091,3.38736,0.46503,4.47648,1.69144,1.18289,1.48305,0.94619,1.39985,1.36727,4.69756,1.48314,0.86004,1.60436,2.56878,2.14258,1.83292,2.12264,4.13087,2.62999,1.21655,5.2193,1.76525,1.03334,2.59144,1.39168,1.24917,1.54888,4.6703,2.18106,1.50159,3.21613,5.6743,4.43409,11.23851,1.03083,2.40422,1.08228,5.35358,1.79329,1.31968,3.19557,4.05437,4.24502,3.11826,5.71624,4.58098,3.43511,1.06199,2.40158,1.22981,7.71141,14.45158,1.91292,2.73681,2.0549,11.5194,5.66226,5.92373,2.66718,6.33938,2.06815,0.67123,9.57423,2.06793,2.34218,2.86667,1.12215,1.15013,8.92864,1.54793,3.16924,4.78781,4.9642,2.19749,5.99192,8.36922,2.76479
