,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,5.32626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,0.0,4.07161,0.0,0.0,0.0,0.0,0.41706,22.70745,0.0,1.43182,1.86632,1.65286,0.22388,1.26165,0.20425,1.10356,0.0,0.91931,0.10848,2.80224,0.0,0.0,0.0,0.0,0.91237,0.81934,1.92773,0.0,0.5335,0.0,0.0,0.0,0.0,0.0,0.0,0.26158,0.0,0.0,0.0,0.0,2.065,1.14476,0.0,1.10689,2.94954,0.0,0.0,0.0,0.0,0.0,0.0,0.66362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14553,0.0,0.0,0.0,0.73022,0.0,16.126,0.77327,1.45496,0.41261,5.59879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.11373,0.0,2.13703,0.0,0.41802,0.0,1.30795,0.38181,0.0,0.0,0.0,0.98413,0.0,0.0,1.37889,1.50955,5.31005,1.65944,0.67844,1.91397,1.22285,0.50954,0.73488,1.93076,0.36325,0.00553,1.07684,0.84135,1.4045,0.66763,0.86142,0.63022,2.03797,0.0,0.39019,1.44788,0.235,0.07612,0.34308,0.0,1.04484,1.27061,46.33829,0.87305,1.46053,0.32428,0.0,0.69538,2.01218,0.0,0.43614,1.98428,0.22819,2.34742,0.13398,0.82103,0.99395,0.9863,0.56913,0.21688,2.56066,0.0,0.0,0.0,3.73499,0.0,0.0,0.0,0.62961,1.68527,0.58412,0.0,0.5553,1.05081,3.67413,4.89879,0.0,0.0,11.48156,2.92145,0.0,0.0,0.83732,0.9727,6.10063,0.0,1.44432,0.37674,1.67418,0.0,1.22498,0.0,4.13519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05203,0.64512,0.62691,0.82741,0.98989,0.0,0.0,0.0,0.0,0.0,0.0,3.63461
-4.75,5.32626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76465,0.0,0.04084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,0.0,4.25152,0.0,0.0,0.0,0.0,0.41706,22.70745,0.0,1.38066,1.86632,1.184,0.22388,1.26165,0.20425,1.10356,0.0,0.91931,0.10848,2.80224,0.0,0.0,0.0,0.0,0.95772,0.81934,1.92773,0.0,0.5335,0.0,0.0,0.0,0.0,0.0,0.0,0.23899,0.0,0.0,0.0,0.0,1.66313,1.77379,1.14591,1.10689,2.94954,0.0,0.0,0.0,0.0,0.0,0.0,0.66362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14553,0.0,0.0,0.0,0.73022,0.0,16.126,0.77327,1.45496,0.41261,5.59879,0.0,0.0,0.0,0.0,0.0,0.51836,0.0,0.0,0.0,0.0,0.25263,52.19121,0.0,2.13703,0.0,0.41802,0.0,0.78456,0.38181,0.0,0.0,0.0,0.98413,3.10214,0.0,1.28461,1.41683,2.97243,1.65944,0.6458,1.91397,1.02823,0.52364,0.73488,1.93076,0.35239,0.00553,1.29315,0.90971,1.4045,1.16762,0.90519,0.61724,3.19689,0.0,0.39019,1.5273,0.24597,0.07612,0.34308,0.0,1.04484,1.28317,46.33829,0.87305,1.91413,0.43002,0.47737,0.69538,2.01218,0.0,0.5267,1.98428,0.22819,2.34742,0.13398,1.50586,0.99395,0.81418,1.01947,0.41966,2.72393,0.0,2.10654,0.0,3.84545,0.0,0.0,0.35356,0.73694,1.71041,0.59731,0.0,0.5553,1.08703,3.67413,2.5623,0.0,0.0,11.48156,2.92145,0.0,0.0,0.68736,1.00507,6.16653,0.0,1.51579,0.37674,1.67418,0.0,1.31488,0.5571,4.13519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35527,0.0,0.0,0.0,0.0,0.0,0.46999,0.0,0.0,1.05203,0.64512,0.67524,0.94634,0.98989,0.0,0.0,0.0,0.0,0.0,0.0,3.63461
-4.5,4.56966,0.0,0.0,0.0,0.0,0.0,1.90343,0.0,0.0,0.0,0.0,1.76465,0.0,0.04084,2.29367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,0.0,4.88364,0.0,0.0,0.0,2.91279,0.41706,22.70745,0.0,1.38066,1.68154,1.184,0.73285,1.26165,0.20425,1.1763,0.0,0.91931,0.10848,2.80224,0.0,0.0,0.0,0.0,0.95772,0.81934,2.01361,0.0,0.46351,0.0,0.0,0.0,0.0,0.0,0.0,0.23899,0.0,0.0,0.0,1.04781,1.30982,1.77379,1.14591,0.80489,2.94954,0.0,0.0,0.0,0.11862,0.0,0.0,0.66362,0.0,0.0,0.0,2.06398,0.0,0.0,0.0,1.14553,0.0,0.0,0.0,0.73022,0.19722,16.126,0.77327,1.45496,0.36033,5.59879,0.0,0.0,0.0,0.0,0.0,0.51836,0.0,0.0,0.0,0.0,0.25263,52.40843,0.0,2.13703,0.0,0.41802,0.0,0.78456,0.38706,0.0,0.0,0.0,1.33689,3.10214,0.0,1.24948,1.47318,3.02027,1.65944,0.6458,1.91397,0.92568,0.52766,0.64956,2.03336,0.35239,1.35844,1.19649,0.98495,1.5551,1.17226,0.90519,0.61724,3.19865,0.0,1.811,1.17624,0.246,0.05957,0.34308,0.0,0.94795,1.09403,46.33829,0.96448,1.95746,0.51607,0.47737,0.69538,2.01218,0.0,0.5267,1.98428,0.22819,2.34742,0.13398,1.50586,0.65204,1.92118,1.01947,0.41966,2.72393,0.0,1.2782,0.0,3.84545,0.0,0.0,0.35356,0.73694,1.93936,0.68283,13.73217,0.5553,1.11346,3.67413,2.65451,0.0,0.0,11.58479,2.92145,0.28151,0.0,0.69154,0.96343,5.38946,0.0,1.23776,0.37674,1.71398,0.0,1.31488,0.5571,4.16672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35527,0.0,0.0,0.0,0.0,0.0,0.36118,0.0,0.0,1.05203,0.64785,0.68426,0.96111,0.78974,0.01092,0.0,0.0,0.0,0.0,0.0,3.63461
-4.25,4.92589,0.0,4.69151,0.0,0.0,0.0,1.90343,0.0,0.0,0.0,0.0,1.76465,0.0,0.04084,2.6826,15.58095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,0.0,4.88364,0.0,0.0,0.0,2.91279,0.41706,22.70745,0.0,1.49184,1.70321,1.184,0.66183,1.26165,1.59011,0.91003,0.0,0.70379,0.10848,2.80224,0.0,0.0,0.0,0.0,0.95772,0.81934,2.13895,0.0,0.3935,0.20539,0.0,0.55739,0.0,0.0,0.0,0.23899,0.0,1.41468,0.0,1.04781,1.44856,1.94238,4.23131,0.80489,3.03581,0.0,0.0,0.0,0.11862,0.0,0.0,0.53894,0.0,0.0,0.0,0.9866,0.0,0.0,0.0,1.14553,0.0,0.0,0.0,0.73022,0.19722,16.126,0.77849,1.45496,0.36033,5.59879,0.0,0.0,0.0,0.0,0.0,1.13544,0.0,0.0,0.0,0.0,0.25263,52.40843,0.0,2.13703,0.0,0.47017,0.1627,0.78456,0.38706,0.0,0.0,0.0,1.37423,3.10214,0.0,1.24948,1.48256,3.02027,1.09916,0.6458,1.91397,1.11228,0.57824,0.83592,2.03336,2.3581,1.35844,1.19649,0.84912,1.37201,1.5106,0.94273,0.59289,3.19865,0.24562,1.811,1.01325,0.45928,0.81489,0.46984,0.0,1.01217,1.17266,23.43904,0.96448,1.99101,0.48827,0.47488,6.54375,2.01218,0.0,0.53909,1.98428,0.68388,2.34742,0.16543,1.41282,0.65204,1.92118,1.01947,0.41966,2.82874,0.0,1.2782,0.72532,3.91627,0.0,0.0,0.35356,0.73694,2.0929,0.68283,10.32251,0.5553,1.11894,3.67413,2.65451,0.0,0.33401,5.90146,2.38877,0.7151,0.0,0.7282,1.01912,5.38946,0.0,1.20274,0.37674,1.47899,0.0,1.31488,0.5571,4.16672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03181,0.0,0.0,0.0,0.0,0.35527,0.0,0.0,0.0,9.26446,0.0,0.36118,0.0,0.0,1.05203,0.96524,0.93102,0.83114,0.68045,0.01092,16.6324,0.0,0.0,0.0,0.0,3.63461
-4.0,4.92589,0.0,4.69151,0.0,0.0,0.0,9.38555,0.0,0.0,0.0,1.67141,1.76465,0.0,0.04084,1.55832,15.58095,0.0,0.0,0.0,0.09643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,2.16708,4.88364,0.0,0.0,21.50835,1.70593,0.41706,22.76072,0.0,1.5061,1.40723,1.184,0.66183,1.14804,1.59011,0.91003,0.0,0.70379,0.21869,2.80224,0.0,0.0,0.0,0.0,1.00284,0.81934,2.13895,0.10852,0.3935,0.20539,0.0,0.55739,0.0,0.0,0.0,0.23899,0.0,3.68011,3.27297,1.10375,1.21567,1.97051,4.23131,0.80489,3.03581,6.44471,0.0,0.0,0.11862,0.0,0.0,0.53894,0.0,0.0,0.0,1.3227,0.0,0.0,0.0,0.64028,0.0,0.0,0.0,0.73022,0.28799,16.126,0.77849,1.45496,0.36033,5.59879,0.0,0.0,0.08728,0.0,0.0,1.13544,0.0,0.10355,0.0,0.0,0.25263,52.40843,0.0,2.13703,0.0,0.47017,0.1627,0.78456,5.73097,7.24122,0.0,0.0,2.84529,2.68522,0.0,1.32216,1.40463,3.02027,1.09916,0.6919,1.90355,1.05793,0.5821,0.71679,1.12358,1.81456,1.35844,0.97882,0.81442,1.60675,1.22843,0.98687,0.52618,3.19865,0.20012,4.24646,0.96818,0.53228,0.81489,0.66374,0.0,1.09253,1.17778,23.43904,0.56098,1.93824,0.44118,0.63517,6.54375,2.01218,0.0,0.53909,1.98428,0.4808,1.77381,0.16543,1.69127,2.15067,1.92118,1.02734,0.53713,2.40954,0.0,1.2782,0.72532,3.91627,0.0,0.22987,0.35356,0.73694,1.97552,1.03784,7.21447,0.5553,1.49161,1.97101,2.65451,0.0,0.39116,5.90405,2.46701,0.7151,0.0,0.64174,0.91018,4.09127,0.0,1.1794,2.13831,1.1843,0.0,1.31488,1.82336,4.16672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03181,0.0,0.0,0.0,0.0,0.35527,17.62073,0.0,0.0,10.23385,0.44876,0.8419,0.0,0.0,0.76898,0.96524,1.14366,0.71228,0.68045,0.01092,16.6324,0.0,0.0,0.0,0.0,3.63461
-3.75,4.92589,0.02117,4.69151,0.0,0.0,0.0,9.49628,4.19872,0.0,0.0,7.81935,1.76465,8.42546,0.04084,1.55832,15.58095,0.0,0.0,0.0,0.09643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,14.02008,3.30852,0.0,0.87093,11.42245,1.70593,0.41706,22.76072,0.33318,1.26325,2.2516,1.20482,0.71862,0.99706,1.45772,1.73783,0.0,0.75755,0.21869,2.82381,0.0,1.30084,0.0,0.0,1.38367,6.14604,2.13895,0.10852,0.39205,0.20539,0.0,0.55739,0.0,1.21737,0.0,0.23899,0.0,3.68011,4.56647,1.7605,1.23135,1.7017,2.62303,0.80489,3.03581,6.44471,0.46216,0.0,0.11862,0.0,0.0,0.53897,0.0,0.0,0.0,1.74942,0.0,0.0,0.05077,0.64028,0.0,0.0,0.0,0.95243,0.28799,16.126,3.23607,1.45496,0.36033,5.59879,0.0,0.0,0.08728,0.0,0.0,0.90956,0.11399,1.05168,0.0,0.0,10.34249,52.40843,0.03915,1.65429,0.89152,0.47017,0.1627,0.53872,5.8485,7.24122,1.86728,0.0,3.1526,2.92948,3.68544,1.32216,1.26436,2.12861,1.13355,0.7313,1.90923,0.85309,0.61155,0.56822,1.05166,1.51139,1.19782,0.89381,0.79037,1.62234,1.25373,1.51854,0.48277,3.19865,0.22807,4.5341,0.78158,0.5613,1.28477,0.65633,0.58699,1.12755,1.17908,23.43904,2.28533,1.64223,0.40747,0.65868,4.37281,1.05376,0.0,0.55293,1.98428,0.48081,1.28898,0.16543,1.62355,2.15067,2.21447,0.77355,0.55119,2.40954,2.22718,2.59618,0.72532,3.91627,8.3845,0.22987,3.03675,0.77096,1.7985,1.78236,7.30654,0.5553,1.64877,1.50142,2.06977,0.0,0.39116,5.90405,2.25877,1.02795,0.0,0.66363,0.89169,4.16431,0.0,1.10248,2.16488,1.1843,0.0,0.71017,1.82336,4.16672,4.74331,0.0,0.0,0.0,0.0,0.31614,0.0,0.03181,0.0,0.0,0.0,0.0,0.35527,17.62073,0.0,5.95169,7.25588,0.22313,0.8419,6.38778,0.0,0.76898,2.53855,1.27925,0.75484,0.56863,7.38123,16.6324,0.0,0.0,0.0,0.0,3.24756
-3.5,3.98905,3.24082,4.69151,0.0,9.1707,0.0,7.25194,4.19872,0.0,0.0,6.12297,1.76465,9.21031,0.03354,1.55832,15.58095,0.0,0.0,0.0,0.09643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.71884,0.0,0.0,0.0,14.02008,3.456,0.0,17.15217,8.67543,1.05326,0.41706,11.70328,0.60607,1.06424,2.12116,1.45152,0.71862,0.99844,1.45772,1.73783,0.27624,0.7435,0.21869,2.82381,0.0,1.30084,8.57976,0.0,1.19236,4.94025,4.70289,0.10852,0.41007,0.20539,0.0,0.98528,0.0,1.21737,0.0,0.23899,0.0,2.15444,3.35116,1.7605,1.23135,1.66048,4.86694,0.80489,3.03581,6.44471,5.0845,0.0,0.11862,0.0,0.0,0.53897,0.0,2.56217,0.0,1.75591,0.0,0.0,0.05077,0.64028,19.99577,0.48492,0.0,0.95243,0.95537,16.126,3.25451,1.45496,0.42513,5.59879,0.0,0.0,3.05131,0.0,0.0,4.64412,0.11399,1.05168,0.0,0.0,10.34249,52.40843,0.03915,4.87351,0.89152,0.47017,0.1627,0.5986,5.6849,15.72218,1.86728,0.0,2.0796,3.21394,3.68544,1.40301,1.23446,2.26682,1.01149,0.69718,2.60126,0.74382,0.56994,0.84969,0.914,1.41102,1.28289,0.89922,0.77675,1.68777,1.31872,1.53109,0.63676,2.529,0.64333,4.64176,0.87379,0.50497,1.30066,0.65633,1.07991,0.98381,1.06503,23.5281,3.08266,1.61493,0.44624,0.80531,3.69672,1.05617,0.0,0.75553,1.54869,1.17423,1.02299,0.5955,1.59302,2.33129,1.92877,0.77332,1.2633,2.92745,2.76663,1.96424,0.8727,4.84343,8.3845,11.9804,3.03675,0.77096,1.66851,1.73587,7.02529,1.59723,1.56803,1.59819,2.54267,11.37655,0.39116,5.54676,3.36173,0.99427,0.0,0.62931,1.02998,3.80892,0.0,1.08339,1.97689,1.48378,0.0,0.74815,2.84717,4.16672,4.74331,0.13288,0.0,0.0,0.0,0.31614,0.0,0.03181,0.0,0.0,0.0,0.15311,0.35527,17.62073,0.0,5.95169,6.15736,0.96893,0.8419,5.68628,0.83567,0.76898,3.55681,1.20806,0.72836,0.59034,16.65557,16.6324,0.0,1.03311,0.0,0.0,3.24756
-3.25,3.13628,3.24082,3.42442,0.0,10.13856,13.56985,7.29002,8.40009,0.0,0.0,5.57457,1.76465,5.81406,0.91106,1.55832,15.58095,0.0,109.23935,8.45444,0.09643,0.0,0.0,0.0,0.0,16.73602,0.14812,0.0,16.71884,64.94384,0.0,0.0,9.96099,2.69311,4.46295,10.24856,7.95408,0.92833,0.41706,8.92364,1.06471,1.67363,1.77764,1.4196,0.67343,0.93461,1.9398,1.77549,5.23948,0.65071,0.21869,2.82381,1.89007,1.30084,7.15426,0.0,1.14269,4.94025,3.82697,0.42454,1.28462,1.79224,0.0,1.19082,5.0986,0.88701,6.01241,0.23899,0.0,2.15444,2.52885,2.5313,1.49491,1.37981,4.00213,0.84445,2.02574,15.40727,3.61831,0.0,0.11862,0.2179,0.0,0.51538,0.50525,2.56217,2.97584,1.83675,0.0,0.0,1.37462,0.87074,10.00705,0.48492,0.0,0.95243,0.95537,16.126,3.25451,4.35454,1.62368,3.03929,2.97273,0.0,4.42401,0.0,17.40721,4.05476,0.11399,1.19804,0.0,0.0,7.5909,52.55995,1.81915,6.26646,0.66441,0.47017,0.1627,1.14432,5.39649,12.00291,6.74602,0.0,1.81309,3.21394,5.54705,1.37704,1.33798,2.49847,1.01149,0.69577,2.63679,0.8149,0.5229,1.00992,0.76706,1.59927,1.22141,0.89089,0.76917,1.71681,1.23059,1.35552,0.56404,2.79112,1.01081,10.1982,1.19828,0.55172,1.39442,1.42187,2.35355,0.90242,1.04025,23.5281,2.75342,1.28518,0.3935,0.80035,2.20564,1.3827,6.16702,0.63891,3.25659,0.96855,0.95467,0.6577,1.42824,1.71575,1.67695,0.74584,1.3937,2.50229,2.31774,3.20468,0.91142,7.07797,6.17648,11.9804,3.03675,0.92265,1.39951,1.73588,6.15496,1.33938,1.57277,1.65501,2.09907,6.29541,1.70417,5.58574,3.37238,1.58237,0.0,0.64158,0.99412,4.28075,5.31518,0.96464,1.84336,1.60103,0.07845,0.74815,9.76061,4.16672,5.71026,0.13288,5.30939,0.0,0.81766,1.26921,0.0,0.1041,0.0,0.0,5.29407,0.61556,0.35527,10.32662,0.0,10.91285,5.11697,0.9885,0.8419,3.80889,0.83567,0.65573,3.31852,1.18245,0.68886,2.40189,14.02034,9.91757,9.9513,1.03311,0.0,2.49598,3.27874
-3.0,3.13628,6.42941,4.72218,0.0,6.03478,23.67437,7.29002,5.79453,0.0,0.0,5.57457,1.76465,5.18735,3.61892,4.11001,15.58095,0.0,109.23935,8.45444,0.10514,0.0,0.0,0.0,0.0,16.73602,15.10883,14.68872,16.71884,64.94384,23.9156,0.0,11.79679,2.73517,5.35116,8.80177,6.7178,0.70602,4.36425,6.90391,3.52831,1.57426,2.36672,3.66146,0.95073,1.86101,1.56654,2.27393,12.52546,1.53224,1.83738,2.82381,2.36719,1.84597,29.10525,0.0,1.3067,4.15403,4.04437,0.99436,1.94768,7.39064,21.02444,3.7168,5.37762,0.88701,14.10533,0.23899,0.0,2.47509,3.74819,3.12345,1.57556,1.64473,3.60373,4.54121,1.4712,16.05404,4.63729,0.0,11.22369,0.2179,0.0,0.43889,4.69585,2.76733,6.06802,1.87408,0.0,0.0,1.7627,1.91395,8.4531,0.48492,1.32182,16.13199,1.38174,16.126,2.89125,2.46092,1.44145,2.95588,2.97273,16.57687,4.54798,0.0,19.86038,4.3348,0.13091,1.31696,0.0,0.0,6.81419,52.55995,1.81915,5.32519,2.53094,0.428,0.1627,1.32855,4.24675,12.09992,5.77576,10.18071,2.03986,2.37785,7.07057,1.18377,1.21145,2.74328,1.03908,0.67199,2.25378,0.78511,0.51157,1.29655,0.88575,1.59042,1.88191,1.11811,0.89475,1.74524,1.26259,1.56633,0.57935,2.23391,1.10483,9.36159,1.05406,0.60456,1.25822,1.54154,2.424,0.82086,0.93935,23.5281,2.62901,1.21535,0.46628,1.0355,1.80574,1.82622,6.16702,1.6307,7.34236,4.72893,1.00594,1.12552,1.27827,1.66614,1.40009,0.65571,1.25951,2.07745,4.17857,3.21738,10.76276,4.52025,6.74869,8.64504,2.17338,2.13976,1.64886,1.25229,5.95219,0.9494,1.3344,1.74299,2.11494,5.04669,1.51455,3.57921,2.84382,1.79973,0.48575,0.64521,1.02217,3.70745,3.69113,0.86608,2.34823,1.4857,0.07845,0.74815,9.06899,3.60615,5.55623,4.99927,3.43501,4.72692,3.07475,3.0782,0.0,0.1041,0.0,0.0,3.91719,0.6716,0.35527,10.32662,0.0208,42.84368,5.15291,3.51514,0.57123,3.72836,1.77442,1.13825,3.03781,0.90394,0.87034,3.42638,12.54658,8.79009,7.13239,1.13376,4.82885,2.49598,4.17875
-2.75,1.8544,5.59636,3.48809,22.41749,6.09674,23.67437,10.26979,5.79453,6.73432,34.83385,5.95113,1.29705,14.19626,4.37171,6.57569,7.81261,4.92786,109.23935,8.45444,10.58075,37.02261,0.41692,0.0,5.39463,5.83832,12.49319,14.68872,33.9923,64.94384,23.9156,0.0,14.2396,2.87237,4.79324,8.80177,6.01662,0.64569,2.98629,5.57443,3.45415,1.55547,3.41625,3.0072,1.20666,1.7994,1.65648,2.76129,11.76127,2.47722,5.50491,5.45732,1.91348,6.27789,29.57245,0.0,1.78563,4.76069,4.08033,0.96883,2.09611,8.36027,15.45617,4.42552,16.37446,0.77616,14.9784,4.2789,2.93473,2.26025,3.09403,5.71461,1.40086,1.49396,4.07994,4.54121,1.09415,7.90334,6.996,37.22035,8.43524,0.2179,0.0,0.30718,3.53761,7.9716,6.03775,1.8741,20.10594,5.10743,1.52861,1.91395,6.13323,3.09949,3.54609,12.42206,3.45624,12.30963,3.50318,3.99122,1.28907,2.29638,1.964,9.90948,5.3046,14.86651,19.86038,5.5111,0.52939,4.84255,38.02841,22.04475,6.51481,26.39805,3.30827,5.28623,2.25201,0.45777,3.99987,1.11321,4.22213,9.09884,5.2299,23.20874,2.03765,5.3967,6.63307,1.02314,1.31976,2.8681,0.92646,1.01685,2.17994,0.81495,0.48461,1.13865,0.79459,1.57489,1.49028,1.1467,0.84593,1.64597,1.26694,1.44033,0.53509,2.20437,1.28397,6.65454,0.99301,3.05141,1.85362,1.49427,3.25554,1.12673,0.89938,23.5281,2.50918,1.12767,0.61075,1.1642,1.86057,1.87976,3.17567,1.87668,7.04676,4.14715,1.12632,3.57333,1.10726,1.41867,1.16076,0.72764,1.32482,2.58663,3.48243,3.47781,9.05488,4.27509,6.11668,5.90406,3.22346,2.21806,1.17809,1.38617,5.60027,1.22974,1.1879,3.10762,2.01724,5.7268,1.69167,2.30001,3.28752,1.9566,3.40754,0.59688,0.96431,2.39923,3.07064,0.73825,2.75752,1.61873,3.52944,1.24711,5.80266,3.09969,4.98096,4.99927,4.95973,5.84864,7.09908,3.40397,0.0,0.1041,0.0,1.28048,5.44886,8.93337,0.35527,10.32662,13.88661,44.37266,5.16443,4.06668,3.65483,3.40987,11.87758,1.17886,2.58637,1.17645,0.82399,3.47133,7.02477,8.79009,6.16375,2.95757,4.82885,2.41552,3.75418
