,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.05313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.0,0.09655,0.0,0.0,0.0,0.0,0.07066,0.09935,0.0,0.07218,0.06307,0.06044,0.06637,0.06502,0.0892,0.0569,0.0,0.07332,0.05232,0.06998,0.0,0.0,0.0,0.0,0.07948,0.10542,0.06426,0.0,0.06359,0.0,0.0,0.0,0.0,0.0,0.0,0.06727,0.0,0.0,0.0,0.0,0.17137,0.06273,0.0,0.06603,0.09931,0.0,0.0,0.0,0.0,0.0,0.0,0.14349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11838,0.0,0.0,0.0,0.04777,0.0,0.1206,0.11361,0.05911,0.05716,0.04822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06111,0.0,0.07327,0.0,0.07907,0.0,0.06082,0.04614,0.0,0.0,0.0,0.07528,0.0,0.0,0.06816,0.10778,0.05913,0.14806,0.11249,0.75869,0.12149,0.10465,0.08272,0.11451,0.10005,0.05543,0.08743,0.15487,0.0614,0.06806,0.05687,0.13709,0.10529,0.0,0.10113,0.09011,0.08239,0.0752,0.06781,0.0,0.07478,0.08905,0.25549,0.06184,0.05854,0.08808,0.0,0.06186,0.05436,0.0,0.139,0.05896,0.05987,0.05918,0.06959,0.05353,0.05847,0.06411,0.0605,0.08371,0.08498,0.0,0.0,0.0,0.06634,0.0,0.0,0.0,0.07084,0.11579,0.04775,0.0,0.05295,0.10306,0.05586,0.04331,0.0,0.0,0.06799,0.06775,0.0,0.0,0.16522,0.07308,0.07506,0.0,0.07998,0.07661,0.06756,0.0,0.05096,0.0,0.0583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06563,0.10102,0.08042,0.13194,0.05935,0.0,0.0,0.0,0.0,0.0,0.0,0.06766
-4.75,0.05313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05964,0.0,0.04579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.0,0.07392,0.0,0.0,0.0,0.0,0.07066,0.09935,0.0,0.06435,0.06307,0.05888,0.06637,0.06502,0.0892,0.0569,0.0,0.07332,0.05232,0.06998,0.0,0.0,0.0,0.0,0.07202,0.10542,0.06426,0.0,0.06359,0.0,0.0,0.0,0.0,0.0,0.0,0.05752,0.0,0.0,0.0,0.0,0.14569,0.05907,0.05736,0.06603,0.09931,0.0,0.0,0.0,0.0,0.0,0.0,0.14349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11838,0.0,0.0,0.0,0.04777,0.0,0.1206,0.11361,0.05911,0.05716,0.04822,0.0,0.0,0.0,0.0,0.0,0.06221,0.0,0.0,0.0,0.0,0.05226,0.05682,0.0,0.07327,0.0,0.07907,0.0,0.06006,0.04614,0.0,0.0,0.0,0.07528,0.04111,0.0,0.06514,0.09863,0.0527,0.14806,0.09549,0.75869,0.12378,0.10034,0.08272,0.11451,0.09391,0.05543,0.08332,0.14929,0.0614,0.06739,0.05564,0.13013,0.08978,0.0,0.10113,0.08284,0.07914,0.0752,0.06781,0.0,0.07478,0.08167,0.25549,0.06184,0.0578,0.0827,0.0673,0.06186,0.05436,0.0,0.13837,0.05896,0.05987,0.05918,0.06959,0.04923,0.05847,0.06393,0.05795,0.08056,0.0742,0.0,0.05599,0.0,0.0644,0.0,0.0,0.05409,0.06922,0.11561,0.04719,0.0,0.05295,0.10051,0.05586,0.04805,0.0,0.0,0.06799,0.06775,0.0,0.0,0.16025,0.06455,0.0734,0.0,0.07711,0.07661,0.06756,0.0,0.04644,0.04141,0.0583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08065,0.0,0.0,0.0,0.0,0.0,0.05127,0.0,0.0,0.06563,0.10102,0.07787,0.12691,0.05935,0.0,0.0,0.0,0.0,0.0,0.0,0.06766
-4.5,0.04351,0.0,0.0,0.0,0.0,0.0,0.05137,0.0,0.0,0.0,0.0,0.05964,0.0,0.04579,0.04292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.0,0.07424,0.0,0.0,0.0,0.07961,0.07066,0.09935,0.0,0.06435,0.05993,0.05888,0.05438,0.06502,0.0892,0.0569,0.0,0.07332,0.05232,0.06998,0.0,0.0,0.0,0.0,0.07202,0.10542,0.05819,0.0,0.06387,0.0,0.0,0.0,0.0,0.0,0.0,0.05752,0.0,0.0,0.0,0.04645,0.12653,0.05907,0.05736,0.0518,0.09931,0.0,0.0,0.0,0.04358,0.0,0.0,0.14349,0.0,0.0,0.0,0.04708,0.0,0.0,0.0,0.11838,0.0,0.0,0.0,0.04777,0.09111,0.1206,0.11361,0.05911,0.05779,0.04822,0.0,0.0,0.0,0.0,0.0,0.06221,0.0,0.0,0.0,0.0,0.05226,0.06021,0.0,0.07327,0.0,0.07907,0.0,0.06006,0.04163,0.0,0.0,0.0,0.07233,0.04111,0.0,0.06005,0.09527,0.04712,0.14806,0.09549,0.75869,0.12307,0.09372,0.0763,0.09998,0.09391,0.05098,0.08454,0.14597,0.06085,0.06182,0.05564,0.13013,0.08665,0.0,0.07389,0.08059,0.07914,0.07183,0.06781,0.0,0.06286,0.07442,0.25549,0.05339,0.05754,0.07475,0.0673,0.06186,0.05436,0.0,0.13837,0.05896,0.05987,0.05918,0.06959,0.04923,0.05321,0.06042,0.05795,0.08056,0.0742,0.0,0.05003,0.0,0.0644,0.0,0.0,0.05409,0.06922,0.11569,0.04552,0.05799,0.05295,0.09913,0.05586,0.04675,0.0,0.0,0.05493,0.06775,0.04604,0.0,0.15006,0.0629,0.07731,0.0,0.07285,0.07661,0.0654,0.0,0.04644,0.04141,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08065,0.0,0.0,0.0,0.0,0.0,0.04955,0.0,0.0,0.06563,0.08562,0.07362,0.12626,0.0572,0.0823,0.0,0.0,0.0,0.0,0.0,0.06766
-4.25,0.03658,0.0,0.04926,0.0,0.0,0.0,0.05137,0.0,0.0,0.0,0.0,0.05964,0.0,0.04579,0.04178,0.0377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.0,0.07424,0.0,0.0,0.0,0.07961,0.07066,0.09935,0.0,0.05409,0.05974,0.05888,0.05321,0.06502,0.07196,0.05522,0.0,0.06829,0.05232,0.06998,0.0,0.0,0.0,0.0,0.07202,0.10542,0.05628,0.0,0.06238,0.04238,0.0,0.03819,0.0,0.0,0.0,0.05752,0.0,0.06014,0.0,0.04645,0.10794,0.05735,0.04964,0.0518,0.07754,0.0,0.0,0.0,0.04358,0.0,0.0,0.11493,0.0,0.0,0.0,0.06236,0.0,0.0,0.0,0.11838,0.0,0.0,0.0,0.04777,0.09111,0.1206,0.06773,0.05911,0.05779,0.04822,0.0,0.0,0.0,0.0,0.0,0.0566,0.0,0.0,0.0,0.0,0.05226,0.06021,0.0,0.07327,0.0,0.06976,0.05107,0.06006,0.04163,0.0,0.0,0.0,0.07222,0.04111,0.0,0.06005,0.09316,0.04712,0.12348,0.09549,0.75869,0.11225,0.08899,0.06556,0.09998,0.08764,0.05098,0.08454,0.14336,0.05713,0.05571,0.04915,0.12174,0.08665,0.04891,0.07389,0.07768,0.07096,0.05885,0.05902,0.0,0.06083,0.06971,0.19834,0.05339,0.05561,0.07198,0.06278,0.05357,0.05436,0.0,0.13536,0.05896,0.0502,0.05918,0.08923,0.0466,0.05321,0.06042,0.05795,0.08056,0.0742,0.0,0.05003,0.07325,0.05824,0.0,0.0,0.05409,0.06922,0.11307,0.04552,0.0579,0.05295,0.09762,0.05586,0.04675,0.0,0.03576,0.04747,0.06194,0.0429,0.0,0.13804,0.06111,0.07731,0.0,0.06949,0.07661,0.05971,0.0,0.04644,0.04141,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369,0.0,0.0,0.0,0.0,0.08065,0.0,0.0,0.0,0.03601,0.0,0.04955,0.0,0.0,0.06563,0.08128,0.06843,0.12282,0.05855,0.0823,0.04564,0.0,0.0,0.0,0.0,0.06766
-4.0,0.03525,0.0,0.04926,0.0,0.0,0.0,0.04959,0.0,0.0,0.0,0.0345,0.05964,0.0,0.04579,0.04173,0.0377,0.0,0.0,0.0,0.04564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.03621,0.07424,0.0,0.0,0.0482,0.10443,0.07066,0.08816,0.0,0.05089,0.05321,0.05888,0.05321,0.05941,0.07196,0.05522,0.0,0.06829,0.0433,0.06998,0.0,0.0,0.0,0.0,0.06944,0.10542,0.05628,0.0489,0.06238,0.04238,0.0,0.03819,0.0,0.0,0.0,0.05752,0.0,0.05889,0.03511,0.04516,0.10097,0.05611,0.04964,0.0518,0.07754,0.03983,0.0,0.0,0.04358,0.0,0.0,0.11493,0.0,0.0,0.0,0.06527,0.0,0.0,0.0,0.0462,0.0,0.0,0.0,0.04777,0.09111,0.1206,0.06773,0.05911,0.05779,0.04822,0.0,0.0,0.05029,0.0,0.0,0.0566,0.0,0.04164,0.0,0.0,0.05226,0.06021,0.0,0.07327,0.0,0.06976,0.05107,0.06006,0.03984,0.04303,0.0,0.0,0.0669,0.03878,0.0,0.05948,0.09131,0.04712,0.12348,0.08098,0.66044,0.10518,0.08355,0.06232,0.08893,0.07645,0.05098,0.07774,0.13948,0.05432,0.05084,0.04684,0.11243,0.08665,0.04558,0.06068,0.07452,0.07024,0.05885,0.05364,0.0,0.05897,0.06858,0.19834,0.0442,0.05414,0.06541,0.05661,0.05357,0.05436,0.0,0.13536,0.05896,0.04564,0.05451,0.08923,0.04483,0.04641,0.06042,0.05549,0.07125,0.06634,0.0,0.05003,0.07325,0.05824,0.0,0.04168,0.05409,0.06922,0.09248,0.03905,0.05506,0.05295,0.09247,0.0487,0.04675,0.0,0.03539,0.04654,0.06746,0.0429,0.0,0.13098,0.05542,0.06629,0.0,0.06654,0.06799,0.05614,0.0,0.04644,0.04045,0.0562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06369,0.0,0.0,0.0,0.0,0.08065,0.05117,0.0,0.0,0.03602,0.04859,0.0495,0.0,0.0,0.05899,0.08128,0.06214,0.10146,0.05855,0.0823,0.04564,0.0,0.0,0.0,0.0,0.06766
-3.75,0.03525,0.04447,0.04926,0.0,0.0,0.0,0.04611,0.03068,0.0,0.0,0.03371,0.05964,0.02874,0.04579,0.04173,0.0377,0.0,0.0,0.0,0.04564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.03511,0.07285,0.0,0.04697,0.05323,0.10443,0.07066,0.08816,0.05079,0.04894,0.05092,0.0552,0.0494,0.05719,0.06879,0.0513,0.0,0.06217,0.0433,0.05185,0.0,0.04984,0.0,0.0,0.05588,0.07553,0.05628,0.0489,0.05856,0.04238,0.0,0.03819,0.0,0.04191,0.0,0.05752,0.0,0.05889,0.03429,0.04219,0.0992,0.05109,0.04367,0.0518,0.07754,0.03983,0.0347,0.0,0.04358,0.0,0.0,0.11411,0.0,0.0,0.0,0.05638,0.0,0.0,0.03365,0.0462,0.0,0.0,0.0,0.03735,0.09111,0.1206,0.05139,0.05911,0.05779,0.04822,0.0,0.0,0.05029,0.0,0.0,0.0532,0.04876,0.03864,0.0,0.0,0.05055,0.06021,0.04419,0.065,0.04476,0.06976,0.05107,0.07748,0.03742,0.04303,0.04057,0.0,0.06413,0.03515,0.04121,0.05948,0.08342,0.04113,0.12391,0.07895,0.63882,0.10017,0.07758,0.05588,0.08574,0.07471,0.04812,0.07506,0.12945,0.05416,0.04941,0.04301,0.10805,0.08665,0.04363,0.05943,0.07296,0.06969,0.05496,0.05407,0.05224,0.05786,0.06581,0.19834,0.0374,0.05082,0.06112,0.05441,0.04798,0.04808,0.0,0.13449,0.05896,0.04444,0.04436,0.08923,0.04107,0.04641,0.05294,0.0506,0.06985,0.06634,0.04078,0.04538,0.07325,0.05824,0.03793,0.04168,0.05056,0.06663,0.08605,0.03948,0.05487,0.05295,0.08801,0.04654,0.03834,0.0,0.03539,0.04654,0.06125,0.03615,0.0,0.12743,0.05372,0.0641,0.0,0.05998,0.06382,0.05614,0.0,0.04039,0.04045,0.0541,0.03435,0.0,0.0,0.0,0.0,0.05004,0.0,0.06369,0.0,0.0,0.0,0.0,0.08065,0.05117,0.0,0.04934,0.03631,0.06355,0.0495,0.11035,0.0,0.05899,0.06869,0.05746,0.10023,0.05663,0.06113,0.04564,0.0,0.0,0.0,0.0,0.05722
-3.5,0.03383,0.03888,0.04926,0.0,0.04322,0.0,0.04336,0.03068,0.0,0.0,0.03307,0.05964,0.02722,0.05648,0.04173,0.0377,0.0,0.0,0.0,0.04564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07955,0.0,0.0,0.0,0.03511,0.0684,0.0,0.04239,0.04897,0.08415,0.07066,0.06681,0.04886,0.04496,0.04989,0.05085,0.0494,0.05727,0.06879,0.0513,0.03228,0.05326,0.0433,0.05185,0.0,0.04984,0.04622,0.0,0.04987,0.06791,0.04927,0.0489,0.05631,0.04238,0.0,0.03337,0.0,0.04191,0.0,0.05752,0.0,0.0559,0.03844,0.04219,0.0992,0.04864,0.04035,0.0518,0.07754,0.03983,0.03377,0.0,0.04358,0.0,0.0,0.11411,0.0,0.03394,0.0,0.05632,0.0,0.0,0.03365,0.0462,0.03761,0.0436,0.0,0.03735,0.06355,0.1206,0.04992,0.05911,0.0509,0.04822,0.0,0.0,0.04415,0.0,0.0,0.0516,0.04876,0.03864,0.0,0.0,0.05055,0.06021,0.04419,0.05497,0.04476,0.06976,0.05107,0.06833,0.03745,0.03789,0.04057,0.0,0.05964,0.03452,0.04121,0.05542,0.07892,0.03979,0.1148,0.07278,0.54945,0.09068,0.07452,0.0498,0.0792,0.07591,0.04549,0.07092,0.12579,0.04711,0.04751,0.04103,0.10411,0.07615,0.04052,0.05751,0.06578,0.06438,0.05622,0.05407,0.04379,0.05428,0.06306,0.18089,0.03741,0.04951,0.0578,0.05306,0.04185,0.04451,0.0,0.12571,0.04882,0.04184,0.04136,0.0556,0.04079,0.04416,0.04707,0.04944,0.06496,0.05735,0.04213,0.044,0.05557,0.05243,0.03793,0.04236,0.05056,0.06663,0.08047,0.0387,0.05141,0.03878,0.08059,0.04282,0.03727,0.04257,0.03539,0.04523,0.05106,0.03308,0.0,0.11682,0.05005,0.06321,0.0,0.05883,0.059,0.05313,0.0,0.03511,0.03598,0.0541,0.03435,0.03856,0.0,0.0,0.0,0.05004,0.0,0.06369,0.0,0.0,0.0,0.04873,0.08065,0.05117,0.0,0.04934,0.0369,0.05616,0.0495,0.07839,0.04022,0.05899,0.06202,0.05368,0.09559,0.05658,0.05419,0.04564,0.0,0.03849,0.0,0.0,0.05722
-3.25,0.0323,0.03888,0.04619,0.0,0.04032,0.05023,0.04305,0.0369,0.0,0.0,0.03172,0.05964,0.02557,0.04846,0.04173,0.0377,0.0,0.03116,0.04642,0.04564,0.0,0.0,0.0,0.0,0.03479,0.03655,0.0,0.07955,0.03809,0.0,0.0,0.03462,0.06712,0.04056,0.04064,0.04513,0.08049,0.07066,0.05704,0.04738,0.04271,0.04656,0.04698,0.04702,0.05062,0.05644,0.04842,0.03303,0.05154,0.0433,0.05185,0.03159,0.04984,0.05388,0.0,0.04693,0.06791,0.04068,0.03978,0.05323,0.04079,0.0,0.03161,0.03393,0.04023,0.05139,0.05752,0.0,0.0559,0.03366,0.04029,0.08918,0.04638,0.03789,0.04673,0.06949,0.03602,0.03259,0.0,0.04358,0.0413,0.0,0.10059,0.03935,0.03394,0.03364,0.05217,0.0,0.0,0.03153,0.04484,0.03461,0.0436,0.0,0.03735,0.06355,0.1206,0.04992,0.04681,0.04241,0.04513,0.04219,0.0,0.04227,0.0,0.04387,0.04841,0.04876,0.03763,0.0,0.0,0.04538,0.04092,0.04151,0.05007,0.04405,0.06976,0.05107,0.06238,0.03728,0.03627,0.03401,0.0,0.05627,0.03452,0.0382,0.05074,0.0734,0.03703,0.1148,0.06692,0.55737,0.08445,0.07117,0.04663,0.0753,0.06672,0.04333,0.06846,0.1156,0.04433,0.04301,0.03965,0.09778,0.06914,0.03878,0.05637,0.06212,0.05748,0.06325,0.04882,0.03704,0.05281,0.0563,0.18089,0.03606,0.04605,0.05449,0.0491,0.03809,0.04211,0.05563,0.11394,0.04166,0.03985,0.04172,0.04769,0.03947,0.03852,0.04487,0.04321,0.06928,0.05032,0.04014,0.0425,0.05522,0.04643,0.03454,0.04236,0.05056,0.05793,0.07267,0.0378,0.04891,0.03846,0.07994,0.03789,0.03451,0.04307,0.03552,0.04199,0.0507,0.03019,0.0,0.11637,0.04604,0.06185,0.04066,0.05379,0.05755,0.0508,0.03712,0.03511,0.0329,0.0541,0.03307,0.03856,0.0342,0.0,0.04359,0.04324,0.0,0.05384,0.0,0.0,0.03757,0.04912,0.08065,0.0457,0.0,0.04538,0.03508,0.05473,0.0495,0.05153,0.04022,0.05296,0.06083,0.05189,0.09099,0.05377,0.04932,0.04005,0.03409,0.03849,0.0,0.0344,0.05593
-3.0,0.0323,0.03575,0.0419,0.0,0.03742,0.0519,0.04305,0.03255,0.0,0.0,0.03172,0.05964,0.02612,0.04029,0.03959,0.0377,0.0,0.03116,0.04642,0.04193,0.0,0.0,0.0,0.0,0.03479,0.03074,0.03779,0.07955,0.03809,0.03221,0.0,0.03161,0.06274,0.03869,0.03934,0.04406,0.07324,0.04188,0.05472,0.04519,0.03996,0.04416,0.04213,0.04297,0.04493,0.04841,0.04373,0.03532,0.04927,0.03549,0.05185,0.0324,0.04326,0.06767,0.0,0.04214,0.05531,0.037,0.03723,0.04795,0.03448,0.03207,0.03063,0.03233,0.04023,0.0466,0.05752,0.0,0.04546,0.03031,0.03452,0.08343,0.04419,0.03734,0.04039,0.055,0.03507,0.0334,0.0,0.03871,0.0413,0.0,0.0913,0.03813,0.03147,0.03486,0.05093,0.0,0.0,0.03116,0.04097,0.0336,0.0436,0.02972,0.03705,0.05339,0.1206,0.04321,0.04044,0.03849,0.03681,0.04219,0.03818,0.04081,0.0,0.04114,0.04208,0.05762,0.03494,0.0,0.0,0.04252,0.04092,0.04151,0.04615,0.04396,0.05303,0.05107,0.05864,0.03426,0.03531,0.03079,0.03482,0.05384,0.03321,0.03619,0.04563,0.06592,0.0346,0.09886,0.05584,0.52725,0.07691,0.06324,0.04331,0.07414,0.05863,0.04107,0.06667,0.10547,0.04188,0.04152,0.03734,0.09172,0.05703,0.03659,0.05033,0.0592,0.05472,0.05698,0.04845,0.0356,0.05023,0.05351,0.18089,0.03433,0.04099,0.05081,0.04626,0.03612,0.03586,0.05563,0.11026,0.03599,0.03555,0.03825,0.04013,0.03782,0.03651,0.03892,0.04145,0.06649,0.04849,0.03471,0.03776,0.04501,0.04269,0.03265,0.03779,0.04204,0.05594,0.06858,0.03358,0.04774,0.03524,0.06975,0.03592,0.03325,0.04223,0.0345,0.03667,0.04733,0.02865,0.03047,0.11307,0.04225,0.05908,0.0399,0.05112,0.04999,0.04813,0.03712,0.03511,0.03191,0.04497,0.03226,0.03954,0.03389,0.0377,0.03814,0.04124,0.0,0.05384,0.0,0.0,0.03468,0.04636,0.08065,0.0457,0.0307,0.04347,0.03418,0.04656,0.04644,0.04441,0.03587,0.04452,0.05561,0.04811,0.07826,0.0483,0.04005,0.03793,0.03276,0.03811,0.03426,0.0344,0.04731
-2.75,0.02681,0.03428,0.03924,0.04535,0.03702,0.0519,0.03713,0.03255,0.03088,0.03595,0.02849,0.05071,0.02602,0.03791,0.03603,0.03127,0.02688,0.03116,0.04642,0.0355,0.03048,0.03401,0.0,0.03393,0.03117,0.02912,0.03779,0.05832,0.03809,0.03221,0.0,0.02873,0.05412,0.04002,0.03934,0.04337,0.07233,0.03887,0.04731,0.0425,0.03764,0.04097,0.0391,0.03926,0.03823,0.04791,0.03822,0.03408,0.04354,0.03215,0.04188,0.03243,0.03681,0.06694,0.0,0.03875,0.04619,0.03235,0.03463,0.04306,0.0334,0.03017,0.02767,0.03011,0.03669,0.04375,0.04771,0.03979,0.04518,0.03027,0.03204,0.0772,0.03979,0.03578,0.04039,0.04847,0.03247,0.03002,0.05012,0.0356,0.0413,0.0,0.06915,0.0383,0.0293,0.03355,0.05093,0.03666,0.03311,0.02861,0.04097,0.03236,0.04207,0.02872,0.03079,0.04817,0.0761,0.04201,0.03411,0.03577,0.03354,0.03663,0.03562,0.04051,0.03559,0.04114,0.04055,0.04858,0.03411,0.04372,0.0304,0.03838,0.03823,0.03701,0.04269,0.04154,0.04487,0.04107,0.06308,0.03188,0.03342,0.02981,0.03234,0.04824,0.03111,0.03511,0.04339,0.06232,0.03289,0.0924,0.05082,0.46491,0.07396,0.05871,0.04188,0.07001,0.05419,0.03948,0.06194,0.09788,0.03916,0.0407,0.03552,0.0851,0.04949,0.03429,0.04231,0.0545,0.04617,0.04474,0.04113,0.03256,0.04466,0.04863,0.18089,0.03382,0.03823,0.04694,0.04343,0.03435,0.03388,0.03733,0.10574,0.03361,0.03353,0.03461,0.03681,0.03571,0.03469,0.0365,0.03844,0.06016,0.04277,0.03261,0.03433,0.04247,0.03739,0.03136,0.03534,0.04061,0.05646,0.05574,0.03139,0.04617,0.03394,0.06652,0.03482,0.03103,0.0387,0.03121,0.0358,0.0387,0.02698,0.02953,0.10723,0.03951,0.05201,0.0365,0.04806,0.04469,0.04294,0.03207,0.02902,0.02938,0.04028,0.03083,0.03954,0.0335,0.03669,0.0379,0.03871,0.0,0.05384,0.0,0.02965,0.03218,0.0402,0.08065,0.0457,0.03015,0.0427,0.03403,0.04266,0.03928,0.04235,0.03386,0.03942,0.05491,0.04652,0.07209,0.04277,0.03573,0.03793,0.03382,0.03982,0.03426,0.02919,0.04233
