,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,10.51125,6.99524,2.97154,8.1221,4.29916,5.53836,1.74745,0.00626,1.1174,0.11125,53.48978,0.0,67.32495,2.02648,6.24963,0.37137,48.05346,0.5693,0.84485,1.7081,0.3878,3.69763,0.4356,0.01084,1.80486,0.85051,2.045,3.81576,0.0,21.85534,1.44505,0.66497,11.75032,16.28324,2.59699,8.89913,18.44053,11.75,1.52343,1.62033,22.83694,20.52072,5.23567,5.59721,1.64162,13.97266,15.65573,3.52527,1.9334,0.70031,0.94832,0.85693,0.0,7.91156,0.95871,6.57678,4.23091,9.61463,3.95619,2.53908,2.84529,1.41097,2.13735,0.54447,1.95213,0.8941,0.90094,4.00446,0.89912,7.16676,2.30258,12.4551,81.27638,14.54656,1.55099,0.79991,1.16521,6.31872,1.17162,2.07999,4.14215,0.28202,1.78415,6.76025,3.59703,2.28783,6.72779,2.98666,5.49987,0.89333,0.0,0.80746,10.40314,0.0,0.94621,3.64357,1.15306,38.01295,7.15421,8.43123,16.9402,3.26832,1.87059,1.06017,1.60098,3.35508,5.88901,0.0,5.7846,8.10375,0.54608,0.04111,6.17437,2.98038,5.70402,1.77442,12.62234,11.22107,25.03481,10.85593,0.0,1.21644,0.44606,2.53989,2.41353,4.84219,0.0,26.82561,0.0,19.59863,24.06936,51.88009,0.0,0.0,35.04634,0.0,0.0,3.73075,12.20434,18.57452,0.0,0.0,25.26936,6.7646,3.87771,1.40688,2.86561,4.4636,9.98411,26.63056,1.91075,5.87522,3.33203,25.87284,41.42422,4.11707,0.0,29.80262,5.50365,14.3181,4.05536,1.32876,22.76823,0.74357,1.38146,3.18845,1.20913,36.29096,25.70253,35.34049,8.22013,7.71121,5.58101,1.91583,2.58198,1.98187,1.96409,0.60711,2.25464,3.43802,16.71484,16.56271,51.53553,49.69904,12.73045,2.43209,1.76976,3.09179,18.71297,2.2062,4.17265,3.95524,2.98929,2.14042,4.35655,0.0,0.0,2.19648,9.03066,51.49437,2.13105,2.29394,3.06643,3.85568,1.91532,2.11291,5.61923,2.2437,2.80092,1.47659,2.98943,10.07913,1.98968,0.34991,7.26725,0.70811,4.71538,4.98452,0.25512,16.52684,0.0,0.28085,0.77426,3.69763,0.52857,3.46987,2.27032,0.0,3.49372,4.69924,9.00787,29.31643,3.33315,1.78861,1.30882,1.07942,2.07212,16.34602
-4.75,10.555,6.99524,3.18437,8.1221,4.03176,4.04944,6.22412,0.00626,1.07154,2.23154,53.50568,16.0747,67.32495,2.02648,6.42117,0.37137,48.05352,2.34537,0.8867,1.7081,0.3878,3.20141,0.4356,0.01085,1.79306,0.7779,1.64966,3.81576,0.0,21.85948,5.17535,0.81226,11.75037,17.00461,2.597,9.28223,18.44058,11.75004,1.58483,1.5143,22.83694,19.40349,5.83044,5.17263,1.64162,15.34873,10.62407,3.52527,1.9334,0.72773,1.27493,0.85693,0.0,7.91156,0.95872,6.33848,4.30643,7.60741,3.95619,2.70604,2.60306,1.40626,2.13735,0.54447,5.3602,0.94642,0.90094,4.00447,0.89912,6.67515,2.63808,12.45513,83.65329,11.51661,1.74957,0.81821,1.17633,4.83588,1.17162,2.07999,3.70536,0.28202,2.07898,6.15254,3.38659,2.28783,5.01734,3.00611,5.49987,0.96798,0.0,0.80835,9.10323,0.0,0.84509,3.87444,0.98304,38.29259,7.50632,11.57606,13.93603,3.26833,2.20237,0.8242,1.50439,3.06059,10.751,0.0,5.95309,8.10375,0.56585,0.04111,4.91257,8.83311,5.82489,1.71677,12.82669,7.77213,25.03483,10.8827,0.0,0.85797,3.08552,4.47512,2.16712,3.24455,0.0,26.82563,18.46635,18.54066,24.06936,53.98069,0.0,0.0,41.57868,0.0,0.0,4.03769,10.38204,14.11038,0.0,17.55661,25.26955,6.76473,3.46311,1.37624,2.30039,3.73218,9.98419,29.37699,1.96445,5.64267,3.33205,33.55161,26.64842,6.04479,0.0,29.80272,5.08841,14.34148,3.84492,1.03261,22.76824,0.69271,1.46111,3.02576,1.06928,23.91133,25.70261,23.99619,6.16511,6.77203,5.58695,1.92122,3.11471,1.83475,1.96409,0.60711,1.69657,2.9071,16.86735,16.56273,53.61179,49.69908,10.2259,1.91807,1.77386,3.49424,18.7746,1.80021,4.25981,3.969,3.0125,1.95609,4.35656,0.0,0.00168,2.2583,8.39898,51.49451,2.16218,2.86245,3.06643,3.363,1.65717,2.18309,7.51559,2.73458,2.85283,1.54513,2.7893,10.07913,2.08449,0.34991,7.26725,0.71037,3.87687,4.98452,0.25512,16.52685,0.0,0.57181,0.73907,4.35493,0.52857,3.12716,2.30315,0.0,3.89327,4.20978,8.41761,29.31652,2.24798,1.78861,3.66234,1.16201,1.82189,13.7094
-4.5,14.78203,6.99524,2.43624,6.50498,4.0628,2.94458,5.47358,0.04781,4.15021,1.1551,53.50568,16.0747,67.32498,1.38364,6.42117,0.37137,24.2921,2.49684,0.87945,1.7081,0.3878,3.20141,0.52359,0.02152,1.60641,0.7185,1.64966,3.81576,0.0,18.38199,2.74516,1.03583,11.75041,16.22402,4.08933,9.28224,18.72324,11.75011,1.47397,1.42361,22.83694,19.88159,7.09881,4.2694,1.43899,19.78817,10.64049,3.32653,1.93341,0.63018,1.27493,0.85694,0.0,4.30765,0.76697,5.76414,3.79842,7.14195,4.12102,2.87627,2.61431,1.42698,1.80832,1.18354,4.29768,4.85157,1.06635,4.00447,0.90409,5.89021,1.71387,12.45515,84.29735,11.55116,1.70944,1.3443,0.91632,5.63167,2.4065,4.85938,3.33804,0.28202,2.01074,6.21711,2.9329,2.52603,5.13708,3.00613,5.39712,0.968,1.97165,0.80835,9.32648,0.0,0.84509,3.98503,1.00774,33.57957,8.55162,12.13776,14.9157,2.72369,1.97695,0.85071,1.35055,2.67651,10.751,0.0,5.7263,8.10375,0.93335,0.04111,4.25927,8.90914,6.07156,1.57451,10.50241,7.93181,25.98775,11.02124,0.55884,0.85797,2.13203,4.66162,2.48682,2.76323,14.70845,26.82565,18.46647,20.20185,24.06936,54.24792,0.0,18.32888,41.57879,46.50328,1.39752,4.10844,10.87305,15.00305,0.0,24.0381,25.26957,6.76486,3.29336,1.3778,1.95735,3.30436,9.98423,32.57749,1.78847,4.15489,6.87408,33.55169,26.85886,5.51752,22.54076,24.18866,5.08912,14.48878,3.40753,0.97698,17.96759,1.11937,1.46111,2.70665,0.81555,25.67388,25.70303,25.7776,6.18544,5.99679,5.59941,1.83323,3.11472,2.09782,1.96409,0.60711,1.69657,2.21736,18.16882,13.46531,53.61181,49.69908,10.24235,1.82786,1.75219,3.21379,18.80291,1.87349,4.05195,3.97555,3.05244,1.65873,4.41306,0.0,0.00172,2.11254,11.39437,41.73012,1.97702,3.08273,3.19625,2.80153,3.71104,1.95691,6.05569,2.31818,2.85283,2.7968,2.47679,8.09876,2.08449,4.91306,7.26726,3.44265,3.87687,4.98453,0.23223,14.27192,1.17159,0.80984,3.16089,4.43546,0.52857,2.69375,3.50143,0.0,3.87975,3.78604,8.01371,30.6959,1.70155,1.48444,3.03604,1.41001,1.85643,14.12359
-4.25,14.21986,6.99524,2.43624,5.60982,3.72424,2.61807,6.20411,1.51174,7.24113,1.09719,53.52366,16.0747,48.65575,1.61277,6.42117,0.27359,24.2921,19.77678,0.87945,1.13883,30.82578,3.20141,0.52359,0.28117,1.49494,2.16758,1.64966,3.81576,0.0,14.11722,6.20874,1.70769,11.75042,18.45262,4.45568,9.31236,18.72325,10.22575,1.36397,1.46797,22.83695,19.88165,6.47889,4.04561,1.41295,19.31343,7.78346,3.34069,3.19818,3.06493,0.79714,0.85694,0.03058,4.30765,1.03925,6.1396,3.54873,6.17487,3.755,2.85683,2.12026,1.56854,1.42584,1.0179,3.72996,3.93613,1.63062,4.51435,0.90409,5.70908,2.06291,12.95734,88.32485,13.43452,1.81901,1.41377,0.85725,5.63167,2.44415,3.91809,3.33923,0.28202,2.10655,6.17539,2.94882,2.35949,5.16774,2.77074,5.84886,1.14086,1.97165,1.54465,8.40523,0.0,0.76266,4.69574,0.96194,33.57959,9.25351,16.09369,15.05633,2.72369,1.69998,0.85071,1.19892,2.67651,7.20393,0.0,5.30488,8.19888,0.95274,0.85177,3.32544,13.50372,5.82246,1.55789,10.67969,7.05572,25.98777,11.68059,0.55884,0.74774,4.61726,5.16307,2.31878,2.45705,15.09764,26.82567,9.46004,24.11586,24.06936,56.16888,19.70326,19.72098,50.38754,46.50333,8.25917,3.39003,11.51789,19.76789,1.83458,24.85226,27.19757,11.06497,3.36436,1.30158,2.06462,3.21589,14.5354,32.62782,1.93298,3.45949,9.48528,50.73867,23.19406,3.92909,26.3327,24.18871,4.58537,14.50442,3.08601,1.13627,16.46243,1.38583,1.71985,2.68001,1.04061,26.64243,18.37578,26.55145,6.18544,6.05249,4.1285,1.93241,3.759,1.85809,1.96411,0.42195,1.77338,1.96077,18.24289,15.38951,53.6119,49.83846,10.35071,1.85379,1.42813,3.20905,15.82837,2.15915,4.08442,3.97557,2.28968,3.0541,3.37837,17.88008,24.00091,2.0938,11.70992,42.06218,1.88577,3.14218,2.74836,2.53796,3.30491,3.19827,4.88273,2.31818,2.14449,2.55658,2.36885,8.10302,2.08449,6.75653,7.26726,3.51184,3.46384,3.68532,1.56935,12.95152,3.15106,0.80984,3.59874,4.43547,5.50051,2.33048,3.22244,0.0,3.81116,3.33373,8.76006,31.41168,1.7817,1.50763,3.23887,2.236,1.87983,14.9072
-4.0,13.16036,6.99525,2.04584,4.97338,3.78879,2.49387,5.45255,1.66806,6.80147,1.50354,53.53399,16.0747,52.77141,1.37178,3.47445,0.27359,24.44265,19.77679,0.79736,1.13883,30.83712,3.20141,12.81941,0.31132,1.56394,2.16758,1.38031,1.92369,0.0,12.72486,5.34425,1.75795,9.87507,19.23376,3.90836,9.01412,18.32827,10.22595,1.41843,1.4893,22.83699,20.20183,6.81978,4.08033,2.14827,22.15014,7.20956,3.34069,3.1516,2.41183,4.83366,1.96429,0.03058,4.30766,1.03925,6.1398,3.57557,6.713,4.03802,2.93736,2.00291,1.37129,1.1835,5.07172,4.60249,3.45175,2.22796,3.92544,2.62923,5.25047,1.7135,13.09241,88.3252,14.93252,1.4741,1.7383,1.37516,5.63167,3.33045,4.66566,3.33923,0.28202,2.30397,4.80488,3.28982,1.9655,17.69831,2.56956,5.45965,1.11153,11.6484,1.37547,10.56712,0.0,0.71154,4.69575,1.06563,34.21428,10.56645,27.67121,15.36558,2.15937,1.59516,0.69425,1.31853,2.26779,5.48992,0.0,4.53556,8.32634,8.20342,19.3455,4.23326,12.22148,6.07624,1.62061,9.38691,7.91082,25.9878,11.57147,3.34718,5.32031,5.3366,5.05318,2.34493,2.10985,13.34169,62.76606,11.12006,21.23577,24.06936,57.13581,19.70328,20.83436,26.59834,46.50333,13.52501,3.6096,10.7217,16.34305,7.21248,23.83888,27.19758,13.05238,3.45078,1.75897,1.90393,2.61185,11.90059,33.25654,2.11062,3.84077,9.66935,28.85842,23.60284,3.61833,27.6267,29.20106,4.29183,14.60647,3.46449,1.16932,16.5536,1.3324,1.56171,3.14633,1.06923,22.24614,20.34678,28.48435,6.20541,4.8626,4.17205,2.73075,3.57469,1.66367,1.54669,0.44098,1.89822,2.10266,14.90604,15.50232,53.61192,49.85944,10.52856,2.05459,1.62059,3.25041,15.86405,2.07821,3.78139,3.62294,1.95243,2.25616,3.4162,27.06166,23.15952,2.79488,11.98278,44.76493,1.88838,3.16427,2.74836,3.07404,3.61554,3.32134,3.62015,2.49203,1.84288,2.16962,2.08811,8.10302,2.16513,5.26168,3.9101,3.51184,3.17599,3.68532,1.43874,12.96984,3.15106,0.65917,3.16025,4.02584,4.40913,2.37418,2.99629,8.91681,3.7472,3.42379,7.88091,34.2064,1.60185,1.31885,3.54358,2.47084,1.57423,13.97506
-3.75,12.00258,40.81281,2.16773,4.05462,3.76392,2.58227,4.11113,1.66806,6.12035,1.60303,53.56168,133.82897,58.68479,7.23313,3.50345,8.77514,13.44844,14.84316,4.87372,0.85549,23.0124,2.59274,8.03798,0.2942,1.5934,2.69637,1.27737,3.02438,0.09814,10.55183,11.28208,1.60684,15.50361,19.74877,4.35438,9.01413,14.77437,10.22604,1.42553,1.63692,11.38645,19.29687,8.38573,4.08708,3.0506,17.63077,7.8636,3.34069,5.81972,1.73584,29.01743,1.96429,0.03058,4.30766,1.40329,6.38605,3.5874,5.74537,3.81842,3.1956,1.55283,1.50097,1.70293,4.49447,4.57775,3.87719,5.1673,4.22685,2.63021,5.21945,2.24654,9.72667,88.3254,15.38322,1.48727,2.99861,1.72444,5.82981,4.05131,5.37731,3.33026,0.28202,2.43785,4.26005,3.56764,1.68083,13.13565,2.39512,4.16244,0.95277,7.05891,1.32444,11.05076,0.0,1.35213,3.96112,1.03829,25.69371,10.56647,18.51903,13.91502,2.28012,1.69423,0.71221,1.23816,2.77252,4.42207,0.0,3.57055,6.06655,9.09586,19.5179,4.23403,9.60549,5.71418,1.76394,7.22999,7.41356,25.98781,12.39924,4.43162,5.05604,6.79931,22.97521,2.35339,1.7141,15.61045,41.25944,14.79432,20.01335,12.95497,57.21921,31.34803,24.40311,29.17948,25.6588,17.47392,4.19717,11.77175,16.34404,17.21574,24.2084,27.1977,14.56734,3.10074,2.68084,2.95503,2.3175,11.90069,33.58825,2.32191,3.44459,10.31372,29.00899,23.60285,3.15596,30.80157,30.6436,4.45312,12.04869,3.60543,1.13314,12.60851,2.45605,4.92548,3.15741,0.99279,20.14809,19.32174,20.98621,5.07957,5.04121,4.146,2.76601,2.69712,2.19235,3.03409,0.94963,1.69307,2.05504,15.32417,16.84391,36.24093,49.91145,12.0672,1.82299,1.30947,2.86039,15.87646,3.45086,3.80624,3.6313,1.99662,2.18424,4.10468,27.78833,23.91867,2.76109,11.95697,44.97023,1.95949,2.88518,2.66445,3.4652,3.2869,2.81475,3.62015,2.96538,2.00618,1.97936,1.97751,9.28685,1.89449,5.07971,3.33365,3.14018,4.30787,3.68532,1.55373,12.87297,3.15106,0.65917,3.19911,3.5394,3.56648,2.12099,3.02543,10.88218,3.24669,3.18756,6.07765,34.20642,1.83125,1.49098,3.76372,2.651,1.54618,12.62565
-3.5,9.8877,54.3288,3.95965,3.66437,3.56498,2.3047,3.8248,4.92206,5.52161,3.00071,44.73371,63.5259,58.68479,7.23313,15.10213,7.90767,10.94659,9.89741,3.45391,11.07354,23.0124,2.35547,10.49838,3.13691,1.75565,2.84402,3.29238,3.02438,0.98956,10.41251,11.13062,1.56228,7.90631,17.86618,4.71625,9.01413,16.33237,11.3901,1.91132,1.66402,13.18771,17.6503,8.5933,4.11892,2.77857,24.62333,6.7549,2.74849,11.25041,2.208,18.68904,3.22399,6.74595,2.39947,2.084,6.59366,3.85424,5.13691,4.96851,2.70281,1.80096,1.73835,1.63383,4.92758,3.89808,3.6007,4.96438,3.7429,3.78478,5.28741,2.29126,8.53142,88.32544,15.91157,2.7369,4.04385,1.51789,6.60619,3.73678,5.05781,2.89434,3.68201,2.38066,4.30619,3.74132,1.80964,13.69582,6.46443,3.98669,2.56332,7.0616,3.51811,14.46159,88.06608,1.2667,3.54237,1.16226,23.55216,10.7582,31.60718,13.79958,2.54308,1.39605,2.85565,1.5827,3.02472,8.70199,0.0,3.63937,8.53834,7.18398,16.61953,4.05013,8.76607,6.06627,1.78168,4.84974,6.42142,12.9941,11.49546,3.98803,23.82312,5.87276,23.03142,2.03394,1.69806,11.24789,41.25953,16.73329,18.61548,13.59614,38.47492,26.65849,19.81419,30.16161,30.09872,18.77284,3.75267,9.66556,18.14947,15.32102,24.57126,13.89245,19.62444,3.13744,2.58254,2.76717,2.27237,14.23352,33.80555,2.11896,3.46791,10.32401,30.7396,20.60433,2.93134,31.68452,33.37113,4.12756,12.13617,3.87251,1.10797,11.96196,2.68149,4.21058,3.5987,1.14728,19.55739,18.52196,21.62729,4.26841,4.55032,3.58256,4.22732,3.63334,2.29367,2.53074,1.49155,2.39549,1.9835,12.73268,14.85559,27.67437,27.93111,12.86038,1.78886,1.18925,2.7475,14.71326,2.90944,3.80626,3.65547,1.78595,2.53081,2.94498,28.91548,24.71169,2.68737,12.1155,28.21661,2.49585,2.90178,3.20998,3.38193,2.98702,3.07552,2.573,2.98801,1.86469,1.73545,2.66188,8.56272,1.76188,4.9896,2.45365,6.39061,8.84556,3.68532,1.69462,11.06274,2.06501,0.65917,3.47822,3.60825,3.57396,1.84997,2.54412,23.20045,3.26049,4.21604,5.66258,34.20643,1.6992,1.51237,4.6921,2.53208,1.5231,11.18252
-3.25,9.24047,45.06336,4.44391,5.76598,3.31572,2.91369,4.16207,4.02868,6.24454,3.67997,32.96877,54.74174,49.94694,7.96997,13.34811,7.94427,11.63948,9.22465,3.38785,11.04604,19.22538,3.02406,8.41826,7.34149,1.8405,3.08293,2.80589,2.46445,5.35845,12.30257,10.40849,2.64652,6.34811,18.95497,6.74033,9.01413,14.18675,17.24969,1.7803,1.54943,11.84573,19.55512,8.34355,5.23697,2.73563,33.06728,5.78665,3.70205,9.73036,2.80795,19.79384,21.94331,9.81526,5.27839,2.8554,5.90775,3.99007,4.81678,5.92144,2.7312,1.90139,2.21138,2.29153,4.28081,3.58331,4.99329,4.91065,4.3917,3.54679,4.72076,2.97247,7.96152,59.40031,14.55266,2.98542,3.77912,1.34424,7.19213,3.38338,5.10984,9.41959,3.04436,2.28204,3.95405,4.20022,1.85389,9.85632,6.26268,3.85305,2.45072,6.21356,2.71194,13.77094,45.41946,1.2506,3.71743,1.14504,21.84552,10.24576,31.63995,12.63412,2.22604,1.73844,2.87805,2.1847,3.94122,9.0694,0.0,3.68877,7.93154,9.7628,10.55406,3.63101,8.63107,5.99901,1.77715,4.91134,5.28676,13.40611,11.02524,6.03576,21.2093,8.33839,20.15175,2.18132,2.20598,10.74315,34.70161,15.23202,19.03842,13.66155,40.03947,32.48208,22.70031,32.19805,24.99439,19.77511,4.25436,9.99387,19.42421,19.19933,19.47213,14.60607,26.72081,3.10791,2.86612,2.55048,2.27446,14.23371,34.01064,2.31138,3.33509,10.0434,24.82444,17.3573,2.72532,31.25002,34.90759,4.32604,14.24489,3.91922,1.3481,11.07593,2.63472,3.59604,3.90137,1.62644,18.78591,19.0419,18.71896,2.99201,4.06095,3.59696,5.02654,4.73281,9.59562,2.24403,8.62294,6.03211,2.082,10.70686,16.42596,29.95049,24.60729,13.20656,1.79538,1.74873,3.14901,14.91662,3.07895,3.36789,2.65762,7.42088,2.18844,2.48111,22.81612,19.85627,2.63945,12.15978,29.04337,2.35941,2.84904,4.80873,3.53795,3.01324,2.92201,4.01639,3.68784,1.90013,2.40995,2.01572,12.37104,1.48009,5.56478,2.44665,5.56504,5.83577,10.83697,1.9839,11.98475,3.53404,4.78801,3.17602,2.9543,3.23769,1.74367,2.20711,17.26713,3.0733,3.78086,5.4751,34.28364,10.30508,1.6468,3.91574,2.58918,2.05747,12.50966
-3.0,7.63306,37.30345,4.20557,6.17425,3.39341,2.78928,4.42486,3.74331,7.61629,6.47952,16.85505,51.12464,39.09658,7.83321,14.96994,7.48487,13.92972,9.03913,6.46371,9.55755,20.3965,3.71232,8.44468,8.25056,1.65089,6.00968,7.22268,2.7985,4.26297,10.82668,9.10097,2.79597,6.07943,17.89791,6.41552,9.15896,14.18678,21.41321,1.60494,1.55529,11.67277,17.14488,8.42366,3.88011,2.28924,29.6817,5.70208,3.6165,7.63813,2.55281,17.82951,18.30181,23.29714,6.03077,3.0049,5.04439,3.59632,4.35911,5.73332,2.57825,1.83313,2.42523,2.33586,4.14727,6.1313,7.22962,4.21214,5.53916,4.28943,4.57209,2.6353,7.06842,61.73884,14.08485,2.82059,4.39076,1.24202,6.57124,3.12591,4.91473,10.9399,9.41575,2.4089,4.04108,4.52312,2.37887,13.04122,5.64124,5.97316,3.04638,5.45973,3.91354,13.2679,38.58764,1.2506,2.93228,1.37075,23.86839,10.49839,29.63471,10.78769,2.25663,2.48764,3.52134,2.4889,3.73802,11.58759,0.0,3.43731,7.02802,9.38097,12.65983,3.53949,6.99125,5.537,1.82691,4.5985,6.43675,16.06708,9.88839,4.87288,20.62372,8.01911,18.0595,1.936,2.47993,15.5763,38.92965,18.5263,17.06395,11.42414,51.56227,31.12096,22.61861,28.00605,30.77948,18.39358,4.09447,10.06202,22.64952,19.35934,20.37908,14.55618,19.16775,3.16901,2.88238,2.6904,2.08274,17.28005,24.32577,2.2551,3.79076,8.91877,20.50582,14.57336,3.14425,24.80496,29.74176,4.28553,14.6899,3.59337,1.21708,11.14513,2.54327,3.16275,3.42169,1.56204,20.46396,20.12866,19.24465,2.90848,3.5922,3.03454,5.72085,5.59829,7.95635,2.88011,7.10368,4.63182,2.22904,7.39061,16.76232,31.35488,24.92056,9.10858,1.73484,1.8061,2.79614,15.29897,2.63772,3.57021,2.5383,7.50565,2.39316,4.80333,20.40285,14.55443,2.25859,9.66532,29.71412,2.43632,2.51687,4.69291,3.93625,2.72754,2.94484,4.62427,3.51481,2.37807,2.46882,2.62151,16.97823,2.03106,4.31768,2.11252,8.49917,5.9165,10.83697,2.72947,14.00858,2.91164,7.08651,3.23903,2.67649,5.58431,1.75535,2.5831,17.63152,2.90458,3.83676,4.96561,34.28366,9.04321,1.68309,3.23884,4.16722,2.2495,10.25099
-2.75,6.46449,37.17104,4.57764,7.05944,2.93224,2.91065,4.34199,4.04418,8.04861,5.95271,17.69092,44.80505,48.44056,7.75763,13.78799,7.35923,17.65456,8.81906,6.95014,11.49622,16.55073,3.55156,8.87484,7.85112,1.75943,5.75629,6.74191,3.66181,6.33606,9.0465,10.79238,2.58669,7.28285,12.97961,6.5265,8.25599,11.41861,16.19955,1.66193,1.64689,11.58758,15.98641,8.72169,3.73121,1.99095,27.35765,4.5638,2.89409,5.68581,2.67568,16.01921,30.4831,25.84088,8.32963,2.84902,4.81273,2.99388,4.23036,5.03867,2.45605,1.85019,3.03453,2.32072,4.15743,6.34885,7.16671,5.81438,6.31771,3.85568,4.29259,2.447,7.07378,46.91653,11.12837,3.20271,5.01053,1.29719,4.80904,4.96187,5.20184,11.89037,7.09187,2.47726,3.60752,5.37096,3.49722,11.6648,5.27234,6.1137,4.2125,4.84111,5.29144,12.80652,27.74301,4.82443,3.11943,1.2465,22.5109,9.49273,29.63488,10.58205,2.13081,2.26373,3.05482,1.98812,3.99235,9.89393,41.15498,2.81867,8.29823,8.37371,12.00736,4.36909,8.02909,4.31817,1.49091,4.15765,5.94808,16.75513,8.76059,5.81002,16.09003,8.64245,13.97498,1.70533,2.36887,18.11427,41.611,18.04909,15.02892,13.34864,49.2194,35.42738,20.60256,21.19144,27.40969,19.57554,3.6239,9.13881,30.46259,18.52491,22.51728,17.6328,17.38616,3.08274,2.50238,2.68473,1.70466,15.37763,32.1774,2.17581,3.45948,7.36362,21.09434,13.33303,3.54014,23.76908,31.83831,3.97613,10.21035,3.59547,1.18802,9.78377,2.75324,2.59109,4.20475,1.78909,19.93821,18.25702,18.55503,3.21913,3.4561,2.83825,4.62569,6.05593,6.99218,3.82535,6.04601,4.52267,2.22775,6.77604,14.52063,26.87079,27.53941,8.08972,1.68648,1.83487,2.54658,11.20522,2.64753,3.04556,2.35804,6.65068,2.28212,7.28254,20.62248,15.18683,2.27535,8.23179,30.01665,2.21382,2.43406,7.29031,5.09437,3.36453,2.70642,3.7482,3.72568,1.95992,3.43737,2.56121,14.01765,1.82858,3.60583,4.39409,9.74191,6.16402,10.83697,3.04109,13.32372,3.36762,8.83798,4.88474,2.12027,5.47382,1.74608,4.24638,14.35486,3.0863,4.17796,4.46944,28.43136,10.44335,3.47373,3.84997,3.73852,3.40508,9.13114
