,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,1.81445,1.54836,1.65732,0.0,3.09963,2.07083,0.0,0.0,0.0,0.32045,0.73763,0.43123,0.28382,0.0,0.0,0.0,1.45297,1.21129,0.0,0.1232,0.0,0.0,0.0,0.0,0.0,8.42269,0.0,0.0,0.0,0.0,0.0,1.21769,0.0,0.74942,0.0,1.56546,2.30265,0.0,0.0,2.59108,3.16163,0.52932,2.66892,1.21617,1.76006,0.28104,1.00584,5.51056,0.3856,0.0,0.0,0.38647,10.77349,8.89664,0.65579,1.56676,1.7211,0.0,1.45075,4.9859,3.11088,21.41544,0.0,2.68449,0.0,0.04348,0.68148,0.59607,0.51645,0.0,0.0,0.60508,0.40986,0.23496,0.93922,2.11925,0.0,3.91765,4.37852,0.0,7.32388,9.52877,0.0,0.0,1.99874,0.0,6.53797,0.0,0.11153,0.42562,0.0,1.2198,1.14127,0.31622,0.06146,0.0,1.09611,8.54431,0.0,0.0,0.94313,1.18134,0.47355,0.0,0.76781,1.50705,0.0054,0.00564,0.0,0.0,8.10861,0.0,11.61255,3.96895,0.67942,1.57252,0.0,2.01827,1.73229,0.0,1.57314,0.0,0.0,4.19097,0.0,0.0,0.0441,0.86474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9826,10.01326,0.0,12.29505,0.0,3.62456,0.0,2.31904,4.82758,2.69081,0.0,1.84371,3.70881,0.69837,4.12021,2.21444,0.0,5.92419,0.0,0.0,0.0,6.17723,1.7532,3.05696,3.57065,12.64826,0.61245,0.15458,0.62864,1.36561,0.0,5.28862,9.17477,0.0,3.09354,13.51584,0.40723,0.42862,0.0,0.0,2.89949,6.95913,0.0,8.20634,0.0,3.47188,4.39813,0.0,0.0,0.0,1.04524,0.77892,0.0,0.0,0.58737,5.69768,0.67244,11.59708,19.41977,0.0,1.66867,0.0,1.86806,1.33975,2.01595,0.16989,1.48697,0.0,0.0,0.45146,1.08642,0.0,6.0111,1.20438,0.0,0.01233,0.0,1.43554,1.164,0.07931,0.0,0.0,0.08429,0.0,0.0,1.96005,0.92613,5.59685,0.0,3.21033,14.77486,0.0,0.0,4.65179,0.0,0.0,0.0,0.75983,0.58425,0.42697,5.82488
-4.75,0.0,0.4436,1.81445,4.51353,1.72779,0.0,3.09963,1.7224,0.0,0.0,0.0,0.32045,0.73763,0.22929,0.28382,0.0,0.0,0.0,1.45297,1.21129,0.0,0.1232,0.0,0.0,0.0,0.0,0.0,8.4227,0.0,0.0,0.0,0.0,0.0,1.21769,0.55826,0.74942,0.0,1.62823,2.30265,0.0,0.0,2.59108,3.16163,0.52932,2.30137,1.21617,1.24436,0.28104,1.03487,3.52402,0.3856,3.37369,0.0,0.38647,10.77349,9.43202,0.65579,1.56677,1.48724,0.0,1.45076,4.9859,3.11088,21.42806,5.5848,2.68449,0.0,6.31036,0.68148,1.57715,0.51645,0.0,0.0,0.6937,0.85829,0.28712,0.93922,2.11926,0.0,3.91765,4.37852,0.0,7.3239,9.81087,0.0,0.0,3.10107,0.0,3.36927,0.0,0.11153,0.42562,0.0,0.92438,1.14128,0.52108,0.06146,0.0,1.09611,9.46358,0.0,0.0,0.94314,1.18134,0.6314,0.0,0.76781,1.26052,0.0054,0.00564,0.0,0.0,8.10861,0.0,11.61259,3.96895,0.67942,1.57252,0.0,2.53246,1.7323,0.70606,1.57314,6.46323,1.64965,3.58425,0.0,0.0,0.0441,0.86474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2051,15.4188,0.0,7.10357,0.0,4.30997,0.0,2.34621,4.82759,4.33861,0.0,1.7428,3.1994,0.69837,3.97224,2.51856,0.0,5.92421,4.38379,0.0,0.0,6.69459,1.7532,3.05696,2.50375,12.64826,0.61245,0.78278,0.62895,1.36561,0.0,5.53073,9.17477,0.0,3.09356,14.38957,0.40723,0.42862,0.0,2.77616,2.89949,6.95913,0.0,8.20635,0.0,2.86287,4.06694,2.70761,0.0,1.22013,1.04524,0.77892,0.4454,6.38658,0.58737,5.69768,0.67245,11.59708,21.54523,0.0,1.79002,0.0,1.91548,1.33975,2.01595,0.16989,1.48697,0.0,0.0,0.5502,1.91902,0.0,6.0111,1.23825,0.0,0.03293,0.0,1.43554,1.01629,0.07931,0.00808,0.0,0.08429,0.0,0.0,1.97563,0.62005,5.59685,0.0,2.30827,14.77486,0.0,0.0,4.6518,0.0,0.94036,0.0,0.75984,0.58425,5.69778,5.8249
-4.5,1.34688,0.72526,1.87648,4.51771,1.75571,1.39031,3.09963,1.7224,0.0,0.0,0.0,0.32045,0.73763,1.33029,1.15577,0.0,0.0,0.0,1.45297,1.21129,0.0,0.1232,0.0,0.0,5.22895,0.0,0.0,8.4227,0.0,0.0,5.43646,0.0,0.0,1.38111,0.55826,0.81083,0.0,1.88091,8.20203,1.64774,0.0,2.59108,3.62436,0.52932,2.30138,1.13226,1.13556,0.28104,1.10132,3.17186,0.3856,3.37369,0.0,0.38647,10.77349,9.20738,0.72747,1.50436,1.48724,0.0,3.44967,5.01399,3.11089,14.32732,5.5848,1.82824,0.0,6.31036,0.68148,1.86456,0.51646,0.0,0.0,0.71349,0.91364,0.3141,0.98783,2.18089,0.0,3.91765,2.99016,0.0,7.3239,7.31076,0.0,0.0,3.1238,37.76488,3.36927,0.0,0.11153,0.40986,0.0,0.92438,1.14128,0.52108,0.27494,56.05507,1.35916,9.46359,5.38073,0.37904,0.50184,1.558,0.6314,4.34263,0.76781,1.48162,0.0054,1.4967,0.0,0.0,8.15757,0.0,11.93341,3.96898,0.67942,1.57252,0.0,2.53246,1.46594,0.70607,1.57314,7.49037,1.64965,3.62849,42.42442,0.0,0.0441,0.86474,0.0,21.34651,0.0,0.0,0.0,0.0,0.0,3.20511,15.41892,0.0,8.01237,16.34619,4.30997,0.0,2.34621,3.87294,4.33861,0.0,1.81868,3.32499,0.69837,3.97224,2.64767,15.69806,5.92422,4.3838,0.0,0.0,4.80253,1.1809,3.05696,2.40947,12.64826,1.06186,0.78279,0.75391,1.36222,0.0,5.81742,9.59711,0.0,3.09356,8.24506,0.40723,2.02292,0.0,2.77616,2.92804,6.95915,0.0,8.20638,0.0,3.74,4.42029,2.71728,16.57198,1.22013,2.40944,0.64813,0.4454,3.66471,0.58737,5.96277,0.83259,11.59708,22.22813,0.0,1.79003,0.0,1.92755,1.47897,2.01595,0.16989,1.48697,0.02655,0.06482,0.5502,1.92306,8.57924,6.0111,1.17074,0.0,0.03293,0.0,0.97607,1.01629,0.07931,0.00808,0.0,0.08429,1.95917,0.0,1.58883,0.67993,4.22618,0.0,2.30827,14.77486,11.31722,0.0,4.6882,3.86645,0.94036,1.9663,0.75984,0.58425,4.1238,5.8249
-4.25,1.82012,0.72526,1.9204,4.53983,1.75571,1.39031,3.09963,1.7224,0.0,0.0,0.0,2.88462,0.64976,1.33029,0.95581,0.0,0.0,0.0,1.45297,1.21129,0.0,3.06762,0.0,0.0,5.22895,0.0,0.18049,8.4227,0.0,0.0,5.43646,0.0,40.2021,1.48859,0.91411,0.61428,0.0,1.55663,4.11963,1.64774,0.0,11.45283,4.88413,0.93452,1.86067,3.37103,1.14694,0.49861,1.10385,3.17186,3.92102,2.28677,0.0,0.81345,10.77349,9.20747,0.6708,1.78206,1.48724,26.87259,2.73084,8.2572,1.5876,13.99878,5.5848,1.48627,0.0,6.31036,0.59946,2.01299,0.47302,0.0,0.0,0.65998,0.85469,0.48847,1.11882,1.96179,0.29636,3.06028,3.15771,0.0,7.32391,7.34739,0.0,0.06468,3.22647,21.476,2.3297,2.64285,0.11153,0.50983,0.1249,0.94307,1.14128,0.42882,0.27494,56.05507,1.35916,9.46359,3.99131,0.37905,1.6066,1.92093,0.71518,4.34263,0.52271,1.49322,0.11285,1.80458,0.0,0.0,8.15757,0.0,9.27308,4.46116,0.67942,1.57252,0.0,14.10967,1.83216,0.70607,1.57314,7.83985,1.64965,3.63491,42.42452,0.0,0.37765,0.86483,0.0,23.23632,0.0,0.0,27.97505,0.0,0.0,3.48514,17.01012,0.0,8.18381,16.3462,4.31006,0.0,3.21036,3.87295,4.43074,0.0,1.82097,2.5929,0.578,3.98307,2.74488,15.69808,6.00335,2.83965,0.0,29.77361,4.82148,1.25975,1.68574,2.4424,7.83304,2.73582,0.92904,1.02137,1.36222,0.0,7.22654,9.62954,0.0,2.98243,8.33856,0.40723,1.49624,1.68327,2.77616,2.92805,6.95915,0.0,8.20638,0.0,3.72934,5.43655,2.76742,16.57235,0.79271,2.42019,0.6517,1.29322,5.98924,2.11317,5.96277,0.69645,11.5971,27.9605,0.0,1.567,0.0,1.85837,1.49249,1.74597,4.96773,1.48697,0.06256,0.06482,0.5502,1.92308,4.33308,6.01111,1.18514,0.0,0.03293,0.0,1.00965,1.01629,1.12304,0.00808,0.0,0.08429,2.26051,0.0,1.58883,0.86164,3.10418,0.0,2.30828,14.77486,11.47262,5.51789,4.6882,3.86645,0.50927,1.9663,0.75986,3.90143,3.27427,5.82491
-4.0,1.93293,0.35906,1.97078,3.45791,1.79094,1.39031,1.95606,1.58723,0.0,3.2001,28.50453,2.88973,0.70078,1.33029,0.95588,15.50423,0.0,0.0,1.45297,2.73434,0.0,3.06762,0.0,0.0,5.22895,1.75942,0.18049,8.4227,3.38994,0.22411,5.33759,0.0,40.2021,1.10222,1.14814,0.61428,0.0,1.63198,4.11965,1.71443,0.0,5.87457,4.11502,1.16719,2.18875,2.93828,1.12589,4.57427,1.1553,2.40212,4.15336,1.45872,0.0,0.81345,10.77349,9.47443,0.70975,1.49633,1.49086,27.35743,3.50147,8.25721,1.65326,11.45868,2.60836,4.08553,0.0,9.1288,0.8284,2.05116,0.37233,0.0,0.0,0.85449,0.8194,0.49164,0.9526,1.79256,0.29636,3.06029,3.15771,0.0,7.32394,7.38324,0.0,0.28684,3.33774,21.476,2.3297,1.93674,0.11154,0.45085,0.12491,1.19581,1.14128,0.42882,0.27494,56.0551,1.16549,9.4636,4.01623,1.50912,1.37538,1.93344,0.66111,9.12903,0.77489,1.59087,0.11285,1.80458,0.0,58.16328,6.65298,1.78505,9.31936,3.07031,0.67943,1.57252,0.0,14.10967,1.83217,0.70607,2.4918,9.29592,2.41155,3.75174,34.66948,0.0,1.92727,0.86484,0.0,53.27124,29.60643,0.0,27.97517,0.0,0.0,3.28998,20.98491,0.0,8.62695,15.25176,4.14282,0.0,3.20789,2.95901,4.43075,0.0,1.42652,2.70815,0.63441,2.97784,2.85422,15.69809,6.06795,1.63602,0.0,18.23288,4.59191,1.29883,1.41134,1.64755,7.83305,1.67639,2.18862,1.15888,1.97657,1.72902,6.4251,9.83887,0.0,3.19886,8.33857,0.43783,1.50662,1.18032,2.77617,2.92805,4.68052,0.83373,8.2065,0.0,2.7341,5.43656,2.73496,25.37356,0.79271,1.88667,0.65366,1.29322,7.41909,2.11317,3.61416,0.75901,7.73159,35.69718,0.0,1.35498,11.47546,1.92016,1.87369,1.13141,4.96773,1.48697,1.42678,0.5621,0.41677,1.58284,3.03128,6.01111,1.18514,48.81501,0.03294,0.0,1.00965,1.01629,0.91989,0.26907,0.0,0.08429,2.12074,0.0,1.58883,0.66295,2.39406,0.0,2.80534,14.77486,11.65039,5.51798,4.02672,3.86645,11.22431,6.67352,0.75986,3.90144,5.04893,5.51115
-3.75,1.45949,2.37052,1.76873,4.85543,1.79094,1.39031,1.31552,1.60314,0.0,3.29672,14.60818,2.48414,1.01223,1.12402,1.09231,10.99872,0.34698,0.0,4.47321,2.74151,0.0,3.07118,0.0,0.0,5.22895,1.70138,0.76556,8.4227,3.40074,0.22411,6.37653,0.0,40.20246,1.15529,1.07538,1.31846,11.14828,1.65668,4.11965,1.6334,12.47192,5.94511,4.11503,1.34827,2.69975,2.86204,1.13001,3.60545,1.07005,2.40759,3.59558,1.15744,0.0,0.81345,21.39602,10.1271,0.84909,1.49633,1.5458,27.72797,2.66885,7.57958,1.71928,11.46078,3.33078,4.11923,2.96555,9.1288,0.67654,2.00903,0.399,0.0,0.0,0.87137,1.79858,0.59449,0.99309,1.79256,0.29636,2.35441,3.15771,3.70488,7.32394,6.51513,0.0622,5.08429,3.39035,21.47601,2.2384,1.74576,0.46769,0.46243,0.12491,1.23877,1.14128,0.50058,0.79606,21.50605,1.67645,7.58033,3.8423,1.69344,1.37802,1.75774,0.62413,6.99343,1.79722,1.59087,0.85717,1.80458,0.0,69.83164,5.73419,1.95835,9.82971,2.62285,1.30745,2.93205,0.0,14.10967,1.46338,0.70607,1.79458,10.06368,2.14431,3.75175,34.66988,0.0,1.9295,0.86484,1.65499,53.27135,29.60766,0.0,30.09891,0.0,0.0,2.4375,28.4792,0.0,6.56335,16.45574,3.71904,0.0,2.64895,2.84298,3.38491,0.0,1.63829,2.76144,0.63441,3.05052,2.93332,24.60948,6.06795,1.6186,0.0,33.10174,3.86942,1.19981,1.41135,2.02082,7.83305,1.65792,2.27597,1.1201,1.74501,12.78349,5.73177,11.75704,12.98401,3.22229,10.80268,0.4092,3.10673,1.18034,2.77617,2.10888,3.17134,1.28212,8.20652,0.0,3.11152,4.54957,2.44625,27.71978,1.00474,2.19369,0.65366,1.29322,6.84756,2.11317,3.09151,0.82047,7.73163,35.69722,0.0,1.37353,11.47557,1.90625,1.68071,10.50787,4.16031,1.0617,1.42678,0.69558,0.40865,1.62638,3.03128,6.01111,0.87272,48.81501,0.03294,4.95222,1.00965,1.21492,2.29636,1.20205,0.0,2.92822,2.17553,0.0,1.83124,0.6823,1.99514,0.0,2.90229,14.77486,11.65041,14.30057,4.02782,3.86645,11.22431,7.00387,0.75986,3.90144,5.0921,4.1602
-3.5,1.89259,5.26455,1.66695,4.92255,1.45631,2.90616,1.31552,1.42837,0.0,6.95295,9.84207,2.07448,1.02448,1.24009,1.46483,11.06087,1.57436,0.0,3.27287,2.74151,25.95718,1.71943,16.87398,0.0,5.22895,1.34401,1.23206,8.4227,5.64326,0.22418,5.40483,0.68932,42.22316,1.16076,1.88674,1.16217,12.34293,1.64026,2.78488,1.08605,15.42172,5.75366,4.21897,1.64128,2.69975,2.86405,1.21569,3.034,0.98077,2.9854,3.69442,1.86697,43.68641,0.82748,14.40029,10.12711,0.84909,1.36608,1.4558,27.88962,2.06353,6.45081,12.8349,11.46078,3.33304,3.53435,2.33402,7.46309,1.0997,2.32157,0.6243,0.11872,0.0,0.82675,1.83246,0.59796,1.20781,1.83483,0.29636,2.03967,3.15771,3.70489,7.78898,4.99004,0.32426,3.6246,2.94569,12.96043,1.47098,2.31335,0.46769,0.46243,1.23398,1.05256,1.14129,0.73126,0.75227,29.15979,1.78915,7.58034,3.57177,1.89273,1.35774,1.62174,0.68835,6.99343,2.05161,1.59088,0.68711,2.45515,6.10683,69.83166,5.77653,3.16991,9.90492,1.85118,1.30745,2.05983,13.59557,14.10967,3.77325,0.67956,1.40011,10.44984,2.30268,4.49964,34.82224,0.0,1.9192,0.86485,7.08229,53.2722,29.60768,18.20316,30.30131,0.0,0.0,2.52655,28.4792,0.0,5.82754,21.41917,3.9858,0.0,2.48236,2.34374,2.90068,0.0,1.46911,2.36159,0.91272,2.02768,2.86502,24.6095,5.70544,1.51901,33.84368,35.01112,3.63361,0.94222,1.38755,2.03887,7.83305,1.60945,2.74739,1.13482,1.76642,12.82023,5.82426,8.79415,14.084,3.37774,6.10996,0.88266,3.14224,2.25414,2.77617,1.78182,2.77555,1.09546,8.20654,0.0,2.49255,4.69303,2.27803,27.71987,1.00474,2.43065,1.23374,1.11187,6.8487,2.11317,3.07772,1.38409,7.73164,26.02711,0.0,1.45387,7.8127,2.50354,1.61543,10.53357,3.63414,2.99993,1.42678,1.06295,1.69692,1.76632,3.03129,6.01111,0.91143,58.80904,0.48199,4.95222,1.00965,1.26676,1.97561,2.45809,0.7569,2.92822,2.27805,0.0,1.44433,1.40376,1.62034,6.67186,3.18959,14.77486,11.73971,13.93223,4.1174,3.86645,8.2886,5.25308,0.75986,3.90146,5.30174,4.1602
-3.25,3.19902,4.65356,1.4586,6.19598,1.64182,7.89225,1.32763,1.42838,0.0,2.56435,9.74567,3.77443,3.58424,1.04785,1.55558,8.87002,1.57436,1.96039,3.22285,2.69204,25.98031,1.71943,16.87399,0.0,2.62623,2.33497,2.19725,8.4227,5.64326,0.18143,5.48709,2.15955,49.12502,1.11232,2.35287,1.42159,9.73281,1.23247,2.71732,2.28179,18.16584,5.10707,3.77962,1.48001,2.46757,3.10292,1.15641,5.81002,1.03976,2.99778,4.51884,1.74937,29.65113,0.82748,11.33077,10.12713,1.10354,1.49218,1.3699,13.49985,1.75825,5.41514,7.57947,9.79874,2.59746,3.53435,2.40541,5.87178,1.0997,2.44377,1.1901,4.92571,0.0,0.79197,2.52582,1.32236,1.20999,1.58498,0.29636,1.88817,3.1648,11.35267,7.78898,4.16387,1.25188,4.27194,2.59126,12.73816,1.77959,2.39794,0.46769,2.07845,3.99222,1.84008,0.8434,0.72206,0.9704,30.08547,1.90367,8.7615,3.31328,2.3184,1.20307,1.62471,0.67637,4.94554,1.87819,1.65423,0.95173,2.04846,5.92516,69.83166,4.48622,3.23331,10.17648,1.93183,1.60639,1.8735,20.08746,10.20884,3.73094,0.67176,1.43066,11.17613,1.78187,3.69688,39.80384,0.0,1.96585,0.86485,7.70597,53.27221,29.60769,22.33041,56.21264,0.0,0.0,1.8567,18.15046,20.54106,4.42821,21.61707,4.14034,5.08466,2.71936,1.97228,2.62784,0.0,1.4359,2.29888,1.00272,2.00494,2.79641,24.9456,6.44969,1.3599,24.21714,36.46298,4.23682,0.88802,1.14529,3.61664,7.83305,1.64909,2.47068,1.17335,1.64915,17.9072,5.31296,8.1455,14.96377,3.37774,5.1906,1.65705,5.2018,2.31174,1.5449,2.02242,8.71785,0.93046,8.20655,0.0,2.67317,3.3507,1.98691,28.66599,0.83032,2.70407,1.97109,1.02107,7.11055,1.70361,2.73482,1.32807,5.82466,26.18996,0.0,1.25727,8.1373,2.37554,1.4884,8.73739,2.75146,4.29976,1.08197,1.06295,1.7219,1.57625,2.96668,3.01915,0.92845,17.72531,14.90224,4.95222,0.81892,1.03262,2.52483,2.55603,2.78047,3.37718,1.87809,0.29473,1.12786,2.62231,1.86326,3.66429,3.18959,14.77486,7.38774,15.19901,2.96585,1.93323,8.71349,6.80633,0.93219,2.95704,3.79541,4.20452
-3.0,2.85162,4.16999,1.84823,5.21449,1.62443,8.18952,5.39601,1.42838,0.0,2.56435,11.57441,4.60389,3.06025,1.67085,1.57761,8.34945,2.84831,1.09047,3.17797,2.29976,25.98569,1.61443,16.87399,3.10769,4.00167,5.83966,2.00573,8.4227,5.64326,5.25322,5.48709,2.15956,49.12534,1.3452,2.90711,2.24548,14.39044,1.17082,2.03662,3.27194,18.94214,4.72595,3.43013,1.50341,1.88408,2.56041,1.00656,5.49615,0.98463,4.30189,3.78208,1.52615,19.30842,2.40142,11.7404,7.99614,1.54106,1.62406,1.47167,13.75697,1.61175,4.5372,6.37887,6.57805,2.59272,3.34275,2.12794,5.83389,1.5302,2.25914,1.44513,5.74877,21.75417,0.77116,2.27269,1.33341,1.46163,1.34612,1.03735,1.49125,3.20272,6.62923,7.78898,3.34933,5.84575,4.54972,2.74172,11.64946,1.78085,2.40963,0.62396,2.01203,2.73769,3.26418,22.79526,0.86692,0.87507,24.48567,1.90367,7.2325,2.83434,3.75703,1.02423,4.07128,0.79292,5.04033,1.88477,3.6122,2.04802,2.06567,5.90377,56.00503,7.00196,3.4467,10.17648,1.94,2.29098,1.70485,21.29098,10.20885,3.74389,2.07434,1.77529,11.17615,1.81358,3.24598,39.80394,7.56392,1.53084,0.86485,8.67265,53.27228,41.60914,22.55007,56.21264,16.35907,0.0,1.73772,18.15046,20.54106,4.48866,22.19245,3.65718,5.08479,2.40145,1.71877,1.72546,10.37701,1.52896,1.96765,2.60876,2.06467,2.50775,16.88622,8.52721,1.19284,26.9949,36.76664,4.3393,0.97073,1.21184,3.12027,7.83322,2.59099,2.15453,1.16893,1.57532,14.11529,5.07227,9.49352,14.16767,3.45931,4.62758,1.3034,4.91015,1.87887,1.43998,2.03788,8.65602,0.83269,8.20656,23.51752,2.81322,2.91881,1.9037,28.83465,1.08848,2.89407,1.93781,1.98233,7.65235,1.25065,2.30408,1.56597,4.65977,17.185,31.82574,1.10507,15.13834,2.06451,1.38666,11.04902,4.12276,3.37273,0.88383,1.08917,1.72547,1.51445,2.96668,2.4955,1.03236,14.55106,10.33288,36.50908,1.44815,1.28011,2.32513,2.55605,3.06157,3.69001,1.94442,0.73462,1.13244,9.69634,2.29733,3.02117,3.18959,14.77486,7.38774,15.50329,2.89316,1.7339,6.52215,4.14389,1.62699,3.9872,3.63891,3.27929
-2.75,2.35108,4.73445,1.88719,7.81154,1.86042,5.89783,5.00132,2.32023,1.08294,3.25842,10.61848,4.68058,2.68314,2.86421,1.71555,7.23181,2.49058,1.18087,2.67912,3.06818,18.17016,1.70467,18.40752,1.65046,3.85105,5.9005,2.58115,12.89396,9.59944,6.37062,5.15533,8.60599,49.12544,1.89365,2.90713,2.85675,16.68743,1.24454,1.8082,2.71085,18.0896,3.83721,2.74337,1.58639,2.01665,4.67157,0.97203,5.75093,1.40106,3.94933,3.21121,1.33156,20.92413,4.47813,10.21124,7.84016,1.95946,1.67122,1.69208,15.33398,2.30079,3.59495,6.55643,5.51219,2.52546,4.7381,3.62262,8.67277,1.15913,2.05038,1.64878,5.7488,21.75431,0.91654,2.1071,1.12175,1.62345,1.33301,3.44089,1.58002,2.03592,4.9928,7.78898,2.76207,3.64933,5.64716,2.67129,9.35487,1.79933,2.89514,1.07831,2.22248,16.61684,2.81516,22.81036,1.19577,0.85428,16.8544,4.72319,7.88915,2.5827,3.06806,0.98308,4.32566,0.85426,3.46221,1.77294,3.37004,3.50427,1.93232,4.16517,48.44624,6.66465,3.18249,10.56775,1.94001,2.3639,1.74299,23.45325,12.48544,2.75699,2.04035,1.38162,13.74159,3.00577,2.72187,40.29344,12.647,1.36571,0.47714,7.62722,53.27237,32.70333,23.37605,56.21264,16.35954,0.0,1.86702,18.93106,12.96,4.11153,22.19254,3.31111,5.0848,2.08973,1.65183,1.82692,10.37709,1.40125,2.33193,2.25794,1.95872,2.59768,17.15699,8.6237,1.22603,27.38691,26.56998,3.85299,1.11156,1.74396,3.12027,5.27059,2.61302,2.15388,1.14379,1.58759,13.31013,3.7127,9.02986,14.27704,4.93335,4.11109,1.01566,4.88189,2.21376,1.43998,2.42178,6.78884,1.23555,8.20656,30.96189,2.66149,3.01362,1.90595,37.69658,1.35978,2.60463,2.11422,1.77636,8.11577,1.75182,2.07741,3.14099,4.06733,14.91872,36.06115,1.34868,18.57425,1.98494,1.07162,15.57009,3.26243,2.74522,2.88543,1.27485,6.70036,1.4827,1.99705,2.47877,1.49862,9.47853,11.23285,28.72083,1.61535,2.50572,3.02476,2.76587,2.02382,3.80446,2.86131,1.67982,1.11451,8.25541,2.3912,2.32408,3.18959,5.73908,8.01034,15.64029,2.89736,1.6958,4.62969,4.47326,3.70802,5.5843,3.45808,2.55971
