,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.05976,0.05108,0.05514,0.0,0.05497,0.04799,0.0,0.0,0.0,0.0484,0.02907,0.06266,0.05493,0.0,0.0,0.0,0.04571,0.04724,0.0,0.03879,0.0,0.0,0.0,0.0,0.0,0.04961,0.0,0.0,0.0,0.0,0.0,0.05867,0.0,0.06413,0.0,0.07965,0.05954,0.0,0.0,0.09405,0.07692,0.04968,0.0726,0.05872,0.05974,0.03804,0.04847,0.04173,0.05645,0.0,0.0,0.07604,0.03958,0.15253,0.05961,0.06828,0.06632,0.0,0.03936,0.04204,0.03311,0.03439,0.0,0.03828,0.0,0.03472,0.08286,0.04503,0.05162,0.0,0.0,0.05441,0.05418,0.07231,0.04316,0.04173,0.0,0.03845,0.04797,0.0,0.24295,0.06348,0.0,0.0,0.0897,0.0,0.04044,0.0,0.0747,0.03653,0.0,0.03741,0.05185,0.06298,0.08864,0.0,0.05076,0.16995,0.0,0.0,0.03943,0.04338,0.03339,0.0,0.11481,0.07788,0.06235,0.03545,0.0,0.0,0.04865,0.0,0.16288,0.06973,0.07757,0.04191,0.0,0.05543,0.04874,0.0,0.04474,0.0,0.0,0.07159,0.0,0.0,0.0683,0.21677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08802,0.36801,0.0,0.14147,0.0,0.1562,0.0,0.07869,0.07617,0.05668,0.0,0.09138,0.09419,0.07876,0.08235,0.12804,0.0,0.33401,0.0,0.0,0.0,0.18127,0.06369,0.07075,0.07407,0.16689,0.05253,0.06505,0.06593,0.09635,0.0,0.10777,0.18812,0.0,0.1587,0.12973,0.10795,0.07014,0.0,0.0,0.04173,0.04816,0.0,0.11462,0.0,0.07387,0.11898,0.0,0.0,0.0,0.05539,0.05112,0.0,0.0,0.05316,0.0539,0.04541,0.35545,0.33123,0.0,0.0499,0.0,0.10109,0.06025,0.05986,0.06597,0.04357,0.0,0.0,0.04659,0.04202,0.0,0.1048,0.04685,0.0,0.05043,0.0,0.03684,0.03703,0.03893,0.0,0.0,0.06675,0.0,0.0,0.061,0.06934,0.03926,0.0,0.07187,0.25624,0.0,0.0,0.10023,0.0,0.0,0.0,0.06301,0.04216,0.04301,0.0851
-4.75,0.0,0.04087,0.05926,0.04696,0.04738,0.0,0.05497,0.04641,0.0,0.0,0.0,0.0484,0.02907,0.05038,0.05493,0.0,0.0,0.0,0.04571,0.04724,0.0,0.03879,0.0,0.0,0.0,0.0,0.0,0.04584,0.0,0.0,0.0,0.0,0.0,0.05711,0.05976,0.06308,0.0,0.07496,0.05954,0.0,0.0,0.08661,0.07366,0.04936,0.07516,0.05767,0.05599,0.03804,0.04883,0.04202,0.05645,0.03533,0.0,0.07604,0.03958,0.15196,0.05898,0.06636,0.06317,0.0,0.03936,0.04204,0.03151,0.03439,0.03247,0.0351,0.0,0.02867,0.08286,0.04246,0.04894,0.0,0.0,0.04991,0.04966,0.07192,0.04316,0.03939,0.0,0.03845,0.04797,0.0,0.20778,0.06117,0.0,0.0,0.07991,0.0,0.04429,0.0,0.0747,0.03653,0.0,0.03791,0.04601,0.06004,0.08864,0.0,0.04928,0.14505,0.0,0.0,0.03791,0.04338,0.0337,0.0,0.11405,0.06348,0.06235,0.03237,0.0,0.0,0.04826,0.0,0.15021,0.06973,0.07757,0.04191,0.0,0.05221,0.04328,0.03719,0.04474,0.23141,0.04115,0.06856,0.0,0.0,0.05776,0.21677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08415,0.34844,0.0,0.13415,0.0,0.13777,0.0,0.07416,0.07207,0.05439,0.0,0.08794,0.0908,0.07876,0.0741,0.12202,0.0,0.32674,0.05789,0.0,0.0,0.17028,0.06096,0.07075,0.066,0.16689,0.05253,0.05878,0.0637,0.09635,0.0,0.10474,0.18077,0.0,0.15309,0.12255,0.10795,0.06083,0.0,0.05776,0.04173,0.04816,0.0,0.10833,0.0,0.07042,0.11261,0.0797,0.0,0.06003,0.05353,0.05112,0.04509,0.1388,0.05316,0.0539,0.04541,0.33919,0.31843,0.0,0.04685,0.0,0.09084,0.05968,0.05986,0.06597,0.04262,0.0,0.0,0.04277,0.03985,0.0,0.1048,0.04443,0.0,0.04853,0.0,0.03684,0.0355,0.03893,0.04681,0.0,0.06675,0.0,0.0,0.05974,0.06427,0.03926,0.0,0.06854,0.25624,0.0,0.0,0.09384,0.0,0.03267,0.0,0.06263,0.04216,0.03981,0.08339
-4.5,0.03011,0.03939,0.05525,0.04696,0.0444,0.03944,0.05497,0.0458,0.0,0.0,0.0,0.0484,0.02907,0.04369,0.03953,0.0,0.0,0.0,0.04571,0.04724,0.0,0.03879,0.0,0.0,0.03218,0.0,0.0,0.04584,0.0,0.0,0.0258,0.0,0.0,0.05555,0.05976,0.06202,0.0,0.07357,0.05403,0.04536,0.0,0.08661,0.06533,0.04936,0.07516,0.05263,0.05337,0.03804,0.04676,0.03671,0.05645,0.03533,0.0,0.07604,0.03958,0.14281,0.05321,0.06455,0.06039,0.0,0.03572,0.04022,0.0299,0.03687,0.03167,0.03451,0.0,0.02867,0.04562,0.04152,0.04626,0.0,0.0,0.04615,0.04902,0.0677,0.04112,0.03704,0.0,0.03923,0.04608,0.0,0.20778,0.06094,0.0,0.0,0.07538,0.02618,0.04429,0.0,0.0747,0.03582,0.0,0.03739,0.04601,0.06004,0.07587,0.15961,0.04589,0.13978,0.07524,0.04116,0.03616,0.04005,0.0337,0.03219,0.10262,0.06327,0.06235,0.0319,0.0,0.0,0.0452,0.0,0.14545,0.06575,0.07757,0.04191,0.0,0.05221,0.04151,0.03558,0.04474,0.22488,0.04115,0.06556,0.58823,0.0,0.05776,0.18894,0.0,2.74542,0.0,0.0,0.0,0.0,0.0,0.08415,0.33866,0.0,0.12951,0.3304,0.13777,0.0,0.07312,0.06883,0.05248,0.0,0.08528,0.08969,0.07876,0.07229,0.11664,0.55752,0.31965,0.05436,0.0,0.0,0.15524,0.06236,0.07075,0.06072,0.16689,0.04529,0.05787,0.06034,0.082,0.0,0.1011,0.16606,0.0,0.15309,0.11451,0.10795,0.05613,0.0,0.05776,0.04084,0.04464,0.0,0.10402,0.0,0.06612,0.10887,0.07404,0.30796,0.06003,0.05186,0.04735,0.04233,0.13218,0.05316,0.04552,0.03609,0.32202,0.29831,0.0,0.04685,0.0,0.08257,0.05491,0.05986,0.06597,0.04072,0.05077,0.04016,0.04277,0.03937,0.0395,0.1048,0.04364,0.0,0.04853,0.0,0.03621,0.0355,0.03893,0.04681,0.0,0.06675,0.03165,0.0,0.05692,0.06238,0.03759,0.0,0.06362,0.25624,0.26002,0.0,0.08746,0.06251,0.03267,0.04878,0.06074,0.04216,0.0405,0.08339
-4.25,0.02971,0.03939,0.05298,0.04546,0.0438,0.03944,0.05497,0.0458,0.0,0.0,0.0,0.04803,0.02767,0.04369,0.0359,0.0,0.0,0.0,0.04571,0.04724,0.0,0.03836,0.0,0.0,0.03218,0.0,0.03058,0.04584,0.0,0.0,0.0258,0.0,0.53794,0.04703,0.0527,0.05722,0.0,0.06592,0.05733,0.04292,0.0,0.07902,0.06313,0.04422,0.0652,0.05101,0.04993,0.03566,0.04555,0.03619,0.04836,0.03587,0.0,0.0544,0.03958,0.13583,0.05119,0.06218,0.06039,0.22597,0.0397,0.03559,0.04881,0.03516,0.03167,0.0331,0.0,0.02875,0.04393,0.03971,0.03985,0.0,0.0,0.04381,0.04785,0.06364,0.03712,0.03791,0.03039,0.04016,0.044,0.0,0.18941,0.05864,0.0,0.02848,0.07264,0.02771,0.04236,0.0371,0.0747,0.03583,0.05923,0.03533,0.04601,0.06476,0.07587,0.15373,0.04589,0.13827,0.07424,0.04116,0.03539,0.03818,0.03152,0.03068,0.06616,0.06015,0.05233,0.03113,0.0,0.0,0.0452,0.0,0.13634,0.06161,0.0765,0.04191,0.0,0.04905,0.04124,0.03558,0.04474,0.21018,0.04115,0.06207,0.55065,0.0,0.05055,0.18023,0.0,2.5929,0.0,0.0,0.50807,0.0,0.0,0.07833,0.32299,0.0,0.12114,0.31946,0.12854,0.0,0.06996,0.06576,0.05058,0.0,0.08231,0.08372,0.07434,0.06868,0.11452,0.54153,0.26123,0.05189,0.0,0.52628,0.147,0.05993,0.05541,0.05446,0.16117,0.04201,0.0535,0.05248,0.077,0.0,0.09323,0.16055,0.0,0.13702,0.10913,0.10795,0.0569,0.04081,0.05776,0.03996,0.04464,0.0,0.10366,0.0,0.06312,0.10219,0.07135,0.29107,0.05408,0.05,0.04673,0.03864,0.12787,0.04736,0.04552,0.03534,0.31749,0.28551,0.0,0.04488,0.0,0.08173,0.05026,0.05814,0.0451,0.03729,0.05037,0.04016,0.04277,0.03937,0.04497,0.09319,0.04316,0.0,0.04853,0.0,0.03558,0.0355,0.03518,0.04681,0.0,0.06675,0.03362,0.0,0.05559,0.05278,0.03614,0.0,0.05983,0.25624,0.2619,0.36472,0.08555,0.06251,0.02945,0.04878,0.05377,0.03818,0.03945,0.07017
-4.0,0.0276,0.04001,0.05178,0.04263,0.04186,0.03944,0.04543,0.04111,0.0,0.0393,0.0367,0.04349,0.02747,0.04369,0.03565,0.02756,0.0,0.0,0.04496,0.04499,0.0,0.03762,0.0,0.0,0.03218,0.02872,0.03058,0.04523,0.02862,0.02398,0.026,0.0,0.53794,0.045,0.0488,0.05722,0.0,0.0594,0.05277,0.0421,0.0,0.07081,0.05882,0.04328,0.06001,0.05069,0.04818,0.03644,0.04301,0.03478,0.0459,0.03321,0.0,0.0544,0.0333,0.12802,0.04812,0.05675,0.05686,0.2082,0.03773,0.03559,0.0472,0.03376,0.03022,0.03256,0.0,0.02732,0.04288,0.03794,0.03723,0.0,0.0,0.04492,0.04497,0.06009,0.03657,0.03661,0.03039,0.04016,0.04359,0.0,0.18941,0.05433,0.0,0.02832,0.06759,0.02771,0.04133,0.03623,0.06903,0.03368,0.05617,0.03577,0.04601,0.06326,0.07587,0.14784,0.04206,0.13148,0.06881,0.03636,0.03467,0.03818,0.03109,0.02987,0.06192,0.06373,0.05233,0.03036,0.0,0.05101,0.04249,0.04376,0.12764,0.05976,0.07351,0.04191,0.0,0.04905,0.03814,0.03234,0.0383,0.19624,0.03645,0.06087,0.52128,0.0,0.05012,0.18023,0.0,2.45255,0.51306,0.0,0.4878,0.0,0.0,0.07284,0.29557,0.0,0.11372,0.29155,0.1238,0.0,0.06618,0.06186,0.04927,0.0,0.07982,0.07978,0.06979,0.06444,0.10402,0.48998,0.23065,0.05007,0.0,0.5103,0.14137,0.05509,0.04416,0.04321,0.15478,0.03902,0.04951,0.05134,0.05246,0.19772,0.08671,0.14768,0.0,0.1252,0.10195,0.09323,0.05392,0.03935,0.0472,0.03908,0.04236,0.06748,0.09522,0.0,0.05808,0.09746,0.0661,0.26874,0.05222,0.04628,0.04612,0.03668,0.11909,0.04241,0.04341,0.03343,0.32506,0.26722,0.0,0.04209,0.31276,0.07878,0.04863,0.05087,0.04492,0.03729,0.04668,0.03594,0.0464,0.03367,0.0385,0.09319,0.04259,0.03808,0.04474,0.0,0.03558,0.03503,0.03302,0.03982,0.0,0.06675,0.03191,0.0,0.05465,0.05467,0.03301,0.0,0.0611,0.25624,0.24684,0.34751,0.07865,0.06251,0.02875,0.04273,0.05377,0.0363,0.0379,0.06781
-3.75,0.02608,0.03787,0.04746,0.0409,0.04156,0.03944,0.03949,0.03999,0.0,0.0393,0.04049,0.04,0.02575,0.03651,0.03481,0.02716,0.02992,0.0,0.03872,0.04469,0.0,0.03642,0.0,0.0,0.03218,0.02736,0.02518,0.04523,0.02787,0.02398,0.02483,0.0,0.46413,0.04282,0.04731,0.04887,0.42138,0.05814,0.05237,0.0371,0.22483,0.06905,0.05524,0.04062,0.05888,0.05072,0.04448,0.03464,0.04172,0.03478,0.04324,0.03002,0.0,0.0544,0.02955,0.11916,0.04486,0.05595,0.04882,0.19353,0.03358,0.03399,0.04527,0.03312,0.02885,0.03072,0.02807,0.02732,0.03964,0.03471,0.03674,0.0,0.0,0.04261,0.04138,0.05664,0.03515,0.03603,0.03039,0.03409,0.04359,0.03011,0.18941,0.05042,0.04489,0.02868,0.06512,0.0254,0.03963,0.03563,0.05398,0.03146,0.05617,0.035,0.0365,0.05867,0.06712,0.13109,0.03996,0.12228,0.06572,0.03655,0.0328,0.03506,0.03007,0.03051,0.05735,0.06152,0.04725,0.03036,0.0,0.04767,0.04062,0.04155,0.12052,0.05577,0.05901,0.02741,0.0,0.04824,0.03622,0.03234,0.03615,0.18461,0.03398,0.0587,0.48797,0.0,0.04877,0.16631,0.37524,2.32233,0.46785,0.0,0.46473,0.0,0.0,0.07016,0.28484,0.0,0.10772,0.27526,0.11186,0.0,0.06093,0.05978,0.04312,0.0,0.07553,0.0778,0.06979,0.06064,0.0996,0.46422,0.22445,0.049,0.0,0.46533,0.13426,0.0529,0.04294,0.04164,0.15478,0.03687,0.04475,0.04864,0.04878,0.18896,0.08329,0.14652,0.20435,0.11991,0.09641,0.06929,0.05116,0.03757,0.0472,0.03153,0.04231,0.05765,0.08354,0.0,0.05438,0.09257,0.06427,0.2567,0.04806,0.04305,0.04612,0.03546,0.11257,0.04241,0.03832,0.03343,0.32206,0.25175,0.0,0.04041,0.29545,0.07346,0.04742,0.04707,0.0419,0.03368,0.04605,0.03529,0.04189,0.03292,0.03658,0.09319,0.03539,0.03808,0.04474,0.03113,0.03558,0.03302,0.03094,0.03445,0.0,0.04086,0.02998,0.0,0.04855,0.05128,0.03356,0.0,0.06072,0.25624,0.22236,0.32328,0.07712,0.06251,0.02811,0.04022,0.05112,0.0363,0.03413,0.06491
-3.5,0.0245,0.03528,0.04535,0.03956,0.03718,0.03653,0.03421,0.03832,0.0,0.03475,0.03525,0.03742,0.02496,0.03525,0.03056,0.02566,0.02615,0.0,0.03273,0.04469,0.02539,0.0325,0.02751,0.0,0.03218,0.02711,0.02391,0.04523,0.02652,0.02098,0.02359,0.0337,0.43785,0.04076,0.04437,0.04736,0.40041,0.05293,0.04637,0.0359,0.2136,0.06565,0.05342,0.03851,0.05587,0.04985,0.04101,0.03208,0.03992,0.03336,0.0431,0.02829,0.02762,0.04339,0.0283,0.11593,0.04474,0.0506,0.04666,0.18537,0.0316,0.03132,0.03855,0.03286,0.02839,0.02819,0.02672,0.02479,0.03777,0.03249,0.0339,0.38795,0.0,0.04067,0.04083,0.05246,0.03378,0.03415,0.03039,0.03126,0.04193,0.02856,0.15573,0.0481,0.04112,0.02723,0.0608,0.02296,0.03519,0.03457,0.05367,0.03146,0.04942,0.0333,0.03589,0.05528,0.06293,0.12335,0.03743,0.11876,0.0631,0.03464,0.03011,0.02854,0.02877,0.02975,0.05603,0.05978,0.04214,0.02914,0.02555,0.04612,0.03807,0.03898,0.11419,0.0527,0.05901,0.02718,0.28272,0.04824,0.03606,0.02842,0.03444,0.17152,0.03314,0.05457,0.45625,0.0,0.04637,0.1576,0.35603,2.16587,0.46391,0.53181,0.44108,0.0,0.0,0.06722,0.28484,0.0,0.09971,0.25555,0.10781,0.0,0.05915,0.05677,0.0412,0.0,0.06937,0.07302,0.05772,0.06258,0.09159,0.43476,0.20135,0.04705,0.30397,0.43389,0.12499,0.04789,0.04215,0.03942,0.14711,0.03512,0.04122,0.04621,0.04697,0.17592,0.07738,0.13122,0.19032,0.11291,0.09088,0.05571,0.04972,0.03383,0.0472,0.03013,0.04033,0.05311,0.07995,0.0,0.05198,0.08782,0.06135,0.23694,0.04775,0.04103,0.04032,0.03193,0.11085,0.04241,0.03687,0.0329,0.26787,0.23842,0.0,0.03704,0.27703,0.07257,0.0462,0.04612,0.03926,0.0322,0.04541,0.03421,0.03536,0.03211,0.0361,0.08003,0.03353,0.03426,0.04197,0.03113,0.03558,0.03052,0.02673,0.03258,0.03049,0.04086,0.0288,0.0,0.04882,0.04666,0.03201,0.03153,0.05819,0.25624,0.22236,0.29998,0.07406,0.06251,0.0272,0.03621,0.04678,0.03504,0.03001,0.06103
-3.25,0.02521,0.03417,0.04006,0.03771,0.03408,0.03363,0.03207,0.03832,0.0,0.03238,0.03569,0.03058,0.02253,0.03181,0.02767,0.0233,0.02585,0.02695,0.03155,0.0406,0.02464,0.0325,0.02751,0.0,0.0257,0.0263,0.02227,0.04523,0.02614,0.02038,0.02166,0.03402,0.41296,0.03946,0.04168,0.03959,0.36996,0.04773,0.04195,0.03449,0.19709,0.0639,0.04906,0.03647,0.05322,0.04679,0.03886,0.03002,0.03495,0.03324,0.03847,0.02706,0.0272,0.04266,0.02652,0.10489,0.04308,0.04904,0.04315,0.16985,0.03035,0.02943,0.03025,0.03084,0.02599,0.02815,0.0254,0.02259,0.0375,0.03157,0.03117,0.36237,0.0,0.03879,0.0367,0.04728,0.03258,0.03312,0.03039,0.03026,0.03944,0.02778,0.17411,0.04968,0.03844,0.02468,0.05514,0.02211,0.03309,0.03295,0.05306,0.02846,0.04536,0.03273,0.0322,0.05262,0.05439,0.1152,0.03571,0.10726,0.05785,0.03142,0.02892,0.02777,0.02671,0.02857,0.05456,0.05813,0.03713,0.02887,0.02467,0.04612,0.03554,0.03774,0.10865,0.04797,0.04852,0.0261,0.26104,0.04061,0.03526,0.02736,0.03411,0.16253,0.03209,0.05267,0.4248,0.0,0.04372,0.14542,0.32634,1.99683,0.41668,0.50707,0.433,0.0,0.0,0.06466,0.26763,0.79804,0.09218,0.24147,0.10015,0.61562,0.05437,0.05394,0.04021,0.0,0.0623,0.06751,0.05589,0.05734,0.08572,0.42225,0.17584,0.04379,0.28205,0.41327,0.11815,0.04534,0.03793,0.03771,0.14711,0.03451,0.03769,0.0442,0.04309,0.1643,0.07226,0.12681,0.17777,0.11255,0.08358,0.04758,0.04629,0.0325,0.0501,0.02939,0.03925,0.04856,0.07887,0.0,0.04892,0.08127,0.05791,0.22075,0.04463,0.03797,0.03665,0.03147,0.10374,0.03281,0.0351,0.03135,0.25003,0.21995,0.0,0.03563,0.25588,0.06771,0.04204,0.04153,0.03606,0.02947,0.04303,0.03326,0.03454,0.02911,0.03156,0.07725,0.02968,0.03084,0.0387,0.03113,0.03285,0.02848,0.02631,0.03204,0.02624,0.03427,0.02757,0.03756,0.04683,0.04429,0.03001,0.03009,0.05819,0.25624,0.22288,0.27692,0.07169,0.04399,0.02551,0.03377,0.04162,0.03092,0.02928,0.05395
-3.0,0.0239,0.03191,0.03855,0.03648,0.03236,0.03229,0.03197,0.03749,0.0,0.03187,0.03272,0.02889,0.02205,0.02852,0.02552,0.02283,0.02496,0.02411,0.02998,0.03638,0.02314,0.03097,0.02751,0.02192,0.02416,0.02492,0.0211,0.04523,0.02614,0.01924,0.02136,0.03372,0.39739,0.03702,0.03909,0.03692,0.34539,0.04406,0.03897,0.03088,0.18188,0.05695,0.04569,0.03389,0.04906,0.0416,0.03631,0.02769,0.03214,0.03136,0.0359,0.02518,0.02547,0.0383,0.02422,0.10005,0.03989,0.0454,0.04158,0.16029,0.02829,0.02705,0.02663,0.02782,0.02632,0.02737,0.02432,0.02106,0.03346,0.02948,0.03057,0.33255,0.31734,0.03712,0.03388,0.04146,0.03019,0.02994,0.02506,0.02701,0.03892,0.02453,0.17411,0.04547,0.03661,0.02404,0.05198,0.02041,0.0321,0.03029,0.04854,0.02675,0.04174,0.02974,0.03069,0.04775,0.04621,0.10941,0.03453,0.10199,0.05448,0.03041,0.02724,0.02589,0.02492,0.02781,0.0522,0.05287,0.03515,0.02526,0.02423,0.04176,0.03279,0.03548,0.10628,0.04557,0.04489,0.02518,0.24235,0.03538,0.03486,0.02571,0.03108,0.14781,0.03051,0.04995,0.39165,0.43102,0.04136,0.14542,0.31585,1.86579,0.3832,0.48049,0.433,0.41393,0.0,0.0589,0.22493,0.75517,0.09291,0.22001,0.09311,0.59677,0.05157,0.05129,0.03725,0.37857,0.05913,0.06335,0.05235,0.05575,0.07934,0.36481,0.16558,0.04075,0.26321,0.38415,0.10874,0.04253,0.03622,0.03611,0.10672,0.0322,0.03454,0.04188,0.03922,0.15256,0.06732,0.11919,0.16285,0.10278,0.08099,0.04303,0.04284,0.03103,0.04405,0.02727,0.03778,0.04587,0.07421,0.37719,0.04603,0.07762,0.0559,0.21324,0.04147,0.03562,0.03359,0.02952,0.09191,0.03103,0.03283,0.02966,0.22578,0.20253,0.2658,0.03546,0.23875,0.06635,0.04054,0.03868,0.03318,0.02885,0.04282,0.03211,0.0325,0.02688,0.03124,0.07323,0.02784,0.02939,0.03302,0.02911,0.02925,0.0263,0.02535,0.03037,0.02684,0.02805,0.02622,0.03383,0.04474,0.04108,0.02821,0.02946,0.05377,0.25624,0.22948,0.26303,0.06416,0.03091,0.02447,0.03122,0.0383,0.02688,0.02841,0.04642
-2.75,0.02207,0.02936,0.03667,0.03192,0.02995,0.03039,0.0327,0.03041,0.02739,0.03069,0.02926,0.02621,0.02012,0.02643,0.02365,0.02107,0.02334,0.02089,0.02649,0.02968,0.02133,0.02683,0.02273,0.02018,0.02315,0.02372,0.02001,0.03635,0.0228,0.01828,0.01963,0.02985,0.36157,0.0335,0.03822,0.03445,0.31535,0.04058,0.0359,0.02932,0.1664,0.05262,0.04293,0.03205,0.04517,0.04023,0.03485,0.02663,0.02978,0.02749,0.03315,0.02376,0.0243,0.0359,0.02338,0.09075,0.034,0.043,0.03767,0.14615,0.02661,0.02459,0.0239,0.02678,0.02475,0.02619,0.02264,0.0202,0.03173,0.02815,0.02701,0.30612,0.29502,0.03507,0.03169,0.03751,0.02734,0.02772,0.02099,0.02509,0.03205,0.0232,0.17411,0.04098,0.03287,0.02241,0.04982,0.01887,0.03066,0.02981,0.04007,0.02487,0.03892,0.02738,0.03069,0.04337,0.04293,0.09663,0.03198,0.08666,0.05079,0.02909,0.02476,0.02347,0.02342,0.02522,0.04869,0.05001,0.03091,0.02327,0.02209,0.03836,0.03001,0.03202,0.08964,0.0441,0.04216,0.02297,0.22284,0.03225,0.03145,0.02378,0.02929,0.1362,0.02839,0.04514,0.35765,0.39763,0.03773,0.1409,0.27288,1.76458,0.35895,0.43584,0.433,0.38678,0.0,0.05574,0.21135,0.67341,0.08322,0.20572,0.08709,0.51957,0.04611,0.04839,0.03514,0.3482,0.05503,0.05923,0.0461,0.0505,0.07428,0.33632,0.15533,0.0374,0.24224,0.35406,0.10061,0.039,0.03365,0.03489,0.10114,0.03056,0.0315,0.03843,0.0377,0.14181,0.06214,0.11422,0.15137,0.09537,0.07273,0.03885,0.03986,0.02766,0.04405,0.02555,0.03469,0.04238,0.07259,0.35223,0.04283,0.07019,0.05053,0.21654,0.03734,0.03375,0.02968,0.02792,0.08519,0.03253,0.03114,0.02739,0.2097,0.18779,0.24109,0.03282,0.22412,0.06137,0.036,0.03636,0.03109,0.02591,0.03861,0.02798,0.02976,0.02506,0.02658,0.06711,0.02609,0.02874,0.0307,0.02725,0.0284,0.0239,0.02435,0.02887,0.02319,0.02653,0.02445,0.03186,0.04063,0.03847,0.02594,0.02714,0.04873,0.18105,0.19273,0.25174,0.06029,0.02788,0.02331,0.02966,0.03151,0.02569,0.02658,0.04394
