,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,18.74853,0.18523,15.84317,4.73243,1.2382,0.0,0.0,2.97535,0.0,0.20959,0.0,0.0,0.0,0.96812,0.88052,0.0633,0.0,0.98038,1.26488,0.0,0.0,1.15862,0.0,0.0,1.17813,0.0,0.0,0.05362,0.0,0.0,0.0,2.50847,8.70467,9.85702,13.21267,0.6645,4.10114,16.543,0.0,0.0,14.83414,25.86818,4.01667,3.67534,0.88273,21.75757,0.0,0.0,0.23367,4.69918,0.0,7.52832,0.0,0.0,0.0,2.51911,1.18507,2.04921,2.20688,1.4511,0.97822,10.31535,4.0437,0.50185,0.63004,0.0,0.02675,0.0,1.76574,3.68561,0.82795,2.223,39.59179,0.86546,0.0,0.0,0.0,0.04153,4.5042,0.0,0.20557,0.0,1.03211,0.18021,0.0,1.0648,0.0,0.0,0.21665,0.0,0.14531,0.0,0.36524,0.0,2.8208,1.98881,1.66181,24.61395,4.45777,0.0,1.0848,0.0,0.0,0.0,0.0,1.9009,0.0,0.0,0.75636,0.0,0.0,0.0,0.0,0.43389,0.54571,0.71112,1.1996,1e-05,1.39138,1.45475,0.0,0.47548,0.0,1.74268,2.34509,0.0,5.63207,24.32117,2.3385,1.34094,44.12051,2.54074,0.0,12.67702,1.08561,7.93476,5.13201,1.07221,1.11494,6.54557,44.05073,4.09929,2.09277,11.26643,1.30103,4.11548,0.05111,0.0,30.45434,1.47164,4.41797,1.78168,0.36745,16.07676,14.68825,0.74157,13.41606,10.26354,0.58752,0.87088,0.50513,1.08496,1.2214,2.56499,1.28386,0.65251,0.0,0.98538,0.93919,0.7858,0.88534,15.07353,1.20001,9.51571,0.0,2.54432,0.0,1.54169,1.12435,0.70873,1.59275,5.21046,8.89857,1.18903,2.48211,5.2895,0.75374,1.97452,4.73886,1.48053,0.6977,4.10325,2.35353,0.14634,1.30603,12.8813,19.22994,0.21768,1.78217,0.83968,9.03163,4.27823,0.71568,0.0,2.62345,1.32913,7.57549,2.10848,0.22043,0.05048,0.4951,0.0,0.90206,0.0,0.0,0.0,0.0,30.5998,0.0,0.14195,0.0,0.0,0.56951,1.66752,0.1163,2.06794,7.99042,9.69417,5.76178,2.76725,1.74967,7.31887,2.77067,1.05504,0.0,0.63691,0.0,0.56105
-4.75,10.42278,0.18523,15.84317,4.73595,0.92867,0.0,0.0,2.97541,0.0,0.3016,0.0,0.0,0.0,0.96812,0.88052,0.0633,0.0,0.98038,1.26488,0.0,0.0,1.15862,0.0,0.0,1.21164,0.0,0.0,0.05362,0.0,0.0,0.0,2.50847,9.79402,9.85702,13.773,0.6645,3.82782,16.543,0.0,0.0,14.83414,26.73535,4.17108,3.25861,0.96921,21.76959,0.75563,0.0,0.23367,4.69918,0.0,7.52832,0.0,0.0,0.0,2.56754,1.35887,2.56699,2.20688,1.57328,1.02289,8.91279,4.0437,0.50185,0.63005,0.03248,0.02675,0.0,1.76574,3.69802,0.65839,2.05755,40.9929,1.16834,0.0,0.0,0.0,0.04153,4.5042,0.0,0.22143,0.0,1.04808,0.18021,0.0,1.0648,0.0,0.0,0.21665,0.0,0.48208,0.0,0.36524,0.0,2.8208,2.21619,1.71376,25.7341,4.5952,20.88875,1.15355,0.0,0.13736,0.0,0.0,1.9009,0.0,0.0,0.74474,0.0,0.0,0.0,0.0,0.43389,0.85504,0.71112,1.60619,1e-05,1.64369,1.48025,0.0,0.75953,0.0,1.25895,2.34509,0.0,7.03329,24.32124,6.60964,1.84934,44.12054,2.57825,5.61484,13.14868,1.16022,5.85225,4.79943,1.11406,1.31944,6.43163,44.62803,3.98206,1.9796,11.26643,1.12198,4.44804,1.1372,6.08301,30.96292,1.45333,3.86443,1.78168,0.36745,19.94615,12.95489,0.59552,12.19515,11.02872,0.56452,0.87542,0.49564,0.94942,1.18754,2.03229,1.28386,0.59215,0.0,1.03906,0.80665,0.84276,0.88534,15.07353,1.23617,9.51571,0.0,2.54432,0.0,1.5417,1.12435,0.83265,1.59275,4.59096,7.16843,1.05218,2.2986,3.88834,1.09839,1.98243,3.12555,1.48053,0.71123,4.10857,2.38341,0.14634,1.07361,13.01196,19.62354,0.24095,1.40213,0.82195,7.75583,3.6294,0.48402,0.0,2.64437,1.34454,7.57549,2.11885,0.22043,0.05048,0.4951,0.0,0.90206,0.0,0.0,0.0,0.0,30.64395,0.0,0.14195,0.0,0.0,0.56951,1.70795,0.1163,2.06794,8.01677,9.71871,5.77294,2.82569,1.75186,7.15023,2.81191,2.31942,0.0,2.71946,0.0,0.6114
-4.5,10.42278,0.18523,15.84317,4.74908,1.04757,0.0,0.0,7.48269,9.66847,0.30161,0.0,0.0,0.0,0.96812,0.94411,3.87068,0.0,1.01155,1.26488,0.0,0.0,1.15862,0.0,0.0,1.21164,0.0,0.0,0.05362,0.0,0.0,0.0,2.50847,7.45767,10.63316,13.86781,0.74528,3.91443,19.7974,0.0,0.15869,18.06749,27.13309,4.21722,3.07825,0.96921,21.76959,0.75564,0.0,0.23367,4.69918,0.0,7.52833,0.0,0.0,0.10541,4.85246,1.38891,5.00719,2.20688,1.59482,1.02289,8.91279,4.0437,0.50185,0.66193,0.03248,0.02675,0.0,1.76574,3.54122,0.65839,1.97303,94.57688,1.11167,28.01693,0.0,0.0,0.04153,4.5042,0.0,0.22143,0.0,1.04808,0.13422,0.0,1.0648,0.0,0.0,0.21665,2.88178,0.48208,0.33718,0.36524,0.0,2.87419,6.44386,1.48004,25.81457,3.79477,20.38972,1.00746,0.0,0.24102,0.0,0.0,1.9009,0.0,0.0,0.74474,0.0,0.11333,0.88345,0.0,0.43389,0.8201,0.40661,1.24192,1e-05,1.67151,1.48025,0.0,0.75953,0.0,1.48076,2.34509,0.0,7.03329,24.40362,7.21819,1.95325,44.23286,2.61933,4.16557,9.14,1.2276,4.79323,5.04619,1.04106,1.31396,6.61013,49.21534,3.84032,1.71348,6.7758,1.01513,3.70349,1.23501,3.18415,33.29327,1.25946,3.3404,1.78168,0.34416,19.9891,11.9129,0.59552,12.63737,10.09464,0.67506,0.87543,0.55105,1.10128,1.0857,2.0323,1.28386,0.56464,6.12296,4.96585,0.77243,0.85647,0.96184,10.14786,0.98895,5.43457,1.30326,12.98517,0.0,1.5417,2.31658,0.95833,1.68656,4.71617,6.08092,0.90188,2.35226,2.61551,1.13537,1.98243,2.93442,1.05675,0.85907,10.33291,2.38341,0.14634,1.11856,13.24979,19.85159,0.3586,1.55904,0.82488,7.75583,2.66032,0.48402,0.0,2.64437,1.2476,7.57549,2.11885,0.22043,0.05048,0.4951,0.0,0.90206,0.0,0.0,0.0,0.0,30.73741,0.0,2.53971,0.0,0.0,0.56951,1.47397,0.1163,2.06795,8.04366,9.71874,4.35427,2.75657,1.676,7.26449,2.95077,2.31942,0.0,2.71948,0.0,0.6114
-4.25,10.42278,0.18523,15.84317,4.74908,1.26499,0.0,0.0,7.48269,9.66847,0.30161,0.0,0.0,0.0,0.72609,0.60039,10.04093,0.0,1.01155,1.26488,0.0,11.67761,2.42513,0.0,0.0,1.22912,0.0,0.0,0.05362,0.0,3.44306,0.0,2.36785,7.71672,8.16102,10.84632,0.74528,4.19477,13.06047,0.0,0.15869,18.11118,27.26836,4.61999,2.48054,0.92745,16.86868,2.97253,0.0,0.23367,4.69918,0.0,7.52833,0.0,0.7038,0.10541,4.89021,1.21819,2.75602,2.20688,1.55113,0.96229,6.51987,1.46189,0.50185,0.46799,0.03248,0.02675,0.01656,1.76574,3.72682,0.65839,1.95622,95.21037,1.11801,28.01693,0.10303,5.4449,0.4362,2.60992,0.0,0.22144,0.0,1.59239,0.18982,0.0,0.63658,0.121,103.59389,0.21665,3.27622,0.48208,0.33718,0.36524,0.0,2.87419,6.86369,1.63489,26.20981,3.32923,21.82453,1.01801,0.0,0.24102,0.0,0.0,1.9009,0.0,0.0,0.74474,0.0,2.89309,0.88345,3.81855,0.56757,0.88203,1.74211,3.2163,1e-05,1.39488,0.98688,0.0,0.75953,0.0,1.18391,2.34509,0.0,6.5284,24.40372,4.94528,1.98417,44.42596,2.69651,6.51292,8.44842,1.16945,5.13391,4.9253,0.96996,1.20851,7.12597,39.96564,4.11567,1.85753,7.44331,1.21606,3.77685,1.18866,3.3362,33.29327,1.42825,3.28179,8.13691,1.77127,20.22418,12.80266,0.70295,14.72574,8.50343,0.70642,0.90083,1.08418,1.04617,1.14582,2.95894,1.41988,9.1589,6.12296,4.26644,0.7185,0.8466,0.97075,8.4739,1.26256,4.25306,1.30326,12.98517,0.0,2.61782,2.31659,0.92605,1.5747,4.65508,6.07341,0.80473,2.46434,2.64777,0.9268,1.48769,2.2082,1.05675,0.85907,10.33292,2.38344,2.50347,1.43432,13.4352,21.93688,0.56009,1.61011,0.76828,7.75583,3.18508,0.85845,0.0,2.19353,1.25543,5.63812,2.11885,0.22043,0.05048,0.4951,0.24694,0.90206,0.0,0.0,0.0,0.0,32.19838,0.0,2.53971,0.0,0.0,0.56951,1.47398,0.1163,1.89315,8.04366,7.9519,4.38023,2.75657,1.43658,7.40076,2.95077,2.33633,0.0,2.7265,0.0,1.50739
-4.0,9.90715,3.48761,15.84317,4.91984,1.39842,3.30925,0.0,7.48269,4.99501,0.22347,0.0,6.78508,8.76461,6.10168,0.60039,10.04094,0.0,1.01155,1.26488,0.0,11.71163,2.42513,0.0,9.13967,1.22912,0.0,0.0,0.05362,0.0,3.44306,0.0,2.36785,7.15341,7.40843,10.86728,0.511,3.78398,13.98475,2.637,0.15869,18.14699,27.51949,5.20973,2.27901,0.92745,17.15954,2.97253,0.23556,0.23367,4.69918,0.0,38.41122,0.8632,0.70381,0.10541,4.11007,1.1924,4.21277,1.2976,4.06419,0.96229,6.51987,1.46189,0.35184,0.46799,0.03248,1.09902,0.01656,1.86511,3.87837,0.63236,1.95622,96.58549,1.35873,28.01693,0.10303,5.49473,0.33654,2.60992,0.0,0.22151,0.0,1.51939,1.3199,9.18683,0.63658,0.121,103.5939,0.21665,6.94678,4.24428,0.33718,2.20306,0.0,2.87724,6.86369,1.46591,26.30039,2.93558,22.4204,0.99662,0.0,0.24102,0.0,0.0,1.9009,0.0,0.0,0.92027,0.0,4.27439,0.88345,3.81855,0.56757,0.87208,1.74886,3.85771,1e-05,1.22956,1.17599,0.0,0.86583,0.0,1.06374,1.33977,2.7653,6.74216,15.40423,4.83231,2.00063,44.55438,2.70374,7.18565,7.68648,1.09196,4.08433,5.08615,1.01066,1.22434,7.62019,43.5511,3.94,2.02553,9.35672,1.13096,3.21834,1.07014,1.65029,34.31493,1.49005,2.84363,7.41118,2.96545,20.08979,14.91315,0.62028,11.9741,8.70699,0.72692,0.94875,1.09668,0.99505,1.16438,2.48292,2.46931,8.07852,6.12296,5.60798,0.71768,0.80664,0.97076,6.05901,1.06728,3.46149,1.30327,12.28488,0.0,2.33324,2.33458,0.94476,1.31066,4.57454,4.57258,0.8243,2.07691,2.64777,0.9268,1.03569,2.17998,0.88633,0.8049,10.35556,3.34624,1.65251,1.43432,13.43939,21.93689,1.00428,1.85068,0.76552,7.75583,2.80469,1.19489,0.0,2.51716,1.29798,5.63812,2.11885,0.22043,0.05048,2.596,0.12359,0.90206,0.0,0.0,0.0,0.06919,32.19838,0.11123,2.25524,0.0,0.0,0.60394,1.51537,0.1163,1.97262,6.74,6.91838,3.54936,2.37107,1.3258,5.50483,7.38544,2.33633,0.0,2.7265,0.0,1.1465
-3.75,10.14031,4.24418,15.84317,5.06966,1.50029,3.3436,0.0,7.65368,3.48487,0.149,45.12831,6.81674,8.76461,6.46548,3.31587,14.0184,10.91729,1.01155,0.6967,0.0,23.41657,2.42513,0.0,9.13967,1.22913,3.04163,0.0,0.47329,0.0,3.44306,0.0,3.36998,6.30246,6.67673,10.91825,0.51101,4.09556,13.99331,1.4608,0.15869,18.26668,22.21357,5.39515,2.61002,1.20639,15.27539,1.57006,0.23556,0.23367,4.69918,1.86735,40.54701,0.8632,0.70381,0.10541,3.58265,2.16508,13.67537,1.2976,4.09252,2.99638,4.94023,1.4619,0.35184,0.46799,0.03248,3.77833,0.01656,1.86511,3.36394,4.32725,2.13387,96.63694,2.26594,28.01693,0.23375,2.79084,0.2736,2.60993,0.0,0.40434,0.0,1.5801,1.38196,4.29285,2.80693,0.121,52.17406,1.89649,5.39723,2.97928,0.33718,1.67614,2.35342,2.27971,4.32864,2.75654,26.33674,2.89869,22.90556,1.07478,0.0,0.24102,0.0,0.0,1.90639,0.0,0.0,1.11906,0.0,4.41698,2.07061,2.06004,0.56757,0.95165,1.72058,3.71286,1e-05,1.276,1.20871,1.65976,0.86583,5.72498,1.06374,1.15718,2.7653,6.95365,15.90974,5.1302,1.7306,44.57377,2.4154,6.81428,7.67027,1.01847,3.57215,4.7763,0.98475,1.15452,10.82981,43.93405,3.93118,1.74928,10.48194,1.11655,2.66408,1.51632,2.35558,36.19164,1.72495,2.54219,6.25022,2.97126,20.39702,14.3127,1.15862,15.46007,6.5753,1.07962,0.99005,0.96941,0.85492,1.99639,1.68914,2.47898,7.65136,4.36283,5.00582,0.76661,1.32305,1.29082,3.71406,1.74312,2.90464,1.30327,8.26887,0.0,2.34141,2.33458,0.91854,1.41977,4.26351,4.00714,1.01885,1.95446,2.15813,1.41471,1.04174,2.10801,0.88633,0.84063,8.11642,2.92919,1.65251,1.45514,12.83723,21.95259,1.69892,2.05544,1.0269,5.4602,2.71593,4.73528,0.0,1.89368,1.2523,4.44604,8.18408,0.22043,11.37706,3.72158,0.12363,2.0576,0.0,0.59368,0.0,0.06919,32.1985,0.11123,2.25524,0.0,0.0,0.67412,1.78651,0.1163,1.94512,6.74,8.12091,3.54936,5.53844,1.10255,6.27889,7.38977,2.33633,10.35926,2.72651,0.0,0.95788
-3.5,12.11196,4.54567,15.84317,5.08852,1.98573,4.2545,0.0,7.06205,17.2002,0.19379,45.12831,8.77352,8.76461,5.74109,7.07968,11.6876,10.91729,5.79048,3.37709,0.0,21.32886,2.5104,0.0,9.13967,1.22913,3.32384,0.0,0.47329,0.0,3.4805,14.79081,3.36998,5.68355,5.25368,10.01391,0.77977,4.15604,14.02048,1.50085,1.87089,18.2851,23.14558,4.42707,2.37399,1.26633,13.07742,2.80572,0.23556,0.23367,6.54528,13.91618,28.55289,0.8632,0.70381,15.69297,3.81573,1.84624,13.71983,1.2976,3.71969,5.59462,4.94023,2.07478,1.90721,0.38979,0.21884,4.21119,0.01656,1.32197,3.48528,4.32725,2.66044,97.6783,1.84643,22.26309,0.98674,3.48679,0.27581,2.60993,0.0,0.40701,0.0,1.58011,2.89871,4.37676,2.74828,3.87597,52.17406,1.76241,5.40096,2.8347,0.33718,1.46512,1.25745,3.43263,3.49413,2.91553,23.57832,2.76871,24.08205,1.19049,0.0,4.31988,2.0576,0.0,1.90639,0.0,0.40343,1.29009,0.0,4.417,2.65671,2.76469,1.49742,0.93281,1.63868,4.1233,0.02006,1.31765,1.22814,0.89663,2.21444,60.5643,1.06374,16.72497,2.3769,7.32716,17.18365,5.21801,2.15092,27.12322,2.37045,7.42859,9.72747,0.89411,3.686,4.44891,1.03777,1.34381,9.81646,47.87689,3.79883,1.62953,10.33938,1.04962,1.83868,4.46336,1.78442,36.19736,1.53257,2.7638,5.2253,2.73874,20.0159,13.43784,1.82304,17.5643,6.11485,1.26825,0.95714,0.96509,1.0388,1.92615,1.51272,7.38905,7.88827,7.99834,4.58066,0.88182,1.24643,1.74329,3.29343,1.89424,4.07714,7.72149,6.5803,0.42546,2.05313,8.60976,0.92909,1.48854,3.93771,3.50546,1.00878,1.76534,2.47179,2.74149,1.10316,2.01454,1.93661,0.86251,8.11643,3.42583,1.23656,2.11902,9.78344,18.04981,2.02388,1.75182,0.98911,4.03392,3.31847,3.95507,0.0,2.15855,3.90333,8.11765,8.20086,0.22043,6.6234,2.27161,1.94094,2.44159,0.0,0.59368,0.0,0.06919,32.1985,0.11123,2.25524,0.0,0.0,0.70522,1.71231,7.7744,3.16477,6.75138,8.09514,2.69315,5.42254,1.10258,6.53985,7.42103,3.19235,9.99717,2.41238,0.0,0.92209
-3.25,11.05622,4.42202,8.65677,5.08853,1.99743,4.71828,0.13515,7.43019,17.15303,5.06532,45.12831,25.8642,8.76461,5.68769,6.89024,13.52051,53.24719,7.25525,3.37709,17.34896,21.32886,7.49052,0.0,9.13967,0.98876,22.67451,0.0,0.4733,0.0,4.28301,10.4089,3.37307,5.85057,5.35717,10.28091,0.79958,3.68673,14.22202,3.0263,11.88605,13.0174,19.83462,4.28749,2.26333,1.6289,13.31237,7.6894,0.78939,3.49951,6.09135,24.53082,20.58567,0.89031,16.2877,12.48302,3.83902,1.76585,9.85618,4.46314,3.41398,6.89481,4.32253,1.50923,1.78295,8.49685,20.20172,5.96246,0.01656,1.34407,3.80848,5.52768,2.50506,98.28731,1.46251,22.26309,1.0833,10.95561,0.24164,2.60993,4.12289,5.17252,18.2737,3.3521,3.70959,6.04279,3.25304,3.87597,52.19532,4.01255,4.79459,2.80326,2.63097,3.55932,6.07106,4.24884,5.18458,2.59946,20.27047,2.61874,24.15634,1.13485,0.0,3.77829,2.65638,0.0,1.3016,0.0,0.40343,1.72481,0.8922,4.43997,2.68891,3.08499,3.5021,2.06742,1.51941,4.42993,2.00689,1.35429,1.48211,5.11691,2.21444,40.81964,1.06375,17.06639,2.39291,5.24656,20.4865,4.04369,2.25083,19.72486,2.14521,10.95267,8.77705,0.83575,3.56676,4.08048,1.16341,1.37421,10.95828,34.10337,3.64756,1.54028,10.2016,1.01075,1.83672,5.00566,2.79121,25.39815,1.87268,2.95695,4.74906,3.57721,17.50698,12.78158,1.76373,18.27204,5.60502,1.23018,1.09874,1.01719,1.94559,2.71089,1.74423,8.35581,7.18709,9.48833,4.04046,0.97982,1.5431,2.79878,3.49377,1.50707,3.5516,6.89102,5.67075,0.25465,1.89422,20.90837,1.20467,1.85574,3.28413,3.1754,2.14865,1.96387,3.30178,1.84151,1.42421,2.0145,3.39619,0.80729,8.35713,4.24638,6.99306,1.99913,10.08022,15.44649,3.60633,1.65609,0.87926,3.6914,2.85482,10.75983,16.94333,1.89492,3.02637,5.40898,12.0459,5.77733,5.55335,2.4366,6.35029,2.16901,0.0,0.59368,0.0,3.52278,32.1985,0.14621,1.77217,0.46203,17.44538,0.70698,5.31375,7.7808,3.1899,6.36472,7.99912,2.49888,4.87705,1.13461,7.18727,7.22544,3.19236,10.68234,2.45598,0.0,0.7965
-3.0,11.53341,5.62736,24.18769,2.81506,2.40774,11.50834,2.0972,6.16517,14.33181,8.00148,24.91136,13.68099,23.3813,4.64987,9.9512,13.951,35.64244,7.56901,4.93857,31.31694,10.88238,7.86039,0.0,4.60572,7.91457,22.67451,10.59418,0.49586,0.0,4.32762,38.46219,3.37307,5.42476,5.64629,10.36577,1.229,3.24858,14.65882,3.05752,9.25141,11.43596,19.99637,3.87399,2.06985,5.89873,11.80246,6.55091,10.25503,5.01742,8.23494,17.90327,17.21327,0.89031,10.90262,22.09727,3.53696,1.9778,9.54452,9.38018,2.81704,7.26729,4.7792,1.5326,5.0569,7.28036,9.9066,6.51037,0.01656,1.34407,4.28354,4.71724,3.35539,62.10359,1.44032,15.17492,3.31512,8.66572,1.70047,5.64694,25.65279,9.1745,15.03666,5.40224,3.87152,6.43412,4.00828,3.54344,19.64851,6.09767,5.63551,6.02118,7.08441,6.52013,5.25829,4.7672,4.05471,3.26027,20.44239,2.26188,23.93628,1.43492,0.94512,3.3686,20.71585,0.0,1.3305,0.0,5.54979,2.10656,0.48749,7.26415,11.75788,5.31338,5.89073,3.62332,1.35915,4.06868,4.09637,1.30419,1.45606,4.89798,2.69703,28.86156,1.06375,12.98757,5.83181,4.69361,17.78428,3.49039,2.90675,15.49311,2.0337,11.60834,8.56454,0.88873,3.11244,3.97846,1.34447,1.38305,11.1812,34.93903,3.62027,1.48706,9.26393,1.11721,2.01044,5.46999,2.62985,20.55364,2.41236,2.56747,4.82593,3.94544,17.75491,11.10417,2.27053,19.07342,4.75435,1.40275,1.44407,1.49979,1.71194,2.7997,1.60511,8.5755,5.9102,10.12746,4.94449,1.17703,1.59624,2.62239,3.21249,1.8217,2.68961,6.29219,7.09596,1.92511,1.93317,14.01334,1.43494,2.14673,2.87012,3.29839,1.86771,3.43281,2.94296,2.01353,1.88287,1.91185,2.84233,0.76964,14.19229,5.67357,7.0614,7.02178,7.16504,13.79612,3.89173,1.65138,0.85411,3.40176,2.44865,11.61908,10.60592,2.74175,3.22482,5.23422,16.04806,5.35559,5.97667,2.21269,11.30888,3.38365,12.93063,1.55417,0.0,3.21729,16.62454,12.65286,12.06813,0.46207,19.52156,14.55481,7.02447,11.04515,4.38458,6.42897,7.1777,2.42088,4.32009,1.49753,6.22314,7.67611,10.09216,8.04589,3.80456,28.3664,1.38
-2.75,9.67812,5.77646,24.52139,4.34978,2.45222,10.01795,11.96589,4.17339,11.7315,9.57911,20.1829,23.07639,28.4818,5.42537,10.47173,15.29076,30.34712,14.23484,8.45381,20.03837,6.92226,18.80886,3.75885,4.60572,13.70662,23.99482,10.59419,1.592,68.00732,4.33787,32.13746,9.06359,5.42549,5.53955,10.82225,2.84934,2.83227,12.38672,5.76501,7.60208,8.94823,16.04562,3.60076,2.44762,5.14622,10.51023,8.81985,22.25084,6.63636,7.4258,17.3564,14.94447,18.88322,28.03867,21.74738,7.14745,2.39604,9.41537,8.40864,3.17614,5.63736,6.37044,2.98024,9.92161,5.39483,14.07585,6.1121,9.68455,1.34407,4.18714,5.96391,3.21668,62.42387,1.38566,6.29955,2.94385,8.01769,1.91668,6.58143,25.67926,6.81798,15.1887,6.11443,3.40524,7.82515,4.46116,9.15918,12.72682,7.72823,5.00387,7.25358,11.54249,10.11878,9.32249,6.41224,5.11742,4.47324,15.0128,2.07924,26.35534,1.48196,2.3037,6.99436,10.90335,0.35721,5.36778,15.05075,5.54979,2.97706,28.18557,7.30228,10.71659,7.69868,4.58684,4.14293,2.06548,4.63629,3.45384,2.82521,6.2732,5.22295,8.31795,18.86952,0.78908,13.89047,9.53088,3.99902,19.29253,3.08378,2.57961,15.95743,1.90157,10.92144,6.62089,0.92185,2.9568,3.96876,1.39215,1.45707,12.85441,35.84627,3.10122,1.36218,8.81587,1.5891,2.19745,5.34808,2.47189,21.39014,2.42531,2.81493,4.39172,5.21388,16.23639,10.58233,2.37408,19.43199,4.52135,1.61182,1.54486,2.46419,2.76065,2.98176,1.9789,8.80865,5.5519,9.00271,3.88192,1.3104,2.1306,2.7338,3.16544,1.90552,2.83402,6.37904,8.78004,9.70775,5.32592,11.6855,1.34531,2.15993,2.93047,2.88147,1.74842,3.80238,3.28997,2.86505,2.79403,2.03143,4.12209,1.57582,16.97733,4.88685,7.27366,6.70656,5.77505,10.40993,4.27255,1.62816,0.86328,5.59901,2.19156,10.4858,7.40387,3.28308,2.4993,5.97529,16.18504,5.42818,5.89935,2.90824,11.7541,5.06764,10.29241,23.38369,38.16704,5.99603,17.30641,23.0544,10.92931,2.50861,26.08357,11.71029,9.8625,10.09505,4.96352,5.83156,7.29301,2.00972,4.002,1.86956,5.75879,8.90821,12.19063,9.79917,5.65108,15.84183,2.20818
