,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.08748,0.06695,0.12347,0.08299,0.09389,0.0,0.0,0.05747,0.0,0.05828,0.0,0.0,0.0,0.07599,0.05817,0.06076,0.0,0.06234,0.14996,0.0,0.0,0.10648,0.0,0.0,0.12696,0.0,0.0,0.13257,0.0,0.0,0.0,0.10357,0.1874,0.1549,0.22522,0.08113,0.12064,0.40837,0.0,0.0,0.13906,0.22597,0.14381,0.0816,0.09306,0.20825,0.0,0.0,0.07718,0.09304,0.0,0.05635,0.0,0.0,0.0,0.09462,0.09876,0.06904,0.06231,0.09348,0.07184,0.06637,0.07613,0.09139,0.07008,0.0,0.10244,0.0,0.08663,0.08861,0.10019,0.0821,0.70092,0.08414,0.0,0.0,0.0,0.10344,0.06621,0.0,0.0743,0.0,0.07081,0.14365,0.0,0.06787,0.0,0.0,0.09007,0.0,0.07772,0.0,0.05728,0.0,0.09292,0.07223,0.06895,0.15139,0.0922,0.0,0.07886,0.0,0.0,0.0,0.0,0.07383,0.0,0.0,0.08297,0.0,0.0,0.0,0.0,0.0757,0.11432,0.08167,0.10048,0.10372,0.09274,0.07685,0.0,0.08218,0.0,0.14642,0.08476,0.0,0.21413,0.62742,0.18534,0.08377,1.11412,0.21981,0.0,0.28455,0.09187,0.14371,0.19522,0.09174,0.11347,0.79233,0.51521,0.13814,0.11168,0.52619,0.10622,0.07566,0.10419,0.0,0.68826,0.08754,0.08712,0.08835,0.11885,0.47255,0.17482,0.06826,0.53834,0.26918,0.09227,0.11803,0.08716,0.07705,0.10298,0.08163,0.10446,0.08328,0.0,0.10199,0.08234,0.08038,0.10931,0.067,0.09153,0.08282,0.0,0.08012,0.0,0.08102,0.10257,0.10848,0.08894,0.15881,0.17401,0.14979,0.07531,0.0755,0.10124,0.06365,0.09524,0.06023,0.09248,0.08021,0.06291,0.0606,0.07624,0.21956,0.19771,0.07258,0.11415,0.09378,0.08595,0.10117,0.10257,0.0,0.07617,0.09662,0.07929,0.07105,0.0583,0.0993,0.07197,0.0,0.10605,0.0,0.0,0.0,0.0,0.27655,0.0,0.13716,0.0,0.0,0.08486,0.08896,0.10637,0.08218,0.07795,0.37642,0.14439,0.07371,0.12372,0.18514,0.08295,0.09627,0.0,0.07779,0.0,0.08238
-4.75,0.07209,0.06695,0.12347,0.07989,0.08747,0.0,0.0,0.05145,0.0,0.05525,0.0,0.0,0.0,0.07599,0.05817,0.06076,0.0,0.06234,0.14996,0.0,0.0,0.10648,0.0,0.0,0.12787,0.0,0.0,0.13257,0.0,0.0,0.0,0.10357,0.17632,0.1549,0.21148,0.08113,0.11612,0.40837,0.0,0.0,0.13906,0.22067,0.12818,0.07914,0.08637,0.19836,0.05712,0.0,0.07718,0.09304,0.0,0.05635,0.0,0.0,0.0,0.08398,0.09457,0.05611,0.06231,0.08988,0.06923,0.06422,0.07613,0.09139,0.07008,0.06685,0.10244,0.0,0.08663,0.08564,0.0893,0.07696,0.6686,0.076,0.0,0.0,0.0,0.10344,0.06621,0.0,0.0743,0.0,0.06823,0.14365,0.0,0.06787,0.0,0.0,0.09007,0.0,0.06843,0.0,0.05728,0.0,0.09215,0.06526,0.06644,0.14629,0.09021,0.38806,0.0754,0.0,0.08099,0.0,0.0,0.07383,0.0,0.0,0.08046,0.0,0.0,0.0,0.0,0.0757,0.09895,0.08167,0.08916,0.10372,0.09272,0.07197,0.0,0.07695,0.0,0.12746,0.08476,0.0,0.20856,0.59709,0.18176,0.08142,1.05089,0.20812,1.7611,0.27404,0.08742,0.14008,0.1874,0.09032,0.1099,0.74213,0.49815,0.13485,0.10796,0.52619,0.10624,0.07168,0.0764,0.05761,0.67295,0.08363,0.08321,0.08835,0.11885,0.45726,0.16636,0.0652,0.52554,0.25391,0.08981,0.11112,0.08616,0.07351,0.09587,0.07216,0.10446,0.08115,0.0,0.09891,0.07521,0.07818,0.10931,0.067,0.08496,0.08282,0.0,0.08012,0.0,0.08102,0.10257,0.08474,0.08894,0.14528,0.16038,0.13773,0.07391,0.07176,0.08935,0.06271,0.09291,0.06023,0.08571,0.07838,0.05926,0.0606,0.0732,0.20807,0.18166,0.07134,0.10766,0.08947,0.08635,0.09718,0.08084,0.0,0.06841,0.09518,0.07929,0.06724,0.0583,0.0993,0.07197,0.0,0.10605,0.0,0.0,0.0,0.0,0.27655,0.0,0.13716,0.0,0.0,0.08486,0.08424,0.09505,0.08218,0.07635,0.37047,0.13868,0.07219,0.11018,0.17204,0.08314,0.08003,0.0,0.06723,0.0,0.08163
-4.5,0.07172,0.06695,0.12347,0.07939,0.08634,0.0,0.0,0.04912,0.04928,0.05677,0.0,0.0,0.0,0.07599,0.05007,0.05767,0.0,0.05635,0.14996,0.0,0.0,0.10648,0.0,0.0,0.12787,0.0,0.0,0.13257,0.0,0.0,0.0,0.10357,0.17369,0.14456,0.20802,0.07528,0.10886,0.38396,0.0,0.08581,0.12244,0.20696,0.12535,0.07712,0.08555,0.19784,0.05397,0.0,0.07718,0.09304,0.0,0.05635,0.0,0.0,0.06342,0.08001,0.08815,0.05725,0.06231,0.08627,0.06923,0.06181,0.07613,0.09139,0.05718,0.06685,0.10244,0.0,0.08663,0.08227,0.0893,0.07528,0.62406,0.07479,0.06449,0.0,0.0,0.10344,0.06621,0.0,0.06727,0.0,0.06823,0.11222,0.0,0.06787,0.0,0.0,0.09007,0.05334,0.06843,0.0561,0.05728,0.0,0.08704,0.06306,0.06523,0.14062,0.08836,0.37366,0.07118,0.0,0.08099,0.0,0.0,0.07383,0.0,0.0,0.08046,0.0,0.08938,0.073,0.0,0.0757,0.09679,0.07004,0.08095,0.10372,0.09194,0.07197,0.0,0.07695,0.0,0.11094,0.08476,0.0,0.20856,0.57181,0.16724,0.07811,0.99867,0.2045,1.64866,0.25914,0.08907,0.13491,0.17423,0.08273,0.10691,0.70854,0.46309,0.12846,0.10159,0.45877,0.10553,0.06741,0.07443,0.05646,0.61812,0.08275,0.07353,0.08835,0.10804,0.43599,0.16154,0.06401,0.49968,0.24016,0.09036,0.10621,0.07766,0.07113,0.0955,0.07171,0.1059,0.07772,0.07133,0.0972,0.07168,0.07333,0.09441,0.06483,0.08152,0.08621,0.06657,0.07398,0.0,0.08102,0.08326,0.07916,0.0851,0.13927,0.14687,0.13624,0.07386,0.06683,0.08365,0.06271,0.09086,0.05899,0.07922,0.07312,0.05926,0.0606,0.06742,0.19848,0.17589,0.06514,0.10598,0.08505,0.08499,0.09296,0.07989,0.0,0.06841,0.08953,0.07929,0.06724,0.0583,0.0993,0.07197,0.0,0.10605,0.0,0.0,0.0,0.0,0.24907,0.0,0.10592,0.0,0.0,0.08486,0.08301,0.09505,0.07934,0.08025,0.36585,0.14116,0.07123,0.10295,0.16649,0.07147,0.08003,0.0,0.06723,0.0,0.08163
-4.25,0.07172,0.06695,0.12347,0.07939,0.07776,0.0,0.0,0.04912,0.04776,0.05677,0.0,0.0,0.0,0.07096,0.04833,0.05424,0.0,0.05635,0.14996,0.0,0.05194,0.09076,0.0,0.0,0.11272,0.0,0.0,0.13257,0.0,0.06324,0.0,0.07535,0.16414,0.13202,0.19934,0.07528,0.10561,0.33881,0.0,0.08581,0.11973,0.1998,0.11983,0.07224,0.06886,0.17837,0.05488,0.0,0.07718,0.09304,0.0,0.05635,0.0,0.05301,0.06342,0.07854,0.07769,0.05605,0.06231,0.0828,0.059,0.05869,0.05816,0.09139,0.05584,0.06685,0.10244,0.07724,0.08663,0.07926,0.0893,0.07286,0.59086,0.07264,0.06449,0.07721,0.05449,0.08954,0.05833,0.0,0.06571,0.0,0.06107,0.10175,0.0,0.06382,0.06067,0.05363,0.09007,0.05105,0.06843,0.0561,0.05728,0.0,0.08353,0.05739,0.06393,0.1357,0.08715,0.35232,0.06959,0.0,0.08099,0.0,0.0,0.07383,0.0,0.0,0.08046,0.0,0.06933,0.073,0.05422,0.06495,0.09313,0.06493,0.0762,0.10372,0.08647,0.06751,0.0,0.07695,0.0,0.10106,0.08476,0.0,0.19759,0.53301,0.15306,0.07608,0.98254,0.18613,1.59307,0.24127,0.08513,0.12713,0.1663,0.07806,0.10312,0.67516,0.43597,0.12426,0.09712,0.43219,0.09239,0.066,0.0654,0.05378,0.61812,0.07593,0.07135,0.07548,0.10153,0.40264,0.15446,0.05773,0.47456,0.22918,0.08905,0.10518,0.0716,0.06517,0.09287,0.06819,0.09837,0.07474,0.07133,0.09471,0.06857,0.07007,0.09139,0.06264,0.0797,0.07337,0.06657,0.07398,0.0,0.0781,0.06741,0.07721,0.07883,0.13344,0.13985,0.13959,0.06956,0.06407,0.08522,0.05603,0.0837,0.05899,0.07842,0.0719,0.05622,0.05703,0.06536,0.19076,0.1702,0.06249,0.10422,0.08268,0.07749,0.08979,0.06333,0.0,0.06362,0.08953,0.06341,0.06724,0.0583,0.0993,0.07197,0.06089,0.10605,0.0,0.0,0.0,0.0,0.23404,0.0,0.10592,0.0,0.0,0.08486,0.08247,0.09505,0.07303,0.07987,0.35429,0.13586,0.07123,0.09772,0.1541,0.06959,0.07718,0.0,0.06535,0.0,0.0734
-4.0,0.0635,0.04959,0.12347,0.07238,0.07407,0.05688,0.0,0.04912,0.05324,0.06206,0.0,0.0533,0.05125,0.06322,0.04833,0.05224,0.0,0.05635,0.14996,0.0,0.05044,0.09076,0.0,0.06046,0.11159,0.0,0.0,0.13257,0.0,0.06324,0.0,0.07535,0.16231,0.12581,0.19329,0.0697,0.10062,0.31865,0.07032,0.08581,0.10981,0.18933,0.11203,0.06903,0.06886,0.17496,0.05252,0.05724,0.07718,0.09304,0.0,0.05036,0.05291,0.05146,0.06342,0.07488,0.07615,0.0552,0.05609,0.07587,0.059,0.05869,0.05336,0.06822,0.05584,0.06685,0.07486,0.07724,0.07925,0.07687,0.08046,0.07286,0.55424,0.06875,0.06449,0.07721,0.05132,0.08225,0.05833,0.0,0.06021,0.0,0.05919,0.09564,0.05408,0.06382,0.06067,0.05363,0.09007,0.0497,0.06155,0.0561,0.04887,0.0,0.07784,0.05689,0.06335,0.11983,0.08079,0.33654,0.06502,0.0,0.08099,0.0,0.0,0.07383,0.0,0.0,0.07572,0.0,0.06729,0.073,0.05114,0.06495,0.08913,0.0629,0.06684,0.10372,0.08238,0.06275,0.0,0.06644,0.0,0.0948,0.07547,0.07275,0.19251,0.50755,0.14136,0.07335,0.90195,0.17895,1.48937,0.22564,0.0803,0.12286,0.16011,0.07595,0.09869,0.64285,0.40532,0.12022,0.09336,0.41239,0.08865,0.05478,0.0617,0.05168,0.55552,0.07559,0.06637,0.0686,0.09116,0.38355,0.13894,0.05681,0.45605,0.21122,0.08755,0.10092,0.0692,0.06073,0.08693,0.06994,0.09032,0.06843,0.07133,0.0906,0.06665,0.06752,0.08472,0.05958,0.07669,0.06682,0.06123,0.07394,0.0,0.06913,0.06564,0.0765,0.07576,0.12545,0.11788,0.12865,0.06542,0.06345,0.08522,0.05355,0.0809,0.0534,0.07314,0.06796,0.05404,0.05197,0.06536,0.18738,0.17111,0.06235,0.09713,0.07483,0.07749,0.08764,0.06346,0.0,0.05881,0.08454,0.06341,0.06724,0.0583,0.0993,0.06394,0.05824,0.10605,0.0,0.0,0.0,0.07485,0.24327,0.05225,0.0934,0.0,0.0,0.06117,0.08247,0.09505,0.07265,0.07432,0.31928,0.1267,0.07141,0.09406,0.15158,0.0649,0.07718,0.0,0.06472,0.0,0.07459
-3.75,0.05541,0.04454,0.12347,0.07168,0.07135,0.05384,0.0,0.04581,0.04969,0.06006,0.0459,0.05102,0.05125,0.06052,0.04561,0.05392,0.04665,0.05635,0.10966,0.0,0.04654,0.09076,0.0,0.06046,0.11083,0.05669,0.0,0.09394,0.0,0.06324,0.0,0.07218,0.16105,0.12322,0.18105,0.06891,0.09777,0.30914,0.06552,0.08581,0.1016,0.18056,0.10519,0.06659,0.06404,0.14581,0.04806,0.05724,0.07718,0.09304,0.0496,0.04957,0.05291,0.05146,0.06342,0.06969,0.07146,0.05312,0.05609,0.07361,0.05335,0.06539,0.05123,0.06822,0.05584,0.06685,0.05537,0.07724,0.07925,0.06798,0.07065,0.06782,0.52242,0.06724,0.06449,0.06605,0.06289,0.08475,0.05703,0.0,0.06054,0.0,0.05847,0.09046,0.0499,0.05776,0.06067,0.04924,0.06088,0.04873,0.05654,0.0561,0.05557,0.04506,0.07201,0.05627,0.0569,0.11847,0.07835,0.32259,0.06262,0.0,0.08099,0.0,0.0,0.05864,0.0,0.0,0.06865,0.0,0.06627,0.06496,0.05118,0.06495,0.08212,0.06054,0.06553,0.10372,0.07614,0.05446,0.05146,0.06644,0.06222,0.09028,0.06913,0.07275,0.1892,0.48232,0.13813,0.0713,0.834,0.16829,1.46443,0.21639,0.07549,0.11645,0.15428,0.06965,0.09529,0.59667,0.3868,0.1127,0.08895,0.39106,0.08721,0.05133,0.05611,0.04929,0.50207,0.07274,0.06176,0.06315,0.08865,0.36211,0.12638,0.05035,0.42411,0.2017,0.07855,0.08879,0.06548,0.06109,0.07863,0.06742,0.08942,0.06684,0.0614,0.08412,0.0632,0.06442,0.08013,0.05528,0.0709,0.06618,0.06123,0.06684,0.0,0.06736,0.06564,0.07255,0.06375,0.11962,0.1113,0.11559,0.06161,0.05922,0.07344,0.05355,0.07572,0.0534,0.07293,0.06221,0.05104,0.05125,0.06,0.17657,0.16033,0.05835,0.09538,0.06865,0.07667,0.08528,0.05866,0.0,0.05709,0.08322,0.05603,0.0608,0.0583,0.07532,0.06001,0.05254,0.08226,0.0,0.05488,0.0,0.07107,0.20449,0.05225,0.09277,0.0,0.0,0.0608,0.07677,0.09505,0.0662,0.07432,0.31006,0.10994,0.06256,0.08341,0.14416,0.06458,0.07718,0.04556,0.06158,0.0,0.06748
-3.5,0.05304,0.04159,0.12347,0.05816,0.06729,0.0538,0.0,0.04383,0.04739,0.0531,0.0459,0.04996,0.05125,0.05887,0.04403,0.05049,0.04665,0.04316,0.09097,0.0,0.04936,0.08406,0.0,0.06046,0.11045,0.06771,0.0,0.09394,0.0,0.06324,0.04496,0.07218,0.15144,0.11501,0.16549,0.06688,0.09421,0.28264,0.06552,0.07042,0.09721,0.17014,0.09618,0.06292,0.05968,0.14069,0.04656,0.05724,0.07718,0.06832,0.04436,0.04322,0.05291,0.04522,0.05366,0.06665,0.06794,0.04768,0.05609,0.06456,0.05372,0.06539,0.04466,0.05648,0.05541,0.06904,0.04666,0.07724,0.07104,0.0634,0.07065,0.06345,0.49062,0.06145,0.053,0.05009,0.0535,0.08538,0.05703,0.0,0.06054,0.0,0.05944,0.08753,0.04947,0.05299,0.04931,0.04924,0.05875,0.04807,0.05357,0.0561,0.05231,0.04635,0.07037,0.05712,0.05285,0.11111,0.07395,0.29537,0.05977,0.0,0.05981,0.05285,0.0,0.05864,0.0,0.0588,0.06079,0.0,0.06525,0.06061,0.0492,0.05843,0.07713,0.05946,0.06292,0.08317,0.06579,0.05154,0.05294,0.05952,0.05689,0.09028,0.0619,0.07227,0.14578,0.45064,0.12997,0.06655,0.78272,0.16053,1.40912,0.20265,0.0719,0.11277,0.14323,0.06711,0.08504,0.55814,0.36256,0.10558,0.08189,0.38235,0.08119,0.04816,0.05304,0.04716,0.46707,0.06835,0.05613,0.05982,0.08318,0.34072,0.11865,0.04621,0.39106,0.19528,0.0749,0.08585,0.06279,0.05725,0.07382,0.0608,0.07892,0.06237,0.05354,0.07709,0.06152,0.05947,0.07451,0.05248,0.06606,0.05836,0.05156,0.06103,0.06589,0.06374,0.05255,0.06899,0.06444,0.11156,0.10594,0.11161,0.05843,0.05657,0.06929,0.05118,0.07199,0.05331,0.07322,0.06129,0.04995,0.04918,0.06125,0.16766,0.15194,0.05636,0.0894,0.06592,0.06861,0.07638,0.05571,0.0,0.05716,0.07159,0.04865,0.06004,0.0583,0.06198,0.0558,0.05061,0.06974,0.0,0.05488,0.0,0.07107,0.20449,0.05225,0.09277,0.0,0.0,0.04925,0.0728,0.05612,0.05883,0.07274,0.27545,0.10523,0.05889,0.07216,0.13932,0.06107,0.06619,0.04309,0.05814,0.0,0.0653
-3.25,0.04942,0.04008,0.09568,0.05616,0.06612,0.0502,0.03974,0.04131,0.0436,0.04713,0.0459,0.04783,0.05125,0.05072,0.04136,0.04578,0.04025,0.04031,0.09046,0.03909,0.04936,0.07529,0.0,0.06046,0.07885,0.0591,0.0,0.09394,0.0,0.04958,0.04317,0.06835,0.14937,0.10908,0.16171,0.05746,0.08329,0.26875,0.05981,0.05958,0.08948,0.16582,0.08921,0.05483,0.05083,0.12731,0.04294,0.04839,0.05319,0.06536,0.04007,0.03867,0.04838,0.04191,0.05073,0.06319,0.0641,0.04343,0.0473,0.06188,0.04829,0.05618,0.04622,0.05226,0.04554,0.05383,0.04552,0.07724,0.07019,0.06021,0.06009,0.05965,0.46074,0.05586,0.053,0.04805,0.05516,0.08128,0.05703,0.04762,0.05959,0.03924,0.05532,0.07826,0.04711,0.04937,0.04931,0.04614,0.04962,0.04346,0.05097,0.04545,0.04676,0.04179,0.06715,0.05371,0.0487,0.10455,0.0711,0.27754,0.05768,0.0,0.05603,0.0521,0.0,0.05533,0.0,0.0588,0.05654,0.04972,0.05911,0.05803,0.04637,0.05419,0.07345,0.05629,0.05764,0.06176,0.06389,0.04901,0.04723,0.05952,0.0543,0.08637,0.06027,0.06822,0.14099,0.41664,0.11861,0.06196,0.71567,0.1457,1.29223,0.19377,0.06677,0.10578,0.13455,0.06477,0.07911,0.52515,0.33724,0.10193,0.07488,0.35462,0.07418,0.04597,0.04912,0.04413,0.43091,0.06457,0.04965,0.05773,0.07497,0.31232,0.11464,0.04452,0.36851,0.18389,0.07346,0.07861,0.05697,0.05356,0.06932,0.05714,0.06772,0.05864,0.05035,0.07249,0.059,0.05657,0.06628,0.04966,0.06121,0.05214,0.04928,0.05778,0.06142,0.06091,0.05452,0.06108,0.05783,0.10359,0.09712,0.10476,0.05411,0.05393,0.06638,0.0472,0.0682,0.04847,0.07059,0.05945,0.04545,0.05002,0.05819,0.16263,0.13852,0.04973,0.08173,0.06183,0.0601,0.07187,0.05138,0.04086,0.05508,0.06361,0.04157,0.05644,0.0487,0.05066,0.05698,0.04826,0.06419,0.0,0.05488,0.0,0.05608,0.20449,0.07382,0.08236,0.04722,0.04053,0.04862,0.06962,0.05565,0.05289,0.0649,0.25477,0.10036,0.05354,0.06844,0.12533,0.05784,0.06619,0.04217,0.04894,0.0,0.06209
-3.0,0.04617,0.03682,0.07614,0.05329,0.05553,0.05058,0.03791,0.03902,0.0416,0.04207,0.04095,0.04447,0.04038,0.04586,0.03795,0.0425,0.03937,0.03752,0.0784,0.03753,0.04431,0.06983,0.0,0.06037,0.06603,0.0591,0.03632,0.09318,0.0,0.04733,0.03912,0.06835,0.14301,0.10208,0.15266,0.05193,0.07766,0.24869,0.05802,0.05255,0.08552,0.15288,0.08791,0.05294,0.04636,0.11947,0.04144,0.04831,0.04493,0.05417,0.03833,0.03805,0.04838,0.04127,0.04659,0.05949,0.06324,0.04127,0.04148,0.05517,0.04478,0.05022,0.04622,0.04492,0.05051,0.04369,0.04205,0.07724,0.07019,0.05704,0.05305,0.05461,0.42678,0.05268,0.04969,0.04393,0.04803,0.06693,0.04784,0.04565,0.05009,0.03811,0.0555,0.06595,0.04561,0.04609,0.04544,0.04064,0.04548,0.04339,0.0466,0.04392,0.04312,0.04066,0.06464,0.05302,0.04711,0.1007,0.06473,0.2618,0.05258,0.07361,0.05478,0.05258,0.0,0.05381,0.0,0.05375,0.05332,0.05426,0.05361,0.05471,0.04393,0.04862,0.06677,0.05354,0.05421,0.05474,0.05673,0.04705,0.04546,0.06067,0.04875,0.08604,0.05474,0.06392,0.13082,0.38985,0.10844,0.05809,0.66395,0.13812,1.20128,0.17754,0.06228,0.09993,0.12711,0.05976,0.0729,0.48501,0.3169,0.09618,0.07042,0.32655,0.06813,0.0429,0.04537,0.04155,0.40728,0.05872,0.0463,0.05291,0.07132,0.28977,0.10798,0.0411,0.34061,0.17109,0.06608,0.07231,0.05161,0.05173,0.06328,0.05412,0.06323,0.05177,0.04614,0.06864,0.05435,0.05341,0.06605,0.04625,0.05859,0.04931,0.04651,0.05372,0.05376,0.05892,0.05063,0.05578,0.05571,0.09685,0.09214,0.0966,0.04851,0.05065,0.06495,0.04235,0.06305,0.04466,0.06471,0.05219,0.04111,0.04576,0.0512,0.14518,0.13242,0.04672,0.0769,0.05808,0.05651,0.0647,0.04703,0.03851,0.05147,0.05917,0.03953,0.05026,0.04531,0.04686,0.05179,0.0459,0.06,0.04475,0.04353,0.0,0.05299,0.23001,0.05682,0.06662,0.04347,0.03858,0.04311,0.06335,0.04358,0.04725,0.06471,0.23583,0.0957,0.04993,0.06482,0.11788,0.05645,0.04919,0.04142,0.04502,0.04484,0.05576
-2.75,0.04124,0.0341,0.07412,0.05125,0.05002,0.04606,0.03531,0.03795,0.03828,0.03839,0.0376,0.04154,0.03768,0.04124,0.03625,0.03772,0.03703,0.03264,0.06358,0.03689,0.04542,0.06466,0.04699,0.06037,0.05711,0.04579,0.03481,0.08225,0.03971,0.04509,0.03491,0.05725,0.13481,0.09465,0.13061,0.04914,0.06807,0.23179,0.05479,0.04656,0.08034,0.13139,0.0777,0.05034,0.04065,0.11141,0.03995,0.04626,0.04211,0.04697,0.03684,0.03608,0.03923,0.03836,0.0428,0.05496,0.05132,0.03833,0.03915,0.05086,0.04039,0.04459,0.04016,0.04052,0.0452,0.03965,0.03601,0.04297,0.07019,0.05442,0.04711,0.05159,0.38776,0.0483,0.04398,0.04131,0.04328,0.05795,0.03911,0.04565,0.0437,0.03594,0.04982,0.05867,0.04306,0.04157,0.03874,0.03745,0.04143,0.03836,0.04021,0.03654,0.03813,0.03806,0.05725,0.04943,0.04446,0.08879,0.06096,0.24533,0.04666,0.06972,0.04549,0.04684,0.04693,0.04678,0.04483,0.04614,0.04956,0.04954,0.0497,0.04539,0.03973,0.04352,0.0589,0.04845,0.04995,0.04498,0.05183,0.04407,0.04165,0.05578,0.04446,0.07617,0.05012,0.06038,0.12003,0.35535,0.09925,0.05387,0.62813,0.1276,1.13511,0.16606,0.05868,0.09164,0.11756,0.05569,0.06636,0.44695,0.29958,0.09623,0.06608,0.30341,0.06285,0.04031,0.04133,0.03805,0.37509,0.05427,0.04204,0.04953,0.063,0.26896,0.10061,0.03871,0.31999,0.15917,0.05802,0.06189,0.04846,0.04695,0.05684,0.04878,0.05711,0.04772,0.04228,0.06281,0.04895,0.04844,0.06135,0.04313,0.05415,0.04388,0.04267,0.04885,0.04891,0.05168,0.04763,0.04855,0.04963,0.09128,0.08541,0.0864,0.0452,0.04778,0.05425,0.03908,0.05836,0.04085,0.05476,0.04664,0.03831,0.03982,0.04839,0.13386,0.12393,0.04233,0.07039,0.05252,0.04997,0.05835,0.0429,0.03804,0.04623,0.05671,0.03771,0.04844,0.03932,0.04287,0.05061,0.04453,0.04977,0.04064,0.04231,0.04754,0.04866,0.23931,0.04608,0.05874,0.03981,0.03583,0.04028,0.05628,0.03823,0.04249,0.05267,0.22219,0.08763,0.04501,0.0596,0.11021,0.05534,0.0452,0.03782,0.04047,0.03992,0.05124
