,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.05246,0.0,0.0,0.08332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24698,0.0,0.0876,0.0,0.10471,0.07584,0.07704,0.0,0.06706,0.0,0.0,0.0,0.08254,0.0,0.0,0.05372,0.0,0.0,0.0,0.13267,0.07399,0.10699,0.0,0.1257,0.0,0.05348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72681,0.08892,0.0,0.0,0.08037,0.0,0.0,0.0,0.0,0.07095,0.0,0.09028,0.0,0.05416,0.0,0.11046,0.0,0.0,0.0,0.0927,0.0,0.0,0.0,0.0,0.0,0.09026,0.08992,0.06293,0.0,0.05976,0.0,0.0,0.06809,0.0,0.0,0.13299,0.10993,0.06821,0.0,0.0,0.0,0.0,0.0,0.0668,0.15862,0.09921,0.0,0.09284,0.0,0.0,0.0,0.0,0.11061,0.0,0.0,0.0,0.0,0.0,0.28615,0.10015,0.53422,0.0,0.0,0.09604,0.34411,0.19587,0.0,0.1117,0.0,0.07188,0.06454,0.09138,0.78859,0.10651,0.07536,0.09312,0.49951,0.08628,0.06202,0.08902,0.06464,0.0,0.14185,0.0,0.0,0.09942,0.14434,0.07454,0.0,0.0,0.07481,0.11309,0.0,0.06131,0.05051,0.10669,0.06035,0.08191,0.07217,0.0,0.10561,0.0,0.0,0.0,0.0,0.0,0.0,0.07385,0.0,0.08526,0.20293,0.0,0.09393,0.06489,0.2193,0.06768,0.0,0.0,0.0,0.0,0.0,0.06811,0.0,0.35082,0.12152,0.13247,0.0,0.15749,0.08527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09022,0.0,0.0,0.0,0.06766,0.09743,0.07512,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.07249
-4.75,0.0,0.05246,0.0,0.0,0.08332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24698,0.0,0.0876,0.0,0.09734,0.07584,0.07649,0.0,0.06706,0.0,0.0,0.0,0.06685,0.0,0.0,0.05372,0.0,0.0,0.0,0.13267,0.07399,0.10699,0.0,0.12152,0.0,0.05348,0.0,0.0,0.0,0.0,0.0,0.05095,0.0,0.0,0.05575,0.70239,0.08181,0.0,0.0,0.08037,0.0,0.0,0.0,0.0,0.0694,0.0,0.0928,0.05783,0.05416,0.0,0.05929,0.0,0.0,0.0,0.08418,0.0,0.0,0.0,0.0,0.0,0.08951,0.07669,0.05702,0.0,0.05375,0.0,0.0,0.06809,0.0,0.0,0.13299,0.10993,0.06821,0.0,0.0,0.0,0.0,0.0,0.0668,0.15862,0.09921,0.0,0.0923,0.0,0.0,0.0,0.0,0.11061,0.0,0.0,0.25454,0.46503,0.0,0.20371,0.09533,0.51568,0.0,0.0,0.09075,0.32959,0.19587,0.0,0.10483,0.0,0.07095,0.06363,0.08357,0.78859,0.10651,0.07536,0.09312,0.4554,0.08628,0.05469,0.07983,0.06464,0.0,0.15791,0.0,0.0,0.09942,0.13578,0.07454,0.0,0.0,0.07481,0.11309,0.0,0.06131,0.05051,0.10669,0.05903,0.08191,0.06875,0.0,0.09861,0.0,0.0,0.0,0.0,0.0,0.0,0.07385,0.0,0.08526,0.18467,0.0,0.09393,0.06489,0.2193,0.06768,0.0,0.0,0.0,0.0,0.0,0.06811,0.0,0.3418,0.12152,0.11937,0.0,0.15749,0.08145,0.05821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09022,0.0,0.0694,0.0,0.06766,0.09743,0.07341,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.07249
-4.5,0.0,0.05246,0.0,0.06006,0.08332,0.0,0.0,0.06285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23285,0.0,0.07933,0.0,0.08985,0.07634,0.0727,0.0,0.06706,0.0,0.0,0.05021,0.06405,0.05665,0.0,0.05106,0.0,0.0,0.0,0.09064,0.06458,0.10699,0.0,0.12152,0.04838,0.05348,0.0,0.0,0.0,0.0,0.0,0.05095,0.0,0.0,0.05495,0.65586,0.08181,0.0,0.0,0.06772,0.0,0.0,0.0,0.0,0.0663,0.0,0.08469,0.05783,0.05416,0.0,0.05852,0.0,0.0,0.0,0.08418,0.04822,0.05474,0.0,0.0,0.06268,0.08951,0.06974,0.05111,0.0,0.04925,0.0,0.0,0.06809,0.0,0.0,0.0964,0.10687,0.06821,0.0,0.0,0.0,0.0,0.0,0.06388,0.15862,0.09921,0.0,0.08581,0.0,0.0,0.0,0.0,0.10274,0.0,0.0,0.23136,0.44413,0.0,0.20371,0.09052,0.49279,0.0,0.0,0.0878,0.31507,0.15271,0.05514,0.10177,0.0,0.0691,0.06186,0.07917,0.78859,0.07968,0.07536,0.08188,0.41889,0.08002,0.05368,0.06993,0.06464,0.06664,0.15791,0.0,0.0,0.09066,0.12302,0.06302,0.0,0.0,0.07069,0.10494,0.0,0.06131,0.04923,0.10669,0.05566,0.06515,0.06768,0.0,0.0926,0.0,0.0,0.0,0.0,0.0,0.0,0.07385,0.0,0.08526,0.17732,0.0,0.09393,0.06489,0.19843,0.06768,0.0,0.0,0.0,0.0,0.0,0.06811,0.0,0.34397,0.08303,0.11733,0.0,0.13873,0.07689,0.05631,0.0,0.0,0.0,0.0,0.04811,0.0,0.0,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08358,0.0,0.0694,0.0,0.07888,0.09743,0.07184,0.0,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.07249
-4.25,0.0,0.05246,0.0,0.06006,0.08332,0.0,0.0,0.05422,0.05169,0.0,0.06109,0.07376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22132,0.0,0.0,0.06821,0.2275,0.0,0.07933,0.0,0.08985,0.07131,0.07161,0.0,0.06706,0.06297,0.0,0.04547,0.06091,0.05665,0.0,0.05028,0.0,0.0,0.0,0.09064,0.06458,0.10699,0.0,0.12152,0.04838,0.05284,0.0,0.0,0.0,0.0,0.0,0.05095,0.0,0.0,0.05321,0.63375,0.07213,0.0,0.0,0.0674,0.0,0.0,0.0,0.0,0.0663,0.0,0.081,0.05171,0.05416,0.0,0.05852,0.0,0.0,0.0,0.08418,0.04606,0.05321,0.0,0.0,0.06268,0.06935,0.06827,0.05111,0.0,0.04925,0.0,0.0,0.06809,0.0,0.0,0.0618,0.10687,0.0602,0.0,0.0,0.0,0.0,0.0,0.06064,0.10729,0.09921,0.06625,0.0831,0.0,0.0,0.0,0.0,0.10095,0.0,0.0,0.21976,0.41577,0.0,0.20371,0.08946,0.47861,0.0,0.0,0.0878,0.34356,0.13242,0.06252,0.09387,0.0,0.06481,0.05731,0.07022,0.66269,0.07968,0.07536,0.07607,0.40875,0.08002,0.05227,0.06956,0.06283,0.06426,0.12396,0.0,0.0,0.07559,0.1208,0.06064,0.0,0.0,0.07069,0.09824,0.0,0.0535,0.05509,0.10669,0.05566,0.06515,0.0669,0.0,0.08778,0.05584,0.0,0.0,0.0,0.0,0.0,0.05636,0.0,0.08526,0.17303,0.0,0.09393,0.06489,0.16936,0.06675,0.0,0.0,0.0,0.0,0.0,0.05463,0.0,0.34397,0.0722,0.11109,0.0,0.13468,0.07436,0.05305,0.0,0.0,0.0,0.0,0.04811,0.0,0.0,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08358,0.05837,0.0694,0.0,0.07888,0.09651,0.07156,0.41809,0.06164,0.0,0.0,0.0,0.0,0.0,0.0,0.07249
-4.0,0.0,0.03912,0.0,0.06017,0.08332,0.0,0.0,0.05422,0.05169,0.0,0.06109,0.05912,0.0,0.05863,0.0,0.0,0.0,0.0,0.0,0.05048,0.0,0.04443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20902,0.0,0.0,0.06821,0.22119,0.0,0.07527,0.0,0.08298,0.06743,0.06977,0.0493,0.05954,0.06297,0.0,0.04389,0.06091,0.05665,0.0,0.05011,0.0,0.0,0.0,0.07976,0.0606,0.10699,0.04823,0.1016,0.04838,0.05284,0.0,0.05089,0.0,0.0,0.0,0.05095,0.0,0.0,0.04787,0.58566,0.06986,0.0,0.0,0.0674,0.0,0.0,0.0,0.0,0.0663,0.0,0.08242,0.05171,0.05416,0.0,0.05852,0.0,0.0,0.0,0.08418,0.04606,0.05474,0.04481,0.0,0.05889,0.06673,0.0638,0.05111,0.0549,0.04925,0.0,0.0,0.06809,0.0,0.0,0.0618,0.10687,0.0602,0.0,0.0,0.0,0.05473,0.05568,0.05928,0.08744,0.09921,0.06467,0.08148,0.0,0.0,0.0,0.0,0.10095,0.0,0.0,0.20786,0.40082,0.0,0.18122,0.08508,0.43858,0.0,0.0,0.08616,0.3371,0.11077,0.06252,0.09032,0.0,0.06481,0.0557,0.06775,0.64892,0.06888,0.07536,0.06936,0.36986,0.07592,0.05081,0.06919,0.05922,0.06211,0.11074,0.0,0.04549,0.07269,0.10581,0.05767,0.0,0.0,0.07069,0.08383,0.0,0.0535,0.05221,0.04398,0.05182,0.05453,0.06606,0.0,0.08778,0.0559,0.0,0.0,0.0,0.0,0.0,0.05636,0.0,0.08526,0.16567,0.0529,0.07737,0.06489,0.16874,0.05307,0.0,0.0611,0.05749,0.0,0.05031,0.05049,0.0,0.3055,0.07427,0.1064,0.0,0.12987,0.07221,0.0521,0.04657,0.0,0.0,0.0,0.04811,0.05389,0.05033,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716,0.0,0.0,0.0,0.0,0.08358,0.05837,0.0694,0.0,0.07297,0.09269,0.06375,0.37783,0.05403,0.0,0.0,0.05709,0.0,0.0,0.05132,0.06306
-3.75,0.03626,0.03868,0.05737,0.06017,0.08332,0.0,0.0,0.05422,0.05169,0.0,0.06109,0.05686,0.0,0.05863,0.04825,0.0,0.0,0.03323,0.0,0.05048,0.0,0.04443,0.0,0.0,0.0,0.0,0.0,0.05157,0.0,0.0,0.0,0.0,0.20902,0.0,0.04243,0.06789,0.18627,0.0,0.06609,0.0,0.08216,0.06428,0.06706,0.04876,0.05954,0.05797,0.0,0.04389,0.05572,0.05665,0.0,0.04959,0.0,0.0,0.0,0.07717,0.0606,0.10699,0.04474,0.09819,0.04838,0.05284,0.0,0.05089,0.0,0.0,0.0,0.05095,0.0,0.04705,0.04627,0.5519,0.06536,0.0,0.0,0.0674,0.05055,0.0,0.0,0.0,0.0663,0.0,0.07835,0.04484,0.05416,0.0,0.0576,0.0,0.0,0.0,0.08418,0.0444,0.05474,0.04481,0.0417,0.05889,0.06465,0.06457,0.05111,0.05443,0.04218,0.04599,0.05568,0.06809,0.0,0.0,0.05906,0.10687,0.0602,0.0,0.0,0.0,0.05302,0.05568,0.05707,0.0788,0.09921,0.06467,0.07825,0.0,0.0,0.0,0.0,0.08443,0.0,0.0,0.19507,0.37248,0.0,0.18122,0.07885,0.41963,0.45191,0.0,0.08017,0.32526,0.10426,0.06029,0.08837,0.0,0.06481,0.0551,0.06548,0.57659,0.06888,0.06065,0.069,0.34873,0.08095,0.04633,0.06353,0.05832,0.05996,0.1067,0.12364,0.04762,0.06658,0.10254,0.05397,0.0,0.0,0.05869,0.08027,0.04449,0.05078,0.04948,0.04354,0.04885,0.05151,0.06396,0.0,0.0834,0.055,0.05048,0.0,0.0,0.0,0.0,0.05822,0.0,0.06519,0.2067,0.05105,0.07737,0.05107,0.16874,0.05204,0.04496,0.05521,0.04833,0.04412,0.04847,0.05049,0.0,0.27422,0.06748,0.09697,0.0,0.12698,0.06817,0.0521,0.05081,0.04468,0.0,0.05018,0.0462,0.04796,0.05225,0.0,0.09612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04716,0.0,0.0,0.0,0.05044,0.0754,0.0531,0.0694,0.0,0.06792,0.09037,0.06126,0.36884,0.04944,0.0,0.0,0.05709,0.0,0.0,0.05321,0.06306
-3.5,0.03598,0.03868,0.05737,0.06017,0.08332,0.0,0.04434,0.05422,0.04256,0.0,0.04389,0.04983,0.0,0.05863,0.04675,0.035,0.0,0.03174,0.0,0.04808,0.0,0.04443,0.0,0.0,0.0,0.0,0.0,0.0493,0.04187,0.0,0.0,0.0,0.17964,0.0,0.0421,0.06789,0.17501,0.0,0.0623,0.0,0.07783,0.06378,0.0586,0.04242,0.0545,0.05253,0.04983,0.04389,0.05065,0.05665,0.0,0.04959,0.04767,0.0,0.0,0.07291,0.05514,0.07916,0.04468,0.09201,0.04838,0.05284,0.03917,0.05089,0.0,0.0,0.0,0.04854,0.0,0.04221,0.0452,0.53405,0.06147,0.04818,0.0,0.06346,0.04514,0.0,0.0,0.0,0.0663,0.0,0.07355,0.04237,0.04605,0.0,0.05424,0.0,0.0,0.03934,0.08418,0.04363,0.0471,0.04017,0.0417,0.05554,0.06067,0.06227,0.05111,0.04851,0.04171,0.04599,0.04934,0.05826,0.0,0.0,0.05855,0.10687,0.0602,0.0,0.0,0.0,0.05167,0.05568,0.05466,0.0761,0.08165,0.06467,0.07622,0.0,0.04518,0.03865,0.04274,0.08092,0.04488,0.0,0.18761,0.3535,0.0,0.15502,0.07129,0.38745,0.4342,0.31451,0.07499,0.29737,0.0988,0.05692,0.08369,0.88977,0.05512,0.05199,0.06359,0.53853,0.06772,0.05541,0.05891,0.32708,0.07732,0.04317,0.06154,0.05651,0.05474,0.09813,0.25874,0.04559,0.06598,0.09597,0.04974,0.0,0.0,0.05869,0.07888,0.04449,0.04987,0.04426,0.04141,0.04641,0.05151,0.05955,0.0581,0.0742,0.05426,0.05048,0.04314,0.03917,0.0,0.04255,0.05822,0.0,0.06519,0.18001,0.05182,0.07737,0.0451,0.16098,0.04908,0.04357,0.05298,0.04543,0.04131,0.0448,0.05049,0.0,0.25744,0.05827,0.09266,0.04841,0.11471,0.0629,0.04992,0.0475,0.04468,0.0,0.04757,0.03666,0.04653,0.05225,0.04671,0.09612,0.0,0.05437,0.0,0.0,0.05013,0.0,0.04646,0.04716,0.0,0.03821,0.0,0.04851,0.0699,0.05116,0.0694,0.04731,0.06603,0.08,0.05851,0.34727,0.04896,0.04259,0.04751,0.05709,0.04835,0.0,0.05321,0.05586
-3.25,0.0345,0.03868,0.05737,0.05867,0.08332,0.0,0.04283,0.05422,0.04256,0.0,0.041,0.04367,0.0,0.04367,0.04226,0.035,0.04068,0.03024,0.03946,0.04594,0.03842,0.03721,0.03499,0.0,0.0,0.0,0.0,0.05322,0.04187,0.0,0.0,0.0,0.16927,0.0,0.04065,0.05679,0.1726,0.05466,0.06284,0.04328,0.07126,0.05951,0.0531,0.04005,0.04859,0.052,0.0447,0.04389,0.04909,0.0476,0.04912,0.04163,0.04767,0.0,0.04109,0.06762,0.04612,0.06768,0.04378,0.08715,0.04838,0.04033,0.03917,0.05089,0.0,0.03771,0.03903,0.04774,0.0,0.04121,0.04573,0.49157,0.05698,0.04647,0.0,0.05463,0.04364,0.03551,0.0,0.0,0.0663,0.03946,0.07071,0.03924,0.04457,0.04374,0.0511,0.0,0.0,0.03934,0.08418,0.04363,0.0471,0.03863,0.03557,0.0535,0.06067,0.05951,0.05111,0.04543,0.03833,0.04222,0.04934,0.0444,0.0,0.0,0.05499,0.10687,0.05177,0.0,0.0,0.03952,0.05167,0.05568,0.05173,0.06788,0.08165,0.05421,0.07097,0.0454,0.04424,0.03704,0.04276,0.08092,0.04542,0.0,0.18512,0.32578,0.04259,0.15035,0.06803,0.37009,0.3943,0.29416,0.06902,0.2922,0.09979,0.05023,0.08214,0.82854,0.05213,0.0458,0.06065,0.50067,0.05065,0.04577,0.05434,0.30629,0.07542,0.04151,0.05803,0.05243,0.05173,0.09202,0.25874,0.04377,0.06173,0.09224,0.04794,0.03865,0.0,0.05039,0.0697,0.04004,0.04297,0.04109,0.03944,0.0441,0.04562,0.05603,0.0581,0.0721,0.0525,0.04718,0.04795,0.03781,0.0,0.04255,0.05822,0.0,0.06519,0.17273,0.05169,0.06766,0.0428,0.16098,0.04514,0.04086,0.04799,0.04296,0.04028,0.04733,0.05049,0.04137,0.24027,0.05568,0.0853,0.04841,0.11375,0.06131,0.04633,0.04182,0.04087,0.0433,0.0424,0.03466,0.04653,0.04563,0.04469,0.07727,0.0,0.05057,0.04634,0.0,0.05013,0.0,0.04382,0.04319,0.0,0.03659,0.0401,0.04757,0.06103,0.0499,0.05468,0.03785,0.06452,0.0757,0.05525,0.33418,0.04906,0.04259,0.04561,0.05709,0.05318,0.0,0.05321,0.04999
-3.0,0.03393,0.03429,0.05737,0.05304,0.06087,0.0,0.04314,0.05422,0.038,0.05506,0.03672,0.04118,0.03514,0.03961,0.0406,0.03113,0.03769,0.03024,0.03782,0.04544,0.03692,0.03599,0.03499,0.0,0.0,0.0,0.0,0.05322,0.03584,0.0,0.0,0.0,0.15844,0.04365,0.03819,0.05679,0.16453,0.04516,0.05332,0.04084,0.06683,0.0574,0.05151,0.03784,0.04136,0.04473,0.04179,0.04434,0.0446,0.04448,0.04912,0.04124,0.04295,0.0,0.03953,0.06732,0.04612,0.05709,0.04215,0.08178,0.04044,0.03729,0.03917,0.04363,0.03575,0.03454,0.03903,0.04256,0.04462,0.04028,0.03959,0.50374,0.05446,0.0477,0.03278,0.0483,0.04116,0.03843,0.04107,0.0,0.0663,0.0379,0.06629,0.03739,0.04054,0.04374,0.04859,0.0,0.0347,0.03413,0.06914,0.04065,0.04545,0.04956,0.03557,0.05191,0.05695,0.05683,0.04179,0.04256,0.03522,0.04215,0.04889,0.04195,0.0,0.0,0.05499,0.08331,0.04605,0.0,0.03673,0.03963,0.05167,0.05568,0.0441,0.06679,0.08165,0.04691,0.07097,0.04346,0.03943,0.03954,0.04276,0.075,0.03985,0.05225,0.16065,0.29676,0.0412,0.14028,0.06443,0.3606,0.37258,0.27788,0.05947,0.2608,0.09467,0.04824,0.07887,0.77728,0.05023,0.04257,0.05712,0.46976,0.04882,0.04253,0.04976,0.28186,0.06705,0.03917,0.05683,0.0481,0.04798,0.08783,0.20241,0.041,0.05748,0.08284,0.04512,0.03789,0.04104,0.04787,0.06105,0.03943,0.03977,0.03727,0.03801,0.04134,0.04161,0.04975,0.05537,0.07034,0.04532,0.04163,0.04795,0.03691,0.03713,0.03903,0.04947,0.04207,0.05702,0.16087,0.04575,0.0637,0.03848,0.17236,0.04106,0.03789,0.04602,0.03972,0.03752,0.04271,0.04632,0.04247,0.22623,0.05401,0.08067,0.04673,0.10731,0.05361,0.0405,0.03931,0.04099,0.0347,0.03887,0.03411,0.04323,0.03958,0.04039,0.0734,0.042,0.05057,0.04458,0.0,0.04253,0.0,0.04099,0.04089,0.0,0.03543,0.04656,0.04757,0.06103,0.04995,0.04536,0.03712,0.05833,0.06957,0.05049,0.32085,0.0473,0.04259,0.04408,0.05709,0.05318,0.04255,0.04267,0.04722
-2.75,0.03147,0.02976,0.03947,0.04638,0.05109,0.0,0.04062,0.04265,0.03496,0.05506,0.03545,0.04152,0.02982,0.03775,0.03861,0.03045,0.0347,0.02575,0.03616,0.04494,0.03392,0.03423,0.03499,0.0318,0.03858,0.02778,0.03509,0.05322,0.03417,0.03924,0.03626,0.0,0.15165,0.04246,0.03655,0.04851,0.14436,0.04138,0.04599,0.0386,0.06013,0.05204,0.04793,0.0361,0.03715,0.04227,0.0379,0.03569,0.04378,0.0395,0.04315,0.03397,0.0384,0.0,0.03535,0.06324,0.03997,0.0555,0.03939,0.07675,0.03596,0.03542,0.03211,0.04363,0.03329,0.03403,0.03373,0.03655,0.04163,0.03772,0.03593,0.47183,0.05097,0.04529,0.03132,0.04392,0.0394,0.03538,0.03746,0.03604,0.05286,0.03866,0.06307,0.03513,0.03756,0.03837,0.04687,0.05833,0.0347,0.03299,0.05398,0.03706,0.0482,0.04511,0.03097,0.04746,0.04391,0.05147,0.03789,0.04009,0.03338,0.04033,0.0434,0.03925,0.03543,0.0,0.05499,0.07719,0.04409,0.04309,0.03418,0.03757,0.0484,0.04623,0.04036,0.06229,0.0615,0.04651,0.06388,0.03749,0.03791,0.03714,0.03954,0.07031,0.03642,0.04371,0.14959,0.27828,0.03952,0.13664,0.06013,0.32858,0.34196,0.25092,0.05569,0.22817,0.07759,0.04345,0.06978,0.73377,0.04468,0.04087,0.05048,0.43093,0.04073,0.0392,0.04225,0.26005,0.05862,0.03569,0.05062,0.04287,0.04704,0.08127,0.1476,0.03745,0.05431,0.07938,0.04319,0.03675,0.03989,0.04123,0.05785,0.03749,0.03793,0.03426,0.03427,0.0393,0.03614,0.0448,0.04914,0.06829,0.04153,0.03818,0.04193,0.03478,0.03537,0.03859,0.04001,0.03937,0.05843,0.14549,0.04145,0.05017,0.03612,0.17236,0.03822,0.03611,0.04205,0.03804,0.03504,0.04051,0.03825,0.03697,0.21681,0.05084,0.07592,0.04545,0.09724,0.05059,0.03798,0.03629,0.03809,0.03245,0.03658,0.03151,0.03919,0.03654,0.0365,0.0608,0.04034,0.05001,0.04105,0.0,0.04253,0.03398,0.04099,0.03963,0.0,0.03361,0.04331,0.04757,0.05964,0.0459,0.04247,0.03476,0.04644,0.06122,0.04987,0.30015,0.04113,0.03667,0.0399,0.04713,0.04766,0.03859,0.03777,0.04267
