,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,1.86651,0.0,4.88743,4.60047,1.54988,3.03165,26.62326,3.39315,0.21516,7.48186,0.0,9.19803,0.0,5.5491,5.88096,13.38349,6.05697,0.48029,0.0,0.0,0.0,6.71473,80.91482,0.31303,1.38669,3.70899,1.77506,0.93627,0.0,7.10981,0.97076,1.18531,12.54888,9.45922,16.95594,7.68531,7.78343,72.30844,1.33561,1.76187,36.98414,36.9674,18.1283,4.9076,3.23156,21.00599,5.80011,6.81609,1.57331,1.51293,0.42251,0.0,0.91711,1.42047,0.73002,13.10078,1.89608,1.54415,15.00367,2.92251,1.23894,2.28218,1.93628,0.53302,0.81455,1.12301,0.21105,2.73009,1.33511,3.75105,5.89478,8.18568,37.09536,17.71611,1.20946,0.83679,0.76365,6.06884,9.39037,0.0,3.92955,8.49817,3.25969,3.6565,4.0869,2.52964,2.21251,3.60962,5.27426,8.83681,2.13037,0.36317,2.54161,2.66931,0.36552,7.54997,2.03929,16.08669,17.00016,15.57173,15.97981,5.31931,1.7489,1.11652,3.50845,0.0,6.1123,1.07678,1.23312,1.643,0.40965,1.51922,9.85308,14.29015,5.61112,1.7256,3.3349,0.60793,39.59573,5.57567,3.70472,3.57894,3.65522,4.60348,1.51486,1.80605,34.38706,17.05546,0.0,0.0,11.76276,0.0,52.9609,0.0,0.0,0.0,0.0,4.82041,15.42654,0.0,6.5754,51.79985,29.46864,11.3136,4.97705,2.69492,3.22717,3.746,26.28551,0.0,2.42769,10.60115,13.64404,50.98389,11.84764,0.83053,0.0,0.0,5.989,5.00721,10.36861,3.97641,10.73003,2.92467,4.06878,4.68629,3.4067,32.95599,17.4671,19.52964,14.46842,4.00056,2.22307,1.94189,2.79515,1.2397,3.40919,1.97928,1.2716,3.17027,9.6344,14.79634,36.51189,12.49063,13.8865,1.80075,3.19211,2.4431,1.28796,4.18288,5.37739,7.97101,7.76464,5.49616,3.10291,29.60489,16.71713,1.63711,12.68205,0.0,1.4729,4.89359,1.6763,1.97842,1.54648,1.20096,1.57418,2.58088,2.18665,2.33089,2.96863,2.25253,2.33478,0.0,0.40617,1.17327,1.93446,45.89674,0.38936,1.46975,0.85276,5.25894,0.72499,5.14747,0.78087,1.82316,4.926,16.74588,5.34221,1.88418,6.65227,7.94686,9.93457,2.03682,4.70059,5.43865,22.29553,9.36139
-4.75,2.01391,7.94585,4.26256,3.97296,1.64246,3.03165,26.62326,3.39315,0.21516,7.48186,0.01617,9.19803,32.79726,7.50929,5.93084,13.39583,22.71707,0.48029,6.46287,0.0,0.0,6.99467,80.91483,0.23121,1.38669,11.12998,1.77506,5.19045,0.0,5.00372,1.67881,1.14028,9.92076,17.14446,17.08847,7.68531,4.98162,72.30844,1.35084,1.77198,37.41137,37.57128,18.48272,4.41996,3.08678,16.97823,5.13133,6.8161,1.57331,2.63786,0.42251,0.0,1.14628,1.43871,8.93192,11.856,2.35444,1.65286,15.00367,2.33291,1.23894,2.51437,1.96909,0.54338,0.80312,0.97756,0.21105,2.179,1.33511,5.43766,5.89478,8.39853,38.27137,17.91098,1.20946,1.13406,1.71893,6.06884,9.39037,0.0,3.42537,9.93298,2.58872,3.68091,6.16555,2.17733,1.73316,3.70117,6.17678,7.15772,2.13037,0.28237,1.67556,2.66931,0.30767,7.30852,2.14225,16.08675,17.09632,15.77472,11.53687,5.3793,1.78954,1.11652,3.50845,13.40787,4.22284,1.07678,1.25939,1.643,0.40965,1.52633,6.52793,14.35124,6.94292,1.58726,2.28536,0.60793,42.83164,5.88898,3.70472,4.91979,2.31575,4.60964,1.39035,1.89078,34.47419,17.27693,0.0,0.0,19.77225,0.0,29.95433,0.0,0.0,1.10993,0.0,5.01344,15.64473,0.0,6.67866,52.05564,25.01175,13.75226,5.12267,2.39297,3.07242,4.09691,26.63083,9.26412,2.13009,9.83998,14.19539,52.05096,10.4156,0.83053,39.13993,12.55885,5.989,5.10957,8.88306,3.99925,10.73004,2.98715,4.03202,4.60522,2.98199,24.31652,18.34981,19.75144,14.98714,4.21646,2.22307,1.79781,2.68762,1.05312,3.54713,2.06079,1.55837,2.62188,9.65302,15.03963,36.85069,12.49063,13.88653,1.79796,2.91291,2.4431,1.28796,3.11701,5.38073,8.13713,7.79672,5.12198,8.93535,21.08623,16.88059,2.01674,12.74301,0.0,1.36822,4.94187,1.86558,1.97842,1.56244,1.22108,1.57609,2.58088,1.9208,2.7475,2.60532,2.50893,2.69828,2.74353,0.40617,1.17327,1.93446,45.89674,0.38936,1.41025,0.85276,5.67225,0.55296,5.2781,0.87707,1.82497,4.1514,23.65088,5.54561,1.74681,7.67187,11.21173,6.23556,2.11805,4.70059,5.43865,22.66928,8.11404
-4.5,2.00146,8.02506,4.73437,3.98666,1.25047,3.57813,26.62326,2.34521,0.22897,6.04078,0.01617,6.08951,32.79726,7.50929,4.8868,11.52579,22.78712,0.48029,6.46287,5.76866,0.0,5.48188,80.91483,0.60764,1.39875,11.12998,1.77506,5.19045,0.0,5.00372,2.49613,1.16542,9.93822,17.42061,17.49178,7.8585,5.1167,54.25974,1.39676,1.86346,29.72463,37.94109,18.52557,3.91682,2.93335,17.06727,3.84484,6.82141,1.3,2.29927,0.42251,0.0,1.14628,1.93288,16.36825,11.45205,2.39449,1.65286,11.2307,2.18005,1.25697,2.51437,3.07803,0.5035,0.89882,1.00987,0.21105,2.179,1.24987,5.29585,4.20932,8.43516,39.00672,14.92728,1.29717,1.13406,1.73191,6.11864,7.57966,0.6436,3.42537,9.95579,2.43084,3.59327,4.47477,3.4924,1.74599,3.73748,6.17831,6.07731,6.77854,5.64616,1.82448,2.0934,0.29631,7.49274,2.03883,16.37545,17.09632,17.26253,15.44981,5.3793,1.71481,1.11652,3.00774,11.98,3.44342,1.30646,1.31551,1.643,3.26432,2.59059,5.01352,9.66429,7.02225,1.58727,2.48966,0.75607,44.08037,7.81525,3.47308,5.21557,2.32738,4.02543,1.70024,2.38036,33.71256,17.27693,14.60089,4.90277,20.25758,0.0,31.72649,0.0,0.0,5.36336,0.0,5.06661,15.34782,81.35104,7.98603,55.69747,25.64284,15.41626,5.32566,2.31194,2.37065,3.30346,32.54007,9.38483,2.89974,8.84738,14.46211,52.35189,10.06092,0.83053,39.76737,12.55895,3.25318,5.32374,9.50856,4.04439,5.75372,3.05068,4.03202,4.69094,4.27478,18.42419,18.49161,20.4202,7.72515,3.34325,2.06913,2.64735,2.52602,1.095,3.58664,2.63436,1.81068,2.43123,10.23094,15.32094,36.94945,12.83985,13.04252,1.84742,2.91291,2.16782,1.288,3.12082,5.44546,8.16629,6.20995,4.65513,7.81665,21.10489,22.76528,2.174,11.00892,0.0,1.68687,5.33832,1.6576,1.97843,1.56244,1.22735,1.57609,2.58088,4.86676,2.76735,2.56709,2.74803,2.14856,3.19999,0.33487,1.18876,3.68785,45.89674,0.38936,2.62199,0.58637,4.86657,2.72326,5.27814,5.03726,1.82498,4.1514,23.90936,5.55976,2.26657,6.27049,11.58536,5.54485,1.71266,4.7006,5.31295,19.783,7.81374
-4.25,1.67734,4.25788,4.74147,3.95157,1.26485,3.57813,26.62326,2.34521,0.22897,6.04078,0.01617,6.11672,17.00552,8.03478,4.8868,10.04446,22.78712,4.41469,4.56589,5.76866,0.0,5.48183,80.91483,9.79897,1.41591,11.47695,0.90854,5.19045,9.81556,5.00372,3.82734,1.17079,10.03155,17.42141,17.67232,7.8585,5.15231,37.74556,1.47,1.58599,30.08758,38.48376,18.73274,3.61574,2.69891,17.17742,5.00087,6.82141,1.11443,2.04553,0.42251,0.0,0.89653,2.31517,12.71739,10.10865,2.03909,1.338,11.52015,2.35345,1.20371,5.28819,3.09803,3.18906,0.74234,3.95416,0.21105,2.179,0.67583,5.30855,2.93825,6.86342,39.24846,15.00183,1.17374,1.1999,1.86866,6.05521,7.57966,9.81516,5.79887,9.95579,2.6881,3.32768,4.47477,4.71485,1.37432,3.7607,9.23477,6.07731,6.82183,4.53343,1.84042,5.84468,0.31371,7.58195,2.14338,16.4359,17.09632,18.96199,15.62689,4.57945,1.6712,1.55934,2.70816,11.98,3.44342,1.80625,1.60754,1.643,3.26432,2.13306,4.0203,14.0258,6.69864,1.5545,2.54281,1.63133,47.2639,6.84096,3.03278,4.45517,2.54131,6.25331,1.75197,2.03038,34.18348,26.82743,15.38254,5.63219,20.79504,0.0,21.15463,0.0,0.0,5.62824,25.14533,4.87582,15.43481,58.70528,19.83969,55.69754,26.50189,12.44996,5.20939,2.34857,2.00207,3.03123,33.01618,11.38039,2.65318,8.02881,12.06702,35.2308,10.20283,3.01326,28.14602,31.23446,4.44694,6.71186,8.01622,4.76223,7.771,2.99053,3.71053,4.74917,4.37483,18.72335,19.32926,20.75912,7.72515,3.38097,1.75015,3.63974,3.01908,1.1484,3.55483,2.42244,2.14156,2.43123,8.56742,15.53491,31.58811,12.83985,14.28245,1.76618,2.97423,2.02256,1.17541,2.96913,5.57068,7.25576,5.13084,4.42963,6.90139,30.32494,32.4335,1.98148,11.36705,0.0,1.57861,4.28108,1.6576,1.06412,2.85794,1.2395,1.1632,9.36134,4.05959,2.62946,2.45554,2.60964,2.66194,2.86932,0.32013,1.18981,2.67845,45.89674,0.53393,2.37432,2.11962,4.3852,2.38601,6.01748,5.03726,1.89111,4.37837,24.2311,5.55977,2.07501,6.25554,11.2532,5.54859,1.69671,4.7006,5.61515,15.99284,8.80887
-4.0,1.86297,3.45877,4.74147,3.75387,1.19386,2.93479,17.57188,2.23183,0.22897,5.67488,0.01617,6.11672,12.04856,7.15533,3.38767,10.05045,15.35008,4.42757,4.56589,9.54684,0.20771,5.52526,59.3778,9.81613,1.42635,11.47695,0.90854,7.31668,9.91011,5.00372,3.50752,1.11228,10.86806,14.177,17.67234,5.24224,6.06215,32.29589,1.45992,1.66095,30.8351,19.49507,18.9071,3.2849,3.55109,17.40285,5.17836,7.25041,1.04807,2.81756,3.00046,0.0,0.97421,2.00642,12.72152,9.56741,2.10254,7.16143,10.63384,2.50533,1.27573,5.083,2.8547,2.91779,0.7044,5.29517,0.55323,1.67931,13.06903,4.97277,2.57585,6.80004,39.80593,15.05851,1.06224,1.55591,2.75021,6.06366,7.57966,9.17184,5.1581,9.95579,2.6484,3.14467,13.65855,4.50609,1.38732,3.78342,7.42335,5.47784,6.82183,4.32531,4.70295,7.36245,5.09037,7.95779,2.43124,14.1735,17.09632,20.8934,13.50458,5.98195,3.43154,1.38861,3.49675,10.61043,12.42576,6.06404,1.90564,24.66941,2.7912,1.58085,6.1738,9.74938,6.80177,1.52712,2.59963,1.69882,23.82739,6.77108,6.03646,3.97173,2.03895,6.28098,1.70306,2.12198,36.88257,27.57235,25.6583,5.63222,21.35015,0.0,28.13803,0.0,0.0,5.73315,26.16319,4.94618,13.32907,65.63766,21.9238,55.69754,24.45087,10.03369,5.08329,2.34331,1.89402,3.15975,33.12906,12.47706,2.60877,7.62642,12.12458,33.28276,10.70541,3.07019,18.68368,24.83862,6.65179,6.94377,6.88785,3.21144,7.7946,3.1822,4.35611,4.59676,3.92626,22.54648,19.4438,17.64701,7.8916,3.129,1.69155,3.23462,3.00563,1.51592,2.86942,2.77489,2.20113,1.96273,8.6793,15.69425,33.22707,13.29041,15.60584,1.92307,2.13449,1.94594,2.05513,2.81944,5.67486,7.44528,5.13084,4.01483,6.44199,30.65565,28.48273,2.05433,11.38473,0.0,1.48652,4.28841,1.66794,0.98695,2.85812,1.44365,7.24363,7.38957,3.36497,2.47986,3.02957,2.42254,4.66152,2.36825,0.39391,1.23026,2.28203,45.89674,1.03073,2.11014,2.77106,5.01296,1.95741,6.18659,4.71246,1.59148,4.02653,24.60543,5.65798,2.05601,6.44171,11.57093,4.93678,1.89485,22.93553,5.0764,13.43269,8.97591
-3.75,2.06724,4.73565,4.74147,3.81729,1.21659,2.9427,17.57188,3.80222,1.36579,6.76858,0.60487,7.82733,12.04856,7.48033,4.87796,8.89328,8.57324,4.9623,8.18304,7.71442,6.30474,6.09112,59.3778,14.78779,1.76369,14.71343,3.35972,7.31668,30.93139,4.16679,4.95562,1.29605,10.90231,12.82588,17.99531,4.31161,7.3041,32.85421,1.67043,1.77505,30.90779,15.84403,23.26369,3.21344,3.14686,19.67258,5.54141,4.48819,1.29439,2.3042,2.00585,2.18875,13.93307,6.35518,14.03062,10.5692,1.91974,8.45662,10.05701,2.45292,1.16533,4.45426,2.64539,3.06288,1.53566,6.30374,0.55323,2.72797,11.80493,4.53766,2.97812,7.04387,59.63383,18.16977,1.52762,1.56608,2.38841,5.44254,7.67009,9.17184,4.66183,7.64751,2.85719,3.19005,10.51528,4.00602,1.42571,3.38339,6.03524,4.93781,15.90239,5.80707,4.65138,6.41456,5.09096,6.95565,2.51234,12.97407,15.28608,22.13689,13.61007,3.78255,2.94792,4.99442,3.08493,9.28213,12.44173,7.53302,1.8875,24.66941,4.63849,1.68199,6.20418,7.78605,6.93354,1.47845,2.48437,1.70678,24.20011,7.5392,5.08995,3.5027,2.03895,6.46452,1.64824,2.08512,40.92004,21.86416,25.28008,10.50637,21.80117,0.0,29.64407,0.0,5.45584,5.73315,24.9482,4.93026,14.01922,66.06572,23.40852,35.06501,24.51415,10.35819,4.60247,2.24254,1.61057,3.25792,33.61883,12.25406,2.5069,7.73061,12.31516,34.30007,13.29993,2.46847,20.69493,20.28027,7.44909,7.09381,6.60764,3.28123,7.7946,4.00577,3.90902,4.30182,3.56422,20.344,19.59908,17.64709,6.86616,2.86216,1.78805,2.95483,2.64712,1.51821,2.61095,2.69987,1.82352,3.28298,9.18587,18.19485,35.69863,13.12155,15.91578,2.22006,1.96322,1.95031,3.25068,4.43485,5.27511,7.55755,4.20826,3.55024,6.22228,20.82246,28.7295,2.11774,12.07072,23.10523,1.51872,3.87675,1.6823,8.88057,4.37062,1.18509,4.89326,7.39007,3.06699,2.51849,2.56129,2.2462,5.08108,2.92895,0.39391,1.47057,3.79359,45.89674,2.45689,2.51096,3.53592,5.82541,2.65991,5.45404,3.54002,1.60828,3.51863,28.69454,4.59071,2.06083,6.28709,11.3144,4.18908,1.76059,21.24522,5.36059,13.4327,9.34499
-3.5,3.04899,3.87724,3.83407,5.58892,1.28003,4.82853,17.57188,3.83358,1.64054,5.88917,0.60487,8.01285,12.56985,8.47061,4.60829,11.09153,9.08388,3.7106,7.02453,5.89452,4.26101,6.57122,51.16682,14.08886,1.76369,18.57416,9.85357,14.69134,17.44316,6.4621,6.74772,1.15071,10.30068,10.69821,18.18068,3.39614,6.60687,31.67155,1.5487,1.66962,23.17122,15.03097,15.55103,3.10699,3.53883,19.88773,4.98861,4.02011,1.47716,2.5121,6.59357,5.30665,15.57257,6.02356,9.57182,8.79389,1.71036,8.53013,10.38915,2.4426,2.07064,4.05037,2.92859,2.94046,2.16956,5.51647,0.95314,3.83509,12.72538,4.42138,2.5132,6.29668,92.38038,18.66931,1.75011,1.3268,4.84155,5.46873,11.85612,9.71528,4.59862,6.5561,3.65937,3.3359,10.44238,3.24477,1.48532,3.04003,6.65651,4.28836,13.73381,6.1121,4.54358,5.50866,4.61677,7.04416,2.59431,9.6067,12.8852,22.26043,9.97545,3.98853,3.63454,4.40939,3.31387,9.98545,9.50373,6.77324,1.78923,20.40307,8.33604,1.8927,14.34371,8.8374,5.57762,1.32715,2.40136,1.70446,17.90769,7.61768,5.06211,3.65757,4.07263,6.25949,1.56379,1.95942,41.86653,24.87296,19.04479,9.12782,22.21443,0.0,30.88521,0.0,5.45584,20.5823,26.47561,4.782,15.01618,66.50388,24.48176,35.3247,21.3468,12.56998,5.06265,2.26732,1.55527,3.022,47.64449,13.01908,2.47669,7.67918,14.0783,34.5597,12.61182,2.33336,23.04639,17.35434,6.31743,6.53995,6.71708,3.07441,7.79461,3.55835,3.43698,4.46355,4.43487,21.13879,20.10891,16.67113,5.68034,2.54447,1.79728,2.54312,2.36224,1.49604,2.70792,2.55676,3.0263,2.67912,8.24493,18.37575,36.37102,13.77007,14.3697,2.27028,1.88956,1.82049,3.73529,4.07103,5.31128,6.87921,3.73303,4.15514,5.41006,21.76315,30.47737,1.99167,13.00631,16.90627,1.49135,3.61565,1.39268,6.62715,5.41626,1.10202,4.5541,6.57463,2.85236,2.28077,2.70728,2.06908,4.39671,3.11469,1.61053,1.47057,4.87989,45.89674,6.39662,2.39024,3.48769,6.72242,2.99663,5.4964,4.61178,1.18447,3.19039,27.98976,4.68249,2.94624,5.18593,11.68214,4.56862,1.62909,16.87763,4.5473,11.64867,6.59045
-3.25,3.44775,3.33103,3.43688,6.44966,1.25768,4.19314,17.25431,3.07078,6.02848,7.10726,0.8006,8.96619,11.04599,7.15916,4.62649,10.86526,7.43649,4.71743,7.03514,7.24147,9.94382,4.53423,48.39168,12.44441,5.26787,20.22888,12.0125,16.08997,24.56824,6.86605,13.0561,1.1063,10.38512,10.80757,18.76981,3.50505,6.77279,36.14134,1.79882,2.58812,23.73495,18.01097,11.70782,2.88388,3.19528,17.44487,5.05552,4.89938,2.31763,2.93039,5.79808,16.97318,12.08314,7.62636,8.55735,8.75226,2.01436,8.73795,9.40143,2.4769,2.09219,4.52524,2.94615,3.86928,2.05973,4.68899,2.62565,4.51108,11.68812,4.23466,2.37064,6.32943,93.6893,12.44638,2.4253,1.34869,4.11692,4.81505,9.78505,8.82004,5.64579,6.86981,3.85231,3.52353,12.10907,3.26402,2.40211,2.62856,5.87448,5.38949,12.70438,7.44207,4.18475,5.26989,4.07944,7.09886,2.58507,9.38581,9.10688,21.43537,9.97899,4.19218,4.96301,4.09689,6.25062,8.55397,12.64013,6.34554,1.65565,13.93086,14.33573,1.83305,11.62626,7.00884,5.02265,1.34387,2.07614,1.47828,18.87522,7.81015,4.65699,4.6049,3.91034,6.28981,1.63267,2.0195,44.3139,26.027,19.96679,11.79278,25.61306,15.38444,31.2432,0.0,6.07466,21.63696,27.44775,5.13423,16.29657,69.64759,27.62752,35.73896,24.58642,13.70044,4.93059,1.87018,1.86839,2.66949,48.02526,14.57829,2.51311,7.02084,12.79701,35.28395,10.67357,2.23614,23.55097,19.03727,6.23944,7.45301,5.4911,2.86665,8.01748,3.62121,2.82993,3.64126,7.27453,18.23378,19.22607,14.10347,4.79299,2.24126,1.53924,3.04783,2.47506,1.74983,2.75109,2.4156,2.85845,2.28533,7.92561,16.32133,37.2127,13.86764,12.85758,1.92099,2.29534,1.63778,3.44987,4.19209,4.92073,5.95465,3.67117,3.50153,5.00336,24.7592,32.32101,1.86101,10.9156,17.48338,1.95003,3.24046,1.29512,6.66124,4.96498,1.14261,4.69424,6.93,2.43999,2.16906,2.44868,1.95842,4.11294,3.50034,1.54021,1.21256,4.80855,23.37416,5.9144,4.12721,3.05718,6.32402,6.9021,4.27258,4.69142,0.89962,2.79867,34.13036,4.5419,2.63544,4.97194,16.72092,4.30257,1.89533,13.04781,4.06874,8.92239,6.77849
-3.0,3.15938,2.8171,4.94977,6.18053,1.40152,5.75987,13.29262,2.84983,6.72873,8.77431,3.65295,12.56313,8.00581,6.29817,4.40582,10.86526,8.70444,9.04522,13.29554,9.44616,9.83931,6.82578,41.52576,10.90122,4.70557,17.29306,10.68121,14.18335,19.29568,7.78463,11.45115,1.54217,10.08933,11.22736,19.29733,3.6772,5.75455,41.72697,1.62689,2.49014,26.28806,20.84662,11.94662,2.29645,3.22201,17.91023,4.35425,4.17461,2.62155,2.43245,7.33319,15.71084,10.32987,7.39288,9.58301,8.52741,1.89059,7.23045,7.41747,2.04538,2.3602,7.87813,3.53124,4.10888,2.3985,3.92478,2.78882,4.23754,11.81626,3.85678,2.39856,5.12637,94.64884,9.82031,5.68234,2.45479,4.00852,5.06412,9.24265,10.64172,5.8033,6.87079,3.76756,3.51579,8.37592,2.98016,3.8231,2.15815,6.68455,6.83566,13.99446,6.66215,4.52799,5.17181,6.86395,7.33051,2.54003,8.57836,9.25699,16.81085,10.11156,3.18303,4.44027,4.67905,5.8257,9.40805,9.77965,5.41571,1.9489,10.83043,13.62541,2.38376,11.48008,5.97274,4.92047,2.57201,1.90826,4.25159,17.03596,7.28355,4.19575,4.8933,5.09765,6.28229,1.60489,2.01743,47.81978,23.1766,21.95957,11.10914,25.98275,22.59978,35.58136,14.2258,13.0021,22.71989,28.90031,4.51791,14.0462,70.74328,29.53227,28.61946,23.15699,13.85336,4.99484,1.83179,2.14114,2.814,48.42147,17.24831,2.59011,6.65981,12.63784,34.21162,9.83679,2.15814,26.88316,17.38328,6.81869,6.7044,5.16133,2.20859,7.31576,4.21583,3.00725,3.52408,8.68511,16.97831,16.58127,11.76178,4.20985,2.09896,1.65411,2.96396,2.28489,1.73577,2.79634,2.29122,3.16289,2.13069,7.44707,16.66294,38.62029,13.90567,11.34495,2.14855,2.53325,2.13282,3.50194,3.91833,4.93279,5.4227,2.84683,3.58777,4.69914,23.26769,30.3936,1.75362,11.17966,15.92271,2.13839,3.38732,1.37748,8.82971,5.72064,1.24134,4.29939,7.68415,2.69576,2.54683,2.15945,1.65295,3.79016,3.27273,2.47636,2.48309,4.40305,23.43922,3.57142,5.42875,3.11035,5.71678,6.44151,4.05722,4.39635,1.93199,2.72489,36.26947,4.46712,2.45435,4.40434,17.0568,4.09011,1.59757,11.32965,4.49807,10.21766,6.5743
-2.75,3.31223,2.89542,4.53967,6.45836,2.114,5.40292,10.43806,4.16548,7.04174,9.40329,4.67186,11.49099,6.0984,6.11305,4.75505,9.08942,7.20442,9.63903,11.13499,9.99694,12.90868,7.36551,35.67088,10.04309,5.33806,11.10062,8.03344,13.36712,23.90115,5.75162,9.69928,2.1199,10.0171,10.9595,19.44936,2.73866,4.98696,42.27316,1.6934,2.61502,27.45452,17.91835,9.09399,2.16934,3.59473,19.14605,4.30046,5.0161,2.97556,3.58447,7.87791,15.94902,13.30845,6.64476,8.83679,7.50955,1.87187,7.18367,6.59777,1.79213,2.03362,6.46019,3.85403,4.11905,2.92708,4.41905,2.58387,4.72805,11.16428,3.36493,2.27404,5.20099,46.73962,7.81426,5.88493,2.57909,4.02977,5.08889,7.48541,10.02722,5.80226,6.8008,3.50956,3.33384,6.4848,2.83411,3.74267,2.07115,5.97792,7.14747,12.79135,6.32393,4.51529,5.07825,6.666,6.84187,2.47176,7.66687,7.70039,15.5652,7.41554,2.71005,4.5991,4.66583,6.92963,7.96785,17.6811,5.06009,1.98332,9.24889,12.54295,2.39417,9.5668,5.54943,4.16764,2.7104,2.13645,3.52747,14.32502,6.68027,5.09138,5.2693,4.63037,4.94422,1.48972,1.95419,36.30594,27.62878,22.26245,9.59099,25.92178,22.31599,39.61891,29.37336,15.75838,23.78517,25.06927,4.47768,12.86268,71.01695,33.40999,30.71039,26.3113,14.34284,5.31237,1.61099,2.51901,2.5569,48.86078,17.65415,2.73372,5.47686,12.34535,34.84938,9.03061,2.48872,34.37818,22.02857,5.8856,6.26211,5.03269,1.95904,6.93442,3.97996,2.891,3.19769,7.24969,18.79417,18.54777,9.95678,3.47939,2.18048,1.70618,3.04933,2.53153,1.79058,2.98304,2.29178,3.06045,2.10529,7.61743,15.25458,25.1928,16.5323,9.73633,1.9626,2.45813,2.60745,3.75515,3.84445,4.63412,4.36479,2.8465,3.67916,3.96999,27.2145,28.46607,1.84157,10.32434,15.33667,2.04755,3.83163,1.33963,8.75975,7.4667,1.77922,4.75057,7.0022,2.87287,3.42978,2.15907,1.93651,3.54788,4.28444,3.14127,2.43108,4.42029,23.43922,4.46529,5.74231,3.44679,6.58792,6.80812,3.77551,3.75573,2.16974,2.86669,37.14132,4.54403,2.17755,3.92082,17.67181,3.59804,1.88683,9.47145,3.93839,7.51314,6.04356
