,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.05,0.0,0.10231,0.06558,0.06969,0.06203,0.04213,0.04699,0.04452,0.05866,0.0,0.04986,0.0,0.07197,0.05542,0.05418,0.0407,0.04074,0.0,0.0,0.0,0.08127,0.05814,0.04528,0.07954,0.05499,0.04594,0.06927,0.0,0.08148,0.03417,0.06315,0.24846,0.20854,0.26158,0.10122,0.21028,0.5857,0.06103,0.07516,0.26516,0.31182,0.20779,0.08852,0.06098,0.38903,0.05072,0.05209,0.05343,0.06337,0.04109,0.0,0.06015,0.03884,0.06439,0.13481,0.09462,0.08019,0.05858,0.09218,0.07304,0.05335,0.05041,0.07673,0.05368,0.05584,0.06311,0.04209,0.06831,0.09422,0.05845,0.13185,0.77814,0.18113,0.06266,0.0466,0.05289,0.11189,0.06103,0.0,0.0623,0.04783,0.07406,0.11304,0.05913,0.05285,0.0672,0.06634,0.05701,0.06299,0.08205,0.05241,0.05289,0.0415,0.08085,0.10724,0.06815,0.13188,0.18451,0.35765,0.19065,0.08848,0.06099,0.05742,0.0433,0.0,0.04633,0.05761,0.08776,0.06066,0.06725,0.05762,0.05149,0.05792,0.14283,0.06287,0.10567,0.05698,0.20343,0.163,0.04623,0.06026,0.04554,0.10451,0.06376,0.05342,0.38519,0.75694,0.0,0.0,1.62596,0.0,4.24888,0.0,0.0,0.0,0.0,0.16241,0.26525,0.0,0.6694,0.48723,0.46579,0.58368,0.17501,0.08777,0.06677,0.08252,1.06771,0.0,0.11932,0.11958,0.17563,0.79024,0.234,0.09273,0.0,0.0,0.20063,0.26544,0.1418,0.08943,0.22701,0.0964,0.08449,0.11214,0.07812,0.33458,0.37682,0.29307,0.127,0.08166,0.09369,0.0766,0.06887,0.05213,0.06147,0.06322,0.0597,0.07395,0.13352,0.36383,0.45934,0.3105,0.16001,0.08164,0.07506,0.07418,0.15995,0.05961,0.10982,0.08175,0.06069,0.0532,0.06732,0.51404,0.45322,0.07226,0.25588,0.0,0.0787,0.11654,0.05779,0.04055,0.08198,0.07879,0.05803,0.0545,0.04217,0.06077,0.05362,0.05047,0.0531,0.0,0.05438,0.05773,0.04286,0.48735,0.08266,0.0498,0.04197,0.04033,0.06608,0.10985,0.06453,0.07696,0.06326,0.71661,0.16462,0.06653,0.12891,0.28298,0.0761,0.05961,0.04921,0.05239,0.05669,0.14958
-4.75,0.04716,0.046,0.09831,0.06129,0.06442,0.06142,0.04213,0.04699,0.04452,0.05866,0.05186,0.04734,0.03692,0.06524,0.05468,0.04856,0.04036,0.04074,0.05396,0.0,0.0,0.08069,0.05455,0.04366,0.07898,0.05213,0.04594,0.06028,0.0,0.06502,0.03106,0.05927,0.23934,0.19505,0.25047,0.10122,0.24023,0.5857,0.05958,0.0746,0.25714,0.298,0.19619,0.07463,0.05762,0.33788,0.04981,0.05068,0.05343,0.05589,0.04109,0.0,0.05091,0.03822,0.05678,0.12993,0.08975,0.07546,0.05858,0.08339,0.07304,0.05014,0.04967,0.07667,0.04983,0.04871,0.06311,0.03942,0.06745,0.08944,0.05845,0.09989,0.74002,0.17482,0.06266,0.04556,0.0506,0.11197,0.06103,0.0,0.06083,0.04522,0.06977,0.11126,0.05446,0.05179,0.06495,0.06222,0.05272,0.05976,0.08205,0.0482,0.04476,0.0415,0.09513,0.10087,0.06564,0.11689,0.17965,0.3445,0.16726,0.08517,0.05569,0.05742,0.04257,0.03472,0.04302,0.05761,0.08171,0.05819,0.06725,0.05607,0.04697,0.04667,0.13765,0.0601,0.10018,0.05698,0.20343,0.15164,0.04542,0.0584,0.04512,0.10334,0.06318,0.05203,0.36736,0.72459,0.0,0.0,1.52708,0.0,4.1997,0.0,0.0,0.55158,0.0,0.15516,0.24855,0.0,0.65595,0.44762,0.43413,0.57163,0.1682,0.08088,0.06744,0.07452,1.01827,0.29159,0.11446,0.11549,0.16966,0.73138,0.22299,0.09144,0.77822,0.64382,0.20063,0.2487,0.13932,0.08943,0.22557,0.09191,0.08021,0.1077,0.07315,0.3009,0.35917,0.25932,0.12122,0.08064,0.08955,0.07482,0.06609,0.04928,0.05889,0.05851,0.05555,0.07158,0.1225,0.35658,0.42961,0.3105,0.15255,0.07882,0.06491,0.07325,0.15995,0.05619,0.10754,0.07969,0.06069,0.0518,0.06681,0.5218,0.44635,0.06731,0.2467,0.0,0.07523,0.11234,0.05544,0.04055,0.08074,0.07061,0.05756,0.05359,0.04128,0.05586,0.05278,0.05178,0.04506,0.0299,0.05438,0.0486,0.04286,0.48735,0.08266,0.0472,0.04197,0.03887,0.06134,0.10458,0.05731,0.07392,0.05637,0.67902,0.14929,0.06583,0.11772,0.27993,0.07408,0.05334,0.04808,0.05239,0.04795,0.14366
-4.5,0.04576,0.04395,0.09517,0.06124,0.05961,0.05842,0.04213,0.0405,0.04251,0.0518,0.05186,0.04543,0.03692,0.06524,0.05101,0.04691,0.03991,0.04074,0.05306,0.0352,0.0,0.0751,0.05455,0.04468,0.07721,0.05213,0.04594,0.06028,0.0,0.06442,0.02981,0.0588,0.23636,0.17803,0.2388,0.0933,0.2301,0.51915,0.05715,0.07081,0.24163,0.27968,0.19473,0.07766,0.0544,0.3197,0.04701,0.04989,0.05071,0.0532,0.04109,0.0,0.05028,0.036,0.05258,0.12766,0.08706,0.07546,0.05463,0.08014,0.06641,0.0491,0.04241,0.06975,0.04796,0.04792,0.06311,0.03942,0.05895,0.08867,0.05159,0.09578,0.70063,0.16332,0.05695,0.04475,0.04955,0.10986,0.05658,0.03915,0.05976,0.04485,0.06677,0.10277,0.0532,0.05125,0.06464,0.06,0.05215,0.05679,0.06962,0.04244,0.04191,0.03878,0.09453,0.09494,0.06362,0.10923,0.17965,0.33157,0.15996,0.08517,0.05185,0.05742,0.04256,0.03431,0.04129,0.04156,0.07828,0.05819,0.06326,0.0533,0.04348,0.0442,0.13655,0.05884,0.09125,0.04817,0.185,0.14591,0.04221,0.05364,0.04415,0.09412,0.05971,0.04722,0.33005,0.72459,0.3781,0.21121,1.50703,0.0,4.01899,0.0,0.0,0.54037,0.0,0.15282,0.23391,1.13834,0.58537,0.45517,0.41569,0.5386,0.16445,0.07547,0.06483,0.07274,0.94484,0.28274,0.1002,0.10882,0.16596,0.71133,0.21062,0.09144,0.72863,0.61389,0.17588,0.24391,0.13113,0.08354,0.21408,0.08975,0.08021,0.10525,0.06772,0.29509,0.33596,0.23952,0.12016,0.07556,0.08391,0.06663,0.0618,0.04822,0.05431,0.05385,0.05191,0.06831,0.11697,0.32859,0.41809,0.28396,0.14102,0.07363,0.0646,0.06752,0.14167,0.05599,0.10502,0.07661,0.05688,0.04943,0.06329,0.5128,0.41773,0.06448,0.2345,0.0,0.07147,0.11102,0.05134,0.03676,0.08074,0.06822,0.05756,0.05343,0.03901,0.05478,0.04892,0.05007,0.04264,0.03083,0.04351,0.04777,0.03816,0.48735,0.08266,0.04422,0.03442,0.03798,0.05047,0.10115,0.05502,0.07341,0.05497,0.64682,0.1431,0.06429,0.11046,0.26072,0.07249,0.04696,0.04467,0.04839,0.04683,0.12888
-4.25,0.04306,0.04262,0.09487,0.05834,0.0562,0.05842,0.04213,0.0405,0.04251,0.0518,0.05186,0.04488,0.03573,0.062,0.05101,0.04496,0.03991,0.03529,0.05129,0.0352,0.0,0.06235,0.05455,0.04249,0.07009,0.05017,0.03962,0.05857,0.03256,0.06442,0.0278,0.05696,0.23157,0.16772,0.2236,0.0933,0.21951,0.50324,0.05483,0.06582,0.22333,0.2633,0.17877,0.0722,0.05021,0.31556,0.04383,0.04989,0.04768,0.04814,0.04109,0.0,0.04639,0.03394,0.04646,0.11583,0.07904,0.05343,0.05164,0.07848,0.06022,0.04637,0.04087,0.05527,0.0421,0.04596,0.06311,0.03942,0.05618,0.0853,0.04508,0.09287,0.66482,0.15837,0.0549,0.04236,0.04412,0.10027,0.0562,0.03976,0.05535,0.04485,0.06354,0.09716,0.05285,0.04732,0.06026,0.05954,0.04719,0.05679,0.06893,0.0383,0.03672,0.03613,0.09458,0.08918,0.05961,0.1048,0.17227,0.30018,0.15723,0.0786,0.05079,0.04613,0.03977,0.03317,0.04109,0.03831,0.07473,0.05173,0.06326,0.04894,0.04194,0.03966,0.12525,0.06122,0.08573,0.04308,0.17336,0.13599,0.03942,0.05118,0.04279,0.09302,0.05903,0.04356,0.31085,0.63842,0.35921,0.20336,1.25549,0.0,4.13208,0.0,0.0,0.5307,0.54611,0.14589,0.22992,1.05788,0.56051,0.41204,0.40402,0.5067,0.1576,0.07403,0.05894,0.06947,0.89985,0.25657,0.09824,0.10397,0.15434,0.67093,0.19997,0.07576,0.72139,0.59813,0.16379,0.23334,0.12465,0.07947,0.2049,0.07695,0.07787,0.10093,0.066,0.27922,0.32312,0.22349,0.12016,0.07502,0.07595,0.06177,0.05928,0.04479,0.05248,0.05059,0.04964,0.06778,0.11549,0.29837,0.37333,0.28396,0.13204,0.06897,0.06024,0.06135,0.13304,0.05077,0.10025,0.07266,0.05275,0.04696,0.05661,0.49275,0.38352,0.06233,0.22672,0.0,0.06966,0.104,0.05096,0.03694,0.07473,0.06742,0.05247,0.04846,0.03694,0.05242,0.04743,0.04842,0.03997,0.02918,0.0403,0.04747,0.03766,0.34738,0.05689,0.04246,0.03252,0.03653,0.04608,0.0979,0.05469,0.06621,0.05245,0.60996,0.14158,0.05894,0.10477,0.24739,0.0672,0.04658,0.04429,0.04563,0.05022,0.11609
-4.0,0.04093,0.04168,0.09487,0.0554,0.05481,0.05542,0.03939,0.03829,0.04251,0.04598,0.05186,0.04488,0.034,0.05988,0.04157,0.04342,0.03707,0.03487,0.05129,0.03435,0.03162,0.0615,0.04819,0.0407,0.06994,0.05017,0.03962,0.04936,0.02954,0.06052,0.02826,0.0553,0.22039,0.16622,0.22139,0.08527,0.20956,0.47113,0.05333,0.06414,0.21266,0.25229,0.17457,0.0698,0.04683,0.30044,0.04133,0.04556,0.04465,0.04664,0.04605,0.0,0.04576,0.03359,0.04552,0.11001,0.07484,0.04608,0.0513,0.07523,0.05468,0.04517,0.03751,0.05113,0.03941,0.04,0.05398,0.03442,0.05182,0.07856,0.0413,0.08924,0.63162,0.14966,0.05284,0.03947,0.04133,0.09834,0.0562,0.0403,0.05438,0.04112,0.06208,0.09512,0.04898,0.0481,0.05056,0.05639,0.04157,0.05197,0.06893,0.03584,0.03355,0.03496,0.07967,0.08647,0.05744,0.10084,0.17227,0.28231,0.14557,0.07498,0.04692,0.04444,0.03581,0.03175,0.03756,0.03462,0.07287,0.05443,0.05834,0.04291,0.04078,0.03725,0.12329,0.05924,0.08316,0.03987,0.17228,0.13203,0.03777,0.05036,0.03818,0.09269,0.05461,0.04162,0.30132,0.60064,0.33604,0.19083,1.21395,0.0,3.87361,0.0,0.0,0.48124,0.51649,0.14191,0.22303,1.00023,0.53107,0.41204,0.3808,0.48279,0.15077,0.06911,0.05648,0.06712,0.88042,0.24605,0.09463,0.09967,0.15017,0.62265,0.19224,0.06912,0.68737,0.55945,0.15578,0.23086,0.1146,0.06962,0.19613,0.07045,0.07416,0.09556,0.0635,0.25985,0.30859,0.22053,0.12352,0.07299,0.07261,0.0592,0.05632,0.04251,0.04809,0.04822,0.04882,0.06263,0.10565,0.28803,0.35666,0.25893,0.12634,0.06523,0.05348,0.06079,0.12092,0.04975,0.09241,0.07046,0.05245,0.04492,0.05321,0.46167,0.36254,0.06004,0.22062,0.0,0.06663,0.09919,0.04786,0.03473,0.06883,0.06751,0.0488,0.04496,0.03536,0.04886,0.04355,0.04425,0.03677,0.02888,0.03886,0.04348,0.03665,0.32149,0.05,0.04067,0.03014,0.03507,0.04261,0.09138,0.05192,0.06225,0.05277,0.5797,0.13323,0.05579,0.10027,0.24026,0.06554,0.04428,0.04117,0.04064,0.05166,0.11185
-3.75,0.03549,0.03906,0.09383,0.05197,0.05323,0.05196,0.03939,0.03636,0.03872,0.04377,0.04112,0.03983,0.034,0.0539,0.03987,0.04477,0.03378,0.03335,0.04657,0.03424,0.02872,0.06041,0.0479,0.0377,0.05972,0.04571,0.03071,0.04936,0.03122,0.05438,0.0267,0.0523,0.21879,0.15609,0.21044,0.07354,0.19515,0.44393,0.04936,0.05948,0.2052,0.23564,0.16126,0.06257,0.04499,0.2753,0.03789,0.03814,0.04151,0.04227,0.04037,0.04077,0.04088,0.03194,0.04349,0.10717,0.0675,0.04588,0.04334,0.07165,0.04577,0.04244,0.03601,0.04538,0.03696,0.03711,0.05398,0.03186,0.04783,0.07486,0.03757,0.08585,0.5848,0.13459,0.04952,0.03789,0.03851,0.09334,0.05104,0.03949,0.05145,0.0363,0.06109,0.0928,0.04659,0.04498,0.04948,0.05024,0.039,0.049,0.06101,0.03302,0.03177,0.03157,0.07943,0.08048,0.05357,0.09267,0.16301,0.26615,0.13429,0.06962,0.04706,0.04253,0.03241,0.03081,0.03565,0.03352,0.06922,0.05443,0.05301,0.04095,0.03943,0.03836,0.10739,0.05601,0.0816,0.03968,0.16614,0.1207,0.03523,0.04872,0.03792,0.08928,0.05282,0.0395,0.27565,0.56271,0.31357,0.19089,1.17963,0.0,3.4364,0.0,0.42204,0.48124,0.48421,0.12987,0.20868,0.93695,0.508,0.35729,0.37461,0.44968,0.13964,0.06557,0.05126,0.06283,0.80297,0.23626,0.08644,0.09539,0.13582,0.57589,0.17983,0.06349,0.64692,0.5345,0.136,0.21361,0.10615,0.06642,0.18836,0.06678,0.06968,0.08751,0.0607,0.24877,0.29295,0.20958,0.11776,0.06562,0.07125,0.05747,0.05353,0.04013,0.04647,0.04276,0.04537,0.05816,0.1012,0.27773,0.33368,0.23739,0.1199,0.06306,0.04897,0.06031,0.12015,0.04805,0.08832,0.06844,0.04855,0.04121,0.05067,0.39761,0.34147,0.05497,0.20824,0.24637,0.06482,0.09377,0.04341,0.03249,0.06042,0.06203,0.04216,0.04499,0.03356,0.04315,0.04115,0.0415,0.03484,0.02792,0.03855,0.0354,0.03422,0.31779,0.04099,0.03869,0.02874,0.03261,0.04047,0.0895,0.0439,0.05959,0.04994,0.54468,0.12666,0.05372,0.09438,0.22495,0.0608,0.04211,0.04031,0.03873,0.04863,0.10629
-3.5,0.03451,0.03755,0.0818,0.04927,0.04862,0.04741,0.03939,0.03546,0.03703,0.03816,0.04112,0.03897,0.03178,0.05057,0.03837,0.04216,0.03114,0.03218,0.04365,0.033,0.03416,0.05442,0.0434,0.03506,0.0592,0.04269,0.02844,0.04397,0.02783,0.0458,0.02552,0.05004,0.20555,0.149,0.19579,0.06868,0.17821,0.42023,0.04661,0.05365,0.19039,0.22338,0.1416,0.05995,0.0407,0.26368,0.03657,0.03756,0.04,0.03922,0.03284,0.04313,0.04042,0.03009,0.0415,0.10121,0.06285,0.04385,0.04148,0.06806,0.04297,0.03719,0.0334,0.04092,0.03137,0.03421,0.04812,0.03064,0.04394,0.0696,0.03619,0.07792,0.57111,0.12774,0.04826,0.03653,0.03564,0.0885,0.03682,0.03563,0.04674,0.03242,0.0568,0.08614,0.04438,0.04023,0.04788,0.04774,0.03714,0.04394,0.05375,0.03148,0.02935,0.02987,0.07396,0.07614,0.05106,0.08829,0.13509,0.25524,0.12574,0.0595,0.04521,0.03961,0.03151,0.0289,0.03378,0.03044,0.06446,0.0506,0.04933,0.03839,0.03657,0.03429,0.09697,0.0522,0.07854,0.03647,0.15529,0.11335,0.03366,0.04668,0.03637,0.08178,0.0511,0.03612,0.26029,0.52089,0.29685,0.17386,1.12001,0.0,3.23766,0.0,0.42204,0.40405,0.4646,0.12056,0.20242,0.87422,0.47999,0.32831,0.33775,0.42262,0.1299,0.06091,0.04808,0.06054,0.74101,0.22654,0.07963,0.09201,0.13041,0.55442,0.1689,0.05871,0.59857,0.48679,0.13234,0.19634,0.10018,0.06458,0.17705,0.06019,0.06621,0.08486,0.05761,0.23671,0.26967,0.18818,0.10935,0.06128,0.06801,0.05316,0.05099,0.03732,0.04427,0.0404,0.04104,0.05453,0.09383,0.24316,0.3087,0.22049,0.10997,0.05698,0.04808,0.054,0.11656,0.04495,0.08091,0.05999,0.04353,0.03873,0.04872,0.37293,0.32582,0.05214,0.20025,0.22971,0.05996,0.08992,0.04163,0.02948,0.05087,0.05977,0.03849,0.04073,0.03241,0.04069,0.03907,0.03924,0.03321,0.02614,0.03686,0.0354,0.03232,0.31779,0.03774,0.0361,0.02667,0.03128,0.03762,0.0865,0.04001,0.05229,0.04693,0.51349,0.11756,0.04969,0.08589,0.20667,0.05833,0.03986,0.03709,0.03644,0.04471,0.10029
-3.25,0.03242,0.03535,0.07608,0.0438,0.04569,0.04491,0.03367,0.03321,0.03237,0.03513,0.03151,0.03717,0.02745,0.04611,0.03472,0.0393,0.02839,0.0309,0.0427,0.03121,0.0315,0.05103,0.03921,0.03299,0.05459,0.03893,0.0269,0.03809,0.02727,0.0423,0.02452,0.04759,0.18843,0.14219,0.17662,0.06254,0.16954,0.38961,0.043,0.04909,0.1745,0.20318,0.13408,0.05773,0.03847,0.23177,0.03465,0.03515,0.0361,0.03796,0.03001,0.04,0.0392,0.02911,0.03828,0.09229,0.05973,0.04068,0.03914,0.0643,0.04144,0.03482,0.0323,0.03554,0.02971,0.03092,0.03632,0.02934,0.03908,0.06468,0.03349,0.07372,0.50742,0.1223,0.04381,0.03386,0.03316,0.08563,0.03605,0.03334,0.04468,0.03528,0.05302,0.07621,0.04117,0.03744,0.04429,0.04373,0.03441,0.04081,0.04718,0.02962,0.02738,0.02883,0.06715,0.07329,0.04907,0.08515,0.11687,0.23242,0.12376,0.05689,0.04112,0.0384,0.02996,0.02809,0.03017,0.03014,0.06038,0.04643,0.04408,0.03649,0.03379,0.03233,0.09112,0.05059,0.07112,0.03416,0.14162,0.10825,0.03235,0.04346,0.03511,0.07934,0.04782,0.03353,0.24759,0.49739,0.2808,0.16041,1.04685,0.77204,3.12572,0.0,0.38855,0.3781,0.44877,0.11405,0.19417,0.81119,0.43284,0.3038,0.31052,0.39076,0.12391,0.0546,0.04579,0.05655,0.69684,0.2106,0.07482,0.08496,0.12532,0.5068,0.15828,0.05602,0.56059,0.45817,0.12182,0.18458,0.09391,0.06089,0.16667,0.05767,0.05916,0.07587,0.05352,0.21314,0.24532,0.17625,0.11113,0.05717,0.06486,0.04925,0.04847,0.03488,0.04149,0.03773,0.03967,0.05143,0.08905,0.23021,0.2915,0.20159,0.10545,0.05271,0.04411,0.04886,0.10322,0.04232,0.07756,0.05586,0.042,0.03405,0.04569,0.34526,0.30041,0.04966,0.18565,0.2113,0.05431,0.08359,0.03968,0.02748,0.04612,0.05794,0.03582,0.03756,0.0298,0.03794,0.03631,0.03794,0.03098,0.02527,0.03258,0.0331,0.03098,0.27173,0.03568,0.03368,0.02447,0.02911,0.03407,0.07553,0.03727,0.04297,0.04294,0.47482,0.11209,0.04704,0.07868,0.19229,0.05448,0.03657,0.03646,0.0347,0.04006,0.09514
-3.0,0.03034,0.03313,0.06977,0.04208,0.04242,0.03952,0.03139,0.03159,0.02986,0.03467,0.03124,0.03206,0.02547,0.04208,0.03397,0.03909,0.02615,0.02801,0.03727,0.02908,0.03246,0.04436,0.03702,0.03204,0.0519,0.03315,0.0266,0.03585,0.02569,0.03939,0.02345,0.04115,0.17999,0.1276,0.16012,0.06096,0.15816,0.36895,0.04052,0.04551,0.16394,0.18846,0.12751,0.05318,0.03581,0.22328,0.03211,0.03201,0.03392,0.03413,0.02794,0.03786,0.03484,0.02695,0.03418,0.08872,0.05233,0.03699,0.03704,0.06041,0.03946,0.03326,0.03006,0.03209,0.02758,0.02804,0.03376,0.02748,0.03558,0.05969,0.03151,0.06954,0.4756,0.11545,0.03871,0.0305,0.03145,0.08059,0.03339,0.03153,0.04138,0.03152,0.04981,0.06852,0.03649,0.03344,0.04214,0.03991,0.02993,0.03608,0.04347,0.02831,0.0251,0.02654,0.0609,0.06965,0.04473,0.08027,0.11369,0.21766,0.11429,0.05266,0.03865,0.03438,0.02803,0.02558,0.02814,0.02663,0.05764,0.04066,0.04265,0.03383,0.03201,0.03071,0.08555,0.04344,0.06519,0.03066,0.12955,0.09754,0.03025,0.03992,0.0304,0.07417,0.04479,0.03123,0.22714,0.45191,0.25706,0.14762,0.99766,0.73894,2.80091,0.47076,0.33997,0.34832,0.41046,0.10705,0.17064,0.74152,0.3953,0.28136,0.2868,0.37136,0.11579,0.05279,0.04213,0.05252,0.64811,0.1942,0.06806,0.07959,0.11727,0.46324,0.15715,0.05293,0.51551,0.43066,0.11142,0.1761,0.08856,0.05507,0.15367,0.05069,0.05411,0.07101,0.05022,0.20165,0.22483,0.15962,0.10243,0.05333,0.05985,0.0458,0.04429,0.03319,0.03793,0.03503,0.03794,0.0495,0.08391,0.2127,0.26762,0.19382,0.09886,0.0488,0.04015,0.04401,0.09649,0.04034,0.07202,0.05215,0.03928,0.03194,0.04436,0.32801,0.2795,0.04613,0.17832,0.19568,0.05023,0.07375,0.03792,0.02669,0.03887,0.05003,0.03347,0.03408,0.02734,0.03572,0.03327,0.03386,0.02949,0.02325,0.0299,0.02997,0.02789,0.26516,0.02931,0.03124,0.02336,0.02751,0.03198,0.0711,0.03241,0.03872,0.04101,0.44712,0.10371,0.04316,0.07326,0.18319,0.05077,0.03302,0.0335,0.03339,0.03562,0.08416
-2.75,0.02884,0.03101,0.06393,0.03868,0.03825,0.03599,0.02669,0.02884,0.02815,0.02959,0.02592,0.02825,0.02364,0.03761,0.03191,0.03559,0.02506,0.02611,0.03724,0.02741,0.02919,0.04111,0.03392,0.02952,0.05022,0.02875,0.02459,0.03098,0.02458,0.03425,0.02199,0.03846,0.17152,0.11561,0.15414,0.0568,0.13614,0.33324,0.03712,0.04286,0.14994,0.17413,0.11493,0.04894,0.0324,0.20245,0.03015,0.02826,0.03125,0.03192,0.02598,0.036,0.03167,0.02538,0.02855,0.08068,0.04813,0.03423,0.03463,0.05485,0.03603,0.03159,0.02854,0.02994,0.02563,0.02681,0.03176,0.02515,0.03238,0.05352,0.02987,0.06646,0.43684,0.10614,0.03624,0.02908,0.02956,0.07614,0.03172,0.02951,0.03666,0.02832,0.04729,0.06241,0.03362,0.03039,0.03689,0.03685,0.02773,0.03291,0.03912,0.02611,0.02383,0.02517,0.04998,0.06689,0.04084,0.07533,0.10046,0.20082,0.10184,0.04909,0.03624,0.03257,0.02669,0.0242,0.02667,0.02445,0.05282,0.03668,0.03922,0.03134,0.02957,0.02842,0.07947,0.03982,0.05811,0.02796,0.12283,0.09289,0.02793,0.03574,0.02781,0.07025,0.04102,0.02902,0.20379,0.41533,0.24167,0.13617,0.78384,0.68769,2.57703,0.45025,0.31009,0.3199,0.36775,0.09885,0.15047,0.6826,0.37117,0.26434,0.27066,0.33807,0.1068,0.04694,0.03928,0.04873,0.59283,0.18193,0.06371,0.07291,0.10123,0.42609,0.14368,0.04904,0.47819,0.39397,0.10324,0.16555,0.08109,0.05119,0.13712,0.04508,0.04894,0.06396,0.04692,0.18422,0.21338,0.14801,0.09493,0.0504,0.05513,0.04396,0.04105,0.03021,0.03588,0.03221,0.03501,0.04417,0.07738,0.19702,0.2485,0.17739,0.09282,0.04407,0.03612,0.0417,0.0881,0.03687,0.06851,0.05057,0.03582,0.03004,0.03973,0.29709,0.25339,0.04214,0.14939,0.18573,0.04549,0.07121,0.03532,0.02521,0.03644,0.04537,0.03011,0.03122,0.02646,0.03339,0.0313,0.03011,0.02631,0.02192,0.02599,0.02859,0.02633,0.26516,0.027,0.02824,0.02228,0.02633,0.0305,0.06645,0.03052,0.03525,0.03841,0.41745,0.09222,0.04039,0.0681,0.17141,0.04602,0.0305,0.03277,0.02989,0.03298,0.08099
