,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,2.68575,0.0,0.75452,2.84995,1.62998,0.0,0.0,6.99565,0.54721,0.17756,0.4721,0.71454,0.0,1.35074,2.3873,11.69758,0.0,0.90818,1.21702,0.45924,0.33384,2.37857,0.27963,0.02596,0.94454,14.22516,10.18011,0.56515,0.0,3.42609,0.68334,1.07825,10.07686,8.10358,13.36536,1.85613,3.31316,16.23817,0.91003,0.81157,5.6459,26.78777,3.72398,3.85829,1.58436,22.84905,0.54647,1.87084,11.08651,2.31676,0.50903,0.5131,0.96368,0.0,0.06788,4.08774,1.91815,1.45443,1.32337,1.74193,1.46403,1.82964,2.79125,0.44625,1.30414,0.6235,0.04662,0.0,0.73239,3.86937,1.12496,2.03429,41.17183,1.21834,0.59312,0.57735,1.83213,0.46232,3.57743,0.0,1.30135,0.61447,0.53471,1.97336,0.18647,2.02468,0.25361,1.74843,6.28267,0.73647,0.12249,0.21585,3.06906,0.0,0.57216,1.16382,2.77388,32.40403,3.43054,0.0,1.02073,0.50669,0.13214,0.51607,12.32329,2.61092,0.0,0.0,1.73652,1.74451,0.86083,0.0,6.92281,0.77512,1.27677,1.11294,1.60413,3.23894,2.17663,1.37905,0.0,0.0,0.78042,1.48631,0.68473,1.32507,6.90286,24.32121,8.1054,1.39179,43.08256,2.88716,1.74082,12.69519,0.91979,4.01629,6.30057,0.94626,0.95097,7.10236,38.41308,3.32563,2.1129,10.93134,0.58516,0.9805,5.47193,1.24159,29.29157,0.8719,7.06589,2.20167,1.69546,24.82397,1.58162,1.80934,11.82411,10.35731,0.87817,0.67422,0.5565,1.06336,0.69842,1.82359,1.10569,0.64879,2.13946,1.00011,0.89811,0.82681,1.35221,4.72299,2.34958,1.20233,32.01662,3.92734,0.2,0.92678,0.54209,0.63786,1.82671,3.65088,7.9147,1.10946,2.06425,1.95872,2.55867,2.52227,2.32895,6.08765,1.10678,4.09016,2.65674,1.01255,1.00894,13.13297,19.38468,0.97622,2.56458,1.17131,1.36374,2.35429,0.83237,0.94762,0.99331,1.63082,10.90319,1.04632,4.18902,1.37322,2.51704,1.90134,0.72604,0.0,0.0,0.0,1.23204,30.50035,1.34994,4.05932,6.15197,2.93245,0.5405,2.22737,0.07935,2.95826,5.02561,9.66364,5.90451,2.75261,2.05174,8.34322,1.63009,2.64459,0.0,1.29311,11.94053,1.96249
-4.75,2.77379,0.0,0.83675,3.18771,1.63614,0.61341,9.72315,6.63664,3.64257,0.21259,0.4721,3.59667,0.0,1.35074,4.57906,6.47724,0.0,0.98038,1.09555,0.45924,0.34518,2.37857,0.27963,0.07082,0.8378,14.22516,5.27187,0.58589,0.0,3.42609,0.68334,1.06414,10.07687,8.35369,13.60952,1.54316,3.46858,20.42841,0.95768,0.64903,5.55592,26.9761,4.96135,4.11776,1.49123,22.8617,0.54647,1.87084,23.87935,2.3168,0.50903,0.5131,0.96368,0.7038,0.06788,3.30019,1.91815,1.45443,3.53177,1.67363,1.41741,1.85457,2.81228,0.357,4.81586,3.30283,4.4118,12.02467,0.73239,3.7975,1.12496,1.7797,95.28562,1.15324,1.65921,0.63767,1.83213,0.46502,3.06653,7.7844,1.29444,0.61447,0.53471,1.93463,5.36551,2.0187,0.25362,1.57858,4.65779,0.84455,0.63613,0.21585,2.82685,0.0,0.47806,1.18289,2.66668,26.09138,3.43054,22.06679,1.06187,0.58975,0.88577,0.51607,12.32603,1.48076,0.0,0.0,1.53471,1.74451,6.19492,0.0,4.87462,0.43102,1.17801,1.08885,1.76287,4.48649,2.10326,1.52194,0.0,0.24444,0.79501,1.48631,0.69021,1.60165,6.97981,24.40362,6.36082,1.67028,44.07784,3.23924,1.90834,13.32165,1.03671,5.03669,5.80669,0.99777,1.00044,7.15175,44.07636,4.13068,2.11391,6.46454,0.55806,1.04185,5.48752,1.0192,30.80925,0.79517,6.60215,2.92443,1.3948,25.10867,1.65504,1.80934,11.89773,10.41838,1.14203,0.60741,0.56508,1.12665,0.73671,2.17494,1.253,0.65627,3.42722,1.0872,1.18122,1.25778,2.4329,4.74386,2.9946,1.20233,21.42034,3.92734,0.2,1.18693,0.54209,0.78082,1.56467,4.02691,8.05927,1.1711,1.95872,1.71633,2.11405,2.76793,2.28753,4.21484,1.18073,3.81021,2.66729,0.65624,0.92866,12.19727,19.65098,1.00222,2.28203,1.09205,1.36374,2.47546,3.94836,0.94763,0.8445,1.54491,10.45105,1.04632,3.55602,1.37322,1.82809,1.90667,1.08647,0.0,0.0,0.0,1.24242,30.55798,1.34994,4.09958,6.15197,31.35745,0.61134,1.86154,4.35083,2.97411,5.02745,9.73962,4.63611,3.0043,1.78808,8.79458,1.63009,5.81739,0.0,0.97514,11.94053,1.95099
-4.5,2.7738,0.0,0.67991,3.20941,1.70134,11.04179,9.72315,6.66272,2.80507,0.28643,0.4721,5.59694,0.0,1.19663,5.21576,4.6878,4.13704,0.98038,1.09555,0.45924,0.34518,4.41586,8.28488,2.82564,0.84746,10.77693,3.60069,1.22289,0.0,3.43857,4.75372,7.65298,10.8908,8.72808,10.71692,1.38557,4.01127,15.47902,0.83207,1.09359,5.55592,27.10619,5.12496,4.16473,1.4821,22.92689,0.54647,2.05338,20.61508,2.3168,0.50903,0.5131,1.00617,0.70381,0.06788,3.40487,1.88285,1.51759,3.5349,1.64313,2.12017,3.5923,2.81228,0.32264,4.41514,3.95583,4.41451,6.43445,0.66317,3.40109,0.98018,1.84984,95.28592,1.15828,2.74686,0.73955,1.52883,0.44403,3.06653,5.68324,1.29793,0.70922,0.87804,1.7705,5.24547,2.02774,0.25362,1.64037,4.05586,0.73671,6.15979,0.21585,2.82685,0.0,0.47806,1.07579,2.35609,26.09139,3.44244,22.23449,1.06187,0.54232,1.19581,0.50457,12.32603,1.48076,5.62946,0.0,1.58462,2.32319,6.19496,29.81782,3.04266,1.70659,1.22727,0.98373,1.59198,4.491,1.84366,1.31094,2.91438,0.36642,0.79501,1.57324,0.74853,1.65684,5.35082,24.4037,6.38383,1.55845,44.12043,3.11971,1.5402,8.78514,1.01532,4.12889,5.61289,0.96492,1.01891,7.22896,45.24592,3.40581,2.16983,6.67314,0.92386,1.29045,3.01881,2.52038,30.88021,0.8124,6.29716,2.32653,1.41244,25.4159,1.55409,1.63738,12.31937,10.24546,1.04934,0.61658,0.66217,1.00117,0.74815,2.07747,1.29063,2.32048,3.34583,1.09748,1.19793,1.28186,2.31046,4.99947,2.92268,1.67029,18.9196,3.92734,0.2,1.18693,2.16955,0.92542,1.60064,4.08083,8.0911,1.32429,1.97488,1.47437,1.93619,2.30812,2.32554,4.27491,1.17317,3.05879,13.00084,0.65624,0.98459,10.70146,20.28265,1.09292,1.92848,1.06827,1.23663,2.01808,3.07552,0.94763,5.1363,1.66604,10.45105,1.05053,3.55602,1.13159,1.98807,1.90667,1.08647,0.0,43.09123,0.0,1.33028,30.55798,1.34994,4.09958,6.15197,15.84748,0.40758,2.11266,3.11067,2.55689,4.47886,7.8886,4.73838,3.0043,1.79578,6.22371,1.63009,4.04857,0.0,0.92388,11.94053,1.56689
-4.25,2.27807,4.17876,0.64573,3.37755,1.52477,7.51295,6.48931,5.97937,2.85049,0.30333,0.4721,4.94104,0.0,1.23187,4.93548,4.8361,4.13704,0.60494,5.51908,18.11254,6.24041,4.45579,8.33213,5.91066,0.87827,10.7796,3.60069,1.22289,0.0,3.44547,4.42411,7.1268,8.24718,7.24076,10.86618,1.39361,3.46332,13.1986,0.87776,1.05001,5.44133,27.57154,5.47336,4.21638,1.67432,23.90386,7.34138,2.17929,17.0804,1.55758,0.50903,5.24974,0.9076,0.70381,0.3767,3.59372,1.60913,1.77045,5.6904,1.61219,1.84353,3.7488,2.83878,0.44124,4.7137,2.8802,4.41451,6.46094,0.66317,3.60554,1.18864,2.03239,95.59089,1.02254,2.35625,0.85011,2.83367,0.46904,3.06653,4.34861,1.55694,5.99252,1.20871,1.72503,3.88732,1.98638,0.25362,1.87757,4.35069,1.85635,4.66646,0.32016,2.82685,0.0,0.48579,1.16749,2.084,26.20535,3.19089,22.64885,0.96433,0.58651,6.68168,0.52153,12.32603,1.48076,4.61213,12.21056,1.58462,2.05365,4.88717,15.12067,3.04729,2.79391,1.35537,2.23047,10.10981,6.47515,1.46154,1.28236,13.3875,1.57619,0.656,1.57324,0.75479,1.67476,5.07844,24.40382,5.28538,1.60068,44.12049,3.26583,1.75196,9.05421,1.01179,3.42066,5.29666,0.97112,0.96287,7.96697,39.75152,3.79754,1.68348,8.01621,0.99359,1.58935,2.36794,3.08236,33.23242,0.8923,6.00049,2.22481,1.27207,23.59674,1.4673,1.73068,14.30359,9.37268,1.12104,0.62487,0.63385,1.31883,0.76229,1.99713,1.18633,2.34239,3.04621,1.02882,1.07951,1.43242,2.60597,4.01396,3.3297,2.20445,18.96715,3.55012,0.2,1.14894,4.01755,1.00084,1.62435,3.80014,5.53275,1.23672,1.73086,1.34262,2.06256,2.31706,2.02976,4.27817,1.04343,3.05879,11.90012,1.524,1.01199,11.09615,21.02178,1.08456,2.03842,1.17454,1.28198,2.03026,2.8014,1.70762,4.07134,1.58931,7.40837,1.42168,3.1459,2.55616,2.38663,1.57186,10.48381,0.0,43.09123,0.12617,7.66725,30.87211,1.35537,4.09958,6.15198,15.85297,0.40958,2.12403,2.5577,2.38567,4.5109,6.66704,3.93669,7.05221,1.80799,7.09924,1.65957,4.04857,0.73135,1.53863,11.94053,1.48693
-4.0,2.20469,5.4722,0.65243,3.37755,1.52846,7.51295,6.48931,7.79368,3.12646,0.28354,0.4721,4.2944,0.0,1.12285,4.66815,4.99866,4.13704,2.10235,4.91537,30.41149,6.24585,3.85978,8.33213,4.73394,0.78806,8.71688,3.65177,1.22289,13.03214,3.44547,12.92859,6.76572,8.27235,7.24076,11.18003,1.52562,3.56862,13.63141,1.07279,0.84759,4.31434,29.55915,6.10837,4.22325,1.62267,23.93511,16.77398,2.17929,13.69734,1.56841,0.50903,4.08691,0.9076,23.86713,0.51502,3.19172,1.55769,2.99422,4.14384,1.80471,1.80969,3.92016,1.79235,0.46391,5.49168,3.16573,19.81976,6.48712,11.59301,2.97579,2.40113,1.88965,96.89981,1.13367,2.38696,1.08017,2.51501,0.46904,4.98712,3.87315,1.5706,8.4599,1.29377,1.76505,3.92162,2.1349,0.33488,1.59308,3.00771,1.85635,4.00511,0.64539,8.53191,0.0,0.48579,1.04005,1.83279,22.05906,2.86358,23.21297,0.91192,0.67402,5.61514,0.49981,9.27397,1.1399,5.38678,12.21056,1.63182,1.36109,8.89317,15.12067,7.32893,2.79391,1.27541,2.18537,7.88606,5.90594,1.58065,1.48123,11.65856,1.7048,5.18204,1.64778,1.59959,3.10182,6.17377,24.58817,5.29722,1.43608,44.12053,3.29068,2.4168,8.57605,0.95604,3.41103,5.45812,1.1437,1.67214,8.26453,39.82376,3.8124,1.38318,8.89455,1.18485,2.07263,2.14684,2.86097,34.03963,0.964,5.89046,2.50989,2.91792,24.44699,1.3157,1.27255,14.6886,8.32774,1.10026,0.67354,0.83397,1.17912,0.77143,1.86604,0.99809,2.26885,3.45311,3.78794,1.20868,1.38558,2.23428,3.50801,3.16669,1.95118,28.90113,5.02366,2.0019,1.20127,3.50744,2.55995,1.35026,3.83472,5.49799,1.15486,1.86483,1.56858,2.6296,2.05177,1.87193,6.4561,1.02838,3.07974,10.77203,2.61723,1.86448,11.20806,21.02178,1.05167,2.03745,1.01877,1.34978,1.91929,2.74412,1.28907,3.70316,1.34406,5.59211,1.44084,3.65374,2.55626,2.38377,1.59699,8.46224,0.24946,25.18197,2.50846,6.53764,32.29157,2.65422,4.27304,5.34803,45.80541,0.32157,1.75071,2.18463,3.00726,4.29264,6.66707,3.99713,5.14037,2.21344,8.073,2.85616,2.75569,6.05128,1.83709,8.05045,1.43392
-3.75,2.09128,5.21583,3.85772,3.35344,1.78611,5.98932,6.48931,7.80814,2.68891,0.64538,8.28592,4.7948,0.0,3.62875,3.92379,5.02298,2.21404,0.93906,4.91537,21.13784,9.60356,3.45684,6.18208,3.86928,2.71386,8.74182,4.35303,3.3078,27.41065,7.81783,9.6608,6.08245,6.91329,5.64301,11.35477,1.57171,3.035,13.86823,1.15847,1.63441,4.4865,23.74006,5.38477,3.75579,1.79759,19.53219,10.72032,1.63054,11.79455,2.21164,5.24822,3.06491,3.31512,39.37084,4.17064,3.46143,1.4293,2.77741,4.26813,1.66647,1.56435,3.34419,1.75777,0.63389,5.02106,5.52684,18.71668,6.54453,11.59301,3.04887,2.9844,1.77464,97.85934,1.01502,3.3122,1.55072,2.25958,0.51383,4.98712,6.70414,3.19986,8.70573,1.7778,1.63739,3.17693,2.42832,0.54821,1.46989,2.7844,1.87736,4.26402,5.04663,9.56441,0.0,0.49332,0.99915,3.17181,22.79894,5.46363,21.84987,1.25088,0.68246,3.733,3.57406,7.00019,7.21692,4.88492,12.21056,2.61152,3.86139,8.89651,15.12068,7.02769,20.79922,1.12042,2.12807,7.56077,4.61131,1.61002,1.64254,11.65857,4.28209,4.6504,1.64778,1.58482,3.74491,6.002,15.64218,5.16229,1.34994,24.22214,3.25305,3.01713,8.30703,0.91538,3.15192,4.84596,1.05936,2.03762,9.76636,43.6173,3.82867,1.3615,9.92581,1.15938,1.92327,1.88486,2.73802,35.14006,0.91012,5.02135,2.29423,2.4963,24.7384,1.2439,1.30677,16.81196,7.31804,1.27769,1.23355,1.12617,1.21975,0.79731,2.1622,1.19929,2.12874,6.06964,4.55965,1.27731,1.30116,2.36471,2.89587,2.55525,4.98466,49.61473,4.54967,2.0019,1.16017,4.71324,2.60148,1.07805,3.41281,5.20725,1.14282,1.93349,1.43331,2.41195,2.73337,1.83002,7.90362,0.93534,2.92334,11.52812,3.12262,1.89171,10.26528,18.01238,1.03981,1.98252,1.03159,1.39473,1.7579,3.53918,2.38648,4.73235,1.85828,4.74986,4.20869,3.40162,1.75943,2.31901,9.84856,7.80277,1.5629,25.7389,2.52786,5.07874,32.29159,2.61552,4.56026,6.03624,45.80867,2.45115,1.42794,3.85877,2.35807,4.00588,7.88098,3.83378,6.35148,1.9904,7.06982,1.97773,2.42308,7.47128,4.0398,9.35097,2.06707
-3.5,2.12482,4.52165,3.47382,3.25902,1.61194,3.60114,5.15712,7.51157,3.8282,0.85668,10.48814,6.12266,91.55677,8.82144,4.03754,4.66606,23.4164,5.97967,8.8528,21.14006,9.16805,3.40085,6.22215,4.00471,2.30646,10.21326,15.76382,3.3078,24.35238,6.53348,8.79126,5.83403,7.46831,5.34819,10.10676,1.40478,2.55691,13.81997,1.30767,1.56665,4.04278,24.45779,4.16731,3.57277,1.87051,19.69855,7.06272,3.86114,9.00974,8.17467,5.2918,3.17203,4.04132,31.4464,5.21855,3.08942,1.4736,2.58668,4.27958,1.69215,2.81621,2.93904,1.62894,1.40616,5.02421,6.74795,13.7041,4.62468,8.23527,3.1305,2.5359,2.29585,98.36017,1.10931,2.40265,1.85092,1.98618,3.0906,5.18847,6.32761,3.35868,7.66889,1.93662,2.39671,3.95875,2.17721,4.95907,1.3286,2.86827,1.88667,4.27797,4.43482,6.96992,0.0,0.55051,1.23677,3.19247,22.871,4.7894,24.52442,1.40914,0.85329,3.53903,4.15694,6.25734,8.59352,5.10423,12.21056,2.61506,3.80621,9.0283,20.41265,8.48025,17.39657,1.35768,1.86564,5.66933,4.24422,1.51755,1.49491,11.21574,10.08411,13.42834,1.64778,1.43027,5.17436,5.6618,19.21468,4.63434,1.33607,19.09218,2.78857,3.74391,8.91733,1.05246,3.24733,4.23974,0.97891,1.90677,9.38698,44.05322,3.61998,2.51875,9.77854,1.21403,1.75787,1.54163,2.61718,28.83913,1.09012,5.11755,2.27312,2.06025,20.29676,1.27419,1.07875,18.49971,6.55148,1.47603,1.35888,1.04589,1.32429,0.81543,2.18037,1.5226,2.09752,5.53087,6.32842,1.33116,1.45728,2.41043,2.7035,2.21782,5.84668,38.39782,4.32917,3.9951,1.16017,3.94249,2.18796,0.98102,3.29058,5.14592,1.16002,1.8476,1.3373,2.44838,1.69242,1.72262,7.38093,0.83024,2.51996,10.67376,3.63652,1.75608,7.79294,18.15464,1.35131,1.79972,1.15498,1.70864,1.741,4.28251,2.75207,4.29154,2.11035,3.90021,6.56097,2.92698,2.48677,2.22989,17.00795,5.27994,4.26054,17.32131,3.07768,11.71918,32.29168,3.50968,4.53831,5.22666,31.08379,4.44822,1.2983,4.20881,2.08589,3.79511,7.84556,3.32723,6.16941,1.90445,7.50206,2.42512,2.35499,5.52928,4.99355,15.88973,1.94971
-3.25,2.32511,3.50027,4.30153,3.6725,1.65706,3.98637,4.73308,7.57033,5.05136,2.47581,7.19817,6.65745,64.0275,8.25046,3.47924,6.60226,22.83341,6.41613,6.27199,17.66121,9.19743,2.83982,5.69403,9.91658,2.20473,12.29039,16.37758,3.3078,23.15035,4.92303,12.11891,4.68918,6.44261,5.51821,10.39942,1.55294,2.72841,11.79021,1.73087,1.58669,3.90479,28.06699,4.44119,2.601,1.95686,13.50483,6.15636,6.09311,7.76694,6.29926,4.24058,8.03275,3.90511,31.50144,4.68929,2.78714,1.46936,3.68454,4.04877,1.70336,2.55766,3.52894,2.24612,1.71582,8.79317,6.69712,12.83717,6.98698,13.1156,3.02391,2.62917,2.37254,59.36384,1.15104,2.13895,1.89209,1.4366,2.83315,7.80753,6.05319,3.69506,8.22948,2.31637,2.79637,4.11594,2.61919,3.2858,1.15919,3.56469,1.8829,3.42696,3.13718,8.58375,3.1291,2.82975,1.37733,2.8577,14.00649,5.09127,23.99881,1.55391,4.32932,3.83644,3.47475,8.39845,6.35705,4.83583,12.21057,3.04278,5.05729,8.207,38.37263,9.13854,14.00766,1.63719,3.2321,5.52839,5.03944,1.54859,3.42025,9.23939,11.76243,15.5638,1.31824,1.45735,4.36983,5.13334,18.21675,4.18092,1.40488,17.48086,2.50466,8.03125,7.92364,1.04024,2.95848,3.92384,1.40312,1.98158,11.71952,44.35568,3.52255,2.32935,10.28218,1.79224,2.37511,1.50637,2.09679,25.12277,0.95352,4.52645,2.6947,2.46166,20.67863,1.17115,1.13428,18.57998,6.71876,1.51458,1.31295,1.22553,1.34494,0.93968,2.14174,1.63265,2.14967,6.9161,5.27822,1.24442,1.40499,2.32712,3.07975,2.70015,6.72851,36.62375,3.9524,7.75554,1.37194,3.92463,1.90961,0.9299,3.00703,4.7856,1.30502,1.78102,1.25212,3.38911,1.60134,1.59096,6.22694,1.31706,4.16635,10.11456,3.93405,1.79463,7.93877,10.97899,1.2235,1.77467,1.128,1.57065,2.00376,5.50574,2.96182,3.77172,2.06175,3.28904,5.45816,2.99559,2.60043,2.36036,13.82374,5.38119,7.93391,13.75245,2.10126,11.42225,16.47316,3.67807,4.08895,5.5902,23.15899,4.97842,1.55959,4.73204,2.78122,3.5604,7.51231,3.11839,4.59565,1.76344,7.0393,2.43755,2.67424,4.3548,5.72479,13.18216,2.04708
-3.0,2.63719,3.80842,4.03022,4.83674,2.1452,3.12263,10.38858,7.63785,5.7909,2.40835,9.25871,7.51888,46.04444,7.64933,3.77562,6.39363,23.32335,8.10382,8.75899,17.49613,11.81783,3.53983,5.04073,10.53395,2.18491,12.54652,13.5756,8.19586,22.91252,6.66258,11.34055,5.14298,6.48189,4.92943,10.53847,1.74439,2.67218,12.38465,1.99916,1.49616,3.51911,16.27204,4.18907,2.21125,2.04137,12.24376,5.85731,6.04693,6.40023,5.57252,6.62309,5.93889,3.42659,21.47013,6.70469,2.48413,1.81627,3.38432,4.31914,1.54122,2.92115,3.97287,2.28872,1.81478,8.01301,5.63976,9.56205,8.68357,14.64513,3.33568,3.50522,2.16424,62.30541,1.26932,1.79978,2.13061,1.50033,3.80932,11.48907,6.53381,3.824,9.0236,3.11635,3.23149,4.19546,2.47412,4.81747,1.84711,4.17442,2.13033,3.77229,5.55423,9.89792,24.84155,3.12828,1.93324,2.58383,12.01235,4.19753,25.12316,1.46281,5.82238,4.01123,4.68496,4.63701,6.14168,4.74533,16.0858,2.61358,6.85839,7.49474,28.20877,8.37622,13.49669,1.99939,4.42404,6.48878,4.63105,1.59594,2.82028,16.19275,11.78463,12.70158,1.50122,1.5041,4.04685,5.0817,19.94177,4.6139,1.42579,15.92133,2.14739,10.08107,6.91201,1.02715,2.66663,3.57363,1.35152,2.11392,12.53215,34.38331,3.38259,2.19843,10.1039,1.77186,2.24927,2.02164,1.9186,23.3927,1.13515,4.01416,2.8541,2.89619,21.33103,1.10669,1.12392,19.2281,6.21306,1.9332,1.1649,1.13386,1.5484,1.3664,2.22464,1.57071,1.97571,6.94028,4.26196,1.61,1.31221,2.34991,3.09572,2.56911,6.70473,33.03032,4.30809,12.54642,2.49127,8.2269,4.76833,0.96516,2.78131,4.64505,1.38066,1.56637,1.15119,4.20722,1.6046,1.79574,6.04733,1.27001,8.05062,9.95842,3.18685,2.0148,8.25464,9.22986,1.52772,1.7339,1.15985,2.04568,1.62068,6.24828,2.96784,4.92951,1.98207,4.85299,5.76324,2.81571,2.59566,3.03275,16.64269,4.9107,7.38124,12.25397,2.24092,12.79551,16.47316,5.45301,3.90174,5.66963,23.34931,7.02007,3.98124,4.51788,2.56971,3.78567,7.66439,2.47129,3.7226,1.44988,6.70265,3.7312,2.64637,5.75534,5.36938,13.26445,1.91592
-2.75,2.56172,3.55501,3.92288,4.15148,3.07728,3.19741,7.9914,8.04911,4.45448,2.32142,7.69094,8.25847,40.20169,8.16825,3.76968,7.14859,20.45427,6.71417,8.60265,16.12014,13.90908,4.18237,4.90966,9.46894,2.41787,12.6259,14.18004,6.67384,20.42425,7.82933,12.25471,4.84622,5.57468,5.19457,11.16869,2.81206,2.48402,12.97343,1.80549,1.68624,4.13108,16.51629,3.82134,2.1472,1.9752,12.67631,5.51192,5.89873,5.28151,4.55793,7.15193,8.81546,3.44671,17.56312,6.87641,3.02246,1.95674,4.35177,4.45788,1.49961,2.87198,4.7992,2.65568,1.99087,7.68003,5.56467,7.69978,7.43256,12.38233,3.02373,3.83637,2.30937,63.5437,1.19464,1.88,3.37039,1.87288,5.15858,10.30642,7.07096,3.58777,9.68776,3.82041,2.96284,4.47627,2.85983,5.47666,2.26506,4.27191,3.20167,3.94896,6.15275,9.89412,21.52445,2.25334,4.35385,2.47363,14.67949,4.00953,26.71152,1.76733,6.5542,4.50968,4.39595,3.30643,6.28263,7.00692,12.41609,3.47005,7.5511,7.04305,26.03619,8.83643,9.90496,3.16764,3.93772,5.64106,4.82192,1.61779,4.23852,18.47755,15.4946,10.18154,1.97429,1.6136,4.1674,4.70816,21.67931,4.43207,1.5494,15.83834,1.94842,10.12906,6.33087,0.99655,2.55259,3.67754,1.54922,1.98656,14.56107,34.78743,3.24133,2.2557,9.90708,1.84503,2.13761,1.96159,1.6369,21.82173,1.5138,3.28891,2.43936,2.43258,19.08884,1.1916,1.20938,18.39013,5.37295,1.83681,1.19488,1.25545,1.7784,1.44656,2.17124,1.63318,2.06179,5.91844,3.55834,1.54397,1.38199,2.17167,2.81269,2.80602,5.44625,26.60436,5.32145,9.61003,5.32872,6.7477,4.8923,1.00575,2.37887,3.58465,1.30914,1.56973,1.16727,3.72289,1.56207,1.60842,5.90573,1.50075,9.02696,8.09197,3.14789,3.04827,7.21511,9.48105,1.6331,1.66451,1.2362,2.18885,1.67799,6.02772,3.06015,4.34256,2.10123,5.15422,6.2313,3.02124,2.5676,2.79874,15.3006,7.95615,8.3522,8.89038,3.33197,12.33803,11.57226,5.33376,3.77422,5.58195,17.83052,5.65153,4.735,5.43081,4.36716,3.38422,7.31476,2.06677,4.18064,1.48322,6.34083,3.7966,3.69586,6.26982,4.72834,11.18858,2.30876
