,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.05046,0.0,0.08104,0.06515,0.07658,0.0,0.0,0.04924,0.04231,0.05305,0.04392,0.04618,0.0,0.06238,0.04872,0.04386,0.0,0.05934,0.08211,0.04793,0.08607,0.06695,0.05314,0.04576,0.0796,0.0731,0.0402,0.09471,0.0,0.06782,0.03325,0.05702,0.17264,0.15275,0.2311,0.08309,0.11673,0.41465,0.0658,0.05461,0.11341,0.22795,0.12361,0.06992,0.04692,0.18685,0.0466,0.05019,0.05194,0.07738,0.05961,0.04292,0.05044,0.0,0.0587,0.09241,0.08663,0.07434,0.04884,0.07766,0.05615,0.05479,0.05083,0.06913,0.05472,0.05413,0.10468,0.0,0.06634,0.07588,0.06151,0.06125,0.70297,0.0652,0.046,0.05507,0.05945,0.08712,0.06193,0.0,0.05746,0.12207,0.08762,0.08874,0.05058,0.0476,0.0555,0.04202,0.05335,0.05877,0.05731,0.05117,0.04652,0.0,0.0912,0.05973,0.05239,0.13585,0.09336,0.0,0.07712,0.06499,0.07459,0.06745,0.04049,0.04499,0.0,0.0,0.07355,0.05127,0.06076,0.0,0.04852,0.08134,0.0896,0.06745,0.06802,0.07985,0.07465,0.07335,0.0,0.0,0.05923,0.10235,0.0593,0.06157,0.18073,0.6304,0.16826,0.07575,0.96661,0.21646,2.33603,0.27999,0.09091,0.14916,0.19123,0.10597,0.10591,0.77347,0.49962,0.15725,0.16642,0.50807,0.10928,0.1133,0.0631,0.06468,0.72369,0.07801,0.07872,0.07624,0.08333,0.46826,0.08843,0.07806,0.54745,0.27119,0.12049,0.18439,0.07548,0.07069,0.10153,0.06362,0.06495,0.07608,0.07393,0.10322,0.08004,0.07205,0.09209,0.06265,0.08635,0.08961,0.07248,0.07831,0.10015,0.07622,0.06898,0.07986,0.08329,0.15655,0.15203,0.15838,0.06354,0.06197,0.06227,0.05255,0.0829,0.05775,0.07027,0.06697,0.06364,0.05708,0.06822,0.20461,0.20189,0.06148,0.09763,0.07737,0.08003,0.09642,0.05985,0.05343,0.05653,0.07187,0.06208,0.05779,0.05659,0.05786,0.05846,0.06161,0.06751,0.0,0.0,0.0,0.05166,0.2769,0.05361,0.07423,0.04497,0.04884,0.05609,0.06354,0.10263,0.0574,0.06583,0.37614,0.16262,0.07488,0.0992,0.18705,0.06266,0.05591,0.0,0.04711,0.05527,0.08219
-4.75,0.04653,0.0,0.07607,0.0649,0.07608,0.07208,0.04696,0.04619,0.03876,0.05077,0.04392,0.04034,0.0,0.06238,0.04393,0.04463,0.0,0.04135,0.07065,0.04793,0.08557,0.06695,0.05314,0.04561,0.07366,0.0731,0.03827,0.0706,0.0,0.06782,0.03325,0.05501,0.17008,0.15102,0.21264,0.07386,0.11362,0.37656,0.06483,0.05398,0.11059,0.2165,0.10892,0.06825,0.04707,0.18087,0.0466,0.05019,0.04913,0.0766,0.05961,0.04292,0.05044,0.04895,0.0587,0.08613,0.08663,0.07434,0.04569,0.07591,0.05491,0.05254,0.04954,0.0759,0.04989,0.04489,0.07294,0.0408,0.06634,0.07223,0.06151,0.06011,0.65765,0.06191,0.04389,0.05041,0.05945,0.08518,0.05885,0.0373,0.05589,0.12207,0.08762,0.08587,0.04942,0.04753,0.0555,0.04155,0.05016,0.0571,0.05447,0.05117,0.05053,0.0,0.08322,0.05717,0.05134,0.13272,0.09336,0.40478,0.075,0.0611,0.06116,0.06745,0.03898,0.0454,0.0,0.0,0.06897,0.05127,0.05904,0.0,0.04792,0.06698,0.08307,0.06307,0.06399,0.06741,0.07246,0.06778,0.0,0.0796,0.05923,0.10126,0.05727,0.05912,0.17874,0.60527,0.16073,0.07372,0.8949,0.20599,2.22616,0.27524,0.08933,0.14353,0.18836,0.10211,0.10072,0.74292,0.48672,0.1421,0.1455,0.49062,0.1041,0.10026,0.05792,0.06219,0.6538,0.07373,0.07623,0.07134,0.08292,0.43956,0.08431,0.07131,0.52887,0.24683,0.10487,0.17124,0.07109,0.06605,0.09741,0.06042,0.05808,0.07877,0.07134,0.09371,0.07698,0.06732,0.09034,0.06181,0.08051,0.08961,0.06921,0.07831,0.10015,0.06693,0.06898,0.07724,0.07433,0.14565,0.14703,0.15361,0.05979,0.05794,0.06024,0.05365,0.07975,0.05761,0.0642,0.0661,0.06181,0.05773,0.06435,0.19542,0.18874,0.05873,0.09659,0.07408,0.07691,0.08622,0.05722,0.04775,0.05719,0.07347,0.0555,0.05741,0.05135,0.05786,0.05484,0.06161,0.06514,0.0,0.0,0.0,0.05103,0.2717,0.05361,0.07273,0.0431,0.04638,0.05007,0.06286,0.07427,0.05409,0.06562,0.3526,0.15044,0.07425,0.09034,0.17355,0.06266,0.05252,0.0,0.04629,0.05527,0.07541
-4.5,0.04603,0.0,0.06682,0.06355,0.07331,0.06093,0.04696,0.04528,0.0392,0.0485,0.04392,0.04255,0.0,0.05872,0.04102,0.04278,0.03473,0.04135,0.07065,0.04793,0.08557,0.06092,0.04798,0.04201,0.0728,0.05078,0.03712,0.06189,0.0,0.06782,0.03187,0.05262,0.15498,0.1413,0.21253,0.0713,0.10926,0.3591,0.05721,0.05192,0.10898,0.21308,0.10277,0.06541,0.04502,0.16679,0.0466,0.04547,0.0467,0.0766,0.05961,0.04292,0.0497,0.04739,0.0587,0.0828,0.0821,0.07055,0.04506,0.07191,0.05181,0.05044,0.04922,0.0715,0.04901,0.04237,0.07214,0.03889,0.06473,0.07048,0.05409,0.05843,0.62616,0.06041,0.04182,0.04816,0.05044,0.0808,0.05885,0.03831,0.05504,0.08223,0.07309,0.07982,0.05638,0.04651,0.0555,0.04089,0.04943,0.05206,0.05204,0.05117,0.05053,0.0,0.08203,0.05557,0.04992,0.13065,0.08793,0.37976,0.0745,0.05265,0.05668,0.05674,0.03898,0.0454,0.03708,0.0,0.0656,0.04322,0.05812,0.05855,0.04658,0.06002,0.07804,0.05926,0.06096,0.06595,0.06883,0.06263,0.05707,0.07636,0.05923,0.09278,0.05351,0.05593,0.16971,0.57153,0.15892,0.06985,0.86151,0.19542,1.87792,0.25764,0.08666,0.13582,0.17728,0.09351,0.09484,0.70568,0.45884,0.14281,0.13417,0.44424,0.0948,0.09282,0.05545,0.05439,0.64259,0.06939,0.07423,0.06612,0.08533,0.41604,0.08153,0.06992,0.50448,0.22359,0.09924,0.16737,0.06782,0.06416,0.08854,0.05826,0.05462,0.07028,0.06882,0.08958,0.07396,0.06633,0.07786,0.05952,0.07551,0.08237,0.06753,0.07831,0.10015,0.06693,0.08977,0.07546,0.06888,0.14237,0.14533,0.14866,0.05818,0.05647,0.05692,0.05113,0.07568,0.05727,0.06377,0.06292,0.05743,0.05664,0.06524,0.1836,0.17925,0.05789,0.09195,0.07021,0.07589,0.08084,0.0545,0.05532,0.05239,0.06616,0.0555,0.05664,0.05077,0.05664,0.05183,0.06161,0.06514,0.0,0.0422,0.0,0.0504,0.2717,0.05361,0.07179,0.04123,0.04684,0.05318,0.05933,0.06517,0.05129,0.06252,0.35511,0.14949,0.07425,0.0829,0.16779,0.06266,0.05693,0.0,0.04373,0.05527,0.0704
-4.25,0.04439,0.03778,0.06481,0.06269,0.06857,0.05767,0.04456,0.04361,0.03874,0.04458,0.04392,0.03961,0.0,0.05322,0.03834,0.04585,0.03473,0.03657,0.06592,0.04306,0.06674,0.05402,0.0425,0.03975,0.06683,0.05002,0.03712,0.06189,0.0,0.06632,0.03131,0.04971,0.15371,0.13391,0.20384,0.07056,0.10709,0.34051,0.05418,0.05014,0.10094,0.19316,0.09762,0.06391,0.0436,0.16354,0.04343,0.04494,0.04477,0.0771,0.05961,0.04122,0.04793,0.04739,0.04764,0.0757,0.07287,0.05819,0.04349,0.06771,0.05054,0.04767,0.0489,0.06154,0.04715,0.03837,0.07214,0.03873,0.06473,0.06759,0.05164,0.05587,0.61842,0.05709,0.04023,0.04505,0.04778,0.07809,0.05885,0.03809,0.05117,0.05762,0.06642,0.07692,0.05035,0.04538,0.0555,0.04042,0.04605,0.04899,0.05237,0.05494,0.05053,0.0,0.07453,0.05241,0.04669,0.12449,0.08384,0.3652,0.07196,0.05127,0.05335,0.05599,0.03898,0.0454,0.03531,0.06004,0.0656,0.04245,0.05216,0.05501,0.0454,0.05909,0.07768,0.05202,0.05948,0.05982,0.06637,0.06073,0.05398,0.0651,0.05647,0.09278,0.05275,0.05069,0.15226,0.53609,0.15095,0.06884,0.81975,0.18783,1.80616,0.24676,0.0812,0.12867,0.17039,0.09282,0.09008,0.67091,0.42889,0.13584,0.11702,0.42229,0.08951,0.08815,0.05385,0.05326,0.58661,0.0689,0.0705,0.06417,0.08012,0.39231,0.07768,0.06902,0.49004,0.21674,0.09687,0.13843,0.06554,0.06131,0.08548,0.05556,0.05338,0.06556,0.06563,0.08638,0.07138,0.06317,0.07095,0.05641,0.07423,0.07403,0.0644,0.07156,0.10015,0.06308,0.08043,0.0743,0.06852,0.13238,0.12935,0.13344,0.05625,0.05427,0.05534,0.04959,0.07354,0.05691,0.0619,0.06199,0.05459,0.05226,0.07407,0.17906,0.17319,0.05445,0.08472,0.06571,0.07322,0.07774,0.05138,0.03875,0.05048,0.06432,0.05423,0.0545,0.04761,0.05088,0.04927,0.05784,0.06063,0.0,0.0403,0.04269,0.04744,0.24792,0.04712,0.07132,0.03935,0.0459,0.05256,0.05852,0.05661,0.04844,0.06079,0.32794,0.12585,0.06908,0.08232,0.15653,0.05857,0.05693,0.03931,0.04115,0.05433,0.0667
-4.0,0.03976,0.03687,0.06417,0.06244,0.06741,0.05767,0.04456,0.04061,0.0372,0.04292,0.04392,0.03799,0.0,0.04901,0.03769,0.04454,0.03473,0.03508,0.05758,0.04053,0.06644,0.05156,0.0425,0.03584,0.06398,0.04806,0.03566,0.06189,0.0368,0.06382,0.02947,0.04719,0.14673,0.13121,0.19551,0.0645,0.10045,0.31946,0.04994,0.04877,0.0956,0.18292,0.09334,0.0619,0.04248,0.15963,0.04138,0.04494,0.04109,0.06033,0.05961,0.03947,0.04715,0.0408,0.04478,0.07138,0.06281,0.05256,0.03942,0.06167,0.04785,0.04599,0.04268,0.05779,0.04358,0.03828,0.05983,0.03634,0.05583,0.06322,0.04484,0.05286,0.55466,0.054,0.03832,0.04312,0.04533,0.07809,0.05174,0.03687,0.05021,0.053,0.06344,0.07074,0.04926,0.04338,0.04607,0.03809,0.04246,0.0483,0.04995,0.04482,0.04099,0.0,0.07385,0.04999,0.0442,0.1182,0.08011,0.34357,0.06728,0.04994,0.05087,0.05208,0.03529,0.04379,0.03416,0.06004,0.06225,0.04194,0.04806,0.05656,0.04216,0.05909,0.07239,0.05059,0.05714,0.05525,0.06405,0.05882,0.05138,0.06186,0.05253,0.08822,0.0492,0.04551,0.14671,0.50765,0.14031,0.06601,0.76401,0.18322,1.74826,0.2302,0.07573,0.12312,0.16467,0.08648,0.08522,0.6277,0.41253,0.13118,0.10632,0.40616,0.08292,0.08003,0.05149,0.05111,0.55977,0.06246,0.0663,0.05922,0.07425,0.38241,0.07195,0.06026,0.44446,0.20617,0.09304,0.13096,0.06316,0.05753,0.07744,0.0539,0.05105,0.06181,0.06169,0.08302,0.06855,0.06125,0.06696,0.0526,0.06869,0.07074,0.05896,0.06464,0.07405,0.06016,0.06818,0.06992,0.06109,0.12828,0.11996,0.12759,0.05321,0.05259,0.05307,0.0473,0.06984,0.05486,0.06102,0.0607,0.04846,0.04917,0.0639,0.17205,0.17319,0.05216,0.08104,0.06197,0.0658,0.07398,0.05035,0.03702,0.04936,0.06103,0.05122,0.05418,0.04531,0.04776,0.04821,0.05404,0.0572,0.03748,0.03881,0.0488,0.04654,0.25065,0.03955,0.05882,0.03842,0.0437,0.04939,0.05507,0.05393,0.04621,0.0591,0.32112,0.12396,0.06045,0.07385,0.1492,0.05407,0.05193,0.03764,0.04173,0.04785,0.06343
-3.75,0.03753,0.03558,0.05877,0.05558,0.05209,0.05395,0.04355,0.0381,0.03548,0.03933,0.03442,0.03515,0.0,0.04621,0.03521,0.04083,0.03118,0.03295,0.05589,0.03947,0.05967,0.04942,0.03637,0.03337,0.05965,0.04794,0.0338,0.05403,0.03464,0.053,0.02783,0.04507,0.13856,0.11659,0.17638,0.06174,0.0906,0.29804,0.04874,0.04467,0.09044,0.16904,0.08974,0.05937,0.03818,0.14031,0.04057,0.04244,0.03935,0.04883,0.04103,0.03696,0.04338,0.04039,0.04165,0.06881,0.06042,0.05036,0.0379,0.05752,0.0459,0.0439,0.0399,0.05438,0.04272,0.03524,0.04776,0.03516,0.05519,0.05974,0.04101,0.04886,0.52281,0.05003,0.03547,0.04099,0.04452,0.06886,0.05107,0.03391,0.04563,0.04988,0.06016,0.06582,0.0439,0.03967,0.04352,0.03578,0.04071,0.0443,0.04616,0.04068,0.03838,0.0,0.073,0.047,0.04121,0.11548,0.07376,0.32567,0.06349,0.04769,0.04456,0.04628,0.03851,0.04078,0.03192,0.06004,0.05501,0.03984,0.04695,0.0527,0.04096,0.0476,0.06748,0.04909,0.05553,0.04977,0.0615,0.0547,0.05098,0.06253,0.04647,0.08822,0.04739,0.04394,0.13552,0.48309,0.13318,0.06335,0.72903,0.17715,1.64877,0.22164,0.073,0.11356,0.15333,0.08077,0.07748,0.59041,0.38025,0.12679,0.10101,0.39013,0.07793,0.07479,0.05008,0.0487,0.52139,0.06106,0.06234,0.05727,0.06871,0.35277,0.06932,0.05516,0.4137,0.19729,0.08429,0.11677,0.05926,0.05212,0.07125,0.05144,0.04754,0.05543,0.05567,0.07952,0.06712,0.05642,0.06492,0.05131,0.06661,0.06385,0.055,0.05556,0.07405,0.0568,0.06108,0.06657,0.05546,0.11706,0.11381,0.13127,0.05097,0.0501,0.04893,0.04344,0.06891,0.05324,0.06177,0.05749,0.04588,0.04447,0.05911,0.16864,0.16098,0.04927,0.07902,0.05895,0.06104,0.07061,0.04691,0.03364,0.04556,0.057,0.04279,0.04957,0.04086,0.04466,0.04375,0.04833,0.05165,0.03539,0.03691,0.04692,0.04466,0.22665,0.03617,0.05667,0.0367,0.04257,0.04581,0.05355,0.04653,0.04354,0.05392,0.30914,0.11688,0.05626,0.07078,0.14078,0.05307,0.04767,0.03494,0.03912,0.04753,0.06035
-3.5,0.0338,0.03338,0.05403,0.05359,0.04998,0.04861,0.03661,0.03716,0.03298,0.03813,0.03301,0.03559,0.06041,0.04479,0.0328,0.03884,0.02967,0.03198,0.05168,0.03827,0.05652,0.04677,0.03491,0.03242,0.05599,0.04142,0.03099,0.05403,0.03391,0.04623,0.02671,0.04215,0.13063,0.11364,0.1674,0.05672,0.08896,0.28266,0.04417,0.0421,0.08756,0.15894,0.08437,0.05582,0.03673,0.13455,0.03605,0.04012,0.03716,0.04591,0.0415,0.0362,0.03965,0.03853,0.04011,0.06359,0.05841,0.04747,0.03474,0.054,0.04321,0.04099,0.03899,0.04776,0.04209,0.03437,0.04308,0.03509,0.0476,0.05602,0.03957,0.04554,0.48335,0.04735,0.03222,0.03823,0.04093,0.06049,0.0475,0.03146,0.0433,0.04624,0.0551,0.05949,0.04119,0.0382,0.03947,0.03358,0.04065,0.04007,0.04559,0.03939,0.03936,0.0,0.06859,0.04523,0.03877,0.11416,0.0702,0.29672,0.05862,0.04574,0.0437,0.04281,0.03524,0.03868,0.03113,0.06004,0.05215,0.03846,0.04327,0.05496,0.038,0.0461,0.06351,0.04725,0.05583,0.04751,0.05884,0.05519,0.04902,0.05748,0.04467,0.08216,0.04212,0.04146,0.12975,0.44959,0.12384,0.05956,0.68023,0.16352,1.54193,0.2044,0.06872,0.10884,0.13792,0.07669,0.07157,0.55668,0.35938,0.11592,0.08879,0.37235,0.07399,0.06289,0.04726,0.04482,0.46644,0.05879,0.05918,0.05401,0.0638,0.32345,0.06612,0.0512,0.3898,0.18706,0.0762,0.10324,0.05503,0.04964,0.06795,0.04925,0.04436,0.05016,0.05147,0.07666,0.06189,0.05243,0.05783,0.0483,0.06526,0.05841,0.05145,0.0491,0.05921,0.0568,0.05697,0.06171,0.05453,0.11343,0.10552,0.13005,0.04682,0.04647,0.04332,0.03937,0.06464,0.0487,0.05877,0.05289,0.04297,0.04194,0.0587,0.15086,0.15212,0.0458,0.07476,0.05536,0.05965,0.06768,0.04583,0.03242,0.04157,0.05441,0.0407,0.04584,0.03698,0.04161,0.0416,0.04704,0.04853,0.03705,0.04062,0.04449,0.04287,0.21187,0.0342,0.05147,0.03492,0.03937,0.04097,0.05268,0.04232,0.04134,0.05258,0.28728,0.10268,0.05196,0.06546,0.13097,0.0491,0.0439,0.03479,0.03712,0.04503,0.05643
-3.25,0.03217,0.03319,0.0514,0.04632,0.04679,0.04651,0.03494,0.03681,0.03161,0.03505,0.03099,0.03324,0.04931,0.04161,0.03151,0.0364,0.02798,0.03102,0.04477,0.03657,0.0563,0.04418,0.03172,0.03028,0.05891,0.03783,0.02954,0.04599,0.03214,0.04169,0.02537,0.04096,0.12122,0.1073,0.15423,0.05088,0.08076,0.27193,0.04138,0.03949,0.0835,0.151,0.07982,0.04996,0.03442,0.131,0.03485,0.0374,0.03518,0.04284,0.03759,0.0345,0.03764,0.0397,0.0346,0.05977,0.05329,0.04458,0.03257,0.04964,0.04038,0.03886,0.03621,0.03877,0.03851,0.03298,0.03965,0.03195,0.04111,0.05177,0.03626,0.04275,0.45302,0.04515,0.03063,0.03492,0.03689,0.05643,0.04311,0.02858,0.03879,0.03941,0.0487,0.053,0.03737,0.03515,0.0368,0.03281,0.03541,0.03717,0.04322,0.03243,0.03607,0.04783,0.06087,0.04461,0.03537,0.09769,0.0647,0.27637,0.05283,0.04343,0.04042,0.04037,0.03315,0.03647,0.03012,0.04785,0.04786,0.03515,0.04254,0.05182,0.03665,0.04287,0.05916,0.0433,0.05456,0.04351,0.05464,0.05024,0.04355,0.05293,0.04342,0.07885,0.03925,0.03851,0.12014,0.42092,0.11442,0.05562,0.62916,0.15597,1.42196,0.18982,0.06515,0.10378,0.133,0.07104,0.06729,0.51701,0.33209,0.10657,0.07983,0.34483,0.06879,0.05652,0.04453,0.04142,0.44067,0.05431,0.05488,0.04938,0.05792,0.30508,0.0614,0.04647,0.36676,0.17635,0.06768,0.08737,0.05017,0.04637,0.06198,0.04632,0.04112,0.04708,0.04742,0.07116,0.05855,0.04909,0.05448,0.04492,0.05689,0.05673,0.04878,0.04707,0.04859,0.05263,0.05225,0.06109,0.05051,0.09771,0.10301,0.11653,0.04412,0.04444,0.0399,0.03809,0.05941,0.04352,0.05327,0.0499,0.04087,0.03869,0.0525,0.13947,0.137,0.04182,0.07266,0.05189,0.05474,0.06385,0.04095,0.03033,0.0383,0.05117,0.03919,0.04092,0.03371,0.03912,0.03934,0.04266,0.04369,0.03488,0.03429,0.04287,0.03997,0.24417,0.03147,0.04143,0.0331,0.03735,0.03948,0.04906,0.03959,0.03762,0.04888,0.266,0.09848,0.04846,0.05945,0.12382,0.04707,0.04123,0.03273,0.03449,0.04238,0.05235
-3.0,0.03087,0.03144,0.04669,0.04142,0.04187,0.04215,0.03249,0.03456,0.02925,0.03164,0.02758,0.03118,0.04363,0.04018,0.02905,0.03427,0.02664,0.02899,0.04169,0.03375,0.04724,0.04108,0.03048,0.0291,0.05687,0.03592,0.02729,0.04158,0.02925,0.03901,0.02338,0.0376,0.11737,0.09437,0.14911,0.04423,0.07608,0.2503,0.03854,0.0358,0.07871,0.13726,0.07372,0.04669,0.03192,0.12111,0.03228,0.03535,0.03263,0.03856,0.03535,0.03152,0.03396,0.03776,0.03206,0.05608,0.04797,0.0393,0.03082,0.04744,0.03714,0.03502,0.03322,0.03477,0.0352,0.029,0.03381,0.03034,0.03724,0.04811,0.03315,0.03937,0.42376,0.04171,0.02852,0.03245,0.03478,0.05012,0.03558,0.02665,0.03693,0.03767,0.04175,0.04901,0.0359,0.03202,0.03351,0.0293,0.03275,0.03495,0.04034,0.03039,0.03417,0.04856,0.05414,0.0393,0.0325,0.09152,0.06026,0.25685,0.04942,0.04178,0.03866,0.03693,0.02807,0.03165,0.03001,0.04381,0.0444,0.03251,0.03852,0.0504,0.03586,0.03943,0.05374,0.03864,0.0504,0.03993,0.05144,0.04465,0.03927,0.04983,0.04157,0.06999,0.03694,0.03549,0.1122,0.38879,0.10348,0.05259,0.61566,0.14632,1.28697,0.17754,0.06057,0.09492,0.12285,0.06551,0.06192,0.48858,0.30942,0.09648,0.07326,0.32381,0.06499,0.04965,0.03951,0.03855,0.4072,0.05178,0.04981,0.04707,0.05315,0.2829,0.05708,0.04235,0.33867,0.16086,0.06218,0.07856,0.04684,0.04168,0.05754,0.04259,0.0373,0.04328,0.04501,0.06682,0.05391,0.04507,0.04849,0.04291,0.05167,0.05337,0.04677,0.04249,0.04524,0.04876,0.04919,0.05517,0.04578,0.09018,0.09358,0.10128,0.04049,0.04163,0.03781,0.03605,0.05507,0.04019,0.0471,0.04628,0.03873,0.03589,0.04802,0.13091,0.12372,0.03788,0.06989,0.04894,0.05037,0.05775,0.03613,0.02776,0.0355,0.04741,0.03743,0.03953,0.03086,0.03687,0.03748,0.04028,0.04286,0.03292,0.03257,0.03957,0.03611,0.24417,0.02918,0.04095,0.03147,0.03541,0.03753,0.0459,0.03927,0.03357,0.04315,0.242,0.09239,0.04571,0.05552,0.11194,0.04482,0.03715,0.03128,0.03234,0.03984,0.04864
-2.75,0.02951,0.02958,0.04252,0.03775,0.03929,0.03829,0.0302,0.03218,0.02599,0.02835,0.02458,0.02843,0.03848,0.03593,0.02615,0.03248,0.02552,0.02661,0.03939,0.02995,0.03645,0.03712,0.02802,0.02762,0.05119,0.03407,0.0262,0.04029,0.02848,0.03614,0.02211,0.03499,0.11332,0.08885,0.13828,0.03973,0.07091,0.22479,0.03585,0.03335,0.07163,0.12898,0.06933,0.04346,0.03038,0.10937,0.03004,0.03224,0.03008,0.0373,0.03285,0.02813,0.03155,0.03285,0.03069,0.05219,0.04493,0.03581,0.02924,0.04445,0.03474,0.03255,0.03006,0.03212,0.03212,0.02726,0.03082,0.02805,0.03343,0.04471,0.03072,0.03629,0.39139,0.03847,0.02672,0.03042,0.03133,0.04383,0.03315,0.02507,0.03459,0.03449,0.03903,0.04527,0.03358,0.03075,0.03135,0.02754,0.02985,0.03193,0.03589,0.02939,0.03215,0.04464,0.04783,0.03639,0.03015,0.08508,0.05334,0.23157,0.04584,0.0364,0.03413,0.03411,0.02644,0.02899,0.02611,0.04161,0.04146,0.03085,0.03558,0.04353,0.03419,0.03509,0.04888,0.0368,0.04595,0.03492,0.04936,0.04214,0.03718,0.04562,0.0357,0.06647,0.03423,0.033,0.10294,0.36151,0.09689,0.04803,0.57067,0.13089,1.17596,0.16845,0.0558,0.08683,0.11873,0.05984,0.05702,0.44454,0.28458,0.09171,0.06774,0.30792,0.06157,0.04555,0.03671,0.03594,0.37423,0.04763,0.04501,0.04309,0.04816,0.26059,0.05262,0.03978,0.31001,0.14834,0.0561,0.06809,0.04403,0.03775,0.05305,0.03963,0.03472,0.04044,0.0402,0.0613,0.0506,0.04166,0.04453,0.03976,0.04931,0.04924,0.0438,0.03856,0.04248,0.04564,0.04484,0.05073,0.04028,0.08584,0.08535,0.08694,0.03769,0.03855,0.03594,0.03439,0.05155,0.03835,0.04334,0.04214,0.03556,0.03372,0.04204,0.12315,0.11391,0.03492,0.0653,0.04563,0.04647,0.05354,0.03376,0.02603,0.03258,0.04445,0.03421,0.03662,0.02828,0.0332,0.03351,0.03775,0.03949,0.0306,0.03127,0.03543,0.03483,0.27389,0.02712,0.03743,0.03075,0.03337,0.03423,0.04057,0.03562,0.03088,0.03824,0.21518,0.08444,0.04116,0.04952,0.10785,0.04095,0.03538,0.02957,0.0304,0.03633,0.04371
