,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.46386,0.97118,0.33955,4.39536,0.0,1.52501,2.61191,2.57425,0.0,9.39458,0.0,0.48705,0.0,4.22619,0.0,4.13708,0.0,0.0,0.0,0.0,0.0,0.44342,291.56513,0.0,1.58241,0.0,0.0,29.49115,0.0,5.62513,13.76353,0.54084,2.15265,4.42319,1.96258,1.75351,1.72796,4.91124,0.0,8.76496,0.0,2.05639,0.19007,2.40029,6.05611,1.4768,0.0,0.0,0.0,0.96636,0.0,0.0,0.0,0.0,11.78399,1.28215,0.29724,8.45748,0.0,3.18273,5.27505,3.51875,0.70131,19.35027,10.66602,0.93304,0.0,0.0,0.0,0.15323,0.69119,0.73826,1.64163,2.09735,0.14641,0.07943,2.76267,0.38412,7.2652,4.09128,0.97674,1.2987,0.42412,2.99894,0.0,3.11932,1.32517,0.0,86.41256,3.48673,0.0,0.0,0.0,0.0,0.2898,0.40231,0.0,2.01434,0.61216,2.72529,1.85138,0.0,0.00011,0.51651,0.0,0.0,0.0,0.0,6.91425,1.76852,0.90489,0.64556,0.0,0.0,1.22302,2.36642,9.41491,3.65827,2.35799,2.15936,0.0,0.0,1.20935,0.52966,2.9304,2.50058,2.81583,1.76121,1.64569,0.66768,3.37313,1.99665,2.02547,0.63045,0.94885,0.6405,0.94795,0.9198,0.67555,1.46879,0.97602,1.40182,2.10316,0.88331,1.33091,2.12039,12.19435,1.29264,0.88058,0.43716,0.86004,4.97241,1.17947,1.07104,0.42418,2.6298,1.1637,1.10772,1.10504,1.31078,0.93387,1.61129,0.5943,1.36221,0.1674,1.05415,0.0,2.30789,1.08687,1.14756,0.70955,0.86007,1.76872,3.14996,0.0,0.89029,1.24395,1.06347,0.41708,0.51899,0.14372,2.78362,0.61159,2.2576,1.55334,2.08379,1.16721,4.08539,1.13424,0.0,0.23264,0.09973,0.16189,0.70661,1.21216,0.89152,1.17338,1.41939,2.40429,1.82222,3.20766,1.02351,0.22967,0.0,0.75716,0.83956,0.08515,0.70201,0.04193,2.82493,5.2611,1.43019,1.42717,0.0,0.0,1.20522,0.0,1.27785,51.56973,1.12778,0.0,0.0,27.44385,2.89068,0.89993,0.0463,1.29598,0.78093,2.66957,1.27732,0.36022,1.09855,1.31122,5.26611,0.0,0.0,0.0,1.4797
-4.75,0.46386,0.97118,0.27861,4.39536,0.0,1.52501,3.54756,2.57425,0.0,8.30534,0.0,0.48705,0.0,4.22619,0.5586,4.13708,0.0,0.0,2.69493,0.0,0.0,0.44342,291.56513,0.0,2.03024,0.4304,0.0,29.49115,0.0,5.62513,13.76353,0.54084,2.2721,4.51435,2.05706,1.75351,1.72796,4.32701,0.0,8.76496,63.12319,1.9732,0.10805,2.40029,5.33329,1.27791,0.66867,5.00534,0.0,0.96636,0.0,0.0,0.0,0.0,11.96708,1.30496,0.29724,7.964,0.0,2.77273,4.47572,3.51875,2.13309,19.35027,10.66602,0.93304,0.0,0.0,0.0,0.15323,1.97537,0.73826,1.58584,1.77641,0.14641,0.07943,7.1942,0.38412,7.2652,4.09128,0.8311,1.2987,0.42412,3.10908,0.0,3.11932,1.32517,0.0,86.41256,3.48673,0.0,0.0,0.0,0.0,0.2898,0.40231,0.62999,2.01434,0.61216,3.25469,1.85138,0.0,3.46214,0.51651,0.0,0.0,0.0,0.0,6.91425,1.76852,0.94644,0.64556,0.0,0.0,1.08867,3.52563,9.41491,3.65831,2.39246,2.15936,0.0,0.0,1.20935,0.57287,2.97409,2.50058,2.73107,1.71816,1.44155,0.94413,4.05093,1.87892,1.92501,0.63,0.82662,0.60824,0.87979,0.92084,0.86682,1.29556,1.07013,1.47431,2.10316,0.83329,2.51432,1.86737,12.19435,1.30071,0.9071,2.21911,0.86004,3.66802,1.04146,1.06279,0.42418,3.49122,1.08286,1.09302,1.10504,1.31078,1.30761,1.61129,0.55659,1.08353,0.1674,1.05415,0.0,2.62457,1.08944,1.05757,0.73988,0.8468,1.76872,3.14996,0.0,0.89029,0.95293,1.06347,3.20077,0.51899,0.14372,2.78362,0.99252,2.2576,1.94427,3.03882,0.87825,3.16957,1.2099,0.0,0.11639,9.6519,0.16189,0.61857,1.74681,0.79884,1.15216,1.43747,1.36086,1.82222,3.23034,1.24797,0.19869,0.0,0.75716,0.80717,0.08515,0.75137,0.04193,8.92069,5.2611,1.43019,1.42717,0.0,0.0,1.20522,0.0,1.27785,51.56973,1.21521,0.0,1.41186,27.44385,2.89068,0.89993,0.13135,1.19479,0.75323,2.53404,1.27732,0.36022,1.09856,1.34045,5.37589,0.0,0.0,0.0,1.55872
-4.5,0.46386,6.02879,0.27861,4.39536,0.0,1.52501,3.54756,2.57425,0.0,8.30534,0.0,0.48705,0.0,4.22619,0.5586,4.13708,0.0,0.0,2.87849,0.0,0.0,0.44342,291.56513,0.0,1.53822,0.4304,0.0,29.49115,0.0,5.65476,13.76353,0.50403,2.56652,4.14749,2.11878,2.59286,1.7409,4.24405,0.0,33.78539,63.12319,1.87737,1.77827,1.85461,4.95363,1.14206,0.66867,2.52702,0.0,1.0062,0.0,0.0,0.0,0.0,12.56514,1.32574,0.64039,7.964,0.61643,2.73418,4.49974,3.51875,2.13309,20.86074,7.29765,0.99225,0.0,0.0,0.0,0.15323,1.97537,0.68799,1.65102,3.0865,0.15879,0.07943,7.19689,0.46342,7.2652,4.09128,0.91793,1.2987,0.47123,2.95086,0.0,3.11932,1.394,0.04004,86.41256,3.48673,0.0,0.0,0.0,0.0,0.2898,0.40231,0.62999,4.58968,0.61555,3.27903,2.10298,0.0,3.46214,0.5518,0.0,0.0,12.35649,0.0,5.59751,1.76852,1.64667,0.64556,0.0,10.79075,1.27332,3.52564,9.46408,3.65831,2.02082,2.34185,0.0,0.0,1.20935,0.7242,3.23706,2.50058,2.53597,1.75029,1.34692,0.78528,3.41734,1.72781,1.76608,0.60606,0.90358,0.69352,0.90971,0.92303,0.86682,1.32519,0.8056,1.39271,2.6343,0.84534,2.54773,2.07802,12.19435,2.11332,0.9071,2.20061,1.1126,3.40302,7.41555,1.54934,0.42418,3.11478,1.13793,1.03162,1.10504,2.82016,1.15281,1.26973,0.69253,0.96574,0.1674,1.05416,0.84882,2.35746,1.0154,1.09041,0.65043,0.8468,1.76872,2.16093,0.02138,0.66183,0.95293,1.06347,3.20219,0.51899,0.1714,3.04077,1.44742,2.15359,1.94283,2.45703,0.81071,2.74066,1.21306,0.0,0.11639,7.88301,0.30581,0.65175,1.74681,0.78885,1.11317,1.66309,1.3801,1.68287,3.23034,1.24622,0.21498,0.0,0.75716,1.21344,0.08515,0.75137,0.04193,7.39745,5.2611,1.43019,0.86636,0.0,0.0,1.20522,0.0,1.12198,51.56973,1.21521,0.0,1.41186,27.44385,1.99143,0.89993,0.48291,1.19479,0.7185,1.93996,2.13533,0.36022,1.57152,1.35377,5.37589,5.38659,0.0,0.0,1.80287
-4.25,8.1398,6.02879,0.27861,4.39536,0.0,1.52501,14.10732,2.57425,0.37104,8.30534,0.0,0.48705,0.0,4.22619,4.93434,41.00715,0.0,0.0,2.87849,0.0,0.0,0.44342,291.56513,0.0,1.56071,0.4304,0.0,29.49115,0.0,4.28765,13.76353,0.50403,2.56652,4.14749,2.28913,2.6361,1.7409,3.82892,0.0,33.78539,63.12325,2.05281,1.54152,1.85462,4.60801,1.18162,0.76246,2.74444,0.0,0.84443,3.61529,0.0,0.0,0.0,6.60736,1.32991,0.66397,7.964,4.30647,2.71637,4.53493,1.86656,3.3902,20.86074,7.29765,0.99225,8.62743,0.0,0.0,8.04579,1.97537,0.94868,1.68554,2.47921,13.60149,0.07943,7.22445,0.46342,7.2652,3.14279,0.93155,1.2987,0.47123,2.88188,8.26708,2.07701,0.77112,1.68593,45.55852,3.48673,0.55721,0.0,0.0,0.0,0.24859,1.38474,3.39511,3.22554,0.54166,3.02587,2.14165,0.0,3.46214,0.56196,0.0,0.0,12.35649,14.03566,5.2134,1.76852,9.38461,3.86453,0.0,10.79075,1.22642,5.62267,9.55129,3.65831,2.06104,2.42264,0.0,0.91648,2.79297,0.62741,3.23706,2.50058,2.69127,1.64769,1.29593,0.8905,3.43673,1.58872,1.76847,0.57068,0.92344,0.78206,0.7783,0.94003,0.83477,1.38592,0.77143,1.26523,3.18127,0.82571,2.09687,1.88055,10.00326,2.57878,0.83604,2.20061,1.12835,3.08436,7.47879,1.40586,0.49802,2.81545,1.0774,1.03874,1.07424,2.82016,1.28649,1.37402,0.68231,0.9327,0.1674,0.93268,13.08945,2.08522,0.86197,1.07999,0.65043,1.25363,2.24363,1.59551,0.02138,0.54102,1.62484,2.06191,4.2087,0.51899,0.1714,3.04077,1.48485,2.09439,1.46484,2.07527,0.96505,2.59895,1.26942,2.27972,0.20947,7.16688,9.52811,0.52537,1.74681,0.79813,1.04241,1.5532,1.42661,1.7783,3.23034,1.24713,3.3674,0.0,0.75716,1.22597,0.08515,0.92765,0.04193,7.66693,3.28065,7.13225,0.86636,0.19132,0.0,1.20522,0.0,1.12198,51.56973,7.16644,0.0,1.41186,27.44385,2.04273,1.1037,1.10546,1.04515,0.77659,1.86918,2.0332,1.27203,1.62121,1.35377,5.37589,5.38659,0.0,0.0,1.62467
-4.0,8.21641,6.48182,0.27861,4.39536,0.37805,1.60057,12.88661,2.77887,0.37104,8.30534,0.0,0.48705,0.0,4.18418,4.93434,41.00715,0.0,0.0,4.48653,0.0,0.0,0.44342,291.56513,0.0,1.56071,0.4304,0.0,29.49115,0.0,4.33148,13.76353,0.35351,2.44459,3.46252,3.00325,3.2557,1.98875,3.45218,4.39454,23.84442,63.12325,1.83505,1.54152,2.63669,4.20906,1.19112,0.76246,4.00279,0.0,1.51277,3.61529,0.0,0.0,0.0,5.443,3.62077,0.66397,7.964,3.53216,2.73675,3.73006,1.86656,3.3902,15.69458,7.32824,0.99225,8.62743,0.0,0.0,7.24377,1.66103,0.94868,1.6117,2.18291,13.31014,0.10677,7.22445,0.46342,7.42222,3.14279,1.29699,1.04221,5.66435,2.73986,8.26708,1.86985,0.78166,1.68593,45.55852,3.48673,0.55721,0.0,0.06291,0.0,0.2428,1.38474,2.33592,4.02256,0.47895,2.97647,1.88569,0.0,3.46214,0.56196,0.0,0.0,12.35649,14.03566,5.33428,33.17563,9.40001,5.49347,0.0,11.00236,1.21295,5.83306,6.22622,3.65831,2.12485,2.42264,0.0,0.91648,2.79297,0.62741,3.23706,52.56946,4.42933,1.54262,1.2719,0.86138,3.18152,1.46306,1.43512,0.65634,0.97246,0.76507,0.68849,0.81562,1.38333,1.31344,0.68283,1.15172,3.03444,0.80343,2.02136,1.97146,6.18847,2.27681,0.77872,1.93809,1.8574,2.82081,7.04812,1.46352,39.44536,2.90234,1.09751,1.44743,1.0769,2.82016,1.56602,1.26621,1.62629,1.4908,0.89955,1.35221,13.12343,1.95664,0.75818,1.08351,1.09853,1.1598,2.16014,1.47932,0.02138,1.95319,1.86265,1.66213,4.2087,0.51899,0.18958,8.23123,1.56738,1.91425,1.80707,2.09475,0.96505,2.04586,1.54022,6.71137,1.02592,5.19903,6.48587,1.21102,1.35597,0.71388,1.04498,1.65974,2.3489,1.6591,2.7811,1.24713,3.24323,0.0,0.75716,1.13381,0.08515,0.92765,0.04193,7.66693,3.28065,7.13225,1.01449,0.19132,0.0,1.20522,0.0,1.12198,51.57488,7.77569,7.17727,1.68423,27.44385,1.8023,8.64369,1.55296,1.04515,0.73454,2.51123,2.03048,1.45715,1.7192,3.50726,2.74689,5.38659,0.0,0.0,1.45889
-3.75,8.23768,6.48182,2.32798,3.85842,16.80295,1.34636,11.88939,2.77887,3.86738,8.30534,25.61148,5.52938,0.0,3.42744,3.69911,41.05597,0.0,0.0,4.48653,51.16583,0.65285,0.44342,291.56513,0.0,4.20937,0.81976,0.0,29.49115,0.0,4.3659,13.76353,5.03635,2.28594,3.66309,3.25871,3.12314,2.07949,3.20586,2.35121,20.28111,63.12325,1.64123,1.81345,2.7633,3.85932,1.74625,9.66431,3.78634,8.04386,3.2874,3.62057,0.0,0.17055,0.0,5.28985,3.63297,1.55231,7.89224,3.53216,2.69426,2.76488,1.31845,2.51721,10.56815,8.01525,0.99225,4.34372,0.0,27.1602,5.77256,10.81933,0.94868,1.60322,2.53108,11.15714,8.67526,7.22445,0.45277,7.42222,3.14279,1.16729,4.87031,5.73346,2.61582,4.24276,1.7088,0.78166,1.71887,36.83737,2.19738,0.55721,0.0,0.06291,0.0,0.20579,3.80815,1.48028,4.02256,1.68061,2.77303,1.53684,0.0,3.46214,0.56196,0.0,0.40348,12.35649,20.75211,4.24793,22.98765,7.087,6.16956,0.0,11.00236,1.17842,6.15556,5.2457,3.33849,2.59291,5.24063,0.0,0.47168,2.79297,1.76429,5.2408,148.55281,4.42356,1.47776,1.30522,0.95321,3.18291,1.45092,1.39933,0.57677,0.95287,0.69819,0.87455,0.79613,1.17206,1.30818,0.64669,1.11351,3.019,0.75875,1.67327,1.30699,5.45965,3.27654,1.20055,1.63872,2.85446,2.63365,5.20206,1.54199,29.6722,3.05459,1.03765,1.31942,1.67198,2.87687,1.7517,1.16547,1.66245,1.34413,2.30759,2.30854,10.99832,1.73291,0.84193,1.04597,1.09853,2.00821,4.55847,1.30134,6.23466,1.8434,1.52437,1.66213,4.78631,0.67409,0.62313,5.82179,1.83477,1.6447,2.07844,3.52053,1.04278,1.87824,1.69312,6.71137,1.07642,4.63698,6.48587,1.03386,1.35597,0.7942,1.23408,1.57116,2.12184,1.5121,2.78488,1.964,2.97781,0.0,0.75716,1.46407,0.08515,1.06836,0.91456,8.71245,7.47806,4.04948,1.01449,0.19132,0.0,6.642,0.0,0.97448,46.16328,5.31664,7.17727,3.10354,27.44385,1.72572,7.24773,1.55296,1.06511,0.76604,5.92819,1.99995,1.5581,1.85017,3.50726,18.08395,5.40281,14.22314,0.0,1.45317
-3.5,4.48016,8.66608,7.37114,3.35908,9.0538,2.57525,15.45409,13.13703,4.39875,9.72171,18.06643,6.39953,0.0,4.45941,3.69911,41.1042,0.0,0.0,4.48653,32.86274,0.65285,0.44342,291.56513,26.9795,3.66375,0.68404,0.0,29.49115,0.0,4.3659,24.58944,4.29607,2.34379,3.42279,3.03385,11.34155,4.37066,3.11936,6.98513,14.24589,63.12325,1.66474,1.81345,4.88985,4.32852,2.72119,6.55925,3.78634,7.05405,4.10115,3.62057,0.0,0.12461,0.0,5.28985,4.37359,2.1744,7.01726,6.82238,2.67609,2.88479,1.23522,2.51721,9.78474,8.01525,0.99225,4.66928,0.0,14.11559,4.36265,10.32475,1.71033,1.61611,2.5408,10.08671,8.67526,5.05045,0.485,7.42222,3.14279,1.22052,4.87031,4.20064,3.3729,5.18926,1.22178,0.5411,1.66501,26.44758,1.60881,0.69867,0.0,0.32899,0.0,0.19994,3.5404,1.48028,8.85131,1.39227,3.45334,1.60965,0.0,3.8567,0.86297,0.0,0.40348,12.35649,19.86132,4.09552,16.90415,7.11427,11.37251,1.15002,11.00236,1.14957,6.22696,6.61484,7.51911,3.71095,6.87923,2.70667,0.47168,3.78162,1.63028,4.70087,111.56875,3.60275,1.37412,1.29127,0.91417,2.92556,1.40042,1.39288,0.69485,0.93569,0.77484,0.88523,0.93804,1.15777,1.24116,0.8447,1.19098,4.55617,0.78032,1.78443,1.48956,4.08729,3.49923,1.01504,1.49778,3.32338,2.64625,4.16558,1.63507,29.6722,2.42635,0.99454,1.14428,1.41056,2.76508,1.6493,3.55789,2.00654,1.09791,2.1272,2.04182,11.00009,1.90023,0.82563,0.87542,1.05993,1.96973,3.09956,1.37919,7.61102,2.1381,1.30002,1.69925,4.08617,0.53505,0.65875,5.60962,1.74587,2.10679,2.80986,3.36136,0.77478,1.76118,1.43019,3.49055,1.44201,4.30727,4.78642,1.03386,1.72539,0.80117,1.22634,1.74883,2.01314,1.75826,2.78496,2.67142,2.72858,11.05225,2.65905,1.62405,5.47477,3.61388,4.1475,5.86925,5.88662,4.04948,1.01449,0.19132,0.0,5.55923,0.0,0.91001,46.16328,5.36251,16.38918,4.319,10.69959,2.68653,7.39504,1.13499,1.146,0.7836,5.48892,1.73002,1.93038,1.96385,4.4063,22.78786,5.40281,14.22314,0.27093,2.446
-3.25,3.49165,6.94966,11.69012,3.58394,17.89291,22.16353,16.0649,11.87337,5.72251,23.11147,12.91746,8.63739,0.0,7.43241,3.23115,41.1042,0.0,0.0,46.46978,24.65498,0.65285,0.44342,291.56513,26.9795,3.66375,0.68404,21.4558,20.41933,27.13726,14.55314,24.58944,4.56511,2.07693,3.25803,2.73162,12.23753,8.15311,2.75615,9.72476,13.10907,63.12325,1.61388,2.50697,5.56041,3.94419,2.05504,5.48862,11.5805,13.84137,4.26138,3.62057,14.08224,15.04676,0.0,5.42461,4.95049,3.11357,5.95112,5.55201,2.10621,3.8759,4.65681,10.60713,8.79252,14.50356,3.79271,5.09082,0.0,18.07876,6.2565,9.74247,1.82392,1.50434,3.06302,12.6555,4.04723,7.8683,2.28544,7.42222,3.87873,1.13472,4.92027,5.03558,4.77178,5.18926,3.56539,5.10623,4.63744,23.23502,2.6936,0.8541,0.0107,16.93134,0.0,0.19994,3.25439,1.35925,12.87002,1.19973,3.15435,1.46364,0.0,3.8567,6.9787,0.0,0.40348,12.35649,19.48129,4.6843,12.54637,25.62546,10.13218,8.50671,4.81357,1.11777,5.01347,6.18199,6.27673,3.48094,6.33303,2.70667,5.03595,2.98908,1.88249,6.03776,111.56875,3.6092,1.28376,1.21272,0.80071,2.78639,1.45755,1.30995,0.7507,0.98729,0.81757,0.93,1.12674,1.44084,1.14068,0.86048,1.11497,3.96014,0.85186,2.42747,2.05186,2.34469,3.30433,0.88055,1.6109,3.07664,2.54177,3.43162,1.6993,24.62264,2.37965,0.96073,1.15971,1.24619,1.99265,1.57269,4.29034,1.88385,1.41875,3.00504,3.20438,10.83031,2.03748,1.57961,0.88599,1.05993,2.22954,3.13031,2.13561,9.03107,2.38178,1.6963,1.41609,5.23218,5.11422,1.91323,7.08445,1.80962,2.05548,2.56022,3.12826,1.92912,1.84827,1.3861,3.56364,1.57477,6.25295,3.46265,4.89867,1.66572,0.77261,1.21545,2.12277,1.99491,1.90609,3.6394,3.67701,3.61286,25.13011,5.28137,1.44125,4.92203,4.91804,3.53949,7.2413,9.35165,3.27883,1.01449,0.19132,0.13816,10.63638,0.0,0.91001,29.9231,4.74756,13.13322,10.27346,9.38495,3.18321,6.48098,1.27241,2.56341,0.72607,5.02773,1.57321,1.958,2.16957,4.83838,19.59924,10.62282,4.38902,5.30524,4.28561
-3.0,4.89961,6.53988,11.40732,5.51955,11.03269,19.34047,13.9918,8.12022,9.48771,22.03972,18.59109,55.15893,17.73321,6.59155,2.09082,41.25769,21.35422,5.4594,47.53557,24.65498,10.99118,0.44342,291.56513,26.9795,7.08579,8.46596,19.47188,64.09938,20.80134,14.55314,24.27917,4.20597,2.58095,2.62876,4.03881,11.35159,6.29151,2.56665,9.92447,11.88404,31.56167,1.49107,2.49192,5.1731,3.66554,3.36813,4.57199,13.36889,15.79357,4.49196,13.35835,14.19111,10.46901,4.89013,4.93034,6.09764,2.47431,5.9528,4.68518,2.18515,3.94158,4.3369,10.58867,7.34647,15.54279,6.31424,3.85398,0.0,20.7404,8.65272,7.96925,2.72815,1.35306,2.75231,11.24298,6.96663,8.51815,2.70945,5.72,6.5235,2.84181,6.05534,5.38455,4.22996,5.18926,3.85609,7.42487,4.62659,21.40188,5.28495,7.58094,11.02222,13.00683,7.46832,0.23125,5.97443,5.62877,16.38347,1.36433,2.68297,1.47949,0.0,15.8901,7.21348,20.66437,4.2885,12.35649,17.92254,5.56012,15.26927,25.62546,10.17423,5.81905,5.73067,1.34517,5.56841,6.84085,6.14899,4.03206,6.51842,19.91854,6.00129,4.85748,2.04016,6.20485,155.04753,3.87161,1.26536,1.17062,0.88881,2.7034,1.48201,1.27378,0.73986,0.94751,0.80642,0.86269,1.5274,1.33771,1.05591,0.88042,1.08724,3.94124,0.79782,2.32852,2.27797,3.27537,2.82136,0.76768,1.94642,3.46851,2.60696,3.74953,1.72094,24.82869,2.71361,0.94486,1.03232,1.68776,1.51924,1.59041,3.99983,1.69951,1.44486,3.46067,3.23598,13.49546,1.925,2.55313,0.87741,1.08952,2.47918,2.8883,2.13655,7.91659,3.28655,2.31116,2.78821,4.9527,5.3604,1.73666,7.55234,2.83608,2.79171,3.45881,2.54328,5.12456,1.88263,1.66531,5.14297,2.99485,6.18363,5.00341,6.38829,2.53432,0.82335,1.00692,2.09524,2.01584,1.67284,7.52243,4.04255,2.90898,17.15235,5.34261,1.56735,9.11944,6.93431,3.39557,6.68772,8.33981,4.20135,3.51149,0.19132,21.87684,12.58687,0.0,1.12914,26.12314,4.90972,16.67573,13.15984,11.77766,3.82362,7.15237,1.34559,6.00374,0.73444,7.79317,2.60118,2.21901,1.58485,4.37879,20.00983,10.22612,4.05199,15.8074,5.42725
-2.75,5.28482,6.54126,11.67851,5.97559,12.07736,17.96596,15.14479,8.03019,11.71677,28.25183,19.39818,41.04829,20.46598,9.62294,4.86599,33.20394,21.5015,5.4594,53.73274,26.9125,22.81957,3.49291,145.86827,26.9795,6.17899,9.41293,22.17572,80.23503,18.73875,22.35929,24.52603,12.99385,2.46484,2.6895,4.42764,9.18927,6.37552,2.40909,9.47952,12.63684,154.8016,1.49569,2.69241,5.75128,4.39325,3.3686,13.55261,10.40252,19.20019,4.2407,15.20013,9.79728,9.53411,4.06157,7.47591,5.86504,2.43196,5.14454,6.23037,2.26882,4.03465,4.30831,10.70079,10.43861,13.81287,39.71488,7.68214,23.70277,20.35394,6.65014,8.93474,2.62681,1.29099,2.34323,12.57114,8.81504,8.43302,2.98448,5.33073,5.46326,2.79665,6.68121,5.66576,4.61455,5.11499,5.96655,6.72976,4.42596,16.63523,6.85201,13.91188,19.26664,17.50014,28.90845,0.23987,6.66897,5.72263,15.75847,2.14649,2.47173,1.51347,0.0,18.86092,9.46367,22.18916,10.42998,12.35649,16.98408,5.71613,14.28428,35.25624,9.55209,6.91229,5.22785,2.42953,5.40701,6.34064,6.21101,3.1988,4.90325,31.0801,4.92943,4.52515,2.82127,6.51845,155.12045,4.68495,1.23,1.21825,1.16248,2.6159,1.37504,1.26279,0.84607,0.93659,0.80173,0.87283,1.45854,1.57542,1.0153,0.90174,1.06735,3.39266,0.73962,2.23413,2.03085,3.05082,4.01316,0.75512,2.79287,3.30277,2.38872,3.50581,1.75731,22.10561,2.51616,0.90699,0.99153,2.13535,2.40232,1.50101,3.67998,1.94783,1.35174,4.49775,3.47558,12.2222,1.74618,2.81178,0.90547,2.85889,2.03343,2.95039,2.68869,6.44576,3.12034,2.97692,4.8682,4.43951,6.33407,3.0211,8.11,2.98278,2.91627,3.29585,2.59655,6.97032,3.14923,1.708,5.93652,3.33797,5.48851,4.00188,5.73158,3.56197,1.02789,0.9361,2.29599,1.95397,1.50722,6.46715,4.06945,3.44981,13.01536,4.81274,3.80408,7.65833,10.13613,5.48206,4.87024,8.57253,5.44806,13.45667,8.12158,19.47786,25.86436,0.0,2.04925,25.45125,13.59377,18.44475,14.05109,14.20322,3.80743,7.72342,2.1557,15.97867,0.77275,6.74767,2.15719,2.99915,1.71678,4.76723,14.53312,15.57465,4.86525,13.96163,4.72933
