,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.07554,0.06697,0.08394,0.0649,0.05523,0.05493,0.03648,0.04562,0.04227,0.03616,0.04529,0.0,0.09422,0.05465,0.04268,0.05239,0.03924,0.04632,0.08355,0.04365,0.10379,0.06292,0.0533,0.04824,0.08272,0.04224,0.04442,0.06788,0.0,0.05221,0.03657,0.0536,0.19566,0.20268,0.19803,0.08351,0.1963,0.75574,0.06356,0.06831,0.26117,0.27732,0.17097,0.08191,0.06442,0.30182,0.04666,0.05813,0.04596,0.05851,0.0596,0.06171,0.0,0.04952,0.05039,0.12826,0.0792,0.05595,0.05695,0.09497,0.05598,0.04844,0.04524,0.04826,0.04423,0.03648,0.04965,0.04064,0.05526,0.0971,0.06629,0.11253,0.75315,0.18041,0.05445,0.05013,0.04738,0.11977,0.05182,0.0442,0.05926,0.0941,0.08207,0.11325,0.05892,0.06101,0.0735,0.06103,0.05893,0.05934,0.0,0.04812,0.04311,0.0,0.0837,0.11319,0.06071,0.15325,0.17018,0.39227,0.18147,0.07247,0.05721,0.07581,0.04214,0.04047,0.0484,0.0,0.09278,0.05968,0.06462,0.12047,0.05,0.05366,0.13652,0.0737,0.09207,0.07273,0.20825,0.17376,0.0,0.08642,0.06032,0.11018,0.06495,0.05826,0.0,0.68948,0.0,0.23077,1.62695,1.18373,0.0,0.0,0.54854,0.0,0.0,0.16002,0.23251,1.11708,0.0,0.0,0.39635,0.55327,0.16857,0.08274,0.07146,0.0923,1.03025,0.30261,0.11105,0.1153,0.17849,0.67451,0.23234,0.08628,0.0,0.66444,0.2114,0.2169,0.15344,0.07947,0.22924,0.07978,0.09254,0.12011,0.07086,0.32787,0.36704,0.26678,0.17526,0.09044,0.1261,0.08481,0.08726,0.07159,0.10497,0.09865,0.06876,0.07395,0.12969,0.35038,0.42895,0.30624,0.16501,0.08648,0.07289,0.07016,0.16093,0.05267,0.10751,0.10261,0.06358,0.06295,0.06419,0.0,0.0,0.07323,0.23797,0.32554,0.08832,0.12255,0.07788,0.04048,0.05705,0.07833,0.04973,0.04264,0.0539,0.0628,0.04774,0.07165,0.07689,0.04114,0.05489,0.05168,0.06197,0.39994,0.04374,0.05587,0.0,0.04733,0.05127,0.09424,0.06998,0.05791,0.06171,0.0,0.15317,0.07532,0.11417,0.26629,0.07451,0.05272,0.04546,0.05497,0.06111,0.14462
-4.75,0.06537,0.06697,0.0836,0.06303,0.05375,0.05273,0.03554,0.04411,0.03857,0.03466,0.04453,0.04663,0.09422,0.05502,0.04118,0.05239,0.03175,0.04299,0.07791,0.04365,0.10379,0.06519,0.0533,0.04734,0.07952,0.04138,0.04226,0.06788,0.0,0.04627,0.03568,0.05316,0.1864,0.19008,0.18747,0.08202,0.18935,0.7393,0.06218,0.06297,0.26117,0.26587,0.16561,0.07698,0.06334,0.28776,0.04534,0.05813,0.04596,0.05644,0.04306,0.06171,0.0,0.04639,0.04921,0.12279,0.07474,0.05445,0.05669,0.09009,0.05576,0.04591,0.04524,0.048,0.04235,0.03529,0.04912,0.03825,0.0547,0.09146,0.06521,0.10845,0.7579,0.17128,0.05088,0.04771,0.04679,0.11418,0.0513,0.04389,0.05699,0.0941,0.0809,0.10944,0.0537,0.05966,0.06032,0.05922,0.05817,0.05987,0.0,0.0451,0.04074,0.0,0.08202,0.10987,0.05863,0.15135,0.17402,0.35785,0.16882,0.06894,0.05495,0.07115,0.0377,0.03916,0.04439,0.0,0.08876,0.05968,0.06062,0.12047,0.04751,0.0516,0.13275,0.06914,0.08685,0.06853,0.20016,0.16377,0.0,0.07844,0.05598,0.09836,0.06392,0.05673,0.0,0.6726,0.38575,0.22138,1.62695,1.1232,0.0,0.0,0.52034,0.0,0.0,0.15137,0.22914,1.062,0.0,0.42441,0.378,0.52948,0.16596,0.077,0.06929,0.08251,0.99676,0.28576,0.10965,0.11286,0.18773,0.63407,0.22523,0.0829,0.0,0.64868,0.19156,0.21044,0.15198,0.0768,0.22145,0.07531,0.08832,0.11186,0.06875,0.3047,0.34445,0.25448,0.14884,0.08593,0.12488,0.08052,0.08431,0.06563,0.10268,0.09163,0.06319,0.07355,0.12393,0.34068,0.40912,0.30454,0.15503,0.0796,0.06295,0.06843,0.15718,0.0506,0.10658,0.10673,0.06139,0.05895,0.06051,0.0,0.38281,0.06705,0.23227,0.3146,0.08165,0.11384,0.07788,0.03853,0.05493,0.0726,0.04784,0.04084,0.05,0.05907,0.04513,0.07165,0.07641,0.04114,0.04936,0.05082,0.05792,0.39994,0.04374,0.05368,0.0,0.04957,0.04909,0.08908,0.06998,0.05456,0.05582,0.0,0.15093,0.07245,0.11079,0.26188,0.07714,0.05256,0.03822,0.05392,0.05836,0.13781
-4.5,0.05709,0.06697,0.07815,0.05955,0.05111,0.05239,0.03492,0.0488,0.03738,0.04425,0.04453,0.04663,0.08816,0.05489,0.04118,0.05239,0.03737,0.04179,0.07135,0.04274,0.10379,0.06519,0.0518,0.04644,0.07749,0.03919,0.04208,0.06788,0.0,0.04402,0.03327,0.04881,0.1864,0.18262,0.17658,0.07948,0.17652,0.70804,0.06004,0.06038,0.26117,0.24854,0.15756,0.07652,0.05889,0.27463,0.04434,0.05544,0.04359,0.05204,0.04306,0.06171,0.0,0.04331,0.04762,0.11848,0.07051,0.0529,0.05118,0.08562,0.05437,0.04506,0.04471,0.04429,0.03876,0.03272,0.04112,0.03825,0.05128,0.0879,0.05485,0.10205,0.69124,0.16069,0.04974,0.04132,0.044,0.11082,0.04829,0.04271,0.06,0.0941,0.07765,0.10718,0.05205,0.05744,0.05868,0.05618,0.05203,0.05782,0.07091,0.04471,0.04021,0.0,0.07946,0.10643,0.05758,0.14068,0.14914,0.34203,0.15735,0.07052,0.05287,0.06657,0.0363,0.03544,0.04439,0.0,0.08235,0.05658,0.05928,0.12047,0.0438,0.04958,0.12892,0.06256,0.0832,0.0648,0.1856,0.15333,0.05585,0.07844,0.05195,0.09672,0.05934,0.05374,0.31282,0.62853,0.37107,0.2167,1.62695,1.05763,0.0,0.70031,0.49617,0.50235,0.57818,0.14405,0.21848,1.0073,0.0,0.43001,0.36882,0.50392,0.15829,0.07473,0.06631,0.07939,0.95766,0.26831,0.09511,0.10637,0.18273,0.60063,0.21088,0.0804,0.60968,0.62176,0.18225,0.20788,0.14139,0.07075,0.21393,0.06876,0.08832,0.10456,0.06589,0.28945,0.3288,0.24124,0.16387,0.08304,0.11704,0.07643,0.07245,0.06574,0.10268,0.09163,0.06319,0.07438,0.11734,0.30404,0.38685,0.29991,0.15069,0.07458,0.05938,0.06493,0.14778,0.04892,0.09947,0.09709,0.05927,0.0542,0.05942,0.0,0.36449,0.06387,0.22111,0.29201,0.07875,0.10525,0.07152,0.03779,0.05107,0.06901,0.04183,0.03835,0.04973,0.05726,0.04358,0.06791,0.07641,0.03958,0.04841,0.04713,0.05754,0.344,0.03902,0.05057,0.04065,0.04843,0.04634,0.08729,0.06998,0.05148,0.05146,0.0,0.14185,0.06788,0.10414,0.2511,0.07331,0.04771,0.04075,0.05218,0.05563,0.13184
-4.25,0.0533,0.05689,0.07762,0.05174,0.0515,0.04927,0.03411,0.04483,0.03601,0.04099,0.04819,0.04511,0.06361,0.05349,0.04118,0.04843,0.03737,0.03989,0.06919,0.04024,0.05845,0.0566,0.0518,0.03971,0.07252,0.03627,0.04208,0.06788,0.0,0.04298,0.03217,0.04839,0.17097,0.17476,0.16523,0.07196,0.16903,0.66238,0.05739,0.05812,0.2163,0.24249,0.14541,0.07304,0.05318,0.26091,0.04147,0.05229,0.04152,0.05265,0.04066,0.06171,0.05233,0.04331,0.04512,0.1102,0.06493,0.05076,0.04908,0.07949,0.04989,0.04145,0.04193,0.04239,0.03813,0.03183,0.03991,0.03284,0.05131,0.08064,0.04578,0.09654,0.64217,0.15185,0.04719,0.03998,0.0414,0.11396,0.04739,0.03971,0.05566,0.0941,0.07282,0.1032,0.04883,0.05375,0.05189,0.05394,0.0485,0.05302,0.06844,0.04098,0.03941,0.0,0.077,0.10293,0.05393,0.13251,0.1477,0.32777,0.15342,0.06636,0.04935,0.06597,0.03652,0.03506,0.04281,0.0,0.07788,0.05581,0.05731,0.08702,0.04126,0.0472,0.12111,0.06035,0.08191,0.05907,0.17751,0.14658,0.05585,0.07167,0.05007,0.08769,0.05635,0.05048,0.29793,0.58485,0.35196,0.20166,1.62695,0.99471,3.93114,0.66522,0.46795,0.50618,0.55228,0.13785,0.20657,0.9768,0.54077,0.40044,0.34312,0.4896,0.1497,0.07132,0.06232,0.07568,0.81193,0.2546,0.08988,0.1037,0.16594,0.56562,0.20537,0.07601,0.58233,0.5769,0.16926,0.19282,0.13047,0.0664,0.19081,0.06677,0.07845,0.09802,0.06343,0.28446,0.3089,0.22846,0.17022,0.08092,0.09759,0.07444,0.06665,0.06148,0.09846,0.08096,0.05935,0.069,0.10775,0.28775,0.372,0.2888,0.14913,0.07064,0.05555,0.0605,0.14275,0.0516,0.09343,0.09149,0.05685,0.05121,0.05725,0.41716,0.34508,0.06151,0.21342,0.27647,0.0767,0.10172,0.06422,0.0371,0.04773,0.06081,0.04152,0.03791,0.04386,0.05243,0.04449,0.06791,0.07641,0.03882,0.04841,0.04487,0.05446,0.3482,0.04325,0.04899,0.04228,0.04797,0.04468,0.08499,0.05908,0.0498,0.04938,0.0,0.12979,0.06498,0.10102,0.23665,0.07208,0.04717,0.03654,0.04537,0.05449,0.12496
-4.0,0.04854,0.05393,0.07109,0.05034,0.04967,0.04693,0.032,0.04081,0.03538,0.03582,0.04667,0.04054,0.06104,0.05136,0.03994,0.04843,0.03587,0.04064,0.06535,0.04024,0.05795,0.0566,0.04682,0.03971,0.06937,0.03604,0.04121,0.04645,0.0,0.04126,0.03139,0.04686,0.15596,0.16671,0.15517,0.06956,0.16217,0.64353,0.05384,0.05525,0.20347,0.22723,0.14009,0.06725,0.04873,0.24503,0.04105,0.05229,0.03831,0.04538,0.03803,0.05567,0.05233,0.04253,0.04512,0.10561,0.06279,0.04547,0.04527,0.07564,0.04786,0.03969,0.03838,0.03776,0.03606,0.03024,0.03813,0.03289,0.04783,0.07644,0.04359,0.09169,0.60826,0.14547,0.04558,0.03852,0.04014,0.10063,0.04371,0.03831,0.05548,0.0941,0.06984,0.09511,0.04853,0.05039,0.05027,0.05177,0.04699,0.0529,0.06882,0.03961,0.03767,0.0,0.07314,0.10088,0.05027,0.12874,0.14077,0.31115,0.14766,0.06308,0.04809,0.06216,0.03459,0.03431,0.04029,0.0,0.07533,0.05426,0.05274,0.06628,0.03919,0.04515,0.11754,0.05773,0.07633,0.05731,0.1678,0.13805,0.04473,0.05963,0.04818,0.08377,0.05319,0.04919,0.27417,0.55193,0.33158,0.19099,1.62695,0.93798,3.78301,0.64767,0.4524,0.45825,0.52154,0.13231,0.20301,1.01156,0.4959,0.37115,0.32475,0.47309,0.1459,0.0672,0.05858,0.07082,0.75043,0.24014,0.08391,0.09773,0.16238,0.53548,0.19017,0.07263,0.56357,0.53011,0.16256,0.18365,0.12172,0.06331,0.18286,0.06179,0.07526,0.09361,0.05803,0.27028,0.29205,0.22341,0.16932,0.07481,0.08255,0.0721,0.06414,0.06154,0.08729,0.08096,0.05356,0.06379,0.10482,0.27798,0.372,0.24944,0.13912,0.06806,0.05221,0.05704,0.13331,0.0471,0.08911,0.08659,0.05362,0.04667,0.05553,0.39367,0.32529,0.05771,0.19813,0.25608,0.07486,0.09636,0.06367,0.03425,0.04698,0.05831,0.03925,0.0355,0.0397,0.05015,0.04088,0.06639,0.06298,0.03658,0.04009,0.04423,0.05224,0.3482,0.03793,0.04481,0.04228,0.04642,0.04334,0.08086,0.04647,0.04801,0.04859,0.54305,0.11979,0.06095,0.09312,0.22485,0.07317,0.04576,0.03407,0.04308,0.05525,0.11406
-3.75,0.04398,0.05239,0.06394,0.04771,0.04722,0.04435,0.02924,0.04081,0.03424,0.03351,0.03889,0.03983,0.06075,0.047,0.03619,0.04099,0.03367,0.03709,0.06019,0.03732,0.0469,0.05261,0.04162,0.03607,0.06353,0.03547,0.03917,0.04597,0.03952,0.03923,0.03014,0.0467,0.14824,0.15349,0.14629,0.06734,0.15114,0.62384,0.05014,0.05194,0.19,0.21101,0.13064,0.0622,0.04171,0.23175,0.04078,0.05229,0.03604,0.04399,0.03623,0.05567,0.05233,0.04253,0.03987,0.09908,0.05847,0.04324,0.04175,0.07226,0.04443,0.03787,0.035,0.03472,0.03503,0.02984,0.03732,0.02943,0.0445,0.07252,0.04058,0.08627,0.58406,0.14077,0.04309,0.03716,0.03616,0.09189,0.04058,0.03221,0.05158,0.0941,0.06585,0.09162,0.04453,0.04739,0.05115,0.04865,0.04434,0.04919,0.06497,0.03752,0.03719,0.0,0.06646,0.08931,0.0452,0.12074,0.13691,0.29307,0.13671,0.05831,0.04447,0.05851,0.03215,0.03101,0.03889,0.0,0.06936,0.04565,0.04883,0.05898,0.03983,0.04066,0.11116,0.05468,0.07229,0.05285,0.15647,0.12978,0.04279,0.0573,0.0421,0.07799,0.05113,0.04386,0.26105,0.52211,0.30575,0.17763,1.26932,0.89485,3.45563,0.60439,0.42188,0.42656,0.48416,0.1245,0.19106,0.94751,0.4603,0.34895,0.29902,0.43763,0.13111,0.06296,0.05539,0.06467,0.7251,0.22591,0.07975,0.09241,0.1566,0.50001,0.18376,0.06793,0.54748,0.50701,0.15794,0.17277,0.11597,0.05936,0.17427,0.05776,0.06804,0.08731,0.05613,0.24784,0.27539,0.20658,0.13177,0.07006,0.07944,0.07037,0.06122,0.05431,0.07859,0.06503,0.05035,0.06085,0.09672,0.26265,0.32347,0.2374,0.12879,0.06397,0.04993,0.05257,0.13025,0.04524,0.08681,0.08483,0.05209,0.04542,0.05132,0.37421,0.30582,0.05593,0.18466,0.24345,0.06947,0.09106,0.05585,0.03302,0.04617,0.05478,0.03925,0.03187,0.03751,0.04436,0.03863,0.05354,0.06561,0.03503,0.0387,0.04308,0.05002,0.3482,0.03342,0.04209,0.04228,0.04605,0.04151,0.07566,0.04244,0.0449,0.04751,0.52933,0.10933,0.05846,0.08793,0.21156,0.06678,0.04408,0.03266,0.04165,0.04754,0.10887
-3.5,0.03811,0.04312,0.05741,0.04613,0.04353,0.04264,0.02804,0.03438,0.03313,0.03177,0.03526,0.03626,0.05924,0.04482,0.0344,0.04032,0.03078,0.03237,0.05236,0.03582,0.0469,0.04785,0.03828,0.03279,0.06269,0.03445,0.03417,0.04597,0.03268,0.03777,0.02834,0.04611,0.14062,0.14685,0.13991,0.06702,0.14245,0.51631,0.04631,0.04971,0.1793,0.19561,0.12417,0.05851,0.03899,0.21684,0.03912,0.04864,0.03448,0.03937,0.0339,0.0516,0.0478,0.03654,0.03457,0.09302,0.05547,0.04159,0.03948,0.06551,0.0421,0.03572,0.03326,0.03211,0.03424,0.02825,0.03503,0.0264,0.04036,0.06764,0.03839,0.08118,0.52699,0.12677,0.04036,0.03381,0.03447,0.09041,0.03889,0.03101,0.04809,0.04819,0.06197,0.08872,0.0418,0.04406,0.046,0.04502,0.03892,0.04511,0.06112,0.03442,0.03568,0.04801,0.06491,0.08602,0.04227,0.11437,0.12955,0.26802,0.12479,0.05725,0.04174,0.05088,0.03008,0.0298,0.03636,0.0,0.06375,0.04315,0.04554,0.05496,0.03806,0.03902,0.1058,0.05194,0.06951,0.04624,0.15094,0.12366,0.04094,0.05297,0.04003,0.07638,0.04741,0.04055,0.24755,0.49756,0.29041,0.16678,1.23745,0.841,3.16186,0.57185,0.40652,0.39742,0.45721,0.11845,0.17505,0.87774,0.43518,0.32536,0.28593,0.4159,0.12426,0.05934,0.05136,0.06072,0.66676,0.21044,0.07344,0.08776,0.1424,0.46747,0.16769,0.06403,0.53139,0.47598,0.14171,0.16299,0.10643,0.05858,0.16199,0.05493,0.06206,0.08246,0.05232,0.23692,0.25872,0.19118,0.12599,0.06638,0.07487,0.06388,0.05581,0.05104,0.06136,0.05615,0.04455,0.05945,0.09442,0.23807,0.31088,0.22203,0.12391,0.06073,0.04659,0.04966,0.11531,0.04375,0.08153,0.08137,0.04925,0.04357,0.05235,0.34717,0.28298,0.05464,0.17636,0.22387,0.06389,0.08552,0.04463,0.03077,0.04528,0.05289,0.03774,0.03036,0.03366,0.04263,0.03644,0.04769,0.06228,0.03347,0.03606,0.03924,0.04327,0.3482,0.03068,0.03946,0.0375,0.04342,0.03975,0.07348,0.04163,0.04339,0.0443,0.48179,0.10458,0.05545,0.0825,0.20458,0.06373,0.03951,0.03087,0.04016,0.04485,0.10644
-3.25,0.03704,0.04171,0.05075,0.04337,0.03903,0.04,0.02577,0.03173,0.03051,0.02993,0.03218,0.03458,0.04418,0.04105,0.03251,0.03987,0.02775,0.03145,0.05206,0.03264,0.04274,0.04283,0.03511,0.03009,0.0599,0.03141,0.03162,0.0398,0.03265,0.03487,0.02671,0.04162,0.12934,0.13462,0.12916,0.06334,0.13384,0.45674,0.04336,0.04674,0.17628,0.18216,0.11767,0.05429,0.03622,0.20397,0.03606,0.04043,0.03229,0.03557,0.03205,0.04687,0.03888,0.03407,0.03058,0.08756,0.05159,0.03974,0.03604,0.06146,0.03983,0.03333,0.03143,0.03059,0.03354,0.02856,0.03253,0.02472,0.03905,0.06293,0.03547,0.07791,0.49807,0.12008,0.0378,0.03211,0.03261,0.08374,0.03668,0.02896,0.04515,0.04248,0.05733,0.08116,0.03955,0.0393,0.0433,0.04281,0.036,0.04312,0.06264,0.03308,0.03264,0.05016,0.06019,0.07935,0.04067,0.10763,0.10998,0.24997,0.11913,0.05322,0.03981,0.04466,0.02832,0.02716,0.03493,0.0,0.06148,0.04034,0.04465,0.05098,0.03416,0.03679,0.10004,0.04642,0.06724,0.04234,0.1391,0.11676,0.03706,0.04806,0.03755,0.07172,0.04386,0.03813,0.23335,0.47237,0.26983,0.15452,1.20819,0.78829,3.00222,0.50945,0.37519,0.37417,0.42836,0.11226,0.1624,0.82084,0.41107,0.30135,0.26965,0.37989,0.11646,0.05553,0.04822,0.05602,0.64366,0.19585,0.06863,0.08054,0.12779,0.43947,0.15846,0.06008,0.44379,0.43043,0.13353,0.1637,0.10168,0.05355,0.15084,0.04984,0.06025,0.07767,0.04802,0.21772,0.24452,0.17828,0.11507,0.06356,0.0717,0.05976,0.05254,0.04927,0.05844,0.05178,0.04243,0.05248,0.08961,0.22224,0.28371,0.20488,0.11181,0.05705,0.04368,0.04714,0.10963,0.04156,0.08032,0.0743,0.04341,0.04126,0.04909,0.32109,0.27194,0.05034,0.16524,0.2098,0.06011,0.08134,0.04223,0.02909,0.04103,0.05003,0.03439,0.02783,0.03021,0.04019,0.03493,0.04451,0.05753,0.03179,0.03457,0.03768,0.03658,0.30129,0.02904,0.03726,0.03544,0.038,0.03734,0.06788,0.03625,0.03938,0.04091,0.44786,0.09786,0.05314,0.0788,0.17741,0.06004,0.03743,0.02981,0.03894,0.04205,0.09992
-3.0,0.03408,0.03867,0.04808,0.03875,0.03603,0.03844,0.0241,0.03044,0.02876,0.02676,0.02867,0.03385,0.0397,0.03733,0.03068,0.03851,0.02504,0.03027,0.04428,0.03101,0.03752,0.03872,0.03383,0.02814,0.05622,0.02815,0.02707,0.03682,0.03009,0.03284,0.02516,0.03775,0.12072,0.12375,0.12456,0.05865,0.12398,0.43213,0.04066,0.04349,0.16282,0.16993,0.10875,0.05035,0.03383,0.19247,0.03243,0.03786,0.03058,0.03317,0.02968,0.04276,0.03737,0.03061,0.02817,0.0807,0.0481,0.03802,0.0344,0.05674,0.03743,0.03128,0.02946,0.02854,0.02993,0.02607,0.03041,0.02358,0.03569,0.05847,0.03229,0.07256,0.45977,0.11072,0.03541,0.02992,0.03072,0.08048,0.03129,0.02636,0.04282,0.03603,0.05531,0.07531,0.03739,0.03611,0.04046,0.0396,0.03345,0.04003,0.05889,0.02945,0.03203,0.04782,0.06019,0.07457,0.03833,0.10419,0.10498,0.23406,0.10964,0.04761,0.03773,0.04,0.02614,0.02561,0.03285,0.0,0.05896,0.03835,0.04238,0.04389,0.03203,0.03406,0.09483,0.04289,0.06318,0.04036,0.12797,0.1078,0.03396,0.04501,0.03449,0.06401,0.04062,0.03486,0.21434,0.4441,0.25013,0.14259,1.02134,0.73384,2.78439,0.4641,0.3371,0.34019,0.39489,0.10446,0.1538,0.76654,0.37995,0.28077,0.25456,0.40552,0.11406,0.05096,0.04566,0.05308,0.57221,0.18083,0.06463,0.07554,0.11756,0.41515,0.14967,0.05537,0.4122,0.40045,0.12405,0.14556,0.09337,0.04944,0.13781,0.04677,0.05535,0.07052,0.04542,0.20231,0.22827,0.16886,0.10536,0.05924,0.06412,0.05555,0.04986,0.04596,0.05701,0.04788,0.04021,0.04841,0.08305,0.20542,0.2642,0.18258,0.10487,0.05284,0.04087,0.04338,0.10213,0.03747,0.07336,0.06442,0.04151,0.03769,0.04379,0.30448,0.25607,0.04625,0.15262,0.19267,0.05613,0.07471,0.03981,0.02774,0.03812,0.04678,0.03209,0.02569,0.02923,0.03779,0.0322,0.04162,0.04788,0.02817,0.03264,0.03517,0.03386,0.27789,0.02689,0.03615,0.03088,0.0354,0.03468,0.06221,0.03293,0.03607,0.03813,0.41857,0.09122,0.04919,0.06947,0.16602,0.05533,0.03558,0.02793,0.03476,0.03749,0.09276
-2.75,0.0322,0.03648,0.04673,0.03583,0.0331,0.0357,0.02236,0.02669,0.02682,0.02443,0.02652,0.03177,0.03572,0.03468,0.02917,0.03479,0.02311,0.02727,0.0403,0.02784,0.02751,0.03481,0.03131,0.02511,0.05383,0.02609,0.02616,0.04127,0.02837,0.02884,0.02353,0.03493,0.11632,0.11312,0.11925,0.05649,0.11295,0.36361,0.0387,0.03949,0.14277,0.15772,0.10187,0.04761,0.03133,0.18068,0.02981,0.03344,0.02821,0.03067,0.02752,0.03873,0.03434,0.0295,0.02576,0.07404,0.04463,0.03459,0.03196,0.05347,0.03464,0.02878,0.02729,0.02646,0.02881,0.02374,0.02643,0.02182,0.03291,0.05355,0.02962,0.06548,0.42342,0.10384,0.03329,0.02804,0.02855,0.07619,0.02906,0.02384,0.03811,0.03227,0.05309,0.06864,0.03406,0.03286,0.0383,0.0372,0.03206,0.03677,0.05411,0.02716,0.0287,0.03998,0.05189,0.06961,0.03561,0.09611,0.10339,0.22312,0.10352,0.04469,0.03511,0.03539,0.02438,0.02433,0.03059,0.04542,0.05415,0.0352,0.0388,0.04057,0.02949,0.03194,0.08445,0.03946,0.05718,0.03639,0.11696,0.09968,0.03152,0.04121,0.03235,0.05801,0.0377,0.03193,0.19761,0.41719,0.23032,0.13279,0.86966,0.66675,2.59273,0.43112,0.31241,0.3134,0.36418,0.09774,0.14254,0.70368,0.35429,0.26378,0.23076,0.35143,0.10464,0.04687,0.04287,0.04814,0.52355,0.16868,0.06005,0.07174,0.10791,0.38083,0.14166,0.0515,0.37986,0.3696,0.11047,0.12899,0.08546,0.04608,0.12868,0.0427,0.05149,0.06551,0.04211,0.18557,0.20677,0.15289,0.089,0.05501,0.06046,0.05139,0.04661,0.04125,0.04976,0.04499,0.03731,0.04556,0.07733,0.19314,0.24382,0.16501,0.09788,0.04868,0.03741,0.04023,0.09561,0.03305,0.06912,0.05885,0.03941,0.03669,0.03963,0.27978,0.2368,0.04316,0.14249,0.17996,0.05028,0.06686,0.03601,0.02561,0.03313,0.04433,0.02968,0.02428,0.02686,0.03488,0.02982,0.03709,0.04487,0.02616,0.02949,0.03406,0.03155,0.27602,0.02517,0.03194,0.03012,0.03201,0.03046,0.0573,0.03022,0.0335,0.03448,0.38497,0.08303,0.04565,0.06396,0.15261,0.04878,0.03172,0.0254,0.03175,0.03398,0.08668
