,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.14055,2.38256,56.41264,2.38191,6.89461,2.53098,24.96433,0.0,2.00304,0.0,35.36095,0.0,0.0,0.0,2.9378,0.0,0.0,0.0,3.51803,0.0,0.12362,0.83194,0.0,0.0,3.91635,0.0,0.0,0.0,0.0,4.47163,0.22201,0.2612,10.97536,38.46147,13.46492,18.46787,24.68415,21.06196,2.15116,2.63807,13.37636,16.53184,8.47323,13.34686,1.44428,19.072,1.67395,10.86363,0.0,1.00088,0.0,0.0,0.0,0.0,4.35476,8.03489,14.17546,2.0888,0.0,5.44711,3.15464,1.45241,5.26202,0.0,20.59406,0.0,0.53692,0.0,2.00295,9.59245,3.3876,11.59516,76.67636,9.85191,0.25866,0.22811,1.55081,5.39358,0.11113,4.11783,0.92745,0.32434,1.54481,7.94633,0.0,1.68812,5.51412,2.64407,0.66263,0.0,0.0,0.0,0.0,0.0,0.54658,0.39993,0.0,19.12568,7.08412,24.69371,18.22203,2.93211,0.0,1.66255,0.0,0.0,6.02982,0.0,6.30226,0.0,2.74143,0.07296,0.0,0.17813,7.85178,2.03781,11.91381,2.24278,36.47777,9.92859,0.0,0.79916,0.47307,12.49269,3.25293,0.0,28.06291,0.0,7.33635,20.57664,13.43396,55.45858,0.0,0.0,44.10296,0.0,0.0,4.26423,16.2961,19.82509,0.0,0.0,0.0,6.21844,4.30481,1.09344,2.55389,3.20688,5.83076,31.31268,5.65452,6.50572,7.75294,38.24654,12.38753,8.68679,43.26912,27.64615,5.28128,8.21267,5.97592,2.22912,17.2263,0.55058,1.23679,2.79702,1.14234,36.35831,25.4111,35.2585,7.63728,8.85541,7.56936,2.02137,3.00798,0.45899,6.52303,1.81827,1.36859,4.27496,15.05005,19.43941,4.93663,49.72088,11.80462,1.86329,3.61234,6.75888,17.01604,8.64083,6.98317,6.47951,2.50856,1.7608,2.51459,0.0,0.0,4.165,10.47944,46.40353,1.9056,2.8089,2.18523,0.0,4.02316,2.2699,0.43211,0.0,0.35879,2.19339,0.0,1.1032,0.36831,0.0,0.0,0.0,3.77704,9.81411,1.25233,0.01115,0.12101,0.0,14.64944,7.64209,0.43019,4.29028,28.06505,0.0,5.85281,4.59521,8.11547,37.99114,2.84411,1.6761,0.0,0.0,4.06017,19.46565
-4.75,2.14431,2.38256,56.41264,2.02231,4.88082,2.557,24.96433,0.0,2.07428,0.0,35.36095,0.0,0.0,4.74103,2.9378,0.0,0.0,0.0,3.51803,0.0,0.12363,0.83194,0.0,0.0,4.06817,55.4151,0.0,0.0,0.0,4.47163,0.22201,0.66417,11.44917,29.46493,19.21308,15.55879,24.98249,21.63069,2.15116,2.63808,14.4654,21.85623,8.37638,13.34687,5.11319,15.40136,1.67395,10.86364,0.0,0.8715,0.0,0.0,0.0,4.41128,7.54159,7.55716,14.17546,3.76265,12.87683,4.87529,3.22374,1.45241,5.26203,0.0,20.60942,0.0,0.53692,0.0,1.38788,9.59245,3.40698,11.59516,82.83596,9.3403,0.25866,0.22811,1.55081,5.79555,0.11113,4.11783,1.03021,0.32434,1.54481,8.08918,0.0,1.78995,5.51412,2.66887,81.50974,2.77249,0.0,0.0,0.0,0.0,0.59044,2.07461,1.09624,19.12569,7.0842,24.87453,16.82232,2.93211,0.44174,1.66255,0.0,0.0,6.02982,0.0,6.41673,0.0,1.70297,0.07296,0.0,0.17813,7.90476,3.14338,12.23891,1.64207,20.99692,10.30164,0.0,26.9892,0.47307,12.59502,5.77897,0.0,31.01403,0.0,7.33635,25.09226,14.25662,56.02781,0.0,0.0,44.94569,0.0,0.0,4.312,14.27184,26.74658,0.0,9.97134,20.59021,6.46161,3.71029,1.04492,2.72015,3.03812,8.7796,29.25282,5.65452,6.56092,7.75294,38.3888,14.03471,8.78224,43.52609,27.6463,5.33182,11.92698,7.04323,2.15181,17.27803,0.67239,0.90008,2.54701,1.22825,36.50556,25.41118,35.85937,7.64085,8.85541,7.60404,2.02138,3.13903,0.48939,5.88192,1.39644,1.36859,4.77824,16.4007,19.54144,59.71007,49.77911,11.80463,1.73473,3.6479,6.18073,17.18795,8.64083,7.37392,4.88211,2.50856,1.7608,2.05966,0.0,0.0,3.8459,12.07162,52.13216,1.8018,2.86967,2.63268,5.239,4.02316,2.16657,0.43211,0.0,0.35879,6.7548,0.06302,1.1032,0.27936,0.0,0.0,0.0,3.77704,9.81411,1.25233,1.24217,0.1343,0.0,14.64944,5.75451,0.39567,4.29028,28.06505,0.0,5.85283,4.35563,8.39791,39.33803,2.9547,1.6761,0.0,0.0,3.09477,16.31081
-4.5,2.14431,2.38257,56.41264,2.02231,3.47922,2.22826,32.19772,0.0,2.09583,0.0,17.71061,0.0,0.0,2.43822,2.09472,0.09947,0.0,0.64184,1.84597,0.0,0.21151,0.83194,1.33041,0.0,4.06817,55.4151,0.0,0.0,0.0,4.47163,0.22201,1.01334,12.74161,25.88359,19.47533,15.55879,25.36454,22.21149,4.31192,3.26297,18.0885,23.15976,8.0339,13.34687,5.11319,18.65039,1.67395,10.86364,0.0,0.8715,0.0,0.0,0.0,4.41128,8.01834,7.1609,14.17546,3.76265,14.93293,5.60791,3.22374,1.45241,5.27418,0.0,20.60942,0.0,1.6808,0.0,1.38788,7.68752,3.75481,12.0915,55.60516,12.23519,38.13804,2.95303,1.55081,5.79555,6.46086,4.11783,1.03021,0.32434,1.64892,8.12404,0.0,2.25493,5.51412,2.39852,81.50974,2.77249,0.0,0.0,0.0,0.0,0.59044,2.98953,1.09624,19.33656,8.25428,26.75235,16.90733,2.93211,0.44174,1.66255,0.0,0.0,6.02982,0.0,6.04013,7.13214,1.75752,0.07296,0.0,0.17813,7.976,3.34839,8.83584,1.64207,21.3142,10.78066,0.0,18.29605,0.47307,12.74392,5.2445,0.0,32.02442,0.0,7.33637,19.1835,14.25662,57.44978,0.0,0.0,45.72219,36.22037,1.79529,4.13021,11.997,25.15151,17.42427,11.61562,25.654,13.21113,3.47605,1.13155,2.54888,2.90564,10.83761,29.57513,4.07077,6.24618,7.75294,38.3888,13.98434,7.02772,43.74122,23.55712,5.33182,12.02234,6.20949,1.76981,17.45759,0.67239,1.00748,2.84223,1.15984,22.94847,25.333,24.87613,5.74101,9.0886,6.37977,1.95035,3.13903,0.48939,4.92398,1.39644,1.39457,3.79761,16.41456,19.6249,60.73272,49.77911,9.33048,1.94581,6.4061,6.92864,12.68309,6.40281,7.37392,4.88215,2.50856,1.7608,2.07506,0.0,35.63459,4.16288,12.2562,52.13216,1.75456,3.32245,2.64106,5.239,5.22141,2.11631,0.43211,0.0,1.5015,7.07032,0.06302,1.1032,0.27936,0.0,0.0,0.0,3.77704,11.21153,1.25233,1.53633,0.14622,0.0,15.08146,5.87968,0.62565,4.29028,17.19847,0.0,5.85283,4.06796,8.40727,39.6722,3.50143,1.6761,0.0,1.63886,3.19053,13.38624
-4.25,2.14431,16.60622,56.41264,2.04357,3.47925,3.35514,32.19772,0.0,2.09583,0.0,17.71061,0.0,0.0,1.62494,2.12753,0.09947,0.0,0.64184,1.74705,3.77834,0.21151,0.83194,1.33041,0.0,4.06817,55.4151,0.0,37.68205,0.0,4.49934,0.22201,0.94717,13.77812,28.17953,22.63403,15.70245,25.65123,22.66077,4.31192,3.20995,18.0885,24.72588,7.48627,12.15461,7.79902,19.11259,1.67395,10.13556,0.0,1.63302,0.0,0.0,0.0,2.49563,8.01834,7.24678,10.4995,3.76265,14.93293,5.65399,3.22374,1.18236,5.27418,1.15351,20.60942,0.34312,1.9779,0.0,1.38788,7.44664,3.31076,10.36575,56.21043,12.86334,28.64117,2.96671,1.55081,5.94211,6.46086,3.19252,1.03021,0.32434,1.76167,6.37292,0.0,5.11409,5.51412,2.37588,81.54258,1.4185,0.0,0.68906,0.75274,49.19274,0.56154,2.62007,0.70346,16.76655,11.55207,38.46125,17.09613,3.05547,0.44174,1.78616,0.0,0.0,6.50218,0.0,6.00604,7.32721,1.75752,0.07296,0.0,0.17813,7.56454,3.39715,7.80177,1.64211,21.36398,10.84278,0.0,18.43833,0.70418,13.48079,5.2445,5.39273,32.54877,9.77289,12.00556,19.32583,14.37862,56.44488,96.69694,20.52471,46.39993,47.25255,8.80094,4.28356,12.02467,26.37865,17.42427,24.60708,25.96988,14.07035,3.52361,1.70564,2.62001,2.7821,13.89796,32.67983,3.36437,6.24618,6.81216,23.24615,15.04336,5.35657,43.86183,23.8735,5.33182,12.20241,5.67872,1.76981,15.37814,4.74139,1.01234,2.62419,3.86659,22.99226,21.30994,26.54266,5.9032,7.67009,6.44633,2.1291,3.13905,1.14171,4.92398,1.39644,0.99527,4.17152,18.01671,18.9917,61.74684,49.84915,9.44636,1.86359,9.34651,7.20015,12.89402,6.40281,7.40082,4.12449,2.50856,4.58217,2.07506,0.0,35.76282,3.41489,12.05008,45.51679,1.84821,3.32245,2.6624,5.28909,5.50683,2.06305,0.39634,0.0,1.5015,6.04419,0.06302,1.1032,0.27936,0.0,0.0,27.69966,3.77704,11.27582,6.50671,1.53633,0.14622,0.83827,11.3958,5.55457,0.62565,3.7654,14.87149,0.0,5.74387,3.95065,7.27799,40.0865,3.75384,1.6761,0.0,1.63886,2.58053,10.51103
-4.0,2.14431,19.55295,96.1337,2.07313,3.47925,3.41128,32.19773,1.10876,2.09583,0.0,14.59336,0.0,0.0,1.62494,2.13276,0.77108,0.0,0.64184,1.77864,3.77834,0.21151,0.83194,1.33041,0.0,2.49181,55.4151,0.0,37.68205,20.95204,4.49934,0.22869,0.94803,15.9449,29.1239,23.66691,12.5522,25.93443,22.93933,4.19578,2.6144,18.42232,23.93958,8.65528,9.2607,6.95033,19.26837,1.67395,10.14351,0.0,1.35592,0.0,0.0,0.0,3.31425,10.15215,8.07304,10.66433,2.10863,8.94059,5.23648,2.87211,1.68509,6.30432,1.15353,20.60942,0.34312,2.0997,0.0,41.145,7.14893,2.77428,9.09411,56.95169,13.50827,28.64117,2.96671,1.55081,5.94211,6.46086,3.02758,1.08533,0.32434,1.76167,6.24733,0.0,5.11409,3.85006,2.21699,81.55067,1.4185,4.24974,0.68906,0.78414,49.19274,0.69798,2.63136,2.34138,15.22128,18.63531,31.10317,17.32508,3.15995,0.82475,11.89228,0.75671,18.02867,8.94065,0.0,6.37435,9.14076,2.32514,0.07296,0.0,0.17813,6.68965,3.1692,8.06084,1.89546,21.47751,11.49574,0.0,12.53479,0.54385,10.24975,4.90445,5.52839,20.24766,10.05674,12.0057,20.00927,14.80857,57.13882,96.69696,21.72337,54.65851,47.74609,14.98399,4.16683,12.86778,27.33942,17.42427,27.05988,26.22563,15.26228,3.53613,1.78976,2.66681,2.6252,15.09186,32.77611,2.97987,5.14262,9.99304,25.44888,15.18037,4.99557,44.03852,48.57548,5.11725,12.22968,5.26923,1.86552,13.65815,4.64444,1.01234,2.64508,5.71238,20.74801,21.60471,26.60525,5.90452,6.60584,5.0611,3.04475,2.97568,1.14171,4.51523,1.39644,1.88186,3.65009,18.20286,18.42669,62.10634,49.84917,8.98727,1.93686,9.34651,5.70892,12.89403,6.40281,6.86635,4.12449,2.33779,4.77309,2.09224,19.81622,34.36581,3.45634,12.24529,45.69405,1.82973,2.55401,2.6624,5.28909,7.96525,1.86786,0.50944,0.0,1.52566,8.92425,0.06302,1.1032,0.27936,0.0,0.0,28.01023,3.77704,12.22095,6.50671,1.77378,0.14622,0.83827,11.39711,5.55457,0.62565,3.41684,14.87676,6.38508,5.22859,3.51415,7.28566,24.53187,3.75384,8.43007,0.0,0.88702,2.58053,10.65784
-3.75,2.05718,11.6354,96.1337,1.61654,2.94135,3.1025,40.36496,14.36478,2.09583,1.68229,14.59336,0.0,0.0,7.36325,2.40734,0.77108,0.0,6.89929,2.4971,3.80116,0.21151,0.83194,1.33041,0.0,3.74047,55.4151,0.0,19.38382,20.95204,4.49934,1.66561,0.94214,14.03948,26.07181,23.76126,12.66821,21.82328,25.27418,6.22745,2.6387,18.42232,24.33981,9.93074,8.86384,6.27736,14.46232,1.67395,8.94245,0.0,1.17992,57.91831,21.96956,7.16728,3.3991,10.21278,7.49792,6.90843,1.94862,10.95026,4.65473,2.4358,2.38638,14.12022,5.14482,20.60942,0.34312,2.0997,8.40162,30.24583,6.54446,2.88226,8.54802,71.99676,14.60604,28.64117,2.277,1.15932,5.67837,5.3229,13.76499,4.71828,0.32434,2.01114,5.52593,4.98137,6.88342,3.85006,2.23675,57.38961,1.4185,4.24974,0.68906,0.78414,24.61515,0.69798,3.00211,2.14393,14.2741,19.24325,32.60374,19.35519,3.31621,0.83863,27.69185,1.058,9.30085,8.94066,0.5256,5.93539,9.14076,2.3758,1.90321,1.15489,0.52617,6.06971,3.2865,7.33383,1.48016,21.53369,10.78913,0.0,8.23408,6.21033,9.26425,4.08132,78.35136,18.8276,32.49531,14.7398,22.37653,8.31479,38.48629,97.86677,21.87053,29.50125,36.83391,15.54134,4.25891,12.94637,28.93337,18.42318,24.48277,18.103,17.77423,3.32471,1.90312,2.37604,2.63014,15.97273,33.97189,2.74905,4.78015,10.26593,25.73894,15.95934,4.25642,37.30832,49.0408,5.12059,12.95688,4.48972,1.76575,12.22445,8.31773,1.01234,2.73112,5.86284,18.70338,19.97509,20.35431,5.90452,5.16013,5.09225,3.18339,2.56202,1.14171,4.56595,1.40456,8.07694,3.37162,18.20286,19.81276,40.61326,49.84917,10.43262,2.10741,9.37259,6.12887,13.13402,5.43145,6.86635,4.20902,1.90396,14.25113,2.10793,23.77619,35.08803,3.21656,12.93617,45.80808,1.97506,2.58759,2.52231,3.55413,7.82747,1.98395,0.50945,0.0,1.58606,8.27909,0.06302,1.1032,0.33581,0.0,191.51466,16.94803,3.77704,12.3357,7.73056,2.62939,0.14622,0.83827,11.71384,6.16681,1.64335,5.18809,13.05769,10.97518,5.50936,3.95092,8.29225,24.7508,3.83269,6.96917,2.01781,1.05222,2.48018,10.73148
-3.5,2.84144,11.71206,96.13372,1.61654,2.61765,7.01691,43.34208,17.75082,17.03927,1.27368,15.38757,640.5341,0.0,4.81055,2.51362,1.08978,0.0,6.9522,2.4971,3.15217,13.57305,0.83194,1.33041,0.0,3.87438,64.58695,0.0,16.74104,17.91212,4.49934,1.66561,1.60286,13.15204,26.87109,15.64942,12.66821,21.99618,28.47526,6.92986,2.64758,19.00626,20.42548,10.58511,8.16623,6.13218,24.46,1.67395,10.40928,0.0,3.77633,19.94197,22.02117,4.62138,2.68098,10.6497,8.05145,5.98574,1.77106,12.27727,4.78989,3.74302,1.9005,12.6154,12.72531,15.29032,0.17433,4.03505,4.64128,23.61464,5.91031,3.00853,7.51177,73.07696,14.69206,23.46407,2.277,2.21207,5.46109,5.34211,13.76499,3.94676,0.32434,2.1155,5.20708,4.98137,5.54668,2.24549,2.05846,57.38961,1.18759,2.62825,0.68906,0.80017,21.44553,3.92384,3.00212,2.21881,13.82655,19.24325,32.88597,19.47055,3.36498,0.83863,27.69935,1.058,7.33931,9.22819,0.5256,6.31354,8.86712,2.3758,1.90321,1.21613,1.18402,5.5772,3.55304,6.72422,1.49342,21.53372,12.14634,0.0,8.23409,5.33664,9.26581,3.57421,68.19545,17.58993,36.64687,17.93388,20.67948,29.4699,39.07109,115.48691,21.00849,30.36726,37.73533,19.27213,4.35599,10.27384,29.6005,20.0274,24.82747,18.97134,15.38087,3.16689,1.96344,2.33607,2.3528,19.06309,34.02968,3.32118,4.12941,10.98973,22.70628,16.18016,4.20786,38.83381,53.89485,4.84579,12.98037,4.73686,1.87095,10.93102,6.62106,1.46971,2.75965,5.06636,19.37163,19.24781,18.77656,5.92409,3.99506,5.16751,3.22204,2.72337,2.42023,3.40655,1.40456,8.58008,3.36771,15.97357,20.47411,30.87025,35.33052,10.45136,2.0825,15.2202,6.76524,13.28965,4.6533,6.86636,4.20902,1.93609,11.89816,1.69577,26.74924,30.04051,3.07727,10.48209,28.83966,1.87488,2.38463,2.52231,3.57466,9.45388,2.14245,0.60502,0.0,1.58606,8.27043,0.06302,3.00587,0.34688,10.91811,63.80629,12.81616,3.77704,12.42282,7.73056,2.9962,0.08413,22.47401,12.85193,6.08097,1.64335,5.18809,13.05769,12.71841,4.99207,4.1854,7.4878,25.08067,4.57878,6.06507,2.18577,2.14002,2.48018,11.26947
-3.25,3.31049,13.90742,80.87366,1.62821,2.36561,6.38116,46.79843,20.09776,14.57769,5.70026,16.35251,640.5341,69.95487,7.82748,2.52931,4.09136,0.0,6.9522,2.4971,1.60493,14.87713,0.60778,1.33041,0.0,4.22299,64.58695,13.45468,35.80705,15.25108,4.49934,1.66561,2.74752,13.35286,25.21809,15.98076,11.85804,22.84369,19.35839,6.49159,3.72122,9.17048,20.58069,10.75549,6.84767,5.86801,36.59257,6.19208,14.75296,10.1439,3.35925,12.08697,22.02117,4.62138,2.68098,12.16227,8.08651,5.33459,2.7937,12.23062,4.54252,6.41018,1.46409,11.61666,10.49011,22.16742,0.36521,3.01471,4.6467,25.63902,5.79819,3.14377,7.78986,73.15398,13.22818,17.65933,6.10425,2.21207,5.10432,5.34211,11.93896,3.07043,7.5502,1.86872,4.43078,4.98137,6.98867,6.69423,1.99816,44.17946,1.03062,2.62825,0.99262,0.80017,21.44553,3.83192,3.00213,2.16654,12.802,16.05418,33.52773,18.31815,196.05497,2.66468,22.18779,3.624,19.70748,23.16762,12.86744,5.76705,11.63947,2.3758,1.37869,1.21613,4.81001,5.77864,3.39265,6.41606,4.28999,21.8503,11.64261,0.55906,7.45155,4.87725,8.30384,4.67396,72.5317,21.65666,32.66312,17.86628,19.9994,29.8708,46.4144,68.25014,28.16614,27.24926,23.58137,19.86769,4.39359,9.39996,35.97897,20.25799,21.71487,19.3588,18.12688,3.34702,2.07278,2.26225,2.31004,22.53348,34.10262,2.76197,4.5853,11.81404,20.53997,15.19461,4.1538,40.18278,54.56698,4.78008,12.98037,4.53764,2.13257,11.02403,5.46263,1.61324,2.77269,4.73046,19.81998,18.33757,19.25658,5.92409,3.68957,3.83109,3.63705,2.25587,2.48804,2.55852,1.31769,8.27629,3.06462,14.12197,19.70688,33.32266,28.05879,10.06964,1.90604,15.23998,5.48167,10.36495,3.91273,7.31359,3.8769,1.93609,9.00502,2.2357,26.77403,24.15872,2.76797,10.51206,29.55454,1.64917,2.46195,2.33272,3.97791,12.62065,4.61176,2.17412,0.0,2.04098,8.8803,0.06302,2.43551,0.46235,10.91812,48.03663,12.81616,3.77704,12.42282,17.04815,5.75158,12.79083,20.64012,9.83945,4.82194,3.867,5.35554,11.43321,21.42254,4.12169,3.68065,7.09988,27.55856,4.50831,5.3921,2.18577,5.84058,2.49434,11.74283
-3.0,2.08827,14.66243,54.16629,5.42671,1.96628,5.32432,44.00856,20.17207,11.09082,18.9522,16.58637,640.5341,59.12669,7.52852,2.52931,4.09136,26.94426,7.73199,5.40498,20.9685,11.16735,0.63922,1.33041,0.0,5.02928,64.76101,10.74069,33.39511,25.48498,13.99311,15.28471,3.14317,13.60334,22.40283,17.66504,11.46943,18.70668,14.02827,7.35158,5.32252,10.97618,19.29016,11.10832,5.62032,6.39206,35.25913,8.97135,14.93999,14.79866,4.03124,9.57788,33.79577,5.66944,4.45089,14.04459,7.22255,5.05298,5.81766,9.25696,4.89671,5.18964,4.03703,14.0696,8.26317,16.01776,0.36521,7.10976,4.73146,29.21632,6.2144,8.67479,7.93896,42.52644,12.23097,20.2058,12.67207,5.47817,6.33922,5.95433,16.55916,9.33044,7.02645,1.99734,3.78529,6.54406,7.31451,8.83649,2.67598,31.52668,0.95827,7.24024,3.02528,12.84733,16.14725,6.9602,3.04529,1.77552,13.14806,11.93123,34.00319,14.80142,196.36464,6.60458,22.18779,3.48581,20.361,23.28853,15.89414,5.42413,11.36811,2.3758,22.75413,3.48369,3.25704,5.6939,3.38541,5.60026,6.12438,26.96617,11.26937,0.55906,8.32816,5.04256,7.48111,7.1521,107.5381,19.90894,34.286,21.67608,20.29234,31.17009,51.67926,70.20314,30.18723,28.25199,24.85778,16.29241,4.6759,8.65941,32.67766,17.18402,20.70958,15.21248,20.10357,3.46604,2.22818,2.39565,2.07634,24.52076,37.55118,3.03909,4.45584,9.99849,16.89467,13.56267,4.20773,42.96882,55.59065,4.23993,14.89554,4.43219,3.35896,11.12803,6.62808,1.91427,2.29769,3.81458,19.69654,20.74557,17.0358,4.7436,3.33046,3.71534,3.8143,2.07854,2.10525,2.68211,3.59139,8.30957,3.23909,9.73118,20.33447,34.58372,24.97841,11.07178,1.96168,10.32994,4.82357,10.19946,4.79407,6.10997,5.76052,2.11026,5.94239,2.22587,19.79918,20.80783,2.50027,9.2399,29.82145,1.9947,2.79486,5.59558,4.11808,13.1273,4.28584,7.87832,6.98075,5.40497,8.55257,5.5381,2.22411,0.93532,14.79879,35.9048,8.75741,17.1182,12.42282,20.00877,5.77014,11.56799,16.28195,9.84091,3.96837,3.4278,4.81494,9.45647,21.75334,3.73266,3.80743,6.58893,27.71613,4.26919,5.57422,3.83466,6.58947,2.58585,9.41573
-2.75,2.52477,13.2183,59.85655,7.21876,5.12102,5.39876,31.20035,11.86411,13.21862,21.0953,21.70552,640.5341,43.45201,9.59704,4.32764,3.53717,31.59207,10.26713,7.40453,14.99143,16.13438,26.11839,19.75762,44.18603,5.43982,40.0713,10.10832,35.90054,26.22863,13.08613,15.84098,3.64081,12.32252,18.82488,15.47389,17.57012,15.21171,18.76737,6.532,6.0931,12.45647,20.57891,11.3608,4.74212,4.77168,30.99016,9.80319,15.18184,12.97422,5.06411,9.01456,28.78368,10.79634,8.054,18.12963,6.71868,4.75903,5.73346,9.50236,4.6424,6.9108,6.01113,13.84535,6.53328,15.4185,11.96503,8.09675,6.9917,33.2474,7.31336,8.50388,6.89479,38.04678,10.0381,22.19832,12.63288,5.37137,6.50186,10.64097,15.45584,10.32012,5.33582,1.99546,3.64574,5.78724,6.29253,9.94146,2.80938,24.84379,5.32435,5.62107,10.9014,14.87456,20.44254,9.66491,2.88258,3.33591,13.14866,11.86922,34.4272,12.77284,197.31813,5.81727,21.72811,7.41377,16.30515,22.49505,14.00036,5.50653,13.00907,2.3758,15.13225,5.96567,4.39211,5.10948,4.08466,4.49789,7.27146,18.5776,9.32068,8.89767,9.40424,10.75288,7.48113,7.18356,139.37111,15.35467,33.96584,20.95889,20.68318,27.49345,52.03968,39.52752,27.12192,20.93724,28.02079,18.68738,4.20668,7.80674,35.22842,23.7829,19.25361,19.27319,21.38242,3.22074,2.237,2.24031,1.83301,23.55582,29.80184,2.93401,4.15544,10.3947,24.94079,13.26616,3.96872,33.76506,42.38625,4.50443,12.59874,4.47913,2.62981,10.66454,6.38081,2.61412,2.49835,5.93046,19.28188,20.21945,16.17293,3.63616,3.01233,3.41901,3.27539,4.76116,3.61599,3.35788,5.06646,7.83183,3.40791,9.72197,20.76754,32.12492,25.51533,9.7907,2.05321,13.27126,4.91754,9.3922,4.90045,5.53015,5.48064,2.13195,6.98221,3.1945,19.1071,16.29471,2.60523,9.02364,25.67795,1.88067,4.36656,6.96156,12.18109,13.90225,3.97334,8.11483,12.84195,5.76157,7.92568,7.87794,1.92487,6.68802,12.70217,37.38493,7.87476,17.1182,12.42282,19.39162,8.89852,14.16287,17.52476,9.64753,3.74097,5.10698,4.35274,9.93293,22.43786,4.55517,3.63904,5.67001,28.44346,3.89155,7.40013,7.0358,5.57867,2.4235,9.06258
