,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,1.9453,0.0,2.24324,0.0,3.88339,0.0,1.78226,0.68132,0.0,0.0,0.0,0.24438,0.0,0.16591,0.27346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96326,0.0,0.3221,0.0,5.5103,0.79546,0.0,0.0,5.9605,3.22418,0.0,2.62199,3.19824,0.0,0.0,0.0,0.0,6.06644,0.0,0.0,0.0,0.0,1.44523,0.82306,7.07253,1.93407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00526,0.0,4.82533,1.1047,1.04383,0.0,0.0,3.32262,0.0,0.0,0.0,0.45723,4.07829,0.0,0.0,0.0,7.91102,19.31788,0.0,0.0,1.08579,0.0,2.10455,0.0,0.23917,0.0,0.0,0.0,0.0,0.53304,15.3799,0.0,2.06572,8.82944,3.25999,0.0,0.0,0.0,0.0,0.0,1.36716,5.87864,0.0,0.0,0.0,0.0,0.10239,0.0,12.06574,4.55479,1.79117,1.90421,0.0,0.0,2.78389,0.0,0.0,6.76828,0.0,7.40401,0.0,0.0,1.8376,4.73595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40015,9.89373,0.0,6.80291,0.0,3.55267,0.0,3.19698,4.43643,2.74741,0.0,0.77407,4.05765,1.03314,2.01653,1.3498,0.0,0.32263,0.40404,0.0,0.0,7.2272,0.54961,1.78304,1.54283,15.37272,0.0,0.0,0.80659,1.06302,0.0,4.46352,9.36857,0.0,3.53934,13.95576,0.94548,2.28042,0.0,0.0,0.0,0.0,0.0,8.38928,0.0,3.17419,0.0,1.26627,24.23271,0.0,0.0,0.0,0.0,0.0,0.87741,0.0,0.0,11.51328,20.41815,0.0,0.62246,0.0,3.06711,1.25071,0.0,1.04495,0.0,0.45835,0.0,0.0,0.0,0.0,12.28465,13.49236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18295,0.0,0.0,2.41633,0.0,0.0,0.0,3.44107,21.61673,0.0,0.0,4.29716,6.60594,0.0,0.0,1.07309,0.0,0.0,3.50176
-4.75,1.9453,0.0,2.24324,0.0,3.88339,0.0,1.94995,0.68132,0.0,0.0,0.0,0.24438,0.07423,0.16591,0.27346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96326,0.0,0.3221,0.0,5.63776,0.86626,0.0,0.0,3.36673,3.22418,0.40569,2.62199,3.19824,0.0,0.0,0.0,0.0,6.06644,0.0,0.0,0.0,0.0,1.44523,0.82306,7.07253,1.98055,0.0,0.0,0.4492,0.0,0.0,0.0,0.0,0.00526,0.0,4.82533,1.1047,1.16201,0.0,0.0,3.32263,0.0,0.0,0.0,0.45723,4.07829,0.0,0.0,0.0,7.91102,19.31789,0.0,0.0,1.66498,0.0,2.10455,0.0,0.23917,0.0,0.0,0.0,0.0,0.53304,15.3799,0.0,2.06572,8.82944,3.25999,0.0,0.0,0.0,0.0,0.0,3.74988,3.79056,0.0,0.0,0.0,0.0,0.10239,0.0,12.25131,3.58396,1.86536,1.90421,0.0,0.0,2.78389,0.0,0.0,6.76828,0.0,10.02192,0.0,0.0,2.10334,4.73595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40015,17.01058,0.0,7.24407,0.0,3.66038,0.0,2.72276,3.21058,4.11439,0.0,2.01232,4.15503,1.22352,2.01653,1.29379,17.01653,6.02927,0.40404,0.0,0.0,7.26705,0.54961,1.78304,1.54283,15.37272,0.0,0.0,0.80659,1.06302,0.0,4.0926,9.36857,0.0,3.53934,13.95576,0.94548,7.04219,0.0,2.6783,0.0,0.0,0.0,8.45733,0.0,2.08857,5.49205,2.09527,24.23278,0.0,0.0,0.0,0.0,6.38664,0.87741,4.48781,0.0,11.51328,21.50927,0.0,0.62246,0.0,3.06716,1.25071,0.0,1.04495,1.5882,0.45835,0.0,0.0,0.0,0.0,12.28465,13.49236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18295,0.0,0.0,2.41633,1.20315,0.0,0.0,3.44107,21.61673,0.0,0.0,4.93238,6.60594,0.0,0.0,0.53655,0.0,0.0,3.85828
-4.5,1.9453,0.0,2.32375,0.0,7.29674,0.0,1.94995,0.6919,0.0,0.0,0.0,0.24438,0.07423,0.16591,0.27346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2021,1.96326,0.0,0.66529,0.0,5.63782,0.86626,0.0,0.0,3.06604,3.69925,0.40569,2.62199,3.31667,1.60758,0.0,0.0,0.0,6.06644,0.0,0.0,1.18927,0.0,3.5884,0.89835,7.07253,1.99233,0.0,0.0,0.4492,0.0,0.0,0.0,0.0,0.00526,0.0,2.23777,1.1047,2.19466,0.0,0.0,6.82509,0.08885,0.0,0.0,0.45723,4.07829,0.0,0.0,0.0,8.2867,19.43134,0.0,0.0,1.68235,0.0,2.10455,0.0,0.23917,0.0,0.0,0.0,0.0,0.53304,15.3799,0.0,1.37722,8.82944,4.79488,0.0,0.0,0.0,0.0,0.0,3.88305,3.79058,0.0,0.0,0.0,0.0,0.10239,0.0,12.42286,3.63606,1.86543,1.90421,0.0,0.0,3.06504,0.0,0.0,10.49525,0.0,10.10401,0.0,0.0,3.08179,4.73596,0.0,20.47181,0.0,0.0,0.0,0.0,0.0,5.4994,18.34059,0.0,5.71876,16.67932,3.66038,0.0,2.72276,2.99801,4.11439,0.0,2.01232,2.87779,1.24329,2.01919,1.43618,17.01653,6.14055,0.40404,0.0,0.0,7.26705,0.61275,1.5182,1.54283,9.1279,0.77101,0.0,0.80659,1.3526,0.0,3.9362,9.51607,0.0,4.66311,13.95576,0.94548,7.04219,0.0,2.6783,0.0,0.0,0.0,8.45733,0.0,2.19498,5.49207,2.09527,24.23278,0.80824,0.0,0.0,0.0,7.90964,0.93069,4.48781,0.0,12.39832,28.98766,0.0,1.23799,0.0,3.06716,1.0332,0.0,1.04495,1.5882,0.45836,0.0001,0.0,0.0411,0.0,12.28465,13.49236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18295,0.0,0.0,2.13026,1.20315,0.0,0.0,3.97508,21.61673,11.43276,0.0,5.08145,6.60594,0.0,0.0,0.73857,0.0,0.0,3.85828
-4.25,1.9453,0.0,2.02688,0.0,7.30222,0.0,1.94995,1.73117,0.0,0.0,0.0,0.14081,0.07423,6.43788,0.27346,0.0,0.0,0.0,0.0,0.96148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2021,1.96326,0.0,1.69299,0.0,3.19534,1.05374,0.0,0.0,3.07796,2.59538,0.40569,1.88988,2.547,1.60758,0.0,0.0,0.0,6.06644,0.0,0.0,1.18927,0.42742,5.03198,0.89835,5.14107,2.1077,0.0,0.0,0.4492,0.0,0.0,0.0,0.0,1.07735,0.0,2.95036,0.77724,2.19466,0.0,0.0,6.82509,0.1045,0.042,0.0,1.96649,4.0783,0.0,0.0,0.0,8.2867,19.43134,0.0,0.0,2.02479,0.0,2.10455,0.0,0.23917,0.0,0.0,0.0,0.0,0.53304,8.21171,0.0,1.37722,8.82944,4.81118,0.0,0.0,0.0,4.32818,0.0,3.88305,3.79058,0.0,0.0,0.0,0.0,0.10239,0.0,12.42286,3.63606,2.1699,1.90421,0.0,1.01664,3.90155,0.69493,0.0,11.31553,0.0,10.90334,0.0,0.0,2.79014,4.73599,0.0,51.13061,0.0,0.0,28.14036,0.0,0.0,5.4994,28.4792,0.0,6.52708,15.43851,4.20677,0.0,3.78827,2.99801,4.11439,0.0,2.24367,2.97835,1.24329,2.01919,1.54173,17.08333,6.14055,0.40404,0.0,0.0,6.01994,0.61275,1.09979,1.54284,9.1279,0.77101,0.0,3.02318,1.35261,0.0,5.84856,9.80689,0.0,4.92441,7.11824,0.77852,7.04219,0.0,2.6783,0.0,1.56202,1.03744,8.45733,0.0,2.19498,6.4519,2.09528,24.23279,0.85539,1.13709,0.0,0.0,9.06526,0.93069,4.48781,0.0,12.40397,36.15999,0.0,1.23799,0.0,2.88529,1.83402,0.0,1.04495,1.5882,1.89651,0.00011,0.0,0.0411,0.0,12.28466,13.49236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18295,0.0,0.0,2.13026,1.20315,0.0,0.65653,3.97508,21.61673,11.49842,0.0,5.34352,6.60594,0.0,0.0,0.73857,0.0,0.0,3.85828
-4.0,1.94531,0.0,1.65451,0.0,5.43747,0.0,1.94995,1.36738,0.0,0.0,1.572,0.14081,0.07424,5.16905,0.27346,0.0,0.0,0.0,0.0,0.96148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31593,40.20246,1.10149,0.0,1.69299,0.0,3.26236,1.05374,2.02769,0.0,2.83799,2.69868,0.40569,1.88988,2.18496,1.09791,0.0,0.0,4.28891,4.01789,0.0,0.0,1.18927,0.42742,5.65371,0.89835,5.20873,2.24122,46.35048,0.0,0.4492,0.0,0.0,0.0,0.0,1.07735,0.0,2.53191,0.77724,1.88157,0.0,0.0,6.82509,4.70798,0.042,0.0,2.00292,4.0783,0.0,0.0,0.0,8.6523,9.77517,1.43656,0.0,2.0521,0.0,2.14381,0.52483,0.23917,15.04446,0.0,0.0,0.0,0.53304,8.21171,0.0,1.45775,5.70823,4.54338,9.61047,0.0,0.0,4.32818,0.0,3.41913,3.15543,0.0,0.0,0.0,0.0,8.57362,2.75532,8.94292,3.72469,2.1699,2.11487,0.0,1.0535,7.11322,0.69766,0.0,13.70955,0.0,9.7606,26.91434,0.0,2.37435,4.73599,0.0,51.1307,0.0,0.0,28.14048,0.0,0.0,3.06922,28.4792,0.0,6.74364,15.44638,4.54674,0.0,3.80711,3.01372,4.61723,0.0,1.80774,2.98067,1.25202,3.14613,2.34903,17.52794,6.14056,1.24158,27.55612,33.02146,5.66609,0.8328,1.26449,5.39769,9.1279,0.77101,0.0,2.26998,1.12153,2.64983,5.84856,12.16681,13.2196,4.90704,8.33973,0.77852,7.04219,0.0,2.67831,0.0,1.56202,1.03745,8.47648,0.0,2.3399,5.683,2.31261,24.2328,0.85539,1.50973,0.0,0.0,9.1035,0.93069,2.62803,0.0,12.40397,36.16001,0.0,1.18053,0.0,3.14595,1.72958,0.0,0.8591,1.5882,1.89651,0.89539,0.0593,0.38402,0.0,12.28467,13.49236,0.0,0.0,0.0,0.0,0.0,0.99234,0.0,0.0,0.18295,0.0,0.0,2.13954,0.8108,0.0,0.65653,4.0651,21.61673,11.49842,0.0,5.34352,6.60594,0.27065,0.0,0.77516,0.0,0.0,3.48516
-3.75,1.98335,5.08467,1.6975,0.0,5.44289,0.0,1.94995,1.6804,0.0,0.0,1.572,0.20275,0.07424,5.16905,0.27346,0.0,0.0,0.0,0.0,0.96148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31593,41.09849,2.70679,7.08361,1.85042,0.0,3.50259,1.05374,2.02769,0.0,2.69004,2.85923,0.46064,1.9495,2.11923,0.78232,0.0,0.0,6.42146,4.01789,0.0,0.0,1.18927,1.62806,5.79253,0.89835,5.20873,2.24122,46.3505,4.68213,0.4492,0.0,0.0,0.13999,9.68419,5.19527,0.0,2.53807,4.48882,1.93524,0.0,0.0,6.82516,3.70572,0.042,0.0,2.00292,4.13246,0.0,0.0,5.27392,8.65231,7.34811,1.43656,0.0,2.0521,0.0,6.50437,0.52483,0.93883,15.04446,81.44783,0.0,0.0,0.29551,8.21171,14.76228,1.508,5.77207,4.57995,9.61047,1.01942,0.13428,4.32818,0.0,3.03339,2.25285,0.0,0.0,0.0,1.42059,8.57362,2.04813,9.86892,3.72469,2.19597,2.11487,28.06935,1.0535,5.83907,0.69766,0.0,13.78447,0.0,9.77619,32.64966,0.0,2.8229,4.736,0.0,51.13079,5.52628,0.0,30.14859,0.0,0.0,2.50468,28.4792,0.0,4.88194,21.10235,4.83127,0.0,3.65666,2.28308,2.54919,0.0,1.92684,3.03474,1.16553,3.42989,2.50199,25.15264,6.14058,1.40158,28.21515,33.12291,5.69455,0.8328,1.35001,9.62076,9.1279,1.45675,0.0,1.9968,1.12153,2.64991,5.3049,12.66591,13.31673,4.73362,6.12898,0.95187,7.04219,1.44578,3.97844,0.0,1.56202,2.9317,8.4766,0.0,2.3612,5.1143,1.88901,24.2328,0.82967,2.9513,5.25719,0.0,11.02593,0.93069,2.24946,0.0,12.40397,36.16005,0.0,1.18053,0.0,2.90264,1.72958,0.0,0.8591,1.5882,1.89651,2.78946,2.2783,0.38402,0.0,12.28467,13.49236,0.0,0.0,0.0,7.94324,0.0,0.99234,0.10464,0.0,0.18295,0.0,0.22726,1.89062,0.69405,0.0,0.65653,4.0651,21.61673,11.74008,0.0,5.3762,6.60594,0.29914,0.0,0.77516,0.0,0.0,3.57425
-3.5,1.99569,13.57626,1.69751,17.87009,3.59842,0.0,35.16304,1.6804,0.0,0.0,1.572,0.20275,0.07424,5.16905,0.35215,0.0,0.0,0.0,0.0,5.04932,0.0,0.0,0.0,1.57619,2.41442,0.0,0.0,0.0,0.0,0.0,0.0,6.42313,44.10862,2.38003,6.27479,4.34113,17.02437,3.6263,2.44189,2.02769,12.80842,2.51436,2.37459,1.2343,2.00463,2.11923,0.73003,0.0,0.0,6.42146,4.01789,0.0,0.42462,0.80694,1.67758,8.96212,0.58849,3.41991,2.31176,46.35051,3.50772,0.4492,5.2295,8.88797,0.20287,9.68419,5.19527,0.0,2.03015,7.54552,1.98413,0.0,0.0,8.25187,3.70572,0.042,0.0,2.16836,16.95719,0.0,0.0,5.27393,8.73223,7.34811,4.28192,0.0,1.87293,0.0,6.52167,0.52483,0.96008,15.04446,81.44783,0.0,0.0,0.29551,8.21171,16.7983,2.19654,5.82172,4.20056,5.47998,1.01942,0.13428,4.32818,20.91591,3.03339,2.59395,1.84387,0.0,0.0,1.42059,6.1453,2.04813,9.86892,3.83582,2.33593,2.11487,20.43027,1.0535,6.18892,8.41707,0.0,14.4675,0.0,8.11001,40.43635,0.0,2.8267,4.736,5.49905,51.13164,6.58335,0.0,56.39933,12.53248,0.0,2.37554,28.47924,0.0,4.96099,21.38877,5.06795,0.0,3.61868,1.92885,5.30511,0.0,1.61911,3.10214,1.27083,3.14949,2.76196,25.28032,6.14059,1.40158,31.58009,33.13596,4.38429,0.78703,1.43527,10.02273,9.1279,0.78972,0.77901,1.89157,1.12153,14.06749,5.42765,8.99366,14.77155,4.99659,6.47018,0.95283,5.02376,1.44578,3.97846,2.90995,2.4359,2.93171,8.47661,0.0,2.1958,4.27108,1.9606,29.20336,0.84522,3.0121,5.25719,0.0,11.052,0.93069,1.87882,0.0,12.40404,25.98891,0.0,1.22783,10.34917,4.66675,1.72958,0.54644,0.86175,2.88379,1.60623,1.94893,2.2783,0.38402,0.0,12.28467,13.49236,0.0,0.0,0.0,7.94324,2.31218,1.10073,0.13495,0.0,0.18295,6.28084,0.22726,1.89062,0.69405,0.0,0.65653,4.15813,21.61673,11.74008,22.16549,5.38299,6.60594,0.29918,0.44833,0.77517,0.0,0.0,2.93222
-3.25,2.18072,13.60611,2.53301,17.87009,5.94379,0.0,35.16304,2.63121,0.0,0.0,1.572,0.20275,2.01955,5.16905,0.35215,0.0,0.0,0.0,0.0,3.53818,0.0,0.0,0.0,1.57619,2.41442,0.0,0.0,0.0,0.0,0.0,0.29423,5.56831,46.74656,2.23118,7.90687,4.60511,16.09282,3.2407,2.52147,3.52134,11.65411,2.37563,2.56781,1.51187,1.78207,1.86331,1.03576,2.21296,3.98514,6.42146,4.01789,0.88275,0.42462,22.77962,1.78442,9.19894,0.58849,3.71372,2.17663,51.81947,3.26909,0.4492,5.34045,6.18465,0.21318,9.6842,5.19527,0.0,1.89969,5.89981,1.98413,0.0,0.0,8.25187,8.89237,0.042,7.56105,3.57839,17.01189,0.34511,0.0,5.27393,8.73223,5.89252,3.55477,0.0,2.07615,0.0,5.59288,0.52484,0.98419,15.50959,81.54045,0.0,1.14127,0.4354,8.21171,16.79831,1.75352,4.62585,3.57252,5.47998,2.91597,4.16741,4.32818,20.91591,3.04693,2.43356,2.68791,0.0,0.0,1.45104,7.34651,7.84378,10.07208,3.49639,4.83214,2.11487,20.88221,5.25823,6.89575,8.41882,36.25085,15.84877,0.0,7.01531,40.55975,0.0,3.17571,4.73605,7.00568,51.13167,28.08217,18.20308,56.39933,13.88504,0.0,3.1588,18.27929,0.0,4.73118,21.82473,4.53303,0.0,2.95803,1.92076,5.36425,5.71086,1.5705,3.14187,1.59359,3.38843,2.8397,16.98482,6.14061,1.01442,35.36038,35.05507,4.24257,1.31048,1.2092,6.35564,9.12807,0.85397,0.81664,1.93206,1.04705,14.58422,5.02514,10.72636,15.35801,5.00199,5.47139,1.35424,4.86388,1.44578,3.16051,2.90995,2.59383,2.5545,8.47662,12.83883,2.21797,3.91295,2.14909,29.2038,0.90883,2.69772,4.35322,3.06048,11.44978,4.73478,2.01187,0.0,7.95932,18.77552,0.0,2.03779,10.97422,4.23176,2.96783,0.54644,0.86175,8.9021,3.69138,2.6532,2.2783,1.31244,0.0,12.28467,8.08017,0.0,0.0,0.0,9.05662,2.31218,1.20487,0.13495,0.0,0.18295,4.81958,6.47307,1.95619,1.08714,0.0,0.65653,3.13423,21.61673,11.74008,31.00335,4.2165,3.95275,0.29918,0.44833,0.77517,0.0,0.0,2.94765
-3.0,2.18072,13.86974,2.80969,17.87009,6.05593,0.0,35.26302,3.40617,21.80321,37.02071,5.82567,0.20275,5.616,6.48818,0.35215,0.0,0.0,0.0,3.67212,3.55005,0.0,0.0,0.10394,1.57619,2.41442,4.78017,0.0,0.02105,0.0,0.0,0.29424,4.84163,47.93151,2.14647,9.63362,4.41703,19.08302,3.08837,2.12472,3.51319,15.33043,2.18496,2.73648,1.52237,1.81792,1.86331,1.13639,3.76692,1.82265,5.30372,6.2864,0.8933,0.42462,24.56689,1.78442,9.19895,1.03059,3.71372,2.23597,30.0117,3.2691,0.4492,11.84909,6.28922,2.61066,18.9637,6.52341,0.0,2.02387,6.1973,2.07932,0.0,21.75404,8.25708,6.31231,0.66094,5.70847,3.57451,17.01189,5.67002,17.98139,5.27394,8.73223,5.19562,3.55477,0.0,1.96526,0.0,15.27352,4.59374,0.83028,15.50959,82.04352,0.0,1.14127,0.56057,8.21171,12.69931,2.32474,4.65999,3.62711,6.88877,5.79777,4.40222,11.78453,23.20621,2.70839,2.43356,10.29855,0.0,0.0,5.14437,7.52365,7.88955,10.07208,3.48393,4.86809,2.11487,22.46435,3.9891,7.10613,4.71298,36.25086,16.14628,0.26977,7.33315,41.70328,0.0,2.91793,4.73606,8.7146,51.13179,29.84285,22.9443,56.57869,14.10665,0.0,2.72188,18.42146,8.83915,4.36702,22.09944,3.96288,0.0,2.75049,1.92076,5.56456,12.76874,1.68412,2.43298,1.45968,2.7015,2.86626,17.50003,6.53958,1.49566,27.02113,36.62715,4.65993,2.20633,1.66999,6.04595,9.12807,3.29081,0.73903,1.78595,1.35788,12.9352,4.08608,9.15613,15.30648,5.08091,4.78355,1.42117,4.871,1.97284,3.96054,5.58669,2.77001,2.16355,8.47662,12.8392,2.55461,3.1864,1.87979,29.20388,1.0605,2.83299,4.15149,3.17575,10.08619,3.55292,5.70777,1.26504,7.95932,18.18534,0.0,2.1254,11.29368,4.19905,3.00322,0.5419,0.88498,7.04716,3.47691,4.20851,2.2783,2.67191,6.07369,12.50084,5.56917,1.98089,0.0,0.0,9.05662,3.35397,13.65112,29.72913,0.0,1.19279,23.60624,6.47307,2.83389,1.7451,6.3596,0.65653,3.15004,8.99469,11.74008,20.86452,2.99714,4.45105,8.25081,0.44833,0.77517,0.0,19.59322,3.06997
-2.75,2.48525,11.94047,2.83635,27.75385,5.62841,12.55554,35.26302,3.66207,7.75829,37.02071,5.40617,0.20235,5.911,4.62276,1.59075,17.09735,0.0,0.0,1.84062,3.55005,8.2369,0.0,0.10394,3.70741,2.41442,9.01658,0.0,0.04228,32.11944,11.35918,0.46498,6.47929,54.40253,2.7256,10.82239,4.98189,24.56126,2.92468,3.71562,3.51319,19.83906,2.85369,2.81791,1.96665,2.39962,1.51798,1.27318,3.58009,1.82266,6.98289,5.63124,0.89828,28.18554,20.67598,1.78442,9.82508,1.48628,3.7721,2.16646,21.33503,3.02313,5.3025,9.0047,6.28926,2.10121,18.98787,7.81809,0.0,2.13765,5.89106,2.07933,0.0,21.7543,6.63571,5.73732,4.2627,5.31536,4.04592,12.78246,7.63329,18.40411,5.3714,10.68969,4.54414,8.50452,6.55382,1.85269,20.77401,11.6876,4.51763,2.17642,15.08602,82.04352,6.61283,1.14128,2.43282,5.61514,12.03366,2.29635,5.88235,3.64608,7.25872,8.73856,3.5808,8.04935,19.92587,2.71127,2.43356,8.27044,0.0,20.38421,8.34775,6.93368,7.88955,10.63484,4.73037,5.53584,2.11487,22.69367,3.38498,10.08666,3.90936,26.42694,17.64305,2.68253,10.81573,41.98348,0.0,2.44952,2.43164,8.70614,51.13181,29.8433,17.02366,65.36069,14.81947,27.66941,2.20072,18.72807,21.48914,4.09339,22.39712,3.85989,0.0,2.58432,1.61922,3.6834,16.39791,1.8392,2.69035,1.74452,3.61541,2.22948,18.60157,7.21519,1.42308,27.84501,26.87622,5.00612,1.64383,1.6235,4.92382,6.39702,4.07411,4.40346,1.62154,1.29273,12.91428,4.03124,9.14601,14.53038,4.81396,3.80267,2.03508,4.77672,1.97284,11.29529,6.56682,3.96234,2.3899,8.65037,27.49887,4.31899,2.94534,1.76851,30.14478,1.65289,2.66691,5.21018,2.46947,10.11108,3.44127,4.39064,0.54509,8.17636,18.1907,45.89466,2.14048,16.64279,3.83988,2.76757,3.08588,1.12885,7.75162,3.27775,5.11433,6.70006,3.88537,10.98794,12.50084,5.60307,1.98089,20.8288,1.02405,9.05662,3.97655,13.65112,29.72914,0.0,1.96659,23.60624,4.19628,2.9067,1.7451,5.22077,9.5504,3.15004,10.21848,11.95959,23.09522,2.62643,3.80304,12.56009,7.32408,0.93918,32.51598,19.59322,2.72429
