,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.10693,0.05646,0.15666,0.07611,0.07411,0.07143,0.05743,0.0,0.06307,0.0,0.06615,0.0,0.0,0.0,0.06849,0.0,0.0,0.0,0.06506,0.0,0.12273,0.16906,0.0,0.0,0.10509,0.0,0.0,0.0,0.0,0.09265,0.06356,0.09815,0.24354,0.21497,0.24971,0.10785,0.20802,0.62737,0.10556,0.07812,0.29572,0.326,0.20646,0.09167,0.10092,0.33837,0.07389,0.06938,0.0,0.06558,0.0,0.0,0.0,0.0,0.07775,0.14053,0.09321,0.05737,0.0,0.12251,0.07136,0.08021,0.06475,0.0,0.06028,0.0,0.06232,0.0,0.07894,0.09945,0.10091,0.11079,0.79522,0.17618,0.0928,0.08041,0.08051,0.14225,0.07431,0.08353,0.08176,0.11897,0.09889,0.11686,0.0,0.06241,0.08071,0.06924,0.09717,0.0,0.0,0.0,0.0,0.0,0.07731,0.12119,0.0,0.15442,0.1824,0.35802,0.16324,0.12988,0.0,0.12981,0.0,0.0,0.06736,0.0,0.10154,0.0,0.11841,0.10953,0.0,0.08886,0.14292,0.10179,0.09002,0.0669,0.21165,0.16163,0.0,0.06502,0.06319,0.10521,0.10933,0.0,0.3598,0.0,0.4053,0.24554,1.18925,1.18926,0.0,0.0,0.55765,0.0,0.0,0.15961,0.23353,1.23176,0.0,0.0,0.0,0.62914,0.17212,0.10043,0.06639,0.08102,1.00435,0.29973,0.10942,0.11823,0.1753,0.72265,0.25257,0.08467,0.83132,0.69255,0.21776,0.22447,0.14942,0.10269,0.24827,0.08935,0.08414,0.12211,0.09588,0.31582,0.37026,0.25689,0.19705,0.08775,0.11559,0.07452,0.08454,0.06606,0.07617,0.08717,0.07885,0.07441,0.14604,0.3553,0.44444,0.32845,0.16912,0.12076,0.09779,0.06937,0.17737,0.06641,0.10944,0.11453,0.06713,0.07771,0.08488,0.0,0.0,0.08188,0.25094,0.31621,0.10749,0.16035,0.08061,0.0,0.06006,0.08518,0.06421,0.0,0.10101,0.08942,0.0,0.14334,0.11579,0.0,0.0,0.0,0.0957,0.48831,0.0698,0.12781,0.06635,0.0,0.0756,0.11002,0.06602,0.07367,0.07575,0.0,0.16902,0.06961,0.10966,0.31923,0.091,0.06472,0.0,0.0,0.09892,0.13215
-4.75,0.06632,0.05646,0.15666,0.07317,0.07745,0.06584,0.05743,0.0,0.06276,0.0,0.06615,0.0,0.0,0.06143,0.06849,0.0,0.0,0.0,0.06506,0.0,0.11761,0.16906,0.0,0.0,0.10066,0.06146,0.0,0.0,0.0,0.09125,0.06356,0.08871,0.23353,0.19927,0.24125,0.10097,0.20032,0.55124,0.10556,0.07658,0.28069,0.30819,0.19771,0.09014,0.07604,0.3188,0.07389,0.06922,0.0,0.05937,0.0,0.0,0.0,0.05068,0.06295,0.13456,0.09321,0.05487,0.06462,0.11759,0.06355,0.08021,0.05883,0.0,0.05514,0.0,0.06232,0.0,0.07485,0.09945,0.09917,0.10949,0.76031,0.17107,0.0928,0.08041,0.08051,0.13811,0.07431,0.08353,0.07131,0.11897,0.09889,0.11394,0.0,0.05913,0.08071,0.06775,0.0792,0.06119,0.0,0.0,0.0,0.0,0.07653,0.11499,0.07539,0.15317,0.18006,0.34654,0.15771,0.12988,0.07441,0.12981,0.0,0.0,0.06736,0.0,0.09789,0.0,0.09778,0.10953,0.0,0.08886,0.14193,0.09566,0.08586,0.06386,0.20553,0.15852,0.0,0.06238,0.06319,0.10236,0.10395,0.0,0.35257,0.0,0.38968,0.23517,1.14911,1.15369,0.0,0.0,0.53713,0.0,0.0,0.15403,0.22038,1.16968,0.0,0.44299,0.41461,0.6235,0.1636,0.09694,0.06478,0.07787,0.95416,0.29205,0.10942,0.11783,0.1753,0.70221,0.24098,0.08041,0.76509,0.65552,0.21119,0.21637,0.14309,0.09052,0.2395,0.08659,0.07875,0.11341,0.07461,0.30408,0.35059,0.24684,0.19632,0.08775,0.11468,0.07398,0.08039,0.06252,0.07216,0.08051,0.07885,0.07209,0.12934,0.34583,0.42321,0.31346,0.16764,0.1135,0.06173,0.06542,0.17273,0.06641,0.10841,0.10606,0.06713,0.07771,0.06979,0.0,0.0,0.07851,0.23252,0.29849,0.10133,0.15266,0.07814,0.05061,0.06006,0.08214,0.06421,0.0,0.10101,0.0781,0.06728,0.14334,0.10729,0.0,0.0,0.0,0.0957,0.48831,0.0698,0.09282,0.06484,0.0,0.0756,0.10986,0.06615,0.07367,0.07575,0.0,0.16349,0.06818,0.10263,0.28071,0.08821,0.06472,0.0,0.0,0.098,0.1269
-4.5,0.0613,0.05025,0.15666,0.07317,0.07145,0.06184,0.05525,0.0,0.05578,0.0,0.07158,0.0,0.0,0.05726,0.06514,0.05922,0.0,0.04648,0.08988,0.0,0.11158,0.16906,0.08235,0.0,0.10066,0.06146,0.0,0.0,0.0,0.08756,0.06356,0.08142,0.23019,0.1921,0.22716,0.09821,0.18886,0.5301,0.09209,0.07223,0.27046,0.28457,0.18504,0.08915,0.07604,0.28954,0.07389,0.06922,0.0,0.05937,0.0,0.0,0.0,0.05068,0.06108,0.12964,0.09321,0.05487,0.06603,0.11247,0.06104,0.08021,0.05843,0.0,0.05514,0.0,0.05762,0.0,0.07432,0.09248,0.09777,0.10138,0.70591,0.16723,0.07724,0.06838,0.08051,0.13811,0.06346,0.08353,0.07131,0.11897,0.09334,0.11267,0.0,0.05473,0.08071,0.06469,0.0792,0.06119,0.0,0.0,0.0,0.0,0.07653,0.10975,0.07539,0.14108,0.15451,0.32585,0.15127,0.12988,0.07441,0.12981,0.0,0.0,0.06736,0.0,0.09341,0.07843,0.08273,0.10953,0.0,0.08886,0.13434,0.09099,0.08425,0.06386,0.19176,0.15089,0.0,0.06181,0.06319,0.09288,0.09715,0.0,0.32375,0.0,0.38204,0.21962,1.14911,1.07258,0.0,0.0,0.50492,0.5009,0.5848,0.14796,0.21037,1.11305,0.63346,0.43431,0.38784,0.55886,0.1593,0.09123,0.06183,0.07311,0.91807,0.27591,0.09032,0.11301,0.1753,0.70221,0.21927,0.07423,0.74095,0.63036,0.21119,0.21209,0.13982,0.08848,0.23074,0.08659,0.08141,0.11025,0.07226,0.29001,0.33481,0.23264,0.15654,0.08359,0.10724,0.07378,0.08039,0.06252,0.06354,0.08051,0.07386,0.07202,0.1243,0.34049,0.39798,0.31346,0.15811,0.10407,0.06115,0.0632,0.16187,0.06006,0.10841,0.10495,0.06713,0.07771,0.0697,0.0,0.39495,0.07523,0.22737,0.29849,0.09693,0.14907,0.07776,0.05061,0.05358,0.07366,0.06172,0.0,0.06697,0.07355,0.06728,0.14334,0.10729,0.0,0.0,0.0,0.0957,0.37243,0.0698,0.09038,0.06484,0.0,0.07095,0.10393,0.06383,0.07367,0.07669,0.0,0.16349,0.06492,0.09797,0.27538,0.08807,0.06472,0.0,0.05717,0.09259,0.12483
-4.25,0.0613,0.05087,0.15232,0.06896,0.07097,0.0607,0.05449,0.0,0.05578,0.0,0.06426,0.0,0.0,0.05818,0.05804,0.05922,0.0,0.04648,0.07902,0.05603,0.11158,0.16906,0.08235,0.0,0.10066,0.06146,0.0,0.05999,0.0,0.08616,0.06356,0.07757,0.20122,0.17905,0.21668,0.09378,0.17806,0.50776,0.09209,0.06794,0.27046,0.27186,0.1774,0.08013,0.07014,0.27576,0.07389,0.06161,0.0,0.05612,0.0,0.0,0.0,0.04877,0.06108,0.12157,0.08518,0.05487,0.06603,0.10515,0.06104,0.07479,0.05843,0.0459,0.05514,0.05822,0.05198,0.0,0.07432,0.08355,0.08646,0.0976,0.67453,0.15912,0.07496,0.06838,0.08051,0.12336,0.06346,0.06815,0.07131,0.11897,0.09309,0.10366,0.0,0.05195,0.08071,0.06148,0.07568,0.06122,0.0,0.0531,0.04789,0.05958,0.07204,0.1065,0.068,0.13312,0.15187,0.31453,0.13913,0.12349,0.07441,0.12377,0.0,0.0,0.05958,0.0,0.08557,0.07596,0.08273,0.10953,0.0,0.08886,0.12911,0.08895,0.0814,0.0618,0.17897,0.14447,0.0,0.05987,0.0587,0.09084,0.09715,0.094,0.31348,0.61825,0.34847,0.20874,1.02849,1.01987,4.17224,0.66516,0.47914,0.48961,0.55049,0.14452,0.20371,1.08505,0.63346,0.406,0.36729,0.52443,0.15592,0.08019,0.06095,0.0715,0.85848,0.26365,0.08342,0.11088,0.16501,0.62104,0.21027,0.07124,0.70166,0.59722,0.21119,0.21555,0.12439,0.08848,0.21268,0.07686,0.07812,0.10015,0.07348,0.27876,0.31513,0.22616,0.15066,0.07678,0.10366,0.07008,0.07399,0.06043,0.06354,0.08016,0.06465,0.06992,0.11915,0.32131,0.37497,0.31587,0.15395,0.09926,0.05691,0.05905,0.13775,0.06006,0.1073,0.10005,0.06713,0.06796,0.06871,0.0,0.37625,0.07006,0.21245,0.26729,0.09404,0.14762,0.07385,0.04936,0.05166,0.07084,0.05858,0.0,0.06697,0.06006,0.06728,0.14334,0.10729,0.0,0.0,0.05932,0.0957,0.36219,0.06063,0.09038,0.06484,0.06125,0.06698,0.09748,0.06383,0.06644,0.07302,0.0,0.1601,0.06294,0.09409,0.25252,0.08254,0.06472,0.0,0.05717,0.08904,0.12225
-4.0,0.0613,0.04776,0.14746,0.06244,0.07085,0.0577,0.04993,0.04628,0.05578,0.0,0.05845,0.0,0.0,0.05818,0.05764,0.05313,0.0,0.04648,0.0778,0.05603,0.11158,0.16906,0.08235,0.0,0.0865,0.06146,0.0,0.05999,0.05608,0.08616,0.05155,0.07666,0.19527,0.16981,0.20939,0.09122,0.16948,0.47267,0.0882,0.06391,0.28293,0.24888,0.16564,0.07567,0.06348,0.26576,0.07389,0.06098,0.0,0.05441,0.0,0.0,0.0,0.04649,0.05426,0.11588,0.07913,0.05307,0.05787,0.09349,0.05689,0.07195,0.05125,0.04175,0.05514,0.05822,0.05118,0.0,0.06862,0.07955,0.07921,0.09173,0.63758,0.14696,0.07169,0.06838,0.08051,0.12336,0.06346,0.05935,0.06664,0.11897,0.09309,0.09982,0.0,0.05152,0.0695,0.05773,0.07568,0.06122,0.06567,0.0531,0.04665,0.05649,0.07068,0.10202,0.06589,0.12896,0.1446,0.29466,0.1361,0.1064,0.07155,0.09973,0.0534,0.05138,0.05104,0.0,0.08236,0.0693,0.07635,0.10953,0.0,0.08886,0.12182,0.08469,0.07856,0.05852,0.17247,0.13577,0.0,0.05387,0.05619,0.08659,0.0926,0.09075,0.30586,0.57933,0.33021,0.19835,0.9766,0.95251,3.92918,0.63398,0.45013,0.46968,0.52257,0.13198,0.19398,1.01613,0.63346,0.38151,0.35444,0.4975,0.1456,0.07412,0.05792,0.06854,0.80031,0.243,0.07808,0.10171,0.15219,0.58197,0.20388,0.06957,0.67172,0.55743,0.19634,0.20983,0.11843,0.08148,0.2005,0.07312,0.07812,0.09958,0.06844,0.25692,0.29566,0.21941,0.14867,0.06969,0.08025,0.06771,0.0692,0.06043,0.05899,0.08016,0.06171,0.06798,0.11015,0.29175,0.35454,0.28418,0.14681,0.08676,0.05691,0.05667,0.1346,0.06006,0.09048,0.09821,0.05683,0.06239,0.06843,0.42493,0.35105,0.06518,0.20194,0.25117,0.08853,0.12867,0.07385,0.04766,0.04969,0.06187,0.05583,0.0,0.06544,0.06029,0.06728,0.14334,0.10729,0.0,0.0,0.0597,0.0957,0.35529,0.06007,0.0765,0.06484,0.06125,0.05809,0.09748,0.06383,0.06343,0.06822,0.58148,0.14838,0.06006,0.09195,0.23917,0.08229,0.05868,0.0,0.05393,0.08904,0.12138
-3.75,0.05535,0.05424,0.14746,0.06337,0.06435,0.05501,0.04673,0.04356,0.05578,0.04806,0.05764,0.0,0.0,0.05548,0.05423,0.05303,0.0,0.04483,0.07469,0.0503,0.11158,0.16906,0.08235,0.0,0.07753,0.04872,0.0,0.05843,0.05608,0.08616,0.04429,0.07321,0.183,0.15876,0.20152,0.09067,0.15957,0.46034,0.07416,0.06026,0.28293,0.23502,0.15658,0.07024,0.0594,0.25115,0.07389,0.05855,0.0,0.0492,0.03516,0.04785,0.05167,0.04565,0.05348,0.1088,0.0733,0.05035,0.05371,0.08662,0.0548,0.06761,0.04844,0.04124,0.05514,0.05822,0.05039,0.03867,0.06448,0.07742,0.07674,0.08901,0.59301,0.13974,0.06976,0.06489,0.07121,0.11099,0.05705,0.0572,0.06169,0.11897,0.08493,0.09243,0.07292,0.04819,0.05702,0.05451,0.06765,0.06122,0.06567,0.0531,0.04665,0.0655,0.07033,0.10164,0.06261,0.12242,0.14227,0.27497,0.1316,0.10351,0.06546,0.08278,0.05084,0.0493,0.05104,0.04695,0.07975,0.0693,0.07288,0.07815,0.04624,0.0556,0.11392,0.07786,0.07323,0.05569,0.15822,0.12682,0.0,0.05324,0.04981,0.07555,0.08522,0.08269,0.2791,0.56722,0.31105,0.18451,0.93619,0.90861,3.76357,0.62189,0.43151,0.441,0.48816,0.12883,0.18546,0.94468,0.56274,0.36161,0.33014,0.46207,0.14218,0.06968,0.05592,0.06593,0.74817,0.22753,0.0755,0.09855,0.14722,0.55995,0.19377,0.0635,0.60349,0.53456,0.18475,0.17947,0.11041,0.07808,0.197,0.06404,0.07812,0.09513,0.06718,0.24621,0.27891,0.19401,0.14867,0.06962,0.07978,0.06266,0.06584,0.06043,0.05694,0.07304,0.06067,0.06539,0.11015,0.26209,0.34112,0.27533,0.13659,0.07927,0.05543,0.05469,0.13092,0.04995,0.08839,0.09545,0.05471,0.05934,0.0659,0.39655,0.32918,0.06366,0.19575,0.24651,0.07639,0.12338,0.06914,0.05033,0.04686,0.05704,0.05219,0.0,0.05783,0.05852,0.06728,0.14334,0.08706,0.0,0.05174,0.05976,0.0957,0.32175,0.05651,0.07492,0.06484,0.06125,0.05536,0.09213,0.06042,0.05315,0.06124,0.54543,0.14409,0.05735,0.0857,0.23396,0.0745,0.05848,0.04637,0.05335,0.0738,0.11756
-3.5,0.04694,0.05272,0.13494,0.06337,0.06008,0.05167,0.0431,0.04086,0.04243,0.05379,0.05405,0.05401,0.0,0.05309,0.04744,0.05021,0.0,0.04483,0.07469,0.04519,0.06124,0.16906,0.08235,0.0,0.06903,0.04663,0.0,0.05535,0.05141,0.08616,0.04429,0.06811,0.17422,0.15215,0.18698,0.08289,0.15034,0.40637,0.06937,0.05578,0.21574,0.22521,0.1483,0.06692,0.05282,0.22909,0.07389,0.05594,0.0,0.04629,0.03399,0.04613,0.04889,0.04376,0.05135,0.10205,0.07083,0.04709,0.05121,0.07995,0.04874,0.06331,0.04723,0.03881,0.04678,0.04819,0.04618,0.03992,0.05799,0.0727,0.0713,0.08415,0.55602,0.13151,0.06394,0.06489,0.06614,0.10349,0.05548,0.0572,0.0602,0.11897,0.08146,0.08263,0.07123,0.0456,0.05307,0.05451,0.06765,0.04838,0.05953,0.0531,0.0414,0.05804,0.06692,0.09862,0.06116,0.11161,0.14227,0.2589,0.12489,0.09909,0.06546,0.08278,0.05084,0.04656,0.04789,0.04695,0.07365,0.06433,0.07288,0.07815,0.05375,0.05104,0.10174,0.06965,0.07108,0.05489,0.15221,0.12114,0.0,0.05021,0.04885,0.0742,0.07834,0.07859,0.26171,0.53539,0.29507,0.17429,0.8635,0.85796,3.5912,0.59048,0.40445,0.40047,0.45485,0.12245,0.16996,0.88411,0.53534,0.34348,0.30166,0.4504,0.13119,0.06563,0.05189,0.06124,0.71346,0.21244,0.07264,0.08932,0.13423,0.52428,0.19103,0.0611,0.5603,0.50225,0.17782,0.17476,0.10149,0.0737,0.18663,0.06092,0.0716,0.08972,0.06406,0.22611,0.26457,0.18746,0.14284,0.06577,0.07704,0.06045,0.06109,0.05151,0.05273,0.07304,0.05696,0.05759,0.10427,0.2524,0.31435,0.25105,0.13141,0.07383,0.0506,0.05232,0.1155,0.0448,0.08636,0.09554,0.05245,0.05197,0.06191,0.37033,0.3045,0.06161,0.17582,0.2215,0.07804,0.11721,0.06893,0.0497,0.04744,0.05363,0.04567,0.0,0.05783,0.05713,0.06728,0.1122,0.07562,0.04529,0.07806,0.05785,0.0957,0.30461,0.05651,0.07178,0.05695,0.04857,0.05472,0.08725,0.06042,0.05223,0.05977,0.51877,0.13956,0.05506,0.082,0.22037,0.06964,0.05502,0.04637,0.05201,0.07311,0.10639
-3.25,0.04102,0.04634,0.11622,0.05535,0.05632,0.0494,0.03958,0.03867,0.04093,0.04607,0.04536,0.05401,0.04326,0.05137,0.04263,0.04686,0.0,0.04483,0.07469,0.04593,0.05366,0.11271,0.08235,0.0,0.06356,0.04541,0.03893,0.0492,0.04874,0.08616,0.04429,0.06321,0.16687,0.14618,0.17667,0.06954,0.13514,0.38314,0.06721,0.05409,0.19335,0.20624,0.13903,0.06568,0.0503,0.21841,0.05681,0.04967,0.0465,0.04443,0.03355,0.04613,0.04889,0.04376,0.04874,0.0962,0.06431,0.04169,0.04718,0.07198,0.04743,0.0587,0.04496,0.03672,0.04034,0.05657,0.04405,0.03752,0.05633,0.06748,0.06657,0.07957,0.52209,0.12473,0.06226,0.0522,0.06614,0.09307,0.05548,0.05408,0.05373,0.05637,0.06802,0.07586,0.07123,0.0439,0.05035,0.05179,0.06171,0.04644,0.05953,0.04691,0.0414,0.05804,0.06338,0.09639,0.05959,0.10812,0.1459,0.24331,0.11662,0.08526,0.06015,0.07451,0.04855,0.045,0.04487,0.04596,0.07204,0.06085,0.07288,0.0682,0.05375,0.04534,0.09637,0.06444,0.06677,0.04854,0.13795,0.11232,0.04407,0.05034,0.04639,0.07314,0.07013,0.07872,0.24498,0.49677,0.26974,0.16085,0.78714,0.79256,3.26968,0.51594,0.36915,0.37252,0.42172,0.11267,0.16388,0.83945,0.51803,0.31685,0.27642,0.42782,0.12194,0.0624,0.04604,0.05478,0.67008,0.19958,0.0675,0.08731,0.12382,0.49233,0.17921,0.058,0.53156,0.45701,0.16628,0.17264,0.09589,0.06906,0.15659,0.05488,0.06407,0.08787,0.06195,0.21588,0.24596,0.17852,0.14284,0.06265,0.07224,0.05645,0.05685,0.04371,0.04765,0.06351,0.05213,0.05427,0.09359,0.22796,0.28829,0.21078,0.10985,0.06811,0.05023,0.04958,0.11131,0.04388,0.0788,0.07428,0.05188,0.0472,0.05192,0.34617,0.28455,0.05646,0.16941,0.20541,0.0736,0.11373,0.06437,0.04422,0.04338,0.05278,0.0433,0.0,0.04979,0.05466,0.06728,0.09709,0.07124,0.04491,0.0713,0.05785,0.0957,0.30461,0.05018,0.05502,0.04981,0.04389,0.05157,0.082,0.05531,0.05065,0.05784,0.47035,0.12627,0.05313,0.07862,0.21228,0.06581,0.06122,0.04637,0.04782,0.07059,0.10249
-3.0,0.03496,0.04607,0.09912,0.04831,0.05785,0.04634,0.03829,0.03625,0.03932,0.04056,0.0454,0.05401,0.04011,0.04895,0.04263,0.04601,0.04125,0.04048,0.05963,0.04178,0.0523,0.11047,0.08235,0.0,0.0598,0.05118,0.04066,0.04312,0.0462,0.07023,0.0359,0.0587,0.1551,0.13069,0.16546,0.06715,0.13256,0.3516,0.06234,0.04998,0.18071,0.19079,0.12891,0.05971,0.04486,0.19655,0.05543,0.04876,0.04465,0.04191,0.03189,0.05028,0.04375,0.03896,0.0471,0.08838,0.05839,0.04122,0.04174,0.06717,0.04423,0.05506,0.04334,0.03441,0.03712,0.05657,0.03788,0.03609,0.0551,0.06396,0.05517,0.07208,0.48409,0.11877,0.05646,0.04429,0.05834,0.08874,0.05076,0.04898,0.04696,0.05217,0.06296,0.07062,0.06279,0.04101,0.04713,0.047,0.05514,0.04408,0.05773,0.04308,0.04203,0.05369,0.05504,0.09409,0.05553,0.10219,0.12949,0.2204,0.10321,0.08661,0.06056,0.07412,0.04941,0.04236,0.04168,0.0431,0.06891,0.05533,0.07288,0.04472,0.04528,0.04323,0.08782,0.06017,0.06309,0.04119,0.13474,0.10557,0.04407,0.04685,0.04328,0.06793,0.06441,0.06947,0.22366,0.45417,0.253,0.14877,0.72659,0.73316,3.13418,0.47692,0.34637,0.34118,0.39253,0.10564,0.1536,0.76833,0.41471,0.28781,0.25569,0.38644,0.11549,0.05574,0.04438,0.05143,0.60651,0.18372,0.06191,0.08279,0.10902,0.45758,0.16236,0.05458,0.48715,0.42023,0.15224,0.16662,0.09153,0.06461,0.14367,0.05128,0.06032,0.08099,0.05662,0.19801,0.23062,0.15953,0.13142,0.05756,0.07044,0.054,0.0523,0.04163,0.04488,0.0556,0.04816,0.0518,0.08891,0.21269,0.26807,0.19901,0.10093,0.06252,0.04222,0.04569,0.10654,0.04204,0.07612,0.06689,0.04729,0.04342,0.04574,0.3254,0.26537,0.05192,0.15568,0.19845,0.07062,0.105,0.05055,0.04036,0.0425,0.05041,0.03603,0.0351,0.04171,0.04998,0.04601,0.08593,0.06757,0.04059,0.0577,0.05265,0.08407,0.30461,0.04707,0.05475,0.04138,0.03931,0.04947,0.07365,0.04988,0.04792,0.05289,0.42744,0.11126,0.05004,0.07201,0.19623,0.06187,0.06101,0.04253,0.04378,0.05588,0.09327
-2.75,0.03233,0.03815,0.0853,0.04498,0.05136,0.04196,0.03406,0.03222,0.03779,0.03884,0.04115,0.05401,0.03985,0.04341,0.0375,0.04404,0.0378,0.03446,0.05142,0.03867,0.04617,0.07969,0.06739,0.05218,0.05698,0.03905,0.03851,0.04135,0.0424,0.06294,0.03428,0.05462,0.13996,0.1179,0.14582,0.06333,0.12329,0.32741,0.05673,0.04665,0.16879,0.17751,0.11709,0.05682,0.03895,0.18947,0.04957,0.04252,0.04131,0.03788,0.03024,0.04663,0.04412,0.03751,0.03999,0.08354,0.05194,0.03968,0.03959,0.05947,0.04139,0.05087,0.04068,0.03319,0.0345,0.04944,0.03665,0.03343,0.04586,0.05794,0.04389,0.06651,0.44305,0.11074,0.05199,0.04101,0.05214,0.08273,0.03988,0.04524,0.04522,0.04298,0.05761,0.06417,0.0525,0.0366,0.04528,0.04466,0.05416,0.03999,0.05337,0.03481,0.03702,0.04758,0.0518,0.08712,0.04976,0.09323,0.11532,0.20499,0.09792,0.07942,0.0533,0.06775,0.04392,0.03903,0.0402,0.03617,0.06572,0.04984,0.07288,0.04013,0.03984,0.03942,0.08233,0.04794,0.05884,0.04014,0.12112,0.09561,0.03601,0.04317,0.04078,0.06525,0.05947,0.06569,0.20716,0.41977,0.23358,0.13841,0.65866,0.67519,2.73358,0.43724,0.31791,0.31766,0.36114,0.09833,0.1417,0.70407,0.38002,0.2678,0.24286,0.3513,0.10743,0.05101,0.04038,0.0478,0.55637,0.17149,0.05798,0.07914,0.09829,0.41167,0.15001,0.04987,0.44421,0.39079,0.14406,0.15818,0.08373,0.05858,0.13641,0.04603,0.06216,0.07593,0.05204,0.18153,0.2151,0.14854,0.10931,0.05418,0.0612,0.04804,0.04857,0.03914,0.04135,0.048,0.04461,0.0491,0.0804,0.19755,0.24817,0.17646,0.09522,0.05905,0.03945,0.04236,0.10104,0.03816,0.0724,0.06379,0.04418,0.0398,0.04339,0.29815,0.24427,0.04975,0.14064,0.1757,0.06429,0.08995,0.04493,0.0351,0.03716,0.04753,0.03416,0.03373,0.03856,0.04533,0.04016,0.06841,0.05659,0.03883,0.05264,0.05021,0.08407,0.30461,0.0465,0.04918,0.0388,0.03857,0.04351,0.07044,0.04586,0.0436,0.04424,0.39416,0.10425,0.04512,0.06448,0.1658,0.05774,0.05185,0.03669,0.03944,0.05062,0.08545
