,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.05047,0.0,0.06311,0.0,0.05301,0.0,0.0761,0.05224,0.0,0.0,0.0,0.06961,0.0,0.06734,0.06603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654,0.0,0.0647,0.0,0.06997,0.12786,0.0,0.0,0.09539,0.08722,0.0,0.08028,0.09527,0.0,0.0,0.0,0.0,0.06345,0.0,0.0,0.0,0.0,0.19417,0.1426,0.07062,0.07188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09131,0.0,0.06474,0.05705,0.05692,0.0,0.0,0.07389,0.0,0.0,0.0,0.05719,0.07231,0.0,0.0,0.0,0.27652,0.0672,0.0,0.0,0.1002,0.0,0.05756,0.0,0.10487,0.0,0.0,0.0,0.0,0.06947,0.15213,0.0,0.0539,0.16667,0.09345,0.0,0.0,0.0,0.0,0.0,0.07293,0.08424,0.0,0.0,0.0,0.0,0.06384,0.0,0.16385,0.08005,0.0717,0.06666,0.0,0.0,0.06508,0.0,0.0,0.23753,0.0,0.1168,0.0,0.0,0.05982,0.23013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611,0.38445,0.0,0.13976,0.0,0.15547,0.0,0.08703,0.07652,0.06398,0.0,0.09416,0.09131,0.07551,0.06817,0.14015,0.0,0.36086,0.05688,0.0,0.0,0.1864,0.05684,0.05449,0.05211,0.17423,0.0,0.0,0.06272,0.06639,0.0,0.10591,0.18186,0.0,0.14519,0.1179,0.10676,0.10085,0.0,0.0,0.0,0.0,0.0,0.1315,0.0,0.06702,0.0,0.08381,0.37999,0.0,0.0,0.0,0.0,0.0,0.05684,0.0,0.0,0.48546,0.32761,0.0,0.06581,0.0,0.10442,0.06769,0.0,0.07566,0.0,0.056,0.0,0.0,0.0,0.0,0.13062,0.06674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822,0.0,0.0,0.07101,0.0,0.0,0.0,0.07943,0.31357,0.0,0.0,0.12225,0.06207,0.0,0.0,0.06336,0.0,0.0,0.09605
-4.75,0.05047,0.0,0.06311,0.0,0.05301,0.0,0.0562,0.05072,0.0,0.0,0.0,0.06961,0.03966,0.06734,0.06603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05654,0.0,0.0647,0.0,0.06375,0.12137,0.0,0.0,0.08774,0.08722,0.05289,0.08028,0.09527,0.0,0.0,0.0,0.0,0.06345,0.0,0.0,0.0,0.0,0.19417,0.1426,0.07062,0.06753,0.0,0.0,0.0459,0.0,0.0,0.0,0.0,0.09131,0.0,0.06474,0.05705,0.0587,0.0,0.0,0.07453,0.0,0.0,0.0,0.05719,0.07231,0.0,0.0,0.0,0.27652,0.06411,0.0,0.0,0.0875,0.0,0.05756,0.0,0.10487,0.0,0.0,0.0,0.0,0.06947,0.15213,0.0,0.0539,0.16667,0.09345,0.0,0.0,0.0,0.0,0.0,0.07493,0.08836,0.0,0.0,0.0,0.0,0.06384,0.0,0.14484,0.08032,0.06608,0.06666,0.0,0.0,0.06508,0.0,0.0,0.23753,0.0,0.11492,0.0,0.0,0.0579,0.23013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08611,0.36724,0.0,0.1338,0.0,0.13888,0.0,0.07632,0.07251,0.05507,0.0,0.08902,0.09032,0.07478,0.06817,0.12254,0.56278,0.32704,0.05688,0.0,0.0,0.17761,0.05684,0.05449,0.05211,0.17423,0.0,0.0,0.06272,0.06639,0.0,0.10136,0.18186,0.0,0.14338,0.1179,0.10676,0.07893,0.0,0.05384,0.0,0.0,0.0,0.12072,0.0,0.06528,0.119,0.07272,0.3588,0.0,0.0,0.0,0.0,0.13773,0.05684,0.05412,0.0,0.48546,0.30933,0.0,0.06581,0.0,0.10235,0.06769,0.0,0.07566,0.04979,0.056,0.0,0.0,0.0,0.0,0.13062,0.06674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822,0.0,0.0,0.07101,0.06371,0.0,0.0,0.07943,0.31357,0.0,0.0,0.11171,0.06207,0.0,0.0,0.06263,0.0,0.0,0.0881
-4.5,0.04663,0.0,0.05994,0.0,0.05714,0.0,0.0562,0.04737,0.0,0.0,0.0,0.06961,0.03966,0.06414,0.06603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61438,0.05654,0.0,0.06376,0.0,0.06375,0.12137,0.0,0.0,0.08496,0.07061,0.05289,0.08028,0.0919,0.05802,0.0,0.0,0.0,0.06345,0.0,0.0,0.09839,0.0,0.17554,0.11016,0.07062,0.06387,0.0,0.0,0.0459,0.0,0.0,0.0,0.0,0.09131,0.0,0.06013,0.05705,0.05574,0.0,0.0,0.07128,0.05605,0.0,0.0,0.05719,0.07231,0.0,0.0,0.0,0.2035,0.06103,0.0,0.0,0.08564,0.0,0.05756,0.0,0.10487,0.0,0.0,0.0,0.0,0.06947,0.15213,0.0,0.05178,0.16667,0.0814,0.0,0.0,0.0,0.0,0.0,0.07104,0.08668,0.0,0.0,0.0,0.0,0.06384,0.0,0.14263,0.07698,0.06496,0.06666,0.0,0.0,0.05708,0.0,0.0,0.21991,0.0,0.11296,0.0,0.0,0.05626,0.21375,0.0,2.77839,0.0,0.0,0.0,0.0,0.0,0.07642,0.3645,0.0,0.1297,0.33547,0.13888,0.0,0.07632,0.06527,0.05507,0.0,0.08782,0.08462,0.06982,0.06817,0.1162,0.56278,0.2747,0.05688,0.0,0.0,0.17761,0.05211,0.05141,0.05211,0.15154,0.05434,0.0,0.06272,0.06194,0.0,0.09325,0.16936,0.0,0.12548,0.1179,0.10676,0.07893,0.0,0.05243,0.0,0.0,0.0,0.11444,0.0,0.06287,0.11116,0.07125,0.34897,0.05343,0.0,0.0,0.0,0.13334,0.07262,0.05303,0.0,0.44207,0.29177,0.0,0.05842,0.0,0.10235,0.06219,0.0,0.07566,0.04979,0.05143,0.03863,0.0,0.06373,0.0,0.10238,0.06674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822,0.0,0.0,0.06491,0.06371,0.0,0.0,0.06424,0.31357,0.27738,0.0,0.10891,0.06207,0.0,0.0,0.06055,0.0,0.0,0.0881
-4.25,0.04663,0.0,0.05629,0.0,0.05714,0.0,0.0562,0.04788,0.0,0.0,0.0,0.05933,0.03966,0.06018,0.06603,0.0,0.0,0.0,0.0,0.05673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61438,0.05654,0.0,0.06192,0.0,0.06058,0.11844,0.0,0.0,0.0836,0.06869,0.05289,0.07179,0.08285,0.05802,0.0,0.0,0.0,0.06272,0.0,0.0,0.09839,0.04806,0.16664,0.11016,0.06,0.05838,0.0,0.0,0.0459,0.0,0.0,0.0,0.0,0.06609,0.0,0.05893,0.05096,0.05574,0.0,0.0,0.06888,0.05444,0.05785,0.0,0.0518,0.06855,0.0,0.0,0.0,0.2035,0.06103,0.0,0.0,0.07704,0.0,0.05756,0.0,0.10487,0.0,0.0,0.0,0.0,0.06947,0.10344,0.0,0.0505,0.16667,0.07959,0.0,0.0,0.0,0.05434,0.0,0.06751,0.08668,0.0,0.0,0.0,0.0,0.06384,0.0,0.14263,0.07698,0.06384,0.06666,0.0,0.05736,0.05341,0.04398,0.0,0.20747,0.0,0.11038,0.0,0.0,0.05328,0.20191,0.0,2.64775,0.0,0.0,0.37427,0.0,0.0,0.07642,0.34092,0.0,0.1183,0.30757,0.1245,0.0,0.07011,0.06527,0.05507,0.0,0.08698,0.08277,0.06982,0.06817,0.11435,0.53649,0.26974,0.05688,0.0,0.0,0.15148,0.05211,0.05032,0.04403,0.14515,0.05434,0.0,0.05584,0.06087,0.0,0.08738,0.15907,0.0,0.12273,0.1104,0.07604,0.07893,0.0,0.05032,0.0,0.06899,0.05647,0.11156,0.0,0.06287,0.10855,0.06941,0.32931,0.05213,0.04714,0.0,0.0,0.1259,0.07262,0.05303,0.0,0.41385,0.27648,0.0,0.05842,0.0,0.0897,0.06218,0.0,0.07566,0.04979,0.04992,0.0371,0.0,0.06143,0.0,0.10122,0.06674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822,0.0,0.0,0.06491,0.06371,0.0,0.04591,0.06424,0.31357,0.26534,0.0,0.09706,0.06207,0.0,0.0,0.06055,0.0,0.0,0.0881
-4.0,0.0422,0.0,0.05459,0.0,0.05215,0.0,0.0562,0.04519,0.0,0.0,0.05163,0.05933,0.03875,0.06157,0.06603,0.0,0.0,0.0,0.0,0.05944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807,0.54057,0.04916,0.0,0.06192,0.0,0.05715,0.11844,0.05286,0.0,0.07803,0.06511,0.05289,0.07179,0.07908,0.05432,0.0,0.0,0.03827,0.05612,0.0,0.0,0.0954,0.04806,0.15568,0.11016,0.0584,0.05596,0.24828,0.0,0.0459,0.0,0.0,0.0,0.0,0.06481,0.0,0.0584,0.05096,0.05228,0.0,0.0,0.06888,0.04952,0.05785,0.0,0.05106,0.06855,0.0,0.0,0.0,0.21253,0.06221,0.05364,0.0,0.0758,0.0,0.05494,0.04099,0.10487,0.05689,0.0,0.0,0.0,0.06947,0.10344,0.0,0.04643,0.12594,0.07537,0.04736,0.0,0.0,0.05434,0.0,0.06101,0.0776,0.0,0.0,0.0,0.0,0.04831,0.05584,0.12465,0.07268,0.06384,0.05874,0.0,0.05478,0.05307,0.0435,0.0,0.1931,0.0,0.09722,0.51461,0.0,0.05204,0.20191,0.0,2.48624,0.0,0.0,0.354,0.0,0.0,0.06799,0.34092,0.0,0.11296,0.29056,0.11933,0.0,0.06791,0.06422,0.04507,0.0,0.08038,0.07597,0.0658,0.05688,0.10935,0.48104,0.26159,0.04734,0.34304,0.51837,0.14498,0.05186,0.05021,0.04079,0.14515,0.05434,0.0,0.05073,0.05695,0.1956,0.08564,0.15533,0.20045,0.12072,0.09891,0.07604,0.07893,0.0,0.04539,0.0,0.06899,0.05434,0.10312,0.0,0.05843,0.09789,0.06555,0.31721,0.05213,0.04403,0.0,0.0,0.11729,0.07262,0.04657,0.0,0.41385,0.26247,0.0,0.05362,0.0,0.08034,0.06072,0.0,0.06907,0.04979,0.04935,0.03481,0.04276,0.05259,0.0,0.09503,0.06674,0.0,0.0,0.0,0.0,0.0,0.05179,0.0,0.0,0.06822,0.0,0.0,0.06182,0.05919,0.0,0.04591,0.0612,0.31357,0.26534,0.0,0.09706,0.06207,0.04938,0.0,0.0598,0.0,0.0,0.07294
-3.75,0.0363,0.0361,0.04964,0.0,0.05113,0.0,0.0562,0.04257,0.0,0.0,0.04582,0.0548,0.03875,0.06157,0.06603,0.0,0.0,0.0,0.0,0.05944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807,0.52239,0.05011,0.04622,0.05373,0.0,0.05412,0.11844,0.05286,0.0,0.07465,0.06104,0.04559,0.06205,0.07526,0.05102,0.0,0.0,0.03731,0.0493,0.0,0.0,0.0954,0.04479,0.15301,0.11016,0.0584,0.05596,0.23122,0.03629,0.0459,0.0,0.0,0.04354,0.04344,0.04681,0.0,0.05685,0.04065,0.04753,0.0,0.0,0.06136,0.0468,0.05785,0.0,0.04957,0.0485,0.0,0.0,0.05988,0.19776,0.0579,0.05364,0.0,0.0758,0.0,0.05021,0.04099,0.0724,0.05689,0.05674,0.0,0.0,0.06824,0.10344,0.11715,0.04362,0.12006,0.07092,0.04736,0.05398,0.0738,0.05434,0.0,0.06169,0.07477,0.0,0.0,0.0,0.04705,0.04831,0.06381,0.1199,0.07268,0.05918,0.05874,0.32434,0.05478,0.04956,0.0435,0.0,0.19751,0.0,0.09379,0.49489,0.0,0.05016,0.17614,0.0,2.35461,0.57173,0.0,0.32698,0.0,0.0,0.06739,0.31686,0.0,0.11434,0.26904,0.11143,0.0,0.06178,0.05741,0.04581,0.0,0.07875,0.07294,0.05658,0.05543,0.10662,0.45681,0.25574,0.04486,0.332,0.48576,0.13912,0.05186,0.04896,0.04105,0.13748,0.04784,0.0,0.04676,0.05695,0.18362,0.08346,0.15184,0.20262,0.11384,0.09526,0.06437,0.07893,0.04919,0.04293,0.0,0.06899,0.05049,0.09917,0.0,0.05326,0.09883,0.05895,0.31721,0.04775,0.04265,0.04605,0.0,0.10977,0.07262,0.04698,0.0,0.41385,0.24331,0.0,0.05263,0.0,0.0774,0.06026,0.0,0.06907,0.04979,0.04935,0.034,0.04201,0.05259,0.0,0.09155,0.05452,0.0,0.0,0.0,0.04977,0.0,0.05179,0.04423,0.0,0.06822,0.0,0.04543,0.05807,0.05517,0.0,0.04591,0.0612,0.31357,0.22316,0.0,0.09272,0.06207,0.04995,0.0,0.05829,0.0,0.0,0.07244
-3.5,0.03493,0.03501,0.04904,0.046,0.04385,0.0,0.05336,0.04196,0.0,0.0,0.04582,0.0548,0.03875,0.06157,0.04534,0.0,0.0,0.0,0.0,0.04759,0.0,0.0,0.0,0.04198,0.04823,0.0,0.0,0.0,0.0,0.0,0.0,0.03601,0.4777,0.04743,0.04648,0.04994,0.43927,0.05194,0.09047,0.05286,0.22195,0.07188,0.05734,0.04445,0.05835,0.07526,0.0503,0.0,0.0,0.03731,0.04467,0.0,0.03911,0.07814,0.0429,0.12852,0.08053,0.05567,0.05047,0.22204,0.03753,0.0459,0.03401,0.0368,0.04004,0.04344,0.04681,0.0,0.0523,0.04068,0.04682,0.0,0.0,0.05766,0.04552,0.05785,0.0,0.04462,0.04633,0.0,0.0,0.05584,0.19161,0.0579,0.04697,0.0,0.07172,0.0,0.04733,0.03487,0.07163,0.04413,0.05674,0.0,0.0,0.06824,0.10344,0.11126,0.04111,0.11779,0.06396,0.04552,0.05398,0.0738,0.05434,0.04384,0.0607,0.0717,0.03719,0.0,0.0,0.04705,0.04468,0.06381,0.1199,0.06838,0.05553,0.05874,0.29314,0.05478,0.04868,0.04002,0.0,0.19278,0.0,0.08622,0.46881,0.0,0.04651,0.16848,0.35915,2.21857,0.53407,0.0,0.31132,0.53426,0.0,0.066,0.27783,0.0,0.11084,0.25679,0.10388,0.0,0.05619,0.05568,0.04608,0.0,0.07439,0.07035,0.05433,0.05064,0.0962,0.43945,0.24635,0.04486,0.30393,0.45446,0.13051,0.05002,0.04548,0.03866,0.13748,0.04327,0.03263,0.04598,0.05695,0.17159,0.07808,0.13132,0.18756,0.10141,0.08809,0.05825,0.0675,0.04919,0.04117,0.04141,0.05989,0.04882,0.09558,0.0,0.04915,0.09576,0.05799,0.26069,0.04437,0.04051,0.04605,0.0,0.10665,0.07262,0.04464,0.0,0.37692,0.23277,0.0,0.05075,0.2966,0.07153,0.05973,0.0432,0.06859,0.04222,0.0427,0.03298,0.04112,0.05259,0.0,0.09155,0.05452,0.0,0.0,0.0,0.04977,0.03823,0.04423,0.0431,0.0,0.06822,0.04127,0.04543,0.05807,0.05517,0.0,0.04591,0.05779,0.31357,0.22316,0.36921,0.09082,0.06207,0.04691,0.04012,0.05715,0.0,0.0,0.066
-3.25,0.03138,0.03353,0.04717,0.046,0.03915,0.0,0.05184,0.04039,0.0,0.0,0.04582,0.0548,0.03798,0.05995,0.04534,0.0,0.0,0.0,0.0,0.04672,0.0,0.0,0.0,0.04198,0.04823,0.0,0.0,0.0,0.0,0.0,0.03929,0.03572,0.45752,0.04208,0.04507,0.04881,0.39998,0.04903,0.09015,0.04388,0.20425,0.06536,0.05685,0.04224,0.05281,0.06831,0.04682,0.03164,0.03803,0.03555,0.04467,0.0375,0.03911,0.07751,0.03615,0.12329,0.08053,0.05061,0.04811,0.20373,0.03557,0.0459,0.03288,0.03522,0.04004,0.04058,0.04681,0.0,0.0492,0.03879,0.04618,0.0,0.0,0.05766,0.04331,0.05785,0.03232,0.0436,0.04492,0.03457,0.0,0.05553,0.19161,0.05369,0.05037,0.0,0.06676,0.0,0.04413,0.03334,0.06038,0.03964,0.05367,0.0,0.04387,0.05562,0.10344,0.11008,0.04137,0.1063,0.0591,0.04552,0.05063,0.05754,0.04127,0.04384,0.05738,0.06827,0.03612,0.0,0.0,0.04091,0.04163,0.05793,0.11026,0.06436,0.05308,0.05874,0.27766,0.04111,0.0466,0.03733,0.03758,0.15816,0.0,0.07706,0.45939,0.0,0.04418,0.15003,0.34135,2.01617,0.50541,0.51056,0.31132,0.494,0.0,0.06333,0.263,0.0,0.09932,0.23866,0.09885,0.0,0.05459,0.05423,0.0437,0.39855,0.0695,0.06503,0.04644,0.04897,0.0912,0.41154,0.24334,0.04094,0.28898,0.42539,0.1206,0.04792,0.04398,0.03871,0.09507,0.04153,0.03224,0.04267,0.05317,0.15971,0.07339,0.12141,0.1721,0.0988,0.08257,0.04946,0.04676,0.04919,0.04393,0.04141,0.05674,0.0477,0.09271,0.42256,0.04776,0.09205,0.05447,0.24428,0.04303,0.03933,0.04095,0.03681,0.09781,0.05764,0.04061,0.0,0.36406,0.21891,0.0,0.04679,0.28408,0.0699,0.05037,0.0432,0.06859,0.03906,0.03942,0.03259,0.04112,0.04505,0.0,0.09155,0.05322,0.0,0.0,0.0,0.04635,0.03823,0.04083,0.0431,0.0,0.06822,0.04056,0.03814,0.05379,0.05037,0.0,0.04591,0.05279,0.31357,0.22316,0.34159,0.08676,0.04444,0.04691,0.04012,0.05715,0.0,0.0,0.06298
-3.0,0.03104,0.03432,0.04321,0.046,0.03759,0.0,0.04972,0.03726,0.03624,0.05242,0.03996,0.0548,0.03439,0.05614,0.04534,0.0,0.0,0.0,0.03558,0.04482,0.0,0.0,0.03467,0.04198,0.04823,0.03354,0.0,0.04279,0.0,0.0,0.03779,0.03308,0.41899,0.0408,0.04168,0.04631,0.37088,0.04427,0.07618,0.0423,0.19112,0.06315,0.05563,0.0403,0.05071,0.06831,0.04401,0.03032,0.03874,0.03817,0.0371,0.03578,0.03911,0.07153,0.03552,0.12227,0.06926,0.05061,0.04513,0.1835,0.03509,0.0459,0.03178,0.03426,0.03573,0.03976,0.03629,0.0,0.04772,0.03746,0.03961,0.0,0.31737,0.05392,0.04029,0.04073,0.03277,0.04161,0.04492,0.03467,0.04952,0.05242,0.19161,0.04675,0.04833,0.0,0.06138,0.0,0.03921,0.03195,0.05332,0.03964,0.04905,0.0,0.04387,0.05262,0.10344,0.09534,0.03963,0.10532,0.05643,0.04092,0.0479,0.05161,0.04018,0.04059,0.05555,0.0675,0.03596,0.0,0.0,0.03913,0.03833,0.05322,0.11026,0.05895,0.0465,0.05874,0.25774,0.03867,0.0431,0.03378,0.03565,0.14623,0.03427,0.07451,0.40295,0.0,0.03996,0.14759,0.30818,1.8637,0.45881,0.4776,0.27491,0.46378,0.0,0.06126,0.25869,0.70571,0.09539,0.21978,0.09309,0.0,0.05226,0.05397,0.03966,0.38722,0.0624,0.06205,0.04303,0.04854,0.08806,0.36343,0.23254,0.03574,0.2641,0.39444,0.11185,0.04203,0.04007,0.03632,0.09708,0.03749,0.03144,0.04012,0.04815,0.15013,0.06894,0.11289,0.15821,0.09409,0.07862,0.04172,0.04195,0.04024,0.04041,0.03523,0.04219,0.04454,0.08984,0.39069,0.04695,0.08232,0.05116,0.22599,0.03875,0.03892,0.04022,0.03461,0.09197,0.05032,0.03865,0.03525,0.36406,0.20863,0.0,0.04486,0.25868,0.06589,0.04759,0.03959,0.06357,0.0369,0.03781,0.03034,0.04291,0.04001,0.03832,0.07223,0.04872,0.03915,0.0,0.0,0.04635,0.0352,0.03906,0.03631,0.0,0.05079,0.0384,0.03814,0.04442,0.04789,0.03407,0.04591,0.05279,0.22008,0.22316,0.31952,0.0745,0.04211,0.04218,0.04012,0.05394,0.0,0.0362,0.05606
-2.75,0.02902,0.03216,0.03982,0.0433,0.0334,0.03939,0.04836,0.0348,0.03223,0.05242,0.03882,0.0501,0.02874,0.04917,0.03901,0.03415,0.0,0.0,0.03477,0.04482,0.02673,0.0,0.03258,0.0342,0.03942,0.03263,0.0,0.04279,0.03098,0.03117,0.03449,0.03195,0.38074,0.03705,0.03787,0.0421,0.34373,0.04322,0.05519,0.04151,0.17917,0.05685,0.05128,0.03716,0.05151,0.06355,0.04071,0.02981,0.03791,0.03535,0.03516,0.03297,0.03265,0.06402,0.03552,0.1092,0.05206,0.0471,0.04365,0.16545,0.03345,0.0323,0.03034,0.03266,0.03347,0.03976,0.03369,0.0,0.04523,0.03227,0.03859,0.0,0.28739,0.04913,0.03698,0.03558,0.03043,0.04014,0.04258,0.0315,0.0492,0.0431,0.12738,0.04505,0.03903,0.03918,0.05506,0.03665,0.03481,0.02915,0.04829,0.03406,0.04905,0.02809,0.03804,0.04778,0.08189,0.09294,0.03635,0.09534,0.05569,0.03754,0.04251,0.03585,0.03821,0.03886,0.05555,0.06689,0.03383,0.0,0.029,0.03676,0.03662,0.05105,0.08808,0.05339,0.04443,0.05874,0.23882,0.03739,0.04025,0.03246,0.03409,0.13942,0.03138,0.07024,0.38689,0.0,0.03855,0.14704,0.28297,1.78666,0.41631,0.44011,0.23943,0.41842,0.2618,0.05575,0.2257,0.64423,0.0814,0.20549,0.08421,0.0,0.04768,0.04853,0.03573,0.35974,0.05681,0.05809,0.03851,0.04176,0.0754,0.33161,0.18529,0.03435,0.25152,0.35926,0.10332,0.03845,0.03898,0.03377,0.08539,0.0346,0.02957,0.03519,0.04378,0.13567,0.06102,0.10837,0.14714,0.08562,0.07435,0.03911,0.04104,0.03988,0.0372,0.03501,0.03831,0.04367,0.07026,0.36362,0.04248,0.07592,0.04785,0.21804,0.03567,0.03683,0.03913,0.03341,0.08973,0.04557,0.03611,0.03161,0.32796,0.19136,0.25111,0.04218,0.24152,0.05985,0.04559,0.0331,0.04618,0.03389,0.03618,0.02757,0.03606,0.03592,0.0402,0.07223,0.04732,0.03915,0.04169,0.03758,0.04179,0.0323,0.03805,0.03331,0.0,0.0427,0.03803,0.03446,0.04391,0.04789,0.03185,0.03528,0.05279,0.20847,0.17081,0.30089,0.06851,0.03689,0.0418,0.03595,0.04207,0.03623,0.0362,0.05258
