,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,1.43092,0.0,0.0,1.19503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14228,0.0,0.15005,0.0,2.26055,2.79972,2.20252,0.0,2.53258,0.0,0.0,0.0,0.30822,0.0,0.0,0.74163,0.0,0.0,0.0,13.43401,4.52797,0.34175,0.0,10.84563,0.0,17.6589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.87116,0.53926,0.0,0.0,0.41211,0.0,0.0,0.0,0.0,0.06086,0.0,0.79259,0.0,0.23164,0.0,1.78036,0.0,0.0,0.0,0.22302,0.0,0.0,0.0,0.0,0.0,0.51833,0.52111,0.71948,0.0,3.86278,0.0,0.0,2.46514,0.0,0.0,0.3031,0.18395,2.77681,0.0,0.0,0.0,0.0,0.0,0.08611,0.26036,0.18929,0.0,3.37605,0.0,0.0,0.0,0.0,0.98911,0.0,0.0,0.0,0.0,0.0,5.78585,0.67903,3.01809,0.0,0.0,1.1742,8.83278,3.89639,0.0,0.93858,0.0,0.03365,1.06473,1.08184,18.42139,0.16946,0.44505,0.67177,7.79615,0.32134,0.54541,0.32736,0.97832,0.0,0.77498,0.0,0.0,2.29004,0.85397,3.50908,0.0,0.0,0.08235,0.11261,0.0,1.11085,0.81129,0.24694,1.55873,0.36743,0.6298,0.0,0.98663,0.0,0.0,0.0,0.0,0.0,0.0,4.1967,0.0,4.16457,5.46505,0.0,1.0685,0.58572,2.77541,2.49839,0.0,0.0,0.0,0.0,0.0,5.9392,0.0,19.68877,0.99313,3.7429,0.0,4.82838,0.30892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1515,0.0,0.0,0.0,2.27326,2.10995,1.68283,0.0,1.16796,0.0,0.0,0.0,0.0,0.0,0.0,2.61187
-4.75,0.0,1.43092,0.0,0.0,1.19503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14228,0.0,0.15005,0.0,2.27132,2.79972,2.20252,0.0,2.53258,0.0,0.0,0.0,0.30822,0.0,0.0,0.74163,0.0,0.0,0.0,13.43401,4.52797,0.34175,0.0,12.52844,0.0,17.6589,0.0,0.0,0.0,0.0,0.0,0.04328,0.0,0.0,2.00978,21.57609,0.66827,0.0,0.0,0.41211,0.0,0.0,0.0,0.0,0.11821,0.0,0.81037,1.95971,0.23164,0.0,1.84806,0.0,0.0,0.0,0.22302,0.0,0.0,0.0,0.0,0.0,0.51833,0.63978,0.71949,0.0,3.86278,0.0,0.0,2.46514,0.0,0.0,0.3031,0.18395,2.77681,0.0,0.0,0.0,0.0,0.0,0.08611,0.26036,0.18929,0.0,3.37605,0.0,0.0,0.0,0.0,0.98911,0.0,0.0,10.03925,14.40056,0.0,6.13112,0.81465,2.916,0.0,0.0,1.00476,8.83281,3.89639,0.0,0.94549,0.0,0.03366,1.06473,1.33652,18.42139,0.16946,0.44505,0.67177,8.35851,0.32134,0.55159,0.26556,0.97832,0.0,0.93874,0.0,0.0,2.29004,0.91509,3.50908,0.0,0.0,0.08235,0.11261,0.0,1.11085,0.81129,0.24694,1.85723,0.36743,1.06343,0.0,0.92765,0.0,0.0,0.0,0.0,0.0,0.0,4.1967,0.0,4.16457,6.33274,0.0,1.0685,0.58572,2.77541,2.49839,0.0,0.0,0.0,0.0,0.0,5.9392,0.0,19.68934,0.99313,3.41304,0.0,4.82838,0.25356,6.59709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1515,0.0,1.13803,0.0,2.27326,2.10995,1.22668,0.0,1.16796,0.0,0.0,0.0,0.0,0.0,0.0,2.61187
-4.5,0.0,1.43092,0.0,49.02866,1.19503,0.0,0.0,0.56327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.60554,0.0,0.71773,0.0,3.01591,1.50687,2.20254,0.0,2.53258,0.0,0.0,0.09846,0.15272,0.23064,0.0,7.03003,0.0,0.0,0.0,13.80763,3.01316,0.34175,0.0,12.52844,6.26092,17.6589,0.0,0.0,0.0,0.0,0.0,0.04328,0.0,0.0,2.00978,22.2428,0.66827,0.0,0.0,0.53755,0.0,0.0,0.0,0.0,0.11829,0.0,0.73958,1.95971,0.23164,0.0,1.85341,0.0,0.0,0.0,0.22302,2.84651,4.64574,0.0,0.0,1.56739,0.51833,0.3345,0.85053,0.0,3.86279,0.0,0.0,2.46514,0.0,0.0,1.57589,0.18395,2.77681,0.0,0.0,0.0,0.0,0.0,0.62362,0.26036,0.18929,0.0,3.60473,0.0,0.0,0.0,0.0,1.07831,0.0,0.0,10.03927,14.78906,0.0,6.13112,1.09015,3.05834,0.0,0.0,0.99304,8.83285,2.6327,0.38685,0.96862,0.0,0.16167,0.91132,1.11611,18.42139,0.11896,0.44505,0.59106,16.58323,1.79094,0.48533,0.17956,0.97832,0.07912,0.96589,0.0,0.0,2.4039,1.23463,2.50175,0.0,0.0,0.11835,0.14212,0.0,1.11085,1.01147,0.24694,1.54045,0.2047,1.51123,0.0,1.63164,0.0,0.0,0.0,0.0,0.0,0.0,4.1967,0.0,4.16457,6.33278,0.0,1.0685,0.58572,1.55452,2.49839,0.0,0.0,0.0,0.0,0.0,5.9392,0.0,10.47893,1.34581,3.06474,0.0,6.42105,0.93725,6.59709,0.0,0.0,0.0,0.0,1.0583,0.0,0.0,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20046,0.0,1.13803,0.0,1.5326,2.10995,1.22668,0.0,1.19403,0.0,0.0,0.0,0.0,0.0,0.0,2.61187
-4.25,0.0,1.43092,0.0,49.02866,1.19503,0.0,0.0,0.49079,0.75529,0.0,0.00018,0.10461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.39792,0.0,0.0,0.8994,6.28467,0.0,0.71773,0.0,3.01591,1.45745,2.20255,0.0,2.53258,0.01572,0.0,0.1448,0.15273,0.23064,0.0,7.03003,0.0,0.0,0.0,13.80763,3.01316,0.34175,0.0,12.52844,6.26092,17.74177,0.0,0.0,0.0,0.0,0.0,0.04328,0.0,0.0,1.36964,22.46954,0.73329,0.0,0.0,0.53755,0.0,0.0,0.0,0.0,0.11829,0.0,0.66815,1.95971,0.23164,0.0,1.85341,0.0,0.0,0.0,0.22302,2.99799,5.7345,0.0,0.0,1.56739,2.91725,0.33452,0.85053,0.0,3.8628,0.0,0.0,2.46514,0.0,0.0,1.34139,0.18395,3.54267,0.0,0.0,0.0,0.0,0.0,0.64107,0.17795,0.18929,1.48357,3.61186,0.0,0.0,0.0,0.0,1.27363,0.0,0.0,10.03959,16.08554,0.0,6.13112,1.26469,3.21724,0.0,0.0,0.99304,6.27094,2.18816,0.42218,0.91779,0.0,0.35722,0.86025,1.0394,20.05895,0.11896,0.44505,0.61559,16.72944,1.79094,0.49922,0.17956,0.97832,0.68423,1.11027,0.0,0.0,2.07762,1.47908,2.53046,0.0,0.0,0.11835,0.65823,0.0,1.0791,1.52051,0.24694,1.54045,0.25053,1.25936,0.0,1.49031,2.75772,0.0,0.0,0.0,0.0,0.0,4.1967,0.0,4.16457,3.18865,0.0,1.0685,0.58572,1.54642,2.51381,0.0,0.0,0.0,0.0,0.0,6.01996,0.0,10.47893,1.11465,3.30881,0.0,6.52851,0.98594,3.29862,0.0,0.0,0.0,0.0,1.0583,0.0,0.0,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20046,17.34726,1.13803,0.0,1.5326,0.85712,1.06509,7.23832,0.98452,0.0,0.0,0.0,0.0,0.0,0.0,2.61187
-4.0,0.0,1.53681,0.0,27.56005,1.19503,0.0,0.0,0.49079,0.75529,0.0,0.00018,6.79261,0.0,0.05977,0.0,0.0,0.0,0.0,0.0,39.05566,0.0,9.95352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.398,0.0,0.0,0.8994,6.31844,0.0,0.73628,0.0,2.77898,1.34991,2.39233,1.03308,2.42305,0.01572,0.0,0.1448,0.15273,0.23064,0.0,5.1698,0.0,0.0,0.0,7.25984,2.2507,0.34175,0.68524,7.20347,6.26092,17.74177,0.0,22.77415,0.0,0.0,0.0,0.04328,0.0,0.0,1.36965,23.27828,0.63005,0.0,0.0,0.53755,0.0,0.0,0.0,0.0,0.11829,0.0,0.593,1.95971,0.23164,0.0,1.85341,0.0,0.0,0.0,0.22302,2.99799,5.7345,4.20683,0.0,1.11858,2.42913,0.47753,0.85053,1.26942,3.8628,0.0,0.0,2.46514,0.0,0.0,1.34139,0.18395,3.54267,0.0,0.0,0.0,0.40906,24.8241,1.45858,0.47651,0.18929,1.48358,3.61187,0.0,0.0,0.0,0.0,1.27363,0.0,0.0,10.80396,16.26774,0.0,6.2241,1.34486,3.14955,0.0,0.0,1.00816,6.27095,1.09157,0.42218,0.86219,0.0,0.35722,0.90905,1.08166,20.34229,1.02637,0.44505,0.97852,20.41128,1.4425,0.88322,0.18064,2.5807,0.56013,1.6327,0.0,2.02356,2.26765,1.77119,1.82214,0.0,0.0,0.11835,0.60089,0.0,1.0791,1.25384,1.38162,0.9756,0.40918,1.11251,0.0,1.49031,1.44184,0.0,0.0,0.0,0.0,0.0,4.1967,0.0,4.16457,3.25236,1.1355,1.42067,0.58572,1.5568,2.45022,0.0,0.02108,0.21767,0.0,20.09288,3.73577,0.0,8.86225,2.11986,3.25022,0.0,6.52852,0.99234,3.29862,0.28627,0.0,0.0,0.0,1.0583,0.1947,0.72465,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02914,0.0,0.0,0.0,0.0,1.20046,17.34726,1.13803,0.0,1.75259,0.75336,1.10127,7.59236,1.23672,0.0,0.0,20.54168,0.0,0.0,7.25932,2.66264
-3.75,0.59315,2.15289,0.01901,27.56005,1.19503,0.0,0.0,0.49079,0.75529,0.0,0.00018,8.67386,0.0,0.05977,13.60377,0.0,0.0,33.36024,0.0,39.05566,0.0,9.95352,0.0,0.0,0.0,0.0,0.0,0.04104,0.0,0.0,0.0,0.0,5.398,0.0,0.70602,0.98743,6.49282,0.0,4.97508,0.0,2.78491,1.23671,2.39233,1.03308,2.42305,0.32834,0.0,0.1448,0.71329,0.23064,0.0,5.18019,0.0,0.0,0.0,7.40853,2.2507,0.34175,1.95372,7.4945,6.26092,17.74177,0.0,22.77415,0.0,0.0,0.0,0.04328,0.0,2.15906,1.36965,24.81736,0.55714,0.0,0.0,0.53755,1.07646,0.0,0.0,0.0,0.11829,0.0,0.82464,2.64225,0.23164,0.0,1.32566,0.0,0.0,0.0,0.22302,3.65524,5.7345,4.20683,2.52423,1.11858,2.99241,0.47114,0.85053,0.86899,1.78755,7.82806,1.79651,2.46514,0.0,0.0,1.47612,0.22386,3.54267,0.0,0.0,0.0,3.05278,24.8241,1.91522,0.55091,0.18929,1.48359,4.92713,0.0,0.0,0.0,0.0,1.32154,0.0,0.0,11.70594,13.48786,0.0,6.2241,1.23448,3.10961,17.55703,0.0,0.93521,6.35252,1.14075,0.47144,0.8739,0.0,0.35722,0.90905,0.90888,21.66702,1.02637,0.52581,0.98801,13.43979,0.97765,0.84404,0.56282,2.5807,1.19224,1.37102,1.67485,2.04349,2.39306,1.53454,1.33932,0.0,0.0,0.46076,0.63975,12.45118,1.07911,1.69372,1.75877,0.94997,0.69785,1.25254,0.0,1.19312,1.44184,0.8355,0.0,0.0,0.0,0.0,3.72735,0.0,4.36086,2.97569,1.13551,1.42067,2.37014,1.5568,2.02246,0.01582,0.39398,1.28866,1.86477,20.29806,3.73577,0.0,9.08211,1.43059,3.60715,0.0,6.52853,0.80456,3.29862,1.10917,8.77131,0.0,3.05063,1.07967,2.32069,0.75604,0.0,1.36354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02914,0.0,0.0,0.0,2.65637,0.86862,9.27048,1.13803,0.0,1.75259,0.86919,1.47945,7.73559,1.74459,0.0,0.0,20.54168,0.0,0.0,7.25935,2.66264
-3.5,0.40672,2.15289,0.01901,27.56841,1.19503,0.0,0.53152,0.49079,0.7553,0.0,1.67589,5.53922,0.0,0.05977,13.60377,15.44562,0.0,33.37604,0.0,19.62065,0.0,9.95352,0.0,0.0,0.0,0.0,0.0,0.52383,0.60182,0.0,0.0,0.0,5.01851,0.0,3.44175,0.98743,7.07392,0.0,4.98272,0.0,2.71245,1.27961,2.72948,1.02303,2.17027,1.49859,0.93603,0.1448,1.83862,0.23064,0.0,5.18019,2.37358,0.0,0.0,5.22005,2.27686,0.25324,1.78788,7.79882,6.26092,17.74177,0.55258,22.77415,0.0,0.0,0.0,0.17965,0.0,3.76943,1.42317,25.78929,0.64639,5.93716,0.0,0.4567,1.37462,0.0,0.0,0.0,0.11829,0.0,0.82465,3.19517,0.69006,0.0,1.27504,0.0,0.0,23.44708,0.22302,3.69576,5.7345,4.2629,2.52423,1.19005,2.80074,2.08392,0.85053,1.20552,1.96259,7.82806,9.42787,2.20553,0.0,0.0,1.47612,0.22386,3.54267,0.0,0.0,0.0,15.20523,24.8241,1.92334,0.70476,7.05373,1.48359,5.00515,0.0,6.43224,1.15707,8.89271,0.91211,1.93817,0.0,11.70594,13.82525,0.0,3.17299,1.19664,2.90102,25.06767,11.81183,1.05892,6.57197,1.09381,0.6122,0.96721,19.44321,1.56307,0.85716,0.84655,22.05816,1.04625,0.51342,0.93651,13.43982,0.838,0.78413,0.81146,2.5807,1.05585,1.46725,2.86056,1.99428,1.76147,1.81034,1.21867,0.0,0.0,0.46076,0.57511,12.45118,1.09973,1.3235,1.73004,1.31506,0.69785,1.28318,2.76404,1.26139,1.03429,0.8355,1.37394,3.77094,0.0,0.93527,3.72735,0.0,4.36086,4.04398,1.13761,1.42067,6.5999,1.59337,2.22463,0.39709,0.63898,1.12616,1.24346,20.42574,3.73577,0.0,12.65185,1.46767,3.39786,0.61502,4.58362,0.79565,2.53817,0.80873,8.77131,0.0,2.05966,1.12717,3.28293,0.75604,10.69652,1.36354,0.0,34.82761,0.0,0.0,6.49722,0.0,10.31563,10.02914,0.0,11.26655,0.0,17.80194,0.7078,10.85005,1.13803,2.75258,1.91455,0.72961,1.33428,9.70489,1.75051,3.81934,11.94132,20.54168,9.9266,0.0,7.25935,1.67038
-3.25,0.40673,2.15289,0.01901,27.57099,1.19503,0.0,2.27242,0.49079,0.7553,0.0,1.59436,8.60088,0.0,0.05978,13.60378,15.44562,12.40241,33.37605,4.99296,13.12272,38.46259,5.84824,31.56154,0.0,0.0,0.0,0.0,0.57357,0.60182,0.0,0.0,0.0,5.24604,0.0,2.55169,1.08958,7.07393,0.40364,4.98272,8.77186,2.60282,1.47653,2.35389,1.29835,2.27062,1.49859,1.34557,0.1448,2.00765,4.92873,9.01447,10.69922,2.37358,0.0,3.40081,4.96248,2.12851,0.35227,2.08079,7.80145,6.33951,5.23481,0.55258,22.77415,0.0,25.03736,19.84309,0.17966,0.0,3.27972,1.42317,26.74347,0.64544,3.56471,0.0,0.58683,1.89128,6.77653,0.0,0.0,0.11829,20.39604,0.82465,2.15051,0.66449,42.26133,0.80338,0.0,0.0,23.44713,0.22302,3.69576,5.7345,4.27356,2.65262,1.62938,2.80074,2.31989,0.85053,1.17252,2.61539,3.00343,9.6337,2.24298,0.0,0.0,1.51764,0.22386,2.52207,0.0,0.0,5.41844,15.20523,24.8241,1.69633,2.42571,7.05373,3.43243,4.13476,14.02221,4.95126,1.15716,6.26676,0.91211,1.71568,0.0,11.70595,13.61288,2.1813,3.35011,1.13473,2.79519,25.46434,11.81185,1.11444,6.57197,1.13564,0.96069,1.01152,19.44327,1.45254,0.84056,0.79224,27.01937,3.46168,0.57224,1.26647,13.43986,0.87228,0.74903,1.97159,1.95624,1.14047,1.669,2.8842,1.94178,1.82587,2.0602,1.0708,1.3177,0.0,1.42144,0.58024,19.86025,1.41676,1.25978,2.62804,1.17743,1.34149,1.17648,2.77105,1.21089,0.91188,2.01862,1.7198,4.27855,0.0,1.3518,3.75949,0.0,4.36086,4.10373,0.59212,2.86493,5.34205,1.59337,3.27261,0.88977,2.87513,2.75795,1.34757,7.31979,3.73577,6.76433,14.81197,1.6799,3.11862,0.61502,4.58364,0.74027,2.07941,2.14213,7.53512,1.969,2.04374,1.15365,3.28432,5.47904,7.75832,2.1344,0.0,34.96537,14.02717,0.0,6.49722,0.0,7.7073,9.79693,0.0,6.69231,1.52872,17.83567,1.31662,10.90676,1.57022,4.23995,2.00102,0.80182,1.09719,9.71885,1.5572,3.81934,12.079,20.54168,8.46195,0.0,7.25935,5.4025
-3.0,7.63466,2.67901,0.01901,22.81153,6.73939,0.0,4.07148,0.49079,0.75533,0.27515,2.9062,8.6831,3.11892,6.2547,7.87331,23.73812,42.39487,33.37605,3.27829,13.12272,40.36816,14.74434,31.59816,0.0,0.0,0.0,0.0,0.57357,0.66728,0.0,0.0,0.0,5.86338,3.34794,2.30973,1.08958,7.07394,1.47724,3.40491,7.72372,2.51644,1.39189,2.75122,1.28087,2.23152,2.03957,1.35607,3.85292,8.50789,4.68201,9.01447,10.78665,42.14544,0.0,3.59331,4.28137,2.12851,1.08847,2.17315,8.00339,2.42431,5.93319,0.55258,14.03176,13.38549,25.03736,19.84309,1.15327,0.84648,3.16305,1.71637,15.11667,0.69957,4.1155,1.40692,1.19378,2.00781,4.66917,3.52905,0.0,0.11829,20.41755,0.93373,2.66207,0.52827,42.26133,0.80988,0.0,18.86012,19.3086,0.18859,8.57206,4.58659,4.82511,2.65262,1.40163,2.80075,2.34168,1.47349,1.29767,2.08436,3.0431,3.99906,2.15845,0.0,0.0,1.51764,0.52787,4.86521,0.0,48.47595,4.39807,15.20523,24.8241,1.44034,2.55208,7.05373,6.01102,4.13476,11.46217,5.2096,0.60444,6.26676,1.12541,1.84823,0.09287,13.16002,14.18892,1.5506,3.46399,0.99868,2.5856,27.57022,11.81187,1.24138,6.70739,1.05141,1.30068,1.01858,14.02983,1.31151,0.88405,0.94351,17.66659,3.64436,0.94611,1.39713,9.95331,1.27005,0.75282,2.26056,3.6793,0.92018,1.72713,37.47698,1.7307,1.71981,1.67159,1.06512,2.49993,6.11441,1.36791,0.8435,14.01803,2.09823,2.00365,2.59364,1.1178,1.11145,1.15638,2.59263,1.14179,1.78897,0.97497,1.7198,4.553,1.84308,8.335,3.50872,3.24973,3.78254,4.38286,1.56017,3.0373,3.90704,1.03089,2.52031,1.58742,2.70495,2.72159,1.44253,5.8328,4.60456,7.70145,15.13043,1.38311,2.98692,0.64706,3.70627,2.10548,4.51062,2.56969,6.45157,4.36419,4.03751,3.54217,4.71449,3.87375,6.0303,1.44291,1.0297,34.96537,7.93924,0.0,13.16557,0.0,7.70731,6.61239,0.0,5.52916,1.03879,17.83567,1.3381,11.68774,3.99367,6.97247,3.33796,0.93128,1.20477,7.40983,1.39827,3.81934,6.7938,20.54168,8.49287,0.56517,12.13914,4.6782
-2.75,5.77553,4.69518,3.21824,23.08827,5.13293,0.0,4.07148,13.71304,0.75533,0.27515,2.88281,8.24192,13.54284,6.48885,6.86226,17.85258,42.39488,35.41531,5.6888,13.12272,40.42466,11.93507,31.59816,32.77425,59.79358,44.0552,39.70458,0.57357,6.46986,48.21402,0.9954,0.0,5.96826,5.44548,2.88138,5.898,3.96834,1.34948,3.13593,8.15102,2.48123,1.36084,3.12939,1.48478,2.01046,1.81663,1.42248,3.98661,7.8166,5.36214,11.43956,11.89493,50.94904,0.0,6.47796,3.70264,2.36602,1.10776,2.3902,8.38514,2.53389,5.92642,6.13046,14.03176,12.55028,11.40881,13.27911,2.00315,11.15239,4.59453,2.84579,15.4632,0.64444,5.2336,2.13603,1.77056,2.19096,4.52809,47.17781,2.81847,1.42128,13.89259,0.95489,2.09442,1.67043,34.72184,0.685,39.02287,18.86012,11.07677,1.33801,7.43096,3.08698,4.69191,3.47542,2.17344,2.17815,2.51078,3.79002,1.36445,1.95686,3.11495,4.30916,1.68925,1.54305,0.0,1.51764,0.47524,4.17071,9.60859,21.47194,4.39807,19.01051,18.25706,1.75654,2.36853,6.42204,6.01102,2.84906,7.35585,3.73026,2.65058,12.52162,1.38077,2.34034,1.23705,13.16037,14.53476,1.55875,3.50432,0.96098,2.46176,18.02259,6.89585,1.13068,5.20369,1.24557,1.19906,0.93937,15.56481,1.66054,0.94307,1.0494,17.92685,3.37513,1.44254,2.07497,12.32697,1.37578,1.03398,2.50697,3.88387,1.20362,1.65424,23.07081,1.70768,1.38594,1.55293,0.95334,1.68008,4.21972,3.43042,1.13318,13.04924,2.09864,1.89182,2.69163,0.97684,1.36682,1.32351,1.88758,0.97216,1.71329,1.53007,2.42549,3.94385,1.85864,8.335,3.52113,3.08759,2.82216,4.76788,1.81107,2.6996,2.98543,1.03089,2.29994,1.58155,3.34483,2.79879,1.09683,5.43119,3.7277,11.6536,13.80853,1.45407,2.7593,2.025,3.80926,2.0879,3.15058,4.59251,6.07035,4.24781,4.69669,4.1366,5.77603,10.92241,5.40685,2.52853,3.03408,21.72184,11.34779,0.0,13.16557,2.16804,7.70731,9.84981,0.0,6.34558,2.48914,17.83567,1.35594,10.54453,3.70955,4.05887,3.45359,2.26278,1.13884,8.35189,1.50697,5.04461,7.2849,10.61057,3.95,8.34244,12.37396,5.22351
