,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.31982,0.80437,0.0,4.99724,0.5687,15.78931,6.24562,0.0,41.3395,0.0,0.0,0.0,0.94578,0.0,0.12531,10.21318,0.52139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92646,0.0,0.0,1.82676,0.0,0.0,1.76963,0.62886,0.0,0.0,0.99476,1.85879,0.0,0.0,6.43021,0.49767,1.37617,0.0,3.05878,2.31136,0.0,0.13545,0.16646,0.0,1.34554,13.28097,0.11604,0.0,1.51497,4.55366,0.23497,4.0835,0.37664,0.0,1.10051,0.0,0.0,1.63494,0.0,0.0,8e-05,0.0,0.42239,0.0,0.0,0.0,2.91637,0.0,0.0,0.0,0.0,0.52442,0.0,0.0,1.91365,3.60894,2.24572,0.0,0.0,0.0,0.0,0.0,2.15096,0.0,0.0,0.0,0.0,0.73671,0.0,8.93892,0.0,4.20557,0.0,0.0,0.0,0.0,0.0,5.05674,0.0,0.0,0.0,0.0,0.0,0.0,2.26914,0.0,1.48969,0.0,0.0,0.0,0.0,2.23651,1.9978,0.0,0.0,0.0,1.489,1.04094,0.0,0.0,0.0,6.53669,0.0,0.0,0.0,0.0,40.13982,0.0,0.0,10.54961,0.0,0.0,0.0,0.0,0.0,0.0,4.65482,2.92145,0.32455,0.0,11.66521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58981,0.0,0.0,0.0,0.0,0.57857,0.83389,0.55679,18.9117,28.40066,0.0,0.5156,0.0,6.77143,0.0,0.0,3.80905,0.0,0.4054,0.0,6.83188,0.0,0.91164,7.09308,38.43103,3.52374,0.0,1.33755,0.0,3.08043,8.83116,0.0,15.54189,0.0,37.45583,0.0,16.27342,0.61499,0.0,0.0,0.13647,0.0,6.03527,0.0,3.63371,0.0,0.0,0.0,4.34792,2.38845,0.0,0.0,0.0,0.0,0.16888,0.06433,8.40045,1.21372,0.74468,0.0,0.57497,0.0,0.83996,3.51976,0.0,0.21892,1.12561,2.14849,8.7644,0.0,1.17319,0.77381,0.0,0.0,1.98141,0.0,0.0,1.8507
-4.75,0.0,0.0,0.0582,0.31982,0.80437,0.0,2.84838,2.34294,15.78931,6.24562,0.0,41.3395,0.0,0.0,0.0,38.83886,0.0,0.12531,10.21318,0.52139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92646,0.0,0.0,1.91886,0.0,17.64415,1.76963,7.60767,0.0,0.0,0.88435,1.87954,0.0,5.53487,3.28872,0.49767,1.37617,0.0,3.05878,2.31136,6.29749,0.13545,0.16646,0.0,1.34554,13.28097,0.11604,0.0,1.51497,4.55366,0.23497,4.0835,0.49006,0.0,1.10051,0.0,0.13036,1.63494,0.0,0.0,0.1137,0.30406,0.83728,0.0,0.0,0.0,3.1602,0.35757,0.0,0.0,0.0,0.52442,0.0,0.0,2.11414,4.09881,2.27291,0.0,0.0,0.0,0.0,0.0,2.15096,0.0,0.0,0.0,0.0,0.73671,0.0,8.95477,0.0,4.42625,0.0,0.0,0.0,0.0,0.0,5.05674,0.0,3.39601,1.64896,0.0,0.58015,0.0,1.35732,1.617,1.48969,0.0,0.0,0.0,0.0,2.23651,1.99781,2.43235,0.0,0.0,1.52197,1.04094,0.0,0.0,0.0,6.53669,20.09563,24.34221,0.0,0.0,40.13982,0.0,0.0,10.54982,0.0,0.0,0.0,26.76082,0.0,0.0,4.65482,4.76006,0.47971,0.0,11.82964,0.0,0.0,0.0,0.0,0.0,0.0,3.37603,0.0,0.0,0.0,0.0,1.12099,0.0,0.0,0.0,0.0,0.74236,1.15971,2.60217,18.91173,28.40066,0.0,0.5156,0.0,6.77144,0.0,0.0,3.80905,0.0,0.4054,0.0,6.83189,0.0,1.10489,7.09308,38.43105,3.52374,0.0,1.90489,0.0,4.86755,8.83116,0.0,15.5419,0.57243,38.36423,0.0,18.57747,0.79947,0.0,0.0,0.13648,0.0,6.03527,1.88105,3.63373,0.0,0.0,0.0,4.34793,2.38845,0.0,0.0,0.0,0.0,0.16888,0.06433,8.40045,1.20868,0.74468,0.0,2.07545,0.0,0.6675,3.52863,0.0,0.21892,1.43374,2.16692,9.19267,0.0,1.17319,0.77381,0.0,0.0,1.98141,0.0,0.0,1.8507
-4.5,0.0,0.07771,0.0582,0.31982,7.40356,0.0,2.84838,2.37843,19.45333,6.29575,0.0,41.3395,0.0,0.0,0.0,38.83886,0.0,0.12531,10.21318,0.52139,13.84315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92646,0.0,0.0,1.91886,0.0,17.64415,1.76963,7.60767,0.0,0.0,0.88435,2.06672,0.0,5.53487,3.28872,0.89262,1.71499,0.0,3.05878,2.37132,5.83008,0.13545,0.16646,0.0,1.34554,13.28097,0.11604,0.0,1.51497,4.55366,0.23497,4.0835,0.49006,0.0,1.10051,0.52519,0.13036,1.63494,0.0,0.0,0.1137,0.30406,4.58505,0.0,0.0,28.21777,3.1602,0.35757,0.0,0.0,0.0,0.52442,1.68984,0.0,2.11414,3.87227,2.4631,0.0,0.0,0.0,0.0,0.0,2.15096,3.23268,0.0,0.0,0.0,1.16434,0.04714,4.96902,0.0,4.4591,0.0,0.0,0.0,0.0,0.0,5.05674,4.80808,3.39601,1.64896,0.0,0.58015,9.01126,1.35732,1.61701,1.48969,0.0,12.21984,0.0,0.0,2.23651,1.99781,2.68311,0.0,0.0,1.63023,1.11525,0.0,0.0,4.83465,6.53673,20.1363,24.34221,0.0,0.0,40.13982,0.0,0.0,10.54985,0.0,0.0,17.84335,27.40146,0.0,0.0,4.65482,4.93803,0.51727,0.0,12.5044,0.0,0.0,0.0,6.63176,0.0,9.10442,3.37603,0.0,0.0,10.86626,0.75886,1.12099,0.0,0.0,0.0,0.0,2.43497,1.20927,2.70614,18.91174,28.40066,0.0,0.5156,0.0,2.172,0.0,0.0,3.80905,0.0,0.4054,0.0,6.83191,0.0,1.61567,7.40568,38.43107,4.03819,2.90461,1.90489,0.0,4.86755,9.08409,1.28539,15.54194,0.57243,38.9372,0.0,20.23334,0.79947,0.0,1.21493,0.13648,1.05146,6.53214,1.88105,3.63373,0.0,0.0,0.0,4.82914,2.38845,0.0,0.0,0.0,0.0,0.16888,0.06433,8.44008,1.20868,0.74468,0.0,2.07545,0.0,0.6675,3.69292,0.0,1.80577,1.85577,2.25977,9.26742,0.0,1.17319,6.5384,18.59637,0.0,2.15546,0.0,0.0,2.02025
-4.25,0.0,5.74291,0.0582,0.31982,4.96933,0.0,2.84838,2.43568,14.66195,6.29575,0.0,41.33952,32.5129,0.0,0.0,35.02517,8.98919,0.12531,10.21318,0.73574,13.84315,0.0,0.0,0.0,0.0,2.37869,0.0,0.0,0.92646,32.59512,0.0,1.91886,0.0,9.37559,12.89828,6.61817,0.0,0.0,1.3346,2.50844,9.83213,5.32978,3.40189,0.9034,4.1578,0.0,3.05878,13.0227,5.83008,1.19935,0.16646,0.0,1.34554,13.28097,0.11604,2.97412,1.51497,4.55366,0.55336,4.0835,0.49006,0.0,1.10051,0.52519,0.13036,1.66422,0.0,0.0,0.1137,2.9424,4.58506,45.08905,15.51823,28.21778,3.1602,0.35757,0.0,2.06395,19.3314,0.52442,1.68984,0.0,3.21375,3.23051,2.4631,0.0,0.0,20.10148,4.08048,0.0,6.3456,3.23268,0.34758,7.16667,0.0,1.16434,0.04714,4.96902,1.44189,3.1537,4.09217,0.0,26.05687,0.0,10.29941,5.05674,4.80808,3.39601,3.45569,11.2462,1.60552,9.01126,1.35732,5.261,1.48969,0.00012,12.36549,0.0,0.0,2.23651,5.54995,2.68311,0.04462,0.0,2.00066,1.11525,0.0,1.52597,4.83467,3.5596,20.4415,25.468,0.0,0.0,40.34566,0.0,0.0,10.54987,0.0,0.0,18.75307,28.76351,0.0,0.0,5.16269,5.30461,1.49223,0.0,12.5045,0.0,0.724,4.71372,6.63177,0.0,8.09138,2.70628,0.0,0.0,10.86634,0.39792,1.02457,1.71741,0.74361,0.0,0.66577,2.43497,1.04276,2.76342,18.9118,28.40066,0.0,0.48655,0.0,2.22783,2.55432,0.0,5.00964,0.0,2.26309,0.0,6.83197,0.0,1.61567,7.86119,38.4311,4.15343,2.90462,2.00899,0.0,4.86755,9.16801,2.14964,15.54194,1.29699,39.35067,0.0,21.45597,1.03738,0.0,0.90274,0.17487,1.05146,6.53214,1.88106,3.83324,0.0,38.86085,0.0,4.82914,1.87427,0.0,5.03535,0.0,0.0,0.16888,0.06433,8.44008,4.81011,0.40683,0.0,2.08145,0.0,0.6675,3.69292,0.0,1.80577,1.85577,2.25977,10.23772,0.0,1.1732,6.5384,11.38184,0.48774,2.22785,0.0,0.0,2.02025
-4.0,0.0,5.74291,12.14677,0.31982,3.39815,0.0,2.35892,2.70729,14.66196,6.29575,0.0,20.78184,32.5129,0.0,10.56553,35.04866,11.86725,0.12531,10.21318,3.81915,13.84315,0.0,7.21419,0.0,0.0,2.37869,0.0,0.0,24.74503,18.75318,18.32979,2.43527,0.0,7.19412,12.98696,6.72026,0.0,0.0,1.62258,2.50844,10.30074,5.32981,2.87222,1.58759,3.3295,5.18263,3.05878,13.19872,4.42343,1.19935,1.30554,0.0,1.34554,13.28097,0.11604,3.33083,1.40154,4.55366,0.55336,4.08352,0.49006,5.62993,3.14193,0.52519,0.13036,2.08704,0.0,0.0,0.13211,2.98188,4.5981,45.08905,17.16235,14.47366,3.16021,1.4063,0.0,4.81093,19.3314,0.52442,1.68984,0.0,3.21375,3.25327,5.72832,0.0,0.0,20.10149,4.76397,38.58061,6.3456,3.23268,0.34758,7.16667,0.0,1.16434,4.88464,5.25611,1.58225,2.38758,4.09217,16.26608,26.05687,0.0,11.053,5.05674,4.80808,3.39602,2.93034,10.64748,1.60552,4.88047,1.35733,7.92709,1.4897,0.00013,12.36549,0.0,0.0,1.95629,4.55584,2.68311,3.9808,0.0,1.43655,1.51715,0.0,3.15616,5.02762,2.51685,20.69887,26.77698,0.0,0.0,42.2469,0.0,0.0,10.89673,0.0,0.0,19.34153,29.36951,0.0,0.36919,5.18351,5.24855,1.9551,0.0,12.50452,0.0,0.724,4.72093,6.30129,0.0,8.24898,7.09399,0.0,0.0,12.12568,0.39792,1.54401,1.6133,2.38461,0.0,35.71042,3.52662,1.29974,9.89039,18.9118,28.40066,5.90931,0.43088,0.0,2.22783,2.55432,0.0,4.01185,0.0,2.26309,0.0,6.83198,0.0,1.87003,7.86119,38.43121,4.90493,3.04376,2.00899,0.0,4.92179,9.16801,6.62303,15.77359,2.33941,39.45935,0.0,32.33996,1.09521,0.0,0.63227,0.30074,7.50861,6.53214,2.90987,4.00417,0.0,38.86085,3.87463,4.93074,1.87427,4.12154,2.67734,0.0,0.0,3.28483,0.17007,8.44008,4.84624,0.40683,0.0,4.16511,5.05207,1.09245,3.81464,0.0,1.78147,3.35448,2.61377,10.44494,0.0,0.78217,5.58466,11.4401,0.45023,5.8783,4.85635,3.56361,2.02025
-3.75,0.0,13.32602,12.14677,0.31982,5.76668,0.0,5.45564,2.70729,14.66196,7.25516,0.0,21.20188,21.92118,12.65525,10.93374,35.18911,11.86725,0.13794,11.91704,3.01158,13.84315,0.0,9.89564,0.0,0.0,2.37869,5.24374,0.0,24.74504,18.75318,18.35022,5.14265,0.0,9.55722,6.91973,6.734,0.0,6.84428,1.92607,8.60289,12.72269,5.99809,2.87222,1.74413,3.52479,3.50604,3.05878,13.60813,5.67899,1.19935,1.94361,6.35399,1.34554,13.28097,2.23098,7.38827,1.41404,3.84242,0.55336,4.19235,2.53615,4.13908,7.16567,0.52519,0.13036,2.36048,0.0,2.80112,0.21514,8.54097,4.5981,45.65506,17.16243,14.49734,3.46625,1.173,0.25745,4.81093,24.85308,8.16579,3.04453,0.0,4.0676,3.38635,5.72832,42.79046,0.0,20.10149,4.79839,31.39403,4.90357,4.04496,0.34758,7.16669,0.0,0.78135,4.31883,5.27713,1.58226,2.38758,4.79637,16.26609,26.08362,0.0,9.75528,5.05674,4.80808,3.4171,2.45627,10.64748,1.60552,7.50328,1.35733,7.92709,1.4897,0.00018,3.47112,0.0,0.0,1.95629,3.70271,2.79108,6.02465,0.0,1.29427,1.44868,0.0,7.00036,5.24295,3.3422,20.69887,27.05618,0.0,2.49232,45.441,0.0,0.0,12.79103,0.0,0.0,20.96893,30.56514,0.0,0.36919,2.64519,6.01129,1.76123,0.0,12.50458,0.0,0.724,4.57862,5.57578,18.47957,8.2492,7.99624,40.74975,0.0,8.49763,0.47554,2.08038,2.03167,2.46455,3.57287,26.61648,2.90281,1.58994,9.97582,18.9118,28.40066,6.16191,0.89198,0.0,2.57828,3.31211,5.74412,4.01185,0.0,2.26309,0.0,6.83199,0.0,2.52064,8.12102,38.43122,5.01602,3.04376,2.0665,4.01234,8.60078,9.53257,6.62303,15.95404,2.05166,40.35682,0.0,32.91967,1.10702,0.0,2.3423,0.89769,7.23075,6.53214,2.93119,2.78415,2.76751,38.86085,2.33887,5.03072,1.87427,4.12154,2.67734,0.0,0.0,8.63321,0.17008,6.67037,5.64877,6.58313,0.0,4.16511,8.62746,0.92859,3.21273,3.03938,1.78147,2.74574,2.54302,10.81595,0.0,0.65015,4.72262,6.57757,5.01473,5.8783,4.85635,3.56361,5.38058
-3.5,5.5766,11.81213,12.2636,17.9845,5.22895,0.0,6.23853,2.81836,14.66196,7.25516,0.0,21.23111,21.92119,10.05853,5.68133,28.21394,16.88813,0.13794,12.02609,3.01158,8.16758,14.56657,11.61676,0.0,0.0,2.37869,15.10405,0.0,24.74504,18.75318,10.66849,5.14265,2.14791,7.19437,6.09839,5.34166,0.0,7.13097,1.53312,7.86654,8.46845,5.27744,2.89498,1.92024,3.82549,3.50604,3.05878,13.64367,7.19044,0.88851,3.50489,4.28035,0.73934,8.22643,12.58202,11.33956,1.43871,6.77458,0.87318,4.19235,2.53918,4.13908,5.8654,1.53925,0.13036,4.23707,0.0,3.20976,0.21514,9.1485,4.5981,46.84784,23.5531,14.54416,3.5686,1.173,4.42965,7.86628,17.25355,8.1658,3.04453,10.15425,4.0676,3.45347,5.72832,43.08683,0.0,13.29884,4.80718,31.43506,4.34817,4.04496,3.66906,7.16669,11.56241,0.78135,4.31883,5.27713,24.31069,2.6923,4.51323,11.09584,15.23516,13.90741,9.75528,9.61782,4.80808,9.88879,2.45627,8.47247,7.29021,16.70191,1.16523,3.63088,2.90629,0.13223,3.1031,12.34405,7.77595,2.26826,3.72004,2.33639,9.85849,5.32534,1.36569,2.14616,0.0,7.18236,5.39299,2.88351,20.69887,27.84721,0.0,2.79496,45.54482,25.19888,0.0,12.85249,0.0,0.0,21.16901,32.67473,0.0,0.36919,2.94383,4.58292,1.74922,46.1698,12.50458,28.38222,0.724,5.16534,5.64427,18.4796,10.09718,7.74312,42.01826,9.04433,8.70583,1.39815,2.95936,1.96224,4.82708,3.57287,22.57588,2.69256,3.14484,10.08091,19.05379,29.82813,7.33499,0.94539,3.18887,2.40074,3.29883,10.23286,4.41266,3.7833,2.2594,0.0,6.83212,12.47307,2.50522,6.51528,21.00739,5.01602,7.86218,2.0665,4.04836,15.4551,9.70819,5.48396,16.24836,1.47919,41.58753,0.0,32.91969,1.46724,0.0,4.88015,1.28485,7.24174,4.35677,2.93119,2.82384,2.28733,38.86085,3.17333,5.1302,1.33569,1.98148,1.80165,4.02808,0.0,8.35638,1.37922,6.74592,3.4235,7.24593,0.04699,3.835,8.62746,1.02911,3.86765,3.03938,1.15077,2.74574,2.47302,5.82214,19.98765,1.17714,4.72262,6.85217,4.69099,5.8969,5.12879,10.24212,3.68854
-3.25,5.70766,8.97129,9.51143,11.361,5.40542,71.81642,6.2496,2.82427,13.74009,9.11772,3.78445,21.34139,25.192,10.06529,10.31269,28.64873,16.98549,8.10401,12.03135,4.06426,15.13533,14.56657,11.61676,9.94668,0.45719,2.37869,14.27193,0.0,24.74504,25.27514,25.34803,6.86617,4.97039,6.00113,4.92667,4.85182,0.0,7.89015,1.3266,6.13449,8.89111,5.59597,2.92478,1.82463,3.23094,3.04655,4.02367,11.10783,6.57582,1.10616,2.6149,13.03424,0.59147,6.05083,11.40169,11.63137,1.81603,5.45113,1.19865,4.19235,3.53875,4.08134,6.13301,2.92573,0.13036,4.31403,0.0,1.92244,0.21514,8.60726,4.60082,47.54223,24.72628,23.81156,3.77546,2.93101,4.46258,5.8921,17.25355,8.1658,3.14562,10.15425,4.06762,3.34222,5.72832,43.08684,0.0,8.94899,4.25209,31.71145,6.35393,7.53944,3.66906,4.31176,11.56241,0.61315,4.33601,5.11592,28.60121,2.98546,3.08368,11.22825,11.57418,23.13146,6.07694,14.81054,4.46407,7.11971,2.8536,7.05848,10.45202,28.4159,1.40164,3.64623,2.27033,0.45131,2.33979,12.34405,26.07978,2.22521,4.53406,1.87629,10.09569,6.25301,1.38187,2.17159,16.32086,26.8198,8.17303,2.80889,20.69887,28.82036,3.25002,8.81723,37.39476,27.75602,0.0,7.51102,0.0,0.0,20.81642,31.79643,0.0,13.74508,2.58499,4.30757,1.4786,24.8935,12.5046,22.01876,0.724,5.4476,4.7745,23.27273,12.18125,14.0186,43.1325,17.9487,7.31719,1.53152,2.22771,2.32025,4.5054,8.00728,25.84428,2.69256,2.28234,8.83775,8.06973,30.17706,13.54527,0.94539,3.18889,2.85522,3.69848,8.17162,3.79843,3.7833,1.96159,0.87371,6.83215,11.08775,1.88448,7.3772,21.15811,11.94525,6.04934,3.10397,4.37179,15.4551,9.78577,3.83574,19.6493,2.08896,46.27554,31.35233,35.62138,1.43249,11.72616,3.69153,1.51586,7.24174,6.07929,2.11551,11.72676,1.98357,20.33144,3.17333,5.1302,2.42397,2.86937,1.81743,4.02808,0.0,8.35638,2.46614,6.74592,2.96407,12.54387,5.87879,3.21436,7.07717,1.02911,3.86765,3.03938,1.15077,2.48151,2.36913,6.12301,19.98771,2.60954,4.37977,6.24319,3.69058,5.34114,4.62614,6.71751,3.51727
-3.0,3.87445,8.97129,9.31612,15.63393,5.40542,66.20228,6.2496,5.27518,13.74009,10.07295,5.35139,21.82464,21.71438,6.46947,9.17292,23.88538,16.98549,8.15754,7.32124,7.27175,10.14716,15.01364,8.39196,24.40016,4.55013,2.37869,14.27193,0.0,24.78596,22.21845,25.34803,8.34893,4.97039,6.57238,4.22763,4.85491,0.0,8.34518,1.49585,4.8039,8.94119,5.09722,2.94457,1.87713,2.98936,3.76314,4.36533,11.7318,6.75401,1.2852,3.85492,8.51644,0.87465,4.31134,8.43868,13.41749,2.38699,6.8121,1.69838,3.23603,3.04339,10.66091,7.94801,4.45913,1.62006,3.85976,0.0,11.81935,0.21514,9.33632,6.18355,49.22674,24.93566,18.92959,3.99521,2.21726,7.66722,5.42339,14.80455,8.18463,3.40879,10.15425,4.06763,5.87274,3.65483,43.08684,6.14713,9.96402,2.75782,28.61567,6.35393,8.14364,3.39292,7.21053,7.86021,2.28716,3.76039,4.66816,14.17119,4.99764,3.41635,11.22825,11.57419,22.59814,7.39429,14.81054,4.46407,8.18816,3.2463,6.09555,11.32479,26.70318,2.72578,4.85543,4.11716,0.65726,1.94706,7.41212,26.86068,1.912,4.01878,2.44749,9.59683,6.8666,1.24679,2.58366,27.29127,28.07403,8.17304,3.17564,20.69887,31.88284,4.73287,11.37079,39.07974,31.06023,28.44103,8.39116,0.0,0.0,23.04907,21.44822,0.0,13.93591,2.15799,4.14046,1.54258,29.10068,12.5046,14.88512,0.724,5.53928,4.0895,23.48908,11.03591,12.27114,45.66293,24.19026,7.5964,2.73978,2.11605,2.8038,4.17089,10.64226,21.17386,2.78906,2.11173,8.02715,6.53777,30.24966,13.64939,0.68385,3.09805,2.8428,3.81543,8.17162,3.48872,3.32275,2.91143,12.16013,2.29858,13.7877,1.93621,8.93626,19.28137,8.73497,6.04456,3.06518,4.7963,8.96224,8.33631,3.83574,19.89632,2.59153,46.59976,22.03932,36.37561,1.67894,20.05924,3.56766,1.51586,3.56305,7.02023,4.08943,12.6718,1.98357,12.11088,3.51522,5.1302,2.06394,1.94048,9.87621,5.23233,0.0,5.82902,3.89745,7.37584,3.39991,12.54387,11.07347,3.21436,7.26706,1.0172,3.48284,3.65561,1.14434,1.91961,2.37326,5.79178,19.98774,3.061,4.42095,6.06685,3.88993,4.75958,3.96011,6.71751,3.1256
-2.75,8.14246,7.40671,9.31612,17.24556,4.38854,46.20817,5.78696,5.27518,11.75957,9.26867,13.10094,16.99411,17.51055,7.70442,8.2228,23.88538,11.12252,8.97574,7.32124,7.27175,8.05325,15.01364,10.16529,24.40016,4.55013,9.03171,12.88715,13.87169,12.46822,22.93146,27.92745,8.34893,5.90771,6.65767,3.76953,3.83806,0.0,7.68051,1.59843,3.96379,11.84662,5.30657,2.5042,2.35427,2.62099,3.63571,3.10614,10.09022,5.67364,1.23305,3.77646,8.08309,2.53208,2.89129,7.19187,15.61693,2.94596,6.20617,2.45265,3.36403,2.67175,7.03291,7.81129,7.36067,3.48375,4.46418,3.77777,8.3652,3.23508,7.27379,6.85766,49.74574,19.86294,15.2794,4.01864,3.13727,7.66722,5.42339,9.65261,8.18463,4.24827,10.15425,4.06763,5.83833,3.29052,77.65892,6.14713,9.96402,3.64146,28.73455,6.15241,8.14364,2.89407,10.12267,12.53037,2.28716,3.39112,4.66816,9.18045,4.44882,3.2073,11.41679,11.57419,22.61904,7.20384,11.31328,6.36642,5.91496,3.19172,6.09555,11.33409,25.14824,7.55705,4.75433,3.60847,0.67385,1.9741,8.43931,27.35414,2.38361,5.70762,2.47992,7.15901,7.2914,1.27581,2.49525,13.95865,34.64768,6.5596,3.26816,10.91212,33.18122,7.10783,11.73891,39.82315,44.009,31.20626,7.7869,5.84637,38.93078,23.79959,28.22527,12.25967,16.7165,2.58236,4.20628,1.66647,36.07487,8.65534,15.85324,0.724,5.77829,4.77835,27.0616,12.38245,10.86297,47.56512,21.86495,6.58736,2.91224,1.89811,2.60896,4.18713,8.53347,14.21789,2.47607,2.3404,7.35697,6.33526,30.43719,13.68764,0.6956,3.92716,2.8428,3.81543,8.23223,3.40437,3.13463,2.20483,7.92616,2.29858,20.64155,1.63905,7.85536,16.14082,8.85141,4.85119,2.39963,5.34123,8.53641,8.54565,3.33356,11.53942,3.05109,46.72905,18.19873,36.67371,1.68807,8.31915,3.6101,1.3465,2.91141,7.02023,3.30819,12.68934,1.61841,13.03748,4.85224,2.9464,2.06394,1.94048,11.83285,4.2333,0.55328,5.89624,4.37017,8.57727,3.39991,8.54943,11.51345,2.3432,7.26706,1.11722,2.75518,3.65561,1.14434,1.91961,2.2039,6.19704,19.98779,2.50561,4.42095,6.06685,3.19379,4.68045,3.96011,7.73378,3.13914
