,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.2166,0.09199,0.14038,0.14812,0.18854,0.12337,0.0,0.06415,0.0,0.07312,0.06784,0.0,0.0,0.08965,0.07642,0.06629,0.0,0.23668,0.27027,0.0,0.1233,0.0,0.0,0.0,0.0834,0.0,0.22777,0.0,0.10192,0.06429,0.0,0.25233,0.31863,0.27232,0.33136,0.08008,0.16823,1.59783,0.30212,0.19102,0.0,0.0,0.38204,0.1643,0.11019,0.0,0.0,0.0,0.18329,0.16375,0.0,0.0924,0.28833,0.0864,0.24096,0.39214,0.11833,0.12154,0.22529,0.20144,0.12102,0.0,0.09396,0.0841,0.10746,0.10835,0.18836,0.0,0.18837,0.12436,0.0,0.10998,0.0,0.25252,0.10202,0.22465,0.09772,0.1041,0.07712,0.0,0.0,0.09259,0.14675,0.12824,0.08324,0.13796,0.15562,0.0,0.08826,0.0,0.22922,0.17499,0.0876,0.0,0.12028,0.09706,0.12575,0.09996,0.0,0.0,0.11281,0.06955,0.0,0.0,0.07541,0.10167,0.09835,0.11551,0.30671,0.09039,0.06673,0.08402,0.0,0.0,0.11206,0.09955,0.1404,0.14226,0.40956,0.2507,0.37006,0.0,0.0,0.14845,0.21638,0.13467,0.64444,0.0,0.0,0.0,1.45585,3.10453,5.63783,0.0,0.0,0.0,0.0,0.71407,0.69128,0.0,0.0,0.0,0.95166,0.57807,0.2184,0.4409,0.16466,0.25596,0.0,0.61304,0.37054,0.27505,0.32875,0.93111,0.34493,0.0,1.47885,0.0,0.24716,0.28163,0.23832,0.13376,0.18769,0.0,0.13921,0.13641,0.13695,0.45894,0.57811,0.4389,0.14271,0.15937,0.2123,0.0,0.19487,0.11335,0.14482,0.13095,0.104,0.13892,0.29423,0.50583,0.0,0.0,0.20967,0.18098,0.16277,0.11379,0.2616,0.10859,0.16091,0.20812,0.15692,0.17456,0.12395,0.0,0.67104,0.13852,0.26524,0.1833,0.20952,0.0,0.16752,0.0,0.1434,0.11058,0.11326,0.0958,0.16169,0.11135,0.0,0.1116,0.0,0.0,0.1181,0.14772,0.07572,0.20758,0.08516,0.10744,0.15569,0.09781,0.10261,0.12207,0.1177,0.08293,0.15876,0.5503,0.14425,0.09345,0.18914,0.43566,0.09764,0.10616,0.11657,0.0944,0.10631,0.23322
-4.75,0.2166,0.09199,0.14038,0.13445,0.18854,0.10913,0.0,0.08334,0.0,0.07204,0.06462,0.08086,0.0,0.08965,0.07324,0.06415,0.0,0.23668,0.27027,0.0,0.1201,0.0,0.05757,0.0637,0.0834,0.0,0.22777,0.0,0.10192,0.06429,0.0,0.22069,0.2956,0.27232,0.31289,0.07675,0.16093,1.53647,0.29636,0.19042,0.58085,0.0,0.36837,0.1486,0.10247,0.33997,0.0,0.0,0.18329,0.14871,0.0,0.08868,0.22465,0.0864,0.24096,0.37848,0.11675,0.11559,0.22529,0.18506,0.10631,0.0,0.10046,0.08095,0.09396,0.10621,0.18836,0.0,0.18837,0.12436,0.10251,0.10904,0.0,0.241,0.09523,0.20857,0.09664,0.1009,0.07712,0.0,0.0,0.09259,0.14675,0.12611,0.10978,0.08507,0.13822,0.14371,0.08428,0.0,0.22922,0.17499,0.0876,0.0,0.12028,0.08404,0.12575,0.09674,0.0,0.0,0.10684,0.06624,0.0,0.06897,0.07541,0.10167,0.077,0.09555,0.31959,0.09039,0.06673,0.08402,0.0,0.0,0.10602,0.0944,0.13453,0.11658,0.39901,0.23308,0.37006,0.0,0.11756,0.14227,0.21373,0.13467,0.64444,0.0,0.0,0.57594,1.3387,2.91443,5.43005,0.0,0.0,0.0,0.0,0.63708,0.65815,0.0,0.0,0.85981,0.974,0.57066,0.19111,0.42273,0.15068,0.22986,0.0,0.61707,0.36253,0.26095,0.34374,0.84613,0.33992,0.0,1.47126,0.0,0.23132,0.26572,0.22026,0.12609,0.18533,0.09614,0.13921,0.13544,0.13695,0.43871,0.57811,0.40315,0.13049,0.1472,0.18546,0.11157,0.19487,0.10789,0.14482,0.13095,0.09992,0.13892,0.2452,0.4501,0.67919,0.0,0.20082,0.17198,0.15849,0.11163,0.232,0.09815,0.15784,0.20595,0.15324,0.18262,0.12263,0.97244,0.63489,0.13852,0.25415,0.18012,0.20532,0.10977,0.14957,0.0,0.13649,0.10848,0.11326,0.08331,0.16169,0.10929,0.0,0.09299,0.0,0.0,0.11073,0.14772,0.07572,0.19285,0.08516,0.10338,0.15569,0.09646,0.10671,0.11956,0.1177,0.08089,0.1372,0.53734,0.13796,0.08902,0.18914,0.41273,0.09764,0.10323,0.11621,0.09168,0.10506,0.23014
-4.5,0.2166,0.09199,0.14038,0.13365,0.18854,0.09524,0.0,0.08334,0.06453,0.07096,0.06139,0.07594,0.07052,0.08965,0.07324,0.06172,0.0,0.23668,0.27027,0.06404,0.1201,0.0,0.05757,0.07006,0.07039,0.0,0.22777,0.0,0.10192,0.06429,0.0,0.19261,0.28248,0.26089,0.27734,0.07362,0.14972,1.5147,0.28214,0.18328,0.58085,0.0,0.35943,0.14189,0.09311,0.30501,0.0,0.0,0.18329,0.14743,0.0,0.08515,0.22465,0.08153,0.22622,0.33482,0.11057,0.11185,0.22529,0.17514,0.09813,0.0,0.10046,0.08095,0.08995,0.10621,0.18836,0.0,0.18837,0.12103,0.0959,0.1007,0.0,0.23346,0.09458,0.20857,0.09557,0.1009,0.07172,0.07689,0.06445,0.08504,0.11943,0.12406,0.09909,0.08185,0.13098,0.1055,0.08428,0.0,0.1485,0.17499,0.08749,0.0,0.12028,0.07766,0.09521,0.09352,0.0,0.0,0.10202,0.06624,0.0,0.0658,0.06885,0.10167,0.07206,0.08832,0.31959,0.07499,0.06783,0.08402,0.07742,0.0,0.10222,0.08981,0.13375,0.10906,0.36898,0.22252,0.37006,0.0,0.11756,0.14075,0.21767,0.14843,0.57083,1.56531,0.0,0.55689,1.30643,2.87473,5.13766,0.0,0.0,0.0,0.0,0.61572,0.63745,0.0,0.0,0.85981,0.89958,0.53359,0.18555,0.39008,0.14151,0.228,1.07694,0.55436,0.34737,0.25324,0.3381,0.80369,0.32724,0.0,1.2941,0.0,0.2332,0.25593,0.2142,0.12609,0.18086,0.09614,0.12706,0.12858,0.11604,0.42259,0.54967,0.38394,0.137,0.1503,0.16242,0.10624,0.19487,0.10789,0.13629,0.1166,0.09585,0.13641,0.23214,0.45114,0.67919,0.31899,0.19437,0.15388,0.15635,0.11332,0.232,0.09478,0.15568,0.18896,0.15167,0.16904,0.11798,0.92357,0.60675,0.13247,0.2486,0.17269,0.15648,0.11464,0.13457,0.0,0.12825,0.10568,0.11326,0.08332,0.14518,0.10051,0.0,0.09093,0.0,0.0,0.1097,0.10968,0.07455,0.18749,0.08088,0.09867,0.15569,0.08755,0.08625,0.11479,0.11151,0.08089,0.1185,0.49414,0.12673,0.08726,0.17375,0.3877,0.09557,0.10264,0.11621,0.08722,0.1009,0.2057
-4.25,0.17731,0.07135,0.14038,0.13284,0.13699,0.08904,0.0,0.07161,0.06028,0.06609,0.05816,0.0722,0.06895,0.08502,0.06172,0.06012,0.0,0.23668,0.27027,0.06564,0.08417,0.17522,0.05118,0.06161,0.07039,0.05763,0.11967,0.05772,0.10049,0.06429,0.064,0.16492,0.25949,0.26089,0.27565,0.07345,0.14626,1.38671,0.27312,0.17012,0.51795,0.58157,0.34409,0.13596,0.09036,0.28517,0.08256,0.0,0.18329,0.13749,0.0,0.08301,0.22465,0.08153,0.23874,0.32749,0.10418,0.10544,0.13515,0.16099,0.10335,0.0,0.09236,0.07771,0.09126,0.10621,0.18024,0.0,0.17959,0.12001,0.0926,0.09543,0.90312,0.22998,0.08852,0.20857,0.0945,0.09093,0.06741,0.07689,0.06278,0.0846,0.11943,0.11495,0.09271,0.07414,0.12665,0.10231,0.0811,0.05772,0.14689,0.11835,0.07459,0.0,0.12028,0.07658,0.09296,0.08374,0.08739,0.0,0.0952,0.06296,0.0,0.06247,0.06558,0.10167,0.07206,0.08571,0.29218,0.07136,0.07005,0.08402,0.07569,0.0,0.0988,0.09425,0.12438,0.10875,0.34783,0.22019,0.37006,0.08345,0.1141,0.13222,0.20773,0.13947,0.55653,1.49119,0.0,0.52378,1.16953,2.60212,5.10099,0.0,1.03363,0.0,0.0,0.60696,0.6209,0.0,0.0,0.76984,0.89958,0.51148,0.16935,0.37676,0.13679,0.21131,1.01993,0.56112,0.33157,0.24309,0.29225,0.78056,0.31846,0.12102,1.25287,0.0,0.21483,0.25593,0.20487,0.11998,0.17254,0.09823,0.11002,0.12802,0.10255,0.40386,0.4754,0.36721,0.13292,0.14616,0.16032,0.09706,0.19487,0.10516,0.1112,0.11458,0.09271,0.13229,0.21968,0.41273,0.61392,0.30457,0.17945,0.14223,0.15421,0.11188,0.232,0.09021,0.14591,0.18751,0.1393,0.15591,0.11232,0.86224,0.54619,0.13167,0.24028,0.16634,0.15528,0.10979,0.13379,0.0,0.12645,0.1061,0.11326,0.08422,0.14518,0.09777,0.0,0.09093,0.0,0.08653,0.1097,0.10968,0.07212,0.17951,0.08088,0.09116,0.14819,0.08755,0.08625,0.11037,0.07833,0.07606,0.11303,0.48118,0.12184,0.07864,0.15633,0.37102,0.10959,0.09855,0.1057,0.08467,0.10125,0.20029
-4.0,0.17731,0.06605,0.1038,0.11598,0.12508,0.08786,0.06097,0.06949,0.05814,0.06609,0.05493,0.06873,0.06416,0.08342,0.05911,0.06012,0.0,0.14405,0.11567,0.06564,0.08417,0.16885,0.05118,0.06376,0.0651,0.05663,0.11861,0.0663,0.09642,0.06429,0.0624,0.15843,0.25731,0.23893,0.25887,0.06899,0.14251,1.30016,0.26142,0.1683,0.5396,0.54049,0.3396,0.13255,0.09081,0.28352,0.08241,0.08491,0.18329,0.13659,0.0,0.08035,0.22465,0.0758,0.23455,0.30437,0.09388,0.09713,0.13515,0.15168,0.10093,0.08768,0.09231,0.07288,0.09062,0.10301,0.18024,0.0,0.17959,0.1152,0.0926,0.09261,0.90638,0.21045,0.08102,0.20857,0.08377,0.08587,0.06418,0.07689,0.05956,0.07191,0.09051,0.11079,0.08354,0.07058,0.12346,0.10071,0.07832,0.057,0.11834,0.11835,0.06353,0.06655,0.12028,0.07551,0.09166,0.08061,0.06801,0.25071,0.09203,0.05796,0.0,0.05811,0.0623,0.10167,0.06796,0.08571,0.27706,0.0701,0.06531,0.06822,0.074,0.0,0.08953,0.08561,0.11981,0.10069,0.33553,0.21599,0.35854,0.08251,0.09147,0.13151,0.20806,0.12425,0.5417,1.41718,0.73238,0.50739,1.13396,2.46201,4.47646,0.0,0.97874,0.0,0.0,0.60703,0.6209,0.0,1.28269,0.75095,0.77331,0.46918,0.16514,0.37412,0.12271,0.20116,0.98449,0.52059,0.32435,0.23225,0.30747,0.75878,0.29566,0.12102,1.18013,0.0,0.20574,0.25397,0.19708,0.11088,0.15555,0.09617,0.10334,0.12286,0.10441,0.38339,0.46416,0.33653,0.12935,0.1419,0.15275,0.09315,0.19487,0.1038,0.10914,0.11321,0.09135,0.12864,0.21899,0.38857,0.54873,0.29044,0.17339,0.13248,0.13847,0.109,0.22425,0.08713,0.14018,0.1841,0.13329,0.15396,0.10689,0.82136,0.4974,0.12075,0.22978,0.15253,0.148,0.09445,0.1259,0.0,0.12645,0.10069,0.11326,0.07828,0.14206,0.09777,0.0,0.09093,0.09893,0.0811,0.10019,0.09799,0.07158,0.16612,0.07687,0.08914,0.14519,0.07443,0.08081,0.1032,0.07833,0.07291,0.10915,0.45404,0.11659,0.07141,0.13653,0.35879,0.10326,0.09313,0.08957,0.08302,0.09558,0.19705
-3.75,0.14723,0.06181,0.08959,0.11405,0.10764,0.08073,0.05885,0.05981,0.05551,0.0575,0.05493,0.0666,0.06095,0.08006,0.05489,0.05933,0.0,0.14405,0.09901,0.05924,0.07746,0.15613,0.04798,0.05995,0.05917,0.05766,0.10494,0.0663,0.09642,0.05942,0.0592,0.15843,0.24855,0.23893,0.23022,0.06775,0.13902,1.22856,0.24987,0.16444,0.50137,0.53397,0.33074,0.12433,0.0914,0.26335,0.07908,0.0796,0.12695,0.12686,0.07611,0.0734,0.22249,0.07488,0.24939,0.28759,0.08699,0.09231,0.11536,0.13822,0.09354,0.08234,0.0805,0.07579,0.07865,0.09656,0.18024,0.0,0.17959,0.1093,0.09665,0.08254,0.78021,0.2029,0.07549,0.20857,0.07734,0.08119,0.06004,0.07689,0.05795,0.07191,0.08344,0.10935,0.07741,0.07058,0.10278,0.10071,0.0741,0.057,0.10167,0.11835,0.0676,0.06655,0.09102,0.07066,0.07389,0.08708,0.06228,0.24083,0.0883,0.05679,0.0,0.05595,0.06009,0.09525,0.06551,0.08505,0.27706,0.06552,0.06046,0.07251,0.06813,0.06358,0.08728,0.07918,0.11034,0.09402,0.3285,0.19196,0.35278,0.09215,0.07359,0.13056,0.19892,0.11755,0.48158,1.34328,0.71901,0.48165,1.06164,2.37829,4.18054,1.2206,0.93305,0.0,0.72308,0.55837,0.60849,0.0,1.19683,0.70296,0.83641,0.46316,0.15058,0.35828,0.12023,0.19373,0.93567,0.49952,0.30666,0.22844,0.22513,0.6991,0.28805,0.12102,1.07356,0.0,0.19835,0.25201,0.20326,0.10638,0.15408,0.09516,0.10613,0.1195,0.10479,0.41267,0.43716,0.32342,0.12608,0.13164,0.14209,0.10274,0.19487,0.10104,0.09809,0.11047,0.08709,0.11955,0.19269,0.37656,0.52702,0.27895,0.16521,0.12468,0.12947,0.10756,0.20942,0.08544,0.13228,0.18454,0.12521,0.14992,0.1063,0.76662,0.48521,0.11264,0.21771,0.15698,0.1298,0.08892,0.12404,0.07566,0.12466,0.0864,0.11326,0.07316,0.1278,0.10271,0.0925,0.08475,0.09893,0.0811,0.09517,0.08847,0.06994,0.16342,0.07485,0.08611,0.12298,0.07122,0.07309,0.10169,0.0738,0.06806,0.10811,0.41164,0.10859,0.07049,0.13702,0.32545,0.10035,0.08327,0.08391,0.0814,0.09083,0.1832
-3.5,0.13049,0.05726,0.07999,0.10856,0.10401,0.07744,0.05564,0.05674,0.05326,0.05643,0.05061,0.06032,0.05902,0.07531,0.05254,0.05228,0.0,0.14405,0.09847,0.05924,0.07052,0.14659,0.04985,0.05995,0.05917,0.05766,0.10494,0.06095,0.0863,0.05942,0.0592,0.14306,0.22987,0.21862,0.23017,0.06465,0.13256,1.16176,0.24434,0.14804,0.43852,0.47577,0.31272,0.10879,0.08749,0.26464,0.08903,0.07951,0.1148,0.12098,0.07504,0.0708,0.22141,0.07677,0.24384,0.27694,0.08422,0.08146,0.09866,0.11747,0.09213,0.08125,0.07635,0.07314,0.07184,0.10301,0.13633,0.0,0.17959,0.10376,0.10265,0.07816,0.76338,0.18852,0.07587,0.20857,0.06702,0.07416,0.05603,0.06727,0.05257,0.06706,0.08084,0.10282,0.06695,0.07013,0.09896,0.09752,0.06783,0.05583,0.08392,0.08755,0.06529,0.06062,0.06185,0.06595,0.07462,0.07053,0.05858,0.22438,0.08237,0.05345,0.0,0.05035,0.05791,0.09361,0.06168,0.07965,0.27422,0.06074,0.05953,0.06986,0.06774,0.06035,0.08452,0.07369,0.10577,0.08795,0.29671,0.18537,0.35047,0.08783,0.06773,0.1074,0.17621,0.11478,0.45665,1.25397,0.65216,0.43655,0.99543,2.16764,4.00408,1.13045,0.8509,0.0,0.68941,0.51646,0.553,0.0,1.11779,0.65638,0.66957,0.44127,0.14556,0.33147,0.11196,0.18816,0.90819,0.48955,0.28237,0.20443,0.21381,0.63044,0.24415,0.12005,1.08348,0.73575,0.19079,0.22265,0.18747,0.10547,0.1509,0.09196,0.09712,0.11424,0.10056,0.38863,0.41961,0.31927,0.12469,0.13426,0.13627,0.09265,0.13865,0.08907,0.09615,0.10719,0.08264,0.11204,0.18645,0.35118,0.48363,0.26806,0.15746,0.11728,0.11329,0.09694,0.20096,0.0817,0.12793,0.17491,0.11789,0.14837,0.09889,0.7209,0.45313,0.10583,0.20019,0.15897,0.11289,0.08675,0.11555,0.07367,0.10866,0.08058,0.10508,0.07316,0.11726,0.09313,0.09341,0.07109,0.09893,0.07732,0.0837,0.08682,0.06498,0.1352,0.06951,0.07424,0.11565,0.06385,0.06362,0.09312,0.06985,0.06806,0.09219,0.40016,0.10387,0.06827,0.1268,0.32126,0.08444,0.07588,0.07672,0.07707,0.09031,0.17519
-3.25,0.09599,0.05332,0.07434,0.09504,0.09749,0.06875,0.052,0.05126,0.04935,0.04982,0.04586,0.05889,0.05633,0.06638,0.04852,0.04711,0.0,0.14405,0.08465,0.06735,0.0565,0.13704,0.04545,0.05995,0.05502,0.05526,0.06408,0.05937,0.0863,0.04729,0.05651,0.11808,0.20355,0.20447,0.21027,0.05946,0.12905,1.05923,0.22621,0.14466,0.42579,0.44984,0.27485,0.10151,0.08412,0.24354,0.08085,0.07533,0.1043,0.10878,0.06946,0.069,0.11625,0.0699,0.22748,0.27003,0.0814,0.07587,0.09171,0.11395,0.08448,0.07909,0.07282,0.06278,0.06414,0.08086,0.13525,0.06644,0.15772,0.09977,0.08352,0.07307,0.69065,0.17665,0.07128,0.20857,0.06142,0.0743,0.05167,0.05878,0.05345,0.06334,0.06661,0.10161,0.06034,0.06238,0.09403,0.08205,0.0634,0.05463,0.07306,0.08755,0.06529,0.05846,0.05781,0.06509,0.06755,0.07017,0.05477,0.22438,0.0769,0.05345,0.05274,0.04994,0.05322,0.08292,0.05989,0.06314,0.24158,0.0586,0.05953,0.06357,0.06323,0.05625,0.07965,0.07198,0.09947,0.0827,0.27915,0.17542,0.26735,0.07908,0.06042,0.09987,0.16581,0.09458,0.4251,1.15579,0.63766,0.4128,0.91741,2.04774,3.69977,1.06518,0.82224,0.0,0.66223,0.48129,0.46616,1.41651,1.05635,0.58615,0.65041,0.41059,0.12764,0.3197,0.10206,0.16453,0.84517,0.39351,0.26458,0.19514,0.20647,0.60258,0.22898,0.11544,0.9924,0.67831,0.1787,0.21678,0.17019,0.09949,0.14274,0.08697,0.09434,0.11096,0.09496,0.32969,0.38805,0.29322,0.11228,0.13178,0.1267,0.08248,0.10199,0.08311,0.09286,0.10474,0.08418,0.10499,0.18508,0.33014,0.45918,0.24361,0.14774,0.11768,0.10595,0.08874,0.19674,0.07693,0.11953,0.14512,0.11652,0.13921,0.09564,0.67101,0.41908,0.10005,0.18994,0.14019,0.10452,0.08097,0.11226,0.07156,0.10096,0.07468,0.09523,0.06771,0.10147,0.08576,0.0878,0.06661,0.08451,0.0701,0.08076,0.07521,0.05852,0.13253,0.06763,0.07371,0.10815,0.06385,0.05964,0.08766,0.06426,0.06393,0.09219,0.38477,0.09888,0.06484,0.1166,0.29477,0.0793,0.07061,0.07709,0.07368,0.08352,0.15786
-3.0,0.09295,0.05057,0.06797,0.08661,0.08092,0.0644,0.04904,0.04993,0.04841,0.04863,0.04339,0.05752,0.05489,0.06017,0.04464,0.04711,0.05432,0.08956,0.07701,0.05937,0.05223,0.14022,0.04301,0.06326,0.05408,0.04943,0.06152,0.0567,0.07517,0.04632,0.05118,0.11045,0.19478,0.20026,0.18503,0.05773,0.12002,1.01131,0.20111,0.13026,0.38385,0.412,0.25234,0.08908,0.08068,0.22909,0.07394,0.07361,0.09083,0.10099,0.06307,0.06423,0.10176,0.06254,0.20704,0.26088,0.07669,0.07554,0.07494,0.10723,0.07599,0.07218,0.06765,0.05999,0.05995,0.07726,0.10378,0.06642,0.13468,0.09175,0.0814,0.06877,0.6407,0.16983,0.06629,0.30726,0.06142,0.06624,0.05167,0.05533,0.05018,0.05457,0.06468,0.09358,0.05566,0.05933,0.08351,0.06349,0.05737,0.05164,0.07103,0.06952,0.05836,0.05588,0.05472,0.0621,0.0587,0.0653,0.05197,0.23416,0.06995,0.05181,0.05427,0.05015,0.05241,0.07936,0.05603,0.05867,0.2247,0.05467,0.05658,0.06029,0.05924,0.05101,0.07495,0.06325,0.09559,0.07684,0.25273,0.15896,0.35396,0.0744,0.05858,0.09689,0.14517,0.08924,0.40412,1.12776,0.62924,0.39053,0.85537,1.87242,3.43537,1.01993,0.76038,0.0,0.62433,0.44033,0.44525,1.33505,0.99364,0.54878,0.60049,0.36882,0.12614,0.29882,0.09765,0.15427,0.7651,0.36202,0.24727,0.18162,0.18755,0.56325,0.21155,0.107,0.87343,0.64082,0.17007,0.19415,0.15821,0.09363,0.13585,0.07809,0.09217,0.10693,0.08699,0.31345,0.35065,0.28144,0.10527,0.12213,0.12297,0.08066,0.08939,0.07816,0.07986,0.09761,0.08055,0.0875,0.16366,0.3116,0.45697,0.22798,0.1409,0.11353,0.09852,0.08028,0.17769,0.06961,0.10987,0.14016,0.10548,0.12976,0.08921,0.6209,0.40764,0.0978,0.17929,0.13686,0.09865,0.07626,0.10461,0.07103,0.09185,0.07306,0.08568,0.06249,0.09234,0.07708,0.08326,0.06488,0.0866,0.06887,0.07644,0.07364,0.05852,0.12452,0.06398,0.06701,0.10725,0.05891,0.05964,0.08499,0.06099,0.0586,0.08281,0.36053,0.09619,0.06057,0.10988,0.26744,0.07552,0.06616,0.07071,0.06953,0.07309,0.15474
-2.75,0.07409,0.04654,0.06307,0.09038,0.06745,0.05805,0.04905,0.05102,0.04539,0.04532,0.04257,0.05281,0.05174,0.054,0.04453,0.04307,0.05756,0.07727,0.06359,0.05101,0.05223,0.14022,0.04301,0.05769,0.04958,0.04986,0.05806,0.05563,0.07017,0.0439,0.0453,0.08834,0.19318,0.1762,0.17675,0.05579,0.11744,0.96221,0.18705,0.12045,0.34208,0.39093,0.22578,0.08595,0.07516,0.20486,0.0727,0.07065,0.08262,0.09764,0.06368,0.0587,0.08483,0.05732,0.19736,0.23741,0.0739,0.06486,0.06515,0.10077,0.07451,0.06538,0.063,0.0546,0.05395,0.07259,0.08181,0.05962,0.12754,0.08828,0.07488,0.06474,0.6028,0.15762,0.05803,0.29199,0.0587,0.06024,0.04837,0.0516,0.0469,0.04883,0.06209,0.08788,0.05047,0.05508,0.07354,0.05865,0.05437,0.04931,0.06286,0.06104,0.05348,0.05078,0.04922,0.05507,0.05423,0.05895,0.0504,0.21548,0.0648,0.04924,0.06172,0.04568,0.05005,0.07007,0.051,0.05153,0.21248,0.05467,0.05191,0.05685,0.05772,0.04935,0.06865,0.05814,0.08756,0.07214,0.23161,0.15393,0.29853,0.06805,0.05436,0.09072,0.13705,0.08017,0.36263,0.98768,0.5588,0.36897,0.77154,1.74875,3.1469,0.93868,0.71644,0.70992,0.55355,0.40366,0.40516,1.24397,0.92106,0.50299,0.56387,0.34144,0.11119,0.27469,0.09206,0.14228,0.68779,0.33872,0.23326,0.17098,0.17436,0.49347,0.20976,0.10343,0.76957,0.59403,0.15115,0.18198,0.14626,0.08392,0.12152,0.07325,0.08497,0.10439,0.08079,0.2939,0.33725,0.25042,0.10213,0.11544,0.11864,0.07559,0.08333,0.07093,0.07299,0.08565,0.07725,0.08209,0.16516,0.27911,0.42884,0.21268,0.13288,0.10598,0.09548,0.08032,0.16748,0.06558,0.10504,0.12989,0.10387,0.12388,0.08285,0.56942,0.3624,0.09076,0.1636,0.13162,0.08929,0.07237,0.09681,0.06805,0.08597,0.06877,0.07739,0.05912,0.08038,0.07219,0.07692,0.06488,0.07481,0.06639,0.07618,0.07062,0.05532,0.11411,0.06398,0.06278,0.09658,0.05479,0.0561,0.08026,0.06099,0.05454,0.06967,0.32351,0.08671,0.05599,0.10578,0.24723,0.06872,0.06264,0.06568,0.06238,0.06594,0.14124
