,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.08246,0.0,0.11269,0.1291,0.12017,0.07376,0.0801,0.0,0.09035,0.07106,0.0,0.08337,0.14716,0.0,0.05774,0.0,0.14217,0.13114,0.07045,0.22127,0.0,0.0,0.06696,0.0,0.0,0.15728,0.06414,0.09762,0.06428,0.0,0.26275,0.13328,0.22887,0.17371,0.0,0.14415,1.09115,0.14489,0.25088,0.16829,0.21192,0.24353,0.18081,0.12956,0.13949,0.10933,0.0,0.31465,0.18185,0.0,0.0,0.24314,0.15834,0.17685,0.17167,0.0,0.0,0.0,0.23126,0.0,0.11707,0.09714,0.0,0.10119,0.13419,0.1755,0.0,0.18261,0.0,0.1057,0.0,0.32991,0.11632,0.09715,0.29123,0.10932,0.13065,0.11765,0.0,0.0,0.10943,0.14057,0.12498,0.09926,0.08439,0.10871,0.0,0.11759,0.07718,0.15508,0.12966,0.07786,0.11394,0.0,0.12939,0.15381,0.0,0.0,0.16603,0.12357,0.0,0.07225,0.0,0.0,0.1083,0.07201,0.12201,0.19775,0.14717,0.08317,0.12428,0.10064,0.0,0.13067,0.34056,0.11971,0.08981,0.0,0.12989,0.22824,0.0,0.0,0.0,0.19895,0.11455,0.24265,1.61353,0.0,0.2045,0.0,3.01449,0.0,0.0,0.86968,1.0814,0.8451,0.23105,0.1955,0.0,1.36448,0.38829,0.70948,0.0,0.18052,0.25084,0.19172,0.16776,0.0,0.31192,0.28031,0.16661,0.18064,0.73375,0.17092,0.0,1.216,0.89953,0.15919,0.15153,0.14399,0.0,0.16298,0.14353,0.17513,0.11322,0.0,0.24315,0.25315,0.19573,0.15465,0.14721,0.19424,0.11766,0.18659,0.09831,0.16079,0.13504,0.16881,0.17039,0.20615,0.32152,0.37651,0.14221,0.14645,0.13902,0.15207,0.11898,0.1382,0.12084,0.14293,0.13764,0.14617,0.14449,0.11836,0.49418,0.23578,0.14084,0.18605,0.13489,0.19966,0.12527,0.159,0.0,0.15699,0.12105,0.12163,0.09767,0.12649,0.11457,0.1303,0.10123,0.0,0.0,0.11602,0.11386,0.09835,0.13659,0.10934,0.12155,0.1435,0.0,0.0,0.12593,0.10733,0.0,0.11306,0.27382,0.148,0.12426,0.1394,0.24158,0.10926,0.17182,0.0,0.11275,0.0,0.13442
-4.75,0.0793,0.08246,0.0,0.12911,0.12261,0.10251,0.07222,0.08809,0.0,0.08068,0.06779,0.0,0.08337,0.10484,0.0,0.05774,0.0,0.14217,0.13114,0.07045,0.22127,0.0,0.0,0.06696,0.0,0.0,0.15728,0.06414,0.09762,0.06428,0.0,0.26275,0.11692,0.22887,0.16466,0.0,0.1422,1.10092,0.13291,0.22066,0.166,0.20185,0.24286,0.16216,0.1093,0.13327,0.09914,0.0,0.31465,0.17399,0.0,0.10277,0.24314,0.15834,0.17505,0.16042,0.0,0.0,0.19982,0.23126,0.0,0.11057,0.09876,0.0,0.09531,0.11808,0.1755,0.0,0.18422,0.10779,0.1057,0.0,0.31124,0.11976,0.1004,0.24337,0.10932,0.13065,0.11658,0.0,0.06445,0.10943,0.14057,0.12077,0.09286,0.0825,0.10874,0.08165,0.11759,0.07557,0.15508,0.12966,0.07786,0.11394,0.0,0.12939,0.15381,0.0,0.0,0.11199,0.11863,0.07604,0.07225,0.0,0.0,0.1083,0.07201,0.12201,0.19183,0.09722,0.07501,0.12428,0.08397,0.0,0.12036,0.32675,0.11913,0.08684,0.0,0.12297,0.21611,0.0,0.0,0.0,0.19895,0.13,0.23898,1.54282,0.83495,0.19647,0.0,2.8443,0.0,0.0,0.84686,1.0814,0.82779,0.2198,0.2027,0.0,1.30172,0.38432,0.6925,0.45848,0.18052,0.23333,0.17837,0.15166,0.0,0.29602,0.28031,0.16486,0.16584,0.732,0.17092,0.0,1.091,0.85594,0.15568,0.14435,0.1369,0.0,0.13309,0.10494,0.17513,0.10951,0.0,0.23471,0.22903,0.18285,0.15465,0.14006,0.16061,0.11766,0.18659,0.09829,0.13004,0.12487,0.16677,0.16734,0.2042,0.30178,0.35504,0.13217,0.13784,0.13689,0.14779,0.11323,0.1382,0.11777,0.12635,0.13402,0.14253,0.14209,0.10589,0.47741,0.22441,0.12723,0.17844,0.12945,0.1642,0.10984,0.159,0.0,0.14678,0.12105,0.11744,0.08449,0.1347,0.11183,0.12415,0.10123,0.0,0.0,0.11037,0.10143,0.09503,0.13613,0.09707,0.11548,0.14079,0.07736,0.10695,0.12593,0.10733,0.09948,0.10131,0.26808,0.14891,0.12323,0.13811,0.23462,0.10745,0.17099,0.0,0.11275,0.0,0.13442
-4.5,0.0793,0.08246,0.0,0.10156,0.12261,0.10171,0.06581,0.07689,0.0,0.08068,0.06779,0.0,0.06415,0.09633,0.07644,0.05692,0.0,0.14217,0.10395,0.05979,0.08516,0.19098,0.07993,0.06856,0.06229,0.0,0.0786,0.05774,0.09762,0.06428,0.0,0.2465,0.11626,0.22887,0.16043,0.0,0.1338,1.00688,0.12877,0.22066,0.16259,0.23217,0.24286,0.16044,0.10998,0.13119,0.09826,0.0,0.31465,0.15937,0.0,0.10277,0.19436,0.13441,0.16844,0.15548,0.10651,0.0,0.19982,0.16906,0.0,0.0884,0.09503,0.0,0.09531,0.11808,0.13302,0.0,0.16652,0.10779,0.09654,0.0,0.29436,0.11332,0.09492,0.24657,0.10932,0.10485,0.10666,0.0,0.06052,0.09662,0.14057,0.11738,0.08208,0.0791,0.10554,0.08211,0.11759,0.07309,0.15508,0.10055,0.0681,0.11394,0.0,0.12939,0.13151,0.0,0.07262,0.10979,0.10775,0.06938,0.07225,0.0,0.06561,0.09304,0.07201,0.12201,0.19017,0.08262,0.06956,0.12428,0.07112,0.0,0.12036,0.3233,0.11913,0.08639,0.1127,0.12146,0.21394,0.11771,0.07058,0.0,0.19895,0.1209,0.24174,1.5075,0.79057,0.18881,0.0,2.66579,3.00221,0.0,0.81033,0.98594,0.75456,0.20205,0.19281,0.0,1.30172,0.36718,0.60317,0.45822,0.18052,0.22308,0.1584,0.14795,0.0,0.28579,0.23733,0.16017,0.16249,0.70114,0.15323,0.0,1.09296,0.82422,0.14708,0.14243,0.13019,0.14766,0.12821,0.11055,0.17513,0.106,0.0,0.22962,0.21924,0.17075,0.15465,0.13627,0.1366,0.10802,0.18659,0.09205,0.13004,0.12487,0.14553,0.16734,0.20086,0.28858,0.34004,0.14671,0.12726,0.12832,0.14009,0.10892,0.13484,0.11436,0.12635,0.14622,0.13035,0.13911,0.10529,0.46342,0.21658,0.12057,0.16482,0.12945,0.14686,0.10324,0.159,0.0,0.14405,0.12105,0.12163,0.08097,0.13347,0.10137,0.1128,0.09917,0.0,0.0,0.10224,0.10007,0.0886,0.13216,0.09553,0.10738,0.14079,0.07737,0.10284,0.11752,0.1032,0.09327,0.10131,0.25835,0.14452,0.10144,0.13008,0.21168,0.10408,0.14983,0.12234,0.10254,0.0,0.13658
-4.25,0.0793,0.08246,0.0,0.10432,0.12019,0.09356,0.06658,0.07371,0.07417,0.06774,0.06349,0.0,0.061,0.09059,0.07333,0.05488,0.0,0.12784,0.10235,0.05706,0.08516,0.1878,0.07993,0.06696,0.05749,0.0,0.0786,0.05774,0.09005,0.06739,0.06081,0.24812,0.09976,0.22887,0.15809,0.0,0.1338,0.90944,0.12937,0.15281,0.1555,0.22763,0.22019,0.13907,0.10894,0.12376,0.09,0.0,0.31465,0.1535,0.0,0.10277,0.19328,0.08961,0.15861,0.14792,0.10075,0.0,0.19982,0.16906,0.0,0.08333,0.09395,0.0,0.08889,0.11808,0.11332,0.0,0.16652,0.09809,0.11276,0.0,0.28425,0.10019,0.09304,0.24657,0.10932,0.10053,0.10202,0.0,0.05932,0.07897,0.14057,0.10851,0.07556,0.0759,0.10372,0.07484,0.11125,0.07148,0.15508,0.10055,0.06701,0.16269,0.0,0.12939,0.1283,0.08077,0.07585,0.10869,0.10555,0.06938,0.07225,0.0,0.06547,0.0846,0.05905,0.12201,0.18341,0.07993,0.06964,0.12428,0.06892,0.0,0.09821,0.28881,0.11913,0.08573,0.1127,0.1098,0.2032,0.13814,0.06749,0.0,0.17061,0.11521,0.20664,1.39778,0.71446,0.1845,0.0,2.62572,2.83954,1.24548,0.76388,0.94449,0.7207,0.19588,0.18806,0.0,1.1946,0.35865,0.56628,0.43466,0.15444,0.21124,0.12882,0.14432,0.91319,0.28142,0.19891,0.14861,0.15854,0.64741,0.14941,0.0,1.07873,0.78473,0.14317,0.14078,0.12763,0.13387,0.11929,0.10842,0.16855,0.106,0.10565,0.21611,0.20742,0.16532,0.16153,0.13479,0.13078,0.10716,0.13392,0.09123,0.1207,0.11668,0.13388,0.15097,0.19419,0.27541,0.32279,0.13957,0.11883,0.12832,0.13504,0.10748,0.12854,0.10801,0.12771,0.1391,0.12786,0.13157,0.10121,0.43831,0.20349,0.12057,0.15889,0.12015,0.14639,0.10329,0.1576,0.10095,0.14327,0.10311,0.12163,0.07616,0.12933,0.09773,0.10763,0.10037,0.0,0.0,0.09823,0.09955,0.08563,0.12235,0.08637,0.09934,0.12624,0.07737,0.0843,0.10651,0.09818,0.08819,0.10062,0.25693,0.13757,0.09844,0.11069,0.20682,0.09787,0.14983,0.12265,0.10151,0.10276,0.13047
-4.0,0.07467,0.07129,0.0,0.10368,0.10841,0.08707,0.06658,0.06409,0.07088,0.05998,0.05972,0.07588,0.05941,0.08522,0.06694,0.05453,0.0,0.12784,0.10235,0.05662,0.08355,0.17827,0.07674,0.06219,0.05749,0.0,0.0786,0.05937,0.08202,0.06205,0.06081,0.23875,0.08953,0.22887,0.14983,0.0,0.1338,0.85241,0.12545,0.13947,0.14283,0.20301,0.19242,0.1272,0.11105,0.12128,0.08581,0.0,0.16772,0.14729,0.0,0.10273,0.19221,0.0884,0.15358,0.14119,0.10023,0.11382,0.14784,0.13581,0.0,0.07529,0.07868,0.0,0.08415,0.11808,0.09283,0.0,0.16652,0.09483,0.11009,0.0,0.27819,0.09842,0.08373,0.21379,0.08842,0.10053,0.10137,0.0,0.05836,0.06574,0.1142,0.10652,0.07316,0.06978,0.09463,0.06898,0.11125,0.06506,0.11945,0.07525,0.06319,0.16269,0.0,0.12939,0.11425,0.07433,0.06619,0.1032,0.08951,0.06809,0.07225,0.06644,0.0622,0.0846,0.05905,0.12201,0.17111,0.07629,0.06756,0.09381,0.06569,0.0,0.09707,0.27675,0.10569,0.08363,0.11611,0.10917,0.1838,0.13814,0.06633,0.16076,0.1483,0.10898,0.19276,1.2844,0.69468,0.17552,0.0,2.39479,2.67633,1.19739,0.70652,0.90721,0.67835,0.1868,0.18243,0.0,1.15639,0.33369,0.54382,0.40998,0.14382,0.20611,0.11599,0.12683,0.91319,0.266,0.18857,0.1424,0.14102,0.60879,0.15676,0.12062,0.98557,0.75423,0.14168,0.13542,0.12215,0.13124,0.1126,0.09718,0.1385,0.09874,0.10565,0.20978,0.18667,0.15906,0.1534,0.12595,0.12582,0.10402,0.12316,0.08811,0.10202,0.11718,0.12518,0.13946,0.1739,0.25842,0.3083,0.13807,0.10997,0.12644,0.11437,0.10638,0.11975,0.09867,0.1237,0.12694,0.12507,0.12564,0.09551,0.40767,0.19832,0.10541,0.14936,0.11438,0.13777,0.09884,0.14885,0.09668,0.13668,0.10969,0.10472,0.07767,0.11088,0.094,0.10112,0.09763,0.0,0.08453,0.09829,0.08797,0.08164,0.11693,0.08637,0.09327,0.12269,0.07328,0.08019,0.10125,0.08934,0.08819,0.10131,0.23906,0.13276,0.09707,0.11015,0.20041,0.0967,0.14256,0.09681,0.09438,0.1007,0.12025
-3.75,0.08132,0.06552,0.07027,0.09223,0.09157,0.07845,0.06202,0.06263,0.06927,0.05843,0.05649,0.07265,0.05974,0.08338,0.06534,0.05453,0.0,0.09827,0.10235,0.05208,0.0749,0.18463,0.05913,0.06219,0.0524,0.0,0.07479,0.05937,0.07526,0.06205,0.06081,0.19719,0.08504,0.22887,0.14599,0.0,0.1216,0.84422,0.1166,0.12493,0.13707,0.18638,0.17133,0.10806,0.10227,0.12218,0.0874,0.08593,0.16772,0.14441,0.0,0.09075,0.13861,0.08815,0.14269,0.13606,0.09496,0.0916,0.14784,0.12804,0.0,0.07349,0.07722,0.07461,0.07846,0.10702,0.08935,0.07769,0.1471,0.089,0.10952,0.0,0.26271,0.09432,0.07914,0.21138,0.0852,0.09724,0.08937,0.0,0.05591,0.06257,0.1142,0.09561,0.07426,0.06802,0.09091,0.06756,0.10066,0.06548,0.08342,0.06585,0.06295,0.11873,0.06524,0.08642,0.09866,0.07271,0.06338,0.09428,0.08857,0.06568,0.0641,0.06519,0.05815,0.07449,0.05791,0.12201,0.16924,0.07299,0.06127,0.09381,0.06128,0.06795,0.09507,0.25607,0.10055,0.08052,0.10911,0.10214,0.17252,0.10503,0.06814,0.15378,0.12898,0.09488,0.17696,1.2844,0.65126,0.16797,0.82172,2.19005,2.58708,1.11123,0.67161,0.91701,0.63502,0.17469,0.17304,1.26355,1.08389,0.32024,0.50803,0.37694,0.13849,0.2004,0.11025,0.12208,0.83716,0.25104,0.15093,0.13446,0.13712,0.57354,0.14497,0.12062,0.87566,0.68719,0.13348,0.13017,0.1133,0.1226,0.10503,0.09021,0.12739,0.08699,0.10174,0.19302,0.17658,0.15234,0.13463,0.11418,0.11248,0.09689,0.11217,0.08746,0.0909,0.10624,0.12043,0.12421,0.17284,0.25591,0.29574,0.13008,0.10319,0.11294,0.10238,0.10216,0.11579,0.09618,0.11024,0.11937,0.12069,0.12169,0.09181,0.3905,0.18631,0.10127,0.14483,0.10869,0.12388,0.09618,0.13674,0.09668,0.12757,0.095,0.10472,0.07361,0.09659,0.09293,0.09999,0.09082,0.0,0.08251,0.09712,0.0806,0.07961,0.10866,0.07897,0.08834,0.10836,0.06871,0.07333,0.10301,0.08565,0.07171,0.08437,0.23217,0.12806,0.08765,0.10058,0.19511,0.08864,0.14256,0.09166,0.09256,0.09867,0.10055
-3.5,0.0767,0.06302,0.07028,0.081,0.08617,0.07354,0.06099,0.06143,0.06767,0.05481,0.05083,0.06997,0.05492,0.07314,0.05824,0.05098,0.0,0.0852,0.08638,0.05208,0.091,0.15602,0.05341,0.05877,0.05483,0.04801,0.06946,0.06844,0.07183,0.05507,0.05122,0.17393,0.07908,0.14379,0.14039,0.15308,0.10636,0.79615,0.10957,0.11238,0.12797,0.1755,0.16239,0.10067,0.09547,0.10885,0.08456,0.08569,0.13499,0.13213,0.0,0.08734,0.10435,0.08159,0.13787,0.13027,0.08979,0.0885,0.14304,0.12041,0.10768,0.0716,0.07071,0.07997,0.07551,0.09323,0.07712,0.068,0.11439,0.08129,0.10911,0.08485,0.25013,0.08707,0.07509,0.21137,0.0732,0.08316,0.08301,0.05779,0.05728,0.05931,0.09049,0.0873,0.07043,0.06632,0.09121,0.06349,0.10066,0.06723,0.07807,0.06283,0.06295,0.0916,0.06517,0.07914,0.08557,0.07048,0.06165,0.09099,0.08382,0.06334,0.05923,0.06308,0.06415,0.06941,0.06093,0.0849,0.15807,0.06744,0.06053,0.08245,0.06128,0.06417,0.08698,0.25435,0.09675,0.07529,0.10559,0.1019,0.16367,0.0845,0.0651,0.14126,0.19001,0.0902,0.16816,1.1479,0.59341,0.16113,0.78538,2.00678,2.47779,1.04638,0.63132,0.83974,0.57812,0.16809,0.15919,1.22079,1.02712,0.30225,0.48512,0.35654,0.12408,0.20317,0.10072,0.11827,0.81288,0.24054,0.14135,0.13032,0.12539,0.52525,0.14234,0.11922,0.8189,0.66482,0.12702,0.12084,0.10758,0.11817,0.09919,0.08525,0.11579,0.0885,0.10441,0.18633,0.16974,0.14756,0.12459,0.10531,0.1038,0.0815,0.10028,0.0848,0.07984,0.10353,0.1102,0.11239,0.16519,0.24038,0.2819,0.12524,0.09892,0.10897,0.09967,0.09703,0.11325,0.0908,0.09419,0.11132,0.10814,0.11369,0.08835,0.3657,0.17572,0.09871,0.13393,0.10083,0.1097,0.08543,0.12829,0.0873,0.1184,0.08962,0.09292,0.07361,0.08743,0.08674,0.09325,0.07895,0.0,0.07774,0.08923,0.07591,0.07291,0.10345,0.07295,0.08149,0.09612,0.06251,0.0695,0.08988,0.0803,0.0667,0.07561,0.21569,0.11317,0.08006,0.09278,0.17988,0.08442,0.12845,0.09364,0.0847,0.09458,0.09201
-3.25,0.06927,0.05706,0.06937,0.07553,0.07944,0.06595,0.06071,0.05882,0.06606,0.05372,0.05034,0.06184,0.05372,0.06921,0.05339,0.04801,0.0,0.08254,0.07942,0.04809,0.09697,0.14331,0.05341,0.05339,0.05149,0.04695,0.06946,0.06737,0.06633,0.05292,0.05324,0.16063,0.07302,0.12538,0.1318,0.15308,0.10076,0.74657,0.10039,0.10249,0.11507,0.1736,0.15624,0.09139,0.09827,0.1055,0.08456,0.08129,0.10605,0.11788,0.09391,0.08476,0.09217,0.07457,0.12318,0.12377,0.08627,0.07974,0.11535,0.10889,0.10118,0.06716,0.06903,0.07128,0.06869,0.08326,0.07147,0.06636,0.10601,0.07946,0.10119,0.08674,0.23085,0.08258,0.07225,0.18287,0.06579,0.07533,0.06864,0.06119,0.05489,0.05931,0.08541,0.08475,0.0679,0.06317,0.08994,0.05871,0.08215,0.06406,0.07343,0.06063,0.05708,0.06984,0.06677,0.07394,0.07156,0.06988,0.05973,0.08913,0.07664,0.06334,0.05567,0.05888,0.05886,0.06362,0.05765,0.06077,0.14939,0.06485,0.05656,0.07202,0.05835,0.05949,0.0821,0.22851,0.08981,0.06835,0.10253,0.09597,0.16445,0.07863,0.06452,0.14126,0.15668,0.08654,0.15287,1.14046,0.57313,0.15202,0.69021,1.89499,2.25252,0.97948,0.58161,0.78037,0.54552,0.1576,0.15154,1.12137,0.91238,0.27851,0.45445,0.33669,0.1157,0.19201,0.09559,0.10876,0.74077,0.22318,0.13055,0.11919,0.11743,0.47468,0.14092,0.11633,0.75682,0.63127,0.11009,0.1202,0.10051,0.10955,0.09574,0.08106,0.10815,0.08101,0.09365,0.17767,0.1651,0.13959,0.11297,0.09976,0.09473,0.07819,0.0918,0.0819,0.07918,0.09601,0.09975,0.10661,0.15951,0.23285,0.26902,0.12077,0.09345,0.10227,0.09463,0.09301,0.1101,0.08316,0.08769,0.10584,0.09976,0.10715,0.08638,0.34258,0.16694,0.09231,0.11992,0.09701,0.10013,0.08416,0.1218,0.08156,0.09885,0.08159,0.0803,0.07054,0.08373,0.07985,0.08808,0.07289,0.11093,0.07129,0.08923,0.07207,0.07019,0.09193,0.06905,0.07602,0.08522,0.06251,0.06567,0.08194,0.0771,0.06601,0.07561,0.19969,0.10701,0.0732,0.08455,0.17119,0.07658,0.11339,0.08458,0.0808,0.08804,0.08172
-3.0,0.06581,0.05402,0.06673,0.06969,0.06887,0.05933,0.05896,0.05571,0.05804,0.04804,0.04925,0.06041,0.05509,0.06385,0.05077,0.04801,0.07677,0.08124,0.06522,0.04767,0.08231,0.13376,0.04927,0.05077,0.05098,0.04952,0.06345,0.06043,0.0661,0.05185,0.04666,0.13264,0.07017,0.1066,0.11768,0.12146,0.08843,0.70756,0.09457,0.09847,0.10511,0.15927,0.14316,0.08363,0.09165,0.10251,0.07978,0.08039,0.09543,0.10308,0.09309,0.08247,0.08466,0.07375,0.10831,0.11465,0.08385,0.07968,0.09839,0.09807,0.09312,0.06306,0.06353,0.06716,0.0675,0.07841,0.06963,0.06388,0.09484,0.07389,0.0928,0.0837,0.21412,0.07852,0.06828,0.17162,0.06218,0.06598,0.06557,0.06311,0.05344,0.05761,0.07065,0.08041,0.06312,0.05878,0.07893,0.05579,0.07623,0.06005,0.06526,0.05869,0.05558,0.06402,0.06192,0.07046,0.06565,0.06256,0.05841,0.08561,0.07086,0.05943,0.05373,0.05764,0.05331,0.05799,0.05478,0.0607,0.13756,0.05826,0.05118,0.06975,0.05419,0.05732,0.07713,0.21646,0.08054,0.06356,0.09107,0.08479,0.15761,0.07556,0.06256,0.11081,0.12641,0.0817,0.14064,1.07683,0.52195,0.14255,0.64573,1.80575,2.13346,0.89708,0.54243,0.70347,0.51309,0.15076,0.14242,1.05743,0.86537,0.25778,0.42118,0.31386,0.1091,0.17478,0.09227,0.09927,0.71264,0.20374,0.1186,0.11318,0.11207,0.45339,0.1302,0.11172,0.7071,0.57607,0.10626,0.1159,0.09676,0.0999,0.08601,0.07619,0.09966,0.07583,0.08842,0.17427,0.15776,0.13857,0.10463,0.09143,0.09188,0.07597,0.08605,0.07705,0.07448,0.08935,0.08936,0.09812,0.15273,0.21916,0.25494,0.10775,0.08668,0.0976,0.09015,0.0879,0.09743,0.0774,0.08676,0.09934,0.09685,0.10157,0.08171,0.31739,0.15888,0.08637,0.1107,0.08967,0.09431,0.07707,0.10827,0.07734,0.09011,0.07867,0.07658,0.06442,0.07788,0.07599,0.08295,0.06975,0.08585,0.06605,0.07832,0.07207,0.06549,0.08826,0.06274,0.07358,0.07797,0.06179,0.06213,0.07832,0.0757,0.05999,0.06702,0.19164,0.09733,0.06957,0.07978,0.16052,0.072,0.09211,0.07645,0.0798,0.08555,0.07757
-2.75,0.06397,0.05227,0.06219,0.06613,0.06146,0.05733,0.05384,0.05087,0.05618,0.04649,0.04729,0.05835,0.05123,0.0566,0.04875,0.04543,0.06556,0.07137,0.06158,0.0449,0.07109,0.13058,0.04754,0.04614,0.0485,0.04348,0.06226,0.05367,0.06399,0.05045,0.04611,0.12441,0.06515,0.09187,0.10728,0.12146,0.08439,0.63852,0.0918,0.0937,0.09826,0.15057,0.12524,0.08005,0.08387,0.09371,0.07536,0.07709,0.08548,0.09391,0.09062,0.0805,0.07737,0.07113,0.09785,0.1084,0.07696,0.07371,0.09011,0.08499,0.0915,0.06257,0.06039,0.06306,0.06152,0.07101,0.06556,0.06153,0.08648,0.07235,0.07758,0.07683,0.20726,0.07187,0.06321,0.16198,0.05914,0.06011,0.06108,0.05503,0.05121,0.05518,0.0667,0.07268,0.05982,0.05638,0.0738,0.05333,0.06653,0.05855,0.06103,0.05623,0.05313,0.06119,0.05955,0.06563,0.0609,0.0609,0.05638,0.0797,0.06657,0.05685,0.0504,0.05561,0.05131,0.05586,0.05298,0.05838,0.13172,0.0566,0.05118,0.06596,0.05266,0.05412,0.06893,0.19408,0.07997,0.05961,0.08266,0.08127,0.15227,0.07222,0.05927,0.09503,0.114,0.07402,0.13194,0.94165,0.48471,0.12889,0.58834,1.59718,1.99014,0.8472,0.4964,0.63064,0.48173,0.1396,0.13314,0.97052,0.80263,0.23855,0.39566,0.29811,0.10141,0.16559,0.08612,0.09611,0.6082,0.20114,0.11218,0.0976,0.10417,0.42214,0.11898,0.10052,0.66701,0.52504,0.1028,0.09784,0.09072,0.09263,0.08111,0.07291,0.0847,0.07403,0.08133,0.16446,0.14506,0.12554,0.0995,0.0874,0.08275,0.07191,0.08052,0.07527,0.07329,0.0834,0.08144,0.08398,0.13651,0.20272,0.23248,0.1056,0.08271,0.09218,0.08731,0.08166,0.09133,0.07552,0.08199,0.09186,0.08917,0.08911,0.07826,0.29961,0.15035,0.08172,0.09756,0.08153,0.08714,0.0739,0.09944,0.06967,0.08828,0.07437,0.07077,0.06203,0.07292,0.07252,0.07657,0.0653,0.08394,0.067,0.07541,0.06751,0.06385,0.08088,0.06274,0.06974,0.07797,0.05877,0.06043,0.07259,0.07148,0.05938,0.06155,0.17517,0.09021,0.06601,0.0728,0.15278,0.06823,0.08603,0.07088,0.07435,0.0805,0.07442
