,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,5.39049,0.0,0.0,0.0,3.15701,25.81905,13.44414,0.0,0.0,5.70147,0.0,0.0,0.0,0.0,0.0,6.25326,0.0,0.0,7.35401,0.0,4.13215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712,0.0,0.0,0.0,0.2356,0.0,0.0,2.11079,2.59241,0.14758,0.0,0.0,0.0,0.14521,0.0,0.38954,0.0,0.0,0.24678,0.0,0.0,0.0,0.05218,0.0,0.26745,0.0,0.0,0.09479,0.35058,0.0,0.16862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73553,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21234,1.44267,0.0,0.0,0.47651,6.09774,0.05668,0.0,0.0,0.0,0.0,0.0,1.2785,0.11952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25579,0.0,0.0,3.27792,0.0,0.0,0.0,0.0,0.1449,2.39487,0.0,0.0,0.0,0.0,0.53768,0.09324,2.0723,0.0,1.15876,0.0,0.58721,0.01554,0.2835,1.14675,0.0,1.01961,0.0,1.49112,0.0,0.48687,1.28472,0.0,0.31877,0.0,2.61638,0.0,0.40465,0.02663,0.0,0.0,0.0,2.66778,0.32741,0.0,0.0,2.80528,0.0,0.0,0.0,0.0,0.0,0.25818,0.0,0.0,0.0,0.62321,0.0,0.0,0.0,0.0,0.00556,0.0,1.79096,3.07789,0.0,7.01107,0.0,0.96401,0.0,0.0,0.0,2.34478,2.2456,0.0,0.43946,0.0,0.0,0.0,0.0,0.0,0.0,0.51704,0.0,3.43372,0.0,1.24448,0.9291,5.58053,0.64799,1.51028,0.02613,0.0,0.0,4.39709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94124,0.82945,0.11293,2.19942,0.57059,1.90746,0.0,0.0,0.0,0.0,0.0,0.0,0.1882,8.49485,0.09546,1.30705,0.19928,0.3325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4.75,5.39049,0.0,0.0,0.0,12.9947,25.81905,13.44414,0.0,11.9333,5.70147,0.0,13.02979,0.0,0.0,0.0,6.25326,0.0,0.0,7.35401,6.68375,4.13215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712,0.0,0.0,0.0,0.54914,0.0,0.0,2.39012,2.64569,0.14758,4.29801,0.0,0.0,0.14521,0.73693,0.38954,8.00447,0.0,4.1547,0.0,0.0,0.0,0.05218,0.0,1.36946,0.0,0.0,0.09479,0.37114,0.0,0.16862,0.0,0.0,0.0,0.0,0.0,0.10854,0.0,0.0,0.73553,0.00016,0.0,0.0,0.36024,0.0,0.0,0.0,0.0,0.0,0.0,0.21234,1.44267,0.0,0.0,0.5603,6.09774,0.05668,0.0,0.0,0.0,0.0,0.0,1.2785,0.11952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.40958,1.21336,0.0,4.08906,0.0,0.0,0.0,0.0,0.0,0.0,0.25579,0.98291,0.0,3.27792,0.0,0.0,0.0,0.0,0.1449,2.39487,0.5806,0.0,1.02844,0.0,0.53768,0.09324,2.58806,0.0,0.91836,0.0,0.60288,0.01554,0.2835,0.97377,0.0,1.09252,0.0,2.65059,0.0,0.48687,1.29968,0.60356,0.31877,0.0,2.61638,0.5221,0.40465,0.02663,0.0,0.0,0.8676,2.69574,0.47948,1.36673,0.0,2.80528,0.0,0.0,0.0,0.0,1.43439,0.25818,0.0,0.0,0.0,0.62321,0.0,1.1582,0.0,0.0,0.00556,0.0,1.79096,3.07789,0.0,3.97959,0.0,0.76912,0.0,0.0,0.0,2.34478,2.2456,0.0,0.43946,0.0,0.3079,0.0,0.03087,0.0,0.0,0.51704,15.33006,3.43372,0.0,1.24448,0.96462,5.58053,0.64799,1.5314,0.02613,0.0,0.0,4.39709,0.0,2.54366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94124,0.82945,0.11293,2.19942,0.57059,1.90746,0.0,0.0,0.1818,0.0,0.0,0.0,1.52128,8.49485,0.09546,1.30705,0.37353,0.3325,1.90818,0.0,0.0,0.0,0.0,0.0,0.0
-4.5,4.27386,0.0,0.0,0.0,9.68642,25.81905,7.07361,0.0,20.83743,5.70147,0.0,13.02979,0.0,0.0,0.0,6.25326,0.0,0.0,7.35401,6.68375,4.13215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712,0.0,0.0,0.0,0.54914,0.0,0.0,2.39012,1.98071,0.14758,4.29801,4.3212,0.0,0.14521,0.73693,0.89989,8.00447,0.0,4.1547,0.0,0.0,0.0,0.05218,0.0,1.36946,0.0,3.12955,0.09479,0.37114,0.0,0.15523,0.0,0.0,0.0,0.0,0.0,0.10854,0.0,0.0,0.73553,0.00016,0.0,0.0,0.36024,3.71734,5.43079,0.86949,0.0,0.0,0.0,0.21234,1.44267,0.0,0.0,0.99298,6.09774,0.05668,0.0,0.0,0.0,0.0,0.0,1.06368,0.11952,14.8849,7.13636,0.0,0.0,0.0,0.0,0.0,1.40958,2.76559,24.07502,4.08906,0.0,2.59543,0.0,0.0,0.0,0.0,0.25579,0.98291,0.0,3.27792,0.0,1.98772,0.0,0.0,9.36445,2.39487,0.5806,0.29956,1.02844,0.0,0.4578,1.44741,1.42918,0.0,1.27433,0.0,0.80749,0.01554,0.2835,0.97377,0.0,1.09252,0.61933,2.65059,0.0,0.87431,1.29968,0.49018,0.31877,0.0,1.90909,0.5221,0.40465,3.00138,0.0,0.0,0.8676,2.77969,0.90403,1.36673,3.91993,2.80528,0.0,0.0,0.0,0.0,1.43439,0.31111,0.0,0.0,2.14238,14.67995,2.2103,4.72344,0.0,0.0,0.00556,0.0,1.79096,3.07789,2.38511,4.00531,0.0,1.16092,0.0,0.0,0.0,2.34478,1.82957,0.0,0.43946,1.64485,0.3079,0.0,0.03087,0.30151,0.0,0.42242,15.33006,1.66504,5.24283,1.27902,0.88946,5.58053,0.66174,1.5314,0.02613,0.0,0.0,4.39709,0.0,3.62713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94124,0.78138,0.12597,2.19942,0.57059,1.90746,0.0,0.94197,0.1818,0.11833,8.02699,0.0,1.52128,4.56065,0.09546,1.33608,0.37353,0.3325,1.95015,0.0,0.0,0.0,0.0,0.35211,0.0
-4.25,4.27386,0.0,0.0,0.0,9.68642,25.81905,7.07361,0.0,20.83743,5.70147,0.0,13.02979,0.0,0.0,0.0,6.25326,0.0,0.0,7.43522,6.68375,4.1374,0.0,0.0,0.0,0.0,2.04862,0.0,0.0,0.1712,0.0,0.0,2.3364,0.88613,0.0,0.0,2.49558,2.12797,0.14758,3.22146,2.65196,0.0,0.14521,0.6099,0.89989,3.07706,0.0,4.22204,0.72771,9.44563,9.21644,0.05218,0.0,1.36946,0.0,3.12955,0.51377,0.37114,0.0,0.15523,0.0,0.28965,0.0,0.0,0.0,4.25429,0.0,0.0,0.73553,0.00016,0.0,0.0,0.36024,3.71734,5.43079,3.3262,0.0,0.0,0.0,0.21234,1.44267,0.0,0.0,3.20982,6.09774,5.20989,0.0,5.25732,0.0,0.0,31.00882,1.11754,13.05301,14.8849,7.13636,0.0,0.0,0.0,0.0,0.42368,1.40958,2.96944,24.07502,4.26082,0.0,4.18362,0.0,0.0,0.0,0.0,0.25579,0.98291,0.0,3.27792,1.77781,1.98772,0.0,15.56496,9.36445,1.48283,0.5806,0.29956,1.02844,0.0,0.6096,1.57339,1.42918,0.98192,1.21992,0.97354,0.80749,0.19714,0.2835,0.87373,0.0,1.22259,0.99221,2.19901,0.0,0.87431,1.67258,0.56307,1.89263,0.0,1.90909,0.5221,1.17919,3.0561,0.0,6.49911,0.63761,1.96896,0.93118,2.26532,4.78108,2.80528,0.0,0.0,0.0,0.0,7.69795,0.31644,0.2549,0.0,4.27327,14.80643,3.68867,2.94849,0.0,0.0,0.00556,0.0,1.70382,3.07789,2.56325,2.56374,0.0,1.16092,0.0,0.0,0.0,1.56494,2.09677,0.0,0.43946,1.18403,0.528,0.0,0.03087,0.30151,0.0,0.5209,15.33006,1.39539,3.00962,1.27902,0.92441,3.33526,0.66174,1.5314,0.02613,6.40919,0.0,3.96421,0.0,3.69722,0.0,0.0,0.0,0.0,3.11462,0.0,0.0,0.0,1.94124,0.84528,0.12597,16.97372,0.57059,1.90746,0.0,0.94197,0.1818,0.11833,8.02699,0.0,3.69979,3.09964,0.09546,1.33608,0.36079,0.28192,2.18841,2.67816,3.15436,0.0,4.71232,0.51102,0.0
-4.0,4.30846,0.0,0.0,0.0,8.65262,31.02937,6.44004,0.0,20.83743,5.70147,0.0,10.15843,7.91391,0.0,11.38462,5.73857,8.98834,0.0,7.55012,5.28948,4.1374,0.0,5.0731,0.0,0.0,2.19232,0.0,0.0,0.1712,37.76246,0.0,2.3364,0.88613,0.0,27.55518,1.92403,2.12797,0.24035,2.62292,2.72538,0.0,0.14521,0.6099,0.67431,2.53181,6.95183,4.22204,4.94823,5.12093,9.21644,0.05218,0.0,1.36946,0.0,3.84668,0.51377,0.37114,0.0,0.15523,0.0,1.82164,0.0,4.17316,0.0,4.69525,0.0,0.0,0.73553,0.00016,20.3807,0.66791,0.36024,2.78296,5.43079,3.3262,0.0,0.0,0.0,0.21234,1.44267,0.0,0.0,2.31871,19.54643,5.20989,2.73058,5.25732,0.0,0.0,18.83348,1.11754,10.29415,14.91149,7.13636,0.0,13.62301,0.0,5.94196,0.42368,3.80431,4.20214,18.81237,4.26082,0.0,14.64166,0.0,0.0,23.61114,1.28009,0.25579,0.98291,0.0,3.27792,4.0249,1.98772,0.0,10.92823,9.36445,1.57785,1.00966,0.29956,3.94436,0.0,0.6096,1.26661,1.09193,0.56617,1.17207,1.56441,1.07436,0.19714,0.2835,1.20683,0.0,1.22259,1.00758,2.88341,0.0,1.28712,1.23924,0.63352,1.89263,8.70809,1.69933,0.51481,1.36466,2.63632,0.0,6.57337,0.63761,1.58645,0.87786,2.55863,3.39596,2.80528,1.69164,4.78991,0.0,0.0,5.40888,0.63151,1.65103,0.0,3.03341,14.86436,5.68168,3.0688,5.99069,0.0,1.47347,0.0,2.53013,1.98135,2.76828,2.19055,0.0,2.84625,0.0,0.0,0.0,1.56494,1.65011,3.50861,0.43946,1.18403,1.97535,0.44533,0.03087,0.3546,3.11743,0.57489,8.12803,1.32917,2.57225,1.27902,0.98143,3.33526,2.38525,1.8253,0.10872,6.40919,0.0,2.75236,0.0,2.82659,0.0,0.0,0.0,0.0,4.2495,0.96398,0.0,0.44021,1.94124,0.85547,0.22157,16.97372,0.57059,1.27166,0.0,0.94197,4.63662,0.35987,8.02699,0.0,3.34337,2.38345,0.24535,1.34773,0.34991,0.28192,2.18841,13.26561,3.15436,0.03574,4.703,10.55967,0.0
-3.75,5.14008,0.0,0.0,0.0,7.22209,31.02937,6.44004,0.0,15.55429,5.70147,0.0,10.16374,6.11441,0.0,12.01666,5.73857,8.98834,0.0,7.55012,4.81913,18.46229,0.0,4.27756,1.29711,0.0,2.19232,0.0,14.78017,0.1712,37.76246,0.0,2.3364,0.88613,0.0,20.22766,1.70279,2.28178,0.43624,2.06033,3.37539,0.0,0.14521,0.66738,1.55159,2.53181,4.12443,3.83881,4.00835,5.12093,9.21644,0.05218,0.0,1.36946,0.0,4.23809,1.74575,0.37114,0.0,0.80004,0.0,1.82164,2.79134,4.17316,0.0,4.69525,0.0,0.0,2.87663,0.00016,10.21362,0.66791,0.36024,2.06166,7.26476,4.06137,3.19765,0.0,0.21856,0.21234,1.44267,0.0,0.0,2.31871,19.65615,3.69564,2.73058,4.39855,0.0,0.0,18.83348,1.11754,10.29415,19.91354,3.6664,0.0,7.72037,0.0,5.94196,2.3223,3.26208,5.37718,18.81237,4.48622,15.31186,11.88522,5.75511,0.0,23.61114,1.28009,8.75766,0.98291,1.9092,3.27792,4.0249,1.98772,1.69165,11.00188,9.36445,1.57785,1.45323,0.29956,5.166,0.0,0.6096,1.23888,0.90203,0.66097,1.22995,1.27449,1.17785,0.31022,0.2835,1.54816,0.28972,1.34125,1.23353,4.12708,1.94454,0.93189,1.02403,0.95815,1.30772,8.70809,1.69933,0.61759,1.36466,2.67025,2.4237,6.63408,0.71509,1.21191,0.831,2.42894,4.06728,2.80528,1.15873,4.85836,0.0,1.28444,5.40888,0.63151,2.23366,1.57136,3.06189,10.34445,6.67736,3.14223,5.01547,0.0,1.5332,4.29575,5.41061,2.08075,1.71938,2.39248,2.52542,2.32871,7.58769,0.0,0.0,1.57221,1.48792,3.50861,0.43946,0.903,2.48268,0.59467,0.03087,0.3546,3.11743,0.84268,4.20563,1.16252,2.64535,1.32776,1.17863,3.33529,2.11327,2.3115,0.10872,6.40919,0.0,2.44461,0.0,3.0536,0.0,0.0,0.0,0.23742,4.2495,1.35312,0.0,2.36665,1.94124,1.12107,3.81784,16.97372,0.57059,1.46646,0.0,3.17387,12.68719,0.94416,3.27092,0.0,2.70804,2.05186,0.24535,1.07422,0.91074,0.57386,2.18841,11.7254,2.22484,0.08685,5.29041,11.71006,0.0
-3.5,5.17719,0.0,60.00227,15.89685,6.38912,17.93489,5.42885,0.0,15.50514,10.0417,0.0,10.16374,7.56064,0.0,12.01666,5.73857,8.98834,21.96253,7.55012,4.35991,18.46229,16.59136,5.78422,1.29711,0.0,2.19232,10.40854,14.78017,0.1712,37.76246,0.0,2.41698,0.67786,27.28793,20.22766,2.57481,2.78365,0.44056,2.00401,2.65818,3.47824,2.59842,1.70466,1.42867,2.30408,2.70309,3.83881,4.03075,3.75338,9.21644,0.69874,0.0,1.10807,1.97763,5.29794,2.02747,1.53991,0.0,1.02104,0.0,2.70097,2.81476,4.83349,0.0,4.69525,0.12345,0.0,2.87663,0.00016,8.3937,0.70967,0.5464,1.90263,7.39948,4.06218,2.56249,0.0,0.21856,0.21234,1.44267,0.0,0.0,2.31871,19.76857,2.9683,2.93468,4.03937,6.786,5.61849,18.83348,2.81907,10.29415,32.93589,3.6664,0.0,6.54747,15.2657,46.05764,2.16722,2.64576,5.56395,18.8124,4.37967,20.24884,11.22836,5.75511,9.81382,23.61114,4.18915,6.44878,0.98291,3.57081,4.22657,4.44317,13.02119,1.56778,11.00188,9.44178,1.08196,2.85047,0.29956,5.22535,12.69098,0.69448,1.34848,1.19971,0.5614,1.20904,1.53977,1.50361,0.31022,0.2835,1.42683,0.58952,1.04864,1.1527,3.16886,1.99036,0.97576,0.83839,1.35729,5.11346,4.59405,1.44088,1.27932,1.15569,2.37072,2.4237,3.48254,0.92123,1.02044,0.78261,3.23864,2.76783,1.67285,1.15873,3.2271,1.48523,1.28444,5.54169,0.83973,3.30351,1.82188,2.55352,6.93158,4.48812,2.94775,5.38004,11.53171,1.51931,4.4451,5.41062,1.70634,1.44025,3.26163,2.49242,2.69423,10.80208,11.67189,0.0,1.57027,1.53672,2.99496,0.43946,0.9415,3.04366,0.69209,2.11109,0.29209,3.69891,0.84268,3.79858,1.23446,3.31934,1.09819,1.1908,3.33529,2.11327,1.77654,0.37401,7.97924,0.178,2.00013,0.0,3.11919,10.06326,7.79071,0.56755,0.23742,2.55986,1.35312,0.0,2.50862,18.9588,1.38619,3.53037,11.86559,0.57059,1.58327,0.04664,2.68794,10.27002,0.99541,3.16577,0.0,2.84192,1.44239,1.29133,1.08716,1.78748,0.69741,2.18841,11.88725,2.86536,24.09923,4.39928,7.99095,9.83819
-3.25,4.41515,18.01323,79.45078,15.89685,6.62757,17.93489,5.49032,0.0,12.58815,10.0417,1.37524,9.06325,7.56064,0.0,22.67229,4.89186,17.25289,21.96253,7.55012,6.6187,18.59264,9.09796,5.80393,12.33366,24.82556,2.19232,9.55421,9.3384,0.36483,37.76246,0.0,20.65342,1.04245,15.37519,13.57867,2.2272,1.78912,1.27756,1.72828,2.0717,3.60149,2.20128,1.76307,1.41366,2.33757,2.53547,2.70487,4.72739,3.9488,9.21644,0.69874,0.0,1.28099,2.02062,4.76987,2.37926,1.25658,2.29285,1.0075,0.22125,1.88496,3.15644,3.258,14.41191,9.02921,0.29389,0.0,11.78163,0.00016,8.03454,0.70967,0.95302,1.99083,10.68376,5.2912,4.5797,17.14308,0.34873,0.21234,9.9753,1.16904,0.0,2.73208,21.71072,3.30462,5.32231,4.24339,6.786,4.05758,28.54601,2.7071,10.02414,32.93589,10.17911,6.53228,7.34719,12.4656,46.05764,1.86682,2.94301,5.19333,15.44251,4.13847,20.24884,12.98698,5.75511,8.56547,26.39192,6.19496,6.06931,0.98291,8.89719,4.28397,3.72196,13.02119,1.77019,8.4282,8.23768,0.98675,2.14857,13.44714,4.30408,8.96226,0.89622,1.73493,1.16943,1.14306,1.39185,1.52052,1.39757,0.83124,0.14442,1.27496,0.79979,0.92619,1.22994,2.59571,1.19905,0.92921,1.12583,1.36372,4.64102,7.0694,1.9242,1.31247,1.86568,1.80906,2.11834,2.96446,0.9922,1.3454,1.13026,4.32327,2.3321,1.41666,1.45575,2.84932,1.71226,1.23414,7.95694,0.77754,3.09112,1.82074,2.28689,5.09686,3.686,2.71389,4.05483,14.98116,1.6649,1.8846,5.18529,1.48647,1.51253,2.99618,7.3,2.71339,8.108,11.67189,6.97312,1.07427,1.64055,2.1228,0.43946,0.88594,3.09172,1.0011,2.31306,2.07514,5.47285,1.30001,2.67603,1.08861,2.50791,1.00654,1.42594,2.9064,2.11327,1.68934,0.32816,7.97924,2.22199,3.14572,0.0,3.22056,10.06326,11.3297,2.25215,0.51823,2.7221,1.7638,5.01344,2.167,24.6281,1.3994,4.95092,14.35303,3.03547,1.6702,0.04664,1.618,10.27002,1.09669,2.48959,1.44078,2.5158,1.60503,1.6264,0.86268,3.01837,0.44083,2.27829,9.26171,2.88687,24.56355,4.12467,7.49575,8.80499
-3.0,4.39256,15.20118,52.80941,10.66073,5.19549,19.10238,5.36758,0.0,12.65739,31.75117,5.01495,11.32049,9.84666,7.78308,17.98499,4.41845,15.75017,16.57681,3.84954,6.12386,18.59264,9.09796,6.70927,13.41209,24.96379,11.87817,10.70439,9.97663,0.36483,41.54732,0.0,15.71782,0.90335,18.63312,9.09271,2.13512,1.80423,1.24186,1.80774,2.15055,5.00649,2.65481,2.30085,1.48461,2.01306,2.66102,2.08082,5.48196,3.68464,4.04389,0.59093,4.2723,2.10033,2.92808,5.11415,3.05008,3.17746,2.63204,1.01489,12.33297,3.59129,4.19224,6.00327,7.7609,6.75733,7.84023,0.0,12.876,2.10506,5.93287,19.27188,0.75142,1.58324,11.9412,6.31121,3.61827,9.66891,4.36459,0.21234,11.81849,3.44092,20.92618,2.88623,11.95084,3.48529,18.10812,3.75294,67.29982,3.56128,28.54601,2.7071,9.34643,25.03604,9.89782,6.62918,5.86061,12.47346,13.20646,5.30809,3.02609,4.00637,19.84197,4.3433,20.24884,12.28818,7.75709,6.53492,26.39192,5.86104,5.97777,18.51687,13.71077,10.22957,3.72451,10.1072,1.50067,8.12916,6.94424,1.3209,2.26007,10.37956,3.38165,6.73362,1.01705,2.02548,1.78453,1.3665,1.29614,1.53122,1.24364,0.87616,0.14442,1.1417,1.12024,0.80173,1.54649,2.37015,1.13872,1.11428,1.17129,1.37297,3.3091,4.52938,2.02163,1.34279,1.9635,1.78894,2.01011,3.9323,1.12087,1.71311,1.06945,4.45508,1.89217,1.07033,3.47061,2.70338,1.65311,1.48446,7.15507,1.1978,2.92657,2.94852,2.52896,4.15142,3.24152,2.51475,4.1793,9.10056,2.2806,2.66696,4.95797,1.66852,2.14688,2.48394,7.61603,2.2369,7.09745,8.70139,6.13988,1.42865,1.43082,1.84017,1.11978,1.10878,2.26069,2.21151,2.13914,2.35968,4.9699,1.05258,2.87786,1.15633,2.47392,1.00654,1.48598,2.87914,1.95435,1.69232,0.31099,5.92311,1.66871,3.28495,8.36556,3.90241,4.67068,12.50164,1.99732,1.54771,2.47096,1.81384,10.35992,2.11113,24.6281,2.47777,5.04849,14.35303,3.09073,1.80489,4.86622,2.5202,9.94826,1.10456,2.35416,3.12854,2.38047,1.67618,1.49469,0.81823,2.58347,1.35862,2.66097,7.1739,2.85387,12.20569,4.02117,6.2093,6.26516
-2.75,4.28373,14.54928,27.89325,6.98704,4.92815,25.31231,5.08627,54.88047,13.11929,23.42811,7.96867,13.25888,9.32134,7.94289,25.63907,4.10592,18.7179,16.57681,4.28132,5.7102,14.62172,40.41588,6.78284,22.01953,24.96379,16.66085,10.4431,9.97663,0.36483,41.54732,0.0,8.63978,0.91351,10.70876,6.39255,2.46433,1.42564,1.33749,1.80673,2.24449,4.86428,2.3698,1.87876,1.31493,1.74815,2.95599,1.96392,4.43577,2.90715,9.91834,3.23741,7.60452,4.2414,2.351,4.3248,2.84659,3.2424,3.24514,4.14491,6.95892,4.60548,6.02192,8.30262,10.15727,6.41995,12.58642,25.281,13.81878,2.10506,4.86754,11.97438,0.61501,1.58075,12.5328,5.6199,3.71768,11.62235,4.48386,23.11876,12.89553,3.80713,14.33734,2.90261,7.24964,4.50766,18.86832,3.75473,67.29982,4.05377,22.18381,5.55317,9.38157,25.23066,10.64173,10.24973,6.66717,16.23974,8.71723,4.54682,3.10117,4.4367,17.59622,4.96126,30.25672,11.39539,7.78051,5.01801,29.66579,6.89699,5.70004,13.97446,13.17087,9.3847,4.59934,6.59775,2.61448,8.11584,5.43131,1.21534,2.31333,12.36296,3.62141,5.94254,1.22142,2.02614,2.03016,1.29102,1.20578,1.61777,1.35457,1.01959,0.53944,1.24663,1.09177,0.73013,1.33015,1.89402,1.18,1.04085,1.01432,1.39018,3.05107,3.20797,2.45176,2.43638,2.05984,1.71292,1.82286,5.80612,1.09249,1.73515,1.28626,3.48088,1.78893,1.27317,3.16101,2.44004,2.01037,1.78785,4.75427,1.53865,2.51868,2.97826,3.15684,3.7889,3.65392,2.62248,3.04128,11.07473,2.69605,2.31163,5.55369,1.46042,1.93505,2.36067,5.50104,2.6717,9.18691,5.50981,7.07178,1.59357,1.37013,1.51854,1.07828,1.08842,2.1122,1.71063,1.5163,1.87236,6.04729,0.98944,2.74387,1.48867,2.52378,0.74001,1.28454,2.37621,2.1739,1.75736,1.3014,5.45883,1.72373,5.33666,3.81504,3.81639,6.91621,11.04957,2.35667,1.80632,2.30108,1.672,6.43487,2.24668,18.60132,2.50125,4.01837,11.21238,4.18663,2.16874,4.86622,2.52401,5.97352,1.87257,2.44857,3.59832,2.94061,1.89496,1.52142,1.08276,3.02227,1.38318,16.21175,6.9277,3.27567,9.43902,3.63633,5.26766,6.20154
