,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.27761,0.0,0.0,0.149,0.0,0.07914,0.0,0.0733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10625,0.0,0.32288,0.25243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07887,0.06317,0.0,0.20154,0.17979,0.21345,0.20001,0.10337,0.17491,0.5858,0.19774,0.0,0.0,0.33261,0.34188,0.27626,0.0,0.12899,0.0,0.0,0.35746,0.18328,0.0,0.0,0.23794,0.0,0.20272,0.21057,0.10132,0.0,0.0,0.24201,0.0,0.10797,0.1075,0.0,0.0,0.17129,0.17298,0.0,0.18538,0.0,0.0,0.32661,0.20788,0.0,0.0,0.8798,0.0801,0.0,0.0,0.1197,0.0,0.09826,0.15591,0.12812,0.19217,0.0,0.12891,0.08233,0.0,0.0,0.21612,0.14483,0.06492,0.0,0.0,0.1746,0.0,0.0,0.0,0.14974,0.0,0.0,0.0,0.06839,0.07039,0.0,0.0,0.09958,0.35485,0.0,0.0,0.0,0.0,0.0,0.0,0.18628,0.15786,0.1362,0.0,0.1444,0.44148,0.24783,0.0,0.0,0.0,0.12076,0.17909,0.2633,0.19682,0.18291,0.3729,0.60253,1.41372,0.31811,0.26672,0.2679,0.28258,0.0,0.0,0.40204,0.33189,0.20119,0.21291,0.0,0.19093,0.0,0.13588,0.17612,0.28812,0.0,0.23006,0.16063,0.22888,0.0,0.24061,0.0,0.26772,0.23544,0.20937,0.13208,0.16875,0.19652,0.15276,0.0,0.0,0.11633,0.11194,0.0,0.0,0.24707,0.17063,0.13799,0.19557,0.12743,0.21089,0.10997,0.0,0.0,0.291,0.22303,0.0,0.1908,0.32154,0.2169,0.2334,0.12052,0.0,0.15538,0.15288,0.099,0.173,0.0,0.0,0.149,0.11575,0.25904,0.192,0.17867,0.20934,0.15984,0.25539,0.16018,0.21398,0.0,0.0,0.0,0.0,0.0,0.0,0.13785,0.10836,0.0,0.09104,0.0,0.0,0.087,0.0,0.13266,0.13712,0.12825,0.13354,0.08252,0.0,0.0,0.14403,0.0,0.17064,0.17429,0.15729,0.11979,0.22326,0.14344,0.30233,0.13799,0.16572,0.10005,0.0,0.1393
-4.75,0.27761,0.0,0.0,0.149,0.0,0.08705,0.0,0.0733,0.0,0.0,0.05501,0.0,0.0,0.0,0.0,0.09379,0.0,0.32288,0.25243,0.0,0.0,0.0,0.0687,0.0,0.07857,0.0,0.0,0.0,0.07887,0.06317,0.0,0.20154,0.17979,0.21345,0.20001,0.10337,0.17491,0.53446,0.17906,0.0,0.17584,0.27851,0.34188,0.21153,0.12383,0.12899,0.0,0.0,0.35746,0.1678,0.0,0.0,0.16382,0.0,0.19707,0.19818,0.10132,0.14954,0.0,0.24201,0.0,0.0945,0.1075,0.0,0.0,0.17129,0.17298,0.0,0.18538,0.0,0.0,0.32661,0.20414,0.0,0.08399,0.8798,0.0801,0.0,0.0,0.1197,0.06283,0.09826,0.15591,0.12812,0.19217,0.08498,0.12891,0.08233,0.0,0.0,0.21612,0.14483,0.06492,0.0,0.0,0.1746,0.0,0.0,0.0,0.14974,0.0,0.0,0.0,0.06526,0.07906,0.08828,0.05407,0.09958,0.29685,0.0,0.05548,0.0,0.0,0.0,0.0,0.18628,0.15786,0.11558,0.0,0.1444,0.40285,0.24783,0.0,0.0,0.0,0.11455,0.16604,0.25105,0.19682,0.18247,0.36302,0.58757,1.53559,0.31697,0.25212,0.26304,0.30514,0.16567,0.0,0.36404,0.32284,0.2031,0.21291,0.0,0.19093,0.0,0.12594,0.19104,0.30316,0.29079,0.23006,0.14943,0.18592,0.0,0.24061,0.0,0.24661,0.22315,0.20117,0.13129,0.16875,0.19652,0.12477,0.0,0.0,0.11633,0.11194,0.0,0.0,0.22002,0.17063,0.13024,0.19557,0.12459,0.21089,0.10997,0.21176,0.0,0.20392,0.22303,0.0,0.15453,0.26602,0.17167,0.2334,0.12751,0.0,0.14599,0.15288,0.099,0.173,0.0,0.0,0.13759,0.11575,0.25301,0.192,0.17867,0.20934,0.15781,0.21989,0.15397,0.21398,0.07771,0.0,0.1323,0.0,0.0,0.12762,0.11259,0.10836,0.0,0.09104,0.0,0.0,0.08741,0.0,0.13266,0.13712,0.12825,0.13364,0.08252,0.09873,0.0,0.14403,0.0,0.1677,0.17429,0.15569,0.10981,0.22326,0.14748,0.30233,0.13799,0.16628,0.09447,0.0,0.1393
-4.5,0.27761,0.0,0.0,0.149,0.0,0.11383,0.06518,0.07075,0.07475,0.0,0.05634,0.0,0.0,0.0,0.0,0.09379,0.0,0.32288,0.25243,0.0,0.0,0.0,0.08759,0.0,0.07857,0.0,0.0,0.0,0.07887,0.06317,0.0,0.20154,0.17618,0.21345,0.1867,0.10337,0.13657,0.48485,0.17668,0.0,0.17982,0.26461,0.34188,0.20898,0.12096,0.13012,0.0,0.0,0.35746,0.14354,0.0,0.0854,0.16382,0.08011,0.17869,0.19173,0.09455,0.14954,0.15208,0.24201,0.0,0.09021,0.1075,0.0,0.0,0.17129,0.14139,0.0,0.18538,0.08903,0.10422,0.32661,0.199,0.10495,0.08399,0.8798,0.0801,0.0,0.0874,0.1197,0.06283,0.09826,0.15591,0.12224,0.13531,0.08269,0.12891,0.08233,0.0,0.08511,0.18511,0.14483,0.06492,0.0,0.0,0.1746,0.13298,0.0,0.0,0.14974,0.0,0.0,0.0,0.0631,0.07498,0.08828,0.05653,0.10239,0.2917,0.0,0.06018,0.0,0.0,0.0,0.0,0.18628,0.12945,0.10904,0.13892,0.14104,0.3616,0.24783,0.0,0.14431,0.13356,0.11455,0.14962,0.23709,0.19347,0.17475,0.35876,0.55128,1.53693,0.30302,0.24425,0.2481,0.29339,0.16567,0.0,0.32973,0.3176,0.21086,0.21291,0.0,0.19093,0.0,0.1243,0.16487,0.28094,0.29079,0.23006,0.13824,0.18592,0.0,0.24061,0.0,0.24359,0.21815,0.20117,0.12951,0.14239,0.19652,0.11512,0.0,0.15367,0.11633,0.11194,0.11796,0.0,0.20637,0.17063,0.12884,0.19557,0.1222,0.17049,0.10157,0.13062,0.0,0.20392,0.22303,0.0,0.15276,0.22707,0.16476,0.18645,0.12854,0.0,0.13608,0.15288,0.09578,0.173,0.10932,0.0,0.13208,0.11575,0.25301,0.18775,0.17867,0.20934,0.14782,0.21989,0.15397,0.21398,0.07202,0.0,0.1323,0.11952,0.08496,0.10258,0.10236,0.10836,0.08648,0.09104,0.07682,0.0,0.07601,0.0,0.13266,0.11479,0.09911,0.13364,0.08252,0.09873,0.0,0.14403,0.0,0.15791,0.16715,0.13976,0.10795,0.22326,0.14748,0.1926,0.11993,0.16628,0.08177,0.0,0.1393
-4.25,0.27761,0.0,0.0,0.13031,0.0,0.10995,0.06518,0.07075,0.08279,0.06911,0.05533,0.0,0.0,0.0,0.0,0.09379,0.0,0.32288,0.25243,0.0,0.0,0.0,0.0828,0.07349,0.07857,0.0,0.0,0.0,0.07887,0.06317,0.0,0.16631,0.17618,0.16641,0.1867,0.10037,0.13657,0.49345,0.16475,0.0,0.19106,0.25974,0.34188,0.18113,0.12096,0.13387,0.0,0.0,0.23026,0.14051,0.0,0.0854,0.16124,0.0849,0.17869,0.19107,0.09521,0.14954,0.15208,0.24201,0.14154,0.08597,0.10683,0.0,0.08908,0.13846,0.12254,0.0,0.15725,0.08416,0.10422,0.32661,0.18193,0.10303,0.09631,0.34329,0.06981,0.0,0.0874,0.1197,0.06283,0.09826,0.15591,0.11731,0.13531,0.07953,0.12334,0.08233,0.07616,0.07394,0.18511,0.14483,0.06457,0.05651,0.05852,0.09438,0.13298,0.0,0.0,0.14974,0.0,0.0,0.0,0.0631,0.06801,0.08828,0.0604,0.10239,0.26907,0.06279,0.06141,0.0,0.07385,0.0,0.0,0.18628,0.12945,0.10236,0.13892,0.12567,0.3616,0.24783,0.06231,0.14431,0.13356,0.11455,0.14373,0.23259,0.18487,0.16311,0.32882,0.55325,1.83408,0.28057,0.21767,0.2481,0.29339,0.15911,0.0,0.34094,0.30596,0.24926,0.39632,0.14046,0.19093,0.162,0.12314,0.16487,0.25873,0.29079,0.23006,0.14622,0.16114,0.0,0.1833,0.0,0.23671,0.20605,0.19046,0.12809,0.13702,0.19652,0.10099,0.0,0.15367,0.11633,0.11194,0.13528,0.0,0.19402,0.13987,0.11809,0.16791,0.1222,0.17049,0.10157,0.10932,0.12616,0.20392,0.22303,0.0,0.14832,0.20406,0.16658,0.18645,0.12854,0.0,0.13608,0.14762,0.09341,0.173,0.10932,0.0,0.12859,0.09917,0.24097,0.17691,0.17867,0.20934,0.14782,0.21989,0.15602,0.21398,0.07202,0.0,0.1323,0.11994,0.08496,0.10171,0.12488,0.10836,0.09391,0.09104,0.07682,0.0,0.08662,0.12764,0.13266,0.11466,0.10317,0.13364,0.0715,0.09873,0.0,0.12062,0.0,0.13936,0.15132,0.13976,0.09918,0.20053,0.14167,0.1926,0.11068,0.16628,0.08228,0.0,0.14267
-4.0,0.27761,0.05612,0.07749,0.13097,0.08799,0.10421,0.06509,0.06664,0.08279,0.08678,0.05432,0.0,0.0,0.0,0.0,0.07365,0.0,0.32288,0.25243,0.0,0.0,0.16946,0.0828,0.06878,0.07857,0.0,0.0,0.06996,0.07887,0.05916,0.0,0.16631,0.17618,0.13802,0.1867,0.07673,0.12095,0.46599,0.1639,0.30242,0.19106,0.25078,0.18748,0.16577,0.10959,0.13387,0.10141,0.14554,0.18804,0.13149,0.0,0.08145,0.16124,0.08977,0.17869,0.18152,0.09448,0.11577,0.15208,0.24201,0.11434,0.08027,0.10587,0.0,0.07889,0.13846,0.12254,0.0,0.14864,0.08561,0.09004,0.32661,0.17262,0.10775,0.11045,0.28941,0.06626,0.0,0.07255,0.1197,0.0665,0.08282,0.12734,0.11273,0.10298,0.07762,0.12461,0.08233,0.07435,0.06706,0.18511,0.14483,0.05902,0.05597,0.06159,0.07768,0.13298,0.0,0.0,0.14974,0.0,0.06657,0.0,0.05768,0.06421,0.08828,0.05886,0.08038,0.25367,0.06279,0.06143,0.07225,0.06582,0.0,0.08259,0.12654,0.12892,0.09349,0.11464,0.11478,0.23609,0.16868,0.06626,0.14431,0.11779,0.11897,0.13704,0.2205,0.17455,0.15743,0.3083,0.52165,1.78898,0.2762,0.21287,0.23051,0.26616,0.16098,0.15793,0.33242,0.29411,0.24601,0.29579,0.1507,0.17732,0.15579,0.11479,0.16487,0.24592,0.29079,0.23006,0.14101,0.14516,0.0,0.18178,0.0,0.22328,0.20486,0.17931,0.11532,0.13586,0.19652,0.098,0.10827,0.15367,0.09899,0.11159,0.13528,0.12897,0.18638,0.13987,0.10643,0.16924,0.11495,0.17049,0.09571,0.10191,0.12616,0.16006,0.16927,0.0,0.1507,0.19144,0.15872,0.16675,0.12355,0.0,0.12961,0.13533,0.09365,0.13555,0.1288,0.0,0.11915,0.11032,0.23438,0.1544,0.17867,0.17911,0.12536,0.21989,0.13258,0.21398,0.07296,0.13176,0.1323,0.11994,0.08951,0.10752,0.11807,0.10669,0.07846,0.09104,0.0748,0.14143,0.08797,0.10907,0.13186,0.09677,0.08188,0.12131,0.07615,0.09873,0.0,0.10649,0.09307,0.13936,0.14884,0.11686,0.09697,0.17444,0.13395,0.14647,0.11068,0.13275,0.08457,0.0,0.14267
-3.75,0.27761,0.05542,0.07088,0.13097,0.11124,0.09437,0.06107,0.06276,0.08279,0.08503,0.05237,0.0,0.0,0.07752,0.0,0.07365,0.0,0.32288,0.25243,0.0,0.05177,0.15992,0.07899,0.06283,0.07857,0.07418,0.07556,0.06996,0.08799,0.05916,0.0,0.1943,0.17618,0.13072,0.16349,0.07799,0.10287,0.45034,0.15769,0.30242,0.19106,0.22744,0.14927,0.15171,0.10326,0.11711,0.10141,0.14554,0.1841,0.12321,0.09932,0.08048,0.13811,0.08141,0.17821,0.16161,0.09107,0.09928,0.15208,0.20083,0.10688,0.07456,0.09584,0.0,0.07659,0.13846,0.09879,0.0,0.14864,0.08258,0.08676,0.32661,0.16743,0.10427,0.10158,0.18492,0.06042,0.0,0.07255,0.10613,0.06197,0.07991,0.12734,0.10141,0.08966,0.07762,0.12461,0.07212,0.07512,0.06447,0.15912,0.10426,0.06094,0.05597,0.05818,0.06786,0.07871,0.0,0.05321,0.10693,0.08167,0.06657,0.0554,0.05768,0.06552,0.07552,0.05611,0.07176,0.25719,0.06026,0.05683,0.07073,0.0646,0.0,0.08816,0.11601,0.11728,0.08943,0.10669,0.09968,0.17922,0.17513,0.06514,0.14431,0.12978,0.10513,0.12716,0.21149,0.15865,0.13816,0.30467,0.48136,1.71543,0.26382,0.20031,0.22691,0.26616,0.15941,0.17106,0.30564,0.28214,0.23193,0.22661,0.13796,0.15809,0.15051,0.11309,0.12593,0.23307,0.29079,0.23006,0.12685,0.13599,0.0,0.14889,0.0,0.20686,0.19225,0.17578,0.11257,0.13068,0.19652,0.09275,0.09637,0.15978,0.09308,0.11159,0.12809,0.12897,0.181,0.13768,0.10452,0.15928,0.11187,0.17049,0.09322,0.09688,0.12616,0.13473,0.16927,0.0,0.13414,0.17391,0.14341,0.14292,0.11798,0.0,0.13111,0.12076,0.0906,0.13725,0.12723,0.0,0.11381,0.10587,0.21332,0.14476,0.13338,0.14705,0.11708,0.21989,0.13258,0.16833,0.07044,0.1301,0.12484,0.11994,0.08203,0.10752,0.1167,0.08254,0.06918,0.09104,0.07522,0.14143,0.08415,0.09932,0.11195,0.08359,0.08188,0.10672,0.07615,0.08371,0.08599,0.10014,0.08559,0.1125,0.14909,0.1102,0.09779,0.13981,0.10987,0.11299,0.10183,0.13275,0.07638,0.07726,0.12478
-3.5,0.27761,0.0523,0.07668,0.11735,0.11841,0.0784,0.05871,0.06276,0.06869,0.08163,0.049,0.0,0.0,0.07752,0.09265,0.07859,0.0,0.19433,0.16388,0.0,0.05194,0.14624,0.07899,0.0586,0.07173,0.07418,0.07556,0.06996,0.07599,0.05175,0.0,0.16066,0.17618,0.10749,0.14637,0.07613,0.09275,0.44074,0.14454,0.30242,0.1531,0.20853,0.13111,0.13813,0.10213,0.11772,0.09211,0.14554,0.16903,0.12323,0.08924,0.07451,0.11622,0.07756,0.17746,0.15534,0.08915,0.09632,0.15208,0.20083,0.10688,0.07122,0.08344,0.07023,0.074,0.13504,0.08991,0.0,0.14405,0.07643,0.07991,0.16215,0.15443,0.09589,0.09699,0.13263,0.05698,0.10287,0.06313,0.10613,0.05649,0.07577,0.10348,0.08841,0.08531,0.07493,0.12461,0.07105,0.07173,0.06196,0.14169,0.10426,0.0631,0.06676,0.05489,0.06133,0.06575,0.0,0.05758,0.1002,0.07608,0.06058,0.06835,0.05355,0.06407,0.07092,0.0541,0.0652,0.24783,0.06882,0.05433,0.07089,0.05966,0.06879,0.08548,0.10717,0.12178,0.08057,0.10354,0.08971,0.16393,0.12427,0.06048,0.09573,0.10996,0.09145,0.12109,0.20204,0.14601,0.13146,0.29298,0.46124,1.56938,0.25068,0.18955,0.21714,0.22784,0.15422,0.17496,0.30163,0.27064,0.22745,0.2146,0.13013,0.14222,0.14992,0.10604,0.10981,0.22356,0.20962,0.17723,0.11364,0.12688,0.1512,0.14342,0.0,0.19899,0.18389,0.1638,0.10796,0.12269,0.19652,0.08797,0.0933,0.10756,0.09361,0.09711,0.12562,0.10467,0.16021,0.11763,0.10434,0.13443,0.11187,0.13553,0.08347,0.08636,0.12616,0.09978,0.16927,0.0,0.12714,0.16121,0.12719,0.13795,0.11558,0.17318,0.13907,0.11873,0.08526,0.10872,0.12055,0.14127,0.10548,0.1056,0.19822,0.14284,0.12649,0.14217,0.11297,0.18998,0.11707,0.16833,0.08333,0.1301,0.10821,0.11994,0.08419,0.08238,0.10501,0.07652,0.06393,0.09104,0.07072,0.14143,0.07744,0.09932,0.09972,0.08036,0.08151,0.09398,0.06874,0.07856,0.08689,0.10095,0.08559,0.10642,0.12605,0.10521,0.08824,0.12956,0.10476,0.10769,0.09652,0.11198,0.07399,0.08035,0.10612
-3.25,0.27761,0.05204,0.06748,0.1047,0.10716,0.06962,0.05989,0.05415,0.06028,0.07171,0.05091,0.0,0.07236,0.06781,0.09265,0.07859,0.05574,0.15159,0.16388,0.0,0.04681,0.13702,0.06779,0.05837,0.06749,0.07418,0.06946,0.0581,0.06709,0.04844,0.06372,0.14674,0.15049,0.09768,0.12413,0.07178,0.09012,0.42182,0.13244,0.30242,0.1406,0.19676,0.11637,0.11643,0.09747,0.10908,0.08873,0.14554,0.1536,0.11591,0.08417,0.06672,0.09269,0.07428,0.17147,0.14146,0.08417,0.0938,0.09528,0.15112,0.09155,0.06837,0.08017,0.07023,0.06696,0.1175,0.07975,0.07563,0.13573,0.07521,0.08316,0.1168,0.14593,0.08692,0.08744,0.11637,0.05525,0.08178,0.05996,0.06186,0.05522,0.06915,0.074,0.08429,0.08221,0.08332,0.10173,0.06382,0.07368,0.05963,0.11883,0.08705,0.0582,0.06295,0.05375,0.05304,0.06264,0.0,0.05426,0.0896,0.07856,0.06321,0.06288,0.05189,0.06216,0.06808,0.05035,0.05991,0.22286,0.0641,0.05193,0.06675,0.05743,0.07083,0.08521,0.09274,0.1192,0.07522,0.10354,0.08328,0.14523,0.09869,0.05779,0.09573,0.0996,0.08375,0.11623,0.19234,0.13113,0.12228,0.27461,0.42418,1.57939,0.23812,0.18204,0.20549,0.21704,0.14615,0.16994,0.291,0.26565,0.19877,0.18749,0.12745,0.12622,0.15992,0.10056,0.10008,0.21481,0.20215,0.17277,0.10752,0.12221,0.1512,0.12831,0.0,0.18201,0.18176,0.15133,0.10253,0.11728,0.19652,0.08998,0.08802,0.09836,0.08518,0.08587,0.11647,0.10723,0.14541,0.10977,0.09469,0.11962,0.10224,0.13298,0.0801,0.08106,0.10566,0.08898,0.13044,0.0,0.12345,0.14693,0.11806,0.12336,0.10342,0.17596,0.12762,0.11556,0.07956,0.10213,0.11699,0.13723,0.09572,0.09945,0.188,0.12681,0.12694,0.12613,0.1082,0.14087,0.10783,0.16145,0.07625,0.12754,0.10072,0.11994,0.07984,0.0802,0.09591,0.07427,0.06518,0.08864,0.07289,0.14143,0.07943,0.08212,0.08679,0.07304,0.07313,0.085,0.06487,0.07276,0.08359,0.09725,0.06979,0.108,0.11657,0.09909,0.08435,0.12389,0.09841,0.10327,0.09295,0.09978,0.07292,0.06891,0.10173
-3.0,0.17443,0.05033,0.06457,0.08896,0.10017,0.06362,0.05637,0.05342,0.05208,0.0724,0.05034,0.0,0.07093,0.06733,0.08632,0.06636,0.05404,0.12551,0.12877,0.0,0.04767,0.12715,0.06261,0.05436,0.06368,0.07418,0.06338,0.0581,0.06263,0.04656,0.05702,0.13133,0.09687,0.08787,0.10019,0.07103,0.08164,0.40197,0.12398,0.15743,0.12263,0.17218,0.09693,0.11037,0.08853,0.10323,0.09958,0.11123,0.12693,0.09509,0.08491,0.0682,0.07962,0.0696,0.151,0.12011,0.07723,0.08633,0.08198,0.13543,0.09908,0.06506,0.06925,0.06342,0.06429,0.09325,0.07107,0.06474,0.1161,0.07166,0.08353,0.10839,0.13646,0.07857,0.08209,0.09924,0.0523,0.06912,0.05499,0.05723,0.0516,0.06263,0.06419,0.07742,0.07022,0.07906,0.07408,0.05959,0.06863,0.05706,0.08527,0.06716,0.053,0.05471,0.05073,0.05144,0.05697,0.0,0.05391,0.08934,0.07525,0.05736,0.05744,0.05042,0.04776,0.06447,0.0486,0.05347,0.22011,0.06011,0.04873,0.05864,0.05571,0.06188,0.08645,0.08369,0.09462,0.06866,0.09819,0.07881,0.13719,0.083,0.05768,0.08485,0.08917,0.07904,0.10802,0.18353,0.12303,0.11635,0.24933,0.39032,1.55179,0.22571,0.17175,0.19527,0.19469,0.14106,0.15698,0.26844,0.24944,0.1805,0.18454,0.12092,0.12441,0.14883,0.09485,0.09654,0.20537,0.19253,0.1511,0.10008,0.11611,0.16207,0.12017,0.0,0.17526,0.16435,0.1374,0.09628,0.10441,0.10302,0.08457,0.0832,0.08467,0.08029,0.08543,0.11569,0.10122,0.13022,0.10344,0.08734,0.10812,0.09077,0.10365,0.07733,0.0753,0.14189,0.08091,0.11346,0.12713,0.11401,0.13451,0.10656,0.10807,0.0942,0.17596,0.12115,0.10104,0.07113,0.08219,0.10878,0.1214,0.09271,0.09662,0.17608,0.12125,0.1109,0.1169,0.09849,0.13477,0.10002,0.15162,0.07057,0.12754,0.08695,0.11994,0.07635,0.0775,0.08428,0.06889,0.061,0.07273,0.0671,0.10792,0.07437,0.07567,0.07748,0.07323,0.06586,0.08416,0.06178,0.06927,0.07688,0.08234,0.07001,0.09693,0.11067,0.09613,0.07793,0.10961,0.09138,0.082,0.08194,0.09072,0.06952,0.06514,0.08919
-2.75,0.13014,0.04813,0.06018,0.08553,0.08561,0.05952,0.05291,0.04798,0.05693,0.06548,0.04464,0.06407,0.06267,0.06655,0.06469,0.06235,0.05085,0.10099,0.09509,0.10761,0.04671,0.12397,0.05572,0.05071,0.05876,0.05723,0.07585,0.05198,0.06112,0.04491,0.05691,0.11728,0.09687,0.08187,0.09326,0.0656,0.07754,0.35883,0.11623,0.13337,0.11422,0.15389,0.08818,0.09606,0.08141,0.09598,0.09271,0.09969,0.0999,0.08841,0.07948,0.06452,0.07032,0.06473,0.13009,0.10878,0.07373,0.08055,0.07412,0.1087,0.08947,0.06222,0.0651,0.05761,0.06132,0.07794,0.06692,0.06317,0.09382,0.06703,0.07511,0.08747,0.12633,0.07538,0.07353,0.08392,0.04876,0.05943,0.05042,0.05316,0.04989,0.0599,0.05652,0.07095,0.06567,0.07024,0.06903,0.05402,0.06462,0.05461,0.07826,0.06201,0.05242,0.05034,0.0482,0.04973,0.05423,0.07672,0.04943,0.08066,0.06999,0.05496,0.05494,0.04981,0.04735,0.05928,0.04496,0.04855,0.21099,0.0557,0.04671,0.05572,0.0505,0.05708,0.07549,0.07651,0.11238,0.06508,0.07926,0.07839,0.11955,0.07166,0.05434,0.07381,0.08267,0.07304,0.10187,0.17347,0.11699,0.10941,0.21835,0.35782,1.19358,0.2114,0.16246,0.18912,0.18267,0.13736,0.1487,0.25054,0.23664,0.16266,0.17324,0.11762,0.12718,0.13165,0.08849,0.09084,0.19832,0.17914,0.12804,0.09455,0.11131,0.15765,0.11007,0.15054,0.17372,0.15553,0.13102,0.0884,0.09681,0.08953,0.08076,0.08042,0.08036,0.0744,0.08072,0.09777,0.10015,0.11625,0.09633,0.08827,0.10354,0.08361,0.09693,0.07318,0.06945,0.11461,0.07869,0.09774,0.10583,0.10444,0.11923,0.09725,0.09711,0.09072,0.17596,0.11496,0.0906,0.07061,0.08163,0.10038,0.11469,0.08801,0.0879,0.16824,0.11204,0.10157,0.1095,0.09371,0.12596,0.09442,0.13717,0.06786,0.11067,0.08198,0.09209,0.07316,0.07472,0.0759,0.06465,0.05788,0.06891,0.06181,0.1116,0.07078,0.07042,0.07292,0.06804,0.06065,0.07502,0.05474,0.06782,0.075,0.07685,0.06654,0.08498,0.1044,0.08882,0.07313,0.09915,0.0847,0.07243,0.07458,0.08415,0.06747,0.06546,0.08426
