,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.08299,1.20718,0.48303,0.13645,0.34291,0.50667,0.54139,13.42299,0.0,0.01525,0.23993,0.46925,0.04682,2.5019,4.16225,0.0,0.15824,0.0,0.0,0.0,0.0,0.43136,0.0,0.0,0.4588,0.0,0.0,0.54616,0.0,0.0,0.26352,0.0,1.49267,0.84625,0.0,0.0,0.0,0.83734,1.85563,0.0,5.69476,0.74721,0.81534,1.39733,0.47054,2.01126,0.0,1.80241,1.56471,0.95611,0.86584,0.13849,2.42292,0.39184,0.0,2.72871,0.34905,0.79566,3.33619,0.0,0.0,0.2166,2.19246,0.0,0.0,2.79167,1.52026,0.52015,0.0,1.1106,0.0,0.0,3.02044,0.47657,5.34632,0.0,1.3678,0.20177,0.0,0.81771,0.0,0.0,5.2455,1.38175,0.193,13.18758,0.0,0.68531,0.0,0.21208,2.08962,0.3499,0.1037,14.6708,1.7588,1.19789,4.73523,3.67128,1.45363,0.0,0.0,0.0,0.0,0.0,0.0,0.09342,1.4817,0.74673,0.0,5.23329,0.0,2.70388,1.04158,2.14083,0.06835,1.91343,1.31597,0.0,0.9254,0.19824,1.49789,0.86587,0.0,0.56115,3.44474,0.0,0.0,11.59376,10.08551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66893,0.0,0.0,0.0,0.0,2.87271,1.99395,0.28092,0.0,6.86668,0.0,2.31449,0.0,0.0,0.0,0.0,0.57545,0.0,0.0,0.0,0.73263,0.83805,0.66053,1.68911,0.53021,0.82616,0.72077,0.9492,3.98378,8.41693,16.46025,10.78655,4.32237,0.0,5.88768,3.03055,1.26153,0.0,0.92241,2.76878,2.08052,4.83604,0.0,0.11457,6.02997,0.0,2.13123,0.35187,2.33653,0.39722,2.20052,10.63134,1.37289,6.13454,0.21706,3.17253,0.0,0.0,1.17958,2.83872,1.55961,0.59369,0.46595,0.0,3.2293,0.0,0.43563,0.0,0.39151,2.38006,3.19393,2.9775,0.26777,0.0,1.07968,3.87242,0.28508,0.24858,0.24928,0.16468,0.79043,2.6169,0.0,1.27417,1.96029,0.0,0.0,3.23938,2.05944,0.0,0.0,1.52848,0.0,0.0,0.88694,0.0,0.0,0.0,7.44734
-4.75,0.0,0.08299,1.32589,0.48303,0.13645,0.26654,0.50667,0.28285,13.42299,0.0,0.01525,0.30153,0.46925,0.04683,2.5019,2.77667,0.0,0.15824,0.0,0.0,0.0,0.0,0.52372,0.0,0.0,0.4588,0.0,0.0,0.54616,0.0,0.0,0.26352,0.0,2.59651,0.43129,0.0,0.0,13.08714,0.7895,1.85563,0.0,6.17971,1.58428,0.90005,1.39733,0.44336,2.72783,0.0,1.80241,1.43688,0.96361,0.86584,0.42755,1.74109,0.39185,0.0,1.52553,0.67757,0.79566,3.33619,0.0,0.0,0.36918,2.6493,1.25894,0.0,2.84613,1.52026,0.52015,0.0,1.17153,0.0,0.0,1.54974,0.47657,5.34632,0.0,1.10972,0.20177,0.0,0.81771,0.0,4.37645,5.2455,1.41114,0.193,13.82037,0.0,0.68531,0.0,0.21208,2.08962,0.3499,0.1037,14.6708,1.7588,1.19789,5.15566,3.67128,1.48416,0.0,0.0,0.0,0.0,0.0,0.0,0.09342,1.48172,0.81786,0.0,5.67427,0.0,2.77177,0.55443,1.49501,0.06835,1.81995,1.31597,0.0,0.9254,0.19824,1.7947,0.86587,0.0,0.57244,3.46866,0.0,0.0,11.59377,10.44226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66895,0.0,0.0,0.0,0.0,3.27177,1.99397,0.81998,0.0,6.93395,0.0,2.31449,0.0,0.0,0.0,0.0,0.585,0.0,0.0,0.0,0.70142,1.42024,0.56124,1.81785,1.30856,2.22514,1.02809,0.97707,3.98378,8.84648,17.24113,10.78658,2.462,0.0,5.88768,3.17918,1.33521,3.55071,0.92241,2.76878,1.87115,4.83606,0.0,0.29731,6.56613,0.0,2.13124,0.47336,1.86927,0.39465,1.48871,10.63135,1.17782,6.13454,1.43354,3.60666,0.0,0.0,0.9926,2.98742,1.39162,0.5937,0.46595,0.0,3.2293,0.0,0.43563,0.0,0.39151,2.3855,2.78357,3.19567,0.26777,0.0,1.07968,4.1388,0.49998,0.32547,0.45884,0.95437,0.79043,2.32354,1.914,1.27417,1.96034,0.0,0.0,2.04466,2.05944,0.0,0.0,1.54156,0.0,0.0,0.88694,0.0,0.0,0.0,7.44737
-4.5,0.0,0.08299,1.32589,0.48303,0.13645,0.26914,0.50667,0.28285,13.42299,0.0,0.01525,0.30153,0.46925,0.04683,2.5019,2.77667,0.0,0.15824,6.49392,9.48119,0.0,0.0,0.52372,15.69031,0.0,2.01056,0.0,0.0,0.54616,0.0,0.0,0.26352,42.4373,2.25222,0.43129,0.0,0.0,14.32665,0.80174,2.66306,0.0,6.53123,2.49509,0.90005,1.37578,0.44336,2.72783,0.0,1.63422,1.46917,0.89079,0.86584,0.45915,1.74109,0.54656,0.0,1.52553,1.23707,0.79566,3.3362,0.78203,0.0,0.36918,1.80537,1.25894,2.04257,2.89341,1.52026,1.07689,0.0,1.19421,0.0,0.0,3.46102,0.49493,5.59491,0.0,1.10972,0.20177,0.0,0.93969,0.0,4.69634,5.35498,1.41117,0.16705,13.82037,0.0,0.84786,0.0,0.21208,2.08962,5.73564,0.18646,14.67599,1.4724,1.19789,5.15566,3.67128,1.2794,0.0,1.40429,0.0,0.0,0.0,2.15591,0.09342,1.48174,0.81787,0.0,5.67427,0.0,2.7894,0.55443,1.80115,0.06835,1.6514,1.31597,0.0,0.84559,0.19824,1.77358,1.83703,0.0,0.57792,3.05367,0.0,0.0,11.59382,5.3046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66907,0.0,0.0,0.0,0.0,3.49329,1.99397,0.82003,0.0,6.98324,0.0,2.6027,0.0,0.0,0.0,0.0,0.585,0.0,0.0,0.0,0.71489,1.42024,0.56124,1.20359,1.30856,1.62935,1.02809,1.11226,7.0787,9.65936,45.22001,8.4096,2.82268,0.0,2.50049,3.17918,1.19911,3.55071,0.92241,2.18296,1.81293,5.51207,0.0,6.30692,6.56614,0.0,2.01086,0.40801,1.86927,0.39465,1.48871,7.25028,0.93866,11.85465,1.25479,4.68605,0.0,0.0,1.01494,3.11367,1.24817,0.72178,0.46595,0.50637,3.31384,0.0,0.46704,0.0,0.39151,2.39086,2.53234,3.19567,0.26777,0.0,1.08623,4.23239,0.49998,0.32547,0.45884,0.95437,0.81653,2.32354,1.914,1.13986,1.96034,0.0,0.0,1.77782,2.05944,0.0,0.0,1.36958,0.0,2.82074,1.43976,0.0,0.38436,0.0,5.0938
-4.25,0.0,0.08307,1.28346,0.48303,0.13645,0.2839,0.50667,0.28285,13.42299,2e-05,0.01525,0.30153,0.46925,0.04683,1.49675,2.77667,0.0,0.15824,6.50172,9.48119,0.0,0.0,0.52372,15.69031,0.0,2.01056,0.0,0.0,0.54616,0.0,0.0,0.26352,42.43783,2.14339,0.43129,0.0,0.0,15.5481,0.72903,2.1067,0.0,6.59178,2.5356,0.75658,1.52152,0.44336,2.54712,0.0,1.49522,1.61191,0.89079,0.86584,0.37682,1.52204,0.82231,11.82786,1.52554,1.61208,0.79566,3.75831,0.98718,0.0,3.07711,1.80537,1.14859,1.6328,2.89341,1.52026,1.07689,0.0,1.9321,0.0,0.0,3.46102,0.72022,5.6027,19.80153,0.85034,0.20177,0.0,0.93969,0.0,4.69635,5.355,1.46415,0.16705,13.84185,0.0,0.75379,0.0,0.24862,2.08962,5.73565,0.18646,14.67599,1.45674,1.19789,4.51961,3.67128,1.2794,0.92139,1.40429,0.0,0.0,0.0,2.15591,0.43819,2.09666,0.81787,0.0,5.67427,3.32647,2.7967,0.55444,1.80116,1.05269,1.483,1.20922,0.0,0.93266,0.19824,1.78343,1.83703,0.0,0.88904,2.58997,0.0,0.0,15.72076,5.65482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.28223,8.66923,0.0,0.0,7.84578,0.0,3.50119,1.99398,0.96678,0.0,6.28119,0.0,1.53893,0.60198,0.0,0.0,0.0,0.65203,0.0,0.0,0.0,0.71489,1.70805,0.47185,1.20359,1.56382,1.62935,0.9658,1.49225,5.95977,7.79215,45.22001,8.40961,2.41087,0.02753,1.66448,2.24161,1.19911,1.86122,1.14196,2.18296,1.81293,5.55331,0.0,4.89607,4.76569,0.0,2.30404,0.47205,1.96941,2.14257,2.24148,7.25036,1.79188,11.85468,1.25479,4.74075,2.7792,0.0,1.01494,5.76084,1.24818,2.95897,0.46595,0.50637,3.31385,0.96231,0.46704,0.0,0.39151,2.39086,2.19447,1.63147,3.2012,0.49757,10.13149,4.23239,0.70229,0.32133,0.46216,1.27842,0.81653,2.33054,1.914,1.15092,1.96034,1.32853,5.17891,1.77782,1.47171,0.0,0.0,1.36734,0.09037,2.82074,1.35279,26.66659,0.38436,0.20001,5.0938
-4.0,0.0,0.08307,1.3491,0.75316,0.42419,0.28391,0.69627,1.17433,32.33374,2e-05,0.01525,0.30154,0.33506,0.04683,2.01111,2.77667,0.0,0.10074,6.50172,4.79845,0.0,0.0,0.52372,15.69031,0.0,2.817,5.88096,0.0,0.54616,0.0,0.0,10.55657,42.43795,2.14339,0.30209,9.53625,0.0,18.34617,0.74853,1.96869,10.40171,6.66445,2.53961,0.79466,1.1175,1.42027,3.03313,2.89366,1.49522,2.47912,0.8908,0.86584,0.37897,1.29985,1.0216,11.82805,1.8166,2.5266,0.79566,2.94754,0.98718,0.0,3.07711,2.1202,2.82979,1.6328,2.90839,1.15625,1.07689,3.48279,3.62882,0.0,0.0,3.38441,0.62969,4.57052,19.80153,0.85034,0.20177,0.0,0.94747,0.0,4.6964,4.21628,1.46415,0.16705,7.7999,0.0,0.62817,0.0,1.70751,2.08962,5.73565,0.82615,6.84427,1.45674,3.05359,4.51962,3.67128,1.12556,2.05176,1.40429,0.0,1.2202,1.59896,2.67664,0.43819,2.09666,0.83042,0.0,5.67427,10.36443,2.86793,0.55444,1.80116,0.97667,1.46929,1.46712,0.0,0.93984,0.7829,1.78343,2.52863,0.0,0.90606,2.34721,0.0,0.0,15.84518,4.2459,0.0,0.0,0.0,0.0,6.77581,0.0,0.0,6.11612,11.60598,8.6694,0.0,0.0,7.84586,0.0,3.52578,1.87008,0.80427,0.0,7.33305,0.0,1.45548,1.2019,4.59992,0.0,3.71221,0.8061,0.0,0.0,0.0,0.71989,2.03596,0.47185,1.20359,3.07913,1.43997,0.9658,1.28933,6.33174,5.98782,45.22001,12.54608,2.56886,0.75103,1.66448,1.74796,1.02164,1.86123,1.14196,1.5552,1.61625,5.55331,0.0,3.4573,7.59113,0.0,2.30404,0.80703,1.67613,4.1166,2.24148,7.08242,1.85011,11.85469,0.98458,4.60579,10.37171,0.0,1.55156,11.67956,1.22653,2.95897,2.06093,0.874,2.34807,0.96231,1.23077,0.12987,1.02485,2.21317,2.2957,1.29945,3.2012,0.51337,10.13149,4.23239,0.70229,0.70259,0.53728,1.27842,0.62503,2.33054,1.41458,1.23271,2.09916,1.32853,5.17892,1.79088,1.44345,0.0,17.78878,1.39533,0.72219,2.83095,1.46297,26.66659,0.96244,0.20001,5.54041
-3.75,0.0,6.06312,2.62889,14.89707,0.42419,0.28391,0.69627,0.90378,11.84904,0.0003,0.01525,0.34491,0.33506,3.0591,2.01111,2.77667,0.0,0.10074,6.50172,3.32175,0.0,0.23515,0.52372,15.69031,0.0,2.817,5.88096,0.0,0.54616,0.0,0.0,10.55657,42.43797,1.84378,0.78895,9.53625,0.0,18.5931,0.56328,2.02875,16.02667,6.66445,2.09828,1.0988,1.99193,1.10101,3.03317,1.72489,1.44778,2.60913,0.80811,0.59633,0.39851,1.29985,0.94785,13.29734,1.8166,2.5266,0.79566,2.72551,0.98718,0.0,3.12003,1.7009,2.82979,1.63281,2.90839,1.15625,1.07591,3.61594,2.92683,0.0,0.0,2.68671,0.62969,4.57052,19.80153,0.94166,0.20177,0.0,0.94747,0.0,4.69641,3.2036,1.32347,0.16705,7.86491,0.0,0.60774,3.18073,1.70751,2.08962,6.33957,0.82615,6.84427,1.20611,3.05359,3.95808,2.89545,1.22941,1.66462,7.79597,0.0,1.22021,9.89443,2.67664,0.35575,2.09667,1.37424,3.54669,6.70723,10.36443,2.86793,0.45023,1.72903,1.1474,3.64339,1.46712,0.0,0.87692,0.77454,1.6495,2.5921,0.0,0.85239,2.34722,0.0,0.0,9.9714,4.56814,0.0,0.0,0.0,0.0,6.9682,0.0,0.0,6.37764,11.85306,8.66942,0.0,0.0,7.84616,0.0,4.36154,7.99458,0.79196,0.0,7.83242,22.63077,1.40451,2.31108,3.80355,7.48286,4.4841,1.5102,0.0,0.0,9.43867,0.73845,1.80687,0.77756,1.2036,3.07913,1.85579,0.863,1.20315,6.58556,6.81898,45.22001,12.54612,2.68711,2.45152,1.68914,1.74796,1.02164,1.88631,1.51766,1.52679,1.4671,5.55331,0.0,2.50539,6.7938,0.0,2.37933,0.97961,1.67613,3.61376,3.32863,7.85372,1.85011,7.5156,2.68921,4.60582,7.65751,0.0,1.41853,11.78047,1.3045,2.55237,1.48219,0.874,1.94251,26.41979,1.23077,1.74652,1.65829,2.26633,2.45544,1.29945,3.2012,0.51025,10.17384,6.82375,1.19095,0.70259,0.53728,1.34346,0.62503,1.76695,4.52217,1.23271,1.44087,1.52851,5.21531,1.79088,1.50575,0.0,22.7083,1.27618,0.72219,3.29354,1.46297,7.10233,1.26793,0.20001,5.54043
-3.5,0.0,6.07443,2.69737,14.40532,0.85563,0.28391,0.69627,0.76015,11.84904,0.0003,1.32795,0.34491,0.60071,3.06989,2.01111,2.18674,18.74004,0.10074,7.15776,3.32175,0.0,19.83306,1.29792,12.81037,16.8407,2.52042,8.77852,4.09659,0.54616,0.18582,0.0,10.55657,42.43807,1.92306,0.8666,9.53625,26.12305,19.05101,0.50509,2.06555,15.05468,5.49619,2.15673,1.04105,2.39952,1.00402,3.14512,1.8786,1.29031,2.55292,0.91336,2.5705,0.34158,1.17281,0.7695,13.48158,1.87516,2.14693,0.79566,3.61037,5.06456,4.72291,2.04007,1.7009,2.52,1.58982,3.27763,0.75812,1.07591,3.3316,2.96967,0.0,0.0,3.46547,1.08787,3.7617,36.1555,2.10789,0.20201,0.0002,1.55803,10.2566,4.69641,3.20361,1.09962,0.16705,5.87818,0.0,0.60774,4.93992,1.11654,2.08962,6.33957,4.45861,5.43254,1.20611,2.35054,4.12534,1.98718,1.78853,1.52136,7.79597,2.83402,1.22021,9.89443,4.06196,0.35575,1.04293,1.55732,1.90672,6.70723,10.39464,2.86793,0.45023,1.57251,1.08336,3.52751,3.73375,10.49752,0.89763,1.76528,1.52489,2.5921,5.51976,0.77438,2.13129,48.42608,0.0,10.27656,5.10147,0.0,9.04404,20.74465,9.44983,7.25505,0.0,0.0,6.37765,12.23374,8.36851,0.0,0.0,7.84618,0.0,3.38496,5.63985,0.86077,0.0,6.74249,15.25573,1.34716,4.22522,3.60024,7.48295,7.67748,1.37108,0.0,9.6475,7.53409,0.76708,1.55664,0.77756,1.09631,2.83013,1.85579,1.04755,1.38426,6.27677,5.5,45.22001,12.54615,2.85679,2.70223,1.39442,1.65198,0.83447,1.97687,1.51766,1.52679,1.34054,5.55332,0.0,2.01313,6.8024,10.40006,2.82058,1.01929,1.41944,2.7933,3.32863,7.91863,1.58945,7.84212,3.51252,4.60586,10.13143,0.0,1.96619,10.24317,1.33134,2.23873,1.48219,0.72317,1.94251,26.41979,1.16556,1.74652,1.65829,2.26633,2.33795,1.60687,3.2012,0.62475,10.17384,5.9157,1.15836,1.04381,1.81187,1.34346,0.83457,1.25374,4.52217,1.32159,1.44087,2.66562,5.21531,1.79527,1.77208,1.59097,22.70841,1.29476,3.18534,3.29354,1.29202,7.52362,1.26793,1.36606,4.7338
-3.25,0.0,6.07443,3.57736,15.19671,0.85563,0.27828,0.69627,0.99918,8.91607,0.0003,1.32795,0.6011,0.60071,5.9948,16.33073,3.55619,18.74004,0.10074,22.49962,8.6547,11.65565,19.83306,1.29792,12.81037,16.8407,2.52042,8.77852,4.09659,0.54616,0.18582,4.09642,7.05711,43.26385,1.56487,0.96306,5.43734,28.81151,17.5776,0.51585,1.75963,13.06566,5.75612,2.10548,0.93745,2.42449,0.97847,2.84537,1.88136,2.0052,2.42566,0.91336,2.5705,0.34158,1.0697,1.06297,13.74353,1.33773,1.86751,0.76558,3.70662,5.29202,4.57712,2.04007,1.65627,2.52,1.64697,2.13568,1.56207,1.57185,9.54923,3.05072,0.0,24.37725,3.46547,1.24596,2.97714,22.0683,1.59132,4.23074,1.83641,1.55803,10.2566,3.8682,2.04405,1.09962,2.23763,4.66168,6.76719,0.6952,4.93992,1.11654,8.1698,5.43343,4.45861,5.45095,1.48173,2.72521,4.96737,1.98718,1.6431,1.48933,7.79597,2.83402,1.08591,5.77908,2.8614,1.46978,0.8297,1.55732,1.90672,6.46918,8.51288,2.34848,0.7475,1.24707,1.13502,3.27431,4.51696,11.80845,0.79873,1.58233,1.23034,2.37939,5.51976,0.85856,1.95649,35.13059,3.58013,10.41634,5.12875,0.0,14.51575,21.09992,9.45006,20.15801,0.0,0.0,6.23978,12.73829,8.37688,32.78294,24.28465,19.87906,25.11072,3.04739,4.45829,0.91416,20.12023,6.17696,15.03408,1.39536,5.73041,3.48127,8.17676,9.73301,1.41081,0.0,14.14231,7.57415,0.80096,1.55664,0.68771,0.98313,2.85308,2.2347,1.04755,1.25987,6.11356,5.16528,45.22001,12.54616,3.1905,3.03563,1.39442,1.54655,0.83447,2.59037,1.36063,1.72925,1.25036,6.01187,0.0,1.84335,5.89319,10.40008,2.82058,1.01929,1.58825,2.7933,2.44288,7.91866,1.29306,8.05509,3.01466,4.78418,13.03501,0.0,1.92014,10.24811,2.16993,2.23873,2.32822,0.72317,2.10971,26.41979,1.16556,1.51473,1.31522,1.78796,1.94351,1.60687,3.5157,0.62475,10.17384,5.91771,1.15836,1.04381,1.81187,2.02335,0.83457,1.25374,3.60154,1.27549,1.4409,2.66562,6.42541,1.32942,1.9101,1.59097,26.40619,1.21189,3.71061,3.92567,1.18411,7.52362,1.47325,1.40296,3.94959
-3.0,9.91662,10.43471,3.63336,15.38967,1.92876,0.27828,0.95388,1.2376,7.22948,0.0003,1.20289,1.77864,2.04705,5.9948,20.27479,3.55619,8.3204,0.10074,18.02266,6.92964,11.65565,31.47168,1.29792,5.92579,20.41403,5.06071,9.87544,3.59225,0.54616,7.31952,4.09642,4.29943,46.07314,1.56675,1.78157,5.48466,29.09989,18.23271,0.61752,1.76042,15.85039,4.92203,2.26914,0.95598,1.99408,0.92574,2.89466,9.22515,1.80126,2.85975,1.58457,2.25356,0.93162,1.04996,1.16982,9.20602,0.99963,1.36212,0.76558,3.45005,5.4949,8.42061,1.92225,2.72699,2.4746,1.47734,2.13568,1.56207,1.58013,9.59989,2.70875,0.0,24.37728,3.35307,1.31141,2.55785,22.0683,1.91558,4.23074,1.83641,1.28728,10.26586,3.03476,2.16548,1.6145,1.81104,4.71005,5.11005,0.69019,4.89703,1.10682,8.1698,4.88376,3.10428,5.45095,1.48173,2.61087,5.06413,1.98718,1.64311,1.40437,9.38751,2.65215,5.10842,5.77908,2.8614,1.46978,0.8297,1.22272,2.80197,6.46918,6.67089,2.92918,0.83204,1.66527,1.84189,2.91816,4.29687,15.46786,0.80992,1.58233,1.47558,2.69677,7.74112,1.58164,2.01755,36.17988,4.58974,7.5907,5.14111,5.3786,16.63531,21.65844,9.45023,25.56144,44.59786,0.0,5.39854,13.46834,8.37696,32.7831,29.36563,17.62785,15.80179,2.84869,4.47426,0.96523,20.12073,5.49966,15.85753,1.44466,6.08964,3.69692,8.17678,8.43884,1.24391,10.06307,15.40528,6.97927,0.80096,1.42703,0.68235,1.00709,2.85308,1.90452,1.09299,1.19883,5.38295,4.32575,45.22002,12.54617,2.36705,3.68595,1.34201,1.54655,0.90888,4.35641,1.36063,1.7889,1.63818,6.01187,2.79375,2.1046,5.64417,10.9472,3.04236,0.88607,1.58825,2.56401,2.44288,8.0522,1.29306,5.86519,3.01466,4.90889,13.65543,12.16309,2.56249,10.80472,1.8812,1.59561,2.32822,1.43837,1.9607,21.73865,1.50062,1.50523,1.31522,1.80084,1.68992,1.46155,3.5157,1.61392,15.78977,5.97118,1.54157,1.3001,1.36874,2.02335,0.96872,1.87692,3.2933,1.18925,10.80057,1.75993,6.42095,1.32942,2.09917,2.88249,28.56401,1.26553,3.71061,5.62786,1.22024,5.89014,2.17325,1.40296,4.02282
-2.75,7.49829,6.76582,3.63336,14.78961,1.66307,4.19851,0.76659,1.2376,7.22948,1.01684,1.91341,3.74842,2.04705,7.19296,20.27479,3.36454,8.3204,1.59783,12.30365,5.88319,8.35539,37.19126,6.33407,5.92579,20.41403,5.06071,11.0471,9.7426,0.30952,7.31952,8.69516,3.64707,47.56692,1.49048,1.95208,4.30245,29.65574,19.04483,0.65718,1.46975,16.40128,4.30186,2.13138,0.89852,1.55125,1.31207,2.81619,6.88148,1.46538,3.30452,1.47914,2.37664,1.50753,1.01802,1.14148,10.19512,1.54245,1.71654,1.06392,3.65013,5.18932,10.0591,2.08044,2.5585,1.86705,1.47734,2.08763,1.12186,1.25643,8.95483,2.76844,0.0,24.86046,3.48333,1.73219,2.55785,15.63902,1.91558,6.40305,5.07583,1.28728,10.26586,2.56177,1.88052,1.45404,1.81104,4.88482,11.75276,0.69019,3.58917,1.1982,4.46317,4.88376,3.10428,4.40325,2.69256,3.8158,3.98593,1.89485,1.6093,1.40437,9.56349,3.81156,5.66168,4.41717,7.27604,2.60472,2.75184,1.20014,2.80197,6.41093,5.92219,3.41028,0.72369,2.05334,1.96593,2.88615,4.29687,17.00469,0.85468,1.51326,1.31665,2.96113,7.73212,1.47001,1.92768,38.68753,4.58974,8.47974,5.21343,14.58234,16.63541,21.65846,9.45028,25.56165,44.59789,0.0,6.52441,6.8047,8.37704,37.6129,15.03592,15.23145,15.80183,2.91356,3.82615,0.96882,20.12078,5.21154,14.14548,1.34659,5.56898,4.17249,10.8922,7.41628,1.20572,3.35549,15.40899,5.907,0.83481,1.31024,0.66083,1.1658,2.46179,1.90452,1.09299,1.25028,5.30396,4.43077,45.22002,14.02753,2.54558,3.90058,1.25589,1.96545,0.90888,5.78487,1.3197,1.7889,1.37745,6.01189,13.20353,1.90627,5.24928,12.70718,2.92514,0.9249,1.336,2.46484,2.14864,8.21023,1.38641,5.86519,2.30775,4.90892,17.48365,12.16369,2.58167,11.75891,1.74664,1.21571,2.02215,1.71341,1.68361,12.58367,1.12318,1.50523,1.1256,1.90685,1.68992,1.36528,3.65836,1.61392,16.33082,5.97118,1.54157,1.42452,1.36874,1.88681,0.96872,1.87692,3.2933,1.1639,12.72226,1.75993,5.04887,1.07661,1.94567,3.38652,17.11589,1.33929,3.46179,5.62786,1.22024,3.44441,2.17325,3.16218,5.90865
