,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.08973,0.0,0.09595,0.09157,0.09597,0.08637,0.0,0.07924,0.0,0.06771,0.0,0.0,0.0,0.06837,0.0,0.07697,0.0,0.07342,0.09191,0.0,0.202,0.0,0.0,0.0605,0.06884,0.0,0.0,0.06897,0.08846,0.09068,0.0,0.14605,0.31849,0.29434,0.34621,0.14797,0.17872,1.48141,0.29702,0.14641,0.57441,0.66544,0.40867,0.12246,0.08932,0.35163,0.08914,0.08507,0.11968,0.17285,0.15293,0.10608,0.13269,0.09114,0.22226,0.38167,0.11895,0.10388,0.14378,0.15044,0.0,0.10987,0.07351,0.06327,0.07494,0.18671,0.20521,0.05552,0.20914,0.13696,0.10038,0.0,1.0136,0.24559,0.10685,0.2306,0.06664,0.12077,0.09223,0.11052,0.07097,0.07972,0.09479,0.11309,0.0694,0.08724,0.09344,0.07211,0.09709,0.08154,0.18654,0.07922,0.06963,0.0954,0.05766,0.11204,0.08389,0.07543,0.0686,0.28319,0.11595,0.07274,0.0,0.06885,0.06043,0.14048,0.0,0.11061,0.19497,0.08232,0.05996,0.08911,0.08743,0.06024,0.10794,0.35166,0.1452,0.10137,0.39742,0.2469,0.27009,0.16301,0.08067,0.16855,0.20109,0.11426,0.0,1.45608,0.0,0.61102,0.0,4.60649,4.81031,0.0,0.0,0.0,0.0,0.0,0.0,2.08577,0.0,0.0,0.0,0.52091,0.15039,0.41494,0.13113,0.24226,0.0,0.55219,0.34882,0.27712,0.27908,0.71055,0.31965,0.11605,1.38351,0.87009,0.23663,0.25567,0.23311,0.09705,0.17331,0.08383,0.09842,0.12914,0.1086,0.53081,0.56546,0.4057,0.13039,0.14114,0.15342,0.08701,0.10021,0.07466,0.08414,0.10064,0.10961,0.1205,0.16592,0.47516,0.73548,0.37385,0.2149,0.13681,0.11633,0.11501,0.27855,0.10014,0.1314,0.20159,0.14625,0.18479,0.1029,0.0,0.5901,0.11907,0.22857,0.18375,0.131,0.1049,0.15473,0.07148,0.09613,0.0942,0.0713,0.08016,0.09798,0.09502,0.08847,0.08876,0.08248,0.0,0.11605,0.1032,0.08804,0.18461,0.08297,0.07499,0.1612,0.0815,0.08219,0.10049,0.06393,0.08527,0.09105,0.52077,0.13884,0.10581,0.17172,0.41831,0.09859,0.13853,0.11474,0.10257,0.0,0.22328
-4.75,0.09069,0.0,0.09595,0.10229,0.08516,0.07996,0.0,0.0749,0.0,0.05966,0.0,0.0,0.0,0.0648,0.0,0.07697,0.0,0.07342,0.09191,0.0,0.08992,0.0,0.0,0.05891,0.06884,0.07043,0.0,0.06897,0.08043,0.09068,0.0,0.14605,0.30876,0.28254,0.34283,0.13788,0.17535,1.40358,0.28996,0.13731,0.5815,0.67598,0.39198,0.11868,0.0855,0.3467,0.08324,0.08649,0.10557,0.17253,0.15293,0.10608,0.12404,0.08623,0.22012,0.3534,0.11895,0.09692,0.14378,0.14632,0.0,0.10552,0.07622,0.06165,0.07494,0.14595,0.18034,0.05552,0.16331,0.13253,0.09628,0.0,0.96502,0.23046,0.10879,0.23063,0.06492,0.12077,0.09223,0.11052,0.07097,0.07699,0.09479,0.10774,0.06645,0.08724,0.08846,0.0705,0.09449,0.08154,0.12613,0.07375,0.0544,0.09324,0.05766,0.11204,0.08147,0.07297,0.0686,0.2716,0.11706,0.06626,0.06589,0.06013,0.05879,0.14573,0.0,0.11061,0.18689,0.07173,0.05996,0.08777,0.08743,0.05686,0.10222,0.34821,0.14344,0.09406,0.37848,0.23724,0.25393,0.16301,0.07163,0.16855,0.18621,0.11273,0.0,1.49169,0.0,0.57658,0.0,4.60649,4.57695,0.0,0.0,0.0,0.0,0.68442,0.0,1.89178,1.33135,0.0,0.0,0.48353,0.13797,0.41285,0.12609,0.23077,0.86004,0.50979,0.33809,0.25972,0.26886,0.66896,0.30897,0.11242,1.31802,0.80642,0.22551,0.25567,0.21843,0.09141,0.17049,0.08033,0.09617,0.12339,0.10464,0.51083,0.53297,0.39532,0.12745,0.13367,0.15393,0.08622,0.09329,0.07466,0.0835,0.09953,0.1091,0.11335,0.15763,0.46952,0.71069,0.34286,0.20776,0.13717,0.10979,0.10835,0.25735,0.09966,0.12206,0.19783,0.14594,0.17076,0.09936,0.0,0.5883,0.11344,0.21395,0.17604,0.12802,0.10074,0.14493,0.07148,0.0942,0.0942,0.06708,0.08016,0.09173,0.0927,0.08609,0.08078,0.08248,0.0,0.10769,0.1032,0.08395,0.17429,0.07621,0.07119,0.14218,0.07879,0.07809,0.09779,0.06393,0.08172,0.09105,0.49701,0.12933,0.10222,0.15938,0.40441,0.09469,0.13596,0.09841,0.10257,0.0,0.21918
-4.5,0.08956,0.0,0.09595,0.10229,0.09693,0.0737,0.06108,0.07362,0.05474,0.05966,0.0,0.06117,0.0,0.0648,0.05125,0.07697,0.0,0.07183,0.08414,0.0,0.08992,0.0,0.0,0.05891,0.05872,0.07043,0.0,0.06897,0.07238,0.08159,0.0,0.13793,0.29212,0.26905,0.3122,0.13452,0.17125,1.36508,0.27605,0.13409,0.55745,0.65902,0.38099,0.11485,0.08441,0.32742,0.08019,0.08494,0.09988,0.16582,0.1443,0.10608,0.11945,0.0841,0.21949,0.33129,0.10236,0.09566,0.1379,0.13973,0.0,0.10336,0.07196,0.05517,0.0682,0.14595,0.17969,0.05282,0.16331,0.12782,0.09628,0.0,0.9164,0.22393,0.09804,0.22902,0.06492,0.12077,0.09223,0.10439,0.07097,0.0768,0.0921,0.10362,0.06474,0.0797,0.09008,0.06817,0.09449,0.08154,0.11876,0.06087,0.0544,0.09324,0.05766,0.11204,0.07548,0.06798,0.06629,0.25339,0.11041,0.06626,0.06252,0.06013,0.05618,0.14573,0.0,0.11061,0.1835,0.06722,0.05554,0.08241,0.08159,0.05686,0.09375,0.33786,0.13385,0.08733,0.36088,0.22973,0.245,0.1333,0.07163,0.16146,0.17986,0.10669,0.58172,1.46444,0.0,0.55754,0.0,3.43606,4.37126,0.0,0.0,0.0,0.0,0.65557,0.0,1.84349,1.29742,0.0,0.0,0.46572,0.13299,0.38839,0.12096,0.21855,0.82081,0.49368,0.31289,0.25193,0.25752,0.63684,0.29452,0.10957,1.26403,0.78252,0.21286,0.25959,0.21492,0.09076,0.16541,0.07759,0.09054,0.11945,0.09583,0.50125,0.50302,0.37881,0.1257,0.12942,0.14761,0.08333,0.08593,0.07074,0.08186,0.08391,0.09788,0.10606,0.15286,0.45117,0.6824,0.33204,0.20237,0.12976,0.0951,0.10527,0.24006,0.09966,0.11645,0.18307,0.13484,0.16215,0.09114,0.0,0.56982,0.10549,0.20722,0.1718,0.12425,0.09779,0.12864,0.07242,0.08632,0.09524,0.06483,0.07506,0.09173,0.08973,0.08609,0.07382,0.07939,0.0,0.10415,0.09109,0.08395,0.16854,0.07186,0.06973,0.14218,0.07879,0.07671,0.09258,0.06337,0.07896,0.08805,0.46675,0.11896,0.09717,0.15503,0.39391,0.09109,0.1319,0.09296,0.09861,0.0,0.19883
-4.25,0.08393,0.05084,0.09911,0.08864,0.08025,0.07324,0.06108,0.07362,0.05474,0.05265,0.0,0.05795,0.0,0.06223,0.05125,0.05987,0.0,0.05344,0.08334,0.0,0.07221,0.05108,0.0,0.05891,0.04962,0.07362,0.0,0.06897,0.07238,0.08079,0.0,0.13432,0.28547,0.25639,0.3046,0.12445,0.16249,1.35592,0.26592,0.12874,0.54708,0.58294,0.3793,0.11482,0.0785,0.2846,0.07649,0.07787,0.0968,0.14949,0.1443,0.08516,0.11534,0.07795,0.20436,0.31635,0.09915,0.08871,0.13793,0.13233,0.10392,0.10348,0.06927,0.05517,0.06907,0.14595,0.17775,0.05282,0.16331,0.12127,0.08561,0.0,0.86448,0.20882,0.08863,0.22902,0.06206,0.10826,0.08083,0.10439,0.05482,0.07706,0.08725,0.09407,0.06004,0.07161,0.08089,0.06032,0.09555,0.06753,0.11079,0.06087,0.049,0.08052,0.05626,0.09378,0.07484,0.06281,0.06422,0.2406,0.10338,0.06516,0.06252,0.05904,0.05618,0.14573,0.0,0.0792,0.17986,0.06722,0.05136,0.07767,0.07231,0.05686,0.09222,0.33097,0.12686,0.08549,0.34685,0.21368,0.24112,0.11896,0.0697,0.16146,0.1765,0.09895,0.54048,1.35998,0.0,0.54614,0.0,3.3597,4.53627,1.15486,0.0,0.0,0.73027,0.62258,0.0,1.78959,1.22948,0.0,0.0,0.44627,0.12977,0.37444,0.11572,0.20743,0.76305,0.47755,0.29633,0.23848,0.24373,0.60555,0.274,0.10132,1.21658,0.74665,0.20098,0.25959,0.19164,0.08326,0.15696,0.0742,0.08779,0.11692,0.09371,0.44762,0.48071,0.37468,0.12018,0.12253,0.14338,0.08019,0.07924,0.06787,0.07714,0.08125,0.08844,0.09867,0.14523,0.42849,0.61645,0.30427,0.19259,0.12076,0.08438,0.09644,0.2349,0.09493,0.11223,0.17935,0.12989,0.15672,0.08975,1.11753,0.52233,0.1009,0.19607,0.15932,0.1121,0.09258,0.12706,0.07197,0.08102,0.08519,0.06483,0.07506,0.08679,0.08146,0.07778,0.07382,0.07177,0.05376,0.10415,0.08629,0.0717,0.16624,0.07186,0.06894,0.13814,0.07283,0.07671,0.08629,0.06337,0.06898,0.08523,0.44945,0.11477,0.09479,0.14322,0.35446,0.08647,0.12613,0.09296,0.09107,0.0,0.19546
-4.0,0.07797,0.05084,0.09187,0.07938,0.07555,0.06974,0.05786,0.07235,0.04831,0.05265,0.0,0.05795,0.04803,0.05614,0.04793,0.05987,0.0,0.05344,0.08328,0.0,0.0593,0.05108,0.04581,0.05891,0.04962,0.06888,0.0,0.06897,0.07179,0.08079,0.05214,0.13367,0.26884,0.24515,0.28939,0.12445,0.15296,1.16673,0.2474,0.12215,0.51615,0.56711,0.35578,0.11031,0.0762,0.27048,0.07554,0.07697,0.08651,0.14152,0.1443,0.06912,0.11534,0.07176,0.19407,0.30312,0.09298,0.08344,0.13793,0.12578,0.1095,0.09778,0.06873,0.05071,0.06746,0.1279,0.17775,0.04452,0.18529,0.12201,0.08368,0.09496,0.82226,0.19663,0.08289,0.19453,0.06041,0.10826,0.07192,0.09192,0.05604,0.07158,0.07878,0.09307,0.05702,0.06809,0.07629,0.06032,0.08597,0.06466,0.10594,0.05721,0.04634,0.07146,0.05343,0.09248,0.07484,0.06151,0.06422,0.22866,0.09876,0.05828,0.06056,0.05986,0.05391,0.11091,0.0,0.06845,0.17169,0.05709,0.05136,0.07615,0.06823,0.05686,0.08881,0.31002,0.1196,0.08072,0.31864,0.20117,0.23964,0.10881,0.06788,0.16146,0.16854,0.09263,0.50998,1.29275,0.65423,0.51322,0.0,3.32832,4.23164,1.0833,0.0,0.89108,0.69673,0.60577,0.55164,1.66554,1.16902,0.0,0.0,0.43127,0.12226,0.33691,0.10772,0.19751,0.72099,0.43438,0.28734,0.22813,0.23552,0.57296,0.26153,0.09743,1.17612,0.69479,0.1951,0.25959,0.187,0.08129,0.14429,0.07156,0.08779,0.11029,0.09203,0.43568,0.45434,0.32393,0.11262,0.11685,0.13803,0.07526,0.07924,0.06787,0.07714,0.08125,0.08191,0.09357,0.13898,0.39782,0.57732,0.2893,0.18656,0.11854,0.08438,0.0897,0.21855,0.08879,0.10521,0.17329,0.12239,0.14945,0.0852,1.06865,0.49257,0.0972,0.18638,0.15557,0.10709,0.08942,0.12133,0.07197,0.08102,0.07832,0.06056,0.0693,0.08364,0.0739,0.07198,0.0702,0.07177,0.05147,0.10415,0.08629,0.06517,0.16202,0.06788,0.06894,0.1259,0.07155,0.06814,0.0852,0.05753,0.06898,0.07751,0.41705,0.10553,0.08522,0.13425,0.33977,0.08047,0.1249,0.08046,0.08693,0.0,0.18596
-3.75,0.07491,0.0529,0.08361,0.08086,0.06466,0.06814,0.05786,0.07235,0.04831,0.04579,0.05158,0.05352,0.04807,0.05312,0.04474,0.05644,0.05112,0.05384,0.07867,0.0,0.0593,0.05337,0.04554,0.05837,0.04932,0.06888,0.04481,0.05692,0.06965,0.07425,0.05214,0.13043,0.24281,0.22426,0.27791,0.11437,0.14483,1.09028,0.23413,0.11816,0.47473,0.52245,0.32104,0.10541,0.07411,0.25993,0.06809,0.07514,0.08127,0.13217,0.10668,0.06617,0.10122,0.06842,0.18536,0.28735,0.08886,0.08237,0.13254,0.12194,0.10373,0.09252,0.06721,0.05323,0.06747,0.09814,0.15941,0.04452,0.18529,0.10832,0.08368,0.09496,0.77675,0.19235,0.07658,0.18486,0.06041,0.09814,0.07253,0.08283,0.05474,0.06547,0.07878,0.09215,0.05702,0.06458,0.07394,0.05842,0.07769,0.06466,0.10594,0.05077,0.04401,0.0678,0.05343,0.07477,0.06588,0.05858,0.05841,0.22503,0.09781,0.05503,0.0609,0.05839,0.04873,0.09037,0.0,0.06269,0.16391,0.0524,0.04701,0.07519,0.06209,0.0527,0.08447,0.29508,0.11643,0.07716,0.30982,0.19186,0.2357,0.10006,0.05891,0.1438,0.1603,0.08739,0.48226,1.23916,0.64531,0.47712,0.86958,3.22971,4.09949,1.00848,1.3871,0.86335,0.65478,0.56795,0.51506,1.59696,1.06647,0.64003,0.0,0.41528,0.119,0.32066,0.10304,0.18996,0.68194,0.40364,0.27186,0.21789,0.22467,0.58658,0.24311,0.09238,1.09009,0.64869,0.18281,0.25959,0.17559,0.07679,0.14237,0.0676,0.08295,0.10424,0.08912,0.39469,0.41991,0.30946,0.10609,0.1132,0.13621,0.07381,0.07389,0.06385,0.06955,0.07824,0.0804,0.0871,0.13201,0.37265,0.52797,0.27365,0.17099,0.11033,0.07903,0.08423,0.20303,0.0836,0.10185,0.1601,0.11682,0.14049,0.08266,0.87384,0.46601,0.09343,0.18414,0.15003,0.10112,0.08765,0.12039,0.06502,0.07503,0.07375,0.05973,0.06217,0.07945,0.0739,0.07198,0.06777,0.06374,0.05147,0.10249,0.0849,0.06517,0.15447,0.06556,0.06044,0.10963,0.07155,0.0652,0.08582,0.05753,0.06707,0.07636,0.39112,0.09928,0.0831,0.1286,0.32239,0.07528,0.1249,0.07797,0.08358,0.07021,0.18121
-3.5,0.06884,0.04603,0.07305,0.07216,0.06099,0.06306,0.05463,0.06614,0.04831,0.04579,0.05158,0.05352,0.04807,0.05378,0.04474,0.0513,0.05273,0.04935,0.07483,0.0,0.05341,0.05337,0.04554,0.05625,0.04746,0.06516,0.04798,0.05692,0.06965,0.07169,0.05108,0.10439,0.22796,0.21152,0.26511,0.11036,0.13241,1.03229,0.22889,0.1101,0.45652,0.48519,0.31015,0.09582,0.07129,0.24819,0.06519,0.0704,0.07536,0.12367,0.10157,0.06514,0.08947,0.06159,0.17747,0.261,0.08432,0.07948,0.10315,0.11237,0.09993,0.08956,0.06273,0.05323,0.06134,0.09041,0.14732,0.04154,0.17057,0.10446,0.08224,0.09496,0.74096,0.17661,0.06876,0.18271,0.05482,0.08232,0.06668,0.07968,0.05234,0.06547,0.07014,0.08656,0.05649,0.06351,0.0709,0.05446,0.07427,0.06206,0.08994,0.05077,0.04077,0.06659,0.04895,0.07477,0.06261,0.05611,0.05477,0.21195,0.09108,0.05458,0.0609,0.05158,0.04873,0.07422,0.04584,0.05974,0.15146,0.0524,0.04701,0.0693,0.05719,0.04981,0.08003,0.2836,0.10795,0.0723,0.29574,0.18268,0.22438,0.08817,0.05891,0.14292,0.14873,0.08331,0.44684,1.19336,0.59463,0.43632,0.81564,3.19105,3.85045,0.94568,1.3871,0.8839,0.61492,0.51774,0.48077,1.46352,0.99384,0.59939,0.59011,0.38012,0.10991,0.30772,0.09931,0.1795,0.64582,0.38498,0.2563,0.20443,0.20346,0.52451,0.23013,0.08562,0.99551,0.60488,0.17458,0.18643,0.16617,0.07599,0.1338,0.06112,0.07537,0.10003,0.08374,0.34702,0.39665,0.29194,0.09972,0.10944,0.12775,0.0713,0.06961,0.06385,0.06413,0.07217,0.0719,0.08523,0.12535,0.34506,0.4886,0.25224,0.15305,0.10639,0.07099,0.07849,0.18973,0.08335,0.10108,0.15114,0.10633,0.12903,0.07847,0.75824,0.43425,0.08803,0.1727,0.14239,0.08905,0.07718,0.09555,0.06048,0.07503,0.07119,0.05687,0.06217,0.0754,0.0691,0.06407,0.06777,0.05922,0.04768,0.09042,0.07735,0.06039,0.1431,0.06061,0.05461,0.10963,0.06465,0.06162,0.08573,0.05116,0.06573,0.07505,0.3738,0.09703,0.07829,0.12123,0.29728,0.07528,0.11142,0.07371,0.08144,0.06848,0.16767
-3.25,0.062,0.04572,0.07345,0.06798,0.05542,0.05519,0.05463,0.05951,0.04906,0.0419,0.04388,0.04976,0.04401,0.04904,0.0409,0.0513,0.04986,0.04856,0.06721,0.04914,0.04886,0.05045,0.04428,0.04818,0.04746,0.06516,0.04286,0.05692,0.06658,0.06003,0.05106,0.09448,0.21579,0.19463,0.24344,0.107,0.12775,0.95083,0.21113,0.10486,0.42353,0.45285,0.29339,0.0915,0.06964,0.23547,0.06142,0.06678,0.06946,0.1177,0.08563,0.05841,0.08101,0.05696,0.16983,0.24885,0.07596,0.07682,0.09241,0.11256,0.09748,0.08847,0.05843,0.0485,0.05832,0.08785,0.13184,0.04154,0.17057,0.10123,0.06912,0.08321,0.68255,0.16278,0.06115,0.16609,0.04997,0.07609,0.0571,0.07006,0.05234,0.06182,0.06573,0.08423,0.05222,0.05598,0.06783,0.05125,0.07273,0.05541,0.06424,0.04656,0.04077,0.0562,0.04895,0.07257,0.05954,0.05234,0.05112,0.19742,0.08843,0.05435,0.06079,0.04994,0.04343,0.07422,0.04584,0.05974,0.14316,0.05128,0.04262,0.06494,0.05719,0.04856,0.07731,0.27901,0.10741,0.06853,0.26582,0.17154,0.2218,0.08124,0.05331,0.12365,0.13955,0.07843,0.41994,1.09789,0.55463,0.40839,0.77086,2.36313,3.57768,0.95971,0.89075,0.82905,0.57251,0.49772,0.45329,1.31107,0.87669,0.57921,0.55727,0.36414,0.10747,0.28774,0.09308,0.16652,0.60566,0.36013,0.24075,0.19134,0.19218,0.48701,0.22246,0.08319,0.91832,0.5651,0.15976,0.17269,0.15531,0.07335,0.12134,0.06112,0.06947,0.09478,0.07639,0.31296,0.36677,0.28023,0.09474,0.09923,0.12835,0.06706,0.06546,0.05851,0.06413,0.06629,0.0653,0.07723,0.12216,0.32534,0.46867,0.23954,0.14635,0.09965,0.06515,0.0765,0.18029,0.07682,0.09217,0.14217,0.10094,0.1231,0.07315,0.68143,0.41287,0.08398,0.16196,0.13181,0.07823,0.07438,0.08701,0.06048,0.0654,0.06932,0.05275,0.05639,0.07508,0.06545,0.05763,0.06186,0.05922,0.04768,0.09042,0.07346,0.05416,0.14041,0.05763,0.05461,0.10905,0.05754,0.06133,0.08064,0.05116,0.05692,0.069,0.33925,0.09349,0.07645,0.11828,0.27843,0.07004,0.10251,0.06894,0.08031,0.07017,0.15815
-3.0,0.05924,0.04124,0.06416,0.06557,0.05268,0.05,0.0506,0.04958,0.04504,0.03656,0.04239,0.04724,0.04106,0.04686,0.03987,0.04429,0.04688,0.04414,0.06488,0.04613,0.04669,0.04367,0.0413,0.04593,0.04161,0.06089,0.03903,0.04288,0.06107,0.05923,0.04841,0.09837,0.19573,0.18107,0.23075,0.10157,0.11967,0.91598,0.19508,0.09733,0.39661,0.41834,0.25614,0.08662,0.06543,0.21151,0.05793,0.06183,0.06544,0.10416,0.08003,0.05541,0.07261,0.05311,0.15506,0.22681,0.07402,0.07223,0.08736,0.10366,0.08775,0.08376,0.0554,0.04529,0.05744,0.07846,0.10834,0.03705,0.11159,0.09322,0.06301,0.08321,0.63726,0.15328,0.05793,0.16045,0.04802,0.06883,0.0571,0.06018,0.04593,0.05766,0.06573,0.07835,0.04755,0.05194,0.06671,0.05125,0.06711,0.05374,0.05758,0.04656,0.03667,0.04906,0.04144,0.05713,0.05954,0.04847,0.04823,0.18885,0.08462,0.05435,0.0562,0.04657,0.04343,0.06168,0.04865,0.05231,0.13495,0.04554,0.04021,0.06546,0.05313,0.04585,0.07037,0.26294,0.09985,0.06399,0.24998,0.15843,0.20211,0.07332,0.0494,0.1165,0.13128,0.0725,0.39433,1.0355,0.51307,0.37532,0.71596,2.29862,3.46088,0.90722,0.78365,0.7881,0.53061,0.45862,0.4196,1.20115,0.8149,0.53507,0.50981,0.33211,0.09839,0.26795,0.09004,0.15988,0.57029,0.33056,0.22896,0.17683,0.17737,0.44732,0.202,0.07823,0.85512,0.53395,0.14881,0.16332,0.14386,0.06918,0.1162,0.05624,0.06406,0.0923,0.07175,0.28728,0.34118,0.25033,0.08815,0.09498,0.12344,0.06266,0.06295,0.05245,0.05898,0.06629,0.05861,0.07119,0.11202,0.2989,0.42433,0.22675,0.13714,0.09014,0.06515,0.07257,0.17659,0.07241,0.08735,0.13158,0.0944,0.11542,0.07051,0.62526,0.39448,0.07829,0.15434,0.12317,0.07815,0.06734,0.07613,0.05606,0.05745,0.066,0.05275,0.05639,0.06627,0.05924,0.05763,0.0563,0.05235,0.04559,0.08324,0.06649,0.05416,0.13595,0.05763,0.0506,0.09294,0.05754,0.05751,0.07553,0.04581,0.05692,0.06447,0.32187,0.09009,0.06917,0.10448,0.25845,0.06529,0.09149,0.06894,0.073,0.06703,0.14973
-2.75,0.05851,0.04124,0.05838,0.06292,0.04855,0.04726,0.04601,0.04856,0.04617,0.03587,0.03996,0.04403,0.04059,0.04433,0.03805,0.04182,0.0457,0.04255,0.06058,0.04273,0.04844,0.04206,0.0413,0.04593,0.04195,0.05447,0.03903,0.03705,0.05881,0.04868,0.04309,0.08903,0.18527,0.16822,0.20814,0.09383,0.11073,0.86025,0.17706,0.09047,0.35478,0.37629,0.23784,0.07944,0.06102,0.20257,0.05464,0.0578,0.06241,0.09859,0.07451,0.05429,0.06395,0.05311,0.14852,0.2144,0.0693,0.06515,0.08053,0.09557,0.0809,0.07274,0.05319,0.04476,0.0528,0.06565,0.0973,0.03301,0.10037,0.08518,0.05847,0.09037,0.58076,0.14303,0.05561,0.13698,0.04682,0.06034,0.04809,0.05551,0.04061,0.05766,0.05233,0.07141,0.04617,0.04834,0.06279,0.04805,0.06068,0.04695,0.05758,0.04217,0.03667,0.04906,0.03858,0.05071,0.0536,0.04669,0.04501,0.17549,0.07522,0.04919,0.05125,0.04216,0.03983,0.05085,0.04865,0.04653,0.13995,0.04554,0.04021,0.06353,0.04858,0.04118,0.06879,0.25835,0.09163,0.06122,0.22709,0.14693,0.18346,0.06592,0.04477,0.11331,0.12415,0.0673,0.3633,0.98399,0.47119,0.34256,0.6916,2.23714,2.9132,0.83988,0.7283,0.74798,0.48808,0.41979,0.38759,1.09699,0.74153,0.49097,0.47697,0.3112,0.09226,0.24795,0.08217,0.14722,0.53333,0.30267,0.21597,0.16342,0.17027,0.40933,0.18308,0.0734,0.78937,0.49589,0.14267,0.15748,0.13599,0.06589,0.10772,0.05143,0.06061,0.08885,0.06711,0.26844,0.3154,0.22618,0.08452,0.09114,0.10371,0.05766,0.06225,0.05245,0.05468,0.06007,0.05861,0.06565,0.10416,0.27744,0.38503,0.2087,0.12428,0.08507,0.06188,0.06877,0.16585,0.06868,0.08592,0.12562,0.09079,0.10695,0.06687,0.5625,0.35231,0.07438,0.14424,0.11504,0.07118,0.06138,0.07613,0.0551,0.05745,0.0608,0.04773,0.0519,0.05956,0.05913,0.05217,0.0563,0.04841,0.04559,0.07779,0.06085,0.05023,0.12367,0.05314,0.0506,0.07557,0.05365,0.05299,0.06863,0.04581,0.05327,0.05816,0.30035,0.08045,0.0637,0.09968,0.24156,0.06259,0.07465,0.06322,0.06506,0.06587,0.13945
