,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.089,0.07093,0.11569,0.08369,0.12253,0.0801,0.10643,0.04842,0.0,0.0906,0.07071,0.05122,0.09861,0.08355,0.08167,0.0,0.08919,0.0,0.0,0.0,0.0,0.06699,0.0,0.0,0.04469,0.0,0.0,0.10287,0.0,0.0,0.10381,0.0,0.0934,0.0632,0.0,0.0,0.0,0.09236,0.10999,0.0,0.23654,0.18256,0.10043,0.18091,0.08736,0.23732,0.0,0.06525,0.08981,0.06759,0.0838,0.24357,0.07062,0.06938,0.0,0.20891,0.07666,0.21872,0.14546,0.0,0.0,0.07802,0.07287,0.0,0.0,0.05531,0.07614,0.14449,0.0,0.08376,0.0,0.0,0.05849,0.06368,0.07389,0.0,0.05129,0.06097,0.0,0.04498,0.0,0.0,0.09306,0.06748,0.06734,0.0964,0.0,0.0698,0.0,0.09232,0.05849,0.05502,0.05533,0.04228,0.06464,0.05153,0.0772,0.0573,0.09677,0.0,0.0,0.0,0.0,0.0,0.0,0.06904,0.07296,0.06832,0.0,0.06007,0.0,0.09364,0.06423,0.12007,0.14307,0.09384,0.08038,0.0,0.08836,0.06511,0.06759,0.07724,0.0,0.13358,0.11156,0.0,0.0,0.35052,0.27838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6839,0.0,0.0,0.0,0.0,0.19207,0.23712,0.089,0.0,0.2397,0.0,0.14754,0.0,0.0,0.0,0.0,0.08918,0.0,0.0,0.0,0.10032,0.10121,0.06801,0.09344,0.07153,0.07446,0.07315,0.09586,0.17663,0.22503,0.4032,0.33523,0.12862,0.0,0.07959,0.08257,0.06985,0.0,0.07989,0.09155,0.08613,0.14269,0.0,0.1037,0.25162,0.0,0.1686,0.10082,0.08086,0.08473,0.06367,0.32646,0.07848,0.24329,0.09991,0.5529,0.0,0.0,0.13472,0.39314,0.13782,0.09002,0.07492,0.0,0.08281,0.0,0.07963,0.0,0.06251,0.08707,0.11299,0.07059,0.07042,0.0,0.09373,0.09953,0.06552,0.07714,0.08826,0.17468,0.06058,0.06712,0.0,0.15618,0.08451,0.0,0.0,0.07731,0.12727,0.0,0.0,0.10208,0.0,0.0,0.09043,0.0,0.0,0.0,0.0994
-4.75,0.0,0.089,0.06932,0.11569,0.08369,0.11513,0.0801,0.08054,0.04842,0.0,0.0906,0.08356,0.05122,0.10179,0.08355,0.0726,0.0,0.08919,0.0,0.0,0.0,0.0,0.06062,0.0,0.0,0.04469,0.0,0.0,0.10287,0.0,0.0,0.10381,0.0,0.08801,0.06318,0.0,0.0,0.38155,0.08879,0.10762,0.0,0.21418,0.16428,0.09812,0.18091,0.08293,0.226,0.0,0.06525,0.08234,0.0663,0.0838,0.20202,0.06618,0.06622,0.0,0.14225,0.07188,0.22361,0.14055,0.0,0.0,0.07043,0.06967,0.05242,0.0,0.05531,0.07614,0.14449,0.0,0.07722,0.0,0.0,0.0681,0.06368,0.07389,0.0,0.05448,0.06097,0.0,0.04498,0.0,0.13378,0.09146,0.06748,0.06734,0.09319,0.0,0.0682,0.0,0.09232,0.05849,0.05502,0.05533,0.04228,0.06464,0.05153,0.07076,0.0573,0.09787,0.0,0.0,0.0,0.0,0.0,0.0,0.06904,0.07628,0.0672,0.0,0.04339,0.0,0.08362,0.06255,0.11103,0.14307,0.08921,0.08038,0.0,0.08836,0.06511,0.06305,0.06804,0.0,0.12458,0.11156,0.0,0.0,0.33917,0.26697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58164,0.0,0.0,0.0,0.0,0.18592,0.22615,0.09069,0.0,0.22996,0.0,0.14558,0.0,0.0,0.0,0.0,0.08792,0.0,0.0,0.0,0.09804,0.09411,0.06386,0.0921,0.07438,0.07382,0.06868,0.09192,0.17663,0.20236,0.37783,0.31434,0.12298,0.0,0.07959,0.07017,0.06574,0.12579,0.07989,0.09155,0.08193,0.13855,0.0,0.09507,0.2298,0.0,0.1686,0.09874,0.07851,0.07645,0.05728,0.31318,0.07635,0.24329,0.08184,0.52259,0.0,0.0,0.12624,0.37629,0.12551,0.08792,0.07492,0.0,0.08281,0.0,0.07963,0.0,0.06251,0.07878,0.09878,0.06644,0.06628,0.0,0.09373,0.09745,0.06361,0.06758,0.06228,0.13412,0.06058,0.06779,0.12687,0.15618,0.08039,0.0,0.0,0.07285,0.12515,0.0,0.0,0.09787,0.06279,0.0,0.09043,0.0,0.0,0.0,0.0994
-4.5,0.0,0.089,0.06932,0.11569,0.06761,0.11114,0.0801,0.08054,0.04842,0.0,0.0906,0.08356,0.05122,0.10179,0.08355,0.0726,0.0,0.08919,0.05794,0.04481,0.0,0.0,0.06062,0.04142,0.0,0.04787,0.0,0.0,0.10287,0.0,0.0,0.10381,1.06637,0.08282,0.06318,0.0,0.0,0.37793,0.08595,0.10447,0.0,0.21083,0.13282,0.09812,0.15394,0.08293,0.226,0.0,0.06394,0.07914,0.06995,0.0838,0.20768,0.06618,0.06725,0.0,0.14068,0.07031,0.22361,0.13564,0.07806,0.0,0.07043,0.08203,0.05242,0.0641,0.05368,0.07452,0.12669,0.0,0.07722,0.0,0.0,0.06407,0.06205,0.06597,0.0,0.05448,0.06097,0.0,0.04076,0.0,0.12259,0.08345,0.06106,0.05612,0.09319,0.0,0.06258,0.0,0.09232,0.05849,0.05015,0.05543,0.04228,0.05603,0.05153,0.07076,0.05622,0.09396,0.0,0.05277,0.0,0.0,0.0,0.04922,0.06904,0.06965,0.06608,0.0,0.04339,0.0,0.08362,0.06255,0.10567,0.14307,0.08738,0.08038,0.0,0.08879,0.06511,0.06349,0.06779,0.0,0.12458,0.10191,0.0,0.0,0.32029,0.26305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53438,0.0,0.0,0.0,0.0,0.17853,0.21519,0.08884,0.0,0.21241,0.0,0.12868,0.0,0.0,0.0,0.0,0.08855,0.0,0.0,0.0,0.09363,0.09411,0.06386,0.08964,0.07438,0.07115,0.06868,0.08537,0.1698,0.20648,0.37182,0.30712,0.12109,0.0,0.07107,0.07017,0.05886,0.12579,0.07989,0.08271,0.08133,0.12748,0.0,0.09014,0.21887,0.0,0.16174,0.09725,0.07851,0.07645,0.05728,0.30346,0.07484,0.2354,0.08152,0.48634,0.0,0.0,0.11227,0.34679,0.10845,0.08127,0.07492,0.05578,0.08281,0.0,0.07266,0.0,0.06251,0.08499,0.09484,0.06644,0.06628,0.0,0.09476,0.09538,0.06361,0.06758,0.06228,0.13412,0.05734,0.06779,0.12687,0.14398,0.07833,0.0,0.0,0.069,0.12089,0.0,0.0,0.0936,0.06279,0.07747,0.08796,0.0,0.08629,0.0,0.09516
-4.25,0.0,0.0636,0.06568,0.11569,0.06761,0.10044,0.0801,0.08054,0.04842,0.0484,0.0906,0.08356,0.05122,0.10179,0.06741,0.0726,0.0,0.08919,0.05633,0.04481,0.0,0.0,0.06062,0.04142,0.0,0.04787,0.0,0.0,0.10287,0.0,0.0,0.10381,1.02192,0.08503,0.06318,0.0,0.0,0.3497,0.07918,0.08988,0.0,0.1806,0.12711,0.09443,0.14726,0.08293,0.20467,0.0,0.05653,0.07617,0.06995,0.0838,0.18222,0.05888,0.06614,0.3871,0.13911,0.06871,0.22361,0.12585,0.06668,0.0,0.06339,0.08203,0.0539,0.05284,0.05368,0.07452,0.12669,0.0,0.06725,0.0,0.0,0.06407,0.05766,0.06332,0.05149,0.04807,0.06097,0.0,0.04076,0.0,0.1113,0.08184,0.05785,0.05612,0.08356,0.0,0.06288,0.0,0.06881,0.05849,0.04691,0.05543,0.04228,0.05334,0.05153,0.07236,0.0573,0.09973,0.06139,0.05277,0.0,0.0,0.0,0.04922,0.05149,0.06635,0.06608,0.0,0.04339,0.06398,0.07916,0.06086,0.10395,0.11824,0.08418,0.07472,0.0,0.07977,0.06511,0.06233,0.06779,0.0,0.1065,0.09879,0.0,0.0,0.3019,0.2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57897,1.43181,0.0,0.0,0.50128,0.0,0.16991,0.20422,0.08138,0.0,0.20694,0.0,0.12253,0.24905,0.0,0.0,0.0,0.08083,0.0,0.0,0.0,0.09363,0.08976,0.06151,0.08725,0.06533,0.07115,0.06222,0.07953,0.16452,0.19286,0.37182,0.29043,0.11625,0.23373,0.0685,0.07035,0.05886,0.11181,0.05639,0.08271,0.0793,0.12472,0.0,0.08802,0.21469,0.0,0.15224,0.09255,0.07637,0.0708,0.05802,0.2837,0.07247,0.22697,0.08152,0.46153,0.45278,0.0,0.11146,0.34679,0.10704,0.07609,0.07492,0.05578,0.08494,0.07142,0.07266,0.0,0.06251,0.08499,0.09378,0.06432,0.05549,0.06059,0.07556,0.08708,0.07023,0.06384,0.06328,0.09618,0.05734,0.06372,0.12687,0.14315,0.07627,0.05798,0.06635,0.069,0.11671,0.0,0.0,0.08886,0.06422,0.07747,0.08085,0.05768,0.08629,0.05782,0.09516
-4.0,0.0,0.0636,0.06375,0.08995,0.05957,0.10171,0.07152,0.07305,0.04199,0.0484,0.0906,0.05787,0.04417,0.08587,0.05561,0.0726,0.0,0.08761,0.05633,0.04321,0.0,0.0,0.06062,0.04142,0.0,0.04149,0.04807,0.0,0.10287,0.0,0.0,0.07301,0.97409,0.0837,0.06217,0.05747,0.0,0.32739,0.07664,0.08985,0.36749,0.17724,0.12331,0.09617,0.13947,0.07269,0.19929,0.07932,0.05653,0.07422,0.06949,0.0838,0.13906,0.05519,0.05906,0.36517,0.09471,0.06177,0.22361,0.12662,0.06668,0.0,0.06339,0.08538,0.05014,0.05284,0.05043,0.06158,0.12669,0.06524,0.06584,0.0,0.0,0.06109,0.05712,0.05925,0.05149,0.04807,0.06097,0.0,0.04076,0.0,0.10808,0.08234,0.05785,0.05612,0.08019,0.0,0.06037,0.0,0.05692,0.05849,0.04691,0.0497,0.03792,0.05334,0.04961,0.07156,0.0573,0.09364,0.05966,0.05277,0.0,0.06208,0.03939,0.04433,0.05149,0.06635,0.06385,0.0,0.04339,0.05722,0.07136,0.06086,0.09109,0.11608,0.08062,0.06929,0.0,0.07714,0.06521,0.06233,0.06401,0.0,0.09537,0.09748,0.0,0.0,0.2924,0.22865,0.0,0.0,0.0,0.0,0.84513,0.0,0.0,0.25919,0.52815,1.33695,0.0,0.0,0.47126,0.0,0.16621,0.17847,0.08563,0.0,0.19431,0.0,0.11578,0.23758,0.20809,0.0,0.25723,0.07643,0.0,0.0,0.0,0.09344,0.08562,0.06151,0.08484,0.0593,0.06782,0.06222,0.08025,0.15575,0.18281,0.37182,0.28223,0.1154,0.22111,0.0685,0.06624,0.05184,0.10773,0.05639,0.06108,0.07379,0.11779,0.0,0.08823,0.20258,0.0,0.1505,0.08413,0.07129,0.06465,0.05802,0.26347,0.06494,0.21854,0.08045,0.41658,0.42714,0.0,0.10096,0.31306,0.10499,0.07609,0.06573,0.05161,0.0764,0.07142,0.05868,0.08329,0.05584,0.07528,0.0914,0.05813,0.05549,0.0537,0.07556,0.08708,0.07023,0.06165,0.05679,0.09618,0.05297,0.06372,0.09606,0.10868,0.07627,0.05798,0.06221,0.06279,0.11009,0.0,0.50053,0.08432,0.06388,0.07747,0.06855,0.05768,0.07271,0.05369,0.09516
-3.75,0.0,0.05615,0.06065,0.06535,0.05957,0.10171,0.07152,0.06687,0.04302,0.0484,0.0906,0.04823,0.04417,0.06847,0.05561,0.0726,0.0,0.08761,0.05633,0.04696,0.0,0.04788,0.06062,0.04142,0.0,0.04149,0.04807,0.0,0.10287,0.0,0.0,0.07301,0.91608,0.08144,0.0567,0.05747,0.0,0.31015,0.0733,0.08852,0.35955,0.175,0.14043,0.09021,0.12496,0.07277,0.19279,0.07775,0.05502,0.06789,0.0648,0.0644,0.12445,0.05519,0.05706,0.33555,0.09471,0.06177,0.22361,0.12217,0.06668,0.0,0.06014,0.07069,0.05014,0.05124,0.05043,0.06158,0.11201,0.0685,0.06697,0.0,0.0,0.05481,0.05712,0.05925,0.05149,0.04487,0.06097,0.0,0.04076,0.0,0.10002,0.08013,0.05355,0.05612,0.07378,0.0,0.05591,0.04669,0.05692,0.05849,0.04315,0.0497,0.03792,0.04955,0.04961,0.07202,0.05433,0.08682,0.06054,0.05442,0.0,0.06208,0.04266,0.04433,0.04847,0.06967,0.05966,0.04361,0.03892,0.05722,0.07136,0.05972,0.08943,0.11493,0.07601,0.06929,0.0,0.07016,0.05834,0.05409,0.0617,0.0,0.09387,0.09468,0.0,0.0,0.27019,0.21953,0.0,0.0,0.0,0.0,0.80235,0.0,0.0,0.25071,0.49848,1.2538,0.0,0.0,0.43372,0.0,0.15144,0.16776,0.07962,0.0,0.17573,0.37328,0.11263,0.23753,0.18716,0.435,0.24215,0.0707,0.0,0.0,0.25499,0.08697,0.07808,0.05558,0.08164,0.0593,0.06125,0.05762,0.07817,0.14257,0.16945,0.37182,0.26347,0.1054,0.20886,0.06164,0.06624,0.05184,0.09353,0.05326,0.05989,0.07154,0.11641,0.0,0.08476,0.1965,0.0,0.14877,0.08262,0.07129,0.06305,0.05519,0.24594,0.06494,0.20333,0.07303,0.4042,0.40141,0.0,0.09284,0.30284,0.09981,0.07302,0.06087,0.05161,0.07318,0.0651,0.05868,0.06073,0.05416,0.07183,0.08781,0.05813,0.05466,0.05368,0.06732,0.07791,0.06187,0.06165,0.05679,0.09001,0.05297,0.06201,0.07199,0.10868,0.06806,0.05107,0.05392,0.06279,0.10796,0.0,0.48776,0.08192,0.06388,0.07012,0.06855,0.06008,0.0679,0.05369,0.09378
-3.5,0.0,0.05615,0.0569,0.06046,0.04706,0.10171,0.07152,0.06249,0.04302,0.04517,0.06041,0.04823,0.04268,0.06847,0.05561,0.06403,0.03525,0.08761,0.05312,0.04696,0.0,0.04575,0.05344,0.04142,0.03531,0.03921,0.03606,0.04064,0.10287,0.03832,0.0,0.07301,0.85472,0.07412,0.05568,0.05747,0.65038,0.29202,0.07185,0.08586,0.32634,0.16746,0.12914,0.08668,0.12045,0.06746,0.16976,0.07444,0.05287,0.06404,0.06282,0.06119,0.11728,0.05157,0.05702,0.31992,0.09219,0.07544,0.22361,0.11238,0.05965,0.05364,0.05006,0.07069,0.04848,0.06189,0.04442,0.05078,0.11201,0.06369,0.06615,0.0,0.0,0.05059,0.06197,0.05676,0.04717,0.04301,0.05776,0.04846,0.04002,0.03658,0.09679,0.08251,0.04899,0.05612,0.07807,0.0,0.05591,0.04427,0.05048,0.05849,0.04315,0.04397,0.03657,0.04955,0.04363,0.06881,0.04919,0.07957,0.06035,0.05277,0.03959,0.06208,0.04266,0.03832,0.04847,0.04864,0.05612,0.04493,0.03892,0.05553,0.07136,0.05972,0.0904,0.10716,0.07258,0.06242,0.40167,0.0661,0.05594,0.05188,0.0617,0.3058,0.08867,0.09204,0.71119,0.0,0.25128,0.21547,0.0,1.98906,1.1151,0.86758,0.74668,0.0,0.0,0.23375,0.46455,1.19253,0.0,0.0,0.41869,0.0,0.14762,0.16889,0.07708,0.0,0.16868,0.33825,0.10977,0.22311,0.18543,0.4101,0.22109,0.06645,0.0,0.57778,0.24578,0.07962,0.07414,0.05558,0.08118,0.05668,0.06125,0.05205,0.07467,0.13184,0.15816,0.3804,0.24053,0.09819,0.2084,0.05742,0.05684,0.04954,0.08946,0.05326,0.05989,0.0685,0.10948,0.0,0.07923,0.18191,0.22268,0.14357,0.07644,0.06776,0.06164,0.05519,0.2386,0.06302,0.17824,0.0705,0.39075,0.38762,0.0,0.08569,0.27972,0.09559,0.06742,0.06087,0.04991,0.07318,0.0651,0.05658,0.06073,0.05416,0.07183,0.08516,0.06089,0.05466,0.04954,0.06801,0.07527,0.06087,0.05452,0.05423,0.09001,0.05013,0.05689,0.07199,0.1017,0.06806,0.04826,0.05392,0.06141,0.10441,0.21473,0.43239,0.08192,0.05817,0.07012,0.06616,0.05467,0.0679,0.05164,0.08595
-3.25,0.0,0.05615,0.05516,0.05788,0.04706,0.08637,0.07152,0.05852,0.04758,0.04517,0.06041,0.04822,0.04268,0.05576,0.04971,0.05388,0.03525,0.07166,0.05039,0.04417,0.03424,0.04575,0.05344,0.04142,0.03531,0.03921,0.03606,0.04064,0.10287,0.03832,0.04317,0.06813,0.82385,0.06698,0.05725,0.05126,0.60886,0.27592,0.06812,0.08039,0.30612,0.15739,0.12434,0.08196,0.10328,0.06635,0.15593,0.07114,0.05097,0.06084,0.06282,0.06119,0.11728,0.05371,0.05473,0.2981,0.07573,0.07577,0.16337,0.10845,0.05296,0.0531,0.05006,0.06226,0.04848,0.05605,0.03897,0.04448,0.10211,0.06311,0.06336,0.0,0.34682,0.05059,0.05936,0.0526,0.04398,0.04054,0.05053,0.05169,0.04002,0.03658,0.09353,0.07908,0.04899,0.04451,0.07779,0.05424,0.05331,0.04427,0.05048,0.0471,0.04045,0.04397,0.03332,0.04488,0.04065,0.0654,0.04919,0.07222,0.05634,0.05277,0.03959,0.0621,0.03611,0.03811,0.04355,0.05138,0.05612,0.04493,0.03837,0.05833,0.06305,0.05741,0.07998,0.10283,0.06911,0.05466,0.37464,0.06125,0.05244,0.0488,0.06029,0.3058,0.07835,0.08329,0.66374,0.97228,0.23613,0.20264,0.0,1.88223,1.04804,0.80248,0.68566,0.0,0.0,0.21881,0.42635,1.12704,0.46831,0.51683,0.39923,0.46765,0.13897,0.15138,0.0718,0.54075,0.16572,0.31981,0.10277,0.20923,0.16782,0.41909,0.21291,0.06376,0.0,0.53937,0.22891,0.0699,0.07414,0.05243,0.07294,0.0539,0.05814,0.05205,0.0711,0.12489,0.15205,0.3804,0.22593,0.09419,0.18851,0.05742,0.05389,0.04954,0.09092,0.04772,0.05633,0.06895,0.10533,0.0,0.07467,0.17469,0.22268,0.14183,0.07644,0.06223,0.06164,0.04779,0.23127,0.0607,0.16775,0.0662,0.35346,0.36222,0.0,0.07928,0.26135,0.09132,0.06742,0.05882,0.04991,0.06432,0.0651,0.05658,0.05823,0.04949,0.06633,0.07986,0.06089,0.04964,0.04954,0.06801,0.07389,0.06087,0.05452,0.05423,0.06947,0.05013,0.05689,0.06444,0.09034,0.06291,0.04826,0.05603,0.0561,0.09921,0.20648,0.40681,0.07653,0.05417,0.06448,0.06224,0.05467,0.06504,0.04958,0.07869
-3.0,0.04862,0.05245,0.05395,0.05627,0.04284,0.08637,0.06642,0.05431,0.04516,0.04194,0.0534,0.04607,0.03783,0.05576,0.0489,0.05388,0.03136,0.07166,0.04744,0.04241,0.03424,0.04361,0.05344,0.03399,0.03209,0.03489,0.03565,0.0393,0.10287,0.03194,0.04317,0.05893,0.7535,0.06226,0.05033,0.05026,0.56384,0.26146,0.06481,0.07532,0.28641,0.15353,0.12048,0.07861,0.09574,0.06206,0.14168,0.06815,0.05013,0.05797,0.0559,0.04711,0.09419,0.04901,0.04971,0.27694,0.0644,0.06494,0.16337,0.10553,0.05325,0.05096,0.04368,0.05761,0.04652,0.05308,0.03897,0.04448,0.10211,0.0593,0.05528,0.0,0.32749,0.04799,0.05294,0.04916,0.04398,0.03715,0.05053,0.05169,0.03758,0.0355,0.08142,0.07046,0.04353,0.04241,0.07378,0.04349,0.05081,0.03911,0.046,0.0471,0.03775,0.03876,0.03332,0.04488,0.04003,0.05727,0.0481,0.07222,0.05269,0.04215,0.03879,0.05559,0.03611,0.03811,0.04355,0.05138,0.05051,0.0412,0.03837,0.05552,0.05598,0.05198,0.07811,0.09127,0.06567,0.05147,0.34699,0.0608,0.05244,0.04774,0.05459,0.26673,0.06902,0.07894,0.6358,0.96149,0.21909,0.18761,0.51841,1.70367,0.95027,0.7421,0.66755,0.54848,0.0,0.20437,0.43484,1.06147,0.4339,0.47983,0.37508,0.4294,0.12767,0.1424,0.0692,0.47572,0.14586,0.29863,0.09969,0.19357,0.15777,0.39112,0.19499,0.0641,0.41746,0.48959,0.20617,0.0699,0.06871,0.05032,0.06511,0.0539,0.05347,0.04864,0.06794,0.11952,0.14371,0.29466,0.21547,0.08905,0.17419,0.05352,0.05389,0.04647,0.08788,0.04772,0.05224,0.0629,0.10256,0.50327,0.07289,0.16255,0.20806,0.12103,0.07163,0.06223,0.05492,0.04779,0.21075,0.0607,0.15821,0.0662,0.33369,0.33889,0.46574,0.07399,0.2447,0.08332,0.05798,0.05882,0.04708,0.06475,0.0546,0.04694,0.05472,0.04949,0.06322,0.07463,0.05417,0.04964,0.04348,0.06224,0.06217,0.05759,0.05202,0.04649,0.06947,0.04588,0.05064,0.05666,0.07998,0.05711,0.04781,0.05324,0.0561,0.09513,0.1798,0.38975,0.07224,0.05417,0.05596,0.05702,0.05124,0.0549,0.04958,0.07786
-2.75,0.04675,0.04608,0.05395,0.05348,0.03957,0.07787,0.05654,0.05431,0.04516,0.03226,0.04299,0.045,0.03783,0.05226,0.0489,0.05002,0.03136,0.06053,0.04226,0.04065,0.03281,0.04149,0.04913,0.03399,0.03209,0.03489,0.03204,0.0369,0.06747,0.03194,0.03624,0.05189,0.68977,0.05817,0.04518,0.04815,0.51532,0.23543,0.06131,0.07105,0.26218,0.13421,0.1129,0.07524,0.0926,0.05782,0.13467,0.06659,0.04478,0.05806,0.05493,0.04378,0.08843,0.04671,0.04857,0.26133,0.05728,0.05988,0.12651,0.09728,0.0488,0.04555,0.03901,0.05335,0.04184,0.05308,0.03828,0.04178,0.08977,0.05919,0.05054,0.0,0.29956,0.04526,0.04737,0.04916,0.04217,0.03715,0.0469,0.04348,0.03758,0.0355,0.0787,0.06511,0.04234,0.04241,0.07188,0.04156,0.05081,0.0389,0.04049,0.04267,0.03775,0.03876,0.03126,0.03968,0.03725,0.05536,0.04337,0.06851,0.05269,0.04095,0.03907,0.04646,0.03312,0.03253,0.0411,0.04381,0.04498,0.0412,0.03407,0.05384,0.05203,0.0484,0.07346,0.0893,0.06263,0.05147,0.32113,0.05719,0.04906,0.04402,0.05086,0.25179,0.0654,0.07649,0.56863,0.96149,0.20722,0.17793,0.4421,1.58726,0.90407,0.6818,0.63731,0.5022,0.0,0.18616,0.37901,0.96991,0.41777,0.43444,0.34678,0.40162,0.11893,0.13409,0.06687,0.44515,0.13732,0.27865,0.09237,0.17432,0.14364,0.36555,0.17437,0.05991,0.3879,0.45458,0.18912,0.06522,0.06332,0.04772,0.06062,0.05049,0.05347,0.04864,0.06396,0.10995,0.13918,0.29466,0.20711,0.08283,0.16189,0.05166,0.05137,0.04647,0.07884,0.04405,0.05224,0.05648,0.09702,0.46793,0.06978,0.1511,0.19317,0.10374,0.06351,0.05754,0.05149,0.04416,0.19433,0.05638,0.14284,0.06368,0.32028,0.2988,0.4285,0.07253,0.22769,0.07811,0.0547,0.05106,0.04375,0.0626,0.05225,0.04273,0.05472,0.04542,0.05488,0.07463,0.0464,0.0437,0.04348,0.05921,0.06217,0.05759,0.04753,0.04649,0.05635,0.04588,0.05064,0.05666,0.06671,0.05267,0.04781,0.04564,0.04875,0.08944,0.18007,0.35055,0.06802,0.05099,0.05596,0.05702,0.04684,0.0549,0.04801,0.06951
