,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.66239,0.0,0.0,2.89035,1.95738,0.0,8.42003,0.0,0.03524,0.0,0.0,0.0,0.0,15.29387,0.0,0.08943,0.0,3.04148,0.0,21.86675,0.0,6.51964,0.0,0.47009,0.0,24.35256,0.0,0.0,0.0,0.0,0.0,2.2172,0.0,0.02752,0.0,0.0,1.13675,1.46973,0.0,5.56735,2.43426,1.29887,6.45662,0.0,2.79544,0.0,0.8167,4.6943,2.61992,5.8781,0.4082,7.89165,0.0,0.0,1.88432,0.48299,1.82976,2.72095,0.0,0.0,0.0,1.21829,0.84531,0.0,5.86366,0.51472,3.78538,0.0,0.0,0.0,0.0,0.63902,1.10673,5.42694,0.25058,0.0,0.28787,0.0,0.0,0.0,5.31822,3.09049,0.0,0.0,12.90444,0.0,2.23721,0.0,2.02587,1.35416,0.0,0.0,0.0,4.92621,0.0,3.47478,17.71494,2.09001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70592,0.0,0.0,0.0,0.0,1.04266,4.66046,1.52534,0.0,2.49529,17.81882,0.0,0.22957,0.0,0.0,1.00131,0.0,0.56432,2.82016,0.0,0.0,12.19019,10.02707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79336,2.40604,1.59593,0.0,6.14355,0.0,0.0,0.0,0.0,0.0,0.0,1.02327,0.0,0.0,0.0,1.0132,0.30209,2.95848,1.80168,0.0,3.41118,0.9023,0.93751,2.58713,5.50287,17.70228,17.25261,0.0,0.0,2.07695,1.44664,0.75335,0.39236,0.14538,0.0,2.16595,6.92471,0.0,8.36846,0.0,0.0,10.8087,1.43873,1.91628,2.84605,0.0,0.0,1.03346,11.85465,0.25932,0.0,0.0,0.0,1.52108,3.54654,1.91478,9.11567,0.71435,0.22858,2.48114,0.0,4.77097,0.82656,1.54924,2.88866,3.14491,5.28846,0.72615,6.54298,0.0,3.94419,0.35963,0.61052,0.1954,0.17751,0.0,0.57555,0.30064,1.14264,1.96805,1.71797,2.09218,5.64489,0.0,0.0,0.0,1.49554,0.0,0.01571,1.77743,0.0,0.0,0.02049,20.12508
-4.75,0.0,0.0,1.00039,0.41474,0.0,2.89035,1.95738,0.0,8.42003,0.0,0.13169,0.0,0.0,0.0,0.0,15.29387,0.0,0.08943,0.0,2.14945,0.0,21.86675,2.55999,6.51964,0.0,0.47009,0.0,24.35256,0.0,0.0,0.0,0.0,0.0,2.2172,0.0,0.02752,0.0,0.0,0.97737,1.51288,0.0,5.62823,3.15204,1.29887,6.45662,0.19656,2.79551,0.0,0.98583,3.35678,2.62888,5.8781,0.4082,7.89165,0.51558,0.0,2.28322,0.48299,1.82976,2.72095,7.33751,0.0,0.0,1.28265,0.84531,0.0,5.94501,0.51472,3.3775,0.0,0.0,0.0,0.0,0.63902,1.11191,5.42694,0.25058,0.0,0.28787,0.0,0.0,0.0,4.03201,5.16596,0.0,12.23515,12.90444,30.90381,1.51572,0.0,2.02587,1.35416,0.0,0.0,10.30967,4.92621,0.0,4.8958,17.71494,2.09001,0.0,0.0,0.0,0.0,0.0,0.19919,0.0,23.70592,0.0,0.0,1.58736,0.0,1.57107,5.38529,1.52534,3.05282,2.11039,17.81882,0.0,0.29751,0.0,0.0,1.00132,0.0,0.56432,2.73471,0.0,0.0,15.64775,10.02707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23885,2.35652,2.24379,0.0,6.11169,0.0,0.0,0.0,0.0,0.0,0.0,12.61045,0.0,0.0,0.0,1.0132,0.30209,3.20315,1.47243,0.0,3.41118,0.9023,0.93751,4.68535,7.22915,18.09284,17.46378,3.2633,0.0,2.07695,1.24849,0.75335,0.39236,0.23981,0.0,2.26737,7.52938,0.0,4.68477,6.68274,0.0,10.94672,1.3702,1.91628,2.84605,0.0,0.0,1.03346,11.85468,0.17645,0.0,0.0,0.0,1.52109,3.70944,1.91478,11.57944,0.71436,0.7222,2.48114,0.0,4.77097,0.82657,1.49345,1.95954,3.23257,2.88204,0.72615,6.71319,0.0,4.14132,0.35963,0.61052,0.1954,0.17751,0.0,0.57555,0.30064,1.14264,1.89591,1.71797,2.09218,5.64489,0.0,0.0,0.0,1.49554,0.0,0.01571,1.84592,0.0,0.0,0.60215,20.25558
-4.5,0.0,0.0,1.00039,0.41474,0.0,2.89035,1.95738,0.0,5.64636,0.36907,0.13169,0.0,0.0,0.0,0.0,15.29387,0.0,0.08943,0.0,2.14945,0.0,22.06418,2.15455,6.56947,0.0,0.47009,0.0,24.46773,0.0,0.0,0.0,0.0,42.43728,2.22954,0.0,0.02752,0.0,12.99787,0.87192,1.21137,0.0,5.65436,3.15205,2.26984,3.47075,1.0868,2.79552,0.0,0.98583,3.04585,2.62888,5.8781,0.4082,7.89165,0.51558,0.0,2.28322,0.50128,1.82976,3.08228,7.33751,0.0,0.0,0.98405,3.00592,0.0,5.97641,0.51472,2.63175,0.0,0.0,0.0,0.0,0.63902,1.08146,3.82264,0.25058,0.0,0.28787,0.0,0.0,0.0,4.03201,5.27571,0.0,10.29989,13.54792,16.96034,1.51572,0.0,2.02587,1.35416,0.0,0.0,10.30967,4.92621,0.0,5.01203,17.71494,2.15198,0.0,0.0,0.0,6.34234,0.0,0.19919,0.0,23.70592,0.0,0.0,1.58736,0.0,1.57107,5.38529,1.56203,1.54739,2.04519,17.81882,0.0,0.478,0.0,2.43216,1.08456,0.0,0.87321,2.90467,0.0,0.0,15.77307,5.13518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.47092,2.35653,1.7814,0.0,6.16385,0.0,0.0,0.0,6.42137,0.0,0.0,10.31986,0.0,0.0,0.0,1.17182,0.49228,3.20315,1.53517,0.0,3.41118,0.67807,0.94642,5.35714,7.5134,25.40626,17.66669,2.21676,0.0,4.29927,1.42982,0.75335,0.39236,0.46334,0.0,2.26737,8.21967,0.0,3.80035,6.21908,0.0,7.75532,1.37025,2.01641,2.84605,4.19268,4.95372,4.69818,11.85469,0.17645,0.0,0.0,0.0,1.17843,6.21926,1.9742,11.6473,0.71436,0.7222,2.63674,0.0,4.77097,0.82657,1.63787,2.11149,2.47873,2.88204,0.72615,6.71319,0.0,4.14132,0.67941,0.61052,0.1954,0.17751,0.09126,0.46716,0.30064,2.33275,1.89592,1.76625,2.12062,5.64489,0.0,0.0,0.0,1.39869,0.0,1.42852,1.85293,0.0,1.05145,0.60215,10.41199
-4.25,0.0,0.0,1.00039,0.41474,1.5123,2.89035,1.95738,0.0,5.76177,0.36907,0.15116,0.0,0.0,0.0,0.0,15.29387,0.0,0.08943,0.0,2.14945,0.0,22.06418,2.19665,6.56947,0.0,0.47009,0.0,24.46773,0.0,0.0,0.0,119.69005,42.43782,2.22954,0.0,0.02752,0.0,18.46526,1.56079,1.21245,10.40173,5.65436,3.4893,1.77136,2.85715,1.0868,2.79552,0.0,1.17247,2.45927,2.62889,5.8781,0.4082,8.09353,0.51558,0.0,2.28322,3.27014,1.91947,3.32714,7.33751,0.0,0.16875,0.98405,3.00592,0.0,6.00268,22.13595,2.63175,0.0,0.0,0.0,0.0,0.95635,1.00886,4.5207,0.25058,0.0,0.28787,0.4302,0.0,0.0,4.03201,6.00294,0.0,7.63859,7.89165,81.96383,2.66246,0.0,2.02587,1.35416,0.0,0.0,5.39842,4.92621,20.70408,5.42663,17.71494,2.85979,1.06187,0.0,0.0,6.34234,0.0,0.19919,1.11153,23.70592,0.0,8.14461,1.58736,0.0,1.57107,7.08518,1.78048,1.54739,9.14537,17.81882,0.0,0.60987,0.0,1.90106,1.08456,0.0,0.77616,2.96584,0.0,0.0,15.86877,5.45848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5252,0.0,0.0,0.0,0.0,0.0,5.49663,2.35654,1.89315,0.0,6.22979,0.0,0.0,0.0,6.42137,0.0,0.0,10.356,0.0,0.0,0.0,0.9276,1.36077,1.38926,1.10955,0.0,3.53328,0.68653,1.32497,5.37325,8.08613,45.1879,18.2259,2.4684,2.13313,3.17042,1.437,0.93556,0.39236,0.46334,0.0,2.40601,8.30491,0.0,4.25903,6.30606,0.0,5.84025,1.25187,2.20951,1.18201,2.32249,27.54455,4.69948,11.8547,0.50293,0.0,0.0,0.0,1.35433,6.73365,1.9742,11.6473,0.71436,0.7222,2.82866,0.0,4.77097,0.82657,1.63787,1.99287,2.23257,2.88204,0.73436,6.73352,0.04511,4.18277,1.29569,0.61052,0.1954,0.17751,15.25264,0.46716,1.46384,2.33275,1.45382,1.76625,1.447,3.57023,0.0,0.0,0.0,1.09008,0.0,2.34185,1.85295,0.08118,0.56499,0.6871,10.41199
-4.0,0.0,0.0,1.13586,0.52976,1.5123,2.89035,1.01199,0.0,5.76177,0.36907,2.831,0.0,0.0,0.42366,0.0,15.29387,0.0,0.08943,0.0,2.14945,0.0,22.06418,2.19665,6.56947,0.0,2.36721,21.61951,36.27921,0.0,0.0,0.0,119.69005,42.43792,2.22954,0.0,0.02752,0.0,15.35835,1.44758,1.32641,10.40178,6.17232,3.463,1.24773,2.87501,1.19055,2.88732,0.0,1.17247,2.02306,2.63777,6.58219,0.28078,4.8246,1.20875,0.0,1.4322,2.95768,1.67889,6.4978,5.218,0.0,0.16875,0.98405,3.00592,0.0,6.00268,22.13595,2.63176,0.0,0.0,0.0,0.0,1.3985,1.00886,3.76689,0.25058,12.8763,0.28787,0.4468,0.0,0.0,4.03202,6.00294,0.0,7.63859,7.89165,81.96383,2.66246,0.0,1.98296,1.35691,5.93402,0.0,5.39842,4.92621,20.70408,5.46721,8.86814,2.65334,1.4021,0.0,1.71235,6.34234,0.0,0.56753,8.4376,13.63444,0.0,8.14461,1.58736,1.17502,1.57107,7.4277,1.78048,1.4094,9.14537,17.81882,0.0,0.6177,6.48944,3.23234,1.10909,0.0,0.8343,2.62459,0.0,0.0,11.72541,5.5919,12.65011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8294,6.761,0.0,0.0,9.23432,0.0,6.58537,2.35654,1.71695,0.0,5.83393,0.0,2.77203,2.97093,6.42147,0.0,0.0,10.3918,0.0,0.0,0.0,0.80067,1.6009,1.12283,1.22267,0.0,3.53328,0.71051,1.04871,7.11222,8.30989,45.1879,18.53664,2.4684,3.36555,1.8171,1.44343,1.48905,0.45097,0.46334,1.31034,2.40601,8.36973,0.0,3.69586,5.6497,0.0,6.19747,1.25187,2.26897,0.89921,2.32249,27.54476,3.3834,11.8547,0.80384,0.33419,0.0,0.0,1.35433,12.49798,1.9742,11.84761,0.71436,0.7222,2.82866,0.0,4.77097,0.82657,1.26107,1.99287,2.24607,2.63646,0.77321,6.73352,0.04511,4.18277,1.32878,0.92777,0.1954,0.17751,15.25264,1.70943,1.48478,2.35736,1.45382,1.72621,1.69635,3.20846,0.09418,0.0,0.0,1.04149,0.0,2.40797,1.72475,1.98812,0.97284,0.82836,10.41199
-3.75,3.21064,2.0347,1.18693,0.52976,1.5123,6.97192,1.01199,0.0,4.32137,6.24018,2.831,0.00535,6.43826,0.16178,0.00613,15.29387,0.0,0.08943,0.0,3.96506,0.0,22.06418,4.64987,6.56947,0.0,3.39125,21.61951,36.27921,0.12988,0.0,0.0,119.69005,42.43797,2.22954,0.0,0.02752,0.0,15.53308,1.40423,1.32641,20.63439,6.31396,3.142,1.25513,2.59568,0.98072,2.06125,0.0,1.31076,2.71691,1.60692,7.30688,0.28078,4.08747,1.41432,15.30774,1.4322,2.95768,1.71648,5.402,8.86525,2.39931,0.16875,0.99895,2.30036,0.07849,6.15776,22.13595,2.638,53.41927,6.42966,0.0,0.0,2.66951,1.00886,3.40056,0.25058,12.8763,0.28787,0.4468,6.12287,0.0,4.25879,4.77286,2.14109,7.63859,8.67768,81.96383,2.69116,0.0,1.63963,1.33453,5.93402,0.0,5.80869,4.26648,20.70408,5.46721,8.86814,2.43785,4.24939,0.0,1.71235,6.34234,0.0,2.68161,5.86978,13.63444,0.0,14.04785,1.58736,6.65467,1.64929,7.58982,1.78048,1.27986,8.78261,17.53226,0.0,0.66373,8.722,2.69537,0.82181,0.0,0.94876,2.66684,0.0,0.0,11.89314,5.85579,13.80286,0.0,0.0,0.0,9.65617,0.0,0.0,5.12128,12.3073,21.35212,0.0,0.0,10.48544,0.0,6.58538,1.82376,1.50726,0.0,5.83394,6.30106,2.84035,2.89527,9.06955,24.32244,9.36949,10.02708,0.0,0.0,4.03565,0.79099,2.7596,0.85794,1.11747,55.08157,4.31572,0.99986,1.98717,6.37244,9.1903,45.1879,15.40712,2.33278,20.06543,2.78729,1.15868,2.19087,0.45097,0.39799,1.31034,2.44241,8.72012,0.0,3.36292,5.858,10.70866,6.9963,1.25187,2.34682,0.69329,4.09596,27.54491,3.43602,11.85474,1.37814,3.03293,2.97002,0.0,1.11434,12.59113,2.1269,12.05832,0.71436,0.7222,2.82866,0.0,4.77097,0.82657,0.97011,2.01808,2.01389,1.75272,0.80962,2.10609,0.04511,3.39614,1.45964,0.92777,0.37076,0.17751,10.36782,2.22084,2.05085,2.43694,1.48928,1.72621,2.6698,3.20846,0.09418,0.0,22.45524,1.22859,0.0,2.40797,1.78144,1.4518,0.99577,0.82836,7.1777
-3.5,3.21064,2.0347,4.51193,0.61309,1.55092,6.97192,1.01199,0.0,4.32138,6.24018,2.13231,0.00535,4.37615,0.16178,5.00293,15.29387,0.01036,0.08943,0.0,3.96506,0.02651,21.05631,4.64987,14.68462,0.0,3.39125,12.81573,36.27921,0.12988,12.84058,0.0,40.50243,42.43804,2.22954,0.78856,0.02753,0.0,13.60599,1.13792,1.78359,21.13691,4.87173,4.29734,1.344,2.9842,1.05379,2.45787,0.12602,1.88475,3.82179,1.67565,6.26458,0.28256,3.57691,1.22688,15.3603,1.2343,6.82074,1.71649,5.40206,8.94043,2.48443,0.28866,0.99895,2.30036,0.07849,6.3986,42.40135,2.60855,51.41176,10.62012,0.0,0.0,7.834,1.32812,2.503,0.25058,6.54725,126.9674,0.4468,4.86089,0.0,4.25882,3.92757,2.14109,7.63859,8.67768,156.67519,2.59471,0.0,1.63963,2.98152,4.70449,3.79381,3.95558,5.65138,12.01271,8.75308,8.86814,1.73416,4.30175,0.0,1.71235,6.34234,0.0,2.78953,5.86978,13.63448,0.0,9.50675,1.58736,4.17573,1.64929,8.33811,3.36814,1.27986,7.84762,13.61787,13.00782,0.70561,8.82157,2.24366,1.39577,5.23862,1.54554,2.2787,0.0,0.0,10.88925,6.01783,14.6456,0.0,0.0,0.0,10.2952,0.0,0.0,6.46515,12.42224,12.26023,0.0,0.0,10.30437,0.0,4.2896,2.35842,1.4825,0.0,5.30494,7.18233,3.55278,3.64721,6.18363,24.32252,9.21739,11.08044,0.0,0.0,6.70344,0.98625,2.57927,0.81284,2.45755,55.08157,4.40804,0.77044,1.98179,6.35456,7.6643,45.1879,15.67176,2.4117,10.04649,2.919,1.15869,1.99171,2.18944,0.47618,1.59143,1.45598,8.78711,0.0,2.63053,5.61445,12.07232,6.41652,1.96215,2.1304,0.61569,4.09596,27.54491,3.40345,11.85474,1.27157,3.1757,8.81897,0.0,0.93812,10.64175,2.06553,14.05243,0.89994,0.69349,2.12738,0.0,4.77097,0.82657,0.80961,2.05116,1.86623,1.05813,0.73036,2.10609,0.04511,3.39614,1.33556,2.84223,5.71426,0.17751,8.48787,1.76699,2.08386,3.15519,1.48928,1.59839,2.6061,3.12587,0.09418,0.0,23.22227,1.27524,27.09981,6.56969,1.81019,12.02817,0.84966,0.82836,6.19557
-3.25,1.6894,2.0347,9.92901,0.61309,1.55092,4.90827,1.01199,0.37074,4.96459,6.24018,2.22158,0.00535,6.52885,0.16178,5.4109,11.58272,6.58813,0.08943,4.20714,2.99742,0.02651,21.14823,4.99804,25.27432,0.0,3.39125,12.81573,20.31195,0.12988,12.84058,0.0,30.40051,43.25303,1.6665,3.27835,1.88677,28.70356,15.01664,1.1648,1.73774,21.02579,4.94178,3.49912,1.29956,3.06569,1.33284,2.68186,0.12272,1.92877,3.51611,1.70825,4.95391,0.28256,3.26844,1.2322,14.45299,2.97213,6.86283,1.78554,5.40207,6.86288,4.64923,0.28866,3.78667,2.30036,0.07849,5.35726,42.40135,2.72596,35.40575,6.80174,0.0,0.0,7.834,1.12131,2.33272,21.17242,6.54725,126.9674,1.19889,4.26186,0.0,4.32759,3.22521,1.78929,5.32658,9.44748,156.67519,2.59471,8.81049,5.01058,2.63771,4.70449,5.1592,3.41861,5.24525,9.24628,8.78687,8.86814,1.8013,3.66513,0.19703,1.43334,8.07824,15.20857,2.46859,5.87126,12.55259,28.67648,6.28774,1.58736,3.92325,1.69963,7.64649,3.46615,0.90251,7.43838,16.45119,12.5718,0.97205,8.82157,2.72493,1.62872,7.62703,1.62484,2.35717,49.43721,0.0,10.65014,6.03531,15.67965,12.93321,0.0,0.0,10.61155,0.0,0.0,6.61026,13.20215,21.56095,17.22847,0.0,19.2261,0.0,4.27981,2.54517,1.32329,0.0,5.61651,9.55482,3.44869,5.25782,6.08944,24.32256,9.30261,9.83277,0.0,7.34392,5.45797,1.24088,2.21836,1.153,2.45755,28.76575,4.37252,0.83739,1.69444,6.83874,9.95096,45.1879,15.76577,4.41396,11.55062,2.78274,1.11537,1.98844,1.83205,0.42877,4.77485,1.35213,8.88747,0.0,2.25047,8.44478,11.21888,6.74908,1.68672,1.62387,0.50246,4.48388,12.06591,3.11738,11.85475,1.34525,3.55298,13.35308,0.0,0.91657,12.08231,2.08105,14.30897,0.66307,0.71039,1.39959,0.0,5.17942,0.82657,1.30564,1.83335,1.54345,1.4254,1.29677,2.51308,0.15928,3.39614,1.26198,5.6848,5.71426,2.8167,8.73872,1.31643,3.38306,2.63013,3.17303,1.50422,2.62149,3.95293,0.90453,1.67197,26.72958,1.44028,27.15163,6.74134,1.77498,12.07482,1.24102,0.82836,7.17392
-3.0,8.92812,12.48589,8.20446,0.31955,2.51467,6.01116,1.01199,0.37074,5.00815,10.83851,2.22158,0.36538,5.16088,0.16178,5.4109,8.73285,6.58813,0.08943,5.48812,5.24006,0.02651,15.58267,4.06805,25.27707,0.0,6.59327,12.81573,19.83781,47.83412,12.84321,0.11737,30.40055,45.84229,1.34422,2.57069,2.54134,29.49422,16.1124,1.22101,1.525,22.38687,4.48947,2.69124,1.06271,2.71458,1.5258,2.68186,0.29936,2.13136,3.39269,2.18112,3.48427,0.28256,3.56231,1.36184,9.88851,3.5979,4.77002,1.71635,4.36403,4.78242,5.65031,0.28867,3.41792,6.71178,0.98436,4.14155,30.89838,2.46063,29.84602,11.82721,0.0,1.72665,10.43942,2.35373,2.14213,42.06941,6.54725,126.9674,63.35408,6.34344,75.21748,3.34422,3.24364,2.9462,4.8765,7.51787,104.53028,2.53471,9.54682,6.4082,2.63771,18.5633,13.6777,3.2669,5.14607,7.33446,7.6008,12.13625,2.15346,2.87777,1.65592,0.65845,7.73992,15.20857,2.33017,3.99198,12.55259,9.07966,6.82901,1.58736,3.47107,1.69963,7.45767,2.6851,0.83344,6.08564,10.8105,16.64897,1.03867,5.90321,2.6223,2.33096,7.70362,1.76399,2.38063,40.44572,78.96755,10.8693,6.1204,16.77751,13.16766,0.0,0.0,12.91676,0.0,0.0,7.53231,13.90515,25.62158,32.78299,25.12693,18.36232,0.0,3.50908,5.92729,1.38745,0.0,5.1169,11.23894,3.87244,6.15921,5.93888,35.73921,9.77101,8.46709,9.78621,6.54376,6.89031,1.3439,2.02499,1.64397,2.77518,61.0607,4.67418,0.76099,1.35567,6.47687,7.45863,45.1879,16.03651,3.69711,11.5863,2.54245,0.88498,1.73578,1.83205,0.85227,3.32803,1.52675,8.88747,31.27377,2.27065,11.06982,13.40589,6.01165,1.20784,1.80276,0.8655,3.76434,12.48604,2.96595,7.40329,1.34469,3.60072,14.09917,12.49162,0.96876,10.53989,7.62099,14.30899,3.43942,0.47313,2.36324,6.71355,5.17942,7.68474,1.44355,1.59306,2.00935,1.26641,1.30368,2.63824,0.15928,4.59852,1.28467,7.07447,5.4759,7.90942,7.64551,1.23719,2.53447,2.13444,3.18366,1.45103,2.48415,3.56098,1.01234,1.94732,27.51636,1.76757,27.15163,6.23273,1.6764,9.41197,1.70645,21.47882,5.33357
-2.75,9.19027,14.08231,11.2392,0.21976,2.92867,6.88203,1.01199,0.96431,5.00815,11.08245,2.23739,0.60623,7.71435,3.31406,5.4511,8.73285,7.25205,0.08943,8.69697,5.38758,6.03861,15.58267,4.1046,25.27707,24.36366,7.51126,11.56744,18.09438,50.5155,10.46096,0.12288,30.40708,47.24859,1.39573,1.94504,2.09018,20.28688,17.0487,1.29371,1.61191,23.46982,4.05235,2.65744,1.27249,2.7528,1.55307,2.86878,0.29936,2.42916,3.00453,2.88356,3.26158,0.28256,3.05217,1.70576,10.31385,3.69025,3.60274,1.54776,7.11405,3.97273,4.44148,5.5968,5.12878,7.25605,5.2143,4.25829,31.16949,2.43871,25.92181,10.73155,0.0,24.10073,9.05763,2.60923,3.61181,42.89715,11.28352,126.9674,45.32015,6.15976,75.23577,3.34422,3.6784,3.67933,4.81431,7.89457,79.37005,2.30807,6.51694,6.43238,2.89894,12.93682,13.70402,3.21584,4.28535,7.60048,7.18135,11.85772,2.21784,3.3938,1.87548,3.98839,8.90504,17.83613,3.7023,3.62413,9.5722,6.84177,6.06172,1.58736,3.46728,3.35458,9.6268,2.37939,0.78821,5.91182,11.00539,19.37703,1.01854,4.42053,2.74216,5.22653,7.84255,1.57503,2.14204,42.51122,79.16989,10.39798,6.01437,17.4702,14.21761,0.54552,9.39353,12.79167,0.0,0.0,6.70075,13.77702,29.80786,32.78374,20.89032,16.14089,17.10758,3.5277,4.5329,1.34569,20.12062,4.70636,11.23349,4.59623,6.21018,5.50845,27.31535,10.91224,5.34545,16.43072,7.5282,7.28361,1.48337,1.82482,1.82796,2.8239,56.0748,4.72273,1.10838,1.2349,6.78132,7.62019,45.1879,16.1974,3.96274,9.89637,1.96981,1.19792,1.39245,1.83461,1.62885,2.81826,1.8026,9.46657,20.19283,2.1096,11.1689,13.47867,5.93608,1.05349,1.3856,1.17978,7.22277,12.96896,2.82858,5.49101,1.71445,3.6577,14.33558,12.49235,1.31839,11.8704,5.9836,7.63268,3.89514,2.60136,2.24052,9.98586,5.60152,5.63215,1.24161,1.50873,2.05414,1.76552,1.23036,2.29054,1.49097,3.20659,1.36676,6.40743,4.29599,7.22245,5.36688,1.0175,2.38188,2.37357,5.02842,1.25733,2.34585,2.90507,1.47338,3.23356,28.10716,1.44759,42.16501,9.27113,1.50122,6.82932,1.51135,11.77513,6.63596
