,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.11216,0.0,0.0,0.09623,0.1787,0.0,0.06003,0.0,0.07995,0.0,0.0,0.0,0.0,0.09041,0.0,0.0812,0.0,0.05925,0.0,0.06769,0.0,0.06567,0.0,0.04789,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,0.10032,0.0,0.07,0.0,0.0,0.09972,0.10823,0.0,0.21837,0.17861,0.13361,0.15985,0.0,0.25579,0.0,0.0726,0.0762,0.0835,0.05495,0.27815,0.08851,0.0,0.0,0.1011,0.09647,0.15158,0.21606,0.0,0.0,0.0,0.07088,0.0609,0.0,0.0564,0.10561,0.13623,0.0,0.0,0.0,0.0,0.06401,0.07116,0.07462,0.07458,0.0,0.1234,0.0,0.0,0.0,0.14414,0.09216,0.0,0.0,0.10988,0.0,0.06405,0.0,0.07244,0.04889,0.0,0.0,0.0,0.0482,0.0,0.07791,0.09173,0.09382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16869,0.0,0.0,0.0,0.0,0.10078,0.0825,0.11863,0.0,0.11218,0.08405,0.0,0.09343,0.0,0.0,0.06096,0.0,0.12966,0.11934,0.0,0.0,0.36361,0.28593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20401,0.39541,0.10524,0.0,0.23641,0.0,0.0,0.0,0.0,0.0,0.0,0.08689,0.0,0.0,0.0,0.11676,0.11241,0.08041,0.16308,0.0,0.08988,0.08267,0.08569,0.19933,0.24442,0.44125,0.37094,0.0,0.0,0.0811,0.06727,0.06704,0.10149,0.09467,0.0,0.09487,0.2357,0.0,0.11262,0.0,0.0,0.19429,0.12178,0.09854,0.07794,0.0,0.0,0.08791,0.27566,0.13309,0.0,0.0,0.0,0.1139,0.4492,0.18602,0.09739,0.10772,0.05769,0.08383,0.0,0.10441,0.09525,0.07082,0.0791,0.09898,0.06768,0.05117,0.0549,0.0,0.07688,0.06873,0.08952,0.08045,0.18402,0.0,0.07146,0.05559,0.22571,0.07546,0.06295,0.04873,0.07224,0.0,0.0,0.0,0.11565,0.0,0.07282,0.08378,0.0,0.0,0.12551,0.11877
-4.75,0.0,0.0,0.08492,0.08131,0.0,0.09623,0.1787,0.0,0.06003,0.0,0.06982,0.0,0.0,0.0,0.0,0.09041,0.0,0.0812,0.0,0.04754,0.0,0.06769,0.05505,0.06567,0.0,0.04789,0.0,0.0545,0.0,0.0,0.0,0.0,0.0,0.10032,0.0,0.07,0.0,0.0,0.10361,0.10823,0.0,0.21971,0.15369,0.13361,0.15985,0.07508,0.24603,0.0,0.06731,0.07231,0.08135,0.05495,0.27815,0.08851,0.06761,0.0,0.11729,0.09647,0.14834,0.21606,0.0566,0.0,0.0,0.06829,0.0609,0.0,0.05478,0.10561,0.11606,0.0,0.0,0.0,0.0,0.06401,0.0679,0.07462,0.07458,0.0,0.1234,0.0,0.0,0.0,0.13131,0.08212,0.0,0.05139,0.10988,0.0706,0.0616,0.0,0.07244,0.04889,0.0,0.0,0.03838,0.0482,0.0,0.07654,0.07871,0.09382,0.0,0.0,0.0,0.0,0.0,0.04171,0.0,0.16869,0.0,0.0,0.08471,0.0,0.09773,0.09499,0.11863,0.13307,0.10594,0.08405,0.0,0.09186,0.0,0.0,0.05749,0.0,0.12966,0.11335,0.0,0.0,0.34435,0.28593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19293,0.32576,0.09816,0.0,0.21499,0.0,0.0,0.0,0.0,0.0,0.0,0.09024,0.0,0.0,0.0,0.11676,0.11241,0.06762,0.14318,0.0,0.08988,0.08004,0.08569,0.20101,0.24411,0.41505,0.37094,0.14106,0.0,0.0811,0.0677,0.06704,0.10149,0.07086,0.0,0.08469,0.19323,0.0,0.10417,0.27459,0.0,0.17007,0.11499,0.09854,0.07794,0.0,0.0,0.08791,0.26302,0.11134,0.0,0.0,0.0,0.1139,0.4332,0.18602,0.09187,0.0994,0.06447,0.08383,0.0,0.10441,0.09107,0.06921,0.09213,0.09521,0.05941,0.05117,0.0483,0.0,0.07358,0.06873,0.08952,0.08045,0.18402,0.0,0.07146,0.05559,0.22571,0.07455,0.06295,0.04873,0.07224,0.0,0.0,0.0,0.11565,0.0,0.07282,0.07906,0.0,0.0,0.09002,0.12002
-4.5,0.0,0.0,0.08492,0.08131,0.0,0.09623,0.1787,0.0,0.05958,0.04713,0.06982,0.0,0.0,0.0,0.0,0.09041,0.0,0.0812,0.0,0.04754,0.0,0.0645,0.05926,0.06567,0.0,0.04789,0.0,0.05834,0.0,0.0,0.0,0.0,1.12622,0.09642,0.0,0.07,0.0,0.3621,0.10049,0.10968,0.0,0.21116,0.15162,0.11839,0.13751,0.07556,0.24603,0.0,0.06731,0.069,0.08135,0.05495,0.27815,0.08851,0.06761,0.0,0.11729,0.09088,0.14834,0.15806,0.0566,0.0,0.0,0.06886,0.06593,0.0,0.05369,0.10561,0.10777,0.0,0.0,0.0,0.0,0.06401,0.06366,0.05645,0.07458,0.0,0.1234,0.0,0.0,0.0,0.13023,0.07891,0.0,0.04881,0.08324,0.06467,0.06053,0.0,0.07244,0.04889,0.0,0.0,0.03838,0.0482,0.0,0.07455,0.07871,0.08608,0.0,0.0,0.0,0.04775,0.0,0.04171,0.0,0.16869,0.0,0.0,0.08471,0.0,0.09773,0.09499,0.1212,0.19336,0.1002,0.08405,0.0,0.08082,0.0,0.06017,0.05622,0.0,0.10904,0.11222,0.0,0.0,0.32823,0.27997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19109,0.32211,0.09198,0.0,0.20739,0.0,0.0,0.0,0.21077,0.0,0.0,0.08681,0.0,0.0,0.0,0.11191,0.09111,0.06762,0.13916,0.0,0.08988,0.07351,0.08372,0.18,0.23708,0.39221,0.35466,0.13438,0.0,0.07077,0.0645,0.06704,0.10149,0.06726,0.0,0.08469,0.21209,0.0,0.09969,0.27103,0.0,0.1632,0.11414,0.07996,0.07794,0.06393,0.32403,0.07929,0.2546,0.11134,0.0,0.0,0.0,0.10359,0.38266,0.18602,0.09187,0.0994,0.06238,0.08383,0.0,0.10441,0.09107,0.06239,0.08454,0.09094,0.05941,0.05117,0.0483,0.0,0.07358,0.05704,0.08952,0.08045,0.18402,0.06987,0.06187,0.05355,0.16974,0.07318,0.06295,0.04873,0.07086,0.0,0.0,0.0,0.11028,0.0,0.06995,0.08286,0.0,0.06485,0.09002,0.10687
-4.25,0.0,0.0,0.08492,0.08131,0.05643,0.09623,0.1787,0.0,0.05753,0.04713,0.06982,0.0,0.0,0.0,0.0,0.09041,0.0,0.0812,0.0,0.04754,0.0,0.0645,0.05819,0.06567,0.0,0.04789,0.0,0.05834,0.0,0.0,0.0,0.0555,1.07491,0.09642,0.0,0.07,0.0,0.35305,0.09719,0.09995,0.40584,0.21116,0.14872,0.10698,0.12508,0.07445,0.23953,0.0,0.06194,0.07021,0.08028,0.05495,0.27815,0.07211,0.06761,0.0,0.11729,0.0841,0.14313,0.14275,0.0566,0.0,0.05561,0.06886,0.06593,0.0,0.04762,0.07608,0.10777,0.0,0.0,0.0,0.0,0.05646,0.0616,0.05504,0.07458,0.0,0.1234,0.07753,0.0,0.0,0.12916,0.08008,0.0,0.0445,0.08147,0.06325,0.05768,0.0,0.07244,0.04889,0.0,0.0,0.03705,0.0482,0.04753,0.07564,0.07221,0.08138,0.05868,0.0,0.0,0.04775,0.0,0.04171,0.0342,0.16869,0.0,0.04427,0.08471,0.0,0.09773,0.08005,0.10645,0.19336,0.09636,0.08405,0.0,0.07272,0.0,0.06264,0.05622,0.0,0.10229,0.10606,0.0,0.0,0.31662,0.25286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62663,0.0,0.0,0.0,0.0,0.0,0.16648,0.31479,0.09147,0.0,0.19472,0.0,0.0,0.0,0.1994,0.0,0.0,0.08389,0.0,0.0,0.0,0.10243,0.08519,0.06758,0.11173,0.0,0.07513,0.07154,0.07938,0.18101,0.22205,0.40201,0.31375,0.13566,0.24748,0.06232,0.06424,0.06209,0.10149,0.06726,0.0,0.08098,0.21437,0.0,0.09496,0.26839,0.0,0.15963,0.10896,0.07499,0.06869,0.06189,0.30926,0.07929,0.24196,0.10069,0.0,0.0,0.0,0.09633,0.36959,0.18602,0.09187,0.0994,0.06238,0.07448,0.0,0.10441,0.09107,0.06239,0.0746,0.08926,0.05941,0.04983,0.05036,0.12235,0.06893,0.05695,0.08952,0.08045,0.18402,0.05693,0.06187,0.05289,0.16696,0.06903,0.06295,0.05422,0.06435,0.0,0.0,0.0,0.10226,0.0,0.06787,0.08286,0.06524,0.06357,0.08796,0.10687
-4.0,0.0,0.0,0.09024,0.05659,0.05643,0.09623,0.14597,0.0,0.05753,0.04713,0.06766,0.0,0.0,0.05493,0.0,0.09041,0.0,0.0812,0.0,0.04754,0.0,0.0645,0.05819,0.06567,0.0,0.04151,0.04228,0.04696,0.0,0.0,0.0,0.0555,1.02023,0.09642,0.0,0.07,0.0,0.33979,0.09451,0.10173,0.40236,0.19422,0.13797,0.09766,0.1214,0.07269,0.23466,0.0,0.06194,0.06425,0.07502,0.05117,0.21551,0.08179,0.06389,0.0,0.08775,0.08089,0.13187,0.14146,0.05546,0.0,0.05561,0.06886,0.06593,0.0,0.04762,0.07608,0.09951,0.0,0.0,0.0,0.0,0.05383,0.0616,0.05238,0.07458,0.05284,0.1234,0.07753,0.0,0.0,0.127,0.08008,0.0,0.0445,0.08147,0.06485,0.05768,0.0,0.06509,0.04564,0.041,0.0,0.03705,0.0482,0.04753,0.07422,0.07193,0.07325,0.0555,0.0,0.0475,0.04775,0.0,0.0358,0.0365,0.123,0.0,0.04427,0.08471,0.03737,0.09773,0.09757,0.10645,0.16707,0.09636,0.08405,0.0,0.06794,0.10283,0.05972,0.0539,0.0,0.09479,0.09491,0.0,0.0,0.29738,0.24401,0.83454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57667,1.74742,0.0,0.0,0.53207,0.0,0.15995,0.30931,0.08725,0.0,0.18717,0.0,0.15375,0.25517,0.18803,0.0,0.0,0.08078,0.0,0.0,0.0,0.09697,0.08064,0.06024,0.09372,0.0,0.07513,0.06711,0.07845,0.16705,0.2125,0.40201,0.29412,0.13566,0.24036,0.06351,0.06071,0.05562,0.09438,0.06726,0.062,0.08098,0.18867,0.0,0.09215,0.25052,0.0,0.15156,0.10896,0.07499,0.06568,0.06189,0.29153,0.07328,0.23775,0.09242,0.62267,0.0,0.0,0.09633,0.35694,0.18602,0.07933,0.09523,0.06238,0.07448,0.0,0.10441,0.09107,0.05702,0.0746,0.08658,0.05084,0.04651,0.05036,0.12235,0.06893,0.05773,0.08012,0.08045,0.18402,0.05693,0.05089,0.05153,0.09491,0.0682,0.05464,0.05408,0.05727,0.1651,0.0,0.0,0.09619,0.0,0.06636,0.07908,0.06344,0.0628,0.08589,0.10687
-3.75,0.05197,0.0413,0.07978,0.05659,0.05643,0.08569,0.14597,0.0,0.05347,0.04487,0.06766,0.06044,0.05137,0.05862,0.08896,0.09041,0.0,0.0812,0.0,0.04362,0.0,0.05491,0.05275,0.06567,0.0,0.03906,0.04228,0.04696,0.16959,0.0,0.0,0.0555,0.96221,0.09642,0.0,0.07,0.0,0.31514,0.09546,0.10031,0.35707,0.19422,0.13305,0.08905,0.11252,0.06844,0.20704,0.0,0.05552,0.06206,0.0657,0.04769,0.21551,0.07778,0.05987,0.31964,0.08775,0.08089,0.10745,0.14084,0.05409,0.04769,0.05561,0.0653,0.0569,0.08108,0.04264,0.07608,0.09951,0.06789,0.0568,0.0,0.0,0.056,0.0616,0.05284,0.07458,0.05284,0.1234,0.07753,0.03622,0.0,0.12592,0.07744,0.04595,0.0445,0.07651,0.06485,0.05784,0.0,0.05738,0.04139,0.041,0.0,0.03543,0.03716,0.04753,0.07358,0.07193,0.07211,0.05242,0.0,0.0475,0.04775,0.0,0.03301,0.03536,0.11472,0.0,0.04071,0.08471,0.03639,0.09773,0.09699,0.10645,0.1541,0.09374,0.07562,0.0,0.06477,0.09321,0.06025,0.05121,0.0,0.08674,0.09355,0.0,0.0,0.28409,0.24803,0.78157,0.0,0.0,0.0,0.89832,0.0,0.0,0.25028,0.53514,1.60371,0.0,0.0,0.52194,0.0,0.15625,0.26715,0.08566,0.0,0.18328,0.36839,0.15375,0.23979,0.17438,0.50859,0.23998,0.07923,0.0,0.0,0.25276,0.09264,0.07833,0.05828,0.09062,0.07701,0.06913,0.0602,0.0696,0.15645,0.19374,0.40201,0.28478,0.11966,0.22305,0.06154,0.06074,0.05466,0.09438,0.0691,0.062,0.08275,0.18473,0.0,0.08717,0.23492,0.22402,0.1482,0.10896,0.07006,0.06658,0.05237,0.27825,0.07183,0.22091,0.08331,0.59787,0.43422,0.0,0.09752,0.34063,0.16498,0.07515,0.09523,0.06238,0.07448,0.0,0.10441,0.09107,0.05449,0.06971,0.08508,0.05076,0.04465,0.03978,0.12235,0.06601,0.05425,0.08012,0.0709,0.18402,0.05277,0.04919,0.04832,0.0887,0.06441,0.05464,0.05139,0.05658,0.1651,0.0,0.54067,0.09316,0.0,0.06636,0.07959,0.06738,0.06484,0.08589,0.0952
-3.5,0.05197,0.0413,0.07424,0.05659,0.05643,0.08569,0.14597,0.0,0.05137,0.04487,0.06039,0.06044,0.04959,0.05862,0.0634,0.09041,0.03294,0.0812,0.0,0.04362,0.0457,0.05109,0.05115,0.04334,0.0,0.03906,0.03941,0.04696,0.16959,0.04119,0.0,0.05258,0.90766,0.09642,0.05513,0.05308,0.0,0.28955,0.0851,0.08994,0.34114,0.1683,0.12549,0.08853,0.11103,0.06554,0.17583,0.06328,0.05264,0.05956,0.06389,0.0494,0.21551,0.07382,0.05723,0.3299,0.0829,0.07121,0.10858,0.1332,0.05246,0.04606,0.05165,0.0653,0.0569,0.08108,0.04254,0.0735,0.08847,0.06592,0.05432,0.0,0.0,0.05241,0.05598,0.05076,0.07458,0.05173,0.09163,0.07753,0.03626,0.0,0.12484,0.06846,0.04595,0.0445,0.07651,0.05911,0.05512,0.0,0.05673,0.03809,0.03666,0.0407,0.03233,0.03539,0.0467,0.06925,0.07193,0.07076,0.05116,0.0,0.0475,0.04775,0.0,0.03495,0.03536,0.10974,0.0,0.03844,0.08471,0.03666,0.09773,0.08041,0.08221,0.1541,0.09118,0.06353,0.36209,0.05956,0.09092,0.05657,0.0468,0.30285,0.07267,0.095,0.0,0.0,0.26911,0.21327,0.75369,0.0,0.0,0.0,0.847,0.0,0.0,0.24176,0.53598,1.49337,0.0,0.0,0.47464,0.0,0.13948,0.24628,0.07991,0.0,0.16665,0.3589,0.1443,0.22248,0.16883,0.47795,0.22037,0.07314,0.0,0.0,0.23849,0.0923,0.07552,0.05772,0.09301,0.07701,0.06289,0.05303,0.06429,0.15218,0.18114,0.40201,0.27705,0.12479,0.21811,0.06025,0.06112,0.05368,0.08354,0.06169,0.06002,0.07517,0.18473,0.0,0.08303,0.21883,0.22659,0.14201,0.10092,0.06615,0.06258,0.05237,0.25611,0.06319,0.21249,0.07202,0.59545,0.42521,0.0,0.09464,0.29095,0.14759,0.09224,0.08275,0.06134,0.06961,0.0,0.10441,0.09107,0.04864,0.0673,0.07958,0.04537,0.04362,0.03978,0.12235,0.06601,0.05453,0.06994,0.06545,0.18402,0.04896,0.04811,0.04863,0.07452,0.06027,0.05101,0.0484,0.05411,0.1651,0.0,0.4913,0.08855,0.0897,0.06392,0.07694,0.06479,0.06041,0.08589,0.09059
-3.25,0.0453,0.0413,0.07036,0.05659,0.05643,0.0665,0.14597,0.06357,0.04509,0.04487,0.05877,0.06044,0.04587,0.05437,0.05396,0.06328,0.03496,0.0812,0.03865,0.03896,0.0457,0.0495,0.05035,0.04222,0.0,0.03906,0.0378,0.03807,0.16959,0.04119,0.0,0.05108,0.8641,0.08367,0.05749,0.05249,0.60918,0.26682,0.08435,0.0858,0.32573,0.16602,0.11675,0.08499,0.11697,0.06382,0.17469,0.06376,0.05217,0.05765,0.06032,0.04206,0.21551,0.06972,0.05446,0.2942,0.06892,0.06489,0.10394,0.12557,0.05005,0.04425,0.05003,0.05485,0.0569,0.08108,0.03932,0.0735,0.0853,0.0612,0.05759,0.0,0.0,0.05241,0.05696,0.04931,0.06026,0.05173,0.09163,0.05342,0.03502,0.0,0.12269,0.06298,0.04452,0.04047,0.06916,0.05911,0.05512,0.04216,0.05092,0.03596,0.03666,0.03756,0.03067,0.03529,0.04327,0.06584,0.07193,0.06661,0.04878,0.03691,0.04269,0.04529,0.03604,0.03078,0.03519,0.09783,0.11843,0.03688,0.08471,0.03686,0.09283,0.07659,0.07535,0.13789,0.08612,0.06025,0.3633,0.05793,0.09092,0.05411,0.04475,0.28667,0.06882,0.09115,0.73522,0.0,0.25459,0.20776,0.70732,1.92935,0.0,0.0,0.79563,0.0,0.0,0.24176,0.46471,1.40751,0.44506,0.0,0.44391,0.0,0.13493,0.24239,0.07906,0.0,0.15711,0.3362,0.14017,0.21041,0.16986,0.4435,0.2216,0.07267,0.0,0.53002,0.22592,0.08921,0.07098,0.05447,0.09301,0.06033,0.06017,0.04983,0.06128,0.13982,0.17365,0.41059,0.27475,0.1147,0.22052,0.05571,0.05789,0.05243,0.07803,0.05892,0.05249,0.07286,0.17603,0.0,0.08019,0.21228,0.21269,0.1323,0.09548,0.06871,0.05859,0.0494,0.2446,0.06141,0.20407,0.06816,0.57923,0.40472,0.0,0.08606,0.2853,0.14217,0.07551,0.06569,0.0582,0.06375,0.0,0.06677,0.09107,0.04358,0.0622,0.0761,0.05053,0.04414,0.04079,0.09497,0.06601,0.05139,0.06651,0.06545,0.14008,0.04676,0.04438,0.0456,0.07095,0.05669,0.04905,0.0462,0.04988,0.12836,0.20612,0.47895,0.08575,0.0763,0.05837,0.0802,0.06376,0.05652,0.08589,0.08414
-3.0,0.04237,0.03632,0.07179,0.06005,0.055,0.0629,0.14597,0.06357,0.04445,0.03637,0.05877,0.05356,0.04337,0.05225,0.05396,0.05748,0.03389,0.0812,0.03795,0.03325,0.0457,0.05117,0.04545,0.04222,0.0,0.03474,0.0362,0.03456,0.08793,0.03959,0.04219,0.05028,0.81521,0.06577,0.05549,0.05013,0.56942,0.25285,0.0793,0.08209,0.30344,0.15822,0.1054,0.08057,0.11209,0.06252,0.17415,0.05902,0.0499,0.05481,0.05646,0.03959,0.21551,0.06368,0.0525,0.27123,0.06557,0.05898,0.0937,0.11365,0.04909,0.04138,0.0484,0.05087,0.0516,0.06684,0.03795,0.05852,0.07486,0.05845,0.05441,0.0,0.30669,0.04607,0.05205,0.04778,0.05965,0.05173,0.09163,0.05059,0.03362,0.0401,0.0909,0.06154,0.04135,0.03914,0.06204,0.05089,0.05021,0.03743,0.03927,0.03596,0.03283,0.03543,0.02995,0.03211,0.04782,0.06146,0.07216,0.0643,0.04848,0.03991,0.03811,0.03966,0.03276,0.02912,0.03328,0.09783,0.06834,0.03398,0.08471,0.0356,0.09283,0.06833,0.0674,0.12253,0.07606,0.06101,0.3387,0.05511,0.07952,0.05305,0.04212,0.27246,0.06483,0.08854,0.67448,1.15374,0.24759,0.19292,0.6495,1.92935,0.0,0.0,0.71504,0.0,0.0,0.21739,0.43285,1.29757,0.44955,0.56982,0.41329,0.0,0.12833,0.21618,0.0727,0.0,0.14745,0.31288,0.12353,0.19505,0.15808,0.39729,0.1918,0.06773,0.49722,0.50793,0.21455,0.07952,0.06547,0.05021,0.08326,0.05756,0.05068,0.04862,0.06097,0.13498,0.17111,0.41059,0.2447,0.10622,0.2065,0.0576,0.04847,0.04895,0.07722,0.05568,0.05127,0.06637,0.17603,0.57523,0.07703,0.20567,0.19909,0.12448,0.08344,0.0644,0.05413,0.04886,0.23707,0.05752,0.16939,0.06174,0.5603,0.37501,0.55306,0.08289,0.26627,0.12208,0.07133,0.06484,0.05697,0.06304,0.05162,0.06677,0.07239,0.04234,0.05466,0.07358,0.04805,0.04532,0.03854,0.09497,0.06108,0.0493,0.06354,0.06197,0.10444,0.04442,0.04158,0.04213,0.06692,0.05368,0.04239,0.04341,0.04797,0.12441,0.19416,0.44315,0.08053,0.0763,0.05584,0.07511,0.05724,0.05236,0.05371,0.07788
-2.75,0.0391,0.03802,0.06707,0.05776,0.05102,0.05703,0.14597,0.05501,0.04445,0.03529,0.05714,0.04995,0.04233,0.0473,0.05396,0.05748,0.03282,0.0812,0.03737,0.03205,0.039,0.04904,0.04417,0.04222,0.03589,0.03188,0.03459,0.0328,0.08686,0.03417,0.03899,0.04947,0.75455,0.05946,0.05311,0.04936,0.50382,0.23829,0.07459,0.07854,0.27259,0.14044,0.1,0.07511,0.10093,0.05996,0.14331,0.05902,0.04559,0.05311,0.07773,0.03557,0.21551,0.05786,0.04892,0.24918,0.0597,0.05492,0.08687,0.10434,0.04891,0.03928,0.04271,0.04624,0.04213,0.05792,0.03767,0.05787,0.06424,0.05528,0.05341,0.0,0.29585,0.04377,0.04491,0.043,0.04538,0.0469,0.09163,0.04301,0.03245,0.03849,0.09026,0.06185,0.03997,0.03664,0.06119,0.04734,0.04787,0.03786,0.03831,0.0321,0.0314,0.03505,0.02597,0.03222,0.04569,0.05818,0.06977,0.06096,0.04431,0.03645,0.03569,0.03825,0.03294,0.02703,0.0329,0.0892,0.05816,0.03332,0.08471,0.03548,0.06781,0.06444,0.06516,0.11691,0.07143,0.05899,0.32359,0.05315,0.07192,0.04665,0.0394,0.24981,0.05934,0.07518,0.62584,1.11515,0.22666,0.17673,0.58924,1.74338,1.17671,0.79487,0.68166,0.0,0.0,0.20602,0.4205,1.21703,0.41133,0.49788,0.38164,0.4693,0.1189,0.18855,0.06762,0.52101,0.1419,0.28386,0.11541,0.1876,0.14429,0.39413,0.17698,0.06514,0.46151,0.48815,0.19478,0.07469,0.06314,0.04702,0.07933,0.0576,0.04991,0.04716,0.05671,0.12343,0.16181,0.41059,0.22075,0.10414,0.17958,0.05319,0.04538,0.04283,0.06854,0.05309,0.04888,0.06033,0.15302,0.54118,0.07105,0.1874,0.19931,0.1226,0.07726,0.06439,0.05248,0.04553,0.23144,0.05825,0.15715,0.05989,0.47665,0.33945,0.51581,0.07031,0.24257,0.11266,0.07863,0.0649,0.05278,0.05788,0.05406,0.05995,0.06916,0.04041,0.05018,0.07059,0.04519,0.04386,0.03773,0.08282,0.05374,0.0458,0.06333,0.0543,0.08346,0.03976,0.03858,0.03843,0.06404,0.04907,0.03979,0.0404,0.04522,0.11525,0.18523,0.41203,0.07683,0.07011,0.05039,0.06942,0.05342,0.04711,0.04454,0.07746
