,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,3.85023,0.0,0.11983,0.0,0.08261,0.0,0.72242,0.0,0.0,0.0,0.22684,0.0,4.83882,0.0,7.11673,0.0,0.0,0.2353,81.78319,0.0,0.0,0.0,0.0,0.21034,0.0,4.76772,0.0,0.0,0.22019,0.8652,0.58183,8.6166,47.33576,0.11904,11.34873,1.31885,0.42783,1.36253,3.30744,1.79082,0.25676,3.31493,1.01034,0.12676,5.7713,7.21882,2.30375,0.16882,0.0898,0.09956,0.82659,0.89167,2.56426,2.79998,0.62197,0.06366,0.1953,0.0,20.88461,0.14992,12.39019,0.0,5.30198,14.46188,0.0,1.91002,0.0,0.0,0.0,7.4571,5.34061,6.90783,3.28719,0.0,0.21697,0.11006,0.0,0.0,0.79793,1.2356,3.96369,0.05888,0.0,2.39806,0.09442,13.08216,0.42636,0.0,22.95175,0.5416,0.10053,0.0,0.06886,0.27215,0.0,6.25309,1.99316,0.0,29.86221,0.0,0.0,0.0,0.08752,4.0689,0.10927,0.9572,1.10882,7.92219,8.80966,0.11667,0.0,0.82673,68.67466,0.81316,0.64126,0.34296,1.24816,1.21041,0.00568,10.9056,1.46803,0.6743,0.0,3.95074,50.47281,0.0,1.81297,0.0,50.47171,0.0,0.0,31.61971,9.82409,58.70782,2.43279,2.24108,0.0,17.04711,6.84902,33.2699,6.05758,8.86323,7.03844,12.32984,1.53806,0.0,6.14432,0.03589,2.30815,1.398,61.2626,5.16866,0.71518,32.63932,0.0,3.70675,2.8709,1.84954,1.72461,3.20166,1.77316,0.27568,0.76965,2.35295,11.18415,7.11183,4.86902,1.71814,1.4538,2.24217,1.13972,0.0,0.0,0.30628,1.54472,0.36014,0.13822,7.08605,8.06119,9.4052,2.3241,2.88512,1.00386,0.18632,0.58247,2.73914,0.75665,0.65071,0.81124,1.39713,2.38971,3.14955,30.70291,4.66056,2.84728,0.35349,1.39181,0.90286,0.58694,0.12304,0.0,0.71622,0.0082,1.9325,0.0,0.49502,0.0,4.35645,1.03869,0.0,0.18206,0.11285,2.43352,23.23588,3.07199,0.0,0.09704,0.49553,0.42122,0.0,4.96637,0.0,0.0,0.0,4.21222,0.35023,1.16941,0.28178,7.58197,1.08937,0.64311,1.58457,0.22719,0.0,0.0
-4.75,0.0,0.0,0.0,3.85024,0.0,0.11983,0.0,0.08261,0.0,0.72242,0.0,0.0,0.0,0.22684,0.0,4.83882,0.0,7.11674,0.0,0.0,0.2353,81.78319,0.0,0.0,0.0,0.0,0.21034,0.0,4.76772,0.0,0.0,0.24746,0.8652,0.58183,9.57924,47.33576,0.11904,11.49347,1.98405,0.42783,1.42755,4.02943,2.29428,0.25676,2.59509,1.01035,3.68608,16.26906,7.62591,2.26828,0.16882,0.0898,0.1895,0.96921,0.94244,2.54354,2.79998,0.62197,0.06366,0.1953,0.0,20.88461,0.14992,12.39019,0.0,4.01738,9.69752,0.16126,1.11425,0.0,0.0,0.0,7.61901,5.38256,6.97906,3.36946,0.0,7.32529,0.1425,0.0,0.0,0.55295,5.6725,20.14347,0.05888,7.89177,2.39806,0.09442,13.08216,0.42636,0.0,22.97332,8.91277,0.10053,0.0,0.06886,0.28579,0.0,6.25309,1.79054,0.0,29.86222,16.01303,0.76674,0.0,0.08752,4.0689,0.10927,0.96903,1.10882,7.92221,8.80966,0.11667,0.0,0.85381,70.92051,0.83334,0.55975,0.87344,1.53553,1.2081,0.02891,6.0032,1.46803,0.67583,0.0,3.99541,52.3708,19.16282,1.73309,0.0,51.67707,0.0,0.0,31.61991,23.58704,58.70782,2.09779,2.08556,0.0,24.97773,6.57383,28.78951,6.44008,5.98502,6.66639,12.32984,1.30681,0.0,5.86286,0.11237,2.33513,1.56512,88.54369,4.88509,0.71518,34.28217,59.59348,3.94269,2.49587,1.96725,3.16468,3.1259,1.77316,0.27568,0.91017,2.0703,12.84865,7.27522,4.50527,1.74722,1.31398,1.12109,1.10339,0.0,0.06036,0.30628,1.32619,0.36014,0.13822,7.36362,9.42377,9.72538,2.43828,2.42978,1.08038,0.18632,0.58248,2.845,2.79607,0.6972,0.82539,1.50127,1.36893,3.14955,31.43762,4.32812,2.84728,0.34787,1.64317,0.87033,0.72641,0.12304,0.0,0.72903,0.0082,1.9325,0.0,0.49826,0.0,3.32772,1.50367,0.0,0.21461,0.16955,2.43352,23.24323,2.73529,0.0,7.69032,0.46958,1.24546,0.0,4.96637,101.2446,0.02634,2.97169,4.82787,0.30624,1.16944,0.28178,6.27383,3.7644,0.64311,2.09018,0.22719,0.0,0.0842
-4.5,0.0,0.0,0.0,3.86377,0.0,0.11983,0.0,0.08261,0.0,0.72242,0.0,0.0,0.0,0.7929,0.0,4.84933,0.0,7.11674,0.0,0.0,0.2353,81.78319,0.03635,0.0,0.0,0.0,0.21034,0.0,4.85379,0.0,0.0,0.24746,0.69557,0.36773,8.67719,47.33576,0.11904,12.22038,1.98405,0.42783,1.49527,3.17021,2.33933,1.08609,2.39567,0.84312,2.05521,14.84523,5.08398,2.48098,0.16882,0.0898,0.1895,0.79712,0.95989,2.66113,2.54096,0.52002,0.06366,0.1953,0.0,20.88461,0.1245,7.94542,26.24233,4.17426,7.37845,0.09924,1.11425,0.0,0.0,4.16656,5.88268,5.47387,6.97906,3.61217,0.0,7.15813,0.15709,0.0,0.0,22.36839,5.6725,20.1448,6.55845,7.89177,4.96435,0.09442,13.08216,0.42636,0.0,16.7467,8.95631,0.10053,0.0,0.06886,8.13034,0.0,6.25309,1.61062,0.0,29.86222,22.43384,2.76214,0.0,48.68072,4.0689,4.02383,0.96903,1.10882,2.98685,8.80966,0.11667,0.0,0.77213,76.21149,0.70231,0.48207,0.6551,1.53143,1.21833,0.19937,6.0032,10.97229,3.25756,0.04302,4.14737,52.97228,12.33575,1.67621,0.0,52.2793,0.0,0.0,31.62069,23.66666,74.86665,1.96544,2.15086,0.0,24.97773,6.40016,29.30852,9.53796,4.76374,6.75017,9.06748,1.60325,0.0,5.24998,1.44918,2.13164,1.4519,39.76956,4.90463,0.77108,34.51355,59.59357,2.48689,2.34517,1.29426,3.16468,3.28707,1.42141,0.39221,0.9547,1.58695,12.97626,6.34108,4.73396,1.74722,1.34784,1.12109,1.0612,1.05713,0.06037,0.60104,2.72393,0.28842,0.09217,6.82772,7.11943,10.08856,2.57346,2.11612,1.06174,0.18632,4.97897,2.49577,4.2419,0.70652,1.08424,1.64783,1.06829,6.23944,26.05156,3.4888,2.86802,0.35141,1.06797,1.09233,1.87418,0.12304,0.0,1.48813,0.55881,2.0299,0.0,0.50729,0.0,2.75451,1.64759,0.0,0.81857,0.16955,2.27819,23.24323,2.73529,0.0,6.18479,0.39175,1.72775,0.0,3.20649,101.2446,173.11106,2.97169,4.9179,0.30826,1.23064,0.28178,6.50243,3.04796,0.8289,2.09019,0.90881,0.0,0.0842
-4.25,0.0,0.0,3.53932,16.17852,0.0,0.11983,0.0,0.08261,0.0,0.72242,0.0,0.0,0.0,0.7929,0.0,4.88038,0.0,7.11674,0.41691,0.0,0.2353,81.78319,0.03635,0.08893,0.34819,0.0,9.08212,0.0,4.85379,0.0,0.0,0.24746,0.73743,0.37621,8.68133,47.33576,0.11904,10.08246,1.98405,0.42783,1.46315,3.44474,2.36348,1.42255,2.45048,1.32454,2.02126,18.32715,5.11059,2.56448,0.16882,0.0898,0.1895,0.79712,1.00409,2.36184,3.05303,0.62909,0.267,0.37082,0.0,15.72822,0.15515,4.03858,26.24233,4.22119,5.92539,4.0042,1.11426,0.0,10.29721,4.16656,6.29626,5.04896,4.82954,2.7357,0.3299,6.74217,0.16954,0.0,0.10417,22.36839,5.6725,20.8403,6.63334,5.26296,6.72476,0.09442,13.08216,0.42636,0.0,16.7467,9.36165,0.10053,1.2735,0.06886,5.97165,28.41391,6.25309,1.65733,0.0,15.53037,22.43384,3.49154,0.0,48.68072,4.0689,2.72983,0.96903,1.10882,2.98685,8.81723,5.12525,0.0,0.70986,76.23308,0.63373,0.49724,0.64351,1.52639,1.22928,3.89113,6.0032,10.97303,3.36886,1.7569,3.68282,57.86194,17.33295,1.77894,0.0,52.40168,0.0,5.82457,26.84548,24.25979,74.86679,2.06432,2.29081,0.0,25.00398,6.69549,18.48639,10.8462,5.80556,6.21463,5.6834,1.38295,0.0,5.02752,2.31575,2.14138,1.27396,40.21351,4.35514,7.47177,23.12305,59.59359,2.147,2.47523,1.10389,2.64425,3.40218,1.09059,2.99707,0.97884,1.25191,11.79575,7.41676,4.4554,1.73637,2.29801,0.68041,1.0057,1.55728,0.22073,1.43749,2.72393,0.28842,0.39176,5.10172,7.23497,9.51585,2.40706,1.95757,0.9644,0.18632,4.97897,2.4547,4.06169,13.4832,1.16585,1.71129,1.22624,7.07938,20.81974,3.53245,3.54532,0.42634,0.9316,3.92308,2.3995,0.12304,0.0,1.49593,0.98461,0.49716,0.0,0.86148,11.89475,3.3137,1.55668,0.0,1.17532,0.20086,1.9457,23.27255,3.17233,0.18436,7.82884,0.4587,1.74609,0.0,3.25631,101.24461,173.11106,2.97169,4.53216,0.31157,1.23064,0.43385,6.59343,3.04975,1.00525,2.09019,0.84603,0.0,0.0842
-4.0,18.54496,0.0,3.53932,11.06925,0.0,0.12812,2.02085,0.08261,0.0,0.72242,0.0,43.88752,0.51773,21.47172,0.0,4.88038,0.0,16.6921,0.41691,0.0,0.2353,43.55593,0.03635,0.08893,8.20948,0.0,6.9413,0.0,3.64949,87.298,0.0,0.24747,0.56207,5.40882,8.6836,47.33576,0.59369,10.57673,1.52297,0.42783,1.44392,3.97025,2.33621,1.35311,2.74124,1.27667,2.1977,19.59061,12.41873,4.76079,0.16882,0.0898,0.1895,7.38591,1.03007,2.13891,2.83852,0.60173,0.267,0.37082,0.0,25.74569,0.94376,3.36488,14.68264,6.04129,5.92539,2.77922,1.11426,0.22242,5.3791,29.89512,6.38238,5.43858,4.00554,2.7357,0.88164,6.92653,0.17655,0.0,2.20025,18.64659,5.6725,18.25398,6.63334,4.17723,11.78626,0.09442,13.08216,0.42636,0.0,11.16448,9.36165,0.10053,1.3823,0.06886,7.91441,28.41651,46.30259,1.48576,0.0,10.62184,22.43384,7.12334,10.72941,48.72915,4.0689,3.39371,0.96903,1.31022,2.98685,8.57933,5.12525,31.66745,0.67996,87.30684,0.6603,0.50488,0.66868,2.07514,1.30302,15.94292,7.19641,9.64239,3.10929,1.7569,6.25951,58.20414,17.95653,1.74061,0.0,52.98483,13.74863,14.23059,21.05508,25.71672,42.80769,2.09293,2.2186,0.0,27.71951,7.16457,19.7303,11.05826,5.88913,5.24661,5.34433,1.68738,20.0013,4.89547,2.52083,2.20059,2.31848,33.43609,3.38745,7.55183,23.87187,32.3023,1.87516,2.84731,1.22008,3.30331,2.94625,0.86265,2.71486,5.71893,1.23108,11.15643,7.46321,3.50037,1.4402,2.0498,0.69614,0.84871,1.07284,1.98412,2.82163,3.43602,0.28842,2.60765,4.56571,7.60475,11.13502,2.31206,1.86545,1.01809,0.18632,3.32814,2.33252,4.67005,13.51516,1.20948,1.97664,1.17124,6.55234,17.29781,3.34533,5.44667,0.47904,0.88057,4.04548,1.93054,2.09477,0.0,1.78852,1.29949,0.49719,7.988,0.91956,11.89475,10.53092,1.94092,2.23092,1.19656,0.11343,4.84254,19.08534,2.76532,3.51432,6.64486,0.4587,1.81724,0.0,3.25631,101.26985,173.11106,2.97169,5.29625,0.28269,1.23064,6.36767,5.44486,3.11369,1.08699,1.65842,2.52612,27.73021,11.31175
-3.75,18.54496,33.96609,2.88421,11.04451,0.07474,4.75921,2.18047,0.57713,13.96498,0.72242,0.31758,44.1836,0.51773,33.05681,0.0,4.88038,0.0,16.69433,0.41691,0.0,35.59669,37.5243,0.02109,0.04454,8.20948,0.0,6.9413,0.0,3.66601,87.29801,0.0,0.73037,5.58566,4.72628,7.9099,47.33576,2.3725,10.42789,1.31703,4.9008,1.33316,3.6573,2.95442,1.63781,2.68416,1.32094,2.15857,17.47714,12.41873,4.59458,0.16882,1.9905,13.87566,3.33387,1.08219,2.27535,2.53022,0.575,0.267,0.37082,0.0,25.80409,1.4848,3.36488,37.16732,6.08127,5.94518,2.79123,1.18997,20.26101,12.58728,23.68071,5.78595,5.20646,3.802,3.29965,0.99875,7.3248,0.17655,0.0,1.60166,16.16463,5.6725,26.45408,8.21634,4.17723,11.71984,0.40137,13.08216,0.42636,0.0,8.17685,8.58018,0.10053,1.729,0.06886,8.33199,28.41651,27.96831,1.42902,0.06793,10.16911,15.7864,5.98326,5.71176,48.72915,7.93868,3.39371,0.77523,1.63329,3.96004,8.36133,13.13369,13.56824,0.70788,90.19697,0.39636,0.415,0.72505,1.97091,1.41518,15.69095,5.01576,8.91451,3.05967,13.25447,6.03282,58.72475,17.11527,1.74246,27.30921,60.26425,10.43768,17.05772,20.92295,17.77504,44.038,2.09973,2.1404,0.0,27.71951,7.00577,20.21194,11.97588,5.89775,4.60979,4.99579,1.59558,20.81196,4.29896,2.27239,1.86697,2.59484,41.36213,3.55512,6.36763,27.00505,33.36138,1.90109,2.85632,1.99616,3.60822,3.48985,2.50366,2.71486,5.34986,1.14693,10.17268,6.91794,3.39879,1.09365,2.51252,4.70134,2.33946,0.93968,2.0189,2.53328,3.05921,0.28842,2.99578,4.78861,6.97177,9.21041,1.8743,1.6648,1.04605,0.18633,3.34361,2.20382,5.8254,12.76207,1.2223,2.17544,1.1438,5.26966,18.16078,3.20833,4.09995,0.5432,0.88681,4.17519,1.74537,8.2397,0.0,11.04417,1.24425,1.00639,10.57345,1.33139,9.24541,10.81841,1.53471,2.50081,1.08387,0.1534,5.04392,24.02397,4.2018,4.68822,6.67275,1.06125,2.27618,0.0,11.78141,101.26985,173.11106,1.54211,5.23752,0.2827,9.7276,5.88359,5.5662,3.05418,1.26881,7.67346,4.17099,27.91827,11.31675
-3.5,18.54496,33.96609,5.12539,13.6031,0.10767,5.00943,3.62815,0.57713,94.08938,0.72242,0.36311,14.80851,0.51773,36.62669,119.55938,75.39814,0.0,17.43689,21.22109,0.0,35.64241,26.18003,15.64399,0.04454,8.20948,0.0,15.96787,0.0,5.54447,83.12025,0.0,0.76817,5.40106,4.35751,6.24609,47.33576,1.9247,10.50931,1.79037,3.3213,1.33298,3.33874,2.61133,1.55275,2.18564,1.88089,1.94697,26.18004,10.62241,4.8517,0.16882,1.99051,13.99841,4.07864,1.22776,1.9022,2.90756,3.0389,0.267,0.37082,0.0,19.28917,3.00776,4.63649,27.6342,7.26469,6.60229,2.55001,1.22903,36.08028,12.59776,25.57528,5.92976,4.3815,2.79199,3.29965,4.03026,5.38929,0.17655,20.54472,1.60166,14.31881,7.69916,24.56757,8.22685,11.94475,10.64979,1.1274,13.08216,2.61422,2.47707,6.95445,7.47364,51.89138,1.57175,0.06886,9.58989,54.77176,22.3978,1.79161,0.12261,10.19,54.7429,5.22258,20.54305,30.16967,16.99505,3.39371,0.92338,3.14657,5.27112,7.63249,9.02086,9.61392,3.28436,95.49117,0.42788,0.71436,0.54232,1.69384,1.49528,11.67842,5.81756,9.05615,2.43789,12.33023,4.22751,59.17156,19.07749,1.97792,28.08711,39.67992,12.03763,15.21966,23.34705,19.40738,39.67712,2.36118,2.11698,4.20105,27.71951,7.17921,18.65093,11.17667,14.74208,4.21579,4.24323,1.62027,25.85588,3.45462,2.34295,1.9114,2.40776,33.68396,2.49847,7.27194,23.67843,23.4127,2.38355,2.47688,2.02974,3.65424,3.15733,3.99828,2.82901,5.36722,1.48888,10.15987,6.47887,3.13093,1.20494,2.58062,5.61207,2.16359,4.15475,3.1951,3.01758,2.83043,1.11215,2.93807,4.33171,7.44403,8.60488,1.77944,1.45277,1.39457,0.18633,21.57091,2.30289,5.48702,9.63617,1.33481,2.08267,1.27313,6.45316,17.2107,2.89008,3.70614,0.47532,0.87382,3.55685,1.58089,13.27119,0.0,11.67154,1.92705,0.82106,7.12255,1.80411,9.15771,11.09325,2.09467,5.79206,1.25097,0.16845,6.5833,26.06589,4.35704,2.02606,5.6574,3.15094,1.74455,0.0,8.09214,96.46711,87.80134,12.58345,4.63269,1.20045,7.94339,4.87812,5.652,5.16936,1.80468,7.76013,4.05213,28.26818,5.31655
-3.25,18.54497,24.46883,5.12986,13.0761,0.10767,15.41238,3.62819,3.59805,79.83674,42.42121,5.73041,14.80851,0.51773,36.69189,123.49988,75.45001,4.47249,43.07284,61.42594,0.0,36.20794,21.8252,34.89969,11.67205,7.98759,26.90198,16.51437,0.0,30.36764,83.12025,0.0,0.76817,5.11757,3.63451,5.88786,47.33576,1.6427,10.51843,8.90566,12.36181,1.33884,3.98043,2.46189,1.70402,1.79476,1.56068,2.4091,23.32013,8.52341,5.61324,0.16882,4.71915,20.65835,5.35318,1.06617,1.81744,2.79228,3.26722,11.09177,0.37082,9.6125,18.28123,4.08464,6.6826,20.34444,10.3817,10.98788,4.18807,1.22903,16.91811,8.12184,23.41892,4.76596,4.18066,3.04364,3.51117,3.46113,4.42092,40.11573,19.95002,2.7942,21.18221,12.36507,25.19384,17.29533,9.89575,8.24358,1.32714,13.08216,2.14835,33.33122,5.66189,7.93088,54.12153,8.24155,7.13939,9.18801,43.87156,18.1153,1.57897,0.12261,7.03857,41.14147,6.77603,17.29318,55.99141,10.69316,12.95257,0.92338,5.37269,3.62719,6.15517,8.77004,17.74759,3.64884,96.33785,1.10701,1.025,0.5047,1.63398,1.54053,11.53736,5.24081,10.56728,2.3532,10.03737,3.55603,34.19549,19.40822,1.96409,28.32324,28.60887,12.92629,16.46246,17.28003,28.35695,32.0118,2.06596,1.98228,26.91573,24.00618,7.13995,19.78331,12.72476,13.57035,4.25406,4.98516,1.55855,33.16748,3.5287,11.02672,1.80665,2.33966,32.13139,2.26279,5.49645,21.27153,24.12471,2.5269,2.02979,1.88423,3.8687,2.88163,3.69496,3.19154,5.12832,1.35143,9.91591,6.11077,2.93816,1.33106,2.48457,4.92172,2.03048,5.8752,3.82157,4.60879,3.4848,0.78878,3.08745,3.54527,7.74443,8.27696,1.68443,3.77147,1.68389,28.63339,18.7961,2.29876,4.92369,7.82088,1.77046,1.79527,1.0882,5.19152,13.7876,2.84966,3.11545,5.7981,0.86075,3.20659,1.5614,11.75935,6.36474,11.83642,2.91316,1.15679,5.0477,1.76891,8.93754,9.71467,2.08147,7.24765,2.35297,18.74529,7.06437,23.11237,3.96683,1.85863,6.00746,5.36836,1.43238,0.0,9.03318,74.28659,87.84276,12.60057,5.02178,2.4627,6.28578,4.03605,5.34415,4.87335,1.88714,7.45518,8.76532,11.20403,4.90191
-3.0,31.8599,14.15373,6.31877,11.29324,0.10767,15.48777,4.58007,3.59805,75.96047,25.93583,7.8992,15.2905,13.88083,31.55397,124.183,75.45001,43.1257,36.59268,86.58046,0.0,33.25472,19.61677,21.9479,12.4726,8.5831,44.25065,16.48754,0.0,26.26171,61.07134,260.92463,0.61455,9.43131,3.30617,5.42446,47.33576,4.42625,11.50175,7.49914,19.41893,1.28168,3.40473,2.04299,1.98629,1.76638,1.42824,2.39491,20.95056,8.53227,5.18907,15.39287,4.654,18.97023,5.2142,1.14922,1.83296,2.95803,2.61883,10.53553,0.37082,8.54044,13.99901,4.63044,5.07228,14.72463,10.52043,7.91664,3.91555,4.72373,13.53478,6.77254,23.12677,4.12159,4.06278,4.19612,3.51117,5.90981,6.9756,32.8311,19.98974,2.69611,22.05208,10.25664,17.9236,22.73037,8.43977,8.44391,1.71185,13.08217,7.34076,33.33122,7.2652,8.27409,43.6561,6.64371,5.40394,9.25346,119.22441,15.8579,1.54292,6.98672,6.45376,25.80404,5.86453,11.95295,55.99141,10.31699,18.31108,9.53782,4.2839,10.33859,5.33754,8.66009,20.66337,5.28422,106.6947,4.42953,1.22689,0.90815,1.95067,1.59138,13.37298,4.05685,9.66355,3.29492,10.99373,2.9434,35.53927,24.7457,2.10695,25.7184,33.1386,14.39306,25.02771,18.67136,31.23711,30.11625,2.11845,1.84859,30.73919,29.71022,6.75388,18.34884,12.96591,21.9093,4.00748,4.1398,1.70157,35.25678,3.5989,11.64605,1.77485,2.01773,29.43062,1.9039,5.1576,20.04097,24.63408,2.56235,1.99755,2.27376,3.98546,2.46903,3.40228,3.47958,6.86159,1.75765,10.37254,5.58631,2.98675,1.4201,2.26468,5.91658,1.91749,4.27906,3.81098,4.16819,3.84906,1.4493,3.08942,3.53859,7.97665,8.34609,1.58992,5.94656,1.48219,24.5945,26.50457,1.91082,5.37585,6.46345,1.98377,1.72582,1.30402,4.84421,12.9829,2.73879,3.24835,6.30294,0.97719,4.28446,2.46899,11.77227,8.54681,14.08145,2.7219,1.15679,9.08159,1.89045,7.03129,9.98004,2.01826,9.95388,2.18477,20.30912,6.0789,18.59266,3.52625,2.05248,5.03313,6.22115,3.14961,48.49948,10.38644,55.78153,71.64117,7.56976,4.43645,2.58604,5.36693,4.05279,5.21912,6.90917,2.016,12.88493,7.16579,20.28462,3.14806
-2.75,39.28096,10.40856,4.32457,9.80914,0.10767,13.22839,8.79998,6.96662,57.83345,33.38386,8.50942,17.11245,23.91467,32.65547,72.0684,62.51269,37.58166,35.88993,115.48634,52.42366,28.32323,24.85982,18.58943,14.92458,19.18409,44.26733,11.51636,114.36506,23.68595,58.25699,209.84741,0.49741,10.85728,3.05794,7.52354,84.8213,7.02507,10.8695,7.90303,23.87531,1.23724,3.17621,2.18261,1.79901,1.64234,1.48596,2.23699,17.88506,13.80785,5.19369,12.85315,5.19939,19.38706,5.49775,1.192,2.55963,2.41177,2.50694,13.95694,59.60909,10.44179,12.57011,5.98359,5.42524,11.57764,11.41439,6.50724,3.52948,8.60822,10.20574,6.67386,20.90511,4.17569,3.75897,4.76107,20.2533,7.03361,6.32766,24.33867,17.35219,2.88335,21.24548,9.09535,22.99629,28.34929,8.23494,6.70442,1.8136,12.72337,6.17355,23.50388,7.42745,10.12492,24.28113,8.21536,4.79686,8.64167,75.18751,14.13373,1.80142,6.98672,5.8531,24.74423,5.2968,9.9229,36.35595,9.59423,16.07868,11.40513,3.93753,12.25239,4.49898,10.94188,15.09848,4.08822,107.41777,5.52697,2.48404,2.00816,2.06947,1.44016,11.75794,3.63366,8.07803,2.91004,11.11167,2.53831,21.68027,26.04241,2.19606,19.71915,32.17726,20.98187,27.31366,17.92551,25.14499,30.09748,1.97729,1.71517,31.38464,30.93555,6.69467,17.59812,14.35884,22.40015,3.93668,3.46885,1.60657,36.9928,3.75999,10.16178,1.68688,1.88801,24.08439,1.68163,4.50297,21.28458,14.94145,2.3197,1.96864,2.47029,3.64979,2.11175,2.9681,4.67921,8.47058,2.35809,9.28727,5.35229,2.87942,1.58003,1.96245,6.83856,1.86582,3.7908,4.78722,3.81928,7.37038,2.11779,2.58291,3.87081,6.46842,8.0461,3.0137,6.74909,1.36214,28.35504,20.91622,3.80309,5.66346,4.87099,2.34356,2.0798,2.69337,4.21894,10.02489,2.8059,3.91084,8.67021,0.89223,4.0842,3.0275,15.00196,12.65747,13.3822,2.63223,3.11725,11.83535,1.94584,6.37722,7.95405,1.93575,7.89025,2.09003,18.37205,5.78388,14.76872,3.13963,1.85195,5.13888,9.65192,2.89864,26.63297,11.58161,53.53512,75.96754,55.14045,3.85806,3.40615,4.68547,3.21828,5.24609,9.09311,2.13283,13.61421,7.64822,35.58313,3.48898
