,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.07052,0.0,0.1557,0.0,0.0994,0.09939,0.0,0.06289,0.08295,0.0,0.09801,0.0,0.0,0.0,0.07342,0.0,0.22948,0.0,0.08486,0.0648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11516,0.28745,0.0,0.08685,0.0,0.16347,0.1443,0.0,0.11246,0.15989,0.0,0.12969,0.0839,0.11432,0.09548,0.22835,0.23892,0.06399,0.08216,0.09931,0.06992,0.10715,0.0,0.06869,0.18298,0.16761,0.0,0.0,0.0,0.0,0.0,0.08205,0.06474,0.0,0.06681,0.0,0.13599,0.16326,0.0,0.0719,0.53124,0.16687,0.08637,0.05833,0.06974,0.0,0.06282,0.0,0.0,0.0,0.0,0.12658,0.07349,0.04879,0.0,0.0,0.0,0.06896,0.0,0.08548,0.0526,0.05502,0.0,0.0,0.0,0.09047,0.09423,0.0,0.10046,0.05697,0.0,0.0,0.0,0.0,0.04959,0.0,0.0,0.0,0.04486,0.0,0.0,0.0,0.0,0.15742,0.0,0.08632,0.11247,0.12266,0.09373,0.0,0.08024,0.08505,0.18337,0.15292,0.0,0.0,0.0,0.15153,0.22805,0.95066,0.0,0.0,0.0,0.0,0.0,0.0,0.15928,0.18449,0.0,0.20326,0.0,0.0,0.0,0.0,0.2309,0.12465,0.44278,0.0,0.15125,0.24468,0.12744,0.17926,0.0,0.1259,0.09326,0.0,0.0,0.0,0.11019,0.11586,0.06727,0.10446,0.0,0.09009,0.07865,0.1193,0.11459,0.17882,0.20055,0.28258,0.0,0.0,0.08413,0.05888,0.0,0.08999,0.0,0.0,0.0961,0.11576,0.0,0.07382,0.17114,0.11654,0.13726,0.0,0.09982,0.09211,0.0,0.24566,0.0,0.15053,0.0,0.54497,0.28713,0.0,0.19446,0.0,0.13349,0.0,0.0979,0.0,0.0,0.08029,0.0,0.12182,0.05543,0.07956,0.08468,0.0,0.07625,0.05161,0.10323,0.10153,0.08172,0.10248,0.08418,0.10184,0.07025,0.0,0.0,0.13996,0.0,0.0,0.0,0.06866,0.15108,0.17239,0.0,0.11034,0.0,0.07374,0.06048,0.0,0.09115,0.0,0.0
-4.75,0.0,0.07052,0.0,0.1557,0.0,0.0994,0.08853,0.0,0.06128,0.08295,0.0,0.07232,0.0,0.0,0.0,0.06664,0.0,0.22948,0.0,0.08486,0.0648,0.0,0.05133,0.0,0.0,0.0,0.0,0.0,0.1635,0.03831,0.0,0.08971,0.28588,0.0,0.08685,0.0,0.16347,0.14409,0.07643,0.11246,0.15298,0.0,0.1113,0.0839,0.10634,0.09548,0.20244,0.23892,0.06224,0.08323,0.09931,0.06524,0.09429,0.0,0.06869,0.16411,0.16761,0.0,0.0,0.0,0.0,0.0,0.08205,0.06728,0.0,0.07036,0.0,0.13599,0.16326,0.0,0.06863,0.52123,0.16189,0.08637,0.05833,0.06265,0.0,0.06282,0.0,0.0,0.0,0.0,0.12658,0.09675,0.04879,0.0,0.0,0.0,0.06255,0.0,0.08548,0.0526,0.05502,0.0,0.0,0.07078,0.09047,0.09423,0.0,0.09002,0.05697,0.0,0.0,0.0,0.0,0.04959,0.0,0.0,0.0,0.04486,0.05837,0.0,0.0,0.0,0.15742,0.0,0.07966,0.11247,0.11517,0.09065,0.0,0.08024,0.08505,0.14793,0.15292,0.0,0.0,0.0,0.14939,0.21443,1.00071,0.0,0.0,0.0,0.0,0.0,0.0,0.15928,0.19397,0.0,0.20326,0.0,0.0,0.0,0.0,0.20116,0.12465,0.42768,0.11888,0.15197,0.21688,0.12016,0.16632,0.0,0.12473,0.09786,0.0,0.0,0.21105,0.09685,0.09669,0.06727,0.10486,0.0,0.09009,0.07865,0.1193,0.1106,0.17882,0.1997,0.2805,0.0,0.24498,0.07626,0.06469,0.0,0.08999,0.0,0.0,0.0961,0.11576,0.0,0.0806,0.15803,0.12373,0.13726,0.08593,0.09982,0.08957,0.0,0.24209,0.0,0.13653,0.0,0.49741,0.28206,0.0,0.12222,0.0,0.13349,0.0,0.0979,0.0,0.0,0.08029,0.0,0.12182,0.05483,0.063,0.08468,0.06058,0.07625,0.05161,0.10323,0.10153,0.07773,0.08776,0.08418,0.10184,0.07025,0.0,0.0,0.13996,0.0,0.0,0.0,0.06576,0.14874,0.16961,0.0,0.11034,0.0,0.07374,0.06048,0.0,0.09115,0.0,0.0
-4.5,0.0,0.07052,0.0,0.1557,0.07211,0.0994,0.08693,0.0,0.05483,0.08295,0.0,0.06268,0.0,0.0,0.0,0.06181,0.0,0.22948,0.05144,0.08486,0.0648,0.0,0.05133,0.0,0.0,0.0,0.0,0.0,0.1635,0.03831,0.0,0.08971,0.28846,0.0,0.08352,0.0,0.15796,0.14409,0.08963,0.11246,0.14359,0.0,0.12249,0.08401,0.10634,0.09548,0.20244,0.18545,0.06224,0.08003,0.09931,0.06685,0.11213,0.0,0.06693,0.15253,0.16761,0.0,0.0,0.0,0.0,0.0,0.08205,0.06728,0.0,0.07036,0.0,0.10104,0.16326,0.04603,0.06653,0.49402,0.14104,0.08637,0.0533,0.05871,0.0,0.06282,0.0,0.0,0.0,0.0,0.1313,0.09356,0.04849,0.0,0.0,0.0,0.06178,0.0,0.08548,0.0526,0.05502,0.0,0.0,0.07078,0.09047,0.09423,0.0,0.07739,0.05255,0.0,0.0,0.0,0.0,0.04959,0.05886,0.0,0.06082,0.04436,0.05837,0.0,0.07087,0.0,0.15742,0.0,0.07356,0.11247,0.1143,0.09065,0.0,0.07118,0.07953,0.14328,0.1198,0.0,0.0,0.0,0.14366,0.20431,0.88123,0.0,0.0,0.0,0.0,0.92069,0.37077,0.15928,0.19074,0.0,0.2082,0.0,0.0,0.0,0.0,0.19428,0.10208,0.42768,0.11339,0.13708,0.16919,0.11682,0.15575,0.0,0.13208,0.09552,0.0,0.0,0.2217,0.09685,0.08625,0.06727,0.10506,0.0,0.09009,0.07996,0.09599,0.10459,0.17882,0.18498,0.27639,0.0,0.24498,0.07626,0.06469,0.0,0.0961,0.0,0.0,0.0961,0.1123,0.0,0.08154,0.14929,0.12373,0.13726,0.08209,0.09982,0.08872,0.06718,0.22071,0.0,0.13653,0.0,0.50356,0.28892,0.0,0.11953,0.14794,0.13514,0.0,0.08237,0.06696,0.0,0.06977,0.0,0.12182,0.05483,0.06018,0.08362,0.05384,0.07625,0.04999,0.10323,0.08147,0.07817,0.08474,0.08169,0.10184,0.07025,0.0,0.0,0.08935,0.08859,0.0,0.0,0.06576,0.14811,0.16623,0.0,0.11034,0.0,0.06385,0.05869,0.0,0.0897,0.0,0.0
-4.25,0.0,0.07052,0.0,0.1557,0.07211,0.0994,0.08693,0.0,0.05322,0.08295,0.0,0.06268,0.0,0.0,0.06725,0.06101,0.0,0.22948,0.05144,0.08486,0.0648,0.0,0.05133,0.0,0.0,0.0,0.0,0.0,0.1635,0.03831,0.0,0.08971,0.26276,0.0,0.07519,0.0,0.15359,0.1186,0.08945,0.11246,0.14845,0.12606,0.12253,0.08332,0.11576,0.0915,0.12937,0.18545,0.05928,0.06805,0.09577,0.06685,0.12358,0.06936,0.06693,0.13683,0.16761,0.07881,0.0,0.0,0.0,0.0,0.07374,0.06038,0.0654,0.07036,0.04891,0.09942,0.16326,0.04667,0.06653,0.48623,0.13581,0.07206,0.05167,0.05395,0.05084,0.06282,0.0,0.0,0.0,0.0,0.1313,0.09356,0.05503,0.0,0.0523,0.0,0.06148,0.0573,0.08548,0.0526,0.05502,0.0,0.0,0.07078,0.09047,0.08062,0.0,0.07739,0.05167,0.0,0.05772,0.0,0.04724,0.04302,0.05886,0.0,0.06082,0.04313,0.05837,0.0,0.06976,0.0,0.15742,0.0,0.07146,0.11247,0.11837,0.09065,0.0,0.07118,0.07953,0.12113,0.1198,0.0,0.0,0.0,0.14496,0.19859,0.88123,0.0,0.0,0.0,0.0,0.85918,0.37077,0.15167,0.17967,0.0,0.19704,0.52563,0.31005,0.62298,0.13345,0.17978,0.09502,0.415,0.11339,0.13576,0.16919,0.10648,0.15575,0.0,0.12706,0.09552,0.0,0.0,0.17345,0.09172,0.08238,0.06212,0.09582,0.0,0.09009,0.07279,0.08282,0.09769,0.17882,0.18216,0.25629,0.11048,0.24498,0.07668,0.06055,0.08515,0.0961,0.08034,0.0,0.09203,0.1123,0.0,0.07899,0.14055,0.11079,0.12499,0.08846,0.10124,0.08872,0.06675,0.22071,0.09167,0.13499,0.0,0.45181,0.25959,0.23646,0.10466,0.14216,0.13514,0.14293,0.07456,0.05786,0.0,0.06237,0.0,0.08909,0.05317,0.06273,0.08021,0.05784,0.07625,0.04725,0.09256,0.07668,0.07583,0.08474,0.06966,0.10184,0.0651,0.0,0.0,0.08935,0.08859,0.0,0.0582,0.06775,0.13718,0.15778,0.0,0.10119,0.0,0.06385,0.05962,0.0,0.07938,0.0,0.0
-4.0,0.0,0.07052,0.0,0.1557,0.05215,0.0994,0.08693,0.0,0.05322,0.0649,0.0,0.06268,0.0,0.0,0.06725,0.06101,0.0,0.22948,0.04854,0.08486,0.0648,0.0,0.06027,0.0,0.0,0.04627,0.0,0.04392,0.1635,0.03831,0.0,0.08971,0.25273,0.0,0.0683,0.07993,0.14278,0.12087,0.08886,0.09342,0.13798,0.12301,0.11775,0.07413,0.11576,0.08718,0.11614,0.18545,0.0565,0.06805,0.09351,0.06213,0.12358,0.06936,0.06972,0.13426,0.16761,0.07881,0.0,0.0,0.0,0.0,0.07374,0.05811,0.0654,0.06411,0.04244,0.08332,0.12983,0.04528,0.0649,0.45289,0.12501,0.06383,0.04841,0.05395,0.04875,0.06086,0.05896,0.0,0.04213,0.0,0.1313,0.09356,0.05289,0.0,0.05124,0.0,0.06148,0.05086,0.06962,0.0526,0.05502,0.04597,0.0,0.07078,0.07582,0.07257,0.0,0.06907,0.05167,0.05213,0.05097,0.0,0.04724,0.03646,0.05886,0.0,0.06082,0.04247,0.05837,0.05013,0.07544,0.0,0.15742,0.0,0.06972,0.11247,0.11431,0.08185,0.0,0.06789,0.07522,0.12113,0.10586,0.0,0.36099,1.44976,0.13961,0.18895,0.91455,0.0,0.0,0.0,0.91599,0.85107,0.37077,0.1552,0.16861,0.0,0.17842,0.51927,0.31005,0.56492,0.13345,0.17222,0.0933,0.41311,0.0982,0.12961,0.16919,0.1038,0.15556,0.0,0.11905,0.08841,0.0,0.0,0.16168,0.0877,0.07805,0.05652,0.08787,0.0,0.09213,0.07042,0.08218,0.09647,0.14362,0.16087,0.23752,0.11463,0.17644,0.07355,0.05898,0.08515,0.0961,0.08526,0.0,0.09203,0.10703,0.0,0.07663,0.13879,0.097,0.11491,0.08256,0.10124,0.08441,0.06047,0.22071,0.08946,0.12077,0.09349,0.45181,0.24925,0.23098,0.0913,0.12827,0.10315,0.14293,0.07428,0.05898,0.0,0.06053,0.0,0.08321,0.05151,0.06062,0.07661,0.05655,0.05507,0.04675,0.09256,0.07337,0.07583,0.08299,0.06664,0.07986,0.06105,0.05157,0.0,0.0816,0.08859,0.0,0.05733,0.06827,0.12935,0.15562,0.0,0.10119,0.0,0.06176,0.05721,0.0915,0.06266,0.0,0.0
-3.75,0.0,0.04622,0.0,0.1557,0.04961,0.0994,0.08469,0.0,0.05322,0.0649,0.04374,0.06268,0.0,0.0,0.06725,0.05738,0.0,0.22948,0.04411,0.06133,0.0648,0.0,0.06027,0.0,0.0,0.03863,0.0,0.04071,0.10504,0.03565,0.0,0.08971,0.23129,0.0,0.06331,0.06986,0.13827,0.1259,0.08282,0.08581,0.13311,0.11995,0.11208,0.06627,0.11576,0.08133,0.11453,0.15721,0.05128,0.06062,0.08312,0.06213,0.1097,0.06936,0.0674,0.12749,0.13206,0.07459,0.0,0.0,0.06542,0.04465,0.06291,0.05968,0.0654,0.05985,0.04213,0.08332,0.12983,0.05089,0.06916,0.4428,0.12321,0.06003,0.04841,0.05395,0.05075,0.06086,0.05896,0.0,0.04213,0.0,0.1313,0.07495,0.04702,0.05122,0.0507,0.0,0.05836,0.05086,0.06962,0.0526,0.04854,0.04597,0.03395,0.07078,0.06354,0.07257,0.0,0.06509,0.04664,0.05213,0.05097,0.05491,0.04724,0.03839,0.04314,0.0,0.06338,0.03885,0.05103,0.05349,0.07128,0.0,0.1326,0.0,0.06973,0.11247,0.10701,0.078,0.0,0.06146,0.07464,0.10655,0.10586,0.0,0.37631,1.35945,0.13289,0.1862,0.82853,1.07635,0.0,0.0,0.86843,0.85107,0.3357,0.14438,0.1573,1.30692,0.17265,0.5147,0.31005,0.52134,0.11257,0.16757,0.08917,0.37633,0.09528,0.12492,0.16919,0.1035,0.15423,0.0,0.11081,0.08291,0.0,0.0,0.16069,0.08406,0.0723,0.05387,0.08513,0.08666,0.09213,0.05925,0.08119,0.09613,0.14362,0.15161,0.2252,0.11463,0.1551,0.07062,0.05472,0.06751,0.09407,0.07295,0.0,0.09203,0.10703,0.0,0.07349,0.12258,0.09386,0.10898,0.08256,0.09488,0.08404,0.05977,0.22071,0.08334,0.11784,0.08713,0.40808,0.24142,0.22149,0.08716,0.12613,0.09415,0.14293,0.06939,0.06985,0.0,0.05572,0.0,0.08182,0.04996,0.05852,0.07335,0.05116,0.05507,0.0464,0.09256,0.06854,0.06937,0.0771,0.06664,0.07449,0.05701,0.05157,0.0,0.07728,0.08859,0.0,0.05318,0.06418,0.12629,0.14573,0.15288,0.09118,0.09335,0.05616,0.05567,0.0915,0.06275,0.0,0.0
-3.5,0.0,0.04373,0.0,0.1557,0.0479,0.0994,0.08277,0.08811,0.05161,0.0649,0.04374,0.06268,0.0,0.06121,0.06085,0.05421,0.0,0.14675,0.04623,0.06133,0.0648,0.0,0.06027,0.0,0.04065,0.0385,0.0,0.04186,0.10344,0.03272,0.04054,0.07191,0.22905,0.0,0.05762,0.07338,0.13502,0.12341,0.07631,0.0812,0.12491,0.11749,0.10396,0.05994,0.09653,0.07636,0.10586,0.13962,0.0481,0.05384,0.08248,0.05698,0.1097,0.06617,0.06745,0.11887,0.11446,0.06506,0.0,0.0,0.06143,0.04437,0.06006,0.05698,0.06154,0.05705,0.0443,0.08332,0.1305,0.04722,0.0699,0.42201,0.11744,0.06003,0.04628,0.04798,0.05102,0.05531,0.05256,0.0,0.04487,0.0,0.1313,0.07559,0.04514,0.04676,0.04899,0.0,0.05681,0.05086,0.06066,0.05128,0.05802,0.04852,0.0351,0.04602,0.06354,0.06477,0.05116,0.06319,0.04454,0.04843,0.04958,0.05134,0.04724,0.03586,0.04017,0.0,0.06077,0.03832,0.06148,0.04677,0.0963,0.0,0.14163,0.0,0.0653,0.11247,0.09672,0.06673,0.0,0.05749,0.07019,0.10655,0.09576,0.06479,0.32447,1.29921,0.12802,0.17138,0.82853,0.94693,0.0,1.0351,0.84765,0.73808,0.34342,0.1329,0.14269,1.22895,0.16497,0.4933,0.27095,0.48806,0.11324,0.16217,0.0852,0.32695,0.0915,0.12282,0.12286,0.09615,0.1447,0.41122,0.1026,0.08782,0.0,0.63687,0.14611,0.07655,0.06868,0.05305,0.08837,0.08666,0.0855,0.05609,0.07552,0.08831,0.13565,0.1433,0.21687,0.10833,0.1551,0.06493,0.05052,0.06634,0.07801,0.06904,0.06897,0.09203,0.10703,0.66421,0.07346,0.1274,0.08912,0.10467,0.08256,0.08594,0.08404,0.05444,0.22071,0.07904,0.11428,0.0766,0.39536,0.24283,0.21094,0.08502,0.12145,0.08642,0.14293,0.06851,0.06517,0.0,0.05272,0.0,0.0836,0.0466,0.05557,0.07015,0.04777,0.0467,0.04451,0.09256,0.06339,0.06223,0.07252,0.06298,0.07073,0.05346,0.06403,0.0,0.0778,0.08859,0.05255,0.04763,0.05841,0.12172,0.14047,0.14012,0.0772,0.09335,0.05489,0.05587,0.08264,0.06031,0.0,0.06668
-3.25,0.04056,0.04206,0.05856,0.1557,0.0471,0.086,0.07708,0.09132,0.04903,0.05608,0.04374,0.06268,0.04528,0.06759,0.06085,0.05039,0.03901,0.12191,0.04076,0.04764,0.0648,0.0,0.06027,0.0,0.04065,0.03723,0.0,0.04186,0.10344,0.03272,0.04054,0.07191,0.18283,0.0777,0.05882,0.07101,0.12402,0.11609,0.07577,0.07203,0.10895,0.10232,0.10197,0.0571,0.08498,0.07106,0.09957,0.13962,0.05085,0.04975,0.07623,0.05403,0.0998,0.05658,0.05667,0.10989,0.07776,0.05876,0.0,0.07393,0.05487,0.04288,0.05589,0.05359,0.05662,0.05389,0.04011,0.07635,0.0947,0.04653,0.0699,0.40935,0.10639,0.06009,0.0461,0.04844,0.04571,0.05531,0.04935,0.0,0.04529,0.03161,0.12809,0.05978,0.04565,0.04365,0.04642,0.05788,0.05326,0.04328,0.05407,0.04479,0.06233,0.04852,0.04403,0.04415,0.05838,0.0567,0.04792,0.05781,0.04207,0.04843,0.04711,0.04916,0.03879,0.03586,0.03544,0.0517,0.05565,0.03799,0.05528,0.0475,0.09671,0.05528,0.14163,0.08507,0.06047,0.06219,0.0943,0.06072,0.0,0.05581,0.07049,0.09032,0.09135,0.06315,0.28904,1.21585,0.11877,0.15392,0.70595,0.92083,1.32364,0.98254,0.81329,0.67509,0.32106,0.12292,0.1396,1.15505,0.15646,0.45721,0.26883,0.45108,0.10658,0.15288,0.07722,0.3223,0.09269,0.11504,0.10021,0.09057,0.12392,0.37918,0.09635,0.08117,0.48856,0.60879,0.14302,0.0735,0.06264,0.05278,0.07796,0.08666,0.0767,0.0489,0.06747,0.08414,0.13596,0.13311,0.20516,0.09415,0.14592,0.06308,0.048,0.0605,0.07059,0.06422,0.0635,0.0674,0.10123,0.60747,0.07134,0.12301,0.08815,0.09857,0.07791,0.07973,0.07921,0.04931,0.18627,0.07355,0.09887,0.07221,0.36807,0.21366,0.19569,0.0813,0.11833,0.08301,0.09559,0.06541,0.06939,0.0,0.05212,0.0566,0.07699,0.04674,0.05142,0.06213,0.04435,0.04457,0.04385,0.08281,0.06299,0.0567,0.06888,0.06029,0.06978,0.04766,0.05513,0.05181,0.0737,0.08859,0.05353,0.04792,0.05521,0.11662,0.13321,0.14558,0.07062,0.0724,0.05091,0.05246,0.07725,0.05279,0.04288,0.06668
-3.0,0.0407,0.04062,0.05211,0.09105,0.04249,0.07765,0.07329,0.07526,0.04482,0.05102,0.03605,0.06268,0.04598,0.05165,0.05094,0.04873,0.03901,0.10562,0.03875,0.04473,0.0648,0.0,0.04961,0.0,0.03638,0.03362,0.0,0.04035,0.10022,0.03027,0.03862,0.06226,0.17828,0.07978,0.06105,0.06976,0.12137,0.10248,0.07186,0.06336,0.10606,0.09674,0.09752,0.05786,0.08017,0.06402,0.09324,0.11944,0.04793,0.04769,0.07602,0.04934,0.07914,0.05276,0.05315,0.09643,0.06906,0.05549,0.0,0.07393,0.0528,0.04172,0.05256,0.04936,0.05665,0.05335,0.03826,0.07635,0.08384,0.044,0.06297,0.36414,0.10212,0.04999,0.04278,0.04723,0.04046,0.05619,0.05161,0.0,0.04181,0.03246,0.1052,0.05592,0.0428,0.04365,0.04291,0.05345,0.05106,0.04177,0.04805,0.0405,0.05555,0.04549,0.04232,0.04775,0.04877,0.05149,0.05217,0.05365,0.03996,0.0463,0.0431,0.05002,0.03879,0.03686,0.03544,0.0517,0.05218,0.03491,0.05195,0.04666,0.0915,0.05213,0.12655,0.07907,0.05927,0.04458,0.09094,0.05842,0.06561,0.04941,0.07006,0.08558,0.08028,0.06115,0.2957,1.09037,0.1139,0.14455,0.6786,0.87191,1.19699,0.92298,0.70009,0.59129,0.30765,0.11132,0.1319,1.10234,0.14834,0.42034,0.25321,0.41285,0.0973,0.1456,0.06979,0.29937,0.0859,0.10843,0.09868,0.08635,0.11066,0.353,0.09235,0.06813,0.46585,0.5615,0.13314,0.06888,0.05648,0.05207,0.07581,0.08666,0.07024,0.04753,0.06184,0.08105,0.11863,0.12466,0.19516,0.08926,0.13854,0.05722,0.04649,0.05198,0.0696,0.05905,0.05982,0.06691,0.08839,0.59615,0.06902,0.10144,0.08384,0.09145,0.07068,0.07752,0.06948,0.0435,0.1633,0.07308,0.09343,0.06931,0.33293,0.20045,0.1905,0.07852,0.10662,0.08061,0.08627,0.0643,0.07086,0.06164,0.05167,0.0547,0.06698,0.04455,0.05011,0.05628,0.04267,0.04159,0.04241,0.08292,0.05769,0.05409,0.06142,0.05713,0.06573,0.04541,0.05629,0.04801,0.06377,0.06971,0.04997,0.04467,0.05129,0.11108,0.1232,0.13284,0.06463,0.06946,0.04906,0.05151,0.0687,0.04798,0.04597,0.06633
-2.75,0.03969,0.03866,0.04994,0.08116,0.04174,0.06318,0.0613,0.07526,0.03937,0.05038,0.0355,0.05447,0.03917,0.05002,0.04408,0.04833,0.03582,0.1045,0.03783,0.03966,0.04612,0.0,0.04201,0.03927,0.03638,0.03383,0.03752,0.0385,0.07838,0.02778,0.03862,0.06231,0.17391,0.06984,0.05633,0.06795,0.11466,0.09397,0.06631,0.05859,0.0989,0.08215,0.08982,0.05659,0.07608,0.06241,0.08814,0.11078,0.04586,0.04435,0.06954,0.04453,0.0735,0.0518,0.05057,0.09345,0.06543,0.054,0.0787,0.07526,0.05045,0.0406,0.04876,0.04494,0.05022,0.05223,0.03677,0.07554,0.07848,0.04245,0.06807,0.31588,0.09262,0.04701,0.03861,0.04278,0.03969,0.04367,0.04167,0.0,0.04053,0.03246,0.08806,0.0543,0.04065,0.04254,0.04245,0.04929,0.04759,0.03909,0.04803,0.03706,0.05555,0.04382,0.03955,0.04635,0.04438,0.04628,0.04389,0.04963,0.04031,0.04438,0.04148,0.04546,0.03796,0.03367,0.03282,0.04839,0.04834,0.03358,0.04802,0.04289,0.08107,0.04712,0.12268,0.06546,0.0568,0.04163,0.08616,0.05578,0.06048,0.04875,0.06252,0.07958,0.07303,0.05791,0.27473,1.00969,0.10752,0.13616,0.62475,0.79306,1.16493,0.85843,0.60862,0.56966,0.29346,0.09465,0.12907,1.07441,0.13745,0.39809,0.23219,0.38108,0.09276,0.13139,0.0682,0.27686,0.08532,0.10314,0.09658,0.07953,0.1056,0.32837,0.08874,0.06522,0.44296,0.52611,0.12485,0.06221,0.05275,0.04867,0.06723,0.08666,0.06732,0.04601,0.05717,0.07723,0.1129,0.11656,0.18056,0.08768,0.13114,0.05566,0.04722,0.04994,0.06701,0.05567,0.0557,0.0606,0.08366,0.5509,0.06374,0.12191,0.08121,0.08766,0.06606,0.0695,0.06293,0.04189,0.15965,0.07069,0.0911,0.06468,0.31682,0.19065,0.17642,0.07051,0.09378,0.07912,0.07857,0.06277,0.06902,0.05617,0.0484,0.05521,0.06302,0.04335,0.04628,0.05424,0.04126,0.04121,0.04065,0.07324,0.05336,0.05186,0.05838,0.05552,0.05997,0.04417,0.05169,0.04817,0.05676,0.06696,0.04653,0.04326,0.04773,0.10401,0.11736,0.12783,0.06341,0.06678,0.04632,0.04839,0.06209,0.04622,0.04181,0.06633
