,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,31.0837,0.62052,0.12095,56.25312,0.97536,0.29033,0.0,2.99211,0.0,4.6921,10.6798,0.0,0.0,0.28074,8.38077,4.59705,0.0,0.30942,0.26795,0.0,13.61557,0.0,0.0,0.0,0.22646,0.0,2.29769,0.0,2.43876,14.65777,0.0,0.7837,25.06815,22.05162,29.92302,2.66555,5.2311,32.81082,12.13436,2.23765,0.0,0.0,35.34476,2.14533,11.21367,0.0,0.0,0.0,0.16701,2.1793,0.0,12.20866,0.1488,7.87366,10.85263,25.33325,5.25495,3.43759,0.93101,2.77216,9.58422,0.0,1.5105,30.57958,2.37904,2.10297,1.38856,0.0,4.09158,13.63403,0.0,1.92022,0.0,17.40464,2.84067,9.12427,2.15901,13.36928,9.65559,0.0,0.0,0.45636,0.58108,8.50339,5.26638,1.91956,0.43075,0.0,0.34823,0.0,0.11776,0.021,16.98303,0.0,6.52364,7.91112,0.39607,12.22377,0.0,0.0,4.84334,2.53802,0.0,0.0,26.9584,0.58155,15.5993,0.59827,3.93793,0.28279,0.612,0.76543,0.0,0.0,1.9509,1.44891,2.62175,5.70673,4.97406,10.54801,5.89148,0.0,0.0,4.89923,4.529,0.23311,12.7175,0.0,0.0,0.0,17.26812,4.35669,15.01174,0.0,0.0,0.0,0.0,8.26574,39.96451,0.0,0.0,0.0,7.66542,8.14551,2.64738,16.47095,1.48617,19.64246,0.0,10.43544,18.701,7.03613,14.54838,67.08837,15.12725,0.0,22.72506,0.0,4.28948,27.97386,21.84313,2.17692,10.98862,0.0,2.48247,7.5209,5.42052,11.58793,38.35373,10.69162,4.83995,4.33173,6.33676,0.0,0.2618,2.01549,0.94961,0.35522,2.08421,1.41017,6.09657,21.27712,0.0,0.0,8.50285,4.00501,3.80553,22.52949,14.03476,2.36287,3.96483,8.77245,3.91105,0.19032,8.2876,0.0,43.07046,4.43803,16.90264,6.32685,1.65859,0.0,5.14689,0.0,0.15368,1.99156,19.42069,0.30888,7.75393,25.2008,0.0,1.804,0.0,0.0,0.13639,0.32876,0.87555,14.48621,0.08858,1.38421,5.57402,1.36418,5.4999,3.49104,21.42682,8.45689,2.63589,31.38668,0.84435,0.95796,2.09086,16.32382,4.09543,1.002,2.29524,13.24049,7.68552,23.16549
-4.75,31.0837,0.62052,0.12095,45.20451,0.97536,0.19367,0.0,1.91099,0.0,4.69211,10.76196,0.16721,0.0,0.28074,8.38078,4.61655,0.0,0.30942,0.26795,0.0,13.6684,0.0,29.84626,26.45321,0.22646,0.0,2.29769,0.0,2.43876,14.65777,0.0,2.64936,25.26423,22.05162,31.5775,2.66556,4.85928,33.59477,10.80455,2.28809,16.67957,0.0,40.06813,2.02116,6.20088,18.51588,0.0,0.0,0.16701,2.28687,0.0,12.61826,2.12223,7.87366,10.85263,22.14243,5.25496,4.619,0.93101,3.79088,5.20901,0.0,1.70363,16.65276,5.54039,2.11685,1.38856,0.0,4.13034,13.63403,1.34856,1.93728,0.0,13.51089,3.57493,9.16909,2.15901,13.88857,9.65559,0.0,0.0,0.45636,0.58108,8.53269,3.57164,5.27419,0.44241,41.06759,0.44617,0.0,0.11776,0.021,16.98303,0.0,6.52364,33.61571,0.39607,12.22378,0.0,0.0,3.695,2.64818,0.0,0.57458,26.9584,0.58155,10.70007,18.56074,3.99383,0.28279,0.612,0.76543,0.0,0.0,2.10569,1.53265,2.47695,4.37858,5.21481,11.0542,5.89148,0.0,0.26633,5.08235,4.83263,0.38733,12.7175,0.0,0.0,25.16293,17.4263,6.44858,15.01244,0.0,0.0,0.0,0.0,20.60443,42.96358,0.0,0.0,7.19264,8.72732,8.16132,1.88883,16.78937,1.36838,20.76518,0.0,10.65584,19.40696,8.16368,15.75478,68.45183,15.26566,0.0,22.83913,0.0,4.36635,29.42816,11.2557,1.93241,10.98863,1.70844,2.48247,7.52091,5.42052,11.93284,38.35373,10.85406,4.83996,4.52717,7.39241,0.95442,0.2618,2.0155,0.94961,0.35522,2.08421,1.41017,4.34051,23.08702,73.98082,0.0,8.21439,3.87939,3.80554,22.52949,14.23305,2.71234,5.30966,7.85287,4.06596,2.33496,8.47117,12.79068,43.07063,4.43803,16.90266,6.3372,1.6586,1.02346,4.41986,0.0,0.24438,2.43493,19.42069,0.30889,7.75393,25.2008,0.0,1.80971,0.0,0.0,1.22268,0.32876,0.87555,14.49509,0.08858,1.38422,5.58962,1.56423,5.70639,3.69594,21.42682,6.42439,2.14234,31.8945,0.85463,4.28324,2.28292,16.48464,4.09543,1.25965,2.58195,14.78669,6.76952,23.43769
-4.5,31.0837,0.62052,0.12095,45.20451,0.97536,0.99712,0.0,1.91099,2.19056,4.69211,10.90279,3.66809,12.55265,0.28074,8.38078,6.77542,0.0,0.30942,0.26795,2.40736,13.6684,0.0,29.84626,26.45321,11.62732,0.0,2.29769,0.0,2.43876,14.65777,0.0,7.21538,22.84777,13.21025,31.93203,2.97292,4.80437,33.9367,11.06585,2.7249,16.9278,0.0,40.06814,2.08334,6.23131,13.53541,0.0,0.0,0.16701,2.34067,0.0,10.66382,2.12223,12.05422,10.99835,23.11761,4.55166,4.31212,0.93101,3.89252,5.40301,0.0,1.70363,16.65276,5.62789,2.11685,1.38856,0.0,4.13034,8.52908,1.34857,2.23347,0.0,13.5109,3.61846,9.16909,2.15901,13.92067,12.6791,22.01151,1.38646,0.48262,0.61076,9.65398,2.19211,4.77434,0.99805,20.93055,0.44617,0.0,3.51468,0.021,10.16789,0.0,6.52364,22.71905,5.11502,12.22379,0.0,0.0,3.02466,2.64818,0.0,1.15731,27.06896,0.58155,9.65678,16.48722,3.99383,12.21788,3.30996,0.76543,16.91594,0.0,1.98069,3.82408,2.4888,3.34647,5.8152,11.43703,5.89148,0.0,0.26633,4.76589,4.25057,0.76627,12.82707,5.29852,0.0,25.29242,17.55085,7.14969,15.01246,0.0,0.0,0.0,0.0,22.5819,43.32264,0.0,0.0,7.19264,15.1426,14.75093,1.57763,18.01957,2.39635,20.875,24.77202,19.61688,16.78627,14.28806,15.75488,70.61612,15.63831,0.0,56.61511,0.0,4.8996,30.45969,11.39549,1.93241,10.50783,1.70844,2.09965,7.64702,3.33003,17.98475,38.3952,13.9153,3.16182,4.46718,6.33269,1.32299,0.2618,2.0155,1.38906,1.28762,2.08423,1.1609,4.21429,24.52379,74.10202,6.17371,8.39144,2.91982,4.05962,16.77447,14.32772,3.49566,5.33325,7.12076,3.91051,4.0877,7.61377,15.13487,43.07092,4.32189,16.90267,6.45385,3.02779,0.74038,7.24911,0.0,0.27552,2.09357,19.4207,0.60015,10.30224,17.29548,0.0,1.831,0.0,0.0,1.22543,6.28703,1.04975,14.90352,4.78573,1.11764,5.58962,3.08393,4.62634,5.52074,21.42942,6.42439,2.90698,42.10474,0.90165,8.91636,2.1081,17.15932,4.14206,1.34336,2.58195,11.45504,6.83355,23.85633
-4.25,20.84014,8.15765,0.12095,45.20451,3.03988,0.89357,0.0,42.24963,8.87428,4.95228,10.93033,12.59719,8.09221,51.15189,7.36469,6.80431,0.0,0.30942,0.26795,2.40736,14.58552,473.63527,29.84626,10.46373,11.62732,15.67857,34.60987,102.94148,1.83179,14.65777,34.03195,7.23366,23.54874,13.21025,32.03653,7.23982,4.48478,34.81155,9.99279,2.78125,21.66654,22.08976,40.49578,2.39221,4.96039,14.52864,5.26078,0.0,0.16701,1.96237,0.0,10.69842,2.12223,12.13523,11.44569,23.3473,5.01106,6.58255,1.03512,3.72402,7.86797,0.0,2.30492,16.65276,4.54486,2.11685,1.40148,0.0,3.05049,8.00851,1.34857,2.15309,32.7919,26.84298,3.20795,9.16909,2.18139,18.49801,13.65757,22.01151,2.64851,0.50548,0.61076,9.71964,4.19501,4.17048,0.8651,20.93055,0.47377,8.63577,3.51468,5.67327,31.2043,0.0,6.52364,22.71905,8.78761,22.25691,3.71031,0.0,3.42054,1.41478,0.0,5.2868,27.06896,0.58155,9.65678,19.18616,6.88938,11.96632,2.53464,0.76543,24.66011,0.0,2.10474,3.23434,2.34632,3.34647,6.50523,11.49954,5.89148,0.75915,0.26634,4.97171,3.725,0.66807,23.5112,5.94186,0.0,14.63611,17.76232,7.6611,15.0426,0.0,46.05695,0.0,0.0,17.59373,44.60182,0.0,0.0,22.70196,15.19203,16.55313,1.38276,15.2572,2.16046,21.11665,14.13792,19.85041,16.14564,14.28815,11.80856,74.25781,16.28652,8.6645,59.44072,0.0,5.35483,30.64905,13.1408,1.55295,9.8851,1.02868,1.98116,7.07053,3.50679,18.60594,55.16493,14.16578,3.16182,4.16198,6.40284,1.36806,0.2618,2.0155,2.59939,5.50289,2.60161,1.38446,3.9418,25.32457,74.61611,6.3367,7.60458,2.97223,4.05962,16.83537,14.43847,3.8587,5.00024,7.15939,3.37536,3.93491,7.85202,23.58974,44.23575,4.32189,16.90269,6.57525,3.05298,0.88445,6.48497,0.0,0.27552,1.99553,19.4207,1.17611,10.30224,17.29548,0.0,1.831,0.0,16.74396,1.22543,6.28703,1.89984,15.16836,4.78573,3.64297,4.22312,3.08393,4.62634,5.11867,10.53843,5.89307,2.72619,42.79337,0.97181,6.26555,2.32388,17.28577,4.01985,1.49257,3.1607,10.23982,5.74611,20.13587
-4.0,20.84014,7.3419,12.3171,36.35081,4.44983,0.72433,13.06214,47.03053,9.02927,4.95228,10.93459,28.01625,8.60194,51.28065,10.58671,6.80431,0.0,0.30943,22.79583,2.40736,14.58552,473.63527,29.84626,8.49836,7.82213,13.07118,34.78074,43.28754,6.51255,14.65777,121.45182,7.24805,24.02269,14.84717,35.34561,7.53701,4.60892,35.33845,11.38663,2.26603,22.46747,23.09939,40.55862,2.51971,9.70885,14.63952,5.29217,1.15553,0.16701,2.06678,0.0,8.45193,2.52963,6.98088,11.44569,25.28926,5.01943,5.91149,1.03512,3.49208,6.927,1.35422,2.87204,14.15701,4.54486,2.11685,1.40148,0.0,3.08749,8.77589,1.34857,1.93153,33.17464,22.18827,2.99722,9.16909,2.64367,16.50526,10.12024,22.01151,2.68309,2.71517,20.0583,11.01624,3.61696,3.80293,0.91123,20.93056,2.5818,4.92989,12.55685,5.67327,24.90453,53.34994,6.52364,22.75789,8.78762,12.14386,6.35711,17.00727,3.26225,6.87815,0.0,6.43295,27.06896,0.58155,8.16466,19.18616,6.96056,8.94656,7.18154,0.86176,24.67893,0.0,1.80324,3.76795,2.11976,3.26704,6.51037,10.47412,5.89148,0.91332,3.16696,5.04474,4.03465,3.33225,24.09613,6.99588,20.67813,15.09525,9.77976,11.80798,22.90208,0.0,47.40466,0.0,0.0,17.86264,44.60182,0.0,22.22904,23.3001,18.35282,17.47568,1.42618,15.95558,1.95988,13.74782,15.31031,32.49794,16.14569,11.53054,12.19295,93.66421,16.46477,8.6645,43.03382,0.0,5.17445,30.82254,11.35772,7.9189,9.74163,0.77506,2.21839,6.62069,3.14742,20.38882,44.8846,14.35695,2.11865,4.20272,5.69097,3.03988,0.2618,2.0155,2.59941,5.50289,2.60162,1.32874,4.00106,25.5113,75.03013,12.05002,6.72254,2.4793,12.50336,16.83537,6.96699,3.87646,4.78949,7.22987,3.17924,3.48029,6.93899,35.1017,48.94817,4.01249,12.23139,8.35491,3.22815,2.74788,7.0386,0.0,0.27552,2.12021,19.4207,1.3193,10.30873,17.30941,0.0,1.831,0.62627,10.56348,2.34231,4.43439,2.17324,15.34098,5.39643,3.66943,4.22312,12.55149,3.51254,3.95584,10.53843,5.22942,5.12365,81.58308,1.70825,4.6626,2.08678,14.30453,4.23032,1.40112,6.27079,10.24308,8.68973,20.34235
-3.75,16.98891,7.09879,15.83527,36.35303,13.90317,2.38179,9.57892,30.02332,23.79897,16.60787,10.93459,23.35628,15.04783,34.33803,9.78385,9.43698,0.0,0.30943,24.17144,2.40736,21.08371,480.37217,29.84627,15.78552,6.15826,31.38052,30.19408,43.28754,6.51255,8.31459,125.68358,7.24805,24.30551,14.84717,36.37562,8.94332,4.54908,37.57855,9.40049,2.3291,22.60183,30.11724,40.68025,2.99346,7.58956,16.57676,3.82816,8.53904,17.40404,3.49595,9.07738,12.54167,2.52969,7.05014,11.25368,25.66123,5.16109,5.2149,5.53677,2.9852,10.17635,13.40779,5.89697,15.59588,7.98571,1.74587,1.40148,0.0,3.08749,8.85847,43.70693,2.56511,64.20781,22.51218,3.58932,9.16909,4.67114,13.9798,10.0115,22.01151,2.728,2.71517,17.01223,10.22928,4.72027,3.80293,1.76405,20.93056,2.89997,4.92989,24.21173,5.67327,25.11566,53.34994,13.96583,17.80619,9.67155,8.43511,12.46668,17.00729,3.37635,6.59423,0.0,5.34817,29.16219,8.22969,8.16466,22.53779,6.99193,8.08311,5.70801,1.55031,25.65896,10.63963,2.25603,4.02699,2.17632,2.85331,9.86198,6.93861,5.89148,0.77002,2.72164,4.26245,4.06138,2.90149,33.68005,8.09829,27.75846,16.03204,10.43679,6.65462,24.49296,11.68832,48.69468,0.0,14.18314,22.28516,44.67877,0.0,19.71905,23.3004,18.85213,19.90814,1.75138,16.18161,1.92621,13.96986,28.28898,33.2211,16.86027,11.59908,17.31788,60.40033,17.13796,8.6645,43.56233,0.0,5.66193,30.90738,9.04453,7.92088,9.77926,0.79,6.01772,5.95467,5.22501,30.63645,38.23097,11.86499,2.18238,4.77223,5.08018,2.29932,0.2618,2.20105,2.26602,8.65833,4.89257,1.76423,4.25985,21.94907,76.93085,9.0639,7.06595,2.24109,13.45842,16.83537,7.2877,4.76104,4.45367,7.62231,2.46382,3.53433,6.69054,36.92343,49.74395,5.80019,10.6825,6.0247,2.95196,2.91638,7.0386,0.97159,0.23412,2.41508,19.4207,4.65568,11.54303,10.85502,25.93119,1.831,0.62627,10.56348,4.42302,6.34169,2.38187,16.04956,5.42503,3.69575,3.99634,17.02915,3.96383,4.56878,10.15531,6.24862,5.16049,81.96022,1.6154,4.46326,3.30563,14.84963,4.25577,2.42147,7.56593,19.27974,8.37727,16.28816
-3.5,15.19609,11.73393,29.07222,29.45186,30.74609,2.54623,9.63358,28.92142,22.44803,21.12236,36.91867,21.94523,26.35886,36.97506,11.59064,6.77294,0.0,0.30943,24.21898,2.40736,22.39773,481.01576,17.49521,15.79147,6.15826,31.38052,30.19408,45.3584,5.54354,8.31459,125.68358,5.46552,24.60476,11.478,37.35217,8.78554,4.35995,37.7542,9.62582,2.88948,23.04985,25.81019,40.74635,2.56199,9.56583,14.36273,3.03402,6.95347,15.45556,3.17548,9.07738,11.73574,2.52969,5.89028,12.6731,23.83506,4.30113,4.64799,5.04769,3.85852,8.53438,13.40779,10.85002,13.68662,7.08895,1.84165,4.33765,0.0,3.08749,8.34121,32.81979,2.25801,88.61342,17.68274,6.36323,9.16909,7.81671,13.56522,9.40639,60.63795,2.3987,2.92893,17.03431,8.25345,7.21856,3.39307,4.02435,21.09497,4.19304,3.84639,14.06282,7.77819,26.29951,40.46189,45.86852,27.2175,11.46282,12.73379,11.11744,17.00736,3.40995,5.58404,0.0,16.3474,29.41917,8.26576,12.6313,20.33958,7.60079,7.3138,7.36335,2.51865,20.64866,7.91789,2.27236,6.99847,2.16296,3.20116,10.19839,7.3197,5.89148,1.4055,2.43267,3.92398,4.59945,2.623,40.22981,8.69042,24.27587,15.74547,11.22584,18.89767,25.00212,7.67684,61.72248,0.0,17.69056,23.06596,24.99528,0.0,20.17282,29.32021,20.45288,22.41182,2.15118,16.44834,1.71721,14.1326,29.22728,33.56574,16.44699,12.28353,18.14775,60.44556,13.40822,3.50715,44.73047,37.73726,6.39311,31.1847,8.13732,7.98937,9.92136,1.87024,5.36498,5.32093,5.34735,30.97543,38.45514,11.9575,2.32116,4.90477,4.76471,5.72152,1.80963,2.18682,5.22784,8.68361,3.9536,1.60499,4.29506,22.43961,80.00368,8.09207,7.48457,2.15715,20.9282,10.98749,7.47201,4.13945,4.51969,7.68564,2.41509,3.56438,6.81113,38.27194,45.62927,4.30277,9.00394,4.69281,4.02846,3.3141,7.04486,4.02243,3.47603,2.48132,11.78018,4.65568,13.73237,10.05092,19.92589,2.7576,0.62627,8.80111,10.05553,7.60166,3.49962,16.18391,6.82975,6.88186,3.66728,13.16976,3.2246,8.48983,8.5133,6.24862,5.26163,44.96441,3.0993,3.56444,3.32421,18.42677,3.64368,4.68007,6.59259,11.62327,8.38656,13.84775
-3.25,14.98725,11.49794,20.68594,22.44979,27.36197,6.57124,14.70506,22.0546,19.7026,20.50699,23.73041,30.53111,37.39264,24.66905,10.22759,5.25439,0.0,0.30943,19.48695,3.073,19.37339,519.9746,17.17075,15.79147,5.90334,32.86019,27.01304,38.57194,5.57759,9.4747,86.12186,10.83724,25.18627,12.98305,24.2048,9.10977,4.07799,39.04386,9.84425,2.80165,26.56394,24.36363,31.76866,2.33585,7.89168,23.7412,9.67473,6.27828,17.30514,2.9218,10.8079,11.11697,5.79776,9.43647,12.12346,22.99479,3.69878,4.65963,4.79229,3.46153,8.80731,13.43729,9.56528,21.10181,7.43047,12.83109,4.38297,35.67349,2.5291,6.87133,29.06681,2.62765,63.20657,18.88471,5.96767,9.16909,7.06148,15.40024,11.65647,33.79536,4.28074,2.80342,32.47906,8.3644,8.11825,4.2447,3.43008,16.00583,7.50993,4.20817,11.47172,7.77819,26.29951,44.50002,39.23947,24.74476,9.3102,11.69257,10.07366,17.00736,2.86242,5.58404,33.1925,15.52951,23.40717,10.46783,15.76723,18.10872,6.9044,8.83879,7.36335,8.95671,16.74721,18.62264,2.15957,7.13605,2.37653,3.45277,10.25776,7.22648,4.48284,2.44412,2.72846,3.10702,5.17235,4.33292,39.51109,12.54883,20.73644,15.56602,11.99531,15.34589,27.24944,8.38364,38.28765,0.0,14.60537,21.39816,25.76662,22.00215,20.9039,26.23431,28.94566,23.64325,4.93713,13.67126,1.38344,10.06016,24.93143,23.84354,17.22994,10.35244,14.37857,37.10054,11.07965,4.7623,34.92403,22.90104,6.01566,31.30646,7.8025,10.60429,10.69369,3.76574,6.64561,5.99329,8.81457,25.00241,38.95225,15.62456,2.74646,4.68721,4.52106,5.16142,5.5417,2.75292,4.85995,8.84932,6.75536,1.7958,4.30644,19.58214,46.51933,10.51515,7.03559,2.12905,16.51304,10.99376,7.53804,3.86318,4.20887,7.35732,2.39278,3.30823,6.68673,45.34574,26.58444,4.0121,8.21889,3.3956,7.21995,3.96719,6.29579,4.02243,6.61156,2.29833,7.92284,5.12361,12.28187,7.74441,19.86045,5.36166,16.18348,8.39216,10.54089,11.42159,4.98852,16.18393,6.16896,7.77407,3.7223,13.16976,4.38588,10.8062,7.24461,5.27537,5.26163,48.33398,2.97339,2.84085,2.95891,19.8226,3.58508,6.01159,6.59743,12.00222,9.84508,13.42032
-3.0,13.14712,10.44971,15.39206,21.48267,20.98464,8.18238,13.18408,20.90267,19.80461,19.4143,22.42497,30.57225,37.38364,17.68016,6.95166,5.25439,72.05245,19.77772,19.07949,9.84312,19.05903,548.78814,14.59677,15.84312,5.91769,43.26758,64.2382,39.03692,22.74724,12.13633,88.81715,10.0859,25.85609,13.05487,25.72619,7.713,4.51613,39.0439,8.58252,2.51236,23.88696,25.222,19.01151,2.44595,6.79455,25.05461,9.21094,8.5096,16.09488,6.71484,17.38901,9.2392,5.96508,9.82569,12.31133,18.66506,3.97413,4.50986,7.0279,3.6204,7.88519,10.00242,10.16734,18.55547,6.49752,11.65186,7.48305,28.14398,7.64513,11.66029,24.89544,2.70354,64.2718,18.92043,7.92631,4.87677,7.06148,12.60958,11.65647,35.87221,9.1884,8.40197,32.11264,9.83811,7.54305,4.41994,3.18711,9.8904,8.47166,4.54706,11.03078,8.19521,28.3019,39.23032,42.06596,24.83011,11.03579,13.24987,8.29609,8.51449,3.21984,6.06905,10.25614,14.92734,28.35465,45.02467,35.63089,16.12208,7.04204,8.25275,5.72463,8.68502,19.04996,15.34732,2.38596,6.61783,2.32424,4.63151,10.56237,6.05101,3.66888,2.25112,2.94041,3.2201,4.74123,3.98751,28.25187,21.9786,21.28581,19.3636,14.40545,17.34421,28.15859,9.34373,31.37907,0.0,20.17054,22.94902,26.76199,43.69616,29.7546,24.07105,16.49798,18.89993,4.08723,11.18585,1.54013,8.25321,28.44677,20.88834,16.94375,9.00261,14.7279,47.86694,11.68564,6.69943,36.62949,29.48951,6.14857,23.94923,7.37987,10.10955,9.31096,5.04819,7.56651,6.08056,6.28339,24.71907,34.6247,15.72791,2.07173,4.39312,4.21614,4.41535,6.62105,4.10519,5.82689,10.07773,9.26322,3.74706,2.96324,17.97672,28.61253,10.73996,6.94409,2.24011,10.63741,8.57796,6.05078,4.38681,3.83278,7.02002,2.37637,2.86314,6.24645,28.73732,25.91426,3.32017,8.10331,3.44623,5.73347,4.21315,8.48621,18.59583,8.34672,2.37632,25.67508,4.60932,10.51942,12.56468,15.60013,7.37747,32.00639,11.63352,13.81193,13.2749,4.98852,17.86885,5.98063,6.60824,3.75951,11.85454,4.38588,9.27857,6.21112,5.51037,6.06373,49.77227,2.75387,2.45741,3.15704,16.14637,3.35777,5.44127,6.31541,10.13294,10.59806,12.41737
-2.75,9.38397,10.6093,12.65505,17.80066,13.16403,7.81469,19.15519,17.01265,16.10643,19.70692,19.25024,23.16394,24.94898,17.28652,6.99619,6.62308,30.3003,38.63241,20.45266,8.28411,19.05903,548.78814,14.59677,15.24643,8.40309,48.08186,47.73519,40.56601,23.62785,13.77756,57.90364,8.03217,16.69613,10.46375,18.11671,6.65201,4.56407,33.28679,7.84836,3.34776,19.44913,24.66221,20.943,2.40788,6.67191,21.04295,8.73166,9.40428,15.46704,5.53598,20.27184,7.13999,7.35392,8.09071,11.76869,18.58591,3.72705,4.86982,5.84744,3.94244,7.04328,4.96235,10.55266,16.15834,6.83511,13.95574,13.68657,31.52133,13.12551,13.23196,19.91271,2.55803,63.17407,19.29991,9.6244,4.9876,8.50897,11.61333,12.57569,24.1799,9.6026,8.14823,27.64435,9.65003,7.61226,4.01332,4.53454,8.86558,8.23285,4.07088,15.4476,16.38235,26.20563,23.08076,30.49675,18.3286,10.10343,11.3946,8.69634,9.18761,3.54814,5.97887,8.84909,11.92817,20.84609,36.81671,26.83553,14.80727,7.39182,8.25275,7.85601,9.29493,24.17105,18.43416,2.85542,6.08652,2.28802,4.34544,11.56536,6.33973,2.96056,4.01418,2.82975,2.45552,4.5308,7.73378,27.27705,19.61805,21.49446,25.58685,17.60679,20.91668,29.73927,11.84639,32.73618,10.38535,20.42497,22.09843,26.53334,36.21213,32.73387,19.94195,16.99125,17.31438,4.42411,10.91528,1.61166,6.84328,23.75001,20.3409,14.79788,7.25943,16.15221,53.96039,10.97626,5.90687,41.37154,30.34104,5.5657,20.3437,6.35311,10.38446,7.60291,5.83818,5.97,7.17385,6.66849,23.89878,26.22875,11.31442,3.24192,4.22738,3.85952,3.86086,5.43201,3.95991,7.44997,10.44036,10.68094,4.27191,3.24039,17.08014,30.19452,9.12828,6.73775,2.23174,14.25937,8.58515,5.57683,4.21346,3.71703,6.61302,2.25092,2.71797,5.15853,26.32541,25.12028,4.19899,7.17097,3.2182,5.19064,3.36471,7.48963,14.51714,8.8405,2.46558,31.29053,6.88237,11.27574,10.71371,13.57877,7.37747,18.91211,11.64313,13.89972,14.44186,4.59319,11.07741,5.98063,7.05071,4.05562,10.27514,4.20061,8.9011,6.21112,5.11904,4.87306,51.49239,2.5439,2.43548,3.14889,14.91701,3.10422,4.93175,5.42709,11.2155,8.33754,12.71199
