,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.0,0.0,0.13526,0.0613,0.0,0.07034,0.13736,0.06445,0.06135,0.0,0.07726,0.0,0.0,0.0,0.07997,0.0,0.21729,0.08689,0.05766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836,0.0,0.0,0.08442,0.0,0.0,0.07974,0.07946,0.0,0.0,0.13124,0.15959,0.0,0.0,0.15444,0.15907,0.32159,0.0,0.585,0.17554,0.0,0.13806,0.18358,0.0,0.14004,0.09897,0.09763,0.0,0.14183,0.11503,0.18795,0.17954,0.07508,0.0,0.09425,0.0,0.0,0.13755,0.0,0.0,0.24768,0.0,0.10159,0.0,0.0,0.0,0.09297,0.0,0.0,0.0,0.0,0.10641,0.0,0.0,0.12566,0.09848,0.10603,0.0,0.0,0.0,0.0,0.0,0.10039,0.0,0.0,0.0,0.0,0.06148,0.0,0.09044,0.0,0.11677,0.0,0.0,0.0,0.0,0.0,0.07543,0.0,0.0,0.0,0.0,0.0,0.0,0.11421,0.0,0.12376,0.0,0.0,0.0,0.0,0.1138,0.10789,0.0,0.0,0.0,0.08687,0.11126,0.0,0.0,0.0,0.28249,0.0,0.0,0.0,0.0,1.37284,0.0,0.0,0.30512,0.0,0.0,0.0,0.0,0.0,0.0,0.22513,0.25483,0.09642,0.0,0.26567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14587,0.0,0.0,0.0,0.0,0.07871,0.1402,0.18664,0.2265,0.48497,0.0,0.16637,0.0,0.08337,0.0,0.0,0.1219,0.0,0.08946,0.0,0.17373,0.0,0.13398,0.28925,0.33015,0.2165,0.0,0.11654,0.0,0.11867,0.38204,0.0,0.26745,0.0,0.7457,0.0,0.77279,0.1393,0.0,0.0,0.09214,0.0,0.12176,0.0,0.09215,0.0,0.0,0.0,0.10138,0.16304,0.0,0.0,0.0,0.0,0.09921,0.10646,0.10448,0.08437,0.10144,0.0,0.09336,0.0,0.11557,0.09338,0.0,0.05808,0.08677,0.17033,0.30564,0.0,0.11006,0.09202,0.0,0.0,0.07795,0.0,0.0,0.12427
-4.75,0.0,0.0,0.08056,0.13526,0.0613,0.0,0.07192,0.1175,0.06445,0.06135,0.0,0.07726,0.0,0.0,0.0,0.07686,0.0,0.21729,0.08689,0.05766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836,0.0,0.0,0.05518,0.0,0.08967,0.07974,0.07219,0.0,0.0,0.12246,0.1099,0.0,0.18637,0.18331,0.15387,0.32159,0.0,0.585,0.17334,0.09466,0.13806,0.18358,0.0,0.13683,0.09897,0.09763,0.0,0.14183,0.11503,0.18795,0.17628,0.07402,0.0,0.09425,0.0,0.08338,0.13755,0.0,0.0,0.24768,0.11451,0.09504,0.0,0.0,0.0,0.09624,0.07084,0.0,0.0,0.0,0.10641,0.0,0.0,0.12566,0.09848,0.0803,0.0,0.0,0.0,0.0,0.0,0.10039,0.0,0.0,0.0,0.0,0.06148,0.0,0.08398,0.0,0.11677,0.0,0.0,0.0,0.0,0.0,0.07543,0.0,0.06631,0.06371,0.0,0.06674,0.0,0.11233,0.06426,0.09285,0.0,0.0,0.0,0.0,0.1138,0.07884,0.07271,0.0,0.0,0.08687,0.10767,0.0,0.0,0.0,0.28249,1.12356,2.76092,0.0,0.0,1.37284,0.0,0.0,0.29245,0.0,0.0,0.0,0.73657,0.0,0.0,0.22513,0.2294,0.10198,0.0,0.25202,0.0,0.0,0.0,0.0,0.0,0.0,0.12825,0.0,0.0,0.0,0.0,0.13702,0.0,0.0,0.0,0.0,0.09581,0.12501,0.17846,0.20184,0.48497,0.0,0.16637,0.0,0.0792,0.0,0.0,0.1219,0.0,0.08946,0.0,0.1696,0.0,0.1383,0.28925,0.32171,0.2165,0.0,0.10491,0.0,0.09959,0.38204,0.0,0.25078,0.08695,0.70422,0.0,0.74794,0.13336,0.0,0.0,0.08377,0.0,0.12176,0.09336,0.08378,0.0,0.0,0.0,0.09932,0.16304,0.0,0.0,0.0,0.0,0.09921,0.10646,0.10312,0.07426,0.09333,0.0,0.08832,0.0,0.11375,0.09338,0.0,0.05808,0.09091,0.17033,0.28907,0.0,0.10796,0.09202,0.0,0.0,0.07795,0.0,0.0,0.12427
-4.5,0.0,0.11445,0.08056,0.13526,0.05799,0.0,0.07192,0.1167,0.05804,0.05489,0.0,0.07726,0.0,0.0,0.0,0.07579,0.0,0.21729,0.08689,0.05766,0.05756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0836,0.0,0.0,0.05518,0.0,0.08635,0.07974,0.07219,0.0,0.0,0.12246,0.1099,0.0,0.18133,0.18331,0.14004,0.3149,0.0,0.585,0.18106,0.08654,0.13806,0.18358,0.0,0.13683,0.09897,0.09763,0.0,0.1366,0.11503,0.18795,0.17628,0.07402,0.0,0.09425,0.06775,0.08338,0.13755,0.0,0.0,0.24768,0.11451,0.08834,0.0,0.0,0.07465,0.09461,0.07084,0.0,0.0,0.0,0.10641,0.05791,0.0,0.12566,0.08838,0.0787,0.0,0.0,0.0,0.0,0.0,0.09716,0.06835,0.0,0.0,0.0,0.05664,0.0838,0.07745,0.0,0.11677,0.0,0.0,0.0,0.0,0.0,0.07543,0.05595,0.06631,0.06371,0.0,0.06674,0.07078,0.11233,0.07102,0.09285,0.0,0.10421,0.0,0.0,0.1138,0.07884,0.07271,0.0,0.0,0.09232,0.10409,0.0,0.0,0.4562,0.25583,1.03628,2.76092,0.0,0.0,1.37284,0.0,0.0,0.27554,0.0,0.0,0.57435,0.72907,0.0,0.0,0.22513,0.2294,0.09828,0.0,0.22849,0.0,0.0,0.0,0.23239,0.0,0.26528,0.12825,0.0,0.0,0.31465,0.10318,0.1357,0.0,0.0,0.0,0.0,0.0955,0.12501,0.17449,0.18951,0.48497,0.0,0.16637,0.0,0.07406,0.0,0.0,0.1219,0.0,0.08946,0.0,0.15721,0.0,0.11884,0.28925,0.30061,0.19048,0.11974,0.10491,0.0,0.09959,0.36001,0.08286,0.2341,0.08695,0.65035,0.0,0.7107,0.13336,0.0,0.15989,0.08377,0.0998,0.09748,0.09336,0.08378,0.0,0.0,0.0,0.08896,0.16304,0.0,0.0,0.0,0.0,0.09921,0.10646,0.09772,0.07426,0.09333,0.0,0.08832,0.0,0.11375,0.08654,0.0,0.05704,0.08272,0.15967,0.28907,0.0,0.1037,0.07675,0.08378,0.0,0.07795,0.0,0.0,0.11183
-4.25,0.0,0.0859,0.08056,0.13526,0.05584,0.0,0.07192,0.11589,0.0597,0.05489,0.0,0.06761,0.0705,0.0,0.0,0.07206,0.04802,0.21729,0.08689,0.05444,0.05756,0.0,0.0,0.0,0.0,0.07025,0.0,0.0,0.0836,0.05116,0.0,0.05518,0.0,0.08847,0.07119,0.06831,0.0,0.0,0.09808,0.10452,0.39807,0.17462,0.18331,0.13917,0.24781,0.0,0.585,0.14111,0.08654,0.10576,0.18358,0.0,0.13683,0.09897,0.09763,0.50542,0.1366,0.11503,0.15554,0.17628,0.07402,0.0,0.09425,0.06775,0.08338,0.11838,0.0,0.0,0.24768,0.09322,0.0867,1.34033,0.4395,0.07141,0.09461,0.07084,0.0,0.05123,0.05447,0.10641,0.05791,0.0,0.11278,0.08488,0.0787,0.0,0.0,0.05744,0.08651,0.0,0.08095,0.06835,0.04527,0.06512,0.0,0.05664,0.0838,0.07745,0.06803,0.11075,0.07112,0.0,0.05275,0.0,0.05253,0.07543,0.05595,0.06631,0.06304,0.05696,0.0567,0.07078,0.10562,0.05753,0.09285,0.10812,0.10421,0.0,0.0,0.1138,0.08013,0.07271,0.10373,0.0,0.09508,0.10409,0.0,1.64846,0.44484,0.27477,1.04421,2.52974,0.0,0.0,1.10854,0.0,0.0,0.27131,0.0,0.0,0.55141,0.64675,0.0,0.0,0.17707,0.20751,0.09636,0.0,0.2168,0.0,0.21883,0.28203,0.22485,0.0,0.27862,0.11328,0.0,0.0,0.30681,0.1031,0.11904,0.07686,0.11199,0.0,0.09976,0.0955,0.11447,0.17053,0.17718,0.48497,0.0,0.15899,0.0,0.07302,0.07463,0.0,0.11649,0.0,0.07324,0.0,0.15308,0.0,0.11884,0.2757,0.29217,0.19482,0.11546,0.10204,0.0,0.09959,0.338,0.08072,0.22576,0.07868,0.66692,0.0,0.67762,0.11551,0.0,0.13701,0.07959,0.0998,0.09644,0.08912,0.07541,0.0,0.08789,0.0,0.09103,0.12327,0.0,0.07013,0.0,0.0,0.09921,0.10646,0.09637,0.07755,0.0751,0.0,0.0873,0.0,0.11375,0.08654,0.0,0.05704,0.08272,0.15897,0.25182,0.0,0.0995,0.07675,0.08368,0.09496,0.07126,0.0,0.0,0.11183
-4.0,0.0,0.0859,0.06931,0.13526,0.05538,0.0,0.06635,0.11268,0.05809,0.05167,0.0,0.06435,0.0705,0.0,0.05774,0.07045,0.04482,0.21729,0.08689,0.05122,0.05437,0.0,0.04468,0.0,0.0,0.07025,0.0,0.0,0.06427,0.05114,0.05113,0.05304,0.0,0.08679,0.06566,0.06425,0.0,0.0,0.09594,0.10333,0.39118,0.17127,0.13993,0.13916,0.21607,0.08328,0.585,0.13319,0.08158,0.10576,0.14706,0.0,0.13683,0.09897,0.09763,0.52763,0.12161,0.11503,0.15554,0.15509,0.07402,0.06192,0.08622,0.06775,0.08338,0.07996,0.0,0.0,0.17652,0.09158,0.08506,1.34033,0.42958,0.06494,0.08973,0.05635,0.0,0.04964,0.05447,0.10641,0.05791,0.0,0.11278,0.08487,0.07172,0.0,0.0,0.05425,0.079,0.05904,0.08095,0.06835,0.04527,0.06512,0.0,0.05502,0.06018,0.0763,0.06479,0.10535,0.07112,0.05612,0.05275,0.0,0.05088,0.07543,0.05595,0.06962,0.06458,0.05615,0.05504,0.06735,0.1006,0.05575,0.08941,0.0959,0.10421,0.0,0.0,0.09925,0.0764,0.07271,0.08184,0.0,0.08743,0.10412,0.0,1.51671,0.41844,0.25652,0.9017,2.34648,0.0,0.0,0.99006,0.0,0.0,0.25013,0.0,0.0,0.52848,0.63927,0.0,0.62609,0.18077,0.20525,0.09557,0.0,0.2051,0.0,0.21883,0.24002,0.20029,0.0,0.27482,0.10705,0.0,0.0,0.29112,0.1031,0.1098,0.06994,0.10409,0.0,0.08983,0.08598,0.10346,0.15064,0.17718,0.48497,0.28634,0.14192,0.0,0.07302,0.07463,0.0,0.11277,0.0,0.07324,0.0,0.14894,0.0,0.11452,0.2757,0.27528,0.17101,0.11332,0.10204,0.0,0.09535,0.338,0.08296,0.22159,0.07664,0.60895,0.0,0.64455,0.11146,0.0,0.12527,0.0768,0.08733,0.09644,0.08488,0.07541,0.0,0.08789,0.07076,0.08277,0.12327,0.05802,0.07228,0.0,0.0,0.08266,0.0881,0.09501,0.07087,0.0751,0.0,0.07447,0.07153,0.10872,0.0775,0.0,0.05253,0.07965,0.1484,0.2394,0.0,0.09586,0.07286,0.0795,0.07834,0.06748,0.06443,0.0701,0.11183
-3.75,0.0,0.0625,0.06931,0.13526,0.05274,0.0,0.0581,0.11268,0.05809,0.04844,0.0,0.06436,0.05928,0.07674,0.05295,0.07206,0.04482,0.15328,0.05312,0.04483,0.05437,0.0,0.0455,0.0,0.0,0.06706,0.04487,0.0,0.06267,0.05114,0.04793,0.05,0.0,0.07841,0.06629,0.06222,0.0,0.30019,0.09283,0.0927,0.34299,0.16203,0.13993,0.13224,0.19674,0.08724,0.585,0.13386,0.08081,0.10576,0.12722,0.06745,0.13683,0.09897,0.0836,0.37075,0.11338,0.09114,0.15554,0.12572,0.06476,0.05865,0.08131,0.06775,0.08338,0.07996,0.0,0.05825,0.17817,0.07517,0.08017,1.20568,0.38949,0.06494,0.07832,0.0541,0.05796,0.04964,0.04646,0.07251,0.06106,0.0,0.09989,0.07226,0.07172,0.07036,0.0,0.05425,0.07579,0.05554,0.06346,0.05695,0.04527,0.05861,0.0,0.05823,0.05265,0.07415,0.06155,0.10206,0.06506,0.05282,0.04946,0.0,0.04923,0.07543,0.05595,0.05636,0.06951,0.05615,0.05504,0.06629,0.09221,0.05575,0.08941,0.09067,0.08224,0.0,0.0,0.09925,0.068,0.05886,0.07519,0.0,0.08211,0.09411,0.0,1.44898,0.41462,0.2367,0.9017,2.19193,0.0,1.07187,0.96815,0.0,0.0,0.23739,0.0,0.0,0.49793,0.56083,0.0,0.61153,0.16309,0.19914,0.09044,0.0,0.19926,0.0,0.21883,0.23154,0.19468,0.5043,0.25591,0.10489,0.59921,0.0,0.28372,0.09523,0.1008,0.06947,0.08907,0.07556,0.08518,0.07404,0.1004,0.14404,0.17718,0.48497,0.27795,0.15153,0.0,0.06747,0.07118,0.0698,0.11277,0.0,0.07324,0.0,0.13655,0.0,0.09195,0.24062,0.25838,0.16018,0.11118,0.09153,0.08061,0.09187,0.28959,0.08296,0.2174,0.08089,0.57999,0.0,0.61982,0.10662,0.0,0.10683,0.08134,0.0707,0.09539,0.08488,0.06922,0.06289,0.08789,0.0666,0.08277,0.12327,0.05802,0.07228,0.0,0.0,0.07439,0.08197,0.09473,0.06726,0.06901,0.0,0.07447,0.06229,0.10084,0.07602,0.05797,0.05253,0.07946,0.13895,0.21872,0.0,0.08983,0.06474,0.07323,0.07012,0.06748,0.06443,0.0701,0.09919
-3.5,0.05383,0.05719,0.06608,0.09506,0.05445,0.0,0.05758,0.09498,0.05809,0.04844,0.0,0.06329,0.05768,0.06377,0.06255,0.06277,0.04321,0.15328,0.04991,0.04483,0.05751,0.04792,0.04151,0.0,0.0,0.06706,0.04326,0.0,0.06267,0.05008,0.04473,0.05,0.80279,0.07202,0.06548,0.05749,0.0,0.30744,0.0921,0.08762,0.32726,0.15589,0.13788,0.12039,0.15782,0.08724,0.585,0.09607,0.07706,0.09192,0.11338,0.06429,0.1255,0.08774,0.07972,0.34983,0.10867,0.07196,0.13185,0.12572,0.0601,0.05702,0.071,0.06139,0.08338,0.08323,0.0,0.06473,0.17817,0.07135,0.07853,1.11814,0.38182,0.06008,0.07441,0.0541,0.05795,0.04721,0.04805,0.0709,0.06106,0.06768,0.09989,0.07089,0.07172,0.06396,0.0,0.05105,0.07472,0.05312,0.05534,0.05695,0.05498,0.05861,0.05854,0.05823,0.05265,0.07092,0.05993,0.09153,0.06023,0.04946,0.04951,0.05248,0.04923,0.05742,0.05595,0.05301,0.06839,0.05363,0.05253,0.06271,0.08118,0.05403,0.08778,0.08973,0.07831,0.06118,0.35753,0.08058,0.067,0.05873,0.07327,0.29637,0.07902,0.0901,0.0,1.35351,0.41462,0.21973,0.9017,2.08915,0.0,1.086,0.96815,0.81879,0.0,0.23739,0.0,0.0,0.49793,0.5459,0.0,0.61153,0.16493,0.18486,0.086,0.64589,0.19146,0.3381,0.21883,0.22293,0.18523,0.47411,0.24259,0.10358,0.56791,0.53827,0.26205,0.09054,0.09384,0.06796,0.08339,0.07556,0.08186,0.07089,0.09626,0.13877,0.15661,0.29301,0.26329,0.13681,0.22158,0.06738,0.07147,0.06708,0.10667,0.06354,0.07079,0.0,0.12828,0.68626,0.08872,0.21874,0.23976,0.16018,0.09502,0.09153,0.07744,0.07888,0.26321,0.07282,0.17553,0.08101,0.52625,0.0,0.58309,0.10498,0.0,0.10445,0.07702,0.07072,0.0857,0.08488,0.06712,0.06496,0.08789,0.06077,0.08277,0.09199,0.06119,0.07299,0.05774,0.0,0.06921,0.07239,0.09066,0.06574,0.06089,0.07279,0.06854,0.06229,0.08367,0.06519,0.05797,0.05129,0.07946,0.13438,0.23352,0.46451,0.08776,0.06474,0.07009,0.07011,0.06571,0.0624,0.06196,0.09915
-3.25,0.05545,0.05243,0.05909,0.07331,0.05219,0.0833,0.05598,0.08051,0.05099,0.04279,0.04857,0.06652,0.05608,0.06217,0.05901,0.06021,0.04001,0.11918,0.04669,0.04291,0.05273,0.04792,0.04151,0.0447,0.03858,0.06706,0.03974,0.0,0.06267,0.04731,0.04261,0.04871,0.7489,0.0686,0.05977,0.05716,0.0,0.27844,0.08909,0.08379,0.31695,0.13442,0.12699,0.11024,0.13915,0.08435,0.36067,0.08662,0.07453,0.08735,0.09711,0.06515,0.12677,0.07663,0.07698,0.35452,0.10134,0.08181,0.13023,0.12572,0.05964,0.0508,0.06938,0.0543,0.08338,0.08323,0.0,0.06634,0.17817,0.06568,0.0769,1.0169,0.33832,0.05621,0.07071,0.05902,0.05473,0.04574,0.04805,0.06929,0.05464,0.06768,0.08862,0.06563,0.07172,0.06396,0.0,0.04684,0.0737,0.0491,0.05073,0.0512,0.05498,0.05532,0.05854,0.05417,0.05212,0.06446,0.0551,0.08233,0.05328,0.04813,0.0484,0.05788,0.04726,0.04761,0.04606,0.06407,0.06484,0.05094,0.04781,0.06182,0.07531,0.0578,0.0723,0.08139,0.06635,0.05948,0.33923,0.06632,0.06479,0.05662,0.07189,0.27847,0.07239,0.0874,0.71392,1.27272,0.31129,0.20816,0.9017,1.954,1.30688,0.98603,0.86254,0.71885,0.0,0.2222,0.0,0.0,0.42812,0.53708,0.0,0.50585,0.14838,0.17284,0.08313,0.61706,0.18756,0.30851,0.21883,0.2112,0.17015,0.46448,0.21232,0.09203,0.52491,0.51368,0.25184,0.08456,0.0871,0.06343,0.08,0.0636,0.07789,0.07089,0.08632,0.13285,0.15331,0.30152,0.25283,0.13681,0.21322,0.06829,0.06618,0.06775,0.09996,0.06354,0.07324,0.07813,0.12002,0.62341,0.08191,0.19465,0.23132,0.13217,0.08933,0.07549,0.07458,0.07888,0.26321,0.07162,0.1546,0.07483,0.5056,0.35943,0.534,0.10263,0.27593,0.10506,0.07158,0.07072,0.08011,0.07629,0.06433,0.06283,0.07097,0.06077,0.08277,0.08158,0.05631,0.06887,0.05774,0.0,0.06921,0.06866,0.08964,0.05623,0.06091,0.06259,0.06168,0.05563,0.08367,0.06519,0.04969,0.05129,0.07086,0.12275,0.23145,0.43056,0.08469,0.06195,0.06397,0.06087,0.05595,0.05764,0.05963,0.08826
-3.0,0.05494,0.05243,0.05928,0.0717,0.05219,0.07693,0.05598,0.0702,0.05099,0.04091,0.04696,0.06975,0.05339,0.05875,0.05267,0.05922,0.04001,0.11812,0.0491,0.04047,0.049,0.04314,0.0455,0.04628,0.03695,0.06706,0.03974,0.0,0.05946,0.04475,0.04261,0.04778,0.7489,0.06678,0.06067,0.05535,0.0,0.29294,0.08247,0.08149,0.2795,0.11764,0.12256,0.10469,0.12513,0.07607,0.28268,0.07953,0.07365,0.06969,0.08448,0.06364,0.11638,0.05879,0.07226,0.3396,0.08534,0.07807,0.11004,0.11138,0.05573,0.04975,0.06082,0.05313,0.06735,0.07684,0.0,0.05586,0.17817,0.06035,0.06538,0.9801,0.33349,0.05111,0.06854,0.0525,0.05022,0.04446,0.0474,0.06123,0.05207,0.06768,0.08701,0.07071,0.06358,0.06396,0.07578,0.04578,0.06083,0.04765,0.05073,0.04943,0.04851,0.0537,0.05042,0.04447,0.04928,0.06058,0.05449,0.07719,0.05244,0.04813,0.044,0.05406,0.04376,0.04761,0.04606,0.058,0.05615,0.05028,0.0467,0.05778,0.07235,0.05491,0.06969,0.0846,0.06424,0.05505,0.31819,0.06155,0.06056,0.05532,0.06699,0.27132,0.06593,0.08461,0.64761,1.1676,0.30562,0.20396,0.9017,1.81456,1.20629,0.8853,0.7533,0.70194,0.61022,0.21405,0.0,0.0,0.41286,0.4903,0.0,0.47999,0.14606,0.15789,0.08026,0.56563,0.18171,0.293,0.21883,0.19719,0.15654,0.4285,0.20604,0.0789,0.48976,0.48368,0.24552,0.0839,0.08551,0.06103,0.07676,0.05887,0.07345,0.06145,0.07829,0.12378,0.15083,0.31004,0.24445,0.12409,0.20109,0.06403,0.05935,0.06775,0.08735,0.06456,0.06735,0.07244,0.12752,0.59031,0.07649,0.18798,0.22064,0.12649,0.08566,0.07131,0.07505,0.06787,0.24115,0.07162,0.14623,0.07379,0.45194,0.33841,0.50097,0.09035,0.25407,0.09832,0.07158,0.07125,0.07318,0.07727,0.06433,0.06283,0.08133,0.05828,0.07657,0.07411,0.05698,0.06776,0.04833,0.0,0.06756,0.0656,0.08147,0.05285,0.06091,0.06327,0.06168,0.05138,0.07424,0.06483,0.04552,0.04816,0.06791,0.12236,0.20301,0.40509,0.07933,0.05551,0.05808,0.06292,0.05432,0.05512,0.05963,0.08307
-2.75,0.05281,0.04593,0.05928,0.07009,0.04983,0.07755,0.04824,0.0702,0.05217,0.04061,0.04374,0.06436,0.05125,0.06013,0.04809,0.05922,0.04054,0.11706,0.0491,0.04047,0.04314,0.04314,0.04183,0.04628,0.03695,0.04949,0.03738,0.05134,0.0506,0.03942,0.04048,0.04639,0.6245,0.06574,0.05751,0.0531,0.0,0.24265,0.07697,0.07436,0.26488,0.11373,0.10542,0.08358,0.11175,0.07197,0.21308,0.07321,0.06798,0.06871,0.08021,0.06244,0.08342,0.05909,0.05976,0.33249,0.07179,0.07314,0.10006,0.10399,0.05041,0.04949,0.05679,0.05058,0.05582,0.07682,0.05036,0.04966,0.11347,0.05356,0.06102,0.96005,0.31737,0.0508,0.06249,0.04993,0.05022,0.04446,0.05269,0.06123,0.05144,0.06768,0.08218,0.06865,0.05247,0.05447,0.07578,0.04578,0.05644,0.04701,0.04857,0.04943,0.04474,0.05022,0.0472,0.04447,0.04367,0.05994,0.05336,0.07333,0.05133,0.04425,0.044,0.05242,0.03938,0.0416,0.04571,0.05578,0.05028,0.05028,0.0467,0.05401,0.07037,0.05194,0.06643,0.08286,0.06381,0.05095,0.27964,0.05772,0.05665,0.05433,0.0596,0.23912,0.0633,0.08067,0.59617,1.0607,0.26654,0.19823,0.63536,1.68014,1.11462,0.84138,0.70381,0.63724,0.57641,0.19695,0.38828,1.21732,0.38079,0.43332,0.36631,0.43567,0.13957,0.15345,0.07434,0.55605,0.1651,0.26787,0.21883,0.18356,0.14542,0.38074,0.18463,0.08033,0.42732,0.44656,0.21757,0.07862,0.08405,0.05841,0.06935,0.0622,0.073,0.05784,0.07775,0.12251,0.14269,0.22068,0.22559,0.10822,0.18,0.06403,0.05935,0.06502,0.07435,0.06044,0.0618,0.07023,0.12476,0.54334,0.07159,0.16751,0.20354,0.12094,0.08217,0.06644,0.07242,0.06493,0.22361,0.06946,0.13403,0.07015,0.42308,0.32394,0.48447,0.0844,0.24405,0.09747,0.06968,0.07093,0.07318,0.07117,0.06013,0.05499,0.08099,0.05381,0.06627,0.07411,0.05698,0.06476,0.04764,0.11539,0.06169,0.06298,0.07607,0.05285,0.05606,0.06193,0.0546,0.05138,0.07041,0.05936,0.04552,0.04816,0.06791,0.10854,0.18555,0.3711,0.06998,0.05551,0.05808,0.0552,0.05579,0.05512,0.05823,0.07334
