,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.45019,0.0,0.3459,12.19256,0.32675,21.85391,10.13694,0.0,16.83115,2.08623,0.0,4.34265,0.26829,0.0,5.8028,0.0,0.23593,0.41169,1.63122,0.17218,0.0,0.0,3.39774,0.0,0.0,2.16786,1.64554,3.76947,7.61924,0.0,0.14113,0.62288,0.21274,0.63722,0.0,0.0723,13.25604,0.39085,0.40981,1.32529,1.42672,2.31004,1.64979,4.31282,0.87657,5.65746,0.0,0.30286,0.7875,0.0,0.0,0.24321,0.14207,1.28304,4.41143,0.0,0.0,0.0,0.40895,0.0,3.85039,2.08456,0.0,0.60902,1.80995,0.29944,0.0,1.3088,0.0,0.29939,0.0,5.98055,6.04495,3.99329,2.32086,1.09005,0.86387,1.57077,0.0,0.0,0.49072,0.38201,0.79328,4.68475,5.10448,1.22406,0.0,4.0879,9.03502,0.12309,0.34788,0.2878,3.23037,0.0,2.37546,1.52652,0.0,0.0,2.03899,0.5391,0.0,4.23698,0.0,0.0,0.18174,5.70206,20.13918,1.00117,0.9369,0.84753,0.15796,0.19976,0.0,0.327,70.59958,0.64052,3.59423,0.0,2.21138,1.41955,0.0,0.0,0.0,1.38283,3.39458,3.49586,50.36748,0.0,1.86627,0.0,50.05369,0.0,0.0,31.62066,59.97616,110.76638,1.51266,2.30895,0.0,17.04733,6.89611,35.29725,0.0,18.67224,6.64836,1.29442,1.33612,0.0,7.48991,0.26693,2.14786,2.09618,61.16596,5.1811,0.0,33.06644,59.59347,1.80482,2.94337,1.52026,0.0,3.37674,0.01585,1.65195,1.57742,0.0,8.66237,6.76389,2.40778,1.8902,1.49069,1.90592,0.95663,0.20451,3.05597,0.56639,0.12557,1.0079,0.78328,5.05944,9.81898,17.13207,3.94378,1.88201,1.91208,0.81784,6.13731,2.66343,2.02543,0.72418,1.83503,1.51524,1.05345,29.25447,33.13117,4.50037,0.45776,0.70317,0.55489,0.25971,1.12019,2.48375,0.0,0.10516,3.62912,0.06306,0.41366,2.1005,10.22122,12.65518,1.67738,0.0,0.0,0.23966,5.91065,5.04771,2.30459,5.90555,2.84349,1.78181,0.0,0.0,1.61295,15.79033,0.0,3.50103,5.48349,3.49119,1.60548,0.64637,6.647,1.76181,5.1093,0.0,44.8872,0.0,0.26222
-4.75,2.39196,0.45019,0.0,0.34703,9.28044,3.69726,14.61554,5.50295,0.0,16.8419,2.08337,0.0,4.34265,3.30112,0.0,5.37868,0.0,0.23593,0.41169,1.63122,0.17218,0.0,0.0,3.39774,0.0,0.0,2.16786,1.64554,3.76947,7.61924,0.0,0.14113,1.06483,0.21274,0.60071,0.0,0.03894,10.93607,0.94497,0.40981,1.21187,1.42673,2.31004,1.68785,11.34559,0.77586,4.57986,0.0,0.30286,0.72379,0.0,5.78464,0.24321,0.14207,1.34662,3.56801,0.0,0.0,2e-05,0.40895,0.0,3.86557,2.09504,0.0,28.80496,1.80995,0.29944,0.0,1.3657,5.0785,0.29939,0.0,7.10401,2.16722,3.99329,2.60517,1.09005,0.86387,1.58536,0.0,1.4308,0.49072,0.38201,0.7105,4.68476,4.61074,1.25554,0.24101,4.0879,9.03502,0.12309,0.34788,0.2878,3.23037,0.0,2.37546,1.52652,0.0,0.0,1.38843,0.74268,1.41661,4.23698,0.0,0.0,0.18174,5.70206,20.13918,1.01966,5.17484,0.85252,0.19481,0.58232,0.0,0.32701,76.3912,1.99086,3.27959,0.0,3.14664,1.25056,0.0,0.0,0.0,1.38283,5.24112,3.50103,52.2059,19.0202,1.88912,0.0,50.82319,0.0,0.0,31.62069,59.97616,120.38279,1.25428,2.38683,0.0,24.70139,7.62622,35.96908,8.55205,18.67224,7.31599,0.9082,2.04235,0.0,6.42695,0.26693,1.75612,2.40028,33.1019,5.1811,0.0,34.82597,59.59354,1.86263,2.99407,1.35024,0.0,2.78392,3.74009,1.65195,1.80596,0.0,8.81387,5.80482,2.30789,1.8902,1.2848,2.05842,0.95663,0.20451,2.35161,0.88841,0.40362,1.0079,0.78466,4.12603,11.11472,17.6141,2.74388,1.7563,1.91209,0.81784,6.26603,2.66343,1.96059,0.75869,1.90986,1.462,0.91995,29.25448,23.77208,3.84481,1.08148,0.66313,1.35106,1.8204,1.00363,2.48375,0.0,0.37936,3.64744,0.35525,0.71599,1.58713,10.22809,8.47565,1.67738,0.0,0.0,0.33939,4.3815,4.77874,2.13257,5.75722,2.84356,1.81678,0.11672,1.38896,1.61295,15.79033,0.45702,3.90835,4.71507,3.08428,1.60548,0.64838,5.66295,2.49622,5.12709,0.0,44.8872,0.0,0.26222
-4.5,2.39196,0.45019,0.0,2.09641,9.28044,3.69733,14.70678,4.09568,0.0,16.8419,11.67415,0.0,4.37431,6.70896,8.41189,4.34293,0.0,0.23593,1.14577,5.25469,11.75454,466.43943,16.80979,2.72563,1.22746,0.0,6.76534,1.64555,3.76947,7.61924,0.0,0.18441,1.11461,0.21274,0.54137,0.0,0.06955,11.25643,0.82053,0.40981,1.10197,2.31417,2.31004,1.72842,6.54447,3.09776,4.32284,0.0,0.30286,0.72379,0.0,5.78464,0.50302,0.76512,1.99554,3.15162,15.35743,0.0,0.06352,12.90319,0.0,1.87463,3.05554,0.0,28.80496,1.80995,0.55525,0.0,1.3657,5.0785,10.07651,0.0,6.86039,2.64221,2.89922,2.64079,1.09005,2.45393,5.88397,0.0,2.55702,0.94966,0.38201,0.78815,6.13306,3.91118,1.25556,0.5399,4.0879,8.08179,0.12309,9.71794,3.97345,3.23037,0.0,2.37546,2.4908,0.0,3.66755,1.38844,1.21432,2.43541,4.23698,0.0,1.75289,0.2762,5.70206,20.13918,1.01967,8.98107,3.83791,0.19481,1.55561,0.0,0.32701,76.77756,1.99089,2.85661,29.59714,2.84936,1.36248,0.19792,2.18854,0.0,1.38283,4.52781,3.61602,53.1011,19.02053,1.81604,0.0,51.35644,13.74889,0.0,31.62072,60.49413,127.08739,1.69983,2.49446,0.0,24.70139,8.0339,27.88135,5.82234,18.67224,7.49106,1.05361,2.12602,0.0,7.04477,3.87448,1.99146,2.07474,46.70032,5.18236,0.0,34.96172,59.59357,2.10661,3.0997,1.51823,0.19384,3.20667,2.90179,1.65199,1.50321,0.0,8.80255,5.98157,3.00946,1.8902,1.23669,1.47068,0.81812,0.20451,3.99501,0.91764,0.41165,2.58438,0.78466,4.42381,9.75422,17.8186,2.2376,1.78198,1.29546,0.83539,6.26604,2.74193,2.28133,0.7587,1.51721,3.88555,0.90753,19.68961,22.25761,3.72861,1.13767,0.68303,1.35106,2.96422,1.3202,2.48375,0.0,0.33709,3.64744,0.43625,0.73638,1.31378,7.92132,8.48727,1.67738,0.0,0.0,0.69163,3.96722,6.91614,3.07709,4.62486,2.84875,1.81678,1.03653,1.38896,1.82807,15.79034,0.51697,3.90835,3.96399,2.87624,1.48681,0.66619,5.87815,2.13239,4.12748,1.67272,30.84627,0.0,0.31417
-4.25,2.39196,0.45019,0.0,1.94621,9.29455,3.46317,19.51648,3.39945,106.45344,12.20182,11.69711,0.0,13.30603,6.07571,11.06161,5.49943,0.0,0.23594,1.17182,9.05661,11.75454,469.09445,16.80979,2.75035,2.48326,0.0,6.76535,1.64555,3.53608,3.8569,15.71353,0.18441,1.50038,0.21274,0.54137,0.0,0.06955,9.75387,0.79619,1.66934,1.14223,2.39011,2.34856,2.27414,5.74582,2.82193,4.34233,0.0,0.30286,0.99724,0.0,5.78464,0.50302,4.82396,2.04555,3.17365,8.7295,0.0,0.06352,12.90319,0.0,2.6991,3.05554,0.0,28.80792,1.80995,1.55855,0.0,1.3657,2.8424,6.18874,0.0,7.68175,2.85389,3.67406,2.71061,1.09005,2.62638,16.72933,0.0,2.47326,1.16146,0.38201,1.73614,7.96269,3.97796,0.86872,0.89092,2.76022,8.08345,0.12309,9.71794,9.97937,3.23038,0.0,2.37546,2.4908,8.42328,3.69773,1.78071,1.21432,2.43541,4.23698,0.0,1.25003,0.77317,48.05304,20.13918,1.0534,8.99871,3.37572,0.19481,3.94518,0.0,3.62436,79.25944,1.99089,2.13031,29.60259,2.43415,1.24554,0.14023,2.71816,0.0,1.00935,4.60868,5.77969,55.55628,17.17993,1.66321,0.0,51.59982,13.74958,5.83949,26.74516,60.86458,127.08748,1.69482,2.33001,0.0,24.89975,7.44151,22.14883,9.23195,8.0416,6.48054,1.6041,1.95047,8.18604,7.0731,4.70044,1.84053,2.18286,35.68128,5.21551,0.0,23.48759,33.09881,1.82263,3.64642,1.2766,2.21455,3.35949,2.45106,1.13445,1.51275,5.60621,10.54035,5.90338,2.89432,1.31484,1.26965,0.96692,0.95524,1.69225,4.01166,4.25818,0.41167,2.59033,1.12188,4.42382,10.03514,20.16458,2.21295,1.78182,1.29546,1.1492,6.38566,2.53349,2.32667,0.67416,1.26834,3.63882,0.97265,15.37568,23.65369,3.35161,1.13767,0.94943,2.00751,2.96422,1.5237,2.48375,0.47547,0.29224,5.93941,0.43625,1.09848,1.31378,9.62519,7.8007,2.22534,0.0,0.0,0.62147,3.99949,5.87319,2.68362,3.91871,3.72398,1.79133,1.03653,1.36883,2.22023,13.40867,0.41089,3.97108,5.46462,2.72438,1.90043,0.94053,6.08836,1.97543,4.12748,1.2338,30.8647,57.23462,0.31417
-4.0,4.54539,2.00306,0.0,1.95654,18.17296,7.76028,19.55811,8.33337,61.54501,11.2416,17.28705,44.63982,19.79501,5.84474,12.83351,6.54925,0.0,0.23594,1.17182,11.09001,11.76798,490.18619,16.8098,3.62134,2.48326,0.0,6.76535,1.18034,3.53608,13.54637,15.71353,0.18925,2.25925,0.21274,0.68348,0.0,0.06955,9.85968,0.97532,1.27301,1.13738,1.70138,2.08647,2.37663,5.09677,2.73494,4.54489,0.0,7.95734,1.08175,0.0,3.10012,0.50302,4.35303,2.16833,3.07408,10.06821,3.11972,4.57427,8.42046,0.0,3.44468,3.0107,0.0,25.41501,1.82041,5.99837,0.0,1.3657,2.8424,7.68858,0.0,7.5983,2.54062,3.45689,2.43667,1.16528,2.62638,16.73762,0.0,2.58284,4.98632,0.63242,3.15221,9.58275,5.71753,0.88606,2.88254,2.76022,8.11932,0.41272,11.55641,12.64766,3.23038,0.0,2.37546,11.43814,7.48626,2.90123,2.12472,5.48031,3.82136,4.23698,6.98591,1.25791,0.77317,48.05304,20.13918,1.13262,7.80863,3.43567,21.14811,3.57097,0.0,3.6554,89.96549,4.80544,1.89684,29.65018,3.21249,1.06169,0.14023,3.63337,8.047,12.17006,4.54106,5.1295,57.95613,18.88114,1.42679,0.0,52.93252,13.74978,9.28605,20.97016,62.04861,127.08756,1.65418,2.40146,0.0,26.91723,7.62587,19.57215,9.48217,6.41383,5.56177,1.98777,1.70622,8.18604,6.34336,4.06639,1.78418,3.60895,36.23034,4.50408,7.72844,24.08335,33.47985,1.76,3.16622,1.36556,2.2181,2.92357,6.65002,2.16653,1.70394,5.60621,8.61549,5.87911,2.93015,1.31485,1.41096,0.79571,1.98824,1.86749,2.56583,2.82401,0.73081,2.84665,1.72842,3.69952,7.2643,12.25135,2.13182,1.8165,1.25101,1.9845,4.85817,2.13861,1.98059,0.9146,2.38517,3.47435,1.25274,12.86218,17.42058,3.6564,1.98303,0.88231,2.05711,2.67652,1.58914,5.93916,0.3567,0.33424,4.72532,0.2237,1.1518,1.34402,7.95172,9.84899,2.23061,0.0,3.83578,0.57289,4.39202,6.55556,2.37721,3.91871,4.92521,1.81282,2.06753,1.36883,3.53367,10.12174,0.41089,3.99276,6.34783,2.60171,1.65782,0.92454,6.02908,1.94544,4.25078,1.70153,14.53105,32.20123,9.2254
-3.75,4.04112,3.68851,14.95257,7.2099,21.16591,9.7069,41.26702,8.48505,61.58471,9.32629,17.30242,44.74327,13.8963,5.85061,12.83351,6.54925,0.0,7.82561,1.17182,9.64881,17.34201,491.31039,14.80166,3.62484,5.15825,0.0,15.95001,1.18034,3.40457,13.54637,15.71353,2.90404,2.29772,0.21274,0.65666,0.0,3.22979,10.08486,1.40742,1.12334,1.40346,1.33634,2.72161,3.18943,5.21921,3.93412,4.22335,0.53427,7.97471,1.63371,0.0,2.02883,4.99839,6.78545,2.21464,3.30881,6.76581,3.81438,4.57427,8.23511,0.0,3.93055,3.73432,54.49317,19.77598,3.5208,5.10314,3.51675,1.37911,3.02286,7.44202,0.0,7.77706,2.44502,5.31483,2.68068,1.1942,2.35865,15.06908,0.0,5.44971,4.60552,0.63242,6.47648,7.58573,4.75796,2.06213,2.84445,2.76582,7.59201,7.84204,9.5266,11.26523,11.93023,3.34671,14.98345,10.85911,10.10416,3.62761,1.98211,6.25192,5.81338,2.46582,6.07382,9.25681,2.11209,18.71318,20.13918,1.15799,6.79946,3.15957,21.14812,4.05184,10.56296,3.70506,92.27741,4.60888,2.09153,15.22761,6.26043,1.04863,0.84575,4.21569,8.632,8.15287,3.46748,4.28985,58.39923,20.16629,1.44975,25.60167,60.26425,14.42431,17.46379,21.01012,36.09972,68.13635,1.63703,2.36716,1.24957,27.29364,7.60564,20.88207,10.62952,5.77133,5.2511,1.78365,1.9302,24.93678,5.62497,2.57644,1.79251,5.26282,30.8154,3.45901,7.72844,21.75826,34.82707,1.96205,3.50856,1.95473,4.89074,3.48643,5.3427,2.16653,2.18823,5.60621,8.13431,5.17094,2.38831,1.85599,1.50537,1.58904,1.96967,4.80034,2.21607,3.09035,0.86937,2.67065,1.56917,3.31664,7.45452,11.00323,2.42692,1.63542,2.53528,7.54759,3.75071,2.1237,2.16356,2.9466,2.27419,3.17003,1.4083,9.74344,14.28589,3.82501,2.08925,0.80739,1.52923,2.9159,1.81463,5.2832,0.3567,1.23878,4.85934,0.22371,2.10422,2.39704,4.66085,8.96624,4.94262,0.0,2.76221,0.54867,5.2672,5.96828,2.57179,3.62728,4.92405,2.36032,2.51713,5.18279,3.7157,11.19374,7.50667,3.17452,6.20472,7.12333,2.0864,1.23229,5.77461,3.61273,4.25078,1.52094,15.44333,57.26596,9.44014
-3.5,2.72298,2.94335,15.0516,5.05223,17.94537,12.02757,26.57778,9.42827,67.39416,9.66328,19.76155,38.32926,24.41652,9.54476,10.21098,7.54857,0.0,18.20605,1.17182,9.64881,10.73055,493.35838,9.54857,5.09959,6.86911,31.26456,16.20324,9.88594,3.71683,13.72598,23.88304,4.96274,1.9201,0.73374,0.66519,45.16232,8.09948,8.61802,1.27674,1.5111,1.41477,1.27104,3.73588,2.8094,5.21367,3.02018,10.91017,0.48447,5.48965,1.6574,0.0,4.00886,4.40578,5.74201,2.18976,3.18888,5.83931,5.27809,4.57427,6.9589,17.37218,3.67881,7.16504,21.55197,16.73265,7.17125,4.61944,3.79135,23.47361,6.26565,7.46731,6.4922,7.92654,2.76697,4.97341,2.9349,1.8382,4.56614,17.86801,40.29162,5.4567,5.5614,2.20975,6.88418,5.96204,4.9445,1.81265,3.22505,2.76582,5.76581,9.58731,8.96051,11.26523,15.76764,8.70784,15.66474,8.5013,10.27718,4.35711,2.41215,4.46357,6.1074,3.40036,7.16032,8.2967,4.27314,15.67906,17.66697,1.16103,7.01029,8.70378,9.89668,4.05184,8.63797,3.05589,95.81805,12.26956,2.10429,15.22763,4.86278,1.21077,4.52088,4.08896,14.61817,6.45371,4.04652,3.8335,58.98127,19.05753,1.50838,27.53809,39.3095,15.33647,19.1599,21.5666,47.41252,54.09073,1.70114,2.74051,7.7465,19.71959,7.44449,23.54682,10.67301,4.68241,4.61141,1.78595,1.89556,34.85162,6.148,2.88395,1.82034,5.48361,37.52688,3.23936,5.17639,20.99202,19.67344,2.21609,3.73399,1.85596,15.5479,3.36158,4.3616,1.59086,2.22774,3.18666,8.27563,5.22674,2.43221,2.169,1.5323,1.68576,2.80981,4.82006,3.25911,5.39083,1.16716,6.82856,1.73019,3.32071,7.56702,8.90624,2.34965,1.54559,1.93796,6.26362,4.71739,2.0403,3.61031,3.49718,3.02052,3.45177,1.81609,8.09444,14.11192,3.36203,2.77068,1.12954,1.39085,3.03583,2.17903,8.80439,0.59539,1.98267,5.0941,0.96164,2.10422,3.79162,4.17344,9.70054,3.67141,0.0,6.94393,3.9958,6.15207,5.92031,2.14018,3.23015,4.69219,2.25861,3.26359,4.49931,3.05094,9.94075,6.4403,3.37977,5.40233,7.70899,1.94541,1.36069,6.04489,3.42414,3.80037,1.75075,16.3735,44.67705,5.97866
-3.25,5.05966,4.75626,17.01465,4.25144,15.03398,8.91105,24.30092,8.53744,67.39416,10.46649,18.40779,23.80728,23.02651,10.50827,7.93452,6.66663,0.0,18.20605,6.48472,8.91287,9.15952,512.34664,9.54857,6.63644,7.7736,29.19974,16.20324,17.78654,3.83067,10.69161,41.90772,4.16614,2.23034,1.76142,1.35655,45.16232,7.21084,8.94477,1.60955,1.39357,1.59853,1.33001,3.95585,2.74093,5.13774,2.76469,7.8573,3.03508,6.92092,1.78155,13.8364,6.36221,5.57663,7.39258,1.86297,2.85715,6.35902,6.8865,43.89594,9.66949,9.31681,3.69653,5.82234,30.49291,12.76181,7.9589,5.38898,7.42144,23.17889,5.52915,7.68308,34.12454,6.22517,2.59935,7.17441,2.26459,2.85154,6.49791,13.77031,17.54122,5.32973,5.5614,3.12915,6.74661,5.93382,5.98834,1.8271,5.35088,8.65497,7.40153,9.96678,7.47774,8.91653,17.17693,12.65873,14.8943,7.09827,9.7044,4.02345,1.9934,4.4692,6.1074,5.93576,6.26876,8.00365,7.24228,16.97375,14.80271,1.04493,6.69816,10.06181,14.46127,4.93572,8.4388,2.85123,99.2021,11.69134,1.9958,9.45393,4.46654,1.06525,9.27161,3.82755,14.61817,9.21034,6.33632,3.50062,36.78991,20.02257,1.39086,28.14898,39.96338,12.61038,19.59807,18.80515,38.3678,48.83761,1.72165,2.33334,32.46554,24.76088,7.65215,21.03249,9.37274,5.34108,4.10218,1.62501,2.00223,34.60095,5.9765,2.37434,1.58338,4.90609,31.5331,2.98762,7.61464,26.12088,19.82858,2.50186,3.62668,1.59684,15.09602,3.53992,4.35671,1.61332,3.15969,3.68035,7.67802,5.1046,2.31009,2.25529,1.66026,2.27175,2.73207,4.58286,2.73373,5.39083,5.69516,7.82925,1.71491,3.43779,7.53985,9.20801,2.13533,1.67474,1.91898,11.64015,4.66054,2.07449,3.83969,3.33829,2.98257,3.86667,1.80383,7.23381,13.76858,3.26472,2.97898,1.12254,1.34477,5.41953,2.56142,10.30503,1.8988,3.75495,6.23754,3.95602,2.3019,3.90133,4.44624,7.33084,4.55486,0.18506,7.84559,3.9958,5.53664,5.61528,2.42179,3.26926,5.17624,3.45943,3.26359,4.66824,3.1666,9.22318,6.46797,3.37977,5.17002,6.93874,2.47972,1.60986,5.45786,4.10845,4.00139,2.32229,14.87291,33.90855,4.93558
-3.0,4.804,3.98915,8.13913,4.64701,9.93706,8.90843,24.88128,8.13047,37.50878,10.08358,14.34696,20.09138,20.88799,10.07753,7.08395,6.66663,215.47513,15.8065,16.76206,7.96504,11.49542,540.13664,22.23497,6.05696,6.98402,17.15739,13.38607,13.2328,3.51258,10.87803,29.61418,6.81944,2.89227,3.06291,1.61725,67.17775,11.13997,7.91361,1.56031,1.47725,1.44349,1.45967,3.37318,2.50474,4.83906,2.47896,6.71294,3.07402,7.22503,2.75323,15.08685,6.12907,6.4901,7.24308,3.64295,3.20616,6.05336,8.25923,38.64399,9.23669,11.87697,4.29455,5.72194,29.85701,10.99788,6.90119,5.96322,8.83733,23.27072,6.26781,10.06247,21.85142,5.20922,2.49249,5.70414,2.33847,3.01975,5.94263,12.54294,14.05895,4.82684,6.38949,3.84512,5.91462,5.43349,5.04881,5.27526,5.49467,9.7483,7.57952,10.15266,7.22662,13.22439,14.28416,14.81163,14.60413,6.64056,9.94005,4.29715,1.81988,5.69706,6.01968,4.60119,5.97088,12.57874,7.24005,14.3766,12.89488,1.17412,7.17923,9.03904,12.26762,4.75221,8.20609,3.52687,109.58589,7.46909,2.04527,6.08072,4.40339,0.93703,16.28239,3.6221,18.48709,10.40057,5.8177,3.01723,34.37111,21.19926,1.41944,25.45765,33.63036,13.4185,22.58065,18.54122,36.24315,39.95586,1.77211,2.55872,28.21092,29.48006,6.66252,19.03229,11.85455,5.3046,3.28073,1.699,1.95518,31.37084,5.56464,2.4133,1.5351,4.4554,31.68329,2.50365,10.75152,25.64954,17.3938,2.51135,3.71095,1.6659,15.70116,3.34548,4.63663,4.30816,3.86832,3.1901,7.52779,5.04062,2.21222,2.61637,1.78064,3.19463,2.74001,3.80803,3.64593,5.08419,6.85669,7.86364,1.8278,3.00782,7.75516,9.04908,2.5722,1.72719,2.34799,11.86083,4.28451,2.27402,3.7616,3.71843,2.60714,3.77926,1.74385,6.11671,10.98795,2.89268,2.4221,1.92272,1.48593,4.79429,2.17293,10.97904,3.58137,5.29239,6.38906,4.17613,2.48209,4.0848,4.48815,6.03485,4.4501,17.13634,9.73561,6.69673,5.53664,4.54108,2.63988,2.79037,5.80426,4.08701,3.87082,4.01395,4.17428,9.1637,5.6723,3.8852,5.00835,6.52633,2.45122,1.51582,5.19047,4.02459,5.71334,3.98169,14.95605,24.39259,4.29405
-2.75,4.56182,3.80595,8.06096,5.68985,7.95497,7.48204,21.79638,7.87443,40.37405,9.71039,12.48599,16.6889,15.89884,10.43701,6.99319,6.95165,86.15465,17.54199,21.98897,7.53192,14.5184,542.28148,17.89496,10.43405,7.61924,19.59431,17.49405,8.78591,11.88688,9.14362,26.29097,8.20678,3.21623,4.58761,1.94811,67.17776,10.35976,8.48201,1.50769,1.44052,1.49404,1.35989,4.10271,2.47007,4.06806,2.27066,6.59593,3.75526,8.45344,3.15343,12.92719,6.7162,5.54217,6.72741,4.66824,3.10308,5.36643,6.67829,28.28623,7.2453,11.73102,4.05606,6.35163,30.60472,9.4905,6.75085,6.39351,9.24163,25.96739,5.36139,7.37029,14.60036,4.51604,2.92145,5.21932,2.61993,2.97058,6.0236,11.39332,14.06573,4.50654,5.7504,7.42463,5.16792,5.02949,5.26774,5.10966,5.37692,12.08862,9.6027,11.23167,7.75953,11.40366,17.40592,11.76302,10.53021,6.49657,9.12244,4.98778,1.67845,5.20683,5.6001,5.70993,5.60177,10.81792,7.61124,17.15188,11.83701,1.10768,7.71552,9.03904,12.65628,4.88293,8.37151,3.15391,115.72631,7.78637,2.63597,7.26044,4.2564,0.87366,12.991,3.7134,16.79975,8.91217,5.14346,2.97566,23.88841,21.28519,1.34996,20.96076,31.82981,15.64112,24.00064,17.78929,38.63528,32.9542,1.7022,2.47909,32.35157,26.7825,6.34863,16.64392,11.55379,5.53842,3.32315,1.62251,1.94327,31.25856,5.78897,2.22655,1.43272,3.63075,24.1799,2.5374,9.517,25.06771,18.20242,2.46452,3.20089,1.90427,10.65343,2.7157,3.91072,6.85312,3.53314,4.13654,7.58858,4.54082,2.07165,3.19833,1.52158,3.16093,2.64843,3.93975,4.40828,4.81017,8.49178,6.20335,2.85587,2.98102,6.11683,7.34594,3.02164,1.58283,2.37184,10.9239,5.77909,2.45427,3.74541,3.97784,2.33211,3.04935,1.89757,4.37857,9.87222,2.84757,2.59427,2.0744,1.85976,4.74669,2.46239,10.92221,4.57899,5.9866,5.1262,4.30302,2.70609,4.1044,4.62364,6.03371,4.28138,28.33274,9.52816,6.53207,4.75165,4.37748,2.72026,2.79037,5.24902,4.08701,3.82403,3.56944,4.45203,8.6883,5.8672,3.12707,4.34067,6.99331,2.4478,1.41341,5.18559,3.5115,6.0415,3.42116,11.51969,25.27593,3.54542
