,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0,0.07792,0.0,0.14904,6.73687,0.0847,0.51633,0.0,8.21381,0.0,0.0,0.35308,0.0,0.0,7.93029,0.67462,0.0,0.02599,0.0,0.19884,0.0,0.0,12.25962,0.0,0.0,0.0,0.0,2.12703,0.54617,0.0,0.0,5.99678,1.33255,0.18142,0.0,0.0,2.39909,0.23579,0.98131,0.0,0.0,0.12431,0.5623,0.0,0.75026,3.42061,0.19461,0.98138,6.33006,0.0,0.03146,0.0,0.93837,0.13218,0.0,2.88547,1.34318,0.0,0.0,0.0,5.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.68204,0.17711,3.04464,0.0,2.63286,1.44391,0.0,3.13175,0.0,0.37267,0.0,0.0,0.0,0.0,0.0,0.85952,0.03048,0.0,0.0,0.0,0.0,0.0,0.0,0.96407,0.3337,0.0,0.0,0.0,4.1764,0.0,0.0,0.0,0.94759,6.08956,7e-05,0.0,0.13509,0.0,0.0,0.0,0.0,1.73533,0.21331,1.83631,0.80433,3.24606,0.0,0.87512,0.0,0.12568,0.0,0.6527,0.12239,3.78572,0.0,0.21855,0.49249,0.18422,0.0,0.0,0.0,0.51897,0.20827,11.32289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93374,0.0,1.57065,0.0,0.0,0.0,0.70315,2.59767,0.0,4.64349,2.62684,1.11446,1.16635,0.59403,1.09325,0.0,1.93519,0.0,0.0,0.0,0.0,6.4023,1.91987,0.0,3.30288,0.0,0.0,2.39777,2.10187,1.13873,0.6437,0.62831,1.41489,0.0,1.22315,0.0,0.0,0.0,1.06467,0.0,0.0,0.0,0.38115,0.0,0.0,7.85051,0.59017,0.20166,2.60471,1.80441,0.0,0.0,3.73796,1.06769,1.83547,0.0,10.0588,8.53805,0.0,0.49478,2.49276,0.0,0.0,0.0,60.83747,0.0,2.25883,0.0,0.0,0.0,0.0,0.39623,0.0,0.0,0.0,0.0,1.22196,0.0,1.05621,0.4118,0.21407,0.0,0.0,0.0,0.2968,0.0,0.0,0.0,0.1334,1.40932,1.38743,0.0,0.38379,2.35832,0.0,1.47125,0.0,0.0,7.75489,0.0
-4.75,0.0,0.07792,0.0,0.14904,4.80451,0.14621,0.52181,0.0,6.05623,0.0,0.0,10.66011,2.53312,0.0,7.93029,0.4946,0.0,0.02599,4.66764,0.19884,0.0,0.0,12.25962,0.0,0.0,0.0,0.0,2.20324,0.54617,0.0,0.0,6.01269,1.51838,1.56052,0.07397,19.80325,2.39911,0.21414,0.60523,0.0,0.0,0.12431,0.57097,0.41786,0.75026,3.42061,0.19461,1.08386,6.43866,0.0,0.03146,0.0,0.94196,0.13218,0.0,2.71334,1.34318,0.0,0.0,0.0,5.5775,0.0,0.0,0.0,0.0,0.0,0.0,0.68204,0.17711,3.04464,0.31404,4.46566,1.91429,0.0,3.13176,0.0,0.57067,0.0,2.21755,0.0,0.0,0.0,0.85952,0.88829,0.0,0.0,0.0,0.0,0.0,0.0,0.96407,0.3337,0.0,0.0,0.0,4.17641,0.52744,0.0,0.0,0.97812,6.08956,7e-05,0.0,0.21406,0.0,0.0,0.0,0.0,2.11642,0.21331,1.84691,0.85124,3.24606,1.64196,0.68665,0.0,2.56424,0.0,0.74545,0.17928,3.78572,0.0,2.15387,0.50826,0.18422,0.0,0.0,0.0,0.51897,0.35538,15.94836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07756,0.0,2.11038,0.0,0.0,0.0,0.63417,4.2372,0.0,4.6435,2.63106,1.18759,1.16635,0.45316,1.09325,0.0,1.93519,0.0,0.0,0.0,0.0,6.40231,1.91987,0.0,3.35632,0.0,0.58678,2.39777,3.78761,1.1988,0.65148,0.62832,1.4149,0.0,1.22315,0.0,1.97677,0.0,1.06468,0.0,0.21117,0.0,0.38115,0.0,0.0,7.85051,0.59789,0.36184,3.61662,3.22922,0.0,0.0,3.73809,2.22877,1.84946,0.0,10.14117,8.63333,2.77797,0.49478,2.49276,0.0,0.0,1.24226,61.09516,0.0,2.25883,0.0,0.0,0.0,1.99544,0.39623,0.0,0.0,0.0,0.0,1.22196,0.0,1.05621,0.60067,0.21407,17.64148,0.0,0.0,0.2968,0.0,0.0,0.0,0.09536,1.40932,1.45292,0.0,1.66186,8.07242,0.0,1.47125,0.0,4.33195,7.75489,0.0
-4.5,0.0,0.07792,0.26374,0.14904,4.62909,0.14621,0.52181,1.06173,6.05623,0.0,0.0,10.67324,2.53319,0.0,4.07946,0.4946,12.40036,0.02599,5.00944,0.19884,0.0,0.0,12.25962,21.82114,0.0,0.0,0.0,2.20324,0.54617,0.0,0.0,4.15931,1.54858,1.56053,0.1908,19.80326,2.39911,0.21414,0.65405,0.42397,0.0,0.12431,0.59082,0.22846,0.75027,1.96552,1.22147,0.94419,6.43866,0.0,0.01579,0.0,0.94196,0.13218,0.0,2.39632,1.12166,1.21136,0.0,0.71516,5.57751,0.0,0.0,0.0,0.0,6.008,0.0,0.68204,0.17711,3.05527,0.31404,4.46568,1.91429,0.0,3.15016,1.44298,0.57067,0.0,3.47832,0.0,0.0,0.0,0.85953,0.77364,0.0,0.0,0.0,4.47557,0.0,0.0,2.36197,0.3337,0.0,0.0,0.0,4.25892,0.52744,2.08083,0.0,0.97812,6.08956,7e-05,0.0,0.21406,0.0,0.0,0.0,0.0,2.26925,0.21331,1.85496,0.85124,1.79734,1.64197,0.77051,0.0,1.72078,0.0,0.74548,0.17928,3.37796,0.0,2.3022,0.54203,0.18422,1.89836,0.0,0.0,0.79124,0.43044,15.98902,0.0,0.0,0.0,0.0,36.18898,0.0,0.0,1.18505,0.0,1.24669,0.0,0.0,0.0,0.73795,3.30402,0.0,4.71117,2.76014,1.33773,1.16635,0.48151,0.45871,0.0,1.93519,0.0,0.0,0.0,3.01083,5.8286,1.91987,1.19246,1.97374,0.0,0.58678,2.39777,3.97964,1.1988,0.8548,0.62832,1.03205,0.19856,1.22315,2.02142,1.97677,0.0,1.06468,0.0,0.21117,0.0,0.38116,0.0,0.0,7.85052,0.59789,0.36185,3.61664,3.33089,0.0,6.53192,3.73809,2.26754,1.84946,0.0,10.61388,7.99284,4.52451,0.49478,2.51874,0.51707,0.19579,1.71482,61.09517,0.0,1.80754,2.57991,13.47641,0.0,1.99544,0.30663,0.0,0.0,0.0,26.13663,3.38369,0.12012,1.05621,0.60067,0.21407,17.64148,0.0,0.0,0.5403,0.0,0.0,4.79939,2.90059,1.42073,1.86785,0.54057,1.74023,8.07242,3.88985,1.05233,0.0,4.33195,8.54581,0.0
-4.25,0.0,0.07792,0.26374,0.14904,4.62909,0.14621,1.68625,1.14867,6.17552,0.0,0.54862,10.69494,2.64935,1.18204,4.22954,0.41709,12.40037,0.50832,5.00944,0.19885,1.40028,0.0,13.38287,21.82114,0.0,0.0,0.0,8.24153,0.54617,0.0,0.0,4.15931,1.54858,1.15738,1.66411,10.47809,1.32917,0.69416,0.62665,0.42397,0.0,0.65009,0.82611,0.42925,1.23502,2.01432,1.22148,0.90378,5.98007,0.0,0.0158,0.0,0.94196,0.13218,0.0,2.44412,1.13293,3.19788,0.0,0.90049,5.57751,0.0,1.11018,0.0,0.0,6.008,0.0,0.68204,0.17711,2.21982,0.31405,4.46582,1.80419,0.0,3.18267,1.443,0.57067,0.0,3.49509,0.0,0.0,0.0,1.26115,0.79121,0.0,0.0,0.0,4.62945,0.0,18.36329,2.62577,0.3337,0.0,0.0,0.0,4.25892,0.29807,3.86537,0.0,0.94458,5.32004,7e-05,0.0,0.21407,0.5887,0.0,0.0,2.99556,2.01393,0.21331,1.85496,1.29463,1.79734,1.64197,0.78546,0.0,1.56452,0.0,0.82994,0.39566,3.37797,0.0,1.86877,1.14836,0.18422,1.89836,0.0,0.0,0.91104,0.77221,16.29422,0.0,0.0,0.0,0.0,36.76172,0.0,0.0,1.18505,0.0,1.74456,11.59788,6.00655,0.0,0.7679,3.16783,0.0,5.53903,3.52319,1.33773,1.16636,0.99749,0.45871,0.0,1.52633,1.72573,0.0,0.0,3.06318,5.8286,1.9484,1.44545,2.14634,12.12212,0.58679,1.78634,2.37786,1.19881,1.21068,0.62832,1.74151,0.29221,1.22321,1.04646,2.13883,0.0,0.82231,0.0,0.77875,0.0,0.70849,0.0,1.53131,7.85052,0.83478,0.34348,3.66275,2.9964,0.0,4.75361,3.80118,3.23166,1.589,0.0,10.70731,6.37306,4.52452,0.9205,2.51874,0.51707,0.19579,1.46187,61.09517,0.0,1.80755,2.66005,7.45325,0.0,1.99544,7.18044,0.0,0.0,0.6327,26.13663,2.45025,5.65711,7.45146,2.23421,0.21407,17.64148,0.0,0.0,0.5403,0.0,7.08274,4.79939,2.90059,1.52089,1.30918,0.54057,1.74023,6.6093,3.88985,1.30283,0.0,4.40978,6.86991,0.0
-4.0,0.24396,0.1607,4.80778,0.14904,5.69636,6.5403,1.68625,1.15452,4.46944,2.74233,0.54862,7.43323,2.64942,1.30622,4.22954,4.09121,12.40037,0.50832,6.46938,8.99515,1.40028,0.0,11.93505,21.82115,0.0,0.0,2.4681,8.27471,0.54617,14.67902,2.50141,4.15931,1.43771,2.54471,1.41561,10.17863,1.57841,0.75221,0.64581,1.44794,0.95561,0.65009,0.85056,0.47187,1.06666,2.01432,1.22148,0.93116,5.98007,0.0,3.16686,0.8731,0.94196,0.13218,0.0,2.25201,1.18153,3.20056,0.0,2.24072,5.57751,2.30283,4.56747,0.0,0.05042,6.09288,0.0,0.70876,0.17711,2.55355,4.43321,4.46583,1.52192,1.15221,3.30054,1.4234,1.68586,0.0,2.4949,0.0,0.0,0.0,0.46937,3.81218,0.0,0.0,0.0,5.55888,0.0,9.99585,2.62577,3.12077,0.0,0.0,0.0,3.34441,0.32406,2.72008,0.77674,0.96311,5.3201,0.58971,0.0,0.21407,0.67726,0.0,0.0,3.0077,2.01393,3.70798,2.74899,1.03493,1.69807,1.88567,0.78546,5.65682,1.61081,0.0,0.93002,0.55287,2.27726,13.75472,1.86877,1.19498,0.31695,0.9153,11.50458,10.73216,1.08238,0.76766,16.55159,0.0,0.0,0.0,19.53203,37.23458,0.0,0.0,1.27958,0.0,2.59266,11.59812,6.00655,8.89742,0.7679,3.07452,0.50878,5.53903,3.52319,0.82335,1.16636,1.01224,0.64344,0.0,1.39326,1.16216,0.0,0.0,3.06318,2.82715,1.83857,1.44545,3.22333,12.12213,0.58679,2.0365,2.8183,0.85832,1.10991,0.95941,1.74153,0.29222,1.28623,1.18746,1.33941,0.0,0.82231,1.88467,0.79618,0.0,0.70849,0.0,1.28617,8.09957,0.96116,0.82923,3.66275,2.66717,3.14073,4.75361,3.83925,3.13011,1.4553,0.19961,12.84859,6.51095,3.59158,1.09101,3.2766,0.61236,0.19579,2.50573,61.09517,0.0,2.60837,4.29246,7.45326,8.34668,1.30102,7.18044,0.0,0.0,0.6327,26.13663,2.45025,5.66257,5.02982,3.13336,0.7116,17.64148,1.16985,0.0,0.7514,0.0,5.94101,5.72794,2.85781,1.76427,1.32126,0.54059,1.37551,6.42899,4.04553,1.38302,0.0,4.40978,7.13603,0.0
-3.75,0.24396,5.67457,5.87227,0.29787,3.60207,5.07729,1.55986,7.58458,5.09335,3.59512,2.62984,9.63673,6.53749,2.34257,4.22954,4.11637,8.24149,0.50832,8.28798,9.03526,1.86247,0.0,11.93505,21.82115,1.20895,2.33616,2.4681,8.28321,0.54617,14.67902,2.50141,4.15931,1.42197,2.41442,1.72734,10.20971,1.45563,0.76728,0.66998,1.32339,0.95561,0.53455,0.66896,0.52971,1.1142,1.42951,1.05291,1.08613,3.53122,0.0,3.84852,0.8731,1.42521,1.2172,5.86091,2.09828,1.00899,3.23114,0.0,2.26406,5.57751,2.58969,4.45419,5.76741,0.05042,6.09288,0.0,0.70876,0.17711,4.98158,4.43322,3.25363,2.05082,1.15222,3.30054,1.16202,1.37658,4.47656,1.93596,0.0,2.16477,0.0,3.3057,3.34429,5.4829,3.06459,0.0,5.55892,0.52832,10.05991,2.4684,3.12077,12.52863,6.52033,0.0,3.82332,3.81665,2.73382,0.77674,2.00473,4.01721,1.59473,3.2186,25.68959,8.91383,0.0,0.0,3.0077,2.41018,3.78555,2.88727,3.57635,1.69807,3.7277,1.00307,5.65683,1.45257,5.66204,1.96004,0.91791,2.3726,13.75472,6.9257,0.86002,2.5896,0.9716,11.73696,16.26094,1.25045,0.74902,16.55159,0.0,0.0,0.0,26.41062,37.46685,3.4986,0.70247,1.11896,48.4212,2.5476,13.65125,4.68705,8.95549,0.98247,3.14603,1.39409,5.35249,3.1216,0.86902,1.68956,0.86424,0.6149,0.0,1.39326,3.07798,0.0,0.0,1.80891,3.03837,1.85671,1.79651,2.54752,12.23162,35.83934,2.7579,3.36133,1.09884,1.34254,1.05499,2.51011,0.29222,1.35402,1.18746,1.79284,3.31942,0.8481,1.88467,0.79618,5.06665,0.54184,0.0,1.2751,8.09957,0.96116,4.957,2.85747,2.3024,3.18937,3.84677,3.91105,3.13011,1.11567,0.19961,12.99593,6.62353,4.28956,0.93108,3.36047,0.61236,0.18692,3.4479,42.39505,0.0,2.65075,3.42806,7.45326,6.29362,1.30102,6.48762,1.33522,4.84251,3.02914,26.23965,3.05659,3.32885,5.02982,2.64716,1.20978,23.48127,0.64777,4.52076,0.60703,1.48387,5.94101,6.88659,2.19993,2.32067,1.40883,0.54059,1.39613,6.42899,2.71821,1.30428,0.5006,3.11306,7.15844,5.85186
-3.5,2.15038,3.64816,6.63154,0.29787,3.39909,5.83633,1.55986,5.69387,5.09335,3.59512,3.04634,8.36755,7.94798,4.24169,4.22954,4.11637,8.24149,0.52391,7.80581,7.12576,3.41933,14.42345,10.83789,12.41345,1.20895,2.02365,2.04098,8.28321,2.79344,29.88358,2.50141,9.8111,1.29525,1.96035,1.69033,8.76275,1.43122,0.81495,0.59183,1.49237,0.94895,4.72836,0.6326,1.4251,0.98587,3.95678,1.05858,1.05887,2.99509,0.1649,2.98521,6.18744,2.73341,0.93526,5.97048,1.91544,1.00899,2.74665,0.0,2.50099,5.57751,2.58969,6.63773,5.76743,2.00117,6.11396,13.16199,5.27767,0.17711,3.9772,4.55694,3.44669,2.03687,10.84891,9.71666,1.34589,1.44377,7.0128,2.36477,0.0,2.16478,7.93563,3.97155,2.96719,5.88934,3.06459,3.47568,11.31143,1.90774,8.43256,2.44225,3.12077,8.39353,6.60052,0.0,3.45582,3.81665,2.73382,8.80995,2.03784,3.75512,2.15429,8.47589,18.41866,8.91383,0.32526,0.96983,4.23809,1.82516,2.90952,2.88727,3.3137,2.76858,4.22588,1.08417,5.65683,1.65545,3.76706,1.39282,1.05808,2.24823,7.40388,6.94423,0.77224,2.08008,2.50562,12.0625,23.82068,1.45228,0.73536,16.55159,10.20366,0.0,0.0,28.16592,39.35439,5.10984,0.93196,0.98892,35.04929,2.35674,8.71115,4.7884,9.52796,1.01687,3.18169,1.82729,5.53982,2.85995,1.03808,1.81331,0.83371,0.64548,20.83285,1.66354,3.08138,17.86055,18.5535,2.128,2.76184,1.83188,1.28672,2.59152,7.05089,36.29722,2.79939,3.21327,1.23568,1.27091,0.96046,2.56843,0.29222,1.80083,1.2877,1.79284,4.94828,1.15196,2.53942,1.72487,14.8467,0.94967,10.25096,1.18831,8.79163,1.00677,4.01037,2.96829,4.01189,5.63037,3.48305,3.95538,4.65019,1.05874,2.82847,12.36616,6.95143,5.018,0.93108,2.7093,0.98671,0.18693,3.80879,31.85193,0.0,2.65075,3.45799,6.46479,5.43439,1.30465,6.48762,1.72638,3.53365,2.28928,17.81458,3.18737,3.7709,6.55119,2.64716,1.20978,23.48128,6.54025,5.18162,0.60703,2.12555,5.94101,6.76113,1.91835,2.35206,1.40883,0.5406,1.30224,4.6054,2.71821,1.30428,4.86275,2.82528,13.17953,3.42024
-3.25,3.33012,2.6029,7.20047,4.41584,3.1408,5.83318,1.74444,6.12856,4.36,2.96354,3.80023,8.36755,7.94798,4.62972,7.51059,4.30988,15.12559,0.52391,7.80581,7.12576,4.94547,14.42345,11.24869,12.41345,5.04286,1.92178,2.04098,8.8858,2.75605,21.29308,18.56554,10.7398,1.34687,1.66791,1.7051,7.52747,1.66184,1.02733,1.15443,1.74617,1.02291,7.77861,0.75112,1.26255,2.43678,3.99069,1.33102,1.59277,3.0093,7.49455,2.12529,4.93449,2.73341,1.36588,4.51195,1.77771,1.0531,3.2595,0.0,1.92289,3.50495,26.80723,6.49224,9.02236,2.00117,6.92732,13.16199,3.45826,0.17711,6.28139,4.76664,3.77188,1.9851,7.09838,9.77762,2.93195,3.13538,7.01281,2.36477,0.0,3.22748,7.93563,3.97469,2.82641,6.10453,1.85276,1.7553,11.34284,3.49919,7.86522,2.77343,3.12081,5.61582,4.61641,0.0,3.45582,3.82903,2.68381,8.80995,2.16142,3.28694,2.15429,6.69963,12.23069,8.94038,10.23863,1.2536,3.83741,2.00387,2.90952,4.6106,3.3137,2.96044,3.06296,1.22175,4.28539,2.17631,3.82214,1.29453,1.36869,2.2513,4.0885,5.38047,0.87215,1.93879,2.56939,10.66247,27.62414,1.5151,0.72227,10.10316,13.74712,0.0,19.15071,28.73258,39.97877,4.50601,0.56622,0.90937,35.4772,2.30404,7.80971,4.90197,13.51479,0.947,3.07243,1.6159,4.30597,3.45976,1.18952,1.98379,0.91681,1.04083,23.25879,2.01629,3.81192,18.46882,16.42696,2.29337,2.99412,1.86951,2.18721,3.07638,11.25958,25.2882,2.46266,3.06873,1.18882,1.38617,1.09465,4.20912,0.70149,1.91755,1.48179,1.96763,5.82558,1.71642,1.22333,1.68706,7.91782,0.89257,13.25777,1.07408,8.90102,1.92138,3.73272,2.88224,3.54375,4.48079,5.26628,3.47693,3.22318,1.10748,4.65289,10.01182,7.52772,4.81199,1.60636,2.77736,1.40685,1.5461,5.77803,22.24102,0.0,3.08949,3.47747,6.5561,5.43439,1.22646,3.35153,1.72638,3.53365,2.28928,17.81458,3.23182,3.34551,10.03092,2.89806,4.85195,23.48128,4.41121,4.86433,1.43385,2.19794,5.94101,6.76113,1.91835,2.24964,1.71116,1.89348,1.28213,3.63972,3.53196,3.0303,2.66443,2.82528,7.3615,5.07981
-3.0,2.96755,4.95997,6.51839,3.66054,3.16787,5.59096,1.75355,15.58052,5.58841,2.90541,4.25342,6.8063,14.5502,4.00238,4.37713,6.90417,15.12559,1.12733,7.31021,12.43757,4.23032,16.60383,11.24869,12.41345,6.66072,8.75214,3.54444,7.34536,2.75605,19.64197,19.05415,12.60294,1.42302,1.51994,1.66163,9.09559,1.55339,0.86044,1.04654,1.71624,2.66362,6.15741,0.74672,1.34528,2.12824,3.15445,1.46964,1.97691,3.24565,7.49455,2.27294,6.38092,2.28962,1.88163,5.24786,1.81136,1.63121,3.42216,1.25059,1.8542,3.26519,18.0398,6.83397,6.71794,4.18178,7.77783,22.91046,5.45574,7.72471,6.06771,4.02476,3.82288,2.31991,8.64055,7.41172,2.87406,5.30333,3.39287,2.47376,0.0,5.40251,21.65011,4.96511,2.85617,5.66562,31.90779,2.03158,10.4258,5.0236,8.4281,2.77343,1.94712,5.88533,5.67262,4.39093,2.89069,3.71188,3.75239,3.72395,2.38178,3.5524,3.98548,6.69963,8.75144,10.46987,10.23863,7.14789,3.85812,1.85054,2.95469,5.24071,5.91314,3.58517,2.90257,1.61773,2.21697,3.53624,4.44329,1.33756,1.57403,2.29545,2.78968,6.36335,0.9495,1.97487,2.44841,5.71533,18.27491,1.35049,0.73166,12.83598,16.19458,31.19851,19.74273,28.82822,63.16855,4.65923,0.80377,0.94515,35.47722,1.86823,11.50665,4.33336,13.85258,1.11858,2.95022,1.97666,4.73427,4.15532,1.49647,1.98969,0.98716,1.14354,16.66583,1.95524,3.81404,18.15505,16.50287,1.85764,2.56068,2.22962,2.48247,2.87566,10.76241,25.2882,2.46266,2.6263,1.1576,1.16237,1.1324,3.77559,3.32962,1.95222,1.52152,2.05209,5.07444,1.68479,1.27444,1.56229,5.89145,0.91971,14.24791,1.23295,9.573,1.38662,3.39393,2.58385,3.2578,4.48079,5.30526,3.06845,2.53054,1.2872,6.65783,10.26087,6.12536,5.01256,1.49648,2.37698,1.18256,1.99018,4.74942,14.69097,7.8657,2.98738,3.28959,4.47589,4.2063,1.89619,2.8121,2.29503,4.96093,2.36419,17.86812,3.23182,3.34551,8.91827,2.44576,8.0471,16.69273,4.5068,4.86433,1.17421,1.72761,5.38846,6.20577,1.93299,2.33594,1.71204,1.99734,1.28213,2.92234,4.23293,2.54846,2.66443,2.74337,6.99206,5.63158
-2.75,3.35602,4.55912,5.48326,3.75563,2.30984,5.45949,3.43747,10.75599,5.59061,4.24378,3.41294,8.17388,11.89516,3.77223,5.41117,6.66664,9.94659,0.84968,5.69231,10.43488,4.23032,16.60384,10.38571,11.32476,6.66072,12.07061,3.34594,7.56415,2.75605,20.29708,19.05415,7.80753,1.50781,1.61648,2.00639,8.48343,1.64124,0.96914,1.0045,1.59842,2.7338,4.712,0.93469,1.44777,1.82761,2.88266,1.71723,2.37342,4.88557,7.40325,2.40776,5.76358,2.31385,3.94638,4.64351,1.55954,2.10865,3.66852,8.4649,1.58956,2.59425,12.16048,6.7917,5.62765,3.68863,5.33074,24.12786,5.62238,5.5647,7.11667,3.39349,4.07569,2.1651,9.29323,6.76209,2.74852,5.38576,2.97317,3.92773,0.0,7.26008,12.08064,4.65849,2.3799,4.9886,36.85986,1.83204,10.4258,4.44505,6.53449,2.61672,2.8415,9.91127,6.36878,4.39093,3.50426,2.78064,4.51931,2.78767,2.10967,3.5524,5.00923,5.85642,7.45212,10.00711,10.90627,5.63701,5.96203,1.85054,5.0125,5.24071,6.10208,3.75416,2.80613,1.75574,3.29432,3.05682,4.1252,1.54112,1.54219,2.18051,2.37083,5.54507,0.89002,1.86169,2.16952,5.76113,26.18453,1.45965,1.21292,14.35674,10.52606,34.43746,22.42318,22.81332,113.32724,5.52786,0.61625,0.89236,47.78446,1.78547,9.6366,4.3983,11.22145,1.22591,2.56478,1.72734,4.79869,2.9626,1.38697,2.68481,1.0935,1.19677,18.20765,2.00504,4.90894,18.39755,16.51867,1.78776,3.11,2.0865,2.17773,2.60701,12.82017,15.61654,2.18891,2.80735,0.99145,1.0424,1.12497,3.74873,3.86289,1.82831,1.81508,2.19694,6.30993,2.23813,1.27444,1.79807,5.58919,1.13071,12.477,1.37642,4.63292,1.22935,3.16572,2.25831,2.50942,5.44216,4.78266,2.61435,2.87067,1.40314,6.35686,8.62386,5.71567,4.43784,1.6331,1.89032,1.05152,2.02871,4.12744,12.69184,4.88567,3.0294,3.28959,4.54573,4.60823,2.30702,2.29761,2.10491,4.85116,2.36419,33.98409,3.32857,6.73792,9.00033,2.31642,7.7581,11.94521,4.46752,4.69618,1.6453,2.02449,4.87177,5.81235,2.50205,3.08458,1.72805,1.45957,1.38186,2.92234,5.07786,2.46147,2.3922,2.77003,5.01646,3.80184
