,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24,time_25,time_26,time_27,time_28,time_29,time_30,time_31,time_32,time_33,time_34,time_35,time_36,time_37,time_38,time_39,time_40,time_41,time_42,time_43,time_44,time_45,time_46,time_47,time_48,time_49,time_50,time_51,time_52,time_53,time_54,time_55,time_56,time_57,time_58,time_59,time_60,time_61,time_62,time_63,time_64,time_65,time_66,time_67,time_68,time_69,time_70,time_71,time_72,time_73,time_74,time_75,time_76,time_77,time_78,time_79,time_80,time_81,time_82,time_83,time_84,time_85,time_86,time_87,time_88,time_89,time_90,time_91,time_92,time_93,time_94,time_95,time_96,time_97,time_98,time_99,time_100,time_101,time_102,time_103,time_104,time_105,time_106,time_107,time_108,time_109,time_110,time_111,time_112,time_113,time_114,time_115,time_116,time_117,time_118,time_119,time_120,time_121,time_122,time_123,time_124,time_125,time_126,time_127,time_128,time_129,time_130,time_131,time_132,time_133,time_134,time_135,time_136,time_137,time_138,time_139,time_140,time_141,time_142,time_143,time_144,time_145,time_146,time_147,time_148,time_149,time_150,time_151,time_152,time_153,time_154,time_155,time_156,time_157,time_158,time_159,time_160,time_161,time_162,time_163,time_164,time_165,time_166,time_167,time_168,time_169,time_170,time_171,time_172,time_173,time_174,time_175,time_176,time_177,time_178,time_179,time_180,time_181,time_182,time_183,time_184,time_185,time_186,time_187,time_188,time_189,time_190,time_191,time_192,time_193,time_194,time_195,time_196,time_197,time_198,time_199,time_200,time_201,time_202,time_203,time_204,time_205,time_206,time_207,time_208,time_209,time_210,time_211,time_212,time_213,time_214,time_215,time_216,time_217,time_218,time_219,time_220,time_221,time_222,time_223,time_224,time_225,time_226,time_227,time_228,time_229,time_230,time_231,time_232,time_233,time_234,time_235,time_236,time_237
-5.0,0.0768,0.0,0.0,0.94649,0.0,19.70886,0.0,32.01928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38738,0.0,0.06567,0.10276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43647,0.17521,0.0,0.22514,0.2626,-0.00207,0.84157,2.64936,0.27447,1.31999,0.17214,0.0,0.0,0.81747,1.02663,0.36865,0.0,3.97313,0.0,0.0,0.18346,0.25443,0.0,0.0,0.19985,0.0,0.91152,2.06456,1.83803,0.0,0.0,0.03813,0.0,5.28168,5.72556,0.0,0.0,0.27705,0.1071,0.0,0.20283,0.0,0.0,0.24237,0.93607,0.0,0.0,0.03139,24.91301,0.0,0.0,0.00011,0.0,0.06523,0.44081,12.86167,0.12596,0.0,0.88803,4.59581,0.0,0.0,0.08483,0.35356,1.83579,0.0,0.0,0.13916,0.0,0.0,0.0,0.08728,0.0,0.0,0.0,6.15546,6.25517,0.0,0.0,2.66861,1.70738,0.0,0.0,0.0,0.0,0.0,0.0,2.91679,11.33613,1.39833,0.0,1.33163,0.62661,0.0799,0.0,0.0,0.0,1.95633,0.52959,1.12443,1.47309,0.33399,1.66932,1.17613,3.97325,1.07709,0.94753,0.66723,1.00857,0.0,0.0,0.59477,1.83317,1.30855,0.179,0.0,7.08359,0.0,3.20657,5.68496,6.62081,0.0,0.20152,2.47789,55.1813,0.0,3.00522,0.0,1.20626,1.08941,2.08879,2.07721,1.05146,0.08869,0.19985,0.0,0.0,0.15076,0.01096,0.0,0.0,2.10805,0.28863,1.72293,0.04335,4.65462,0.09695,10.37606,0.0,0.0,0.19164,0.70797,0.0,0.59182,0.36152,0.93531,0.03633,1.73422,0.0,8.89331,3.05546,2.72543,3.80106,0.0,0.0,1.27748,57.99993,3.6949,1.74558,0.08496,0.8532,0.44452,0.56194,0.7741,0.14726,0.0,0.0,0.0,0.0,0.0,0.0,0.44448,1.79806,0.0,0.10495,0.0,0.0,9.85777,0.0,2.5247,0.59292,2.92944,0.48946,0.01592,0.0,0.0,0.23518,0.0,100.23616,1.51185,0.12994,15.46118,0.05402,2.44998,0.13093,17.5519,0.1043,4.82372,0.0,1.99704
-4.75,0.0768,0.0,0.0,0.94649,0.0,10.73192,0.0,32.01928,0.0,0.0,15.74164,0.0,0.0,0.0,0.0,4.4031,0.0,0.06567,0.10276,0.0,0.0,0.0,0.03172,0.0,-0.00823,0.0,0.0,0.0,1.43647,0.17521,0.0,0.22514,0.2626,-0.00207,0.84157,2.64936,0.27447,1.26514,0.31997,0.0,0.29556,0.64094,1.02663,1.23996,6.95841,4.08531,0.0,0.0,0.18346,0.22666,0.0,0.0,0.7078,0.0,1.07383,1.89,1.83803,0.11895,0.0,0.03813,0.0,4.20375,5.72556,0.0,0.0,0.27705,0.1071,0.0,0.20283,0.0,0.0,0.24237,1.0668,0.0,5.74432,0.03139,24.91301,0.0,0.0,0.00011,12.103,0.06523,0.44081,12.86167,0.12596,4.64057,0.88803,4.59581,0.0,0.0,0.08483,0.35356,1.83579,0.0,0.0,0.13916,0.0,0.0,0.0,0.08728,0.0,0.0,0.0,4.50236,6.31404,7.58609,24.54397,2.66861,1.32033,0.0,2.09537,0.0,0.0,0.0,0.0,2.91679,11.33613,1.24221,0.0,1.33163,0.479,0.0799,0.0,0.0,0.0,2.56842,1.04094,1.11824,1.53239,0.3525,3.05906,1.225,2.84657,1.08015,0.863,0.66332,0.81768,0.52277,0.0,2.19156,1.56088,1.44471,0.179,0.0,7.08359,0.0,2.42075,5.89265,5.40986,0.12502,0.20152,1.67004,43.89502,0.0,3.00522,0.0,1.48798,1.72053,2.94123,2.10697,1.05146,0.08869,6.64864,0.0,0.0,0.15076,0.01096,0.0,0.0,1.58105,0.28863,5.3949,0.04335,9.23873,0.09695,10.37606,0.10512,0.0,0.239,0.70797,0.0,6.2572,1.27997,0.97676,0.03633,1.3739,0.0,8.69934,3.05546,2.72543,3.80106,0.0,0.0,1.61471,57.99993,3.41533,1.74558,0.08496,0.8532,0.50725,8.90646,0.77667,0.14726,11.0943,0.0,3.52336,0.0,0.0,0.01132,1.20855,1.91024,0.0,0.10495,0.0,0.0,10.10306,0.0,2.5247,0.59292,2.92944,0.51941,0.01592,2.96574,0.0,0.23518,0.0,58.8592,1.51185,0.09335,10.32365,0.05402,2.21543,0.13093,17.5519,9.01106,5.30843,0.0,1.99704
-4.5,0.0768,0.0,0.0,0.94649,0.0,8.61567,58.86688,32.16267,279.52608,0.0,27.65754,0.0,0.0,0.0,0.0,4.4031,0.0,0.06567,0.10276,0.0,0.0,0.0,9.98112,0.0,-0.00823,0.0,0.0,0.0,1.43647,0.17521,0.0,0.22514,0.16848,-0.00207,0.8468,2.64936,0.5667,1.4105,0.50704,0.0,0.3872,0.65818,1.02663,1.29636,19.82824,4.19565,0.0,0.0,0.18346,6.04557,0.0,5.0932,0.7078,33.35556,11.25514,1.96424,1.43351,0.11895,0.12663,0.03813,0.0,7.40904,5.72556,0.0,0.0,0.27705,0.24265,0.0,0.20283,0.17262,20.95683,0.24237,1.07008,0.61656,5.74432,0.03139,24.91301,0.0,9.42747,0.00011,12.103,0.06523,0.44081,18.19875,3.22192,6.04449,0.88803,4.59581,0.0,11.43841,0.06502,0.35356,1.83579,0.0,0.0,0.13916,0.09911,0.0,0.0,0.08728,0.0,0.0,0.0,5.78027,6.88807,7.58609,24.62905,3.22597,1.32679,0.0,2.7443,0.0,0.0,0.0,0.0,2.91679,6.77097,1.15298,0.19074,1.86447,0.44115,0.0799,0.0,14.14521,0.06425,2.56842,1.14601,1.23856,1.58187,1.17725,2.72574,1.18531,2.37134,1.16577,0.623,0.64647,0.92361,0.52277,0.0,1.72178,1.83522,2.34028,0.179,0.0,7.08359,0.0,2.41826,7.68884,4.06841,0.12502,0.20152,1.85016,43.89502,0.0,3.00522,0.0,1.38508,1.77421,2.94123,1.9806,1.2545,0.08869,4.39854,0.0,0.30447,0.15076,0.01096,1.54826,0.0,2.18924,0.28863,6.23543,0.04335,7.07168,0.14554,11.77054,1.65418,0.0,0.239,0.70797,0.0,6.40718,1.0609,1.18416,0.46551,1.39508,0.0,8.78712,3.05546,2.72648,3.80106,4.88956,0.0,1.65911,58.19039,3.41533,1.78816,0.08496,0.8532,1.51966,8.90646,0.77669,0.14726,10.22741,0.0,3.52336,1.29387,0.61932,3.98564,4.28258,1.91024,0.60206,0.10495,0.41661,0.0,9.3065,0.0,2.5247,7.78559,3.67238,0.51941,0.01592,2.96574,0.0,0.23518,0.0,58.88824,1.41074,0.35155,11.28917,0.05402,2.21543,1.37517,11.88535,9.01106,5.37405,0.0,1.99704
-4.25,0.0768,0.0,0.0,0.96223,0.0,9.03738,58.86688,32.16267,279.64554,3.29358,31.3933,0.0,0.0,0.0,0.0,4.4031,0.0,0.06567,0.10276,0.0,0.0,0.0,5.98034,1.52242,-0.00823,0.0,0.0,0.0,1.43647,0.17521,0.0,36.65124,0.16848,0.37034,0.8468,2.68645,0.70457,1.41738,0.50439,0.0,0.30494,6.67071,1.02663,1.28756,19.82824,3.32016,0.0,0.0,50.366,5.19075,0.0,5.0932,0.74334,33.49686,11.25514,1.96681,1.50832,0.11895,0.12663,0.03813,0.09594,6.38774,3.66761,0.0,0.43478,1.53378,3.76148,0.0,0.25466,4.83349,20.95683,0.24237,1.20925,4.47854,4.62799,2.30718,26.36408,0.0,9.42747,0.00011,12.103,0.06523,0.44081,16.98747,3.22192,7.37753,0.97781,4.59581,14.7613,6.5379,0.06502,0.35356,8.99669,4.17473,22.01401,2.40216,0.09911,0.0,0.0,0.08728,0.0,0.0,0.0,5.78027,11.4656,7.58609,16.452,3.22597,3.33909,14.89511,2.99827,0.0,16.28595,0.0,0.0,2.91679,6.77097,1.22679,0.19074,1.42743,0.44115,0.0799,4.92648,14.14521,0.06425,2.56842,1.04425,1.21085,1.32891,1.26728,2.38182,1.08742,1.94178,2.29785,1.01753,0.64647,0.92361,1.27452,0.0,1.51076,1.9475,2.31995,0.16272,27.06762,7.08359,34.68203,2.38573,7.68884,3.08869,0.12502,0.20152,1.67632,25.12099,0.0,1.48736,0.0,1.30405,1.45379,4.9588,2.09654,10.03328,0.08869,3.55173,0.0,0.30447,0.15076,0.01096,2.07102,0.0,2.0389,2.87026,4.641,0.04281,7.07168,0.14554,11.77054,1.88631,0.9887,0.239,0.70797,0.0,5.4236,0.93866,1.20396,0.46551,1.39508,0.0,8.78712,1.91172,3.41092,3.80106,4.88956,0.0,1.65231,70.58789,9.0388,1.76649,0.08496,0.8532,1.51966,8.90646,2.31934,0.14726,10.22741,0.0,3.52336,1.39936,0.61932,7.05319,3.57441,1.91024,0.84438,0.10495,0.41661,0.0,7.9245,0.11727,2.5247,19.66827,3.78208,0.51941,2.69356,2.96574,0.0,17.01509,0.0,59.06054,1.11657,0.35155,9.12409,1.42434,2.16249,1.42457,9.28109,9.01106,4.60427,0.0,1.1371
-4.0,0.0768,3.33623,0.23092,1.25783,42.64251,7.75224,44.74445,25.47178,279.64554,24.70694,24.24899,0.0,0.0,0.0,0.0,4.71464,0.0,0.06567,0.10276,0.0,0.0,472.61174,5.98034,41.73954,-0.00823,0.0,0.0,425.86545,1.43647,0.76545,0.0,36.65124,0.16848,1.1325,0.8468,3.43001,5.71258,1.39452,0.83296,0.0087,0.32058,5.74682,1.49758,1.32721,11.25808,3.32016,9.19201,1.27665,35.48716,3.97649,0.0,2.27754,0.74334,17.02983,11.25624,1.79267,1.31457,4.54249,0.12663,0.03813,0.18897,6.26553,3.6886,0.0,13.84452,1.53378,3.76148,0.0,0.44687,3.31207,87.04487,0.24237,1.42439,5.1061,2.44615,1.75126,21.11757,0.0,17.56782,0.00011,8.52359,6.38642,1.0558,15.54111,12.14593,7.71044,0.66428,4.59581,7.56175,7.08927,0.06502,0.35356,9.30934,36.72738,16.54337,10.42468,0.09911,0.0,0.0,0.08728,0.0,2.38953,0.0,7.20231,19.10103,7.58609,14.10391,8.7824,3.22757,15.11505,3.37973,14.80114,12.81188,0.0,25.36537,3.46411,6.8215,2.72446,28.35231,1.15942,0.96625,0.92564,9.19623,14.14521,0.12225,3.24546,0.96337,1.13301,1.36928,1.26209,2.00455,0.99592,2.12774,2.09224,0.91838,0.78834,1.52117,1.11922,0.58928,1.43896,2.16186,2.34833,1.00527,15.09218,2.88569,19.43927,3.39988,7.68884,3.54088,0.12502,0.20152,2.5373,17.88458,0.0,3.78494,0.0,1.51461,1.78659,7.86027,2.22762,5.46592,0.08869,3.87276,0.05132,0.30447,6.4257,7.70557,2.07102,71.28441,2.37933,2.87026,3.74653,0.05827,15.1864,0.14554,14.02664,2.6822,0.9887,0.84239,0.60918,0.0,4.74681,1.48871,1.88759,0.71165,1.208,0.0,9.10186,1.83744,3.17177,32.61351,7.70049,0.0,2.12338,39.20228,8.17491,3.06013,0.08496,1.4504,1.53745,8.90646,2.12089,0.14726,12.43664,2.04136,3.52336,1.39936,1.1642,5.34531,6.92634,1.91283,2.68294,0.10495,2.10721,288.10405,7.92579,4.70881,2.53502,14.40145,8.54395,0.95827,2.51875,2.96574,0.0,25.23627,49.57204,59.06054,1.13055,1.32838,9.79447,1.22925,3.33304,1.83591,9.28109,7.0563,3.7974,0.0,1.1371
-3.75,0.0768,9.79707,15.64396,1.25783,21.96469,6.73965,30.58315,29.14728,279.64554,31.05702,25.67826,0.0,0.0,13.13559,0.0,4.71464,0.0,0.06567,0.10276,0.0,76.23902,476.25412,8.01511,25.63787,-0.00823,91.54441,87.98832,425.86545,8.05417,0.76545,0.0,27.49899,0.16848,1.29251,0.78772,12.22975,3.81088,1.26463,0.73853,0.0087,0.32058,4.82367,1.60437,3.00156,10.48626,3.52646,9.19201,1.27665,36.99193,3.32104,101.27116,2.33474,3.69696,7.11116,11.27651,2.0056,2.14086,18.63647,0.12663,3.90697,10.99067,6.55065,3.72634,0.0,9.55187,1.53378,3.31118,0.0,0.44687,7.7933,87.18977,0.24237,1.80581,4.37416,3.84082,5.56549,27.1092,0.0,17.56782,0.01366,7.07439,6.18896,1.0558,13.57986,11.08231,7.71044,0.66428,2.3949,5.17801,9.74541,5.63442,35.2441,9.44317,36.72738,16.78227,10.75444,12.01461,0.0,10.44388,6.82133,3.91509,2.38953,2.24729,7.20231,16.37382,31.61263,13.05586,8.25431,2.90484,8.36777,4.14581,11.30475,10.97,0.0,9.98298,3.45309,9.37884,2.38952,28.41742,0.95302,6.49435,0.93429,7.02883,14.14521,1.50332,4.82447,1.57594,1.0813,1.2012,1.51378,1.77759,1.02253,2.55054,2.1622,1.08166,1.11739,1.52633,1.47363,2.79834,1.63821,1.87609,3.61919,2.3481,6.26295,3.35072,9.49186,2.39628,5.38118,3.74579,0.12502,0.20152,2.59306,12.39662,0.0,3.17217,0.0,2.28554,2.03077,7.47312,2.94397,5.79273,0.08869,3.97732,0.23737,0.21868,6.04659,7.70557,2.13659,71.43578,2.41579,2.89446,3.80603,1.17169,15.2049,0.14554,11.3757,2.55843,0.9887,0.67967,0.60918,0.0,3.20067,1.22646,1.67518,10.12861,1.78118,0.0,9.24066,3.73761,3.50125,32.65598,5.37466,0.0,2.41898,27.04646,7.6853,3.06134,1.75062,2.44704,1.80986,8.90646,2.13234,5.62487,12.44551,8.28352,3.23974,1.39936,8.4163,5.34531,6.9487,2.02304,3.50967,0.10495,8.7498,288.10405,8.79356,3.36366,2.02653,13.27295,8.55746,1.45617,2.51875,13.84448,54.65377,31.68687,49.90331,36.88102,1.14125,2.3061,10.12912,2.72925,3.8403,2.78938,7.57399,7.0563,4.72584,21.43891,13.58592
-3.5,0.0768,8.8008,15.61661,3.75693,47.46416,8.78268,37.72551,29.14728,142.68013,34.27342,20.57269,0.0,0.0,13.13559,8.42262,10.72147,0.0,10.0361,0.10068,0.0,72.85764,480.13919,8.01511,26.12481,7.90549,91.54441,87.98832,425.86545,15.98223,10.74967,0.0,21.31509,0.16848,1.53616,0.92589,9.96082,5.50143,1.26529,2.53688,0.0087,4.11855,4.21466,3.24982,3.34607,9.47571,3.75082,34.97022,1.27665,36.70393,6.30152,37.86581,2.60985,4.00439,7.85321,11.32994,2.43384,2.19266,14.23862,0.12663,3.90697,10.99067,6.4598,6.93154,41.72403,12.06215,1.56228,4.99393,0.0,0.4702,9.14294,68.17663,3.96272,1.85536,4.51361,11.84864,4.93046,24.20763,4.03679,12.7712,0.01366,13.43796,6.71041,2.30131,10.85286,13.51685,6.3045,0.66428,3.63619,5.19188,8.67701,4.72302,35.2441,10.48474,24.94081,13.38781,9.18466,10.20617,0.0,11.75449,4.46652,17.65287,10.74168,5.95095,8.50357,16.39912,60.00045,16.46466,10.79959,2.673,8.2202,5.53147,11.36891,12.35072,13.25176,8.24667,3.10995,7.62771,3.01245,15.31961,2.25192,5.93337,1.9617,8.51057,8.01026,4.1404,3.01618,3.3516,1.06765,1.07625,1.71403,1.75543,1.11381,2.19441,2.55308,1.00587,1.23435,1.30795,1.14488,1.87252,1.49326,1.67473,3.15042,2.90808,6.49062,3.35645,22.58071,2.4857,3.40587,3.96209,6.96902,6.03079,2.31482,8.84901,0.11884,2.74088,0.0,2.35941,1.9102,6.23773,3.06251,5.79951,0.08869,3.73155,4.62107,21.52583,6.65013,5.02478,5.09565,65.63799,2.5828,1.91132,3.29147,1.72354,15.2049,0.85194,10.81845,7.92185,0.9887,3.6055,0.60918,0.0,3.45136,2.14666,2.90476,8.55254,1.44667,0.85791,6.29507,3.33602,3.20006,54.12386,5.65713,38.65736,2.23734,16.39718,7.19754,3.91995,2.42641,2.38786,2.34954,7.23922,5.55719,5.62487,5.84059,8.28352,4.71406,1.39936,6.79941,4.47262,6.06736,4.94148,3.64866,0.10495,8.20532,288.10405,11.27102,3.36366,2.94883,11.99702,7.25559,3.53896,7.37957,16.43925,58.4372,18.74448,49.90331,33.14632,2.76327,2.46248,8.20607,2.88376,3.75472,3.97924,6.43096,8.63193,6.16587,26.80625,8.8315
-3.25,0.0768,9.97626,9.85017,6.22573,40.19501,9.72245,34.25952,24.37242,74.56914,26.17709,18.34896,0.0,356.24869,14.66902,8.42262,10.72147,12.61569,24.28107,0.10068,0.0,53.63377,498.27854,11.44861,24.697,10.19568,91.54441,79.58882,636.65546,15.77465,15.47654,170.79406,19.55198,28.43028,1.96161,5.757,14.53015,4.46581,1.27895,2.72387,0.0087,4.82795,5.0994,3.43031,3.54196,9.82468,2.73989,37.05116,1.27665,31.53519,6.46207,39.95934,3.57851,5.67483,8.73964,11.42257,2.48905,3.31707,12.57975,9.7607,3.70691,11.80788,6.74817,9.51191,41.72403,14.4058,10.98398,6.63561,17.84049,0.43507,7.71042,35.5673,7.78057,2.27742,4.50323,10.10973,6.5292,18.63112,6.74244,33.75248,9.86276,14.05583,20.19719,4.17709,11.4361,13.61379,3.54091,2.90576,4.06569,5.53235,8.41793,6.01053,48.59678,8.3501,21.09014,14.91901,8.92097,8.49364,0.0,7.66529,15.93513,14.74534,11.59289,8.01742,8.88894,16.60853,53.65247,15.38864,14.41473,2.94173,10.93254,5.47023,12.40512,19.3696,18.86706,6.66281,5.13923,11.49013,3.08857,15.36932,3.20754,5.19818,3.65553,7.11745,8.0828,4.12449,4.52418,3.39389,1.05602,1.33246,1.71239,1.9675,1.09913,2.27629,2.05966,1.11041,1.13176,1.40381,1.56192,2.86199,1.39172,1.82853,2.50645,3.26654,4.87778,3.37404,19.9117,2.61072,3.01736,4.11503,5.32816,9.55405,2.09679,7.40776,0.11884,2.42938,0.0,2.37464,1.83008,11.93995,3.3733,4.95677,0.08869,3.55038,7.97726,16.29953,8.99546,5.60253,4.45995,31.71815,3.07027,3.06331,3.31537,2.71293,12.11385,1.42003,8.80209,6.51488,1.07463,5.24967,3.24551,0.0,4.92053,2.23925,4.4422,7.13953,2.29742,0.99899,6.48021,5.46352,3.19256,59.79743,4.43161,29.2357,2.12562,14.5742,6.66976,3.30212,4.0151,2.39177,2.1086,11.01112,4.71545,9.62045,7.3581,5.54478,3.01441,1.39936,9.65722,4.48766,9.76494,3.73004,3.22579,0.20408,7.97519,288.10405,10.84373,6.75804,3.73805,15.98338,7.53623,3.74847,6.42772,28.44127,77.99952,18.54012,20.12979,33.20773,12.20048,2.78777,7.1882,3.88461,3.72214,4.1419,7.87109,6.05009,8.33171,18.69133,8.17383
-3.0,10.72083,9.37959,12.0,5.45866,33.83804,8.5122,35.8643,18.53457,68.69454,26.18703,17.12968,0.0,218.72523,10.386,9.8182,33.10885,19.5652,38.6333,3.10154,0.0,51.90466,521.26387,21.8177,25.93653,8.17251,91.54441,82.24213,636.65546,27.33056,16.68832,184.42688,18.38031,15.14997,2.26554,5.94242,10.09672,4.41835,1.19905,2.70868,3.04644,4.02953,5.3076,2.97877,2.69283,6.86441,2.51056,30.63988,1.40626,21.97679,5.60679,20.7702,4.72802,8.27975,9.56098,10.4844,3.59975,4.18077,17.2093,19.26168,3.67017,11.01282,5.45116,8.61595,33.91532,11.9521,17.92698,8.77195,22.30648,11.11853,6.26264,30.5557,6.95877,2.47558,4.25163,9.27971,6.33533,14.39532,7.52898,22.56361,7.83752,12.3542,26.79433,5.83255,10.4568,13.66951,8.50442,6.16868,10.59269,5.77317,8.87714,9.69851,32.32815,8.86088,21.25415,12.19362,8.52151,6.81264,0.0,8.30627,13.43617,13.49378,9.32572,17.00819,9.15884,18.40128,47.93291,14.17096,21.27564,5.78162,10.52604,5.60601,12.9571,13.89193,10.68641,5.10832,5.035,6.75031,3.89665,14.8603,3.93638,5.36573,3.4204,5.55756,4.59331,5.80415,4.07822,3.43997,1.04166,1.52408,1.76751,2.25743,1.07629,2.38534,1.7947,1.04656,1.22535,1.78711,2.16682,5.41808,1.44881,1.69784,2.8648,3.04701,4.02335,3.64168,21.21685,2.48761,2.93688,3.8962,9.26383,11.77679,1.90646,6.29593,27.05315,2.63666,0.0,2.8917,1.57481,9.23575,3.09623,4.80208,12.27561,3.34801,17.89869,10.00208,6.26954,5.13617,4.10209,26.70738,4.91882,4.55622,3.32044,1.94103,7.62049,3.99666,7.79331,6.27599,24.07051,5.39807,5.16472,0.72474,6.17764,1.73098,5.80332,7.98604,3.24887,0.99899,6.49854,6.51146,3.1426,52.37196,10.0801,29.0105,2.2858,10.29062,5.70076,3.15927,4.10708,2.84729,1.95973,11.42346,3.96665,25.02244,6.05667,5.54478,2.96942,1.39936,11.46076,4.22364,9.82929,3.59609,3.68839,4.58202,7.04783,285.60018,10.04847,9.03535,4.19576,14.55765,6.30749,3.7948,6.39067,19.07699,32.71436,20.09378,19.66357,37.72135,16.44963,3.46098,5.5959,5.08992,4.88945,3.63925,6.89185,7.80668,9.54716,14.06819,6.41937
-2.75,11.74743,8.27928,14.37452,7.63853,23.43064,6.86354,28.16331,16.49884,72.70666,29.87691,15.09194,42.96064,277.66948,9.06966,13.97332,29.64618,25.16831,33.66438,13.27731,40.0902,42.00535,545.22798,26.37318,27.23329,21.38551,78.42436,49.8673,359.25537,23.03393,17.87278,127.62758,19.39604,13.12768,2.49235,7.74685,9.46147,3.94864,1.02982,2.60542,10.02151,4.45052,5.48803,2.61308,2.92182,6.75931,2.57516,24.37451,7.43694,21.46157,6.08923,21.74971,4.78033,8.8317,9.95394,19.05962,3.5441,3.99165,14.01542,15.83589,13.2229,9.10888,5.48354,7.25652,23.3396,11.86251,21.5977,9.91141,21.79702,14.70357,5.36839,26.07035,6.75879,2.48117,4.92219,10.10446,6.48422,10.15209,21.53029,18.02927,9.04697,11.28457,26.89526,9.16,9.11431,12.57106,9.31311,7.09947,16.66335,7.24639,7.48393,10.7951,29.45303,8.56321,17.91,10.56293,11.79785,7.19299,6.96936,7.6626,15.9996,13.87208,8.57049,14.14534,9.65681,16.50168,53.40273,13.58936,18.85612,6.71718,9.81792,6.20572,11.8853,9.07571,16.94034,4.6055,6.81386,6.35427,3.61393,12.04909,3.7828,4.82028,3.40299,4.57396,13.01081,5.62397,3.84433,3.6357,1.00921,1.50533,1.81618,2.06051,2.2492,1.69336,1.78319,1.04802,1.20215,2.34867,2.02532,5.36209,1.34925,1.85921,3.14788,3.24055,3.00464,2.30125,13.89377,2.6986,3.15668,3.36538,9.17308,10.3177,1.82331,5.31927,18.78863,3.18118,21.20065,2.44004,1.44646,8.39805,2.65166,4.75878,16.75367,3.05659,16.53514,8.56818,5.35067,4.05655,5.52018,22.80072,4.311,4.14067,2.9779,2.32789,5.27006,4.03411,6.26265,6.19245,34.88958,4.85325,6.50371,10.9541,7.05,1.80382,4.68972,6.68984,3.20077,0.99899,7.05078,6.70534,3.10828,42.95351,8.5226,30.38438,2.45722,6.70396,5.28489,3.23399,5.04663,3.16621,2.03632,11.69272,3.45082,21.14957,6.31988,9.83907,8.09281,147.26256,10.38411,3.46579,10.3965,3.18898,4.66114,5.65977,8.3135,144.05797,8.54634,8.98836,3.779,10.33695,7.19275,3.78252,5.81174,18.02406,32.08185,19.86178,17.75845,34.7233,12.66405,4.62656,5.73895,4.46385,4.30803,5.37666,6.17018,7.81703,7.72123,11.67038,6.80822
